tandus.siuisum	tandus . si uisum
adhuncmontemprophetanosinuitansait.ueniteascendamus	ad hunc montem propheta nos inuitans ait . uenite ascendamus
inmontemdomini.monsiste.	in montem domini . mons iste .
dominusest	dominus est
iehsuchristus.monspinguis.	iehsu christus . mons pinguis .
monscoagulatus.cuimontesincaseati.nonualeret	mons coagulatus . cui montes in caseati . non ualeret
coequari.Ipse	coequari . Ipse
estenimquemunxitdeusoleoleticiepreparticibussuis	est enim quem unxit deus oleo leticie preparticibus suis
.quigratiamnonadmensuramaccepit	. qui gratiam non ad mensuram accepit
.sedeamfidelibus	. sed eam fidelibus
suis.proutcuiquenoueritexpedire:gratuita	suis . pro ut cuique nouerit expedire : gratuita
bonitatedisitribuit.adhunc	bonitate disitribuit . ad hunc
montem.idestadseipsum.producere	montem . idest adse ipsum . producere
nosdignetur.dominusnosteriehsuchristus.	nos dignetur . dominus noster iehsu christus .
quicumpatre	qui cum patre
etspritusanctouiuit	et spritu sancto uiuit
etregnatper	et regnat per
omniaseculorum	omnia seculorum
secula.amenremuitiehsuspritu.etturbauitse	secula . amen remuit iehsu spritu . et turbauit se
ipsum.etlacrimatus	ipsum . et lacrimatus
estetclamauit	est et clamauit
.lazareueniforas	. lazare ueni foras
.legimusinscripturissacris.etutinamscriptum	. legimus in scripturis sacris . et utinam scriptum
sitindelebilisincoridibus	sit indelebilis in coridibus
nostris.quiaomnis	nostris . quia omnis
christiactio:animefidelisestlectio.siquidemipse	christi actio : anime fidelis est lectio . siquidem ipse
christusrectelibricenseturnomine.	christus recte libri censetur nomine .
eoquodin	eo quod in
ipsoformamuitenostre	ipso formam uite nostre
legeredebeamusdequo	legere debeamus de quo
libroperezechielemprophetamscriptum	libro per ezechielem prophetam scriptum
est.Expanditcorammelibrum.qui	est . Expandit coram me librum . qui
scriptuseratintuset	scriptus erat intus et
foris.Etdominusineuangelioloquensaddiscipulos.	foris . Et dominus in euangelio loquens ad discipulos .
gaudeteinquit.quianominauestrascripta	gaudete inquit . quia nomina uestra scripta
suntinlibrouite.felix	sunt in libro uite . felix
animaqueinlibrohoclegereiugiteretmeditaristuduerit	anima que in libro hoc legere iugiter et meditari studuerit
.etadexemplum	. et ad exemplum
redemptorissui.iusticieetsanctitatisopribusfuerit	redemptoris sui . iusticie et sanctitatis opribus fuerit
informata.frequensenimhuiuslibrilectio.redire	in formata . frequens enim huius libri lectio . redire
docetadcor	docet ad cor
hominem.	hominem .
etculpasagnoscere.suspirareadueniam.morescomponere	et culpas agnoscere . suspirare adueniam . mores componere
.carnemsubicerespiritui.salutemquerere.uitaminuenire	. carnem subicere spiritui . salutem querere . uitam inuenire
.Etquidemdiuersosinhoclibrodiuersalegentes	. Et quidem diuersos in hoc libro diuersa legentes
.ezechielisprophetetestimonium	. ezechielis prophete testimonium
comprobat.quiineodemlibrocoramseexpanso	comprobat . qui in eodem libro coram se expanso
.lamentationesetcarmen.etue.	. lamentationes et carmen . et ue .
scriptafuissecommemorat.	scripta fuisse commemorat .
Expanditinquit	Expandit inquit
corammelibrum.quieratscriptusintusetforis	coram me librum . qui erat scriptus intus et foris
.etscriptaerantineo.	. et scripta erant in eo .
lamentationes.etcarmen.etue.	lamentationes . et carmen . et ue .
triahecadtriplicemstatum	tria hec ad triplicem statum
uitepresentisnonincongrue	uite presentis non incongrue
respiciunt.inquodiuersidiuersisaffectistudiis.	respiciunt . in quo diuersi diuersis affecti studiis .
uelabin	uel ab in
uioaduiamiusticie.peroperapenitentiediriguntur.	uio ad uiam iusticie . per opera penitentie diriguntur .
uelcelestisgratiemunereiustificati.iamnuncin	uel celestis gratie munere iustificati . iam nunc in
semitisperfectionisambulant.uelcertelatashuiusseculi	semitis perfectionis ambulant . uel certe latas huius seculi
uiasgradientes.	uias gradientes .
arectitudine	a rectitudine
mandatorumdei.pertortuososuitiorumcircuitus	mandatorum dei . per tortuosos uitiorum circuitus
.magisacmagiselongantur.suntenim	. magis ac magis elongantur . sunt enim
quidamquiuitiisetsceleribusirretiti	quidam qui uitiis et sceleribus irretiti
.dumrecogitantsuppliciaimpiiset	. dum recogitant supplicia impiis et
peccatoribuspreparata.dum.	peccatoribus preparata . dum .
dumattenduntcarceremtenebrosum.fletusetstridorem	dum attendunt carcerem tenebrosum . fletus et stridorem
dentium.uermem	dentium . uermem
quinonmoritur.ignem	qui non moritur . ignem
quinonextinguiturduminquamattendunthecomniamente	qui non extinguitur dum inquam attendunt hec omnia mente
conpunguntur.confugiunt	conpunguntur . confugiunt
adlamenta	ad lamenta
penitentie.planguntfortiturmalaquecommiserunt.	penitentie . plangunt fortitur mala que commiserunt .
ethiiinlibroqui	et hii in libro qui
christusest:lamentationesscriptasinueniunt.suntaliiqui	christus est : lamentationes scriptas inueniunt . sunt alii qui
magnitudinembeneficiorumdeierga	magnitudinem beneficiorum dei erga
sediligentiusintuentes.	se diligentius intuentes .
quoduidelicet.depeccatiperpetrationemerentibus.non	quod uidelicet . de peccati perpetratione merentibus . non
solumcommissamisericorditurdimisit.sedetamissa	solum commissa misericorditur dimisit . sed et amissa
liberaliterrestaurauit.quoddignossupplicio.sanguinepropriode	liberaliter restaurauit . quod dignos supplicio . sanguine proprio de
morteredemit.	morte redemit .
quoddenique	quod denique
persuerantibusinfinem:eaqueoculusnonuidere.	persuerantibus in finem : ea que oculus non uidere .
necaurisaudiuit.necincor	nec auris audiuit . nec in cor
hominisascendunt.repromisit:talesinquam	hominis ascendunt . repromisit : tales inquam
specelestiumbonorumconfortati.currunthilariteruiam	spe celestium bonorum confortati . currunt hilariter uiam
mandatorumdei.	mandatorum dei .
etutmereanturassequi	et ut mereantur assequi
quoddeusrepromittit:studentmodis	quod deus repromittit : student modis
omnibusamarequodprecipit.pregaudiospiritusinuocemlaudiset	omnibus amare quod precipit . pregaudio spiritus inuocem laudis et
iubilationiserumpunt	iubilationis erumpunt
.ethiiinlibroquichristusestcarmen	. et hii in libro qui christus est carmen
exaratuminueniunt.dequocarminepsalmistaait	exaratum inueniunt . de quo carmine psalmista ait
.statuitsuprapetrampedes	. statuit supra petram pedes
meos.etdirexitgressus	meos . et direxit gressus
meos.Etinmisit	meos . Et inmisit
inosmeumcanticumnouum	in os meum canticum nouum
.carmendeonostro.suntetaliiquiin	. carmen deo nostro . sunt et alii qui in
profundouitiorumconstituti	profundo uitiorum constituti
.postperpetratamala:ceruicemmentis	. post per petrata mala : ceruicem mentis
erigentadnullaspenitentie	erigent ad nullas penitentie
lamentationesinclinantur	lamentationes inclinantur
.nullacelestiumgaudiorumcorriguntur	. nulla celestium gaudiorum corriguntur
exspectatione.ethiiproculdubio	exspectatione . et hii proculdubio
inlibroquichristus	in libro qui christus
est:scriptuminueniuntue	est : scriptum inueniunt ue
dampnationiseterne.perlamentationesigitur:penitentiaet	dampnationis eterne . per lamentationes igitur : penitentia et
lacrimepeccatorum.percarmen:	lacrime peccatorum . per carmen :
gaudiaiustorum.perue:suppliciareproborumconuenienter	gaudia iustorum . per ue : supplicia reproborum conuenienter
exprimuntur.tibiigituruirbonequiperadoptionis	exprimuntur . tibi igitur uir bone qui per adoptionis
spirituminlucesereniorisconscientie	spiritum in luce serenioris conscientie
iocundaris.qui	iocundaris . qui
repletusfructuiusticie.mordaci	repletus fructu iusticie . mordaci
peccatorummemoria	peccatorum memoria
.nonpungeris	. non pungeris
:tibiinqua	: tibi inqua
:carmenin	: carmen in
hoclibroloquituruerbaconsolationis.uerbaspiritalisiocunditatis	hoc libro loquitur uerba consolationis . uerba spiritalis iocunditatis
quesunt	que sunt
.adepiscopo	. ad episcopo
gratie.feruordeuotionisinterne.angelorumconsortium	gratie . feruor deuotionis in terne . angelorum consortium
.gaudiumsinefinemansurum.utprohiisomnibus	. gaudium sine fine mansurum . ut pro hiis omnibus
gratiasagensdeo:	gratias agens deo :
pertemporalembonorumoperumexercitationem	per temporalem bonorum operum exercitationem
.transeat	. transeat
.quandoquefeliciteradfutureglorieper	. quandoque feliciter ad future glorie per
hennitatem.tuautemhomopeccatorquiiampridem	hennitatem . tu autem homo peccator qui iam pridem
fedusinisticummorte.etpactum	fedus in isti cum morte . et pactum
cuminferno.quicumlazaro	cum inferno . qui cum lazaro
sepultusiacesinsepulcro	sepultus iaces in sepulcro
tenebroseconscientie.pressuslapidepraueconsuetudinis.	tenebrose conscientie . pressus lapide praue consuetudinis .
ligatusinstitispeccatorum.etuelatam	ligatus institis peccatorum . et uelatam
habensfaciem	habens faciem
sudariopessimointernececitatis.tuinquamquisicdormis	sudario pessimo interne cecitatis . tu inquam qui sic dormis
:aduocemredemptorissaltem	: aduocem redemptoris saltem
nuncexurgeamortuis	nunc exurge a mortuis
.etuteuadasue	. et ut euadas ue
dampnationiseterne:legeinlibrohoclamentationesdoloriset	dampnationis eterne : lege in libro hoc lamentationes doloris et
penitentie.corpustuumcrucifigecumuiciisetconcupiscentiis	penitentie . corpus tuum crucifige cum uiciis et concupiscentiis
eius.ut	eius . ut
etipsossensuscorporis.anoxiispostmodum	et ipsos sensus corporis . a noxiis postmodum
retrahasexcessibus.neuidelicet	retrahas excessibus . ne uidelicet
.oculusuideatuanitatem.neaurisaudiatiudiciumsanguinis	. oculus uideat uanitatem . ne auris audiat iudicium sanguinis
ueldetractionem	uel detractionem
.nonodoratusqueratsuauia.	. non odoratus querat suauia .
nongustusdeliciosa:nondeniquemanusextendaturadillicita	non gustus deliciosa : non denique manus extendatur ad illicita
.certesollicitudinemredemptoristuicircatediligentiusintuearis	. certe sollicitudinem redemptoris tui circa te diligentius intuearis
:iamdeceterosalutistuenegligensac	: iam de cetero salutis tue negligens ac
desidiosusessenonpoteris.	desidiosus esse non poteris .
quinimmoreiecta	quin immo reiecta
curarumseculariumcuriositate.totamsollicitudinemtuaminipsumproicies	curarum secularium curiositate . totam sollicitudinem tuam in ipsum proicies
.memorsemper	. memor semper
uerbiillius.quobeatuspetrusinepistola	uerbi illius . quo beatus petrus in epistola
suasalubriternos	sua salubriter nos
ammonensait.omnemsollicitudinemuestramproicientesineum	ammonens ait . omnem sollicitudinem uestram proicientes ineum
.quoniamipsicuraestde	. quoniam ipsi cura est de
uobis.hecautemsollicitudodiuinecaritatiset	uobis . hec autem sollicitudo diuine caritatis et
compassionisergamiserum.etuitiorumfetentiumsordibusobuolutum:	compassionis erga miserum . et uitiorum fetentium sordibus obuolutum :
inuerbisquepremisimuseuidenter	in uerbis que premisimus euidenter
exprimitur.ubiscriptum	exprimitur . ubi scriptum
est.fremuitiehsuspiritu.etceterain	est . fremuit iehsu spiritu . etcetera in
quibusuerbisquatuornobisdiligentiusattendendaproponuntur.	quibus uerbis quatuor nobis diligentius attendenda proponuntur .
queinsuscitatione	que in suscitatione
lazari.nonsineterticausamisterii.dominusegisseperhibetur	lazari . non sine terti causamisterii . dominus egisse perhibetur
.fremuitenimspiritu.turbauit	. fremuit enim spiritu . turbauit
seipsum.lacrimatusest.etclamauit.	se ipsum . lacrimatus est . et clamauit .
Queigituirredemptornosterinsuscitationelazaricorporaliterexhibuit:	Que igituir redemptor noster in suscitatione lazari corporaliter exhibuit :
heciniustitficationepeccatoris.peruisitationissue	hec in iustitficatione peccatoris . per uisitationis sue
gratiamcotidiespiritaliteroperarinondesistit.fremit	gratiam cotidie spiritaliter operari non desistit . fremit
enimspiritu.dumpeccatorem	enim spiritu . dum peccatorem
perillicitadefluentem.	per illicita defluentem .
detereteternisuppliciicomminatione.quasiturbatumseostenditcum	deteret eterni supplicii comminatione . quasi turbatum se ostendit cum
inpenitentemut	in penitentem ut
adlamentapenitentieredeat:temporaliconcutitaduersitate.	ad lamenta penitentie redeat : temporali concutit aduersitate .
necesseestenimut	necesse est enim ut
quempremianoninuitant:saltemterrores	quem premia non inuitant : saltem terrores
eternedampnationis.etangustietemporalisaduersitatis.apeccatis	eterne dampnationis . et angustie temporalis aduersitatis . a peccatis
retrahant.lacrimatur	retrahant . lacrimatur
autemdumperaffectumpaterne	autem dum per affectum paterne
pietatispenitentemsuscipitadueniam.uoce	pietatis penitentem suscipit adueniam . uoce
ueroclamosamortuum	uero clamosa mortuum
resuscitat:dumde	resuscitat : dum de
profundauitiorumuoraginemisericorditerereptum.peruirtutemuere	profunda uitiorum uoragine misericorditer ereptum . per uirtutem uere
confessionis:	confessionis :
reuocatad	reuocat ad
uitam.nonnemanifestecontra	uitam . nonne manifeste contra
peccatoresfremereuidetur	peccatores fremere uidetur
dominus.ubiait.mittenturintenebrasexteriores.	dominus . ubi ait . mittentur in tenebras exteriores .
ibieritfletusetstridordentium:etiamalibi	ibi erit fletus et stridor dentium : etiam alibi
.perysaiamprophetamdeelectisloquiturdicens.Egredientur	. per ysaiam prophetam de electis loquitur dicens . Egredientur
.etuidebunt	. et uidebunt
cadauerauirorum.quipreuaricatisuntinme	cadauera uirorum . qui preuaricati sunt in me
.uermiseorumnonmorietur.etignisnonextinguetur	. uermis eorum non morietur . et ignis non extinguetur
.eteruntusqueadsacietatemuisionisomnicarni.	. et erunt usque ad sacietatem uisionis omni carni .
hancfremitumpreuiderat	hanc fremitum preuiderat
inspirituprophetaabacuc	in spiritu propheta abacuc
cumdicebat.Infremituconculcabisterram.	cum dicebat . In fremitu conculcabis terram .
infuroreobstupefacies	in furore obstupefacies
gentes.Infremituinquitconculcabisterram	gentes . Infremitu inquit conculcabis terram
.idesthominesterrenasapientes.penametiam	. idest homines terrena sapientes . penam etiam
reproborumdescribensprophetadauid.secretorumdeiconscius	reproborum describens propheta dauid . secretorum dei conscius
.tuueroinquitduceseosinputeuminteritus.In	. tu uero inquit duces eos inputeum interitus . In
quibusuerbisbreuiternotaturpenarumgehennaliumperpetuitas.	quibus uerbis breuiter notatur penarum gehennalium perpetuitas .
acerbitassimuletuarietas.perputeumenimde	acerbitas simul et uarietas . per puteum enim de
cuiusprofunditatenonpatetegressuspenarumperpetuitasexprimitur.per	cuius profunditate non patet egressus penarum perpetuitas exprimitur . per
interitum:acerbitasearumdemdesignatur.perhocautemquod	interitum : acerbitas earumdem designatur . per hoc autem quod
dictumest.	dictum est .
deduceseos:	deduces eos :
tormentorumuarietasqueuariisdebeturpeccatorumgenerationibus	tormentorum uarietas que uariis debetur peccatorum generationibus
:conuenienterintelligitur.undeinlibroiobscriptumest	: conuenienter intelligitur . unde in libro iob scriptum est
.transibuntdeaquis	. transibunt de aquis
niuiumadcalorem	niuium ad calorem
nimium.nonsolumautemfremuitiehsusspiritu	nimium . non solum autem fremuit iehsus spiritu
.sedetturbauitse	. sed et turbauit se
ipsumlacrimatus	ipsum lacrimatus
est.etclamauit	est . et clamauit
.sedquid	. sed quid
estdomineiehsu.quodturbarisintemetipso	est domine iehsu . quod turbaris in temet ipso
quiutscriptumest.omniacumtranquillitateiudicas.	qui ut scriptum est . omnia cum tranquillitate iudicas .
quiespaxuera.que	qui es pax uera . que
omnemsensumexuperat.quisemperidemipsees	omnem sensum exuperat . qui semper idem ipse es
.stabilisquemanens.das	. stabilis que manens . das
cunctamoueri.	cuncta moueri .
undetibilacrime.	unde tibi lacrime .
quepenitentiesunt	que penitentie sunt
indicia.quipeccatumnon	indicia . qui peccatum non
fecisti.nec	fecisti . nec
estinuentusdolusinoretuo.	est inuentus dolus in ore tuo .
quipaternepietatishabundantia:proinimicismortemsubirenon	qui paterne pietatis habundantia : pro inimicis mortem subire non
dubitasti.	dubitasti .
quiprocrucifixoribuscuisutnonperirentorasti	qui pro crucifixoribus cuis ut non perirent orasti
.quideniqueproconciliandistibipeccatoribustanta	. qui denique pro conciliandis tibi peccatoribus tanta
sustinuisti:sedattenditefratres.quenon	sustinuisti : sed attendite fratres . que non
solumquecumque	solum quecumque
scripta.sedetquecumquefactasunt	scripta . sed et quecumque facta sunt
.adnostramdoctrinamscriptaetfactasunt.ut	. ad nostram doctrinam scripta et facta sunt . ut
quiperadoptionis	qui per adoptionis
gratiammembrachristisumus.	gratiam membra christi sumus .
totastudeamusimitarideuotione.quod	tota studeamus imitari deuotione . quod
prosalutenostragestumesseconstat	pro salute nostra gestum esse constat
incapite.Quodenimchristusnasci.circumcidi	in capite . Quod enim christus nasci . circumcidi
.crucifigi.moriuoluit:	. crucifigi . mori uoluit :
nichilhorumpropterse.	nichil horum propter se .
sedomnia	sed omnia
propterelectossustinuit.nequeenim.in	propter electos sustinuit . neque enim . in
peccatonatus.nec	peccato natus . nec
apeccatocircumcisus.necpropeccatosuo.sed	a peccato circumcisus . nec pro peccato suo . sed
propterdelictanostramortuusest.paulo	propter delicta nostra mortuus est . paulo
apostoloattestantequiait.	apostolo attestante qui ait .
christusmortuusestpropterdelictanostraetresurrexitpropter	christus mortuus est propter delicta nostra et resurrexit propter
iustificationemnostram.sicet	iustificationem nostram . sic et
propternos.nonautempropterse.	propter nos . non autem propter se .
fremuitspiritu.turbauitseipsum.lacrimatus	fremuit spiritu . turbauit se ipsum . lacrimatus
est.etclamauit.	est . et clamauit .
fremuitinquamspiritu.utsalutaremcontra	fremuit inquam spiritu . ut salutarem contra
uitiafremitumincordibusnostrissuscitaret.turbauit	uitia fremitum in cordibus nostris suscitaret . turbauit
semetipsum:utquantumdeperpetratismalisturbari.	semet ipsum : ut quantum deperpetratis malis turbari .
etdoleredebeamus:	et dolere debeamus :
innotesceret.lacrimatusest.utnosprouocaretadlacrimas	innotesceret . lacrimatus est . ut nos prouocaret ad lacrimas
deuotecompunctionis.clamauitautem:utcorde	deuote compunctionis . clamauit autem : ut corde
contritosinuitaretadremediumsalutifereconfessionis	contritos inuitaret ad remedium salutifere confessionis
.tuncenim	. tunc enim
christusin	christus in
nobisclamarenonincongruedicitur	nobis clamare non incongrue dicitur
.cumnosutinconfessionepeccatorumclamemus.	. cum nos ut in confessione peccatorum clamemus .
salubriterexhortatur.Illeigiturutiliterclamatquiruptopudoris	salubriter exhortatur . Ille igitur utiliter clamat qui rupto pudoris
etuerecundiesilentio:peccatorumsuorumuulnera.in	et uerecundie silentio : peccatorum suorum uulnera . in
confessionedetegitet	confessione detegit et
manifestat.Ethocestquod	manifestat . Et hoc est quod
aitdominus.lazareueniforas.perlazarum	ait dominus . lazare ueni foras . per lazarum
quifetensetquatriduanusin	qui fetens et qua triduanus in
sepulcrolatuit	sepulcro latuit
.peccatoremquemlibetnoninmeritoaccipimus	. peccatorem quemlibet non in merito accipimus
.quipressusmolepraueconsuetudinis.sub	. qui pressus mole praue consuetudinis . sub
latebristenebrose	latebris tenebrose
conscientieseabscondit.Quidum	conscientie se abscondit . Qui dum
scelerumsuorum	scelerum suorum
inmanitateterritus.conscientiefeditate	in manitate territus . conscientie feditate
confusus.ne	confusus . ne
uiassuasdominomanifestet.noxio	uias suas domino manifestet . noxio
pudoreuincitur:uelutincarcereligatus	pudore uincitur : uelut in carcere ligatus
etinclusus.neforasprodireualeatprohibetur.De	et inclusus . ne foras prodire ualeat prohibetur . De
quoinlibro	quo in libro
iob.benescriptumest.siincluseritdeushominem	iob . bene scriptum est . si incluserit deus hominem
:nullusestquiaperiat.certepeccator	: nullus est qui aperiat . certe peccator
quilibetineo	quilibet in eo
quodmaleoperatur.conscientiesuecarcerem	quod male operatur . conscientie sue carcerem
sibifacit.neeuadendilocuminueniat.quam	sibi facit . ne euadendi locum inueniat . quam
peccatisexigentibusoptinerenon	peccatis exigentibus optinere non
meretur.Includitautemdeushominem.	meretur . Includit autem deus hominem .
duminclusononaperit	dum incluso non aperit
.pergratie	. per gratie
spiritualisinfusionem.utigitur	spiritualis infusionem . ut igitur
sicinclususliber	sic inclusus liber
exireualeat.	exire ualeat .
uteducaturuinctusdedomocarceris.sedensin	ut educatur uinctus de domo carceris . sedens in
tenebris.etumbramortis:necesseestut	tenebris . et umbra mortis : necesse est ut
clauisdauidchristusscilicet.	clauis dauid christus scilicet .
quiclauditetnemoaperit.aperit	qui claudit et nemo aperit . aperit
etnemoclaudit.solutispeccatorumuinculis	et nemo claudit . solutis peccatorum uinculis
.fractis	. fractis
uitiorumseris:liberauoceclametetdicat.	uitiorum seris : libera uoce clamet et dicat .
lazareueniforas.portaautemperquamreoaditus	lazare ueni foras . porta autem per quam reo aditus
euadendiconceditur.	euadendi conceditur .
confessiopeccatorumest.quediuhabitantibusinregione	confessio peccatorum est . que diu habitantibus in regione
umbremortis.demumlucemgratie	umbre mortis . demum lucem gratie
spiritualisinfundit.etereptosauetusta	spiritualis infundit . et ereptos a uetusta
seruitutepeccati:inlibertatem	seruitute peccati : in libertatem
spiritus.etuitenouitatemrestituit.portahec	spiritus . et uite nouitatem restituit . porta hec
fratres.portasalutisestetiustitie.	fratres . porta salutis est et iustitie .
adeoutquilibetdenaufragiomundihuiuseuadere	adeo ut quilibet de naufragio mundi huius euadere
cupiens.necessehabeattransirepeream	cupiens . necesse habeat transire per eam
.utcumpsalmista	. ut cum psalmista
possitdicere.aperitemihiportamiustitie.etingressus	possit dicere . aperite mihi portam iustitie . et ingressus
ineam.confitebor	in eam . confitebor
domino.hecportadomini.iustiintrabunt	domino . hec porta domini . iusti intrabunt
meam.necesseestinquamutperportamsalutisad	meam . necesse est inquam ut per portam salutis ad
denmredeat.	denm redeat .
quiperportas	qui per portas
mortisegressus:	mortis egressus :
inregionedissimilitudinis.ab	in regione dissimilitudinis . ab
eolongiusab	eo longius ab
errauerat.suntautemtresportemortis.	errauerat . sunt autem tres porte mortis .
perquasfiliihuiusseculiadamoremmundihuius	per quas filii huius seculi ad amorem mundi huius
ingrediuntur.quas	ingrediuntur . quas
studiisomnibusdeclinaresataguntquideductiperportas	studiis omnibus declinare satagunt qui deducti per portas
iusticie:adpatriamclaritatis	iusticie : ad patriam claritatis
eterne:celestis	eterne : celestis
gatiemunereperducuntur.Etestprimaportamortis:	gatie munere perducuntur . Et est prima porta mortis :
carnalisconcupiscentiemomentanea	carnalis concupiscentie momentanea
uoluptas.secunda:rerumtranseuntiuminmoderatacupiditas	uoluptas . secunda : rerum transeuntium in moderata cupiditas
.tercia:gloriesecularisuanasublimitas.has	. tercia : glorie secularis uana sublimitas . has
portasmortisinepistolasuabeatus	portas mortis in epistola sua beatus
iohaneseuidenterexprimit.ubi	iohanes euidenter exprimit . ubi
ait.omne	ait . omne
quodestin	quod est in
mundoautestconcupiscentiacarnis	mundo aut est concupiscentia carnis
.autconcupiscentiaoculorum.uelsuperbia	. aut concupiscentia oculorum . uel superbia
uite.concupiscentiaenimcarnis.referturaduoluptatem.	uite . concupiscentia enim carnis . refertur ad uoluptatem .
concupiscentiaoculorum:ad	concupiscentia oculorum : ad
mundanamcupiditatem.superbiauite:ad	mundanam cupiditatem . superbia uite : ad
gloriesecularis.sublimitatem.Et	glorie secularis . sublimitatem . Et
quidemperportamcarnalis	quidem per portam carnalis
concupiscentiequodsine	concupiscentie quod sine
grauimeroredicendum	graui merore dicendum
nonest.	non est .
ingrediunturinnumeri.eoquod	ingrediuntur in numeri . eo quod
patensintroitus.	patens introitus .
etspatiosauiasit	et spatiosa uia sit
queducitad	que ducit ad
eam.quodnimirumcertissimeprobanthii.	eam . quod nimirum certissime probant hii .
quitimoredeipostposito	qui timore dei post posito
.cubilibusuacantetin	. cubilibus uacant et in
pudicitiis.etcarnissuedesideriasequentesuelutiumenta	pudicitiis . et carnis sue desideria sequentes uel ut iumenta
computrueruntinstercoribussuis.quiin	computruerunt in stercoribus suis . qui in
carneseminant.etdecarnemetuent	carne seminant . et de carne metuent
corruptionem.iocisdelectanturetnisibus.et	corruptionem . iocis delectantur et nisibus . et
exteriorinitorecorporis:	exteriori nitore corporis :
interiorishominisdeformantpulcritudinem	interioris hominis deformant pulcritudinem
.certequamdetestabilissitcarnalisconcupiscentieuoluptas	. certe quam detestabilis sit carnalis concupiscentie uoluptas
.exeonimirumcolligitur.	. ex eo nimirum colligitur .
quodappetituseius:anxietatis	quod appetitus eius : anxietatis
etuecordie.	et uecordie .
actus:confusioniset	actus : confusionis et
ignominie.exitus:penitudiniset	ignominie . exitus : penitudinis et
uerecundieplenus	uerecundie plenus
essedinoscitur	esse dinoscitur
.undesecularisilleferturdixissephilosophus	. unde secularis ille fertur dixisse philosophus
uilisresluxuriadeuilummembrorumdescendensoperatione	uilis res luxuria de uilum membrorum descendens operatione
.cuiusnecesse	. cuius necesse
estutinfinepeniteas.porroper	est ut in fine peniteas . porro per
portammundanecupiditatisingrediuntur.	portam mundane cupiditatis ingrediuntur .
hiiquilucrisinhiantesillicitis.	hii qui lucris in hiantes illi citis .
questumpietatemexistimant	questum pietatem existimant
.inquibus	. inquibus
amordiuitiaruminsaciabilis.animammiseramdesideriocruciat.sed	amor diuitiarum insaciabilis . animam miseram desiderio cruciat . sed
usunequaquamrefrigerat.quodenimcum	usu nequaquam refrigerat . quod enim cum
laboreadquiritur.cumtimorepossidetur	labore adquiritur . cum timore possidetur
.etquodhiislongeinfelicius	. et quod hiis longe infelicius
:tandem	: tandem
cumdoloremiserabiliteramittitur.undequidamspiritu	cum dolore miserabiliter amittitur . unde quidam spiritu
deiplenus.deamatoribus	dei plenus . de amatoribus
huiusmundi.satiseleganterait.Queruntutadquirant	huius mundi . satis eleganter ait . Querunt ut adquirant
.adquirunt	. adquirunt
.utperdant.perdunt	. ut perdant . perdunt
utdoleant.Etpaulus	ut doleant . Et paulus
apostolus.Quiuoluntinquitdiuitesfieri.inciduntin	apostolus . Qui uolunt inquit diuites fieri . incidunt in
temptationes.	temptationes .
etinlaqueumdiaboli.etindesideriamulta	et in laqueum diaboli . et in desideria multa
inutiliaetnociua.quemergunthominemin	inutilia et nociua . que mergunt hominem in
interitumetperditionem.superquemlocumsicaitexpositor	interitum et perditionem . super quem locum sic ait expositor
.nichiltamasperum.nichiltampernitiosum.quam	. nichil tam asperum . nichil tam pernitiosum . quam
siuirecclesiasticus.maximesublimemtenenslocum.	si uir ecclesiasticus . maxime sublimem tenens locum .
diuitiishuiusseculistudeat.	diuitiis huius seculi studeat .
talisenim	talis enim
nonsolumse.sedetceteros:	non solum se . sed et ceteros :
performamcontrariampericulosubicit.et	per formam contrariam periculo subicit . et
inruinamprecipitat.terciaporta	in ruinam precipitat . tercia porta
mortis.est	mortis . est
sublimitasgloriesecularis.que	sublimitas glorie secularis . que
reueraconiuncta	reuera coniuncta
estporte.quamdescripsimusnominemundane	est porte . quam descripsimus nomine mundane
cupiditatis.fit	cupiditatis . fit
enimplerumque.utperhabundantiamdiuitiarum.pateatascensus	enim plerumque . ut perhabundantiam diuitiarum . pateat ascensus
adculmensecularumdignitatum.undepaulusin	ad culmen secularum dignitatum . unde paulus in
potentibushuiusmundimorbumdiuitiarum.idest	potentibus huius mundi morbum diuitiarum . idest
superbiamuolensreprimere:thimotheoscribensait.	superbiam uolens reprimere : thimotheo scribens ait .
precipediuitibus	precipe diuitibus
huiusseculi.	huius seculi .
nonsublime	non sublime
sapere.nequesperareinincertodiuitiarum.	sapere . neque sperare in incerto diuitiarum .
sedindeouiuo.quidat.	sed in deo uiuo . qui dat .
nobishabundanteromniaadfruendum.Inhac	nobis habundanter omnia ad fruendum . In hac
portasedemsibistatuerunt.quidignitatesecclesiasticas	porta sedem sibi statuerunt . qui dignitates ecclesiasticas
licetindignicecanimisambitione.impudenterusurpantet	licet indigni cecanimis ambitione . impudenter usurpant et
rapiunt.	rapiunt .
dequibusdominusperysaiamprophetamconqueriturdicens.	de quibus dominus per ysaiam prophetam conqueritur dicens .
Ipsiregnauerunt.etnonex	Ipsi regnauerunt . et non ex
me.principesexciterunt	me . principes exciterunt
.etnoncognoui.talesenimpre	. et non cognoui . tales enim pre
essenesciunt.	esse nesciunt .
subesse	sub esse
nonsustinent.etprodessenonsatagunt.elongari	non sustinent . et prodesse non satagunt . elongari
prorsusadoctrinasaluatoris.	prorsus a doctrina saluatoris .
quadicit.Quimaiorestuirum.erit	qua dicit . Qui maior est uirum . erit
