cilz quisceuent delalecture	---|--|------|-|-|------|
me sen nem ismortiexser oit	--⌫|--⌫---⌫-|------|---⌫--|
osanu lzat ouchi er	--|--⌫-|--⌫-----⌫-|
touzleurestuetlecerflaissier	---|---|-----|-|---|-------|
uneautrefoiz ot	--|----|---|-|
elbo iso luipluscompaignon	-|--⌫-||--|---|---------|
lachyeu r e etla brebizyfu	-|-----⌫-⌫|-|-|-----||-|
u nc erf ontpr ise tretenu	-⌫|-⌫--|--|--⌫-|-⌫|-----|
que nquatr ep ar s ueulent pa rtir	-|-⌫|-----⌫|-⌫--⌫|------|--⌫---|
lel ion dit	-|-⌫--|--|
ieuue ilch o isi r	-|---⌫-|--⌫-⌫---⌫|
lagreignour partdoitestre moye	-|--------|---|---|----|---|
suiroys la courtlottr o ye	--|---|-|----||----⌫-⌫-|
laut rearayie car ieycoruy	|---⌫-|---|-|--|-||----|
etla tierce	-|-|-----|
carp lusf ort suy	--|-⌫--|-⌫--|--|
laquartea yie ci diuis ee	-|-----|-⌫|-|-|-----⌫-|
aura sanzmeslee	---|---|-----|
sicompaignonquant	-|---------|----|
i l l orront	-⌫||-----|
toutluilaissen tsi sen fui ront	---|--|-------⌫|-||-|---⌫---|
autress iest n endo ubt ez mie	-------⌫|--||-|--⌫---⌫-|--|
se poureshomsprentcomp agnie	-|-----|---|----|----⌫----|
apl usfor thommequinesoit	|--⌫-|---⌫|----|-||-|---|
g aainnauraexploit	-⌫---||---|------|
le ric h eueul tauoirlonnour	-|---⌫-⌫|----⌫|----||-----|
oulepou reperdra	-|-|---⌫-|-----|
etsa nulgaaing	-|||--|-----|
d oit p artir	-⌫--|-⌫----|
lericheueulttout retenir	-|----|----|---|------|
len dit c uns	--|--||--|
aiglesuintuolant	-----|---|-----|
ioustelamerpoisso nquerant	-----|-|--|------⌫|------|
uneoistre trou uaenti e re	--|-----|----⌫-|----⌫-⌫-|
mais nesot pasenquelmanier e	---|-|--|--|-|---|------⌫|
peustl e scaille	----||-⌫------|
despe cier	-----⌫---|
quanta s on uoluoult	----||-⌫-|--|----|
une cor na ille len con tra	--|---⌫--⌫---||--⌫---⌫--|
ditli aquel	--|-||-|-|
l en sei gnera	|--⌫---⌫----|
comlescaille	--||-------|
p ourra ouurir	-⌫----|-----|
seelleaupois son ue ultauenir	-|---|-|----⌫--|--⌫--|-----|
ro uuaauoler	--⌫--||----|
tant hau lt compluspourramonte r	---|---⌫-|--|---|-----|-----⌫|
quantilsera montezlasus	----|-|---|-----|-|--|
si la isse	-|--⌫---|
l oistrecheoir ius	|-----|-----|--|
s usdu reterr eou susrochier	-⌫-|--⌫-|----⌫|-|--|------|
p ourra biende sp ecier	-⌫----|---|--⌫--⌫----|
lyaiglesot	-|-----|-|
grantdes irier	----|---⌫----|
de loistrequi ltenoit mengier	-||-----|-|-⌫|-----|------|
haultlep ort a cheoirle lait	----|-|-⌫---⌫|-----|-|---|
lacornaillefuenagait	-|--------|-|-|----|
sique l e scaillepuist	-|--||-⌫------|----|
le poi ssonnetdedans	-|---⌫------|-----|
lescaill e	|-------⌫|
lais tsisen ala	----⌫|-||-|--|
ainsque liaig les	---|--|-|---⌫--|
fust uenuz	---|----|
fustapparceuz	---|--------|
lepe rtuisetot faitpetit	-|--⌫------|-|---|----|
que li aygle s nyauenist	--|-|-----⌫|||------|
par cestexe mple du poisson	--|---|---⌫---|-|------|
no us monstreexempledu felon	--⌫-|------|------|-|----|
agaitetpar engin	----|-|--|----|
mesc onseilleson	----⌫-------|--|
bonuo isin	--|--⌫---|
lic onse ille af aire	-|-⌫----⌫---||-⌫---|
dontcilnepeut	---|--|-|---|
a nul chieftra ire	|--|----|---⌫--|
etquantso n tauques miex	-|----|--⌫-⌫|-----|---|
par traysonlu itolt	--|------|--⌫|---|
lauoirque cila	|----|--|--||
pou rchassi é	---⌫-------⌫-|
pargr anttrauail et ga aing nié	--|--⌫--|------|-|--⌫----⌫---|
ansiaui nt	---|---⌫-|
etbie npotes tre	-|---⌫|--|--⌫--|
quepar deuantunefe n est r e	--|--|-----|--|--⌫-⌫---⌫-⌫|
quie n unedespen sefu	--|-⌫|--|------⌫-|-|
uolauncoq sia	---|-|--|-||
fro m age quidedans estoient	---⌫-⌫--|--|-----|-------|
etsurune clo iegisoient	-|--|--|---⌫-|-------|
pri satouts enua	---⌫||---||-|-|
u ngoup iluint silencontra	-⌫|----⌫-|---|-||-------|
du fromage	-|------|
o tgrantdesirier	-⌫|----|-------|
quilenpeus t	-|-|-|----⌫|
s apartmengier	-⌫|---|------|
uo ulraessaier	--⌫---|------|
se lecoq p ourra engignier	-|-|--|-⌫----|--------|
hadieusire fait legoupil z	-|---|---|---|-|------⌫|
tantparestc ilzoisi auxgentilz	---|--|--|-⌫--|----⌫--|------|
aumonden asi	-|----|||-|
nobl e oy sel	----⌫|--⌫--|
que demesyexn euysi	--|-|--|--|-⌫|-|-|
feustte lx ceschanzcomeson corps	----|--⌫-|--|----|---|--|----|
il uauldroitmiexquenulxtresors	-|--------|---|--|---|------|
le coqsoy sibienloer	-|--||-|-|---|---|
q ue n toutl emonde notson per	-⌫|-⌫|---|-⌫|----||-|--|--|
pou rpens ezsestqu	---⌫-----⌫-||--|-|
ilcha nt era	-|---⌫--⌫--|
iapo ur chanter	-|--⌫-|------|
losnep e r dr a	--|-|-⌫-⌫-⌫--⌫|
le b ecourisicommenca	-|-⌫-|---|-|-------|
le fromagel uieschappa	-|------|-⌫-|-------|
a la terr e	|-|----⌫|
lestut cheir	|----|----|
et le goupil	-|-|-----|
leuasaisir	-|-|-----|
puisnotilcurede	---||-|-|---|-|
quant d uf rom age ot sontalent	----|-⌫|-⌫---⌫--|-|--|-----|
c e st ex emp ledes orgue illeux	|-⌫-|--⌫---⌫-|--|-----⌫-----|
quide granspris s ont	--|-|----|---|-⌫--|
d esi re ux	-⌫---⌫--⌫-|
parlo se ngier etpar mentir	--|--⌫--⌫----|-|--|-----|
l enbi en agrese rui r	-⌫-|--⌫-||--|--⌫---⌫|
leleur des p ende ntfolement	-|---|---⌫-⌫----⌫-|-------|
purfaulselo engede	--|-----|--⌫---|-|
du n lyo nconte li	|-⌫|---⌫|----|-|
quifud ef faizetenueil liz	--|-|-⌫--⌫---|-|------⌫--|
maladesiut moult lo n guement	------|--|----|--⌫-⌫------|
du releuern y otnoyent	-|------|||-|-----|
touteslesbestessassembler ent	-----|--|-----||---------⌫--|
pourliueoiracourtalere nt	---|-|----||----|-----⌫-|
les plusours sont po urlidolent	--|-------|---|--⌫-|-|-----|
nenchalunoient	|-|----|-----|
ettel zya yuin tpour don	-|---⌫||||---⌫|---|--|
aladeuisedulyon	|-|-----|-|---|
et s auoir	-|-⌫----|
uoulrentles pl useours	-------|--|--⌫------|
sen luiotmais nesunretour s	|-|--|-|---|----|------⌫|
le beuf desescorn eslebute	-|---|-|--|----⌫-|-|---|
e tliasnes	-⌫|-|----|
quip asnel	--|-⌫-|-||
lefiertsurle pis	-|----|--|-|--|
delautre p art	-||----|-⌫--|
uien t l igoupilz	----⌫|-⌫|------|
l e mort parles	-⌫|---|--|--|
distlelyo n	---|-|---⌫|
ie uoymerueille s	-|--|---------⌫|
bien me so uuientqueen mon ae	---|-|--⌫-----|--|-|--|-|
quan tiosne fui etensante	----⌫|----|--|-|-|----|
q uet outesbestesmedo ubtoiuent	-⌫-|-⌫----|-----|-|--⌫--------|
commese ignou ret	----|--⌫-----⌫|-|
honnor oient	------⌫----|
quantieere li ez haitiezestoient	----|-|--|--⌫-|------|-------|
qu antcourro ucie zmoultmecre moient	--⌫--|------⌫----⌫|----|-|---⌫-----|
orme uo ient affoib l ié	-|-|--⌫---|------⌫-⌫--|
def foulém onte t oblié	---⌫-----||--|-⌫|-----|
moult m ese mbl eestregrantuil te	----|-⌫|--⌫---⌫|----|----|---⌫-|
dece ulx quifurent mipriue	-|--⌫--|--|-----|-|----|
aqu iiefis	|--⌫|-|--|
h onneur etbien	-⌫-----|-|---|
en r emembrentnullerien	-|-⌫--------|----|---|
que desautres	--|--|-----|
quiie mesfis	--|-|-----|
le nonpo issanta	-|--|--⌫-----||
parmeismeces teraison	--|-----|---⌫-|-----|
prenonsexempledulion	------|------|-|---|
quic onquesc hiet en	--||-----|-⌫---|-|
nonpo uoir	--|--⌫---|
c il pertsaf orceet sonauoir	|-|---|-|-⌫---|-|--|----|
moultletien n e nten grant	----|-|----⌫-⌫-⌫-|-|----|
nezlesplus ou rsqu ilont amé	--|--|----⌫--⌫-|--⌫||--|---|
d unrichehommetrouuonslescript	|-|----|----|-------||------|
quia uoitunchie nnetpeti t	--|-⌫---|-|----⌫---|----⌫|
so uue ntes foizaluiioua	--⌫---⌫---|---||--|---|
etunsien asnele sgarda	-|-|---|---||-⌫-----|
enso nco urageentendibien	-|--⌫|--⌫----|------|---|
quelesautres	--|--|-----|
a i mentle c hien	-⌫-⌫---|-|-⌫---|
pourleseignour qui	---|-|-------|--|
lcherissoit	|---------|
et quilol uisededuisoit	-|-|-||-⌫-|-|--------|
soubz s onmantel lefistmucier	----|-⌫-|-----|-|---|-----|
etfist le s autre sabaier	-|---|--⌫|-----⌫|-----|
mou lts estliasnes	---⌫-||--|-|----|
pourpensez	---------|
chi en u aultilass e z	---⌫-|-⌫---|-|---⌫-⌫|
biaute etdegr ando ur	-----|-|-|--⌫----⌫-|
m i exsauro itila	-⌫-⌫-|-----⌫-|-||
son se i gnour	--|--⌫-⌫----|
iouerqu ele c hiene tpetis	----|--⌫|-|-⌫-----⌫|----|
etmiexser oit oi zsescriz	-|---|---⌫--|--⌫|--|---|
miexs a ro iti l	---|-⌫-⌫--⌫-|-⌫|
saroitdupieferir	-----|-|--|----|
pourfol set ie nt	---|--|-|-⌫--⌫-|
se ali ne uait	-||-|-|---|
equasa uoiznecrie	|-||-|---|-|---|
quefai t le chien	--|---⌫|-|----|
s us sonse igno ur	-⌫-|--|--⌫----⌫-|
doncilauintquepa run iour	---|-|----|--|--⌫|-|---|
saloit le sirededuisa nt	|----|-|---|-------⌫-|
osonchiennetsal aiouan t	|--|-------||--⌫|-----⌫|
ne potliasnesplussouffrir	-|--|-|----|---|-------|
seignourpri n tauenir	-------|---⌫-⌫||----|
s urlicommence	-⌫-|-|-------|
queto utlefaitespouenter	--|--⌫-|-|---|---------|
d e spiezle fiertsur	-⌫-⌫|---|-|----|--|
siqualaterrelabati	-|-||-|----||----|
pourunpet itn ela creué	---|-|---⌫-|-⌫|||-----|
selesireneustcrié	-|-|---||---|----|
haroha rodi ex aidem oy	---|--⌫-|--⌫-|---|-⌫-|
saillenta des ro y	-------||---⌫--⌫|
chasc u ntint	-----⌫-⌫|---|
massu eou ba sto n	-----⌫|-|--⌫---⌫|
lasnefierent toutenuiron	|---|------|---|------|
agrant ma rti reet	|----|--⌫---⌫-|-|
poren t re sco urreleurseignour	-----⌫|--⌫---⌫---|---|-------|
dessiq uela s neont	----|-⌫-||-⌫-⌫-|--|
tan tbat u	---⌫|---⌫|
quill elaisse nt	-|-|-⌫|------⌫-|
tout estendu	---|------|
ag rantpeine	|-⌫---|----|
uinta lestable	---|||------|
aladessus l apal le	--|-----|-⌫|---⌫-|
sa uo irpouons	--⌫--⌫-|-----|
parcestef able	--|----|-⌫---|
etch oseenten dreueritable	-|--⌫--|-----⌫--|--------|
lamaniere de moultd egent	-|------|-|----|-⌫|---|
mou ltlepeu tlen	---⌫-|-|---⌫|--|
ueo irsou uent	---⌫-|---⌫---|
quetant se	--|---|-|
ueulentsurhaucie r	------|---------⌫|
lieu a p paragier	---|-⌫-⌫-------|
quil na uientp asa le ur corsa ge	-|-||-⌫----|-⌫-||--⌫-|-----⌫-|
n ensurquetoutaleu r parag e	|-----------||---⌫|-----⌫|
a maintenest siauenu	|----|-|--|-|----|
co mme al asn equifubat u	--⌫--|||---⌫|--|-|---⌫|
dunl yonditqui sedormoit	|-|-⌫--|--|--|-|------|
e nunboucage	-⌫|-|------|
ou ilestoit	-|-|-----|
ento ur luis enuont	----⌫-|--||-|---|
ded ui sant	---⌫--⌫---|
souriz petites	-----|------|
lunecorunes en	|--|---|-||-|
sur le lionsilesuueilla	--|-|---|-||--------|
l e l ions fumoul tcourrouc i e z	-⌫|-⌫---|-|----⌫|--------⌫-⌫-⌫|
lasouriz printtan tfuyriez	-|-----|----|---⌫|-|----|
d e luiuoul oit	-⌫|--|----⌫--|
f ai re iustise	-⌫--⌫-|------|
elrespon diquennul le g uise	-|------⌫-|-|-|---⌫-|-⌫---|
aescientne lau oitfait	|------|-||--⌫--|---|
e tlil i ons a	-⌫|-|-⌫-⌫--||
ta n tl ala it	--⌫-⌫|-⌫|--⌫-|
pe tith onneurce dit aroit	--⌫--|-⌫-----|-|--|----|
delas ourizsil l occioit	-|-|-⌫----||-||------|
cuns h oms ceditappare illa	|--|-⌫--|-|--|------⌫---|
u nefosse creuse dedan s	-⌫-|----|-----|-----⌫|
la nuitf uprislelyon	-|---|-⌫|---|-|---|
gra ntpaour	---⌫-|----|
a con nelocie	||-|-||---|
dedanslafossebrait et	-----|-|----|----|-|
lasouri zuaauxcriz t outdroit	-|-----⌫|-|--|---|-⌫--|----|
scau oi t ce	----⌫--⌫|-|
qu ec e stoit	--⌫||-⌫----|
cellequilauoit e sueillié	----|--||----|-⌫--------|
uit si sestseigni é	--|-||--|------⌫-|
de manda liq u	--⌫----|-|-⌫|
ilotla quis	-|-|-|---|
etilres pontquil estoit pris	-|-|---⌫---|-|-|-----|---|
occisse roita	----|--⌫---||
grantdoulo ur	----|-----⌫-|
distla souriznai ez paour	---|-|-----||--⌫-|----|
oruo usrendraylegu erredon	-|--⌫-|------|-|--⌫------|
qua nt m oyfei steslepardon	---⌫-|-⌫-|---⌫---|-|-----|
pi e zyr ay marchier	--⌫-⌫|--⌫-|-------|
placespour u ozpiezaffichier	-----|---|-⌫-|---|--------|
ainsipourreza uecmayde	----|------|-⌫--||---|
enhault mo ntern aiezia h yde	-|----|--⌫---||---|-|-⌫--|
maisainsmeuoul ra ypourueir	---|---|-|----⌫--⌫|-------|
dau tressourizfa ireuenir	|--⌫---|-----|--⌫--|----|
pourlecordagedespecier	---|-|------|--------|
etl e sr oysieux	-|-⌫-⌫|-⌫------|
carenpeschier	--|---------|
nouspourr oient alissirh ors	---|-----⌫----|||----|-⌫--|
soiez de c edesorrec ors	----|-|-⌫|--|-|---⌫--|
lenseignemental a s our iz	|-----------||-⌫|-⌫---⌫-|
fi st q ue	--⌫-|-⌫-|
l elion fugueriz	-⌫|---|-|-----|
fossees tbien esch a ppez	----|--⌫|---|----⌫-⌫---|
ia luiualuth u milite z	-|--|----|-⌫-⌫------⌫|
parce st e xemple cino ussomme	--|--⌫-|-⌫-----|-|--⌫-|----|
queexempl e ypr engnentle riche	--|------⌫||--⌫------|-|----|
quisurles pou re sontpouoir	--|--|--|---⌫--⌫|--|-----|
silleurmesfontparnonsauoi r	|-|---|------|--|--|-----⌫|
qu ilzenaie ntbo nnemerc y	-|--|-|---⌫-|--⌫--|----⌫|
aue nirpeuttout au tressy	---⌫--|---|---|--⌫-----|
l uiauragrant mestier	-⌫-|---|----|------|
etmiex les aura c onseillier	-|---|-|-⌫---|-⌫---------|
a sonbesoin s ilests urpr is	|--|-----||-|--|-⌫----⌫-|
q uelim ieuldres	-⌫-|-|-⌫-------|
de sesamis	-|--|---|
parui e z e xemple enescripttr uiz	--|--⌫-⌫|-⌫-----|-|------|--⌫--|
semaprimeslin ui s	---|-----|---⌫--⌫|
linlepreuauoir	--|-|---|----|
laron de fudegrant	|----⌫-|-|-|----|
bie n s aparcut que	---⌫||------|--|
se ront oysiaux misa	--⌫---|------|--||
dulinpeu ton	-|--|---⌫|-|
lesroizlacier	--|---|-----|
dontle n lesp euttouzd ommagier	---|--⌫|--|-⌫--|---|-⌫-------|
to uzlesoysiauxf ista ssembler	--⌫-|--|------|-⌫--|-⌫-------|
sil eur uouloit conseild onner	-|-⌫--|------|------|-⌫----|
alassent lelinmangier	-------|-|--|------|
peust fructifier	----|---------|
pluseurssine leuou ldrent fa ire	-------|-|-|-|---⌫-----|--⌫--|
auseignour	-|-------|
al ere ntretraire	--⌫---⌫-|-------|
leconsei lqu e leur otd onné	-|------⌫|--⌫|---|-|-⌫----|
quantlarondello tesco uté	----||------||-⌫|----⌫---|
commeil lauoi e ntencusee	----|-||----⌫-⌫-|------|
deses parens fista ssem blee	-|--|-----|---|-⌫----⌫---|
oulesme illeurs desalignie	-|--|--⌫------|-|-|-----|
sisestau uilainapaisie	-||--|-|-----|------|
en samai sonsou ffrison	-|-|---⌫--|---⌫---|--|
si oyse lnourr y	-|----⌫|-----⌫|
elledonnaaso nlinpaix	---|----||--⌫|--|---|
iapa r nu l	-|--⌫|--⌫|
d eulzne lperdra	|---|-||-----|
cilfistdulineng inpluseurs	--|---|-|--|---⌫-|-------|
don t pristoysiaux g ran setmeneurs	---⌫|----|------|-⌫---⌫|-|------|
neussent pas	|------|--|
seeus sent	-|---⌫---|
l eco nsei lcreu	-⌫|--⌫----⌫|---|
c e stesem blanceestassezu oire	-⌫-⌫--|---⌫-----|--|----|-⌫---|
qu antfolzne ue ult	--⌫--|---|-|--⌫--|
lesagecr oire	-|---|--⌫---|
quibonconse illiscet donner	--|--|-----⌫-|-|---|-----|
malleueultgarder	--|-|----|-----|
si do mmages	-|--⌫-----|
lendoit uenir	|-|---|----|
donce s ttr o ptartau re pentir	---|-⌫-⌫|--⌫-⌫|---|-|--⌫-----|
iadisa uintq uen unest anc	----|-⌫---|-⌫|-|-|---⌫--|
entour lesr iues	-----|--|-⌫---|
otd erain esgrans compagnies	-|-⌫|----⌫-|----|---------|
quidelo n ctemps	--|-|--⌫-⌫|----|
ysontno u rr ies	|---|--⌫-⌫--⌫--|
ladesdeignerentarrester	-|------------|-------|
uoldren t al er	-------⌫|--⌫-|
aleu rde stinee crierent	|---⌫|--⌫-----|-------|
s ouu en t esfoizluidemanderent	-⌫---⌫--⌫-⌫-|---|--|----------|
queroyleurdeust e nu oier	--|--|---|----|-⌫--⌫---|
aut re rien nauoient mesti er	---⌫-|---||------|-----⌫-|
quant maint es foizoren tproié	----|-----⌫-|---|----⌫|-----|
lade s tineeaenuoié	-|--⌫-⌫----||------|
enmyl ieudeul xuntroncl ei our	---|-⌫--||---⌫|-|----|-⌫|-⌫--|
do nt elles	--⌫-|----|
orent grantpaour	----|----|----|
cellequipres	----|--|---|
quant elu i t qu e ne se mouuoit	----|-|-⌫-⌫|--⌫|-|-|------|
sescompaignes aappellees	--|---------||--------|
sisontensembleautronc a lees	-|---|-------|-|----|-⌫---|
pu is le saluentco mme roy	--⌫-|-|------|--⌫--|--|
et chascuneli prometfo y	-|-------|-|-----|--⌫|
toutes leti ennent pou rsei gno ur	-----|-|--⌫-----|---⌫|---⌫---⌫-|
sili po r tere ntgrant	-|-|--⌫-⌫----⌫-|----|
maisquant letron cneser e mut	---|----|-|----⌫|-|-|-⌫-⌫--|
et ellesuirentqu i lestut	-|----|-----|-|-⌫|----|
enmycel leyaue	---|---⌫-|---|
toutenpaix	---|-|---|
surlui monterenta	--|--|--------||
leuruileniesurlui	---|------|--|--|
li auel abatirent	|-⌫--||--------|
destinee reuont	-------|-----|
r oydemandentcar nulnenont	-⌫-|--------|--|--||-|--|
m auue zfucilquelleurd o nna	-⌫----⌫|-|--|-|-|---|-⌫-⌫--|
la destine ey enuo ya	-|-------⌫||----⌫-|
une coleuure	--|-------|
grantetfors	----|-|---|
quilesd eu eureettrait	--|--|-⌫--⌫---|-|----|
toutesfur entengr anttourment	-----|---⌫--|-|--⌫--|-------|
don ccrierent plusaig rement	---⌫|-------|---|---⌫-----|
aladestin eemer cy	|-|------⌫-|---⌫-|
queleurost astcelann emy	--|---|---⌫--|--|---⌫--|
l a destineerespo nd i	-⌫|-------|-----⌫--⌫|
nanil nanilieuous souffri	----|----|-|---|------|
toutesuozuolentez a	-----|--|-------||
sei gnou reustes	---⌫----⌫|-----|
debon naire	-----⌫----|
uilai nementleho nnes is tes	-----⌫-----|-|--⌫----⌫--⌫--|
orl aueztelqueuous	-||---|--|--|---|
a insiauintplu sou rs lefont	-⌫---|----|---⌫---⌫-|-|---|
des bons seignoursquantil lesont	--|---|--------|----|-|--|--|
touzioursles	---|----|--|
ue ulentdeffeuler	--⌫----|--------|
neleurs ce uent	-|---|-⌫--⌫---|
honneur garder	------|-----|
s i l n estient auquesen destr oit	|-⌫|-⌫||----|-----|-|-----⌫--|
ne fontpour luine tort nedroit	-|---|---|--|-|---|-|----|
atels eprenn ent que ldest ru it	|--|-⌫|-----⌫--|--||----⌫--⌫-|
deleurauoir mainne	-|---|----|-----|
son bru it	--|---⌫-|
lorsreg r ettent leurbon	---|---⌫-⌫-----|---|--|
c u yilzfirentladeshonn eur	-⌫-⌫|--|-----|-|-------⌫--|
coul ons demanderen t seigno ur	----⌫--|----------⌫|------⌫-|
choisirentunostour	---------|-|-----|
pour ce que mainsmal leurfesist	---|-|--|----|--|---|-----|
etuer sautresles gara nti st	-|---⌫|-----|--|----⌫---⌫-|
maisquant ilotla seignourie	---|----|-|-|-|---------|
ettuitfurentensabaillie	-|---|-----|-|-|------|
seulquilaprim ast	---|--||-----⌫--|
ocesi stetdeuorast	-----⌫-|-|-------|
pour c eparla undescoulons	---|-⌫|----|-|--|------|
si a ppellasesc o mpaig nons	-|-⌫-----|--|-⌫-⌫-----⌫---|
grant folie	----|----|
faitilfeismes	---|-|------|
aroypreismes	|--|-------|
quinou s oc cistdeiour e niour	--|---⌫|--⌫---|-|---|-⌫|---|
mie x nousuaulsistqu esanzseig nour	---⌫|---|-------|--⌫|---|----⌫---|
feussionstouztempsque auoir ces tui	--------|---|----|--|----|---⌫--|
aincoisnousgarderon sde	------|---|--------⌫|-|
nedoubterons forssesa gaiz	-|---------|---|--|-⌫---|
puisq uenous leusmes at raiz	---|-⌫-|---||-----|--⌫---|
ai lfait toutap per t ement	|-⌫|---|---|--⌫---⌫-⌫----|
ce q u i l f ist auantcel eement	-|-⌫|-⌫|-⌫--|----|---⌫-----|
cestexempl e	---|------⌫|
dit aplusours	--||-------|
quechoisissentle smaux seignour s	--|----------|--⌫|---|--------⌫|
degra ntfoliesentre met	-|---⌫-|----||-----⌫--|
qui ensubiectionsemet	--|-|---------|-|--|
acruel homet a	|----|--|-||
ian enara sehon te non	-||-|--|-|---⌫-|--|
du nlar o ncontequiala	|-⌫|---⌫-⌫|----|--|--|
brebizgarderqui lespia	-----|-----|-|-⌫|----|
d edanslafau deaun uilain	-⌫----|-|---⌫-||-|-----|
ensemble oluiportaunpain	-------||--|----|-|---|
auch i enuoultlepain baillier	-|--⌫-⌫-|----|-|---|-------|
quilaf audedeuoitgaitie r	--|-|-⌫---|-----|------⌫|
lichien lid istamis pourqu o y	-|----|-|-⌫--|---|---|--⌫-⌫|
prenderayie cepain	--------|-|-|---|
i e nel e tepuisguerdonner	-⌫|-|-⌫|-|---|---------|
faya tonoes	--||--|--|
lepai ng arder	-|---⌫|-⌫----|
li lere zditienen	-|----⌫|--|-||-|
quierrie n	----|---⌫|
mani ue leet	----⌫-|-|-|
lechienrespo ntnenuueilnient	-|----|-----⌫-||-|----|----|
ie scaytresbiena escient	-|---|---|---||------|
que maboucheueulzest ouper	--|-|-----|----|---⌫----|
nep uissemotsonner	-|-⌫----|--|-----|
siemblerie z	-|--------⌫|
nozbre biz	--|---⌫--|
carlibregiersestend ormiz	--|-|-------|--|---⌫----|
trayauroiemo n	---|-----|--⌫|
quima nourri iusquacestiour	--|||-----|----||---|---|
ma lement auroitexploitié	--⌫-----|-----|---------|
q uima nourrie taffe ttié	-⌫-|||-----|-⌫|----⌫----|
se parm a gard eauoi tperdu	-|--|-⌫|----⌫|----⌫|----|
cedont ilm	-|---|-||
alonc temp speu	|---|----⌫|--|
ettu meismesm en harroies	-|-|------||-|-------|
traitres me	-------|-|
neuueiltonp ainsig aangnier	-|----|--|-⌫--|-|-⌫-------|
do ncco mmencaa abaier	--⌫-|--⌫-----||-----|
parexemplenousmoustrecy	--|------|---|------|-|
chascuns franshomsfaceautre ssy	-------|----|---|---|-----⌫--|
senulzli ueultdonn er louier	-|---|-|----|----⌫-|-----|
neparprome sselose ngier	-|--|-----⌫--|----⌫----|
q ue sonseignour do ie trahi r	-⌫-|--|-------|--⌫-|-----⌫|
ueul tmieconsantir	----⌫|--|--------|
a tten d reen doittel guerredon	-⌫----⌫-⌫-|-|---|--|--------|
commelech ienf ist aularron	----|-|--⌫--|-⌫--|-|-----|
iadisa uintqu uns l eu p	----|-⌫---|-|--|-⌫--⌫|
p aruncheminsi encontra	-⌫-|-|-----|-|-------|
quip rains estoit	--|-⌫----|-----|
uersluiala a	---|--|--||
grant esploit	----|------|
distquepaix l uiuouloitdo nner	---|--|---|-⌫-|------|--⌫---|
orse hastastde	-|-|------|-|
pource ller	------⌫---|
carses porciau x uouloitauo ir	--|--|-------⌫|------|---⌫-|
ellerespondpargr antsauoir	---|------|--|--⌫--|-----|
sire commentme	---|------|-|
has teroye	---⌫-----|
tantcomsip resde moyuousuoye	---|--|-|-⌫--|-|--|---|---|
pourroiedeliurer	-------|-------|
ay deuousesg arder	-|-|---|---⌫----|
n esauez mie quecemonte	-⌫|----|--|--|-|----|
toutesf emellesontgrant honte	-----|-⌫------|--|----|----|
q ue nul zma slesydoi ttouchie r	-⌫-|---⌫|--⌫---||---⌫|-------⌫|
acelbeso ingn yapprouchier	|--|----⌫--|||----------|
adonc s enualil eups	----||-|-|-|-⌫---|
quiles pour ciaux u ouloit	--|--|----⌫----|-⌫-----|
etlatruy ese nest	-|-|----⌫||-⌫|--|
q uipare ngins estd eliuree	-⌫-|--|-⌫---||--|-⌫------|
ces teexemple doiuentoir	---⌫-|------|------|--|
to utesfemmesetretenir	--⌫---|-----|-|------|
pour s eulementl e u rcorps	---|-⌫-------|-⌫-⌫-⌫|----|
ne laissen tleur senfanspe rir	-|-------⌫|----⌫|-----|--⌫--|
cyd it quelieur es	-|-⌫-|--|-----⌫-|
sassemblerent	|-----------|
aparlementsiesgarderent	|--------|-|----------|
qu en autre terreseniroient	-|-|----|----||-|------|
horsdel a guerreouilzestoient	---|-|-⌫|-----|-|--|-------|
car troperentengrantdo ule ur	--|---|----|-|----|--⌫---⌫-|
dommes dechiens orentpaeur	|----|-|-----|----|----|
sin eluouloientm aiss o uffrir	-|-⌫||--------|-⌫--|-⌫-⌫-----|
p our ce senueulent horsyssir	-⌫--|-||-|------|---|----|
ly s agelieur eleur d isoient	-|-⌫--|-----⌫|---|-⌫------|
que fo lieertqueilzquero ient	--|--⌫--|--|--|--|-----⌫---|
a issi r deleur congnoi ssance	|----⌫|-|---|-------⌫-----|
ou ilzfu rentnourrizdenfa nc e	-|--|--⌫---|------||----⌫--⌫|
lesautr es neles uouldren tcroire	--|----⌫-|-|--|--------⌫|-----|
touzensem bletindrent le ureire	---|-----⌫--|-------|--⌫-|---|
au ne ma resontuenu	|-⌫-|--⌫-|---|---|
gardent eltaysi ont	------|-|--|-|--|
ourenesfure ntass emblees	-|----|----⌫-|---⌫------|
dup a ouord	-|-⌫-⌫---||
eulx son teffraees	---|---⌫|-------|
dedan s lia ue seuontplungier	-----⌫||--⌫-|-|---|-------|
desquelles uir ent approuc hier	----|-|--|---⌫--|-------⌫---|
un lieurelesaappellez	-|-----|--||-------|
se ignours faitil orregardez	--⌫------|---|-|-|-------|
parlesrenes quenous ueons	--|--|----|--|---|----|
quipaourontnouspourpensons	--|----|--|---|----------|
quenousa lo ns	--|---|-⌫--⌫-|
querantf olie	------|-⌫---|
qui nos tre terreau ons laissie	--|---⌫--|----|--⌫--|------|
pour e stre ailleursasseurez	---|-⌫---|-------|-------|
