mout fu irie z	---|-|----⌫|
uo smestesple ig esque	--⌫||----|---⌫--⌫-|--|
ieneso ieparcestui	-|-|--⌫-|--|-----|
iame s autrenem auendra.	----⌫|----|-||------||
deceste tes era i	-|----|-|-⌫---⌫|
deuant dieuparson	-----|---|--|--|
comen deme nt sicomilnos	-----⌫----⌫-|-|--|-|--|
e st abliz en terre.cele	-⌫--⌫----|-|----||---|
pr antsa peni ta nceque	--⌫--|-|----⌫--⌫--|--|
a enchargiee molt	|---------|---|
uo lentierseten plorant	--⌫-------|-|-|------|
commec eli	----|-⌫--|
quim oltdeboncuer	--|-⌫--|-|--|---|
serepantetlip rodom	-|-----|-|-|-⌫----|
etbeneistetlam et	-|------|-|-|-⌫-|
arriereauplusqu il	------|-|---|-|-|
cris t.etsiporpe nsese	----⌫||-|-|-----⌫--|-|
ceestuoir s	-|--|----⌫|
queelel iadit	--|--|-⌫||--|
dont se tilbie n	---|--⌫|-|---⌫|
ele est deceue	--|--|-----|
parenne m isila pe le	--|----⌫-⌫|-||-⌫--⌫-|
moinelaoul	----|-|-||
ia uebeno ite	--⌫-|----⌫--|
estoitsi l	-----|-||
boi ureenn ondou	---⌫--|-|-⌫-|--|
etdoufilet	-|--|--|-|
saintesprit etl	----|-----|-||
gietesorluiet l i	----|--|--|-|-⌫|
d istgar de	-⌫--|---⌫-|
tu nobliesme sles	-||-----|--⌫|--|
com endemenz q ueiet ai	---⌫-------|-⌫-|-||-|
co mendezetpart antes	--⌫-----|-|--|-⌫----|
foi zcomtuau ras	---⌫|--|-|--⌫--|
besoingdemoisi	------|-|--|-|
re uien.illasa ingne	--⌫---||-|-|--⌫----|
et laco mende	-|-|--⌫----|
limet touz	-|--|---|
qu elepuet	-|--|---|
penitance .	--------||
mais o n et me na	----⌫-⌫|-|--⌫-|
bon neuieetm olt	---⌫-|--|-|-⌫--|
e tquant deablesuit	-⌫|----|------|--|
ill otperdue ne que	-||-|-----|-|--|
il n e sa uoitque le	-|-⌫|--⌫---|-|-⌫-|
fa i soit ne qu	--⌫-⌫---|-|-|
diso i tne qu e sele	----⌫-⌫|-|--⌫||--|
eustonquesesté	---|-----|----|
sif u mo ltiriezde	-|-⌫|--⌫-|----|-|
cequillotp erdue.	-|-|-||-|-⌫----||
einsis reme st	-----|----⌫-|
tantqueelequia uoitla	------|--|--|-⌫---|-|
s emenceo ucorss i	-⌫-----|-⌫|---|-⌫|
etembarnita ntqueles	-|------|--⌫----|--|
autres femmes sen	-----|-----||-|
ap ercurent	--⌫-------|
et ui nrenta	-|--⌫----||
direntdiex bele	-----|---|---|
engrois si ez molt.ete lle	-------⌫--⌫-|---||-|-⌫--|
cefaismon. e teles	-|---|--||-⌫|---|
dem andent iestesuos	---⌫-----|-----|--|
etele respontoilce	-|--|------|--|-|
m estau is.-etde	|--|--⌫-|||-|-|
sime doi nt diexa	-|-|---⌫-|---||
est redeliure	---⌫-|------|
aesc iant decui.	|---⌫---|-|--||
eles r espon den tontle	---|-⌫-----⌫---⌫|--|-|
uos do nt tant	--|--⌫-|---|
ho mefaitqueuosne	--⌫-|---|--|--|-|
sauez as sener a u q uel	----|--⌫----|-⌫|-⌫--|
respon tiadieu ne	------⌫|-|---|-|
placeque ieenso i	----|--|-|-|--⌫|
deliure se	------|-|
onqueshomamon ueu	-----|--||--|--|
n eamonseuamoi	-⌫||--|--||--|
otafaireenmeniere	-|-----|-|------|
et cel es quice oirent	-|---⌫-|--|-|-----|
si se s ein gnierent	-|-|-⌫---⌫-------|
et distrentbele	-|-------|---|
cen epor roit	-|-⌫|---⌫---|
il nef uo nqu e s	-|-|-⌫|-⌫---⌫-⌫|
nedeuos ned a ut rui	-|-|--|-||-⌫--⌫--|
am ez plus	--⌫-|---|
e sp oircelui	-⌫--⌫--|----|
qu i ce uos afaitq ue	--⌫|-|--||---|-⌫-|
uosnefaitesu os	--|-|-----|-⌫-|
meismessine lu olez	------|-|-||-⌫---|
enc use r .mescertes	---⌫---⌫||--|-----|
damaigesestd euos	-------|--|-⌫|--|
sitostcomla	-|---|--|-|
etli iugelesauront	-|-|---|-|------|
ausis tost uoscouend ra	----|---|--|------⌫-|
quantceleloisen	----|---||-||-|
fu m oltesp oantee	-|-⌫--|---⌫-----|
e ins isfa ce	-⌫---⌫-|--⌫-|
demoisauuecomie	-|--|----|--|-|
on quesneui	--⌫---|-|-|
n econui celuiquice	-⌫|----|----|--|-|
mafait.etles	||---||-|--|
fem mes s enrient	---⌫--||-|----|
entienent p o r	-|------|-⌫-⌫|
folee tdientquemar	---|-⌫|----|--|--|
fu sibia x	-|-|---⌫|
he rberiaig eset	--⌫--------⌫-|-|
terre et si bonsf iez	----|-|-|---|-⌫--|
qu eor e s aura	--⌫|--⌫-⌫|---|
tot perdu.quant celel	--|----||----|---||
es poantee e t	--⌫------|-⌫|
senreuintar rieres a	|-|-----|--⌫-----||
sonconfessoretli	--|--------|-|-|
contesi comles	----|-|--|--|
femm esdisoient.etli	----⌫-|-------||-|-|
prodomuit quel efu	-----|--|-|--⌫|-|
grossedeuif	-----|-|--|
enfantsi semerueilla	-----|-|-|--------|
moltetlide m a nda	---|-|-|--⌫-⌫-⌫--|
beleseur auez uos	---|---|---|--|
bien ten ueuostrep enitance	---|---⌫-|-----|-⌫-------|
chargai et elle respont	------|-|---|------|
sireoilsanz riens	---|--|---|----|
tre spa sser.	---⌫---⌫---||
-etaui ntuos	|-|---⌫-|--|
cest emerueille	----⌫|--------|
eteleres pont	-|--|---⌫---|
non sireonqu es puis	--|---|----⌫-|---|
ne mauintne pui s	-||----|-|---⌫|
ainz.liprodom	---||-|-----|
me rueillemolt	--⌫------|---|
lanuit e tl ore	-|---|-⌫||--|
en es cri tsicom ele	-|--⌫---⌫|-|--|--|
li otc on té etil	-|-|-⌫--⌫--|-|-|
dittoute seure	--|----|----|
soiezquantcest oir	----|----|---|--|
quienuos e st	--|-|--|-⌫-|
sauraibienseuosm	-----|---|-|--||
auezmenti etieai	---|----|-|-|-|
crea nceen	----⌫--|-|
uoirseins ic om	----|----⌫|-⌫-|
uos m auez	--||---|
c ontéqueuos nau rez	-⌫----|--|--||--⌫--|
ia garde de mort. mais	-|----|-|---||---|
paoren porrez	---|-|-----|
uosmoltgrantauoi r que	--|---|----|----⌫|--|
s anzfaillequant lii ug e	-⌫--|-----|----|-|-⌫--⌫|
lesauro n t	-|-----⌫-⌫|
e t laiostice	-⌫|-|------|
ferontprandrep or	-----|------|-⌫-|
uoz g r anzede f iz	--|-⌫-⌫--|---⌫-⌫-|
etuostreb eleterre	-|-----|-⌫--|----|
diron tqueilfer o n tde	-----⌫|--|-|---⌫-⌫-⌫|-|
uo siostice .	--⌫|------||
uo sseroiz	--⌫|-----|
prises ileme	----|-⌫|-|-|
sauo iretieuos	----⌫-|-|-|--|
ir air econfort er	--⌫-|-⌫--------⌫-|
seie pu is.e t dexuos	-|-|--⌫-||-⌫|--|--|
seuosestestelecom	-|--|----|---|--|
uosdites etsachiez	--|----|-|------|
bienseuosl	---|-|--||
que ilu os aid era. et	--|-|-⌫-|---⌫--||-|
lorslidist	---|-|---|
a lezuos en	-⌫--|--|-|
soieztoute	----|----|
endieu etme nezbon n e	-|---|-|--⌫--|---⌫-⌫|
uiequebonne uiea ide	--|--|----|--|-⌫--|
finau oir.	--|--⌫--||
einsi r euintcele en	----|-⌫----|---|-|
ma isonetfu	--⌫---|-|-|
simplementtantqueilauint	---------|------|-|----|
queliiugeuinr enten	--|-|---|----⌫--|-|
late rre et que	-|--⌫--|-|--|
ilsoren tcelenoue le	-|-----⌫|---|----⌫-|
sie nuoierentaso n	-|-⌫--------||--⌫|
ostelpor amen erla	----|--|----⌫-|-|
deua ntels	----⌫-|--|
fuprisesie nu oia	-|----|-|-⌫--⌫--|
querirl eprodome	-----|-⌫|------|
cel ui qui toz	---⌫-|--|--|
auoitconseill ieeetqu ant	----|--------⌫--|-|--⌫--|
il lesotsi	-|-|--|-|
uin tauplus	---⌫|-|---|
ilpotetquanti l	-|--|-|----|-⌫|
fu uenuzsi	-|----|-|
queilla iugoientia.	--|-|-|-------|-||
etqua nt il le	-|---⌫-|-|-|
sil ap elerent	-||--⌫------|
etmost rerent	-|----⌫-----|
femmeet qu ele	----|-|-|--|
quel e nesauoi t qui	-|--⌫|-|-----⌫|--|
en liauoitengendréet	-|-|----|--------|-|
li demanderen t	-|----------⌫|
c u idiezuosque	-⌫-⌫----|--|--|
pois t estrequefemme	----⌫|----|--|----|
enchargier ne	---------|-|
auo irenfant	---⌫-|-----|
iene uosdirai p as	-|-|--|----|-⌫-|
quan queies aim a ist ant	----⌫--|-|-⌫-|-⌫-⌫-|-⌫--|
iebiendireseuos	-|---|---|-|--|
u olezmon co nseilcroire	-⌫---|--|--⌫----|-----|
queuosne fero iz	--|--|-|----⌫-|
pas d e liiustise tan t	--|-⌫|-|------|---⌫|
comeleso itgrosse	--|--|--⌫-|-----|
caril ne st	--|-||-⌫-|
n eraison sneli enfes	-⌫|------⌫|-|-|----|
deseruie morto u	-------|---|-⌫|
delamere .dontdites	-|-|---||---|----|
uosqueu osaurez	--|--|-⌫-|----|
ansimortceluiqui	---|---|----|--|
pechienauro it fa it	-----||----⌫-|--⌫-|
commecelui	----|----|
q uipechie auroit	-⌫-|-----|-----|
et li iugedientnos	-|-|---|----|--|
ferons a uost re lo s .	-----||----⌫-|--⌫||
etliprodomdist se	-|-|-----|---|-|
uosen faitesmon	--|-|-----|--|
uosl aferoizbien	--|-⌫|-----|---|
garde retmestreenune	-----⌫|-|-----|-|--|
tore nt elliuou e le	--|-⌫|-⌫-|--|-|-⌫-|
folieetmet ez	----|-|---⌫-|
y y femmesq u i	-⌫|-----|-⌫-⌫|
aiderontquantmestiers	-------|----|-------|
seraadeli u rer entel	---||----⌫-⌫--|-|--|
n enp orrontoissiret	|-|-⌫-----|-----|-|
lasauueztan tqu ele	-|-----|---⌫--|--|
enfantet t ant	-----|-|-⌫--|
parmo n los lilair ez	--|--⌫|--|-|----⌫-|
norrirquilporra	-----|-|-|----|
par soiet demanderses	--|--|-|-------|--|
e s touuo irs.etlor sseuos	-⌫-⌫-----⌫--||-|---⌫|-|--|
a utrechose faire	-⌫---|----|----|
fer o izuostr eplaisiret	---⌫-⌫-|-----⌫|------|-|
souecho se tot	---|---⌫-|--|
seuoscre ezmon	-|--|---⌫-|--|
conseileinsi l e fe roiz	------|----|-⌫|--⌫---|
uos e ts euosuolez	--|-⌫|-⌫|--|----|
autrementfaireiene n	--------|----|-||-⌫|
pu is mais.	--⌫-|---||
e tlii ugerespon dent	-⌫|-|-⌫--|------⌫---|
il n os estb ien auis	-|-⌫-|--|-⌫--|---|
uo sdit esr aison.e insi	--⌫|---⌫-|-⌫----||-⌫---|
c omli prodomla	-⌫-|-|-----|||
deuisiéet ille	-------|-|-|-|
i llamistren t enzz	-⌫|-|-------⌫|-|-|
hautetoretfirent	----|--|-|-----|
lesh uis d	--|-⌫--||
mureretmistr ent	----|-|-----⌫--|
luiyy femmesles plus	--|-|-----|--|---|
sa igesq uil	--⌫---|-⌫|-|
por enttrouer	---⌫--|-----|
mes tie rfaireet enhaut	---⌫---⌫|----|-|-|---|
laissierent	----------|
une fenestreparouelles	--|-------|--|-|----|
tiroien taune	-------⌫||--|
quemestier s	--|-------⌫|
loresto it	--|----⌫-|
etli prodomq uantil	-|-|-----|-⌫---|-|
fait sipallaa el les	---|-|----||--⌫--|
delafenestreet dist	-|-|-------|-|---|
quant tuauras eu	----|-|----|-|
lef ai baptier	-|-⌫-|------|
tostquetuporr aset	---|--|-|----⌫-|-|
quant tu ser as h o rsmise	----|-|---⌫-|-⌫-⌫-|---|
etoniugiersim	-|-|-----|-||
en uoie quer re .	--⌫---|----⌫-||
eins isremestcele enla	----⌫-|-----|---|-|-|
torzz grantte ns	--|-|----|--⌫-|
i uge orentbienatorné	-⌫--|----|---|------|
queleot ce	-|--|-|-|
mestiersfu.	-------|-||
re mestlaiens	--⌫---|-----|
eto tenfantsi	-|-⌫|-----|-|
e tquantil	-⌫|----|-|
siot etdutau oir	-|-|-|--|--⌫--|
lepooiret l enging	-|----|-||-----|
doudeable comcilqui	--|-----|--|--|--|
lauoitconc eu.maisi l	|----|----⌫-||---|-⌫|
lauoitfai t	|----|---⌫|
f olementca rilsa uoit	-⌫------|--⌫|-|--⌫---|
bienquenos tre sires	---|--|---⌫--|----|
auoit ac hat e e	----|--⌫---⌫-⌫|
desam ortur aie	-|-|-⌫--|--⌫--|
repenten ceeti l auoit	--------⌫-|-|-⌫|----|
cel eengingn iee	---⌫|-------⌫--|
de ceuement et pa renging	--⌫-------|-|--⌫|-----|
et endormant . etcel le	-|-|------||-|---⌫-|
engingnie esi serecon oi st	---------⌫|-|-|-----⌫--⌫-|
etcria merc ilaou	-|---|----⌫|-|-|
ele dut etquantelle	--|--|-|----|---|
lotcrieesise	|-|----|-|-|
miste nl amerci et	---|-⌫|-⌫|----|-|
ou com en dement dedieu	-|---⌫--⌫-----|-|---|
sa inte e gliseet	--⌫---|-⌫----|-|
tozlo rcomendemenz . et	--|--⌫|----------||-|
deable sipe rdis tc hose	------⌫||--⌫----⌫|-⌫---|
qui lideustauenir	--|-|----|-----|
uolt bi en	---|--⌫-|
cequil d esir oitet	-|-|-|-⌫----⌫--|-|
c ep or quo iil	-⌫|-⌫-|---⌫|-|
il le fistp or	-|-|---|-⌫-|
lorart desauuer les	--|--|-|-----|--|
chosesqui estoient et	-----|--|-------|-|
f aiteset dites et	-⌫----|-|----|-|
et totcesotil.et	-|--|-|--|-||-|
nostresirequitot	-----|---|--|--|
co noist et set	--⌫----|-|--|
por la r epantancedela	--|-|-⌫--------|-|-|
m er eetporla	-⌫--⌫|-|--|-|
recono i ssanceet l e	------⌫-⌫-----|-|-⌫|
decon fession	-|---⌫------|
bonnerepant a n ce	----|------⌫-⌫-⌫-|
s otqui ensoncuer	-⌫-|--|-|--|---|
est oitet quiparson	---⌫--|-|--|--|--|
gre n eparsabo ne	--|-⌫|--|-|--⌫-|
uolente neli est oit	------|-|-|---⌫--|
auenu cequi auenuli	----|-|--|----|-|
estoitetporl a forc e	-----|-|--|-⌫|----⌫|
debaptes me	-|------⌫-|
ot estélaueeaufon z	-|----|----|-|---⌫|
uostnostre s irequele	---|-----|-⌫--|--|-|
p echiedes amere	-⌫----|-|-⌫|---|
neli poistnu iresi	-|-|----|--⌫--|-|
lid on a pooir	-|-⌫--⌫|----|
desauo irquiestoient	-|----⌫-|--|-------|
aauenir .par	|-----||--|
raisonsso tcis t les	------|--⌫|---⌫|--|
chosesfaites	-----|-----|
etaleescaril	-|----|--|-|
et t ientde l en emi	-|-⌫---|-||--⌫--|
q u ilsetdes ch os es	-⌫|-|--|--|--⌫--⌫-|
qu iso nta auenir uolt	--⌫|--⌫-||-----|---|
nostre s i res	-----|-⌫-⌫--|
quil se ust	-|-|--⌫--|
autrescho sesq uil	-----|---⌫--|-⌫|-|
sauoitporendroit	-----|--|------|
souepartiesi	---|-----|-|
se tenr aala	-|----⌫||-|
que il ueura carse	--|-|----|--|-|
asdeableslord roit et	-|------|--|-⌫---|-|
seingnor lesuen car plus	-------|-|---|--|---|
nade able se n lui	||--⌫----⌫|-⌫|--|
formét que le	------|--|-|
corse tnost re	---|-⌫|----⌫-|
entouzl escorss on	-|---|-⌫-|---|-⌫-|
etue iret poroir e t	-|--⌫-|-|--|--|-⌫|
porenten dre chasc unselonc	--|-----⌫--|-----⌫-|-----|
liprestem emoire. e til	-|-----|-⌫-----||-⌫|-|
aacestui plusdoné	||-----|---|----|
que aaut re	--||---⌫-|
porceque grain dre	--|-|--|-----⌫--|
mestiers liestoit	-------|-|-----|
saurao rbien au quies	----|-⌫|---|-|----|
il sedeuratenir.	-|-|----|----||
et einsif ucilnez.	-|----|-⌫|--|--||
etquantlesfemmes	-|----|--|-----|
recure ntde	------⌫-|-|
otonquesce le	-|-----|--⌫-|
qu igrantp ao rn aust	--⌫|----|-⌫--⌫||---|
porce quille	--|-|-|-|-|
uirent plusuelu etplus	-----|---|---|-|---|
poilauoitqu elesn	---|----|-|---||
onq ues ueu	---⌫--|--|
aau treenfant	|--⌫--|-----|
a uoir.eteinsile	-⌫---||-|----|-|
mostrerent alam ere	---------||-|-⌫--|
etquant ellele	-|----|---|-|
si seseingna	-|-|------|
cis tenfes me	---⌫|----|-|
fai tg rantpaor . etles	---⌫|-⌫---|---||-|--|
autr esfemmesdientet	----⌫-|-----|----|-|
nosmeismes	--|------|
t antque agran tpoine	-⌫--|--||----⌫|----|
le poons nosteni r.	-|----|--|----⌫||
aualez leaual si	-----|-|---|-|
c omende z queilsoit	-⌫------⌫|--|-|---|
bapto iez .	-----⌫--||
dema ndentc o me nt	----⌫----|-⌫-⌫--⌫-|
uoudroituos q ue il	-------|--|-⌫-|-|
n onetele respo nt	-⌫-|-|--|-----⌫-|
ansiscomme mesperesot.	----|----|--|----|-||
mestentou p anier sil	------|-|-⌫----|-||
aualent aua l ala c orde	------|---⌫||-|-⌫---|
comendent que ilfu st	--------|--|-|--⌫-|
bapto iez etquil eust	-----⌫--|-|-|-|---|
par samere	--|-|---|
p rod omot a	-⌫---⌫-|-||
non melli ns.	--|-----⌫-||
einsi sfucistenfes	-----⌫|-|---|----|
baptoie z et a pelez mel lins	-------⌫|-|-⌫----|---⌫---|
porson aiolet	--|--|---|-|
rebailliez ala	---------||-|
pornorrircaraut re	--|-----|--|---⌫-|
femm e nel osast norrir	----⌫|-||----|-----|
nealaitier .	-|-------||
samerelenorriet	-|---|-|----|-|
alaita ta ntqueilot yy	-----|--⌫----|-|-|-|
mois.etlesfemmes	---||-|--|-----|
qui au ec sam ere	--|--⌫-|-|-⌫--|
estoientdirentpar	-------|-----|--|
ma i n tesfoizque m olt	--⌫-⌫-⌫--|---|--|-⌫--|
meruei lle ntdecele nf ant	------⌫---⌫-|-|--|-⌫--⌫--|
quieins is estoitue luz	--|----⌫-|-----|--⌫--|
sembloitestreuie lzet	-------|----|---⌫-|-|
enco rnau oit queyy	----⌫||--⌫--|--|-|
moi set ilsembloi t	---⌫|-|-|-------⌫|
quileustyy	-|-|---|-|
lors auintgrant piece	---|----|----|----|
ap re sque li anfesfu	--⌫--⌫|--|-|----|-|
deyymoisqueles	-|-|---|--|--|
femm esdistr entala	----⌫-|-----⌫--||-|
mere damenos uo udr oions	---|---|--|--⌫---⌫----|
e strehor s	-⌫---|---⌫|
decaienzcarnosauons	-|-----|--|--|----|
noslingnaigesetnos	--|---------|-|--|
uo udroionsale ranoz	--⌫-------|---⌫||--|
maison set ilnosest	------⌫|-|-|--|--|
auisquenos	---|--|--|
assez caienzesté.et	----|-----|----||-|
lor resp ontsit ost	--|----⌫--|-|-⌫--|
co muosensero iz	--⌫|--|-|----⌫-|
saibienque	--|---|--|
lenfe rai ostice demoi .	--|--⌫-|-⌫-----|-|--||
etelesdient	-|---|----|
ce r tesdamenosn en	--⌫-⌫--|---|--||-|
poom m ai s netoz iorz	---|-⌫--⌫|-|--|---|
n euolonsp as	-⌫|-----|-⌫-|
iciestr e. e t eleplore	--|----⌫||-⌫|--|----|
e tl orp riepordieu	-⌫|-⌫-|-⌫--|--|---|
quelle s se	-|----⌫|-|
suef r e ntenco res unepiece .	----⌫-⌫-⌫-|----⌫--|--|----||
e tceles uontau n e	-⌫|----|---||-⌫-⌫|
et la meretints on	-|-|---|---|-⌫-|
enf a ntent res e sbrazet	---⌫-⌫-|---⌫-|-⌫-⌫|---|-|
sesistetplora	-|---|-|----|
moltduremente t dist	---|-------|-⌫|---|
biaus fi lz	----|--⌫-|
prandrai mo rt etsene	-------|--⌫-|-|-|-|
aipasde serui emaisie	-|--|--⌫-----⌫|---|-|
morr aporce queiln	----⌫|--|-|--|-||
qui ensaiche la ue rite	--|-|-----|-|--⌫---|
qu eie etie	--⌫|-|-|-|
pu is e strecreueet	--⌫-|-⌫---|----|-|
m ecouendraamorir	-⌫|-------||----|
sedolosoit	-|-------|
einsis asonfil	-----||--|--|
etdis o it	-|---⌫-⌫-|
qu edefort	--⌫|-|---|
orelau otdiexs of fert	--||--⌫-|---|-⌫--⌫---|
a na istreet concrie ́	|--⌫----|-|-------⌫|
enson co rspo rsa	-|--|--⌫-|--⌫|-|
porsontorment	--|--|------|
tantcomel le parloit	---|--|--⌫-|------|
e insietmost roitnostre	-⌫---|-|----⌫---|-----|
seingno rses dolorsl	-------⌫|--|-----||
en fantla resgarda	--⌫---|-|-------|
etr istetdistbele	-|-⌫--|-|---|---|
meren a iezp aspa or	---||-⌫--|-⌫-|--⌫-|
por pechie quidemoi	--|-----|--|-|--|
quan tl a me reloi	----⌫|-⌫|--⌫-||-|
silifaillilicuer s	-|-|-----|-|----⌫|
etotpaor etla issa	-|-|---|-|--⌫---|
sesb ra za ler	--|-⌫--⌫|-⌫--|
e nf es cheialaterre	-⌫--⌫-|---||-|----|
et s ebleca.etles	-|-⌫|----||-|--|
femmesquiestoient a	-----|--|-------||
lafene str e saillirentet	-|----⌫---⌫|---------|-|
cuiderentquelele	--------|-|--|-|
uou sistt uer si i	---⌫---|-⌫--|-||
etdema nderentporq u oi	-|----⌫------|--|-⌫-⌫-|
uos estuostreen fes	--|--|-----|--⌫--|
leuouleztueret	-|-----|---|-|
repontmolt	-----|---|
esba ie ie	----⌫-|-|
onquesmaisil mest	-----|---|-||--|
chao izpor	----⌫-|--|
me rue illequeilma	--⌫---⌫---|--|-|||
dit esimefaill i rent	---⌫|-|-|-----⌫-⌫---|
p or cemechei .	-⌫-|-|-|---||
etelle s dema ndentque	-|----⌫|----⌫----|--|
ildonque sde	-|------⌫|-|
quoi uos deuez	---|--|----|
estresi esfraeeet	----|-|------|-|
elle lord istil m	---|--|-⌫--|-||
aditque ien e	|--|--|-|-⌫|
p r andrai	-⌫-⌫-----|
ia mort por lu i.et	-|---|--|--⌫||-|
ele sresponnentencor	---⌫|---------|----|
dir ail autr echo se	---⌫|-|----⌫|---⌫-|
lep rennent entr e lles	-|-⌫------|---|-⌫---|
si lecomencent a	-|-|--------||
coitie rpors auoir	------⌫|--|-⌫----|
pallast et	------|-|
e nfist onquessem blant	-⌫|---|-----|---⌫----|
nen e l ordi st	-|-⌫|-⌫-|--⌫-|
mot.unl onctensapr es	--||-|-⌫--|---|---⌫-|
au int q uela me redist	--⌫--|-⌫-|-|--⌫-|---|
asyyfemmes	-|-|-----|
menac iezmoiet	-----⌫--|--|-|
queieserai p ormon	--|-|----|-⌫-|--|
filars eet iele	--|---⌫|-|-|-|
tenraientremes	-----|----|--|
lorsuerroiz	---|------|
uoudrapal ler. etles	-----|---⌫--||-|--|
femmesiuinr entsi	-----||----⌫--|-|
direntmolt seragr ant	-----|---|---|--⌫--|
damaig ede	------⌫|-|
u ostr ebiau	-⌫----⌫|---|
q uiporcel e creature	-⌫-|--|---⌫|-------|
sera ars. molt fust	---|--||---|---|
miauzqueilne	----|--|-|-|
uos ment ez e tc euos	--|----⌫-|-⌫|-⌫|--|
a f ai tmemere	|-⌫--⌫|-|---|
dire .qu antcellesoirent	---||--⌫--|-----|-----|
cesifu renttoutes	-|-|--⌫---|-----|
esb a ie set	---⌫-⌫--⌫|-|
toutes esfraeesetdist rent	-----|-------|-|----⌫---|
en treuscenest	--⌫-|--|-||--|
ainses tdea bl e squi	---|--⌫|---⌫--⌫-⌫|--|
dit.et e les	--||-|-⌫--|
reparo l entetmeste nt en	------⌫-⌫--|-|-----⌫-|-|
maintesnoue lesetil	------|----⌫--|-|-|
tantsol e mentlaissiez	---|---⌫-⌫---|-------|
moiesterqu euosiestes	--|----|--⌫|--|-----|
pecherressesplu s quema	-----------|---⌫|--|-|
m ere . qua ntelesl	-⌫--||---⌫-|---||
oirentsisen	-----|-||-|
meru eil lierent molt e t	----⌫---⌫------|---|-⌫|
dir ent c este	---⌫--|-⌫---|
mer ueille ne	---⌫-----|-|
n osle diron saual	-⌫-|-|-----⌫|---|
pueple .lorsuinrent a	-----||---|------||
la fenestreetapelerent	-|-------|-|--------|
le sge nz e tcontentce	--⌫|--⌫-|-⌫|------|-|
que lienfes lora	--|-|----|--||
dientqueles ne	----|-|---|-|
uuelent pluslaienz ester	------|---|-----|----|
qu e lonled i e	--⌫|--|-|-⌫-⌫|
.quant liiuge	|----|-|---|
oir ent cellemerueille si	---⌫--|----|--------|-|
distrentque	-------|--|
cee stoit molt	-|-⌫----|---|
merueilleuse	-----------|
choseetdistrentquil	----|-|-------|-|-|
maisraison s def a ire	---|------⌫|-|-⌫-⌫--|
iosti se d e lameresi	-----⌫-|-⌫|-|---|-|
fir ent fairel or letres	---⌫--|----|-⌫-|-----|
etaiornerentl amere	-|---------|-⌫|---|
ausquarant e	--|-------⌫|
fairede li iostis e.	----|-|-|------⌫||
etqua n t lesletres	-|---⌫-⌫|--|-----|
furen taportees	-----⌫|-------|
m er elesot	-⌫--⌫|-|--|
sonmartir e lifu	--|------⌫|-|-|
no nciezsiotmolt grant	--⌫----|-|-|---|----|
paoretl e fist	---|-|-⌫|---|
a s auoi raubo nhome	|-⌫----⌫|-|--⌫|---|
qu ilaconf esso i t .	--⌫|-|----⌫----⌫-⌫||
einsisremestu ne g rant	-----|-----|-⌫-|-⌫---|
pie ceta ntqueilui ntau	---⌫-|--⌫----|-|--⌫-|-|
setenne iordeuantque	------|--|--------|
elledeuoitestre arse.	---|-----|----|---||
etq uantillim embra	-|-⌫---|-|-|-⌫----|
deceliorsifu	-|--|--|-|-|
mo ltespoantee.etl i	--⌫-|--------||-|-⌫|
enfesaloitpar	----|----|--|
etu it samere plore r	-|-⌫-|-|---|-----⌫|
sicomenc aarireet	-|------⌫||---|-|
a fa irese mblant de	|--⌫--|--⌫-----|-|
io ieetlesfemmes	--⌫-|-|--|-----|
lidirentmoltpe nsez	-|-----|---|--⌫---|
orespoi acequ e	---|--||-|--⌫|
u ostremere p ense	-⌫----|---|-⌫---|
quiceste s e menequi	--|----|-⌫-⌫---|--|
e ntrera sera	-⌫-----|---|
uos . maudite soitl	--||------|---||
se di e x ne lama	-|--⌫-⌫|-||--|
uos on q uesnez	--|--⌫-⌫--|--|
elle poruos	---|--|--|
sofferrac elm art ire.et	-------|-⌫-|-⌫---⌫--||-|
il resp o nt	-|----⌫-⌫-|
elles men tent	----|---⌫---|
belemere ianesera	---|---|-|-|---|
tant co m i euiueque	---|--⌫|-⌫|---|--|
uo s osseardoir	--⌫|---|-----|
ne mestreaiuse de	-|-----||---|-|
mortforsdiex	---|---|---|
lesfemmesl oirent	--|-----||-----|
etlamere s ien	-|-|---|-⌫|-|
furentmoltl iees et	-----|---|-⌫---|-|
dientcistenfes	----|---|----|
se raencorm olts aiges	--⌫-|----|-⌫--|-⌫----|
q uiceset dire.	-⌫-|-|--|---||
einsisremestdusqueau	-----|-----|-----|-|
ior qui nome zfu. lors	--|--|----⌫|-||---|
fur entles fem me s	---⌫--|--|---⌫--⌫|
giteesdela tor et	-----|-|-|--|-|
celleapor ta	----|----⌫-|
entresesbraz	----|--|---|
iu s tisier fure ntuenusi	--⌫-⌫-----|----⌫-|---|-|
a syyfemmesa une	-⌫|-|-----||--|
de manderentseceest	--⌫--------|-|-|--|
uoi rsquelien fes	---⌫-|--|-|--⌫--|
parosteinsi	-----|----|
et c elesli	-|-⌫---|-|
quanqueelesliauoie nt	------|---|-|-----⌫-|
oid ire .etquant	-|-⌫--||-|----|
cill oiren t sis en	--||-----⌫|-||-|
meru eillieren tmolt et	----⌫---------⌫|---|-|
die ntquemolt	---⌫-|--|---|
licouendrad e paroles	-|-------|-⌫|------|
se ileinsi	-|-|----|
la r es co t .	-|-⌫--⌫--⌫||
eins iuindrent	----⌫|-------|
arriereset	-------|-|
