orescotezpor	-|------|--|
oupuissecouc hersonfis	-|-----|----⌫--|--|--|
qui e ncor	--|-⌫---|
ier t as sespe t is	---⌫|--⌫--|--⌫-⌫-|
il liont quiseaporté	-|-|--|---||------|
son litapresté	--|--|-------|
elese lieue	--|-|----|
en sonseant	-|--|----|
eenaprespristson enfan t	|-|----|----|--|-----⌫|
si lacol amoltdouc ement	-||----⌫|---|----⌫----|
esospirade l cuerforment	|------|--⌫|---|------|
ap reslecou chaelbercuel	--⌫--|-|---⌫--|-|------|
oplorsole rme s eodu el	|----||--⌫---⌫|||--⌫-|
q uantco uché lo tsiabote ́	-⌫---|--⌫----||-⌫|-||----⌫|
qu at remars	--⌫--⌫-|---|
d orbienesmer é	|-|---|-----⌫-|
cheu esalenfan t	----⌫-|||-----⌫|
e apr esce demainten ant	|---⌫-|-|---------⌫--|
simistdo u	||---|--⌫|
enceignier	---------|
ierta ncor	---|-⌫---|
esorelimist unuelos	|---|-|---|-|----|
epuis unpailepre cios	|---|-|----|---⌫---|
enp resi adismars mucés	---⌫--|||--|---|-----|
debona rgentdesos	-|--|-⌫----|----|
puisasestab les	---||--|---⌫--|
quer e nt diuoirebi eno u rees	-|--⌫-⌫-||-----|--⌫-|-⌫-⌫---|
siade dense scrit	-||--⌫---|-⌫----|
quit roueraicestenfant	--|-⌫-----|----|-----|
que par peche	--|--|----|
e parfolie	|--|----|
lotunsfreresde	|-|--|-----|-|
e qu antfun és enicelior	|--⌫--|-|-⌫--|-|---|--|
enelepasle fis geter	-------|-|--|----|
lamere esondes	-|---|-|----|
iertdehautparage	---|-|---|-----|
si encremeitaueir	-|-|------|----|
queel een fustdepeuplee	--|--⌫|-|---|--------|
e entr e la gentaba i ssee	|----⌫|-|---|---⌫-⌫---|
fr eres ne f usthonis	--⌫---|-|-⌫--|----|
sifuget és li fispetis	-|-|---⌫--|-|--|----|
enco r li a la	----⌫||||-|
me re escrit	--⌫-|-----|
qu i trou er a le nfantpetit	--⌫|----⌫--⌫||-⌫----|----|
norir lefac e	----|-|---⌫|
gentemen t	--------⌫|
de ceaus dis m arsqu i	-|----|--|-⌫--|--⌫|
sontd ar gent	---||--⌫---|
eporaprendre auq uesde	|--|-------|---⌫--|-|
aes colemetr e	|--⌫---|----⌫|
qui lsache deupr ier	-|-⌫|----|--|--⌫--|
lirech an tereuerciller	---|--⌫--⌫--||--------|
se c hateldoinsal	-|-⌫----|----|||
lor e le paile r eluisant	|-||-|----|-⌫-------|
l es tab lesgartquis on td iuoire	-⌫-|---⌫--|---|--|-⌫--⌫||-----|
e stescritdeluilesto ire	-⌫-|-----|-|--||----⌫--|
porde u le grantitant detens	--|--⌫|-|----|----|-|---|
queapri saitauque sdesen s	--|----⌫|--|-----⌫|-|---⌫|
quantdesle tres a uquessaura	----|--|--⌫---|-⌫----|----|
idon c l es	----⌫|-⌫-|
ta bl esconoistra	--⌫--⌫-|--------|
dequi ecoment il funés	-|--||-----|-|-|---|
puis pr iera silestsenes	---|--⌫---||-|--|----|
porse sme sfais eporles	--|--⌫|--⌫----||--|--|
qua n tel e otescrit ceausm os	---⌫-⌫|--⌫|-|-----|----|-⌫-|
porpenssasei edist auant	--------|--||---|----|
amisbeaus fis setuuistant	---|----|--|-|-|--|---|
quepuisses cea usta bles raueir	--|------|---⌫-|--⌫---|-----|
ensescritsaueir	--|-----|-----|
quelesgardessoue nt	--|--|-----|----⌫-|
elises ententiuement	|----|------------|
r emenbredemei	-⌫------|-|--|
quiremaingdol e n t ep or tei	--|------|---⌫-⌫-⌫-⌫|-⌫-|--|
quantla dameottotsonp e nce	----|-|---|-|--|--|-⌫-⌫--|
astables miseenbreué	-|-----|--||-------|
closeslesaomo ltgrantd uel	-----|--|||--⌫-|----|-⌫--|
puislesbotaensel	---|--|---|--|-|
l enfan tap ris	|-----⌫||-⌫--|
si quetres bienl e s aola	-|--|---|---|-⌫|-⌫---|
rega rdé l asiot	----⌫---|||-|-|
grant du el	----|--⌫-|
eleu osist	--|-⌫----|
m orirsonuuel	-⌫---|--|---|
lasse moltp uise stred olente	----|---|-⌫--|-⌫---|-⌫-----|
quan t mar fuonquesma i o uent e	----⌫|--|-|-----|-|-⌫-⌫----⌫|
atantgr antduellaidespendue	|---|--⌫--|---||-|--------|
chai tiue lasse mal uenue	----⌫---|----|--|----|
q uema cha re mon san c	-⌫-|-|---⌫||--|---⌫|
uoilm etrea	---|-⌫---||
qu een merleu ue ilenueier	--⌫|-|--|-|-⌫--⌫-|------|
nesaiauiureoua neier	-|--||----|-||----|
peche otgr ant enle ngendre r	----|-|--⌫--|-||-⌫-------⌫|
maispis s era	---|--|-⌫--|
lassemetrailea morir	----|-----|-||----|
mia us estquei e l	---⌫-|--|--|-⌫||
facen orir	---|-⌫---|
so steigneleb lasme	--⌫------|-|-⌫----|
lors ati eldue l queelese p asme	---||--⌫-|---⌫|--|--|-|-⌫---|
qua ntlon gementadementé	---⌫-|---⌫-----||-------|
siadeuants ei apele ́	-||-----|-⌫-|-----⌫|
leseig nure	-|----⌫--||
puisl ur di tce quelisemble	---|-⌫-|--⌫|-|--|-|-----|
querr elifacentu ntone l	-----⌫|-|-----|-⌫|----⌫|
t re sbien tenant fait de nouel	-⌫--⌫|---|-----|---|-|----|
il liaporte n t eelei	-|-|------⌫-⌫||--||
lenfanto tot le bersolet	|-----||--|-|-------|
puisdist que	---|---|--|
lfeisse nt	|------⌫-|
d rei talriuag ed elamer	-⌫---⌫|-|-----⌫|-⌫|-|--|
egete nt iluecun	|----⌫-|----|-|
es imetentens le tonel	|-⌫|-----|--|-|----|
puis leg eten t enmer es	---|-|-⌫----⌫|-|--|-|
laou serontlesplusparfun de s	-|-|-----|--|---|------⌫--⌫|
demalfaiten mauie	-|--|---|-|-|--|
eo resporpens tielfelonie	|-⌫--|------|---|------|
puisau tadeu	---|--⌫||--|
quiga rdeenseit	--|--⌫--|-|---|
elaouilbien aitl enueit	|-|-|-|---|--||-----|
cila enplissent sontal ent	--|-⌫---------|--|---⌫--|
moltan goissosemoltdole nt	---|--⌫------||---|----⌫-|
sont uenuer rant	---|---|--⌫---|
oue uce au son tport él e nfa nt	---⌫-|-⌫--⌫|--⌫|----⌫-||-⌫---⌫-|
iluectrouerentunbatel	----|--------|-|----|
dedensacistrentle	-----|--------|-|
l e nfantou tot l e tonelet	|-⌫----|-|--|-⌫|------|
ded enstot soauet	---⌫--|--|-----|
pui sl epristrentp arles esp ondes	---⌫|-⌫|--------|-⌫-|--|---⌫----|
silenpeinstrenten meresondes	-||-----------|-|--|-|----|
coman den t itant	-----⌫---⌫|----|
ciluait p ar h autemer	--|---|-⌫-|-⌫---|--|
sicomau entureleme ine	-|--|--⌫-----|-|--⌫--|
quiorle tiente nsondemeine	--|-|-|----|-⌫|--|------|
cilsensontariereue nu	--||-|---|-----|--⌫-|
contentlurcomentlur est	------|--|-----|--|--|
mereontd e n onc i é	---|--|-⌫|-⌫---⌫-⌫-|
quen haut emerlo nte nueié	-|-|----⌫|--||-⌫-|-⌫-----|
enunbateltot	-|-|----|--|
s icomilaueitcoman dé	-⌫|--|-|----|-----⌫--|
ladame giste nsa	-|---|---|-⌫|-|
iorsilsduelsnefine	--|---|----|-|---|
quar d elanfantatel d olor	---|-⌫||-----||--|-⌫---|
edel pec hera	|--|---⌫-|-|
g rantpoor	-⌫---|---|
ne puetestr epornule rien	-|---|----⌫|--|---|---|
qu enelaint sor	--⌫|-||---|--|
cils duelslifu	---|----|-|-|
asespesa ns	---|----⌫-|
enp resliestcreusplus	---⌫--|-|--|----|---|
quara ncor	---|-⌫---|
queame sseal astd enfant	--||--⌫--|--⌫--||-----|
unmatineten	-|------|-|
ainsio r nee	------⌫-⌫--|
ancois que l aube fust creuee	------⌫--||---|---|-----|
uospar le chastelerrant	--|--|-|------|-----|
unmessagierqueuaitq uerant	-|--------|--|---|-⌫-----|
agra ntbe soingla	|---⌫-|--⌫----|-|
frer e defi	----⌫|-|-|
d ontnaueit guairesd eparti	-⌫--||----|------|-⌫-----|
q uan teleoiq u	-⌫---⌫|--|-|-⌫|
ilesteitmo rs	-|-----|--⌫-|
idonc s fuliduelsplus	-----⌫|-|-|----|---|
lorscomen ceduel amene r	---|-----⌫-|---||----⌫|
lescheui austrair eeplorer	--|-----⌫--|-----⌫||-----|
lassefa itelema u uenue	----|--⌫-|--|--⌫|----|
l armemonfrereaideutolue	|---|--|----|-|--|----|
d es p orq uei ne	-⌫-|-⌫-|-⌫--|-|
porme il aif ait enfinperi r	--|--⌫||-|-⌫--|----|----⌫|
d escu mg rantduelequelda mage	-⌫-|--⌫|-⌫---|---||---|--⌫---|
merueileest de	-------|--|-|
quant lisire s le du elentent	----|-|----⌫|-|--⌫-|-----|
quedemen eit	--|-----⌫--|
si aspreme nt	-|-------⌫-|
ladame deuant liu i nd rent	-|---|-----|-|-⌫-⌫--⌫---|
repa isentlaesilidi strent	----⌫----|-||-|-|--⌫-----|
dam e cistm ausfa it a ce ler	---⌫|---|-⌫--|--⌫-||--⌫--|
gar dé snenp lus pa rler	---⌫---⌫||-|-⌫--|--⌫---|
en tielen dreitq uarnestpassens	-|---|--⌫----|-⌫--||--|--|---|
entei d ei spre ndregra ntporpens	-|--|-⌫--⌫|---⌫---|---⌫-|------|
e contenir	|-------|
teienitelguise	--|-|---|----|
qu eilnetorta	--⌫|-|-|---||
limausestgranscenoses t uis	-|---|--|----|-|--|--⌫|--|
mai slonse	---⌫|--|-|
deitgarder de pis	---|-----|-|--|
mortest m oltgran tdamage	---|--|-⌫--|----⌫|-----|
ma i sces e uentlifole lisage	--⌫-⌫|-|-⌫-⌫---|-|--||-|---|
puisqueestmorspordoloser	------|--|---|--|------|
rienreco ur er	---|----⌫--⌫-|
o r entent bienladam ee ueit	-⌫|-----|---|-|---⌫||---|
quillaconseilenta	-|-|-|---------||
demandelu rquelef era	------|--⌫|-|--|-⌫--|
coment limessagieruerra	-----|-|--------|----|
quilnapa r c eiuelagesine	-|-||---⌫-⌫-⌫---|-|-----|
ne parte nte ne par cortine	-|--|--⌫--|-|--|------|
cilrespo ndentne dotée s rien	--|-----⌫----|-|------⌫|---|
quarnos enpenserons b ien	---|--|-|--------|-⌫--|
le s cortin es iu s	--⌫|------⌫-|--⌫|
forsde l a	---|-|-⌫|
chambrelesporterent	------|--|--------|
la dameontfaittostsusl euer	-|---|--|---|---|--|-⌫---|
ebi enuestir	|--⌫-|-----|
lesmesl imeinent	--|--|-⌫|------|
celedemande enpl orant	---|------|-|--⌫----|
quante coment	----||-----|
i lacoucha	-⌫|------|
eparquelior ildeu ia	|--|---|--|-|---⌫-|
li messages respontep lore	-|-------|------||-⌫---|
dam e faitilen icelore	---⌫|---|-|-|---|--|
quetu deluid e partis	--|-|-|--|-⌫-⌫-----|
quipristli	--|----|-|
e morsfu a	|---|-||
une iornee	--|-----|
po r c etont	--⌫|-⌫||--|
l i baronmandee	-⌫|----|-----|
quetaterre u ie ngessaisir	--|-|----|-⌫--⌫---|-----|
eton chierfrere e nseuelir	|--|----|----|-⌫-------|
qua nt lanoueleaen tendu e	---⌫-|-|-----||--⌫-----⌫|
to t licora gesliremue	--⌫|-|----⌫--|-|----|
iluecsepas memolt so uent	----|-|---⌫-|---|--⌫---|
porson fr e re acue r	--|--|--⌫-⌫-||---⌫|
liriches o mesamo illier	-|-----|-⌫||-|--⌫-----|
sifont sonerre apa rei l lier	-|---|--|---|---⌫---⌫-⌫---|
la dame fo ntbienconr eer	-|---|--⌫-|---|----⌫--|
alau treioramessealer	||--⌫--|--||----|---|
iot quedemorer	|-|--|------|
pensentdeleur erreauancer	------|-|---|---|------|
agrantherne is o g ra n teno r	|----|-----⌫-||-⌫--⌫-⌫|---⌫|
sesmutl ema tinauior	|----|-⌫|--⌫--|-|--|
ta ntsont erréque u enusont	--⌫-|---|----|--|-⌫--|---|
alcha stelou	-|---⌫---|-|
e cheualiere uauassor	|--------||-------|
tuitpor lam or	---|--|-|-⌫-|
delorse ig nor	-|--|--⌫--⌫--|
dessendu sont alam aison	-------|---||-|-⌫----|
equ ant sasuerla	|--⌫--|-|---|-|
oulicorsdel baron g iseit	-|-|---|--|----|-⌫----|
p asmee chiet esibaron	-⌫----|----||-|----|
lareli euent	-|----⌫----|
parcon t enson	--|---⌫-⌫----|
detotes pa rsplore nt ecrient	-|----|--⌫-|-----⌫-||-----|
a lada mel ib arondient	|-|--⌫-|-⌫|-⌫---|----|
quelse confortelai stson duel	-|-|-|------||---⌫-|--|---|
il uo sist mi ausmorir son uuel	-|--⌫---|--⌫--|----|--|---|
quarquantil uei ts o nfr er emort	---|----|-|---⌫|-⌫-⌫|--⌫--⌫|---|
mo l tprisepetit monconfo rt	--⌫-⌫|----|----|--|-----⌫-|
lecorsatant en terr ere nt	-|---|----|--⌫----⌫---⌫-|
gran t e pet ittrestuitierent	----⌫||---⌫-|-------||----|
tuitu ontala	---|-⌫--||-|
porcession	---------|
al enterr ementdelb aron	||------⌫----|--|-⌫---|
pu is ontlurdamere m enee	--⌫-|--|--|---|--⌫-⌫---|
liricheomede lacontree	-|----|--|-|-|------|
co ndu itensonpalais	--⌫---⌫-|-|--|-----|
dont_i er t	---||-⌫--⌫|
dame desoremais	---|---------|
lorsu indrentd eparlepais	---|-⌫------|-⌫|--|-|---|
liuauassore li ma r chis	-|-------||-|--⌫-⌫---|
de la damelurfiesquereient	-|-|---|--|---|--------|
quarde lite nirlesdeueie nt	---|-|-|--⌫--|--|------⌫-|
se rueie nt sibiencom	--⌫-----⌫-|-|---|--|
delialotmoltbon e feme	-|-|---|---|---⌫|---|
qua ntpar l ater re oirentdir e	---⌫-|--|-⌫|---⌫-|-----|---⌫|
qued aquitaine	--||--------|
mor s lisi re	---⌫|-|--⌫-|
r e ieconte lauin dr entquerre	-⌫-⌫||----|-|---⌫--⌫--|-----|
porco ueitisedelat erre	--|--⌫------|-|-|-⌫---|
da medistbieneiur e	--⌫-|---|---||---⌫|
que eledeseignorna	--|--|-|------|||
que u osdir aip lusloncaconte	--|-⌫-|---⌫-|-⌫--|---|-----|
iot prin cene	|-|----⌫-|-|
queuosistas e iret enir	--|-----||-⌫-⌫|---⌫---|
totasoncu er	--||--|--⌫-|
en de useruir	-|--⌫|-----|
porla rmeson	--||-⌫--|--|
frereacheter	----|------|
sepeinemolt de ieun er	-|----|---|-|----⌫-|
edes iglise sessaucier	|--|------⌫|--------|
e des pouresdeu	|--|-----|--|
her be rgi er	---⌫--⌫---⌫-|
q uerreli uin tunsdera ains	-⌫----|-|---⌫|--|----⌫---|
unsriches dux qu ifuromai ns	--|-----|--|--⌫|-|-----⌫-|
maisel ed istala	---|--⌫|-⌫--||-|
soin gd eluined	----⌫|-⌫|--|-||
a utr eome	-⌫---⌫|--|
ele nel uostbai s er	--|-||---|---⌫-⌫-|
comen sala aguerrei er	-----⌫-|-||-------⌫-|
forme ntlaroubeelassaut	-----⌫-|-|----|||-----|
ma isu e iremen tmol t	--⌫-|-⌫-⌫------⌫|---⌫|
poiliu aut	--|-|-⌫--|
quarla dameiure tres	---|-|---|---|---|
iertsuenspornule rien	---|----|--|---|---|
es ilr eiuremoltform en t	|-⌫-|-⌫----|---|----⌫--⌫|
que silu iueit	--||-|-⌫----|
mi l anso u cent	--⌫|--|-⌫|---|
q u edeguerreneli f a u dr a	-⌫-⌫|-|-----|-|-|-⌫-⌫-⌫--⌫|
iusq uepar	----⌫-|--|
id ons c omenseel pai s	--⌫--|-⌫-----|-|---⌫|
acheuauchie r lienemis	|----------⌫|-|-----|
contre ladame estmolt grantgu erre	-----|-|---|--|---|----|--⌫---|
l ide str uitsaterr e	-⌫|--⌫---⌫--|-|----⌫|
ost baniretos t mander	--|----||---⌫|-----|
quantqu eil poeit armer	-------⌫|-|----|----|
destruitl e pai se	-------|-⌫|---⌫||
tinten grant pourete	---|-|----|------|
sauien aura ma is	-|--||---|--⌫-|
p aromenesec o rs	-⌫-|--|-|---⌫-⌫-|
truisqu esilli	-------⌫|--|-|
uieig neaidier	-----⌫-|-----|
edesesenemisuengier	|-|--|-----|------|
queelerepost	--|--|-----|
efistmetreenm erel	|---|----|-|-⌫-|-|
maiscistse corsliest trop lo inz	---|---|--⌫---|-|--|---|--⌫--|
quar mai nttrauail sofriraainz	---|---⌫-|------|------|---|
d eladamelai ronsatant	-⌫|-|---|---⌫---|----|
s i reparlerons de lenfant	-⌫|----------|-||-----|
que e n la	--|-⌫|-|
nuit queilfunés	---|--|-|-|---|
batel en mer getés	----|-|--|-----|
la o il enlam er	-||-|-|-|-⌫-|
si com fortunele uole i t	-|--|------|-|----⌫-⌫|
m oltpresde	-⌫--|---|-|
per il e demor t	---⌫-||-|---⌫|
sans nuilconduit esanzconfort	---|---|------||---|------|
fors sollo ndequilco nduseit	---|--||-⌫--|--||--⌫------|
sico ml i suens plaisir	-|--⌫|-⌫|----|------|
quesettresbientos seaussauuer	--|--|---|---|--|----|-----|
queilplaist ent erreeenme r	--|-|-----|-|-⌫---||-|--⌫|
batels s ale itguauc rant	-----||---⌫-|-----⌫---|
e letoneleol	|-|----||||
li ue n zledemeno t	-|--⌫-⌫|-|------⌫|
e londe qu il edebotot	||---|--⌫|-⌫|------|
queaprez e steit	--||---|-⌫----|
aundroitportout relamer	|-|----|---|---⌫-|-|--|
euos ileu c errantsordestre	|--|----⌫|-----|--|-----|
porlepleis ir lere icelestre	--|-|-----⌫-|-|--⌫|-------|
deus pescheorsduneabaie	---|--------||--|----|
do mes iotdesainte	|-⌫--||-|-|-----|
liabesmeismessi scor s	-|---|------|--⌫|---⌫|
lesot lanuit en ueiéhors	--|-|-|---|--⌫----|---|
po rpe isson	--⌫|--⌫----|
prend reen selemer	-----⌫-|-|---|--|
at os sesmoinesconre er	|-⌫-|--|-----|-----⌫-|
silpecheordontie	--|------|---|-|
iorsfubien esclarsi	---|-|---|-------|
sorl ebate l s on ten batu	--|-⌫|----⌫|-⌫--⌫|--⌫---|
eltonel fu	-|----|-|
car lebate l ont rega rdé	--|-|----⌫|--|----⌫---|
n iotometroué	||-|--|-----|
siquider ent trestuitde fi	-|------⌫--|-------|-|-|
queliome fussentperi	--|-|--|------|---|
n euuelentle batel moueir	-⌫|------|-|----|-----|
ma i sl eton elueulentaueir	--⌫-⌫|-⌫|---⌫-|------|----|
si c o mfortunelefaiseit	-|-⌫-⌫|------|-|------|
quiencorep as ne	--|-----|-⌫-|-|
quelipetisenfesp eris t	--|-|----|----|-⌫----⌫|
qu i ladeden t	--⌫|-|-----⌫|
eltonel gist	-|----|---|
e lurbatelsuslont sa ché	|--|----|--||--|--⌫---|
e laut re b atelontlaissé	||---⌫-|-⌫---|--|------|
nerentqu e dui tantsole ment	|----|--⌫|--|---|----⌫---|
e la mers les c uitoit	|-|---|--|-⌫-----|
porceq uef o rsier tliorages	------⌫-|-⌫-⌫-|---⌫|-|-----|
sien e steit grieslipl uss ages	-|-|-⌫----|----|-|--⌫-|-⌫---|
qu a rtan t	--⌫-⌫|---⌫|
fort lesgr euot	---|--|--⌫---|
nel ur laistel tonel gua rder	-|-⌫-|----|-|----|---⌫---|
t antonts il d uin a gié afort	-⌫--|--|-⌫-|-⌫-|-⌫-⌫---||---|
queprimessont	--|-----|---|
uenuapo rt	---||--⌫-|
aterr etra hentlurbatel	|----⌫|---⌫---|--|----|
esteitl itonel	-----|-⌫|----|
donc plotadeu	---|---||--|
omnipo tent	------⌫---|
queli abe sta ntsol em e nt	--|-|---⌫|--⌫-|---⌫--⌫-⌫-|
uint enco nt re	---|----⌫--⌫-|
eausal ariue r	---|||-----⌫|
sileurcomensea	-|---|------||
se ilont fa ita uqu esde spleit	-|-|--|--⌫-|-⌫---⌫-||-⌫-----|
ne chosedo ntilmiaus lo r	-|----|--⌫-|-|----|--⌫|
ontditconques enmer	--|--||-----|-|--|
n eporr entsorlurres	-⌫|----⌫--|--|--|--|
ne de r ien entendr e apescher	-|-|-⌫--|-------⌫||------|
orageporletemper	----|--|-|-----|
m ais a grantpaineonttant fait	-⌫--||----|----|--|---|---|
sesontaportretrai t	-|---||---|------⌫|
liabes s apr is me	-|---||---⌫--⌫-|
tantque il choisistletonel	------|-|-------|-|----|
dons deman de que seesteit	---|-----⌫-|--|-|-----|
iluecd edenzque	----|-⌫----|--|
ill iontditdenosafaires	-|-⌫|--|--|-|--|------|
sire nia dechos e	---||||-|----⌫|
atant li enfessesperit	----|-|----||------|
siae nhaut gete ́	-||-⌫|---|----⌫|
quantli abes	----|-|---|
sis enes tmer ueilésfo rment	-||-|--⌫|---⌫------|--⌫----|
que enbed uilipe sc heor	--|-----⌫-|-|--⌫--⌫---|
en onteu moltg rantpoor	-|--|-|---|-⌫---|---|
i leur dem andeditesmei	|---|---⌫---|----|--|
nel mesel ése n uos trefei	-||-|---⌫--|-⌫|---⌫--|--|
ice s t tonelo uaués	---⌫-⌫|----|-⌫|----|
liunslidist	-|--|-|---|
sequa ué squis	-|-|-⌫---⌫|---|
bienmatinaub eliorcler	---|----|-|-⌫-|--|---|
queeste ionsencele mer	--|----⌫---|-|---|--|
sitrouamesunbatel	-|-------|-|----|
tot uuitne maisice st tonel	--|---|-|---|---⌫-|----|
leton elauostre	-|---⌫-||-----|
hue spreim es	---⌫|-----⌫-|
el ebat elilue cguerpimes	|-⌫|---⌫-|----⌫|--------|
nos nesauons q uededensa	--|-|-----|-⌫-|-----||
onquesunsdenosniguarda	-----|--|-|--|||-----|
qu an tlurabes lor ot sedire	--⌫--⌫|--|---|--|-|-|---|
le to nel priea descourir	-|--⌫--|---||--------|
riensfor l	----|--||
enfanttrou é	-----|----⌫-|
quiiertelb ersenu olopé	--|---|-|-⌫--|---⌫-----|
a l enfantdesco ure leuis	||-----|-----⌫--|-|--|
o t belecr eature	-⌫|---|--⌫-----|
qui d eluipris c ur e	--|-⌫|--|---|-⌫--⌫|
qua ntliabes	---⌫-|-|---|
ui tle senb lant	--⌫|-|----⌫---|
ele risdel	|-|--|--|
petitenfant	----|-----|
enbedeusmain s ue rsd euen	-------|----⌫|--⌫-|-⌫-|-|
que liafaititiel present	--|-||---|----|------|
lors aparceitalchi efles tables	---|-------|-|---⌫-|--|-----|
b ele sdiuoirecouenables	-⌫---⌫||-----|---------|
pr isese ouerte s	--⌫---||------⌫|
euitlesletres bi enapertes	|--|--|-----|--⌫-|------|
equ a ntilot lesletres lites	|--⌫-⌫-|-|-|--|-----|----|
q uierentestablesescrites	-⌫-|----|-|-----|-------|
di stapec he ors	--⌫-||---⌫--⌫--|
errau ment	-----⌫---|
quilqui ere n t lesmars darg ent	-|-|---⌫---⌫-⌫|--|---||---⌫--|
el echierp a il e alisandrin	|-⌫|----|-⌫-⌫--⌫|---------|
apr esl es	---⌫-|-⌫-|
qua tremarsdorfin	---⌫--|---||-|--|
elbersol eto lui	-|------⌫-||--|
l i p echeorgua rdentendui	-⌫|-⌫-----|---⌫----|----|
eu ntlaueir ensi troue ́	|-⌫-||----|---|-----⌫|
cumlia beslor otdeuise ́	--|-|-⌫--|--|-|------⌫|
li duipescheor	-|--|-------|
erentfre re	----|---⌫-|
enédunemeesme	|--||--|-----|
liunsp leinemaisonaueit	-|--|-⌫----|-----|----|
eenfan sm ais bes oingnosestei t	|-----⌫|-⌫--|---⌫------|-----⌫|
lautreiert	|----|---|
rich eseman anz	----⌫-||---⌫--|
e si na ueit nus	|-||-⌫---|--|
forsu ne f ille m a rie e	---|-⌫-|-⌫---|-⌫-⌫---⌫|
quiesteitmoltloinsde	--|-----|---|----|-|
sencontree	|--------|
oruosd iraiquel abe s f is t	-|--|-⌫---|--||---⌫|-⌫--⌫|
tosl e marsdel arient	--|-⌫|---|-||-----|
a uplu s pourelesa	-⌫|---⌫|----|--||
enfanz aueitp lantes	-----|----|-⌫-----|
apres apr is labeslenfant	----||--⌫-||---||-----|
liu raaufreremanant	---⌫-|-|----|-----|
puisliafaitiurer tresbi en	---|-||---|----|---|--⌫-|
quilnel di ra po rnule	-|-|-||--⌫-|--⌫|---|
omenef emequi seit	--|-|-⌫--|--|---|
quonq ues si stenfes fusttr o uez	-|---⌫--|--⌫-|----|---|--⌫-⌫--|
pui ssiliro ueaporter	---⌫|-|-|--⌫-|------|
e nzen la clostre apresdisner	-⌫-|-|-|------|----|-----|
edistquildieases ueisins	|---|-|-|--||--|------|
quedesa filleiertli	--|-|-|----|---|-|
e silen ueiea d on	|-||--⌫---||-⌫-|
qu illefase crestiente	-|-|-|---|---------|
esonnonme tte alenfant	|--|--|--⌫--|||-----|
quant illiotroué	----|-|-|-|----|
otbienaconté	-|---|------|
alpec heor	-|---⌫---|
eensei gné	|-----⌫---|
quefai redeuei tde lenfant	--|---⌫-|-----⌫|-||-----|
puis pristlest ables maintenant	---|----|--|-⌫----|---------|
elebo npailealisandrin	|-|--⌫|----|---------|
elesma rs del	|--|--⌫-|-||
s i enporta ensembleo	-⌫|-|----|-------||
puislesamise n un	---|--||--|-⌫|-|
elon guement sauuementfu rent	|---⌫------|--------|--⌫---|
neon quesderienne d es crurent	-|--⌫---|-|---|-|-⌫--⌫------|
lipesche reneseoblia	-|------⌫-|-|-|----|
dequeliabescomanda	-|--|-|---|------|
un enorisseademandee	--⌫|------||-------|
porlenf antnorireloue e	--||---⌫--|----||----⌫|
qu ant li m oisne fur ent disné	--⌫--|-|-⌫----|---⌫--|-----|
siale nfantl aenzpor té	-|||-⌫----|-⌫---|---⌫--|
alabe uintpremer eineme n t	||--|---|------⌫------⌫-⌫|
lidistpriueement	-|---|---------|
sire poramordeu lerei	---|--|---|--|-|--|
orentendé s un poi amei	-|--------⌫|-|--||--|
unef i lle ailoingdes i	--|-⌫-⌫--|-|----|-|-⌫|
bienl esaués sicum ie	---|-⌫|-----|-|--|-|
quiuosenuei esestenfant	--|--|-----⌫|---|-----|
priepordeu le g rant	---|--|--|-|-⌫---|
queuosmeism esl eleué s	--|--|-----⌫-|-⌫|-----⌫|
e uostrenonli enpose ́ s	|-----|--|-|------⌫-⌫|
liabesrespont enriant	-|---|------|-|----|
q u itotsei teueit	-⌫-⌫|--|---⌫||---|
qu i crestientelio tre it	--⌫|---------|-|-⌫---⌫-|
ieferaiis equet uquie rs	-|----|--⌫|--|-⌫|----⌫-|
poramor deu molt uolenti ers	--|---|--|---|-------⌫--|
liabesen uai ta	-|---|-|---⌫||
e se comen sse leseruise	|-|-----⌫--|-|------|
elenfant fait crestiente	||-----|---|---------|
es onnon lia enp osé	|-⌫-|--|-||---⌫---|
g regoir eapeleentlabe	-⌫------⌫|-------||--|
esil fugregoire apelé	|--|-|-------|-----|
puisq ueil ot	-----⌫-|-|-|
li omasonostels	-|-||--|----||
lenfa ntporteen sembleosei	|----⌫-|----|--⌫-----||--|
puispris tdelnorir gr ant conre i	---|----⌫|-||----|--⌫--|-----⌫|
liab esc uinonaueit	-|--⌫-|-⌫-|--|----|
souentgran t	-----|----⌫|
guarde senpreneit	-----||-|------|
asesanz est iauen us	|--|--|--|-|---⌫-|
tant estbia use si	---|--|---⌫-||-|
b iencre us	-⌫--|---⌫-|
quiln ottant	-|-||-|---|
grant en lasite	----|-|-|---|
d e s ont ensne desonhee	-⌫|-⌫-|-⌫--|-|-|--|--|
quant ilfutiel sq uilpue t	----|-|-|----⌫|-⌫|-|---⌫|
a ses letr e s	|--|----⌫-⌫|
un poiatendre	-|--|------|
co nrei pris	--⌫---|---|
eenlaclostr e al ettresmis	|-|-|------⌫||-⌫-----|--|
gregoirefu degrantp a raie	-------|-|-|----|-⌫-⌫---|
iretraist bienason lin gnaie	|-------|---||--|---⌫----|
il ne fufelsnies tous	-|-|-|---|-|--⌫---|
einsfuu milse	---|-|-⌫---||
piu sedous	---⌫||---|
amersefistat ote rien	---|-|---||-⌫--|---|
