f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
- uand ueet larg en tpre sant erentainçois q ueli	|----⌫-|-||---⌫--⌫|---⌫----⌫----|-------|-⌫-|-|
anzfustpasse zqueilfurentfors d	--|---|-----⌫|--|-|-----|---||
auoerie etdie nt qu e lius etlaco st umedou	------|-|---⌫-|--⌫|-|-|-|-|--⌫--⌫--|--|
leu oùla-d imesiet estteux	--|--|-||-⌫--|---|--|---|
plus pruch einspuetrache te r ler itai g ededanz l an et	---|-----⌫---|---|-----⌫--⌫||--⌫----⌫-⌫|-----||-|-|
louiourdela	--|---|-|-|
-uandueou an çoisq uelianzso itpassez	|-----|-|--⌫----|-⌫-|-|--|--⌫-|-----|
soit fors dau oerie.	---|---||--⌫----||
ce il demandent	-|-|--------|
la-deuantdite dimeporl ou	-||-----|---|---|--|-⌫-|
prisdela uandue	---|-|-|-----|
etdemande nt les ysuesetle sfruzquileué a n	-|-------⌫-|--|----|-|--⌫|---|--|----|-⌫|
sont dois loup resanteman tde	---|---|--|-⌫----------⌫|-|
lar gentanescaietcedeuantdientsaus	|--⌫---|-|----|-|-|-----|----|---|
tozdroizdacroistreetdoster.	--|----||--------|-||----||
Et tote les	-|---|--|
cho ses de uant- dites	---⌫--|--⌫---||----|
s off rentil a prouerou aucunne des	|---⌫---|-||-----|-|------|--|
chosesqui loursof fise .	-----|--|---|---⌫---||
Àceque mes	-|-|--|--|
s iresGuillaumes etmessire E s tienes de	-⌫---|---------|-|--|---|-⌫-⌫-----|-|
T richas telc he ualierdemandent	-⌫------⌫--|-⌫--⌫-----|--------|
auchapitr edeL ain gresloudyme de	-|-------⌫|-|-⌫---⌫---|--|---|-|
Percélo uGrantquemessires Iehanz	-----|--⌫|----|--|--|----|-----|
deTrichastel e tm essireHuguesdeC ou lansfrereuanderent	-|---------|-⌫|-⌫-----|-----|-|-⌫--⌫---|----|--------|
audei enet	-|---⌫-|-|
auchapitre de Lain g resporce	-|-------|-|----⌫-⌫--|--|-|
quilof frer ent	-|-|--⌫----⌫--|
iourl oupris de la	---|-⌫-|---|-|-|
- uand ueansi ncc ommeildient	|----⌫-|----⌫-|-⌫---|-|----|
antansqu i[l ]loupeurentf aireet	-|---|-|---⌫|--|------|-⌫---|-|
deure ntrespondent lid eienset	-----⌫-|---------|-|-⌫----|-|
l i chapitresquei lne puientpa sdeman d erlatierce	-⌫|--------|--|-⌫|-|-----|--⌫|-----⌫-⌫-|-|-----|
partiedouditdimeporrai sunde	-----|--|--|---|--|---⌫--|-|
rachat quarlideuantdit	-----|---|-|-----|--|
mes sire sIeha nzde	--|----⌫|----⌫-|-|
Tri chasteletmes sire Hugues deCou lans frerela donerent	---⌫------|-|--|---|-----|-|---⌫---|----|-|-------|
audoienet auchapitredeLaingre san	-|----|-|-|-------|-|-------⌫|-|
a rmonnep orlourem ided e lourarmesetde	-⌫-----|-⌫-|--|---⌫--|-⌫|---|----|-|-|
louransess ours ce està sauoir ansinc de Percécomme	---|------⌫---|-|--|-|-----|-----|-|-----|----|
doufinaigeet	--|------|-|
des apan d isesdesautres d ueesparties	--|----⌫-⌫---|--|-----|-⌫---|------|
dientlideienset lichapitres	----|-|-----|-|-|--------|
queil nelesdoientpas auoirparo ffre	--|-|-|--|-----|--|----|--|-⌫---|
quilaie ntfaitepar raisun de	-|-|---⌫-|----|--|-----|-|
r achatporc equil loeren tlauandueetl	-⌫----|--|-⌫|-|-|------⌫|-|-----|-||
armonnedeuant -	------|-----||
diteetl aürent ferm eet estaub le etpromierent	---|-||------|----⌫|-|------⌫-|-|---------|
pa rlou rfoyd oneecor por emantquil neuanro ient	--⌫|---⌫|--|-⌫---|---⌫---⌫----|-|-|-|-----⌫---|
cont relarmo nnenecontrelauand uedeu an t	----⌫-||----⌫--|-|-----|-|----⌫-|---⌫--⌫|
-diten epar	|---|-⌫|--|
par autruidoislors	--|-----|---|---|
Et dientan cor lidien setlich apitresque	-|----|--⌫--|-|----⌫|-|-|--⌫------|--|
liditGuillaumeset	-|--|---------|-|
Estie nesnedoie nt pas auoir	-----⌫--|-|----⌫-|--|----|
lesditesdo uespartiesp oro ffrequilanaient	--|----|--⌫--|------|-⌫-|-⌫---|-|-|-|----|
faitegesap	----|-|--|
ilne laüssientloue ́n e	-|-||--------|----⌫|-⌫|
iuriéquariln offrarent pasloudi t	-----|---|-||--------|--|--|--⌫|
p risdela-uandu ede danzlan	-⌫--|-|-||-----⌫|--⌫---||-|
e tleio urque	-⌫|-|--⌫-|--|
ua nduefutfai te.	--⌫---|--|---⌫-||
E t respondent ancorli doiens	-⌫|---------|----|-|-----|
chap itresà -cequeli dit Guilla umesetEsti e ne s	----⌫----|-||-|--|-|--|------⌫---|-|----⌫-⌫--⌫|
demand ent les fruzdou ditdime doislou tan s	------⌫--|--|---|--|--|---|---|--|---⌫|
de loufr efaiteansinccommeildie nt	-||----⌫|----|-----|----|-|---⌫-|
porceq ue li	--|-|-⌫-|-|
deiense t lichapitr esne-receure nt l	-----|-⌫|-|-------⌫-|-||-------⌫-||
argentq uil o ffrerentan s inc	-----|-⌫|-|-⌫-------|--⌫-⌫--|
co mmeildientse iugemanz deis tquildeussient	--⌫--|-|----|-|-------|----⌫|-|-|--------|
auoir rece u	----|----⌫|
lesdeni ers quifuren toffer tetquelioffre q ui	--|----⌫--|--|-----⌫|-----⌫|-|--|-|----|-⌫-|
fu tfai te	--⌫|---⌫-|
deustua loir	----|--⌫---|
que porcenesunt il pa smoins	--|--|-|-|---|-|--⌫|----|
te nuà paier lo uprisdela-ua ndueau	--⌫-|-|----|--⌫|---|-|-||--⌫---|-|
deienetauc hapitre ainço is qu	----|-|-|-⌫------|------⌫-|-|
ildeus sie nt auoirl edim e ua ndu quarquant	-|----⌫---⌫-|----|-⌫|---⌫|--⌫--|---|----|
lioffrefut faitelideiens et l ichapit res	-|----|--|----|-|-----|-|-⌫|------⌫--|
respo nd irentan	-----⌫--⌫----|-|
tel me nierepartexparolesouparautresqu i	--|--⌫----|--|--|------|-|--|-----|--⌫|
autantualoientquilnestoientpast enude	-----|-------|-|-||-------|--|-⌫--|-|
receuoirlargentqui l	-------||-----|-|-⌫|
offroient par rais underacha tquar	--------|--|----⌫-|-|-----⌫|---|
il auoientloee l a	-|------|---|-⌫|
fian cieausinccommenosauonsdit	----⌫--|-----|----|--|----|--|
deceilauoientletres ce	-|-|-|------|-----|-|
estàs auoirli deiens etli chapitreset	--|-|-⌫----|-|-----|-|-|--------|-|
louroffrerent	---|--------|
àmostre rets of rerent	-|------⌫|-||--⌫-----|
sorcesch os es	--|--|--⌫--⌫-|
l idit deiense tli	-⌫|--|-----|-⌫|-|
chapitresde faire droit	--------|-|----|----|
etdere ceuoirl ar gent se	-|-|--⌫-----||--⌫---|-|
droiz disoitquille deussientr eceuoir doislorsli	----|-----|-|-|-|--------|-⌫------|---|---|-|
ditGuillaumes etEstienesan porterent lour	--|---------|-|-------|-|--------|---|
deniers etanfei r e n tlouruolanté.	------|-|-|---⌫-⌫-⌫-⌫|---|-------||
Parcesraisuns meismes	--|--|------|------|
dient lideiense tlichapitres	----|-|-----|-⌫|-|--------|
ditGuill aumeset Esti enesnedoientpasauoirles	--|-----⌫----|-|----⌫---|-|-----|--|----|--|
fruz douditdimedoislou tansd elof fre	---|--|--|---|---|--|---|-⌫||--⌫--|
faiteiu s queau	----|--⌫-⌫--|-|
iourde -heuquecil dient qu	---|-||--|--|--|----|-|
il doient auoirquar	-|-----|----|---|
lideiensetli chapitresonttenu	-|-----|-|-|--------|--|---|
cellechosecommebo n acheteour et	----|----|----|--⌫|--------|-|
c ommeloianlne	-⌫---|-----|-|
pasau defailide d roit .	--|-|------|-|-⌫---||
ancorlideienset	----|-|-----|-|
lich api tres quelidit m essire	-|--⌫---⌫---|--|-|--|-⌫-|---|
Guillaumesetmes	---------|-|--|
sire Es ti enesfurentaprés	---|--⌫--⌫---|-----|-----|
celleoffreanchapitre etdirent	----|----|-|-------|-|-----|
c onlour m o strast lesletres qui	|-|---|-⌫-⌫-----|--|-----|--|
te sm oinno ientq u ilauoi en t loee l auandue	--⌫--⌫-----⌫---|-⌫|-|----⌫--⌫|---|-⌫|-----|
quari lnecudo ientpas qui[l ]la aüssie ntiurié	---|-⌫|-|----⌫---|--|-|---⌫|-|-------⌫-|-----|
ou fiancié et	-|-------|-|
onlo ur mostr ale sletrese t	-|--⌫-|-----⌫|--⌫|-----|-⌫|
furentle uesdeuantlouret qua nt	-----|--⌫--|-----|---|-|---⌫-|
ilaüre ntoi ̈ eslesle tres m es sireGuill aumesdi s tquil	-|-----⌫-|--⌫-⌫-|--|--⌫---|-⌫--⌫---|-----⌫----|--⌫-⌫|-|-|
n e cudoi tpas quiliau ̈stfoyne sairemant	-⌫|-----⌫|--|-|-||--⌫--|--|-|--------|
ansincsedepartirent et sesuntsof f ertiusqueor	-----|-|----------|-|-|---|---⌫-⌫--|-----|-|
Etcesch osesoucequi	-|--|--⌫---|-|-|--|
sofferoits offr ent	--------||----⌫--|
liditdeie nsetlichap itresà proue r s aufce	-|--|----⌫-|-|-|----⌫----|-|-----⌫|-⌫--|-|
qu ilipussentmetreeto ster.	-|-||------|----|-|-⌫---||
Icisu nt le sresponses que messireGui llaumeset me s	--|--⌫-|--⌫|--------|--|--|---|---⌫------|-|--⌫|
sireEs tienes	---|--⌫-----|
cheualie rfrerefonta n - contre les	--------⌫|----|---|-⌫||-----|--|
rais unsau	----⌫--|-|
deienetauchap itrede	----|-|-|----⌫---|-|
Loingre s.	-------⌫||
A ̀cequeli dei en setli ch apitresd i ent q u e	-⌫|-|--|-|---⌫--⌫|-|-|--⌫------|-⌫-⌫--|-⌫-⌫|
ilne pueent	-|-|-----|
pas de manderlatierce parti e	--|--⌫-----|-|-----|-----⌫|
laquelli plaiz estquarmessire	-----|-|----|--|---|--|---|
Ieh anzdeTrichasteletmes	---⌫--|-|---------|-|--|
sireHu guesdeCo ul a nsfre re	---|--⌫---|-|--⌫--⌫-⌫-|---⌫-|
lou d oner entau - deienet au	--|-⌫----⌫--|-||----|-|-|
c hap itredeLaingresanarmonner espondent	-⌫---⌫---|-|-------|-|------|-⌫--------|
liditfrerequeliarmonneetliuandue	-|--|----|--|-|------|-|-|-----|
futfaitetoutansanblese f aite	--|----|---|-------|-|-⌫---|
fu etdien t se li	-|-|----⌫|-|-|
uandueneustesté fait eli	-----||---|----|----⌫|-|
armonnenaüstpasesté f aiteetpor	------||----|--|----|-⌫---|-|--|
ce neuuelentpasli d uifrereque	-|-|------|--|-|-⌫-|----|--|
lia rmonne	-|-⌫-----|
Àlas econde	-|-|-⌫-----|
raisu n quel ide iens	-----⌫|--|-⌫|--⌫---|
et licha p itres m et entauan t q uelidu ifrere	-|-|---⌫-⌫----|-⌫--⌫--|----⌫|-⌫-|-|--⌫|----|
nedoient pasauoir les au tres	-|-----|--|----|--|--⌫---|
duiespart iesparchiefde	----|----⌫--|--|----|-|
rachat porceq u illoerent	-----|--|-|-⌫|-|------|
lauandue etaür e ntpor estauble et promirentparlour	-|-----|-|----⌫-⌫-|--|-------|-|--------|--|---|
foy qu il n e	--|-|-|-⌫|
ua nroien tanco nt re resp on dentl i du ifrere que	--⌫------⌫|----⌫--⌫-|----⌫--⌫---|-⌫|--⌫|----|--|
s eil louloerentetsei lle	-⌫|-|--|------|-|-|-⌫|-|
fi ancerentquilneuanroientan contreque	--⌫-------|-|-|-|--------|--⌫-----|--|
ce ne lour do itpas	-|-|---|--⌫-|--|
greuerqu ar au-tans	-----|--⌫-|-||---|
ouautans quillouloerent ou iurerentil	-|-|---|-|-|--|------|-|-------|-|
nest o ientpa san	|---⌫-⌫---|--⌫|-|
a aig e deloer ne	-⌫---⌫|-|---|-|
desairemant	-|--------|
fai re qu illourdoigegreueranco ntrecesterai sun	---⌫-|-|-|---|----|-----|----⌫---|----|---⌫--|
etan auoe rie es toient .	-|-|----⌫--|--⌫-----||
A ̀la tiercerais unquelideiensetli	-⌫|-|-----|----⌫-|--|-|-----|-|-|
chapitresdientqueliduifrere nofre r en t	--------|----|--|-|--|----||----⌫-⌫--⌫|
paslargent dela uand ue	--||-----|-|-|----⌫-|
ded anzlan de-la-	---⌫--||-|-||-||
uandue dien tl id ui frere etrespondent	-----|----⌫|-⌫|-⌫-|----|-|---------|
que ilpresanterentlargentded an zl a ndela	--|-|-----------||-----|---⌫--⌫||-⌫|-|-|
uandu eet se ildedanzlanne	-----⌫|-|-|-|-----||-|-|
lep resa nter entse	-|-⌫----⌫----⌫--|-|
di ent ilquecenel our doitpas greuer	--⌫--|-|--|-|-|-⌫--|---|--|-----|
commeilf ussien t anauoerieau tansdelauandue	----|-|-⌫------⌫|-|------|-|---|-|-|-----|
etl ar gentpresanterent ai n çoisqueli anzfustpa s sez	-||--⌫---|-----------|--⌫-⌫----|--|-|--|---|--⌫-⌫--|
q ue ilfurent fors d	-⌫-|-|-----|---||
auoerieetdientquelius etla	------|-|----|--|-|-|-|-|
constu meoula dimesietesttexq ue lioirs	------⌫-|-|-|---|---|--|--|-⌫-|-|---|
pluspruchiens puet	---|--------|---|
racheterleri taige dedanz l	-------||---⌫----|-----||
anetle iourdelauan d ue ou	-|-|-|---|-|-|---⌫-⌫-|-|
ainc ̧oisque lianzsoitpa ssezque	----⌫---|--|-|--|---|--⌫---|--|
ilso it forsdauoerie.	-|--⌫-|---||------||
Àl aquart e ra isunquelid eiense t lichapit res	-|-⌫|-----⌫|--⌫---|--|-|-⌫----|-⌫|-|------⌫--|
dientqu equa ntli	----|--⌫|---⌫-|-|
a rgenz d ela uandu e fut pr esantezqu e lideien s	-⌫----|-⌫|-|-----⌫|--|--⌫------|--⌫|-|-----⌫|
et li chapitresre s ponder entquei ln	-|-|--------|--⌫-⌫------⌫--|--|-⌫||
estoient pasten u dereceuoirl	-------|--|---⌫|-|-------||
argentparraisun	-----|--|-----|
de rac hatquar ilauoi en tloél auandue	-|---⌫--|---|-|----⌫--⌫|---|-⌫|-----|
etfianc ieet letres an auoientet louroff rerent	-|-----⌫-|-|-----|-|------|-|---|---⌫-----|
à-mostr ere t	-||-----⌫-|-⌫|
soffrere ntso rc eschos eslideiens	|-------⌫-|--⌫|-⌫-|----⌫-|-|-----|
etlichapitres	-|-|--------|
def ai redroi te t	-|-⌫--⌫-|----⌫|-⌫|
de receuoirla rgent se droizdi s oitque	-|-------||-⌫----|-|----|--⌫-⌫--|--|
il lede ussient	-|-|--⌫------|
receuoiret	-------|-|
r aisunsdient lidei ens et	-⌫-----|----|-|---⌫--|-|
lichapitresqueli-deua nt	-|--------|--|-||----⌫-|
- dit frere	|--|----|
ne doient pas auoir	-|-----|--|----|
les fruz respondent li duifrere	--|---|---------|-|--|----|
refuserentonque s droi tàoïrn e	---------|-----⌫|----⌫|-|---|-⌫|
droi tà-panreet	----⌫|-||----|-|
porce nedoiuentil a uoir nul	--|-|-|------|-|-⌫---|--|
domaig eainzlorsa nbleq uequ antil ner ece urent	------⌫|---|--|--⌫---|-⌫-|--⌫--|-|-|-⌫---⌫----|
l argentetmirentlour heritaigean b arre	|-----|-|-----|---|--------|-|-⌫---|
que il furentdefailant dedroito ïret	--|-|-----|--------|-|----|-⌫--|-|
d e droitfaire.	-⌫|----|----||
cedien til	-|----⌫|-|
quel ifruitdoientestrelour	--|-⌫|----|-----|----|---|
et pres tsuntd	-|----⌫|---||
oïrdroitsorcescho ses.	---|----|--|--|---⌫--||
Àlaquinte	-|-|-----|
raisunquelideienset li chapitres dientqueil	-----|--|-|-----|-|-|--------|----|--|-|
leurentlesl etresde ua ntle sd ousfrereset	------|--|-⌫----|--⌫--⌫-|--⌫|-⌫--|-----|-|
li freres an-depart irentrespondentli	-|----||-||------⌫----|---------|-|
que ce nelourdoitpasgr euer	--|-|-|---|---|--|--⌫---|
quarle sletresfirentil	---|--⌫|-----|-----|-|
lirede uan t auspor sauoirplus	---|--⌫---⌫|--|--|-----|---|
cer teinnem a nt q ueldroit ilau oienteschosesetseil	---⌫-------⌫-⌫-|-⌫--|----|-|--⌫----|-|-----|-|-|-|
oïre nt les letres ne	-----⌫-|--|-----|-|
quitare ntilpas lourdroit	-------⌫-|-|--|---|----|
a ncordeman dent	-⌫---|-----⌫---|
ilbiencunlourliseetc un	-|---||-|---|---|-||-|
lo uranbautlou	--⌫-|-|---|--|
tancritetlesch oses	------|-|--|--⌫---|
desusdi tes au	----|--⌫--|-|
aucunnequ i lour	------|--⌫|---|
sofisesofrentilàprou erpardeuant	-----||-----|-|-|----⌫-|--|-----|
lau esqueousuncomandemant saus tozdr oizde cr oit re	|--⌫----|-|--|----------|---|--|--⌫--|-|--⌫---⌫-|
et deos ter.	-|-|--⌫--||
Àce qu eli	-|-|--⌫|-|
messireGuill aumesetmes sire	--|---|-----⌫----|-|--|---|
Esti enes deTrichasteldientquel auandu eetli	----⌫---|-|---------|----|--|-⌫|-----⌫|-|-|
armonne furen tf ai tesansanble etpor cene uuelent	------|-----⌫|-⌫--⌫--|-------|-|--|-|-|------|
pas quiluai l e respondent lideiensetlicha pitres	--|-|-|---⌫-⌫|---------|-|-----|-|-|---⌫-----|
quilne requenois sentpas quansinc soit	-|-|-|---------⌫---|--|-|-----|---|
etsilesto itprou é	-||-|----⌫-|----⌫-|
paraua nture	--|---⌫----|
respondentil quebienpaüre nt f a ireli sir e s	---------|-|--|---|------⌫-|-⌫-⌫--|-|---⌫-⌫|
de Trichasteletmes	-|---------|-|--|
si r eH uguessesfr e res	--⌫-⌫|-⌫----|--|--⌫-⌫--|
tel armonneàlourmere egl ise	--|------|-|---|---|---⌫--|
àceq uil die ntqu el a rmonnenefust	-|-|-⌫|-|---⌫-|--⌫||-⌫-----|-|---|
pasfa itesela	--|--⌫--|-|-|
uan due nefustfait e respon dent li deiense tli	---⌫--|-|---|----⌫|------⌫---|-|-----|-⌫|-|
chap itresqu ilnecroientpasquel armonnene	----⌫----|-|-|-|------|--|--||------|-|
fustfaitesanzlaua n due quarli si resde	---|----|---|-|--⌫-⌫--|---|-|--⌫--|-|
Trichastelestoitcrossiezetaparoil iez desun	---------|-----|-------|-|-------⌫--|-|--|
pelerinaigefaire etpor ce est il	----------|----|-|--|-|--|-|
biensanblan zetse	---|-------⌫|-|-|
ceiere chose que l a r monne	-|---|----|--||-⌫-⌫----|
fustfa i te auocla ua nduedroizneraisunsnebone	---|--⌫-⌫-|---|-|--⌫---|----|-|------|-|---|
constumene bo nsusaigesned eueentpas qu	-------|-|--⌫-|------|-|-⌫-----|--|-|
ilnepu isseualoir.	-|-|--⌫---|-----||
Àcequildientquiln	-|-|-|-|----|-|-||
estoi e nt pasàaaige quantilloeretetiurerent resp ondent	-----⌫-⌫-|--|-|----|----|-|-----|-|-------|----⌫-----|
lideienset lichapitres	-|-----|-|-|--------|
croientq u e li	------|-⌫-⌫|-|
ditfrere estoient an t ans etanestat	--|----|-------|-|-⌫--|-|-|----|
quilpo oientiurieret	-|-|--⌫----|-----|-|
cons entir et l ou ranloierparsairemant et dient	----⌫----|-|-⌫--⌫|------|--|--------|-|----|
ancor que liauoerie nampooiche	----|--|-|------||--------|
pas ques airemanz faiz	--|--|-⌫-------|---|
anauoeri ene doigeual oirmoisme mantqua nt	-|------⌫|-|----|---⌫--|------⌫---|---⌫-|
li s airemanz	-|-⌫-------|
es t faizpar	--⌫|---|--|
louconsantemantet parlauto rit éde	--|-----------|-|--||----⌫---⌫-|-|
l au ouer.	|--⌫---||
queli-ditfre red ie ntquil	--|-||--|---⌫-|-⌫--⌫-|-|-|
of frerentlargent dea nzl and e	--⌫------||-----|---⌫-||-|-⌫|
la uandue et se ildeanzl	-|-----|-|-|-|----||
uandue nou pre santerentque	-----|--|---⌫--------|--|
ce ne lour	-|-|---|
d oit pasg reuercum	-⌫--|--|-⌫----|--|
ilf ussientana uo e rieau	-|-⌫------|-|-⌫--⌫-⌫--|-|
tansd elauandu e e tlarge ntpresant erentançoi sq ue	---|-⌫|-|-----⌫|-⌫||----⌫-|-------⌫----|------⌫|-⌫-|
lianzfustpassez quil	-|--|---|-----|-|-|
fur e ntfuer dauoerieresponden tli deiens	---⌫-⌫-|---||------|---------⌫|-|-----|
etli chap it r esqu il necroien tpas qu il	-|-|----⌫--⌫-⌫-|-|-|-|------⌫|--|-|-|
soi tansincetrespon du aun à	---⌫|-----|-|------⌫-|--|-|
ce p arlesraisuns de uant	-|-⌫-|--|------|--⌫---|
etd ientque sil offrere ntque lour	-|-⌫---|--||-|-------⌫-|--|---|
offren est oit pas àreceuoirpo r	----||---⌫--|--|-|-------|--⌫|
cequilauoientloe e	-|-|-|------|---⌫|
lauandueet fiancie àtenir	-|-----|-|------|-|----|
etqu il n e uanroent ancontre.	-|-|-|-⌫|-------|-------||
À ce quildient que	-|-|-|-|----|--|
liconstume d ou	-|-------|-⌫-|
le u ouladime siet	--⌫|-|-|---|---|
estt exque	--|-⌫-|--|
liplusprucheins	-|---|--------|
oirsp uetuenir à rachat de	---|-⌫--|----|-|-----|-|
l eritai ge	|------⌫-|
d eanz l anetlo u i our	-⌫---||-|-|--⌫|-⌫--|
de lauandue d i entilquilnestpas	-|-|-----|-⌫-⌫--|-|-|-||--|--|
co stu mene u saigesan	--⌫---⌫-|-|-⌫-----|-|
lesu aich ié	|---⌫----⌫--|
deLeingresqueparantp uissent rachetertel heritaigecom meest	-|-------|--|-----|-⌫------|-------|--|--------|---⌫-|--|
dimesdeegl is equilou puissetenir nedoige.	----|-|---⌫--⌫|--|--|-----|----|-|----||
À lourq ua rte respons e quant est d es	-|---|-⌫--⌫--|-------⌫|----|--|-⌫-|
f ruzoùildient quil	-⌫--|--|-|----|-|-|
s u nta désau aparoiliéd oïrdr o itdi ent	-⌫-⌫-|-⌫---|-|---------||---|--⌫-⌫-|--⌫--|
lid eienset lichapitres qu	-|-⌫----|-|-|--------|-|
f urentonquesdefailant	-⌫----|-----|--------|
doïr droit	|---|----|
nesuntetdoislorsqu-	-|---|-|---|---|-||
i[l]sanoffre r e ntil ne fu tonqu es-	---||-|-----⌫-⌫-⌫-|-|-|--⌫|----⌫-||
puisnunsquiriensloran	---|---|--|----|--|-|
-demand ast i us queor	|------⌫--|-⌫--⌫--|-|
etiln apartient	-|-||--------|
pasà -celuiquiest	--|-||----|--|--|
t enanz dela choseouautresclaimme droitqu	-⌫----|-|-|----|-|-----|------|----|-|
il quier equidroitdie à lui et à	-|-----⌫|--|----|--|-|--|-|-|
autruidela chosequiltie ntmasà c elui	-----|-|-|----|-|-|---⌫-|--|-|-⌫---|
quidemandeetporcedientl i deie nsetli	--|------|-|--|-|----|-⌫|----⌫-|-|-|
chapitresquilne stpas defailian	--------|-|-||-⌫-|--|------|-|
ausmas es dousfr eres .	--|--|-|---|--⌫---||
dientqui loïrentle s letres	----|-|-⌫|------|--⌫|-----|
p oroïrpluscer teinnemantquedroit	-⌫-|---|---|---⌫---------|--|----|
ilauoe ntet quilnequitarentpas	-|----⌫-|-|-|-|-|--------|--|
porcel o urdr oitdient l ideiensetlichapitres	--|-|-⌫-⌫-|--⌫--|----|-⌫|-----|-|-|--------|
quil sanble bi e n que	-|-|-----|--⌫-⌫|--|
lifrere n aüssientpoint de d roita n	-|----||--------|----|-|-⌫---|-⌫|
la choseq uantilsan- departi rentansinc	-|----|-⌫---|-||-||-------⌫---|-----|
etonqu e - pu i sned emanderentriensiusq ue	-|----⌫||--⌫-⌫|-|-⌫---------|----|----⌫-|
orandroitet dientquillourfe r ontuolan tiers lou	--------|-|----|-|-|---|--⌫-⌫--|-----⌫----|--|
tranc rit des letre s anleuet antanset	-----⌫--|--|-----⌫|-|--|-|-|---|-|
s offre nt lideiense tlichap itresà	|-----⌫-|-|-----|-⌫|-|----⌫----|-|
prouerc es choses ou	-----|-⌫-|-----|-|
ce quilourso ffer a	-|--|---|--⌫----⌫|
saufce qu ili - puissent mestreet	---|-|-|-|||-------|-----|-|
Etdientancor lide iens	-|----|----|-|--⌫---|
et lichapi tr e squese li dit	-|-|-----⌫--⌫-⌫|--|-|-|--|
frereGuill aumes etEstienesestoienta n auoerieau	----|-----⌫----|-|-------|-------|-⌫|------|-|
tan squ-i[l]	---⌫|-||---|
offrerentlesdeniers d ou rachatlaquel choselideiens	--------|--|------|-⌫-|-----|-|---|----|-|-----|
chapitres s	--------||
offr en tbienàp rouerse	----⌫--⌫|---|-|-⌫----|-|
mestiers e stli offrequilfirentn e ua lut	-------|-⌫-|-|----|-|-|-----|-⌫|--⌫--|
sanz loucon s antemant et l autoritédec el ui	---|--|---⌫-⌫-------|-||--------|-|-⌫--⌫-|
ancuiauoerieilestoie ntetque	-|--|------|-|------⌫-|-|--|
lideiens et	-|-----|-|
li chapitres	-|--------|
n e deurentpasreceuoir lesden i ers	-⌫|------|--|-------|--|---⌫-⌫--|
antelpoint .	-|--|----||
Àce queli de ienset lichap itres	-|-|--|-|--⌫---|-|-|----⌫----|
dientque cil	----|--|--|
quitie ntla	--|---⌫-|-|
doit pa squerirque on li die d r oitde	---|--⌫|-----|--|-|-|--|-⌫-⌫--|-|
cilquilach osed eman derespondent lifrere	--|--|-|--⌫--|-⌫----⌫-|---------|-|----|
qu il est u s etconstumean lesuesc hiéde	-|-|--|-⌫|-|-------|-||------⌫---|-|
Lain gres moismemantouleu où	----⌫---|---------|-|--|--|
lad euant -dite	-|-⌫----||---|
quecil qui	--|--|--|
uuetracheter	---|-------|
doit presanter l argent d e tant coml a	---|--------||-----|-⌫|---|--|-⌫|
-uandue monteà	|-----|----|-|
ce lui qu i aacheté	--⌫--|--⌫||------|
dedanzlane t	-----||-|-⌫|
lou io urq uelau andueestfa i teou	--|--⌫-|-⌫-|-|-⌫----|--|--⌫-⌫-|-|
au plustar t auant que l ianzsoit passez	-|---|---⌫|----|--|-⌫|--|---|-----|
qu ilest issuz fors d a uoerie	-|-|--|----|---||-⌫-----|
sansincestque	|-----|--|--|
uuetr achetere stoitanauoe rieautan s	---|-⌫------|-⌫----|-|----⌫--|-|---⌫|
quela-uandue estfaiteetsec il	--|-||-----|--|----|-|-|-⌫-|
qui acha tentref usentlou	--|----⌫---|---⌫----|--|
nom bre delargent	---⌫--|-||-----|
que lioir spr esantededanz lan	--|-|---⌫|--⌫-----|-----||-|
etleiourdela-uandueou	-|-|---|-|-||-----|-|
ilref usen t loffredelargentqu elioirs	-|---⌫----⌫||----|-||-----|--⌫|-|---|
presenteainçoi squelianz	-------|-------⌫|--|-|--|
soit pas s ezque lioirs quipresantesoit	---|---⌫-⌫-|--|-|---|--|-------|---|
fors d auo er ie liachate rresqu icere fusefai t	---||---⌫--⌫-|-|------⌫---|--⌫|-|--⌫---|---⌫|
tort àceluiquiapresanté seluncles us	---|-|----|--||--------|-----|--|-|
etles constumesdou deuant-	-|--|--------|--|-----||
dit leu et depluso ursautres leusde l	--|--|-|-|-----⌫--|-----|---|-||
aue schiédeL oingreset il es t us e t	---⌫-----|-|-⌫------|-|-|--⌫|-|-⌫|
constum edela ueschiéd e Loingr esqueci l qui ti ent	-------⌫|-||-⌫-------|-⌫|------⌫-|--|--⌫|--|--⌫--|
à tort cequ- iti entdoit r an dretoz	-|---|-|-|||--⌫--|---|-⌫--⌫--|--|
lesfrutaiges	--|--------|
oulaualourdes	-|-|-----|--|
fr uzàloir qu i	--⌫-|-||--|--⌫|
apr esantéles	|--⌫------|--|
de niersderachatantansqu ilpo tracheter et	--⌫----|-|-----|-|---|-|-|--⌫|-------|-|
dutselunclesdizus	--|-----|--|--|-|
etles cons tu mes de l aues chiéde Loingreset	-|--|----⌫--⌫--|-||----⌫----|-|-------|-|
po rceque li deiensetli chapitre sne-	--⌫|-|--|-|-----|-|-|--------⌫|-||
re çurentl ar gent	--⌫------||--⌫---|
