q uiparoleauroipescheor	-⌫-|-----|-|--|-------|
quinestoitmiedebonet	--||-----|--|-|----|
il estoitmoltet buens etbiaus	-|-----|---|-|----|-|----|
d esus auoitdeus	-⌫---|----|---|
otnonescolasse	-|--|--------|
or s achiezbienqu en uainselass e	-|-⌫-----|---|-|-|---|-|----⌫|
ue ltde li reco rder	--⌫-|-|-|----⌫---|
nusne si saro it	--|-|||----⌫-|
asabiautetou teretraire	|-|-----|---⌫-|-------|
tr opconuenroitdepainetraire	--⌫-|---------|-|----|-----|
qua nt perc he uaus	---⌫-|----⌫--⌫---|
si uintuersl i porsalurendre	-|---|---|-⌫|--|---|-----|
ual tta ntatendre	---⌫|--⌫-|------|
quei llesaluastancois	--|-⌫|-|------|-----|
ainz lesalue	---|-|----|
car a ss ez en au o it	--|-⌫--⌫-|-|--⌫-⌫-|
sir efaitele qui em pris	---⌫|---|--|--|-|---|
nous asremiset	---|-|----|-|
e nrich ech e	-⌫|----⌫---⌫|
et ie ct ez	-|--⌫--⌫-|
desig ra ntt ristrec he	-|-|-⌫--⌫-|-⌫-------⌫-|
ualor par tabon te	----|--|-|---⌫-|
dontnu snepuetla dignit e	---|--⌫|-|---|-|------⌫|
auoirfors uousceestnoiens	----|---|---|-|--|-----|
uo usuenus caiens	--⌫-|----|-----|
siserésuousse	-|-----|---|-|
ielpuisf ai re	-||---|-⌫--⌫-|
percheuausqui de gr ant	---------|--|-|--⌫--|
estoitlir endi sonsalu	-----|-|-⌫---|--|---|
damese ie uous	---|-|-|---|
distpercheuausdenule	---|---------|-|---|
di e uscemepl aist	--⌫-⌫-|-|-|--⌫---|
maisi e nesa i por	---|-⌫|-|--⌫|--|
coi cesoit	--|-|---|
et neporquantsil uousplaisoit	-|---------||-|---|-------|
uolentierslorroie	---------||-----|
parmo n ch iefsi re f ait	--|--⌫|--⌫--|--⌫-|-⌫--|
cuion fait	--|-|---|
m i aco rt	||---⌫-|
ile stbiendroisqu	-|-⌫-|---|----|-|
i l sen rec or t	-⌫||-|---⌫--⌫|
ledoibienreco r der	-|--|---|----⌫-⌫--|
dec oi ma uez fa it	-|-⌫-||-⌫--|--⌫-|
biensa i c hies leroipes cheor	---|--⌫|-⌫---|-|--|---⌫----|
au ezes té	--⌫-|--⌫--|
et dem ande ́	-|---⌫----⌫|
dug raalp arcoiamendé	-|-⌫---|-⌫-|--|------|
somes ensifaite manie re	----|-|-|----|-----⌫-|
quencestregnenauoitriuie re	-|-|---|----||----|-----⌫-|
quinefustgastenefont aine	--|-|---|----|-|----⌫---|
etlaterre gasteetsou taine	-|-|----|----|-|---⌫----|
or ont lorcorschascune	-|--|--|---|-------|
etdelalancepor	-|-|-|----|--|
biaus sire quantle demandastes	----|---|----|-|----------|
totcestpaisen	--|---|---|-|
amendast es	--------⌫-|
quiest richesetaza zez	--|--|-----|-|---⌫--|
toz biensi	--|----||
dont deua ntestiens soff ra it oz	---|----⌫-|------|----⌫--⌫--⌫-|
o r nous auezsecorus toz	-⌫|---|---|------|--|
etquantuousalpremieri	-|----|---|-|------||
e tlegraal ueueu stes	-⌫|-|----|--|--⌫---|
etlalancequ isi sainoit	-|-|----|--⌫|-|------|
sirequanq uessen efioit	---|-----⌫--|---⌫-----|
lauerite tou t seussie z	-|-----|---⌫|-------⌫|
sadontd emandél	|----|-⌫------||
et li riches ro is	-|-|-----|--⌫-|
fust g aris	---|-⌫---|
desaplaiequiestmaris	-|-|----|--|--|----|
souentesfois m ais encorquide	-------|---|-⌫--|----|----|
que uostre paine et uostreestuide	--|-----|----|-|-----|------|
met ezsanzmetre ennonchaloir	---⌫-|---|----|-|--|------|
queuo u sta ntpeu ssie z	--|--⌫-⌫|--⌫-|---⌫----⌫|
queu ous s achiez lauertefine	--|-⌫--|-⌫-----|-|----|---|
a tan tlorparlemensdefine	|---⌫|--|--------|-----|
maisla ioienef inepas	---|-|---|-|-⌫--|--|
lada moisel e eneslepas	-|--⌫------⌫|--------|
prentper cheualpar	----|---⌫-----|--|
l e maindestre	-⌫|---|-----|
si le ma in ea unefenestre	-|-|--⌫--⌫||--|-------|
por che que	--|--|--|
il nelianuit	-|-|-|----|
pordeu iseriusq ueala nuit	--|---⌫---|----⌫-||-|---|
sozpers soit	------|---|
etpercheuaus est	-|---------|--|
leu i uier gran t	-|-⌫-⌫---|----⌫|
q uie stoit	-⌫-|-⌫----|
des o zlechastel	---⌫-⌫|-|------|
e tparded ensui t lemanoi r	-⌫|--|---⌫--|--⌫|-|-----⌫|
ousideliteusfait manoi r	-|-|-------|---|-----⌫|
c a r moltfu l i	-⌫-⌫|---|-|-⌫|
liusd eli t able s	---|-⌫---⌫-⌫----⌫|
ai n squefui ssent	--⌫-⌫|--|---⌫----|
misesles tables	----|--|-----|
uit percheu aus qui	--|-------⌫--|--|
l a flambedunegrantforn aise	-⌫|-----||--|----|----⌫---|
bleuep lus quenes oitazur	----|-⌫--|--|-|-⌫--|---|
qui naissoittres	--|-------|---|
parmiunmur	----|-|--|
treudunechemine e	---||--|-------⌫|
a celequilotl a menee	|---|--||-|-⌫|----|
demand ecom entceestoit	------⌫|---⌫--|-|-----|
quefusteleflambeiet oit	--|--|---|-----|---⌫--|
cele res pontsa nsdeceu oir	---|---⌫---|--⌫-|-----⌫--|
dira isire leuoir	----⌫|---|-|---|
lieet de bone	--|-|-|---|
iala ue rite	-|-|--⌫---|
san zatargieretsanzdel ai	---⌫|-------|-|---|---⌫-|
enc el man oir	-|-⌫-|---⌫--|
m aintunsfeuresdegrant	-⌫---|--|-----|-|----|
u nsro isli dona celmana ge	-⌫-|--⌫-|-|---|--|----⌫-|
por troi sespeesqu	--|----⌫|-----|-|
encelchas tel	-|--|----⌫--|
laoules forga t otestr ois	-|-|--|----|-⌫---|--⌫--|
delunefu ilsidestrois	-||--|-|-|-|-------|
conquesenun annefina	|-----|-|-|-|-|---|
de forgier tant qui l lafi n a	-|------|---|-|-⌫|-|--⌫-⌫|
trencha nt etdure etmoltbie n	-------⌫-|-|---|-|---|---⌫|
queianeseroit	--|-|-|-----|
fors par unper ilqui l s auoit	---|--|-|---⌫-|-|-⌫|-⌫----|
k enus forsque iln esauoit	-⌫|--|---|--|-|-⌫|-----|
parcelpe r ilseroi tbrisie	--|--|--⌫-⌫-|-----⌫|-----|
quitant estprisie	--|---|--|-----|
n eia refaitenes eroi t	-⌫|-|------|-|-⌫----⌫|
d euantque illerefe roi t	-⌫----|--|-|-|----⌫---⌫|
etceleflam bequiestperse	-|---|----⌫-|--|--|----|
et u ersles autres	-|-⌫--|--|-----|
estdiu er se	--|---⌫--⌫-|
onquespuises tainte nefu	-----|---|--⌫-----|-|-|
faito npoint	---|-⌫|----|
n e cil ain c puisneu oltfo rgier	-⌫|--|---⌫|---|-|-⌫--|--⌫----|
quil idonast plain un	--|-⌫|-----|----|-|
fin n e foriastil	--|-⌫|------|-|
queil setbienaes cient	--|-|--|---||--⌫----|
ce lifaite raura	--⌫-|----|----|
quemolt petitapresuiur a	--|---|----|----|----⌫|
lau eriteen uous d espont	-|-⌫----|-|---|-⌫-----|
e tsachiezquau piedesonpo nt	-⌫|------|-|-|--|-|--|--⌫-|
adeus serpenzenchaanez	|---|------|--------|
ilnestn us	-||--|-⌫-|
silueltent rer	|-|---|---⌫--|
dedens saporte	-----|-|----|
qui uienemembreen	--|--|-|-----|-|
forssa mais nie qui lesert	---|-|----⌫--|--|-|---|
ettozdissontlihuis ouert	-|--|--|---|-|---|----|
oresco utez biaus dolsami s	-|----⌫---|----|---|---⌫|
porc oili serpenti sont mis	--|-⌫-|-|------||---|--|
porche que seiaauenoit	--|--|--|-|-|------|
q uenceste c ontree	-⌫|-|----|-⌫-----|
alcunsporl espeerefaire	-----|--||----|------|
queliserpentd e put	--|-|------|-⌫|--|
l ocirro ient sei luoloit	|------⌫---|-|-⌫|-----|
la iens en trers il neuo l oit	--⌫---|--⌫---||-|-|--⌫-⌫--|
comeuns oisiausde uoirsac hiés	---|--|------|-|---|---⌫----|
outozesteroit depechiez	-|--|-------|--------|
q uan tp ercheuau sces mos oi	-⌫---⌫|-⌫--------⌫|--|--|-|
moltdurement	---|-------|
le liuatroue ́ celis am ble	-|--||-----⌫|-|-|-⌫--⌫--|
oulespi eces	-|--|--⌫---|
erente nsamb l e	----|-⌫-----⌫-⌫|
r emisesd e saboneespe e	-⌫-----|-⌫|-|---|----⌫|
siquele e rtfor sdureet tempree	-|-|--|-⌫-|---⌫|---|-|------|
lorsre demande	---|--⌫------|
a lapucele	|-|-----|
dame f aitil u nenou el e	---|-⌫--|-|-⌫-|---⌫--⌫|
uousdemant come n tcistc hastiaus	---|-----|----⌫-⌫|---|-⌫-------|
est apelez	--|-----|
qui tantest biaus	--|---|--|----|
moltifaitdeli t e usesbatr e	---||---|----⌫-⌫-⌫-|------⌫|
sireo nl apele cothoatre	---|-⌫||----|--------|
ci l me zl aiensan onle	--⌫|--⌫|-⌫----||-⌫-|-|
q uim anoirsfu a uroi frolac	-⌫-|-⌫-----|-|-⌫|--|-----|
alonssozper car t anse nest	----|-----|--|-⌫--|-⌫|--|
lorsuontlauerque	---|---|----|--|
totfu p rest	--|-|-⌫---|
puisuontsozp e r	---|---|----⌫-⌫|
aldois plu s haut	-|---|---⌫|---|
celenuitfu s e	---|---|-|-⌫|
dieusmesalt	----|-|---|
percheuausseruisa plaisi r	---------|-----||------⌫|
apresmengiers euontiesir	----|------|-⌫|---|----|
percheuaus otl itcointe	---------|-|-⌫-|-----|
onques aco nt e n eaprinc he	-----||--⌫--⌫|-⌫||-----⌫-|
ne uiplus plai santne	-|-|---|----⌫---|-|
plus nob le	---|---⌫-|
dedeusdras d ecostantinob le	-|---|---|-⌫|-----------⌫-|
estoitla colc hea chasc u ncor	-----|-|----⌫-||-----⌫-⌫|--|
pendoit une	------|--|
e s chaleted	-⌫-⌫------||
quiso noit	--|--⌫---|
si tresdolcem ent	-|---|------⌫--|
etsacordoitsisimplement	-||-------|-|---------|
sambleunemel od ie	-----|--|---⌫--⌫-|
il nesth om tantait	-||--|-⌫-|---|--|
s i lestsorle c olche co lchiez	|-⌫|--|--|-|-⌫----|--⌫-----|
que i a puislidoeill e lichi es	--|-⌫|---|-|------⌫|-|---⌫-|
p ercheuau se n sel li t se co ulche	-⌫--------⌫|-⌫-⌫|-|--⌫|-|--⌫----|
mol t fubeleetriche	---⌫|-|---|-|----|
etlapuceleli	-|-|-----|-|
conse ille	-----⌫---|
moltbelementensen	---|-------|--|-|
l o rei l le	|-⌫---⌫-⌫-|
ques ei laime sonde lit	--|-⌫|-⌫|---|--|--⌫--|
odl uisec ou che r aellit	-|-⌫-|-|-⌫--⌫---⌫-⌫|-|--|
carmoltbiende ser ui l	--|---|---|--⌫---⌫-||
pe rche uaussi	--⌫----⌫---|-|
gente leu oit	----|-|-⌫--|
con seillie r	---⌫-------⌫|
oudescondi reouotroier	-||-------⌫-|-|------|
licorsli fremistetlimembre	-|---|-|------|-|-|-----|
etdelaques teli rame mbre	-|-|-|----⌫-|-|----⌫---|
queilaenqu i s	--|-||----⌫-⌫|
parfoi fai t	--|--|---⌫|
ilor sui ie	-|-|--|-|
quantieuoipucelesiiente	----|-|--|-----|-|----|
quiso ndeduitm offreet	--|--⌫|-----||----|-|
et ienelosm ierechoiure	-|-|-||-|-⌫-|--------|
ie quitqu el emeuelt	-|---|-|--⌫|-|---|
ouiequitqu	-|-|---|-|
el e e st costumiere	--⌫|-⌫-|---------|
deproie rcheu alier s premiere	-|-----⌫|----⌫-----⌫|-------|
a moinelapascomenchie ́	|--|-|||--|---------⌫|
maisbien doi t	---|---|---⌫|
redou t erpechie	-----⌫-⌫-|-----|
li hometenfais etendis	-|--|-|-|---|-|-|--|
qui conquerreuelt paradis	--|--------|---|------|
aces tmot percheua us frem i st	|---⌫|--|--------⌫-|----⌫-⌫-|
lademois ele araisonmist	-|------⌫--||-----|---|
be l edistild ete lme stier	--⌫-⌫|---|-|-⌫|--⌫|--⌫----|
naiio uo remi e me stie r	|-|--⌫|-⌫-|--⌫|--⌫----⌫|
n euousref usmie	-⌫|---|---⌫-|--|
seporche nonma dolc e	-|--|--|--|-|----⌫|
quetrop feroi egrant pechie	--|---|-----⌫|----|-----|
se ieauo iedespechié	-|-|---⌫-|---------|
uopuc ela ge	-|---⌫---⌫-|
madolc eamieor	-|----⌫|---|-|
sachiezbien	------|---|
queo nque sn	--|-⌫----⌫||
oi iorde m au i e	-|--|-|-⌫|-⌫-⌫|
de nulsifaitd eduitenuie	-|--|-|---|-⌫----|----|
saiacoicemonte	--||--|-|----|
lapu celeot uergo igneethont e	-|--⌫---|-|-----⌫---|-|----⌫|
p uis distsi re sedieu s	-⌫--|---|--⌫-|-|----⌫|
sachiezq ue	------|-⌫-|
uo usa uoie	--⌫-|-⌫---|
poraco mplir u o uolente	--|---⌫----|-⌫|------|
quantieuousuo ientalenté	----|-|---|--⌫|---------|
del iu lessie rc a idita uous	--|-|------⌫||-⌫|--||---|
au sibelmen est com e	--⌫-|--||-|--|---⌫|
n en parla	|-|----|
ensach am bre co uchier ala	-|-|--⌫--⌫--|--⌫-----|--|
et pe rcheuaustorneetreto r ne	-|--⌫-------|----|-|----⌫-⌫-|
a u gra al	-⌫|---⌫-|
so n p enseatorne	--⌫|-⌫---|-----|
ache atout son pensemis	|--||---|--|----|--|
encel pense sestendormis	-|--|----||--|-------|
descial ior	----|-|--|
quil aiorn a	-|-|-----⌫|
quelagaiteleior corna	--|-|----|-|--|----|
p erche uausm ai n tenant selieue	-⌫-----⌫---|-⌫--⌫-⌫-----|-|----|
c ar lidemo re rs	-⌫-|-|----⌫--⌫-|
molt ligr ieue	---|-|--⌫---|
la puceleaso n	-|-----||--⌫|
uestue dunrichebos fu	-----||-|----|---⌫-|
moltliprie dedemorer	---|-|---|-|------|
carmolt leu olroithon orer	--|---|-|-⌫-----|---⌫---|
sesonseruicheuoloitpre ndre	-|--|-------|-----|---⌫---|
percheuau sne ualtpl usatendre	---------⌫|-|---|--⌫-|------|
porproiereneporprame sse	--|------|-|--|-----⌫--|
lapuceleporoirmesse	-|-----|--|--|----|
lamenéaune chapele	||----||--|------|
quimoltestoitet	--|---|-----|-|
richee t bel e	----|-⌫|---⌫|
onleura ditde no stredame	-|---||--|-|--⌫---|---|
quisortoutesautres estiame	--|--|-----|-----|--|---|
apreslamessesanz	----|-|----|---|
apo rter a me n gier	---⌫---||--⌫-⌫---|
unchaponalesalseen rost	-|-----||-|----|-|---|
ap resmengier sarm amolt tost	--⌫--|------||---⌫|---|---|
percheuauspuisatrait	---------|---||----|
qui fu brisiee ettronch onnee	--|-|------|-|------⌫----|
puisest montezsanz	---|--|-----|---|
dem oranc e	---⌫-----⌫|
sonescua pri setsa lance	--|---||---⌫|-|-|----|
l a pu celepor conuoier	-⌫|--⌫---|--|-------|
et po r alcheminrauoier	-|--⌫|-|-----|------|
restmonte eetsagent odli	---|-----⌫|-|-|---|-|-|
aper cheualmoltabeli	|---⌫-----|---|----|
h achepe ndre	-⌫---|--⌫---|
a lezle prendre	-⌫--|-|------|
puisestde l c hastelaual ez	---|--|--⌫|-⌫-----|----⌫-|
l a puce leli fu aulez	-⌫|----⌫-|-|-|-|--|
quiauoitanonescolas se	--|----||--|-------⌫-|
parmilesru esouilpasse	----|--|--⌫-|-|-|----|
uinrenta coran tlesge ns toutes	------|-⌫-----⌫|--|--⌫-|-----|
etpar compaignes	-|--|---------|
etparrout es	-|--|----⌫-|
t otlenclinentparfondement	-⌫-||--------|-----------|
etses cr ienttouthautement	-||--⌫--⌫---|---|--------|
sire quitoznou s asr efais	---|--|--|---⌫|-|-⌫----|
etdeschargiez desi g ran tfais	-|----------|-|-|-⌫---⌫|---|
etre misensigrant	-|--⌫--|-|-|----|
biendeuerien sdoel ettr istrece	---|--------⌫|---|-|--⌫------|
demene r quantsi to stt en par s	------⌫|----|-|--⌫-||-|---⌫|
ens ihu chentdetoutespars	---⌫|--⌫----|-|-----|---|
percheuausquilehacheporte	---------|--|-|----|----|
uatant qu il uintdeuantlapor t e	-|---|-|-|---|-----|-|---⌫-⌫|
delchastelou	--|------|-|
lise rpentsont	-|--⌫----|---|
enchaanédesus le pont	--------|----|-|---|
fier et laite thideu s	---|-|---|-⌫|-----⌫|
iequitonquesh om	-|---|-----|-⌫-|
ne nuls iperilleust re spas	-|--|-⌫|--------|-⌫--⌫---|
cel e p artuintisne llepas	---⌫|-⌫--|---|----⌫-----|
sestdescen dus deson cheua l	|--|------⌫--|-|--|-----⌫|
l ad emoiseledistuassal	-⌫|-⌫-------|---|-----|
c auez uouse mpenséa	|---|---|-⌫------||
ma d am oiseleporrefaire	-|-⌫--⌫-----|--|------|
mespeeweil laiens entrer	|----|---|-----|-----|
et cesdeusg ransserpens	-|--|---|-⌫---|------|
queieuoienc haa ne zchi	--|-|--|---⌫---⌫--⌫|--|
hagen ti uscheua li ers merchi	-|---⌫--⌫-|-----⌫--⌫--|-----|
moriruolés a escient	----|-----||------|
e tdistpercheuauspornoient	-⌫|---|---------|--|-----|
mech ast iezi eweilsauoir	-|--⌫---⌫--|-⌫|---|-----|
silporroitlaien shomea uo ir	|-|------|-----⌫|---|-⌫--⌫-|
quim espeeme refesist	--||----|-|-------|
car grantpiech aqu eonme	--|----|----||--⌫|-|-|
sil auenoitquel efu stfraite	|-|------|-|--⌫|--⌫-|-----|
que leseroit laiens refai te	-|-⌫-|-----|-----|-----⌫-|
lesgensqui la son tquantill o e nt	--|---|--|-|---⌫|----|-||-⌫-⌫-|
licrie ntmerchi	-|----⌫-|-----|
q ueil l aist celeuoieester	-⌫-|-|-⌫---|---|---|----|
percheuausneuolt ar est er	---------|-|---|--⌫---⌫-|
porlorcr iernepasneeure	--|--|--⌫--|-|--|-|---|
lapucelet en re mentpleure	-|-----|-⌫--⌫--⌫---|-----|
piti e enlerme sfont	----⌫|-|-----⌫|---|
e tlesgensauec l i refont	-⌫|--|---|---|-⌫|-----|
teldoelqueiamais n	--|---|--|-----||
ertretrait	--|------|
percheuausles lepo ntse trait	---------|--|-|--⌫-|-|----|
sonescu mistdeuantson u is	--|---|---|-----|--|-⌫-|
une or oisoncemest	--|--⌫----|-||--|
ilauo it aprise	-|---⌫-|-----|
ade us ma ins a lehache pris e	|--⌫-|--⌫--||-|----|----⌫|
s orleponte stmaintenant mi s	-⌫-|-|---|-⌫-|---------|--⌫|
enco ntre lesdeusan emi s	----⌫---|--|---|--⌫---⌫|
serpentpe r che ual	------|--⌫-⌫---⌫--|
ue nirbien sam blequil maruoien t	--⌫--|---|---⌫--|-|-|--------⌫|
c hascunsse hirice et	-⌫------|-|-----|-|
s e creste	-⌫|-----|
et deluioc i rre s	-|-|--|--⌫-⌫--||
ets i uou s pu isbienaffichier	-|-⌫|---⌫|--⌫-|---|--------|
quilfontle song les enfichier	-|-|---|--⌫|---⌫--|--------|
esp ierres	-|-⌫-----|
quifurentde	--|-----|-|
esp risetardant etengres	---⌫--|-|-----|-|-----|
uin rentcorants anzpl u s	---⌫---|-----|-⌫--|--⌫-⌫|
quanquilonqu espuentdestendre	-----|-|----⌫-|----|--------|
etpercheu austant l esatent	-|-------⌫--|---|-⌫-|----|
quechascunssa chaine est ent	--|-------|-|-----|---⌫--|
tantcomeele auo it d e	---|---|--|---⌫-|-⌫|
etperch euaus pargrantuigor	-|-----⌫----|--|----|----|
loruintl e granthace e ntesee	--|---|-⌫|----|---|-⌫-----|
lunfie rtsicu ne granttesee	|-|---⌫-|-||-⌫-|----|----|
li afa itlesdeuspiezuol er	-||--⌫-|--|---|---|---⌫-|
sor l e pontlafaitreculer	--|-⌫|---|||---|------|
plusde loncquena une	---|-|---|--|||--|
e tliautresu ersl ui selance	-⌫|-|-----|-⌫--|-⌫-|-|----|
sifiertenlescu	-|----|-||---|
lesde us piez	--|--⌫-|---|
ilnest nussi trenc hans e spi ez	-||--|--|-|-----⌫---|-⌫---⌫-|
qui fustsitost outrepassez	--|---|-|---|----|-----|
p ercheuaus quifuapensez	-⌫--------|--|-|------|
quantuoit q ueli	----|---|-⌫-|-|
la empaintla oltre	-|------|-|----|
sost a la guige de sonc ol	|---⌫|-|----|-|--|-⌫-|
d ece neletien gmieafol	-⌫|-|-|-|----⌫|--||--|
quei l lasiempeechié	--|-⌫|||-|---------|
d eles cu quil	-⌫||--⌫-|-|-|
auoitperchié	----|-------|
quilne puet s esiambes	-|-|-|---|-⌫-|-----|
fistpercheuaus sauoir	---|---------|-----|
qu ant uit leserpent encombré	--⌫--|--|-|------|--------|
que ilamaintenantcou bre ́	--|-||---------|---⌫---⌫|
sa hacheet f iertlegrantserpent	-|----|-|-⌫---|-|----|------|
entreletest e etl e c harpent	----|-|----⌫|-|-⌫|-⌫------|
le col l itrenchaplusn	-|--|-⌫|------|---||
si quenliaueuo le la	-|-|-||---|--⌫-|-|
esto ithideus e e tnoire	----⌫-|------⌫|-⌫|----|
etli autre serp ensgrant	-|-|----|----⌫--|----|
fiertdesaqu eueperche ual	----|-|-|--⌫--|------⌫--|
si qu ille	-|-|-|-|
ruecontr eua l	--|-----⌫---⌫|
ensusdelui p lusd	-|--|-|--|-⌫--||
percheuaussautsussientoi se	---------|---|--|-|-----⌫-|
sah ac he qu ifubi ena gue	-|-⌫--⌫-|--⌫|-|--⌫-|-⌫--|
et plus trenchansque	-|---|--------|--|
et liserp ens seiointet clot	-|-|----⌫--|-|----|-|---|
ettrestozses t misen	-|------||--⌫|--|-|
sor lesdeuspie z	--|--|---|---⌫|
derri ersa fic he	-----⌫-||-⌫---⌫-|
sifortquenun marbre lesfiche	-|---|-|-|-|-----|--|----|
durement sel anc eet esqueut	-------|-|-⌫---⌫|-|------|
e tp ercheuaus parire	-⌫|-⌫--------|--|--|
la h ache et p ar	-|-⌫---|-|-⌫-|
de s iasentraill es li co ule	--⌫-⌫|-|--------⌫-|-|--⌫--|
qu ilenta malabo uel ee	-|-|----⌫-|-|--⌫---⌫-|
del corsli	--|---|-|
uoleunefumee	---|--|----|
uerm ei lle comefus es p ris	----⌫--⌫--|---|--|--⌫-⌫--|
percheuausason escupri s	---------||--|---|---⌫|
oulise rpens	-|-|--⌫----|
au o itboutez	--⌫-⌫-|-----|
sespiez etilli	--|---|-|-|-|
parleguiche	--|-|-----|
asoncollepent	|--|--|-|---|
le copesga rd eduserpent	-|--|----⌫--⌫|-|------|
quantlapuceleet	----|-|-----|-|
sagensuoit	-|---|---|
que pe rch euausoc isauoit	--|--⌫---⌫----|--⌫-|----|
lesdeusserpens granset h ideus	--|---|------|----|-|-⌫----|
enioiees t r epairi ezlidoels	-|---|--⌫|-⌫------⌫-|-|----|
quilauoientsi grant men é	-|-|------|-|----|---⌫-|
s oncheu alli onta m ené	-⌫-|----⌫-|-|--|-⌫-⌫---|
pu is estmontezsi	--⌫-|--|-----|-|
porte entresitroua	----|----|-|----|
leseignorde cele maison	-|------|-|---|-----|
b ellesal ueen saraison	-⌫-|-|---⌫-|-|-|-----|
p ercheuausa lo idomesage	-⌫--------||--⌫||--|---|
quarmoltleuoitde granteage	---|---|-|---|-|----|---|
deusuossaltf ait	---|--|---|-⌫--|
percheuaussire	---------|---|
quant cillentent form ent	----|--||-----|----⌫--|
q ui de u ie ll ec he fu	-⌫-|-|-⌫--⌫--⌫--⌫-|-|
sidistmal soi ez uous	-|---|--|---⌫-|---|
ies aimol tbienqueu ousuolez	-|-⌫-|---⌫|---|--|-⌫--|----|
estesuou scai enza u olez	----|---⌫|---⌫--|-⌫-⌫---|
qu ichadedensestes	--⌫|--|-----|----|
dis tpercheua usainsai	---⌫|--------⌫-|---|-|
lesd eus serpensgranset	--|-⌫--|------|----|-|
tant mesui	---|-|--|
a au scombatus	|--⌫|-------|
q ueiel es	-⌫-|-|-⌫-|
aiansde usocis	-|-----⌫-|---|
deuse n aitgracese tmerchis	---|-⌫|--|-----|-⌫|------|
orme nsaigniez sanz	-||-⌫--------|---|
atar gi er	----⌫--⌫-|
lefeure qui	-|----|--|
soloitforgier	-----|------|
distcil qu ena uezuousafaire	---|--|-|-|-⌫--|---||----|
m espee licouientrefaire	|----|-|------|------|
d istpercheuausse	-⌫--|---------|-|
die usme saut	---⌫-|-|---|
quan t cill	----⌫|--||
oi enestan t	-|-|-----⌫|
tozfremi stetmuesonsanc	--|-----⌫-|-|--|--|---|
lespeechoisista sonf lan c	|----|-------||--|-⌫---⌫|
quei lmeismes	--|-⌫|------|
au oitf aite	--⌫--|-⌫---|
bieno u eleestoitfraite	---|-⌫|--|-----|-----|
uassalfaitilpargrantpechie	-----|---|-|--|----|-----|
auezuostre	---|-----|
bra nt pechoié	---⌫-|-------|
queiefispassé	--|-|--|-----|
amai nsd is	|---⌫-|-⌫-|
a lep ortedeparad is	|-|-⌫---|-|-----⌫-|
lebrisaste stresb ienleuo i	-|--------⌫|---|-⌫--|-|--⌫|
ma issa chiésrefaire	--⌫-|--⌫-----|------|
ouiarefaitenesera	-|-|------|-|---|
unguichetdesferma	-|------|-------|
dituassaldescendez	--|-----|--------|
etuostreesp eemerendez	-|-----|---⌫-|-|-----|
s ira ioindraichascune piece	-⌫|--⌫-------|-------|----|
nauramaisgarde que depieche	|---|---|----|--|-------|
porcopc onendoie ferir	--|--||-|-|---|----|
ap reudomedoi tas fe ri r	|-⌫------|---⌫|--⌫--⌫--⌫|
lespeecesachés	|----|-|------|
ne nuscoarsne	-|--|----|-|
ldoit auo ir	|---|---⌫-|
p e rcheuausl ot plus n i atent	-⌫-⌫-------||-|---|||----|
sesp e edescaint si lit ent	|---⌫-⌫|-------|-|-|-⌫--|
et c il qui nesto it mief ols	-|-⌫-|--||----⌫-|--|-⌫--|
sosflelefuadeusgransfa ls	-----|-|-||---|----|--⌫-|
qui on que s	--|--⌫---⌫|
n ul ior nefina	-⌫-|--|-|---|
lesp iec es p ristet	--|-⌫---⌫-|-⌫---|-|
silareforgiesib ien	-|||-------|-|-⌫--|
qu e onque sn iparut de r ien	--⌫|-----⌫|||----|-|-⌫--|
q ueelee ust esté brisiee	-⌫-|--|-⌫--|----|------|
lespeequita ntfuprisiee	|----|--|--⌫-|-|------|
bien brunistetrefait	---|------|-|-----|
pu isl i faitel	--⌫-|-⌫|---|-|
fuerrere metre	-----|--⌫----|
s i dist uassal	-⌫|---|-----|
weil dir e	---|---⌫|
al meillor	-|------|
elmonde b ie nlesai	-|----|-⌫--⌫|-|--|
en maintgrantperilleus ass ai	-|----|----|--------|---⌫-|
auez por le graale sté	---|--|-|----|-⌫---|
etmaintyue ret maint	-|----|---⌫|-|----|
etestereziequ itencore	-|------|-|--⌫-|-----|
mais ta n tu ouspuis iebiendir eore	---|--⌫-⌫|-⌫--|---|-|---|---⌫|--|
que ie neporraigaires uiure	--|-|-|-----|-----|----|
motlespee l iliure	--||----|-⌫|----|
percheuausle caint congie prent	---------|-|----|-----|----|
pui sestmontezsauoie	---⌫|--|-----|-|---|
lepontetlep ortere pass e	-|---|-|-|-⌫---|--⌫----⌫|
etm e damoisel ee scolasse	-|-⌫|--------⌫|-⌫-------|
etsagent encontreluiuienent	-|-|---|-------|--|------|
etquan qu ilpu entledetienent	-|----⌫-|-|--⌫--|-|--------|
mai snenpuen ta	---⌫||-|----⌫||
chiefue nir	----|--⌫--|
queille pui ssen t	--|-|-|---⌫----⌫|
en partetil	-|---|-|-|
l econuoi ent	-⌫|------⌫--|
eta un grantchemin	-||-|----|-----|
lau oi ent	|--⌫--⌫--|
perch e ua usaitantsempart	-----⌫-⌫--⌫-||----||-|---|
etlapuceles endepart	-|-|-----||-|-----|
etrepaireuers so n	-|------|---|--⌫|
percheuausl	---------||
cheua lche quilna	-----⌫---|-|-|||
plustargie ́	---|------⌫|
mais notmie	---||-|--|
