cestdelanual	|--|-|-----|
sorblans pal efroisanb lans	--|----|---⌫-----|---⌫---|
esto ientauenans	----⌫---|------|
deuermax ce nda xs ont uestu es	-|-----|--⌫---⌫|-⌫--|-----⌫-|
to utsenglementalorcars	--⌫-|---------||--|---|
c illesesga rdent	-⌫-|--|----⌫----|
uo l entier s	--⌫-⌫------⌫|
gauains oluitrois	------||--|----|
ceua lie rs	----⌫---⌫-|
uaita lanualsi l iconta	---||-----|-|-⌫|----|
les deuspuceles	--|---|------|
mou tf uhaitiés	---⌫|-⌫|-------|
f ormentliprie	-⌫-----|-|---|
k illi desist sec er t	|-|-|-----|-||--⌫|
celes so ntal ee s	----|--⌫-|--⌫--⌫|
t outpar telsa nblant	-⌫--|--|--|--⌫-----|
de scendire ntdeuant	--⌫--------⌫-|-----|
lauestoitasis li rois	-||-----|---|-|---|
elesf urent	---|-⌫----|
degran t biaute	-|----⌫|-----|
siont cortoisementparlé	-|--|-----------|-----|
roisfaitescanbresdeliurer	---|-----|------|-------|
etd ep ailesencortiner	-|-⌫|-⌫----|---------|
umadamepus se d escend re	|-|---|---⌫-|-⌫------⌫-|
c araue uc	-⌫-|---⌫-|
ostelprendre	----|------|
illor otr oi euole nti ers	-|--|---⌫--⌫|----⌫---⌫--|
siapeladeus	-|----|---|
es canbreslesmainen t	-|------|--|------⌫|
acel e foisne disent	|---⌫|---|-|-----|
l iroisdemand eas es	-⌫|---|------⌫||-⌫-|
leiugement etle re s pons	-|-------|-|-|--⌫-⌫---|
etdist que mout lontcorecie ́	-|---|--|---||--|-------⌫|
decou qu etant ontdelaiié	-|--|--⌫|---|--|-------|
sirefont ilnosdep artimes	---|---|-|--|---⌫------|
porlesd amesquenosueimes	--|--|-⌫---|--|--|-----|
niauionsnul esga r t	-|-----|--|----⌫-⌫|
orconme nce ronsnos tre plait	-|-----⌫---⌫---|---⌫--|----|
lorrasanbler en ttot	--|---------⌫--⌫|--|
assesieut noiscei e strif	----||--|-----||-⌫----|
quant il ere nt encelesfroi	----|-|---⌫-|-|--|-----|
deuspu celesdegran tconroi	---|--⌫----|-|----⌫|-----|
ue stu esdedexblaus	--⌫---⌫-|-|--|----|
ceuauce ntdeus muls espanois	-------⌫-|---|---|-------|
uiren tuenirlerue	-----⌫|----|-|--|
grant ioieeneurent liuassal	----|---|-|-----|-|-----|
dient coriert	----||-|---|
la nu axliproxetli	--⌫--⌫-|-|---|-|-|
g a uainse nes t o	-⌫-⌫----|-⌫|--⌫||
sescom pa ignonsiamenés	--|---⌫--⌫-----|||-----|
siredi st ilrehaitiesuous	---|--⌫-|-|--------|---|
poramordiu parles anous	--|---|--|-----||---|
iau ienentcidex damoisele s	-|-⌫-----|-|--|---------⌫|
moutacesmeesetmoltb e l es	---|-------|-|---|-⌫-⌫-⌫-|
ces t uostreamieueraiement	|--⌫|-----|---|---------|
la nuaxlorrespo n t sinplemen t	--⌫---|--|-----⌫-⌫|---------⌫|
e tdi tqu e pasne s	-⌫|--⌫|--⌫|--|-||
ni a meesnec onneues	-|-⌫---|-|-⌫------|
atantfurentcelesue nues	|---|-----|----|--⌫---|
deuantle roi so ntde s c endues	-----|-|--|--⌫-|--⌫-⌫-⌫-----|
mout leslooentliplui sor	---|--|-----|-|----⌫--|
etdebi au teet de coulor	-|-|--⌫--⌫-|-|-|-----|
n iotcelimixneuausist	||-|---|--|-|------|
q uelaroinene	-⌫-|-|----|-|
l a insnefucortoiseetsage	|-⌫----|-|-------|-|---|
auena mentdist son mesage	-----⌫---|---|--|-----|
rois ca r nousfaicanbresbail lier	---|--⌫|---|--|------|----⌫---|
aueucnosdamesherbregier	----|--|----|---------|
ele uientci a toiparler	--|----|-||--|-----|
illescoumanda	-|--|-------|
olesautres	|--|-----|
qui ancoisuindre nt	--|-----|------⌫-|
onquesdemulsnul plai tne t indr ent	-----|-|---|--|----⌫|-|-⌫----⌫--|
qu antilfu de le sdeliu r és	--⌫--|-|-|-|--⌫|-----⌫-⌫--|
pui satoussesbar ons	---⌫||---|--|---⌫--|
si loraque	-|--||--|
soit rendus	---|-----|
li iugemen stro p esttenus	-|-------⌫|---⌫|--|----|
sen co recoit	|-|--⌫-----|
de couquetrop idemeroit	-|--|--|---||-------|
departissentaitant	-----------||----|
qua ntpar leu ile uintpognant	---⌫-|--|-|-⌫--|---|------|
tost ac eu alun e pucel e	---||-⌫--⌫-|--⌫|-----⌫|
entou tl em o nden otsi bele	-|---⌫|-⌫|-⌫-⌫--||-|-|---|
pa lefroiceu aucoit	--⌫-----|---⌫-----|
e t souefleportoit	-⌫|----|-|------|
moltot bienfait	---|-|---|---|
etc olet teste	-|-⌫-|-|----|
so sciesnieutplus gentebeste	--⌫|---|||--|---|----|----|
riceatorotelpalefroi	---|---|-|-|-------|
souss ielnenot	---|-⌫--||-|-|
quit ot lepeust	--|-⌫-|-|----|
uend re uengagier	----⌫-||-------|
eleertuestuee nites	--|--|-----|-⌫|---|
decainseblancetde cemise	-|-----|----|-|-|-----|
detoutlicoste liparoient	-|---|-|----|-|-------|
d eus parsl a cie ́es toiet	-⌫--|---|-⌫-⌫---⌫|--⌫----|
lecorsotgentb asla hance	-|---|-|---|-⌫-|-|----|
p lus b lanc q uenois	-⌫--|-⌫---|-⌫-|---|
sor brance	--|-----|
lesex otuai rs	--|-|-|---⌫-|
e tblancle uis	-⌫|----|-|--|
bele bouce	---|----|
nesbien assis	--|---|----|
less orcielsb rus	--|-⌫------|-⌫--|
et bel le fr ont	-|--|-|--⌫--|
c if cre spet auquesblont	-⌫-|---⌫-|-|-----|----|
sesmantiausfu	--|-------|-|
deporpreb is	-|-----|-⌫-|
enote n tor li m is	-|-|-⌫-⌫--|-|-⌫-|
une spreuier so npuing	-|-⌫-------|--⌫|----|
etunsliur ers	-|--|----⌫--|
apresliuint	----|-|---|
ilnot elborc	-||-|-|---|
petit negrant	----|-|----|
neliu al le t	-|-|-⌫--⌫--⌫|
nelisergant	-|-|------|
quinela uoissent e sgarder	--|-|-|-------|-⌫------|
sicomi llauoiente rrer	-|--|-⌫|-|-----|-⌫---|
desabiaute	-|-|-----|
ele ue noitp lusque	--|--⌫---|-⌫--|--|
toutlih ome quil esgadoient	---|-|-⌫--|--||---------|
agra ntmerue illel e tonoien t	|---⌫-|-----⌫---|-⌫|-------⌫|
niotu nseulquilesgardast	-|-|-⌫|---|--||--------|
dedroiteamorn e sesc aufast	-|-----|---|-⌫||---⌫-----|
cilquile ceualieramoient	--|--|-|-------|------|
a lui ui ndrentsili contoien t	|--|--⌫-----|-|-|--------⌫|
d e lepucele	-⌫|-|-----|
quiue noi t	--|--⌫---⌫|
plaist se l	-----|-||
deliueroit	---------|
sire conpaing	---|-------|
cienu ientune	-|-|-⌫---|--|
maiselenestfauue	---|--||--|----|
cest laplusb eled ecestmo nt	|--|-|---|-⌫--|-⌫|---|--⌫-|
d etotesce lesqui	-⌫|----|--⌫--|--|
lanu a x loisoncief leua	----⌫-⌫||-|--|---|---|
bielecon ut si sosp ira	--|-|---⌫-|-|----⌫--|
li estmon tésel	-|--|---⌫---|-|
d e parlerestauqueshastis	-⌫|-----|--|-----|-----|
par foidist	--|--|---|
ilce est mamie	-|-|--||---|
o r ne m est	-⌫|-||--|
gaires quim	-----|--||
selen e n a	|--||-⌫||
cargarissu iquan ti el euo i	--|----|--⌫|----⌫|-⌫|-⌫|--⌫|
lapuceleent rau palais	-|-----|---⌫-||-----|
onquessibeleni uint m ais	-----|-|---|-|---|-⌫--|
deuant le roiestdescendue	-----|-|--|--|--------|
siq uedetousfubienu eue	-|-⌫-|-|---|-|---|-⌫--|
sonmant el	--|----⌫-|
a laiciécair	|------|---|
quemix pui ssentsoncors ueir	--|--|---⌫----|--|---|---|
liroisq uimoutfu ensegniés	-|---|-⌫-|---|-|---------|
encontre lidr ecie ́ s	-------|-|--⌫----⌫-⌫|
et toutli autre	-|---|-|----|
se leuere n t	-|------⌫-⌫|
et deliseruir sepene r ent	-|-|-|-----|-|----⌫-⌫--|
quant il leuren tbienes g ardee	----|-||-----⌫|---|--⌫-⌫----|
et seb iauteassesl oee	-|-|-⌫----|----|-⌫--|
ele parla entel	--|----|-|--|
card e demourern auoitcu re	--|-⌫|-------||----|--⌫-|
aiamé tienua ssa l	-|---|---|--⌫---⌫|
la segno rlanua l	-|-----⌫|-----⌫|
acoisonésfue n ta cort	---------|-|-⌫|-|---|
neuoeil miequamal li to r t	-|----|--|-||--|-|--⌫-⌫|
il dist ce s a cestu	-|---|-|-⌫-⌫--|-|
quelaro ine	--|-|--⌫--|
o nquesnul i or nele req ui st	-⌫----|--|-⌫-|-|-|---⌫--⌫-|
d e leua ntan ce	-⌫|-|--⌫----⌫-|
separ moipuetestre aquités	-|--|--|---|----|-------|
paruosbarons	--|--|-----|
soitdeliurés	---|--------|
engugeront pardroit	-|-------|--|----|
liroisot r o iequ esisoit	-|---|--⌫-⌫-⌫-|--⌫|-|---|
niaunseulq uinait	-||-|---|-⌫-||--|
quelanuaxat outdesr aisnié	--|-----||-⌫--|----⌫------|
d eliuréses tparlores g a rt	-⌫-------|--⌫|--|--|--⌫-⌫-⌫-|
etla pu c elesendepart	-|-|--⌫-⌫--||-|-----|
nelep otliroisretenir	-|-|-⌫-|-|---|------|
ass es ot gentaliseruir	---⌫-|-|---||-|-----|
forsdelasaleauoitonmis	---|-|-|---|----|-|--|
ung r a nt	-|-⌫-⌫-⌫-|
perondemabre bis	----|-|----|--|
ulipesant h omemontoient	|-|-----|-⌫--|--------|
quide le cor tleroiestoient	--|-|-|---⌫|-|--|-------|
lanuax estoit mo ntésdesu s	-----|-----|--⌫----|----⌫|
pucele is tfors d e luis	-----|--⌫|---|-⌫||--|
sor lepale froi derie rli	--|-|----⌫---|-----⌫|-|
deplaineslaislanuaxsali	-|----|-----|-----|---|
olis enuaiten aualon	|-||-|---|-|-----|
cenosracontentlibreton	-|--|--------|-|-----|
enislequimoutestbiax	-|---|--|---|--|---|
lafurauisli damo isiax	-|-|----|-|----⌫----|
oi plu sp arl er	-|---⌫|-⌫---⌫-|
neien ensaiauantconter	-|-||-|--|----|-----|
