Acesteestoiredi reme	|----|------|--⌫-|-|
Tantfusuersmoifiers et mauta lentis	---|--|---|--|----|-|-----⌫-----|
S il tecreust n en	|-|-|-----||-|
e schapaseuis	-⌫-------|--|
N e remestpasentoine fuioci s	-⌫|-----|--|-|--|-|--|---⌫|
Foiq uedoi uossire distAymeris	--|-⌫-|--|--|---|---|------|
Detelcuers ui	-|--|---|-⌫-|
etesteraitozdis	-|------|--|--|
Ia n amerainuli ormesennemis	-||-----|--|-⌫-|--|------|
Mes bi ensauez	--|--⌫-|----|
tr opauiez mespr is	--⌫-|----|-----⌫-|
Q anta mon oncl e to l ie zsonpa is	-⌫--||--|----⌫|--⌫-⌫--⌫|--|--⌫-|
Foique doi uos enperere au fieru is	--|--|--|--|-------|-|---|-⌫-|
Tantcomuodroizie ser ai uo stream is	---|--|------|-|---⌫-|--⌫---|--⌫-|
Etqant uodr oizpar lecorssaintDenis	-|---|----⌫--|--|-|---|----|----|
Iereseraideuostreamor es chis	-|------|-|-----|---|--⌫---|
De t errenaiuai llant.ii.parisis	-|-⌫---||-|---⌫----|---|------|
QantDeuplera le	---|--|----|-|
roideparadis	--|-|------|
Ie raurai to st plusgrant	-|-----|--⌫-|---|----|
auoir c onquis	----|-⌫-----|
uoirdi s tlirois	---|--⌫-⌫|-|---|
pr euzet gentis	--⌫--|-|-----|
En l annor Deuquien la c roiz fu	-||----|--|--|-|-|-⌫---|-|
TedongNerbone ettresto t le	-|---|------|-|------⌫|-|
Partelcouantlapr anz biax d ou zamis	--|--|-----|-|--⌫--|---|-⌫--⌫|---|
QueDamedex quipardonfistLongi s	--|------|--|-----|---|-----⌫|
Tedointu itoirec ontretese nnemis	-|----|-⌫-----|-⌫----|--|-⌫-----|
Dex uosenoiesire	--|--|-|--|---|
distA ym eris	---|-⌫--⌫---|
Quime croisebarna ie	--|-|-----|-----⌫-|
Distlenp erere Ore es ta	---||---⌫----|--|--⌫-|
genteme nt	-------⌫-|
De monduel ai molt grantalegement	-|--|---|-|---|----|--------|
Puisq Ay mer istendra	---||--⌫---⌫-|-----|
le chasement	-|--------|
D e N er bonoisetlan norquiapant	-⌫|-⌫--⌫-----|-||--⌫--|--|----|
Iecroi mo lt biendefiueraiement	-|---|--⌫-|---|-|-|---------|
Qan m al ensont	|-|-⌫-|-|---|
ent repai ennegent	---⌫-|---⌫---|---|
Aymerifr ere m oltas granthardement	-----|--⌫--|-⌫--|-|----|--------|
lau oirnastu miegra nmen t	|--⌫--||-|-|--|---⌫----⌫|
Auoi rco uien tp lanted	----⌫|--⌫----⌫|-⌫----||
Fainetau oinne	---|-|--⌫----|
char e tuinetfroment	---|-⌫|--|-|------|
Et maintdestrie retmain t bongarnement	-|----|-------⌫|-|----⌫|--|--------|
Q ui ueuttenirs iri chechase ment	-⌫-|---|----|-⌫|--⌫--|-----⌫---|
CommeauseignorcuiNerbonoisapan t	----|-|------|--|--------|----⌫|
Dexaidiezsire	--|-----|---|
comm esmaiezforment	--||------|------|
DistAymerispar	---|------|--|
l e co rss aint Climent	-⌫|--⌫-|-⌫---|------|
NestencorDexlasus e l firmament	|--|----|--|-|--|-⌫|--------|
Q ui est puisanzt ozio rzsanzfine me nt	-⌫-|--|------|-⌫-|--⌫-|---|----⌫--⌫-|
Iecroienluimoltb ien	-|---|-|--|---|-⌫--|
uera iement	----⌫-----|
maideracec uitprochieneme nt	|-----|-|-⌫--|-----------⌫-|
I es ui enco re bac helersdeiouant	-⌫|-⌫-|----⌫-|---⌫-----|-|-----|
eistDexquinefautnenement	---|--|--|-|---|-|-|---|
Sedel auoiront	-|-||----|--|
l apaiennegent	-⌫|------|---|
N o s en auronsparle mienescient	-⌫-⌫|-|-----|--|-|---|------|
QantCharlemai ne	---|---------⌫-|
celepa rol eentant	---|--⌫---⌫|-----|
Moltp aren ot gran tioie	---|-⌫-|-|-|----⌫|---|
Aymerifrere dist C harlesauuisfier	-----|----|---|-⌫-----|-|--|---|
Gentishomsire	-----|--|---|
ne uoschautd esmaier	-|--|----||------|
N e uos fau d r eta nt com uos	-⌫|--|---⌫-⌫-⌫|--⌫-|--|--|
puise ai dier	----|--⌫---|
Ei ncoisqan Franceme n doiereperier	--⌫----||-|-----||-⌫|---|-------|
Milcheualie rs ferai	--|--------⌫-|----|
o uos lessier	|--|------|
Saurach ascuns	|---|--⌫-----|
et armes etdestrier	-|----|-|-------|
Aide rontuosqant	----⌫---|--|---|
e n auro izmestier	-⌫|----⌫-|------|
As Sarrazins m atereti ostissier	-|--------|-⌫---|-|-⌫--------|
Se uospoezso rpaiensgaengn ier	-|--|---|--⌫|-----|------⌫--|
Terre ouauo i rou argent ou	----|-|---⌫-⌫|-|-----|-|
Nen quierauo iruaillisant	|-|----|---⌫-|---------|
. i.den ier	-⌫-|---⌫--|
Granzmercizsire distAym eri l efier	----|-----|---|---|---⌫--|-⌫|---|
IaseDeuplest	-|-|--|----|
leuerai iosti ssier	-|----|-----⌫----|
Norroizde nos	|-----|-|--|
mauues plet renoncier	-----|---|--------|
Aupieleroiseua itagen oillier	-|--|-|--|-|--⌫-|----⌫------|
enredr ecelenperereauui s fier	-|----⌫--||-------|-|--⌫|---|
E t li a d it oiantmaintcheualier	-⌫|-||-⌫-|----|----|--------|
Aym eris sireian eluos qu iernoi er	---⌫---|---|-|-⌫-|--|--⌫--|---⌫-|
Desor uos ueil ameret	--|-|--|---|---|-|
ten irchier	---⌫-|----|
SeignordistCharles franc n obile guerrier	------|---|------|----|-⌫----|-------|
Or me n tendezFran coiset	-||-⌫-⌫-----|----⌫---|-|
Lemie n panseneuos doipasnoier	-|---⌫|----|-|--|--|--|----|
Molt agranttans	---||----|---|
neme po ileescier	-|-|--⌫|-------|
Pui s q uep erd i Rollante tOliuier	---⌫|-⌫-|-⌫---⌫|------|-⌫|------|
E tlesbarons quimesuelentaidier	-⌫|--|-----|--|-|------|-----|
N ep oiaioie nebo iure nem engi er	-⌫|-⌫-||---|-|--⌫---|-|-⌫----⌫-|
Sauezporc oiieudi	----|--|-⌫-|--|-|
francche ual ier	----|---⌫---⌫--|
uezAymeriquitan t	--|-----|--|---⌫|
fetaproisier	--||-------|
Ce quege usanta si nobleguerrier	-|--|--⌫|---||-|----|-------|
Mefe tgrant	-|--⌫|----|
pa rtd emon duelalegier	--⌫-|-⌫|--|---|------|
Orsiuodr oieseuuolezotroier	-|-|----⌫--|--|----|------|
C unequintai neme feisie zdr eci er	|--|-------⌫-|-|------⌫|--⌫---⌫-|
D euantNerboneferme ret atachier	-⌫----|------|-----⌫|-|-------|
ferir cil iu en ne cheual ier	----|--|--⌫--⌫-|------⌫--|
Etbachelerporlorprisessaucier	-|-------|--|--|---|--------|
Ayme r isiueut ioster prem ier	----⌫-⌫-||---|-----|----⌫--|
Por moieamori e l ena urai	--|---|---|-⌫||-|-⌫---|
plus chier	---|----|
Sepo ionsteltornoicommenci er	-|--⌫---|--|-----|--------⌫-|
Queho rsissisentcilpai en a uersier	--|--⌫-|-------|--|---⌫-|-⌫------|
Porlaquint a ineenuers nos chalengier	--|-|-----⌫-⌫--|-----|--|---------|
Foi quedoiDeuqui	--|--|--|--|--|
lemontdoit	-|---|---|
Liquex q u esoit iporroitgaengni er	-|---|-⌫-⌫|---||------|-------⌫-|
Dist AymerisB ie nfetaos troie r	---|------|-⌫--⌫|--||--⌫-----⌫|
Ors armentdontcilch eua lierlegier	-||-----|---|--|--⌫---⌫---|-----|
ParsaintDenisno sirons sanz	--|----|----|--⌫|----|---|
Ferirenl aquintaine	----|-|-⌫|--------|
Parl ec onse il q ueCharles	--|-⌫|-⌫----⌫-|-⌫-|------|
Toutp orlamor	---|-⌫-||---|
Aymer i le menbre	-----⌫|-|-----|
Fontl aquintainedrecierenmi	---|-⌫|--------|------|-|-|
Deuant lap orteassez presdelfosse	-----|-|-⌫---|----|---|--|----|
M es a s coarz ne uintg uieresa	-⌫-|-⌫|----|-|---|-⌫-----||
Ci l c heualier furent	--⌫|-⌫-------|-----|
Cilbachelerde	--|-------|-|
n ouelado ube	-⌫---|---⌫--|
Quiuellentestred armes plus a lose	--|------|----||----|---|-⌫---|
Lau ei stenm ai n t de strier	-|-⌫--⌫-|-|-⌫--⌫-⌫|--⌫-----|
Etmaintes cu d oretd	-|----|--⌫-||-|-||
argen tbande	-----⌫|----|
Etmainte ens engn e main tpanoncelferm e	-|-----|---⌫----⌫|----⌫|-------|----⌫|
L iunsprentlanc eet lautre	-⌫|--|----|----⌫|-||----|
e spie car r e	-⌫---|---⌫-⌫|
i osterse so ntm ol ta cesme	-⌫----|-|--⌫-|-⌫--⌫|-⌫----|
C harlese naAy meriap ele	-⌫-----|-⌫||--⌫---|--⌫--|
Lefi lHer nautqui tantotdebo nt e	-|--⌫|---⌫---|--|---|-|-|--⌫--⌫|
Aymeris sireore oie z mo np ans e	------|---|--|---⌫|--⌫|-⌫---⌫|
Enla q uintaine porla	-|-|-⌫-------|--|-|
mo ie amiste	--⌫-|-----|
Ferroiz pr e miersse	------|--⌫-⌫----|-|
iluosuientagre	-|--|----||--|
Si que uosuoient mi	-|--|--|-----|-|
princeetmi	-----|-|-|
S i refetil a	-⌫-⌫-|--|-||
u ostreuolente	-⌫----|------|
Qantild istcesa il	---|-|-⌫--|-|||-|
aillorspense	------|----|
En son cu erdist coiementa	-|--|--⌫-|---|-------||
Iasonlingn aie ne sera	-|--|-----⌫--|-|---|
escu uuitaitsoncorsesproue	---|---|--|--|---|------|
.uc .danziaus a	---⌫|-------||
a luia pele	|--|-⌫---|
Quituit estoientsidru et	--|---|-------|-|--|-|
Et siamie tdesonparante	-|-|--|-⌫|-|--|------|
E t che ualieruaillantetalose	-⌫|---⌫-----|-------|-|----|
Baron distil or	----|---|-|-|
s oiezbien arme	-⌫---|---|---|
Et presdemoiuo s tenezt u i ts er re	-|---|-|--|--⌫|----|-⌫-⌫-⌫|-⌫--⌫-|
Sien irons deuerscelecite	-|-|----|-----|---|---|
SeD ex donoit lirois	-|-⌫-|-----|-|---|
d e maieste	-⌫|------|
Queh orsissis entlipaiendesfae	--|-⌫--|-----⌫--|-|----|-----|
Gardezp orriens ne soiezeffree	-----|-⌫-|----|-|----|-----|
Carsebie n	--|-|---⌫|
sontferuet encontre	---|---|-|-------|
T ostiauronstelauoir con queste	-⌫--||-----|--|----|---⌫-----|
Dont nosserons men antetas aze	---|--|-----|---⌫--|-|--⌫--|
Etcil responent	-|--|--------|
Ne uosfa udronsporestre	-|--|--⌫-----|--|----|
de smenbr e	--⌫------⌫|
I snelem entsesonttu itadoube	-⌫------⌫--|-|---|--⌫-|-----|
partent coie menta	------|----⌫---||
Qa c eusdel	||-⌫--|-||
ostnen on t .imot sone	--||-|--⌫|-|--|---|
Tant redout erentCharlon et	---|------⌫----|------|-|
s a fierte	-⌫|-----|
IusquaNerbonenese	----||------|-|-|
sontare ste	---|---⌫--|
Enbu chie sont	----⌫---|---|
lez.i.ga ste f osse	--|--|--⌫--|-⌫---|
Dela utrep a rt encostelacite	-||-⌫---|-⌫-⌫-|------|-|---|
ostqui se furent arme	--|--|-|-----|---|
En la quintaineont	-|-|--------|--|
ferueth urte	---|-|-⌫---|
Charleslot	------||-|
dit etcommend e	--|-|-------⌫|
Leioriotmaintespietronco nne	-|--||-|----|----|------⌫--|
Et maintelancedontli fer so ntcarre	-|-----|----|---|-|--|--⌫-|----|
MesAymeriqui le s ot e sgard e	--|-----|--|--⌫|-|-⌫-----⌫|
Ilne sihom e	-|-|-|---⌫|
N enla quitaineferune boorde	|-|-|-------|---|-|-----|
Qantunepieceorentaisieste	---|--|----|----|---|---|
Teleauentu re l ora Iesu done	---|------⌫-|-⌫-||---|---|
Que .c. paiensontc a d eforstrou e	--|--|-----|--|-⌫|-⌫----|----⌫|
Q ui is su	-⌫-|--⌫-|
laboneci te	-|---|--⌫-|
Francoisqu il	-------|-|-|
o rentauise	-⌫---|----|
Q uilaquin taineore ntfermee	-⌫-|-|----⌫----|---⌫-|-----|
gard ent ligloton de sfae	----⌫--|-|-----|--⌫---|
Deceusqu ifure n tle z	-|---|--⌫|----⌫-⌫|--⌫|
legastefosse	-|----|----|
leseusentsachiez de	-|------|------|-|
Il ne ni ssisentp or	-||-⌫|-⌫------|-⌫-|
.i.mu i dorc onble	--|--⌫||-|-⌫----|
Cuens Aymeri s les	----|------⌫|--|
a b ienreg a rd e	|-⌫--|---⌫-⌫--⌫|
Distases homesFranccheuali ermenbre	---||--|----|----|-------⌫-|-----|
Lamerci Deubien nos	-|----|--|---|--|
es t encontr e	--⌫|-------⌫|
Ce queuol oieau on sic itroue	-|--|---⌫--|--⌫--⌫|--⌫|----|
Cesont paienque	-|---|----|--|
tantaidesirre	---|-|------|
Ori parraqui	-||----|--|
ci aurabonte	-|---|----|
Et quiaurahardemen te t fierte	-|--|---|--------⌫|-⌫|-----|
Fer ez ibienfranccheu alie rloe	---⌫-||---|----|----⌫----⌫|--|
Ca presceiornenos soit	|-⌫---|-|--|-|--|---|
Etcil respon e ntOreauezbien parl e	-|--|------⌫-⌫-|--|---|---|----⌫|
Acesp aroles sont aeusa senble	|--|-⌫-----|---||--|-⌫-----|
Aymeris bro cheledestrierabriu e	------|---⌫--|-|-------|-----⌫|
Brandist lah antequilef erot	-------|-|-⌫---|--|-|-⌫-|-|
Plusne loraned itne sermone	---|-|--||-|-⌫-|-|------|
premierqueil	------|--|-|
a encontre	|-------|
Lescul ipercela uber cli a	|---|-⌫|----||-⌫----⌫|-||
Plainesa lance	-----|-|----|
l a mortacrauente	||---|--------|
LensengneC harle amolthaut	|-------|-⌫----||---|---|
autresmarserontredout e	-----|--|-----|------⌫|
De ce stp r emiers omesnosdeliu re	-|--⌫-|-⌫-⌫----|-⌫---|--|-----⌫-|
Etil sifirent	-|-|-|-----|
n i o nt pl usdemore	||-⌫-|--⌫-|-----|
Sor paiensfierent p a rbone uolente	--|-----|------|-⌫-⌫|---|------|
Adonti otruistec haplel eue	----||-|-----|-⌫----|-⌫--|
P uis queFra ncoiss ontas paiensmelle	-⌫--|--|---⌫----|-⌫--|-|-----|----|
Maint fortescuueisiezest roe	----|---|---|------|---⌫--|
E tm ainthauberc desro utetdespanne	-⌫|-⌫---|------|-----⌫-|-|-------|
Ettant uerthiaume fret etes cartele	-|---|---|-----|---|-|--⌫------|
Tant Sarrazin trebuchieet uerse	---|-------|--------|-|----|
Liunsontmortetli a ut renaure	-|-|---|---|-|-|-⌫--⌫-|----|
Liautrefu ient caet lae sgare	-|----|--⌫---|-|-|-|-⌫----|
Limort s acoisentsicrient linaure	-|---||-------|-|-----|-|----|
Mahometsire aiez de	------|---|---|-|
deable cauon s ciencon tre	-----||----⌫|-|-----⌫--|
Qui gueriramo ltaurabi eno u re	--|------|--⌫-|---|--⌫-|-⌫-⌫-|
En f uiet ornentni	-|-⌫--|-⌫-----|||
o ntplusdem ore	-⌫-|---|---⌫--|
MesA ymer istint lebran c	--|-⌫----⌫-|---|-|----⌫|
Cuiilconsiuttot	--|-|------|--|
a sont ansuse	|--|-⌫--|--|
hardementpr oue	--------|--⌫--|
Sorpaiens atant	--|-----||---|
feru etchaple	---|-|-----|
De .c.nenso n t pas .xl .	-|--||-|--⌫-⌫|--|---⌫|
Fuiantsenuo ntuersl a	-----||-|--⌫-|---|-⌫|
gran tfermete	----⌫|------|
Mes Ay meris aucoraieadure	--|--⌫----|-|-----|----|
Lesenchaucoitel ponglebranc	--|---------|-|---|-|----|
Des orlepont ena.i. encont re	---⌫-|-|---|-||--|------⌫-|
d onaquillab at	-⌫--|-|-||--⌫-|
soifboiurepo t	---|-----|--⌫|
De danz le spo rtes	--⌫---|--⌫|--⌫---|
ensontl iautr eentre	-|---|-⌫|----⌫|----|
Qantlesontcl os ess i	---|--|--|--⌫--⌫-|-⌫|
sont a seure	---|-⌫----|
EtAymerisuintle brancentese	-|------|---|-|----|-----|
Esportesfiertpar mo lt ruistefierte	-|-----|----|--|--⌫-|-----|-----|
Nerbonees criemoie est ceste	------|--⌫---|---|--|----|
Fila putain felgloutondesfae	--||-----|--|------|-----|
Randez moi tost la	-----|--|---|-|
mestrefermete	-----|------|
CarC harlema in emen ale	--|-⌫-------⌫--⌫||-||-|
Seuosne lfaites tuit se roiz	-|--|--⌫|-----|---|--⌫---|
d esmenbre	-⌫-------|
Ouarsenfeu	-|--|-|--|
oua uuantenc roe	-|-⌫|---|---⌫--|
Qantli paien fure ntm ort et uai ncu	---|-|----|----⌫-|-⌫--|-|---⌫--|
Cilqu i es toi entdela	--|--⌫|--⌫---⌫--|-|-|
Arriere stornen tA ymerisetsidru	-------⌫|------⌫|-⌫-----|-|-|--|
B ie nlesot Charlesdesa	-⌫--⌫|--|-|------|-|-|
Comm entilsont a s paiens con batu	----⌫--|-|---|-⌫|-----|---⌫---|
Bi ensotetuit	--⌫-|--|-|--|
cAym erispas	|---⌫---|--|
A laq uintai neou	|-|-⌫------⌫-|-|
liautreontferu	-|----|--|---|
Mesaspaiens	--|-|-----|
ferir o tentendu	----|-⌫|------|
enalienperer eeu	-||-|-------⌫|-|
D e ce que si se	-⌫|-|--|-|-|
f u rentmainten u	-⌫-⌫---|-------⌫|
En cont reuait	--⌫----⌫-|---|
pl us at andu	--⌫-|--⌫---|
Co ntreAymeri sontli	--⌫---|-----|---|-|
baron uenu	----|---|
L i roisleuoit si li rendisalu	-⌫|---|-|---|-|-|----|---|
Ay meris sire	--⌫----|---|
comuosest auenu	--|--|--|----|
AsSarrazinsuos estescon batu	-|--------|--|----|---⌫---|
Neuosaguieresdemoncom mentchalu	-|--||------|-|--|---⌫---|----|
Mauuesementmauezcouanttenu	----------||---|-----|---|
Enla qu inta ine nauez.i. copferu	-|-|--⌫----⌫--||---|--|--|---|
Merci biaus si relicuens aresp ondu	----|----|--⌫-|-|----||----⌫---|
NelfispormalfoiquedoiaIesu	--|--|--|--|--|--|--||---|
Mes tropmefus tagrantho nte	--|---|-|---⌫||----|--⌫--|
S egef eris sedesore .i. uuitescu	-⌫|-|-⌫----⌫-|-----|--|---|---|
Mieuzuient que iaie esprouem	----|----|--||--|------||
Sorcespaiensquisenerentissu	--|--|-----|--||-|----|---|
Si meistDex quien	-||---|--|--|-|
saintecroizfu	-----|----|-|
Ianamer aiSarr azi nmescreu	-||----⌫-|----⌫---⌫|------|
Anul iordemauie	|--|--|-|-|--|
Decec aditle	-|-|||--|-|
preuz quenzAyme ris	----|----|----⌫--|
Charlesliroissenestuolentiers ris	------|-|---||-|--|---------|--|
Lorsse desarmentli cheualier	---|-|--------|-|--------|
Le ue dem endentaumengier	|-⌫-|---⌫-----|-|------|
sont assis	---|----|
quilor entneq uier	-|-|--⌫--|-|-⌫---|
fered euis	---|-⌫---|
Biensontseruis l icontee t	---|---|-----|-⌫|----|-⌫|
Etlipaien qants e uirent sorpris	-|-|----|---|-⌫|-----|------|
Dedanz Nerboneelpalais seigno ris	-----|------|-|-----|------⌫--|
.I III.roifurentquio ntlorc onseilpris	--⌫---|--|-----|--|-⌫-|--|-⌫-----|---|
Tuit furent freresi com	---|-----|----|-|--|
Ro isBaufumez	--⌫-|-------|
unnon cemest uis	-|--|-||--|--|
E tAgolan z qui fu preuz	-⌫|------⌫|--|-|----|
e tgenti s	-⌫|-----⌫|
Et Desramez etDrumanzaufier uis	-|-------|-|------|-|---|--|
D istl u nalautreC harles	-⌫--||-⌫|||----|-⌫-----|
forsMahonsnossoi taidis	---|-----|--|---⌫|----|
DEspangn euient siuaiten so npais	|-------⌫|----|-|---|-|--⌫|---|
uersnos est m oltfierset mauta l antis	---|--|--|-⌫--|----|-|-----⌫-⌫----|
Par M ahom e ts af o rcesomespris	--|-⌫----⌫-⌫|||-⌫-⌫--|----|---|
Chiernosu andrases persqui son t oc is	----|--|-⌫----|--|---|--|---⌫|--⌫-|
DistAg olanzli	---|--⌫----|-|
uieuz olefieruis	----||-|---|--|
S eign ordistilentandezmon auis	-⌫----⌫-|---|-|-------|--|---|
N ossomes .iiii.tuit	-⌫-|----|-----|---|
freredegrant pris	----|-|----|---|
Seuosuolez croire lemien	-|--|----|-----|-|---|
EnBabiloinesero nt li	-|--------|----⌫-|-|
A l a mirantquit a ntestposteis	||-⌫-----|--|-⌫-⌫-|--|------|
Secorranos decesoiez	------|--|-|-|----|
E t lidui autre remendront	-⌫|-|--|----|---------|
Si garderontce pale sse ignoriz	-|--------|-|----⌫|--⌫------|
Dient liautr eI anense roizdesdi z	----|-|----⌫|-⌫||-|--⌫---|-----⌫|
ferons t ot auostredeuis	-----|-⌫-||-----|----|
Totmaint enant	--|-----⌫----|
c onseil o ntpris	-⌫-----|-⌫-|---|
RoisDe s ramezsesta lauoie	---|--⌫-⌫----||--||-|---|
EtBauf u m ezo lui totademis	-|----⌫-⌫-⌫-||--|--|-----|
Parunec rou tedontbienfu rent ap ris	--|--|-⌫---⌫-|---|---|--⌫---|--⌫--|
San sonttorneni ontplus	|-|---|----|||--|---|
Si uo ntles ecorsquerre	-|--⌫-|-|-⌫----|-----|
uonts enlimesni so ntplus demorant	---||-|-|--|||--⌫-|---|-------|
Pardesozterres en s ont tor neerrant	--|----|----||-|-⌫--|---⌫-|-----|
erreparnui tet par iortant	---|--|---⌫|-|--|--|---|
D elacrouteissentlezOrenge	-⌫|-|-----|-----|--|-----|
QuiestoitloretNim es	--|-----|--|-|---⌫-|
leronsamaufe lescommant	-----||----|--|------|
Dirons deCharlelenpereor puissant	-----|-|-----||-------|-------|
Etd Aymerilepreu conteu aillan t	-||-----|-|---|----|-⌫------⌫|
Qui uer s paiens orent grantma uta lant	--|---⌫|-----|----|----|--⌫---⌫---|
Aun matin par so n l	|-|----|--|--⌫||
aubeaparant	---|------|
Fistlenpereresone r .i. olifant	---||-------|----⌫|--|------|
Lo rssar menttuitcheualieret sergent	--⌫-||--⌫---|---|--------|-|------|
uon t alasa u t	---⌫|||---⌫-⌫|
dontmoltso ntdesirra nt	---|---|--⌫-|-------⌫-|
Ne rbo neasaille ntet	--⌫---⌫-|-------⌫-|-|
d er rier eet	-⌫--⌫----⌫|-|
Moltse deffa ndentSarr azin	---|-|-----⌫----|----⌫---|
Enlacite nen otp etit ne	-|-|---|--|-|-⌫---|-|
Qui nemontastsorles murs maintenant	--|-|------|--|--|---|---------|
Gietentgrans p ie rre slicorsDeu lescrauan t	------|----|-⌫--⌫---⌫|-|---|--|--|------⌫|
Etpie usaguzcont reual	-|---⌫-|---|----⌫----|
Cuiilconsiu ent il	--|-|------⌫--|-|
na demortgarant	||-|---|-----|
Charle sl euoitsa not le cuerdol ant	------⌫|-⌫|---||-⌫|-|-|---|---⌫--|
Il lesmauditde Deuonipotant	-|--|-----|-|--|--------|
Dex uo s confondeS arrazinetPersant	--|--⌫|-------|-⌫------|-|------|
u osmetolistesOliu ier	-⌫-|-|-------|----⌫--|
etR oll ant	-|-⌫---⌫--|
Le s .xii .persq uegeamoie tant	--⌫|----⌫|---|-⌫-|-|----|---|
Mesparla postre	--|--||-⌫-----|
quequierent pe ne ant	--|-------|--⌫--⌫--|
Ainz quem enailleenFrance	---|--||-|----|-|-----|
lauaillant	-|-------|
uos uendre	--|-----|
g emoltchier m onm au talant	-⌫|---|----|-⌫-|-⌫--⌫-----|
Le ngigneor	|-⌫-------|
enapelaMorant	-|----|-----|
EtSa u ari etsonfrere Ior dant	-|--⌫-⌫--|-|--|----|---⌫---|
F etes moito st. i.anginfo rtet grant	-⌫---|--|--⌫-|-⌫-|----|--⌫-|-|----|
Etausinha u t commecismursde uant	-|----|--⌫-⌫|----|--|---|--⌫---|
P arc oiprend rons	-⌫-|-⌫-|-----⌫---|
c epalesreluisan t	-⌫|----|--------⌫|
De monauoir u o sferai doner	-|--|----|-⌫-⌫|----|----|
Qu euosseroiztoz	--⌫|--|-----|--|
iorzriche etme nan t	---|----|-|--⌫---⌫|
r e sponentTot a u o strecommant	-⌫-⌫------|--||-⌫-⌫---|------|
Charpanterfontlesengin s	---------|---|--|-----⌫|
maintenant	---------|
T oute i or oure ntiusqua usoleilcochant	-⌫---|-⌫-|----⌫-|----|-⌫|-----|------|
Et tote n uit a	-|---|-⌫--||
lan t e rnesar d ant	---⌫-⌫-⌫---|--⌫-⌫--|
Descharp antierson t misaloure	--|-----⌫------|--⌫|--|||---|
maintenoientles	---|-------|--|
uerslaciteuont le	---|-|---|---|-|
ber froitraiant	---⌫---|------|
De susmonterentet	--⌫--|--------|-|
archier et sergent	------|-|------|
Qantueul ont	---|--||--|
Sarrazi ne tPersant	-------⌫|-⌫|------|
Dis t l unal	---⌫||-|||
au tre MoltsontFrancoissac hant	--⌫--|---|---|-------|---⌫---|
Ornosamo i n en t.i.e nchantem entgrant	-|--|---⌫-⌫-⌫--⌫|--|-⌫--------⌫--|----|
Tu it somes mort	--⌫-|----|---|
uain cuetrecreant	----⌫-|-|-------|
Nostre m esa ieuontlabric he querant	-----|-⌫---⌫-|---|-|----⌫-|------|
Eincois caion sseco rs	------||----⌫|----⌫-|
del amirant	-||------|
Auro nsperduNer bone	----⌫-|----|---⌫---|
fetleberf roit hautleu er	--|-|----⌫---|---|---⌫-|
Etpre sdesmursetcondui reetmener	-|---⌫|--|---|-|------⌫-|-|----|
Etles perrieres fe t deseure porter	-|--|--------|--⌫|------|-----|
Porfereaceusde	--|---||---|-|
lacitegiter	-|---|----|
LorsenpristC harlesNa imona apeler	---|-|----|-⌫-----|--⌫---||-----|
Naim e sbiau s sires ele	----⌫-⌫|----⌫|---|-⌫|-|
uolezgreer	----|----|
Partotel ostfetes.i.banc rier	--|---||--|----|--|--|-⌫---|
Quetrestuit	--|-------|
sarmentsanzplus d e	|-----|---|---|-⌫|
Ianiremengnese rgent neba chel er	-|||-------|--⌫----|-|--⌫----⌫-|
Neu nneautre qui armespuistporter	-|-⌫|-|----|--|----|----|-----|
Quemaintenan t nesaillen tadouber	--|---------⌫|-||------⌫|------|
Silesfer ons	-|--|---⌫--|
t oz a lasa u taler	-⌫-|||---⌫-⌫|---|
Sire d is tNa imes bien fetacreanter	---|-⌫--⌫|--⌫---|---|--||-------|
parlos t cor s	--||--⌫|---⌫|
e ttronpes soner	-⌫|------|----|
Dontueisiezces che ualiersa rm e r	---|------|--|---⌫------|-⌫--⌫-⌫|
Ni ar emesducnecontene	|||-⌫---|--|-|----|-|
Neescu ier serg entnebache ler	-|----⌫--|----⌫--|-|-----⌫--|
Nesoit armespor	-|---|----|--|
alasautaler	||----|---|
Carles meis mes lorpristaescrier	-----|----⌫--|--|----||------|
Fr ancc h eualierhuiuoscouient	--⌫--|-⌫-⌫------|--|--|------|
amistieIesuCr ist	------|---|--⌫--|
co nquester	--⌫-------|
Huis eporront	--|-⌫|------|
liha rdiesp ro uer	-|--⌫--|---⌫--⌫--|
Leseng ins fe tes	--|---⌫--|--⌫--|
contrecemurleuer	-----|-|--|----|
ai nzdedanz Nerbo neentrer	--⌫-|-----|-----⌫-|-----|
Demontreso rlifer aitantdoner	-|--|-----⌫|-|---⌫-|---|----|
Comilmeismeso sera deuiser	--|-|------|-⌫---|------|
oi rent lero i	--⌫---|-|--⌫|
ain siparler	---⌫-|-----|
Destante s partent sanz plusde	--|-----⌫|------|---|---|-|
murs niuodrent a rester	---|||------|-⌫-----|
Lesengi ns fontpr esdes	--|----⌫-|---|--⌫-|--|
m urs roelle r	-⌫--|------⌫|
Laueis iezc esfierssergen z monter	-|----⌫--|-⌫-|----|------⌫|-----|
ontueuSarrazinetEscler	--|--|-------|-|-----|
Po or ontdelorui e	--⌫-|--|-|--|--⌫|
A celassau totmolt fiere aatie	|--|-----⌫|-|---|----|----|
Molt auoi t Ch arlesbon egent etha r die	---|----⌫|--⌫----|---⌫|---|-|--⌫-⌫--|
As murs asai llent par	-|---|----⌫----|--|
