pou rce que	---⌫|-|--|
mi st t o utson pooir	--⌫-|-⌫-⌫-|--|----|
ill aempaintet	-|||------|-|
lefiertdelglaiueen	-|----|--|-----|-|
telemani e requeestr iersne cenglene	---|----⌫-⌫-|--|----⌫---|-|-----|-|
lepottenirqui l	-|--|----|-|-⌫|
c h e ualetch eualier	-⌫-⌫-⌫--|-|--⌫------|
port étoutenunmo nt	----⌫-|---|-|-|--⌫-|
ci lzcols a mo ult	--⌫-|---||--⌫--|
res ba udiesa genti laescrié	---⌫--⌫---|-|---|-⌫||------|
s enseig neeta sachiélespee	|------⌫-|-||------||----|
et enp oid eureleur	-|-|-⌫-||---|---|
ena yymorsli soudans fu	-||-|---|-|------|-|
a forcerem ontezetse	|----|---⌫----|-|-|
ferien la b a t ai l lecommepreuset	---|-|-|-⌫-⌫-⌫--⌫-⌫-|----|----|-|
hard isqueuo us	----⌫-|--|--⌫-|
ir oi e i econtan tci lz	--⌫--⌫|-⌫|------⌫|--⌫-|
ferice luiet	---|--⌫--|-|
cilcel autre	--|--|----|
trop uousauroie	---|---|-----|
a compter se	|------|-|
tout uous uoul oie r etrairequar	---|---|----⌫--|-⌫------|---|
iec re miro ieque ie nifa usisse si men	-|-⌫--⌫----⌫-|--|-|||--⌫-----|-||-|
passeraile	-------|-|
plusb rief ment que i e	---|-⌫----⌫---|--|-⌫|
p orraimais tantuo us o se	-⌫----|---|---|--⌫-|-⌫-|
i ebiendir equemoult y ot faitdecheualerie	-⌫|---|---⌫|--|----||-|---|-|---------|
que cassidorusfist	--|---------|---|
tantdarmesparsoncors s eul	---||----|--|--|---|-⌫--|
auecquesl aboneaide	-------|-⌫|---|---|
qu e si hommel i firentqu en la	--⌫|-|----|-⌫|-----|-|-|-|
pristlesouda ne t l a de	----|-|-----⌫|-⌫|||-|
rendua ucaliphe	----|-⌫|------|
soudansfu prismoultlorualupoi	------|-|---|----|--|---|--|
def fe nseil se sont mis tuita ufrapieret li	---⌫--⌫--|-|-|---|--|---|-⌫|------|-|-|
s estretrai seten o ntm enélesoudan	|--|------⌫|-|-|-⌫-|-⌫---|-|-----|
d e ses homm esde splus	-⌫|--|----⌫-|--⌫|---|
proisiez ilen	-------|-|-|
sontuenusen	---|----|-|
lacite debaudasli calyp hesal e	-|---|-|-----|-|-----⌫--||-⌫|
soudan m andépar	-----|-⌫----|--|
de ua ntlui	--⌫--⌫-|--|
ilyestuenuz iluecquesf ufaitela	-||--|----|--------|-⌫|----|-|
du ca l iph eet dus oudan moult fur entlieli s arrazin	-|--⌫-⌫---⌫|-|-|-⌫----|----|---⌫--|--|-|-⌫------|
decesteac ordanc e etsorentb i enli	-|----|--⌫------⌫|-|-----|-⌫-⌫-|-|
sarrasin quece	-------|--|-|
auoitesté f aitp ar	----|----|-⌫--|-⌫-|
l apriered e ca ssidor usmeismes li	-⌫|-----|-⌫|--⌫------⌫-|------|-|
soudanssest acointiez	------||--|--------|
de luietli d istque	-|--|-|-|-⌫--|--|
ilnecuidoit m iequeen toutlemont	-|-|------|-⌫-|--|-|---|-|---|
eust cheualierqueseur	---|--------|--|---|
luieustpooircorsa	--|---|----|---||
co rs queuous iroieieatargant	--⌫-|--|---|----|-|-------|
fusiordene eentre lecalipheetleso udanque	-|-|------⌫|----|-|------|-|-|--⌫---|--|
ap aiez liuns etliautres	--⌫---|-|--|-|-|-----|
paiscommeilauoientfai te	---|----|-|------|---⌫-|
l isoudans sest arr iere s tra iset priacassi dorus	-⌫|------||--|---⌫----⌫|---⌫-|-|---|-----⌫----|
i llipleust d alera uecqu esluiensa	-⌫|-|-----||---|-⌫-----⌫-|--|-|-|
lemenroit partoutcequ e	-|------|--|---|-|--⌫|
onquesmais	-----|---|
nauo itesté	|---⌫-|----|
enla terrecassi dorusapr is	-|-|----|-----⌫----||--⌫-|
calypheet senestrepairiezauecquesle soudan	------|-||-|--|--------|-------|-|-----|
onquesne fuhouneur q ue liso udansne	-----|-|-|------|-⌫-|-|--⌫----|-|
liaitfaite	-|--|----|
pa rtoutetmoult lenpristcassidorusen	--⌫|---|-|----||-|----|---------|-|
grantam our	----|--⌫--|
de la granthou nou rque	-|-|----|---⌫---⌫|--|
ill i faisoitettoutaussi faisoi ent	-|-⌫|------|-|---|----|------⌫--|
dupayset tant lapourmenéaual	-|---|-|---|||--------|---|
sa terreque	-|----|--|
cassi doruslidistq u iuouloitqu	-----⌫----|-|---|-⌫||------|-|
il li donnast	-|-|------|
cond uitp art oute laterre dessarrazinsl i soudansl	----⌫--|-⌫-|-⌫---|-|----|--|--------|-⌫|------||
faitmoultuolentierset	---|----|---------|-|
di tqu epar tout	--⌫|--⌫|--|---|
pooi tal er	----⌫|--⌫-|
en son conduitc assidorussest a tant	-|--|------|-⌫--------||--|-⌫---|
par tis deli	---⌫--|-|-|
etsonmais tre	-|--|----⌫--|
san zp lus queonquesne	---⌫|-⌫--|--|-----|-|
uautauoiraut re com paignonc assidorus a	---|----|---⌫-|---⌫------|-⌫--------||
moult aléen poi	----|---|-|--|
d e uree tmoultestoi t bien uenus	|-⌫--|-⌫|----|-----⌫|---|----|
po urlecond uitetp or	--⌫-|-|----⌫--|-|-⌫-|
r enomm eedontil es toit ilauint	-⌫-----⌫-|---|-|--⌫---|-|----|
queilse r abati engalylee l a superiouret	--|-|-|-⌫----|-|------|-⌫|--------|-|
quiest apel ee beth esaydaet	--|--|----⌫-|----⌫-----|-|
estpresdesm ons dysraeliluec a uoitunprince	--|---|--|-⌫--||-----|----|-⌫---|-|-----|
quimoultes toitsagesettresbonscheualiers cas sydorus	--|----|--⌫---|----|-|---|---|---------|---⌫------|
parlat res	--|-|-⌫--|
grantrenommeedont il	----|-------|---|-|
esto itoypa rlerdelui	----⌫-|-|--⌫---|-|--|
etneu a u tpourluine	-|-|-⌫-⌫-⌫|---|--|-|
pourrie nslaissier queilne	---|---⌫-|-------|--|-|-|
s acoi n tastdelui	|----⌫-⌫---|-|--|
li sarrazinsauoitnonedipusquant	-|--------|----|--|-----|----|
so rentquili unsetlia utresestoit si por tere nt	--⌫---|--|-|--|-|-|-⌫----|-----|-|---⌫----⌫-|
houneur li unsal autre	------|-|--|||----|
edipusu i tqu ec assidorus	-----|-⌫-⌫|--⌫|-⌫--------|
e sto itho m s detresgrantsen s	-⌫---⌫-|--⌫-⌫|-|---|----|---⌫|
e ts otquei l	-⌫|-⌫-|--|-⌫|
fu bon s cheualierssise	-|---⌫|---------|-|-|
pen saque sil	---⌫-|--||-|
pooit t a ntfaire	----|-⌫-⌫-|----|
quei luausistauecque s luidemourer u nep i e ce queil	--|-⌫|------|-------⌫|--|-------|-⌫-|-⌫-⌫-⌫-|--|-|
b ie nesploitié il enestuenus a luietl	-⌫--⌫|---------|-|-|--|----||--|-||
e n arequis	-⌫||-----|
dumiex et d u	-|---|-|-⌫|
plus bel que	---|--|--|
i lo n quespotsi comm ecilz	-⌫|-⌫-⌫---|--|-|----⌫|---|
quise n mi sten grant	--||-⌫|--⌫-|-|----|
cassido rusd a utrepartne	-------⌫--||-⌫---|---|-|
demandoit aut rechose qua rtropli plaiso ita	--------|---⌫-|----|---⌫|---|-|------⌫-||
auecqueslui etli	-------|--|-|-|
re spondisiremoultgran smerci s	--⌫-----|---|----|----⌫|-----⌫|
quantiluous pl aistq ueuoustelproieremefaites	----|-|---|--⌫---|-⌫-|---|--|------|-|-----|
etiedemour rai tantouous	-|-|------⌫--|---||---|
c ommeil pla ira auouset	-⌫---|-|---⌫--||---|-|
ces te parolesi li	---⌫-|-----|-|-|
distcas sidor us simplement	---|---⌫-----⌫-|---------|
q uantepidusoyceadontfu moult	-⌫---|-----|-|-|----|-|----|
liezet moult len	---|-|----||-|
a be l merciéi l f u rentensamble	|--⌫|------|-⌫|-⌫-⌫---|-------|
ainssicommeie uous d i	-----|----|-|---|-⌫|
grantpieceeta uoit epidus pluseursf em me s	----|----|-|-⌫---|-----|-------|-⌫--⌫--⌫|
etta n tquilen	-|--⌫-⌫--|-|-|
yo tunequeilta ntamoitq ueile n	|-⌫|--|--|-|--⌫-|----|-⌫-|-|-⌫|
estoit aussi	-----|----|
commetouzialous	----|---|-----|
de celleauoitil unefille	-|----|----|-|--|----|
m ou lt beledam oiseleetdisoiton	-⌫--⌫-|---|---⌫-----|-|-----|-|
queentoute paiennie	--|-|----|-------|
na uoitsi be lle nesi	|-⌫---|-|--⌫--|-|-|
sageet not la puc elle que	---|-||-|-|---⌫---|--|
yy ansep idusl	-|--|--⌫---||
auo i tmise	---⌫-⌫|---|
en une tou r etfille	-|--|---⌫|-|----|
etmereetla	-|---|-|-|
estoient sigard eesqu e nulshomsne lespeustueoir	-------|-|----⌫--|--⌫|---|---|-|--|----|----|
t ant fustamis ausarrazin	-⌫--|---|---|-|-------|
q ueilnefust	-⌫-|-|-|---|
t ousiour z	-⌫--|----⌫|
auec ques ca ssyd oru senoyparler	----⌫---|--⌫----⌫---⌫|-|-|-----|
maintefoisetmoultli	-----|---|-|----|-|
deplaisoi tne ilne seuault metr eenli eu	---------⌫|-|-|-|-|----|----⌫|-|--⌫-|
uausistueoiruniour parloi ent	------|----|-|---|------⌫--|
ensambleen tre	-------|--⌫--|
cassydorus	---------|
etles arrazine tta nt que cassidorus	-|-|-⌫------|-⌫|--⌫-|--|---------|
ne sepo ttenir	-|-|--⌫|----|
queil nedeistpar foy	--|-|-|----|--|--|
esmer ue il	-----⌫--⌫-|
plusd unecho se	---||--|---⌫-|
quederie nsque iesachede	--|-|---⌫-|--|-|----|-|
e stce s ire dist epi dus	-⌫-|-|-⌫--|---|---⌫--|
et ieleuou sdiraidistil en	-|-|-|---⌫|----|---|-|-|
telemani erequeuousia	---|----⌫--|--|---|-|
mauuais gre ne mensaurezet ie	------|--|-||-|-----|-|-|
uousenass eu r	---|-|---⌫--⌫|
ditepidus sireienem esmer u eilp as	--|-----|---|-|-||-----⌫-⌫--|-⌫-|
se uousestes sag esquar il	-|---|----|---⌫-|---|-|
affiertauous apres	------||---|----|
se uous estesbons cheu aliersce nestpas	-|---|----|---|----⌫-----|-||--|--|
demerueill esquardiexetnature	-|--------⌫-|---|---|-|-----|
detoutce faire	-|---|-|----|
parraisonmai sie nepuissauoir	--|-----|---⌫|-|-|---|-----|
qu ila itnule raisona	-|-|-⌫-|---|-----||
ce que uou saiez	-|--|---⌫|---|
simi s uostrecuer ayyfemmes	-|--⌫|-----|---||-|-----|
dequoi luneest	-|---||--|--|
uo strefemme et	--⌫---|----|-|
uos tref illelautrequ ant	---⌫--|-⌫---||----|--⌫--|
cas sidoru sotce ditepi du snedi t	---⌫------⌫|-|-|--|---⌫--⌫|-|--⌫|
m otaincoisrougi	-⌫-|------|----|
etfu unpoiesbahis et sot	-|-|-|--|------|-|--|
meru eilles bong rea cassydorus	----⌫-----|--|-⌫-||---------|
decestepa role	-|----|--⌫---|
et nepour quantne uault il	-|------⌫----|-|----|-|
pas laissierque i ln aitr espond u	--|-------|--|-⌫||--|-⌫------⌫|
etdistsires euou sest es	-|---|---|-⌫|---⌫|---⌫-|
esmerueil li e z nest pas	---------⌫--⌫-⌫||--|--|
d emer ueillemaissachieztoutu raiementq uenuls	-⌫|---⌫-----|---|------|---|-⌫-------|-⌫-|---|
hom sne sttantsages	---⌫||-⌫-|---|----|
ques eilhantecom paignie	--|-⌫|-|----|---⌫------|
de femme pourtantqueilli plaise	-|----|---|---|--|-|-|-----|
quilnesoit	-|-|-|---|
dec euzparfoydistdontcassidorus dontn e	---⌫--|--|--|---|---|---------|---|-⌫|
ilyaitpointd e c onquesta ceque	-||--|----|-⌫|-⌫------||-|--|
ie uousoydire	-|---|-|---|
lefait pas bona prendreaceluiqu i	-|---|--|--|-⌫------||----|--⌫|
p uet q uante pidus enten t c as sid orussine	-⌫--|-⌫---|-⌫----|-----⌫|-⌫--⌫---⌫---|-|-|
pottenirqui l	--|----|-|-⌫|
nesousrisiste t lidis ts ire	-|---------|-⌫|-|---⌫|-⌫--|
uousen beésuousa	---|-|----|---||
ga rderencore distil men	--⌫---|-----|---|-||-|
suiiegardez iusques etferai	--|-|-----|------|-|----|
tantcommeie porra i	---|----|-|-----⌫|
moult fu epiduslie zdecesteparolequar	----|-|-----|---⌫|-|----|-----|---|
mis t ilhorsde soupecon dece	---⌫|-|---|-|-------|-|-|
de quoiils e	-|---|-|-⌫|
doutoitmoult	------|----|
etlidist par dieu sir ese	-|-|---|--|---|---⌫|-|
uoussauiezlaualour	---|-----|-|-----|
delun eetdelaut reuousnem	-||--⌫|-|-||---⌫-|---|-||
enblasmerie z pa s	-|---------⌫|--⌫|
po urc edistcassidorus	--⌫-|-⌫|---|---------|
que ieneles aip as	--|-|-|-|-⌫-|-⌫-|
uou senaiie tant	---⌫|-|-|-|---|
dit siredistepidusil	--|---|---|-----|-|
couu ientque uous les uoiésetieuousprice	----⌫---|--|---|--|-----|-|-|---|--|-|
distcassidorusqu euous	---|---------|--⌫|---|
mendeporte z	|-|-------⌫|
atan tlon t	----⌫||--⌫|
laissiéester	-------|----|
q u e uous ir o ieieatargan tepidus ne targa	-⌫-⌫|---|--⌫-⌫-|-|-------⌫|-----|-|----|
gairesquan t il li	-----|----⌫|-|-|
pristtale ntd al e rasafemmeil enest	----|----⌫-||--⌫-⌫||-|----|-|-|--|
mon tezen la tourettrouualadame	---⌫--|-|-|---|-|-----|-|---|
e tsa fil le	-⌫|-|---⌫-|
parlédepluiseur schosesor auoiti l de ffen duque	-----|-|--------⌫|-----|-|----|-⌫|--⌫----⌫-|--|
nefusts ihardiz queonparlas t	-|---|-⌫|-----|--|-|------⌫|
d ecass ydorus	-⌫|----⌫-----|
enlieu oules d am e sl esceussen t etil	-|---|-|--|-⌫--⌫-⌫|-⌫|--------⌫|-|-|
lauo itcele ́	|---⌫-|----⌫|
i us quesla	-⌫--⌫---|-|
maisq uantilsotqueil	---|-⌫---|-|--|--|-|
au oit sipoi d e cur e	--⌫--|-|--|-⌫|---⌫|
delesned autresi lnese npo t	|---|-||-----|-⌫|-||-⌫|--⌫|
teni rquil n enaitparlé pardeuant	----⌫|-|-||-|--|-----|--|-----|
elles etla tan t	----|-|||---⌫|
proisiéqueilonquespotetleu rdist	-------|--|-|-----|--|-|---⌫|---|
c ommenti l le	-⌫-----|-⌫|-|
uault a menerpourelesue oirmais	----|-⌫----|---|---|--⌫--|---|
on ques niuautuen i r	--⌫---|||---|---⌫-⌫|
qu ant cel esont	--⌫--|---⌫-|--|
entendu l eu rsei gneursi	------|-⌫--⌫|---⌫----|-|
moult meuesdeueoi rlecheual ier	----|----|-|----⌫|-|------⌫--|
q ui ot n on erganemecree z	-⌫-|-|-⌫-|---|-|-|----⌫|
ia ma isse i ln est	--⌫--⌫-|-|-⌫||--|
demauuaise loyn e onque s nefupreud onsqui	-|-------|--|-⌫|-----⌫|-|-|-----⌫--|--|
uo le ntiers neueistdamesetdamoise les	--⌫--⌫-----|-|----|----|-|-------⌫--|
la pucelle	-|------|
respondi aceetd is t mere	-------||-|-|-⌫--⌫|---|
uousnesauezonqueseniou r	---|-|----|-----|-|---⌫|
deuost reuien oistesnenesceustes de	-|----⌫-|--||-----|-|-|-------|-|
sam a uuaistie ia	-|-⌫-⌫-------|-|
lauezuousoymonseign eurtant	|---|---|-|--|-----⌫--|---|
prisie rsiuou ssouffrez	------⌫|-|---⌫|-------|
direta nt que uous	---|--⌫--⌫--|---|
ensachiez enc oreel par	-|------|---⌫--|-|--|
dieufil le dist e pid usmoultestes	---|---⌫-|---|-⌫---⌫-|----|----|
uousamenra iseiepuisquar	---|------⌫|-|-|---|---|
tropd esirque	---|-⌫---|--|
uousleueez	---|-|---|
atantsest epidusdeparti s	----||--|-----|-------⌫|
del lesets enes tuenus	|--⌫--|-||-|--⌫|----|
e n son p ala iset	-⌫|--|-⌫---⌫-|-|
q uan t cassidorusle	-⌫---⌫|---------|-|
uit adontsot	--|----|--|
moul tb iend ont	----⌫|-⌫--|-⌫--|
iluenoitilenestue nusen contr e	-|-----|-|-|--|--⌫--|--⌫-----⌫|
luiaussicommese ilnen	--|----|----|-|-||-|
seustr i ense td ist	----|-⌫-⌫--|-⌫|-⌫--|
sireouauezuous	---|-|---|---|
tantdem ou réie cuidoieque	---|---⌫--⌫--|-|------|--|
uous deussiez	---|-------|
estrealez enriuiere parfoydist	----|---|-|------|--|--|---|
ieuiengd unl ieu ou	-|----||-|-⌫--|-|
uousestes mo ultdesirrez	---|----|--⌫--|-------|
enq ue llieu es t	-|-⌫--⌫|---|--⌫|
ce ditil dit es	-|--|-|---⌫-|
a dontliadis t queiluenoit d esadame	-⌫---|-||---⌫|--|-|-----|-⌫|-|---|
moult liau oitprie ́ quil	----|-|--⌫--|----⌫|-|-|
l i men astqu artropl a	||---⌫--|--⌫-|---|||
couuoitiéa ueo i r	---------||---⌫-⌫|
pourlegrant	---|-|----|
s ensq ueell e auoito yretraire	-⌫--|-⌫-|---⌫|----|-⌫|-------|
deluisiuouspri tout auant	-|--|-|---|--|---|----|
etmadame aussi	-|-|---|----|
et encoreplusmafillequ euouslesueign iésueoir	-|-----|---|-|----|--⌫|---|--|-----⌫---|----|
quarmoultmenontprie ́quantcassidorusoy	---|----||-|--|----⌫|----|---------|-|
sire s pondipoi aurezgaaign ie ́ neel led	-|--⌫-⌫----|--|----|------⌫--⌫|-|--⌫-||
autre part	----|---|
ellesmaront ueu etie	----||----|--|-|-|
irai pou ruostreuo len te acomplir	---|---⌫|-----|--⌫---⌫-|-------|
leuraussiqu ari emen	---|----|--⌫-|-⌫||-|
souffr i ssebie nm aisquiln e	------⌫-⌫--|---⌫|-⌫----|-|-⌫|
uousanuiast parfo idist	---|------|--|--⌫|---|
epiduselle s menont	-----|----⌫||-|--|
tantpriéqueieneleuru eules condire	---|----|--|-|-|---|-⌫--|--⌫------|
atantse sont	----|-|---|
mis alauoieet sontmontezenla	--||-|---|-|---|-----|-|-|
tour et qu antle sdameslesu i rent uenire lles	---|-|--⌫--|--⌫|----|--|-⌫-⌫---|----|-⌫---|
le ue escontr ee ul z	--⌫--⌫-|-----⌫|-⌫--⌫|
moultsecontientcas sidor usgentement	----|-|-------|---⌫-----⌫-|--------|
damessaluerel lesliont ren duso n	----|-----|--⌫--|-|--|---⌫-|--⌫|
ses onta ssis lundele zl	-|-⌫--|-⌫---||-|----⌫||
autrecass id oru s	----|----⌫--⌫---⌫|
sassistde costelapucellequi ot nonhelca na	|-----|-|----|-|------|--|-|--|-----⌫-|
c assidorusbia us seurtoushommes	-⌫--------|---⌫-|---|---|-----|
desonaag e iln auoi t	-|--|---⌫|-||----⌫|
qu eyyansil a esgardéla	--⌫|-|--|-||-------|-|
pucell esilisambla queonques	------⌫|-|-|-----|--|-----|
maisiou rde sa	---|---⌫|-|-|
uienotueuesap areillede	--||-|---|-|-⌫------|-|
etcomme plus lisamblo it	-|----|---|-|------⌫-|
b ele mainsleuo ul t	-⌫--|----|-|--⌫--⌫|
lapu ce llen otpastelleuolente	-|--⌫--⌫--||-|--|----|------|
aincoisl e sga rda	------||-⌫---⌫--|
e ntreyy yexet l icommenca tantaplai re	-⌫---|-|--|-|-⌫|-------|---||----⌫-|
quemaintenant	--|---------|
life usd a mourse s pristpar dedenzli	-|--⌫-||-⌫----|-⌫-⌫----|--|-----|-|
e lleuitquil	-⌫--|--|-|-|
reg ardersi	---⌫----|-|
teni r qu elene	----⌫|-|--|-|
deistsirecheualie rscomment est	----|---|--------⌫-|------|--|
liuos tres non slors	-|---⌫---|---⌫|---|
l esga rda cas sidoruse t congnut	|----⌫--|---⌫------|-⌫|------|
dist damoiseleiesuiappellez	---|--------|-|--|-------|
cassidoruse tfuinezen gresse adontli	---------|-⌫|--|--|-|-----|----|-|
pucelleenquisdeson estreet	------|-----|-|--|----|-|
ilne liuau l tpas	-|-|-|---⌫-⌫|--|
ainz li adit ce qu	---|-||--|-|-|
ilcui daquebo nfusttant	-|---⌫-|--|--⌫|---|---|
parlerentlongu ementensamble	--------|-----⌫----|-------|
m e ismesla	-⌫-⌫----|-|
priseaparle ra	----||-----⌫||
luide pluis eurs	--|-|-----⌫---|
choses etmoultse	-----|-|----|-|
ceque elleauoit ditdeluiauantque	-|--|---|----|--|-|--|-------|
elleonques	---|-----|
leust ueusi	|---|--|-|
di sten tr esesdens moultsuiore	--⌫-|--⌫--⌫|--|---|----|--|--|
folequanttele	---|----|---|
parolemeuoladesdensquar	-----|-|---|--|---|---|
mais neuihommequi miex	---|-|-|----|--|---|
me p l eust	-|-⌫-⌫---|
quecistfait	--|---|---|
apre sdist si ba s q ue nulzn e	----⌫|---|-|--⌫|-⌫-|---|-⌫|
lepote ntend reon qu es nauint	-|--|-⌫-----⌫-|--⌫--⌫-||----|
f e istlefroit	-⌫-⌫--|-|----|
deciuenirsepourcenon	-|-|----|-|---|-|--|
quemessires	--|--|----|
sabonn epai s quant ell e otc e pensési dist	-|----⌫|---⌫|----|---⌫|-|-⌫|-----|-|---|
ce stuimotn ese pueto nmesfaire	--⌫---|--|-⌫|-|---|-⌫|-------|
cueret toutemapenseequantelle	---|-|----|-|-----|----|---|
otce pen sé adontparlaenha ut	-|-|---⌫--|----|----|-|--⌫-|
etdistsir e ch eualiersieen tensqu euousauez	-|---|---⌫|--⌫-------|-|--⌫---|--⌫|---|---|
m ismoultgra nt debat	-⌫-|----|---⌫-|----|
auenir ceste	|----|----|
i enesairaisonpour quoi uous	-⌫|-|--|-----|---|---|---|
lau ez f ait ieuouspr i	|--⌫-|-⌫--|-|---|--⌫|
foyqueuousdeue z a	--|--|---|----⌫||
monsei gnour	--|---⌫----|
queuo us len o us dites maisqu il	--|--⌫-|-|-⌫-⌫-|----|-----|-|
cas sydor usf umoulttostapens ezetdis t	---⌫-----⌫-|-⌫|----|---|-----⌫-|-|---⌫|
ce nestpa s	-||--|--⌫|
moult gra ntauantaged aler	----|---⌫-|-------||---|
onna mie granm entaf aireet	-|||--|-----⌫--||-⌫---|-|
d a utre partiesai assez	|-⌫---|---|-|--|----|
quemesiresuo us	--|-|----|--⌫-|
a cimisespour	|-|----|---|
cequeilneueul t	-|--|-|-|----⌫|
queonyuoitneque on	--|-||---|-|--|-|
yui engnequiafairenia	|--⌫----|--|-----||||
qua ntcassidor usot	---⌫-|--------⌫-|-|
c e di tepidus resp ondia c eet	-⌫|--⌫|-----|----⌫---||-⌫|-|
sireuoirs est que ilmeplai s t ainsiet	---|----|--|--|-|-|----⌫-⌫|----|-|
est si gne q ue	--|--⌫--|-⌫-|
aimmeplusquetouteslesautre s	----|---|--|-----|--|-----⌫|
sineu ousen merueill iez pas q uartropfait	-|-|-⌫--|-|--------⌫--|--|-⌫--|---|---|
quant ilore n tiluecquesgrant p ieceparlé	----|-|---⌫-⌫|--------|----|-⌫---|-----|
ilontpr iscongieetse n	-|--|--⌫-|-----|-||-⌫|
sontrep airiéatantet	---|---⌫-----|----|-|
furentdeparti	-----|------|
des dame slunea	--|----⌫||--||
esg a rdé	---⌫-⌫---|
lau tre etont moultfort plouré et	|--⌫--|-|--|----|---|------|-|
so uspiré	--⌫------|
etcomm encelunealautr e	-|----⌫---||--|||----⌫|
ademanderqueilli	|-------|--|-|-|
sambloitduch eualier la pucelleparlapremiereme nt	-------|-|--⌫------|-|------|----|----------⌫-|
distmereil	---|---|-|
n estp astiex	|--|-⌫-|---|
deisteshui quarbiens amb lequil	------|--|---|---|-⌫---⌫-|-|-|
sagesetpre usets aide uoir qu e	----|-|---⌫-|-|-⌫-|-|---|--⌫|
abia uten a	|---⌫--|||
ilpas faillidamoiseleque sauezuous quel il e st	-|--|-----|--------|--|----|---|---|-|-⌫-|
leueis tesuous on q ues m ais selonccequeon	-|----⌫--|---|--⌫-⌫--|-⌫--|-----|-|--|-|
ueoirdistlapuce l eni sa iie se	----|---|-|----⌫-⌫|||--⌫|-|-|
biennonetuo u d roie	---|--|-|--⌫-⌫-⌫---|
quileust mou ltde	-|-|---|---⌫-|-|
bie nuitlamereet pensaqueli	---⌫|--|-|---|-|----|--|-|
cheualiers plaisoitala fille	---------|-------||-|----|
pasbien aaise et	--|---||---|-|
no sa soncorage	|-⌫-|--|-----|
d escouurir	-⌫--------|
sisesttenueatanteta	-||--|----|----|-||
commenciédautres cho ses	---------||-----|---⌫--|
a parlerpourceque	|-----|---|-|--|
e lleneuouloit	-⌫--|-|------|
pasqu esafille	--|--⌫|-|----|
perceustl itemps pa s saetcommencacassidorus	-------|-⌫|----|--⌫-⌫-|-|-------|---------|
a anui e rilen	|----⌫-⌫|-|-|
estue n us a	--|--⌫-⌫-||
epidusetl idists ireor	-----|-|-⌫|---|-⌫--|-|
ie e sté atan t	-|-⌫---||---⌫|
det empsauecq ues uou s auantq ue	-|-⌫---|-----⌫--|---⌫|------⌫-|
autantesté auec qu esun	-----|----|----⌫--⌫-|-|
autr e ertil temps qu e ieaie	----⌫|--|-|----|--⌫|-|--|
repairi éenmonpaysquarau ssi	-------⌫-|-|--|---|---|--⌫--|
nescet on ou iesui	-|---|-|-|-|--|
commentsire	------|---|
ditepi dusoruoiie	--|---⌫--|-|--|-|
anoieau ecquesmoiditesmoifoyque	----|--⌫-----|--|----|--|--|--|
uousd eués	---|-⌫----|
uostresauueeurquebonuou ssero itet	-----|-------|--|--|---⌫|----⌫-|-|
ie lefe raisei e	-|-|--⌫--|-|-⌫|
puises ploitierporchose	---|--⌫-------|--|----|
queie puissefai recertessire	--|-|-----|---⌫-|-----|---|
dist cassido rus	---|-------⌫--|
ie n eled ipaspou rchoseque	-|-⌫|-|-⌫|--|---⌫|----|--|
ieu euill e	-|-⌫-----⌫|
qu euousme f aciezq uar uousmauez	--⌫|---|-|-⌫----|-⌫--|---||---|
fetquilneseraiam ais merip our	--|-|-|-|---|---⌫--|---|-⌫--|
moi ains ne	--|---|-|
uing encest	---|-|---|
elquepouru eoirlam aniere	-|--|---|-⌫---|-|-⌫-----|
desgenssien ai	--|---|-|-|-|
tantaprisquebien	---|----|--|---|
m en plaistetdautre	|-|-----|-||----|
part s e uouseussiez	---|-⌫|---|------|
demoiafaire	-|--|-----|
moult m i pleust a demourer	----|||-----||-------|
e t ie ueul enc ore	-⌫|-|---|---⌫--|
alerenautre	---|-|----|
lie u s is era qu antiluousplair a	---⌫|-⌫|-⌫--|--⌫--|-|---|-----⌫|
e t entent	-⌫|-----|
que cassid oru s senueul t	--|------⌫---⌫||-|----⌫|
alersi nescet commentillepuisse	---|-|-|---|------|-|-|-----|
rete n ir et	----⌫-⌫-|-|
nonporq uantilquerraartetengingpa rquoi	-------⌫---|-|-----|--|-|-----|--⌫|---|
il ledeten ra encore	-|-|-----⌫-|-----|
se ilpuet ilen	-|-|---|-|-|
est u enus a	--|-⌫---||
lui etlidist	--|-|-|---|
ce rtessire	--⌫---|---|
iemecomplai ndro ie	-|-|-------⌫----⌫-|
uolentiersa uousd une	---------||---||--|
cho semaisque ieseusse que uousmeuausi ssiezaidier d ites	---⌫-|------|-|-----|--|---|-|-----⌫----|-----|-⌫---|
uostreuolented ist	-----|------|-⌫--|
cassidor us etie	--------⌫-|-|-|
uousaiderai sem	---|------|-||
aideuousam estier amonpooir adontli	---|---||-⌫-----||--|----|----|-|
epidusadi reque	-----||--⌫-|--|
unsprinces	--|------|
deteberga disliauoit	-|-------⌫--|-|----|
unsienfilz	-|---|---|
occis dontil nauoitonques	----|---|-||----|-----|
pa i sfaite etseil	--⌫-⌫|----|-|-|-|
aidierilau roit	-----|-|--⌫---|
pooir aluimaisill	----||--|---|-||
auoi tmis enrespi tpour ce qu e touziou rz	----⌫|--|-|-----⌫|---|-|--⌫|---|---⌫-|
cuido itqueildeust	-----⌫-|--|-|----|
uenir a merci	----||----|
pourcedist cassidorus	---|-|---|---------|
