telzco ustumance danferuient	---|--⌫--------||----|----|
lanfant mirentnomclod omire	|-----|-----|--|----⌫----|
la roynelefist bautisier	-|----|-|---|--------|
etne fino itiadatisier	-|-|----⌫-|-||------|
l eroyad esremanteuoi t	-⌫|--|--⌫-|----------⌫|
quefeist s equeil	--|----|-⌫|--|-|
leroi s sid istdamep arra	-|---⌫|-|-⌫--|---|-⌫---|
saichiez c i lam fe sse	-------|-⌫-⌫|--⌫--⌫|-|
si conmelautres sans deloy	-|----||-----|---|----|
porceq uenes t pasa maloy	--|-|-⌫-||--⌫|--||-|--|
nauons amfantquiiauissoit	|----|-----|--|-|--|---|
longueman t qui bautisiezsoit	---------⌫|--|--------|---|
lorsl aroynes anzdetrier	---|-⌫|----|-⌫--|------|
con mansa dieumonta prier	---⌫----|---|---||----|
uo sist ferecest e honno r	--⌫---|---|----⌫|-----⌫|
ques ebautissastsonse ig nour	--|-⌫|---------|--|--⌫--⌫---|
et ell e quan tplus l iprioit	-|---⌫|----⌫|---|-⌫|-----|
ad es cloo uis	--⌫-|----⌫--|
nenulle r iennanuoloi tfair e	-|----|-⌫--||-|-----⌫|----⌫|
a d es li co nmandoitataire	-⌫-⌫-|-|--⌫-------||----|
anceltermineilaui n t	-|--|------|-|---⌫-⌫|
qu e cloouisaguerre uint	--⌫|------||-----|---|
an champcon trelesa leman s	-|----|---⌫--|--|-⌫-----⌫|
don til souffri plusors torm ens	---⌫|-|------|------|----⌫--|
l i piresdeuers luienf eu	-⌫|----|-----|--|-|-⌫-|
dontm azet doumaichiezanfeu	---|-⌫-|-|----------|-|--|
i ld euostema nt	-⌫|-⌫--------⌫-|
q uebiauxsiredieuxqui n emant	-⌫-|----|---|----|--|-⌫|---|
ancuimafame	-|--|-|---|
etsonespoire tsafiance	-|--|-----|-⌫|-|-----|
dont c hasc unior mefaitme moire	---|-⌫----⌫-|--|-|---|--⌫----|
ormeueillesdonner u itoire	-|-|------|-----|-⌫-----|
etdesorm aisan toicroirai	-|------⌫--|-|--|------|
nomgeessaucerai	--|-|---------|
montep li eraites amis	------⌫--⌫---|--|---|
etc on fondraites annemis	-|-⌫--⌫------|--|------|
decueraucie ltandi	-|---|-|---⌫|----|
et lorsihesu	-|---|----|
criz l antandi	---||------|
e tle fistho nneuretai d uie	-⌫|-|---|--⌫----|-|--⌫-⌫--|
quale m ant uindrent	-|---⌫-⌫--|-------|
et liroisot	-|-|---|-|
tou teuictoire	---⌫-|-------|
bien le retin t ansonmemoire	---|-|-----⌫|-|--|------|
toutquanque ilota dieu	---|------|-|-||---|
ailtresto uta	|-|------⌫-||
q uistrespit iourn edemi	-⌫---|-----|---|-⌫|---|
arain sa nuint asaint r em i	|----⌫|-⌫|---||----|-⌫--⌫|
qu iderainsar ce ues quesfu	--⌫|-|----|--⌫--⌫---⌫---|-|
delui anfonsbautisiezfeu	-|--|-|---|--------|--|
ets a i nsremi dieu	-|-⌫-⌫-⌫-|---|---|
lantroduit	|--------|
creancele conduit	------|-|------|
clou isuost paiens d espisi er	----⌫-|---|-----|-⌫------⌫-|
plu sso rsil anfist bautisier	---⌫---⌫-|-|-|---|--------|
diqu iuint fr ance anseurte	|---⌫|---|--⌫---|-|-----|
ets emaintintenmeurt e	-|-⌫|-------|-|-----⌫|
e tpouruoir ge	-⌫|---|---|-|
l ete de uis	-⌫|-|--⌫--|
car c hrestianne zfuc loouis	--|-⌫----------⌫|-|-⌫-----|
yya ns ap res se	-|-⌫-|--⌫--|-|
lors atourna ilsesa rois	---|------|-|--|-⌫---|
etse uos tdu r emant h aster	-|-|---⌫|--⌫-⌫----|-⌫----|
deconqueri r	-|--------⌫|
etdaquester	-||-------|
aquitaine ettourscon quist	--------|-|----|---⌫----|
a ntoulou sainsemist	-⌫|------⌫---|-|---|
montbonneu iedemena	---|----|-⌫-|-----|
amourde di eu	----|-|--⌫-|
et g racia decuer	-|-⌫----|-|---|
etdieuxle mist	-|----|-|---|
tranteansf urois etpuis	-----|--|-⌫|---|-|---|
et anfouizfu	-|------|-|
lisiens cors	-|----|---|
oumou tier saintpoets aint pere	-|---⌫---|----|-|-|-⌫---|---|
q ui deparluifaizfon de z ere	-⌫-|-|--|--|---|---⌫--⌫|--|
o rli ont rem ué	-⌫|-|--|---⌫--|
cars ainteg ene uieue anon	--|-⌫----|-⌫---⌫----||--|
quatre fil zlessacleoui s	-----|---⌫|----|------⌫|
do ntles n ons deus	--⌫-|--|-⌫--||--|
ge te deuis	-|-|----|
e tporuoirg ele	-⌫|--|---|-⌫|-|
t eueildire	-⌫|---|---|
childebertthierr izclod omire	---------|------⌫-|----⌫----|
et liquarzauoit non lotaire	-|-|----|----|--|------|
decle ouis meu eil	-|---⌫---|-|-⌫--|
etd eleurterresquilpartire nt	-|-⌫|---|-----|-|-|-------⌫-|
conmant regnerentconmant fi rent	------|--------|------|--⌫---|
quetropaco nteranaroie	--|---||--⌫---|-|----|
lor fai zconter uoloie	--|---⌫|-----|-----|
mesrois demoura	--|---|------|
child e bers	-----⌫-⌫---|
quitant fus aige s et apers	--|---|-|-⌫----⌫|-|----|
uintettrois ans rois gouuern a	---|-|----|--|---|-------⌫|
iusq uesm ors afin l e	----⌫--|-⌫--||--|-⌫|
roisfu s esfilzthe ode baus	---|-|-⌫-|---|---⌫---⌫---|
quine fufo x	--|-|-|--⌫|
adi eu dou tout s aban donna	|--⌫-|--|---||----⌫----|
cueret cors	---|-|---|
e ttoutlidonn a	-⌫|---|-|----⌫|
trest ouzpreudeshonme ssuy	-----⌫--|------|-----⌫|--|
et mauues etfel ons fuy	-|-----|-|---⌫--|--|
bonsiusticiersfuaso n temps	---|---------|-||--⌫|----|
regna queyya n s	----|--|-|-⌫-⌫|
clotai requisonfrerees t oit	------⌫-|--|--|----|--⌫-⌫--|
etc ui il mont dec ueranmoit	-|-⌫-|-|---|-|-⌫--|-----|
sonroyaume e ttresorconmist	--|------|-⌫|-----|------|
ettr e stout an	-|--⌫-⌫----|-|
samainlimist	-|---|-|---|
lonst ampspuis si	---|-⌫---|---|-|
e taseissonsfumissoncors	-⌫||-------|-|--|--|---|
asaintmarc quemonthonora	|----|---|--|---|-----|
quatrefilz demoura	-----|---|------|
d ontch a rambersliaignez fu	-⌫--|--⌫-⌫------|-|-----|-|
quapreslu i	-|----|--⌫|
fra nce feu	---⌫--|--|
cilz luxurieusfuformant	---|--------|-|------|
cilzse liuoirs escriznemant	---|-|-|----|-----|-|---|
safamechasade	-|---|----|-|
sanzplus porauoirle	---|---|--|----|-|
du n echamberierequauoit	|-⌫-⌫|----------|-|----|
t e lz male	-⌫-⌫-|---|
uoulente auoit	-------|----|
tan t e stoitd e lannemipl ains	---⌫|-⌫----|-⌫||-----|--⌫---|
tost m or utetpetitfuplains	---|-⌫--⌫-|-|----|-|-----|
abl aiuesasain t	|--⌫----||----⌫|
romain gis t	-----|---⌫|
l aou maint es d efice mi st	-⌫|-|----|--⌫-⌫----|--⌫-|
maintes rant esy	------|----⌫-||
chi lp ericsonfilz demoura	---⌫--⌫---|--|---|------|
roisfu cestcilzporcui	---|-||--|---|--|--|
etporcui lesa rm on tef i s	-|--|--|-|--⌫--⌫-|-|-⌫-⌫|
geueuilmai nteni r	-|----|---⌫-----⌫|
cou u ie ntauenir	---⌫-⌫--⌫-|-----|
conbi enquemaus	-----⌫----|---|
a homeauaigne	|---|------|
nest paspourceque lec ouuaigne	|--|--|---|-|--|-|-⌫-------|
si conme ci	-|----|-|
d euantdit	-⌫----|--|
chascunsse faitt el zconmeile st	-------|-|---|-⌫--⌫|----|-|-⌫-|
quimalquiertmausesta uen ir	--|--|-----|---|--||---⌫-|
l e co uu e nir	-⌫|--⌫--⌫-⌫--|
pources tro yta iser ecité	---|---⌫|--⌫||-⌫|-|-⌫-----|
oidesauiela uerite	-|-|-|--|-|-----|
fistmaletm alliauint	---|--|-|-⌫-|-|----|
auenir iertmesn	-----|---|--||
ancouu int	-|----⌫--|
tantfucilzroistan r esd efa mes	---|-|---|---|---⌫-⌫-|-⌫|--⌫--|
anre sutpluso rsd ifames	-|--⌫--|-----⌫-|-⌫-----|
troi zfilzotqui pu te fintindren t	----⌫|---|-|--|--⌫-|--|-------⌫|
etquituit a ledem ortuindrent	-|--|---||---|-⌫--|-------|
se tu uiausb ien	-|-|----|-⌫--|
dirasn on cou uient aue n ir	----|-⌫-|---⌫----|---⌫-⌫-|
di rasde cuerqueains i ncie rt	--⌫--|-|---|--|----⌫-⌫-|--⌫-|
malsiln e lequiert	--||-|-⌫|-|-----|
orant andontquei la uint	-|---⌫-|---|--|-⌫|-⌫---|
douroyetp arluiquelz	--|--|-|-⌫-|--|----|
chilper ic roisde francefe u	-------⌫-|---|-|-----|--⌫|
quifilzle roy cha rambertfu	--|---|-|--|---⌫------|-|
quidefrance	--|-|-----|
anduifurent	----|-----|
chilpericmetoitsona roy	--------|-----|--|-⌫--|
ett ouzsesdesirs etsacure	-|-⌫--|--|-----|-|-|---|
desustoute	----|----|
ri en anluxure	--⌫-|-|-----|
plu se ur sf ame s otasauie	---⌫--⌫--⌫|-⌫---⌫|-||-|--|
me silauoit plusgrant anuie	--⌫|-|----|---|----|----|
degrant bi a uteque	-|----|--⌫-⌫--|--|
nequede nullegr antha utece	-|--|-|----|--⌫--|--⌫----|
n e n an creoit homedomonde	-⌫||-|-----|---|-|----|
aseisson sprintil	|-------⌫|----|-|
fre n egonde	---⌫-⌫-----|
unedamedegr ant biaute	--|---|-|--⌫--|-----|
igar da droit	|---⌫-|----|
nel oiaut e	-|-⌫-----⌫|
plesirtant seulemant	-----|---|--------|
celledame iltin tlonguemant	----|---|-|---⌫|---------|
queamfantna nporecouurer	--|-----||-⌫|-|--------|
po rce s an	--⌫|-||-|
uost il deseu rer	---|-|-----⌫--|
etauneaut re	-||--|---⌫-|
etta ntostquerir	-|--⌫----|-----|
l a n uoia	|-⌫-⌫---|
beleet bon egentisetsaig e	---|-|---⌫|-----|-|----⌫|
ha ut ism elignaig e	--⌫--⌫---⌫|-------⌫|
e tgrantt e rretinta n dema ine	-⌫|----|-⌫-⌫--|---|-⌫|----⌫--|
gaso ndes e ur lero ydespaigne	----⌫--|-⌫-⌫-|-|--⌫||-------|
etpro m ist	-|---⌫-⌫--|
q ue sescue rs se roitan limis	-⌫-|--|---⌫-|--⌫---|-|-|--|
ettoutesautres lesseroi t	-|-----|-----|--------⌫|
sitostc ona fa me	-|---|-⌫-||--⌫-|
tant fulegiersq u ilani ura	---|-|------|-⌫|-|-|-⌫--|
q ueiamesna n	-⌫-|----||-⌫|
nedes saisiz il	-|---⌫-----|-|
nano r roit	|-|-⌫-⌫---|
roya umepartiroit	----⌫--|--------|
ansincles nocesfetes	-----|--|----|----|
u ngranttempsfirent ce que du re nt	-⌫|----|----|-----|-|--|--⌫--⌫-|
fredegondequi mont sauoit	---------|--|---|-----|
qui au cuer grant meschie fauoit	--|-|---|----|-------⌫|----|
deseq uell eestoitdessais ie	-|-|-⌫|---⌫|-----|-------⌫-|
fa soitsan blantd	--⌫---|---⌫----||
estreapai sie	----|----⌫--|
deporterauroifeaute	-|-----|-|--|-----|
e t d au oiraucuer loiaut e	-⌫||--⌫--|-|---|------⌫|
lezlaroyneades	--|-|----|---|
et pars am blant m ontlon o ra	-|--|-⌫--⌫----|-⌫--||--⌫-⌫-|
et laroynela	-|-|----|-|
etporsamblantmontsif ioit	-|--|-------|---|||-⌫---|
cel lequio tl e	---⌫-|--|-⌫|-⌫|
cuer marri	---|----|
tandiara uoirsonmari	----||--⌫---|--|---|
quelleleraura	-|---|-|----|
neartnaura	-|--||---|
uniou rfuque	-|---⌫|-|--|
el lea u ro yu i nt	--⌫-|-⌫|--⌫|-⌫-⌫-|
etaun grantsecre	-||-|----|----|
etli distque	-|-|---|--|
poussonssauoit	-------|-----|
des que lslirois m orirdeuoit	--|---⌫-|-|---|-⌫---|-----|
ques afameaparei llié	--|-⌫|---|------⌫----|
c uisoncue r donnéot	-⌫-|--|---⌫|-----|-|
c este auoustire lif asoi t	-⌫---|--------|-|-⌫----⌫|
ettantostmurtr ir	-|------|-----⌫-|
aceuost liroisn ient	|-|---|-|---|-⌫---|
tanto sti lfistsafameprandr e	-----⌫-|-⌫|---|-|---|------⌫|
maltalantisconmesangler	--|-------|----|------|
et tantostlaf iste strangl er	-|------|-|-⌫--|-⌫-------⌫-|
par lecons oil	--|-|----⌫--|
de frenegonde	-|---------|
quita nt sauo it	--|--⌫-|----⌫-|
barateth onte	----|-|-⌫---|
touteuest uedefaussamb lant	----|----⌫-|-|---|----⌫---|
qu i to ute	--⌫|--⌫--|
quelpancoitlirois lap reist	-|-|------|-|---|-|-⌫----|
et qua uequeli lameist	-|-|-⌫----|-|-|----|
f is tpr int	-⌫--⌫|--⌫--|
quiunehau timedame	--|--|---⌫---|---|
dontfredegonde ot	---|---------|-|
m on tmesaise	-⌫--⌫|------|
anso ncueriam esnaraaisse	-|--⌫|---|---⌫-||--|----|
nedecuerio ienefera	-|-|---|--⌫-|-|---|
iusquearr ier	-----|---⌫--|
lirois ac oerema intint	-|---|--⌫---|--⌫-----|
ettantlam aet tantlat int	-|---||--⌫|-|---|-|-⌫--|
qu ilanotyyamf anstozuis	-|-|-|-|-|---⌫--|--|--|
meronnecho debertclou is	------|---⌫-----|----⌫-|
dontl irois grantio ieauoit	---|-⌫|---|----|--⌫-|----|
etfren e gondea des	-|----⌫-⌫----|-⌫--|
a coere q uiroyne iere	-⌫----|-⌫-|----|---|
touteesto itsa con seilliere	----|----⌫-|-|---⌫--------|
faitestoitsequ e liplesoit	---|-----|-|--⌫|-|------|
et t outadesson	-|-⌫--|---|--|
cuer tais oit	---|----⌫--|
pa rsa mblant	--⌫|--⌫-----|
laroynehonora	-|----|-----|
ades aueclidemoura	---|---|-|------|
un iour potchilpericceoir	-|---|--|--------|----|
sonf r ereueoir	--|-⌫-⌫--|----|
child eber tqui estoit anguerre	-----⌫----⌫|--|-----|-|-----|
uers mezaussaynespoursaterre	---|--|--|-----|---|-|----|
l a f ist chilper ic demoree	-⌫|-⌫--|-------⌫-|------|
etlaissa la	-|-----|-|
r oyneadoree	-⌫---|-----|
ancin t efrede gonde	-----⌫-⌫|-----⌫----|
quide trestouz biensestoit	--|-|-------|----|-----|
r oynelitempsuint	-⌫---|-|----|---|
queacouchier illacouuint	--|--------|-|-|------|
dunefillec	|--|----||
est deliu ree	--|-----⌫--|
et lo rslaroynea dor ee	-|--⌫-|-|----|-⌫---⌫-|
quanfr edegondese	-|-|--⌫-------|-|
decuerbonne ma ntlipria	-|---|-----⌫--⌫-|-|---|
parrain set marraignesquerist	-------⌫|-|---------|------|
a cuilamfantteni rfei st	|--||-----|----⌫|---⌫-|
lo rsdi stcell e	--⌫-|--⌫-|----⌫|
royneadoree	----|-----|
s eu rtou tes damesh o noree	-⌫--⌫|---⌫--|----|-⌫-⌫----|
ou pourroieparrains	-|-------|-------|
to i do ie ntaferir	--⌫|--⌫--⌫-|-----|
quidignesoient	--|----|-----|
qui letien	--|-|---|
amfa nt te n ir doient	----⌫-|--⌫-⌫-|-----|
laroynequimal n ant andi	-|----|--|--||---⌫---|
a fr edegondere spondi	|--⌫-------|--⌫-----|
pardieu bautisierlefaudra	--|---|--------|-|-----|
pordieuque re zqu ile tandra	--|---|---⌫--⌫|--⌫|-|-----|
da mecedistla despiss ant	--⌫-|-|---|-|-------⌫--|
nul sisouffisa nt	--|-|--------⌫-|
conmeuous quipor te ́lauez	----|---|--|---⌫--⌫||---|
se u rtouz miax tenirledeue z	--⌫-⌫|---|---|----|-|----⌫|
paruousse radesfonsleuee	--|---|--⌫-|--|---|----|
e t siaura nomadoree	-⌫|-|---|--|-----|
nusnan estdign esseuous no n	--||-|--|----⌫-|-|---|--⌫|
pourc eloq u	---|-⌫|-|-⌫|
el portuostr e non	-|---|-----⌫|--|
lors l aroy ned ebonnere	---|-⌫|---⌫-|-⌫-------|
lidema ndalepuisgefere	-|----⌫--|-|---|-|---|
dist fred egonde oildeuoir	---|----⌫-----|--|-|---|
miauxconsoil nep oue zauoir	----|------|-|-⌫---⌫|----|
plushaut de uo us no n	---|---|-|--⌫-|--⌫|
peut tenir	---|----|
fist lanlamfantuenir	---|--||-----|----|
parcel consoill euesques	--|--|------||-------|
bautisala m er ele t i nt	------|-|-⌫--⌫|-|-⌫-⌫-|
an sinc fu lamf ant bautisié	--⌫---|-||---⌫--|--------|
parfolco nsoil desaui sié	--|--|--⌫----|------⌫---|
apresle ro ysapari s	----|-|--⌫-||----⌫|
afr edeg on de bien souuint	|--⌫----⌫--⌫-|---|------|
de latresgrant descon uen ue	-|-|---|----|------⌫---⌫-|
deuantliroysan est	-----|-|--||-|--|
roisu nefil leauez	---|-⌫-|---⌫-|---|
nulleplu sbell enesauez	----|---⌫|----⌫|-|----|
cui tenu ea fonsa sa mere	--|----⌫||---||-|---|
uostrefameestuostre c onmere	-----|---|--|-----|-⌫-----|
dont iesui striteetdoulante	---|-|---⌫|----|-|-------|
ne cuidiez pas quegeuousmante	-|------|--|--|-|---|----|
quegeleuo us di	--|-|-|--⌫-|-|
toutde uoir	---|-|---|
etdistli roisseile stuoir	-|---|-|---|-|-|-⌫-|---|
a n munli tge	-⌫|--|--⌫|-|
teremetrai	-|-------|
prepospoin tnitra i	-----|----⌫||----⌫|
ro ismonta	--⌫-|----|
oupal ai s	-|---⌫--⌫|
la royneag ranteslais	-|----||-⌫---|-----|
to ut au deuantuenue	--⌫-|-|-----|----|
etdeloialc uer	-|-|----|-⌫--|
distli rois neuous sa lumie	---|-|---|-|---|--⌫-|--|
nestes ma famenemamie	|----|-|---|-||---|
mafameestre plusnep ouez	-|---|----|---|-|-⌫---|
quantm o namfantten u auez	----|-⌫-⌫|-----|---⌫|---|
mauuesesteusuo stres	-----|--|--|--⌫----|
de moi dou	-|--|--|
roy aume e steshors	---⌫---|-⌫---|---|
ten irneuouspu ispar rai s o n	---⌫-|-|---|--⌫-|--|---⌫-⌫-⌫|
tropauezfetgra ntmesprison	---|---|--|---⌫-|--------|
me spourcene	--⌫|---|-|-|
deuezperir	----|----|
lors lirois	---|-|---|
anu oia querir	---⌫--|-----|
leuesquequi lededia	|------|--|-|----|
et an essilill	-|-|----|-||
et sa fameconmeesb aie	-|-|---|----|---⌫--|
ai lmissean	|-⌫|----|-|
etlafilleauequ eli reste	-|-|----|-----⌫|-|----|
tostconsesconsaus l i aprist	---|--|--|------|-⌫|-----|
l iroy s fredegonde reprist	-⌫|---⌫|---------|------|
apre s auintzzpo de t e mp s	----⌫|----|-|-|-|-⌫-⌫--⌫|
quilconman s azzgrantcont ans	-|-|------⌫-⌫|-|----|----⌫--|
et child ebe rtsonfrere	-|-----⌫---⌫-|--|----|
otguerremontanmere	-|-----|---|-----|
chil debe rsquigrant g race auoit	----⌫----⌫-|--|----|-⌫---|----|
honneuretto uzatraiz sau oit	------|-|--⌫-|-----|---⌫--|
tou zles hauzbarons d elaterre	---⌫|--|---|-----|-⌫|-|----|
atraital u i et a saguerre	|----||-⌫-⌫|-||-|-----|
etleroychilper iclaiserent	-|-|--|-------⌫-|--------|
etquanqueporentlaba isserent	-|------|-----||---⌫-------|
childeber s sauoitbiendonner	---------⌫|-----|---|-----|
etbie nprometre etbienmener	-|---⌫|-------|-|---|----|
siquesitou slesatray	-|--|-|---⌫|--|----|
qu euers leroynulzne se	--⌫|---|-|--|---|-|-|
quantil otlepe uple	----|-|-|-|--⌫---|
lors c est contre s on fr e re mis	---||--|-----|-⌫-|--⌫-⌫-|--|
li roysquiform antcestdout ez	-|---|--|----⌫--||--|----⌫-|
s anestd edans tournayantrez	|-|--|-⌫----|------|-----|
etfisttoutes	-|---|-----|
l es portesclorre	-⌫-|-----|-----|
contre sonfrerenepotsorre	-----|--|----|-|--|----|
laf uatournayansarrez	-|-⌫||------|-------|
etbienanclosetb ienbar rez	-|---|-----|-|-⌫--|---⌫--|
op odegent a grant difame	|-⌫|-|---||----|-----|
a uecfred egondesa	-⌫--|----⌫-----|-|
qui m ontsauoita rtetmal ice	--|-⌫--|-----|-⌫-|-|---⌫--|
et tost ont	-|---|--|
pancé z z	-----|-⌫|
g rant uice	-⌫---|---|
ciltroiamfantlezluiesture nt	--|---|-----|--|--|------⌫-|
quifildeadoreefurent	--|--|-|-----|-----|
d ontgeayparlé cideuant	-⌫--|-|-|-----|-|-----|
li roysnesot ar rier n	-|---|-|--|--⌫---||
cons o ilne sot	----⌫-⌫-|-|--|
n esauuemant	-⌫|--------|
quan fred egond e seulemant	-|-|----⌫-----⌫|--------|
e lledist roysne te sm aier	-⌫--|---|---|-||-⌫--⌫---|
laimoimunconsoilessaier	--|--|--|------|------|
carge bien tecons eilleray	--|-|---|-|----⌫-------|
ouuresque ge fer ay	-----|--|-|---⌫-|
li roidist dameor an pancez	-|--|---|---|-|-|-----|
con m an tpui ssion s	---⌫-⌫--⌫|---⌫-----⌫|
est reta nce z	---⌫-|--⌫---⌫|
ahonneurde ceste an hastie	|------|-|----|--⌫-----|
l orss anestlaroyne par tie	-⌫--||-|--|-|----|---⌫--|
quitant sotdemal retenir	--|---|--|-|--|------|
a lifis tdeus	|-|---⌫|---|
uallezuenir	-----|----|
hardizfoxoutr ageus	-----|--|----⌫----|
plainsdemal a rt e t	-----|-|--|-⌫-|-⌫|
de maus geus	-|---|---|
etleurdis tg euousanmerai	-|---|---⌫|-⌫|---|------|
armes bie n uous armeray	----|---⌫|---|------|
si que iariens	-|--|-|----|
n edoute rez	-⌫|-----⌫--|
lafors achildebe rt irez	-|---||--------⌫-|---|
anque lque leu queleuoi ez	-|---⌫---|--|--|-|---⌫-|
lespee ou cor s	|----|-|---⌫|
lianuoie z	-|------⌫|
aluiirez pardroi teti re	|--|---|--|----⌫-|--⌫-|
ansincconpor m e saige	-----|--|--|-⌫-⌫----|
tantostquedeuant lui cerez	------|--|-----|--|----|
despees ouco rsleferez	|-----|-|--⌫-|-|----|
que morssoit etne dem e urtp oint	--|---|---|-|-|---⌫-⌫--|-⌫---|
seuous yes tesmal apoint	-|---||--⌫--|--||----|
pa r co isoiez	--⌫|--⌫|----|
n e p rinsne	-⌫|-⌫---|-|
ge u ousiureetameet	-|-⌫--|---|-|--|-|
etanneur etsante et uie	-|-----|-|----|-|--|
pour uous fonderay abaye	---|---|-------|----|
de m oines	-|-⌫----|
b la nsdemoines	-⌫--⌫-|-|-----|
quetouz icourramesauoirs	--|---||-----|--|-----|
touriorsmespou ruou schanteront	-------|--|---⌫|---⌫|---------|
et tantdeseruisses feront	-|---|-|--------|-----|
q ues anau oiezt uez	-⌫-||-|--⌫---|-⌫--|
que uou smetr o ntanparad is	--|---⌫|----⌫-⌫-|-|-----⌫-|
ains qu e soit	----⌫--⌫|---|
pas séces tuim ois	---⌫--|---⌫--|-⌫--|
an iurdieu etseslois	-|--|---|-|--|---|
ets auien t queschapez soiez	-||-----⌫|-|-------|----|
cha scunsune citeaiez	---⌫----|--|---|---|
cellelori ure	----|--|-⌫--|
etil lacroient	-|-|-|------|
bie n fereilla p roient	---⌫|---|-|-|-⌫-----|
sunt ac heminé	---|--⌫------|
etsiuonttantne qu a nt fi né	-|-|---|---|-|--⌫-⌫-|--⌫--|
iusqu eoutref childe bert sen	-----⌫|-|---|------⌫---||-|
c hascunsse fiert tantost	-⌫------|-|----|------|
et tant ostligloutonprisfurent	-|----⌫--|-|------|---|-----|
pa rius tic esi conme i ls d u rent	--⌫|---⌫---⌫|-|----|-⌫-|-⌫-⌫---|
quanttuitsig rantbaron	----|---|-|-⌫---|----|
lorsouuouloirdo	---|-|------|-|
roysemirent	--|-|-----|
etchescuns quist alapaiz trei re	-|-------|----||-|---|----⌫-|
lir oys printlafameson frer e	-|-⌫--|----|-|---|--|----⌫|
enuneabayelamis t	-|--|----|-|---⌫|
ettout sonauoirpr a n dref ist	-|---|--|----|--⌫-⌫-⌫--|-⌫--|
breneheustladamea uoitnon	---------|-|---|-⌫---|--|
saige etplaine degr ant	----|-|-----|-|--⌫--|
lorsfuchilp eric asseur	---|-|-----⌫---|-----|
etpa nsa estrea uboneur	-|--⌫--|----|-⌫|--|--|
yyfil z ot	-|---⌫|-|
del a bonne	-|-⌫|----|
adoreequifeu sa	-----|--|--|-|
quege cideuantuousdeuis	--|-|-|-----|---|----|
mer onnechodebertcl ouis	---⌫---|--------|--⌫---|
meron nezalau eoir	-----⌫--|--|-⌫---|
e ts anzle	-⌫|-⌫--|-|
c o nsoildesonpere	-⌫-⌫----|-|--|---|
lafame s on oncleala ueoir	-|---|-⌫-|----|--|----|
meronne tantli potceoir	------|---|-|--|----|
quilneui thon n eu rned ifame	-|-|-|--⌫|---⌫-⌫--⌫|-|-⌫----|
que tantostpr istafanme	--|------|--⌫--||----|
l iroismontf ort landespi sa	-⌫|---|---|-⌫--||-|-----⌫-|
etfr edegonde l a tissa	-|--⌫-------||-⌫----|
etdistuostresfi lzuous	-|---|------|--⌫-|---|
seurquiert	---------|
uostrede seritancequiert	-----|--⌫--------|-----|
tantl annortaquil lefistquerre	---||------|-|-|-|---|-----|
etfuoccisanuneguerre	-|-|----|-|--|-----|
les autresde us quidemourere nt	--|-----|--⌫-|--|---------⌫-|
parfredegonde afin alerent	--|---------||--|------|
leur male mortleur consan ti	---|---|---|---|------⌫-|
pourcequ eancinte sesant i	---|-|--⌫|------|-|----⌫|
desyyfil zquelirois	--|-|---⌫|--|-|---|
de a doree que tantanmoit	-|-⌫----|--|---|-----|
par l ifur entt uitmesalé	--|-⌫|---⌫--|-⌫--|------|
a morteta l afinalé	|---|-||-⌫|--|---|
fredego ndemaintmalf asoit	-------⌫--|----|--|-⌫----|
montanma u nfi lqu el le auoit	---|---|-⌫|--⌫|-|--⌫-|----|
pourqueliroya ume sf us tsiensceulz	---|--|-|----⌫---⌫|-⌫--⌫|----|----|
fistelletouzdestrui rece ulz	---|---|---|-------⌫-|--⌫--|
parcoinus ne l	--|--|--|-||
feis tcontrair e	----⌫|--------⌫|
c lo taire	-⌫--⌫----|
nu lplusbel n eseust lan	--⌫|---|--|-⌫|----|--|
pour ioiefist liroisparsa	---|---|---|-|---|--|-|
et pargrant l ees ce de c uer	-|--|----|-⌫---⌫-|-|-⌫--|
trestouzpr isonnier sgi terf eur	-------|--⌫--------⌫|--⌫--|-⌫--|
et trestout esprisonsou urir	-|--------⌫-|------|--⌫---|
ettre stoutparisf ist	-|---⌫----|----|-⌫--|
trestui tprisonni erquitefurent	-------⌫|--------⌫-|----|-----|
po ur qu el cas	--⌫-|--⌫-|--|
quan pris onesturent	-|-|----⌫-|-------|
fredegond e a nfumont	---------⌫|-⌫|-|---|
et pour cenelessaelmie	-|---|-|-|----|-|--|
a sonmalic edemener	|--|-----⌫|------|
me s ad esy	--⌫|--⌫-||
uouloit p ener	------|-⌫---|
liroise stoitsi anchantez	-|---|-⌫----|-|--------|
sonuo uloirf utant ez	--|--⌫----|-⌫|----⌫-|
baronsfist abais sier	-----|---|-----⌫---|
etl eursgranste nemanslai ssier	-|-⌫---|----|--⌫-----|---⌫----|
touzlesgransa pouretemist	---|--|----||------|---|
e tdes garconslessei gneursfist	-⌫|--|------|--|---⌫-----|---|
ch arruierliplusor deuind rent	--⌫------|-|-----|------⌫---|
terresethonneurs tindrent	-----|-|-------|-------|
etparleconsoi l	-|--|-|------⌫|
f redeg onde	-⌫-----⌫---|
q ui sauoitto ut	-⌫-|-----|--⌫-|
lemaldou monde	-|--|--|----|
s e urtouterienle royflatoit	-⌫-⌫-|----|---|-|--|------|
nedesamour p oint	-|-||----|-⌫---|
mesl eheoitcuue rtemant	--|-⌫|----|----⌫------|
anmo ituuertemant	----⌫-|---------|
son c ueranun c onte	--|-⌫--|-|-|-⌫---|
