sechilquilesroma nsont fait	-|---|--|--|----⌫-|--|---|
longe ment lesgardalipr estre	-----⌫---||------|-|--⌫----|
q uelco lor p uetceestre	-⌫--|--⌫--|-⌫--|-|----|
enporroiton	-|------|-|
e scrire letre	-⌫-----|----|
pa ras sailecomence a met r e	--⌫|--⌫--|-|------||---⌫-⌫|
apresl autreletre	----||----|----|
questnoir e	-|--|----⌫|
maisceleresplentquiestor e	---|---|-------|--|--|--⌫|
tote lautre letreenlumin e	---||----|----|-------⌫|
hais ainteuertusde uine	--|-⌫----|-----|--⌫---|
s edete l en ke p lus eusse	-⌫|-|--⌫|--⌫-|-⌫--|----|
conbieaus escrisfaire peusse	--|-----|-----|----|-----|
gracedonee	----|----|
quantil otdite	----|-|-|---|
en s abouchelet ue lboute	-|-⌫|-----|-|-⌫--⌫|----|
le tueluitplaind etel	-|---|--|----|-⌫|--|
si bele co n	-|---|--⌫|
di tel color	|-⌫--|----|
son fain oblieesa	--|---|----||-|
ob liedex lesosteno it	--⌫--|--|-|-------⌫-|
en sa b ouchelenkep re noit	-|-|-⌫----||---|-⌫--⌫---|
sasaliu ede uenoitors	-|-----⌫|--⌫-----|--|
etquante scop iruoloithors	-|----|-⌫----⌫-|-----|---|
sacolorsmuoita d r oit ure	-|-----|----||-⌫-⌫---⌫--|
si c onancois	-|-⌫-|-----|
f uparnature	-⌫|--|-----|
eta les cr ireestoitorsfi ns	-|||--⌫--⌫--|-----|--|--⌫-|
ainsque uenuefust safins	------|----|---|-|---|
lescrit quetantfu	|-----|--|---|-|
loerentdeu	------|--|
tantcon uesquie totduree	---|--|-----|-⌫|-|----|
etdroisf u	-|----|-⌫|
pourlag rant merueille	---|-|-⌫---|--------|
iehansnuit etiorsetraueille	-----|---|-|--|-|--------|
sapuiss anc e	-|-----⌫---⌫|
m oultestpouresas ostenance	-⌫---|--|----|-|-⌫--------|
d e rb esuiuoi tet deracines	|-⌫--⌫-|-----⌫|-|-|------|
mai slesdoucorsquierent	---⌫|--|------|--|----|
mannes bi en	-----|--⌫-|
ensuicer s	-|--|---⌫|
quipeutlepulle enses des sers	--|---|-|----|--|-|---⌫---|
nelo rplot miexquan tle s m an g oien t	-|--⌫|---|---|----⌫|--⌫|-⌫--⌫-⌫----⌫|
que les her besi e hanfeso ient	--|--|---⌫--|-⌫-⌫--|----⌫---|
le saueur i	-|-----||
quiso n amipa snoblioit	--|--⌫|--|--⌫||------|
souen tle fais oit	-----⌫|-|----⌫--|
or lel airaid e lu iester	-|-|-⌫----|-⌫|--⌫|----|
s idira id e lafille a l roi	-⌫|----⌫|-⌫|-|----|-⌫|--|
qui susli m istp arsonde sroi	--|--|-|-⌫--|-⌫-|--|--⌫---|
qu i p arlui otcelenconbrier	--⌫|-⌫-|--|-|--|---------|
pa ssere nttoten tier	--⌫-----⌫-|--|--⌫---|
onkesnepotagesir	----|-|--|-----|
desanteo tmoultgrant desir	-|----|-⌫|----|----|----|
agran tdol oruse sa u ie	|----⌫|---⌫-|--|-|-⌫-|
lamesestan ceotdes eruie	-|--------⌫-|-|---⌫----|
c alsa inthome	|-|--⌫--|---|
sus misauoit	--|--|----|
et nuit et iorsesp o insdeto rt	-|---|-|--|--|-⌫-⌫--|----⌫-|
te l duela	--⌫|---||
apoine s afole	|--|-||----|
lassedolante con fuifole	----|------|--|--|---|
quant iencopailomes a intime	----||------||--|-⌫-⌫-----|
qui sibienertdel	--|-|---|--|--|
roi hautisme	--|-------|
c aroreapert so r masemence	-⌫-|--|----|--⌫|-|------|
lapr ouen ce	-|--⌫----⌫-|
delaparol equ	-|-|-----⌫|-|
il d escrist	-|-⌫------|
enuers les aintcorsiesu	-----|-|-⌫---|---|---|
quantili ssidecestpalais	----|-|-⌫--|-|---|-----|
o ianstrestosetclersetla is	-⌫---|------|-|----|-|--⌫-|
pro ia que groseremansise	---⌫-|--|----|--------|
de cia tantq uelreueise	-|-||---|-⌫-||------|
bien a dex	---||--|
f aitsauo lente	-⌫--|-|--⌫----|
quatreansaiiaencainte esté	-----|--|-|-|-------|----|
lonctans ert mescorsenco nbrés	---|---|--|--|---|----⌫-----|
ca ril estpiecha deuorez	--⌫|-|--|-----|------|
i e lporchacailassecaitiue	-⌫||--------|----|------|
moult sui dolantequesuiuiu e	----|--|------|--|--|---⌫|
s ig r osseest oitapo ine	-⌫|-⌫-⌫---|---⌫--||--⌫|-|
totd isgisoitonques	--|-⌫-|-----|-----|
liroisentelde spitlauoi t	-|---|-|--|--⌫---||----⌫|
kil nel ooitneleu eoit	|-|-||---|-|-|-⌫---|
e nune c h ambre estoitrepuse	-⌫|--|-⌫-⌫----|-----|-----|
enserre ec onme recluse	-------⌫|-⌫---|------|
adesgist enunlit e nue rs e	---|---|-|-|--|-⌫---⌫--⌫|
uneseulefem eico nuers e	--|----|---⌫||--⌫-----⌫|
que lia port esa	--|-|-⌫----⌫|-|
ensilanguist ensi	---|-------|---|
trauail le	-------⌫-|
mal nusnelporroitdire	--|--|-||------|---|
lamortsortote riendesire	-|---|--|---|---|-----|
e ldem oraentelma n iere	-⌫|---⌫--|-|--|--⌫-⌫---|
dexaco m pl ibien la p roiere	--|---⌫-⌫--⌫|---|-|-⌫-----|
deso n amicondroi turiers	-|--⌫|--|--|----⌫------|
setansfugrossetosentiers	--|--|-|-----|--|------|
lilassequ iesten tempest e	-|----|--⌫|--|-|-------⌫|
u ne hautefe ste	-⌫-|----|--⌫--|
cam brelaroine	---⌫--|-|----|
siaraisone lamesci ne	-|-------|-|-----⌫-|
pes meuieaués	---⌫-|--|----|
carmedistes seuoussaués	--|-|-----|-|---|-----|
s eencha in tesestes ou em flee	-⌫|-----⌫--⌫--|----|-|--⌫---|
enaiesté cifle e	-|-|----|-----⌫|
s ouentquantildeuosmenpeske	-⌫----|----|-|-|--||------|
filleporte un ues ke	----|----|-|---⌫-|
qu anti lertné s bienl e gardés	--⌫--|-⌫|--|---⌫|---|-⌫|------|
alapostoile	||--------|
l e rendés	-⌫|------|
sime rampone econtralie	-|-|------||--------|
d amecertesp arm a folie	-⌫--|-----|-⌫-|-⌫|----|
p o rchac ai	-⌫-⌫-----⌫-|
droit seho n te	----|-|--⌫-⌫-|
l e col ai durement	-⌫|--|-|-------|
demonmesfaitdemonpech i e	-|--|------|-|--|----⌫-⌫|
missorlesaint home	--|--|-|----|---|
ilniotcopes	-|||-|----|
cestlas ome	|--|-|-⌫--|
dun danzelfuque	|-|-----|-|--|
pormo n pe requeiou cremoie	--|--⌫|--⌫-|--|--|------|
quene lfesistliureramort	--|-||-----|-----||---|
iohanen encopai atort	----|-|------||---|
granthonteenotesansmesfaire	----|----|-|-||---|-------|
unep roi ereli oi faire	--|-⌫---⌫--|-|-|----|
ade uq uibienest	|--⌫|-⌫-|---|--|
qu ienefuisse	-|-|-|-----|
d eli u ree	-⌫---⌫-⌫--|
reuenistarriere	-------|------|
ia delfruitbele merechie re	-|--|----|---|---|----⌫-|
nieredeliure cestmes sors	|---|------||--|--|---|
si arai ueucel saintcors	-|---|--|--|----|---|
laro ineoile meschief	-|--⌫--|-|-|-------|
pourlemesfaitsengnas onchi ef	---|-|------|-----|-⌫-|---⌫-|
quant ot lepechiedesloial	----|-|-|-----|-------|
f ille p orcoi fesistel	-⌫---|-⌫-|--|----|--|
co reciéas deuesessains	--⌫-----|-|--||--|----|
moultert preudomli chapela ins	----|--|------|-|-------⌫--|
kiatortf ude shonorés	-||---|-⌫|--⌫--------|
piechaestmor s e	-----|--|---⌫||
de uoré s	--⌫-----⌫|
ia maisnuliornele u e rras	--⌫---|--|--|-|-|-⌫-⌫---|
ordicomentdeliuerras	-|-|-----|---------|
qu antsanslui nepuesdesloier	--⌫--|---|--|-|---|-------|
damequiporroit	---|--|------|
serga nsenl	-----⌫-|-||
il itroueroientdes	-||----------|--|
dec e ausquiiluecsont	-|-⌫-⌫--|--|----|---|
ca rassezenia o nmis	--⌫|----|-|||-⌫|--|
totcoillissentemals etbons	--|----------||---|-|---|
se trou és estoi t unsdessuens	-|----⌫--|-----⌫|--|--|----|
on le s feroitlauerensamble	-|--⌫|-----|----|-------|
beuroie cemesa mble	------|-|-|--⌫---|
delaig heuseroitatouciés	-||---⌫-||-----|--------|
undeses osdefi	-|-|--|-|-|-|
de l iure estroiesansdoutance	--⌫-⌫---|------|---|-------|
tesestmafoise macre ance	--|--|-|---||-|---⌫---|
dame o reaiesmercid e moi	---|-⌫-|---|----|-⌫|--|
fille soffres giraialr oi	----|------||---|-|-⌫-|
cest o eurera conter e dire	---|-⌫---|--⌫-----||---|
lada mequilicuerssospire	-|--⌫-|--|-|----|------|
esten plorantalroi u enue	--|-|------|-|--|-⌫---|
liesta spiesch eue	-|--|-⌫|---|--⌫--|
deuanttre stouslespiesli ba ise	-----|---⌫----|--|---|-|--⌫--|
nequidiés miec alroiplaise	-|-------|--||-|--|-----|
leuésfaiti l sus bele a mie	-----|---|-⌫|--|---|-⌫--|
enleuerai m ie	-|------|-⌫-|
sarai un donqueio demant	|---|-|--|--|-|-----|
fer aiuoconmant	---⌫-|-|------|
bienporré s uostreplaisir dire	---|------⌫|-----|------|---|
su ien cer taine beaus doussire	--⌫|-|---⌫----|----|---|---|
oildamecoiqu	--|---|----|
ilmegr ieue	-|-|--⌫---|
laroine a c est motseli eue	-|----||-⌫--|--|-|--⌫--|
apro ismiesestles s oreille	----⌫----||--|--||------|
safille li c onseille	-|----|-|-⌫-------|
sonfo rfaitesafelon ie	--|--⌫----||-|-----⌫-|
ensi conele	---|--|--|
adescouerte	|---------|
dontceleaencor sadeserte	---|---||----|-|------|
porcelu i qui moultdeucremoit	--|----⌫|--|----|--|------|
edefincuerloiall amoit	|-|--|---|----||----|
atortnomale capelain	|---|---|-|-------|
li roisaleuee	-|---||----|
sisestplusdecentfois segn ie ́s	-||--|---|-|---|---|----⌫--⌫-|
las faitilconsui	--|---|-|--|--|
engigniés	---------|
biensai quedexme requerra	---|--|--|--|-|-------|
so n sergant	--⌫|------|
edemandera	|--------|
atort lif is tol ir	|---|-|-⌫-|---⌫-|
la folea lemortdeserui e	-|---||-|---|-------⌫|
que liporchac a sanspardons	--|-|-------⌫|---|------|
a uo i sir eceest me sd ons	-⌫--⌫|---⌫|-|--|--⌫|-⌫--|
dele lasedontp arolci	-|-|---|---|-⌫---|-|
queuos ai é sdelime rci	--|--|--⌫--⌫|-|-|--⌫--|
sedeuplaistne uo usdesdirés	-|--|-----|-|--⌫-|--------|
damefait il et uouslare ́s	---|---|-|-|---||---⌫-|
cesuim oul t	-|--|-⌫---⌫|
ele lipr iedes s e r g ans	--|-|--⌫-|--|-⌫-⌫-⌫-⌫--|
q uiporl esosen lileiron t	-⌫-|--|-⌫-|-|-||--|----⌫|
luiles aporteront	--|--|---------|
qu enfer ezuous	-|-|---⌫-|---|
amiec hiere	---|-⌫----|
eleli contelaproiere	--|-|----|-|------|
que l icapelains fistpar	--|-⌫|--------|---|--|
bienlenoidex	---||-|-|--|
nos tresire	---⌫--|---|
queia maisne deliuerra	--|--⌫---|-|--------|
dec iadont	-|-⌫|----|
k il reu enra	|-|---⌫---|
creance alado len te	------||-|--⌫---⌫-|
qui soffertam aintetourmente	--|------||-⌫----|--------|
s onpoo itrien de lui	|-|---⌫-|---|-|--|
pour lacaitiuedeliurer	---|-|------|-------|
oualcunosquide lui soit	-|----|-|--|-|--|---|
toutmaintenantd el iue rroi t	---|---------|-⌫--⌫---⌫----⌫|
ueu t bien peutau en ir	---⌫|---|---|--⌫--⌫-|
liroisafa i t sergans	-|---||--⌫-⌫|------|
silordistsoncoma ndement	-|--|---|--|----⌫------|
ci lsont arm éisnelement	--⌫|---|---⌫-|---------|
pourdes fendre	---|---⌫-----|
alé e nsontsansplusa t endre	---|-⌫|---|---|---|-⌫-⌫----|
iuscasnes quisunt alariue	---|-|--|--|---||-|---|
de bienfair ecascunsestriue	-|---|----⌫|------|------|
encontre les	-------|--|
bestessaluages	-----|-------|
donttoutestoi t	---|---|-----⌫|
plain libosages	----|-|------|
moult les r edoutentl i se rgant	----|--|-⌫-------|-⌫|--⌫----|
e nuers l illes	-⌫----||---||
enu ontnagan t	-|-⌫--|-----⌫|
por se co rrela damoisele	--|--⌫--⌫--|-|--------|
iehans estoi tdeuants acele	-----|-----⌫|-----|-⌫|---|
silauoitherbeset ra cin es	-|-----|-----|-|--⌫---⌫-|
c exuoitu e nir	-⌫-|---|-⌫-⌫--|
pa r aati nes	--⌫|----⌫--|
d elm esd aubers	|---⌫-||-----|
ap areilliés	--⌫---------|
m oultsestlisainshomme rueilli e ́s	-⌫---||--|-|----|--|--⌫-------⌫-⌫-|
quide q ueleuie gnentdes t ruire	----|-⌫-|-|---⌫----|---⌫-⌫----|
enuerslecielsesdeusm ain s puir e	-----|-|---|--|---|-⌫---⌫|----⌫|
puis dis tdex oié smaproiere	---|---⌫|--|----⌫|-|------|
ciuo iuenirun e g ent	-|--⌫|----|--⌫|-⌫--|
met remeuole ntamartire	---⌫-|-|----⌫-||------|
plaisiri est sire	------||--|---|
qu e m ais	--⌫|-⌫--|
aitde mont empoire	--|-|--|-⌫------|
receue ́sl ameenu ostreg l oire	------⌫-||--|-|-⌫----|-⌫-⌫---|
ia meporronttrouertotprest	-|-|------|-----|--|----|
uosplaisirsiest	--|-------||--|
quep lusniaitde	--|-⌫--|||--|-|
li ca pelainsui nt alriuage	-|--⌫------|--⌫-|-|-----|
encontrecex quiarriu oient	-------|--|--|-----⌫----|
moultses mer ueillentquantleuoient	----||--⌫---⌫-------|----|-|-----|
nese iue ntcon	-|--⌫---⌫-|--|
puistauenir	----|-----|
iehansdist bienpuissié suenir	-----|---|---|--------⌫|----|
plaistuous ciherber giero no s	-----|---|-|------⌫---||--⌫|
sirefont ilquiestes uos	---|---|-|--|----|--|
qui ent re	--|---⌫-|
c esbeste smanés	-⌫-|-----⌫|-----|
segnor faitil ci	-----|---|-|-|
fuimen és	--|---⌫--|
par fauseacoison	--|----|------|
iohanslicapelain sai n on	-----|-|--------⌫|-|-⌫-|
ioha n suiué suos don cbiausmestre	----⌫-⌫|-----⌫|--|---⌫|----|-----|
oil mercial roicelestre	--|----|-|--|-------|
quima done ́	--|||----⌫|
uieetpeutu r e	--|-|-----⌫-⌫|
cil liconterent lauenture	--|-|--------||-------|
sesosfurentuenu	--|-|-----|---|
segnorbienuous estauenu	-----|---|---|--|----|
t oten sam bl e mer enme nrés	-⌫-|--⌫---⌫--⌫|-|-⌫----⌫----|
soffrés un poiiamerare ́s	-------|-|--|-|-|----⌫-|
ilestcorussesliuresp rendre	-|--|----|--|-----|-⌫-----|
puis enreuint	---|-|-----|
sansplusatendre	---|---|------|
enlornace lerecutl	-|--|----⌫-|----||
grantioies en reuont	----|---||-|-----|
tant ont dena gier est riué	---|--|-|--⌫---|---⌫----|
qu ilsunt enl orterr e	-|-|---|-|-⌫-|----⌫|
moultdesirent	----|-------|
que lireiss ac he	--|-|---|-⌫--⌫-|
legai ng qu i l	-|---⌫-|-|-⌫|
ont faitenlor cac he	--|---|-|--|---⌫-|
o nquesen bosnenterre	-⌫----|-|--||-|----|
ne fu f aite si beletrueue	-|-|-⌫---|-|---|-----|
d eusmes sage sauroienuoient	-⌫--|---⌫----⌫|-|--|-------|
etbel pa rler sauoien t	-|--|--⌫---|-------⌫|
c onte ́ liontcom entamainent	-⌫----⌫|-|--|---⌫--|-------|
lesainthomeet	-|----|---|-|
don tioiemain ent	---⌫|---|----⌫--|
sa inet sauf e tp l aindeue rtu	--⌫-|-|---|-⌫|-⌫-⌫--|-|--⌫--|
quantli rois ot	----|-|---|-|
de grantuertu	-|----|----|
bati son pi s	---|--|--⌫|
en repentanc e	-|---------⌫|
crientquedexnen pran geuen gance	-----|--|--||-|----⌫-|---⌫----|
del sortq ue al	--|---|-⌫-|-|
sai nt omefist	---⌫-|--|---|
trest ote la ci tefremist	-----⌫--|-|--⌫-|------|
quantiloiren t	----|-|-----⌫|
la no uele	-|--⌫---|
totblasmerent ladamoi sele	--|---------|-|-----⌫---|
parqu ifu meusli	--|--⌫|-|---|-|
e nco ntreu aa pie li	-⌫---⌫---|-⌫||--|-|
etlaroin eagran t pi te	-|-|----⌫||----⌫|--⌫-|
al entree d e	||-----|-⌫|
e ncontre re n t le capelain	-⌫-------⌫--⌫-⌫|-|-------|
li bonshomaleuésamain	-|---|--||----|-|---|
s esabeneisetsegnie ́s	|-||-----|-|------⌫-|
lirois liestc heusas	-|---|-|--|-⌫---|-|
et la roi nes ageno ille	-|-|---⌫-||-----⌫---|
la faceetlime nt ons	-|---|-|-|--⌫--⌫--|
ca rell eploretenre ment	--⌫|---⌫|----|-----⌫---|
proiedoucemen t	----|--------⌫|
des m alsquefait liont atort	--|-⌫--|--|---|-|--||---|
iehansquidedeuac onfor t	-----|--|-|--||-⌫-----⌫|
l orres p ont a moultsi mplefac e	-⌫-|---⌫-⌫--||----|--⌫---|---⌫|
uouspardoinset	---|-------|-|
deuss i face	---|-⌫|---|
ceporchacalap echerece	-|-------|-|-⌫-------|
ki demoie rt simenterese	-|-|--|-⌫-|-|--------|
e ncordurecisblasmes	-⌫---|---|--|------|
c onduit len o nt	-⌫-----||-|-⌫-|
duscalpalais	---|-|-----|
trestot son empire	------|--|-----|
la damo ise leloidire	-|----⌫---⌫-||-|---|
m oult grantdesir adel	-⌫---|----|----||-||
q uidemer ciauoir	-⌫---|---⌫-|----|
dela dolorquitantest male	-|-|----|--|---|--|---|
aporter se f ait	------|-|-⌫--|
deuantlero ikiestses pere	-----|-|--⌫|-|--|--|---|
ae usamere	|-⌫|-|---|
dehonteetd angois s enoi rci	-|----|-||------⌫-⌫|---⌫--|
belefillecriésme rci	---|----|-----|--⌫--|
homeque il uousu aille	---|--|-|---|-⌫----|
s e s mai nsioint c elequitrauaille	-⌫-⌫|---⌫-|----|-⌫--|--|--------|
p lainsg ete	-⌫----|-⌫--|
dolerous ethaus	-------|-|---|
he capelainsn es etloi ax	-|--------|-⌫-|-|---⌫-|
agr ant to rt	|--⌫--|--⌫-|
uousmiss us larage	---|--|-⌫-|-|---|
oian tmonpe re	----⌫|--|--⌫-|
etsonb arnage	-|--|-⌫-----|
iediquec oup esn i euste s	-|-|--|-⌫---⌫-|||-----⌫|
etquemon pechie	-|--|--|-----|
nese ustes	-|--⌫----|
sire merci	---|----|
de cestelasse	-|----|----|
kiatelduelsauiepasse	-||--|---|-|--|----|
c estdrois que co n perma	|--|----|--|--⌫-⌫--|-|
sainshomot ladolor	----|--|-|-|----|
pitieo tde sa mesestanc e	----|-⌫|-|-|---------⌫|
astu don turai e repentance	-|-|---⌫|----⌫|---------|
oilseiesus me seco r e	--|-|----|-|----⌫-⌫|
laroine depiti eplore	-|----|-|----⌫|----|
agenol su aitform ent ligrieue	|-----⌫|-⌫--|----⌫--|-|-----|
licape lains a mon t	-|----⌫----|-⌫---⌫|
silidi st moult pi teusement	-|-|--⌫-|----|--⌫--------|
qu elelaist son	-|--|----|--|
doulou semen t	------⌫-----⌫|
certesne puis dolor me donte	-----|-|---|----|-|----|
monenf antuo imorira	--|---⌫--|--⌫|----||
plai stsiert reco nfortee	----⌫-||---|----⌫------|
enunecam br e lamene e	-|--|---⌫--⌫|||----⌫|
la lasse quig ra ntdue l demaine	-|----|--|-⌫--⌫-|---⌫|------|
lisain s homla roineenmaine	-|----⌫|--|-|----|-|----|
l uisserraapreslui li	|--|----|----|--|-|
ne laissaforsq ue l ad ameestre	-|-----|---|-⌫-|-⌫|-⌫--|----|
quimoulte rtplaine	--|----|-⌫-|-----|
dameorprionsal creator	---|-|-----|-|------|
qu ilnos confort	-|-|--|------|
proiere e ssau ceetoie	------|-⌫----⌫-|-|--|
de ce queioli uoil re que rre	-|-|--|-|-|---|--⌫---⌫--|
lesdeusgenolsa mis a	--|---|-----||--||
saconmencié	||---------|
ki mou ltfude sainteraison	-|---⌫-|-|-|-----|-----|
biaus s i red expui s que ionas	----|-⌫-⌫-|-⌫-|---⌫-⌫--|----|
delp o isso ngardas	--|-⌫-⌫----⌫|-----|
etmoias ga rdé uerslesbestes	-|--|-|--⌫---|---|--|-----|
quitantpar	--|---|--|
estoient rubest es	-------|------⌫-|
cesteho norm as	----|--⌫--||-|
bie ndoitestrer etrait e	---⌫|---|----|-⌫------⌫|
or teproidecesteesga ree	-|-|---|-|----|----⌫--|
que i usq uesoreas enserree	--|-⌫---⌫--|--|-|-------|
deliure le par ta poissanc e	------|-|--|-|--------⌫|
re nt moile fruitdetel samblance	--⌫-|--|-|----|-|--|--------|
con ilafer istaltermine	--|-|----⌫--|-|------|
ila segniélamescine	-||------|-|------|
q ui endolora mesmainti or	-⌫-|-|----||--|----|-⌫-|
ot p lusdeso i or	-|-⌫--|-|--⌫-⌫-|
mais main te nan t tot adeliure	---|----⌫--⌫---⌫|--||------|
dunenf antmalle sedeliur e	|-|---⌫--|----|-|------⌫|
siformé co medeset	-|-----|--⌫-|-|--|
de tesparolesc ond	-|--|------|-⌫-||
onquesnul iord esoneage	-----|--|--|-⌫|--|---|
plusbel ec re ature	---|---⌫|-⌫--⌫----|
de li ureest de s aporteure	--⌫--⌫--|--|-|-⌫|-------|
s ainese lie ueisnelement	-⌫---|-|---⌫-|---------|
ladan zele nulmalnes ent	-|---⌫---|--|--|-|-⌫--|
le sainthom ea ertpar les pies	-|----|---⌫|-⌫--|--|--|---|
quiat erre e rt agenoi lliés	--||-⌫---|-⌫-|------⌫-----|
sain e suietp oin tne megr ieu e	----⌫|--|-|-⌫---⌫|-|-|--⌫---⌫|
i ehanslica pe lain s s e lieue	-⌫----|-|--⌫--⌫----⌫|-⌫|----|
l enfanconqui	|-------|--|
silap lanie silacole	-||--⌫----|-||----|
tan tostlirequi stcilba ptesme	---⌫---|-|-----⌫-|--|--⌫-----|
e tlesaint oile	-⌫|-|----|---|
etlesaint cresm e	-|-|----|-----⌫|
tantostl enfantbaptisa	------||-----|------|
etd elcapelainot lenom	-|-⌫-|-------|-|-|--|
deuloenttotde celm i racle	--|----|--|-|--|-⌫-⌫----|
quedexafa it dece st	--|--||--⌫-|-|--⌫-|
liroi slonoreet si princier	-|---⌫||----|-|-|-------|
et liautres	-|-|-----|
pules l achie r	----|||----⌫|
sesliu resmisala ca pele	--|---⌫--|--||-|--⌫---|
fu lano uele	-|-|--⌫---|
sesliure stotdor escrist	--|-----⌫|--||-|------|
etquensabouchedes tempré	-|-|-|-|-----|---⌫------|
parmiracle deu	--|------|--|
etpuis bouced orl ap elerent	-|---|----||-||--⌫------|
porsa sainte con uersion	--|-|-----|---⌫------|
sai nsiehanbouce	---⌫-|----|----|
sa uiefunete	-|--|-|---|
etsaint i sme	-|-----⌫-⌫--|
puisplo tadeuler oi h autisme	---|---⌫||--|-|-⌫-|-⌫------|
ueske delac ite	----|-|-|-⌫--|
de sau ie uosai	-|-|-⌫-|--|-|
et qua ntfiné fu li	-|---⌫-|----|-|-|
orisonfist alroi c elest re	-----|---|-|--|-⌫-----⌫-|
quefem es quienfansportoient	--|---⌫-|--|-----|--------|
s al or besoinglere clamoient	||-⌫-|------|-|--⌫--------|
q ue lenfesmo rtnereceust	-⌫-||----|--⌫-|-|------|
deuan tquenfo ns baptisi és	-----⌫|-|-|--⌫-|-------⌫--|
e tla mereaho nor uesquis t	-⌫|-|---||--⌫--|-------⌫|
dexlidona cequ ilrequist	--|-|---|-|-|-|------|
tenir lendoiton en memoire	----||-|---|-|-|------|
porrenau t quia	--|-----⌫|--||
faitl est oire	---||---⌫---|
enr omans s icor toisement	-|-⌫----|-⌫|---⌫--------|
dep rionsdeu	---⌫----|--|
omnipotent	---------|
lesegnordonttosbiensestfai s	-|-----|---|--|----|--|---⌫|
queilnospa rdoinstnosmesfais	--|-|--|--⌫------|--|------|
e t otroitdroite	-⌫|-----|-----|
sico n c ilque st de	-|--⌫|-⌫-|-|-⌫-|-|
tel poissan ce	--|-------⌫-|
etquiconques esc ritelait	-|---------|---⌫---||--|
foietplente detosbiensa it	--|-|-----|-|--|----|-⌫-|
et siaitpermanable ui e	-|-|--|---------|--⌫|
cascu nsendie	-----⌫-|-|--|
