libonsroysartus de	-|---|---|----|-|
ui t antseur lepina massés	-|-⌫--|---|-|--|-⌫------|
oysiauss estquicroirem	------||--|--|-----||
qu il n iparoit branche	-|-|||-----|------|
nef uel le	-|-⌫---⌫-|
q uetout n e fust couuertd	-⌫-|---|-⌫|---|------||
sen est oitli arbresplus biau s	|-|---⌫--|-|-----|---|----⌫|
ettrestuitlioisel ch antoien t	-|-------|-|----|--⌫-------⌫|
siquet restuitsentraco rdoient	-|--|-⌫------||-------⌫------|
m aisdiue rschanschan toit	-⌫--|----⌫-|----|----⌫---|
conqueschequecantoit liun s	|-----|--|--|------|-|--⌫|
a lau trecanter	||--⌫--|-----|
delor ioieme	-|--|---|-|
i escoutaitantquilor entfait	|-------|-----|-|--⌫--|---|
lorseruiche tre stoutatrait	--|-------|---⌫----||----|
ainsma i sn ois ibeleioie	---|--⌫-⌫||-|-⌫|---|---|
ne maisne cui t qu e nushom	-|---|-|---⌫|--⌫|--|--|
uaoirchelui	-|--|-----|
que tantme	--|---|-|
pleutetenbeli	----|-|-----|
queie m edui	--|-|-⌫|--|
pourfoltenir	---|--|----|
tan tyfuiqueioi uenir	---⌫||--|--||-|----|
cheuali ersche mefuauis	-------⌫--|--|-|-|---|
bien cuidaiqueil	---|-----|--|-|
fussent dis	------|--|
tel noiset el fraint demenoit	--|----|-⌫-|-----|-------|
unzs euzcheual iersqui	--|-⌫--|------⌫---|--|
q uantieleui toutseul	-⌫---|-|-|-|---|---|
mo ncheualrestrai nsmaintenant	--⌫|-----|-------⌫-|---------|
n aumonter	|-|-----|
demeure ne fis	------|-|--|
et chilme uin t	-|---|-|---⌫|
ma l talentis	--⌫-⌫-------|
pl us tostcunsdrois	--⌫-|---||--|----|
f ie rspar sa mblant co mmelions	-⌫--⌫-|--|--⌫-----|--⌫--|----|
d esi ha ut	-⌫|-|--⌫-|
commeilpotcr ier	----|-|--|--⌫--|
mecomm enchaadeffier	-|----⌫----||------|
uassausmout mauésfait	------|---||----|---|
sans def fianche ho nte	---|---⌫------|--⌫--|
deffie r medeussiésuous	------⌫|-|--------|---|
s ileustquere leentrenous	|-|---|-----⌫-|----|---|
ouaumainsdroiturereque rre	-|-|----|-------|-----⌫--|
ainsque u ousmem eussiésguerre	------|-⌫--|-|-⌫-------|-----|
mais sepuissireua ssaus	---|-|---|---|--⌫----|
seuruousenremainrali maus	---|---|-|-------|-|---|
du d a magequie st	-|-⌫-⌫---|--|-⌫-|
enuiro n moiest	------⌫|--|--|
d e mon bosquiestabat u s	-⌫|--|--|--|--|----⌫-⌫|
plaindre sedoitqui est b atus	-------|-|---|--|--|-⌫---|
etie mep laing si airaison	-|-|-|-⌫----|-|-|-----|
auésdemamaison	----|-|-|-----|
i ete ́afoudr e setapluye	-⌫---⌫||-----⌫-⌫|-||----|
faitm auéschosequi manu ie	---||----|----|--||---⌫-|
et de haitait	-|--⌫---|--|
qui che estb e l	--|--|--|-⌫-⌫|
quenmenboisete nmonc h a stel	-|-|--|---|-|-⌫|--|-⌫-⌫-⌫---|
maués orefait t el outrage	|----|--|---|-⌫-|------|
qu emes tie rnemeusta ye	--⌫|---⌫---⌫|-||---|-⌫-|
d om me snedarmes	|--⌫--⌫|-||----|
onquesn iot	-----|||-|
hommeasseur	----|-----|
enfor t elechequiy f ust	-|---⌫-⌫-----|--||-⌫--|
de dure pie rrene defus t	-|---|---⌫--|-|-|---⌫|
mais sachiésbi enqued esormais	---|-------|--⌫-|--|-⌫-------|
n arésde moitr ieues n ep ais	|----|-|--|--⌫----|-⌫|-⌫--|
achest mot	|----|--|
n o usentre uenismes	-⌫-⌫-|-----⌫-------|
leses cus en brachi és	--|--⌫--|--⌫------⌫--|
sisecouuri chas c unsdu sien	-|-|-----|----⌫-⌫--|-|---|
licheualiersot cheualboi n	-|---------|-|-----|---⌫|
lanchedr o i t eetfu san sdo ute	-----|--⌫-⌫-⌫-⌫|-|-|---⌫|--⌫--|
plus gr antde moilatest e toute	---|--⌫--|-|--|-|----⌫|----|
ai nsidutouta meschi ef fui	--⌫--|-|---||------⌫-|--|
que iefui plus	--|-|--|---|
petit de l ui	----|-|-⌫-|
et s es cheu ausplusfo rsdu mi en	-|-⌫-|----⌫--|---|--⌫-|-|--⌫-|
parmi leuoir ches aichié s	----|-|---|--|-⌫-------⌫|
menuois p ou rma	|-|---|-⌫--⌫|-|
h ontecouuri r	-⌫---|------⌫|
sigrantcopcomiepoiferir	-|----|--|--|-|--|----|
lid on a i conquesnem	-|-⌫--⌫-⌫||-----|-||
elcombledel escul ata ins	-|-----|-||---||---⌫--|
simis trestoutema puissanche	||--|--------|-|---------|
siquen piechesuolama	-|-|-|------|---|-|
etla soie remainstentiere	-|-|---|-------|------|
qu elenestoit miel egiere	-|--||-----|--|-⌫-----|
ainsiertplus	---|---|---|
grosseaum i en quidier	-----|-|-⌫-⌫-|------|
quenulelanc heacheua lier	--|---|----⌫-||-----⌫---|
cainss i gros se n ulenenui	|---|-⌫|----⌫-|-⌫--||-|-|
etli cheua lier s m enferi	-|-|-----⌫----⌫||-|---|
s iroidement queduche ual	-⌫|--------|--|-|---⌫--|
parmilacrup e ducheual	----|-|----⌫|-|-----|
memist a letere tout plat	-|---||-|---|---|---|
sime laissaho nteus et mat	-|-|-----|--⌫----|-|--|
queonqu esnem eregarda	--|----⌫-|-|-⌫|------|
moncheua lpr inst et	--|-----⌫|--⌫---|-|
m oyla iss a	-⌫-|--⌫---⌫|
si semistariere al a uoie	-|-|---|-----||-⌫|---|
etiequimonroyn isauoie	-|-|--|--|--|||-----|
remes angousseus et pensis	----|---------|-|-----|
de les lefontaine m assis	--⌫--|-|-------||----|
un petitsime reposai	-|----|-|-|------|
lecheual ier	-|------⌫--|
siresongn a i	-|-------⌫-⌫|
quefolie fairedou ta iss e	--|----|----|---⌫--⌫---⌫|
se apresl ui	-|----|-⌫-|
tantostala isse	------|---⌫---|
a presto st nesoi qu ilde uint	-⌫---|--⌫-|-|--|-|-|--⌫---|
e nlafinuolente sme uint	-⌫|-|--|-------⌫|-|---|
quamonhostecouuen ttenroie	-||--|----|------⌫|------|
etq uepa rlui	-|-⌫-|--⌫|--|
ain si meplo tainsi lefis	---⌫-|-|---⌫|----|-|--|
m aismesarmestout esius mis	-⌫--|--|----|----⌫-|--|--|
p ourale r	-⌫--|---⌫|
plus legie rement	---|-----⌫-----|
sim enreuing honteusement	-||-|-----|-----------|
quantieuing	----|-|---|
toutdro it a lo st el	---|---⌫-|||-⌫--⌫-|
si trouuai mon ho st eautel	-|------|--|--⌫--⌫|----|
aussili e etaus siioiant	----|--⌫|-|---⌫-|-----|
commeiauo ie	----||---⌫-|
faitdeuant	---|-----|
onquesderiensnemapr e chui	-----|-|----|-||---⌫-⌫---|
nedesa f ill e n e de lui	-|-|-|-⌫---⌫|-⌫|-|--|
u olentiersm e ueissen t	-⌫--------|-⌫|-------⌫|
nequemondeson norfeisse nt	-|--|--|-----⌫--|------⌫-|
nequilauoientfait	-|-|-|------|---|
l aut renuit	|---⌫-|---|
granthonnormepor teren ttuit	----|-----|-|---⌫-----⌫|---|
l es lorsmerchisenla maison	-⌫-|---|------|-|-|-----|
etdis oientconq ue smais	-|---⌫----||---⌫--⌫|---|
n iertesc apés que ilseu sse nt	|---|---⌫----|--|-|---⌫---⌫-|
nequiloydireleussent	-|-|-|-|---||------|
deladontiestoieuenus	-|-|---||-----|----|
quen i fu st prins	--|||--⌫-|----|
e treten us	-⌫|-----⌫-|
ai nsi a la yainsi reuing	--⌫--|-⌫--⌫|----|-----|
a u re uenirp our	-⌫|--⌫----|-⌫--|
ainsi uous contecommefo x	----|---|----|----|--⌫|
et conquesmais co nterneuox	-||-----|---|--⌫---|-|--|
parmonchiefdist	--|--|----|---|
mesireyuai n s	-|---|----⌫-⌫|
uousestesmes cousins g erm ain s	---|----|--|------|-⌫---⌫---⌫|
sino us deuons	-|--⌫-|-----|
moutentramer	---|-------|
maisde che	---|-|--|
uouspuisfol cla mer	---|---|--|---⌫--|
q ueu ou s le	-⌫-|-⌫--⌫|-|
maués tantchelé	|----|---|-----|
seieuo us ay	-|-|--⌫-|-|
fol apele ́	--|-----⌫|
ieuousp riq uilne uous en	-|---|-⌫-|-⌫|-|-|---|-|
puis etilmeloist	---|-|-|-|----|
g irai uostr ehonteuengier	|---|-----⌫|----|------|
bienpertqu il e st	---|---|-|-|-⌫-|
ap res mengier	--⌫--|------|
fistkeusquitairenese pot	---|---|--|----|-|-|--|
p l usa paroles enplainpot	-⌫-⌫-||------|-|----|--|
qu en z zmuyde	-|-|-⌫|--|-|
cheruois e	--------⌫|
ondi t quechat saouss	-|--⌫|--|---|----||
apre smengier sansrem uer	----⌫|------|---|---⌫--|
et puischascunssi ueut	-|---|-------|-|---|
et uousirésuengierforre	-|---|----|------|----|
sontuost re penelenbouré	---|----⌫-|----|-------|
et uoscha us se sd e ferfroye s	-|--|---⌫--⌫--⌫|-⌫|--|-----⌫|
etuos baniere sdesployes	-|--|-------⌫|--------|
ortostpo urdieu mesi reyuains	-|---|--⌫-|---|-|--⌫-|-----|
mouu résuousanuit	----⌫---|---|----|
oude mains	-|--⌫----|
fa ites lenoussa uo irbiausire	--⌫---|-|---|--⌫--⌫-|---|---|
qu ant uous irés a	--⌫--|---|----||
chest martire	----|------|
que nousuousuaurrons	--|---|---|-------|
niarapreuo st	||--|-----⌫-|
quiuolentiersn euousc o nuoit	--|---------|-⌫|---|-⌫-⌫----|
mai s i e uouspr i commentqu	---⌫|-⌫|---|--⌫|--------|
n enale ́spa ssensno s	|-|---⌫-|--⌫|---|--⌫|
etse uo us	-|-|--⌫-|
anuitpointsong iés	----|----|----⌫---|
maluaiss onges i remanés	------|-⌫---|-⌫|-------|
diables estes	------|----|
u ousfo rsené s	-⌫--|--⌫------⌫|
me sir ekeusfaitl aro yne	-|---⌫|---|---|-⌫|--⌫--|
qu euostrelangu eonquesne fine	--⌫|-----|-----⌫|-----|-|---|
lauostrel anguesoi t honn ie	-|-----|-⌫----|---⌫|----⌫-|
qui tantestes quemenie	--|---|--|--⌫-------|
chertes uostrelangue uousfait	------|-----|-----|---|---|
lepis quee lepue tsifai t	-|--|--|-⌫-|---⌫|-|---⌫|
chascu ns sid itquiconqu esl	------⌫-|-|-⌫-|--------⌫-||
chest lelangu equia i nsnerecroit	-|--|-|-----⌫|--|-⌫-⌫-|-|------|
dire s oit ma lo ite	---|-⌫--|--⌫--⌫--|
lauostrelangu esi esploite	-|-----|-----⌫|-|-------|
queleuou s faitpa rtouthair	-|--|---⌫|---|--⌫----|---|
pisneuo us pueteletra i r	--|-|--⌫-|---|--|---⌫-⌫|
b iensa chiés ielapel eroie	-⌫--|--⌫-----|-||----⌫----|
de trayson s eleestoit	-|------||--|-----|
h omm equen nepuet	-⌫---⌫|-|-|-|---|
d euroit o na umo ustierli e r	-⌫-----|-⌫|-⌫|--⌫-----|--⌫-⌫|
clamercomme pro unes	-----|----|---⌫---|
chertesd ame	------|-⌫--|
de se s ram pozn es	-|--⌫|---⌫----⌫-|
faitmesireyuai ns ne	---|-|---|----⌫-|-|
tantpuet ettantsetet	---|---|-|---|--|-|
tant ua ut	---|--⌫-|
mesire keusen	-|---|---|-|
toutesco urs	-----|--⌫--|
queil niert iamuyausnesours	--|-||---|-|-----|-|----|
biensetenco ntr e uil e n ie	---|--|----⌫---⌫|---⌫-⌫-⌫-|
respo n dre sensetcou r toi sie	-----⌫-⌫--|---|-|---⌫-⌫---⌫--|
si nefist onques a utrema n t	-|-|---|-----|-⌫------⌫-⌫|
uou sseieme nt	---⌫|-|-|--⌫-|
maisiena icurede	---|-||-⌫|---|-|
nedemellee	-|-|-----|
comm e nchier	----⌫-⌫-----|
que chi lnef ai t	--|---⌫|-|-⌫--⌫|
paslemelle e	--|-|-----⌫|
lapremiere colee	-|-------|----|
f aitch il qui sereuenge	-⌫--|--⌫-|--|-|------|
b ien tenc h eroi t	-⌫--|----⌫-⌫----⌫|
aune strange	|-|-⌫------|
quiramposnesoncompaignon	--|-------|--|---------|
passambler l egua ignon	--|------|-⌫|---⌫----|
quise h e richeetregrigne	--|-|-⌫-⌫----|-|-------|
qu antz zautr e	--⌫--|-⌫|----⌫|
mastinlereki ngne	-----|-|----⌫---|
quequei l parloientainsi	-----|-⌫|--------|----|
liro ishorsdesa cam bre issi	-|--⌫-|---|-|-|---⌫--|---|
l iotfa itlon gue demeure	-⌫|-|--⌫-|---⌫--|------|
c arildormiius quachele heure	-⌫-|-|----|---⌫-||----|----|
etlibaro n quantilleuire nt	-|-|----⌫|----|-|-|----⌫-|
tu it en pies contrelisa l irent	--⌫-|-|---|-----|-|--⌫-⌫----|
etiltostrasseir	-|-|---|------|
de le slaroynesassist	--⌫--⌫|-|----||-----|
etlaroynema intenant	-|-|----|--⌫-------|
lesnouuel es calogrenant	--|------⌫-|----------|
lirecontetout mot	-|------|---|--|
etbel conterlisot	-|--|-----|-|--|
lirois l e si oiuo l entiers	-|---|-⌫-⌫|-⌫-|--⌫-⌫------|
et fisttroisserem en sentie r s	-|---|----|-----⌫--⌫|-----⌫-⌫|
l amedepandrag onson pere	|--|-|-------⌫-|--|---|
et l asonfil	-|-⌫|--|--|
etlasonfre re	-|-|--|---⌫-|
qu iliroit ueoirlaf ontaine	-|-|----|----|-|-⌫------|
ia ainzn ep asser oit qu inzai ne	-|---|-⌫|-⌫-----⌫--|--⌫-----⌫-|
etle tempest eetle mer ueille	-|-|-------⌫|-|-|---⌫-----|
siqueily uenrala	-|--|-||----|-|
monseig neu r sain t iehanbaptist e	--|----⌫---⌫|----⌫|----|-------⌫|
pren d ral anuit	----⌫-⌫-|-⌫|---|
tuit chilquialer	---|---|--|---|
yuaur ront	|----⌫---|
d e cheque li rois	-⌫|--|--|-|---|
toutelacoursmiex	----|-|----|---|
le m prisa	|-⌫|----|
carm out y	--|-⌫--||
uoloientaler	-------|---|
libaron etli bacheler	-|----|-|-|-------|
maisquique n soitlies	---|----|-⌫|---|---|
m esireyuains	-⌫|---|-----|
enfudo lans	-|-|--⌫---|
quidoitalertous	------|---|---|
s enfudolansetangousseus	|-|-|-----|-|---------|
duroiqu ialer	-|--|--⌫|---|
seulement lig reuo it	--------|-|-⌫----⌫-|
quil sauo i t	-|-|----⌫-⌫|
bienque lab atai lle	---|--|-|-⌫----⌫--|
aroitme sireli	----|-|---|-|
roissansfa il le	---|---|--⌫--⌫-|
a insqueil	-⌫-----|-|
si le r equeroit	-|-|-⌫-------|
ia ueéneli seroit	-|---|-|-|-----|
o umes ire	-⌫|-|-⌫--|
gauuain s meismes	-------⌫|------|
es p oirledeman deraprimes	--⌫-⌫--|-|-----⌫---|-----|
senusdeches yy larequiert	-|--|-|---|-|-|-------|
iacontredite	-|---------|
maisil nelesat endramie	---|-|-|--|--⌫----|--|
q uilsoi g nedel orcompagnie	-⌫|-|---⌫-⌫-|-|-⌫-|--------|
enyratousseusso nueul	-|--|---|---|--⌫|---|
et qu iqueremaingnea seiour	-|--⌫---|--------||-----|
ily ueutalerains tierzio ur	-||---|---|---|----|--⌫-|
e nbroc helia n deetquerra	-⌫|----⌫-----⌫-⌫-|-|-----|
se il pu ett an tquil trouuera	-|-|--⌫-|-⌫--⌫--|-|-------|
lestroitsentierle chem in	|------|------|-|----⌫-|
et lalandeetle	-|-|----|-|-|
maiso nfort	-----⌫|---|
etlesoul as e tledepo rt	-|-|----⌫-|-⌫|-|----⌫-|
del acourtoisedamoisel e	-|-⌫|--------|--------⌫|
quitantes ta uenans etbele	--|---|--⌫|-⌫-----|-|---|
etleprodonssauoie apri nze	-|-|------|-----|----⌫--|
quienhoneur fairesesille	--|-|-----|----||-----|
ta ntest fransetde boi ne	--⌫-|--|----|-|-|---⌫-|
pu isuenral e	--⌫-|----|-⌫|
corsenlessart	---|-||-----|
grantuilainq uilesgarde	----|-----|-⌫-|--|----|
l i ueoirslidemeureetta rde	-⌫|-----|-|------|-|--⌫--|
duuila in quita n tp arestlais	-|----⌫-|--|--⌫-⌫|-⌫-|--|---|
grans ethideu s et contrefais	----|-|-----⌫|-|---------|
et noirsaguisede fer ron	-|----||----|-|---⌫--|
pu is uenrasipuetle perron	--⌫-|----|||---|-|-----|
etlef ontaine etle	-|-|-⌫------|-|-|
et lesoysiaus deseurlep in	-|--|------|-----|-|-⌫-|
si feraplouuoir etuente r	-|---|-------|-|-----⌫|
maisi l nes	---|-⌫|-||
enqu ie rtia	-|--⌫--⌫-|-|
neiasonueulianesaura	-|-|--|---|-|-|----|
iuquestantqueil yara	-----|------|-||--|
grantho nteougranthoneureue	----|--⌫--|-|----|-----|--|
pui s sisoitlachoseseue	---⌫|-|---|-|----|---|
ist delacour tsemble	--|-|-|----⌫||----|
si q ue nulh om men	-|-⌫-|--|-⌫--⌫-||
m ais seusuerssonhos t els enua	-⌫--|---|---|--|---⌫-⌫-||-|-|
toutesamaisnie	----|-|------|
siquemand emetre	-|-------⌫|----|
uns ie nesquier y apele	-|-⌫--⌫|------||----|
cuiilne chel oit nul e rien	--|-|-|----⌫--|---⌫|---|
diuafa itil a presmoiuie n	---|--⌫-|-|-⌫---|--|---⌫|
lafo rsetmes armesme	-|--⌫-|-|--|----|-|
ie men ystrai	-||-|-----|
par ch eleporte	--|--⌫--|----|
m e c ouuien tm outloin s irrer	-⌫|-⌫------⌫|-⌫--|----⌫|----|
cheualfa i ense ler	-----|--⌫|----⌫--|
s il am aineto stap res	-⌫||--⌫---|--⌫-|--⌫--|
etramanrasmonpalefroy	-|-------|--|-------|
mai s gar d e	---⌫|---⌫-⌫|
bien ietecommant	---|-|-|------|
q uenul quidemoitedemant	-⌫-|--|--|-|--|-|-----|
quela nouue lene l e n	--|-|-----⌫-|-||-⌫|
setu enmoiderienste fies	-|-|-|--|-|----|-|---|
iamartifiroie s	-|--|||------⌫|
sirefaitil orenestpais	---|---|-|-|-|--|---|
que iaparmoy	--|-|--|--|
nul nesara	--|-|---|
ale ́s quar ieuoussieurrai ia	---⌫-|---|-|---|-------|-|
yuainsmaintenantmonte	-----|---------|----|
uengerasilpue t lah onte	------||-|---⌫|-|-⌫---|
soncousinainsqueil retou rt	--|-----|------|-|-----⌫-|
liesqui ersas	-|-----⌫--|-|
armes kourt	----|----|
et aucheual si monta	-|-|-----|-|----|
quede demoure r	--|-|-------⌫|
faloitnefersne	-----|-|---|-|
sonseigneur fuitparmiles	--|-------|---|----|--|
tantqueiluit descendu	------|-|--|-------|
quillauoit	-|-||----|
zzpoi atendu	-|--|-----|
loins ducheminen	----|-|-----|-|
zzdes tou r	-|---⌫---⌫|
tout s on harnoiset	---|-⌫-|------|-|
otaportési latourn a	-|------|-||------⌫|
yua insneseio ur na	---⌫--|-|----⌫--⌫-|
puiscarm és	----|---⌫--|
fu netantnequant	-|-|---|-|----|
a nchoiserrachascun iour	-⌫-----|---|------|---|
parm ontaignesetpar ualees	--|-⌫--------|-|--|-----|
et parfo reslongueset	-|--|--⌫--|------|-|
pa rlieu s es trangesetsauuages	--⌫|----⌫|--⌫------|-|-------|
sipa ssa main t	-|--⌫--|----⌫|
felo n spa ssa ges	----⌫-⌫|--⌫---⌫--|
et maintperil zetma intd estroit	-|----|-----⌫|-|--⌫--|-⌫------|
tantqu iluitlesent iere troi t	-----|-|--|-|----⌫--|-⌫----⌫|
plai nsde ronc esetdoscurtes	----⌫-|-|----⌫-|-||-------|
etlorsfuil ass eurés	-|---|-|-|---⌫-----|
qu ilneporroitm a isesgarer	-|-|-|------|-⌫-⌫-|------|
lors commencha	---|--------|
f ort ae srer	-⌫--||-⌫---|
nelichautmais forsque iluoie	-|-|----|---|------|-|---|
fontain eombroie	-------⌫|------|
etleperron et latourmente	-|-|-----|-|-|--------|
quitonnee tp l u yeet uenteetgr aille	--|----|-⌫|-⌫-⌫-⌫-|-|----|-|--⌫----|
la nu i t outche	-|--⌫-⌫|--|--|
poéssauoir	----|-----|
tel h ostel	--|-⌫----|
car plu sde	--|---⌫|-|
plusdonnour	---||-----|
t rouua assesel uauassour	-⌫----|----|-|--------|
que li otconténe d ite	--|-|-|-----|-|-⌫--|
et enlapuchelereuit	-|-|-|------|----|
de sens et debiau te chenttans	-|---|-|-|----⌫-|----|---|
q ue n otcontéc alogrenans	-⌫-||-|-----|-⌫---------|
q uenn epuetpas	-⌫|-|-⌫|---|--|
direlasomm e	---|-|----⌫|
deboinedam e	-|----|---⌫|
etd ep rodomme	-|-⌫|-⌫------|
qua n t ilsatou rnea gran tbo n te	---⌫-⌫|-||----⌫--||----⌫|--⌫-⌫-|
ian ierttoutditne toutconté	-||---|---|--|-|---|-----|
quelangueneporroitret rai re	--|-----|-|------|---⌫---⌫-|
tant donneur que p rodonss etfair e	---||-----|--|-⌫-----|-⌫-|----⌫|
mesire yuainschelenuit	-|---|-----|----|---|
moutboin hosteletmo utl ipl ot	---|---|-----|-|--⌫-|-⌫|--⌫-|
etquant cheuinta	-|----|--|---||
l ende ma in	|----⌫--⌫-|
si uitcestorse tleuila in	-|--|--|---|-⌫|-|----⌫-|
qui la uoieli enseigna	--|-|---|-|-------|
mai splu sdeyyfois	---⌫|---⌫|-|-|---|
delamerueille queilot	-|-|--------|--|-|-|
comme nt n ature fairesot	-----⌫-|-⌫----|----|--|
oeure s ilaideetsi uilaine	----|-⌫|----|-|-|------|
puise rradusque ala fon taine	---|-⌫--|-----||-|---⌫----|
siu itquanquesil	-|-⌫-|-------|-|
sansarrestere t	---|-------|-⌫|
sansseo ir	---|---⌫-|
u ers a seur	-⌫---⌫|---|
l ep err ondeplai n	-⌫|-⌫---⌫-|-|----⌫|
del yauel e bachintoutpla in	-||---|-⌫|-----|---|---⌫-|
demaintena nt uen taetplut	-|--------⌫-|---⌫-|-|---|
etfistteltempsquefa iredut	-|---|--|----|--|--⌫--|--|
etquant di x redonnalebel	-|----|--⌫|------|-|--|
uinrentlioysel	------|-|----|
etfirentioi emerueil louse	-|-----|---⌫|-------⌫----|
seurlafonta ine perillouse	---|-|-----⌫--|---------|
ainsquelaio iefust	------|-|--⌫-|---|
uinrentplusarda nsque	------|---|----⌫-|--|
n estbrese	|--|----|
licheu ali ersa	-|----⌫---⌫--||
sigran tbruit	-|----⌫|----|
comsi cachastuncherf deru it	--|-|------|-|----|-|--⌫-|
l ors s asanlerentetsi uinrent	-⌫--||---------|-|-|------|
tous deuz et	---|---|-|
moutgrantsanlantfiren t	---|----|------|-----⌫|
quilsentrehai ssentdemort	-|-||--------⌫----|-|---|
ch ascuns otlanche roide e t f ort	--⌫-----|-|-----|----|-⌫|-⌫--|
si sentredonnentmout gr an s cos	-||-----------|---|--⌫--⌫|--|
quetouslesescus de lorscols	--|---|--|----|-|---|---|
perch entetlihaubertdeslichent	-----⌫--|-|-|------|---------|
etlitroncho nuolentenhaut	-|-|-------⌫|-----|-|---|
l autrea l espeea ssaut	|----|||----|-⌫----|
si o n taucap le	-|-⌫-⌫|-|---⌫-|
deses pees	--|--⌫---|
les guigesdesescuscopees	--|-----|--|----|-----|
etlesesc us dehachie ́s tous	-|--|---⌫-|--------⌫-|---|
etpard esus	-|--|-⌫---|
etpardesous	-|--|-----|
siquelespieches	-|--|--|------|
en dependent	-|--------|
senk eu urent ne deffendent	|-|-⌫--⌫----|-|---------|
on t ha ligotés	--⌫|--⌫-------|
card eliurese ur les	--|-⌫-----|--⌫-|--|
lesbras etseurles ha nches	--|---|-|---|--|--⌫----|
ass ientl ese s peesblanches	---⌫---|-⌫-|-⌫-⌫---|-------|
perill e usements e ntreprouent	------⌫-⌫------||-⌫----------|
nonquesd un es t al	|-----||-|--⌫-⌫-|
ne se meuuent	-|-|------|
nientplus quefe sissentyygres	----|---|--|--⌫------|-|---|
ainsyycheualierssien gres	---|-|---------|-|--⌫---|
ne furentd elo r morthaster	-|-----|-⌫|--⌫|---|-----|
neueulent paslorscors gaster	-|------|--|---|---|-----|
caraumixqu	--|-|--|-|
ilpu ent lesemploien t	-|--⌫--|--|--------⌫|
lihiaume enbru ncherent	-|-----|-----⌫-------|
et pl oient	-|--⌫----|
et desa ubersles	-|--|-⌫----|--|
mai llentuol ent	---⌫----|---⌫--|
siquedesancass es	-|--|-|---|---⌫-|
c ardeuz meismes	-⌫-||--|------|
so nt sic haut	--⌫-|-|-⌫---|
li ha uber t que cha s cunsne uaut	-|--⌫----⌫|--|---⌫-⌫---|-|---|
achas cun ga ire splus	|----⌫--|--⌫---⌫|---|
ensel uis sefierentdestoc	--|-|--|-|------||----|
s estmerueill es commen ttant	|--|--------⌫-|------⌫|---|
bat aille sipes meets idure	---⌫----|-|---⌫-|-|-⌫|---|
maisandui so ntde s i gr antcuer	---|----|--⌫-|-|-⌫|--⌫--|---|
quel iunspourlautr eanulfu er	--|-⌫|--|---||----⌫||--|--⌫-|
de tereunp ie	-|---|-|-⌫-|
neguerp ir oit	-|-----⌫--⌫--|
sed usq uesamort ne lenpi roit	-|-⌫---⌫--||---|-||----⌫---|
etde chefirentmoutque	-|-|--|-----|---|--|
conq ues l ors	|---⌫--|-⌫--|
cheuausen nul l ieu	------|-|--|-⌫--|
nenaurerentnen empirierent	-|--------|-||----------|
queilneuaurrent nedaignerent	--|-|-|-------|-|---------|
m ais tous iours	-⌫--|---|----|
adcheuaxsetinrent	-|-----|-|------|
quenul e foisa piene u i nren t	--|---⌫|---||--|-|-⌫-⌫----⌫|
s enfu lebataille	|-|-|-|-------|
enl afin son hiaumeesqua rtele	-|-⌫|--|--|-----|-----⌫----|
aucheual ier m e sire yu ains	-|------⌫--|-⌫|---|--⌫---|
esto urdi set uain s	----⌫----⌫|-|----⌫|
l icheualiers si	-⌫|---------|-|
conquess ifelonn	|-----|-⌫|----||
queil eutd esouslechapel	--|-|--|-⌫----|-|-----|
lechieffenduiusq uach eruel	-|----|----|----⌫||--⌫----|
sique alecherue le e t	-|--||-|------⌫-|-⌫|
to uchal emai lledu	--⌫---|-⌫|---⌫--|-|
hauberc bl anc	------|--⌫--|
d ontilsigrant dolour	-⌫--|-|-|----|-----|
c apoilic uersne lesenti	||--|-|-⌫---|-|-|----|
sifistilpuisnonmie tort	-|---|-|---|--|--|---|
se sentnaurésa	-|---|------||
quer iens n eli ua l utdeffence	--|-⌫---|-⌫|-|--⌫-⌫-|-------|
sitost senfuitquanti ls	-|---||-|---|----|-⌫||
h osteltous	-⌫----|---|
eslaiss ié s	-------⌫---⌫|
et liper ronsfu	-|-|---⌫---|-|
abaissiés	---------|
etla porte ouuertea	-|-|----|------||
etm es ireyuainsderand o n	-|-⌫|-⌫--|-----|-|----⌫-⌫|
quantquil puet ap resespe ronne	------|-|---|--⌫--|----⌫----|
sicomge rf ausgrueran don ne	-|--|--⌫--⌫--|---|---⌫---⌫-|
quideloinsuientet tantl aproche	--|-|----|----|-|---||------|
tenir le quidemais n	----|-|----|---||
ainsifuitchi let chille chace	----|---|---⌫|-|---|-|----|
sipres a poi quil nelemb r ache	-|---||--|-|-|-||---⌫-⌫---|
e tsinesen puet pas ra tai nd re	-⌫|-|-||-|---|--|--⌫---⌫--⌫-|
siests i pre squeill ot pla in dre	-|--|-⌫|---⌫|--|-||-|---⌫--⌫--|
deladestrechequeil se nt	-|-|--------|--|-|--⌫-|
mai stous io ursauf uirenten t	---⌫|---|--⌫--|-|-⌫--|-----⌫|
e t childucachier se	-⌫|---|-|------|-|
qu ilcr i entsepai n eauo irperdue	-|-|--⌫-⌫--|-|---⌫-⌫|---⌫-|-----|
semortouuifnel edetient	-|---|-|--|-|-⌫|------|
quede s rampo rnesli so uuient	--|--⌫|-----⌫---|-|--⌫-----|
que mesirekeusli otdites	--|-|---|---|-|-|----|
n iert pasdel a	|---|--|-|-⌫|
pr amesse quites	--⌫-----|-----|
