u nemanieredege nt sont	-⌫-|------|-|--⌫-|---|
quesenuit deuenoi tsemain ne	--|-|---|-------⌫|------⌫-|
etsem ainnedeue n oitmois	-|---⌫----|----⌫-⌫--|---|
etm ois zza netzzan trois	-|-⌫--|-|-⌫|-|-|-|----|
etyyanzyy ety y anz	-|-|--|-|-|-⌫|--|
quant uenr oi tau de fi nement	----|----⌫--⌫|-|--⌫--⌫-----|
delanuit ainzquilaiornas t	-|-|---|-----|-|-------⌫|
se uoudroitilquilanuitast	-|-------|-|-|-|-------|
etenitelpe nseresto it	-|-|---|--⌫---|----⌫-|
cilqu i li	--|--⌫|-|
dush orsatendoit	--|-⌫--|-------|
queainziour	--|---|---|
en co n uin t	-|--⌫-⌫---⌫|
lidusaucongie pr e nd re	-|--|-|-----|--⌫-⌫--⌫-|
b eisiers donneretbesier srendre	-⌫------|-----|-|------⌫|-----|
etoi forme ntsou p irer	-|-|-----⌫-|---⌫-⌫---|
et au congie	-|-|-----|
prendre plorer	------|-----|
que ploréi	--|-----||
otmain te lerme	-|----⌫-|----|
et oirepr endrele ter m e	-|-|----⌫----|-|---⌫-⌫|
der asem bleri lec a riere	-|-⌫----⌫---|-⌫--|-⌫----|
licheualier sen te lmaniere	-|---------⌫|-|--⌫|------|
partet ladame	---|-|-|---|
mes ainzt antquant	--|---|-⌫--|----|
uo ar lepot	--⌫-|-|--|
lec o nuoia	-|-⌫-⌫----|
d esesbiause uz	-⌫|--|----|-⌫-|
quant ele ne puet	----|--|-|---|
feire mieuz	----|----|
li dus uoit	-|--|---|
tantostalau oiesemet	------||-|-⌫--|-|--|
tant queleche ualier	---|--|-|---⌫-----|
queasoimeime ssep laint	--||--|-----⌫|-|-⌫----|
delanuit si	-|-|---|-|
com me ildit	---⌫-|-|--|
au oit du répetit	--⌫--|--⌫--|----|
ette l pen seretautel	-|--⌫|---⌫--|-|----|
d ont e rt	-⌫--|-⌫-|
a cuii l samble p or lanuit	|--|-⌫|-----|-⌫-|-|---|
t ost fa utpe rtso nde dui t	-⌫--|--⌫-|--⌫-|--⌫|--⌫---⌫|
neduior neseloe	-|-|--|-|-|--|
li ch euali ers e rten telpoint	-|--⌫-----⌫--|-⌫-|-|--|----|
etd ep enser etde parole	-|-⌫|-⌫----|-|-|-----|
quantl i duslataint	----|-⌫|--||-----|
si lacol e	-||----⌫|
etli a fet ioie mout	-|-||--|---|---|
etli a dit	-|-||--|
q uet oz iorsmes	-⌫-|-⌫-|---|--|
uousamerai	---|-----|
neia mes neuous	-|-|--|-|---|
mesquerrai	---------|
queu o usmauez du toutuoirdit	--|-⌫-⌫-||---|-|---|---|--|
auez menti	---|----|
sire fet iluo stremerci	---|--|-|--⌫---|----|
mespou rdie uuo usrequier	--|---⌫|---⌫|--⌫-|------|
q uececonsei lceler uouspleise	-⌫-|-|------⌫|----|---|-----|
caui ourpe rd r oie ioieetaes e	|-|-⌫--|--⌫--⌫-⌫--|---|-|---⌫|
etmorroie sanznule	-|------|---|---|
seiesauo iequenulautre	-|-|----⌫-|--|--|----|
ic es eu stforsuoussam plus	--⌫|-⌫--⌫-|---|---|--|---|
ornenpa rlez iafe tli	-||-|--⌫---|-|--⌫|-|
sachiezquile rt si b ienc elé	------|-|-|-⌫-|-|-⌫--|-⌫---|
queia parmo inen	--|-|--|--⌫||-|
einsi sensontparla ntuenu	----||-|---|-----⌫-|---|
iles toie ntuenu	-|--⌫----⌫-|---|
etceior quantu i nt	-|-|--|----|-⌫-⌫-|
aum engier	-|-⌫-----|
montrali dus	-----|-|--|
aucheualier	-|--------|
plus belsamblantcai nc n auoit	---|--|-------||--⌫-||----|
donttelcou rrou z e ttel	---|--|---⌫----⌫|-⌫|--|
enotl a duchessesanzfabl e	-|-|-⌫|-------|---|----⌫|
queelesenleuadelatable	--|--||-|---|-|-|----|
etfetsablantto tpar f aintise	-|--|------|--⌫|--|-⌫------|
que maladi eli soit	--|------⌫|-|---|
ensa chambre salagesir	-|-|------||--|----|
et sefis t autresicou rir	-|-|---⌫|------|---⌫--|
comsefo rmentmaladefust	--|-|--⌫----|-----|---|
et bien uout	-|---|---|
qu e priseli	--⌫|----|-|
fustm ala die	---|-⌫---⌫--|
z zuarletadesamenie	-⌫|-----||-|-|----|
porcedire a uduc enuoi é	--|-|---|-⌫|--|-----⌫-|
etlid usquantilot	-|-|-⌫-|----|-|-|
lest aleetantostuoi r	|--|---|------|---⌫|
fistsorsonlitsei r	---|--|--|--|---⌫|
commandequenului	-------|--|----|
neremaingne leanzfors	-|--------|----|---|
en fetarrentcequilcommande	-|--|-----|-|-|-|-------|
e tli dus tantostli	-⌫|-|--|------|-|
commentcilmauxliestuenuz	------|--|---|-|--|----|
etque ce estqueel ea	-|--|-|--|--|--⌫||
etele respontsediexme gart	-|--|------|-|---|-|---|
en donnoiereg ar t	-|------|---⌫--⌫|
orequ ant aumengierasis	--|--⌫--|-|------|---|
que g regniorsans	--|-⌫------|---|
etplusdaui s	-|---||---⌫|
n eustenuous	|---|-|---|
queienitruis	--|-|||----|
se ai en si granz	-|-|-|-|----|
q uant uo uste nezplusc hier celui	-⌫---|--⌫-|--⌫--|---|-⌫---|----|
que ieuousai	--|-|---|-|
ditqueporchace	--|--|-------|
comment honteet	------|----|-|
despituou s	-----|---⌫|
et quantuiqueplus	-|----|-|--|---|
biausamblant	---|-------|
lifestes hui que deuant	-|-----|--|--|-----|
si g rantire ettelduel	-|-⌫---|--|-|--|---|
q ue ilecdemourerne	-⌫-|---|-------|-|
do uc eamie	--⌫--⌫|---|
sachiezienequerroie m ie	------|-|-|-------|-⌫-|
neuosn e autrecreatu re	-|--|-⌫|----|------⌫-|
que onqu esporn uleauentu re	--|----⌫-|--|-⌫--|------⌫-|
auenistceq eu ou sme dites	------|-|-⌫|-⌫--⌫|-|----|
ainzsaibien quilen est to z	---|--|---|-|-|-|--|--⌫|
neo nquesn e pen sadece feire	-|-⌫----|-⌫|---⌫-|-|-|----|
tantaiapris de son	---|-|----|-|--|
si nemen req uereziaplus	-|-||-|---⌫----|-|---|
partd ilec li	---||---|-|
etcelerema i ntm out p ensiue	-|---|----⌫-⌫-|-⌫--|-⌫-----|
qu eiames tantcome leuiue	--⌫|-|--|---|--|-⌫-|---|
uneeurees enesera	--|---|--⌫|-|---|
d e ua ntqueplusapri saura	-⌫-⌫--⌫-|--|---|----⌫|---|
decedontli dus	-|-|---|-|--|
le d effent	-|-⌫-----|
queelenelidemant neant	--|--|-|-|-----|----|
len tendrade ffense	|-|-----|--⌫-----|
c ar ensoncuerenginnee tpe n s e	-⌫-|-|--|---|------|-⌫|--⌫-⌫-⌫|
queele le porrabiensauoir	--|--|-|----|---|-----|
seeleseseuffre duq ue sausoir	-|--|-|------|---⌫--⌫|-|---|
queele aitleduc	--|--|--|-|--|
e ntr e sesbra	-⌫---⌫|--|--|
el e setb ienqua cesoulaz	--⌫|--|-⌫--|-||-|-----|
enfera cenedoute	-|---|-|-|----|
toutsonuol oire tapoint	---|--|---⌫--|-⌫||----|
porceadonc a ta nts e tient	--|-|----|-⌫--⌫-|-⌫|----|
et quant li duscouchierse uient	-|----|-|--|-------|-|----|
aunepartdulistsestt raite	|--|---|-|---||--|-⌫----|
samblantfetquepoint nesiheite	-------|--|--|----|-|-|----|
que l iduso ligesirdoie	--|-⌫|--||-|----|---|
que e lesetbien	--|-⌫-|--|---|
cest lauoie	|--|-|---|
desonmari mestreaudesouz	-|--|---|-----|-|-----|
parfeir esam blantdecourrouz	--|----⌫|---⌫----|-|-------|
pour ce se	---|-|-|
tienteleente l gise	----|--|-|--⌫|---|
queelee nmetleducetatise	--|--|-⌫|--|-|--|-|----|
acroire quemoutest	|-----|--|---|--|
pou r cesanz	---⌫|-|---|
plu s quil abesiee	---⌫|-||||-----|
lidis tele	-|---⌫|--|
moutest esfaus	---|---⌫-|---|
e t trichierresetdesloiaus	-⌫|----------|-|--------|
quime montrez	--|-|------|
sam blant d	---⌫----||
nonquesnem en nui astesior	|-----|-||--⌫---⌫----|--|
etiai e st élonctanssi	-||-|-⌫--⌫-|---|---|-|
queiaicreue	--||-|----|
uostreparole	-----|-----|
quesouuentes foiz	--|--------|---|
quede finc uer loi al	--|-|--|-⌫--|---⌫-|
me shuimes uia p arce u e	--⌫|--|-|-⌫-|-⌫-⌫----⌫-⌫|
q uebienaie stédeceue	-⌫-|---|-|-⌫---|-----|
e tlidus di st etuous a coi	-⌫|-|--|--⌫-|-|---||--|
iamedeistespar	-|-|------|--|
fet celequiamalibee	--|---|--||--||--|
queie n efuse	--|-|-⌫|---|
queie uos enquessisserien	--|-|--|----------|---|
d etelch ose saue zu o usbien	-⌫|--|--⌫--|----⌫|-⌫-⌫-|---|
etd equoisuer	-|-⌫|---|---|
fetil pourde	--|-|---|-|
queciluo us	--|--|--⌫-|
men cong efetil eta	---⌫----⌫|--|-|-||
quil uo usafetpenser	-|-|--⌫-||--|-----|
nedece sauoirnemechaut	-|-|-|-----|-|-|----|
p ense quepo imiu aut	-⌫---|--|--⌫|||-⌫--|
a uous a merdec uerloial	|---|-⌫--|-|-⌫--|----|
conquesc hose fu st bienou mal	|-----|-⌫---|--⌫-|---|-|--|
mescuersrien ne	--|----|---|-|
sotneneuit	--|-|-|--|
q uen es e ussiez tantost au sinc	-⌫-|-⌫|-⌫-⌫-----|------|--⌫---|
etor uoi bien	-|-|--|---|
qu e mec e lez	--⌫|-|-⌫-⌫--|
u ostreme rcilesuozpensie rs	-⌫----|--⌫--|--|--|------⌫-|
si sachiez or e sanzdoutance	-|------|--⌫|---|-------|
queiames n araite lf i ance	--|-|--||---|--⌫|-⌫-⌫---|
det ielmaniere	-|-⌫--|------|
comi aieu caenarriere	--||-|-|-|-|------|
lorscomma nce a plourer	---|-----⌫--||------|
laduchesseet	-|-------|-|
asoupire r	|-------⌫|
etse sforca	-||-⌫-----|
p lu sq ue	-⌫--⌫|-⌫-|
et li dust elpit ie en ot	-|-|--|-⌫-|---⌫-|-|-|
qu ill iadi t ma be llesuer	-|-|-⌫||--⌫|-|--⌫--|---|
ie nesouferr oie	-|-|-------⌫--|
neuostre courrouzne	-|-----|-------|-|
mes sachiezie	--|------|-|
neuous puis di re	-|---|---|--⌫-|
cequ euolezqueieuousdie	-|--⌫|----|--|-|---|--|
sanzfeir etrop	---|----⌫|---|
grantuile nie	----|----⌫--|
dit isnel lepas	--|-----⌫----|
siresine me	---|-|-|-|
qu e ieuoibien	--⌫|-|--|---|
acesamblant	|-|-------|
quenmoi ne	-|-|--|-|
uous fiez pastant	---|---|--|---|
que celas seuostrecon sel	--|-----⌫-|-----|---⌫--|
ets achiez que tropme	-|-⌫-----|--|---|-|
aincnoite sgrantne petit	---||-|--⌫|----|-|----|
conseilqueuous	------|--|---|
dontdescouuert	---|---------|
fussiezparmoi	------|--|--|
neiase di exples t nulefoiz	-|-|-|--⌫-|----⌫|---|---|
en mauienem	-|-|--|-||
quantceo t di t derechie f ploura	----|-|-⌫|--⌫|-|------⌫|-----|
quila coleetbese	--||-⌫---|-|---|
estdeson courrouzenmalese	--|-|--|-------|-|-----|
siquenese pue tplust enir	-|--|-|-|---⌫|---|-⌫---|
delaueri tereg eir	-|-|----⌫-|---⌫--|
a ditmabeledame	|--|-|---|---|
iene saiqu efaire parm	-|-|--|--⌫|----|--||
m efienuouset	-⌫|-|-|---|-|
que chosecelerneu ous	--|----|----|-|-⌫--|
que iesachem estrop me dout	--|-|----|-⌫-|---|-|---|
queuous nenparl ez	--|---||-|----⌫-|
m est antsachiez queieuou sdi	-⌫-|-⌫--|------|--|-|---⌫|-|
siieans ui	-|-|-|-⌫-|
paruoustrahi	--|---|----|
u ousenreceurezlamo rt	-⌫--|-|-------|-|--⌫-|
eteledit bien	-|--|--|---|
estre ne pourroitq uefei s se	----|-|-------|-⌫-|---⌫-⌫-|
c hosedontuersuous mespreisse	-⌫---|---|---|---|---------|
ce quilaimepo urce	-|--||---|--⌫-|-|
etcui d e queueritez soit	-|---⌫-⌫|--|------|---|
d e cequee ledit puis liconte	-⌫|-|--|-⌫-|--|---|-|----|
desa niece	-|-|----|
t retoutle	-⌫-----|-|
commeaprislotducheualie r	----|----||-|-|--------⌫|
etcomment ilfu	-|------|-|-|
o uuergier	-⌫|------|
enlangletou	-||-----|-|
iln otq ueeus	-||-|-⌫-|--|
quant li p etiz chiens uinta eus	----|-|-⌫---|-----|---||--|
etdeles ueetdel an tree	-|-||--⌫-|-|-||--⌫---|
u erite contee	-⌫----|-----|
i lneliar ien	-⌫|-|-||-⌫--|
iai t oine	|--⌫|-|-|
etquan tladuchessel enta nt	-|----⌫|-|-------||----⌫-|
aime plusbassement	---|---|--------|
qui de samorla	--|-||---|||
esconduite	---------|
a morte se	|----|-|
tientetdespite	----|-|------|
meso nques d e ce samblant	--|-⌫----|-⌫|-|-------|
a incois l iotroiaetpr omist	-⌫-----|-⌫|-----|-|--⌫----|
auduc a sic e l éoueur e	-|--||-|-⌫-⌫-⌫-||----⌫|
que c e est q u elele	--|-⌫|--|-⌫|--|-|
de scu eure	--⌫---⌫---|
quei llapendea unehart	--|-⌫|-|----||--|---|
et se liestil ia mouttart	-|-|-|--|-|-|---|---|
dacelui parlerquelehet	||----|-----|-|--|--|
de scele eurequeleset	--⌫|---|---|-|--|--|
que le estamieacelui	-|-⌫-|--|---||----|
qui liafet hont e	--|-||--|----⌫|
poritantceliest aui s	--|----|-|-|--|---⌫|
ne ueutestr es esamis	-|---|----⌫|-⌫-|---|
siaferm etou t s on	-|-----⌫|---⌫|-⌫-|
quesel e uoit nel iu	--||--⌫|---|-|-⌫-|
nie ceauducparou t	---⌫-|-|--|-----⌫|
lidiraausitost	-|---|-------|
nei a necele ratelechos e	-|-⌫|-|----⌫-|---|----⌫|
oufelonnieauraen close	-|-------|---|--⌫----|
mesenluineen	--|-|--|-|-|
point nenui nt	----||-|--⌫-|
tantqualapenteco ust euint	---|-||-|-------⌫---⌫|---|
qui apresfutoutela permie re	--|----|-|----|-|------⌫-|
dus tintco urtmoutplangniere	--|---|--⌫--|---|---------|
si qu ilen uoiapartout qu erre	-|-|-|--⌫---|------|--⌫---|
tout es les damesde sater re	----⌫-|--|----|-|-|---⌫-|
ets aniece uinttoute permi ere	-|-⌫|----|---|----|-----⌫--|
quideuergiestoi tchateleinne	--|-|----|-----⌫|----------|
etquantla duchesse	-|----|-|-------|
tantost toutli sans	------|---|-|---|
mont que plus	---|--|---|
cour agecelerset	----⌫--|----|--|
sique plus bel	-|--|---|--|
sam bla n tlif et	---⌫---⌫-⌫|-|-⌫-|
conques pa rdeuant nauoitfet	|-----|--⌫|-----||----|--|
m esm outgrant talant	-⌫-|-⌫--|----|-----|
cedonteleaaucuergrantire	-|---|--||-|---|----|--|
e t lad e meure moutlicouste	-⌫|-|-⌫-⌫----|---|-|-----|
porceleiordepentecouste	--|-|-|--|-|----------|
quantles t a blesfu rent ost ees	----|--|-⌫-⌫---|--⌫---|---⌫--|
en aladuche s s e menees	-||-|-----⌫-⌫-⌫|-----|
lesdam esensachambre osoi	--|---⌫-|-|-|------||--|
por elespar e renrecoi	--|---|---⌫-⌫|-|----|
po urue n ircointe s	--⌫-|--⌫-⌫-|------⌫|
lo rsne pottenir	--⌫-|-|--|----|
laduchess e qu iuit	-|-------⌫|--⌫|--|
ain zditansic omme	---⌫|--|---|-⌫---|
ch atelain nesoiez bien cointe	--⌫-------⌫-|----|---|-----|
quebeletpreu	--|--|-|---|
auezac ointe	---|--⌫----|
et ce lerespontsinplement	-|--⌫-|------|---------|
ien es ai quel ac ointement	-|-⌫|-⌫-|---|--⌫--------|
uous pen sez ma	---|---⌫--|-|
d ame pour	-⌫--|---|
carta l entn	--|--⌫-⌫--||
aide acoint eauoi r	-|-|------⌫|----⌫|
quenesoitdutoutal enne ur	--|-|---|-|---|||----⌫-|
et demoiet	-|-|--|-|
croibi e n	---|--⌫-⌫|
dit la duchesse	--|-|-------|
mes uousest esboinnemet r esse	--|---|---⌫-|-----|---⌫-⌫---|
qu iaueza pri sle mest ier	--⌫|---|-⌫---⌫|-|----⌫--|
du petitcha innetafetier	-|----|---⌫----|------|
le sdamesontoi leconte	--⌫|----|--|-|-|----|
mesne seuenta coicemonte	--|-|-----||--|-|----|
au queroles quefeit es	-|-------|--|----⌫-|
etlachatelainneremaint	-|-|----------|------|
irelitranble	--|-|------|
e tlimuete t	-⌫|-|---|-⌫|
tres autenue ntre	----⌫--|-|--⌫---|
dedenzune entre	-----|--|----|
ou unep ucele ite estoit	-|--|-⌫-----⌫--|-----|
quiaup iezdulit segi s oit	--|-|-⌫--|-|--|-|--⌫-⌫--|
meselenelipo t	--|--|-|-|--⌫|
oulits est	-|--||--|
lesiee cheoi r	-----|-----⌫|
l ach ateleinnemoutdol ente	-⌫|--⌫--------|---|---⌫---|
ilec se compleintet	---|-|--------|-|
h a si re diexmerci	-⌫|--⌫-|---|----|
q ue puetcee strequ eiaioi	-⌫-|---|-|-⌫---|--⌫||-|-|
ma fe tre gret	||--⌫|--⌫---|
que iaiafetiémonc hiennet	--||-|------|--|-⌫------|
cen ese ust ele par	-|-⌫|--⌫--|--|--|
bienfo rsparcelui	---|--⌫-|--|----|
que ieamoiee t t ra iem a	--|-|----|-⌫|-⌫--⌫-|||
necene l ideistil i a	-|-|-|-⌫|----|-|-⌫|
sa l ui neustgrant acointanc e	||-⌫-||---|----|---------⌫|
etse il nelamastsanz	-|-|-|-||----|---|
dou ta nce	---⌫--⌫--|
plusq uem oiq ueil atra ie	---|-⌫-|-⌫-|-⌫-|-||---⌫-|
bienuoiq ueilne	---|--|-⌫-|-|-|
m aime mie	|---|--|
quant ilmefautdeconuenan t	----|-|-|---|-|--------⌫|
ie lanmoi etant	-||-----⌫|---|
commeriens puetplusautr e ame r	----|----|---|---|----⌫|---⌫|
a il lorsne pouae	-⌫--⌫---|-|----|
nuleeure neio urnenuit	---|---|-|--⌫-|-|---|
maioi eetmonded uit	-|---⌫|-|--|---⌫--|
certmessoulaz certm es d eporz	|--|--|-----||--|-⌫-|-⌫----|
certmesdeliz c	|--|--|----||
ertmes conforz	--|--|------|
c ommento lui me co ntendro ie	-⌫-----||--|-|--⌫-------⌫-|
de penserquant ie nene	-|-----|----|-|-|-|
haamisdontestceuenuz	-|---|---|--|-|----|
que poueze stred euen uz	--|----|-⌫---|-⌫----⌫-|
quiuersmoiauezesté faus	--|---|--|---|----|---|
i ecuid oi eque	-⌫|----⌫--⌫|--|
plus l oiaus	---|-⌫----|
mef ussie z	-|-⌫-----⌫|
se diex me consent	-|---|-|------|
q uen efutrit ans	-⌫-|-⌫|-|----⌫--|
plusuousamoiela	---|---|----|-|
quese diexaitd emoipitie	--|-|---|--|-⌫|--|----|
que nefesoiemoimeimes	--|-|-----|--|-----|
onqu esauantnepuis nepr imes	----⌫-|----|-|---|-|--⌫---|
enpenserenditnenfet	-|-----|-|--||-|--|
nefis nepounegrant meiffet	-|--|-|--|-|----|------|
pourco ime	---|--⌫|-|
du ssieztrair	--⌫----|----|
uila innementha ir	----⌫-------|--⌫-|
comm eanoz amorsdespec ier	----⌫||--|----|------⌫--|
porautr eamer et m oi le sier	--|----⌫|---|-|-⌫-|--⌫---|
etd escouurir no streco nseil	-|-⌫--------|--⌫---|--⌫----|
halasseamismoutme	-|----|---|---|-|
quelimiensc uerssimeistdiex	--|-|----|-⌫---|-||---|---|
ne stoitmieuers uousi tex	|-⌫----|--|---|---|-⌫--|
quese to ut lemont	--|-|--⌫-|-|---|
toutso nciel etso nparad is	---|--⌫|---|-|--⌫|-----⌫-|
mofrist diexpasne le prei sse	|-----|---|--|-|-|----⌫--|
pa r conuenant queuous	--⌫|--------|--|---|
p ar diss e	-⌫--⌫----⌫|
caruousestiez ma rich esse	--|---|-----|-|----⌫---|
etmasa n te z etma leesce	-|-|--⌫-⌫--⌫|-|-|-----|
nerien sgreuernemepeust	-|----⌫|-----|-|-|----|
tant commesl asde cuersseust	---|--|--|-⌫-|-|----|----|
qu e l iu ostre derie ns m	--⌫|-⌫|-⌫----|-|---⌫-||
ha fineamo rs et quipen sast	-|---|---⌫-|-|--|---⌫---|
quecilfeist uer s moi	--|--|----|---⌫|--|
qu edisoitqua ntertauecmoi	--⌫|-----|---⌫-|--|---|--|
etiefesoie monpoueur	-|-|-----|--|-----|
defeiretretou tsonuouloir	-|----|------⌫|--|------|
qui lerttouz	-|-⌫|--|---|
miensetasa	----|-||-|
me tenoitetdecorse tdame	-|-----|-|-|---|-⌫||--|
e tledisoitsi	-⌫|-|-----|-|
douc eme nt	----⌫---⌫-|
quei e lecreoi euraiement	--|-⌫|-|-----⌫|--------|
necu id oi e anulfuer	-|--⌫--⌫--⌫||--|---|
quil peus ttrouuer ensoncue r	-|-|----⌫|------|-|--|---⌫|
en uers moicourrouzne haine	--⌫---|--|-------|-|----|
porduc hessenepour rein e	--|---⌫----|-|---|----⌫|
que l ui amermestoitsibon	--|-⌫-|---||-----|-|--|
quam o n cue r prendroie	-||-⌫-⌫|---⌫|--------|
deluimepensoie	-|--|-|------|
quilse te ni stamonami	-|-|-|--⌫--⌫-||--|--|
toute sau ieetmonaag e	----|-|-⌫-|-|--|---⌫|
quebien connoise nmon	--|---|------|-⌫|--|
sauantmoimoureust dontlamasse	|----|--|-------|---||-----|
luipetitdurasse	--|----|------|
que estremorteolui mef ust	--|----|----||--|-|-⌫--|
que uiuresiquede mes euz	--|----|-|--|-|--|--|
neleu ei ssenulefoiz	-|-|-⌫--⌫--|---|---|
hafineamors	-|---|----|
est ildoncdroiz	--|-|---|----|
descouuert	---------|
nostrecons eil	-----|----⌫--|
dont il me per t	---|-|-|---⌫|
mamor ot roie r lidis	|---|--⌫----⌫|-|--|
etb ie nan conuenant lim is	-|-⌫--⌫|-|--------|-|-⌫-|
queacel eeureme perdroit	--||---⌫|---|-|-------|
quenost reamor	--|----⌫-|---|
de scouuerroit	--⌫----------|
etquantiai auant pardu lui	-|----||-|----|----|--|
nepu isuiure ap re stelennui	-|--⌫-|----|--⌫--⌫|--|----|
n ema uiene m ep lestpoint	-⌫|-|--|-|-⌫|-⌫---|----|
ainzpridieuque lamortme	---|--|---|--|-|---|-|
etque tout	-|--|---|
ausinuraiement	----|--------|
co mmei aiaméuraiement	--⌫--||-|---|--------|
celuiquicem aporch ac ie ́	----|--|-|||-----⌫--⌫--⌫|
la moieamep i tie	-|---|--|-⌫-⌫--|
e t a c eluiqu i	-⌫||-⌫---|--⌫|
matraieetliureeamort	||----|-|-----||---|
doin thon orca rie	----⌫|---⌫-|--⌫|-|
nemam orz nest s edouceur	-|-|-⌫--||--|-⌫|------|
au is quant	--⌫-|----|
deluiuient	-|--|----|
q uequantdes	-⌫-|----|-||
parcelui morirnemest	--|----|----|-||--|
paspoinn e	--|-----⌫|
atant setest lachatel a inne	----|-|---|-|------⌫-⌫---|
fors queeledit	---|--|--|--|
ansoup irant	-|----⌫----|
douz am isa dieuuouscommant	---|--⌫-||---|---|------|
acemotdesesbraz	|-|--|-|--|---|
s estraint	|-------|
li cuers lif autli	-|----|-|-⌫--|-|
uis li taint	--|-|----|
angoisseusement ses tpensee	--------------||--⌫|-----|
et gistpaleetdescou louree	-|---|---|-|------⌫-----|
litm ortesanzuie	--|-⌫---|---|--|
messes amis cenesetmie	--|--|---|-|-|--|--|
q uiseded uisoit enl asale	-⌫-|-|---⌫-----|-|-⌫|---|
ouil caroled anceetbale	-|-|-----|-⌫---|-|---|
mesneliplestrien qu iluoie	--|-|-|----|---|-|-|---|
quant ce leou sescuerss otroie	----|--⌫-|-|--|----||-----|
niuo itpointdontilse	||--⌫-|----|---|-|-|
s i adita uduc	-⌫||--|-⌫|--|
enlor eil l e	-||--⌫---⌫-⌫|
sir eq ues	---⌫|-⌫|-|
cequ euostre ni ece	-|--⌫|-----|--⌫--|
es tdemour eesigrant	--⌫|------⌫-|-|----|
estauqueror esuenue	--|-|------⌫-|----|
nesa ise lauezmiseen	-|--⌫|-||---|---|-|
queroleesgarde	------|------|
quid ecenes estoitprinsgarde	--|-⌫|-|-||-----|----|----|
ce lui osoip ar	--⌫--||--|-⌫-|
lamaint ra it	-|---|-⌫--⌫-|
etdroitenlachambresenue t	-|----|-|-|------||-|--⌫|
et quantileques nela	-|----|------|-|-|
aucheualiercommandeet ru eue	-|--------|-------|-|--⌫--|
quan lagarderobe	-|-|-|--------|
laquie r e	-|----⌫-⌫|
l eueu tentelman i ere	-⌫|---⌫|-|--|---⌫-⌫--|
parleanz antrez	--|----|---|-|
dacole ret debesier	|-----⌫|-|-|-----|
etcilqui lienso tbon grez	-|--|--|-|-|--⌫|--|---|
es t en la g a rd erobeantrez	--⌫|-|-|-⌫-⌫--⌫----|-----|
ousamiegisoit	-||---|-----|
e llitdesc oulouree etpe rse	-⌫|--|----⌫-------|-|--⌫--|
c ilmaintena nt lacoleet	-⌫-|--------⌫-||----|-|
qu inau oi t	--⌫||--⌫--⌫|
mieestéaese	--|----||--|
mes la bouche atrouueefroide	--|-|-----||------|-----|
etpartout l ec orspaleet roide	-|--|---|-⌫|-⌫--|---|-|----|
et ausamblant que	-|-|-------|--|
lic o rsmou tre	-|-⌫-⌫-|---⌫--|
uoi tb ienqueleestmorte	---⌫|-⌫--|-|--|--|----|
tr etou te	--⌫----⌫-|
tant ostcom meesb ahizsecrie	----⌫--|---⌫-|---⌫---||----|
que ec e diex est morte	--||-⌫|---|--|----|
etlapucelle	-|-|------|
saill isus	-----⌫|--|
q uia upi ez du lit gisoit	-⌫-|-⌫|--⌫-|-|--|-----|
etdits irece croiieb ien	-|--|-⌫--|-|---|-|-⌫--|
queelemorteq ueautre	--|--|----|-⌫-|----|
nede mandapuisqu e	-|--⌫----|------⌫|
pou r le co uro uz desonam i	---⌫|-|--⌫---⌫-|-|--|--⌫|
dont mad amelataria	---|-|-⌫--||-----|
etdu nchiennetlaranpona	-||-⌫|-------|-|------|
c orrouzliuint mo rtiex	-⌫-----|-|---|--⌫----|
etquantcil	-|----|--|
ente ntlestiex	----⌫-|--|---|
queceq uidista u duc	--|-|-⌫||---|-⌫|--|
sanz mesuresede conforte	---|-----|-|--⌫-------|
etdithal asma douceamor	-|--|-|-⌫-|-|----|---|
lapluscortois e la	-|---|-------⌫|-|
quiaincfustetlaplus loiaus	--|---|---|-|-|---|-----|
comme tric hi erresde sloiaus	----|----⌫--⌫----|--⌫------|
uousaimorte	---|-|----|
si fustdroitu re	-|---|------⌫-|
que seurmoitournastl aue nture	--|---|--|-------||---⌫----|
siqueuousn eneussie zmal	-|--|---||-|------⌫|--|
meslecuerauiezsil oial	--|-|---|----|-|-⌫---|
que seur uo us lauiezauantprise	--|---|--⌫-||----|----|----|
mesiefer ai de moiio us t ise	--|-|---⌫-|-|--|--⌫--⌫-⌫--|
pou rtraison que i	---⌫|------|--||
uneespeeadu	--|----||-|
fuerret rai te	-----|-⌫---⌫-|
q uiertpendueaunespuer	-⌫-|--|-----||-|-----|
et s enfer ip ar mile cuer	-||-|---⌫|-⌫--⌫-|-|---|
sanzpluspa rler etsanz plusmoz	---|---|--⌫---|-|---|---|--|
cheoirle lest	-----|-|---|
lezlaut reco rs	--||---⌫-|--⌫-|
tantasain niéque ilest morz	---||----⌫---|--|-|--|---|
etlapuc elle saillifor s	-|-|---⌫---|-----|---⌫|
hideur otd eceque	-----|-|-⌫|-|--|
au duc queele en co ntr aa dit	-|--|--|--|--⌫--⌫---⌫||--|
a oie tueu	|-|-⌫|--|
ar ienste u	|-⌫---|--⌫|
com ment lafaireer tcommencié	---⌫---||-----|--⌫|---------|
neis duch iennet a faitié	---|-|--⌫-----|-⌫------|
d ont la d uchoisea uoit	-⌫--|-|-⌫------|-⌫---|
atanteuous le duc desué	----||---|-|--|-----|
