lapremi ere rebr iche	-|-----⌫--|----⌫---|
entreles hommeset fairel eu r mesti er	----|--|-----|-|----|-⌫--⌫|-----⌫-|
assauoirlauraiealkemie	-------|-|----|------|
delaquellea lke mi ele puissant	-|-|-----|-⌫---⌫--⌫|-|-------|
empereurconstantin fugarid esameseleue	-------|---------|-|---|-⌫|-|-------|
etgrandeme ntregna	-|--------⌫-|----|
mondeenl uminadela foyera cleaussile	----|---⌫----|-|-|--|---⌫--|----|-|
empereursur lepontde la	-------|--|-|---|-|-|
denoedesconfi stlefilz	----|--------⌫-|-|---|
de cos droe	-|---⌫---|
etsanse spandre sanchum ainsoum ista la croi stoute	-|---|-⌫------|---|---⌫--|----⌫--||-|----⌫|----|
ca ldeecharlemaine lepuissant e mpereu rderommeremist	--⌫---|----------|-|-------|-⌫------⌫|-|----|-----|
siegeleuicquairede ihesucristet c onqui st al a foy	----|-|--------|-|---------|-|-⌫-----⌫-||-⌫|--|
royaumede s arrasinsetg odef royde	------|-|-⌫-------|-|-⌫----⌫--|-|
bu illonun petitduc ou	--⌫----|-|----|--|-|
baronoure gartdesdessusdispa rla monno yedel	----|-|--⌫---|--|--------|--⌫|-|-----⌫-|-||
alkemiede s	------|--⌫|
troysdamesde ssusdictesreconq uesta a	----|----|--⌫---------|------⌫----||
la foyant h ioc heetla	-|--|---⌫-⌫---⌫-|-|-|
ter re dep romissi on et fina bl ementl a saincteciteou la	---⌫-|-|-⌫-------⌫-|-|----⌫--⌫----|-⌫|------|---|-|-|
monn oyefup remierement f orgie q uiporroitd itarsene raconte r	----⌫--|-|-⌫----------|-⌫----|-⌫-|------|-⌫-|-----|-------⌫|
les gransr ichesseset lagra nthabondanced euraiemarchandie	--|----|-⌫-------|-|-|---⌫-|---------|-⌫|----|---------|
parlalk emie destroysda mes	--||---⌫---|--|----|--⌫--|
sus di ct esauectr oysa utresgrans	---⌫--⌫--⌫-|---|--⌫--|-⌫----|----|
r oy nestropplus	-⌫--⌫--|---|---|
gransdame s	----|----⌫|
quelesyysusdictesetleurs	--|--|-|--------|-|----|
cheue taine sdesque llest roy sroynes e t	-----⌫-----⌫|--|---⌫---|-⌫---⌫|-----|-⌫|
deleurg rantuertu en	-|---|-⌫---|----|-|
uostre g r antuo iageuousserés	-----|-⌫-⌫--|--⌫---|---|-----|
t roysd ames	-⌫---|-⌫---|
plainement	---------|
enfourmés iene uous	---------|-|-|---|
puisc elerdit a rsenema grantdolour	---|-⌫---|--|-⌫----|-|----|-----|
etle uost re	-|-|----⌫-|
par l alkemie destroys	--||------|--|----|
susdictescommandans lest r oys roynes	--------|---------|--|-⌫-⌫--|-----|
touteasye touteeurope	----|---|----|-----|
to uteauf riquetres paouderegions inaccess iblesexceptees	--⌫--|---⌫----|---|---|-|------|--------⌫----|--------|
fo is furentcrestiennes et p our l	--⌫-|-----|----------|-|-⌫--||
a bscencede	-⌫------|-|
il n est pas demouree cre sti enn edeyypar s	-||--|--|-------|---⌫---⌫---⌫|-|-|---⌫|
ladis meet	-|---⌫-|-|
qu il soit uraydit	-|-|---|---|--|
arsene apresm o y	-----|----|-⌫-⌫|
letesmoingne	-|---------|
gregoirelesain t pastour et	-------|-|----⌫|------|-|
augustinles a intdocteur or	-------|-|-⌫-⌫--|------|-|
estainsipourrafreschirmadolour ditarsenequegrant	--|----|---|---------|-|-----|--|-----|--|----|
tempsaiadis etsi	----||----|-|-|
long tempsquil n	---|----|-|-||
estmemoiredu	--|------|-|
con t rairequeles yyroynesen ce monde	---⌫-⌫----|--|--|-|-----|-|-|----|
uea ns que les gens	---⌫-|--|--|---|
r efusoientlefinorde	-⌫--------|-|--|-|-|
lalkemiedestroysdamesc ydessus	|------|--|----|----|-⌫|-----|
dictes etusoientde l or sophis tique del apremiere	-----|-|------|-||-|------⌫----|-|-⌫|-------|
san sdire adi eu l es tr oysroy ness	---⌫|---||--⌫-|-⌫-|--⌫--|---⌫--||
enuole r entetsi	-|----⌫-⌫--|-|-|
onquespuisnulneles	-----|---|--|-|--|
potretrouueretlest roysdamesun	--|--------|-|--|-⌫---|----|-|
grant te m ps apresde mourerentet toutefois	----|--⌫-⌫-|----|--⌫--------|-|--------|
leurma r chandieest oitauileeelles s	---|--⌫-⌫------|---⌫--|-----|----||
enuole rentaus sietse	------⌫---|---⌫-|-|-|
retra ierent enl a	-----⌫-----|-|-⌫|
dicte montaignelaouellesforgent	----|--------|-|-|----|------|
delicieusesi c ommeamoyetapaou depersonnes	---------|-|-⌫---||--|-||---|-|--------|
deced esert	-|-|-⌫----|
aestér eue le ́si uousconseillie	|----|-⌫---⌫--⌫|-|---|---------|
dit arse ne	--|----⌫-|
desir etabonne esperanc eque	----|-||----|--------⌫|--|
uous parfaisez uos tre	---|--------|---⌫--|
uoi agealan ttousioursuers orientettantaléset	---⌫--|----⌫|---|----|---|-----|-|---|----|-|
q ueu ouspuisséstrou uerla dictemontaign eet l esbelle s	-⌫-|-⌫--|-------|----⌫--|-|----|--------⌫|-|-⌫-|-----⌫|
dames autres maistress esdel	----|-----|---------⌫-|-||
alkem iequeiene suy nene	-----⌫-|--|-|-|--|-|-|
porroi e estrecarsanselle s c	------⌫|----|--|---|----⌫||
estassauoirsa ns	--|-------|--⌫-|
sc ienceenmaforgemo nbesant i enepourroie	--⌫----|-|-|----|--⌫|-----|-⌫|-|-------|
f o rgie rnelu i	-⌫-⌫----⌫|-|--⌫|
multiplierprené sdo nques	---------|------⌫|--⌫----|
c onfortenuo usetpens é s del	-⌫-----|-|--⌫-|-|----⌫--⌫|-||
er reretafinqu iluoussouuiengne d e moy	--⌫--|-|---|-|-|---|---------|-⌫|--|
prenés ma	------|-|
potenc equ i a n omperseuerance	------⌫|--⌫||-⌫-|-----------|
etla portésaue cu ousa u	-|-|------|---⌫|-⌫--|-⌫|
chemin en apuiantsurlui quantuo uss eré s	-----|-|------|--|--|----|--⌫-|-⌫----⌫|
aucunefois	-----|---|
tr a uailliésdeuoleretelle uousdonra	--⌫-⌫--------|-|----|-|---|---|----|
alegancearda ntdesir	-------|----⌫-|----|
et sabellesuerprindrent	-|-|----|---|--------|
congi e dusai nt hommeenlui	-----⌫|-|---⌫-|----|-|--|
regraciantetnou bl ierent pasla potenceilse	---------|-||--⌫--⌫-----|--|-|------|-|-|
midrenta la	------||-|
uoiee touchemi n disoientlun	---|-⌫|-|-----⌫|-------||-|
o quel legrace	|----⌫-|----|
dieunousaf a it	---|---||-⌫-⌫-|
ditardantdesiretbonne esperance	--|-----|----|-|----|--------|
quenous a uons trouué	--|---|-⌫---|------|
lepreudommealke mistequin o us	-|--------|----⌫----|--|-⌫-⌫-|
ensei g nét outcequenousauonsa	-----⌫-⌫--|-⌫--|-|--|---|----||
faire nes t cepas	----||--⌫|-|--|
gra ntarsene	---⌫-|-----|
dontla uiedes sa insper esparl etantqui	---|-|--|--|--⌫--|---⌫-|----⌫|---|--|
estoitle second	-----|-|-----|
a ro mmeapreslempereuret gouuerno it	|--⌫--|----||-------|-|--------⌫-|
toutl empireettoutlemonde alaissié	---||-----|-|---|-|----||-------|
toute sses	-----⌫|--|
richesseshoun ours	--------|----⌫---|
et pou rmultip lie rson besa nts	-|---⌫|------⌫---⌫|--|----⌫-||
estboutés enced eser ten unepetitelogeteb ien	--|------|-|-|-⌫----⌫|-|--|-----|-----|-⌫--|
direqueoupaoudetelzarsenes en	---|--|-|---|-|---|------|-|
cemon deauiourduyse	-|---⌫-|--------|-|
trouueroientoquell egrace dieu nousa fai t	-----------||-----⌫|----|---|---||---⌫|
pe nsonsde	--⌫----|-|
ly emente rrer ethastiuementuolerta nt que	--⌫----|-⌫---|-|----------|----|--⌫-|--|
une fois nous	--|---|---|
puiss onspa ruenirala dicte mont a igne	-----⌫--|--⌫-----||-|----|----⌫-⌫---|
latiercerebr iche	-|-----|----⌫---|
commentardantd esir etsa suerbon neespera ncesepartire nt	------|-----|-⌫---|-|-|---|---⌫-|------⌫--|-|-------⌫-|
du sainther miteetcom ment a tres grant	-|----|---⌫---|-|---⌫---||---|----|
pa ineet a longues	--⌫--|-||------|
i ournees uolan tet c hem inant paruindren talanoblemontaignede	-⌫------|-----⌫|-|-⌫---⌫----|----------⌫||-|----|--------|-|
labiauteduli eu et commenti ltrouerentle stroys	-|-----|-|--⌫-|-|------|-⌫|--------|--⌫|----|
maistressesd	----------||
alkemi e qui	------⌫|--|
dou lcementl es recuillirentde	---⌫------|-⌫-|-----------|-|
nomdes troys dame str eshouno urees	--|--|----|----⌫|--⌫-|-----⌫----|
a rd an t desir	-⌫--⌫--⌫|----|
request eausdictesdamesetleur	-------⌫|--|-----|----|-|---|
ilsem i stre nt auche minpassant	-|-|-⌫-⌫----⌫-|-|---⌫--|------|
parmynub ie te ndantuersorie nt	----|---⌫-|--⌫----|---|----⌫-|
deroyaumeen empireet	-|------|-|-----|-|
tresp asserent maintdesert par tout	-----⌫-------|----|-----|---⌫---|
deman dant le cheminune	-----⌫---|-|-----|--|
foi s enuolantlautrefoisen cheminant	---⌫|-|-----||----|---|-|--------|
etpour abregierl afig u refinablementat resgrant	-|---|-------|-⌫|---⌫-⌫-|----------||-⌫--|----|
pa ru indrent ala mo ntaigne	--⌫--⌫------||-|--⌫------|
semblaplusgrande	-----|---|-----|
assesetplus meruei lleusequea rsene n e le ur a uo i t	----|-|---|------⌫-----|--|-⌫----|-⌫|--⌫-|-⌫--⌫-⌫|
la premie re aussi pluslargee t	-|------⌫-|----|---|----|-⌫|
plusorri b lequilne	---|----⌫-⌫-|-|-|-|
pensoie ntilalerenttoutento ur la	-------⌫-|-|------|---|----⌫-|-|
r iu i ere et	-⌫--⌫-⌫--|-|
netrouuerent	-|---------|
nulleentreepouralera	----|-----|---|---||
dictemontaignesi	----|--------|-|
uolerentou ltre	-------|--⌫---|
appertementet se	----------|-|-|
trouuerentsur	---------|--|
lam ontaigneenla qu e lle	-|-⌫-------|-|-|--⌫-⌫--|
auoit une qu anti tede hommes et def emmes nonpas	----|--|--⌫----⌫-|-|-----|-|-|-⌫----|--|--|
moult gra nde	----|---⌫--|
quisem bloientbiengensde belle	--|---⌫------|---|---|-|----|
belestatet d	--|----|-||
autrecondic ion troppl us gracieuse que lesgensde	----|------⌫--|---|--⌫-|--------|--|--|---|-|
neuiuoientque de fruistres delictab lesqui croisoienten	-|-------|--|-|----|---|--------⌫--|--|---------|-|
dic temontaign e touteplainedediue rsarbresporta nsf ruit	---⌫-|--------⌫|----|-----|-|----⌫-|-----|-----⌫-|-⌫---|
queplusestla mon taigneestoit to ute	--|---|--|-|---⌫-----|-----|--⌫--|
arousee de	------|-|
tr esbell es fontaines dont	--⌫-|----⌫-|--------|---|
les ruissaux arousoient toutes	--|-------|---------|-----|
la grantriuierefais a ntun	-|----|------|----⌫-⌫-|-|
d ou lx sonpar maniere de melodie	-⌫--⌫-|--|--|------|-|------|
pourdoulc em ent do rmir	---|-----⌫--⌫--|--⌫---|
des biauxoyseaux	--|----|------|
rouges uersblanset	-----|---|----|-|
dorés etde	-----|-|-|
diuersespluma gesqui partoutiour	-------|-----⌫--|--|------|---|
d oulcement cha ntoi ent	-⌫--------|---⌫----⌫--|
iemepassedur aconte r etaussi	-|-|----|-|-⌫------⌫|-|----|
d esbiauxpalaisqui	-⌫-|----|-----|--|
laes to ien t	-|--⌫--⌫---⌫|
tousouurésa euure de	---|------||----|-|
musiqu edesourne mensdes pa lais	------⌫|--|-----⌫---|--|--⌫---|
e tdes habisdespersonnesde	-⌫|--|----|--|--------|-|
mag nif icence de l adicte	---⌫---⌫-----|-|-⌫|----|
montaigneenla quel le i l nefaisoit ne	--------|-|-|----⌫-|-⌫|-|------|-|
tr opfroitnetropchau t et l anuit	--⌫-|----|-|---|----⌫|-|-⌫|---|
nauoi tp oin t d	|----⌫|-⌫---⌫||
o bscuritedes merueilles qui yestoientil	-⌫-------|--|---------|--||-------|-|
s eroittro p long	-⌫----|---⌫|---|
arec order for s q ue tantque a rdantde siretbonne	|---⌫----|---⌫-⌫-⌫-|---|--|-⌫----|--⌫--|-|----|
es perance	--⌫------|
quanti lor entbien t outueu il dir en t lun	----|-⌫|--⌫--|---|-⌫--|--|-|---⌫--⌫||-|
urai e mentn oussom mesenpar adisterre stre qu antilorent	----⌫-⌫---|-⌫--|---⌫--|-|---⌫---|-----⌫---|--⌫--|-|----|
lagrantbiautedu l ieue tre uelé	-|----|-----|-|-⌫--|-⌫|--⌫----|
aceulxquiles	|----|--|--|
meno ientl acausepourquoy il estoientlauenus	----⌫---|-⌫|----|---|---|-|-------|-|----|
pucelle gr ac ieuseappelee printardantdesirparla	------|--⌫--⌫----|------|----|-----|----|--|-|
uneautrenommee a ttrempeeprist b onneesper anceetl e s	--|----|-----|-⌫-------|----|-⌫---|-----⌫---|-|-⌫-⌫|
menerent e nun t resbi aupalais la o u le s troys	-------|-⌫|-|-⌫--|--⌫-|-----|-|-⌫|--⌫|----|
dames estoient	----|-------|
quei laloientquerant	--|-⌫|------|------|
lesquelles forgoi e ntbesan sdor	--|------|------⌫-⌫-|-----⌫||-|
granttr a uail	----|--⌫-⌫---|
et faisoie n t tropbe llemonnoyeets i	-|-------⌫-⌫|---|--⌫--|------|-|-⌫|
do ulcement	--⌫-------|
forgoient quelefeu dela f orge	--------|--|-|--|-|-|-⌫---|
n e rendoitpoin tdefu meene	-⌫|------|----⌫|-|--⌫--|-|
coupdemartelnyesto itpointouys ettoutes	---|-|-----|||----⌫-|----|---|-|-----|
yyforgoient un	-|--------|-|
besantquiauoitlempraintede chascu ne	-----|--|----||--------|-|------⌫-|
elle s laisserentun	----⌫|---------|-|
paouafor gi er sans l ai s si erle	---||---⌫--⌫-|---|-⌫--⌫-⌫--⌫-|-|
mestierce s embloit et	------|-|-⌫------|-|
r ec euurentlespe lerinstres graci eusementa rdan t	-⌫--⌫------|--|--⌫-----|---|-----⌫-------|-⌫----⌫|
desiret bo nne	----|-|--⌫--|
esper anc eu eansla magnificen ce etl	-----⌫---⌫|-⌫---|-|----------⌫-|-||
auoienttant desir é	------|---|-----⌫-|
atro uuer dei oyef urent to us	|---⌫---|-|-⌫--|-⌫----|--⌫-|
rempliset de leur merue illeuseb iaute etbe lle	------|-|-|---|-----⌫------|-⌫----|-|--⌫--|
contenance	---------|
furenttousesbahisor	-----|---|------|-|
sauo ircommentc estroys	----⌫-|------|-⌫-|----|
damesestoientpa rees lapr emiere qui estoitlaisnee	----|-------|--⌫---|-|--⌫-----|--|-----||-----|
es toituestue	--⌫---|-----|
d uneco tededr ap	|--|--⌫-|-|--⌫-|
de s oy eplusblanc quenege	-|-⌫--⌫|---|----|--|---|
pardessu sportoit u nhaubertdef i n	--------⌫|------|-⌫|------|-|-⌫-⌫|
orreluisantet es to itbien	-|--------|-|--⌫--⌫-|---|
pignieet le sc heueuxespar s sur l esespauleset	-----|-|--⌫|-⌫-----|-----⌫|--|-⌫-|-------|-|
de rrie ree lle	--⌫----⌫-|-⌫--|
po rtoits urson chief unbiauchapiau d ora	--⌫----|-⌫-|--|----|-|---|------||-||
perle setpierres	-----⌫|-|------|
pr e c ieusesetensamain destrepor toitun	--⌫-⌫-⌫-----|-|-|-|---|-----|---⌫---|-|
biaurain d ol iuieret	---|---||--⌫----|-|
e n l a utre	-⌫||-⌫---|
main portoit u n b iaub ouffeaud e	---|------|-⌫|-⌫--|-⌫------|-⌫|
bellesflour s q u i	-----|-----⌫|-⌫-⌫|
iamais nes echo ie nt c estnoble dame aisnee desyysuers	-----|-|-⌫----⌫--⌫-|-⌫--|----|---|-----|--|-|----|
nomalegresse la seconde	--|--------|-|------|
estoituestued	-----|-----||
escarlatemouree etdunmanteau de	--------|-----|-||-|------|-|
cemeism etoutgoutéd or	-|-----⌫|---|-----||-|
q ui licouuroitetle corps	-⌫-|-|-------|-|-|----|
test eet n ep aroit	----⌫|-|-⌫|-⌫----|
le uisage tant seule m entetunpaou desapoic trine	-|-----|---|-----⌫-⌫--|-|-|---|-|-|----⌫----|
et fa isoit	-|--⌫----|
un echiere mo ult	--⌫|-----|--⌫--|
humbleet moult piteuseetestoitpa r fa ictem ent	-----|-|----|------|-|-----|--⌫-⌫--⌫-----⌫--|
bel leelle	---⌫-|---|
tenoitensamaindes treun e	-----|-|-|---|---⌫--|--⌫|
grantcl ef	----|--⌫-|
moultbienouuree	----|---|-----|
etal a utrese spatenostresqui	-|||-⌫---|--⌫|----------|--|
relus oien tfo rtceste s econded amea uoitnomamou reusela	-----⌫----⌫|--⌫-|----|-⌫-----|-⌫--|-⌫---|--|----⌫----|-|
tierce dame e stoit uestued unecoteuer meille	-----|---|-⌫----|-----||--|---|---⌫-----|
bienestro ite d	---|-----⌫--||
un finueliau c arme sin	-|--|-----|-⌫----⌫--|
et s ainteduneric hesainct uredo r	-|-⌫----||--|---⌫-|------⌫--||-⌫|
ouureesipor toitsur sa t este	-----|-|---⌫---|--|-|-⌫---|
moult bien pignie	----|---|-----|
un cercl e d	-|-----⌫||
acierbienfourbiet	----|---|-----|-|
en s amaindestre	-|-⌫|---|-----|
espee dacie r	----||----⌫|
tren chansetenlautre unepetiteue rgedor	----⌫----|-|-||----|--|-----|--⌫--||-|
debaquect ec este	-|-------⌫|-⌫---|
dameauoi tnombo nneauentur equ ant	---|----⌫|--|--⌫--|-------⌫|--⌫--|
d esiretsasuer orent bien c onte mplélabia ute	-⌫---|-|-|---|----|---|-⌫----⌫----|-|---⌫--|
e tm isterede	-⌫|-⌫-----|-|
cestres nobles damesqui l auoienttan tdesi réar dant	--|---|-----|----|-|-⌫|------|---⌫|----⌫--|--⌫---|
pri n t lapar oleet dit	---⌫-⌫|-|---⌫--|-|--|
ainsimestre	----|--|--|
chi erese tuenerab les dames	---⌫---|-⌫|-------⌫--|----|
die u no usafaitceste gra ce	---⌫|--⌫-||---|----|---⌫-|
queparle bon	--|--|-|--|
con seilet	---⌫---|-|
adrecemen t du benois tuielarsenequideme u reen e gi p tenou s	---------⌫|-|------⌫|---|-----|--|----⌫-⌫-|-|-⌫--⌫-⌫-|---⌫|
uousauons t rouuée tnon passans grant	---|----|-⌫-----|-⌫|--|--|---|----|
trauailetpource	------|-|---|-|
quenousqueronsaucunalkemist e qui n ous	--|---|------|----|--------⌫|--|-⌫--|
enseignier amult i pliernos tr eb es antet nous	---------||----⌫-⌫----|---⌫--⌫|-⌫--⌫--|-|---|
enfourm ésque	-------⌫--|--|
uous m esdamesestes parfaic te s	---|-⌫-|----|----|-------⌫--⌫|
en alk emie si	-|---⌫---|-|
uous su ppl ionstreshumblemen tquepourlareuerencedu	---|--⌫---⌫---|---|---------⌫|--|---|-|--------|-|
souuerainmai s tre maist redela	--------|---⌫-⌫--|-----⌫-|-|-|
monnoyeayans co nsideracio na	------|----|--⌫----------⌫||
n ostre b on ne	-⌫----|-⌫--⌫-|
uolenteetque no ussommescy au olés	------|-|--|--⌫-|-----|-|--⌫----|
despartiesdocc identquepar	--|------||---⌫----|--|--|
uostre gran de cour toysi e uo us	-----|----⌫-|----⌫-----⌫|--⌫-|
ay éspitiedenousdeuxet	--⌫--|----|-|---|---|-|
qu iluousplaisea nous	-|-|---|-----||---|
m oustr erdoulcem entunepa r tie	-⌫-----⌫-|-------⌫--|--|--⌫-⌫--|
deuostre saincte	-|-----|------|
alkemielors l	------|---||
aisne edest royssuersce st ass auoiral egresse	-----⌫|--|-⌫---|----||-⌫-|---⌫----|--⌫------|
elles troys	----|----|
printlap arole	----|-|-⌫----|
etdit a insi biauxamisardant	-|--|-⌫---|----|---|-----|
desiretuous	----|-|---|
mabelleamiebon ne esperanceiles tasses	-|----|---|---⌫-|--------|-|--⌫|----|
co gneuau monde et lesancienn es	--⌫---|-|----|-|--|-------⌫-|
cr oniquesleracontent	--⌫------|-|--------|
commentlaric hema rchandie que	------|-|---⌫-|--⌫-------|--|
nousfaisiemesaumondede	---|--------|-|----|-|
nostre sain ctealkemi e	-----|----⌫--|------⌫|
dut empsquenou sydemour amesest oit	-|-⌫---|--|---⌫||------⌫---|---⌫--|
multi pliéd orientenoccidentetdemidi	-----⌫----||-----|-|-------|-|-|---|
ens eptent r i on sicomme	-|-⌫------⌫-⌫-⌫-|-|----|
uous lauésbiensceuparlesainthermitele	---||----|---|---|--|-|----|------|-|
uiel arseneor	---|-----|-|
esta insique pour ce q uel e	--|-⌫---|--|---|-|-⌫-|-⌫|
mondeae u en despitnostre	----||-⌫|-|-----|-----|
noblemestier nousnoussommes	----|------|---|---|-----|
cy retrai ctesetf or gons	-|------⌫---|-|-⌫--⌫---|
parnousmeismes sa nsnul traueil	--|---|------|--⌫-|--|------|
etagran tdelectacion parle	-||----⌫|----------|--|-|
commandemen te tgrac e dugrantma istre	-----------⌫|-⌫|----⌫|-|----|--⌫----|
de lamonnoye etauons	-|-|------|-|----|
emprinsde no nplus ret o urne r aumondene demoustrer	------|-|--⌫|---|---⌫-⌫----⌫|-|----|-|-|-------|
scienceanull e pe rson nemortele se n	------||----⌫|--⌫----⌫-|------|-||
estoitparun command emen t	-----|--|-|-------⌫----⌫|
nos souuerainesd ames roynes	--|----------|-⌫---|-----|
ausquellesno ustou s iours	--|------|--⌫-|---⌫|----|
obeissonsurayestque granttempsap asséque	--------|---|--|--|----|----||-⌫----|--|
nullecreatured umo ndenepotpasser lariuiere	----|-------|-⌫|--⌫--|-|--|-----|-|------|
encla int ces te	-----⌫--|---⌫-|
bell e montaign efo rsqueuous yytan tseulemen t	----⌫|--------⌫|--⌫----|---|-|---⌫|--------⌫|
biend eue ́s	---|-⌫---⌫-|
donquesleuerdie u	------|----|---⌫|
etregracierl eso uuera i nprinced es	-|--------|-⌫|--⌫-----⌫-⌫|-----|-⌫-|
alkem istesquiuo usa faitceste gra ceque uous	-----⌫----|--|--⌫-||---|----|---⌫-|--|---|
paruenuanousu oire	------||---|-⌫---|
pour nou s ueo ir	---|---⌫|---⌫-|
et cebiaulieu cyremir er	-|-|---|---|-|-----⌫-|
et puisen u ostre	-|---|-|-⌫----|
contreeta ntostretou rn erma tresnobleda me	------|--⌫----|-----⌫--⌫-|-|---|----|--⌫-|
di tardan tdesirayé s pitiedenousetdu retourner	--⌫|-----⌫|----|----⌫|----|-|---|-|-|--------|
riensfaire ne ueullés p lusparl erce ramsi au	----|----|-|-------|-⌫--|----⌫-|-|-----⌫-|
d oliuier que	|------|--|
u oustene ́ senuostremai ndestre	-⌫--|----⌫-⌫|-|-----|---⌫|-----|
segnefiantpaixet	---------|---|-|
conco rd e	-----⌫--⌫|
nemo ust re pasque no ussoions chassiésde	-|--⌫---⌫-|--|--|--⌫-|-----|--------|-|
uostre noble	-----|----|
presencelasec on de su eram o ureus elorsnese	-------|-|---⌫--⌫-|--⌫-|--⌫-⌫-----⌫|---|-|-|
tenirdeparlerayantcompassiondeardant d esir et	----|-|-----|----|---------|-|-----|-⌫---|-|
esperan ceet	-------⌫-|-|
suer alegresse mabel les ueri l	---|--------|-|---⌫-|-⌫--|-⌫|
faut auoir	---|----|
compassiond e c es	---------|-⌫|-⌫-|
gracieux peler i nsquisont	-------|-----⌫-⌫-|--|---|
uenuesanousdesi loi ntains	-----||---|-|-|---⌫-----|
pais etlorsla	---|-|---|-|
tiercesuerb onne	-----|---|-⌫---|
aue nturedit me s suersc espelerins cy pourle ur	---⌫----|--|--⌫|----|-⌫-|-------|-|---|--⌫-|
leurbo nneuolente	---|--⌫--|------|
i lestraysonque de n ousil	-⌫|--|-----|--|-|-⌫--|-|
s oient con forte ́	-⌫----|---⌫-----⌫|
mes be l le s	--|--⌫-⌫--⌫|
suers ditaleg resse	----|--|----⌫----|
u o usyacordés la chose	-⌫-⌫-||-------|-|----|
est grandeet	--|-----|-|
acoustumeeilen faultparler a nos	---------|-|-|----|-----||--|
sou uerainesda m e ssauo ir	---⌫-------|--⌫-⌫-⌫|----⌫-|
silleur plairaquen ousdo yon sac espeleri ns	|-|---|-----|--|-⌫--|--⌫---⌫||-⌫-|------⌫-|
reueler nostrescience	------|-----|------|
laquarterebriche	-|-----|-------|
comment le s tro ys damesdela	------|--⌫|---⌫-|----|-|-|
ri chemontai gne c	--⌫--|------⌫--||
estassauoir	--|-------|
alegresseamoureuseetbonneau enturemenerenta rdant des ir	--------|--------|-|----|--⌫-----|-------|-⌫----|---⌫-|
e t s asuerbonn e	-⌫|-⌫|---|----⌫|
esperanceausroynesdess ustoucheesp our	--------|--|-----|----⌫-|-------|-⌫--|
de terminer dela requestedea rd antde si ret de	--⌫-------|-|-|-------|-|-⌫--⌫--|--⌫--⌫|-|-|
s asuerdubiau	-⌫|---|-|---|
lieu et pa laisroyaletmist eres	---|-|--⌫---|----|-|----⌫---|
destroysroy nessouuer ain es	--|----|---⌫--|------⌫---⌫-|
alke mist es etcomment lacause	----⌫----⌫-|-|------|-|----|
dela uenuedard antdesiretde	-|-|----||---⌫--|----|-|-|
sasuerfuuentillé	-|---|-|--------|
enpresencedes	-|-------|--|
t roys roynes du	-⌫---|-----|-|
r oynese t	-⌫----|-⌫|
de leurs habis	-|----|----|
le quartchapitre	-|----|-------|
pourab regierlafigure	---|--⌫-----|-|-----|
dardantdesirpar	|-----|----|--|
sesdoulcesparole s	--|------|------⌫|
tantsupplie queles troy sdamesdeterm inerentdaler	---|------|--|--|----⌫|----|------⌫------||---|
deuersleursda messouuerainesetmenerenleurcompaignie	-----|----|--⌫--|----------|-|----|-|---|---------|
desiretbonneesperance etlaconclur e	----|-|----|--------|-|-|-------⌫|
toutcequienseroi t	---|-|--|-|-----⌫|
afair e etsemistrentauchemintousense mblepou r	|----⌫|-|-|-------|-|-----|---|----⌫---|---⌫|
deuers lesr oynesmaisamoureuse	-----|--|-⌫----|---|--------|
aloit tousio urs	----|---|--⌫--|
deuant ta ntale rentde	-----|--⌫-|---⌫---|-|
i ardinenue rgierquiltr ou uerent enun	-⌫----|-|--⌫----|-|-|--⌫--⌫-----|-|-|
destroit une	-------|--|
tres haultemo ntaign edebellesflours	---|-----|--⌫------⌫|-|-----|-----|
auironnee et	--------|-|
estoitsi glori euseq u elleresplend issoit	-----|-|-----⌫---|-⌫|---|--------⌫-----|
lum ier elassus	---⌫---⌫|-----|
habita cionsi riche etsimerueilleuse	------⌫---|-|----|-|-|-----------|
quede uisernesepor roit	--|--⌫----|-|-|---⌫---|
en la quelle	-|-|-----|
hab i tacioncestoit un	---⌫-⌫-----||-----|-|
pa laisroyaletplusque	--⌫---|----|-|---|--|
i mpe rialou	-⌫---⌫---|-|
q uel le st roys roynes	-⌫--|--⌫|-⌫---|-----|
dem ouroientetdubia u go uuernement du	---⌫-------|-|-|---⌫|--⌫---------|-|
cieletd e l aterreetde	---|-|-⌫|-⌫|----|-|-|
lameretparespecialdel or logeou	-|--|-|--|-------|-||--⌫---|-|
pelerinag edu poure	---------⌫|-|----|
pelerinsou uent rep eteeentreellesyy g racieusementde uisoie n t	------|---⌫---|---⌫---|----|----|-|-⌫-----------|--⌫------⌫-⌫|
etpoura bregierlafigurea legres seamou reus e e tbonne	-|---|-⌫------|-|-----|-⌫------⌫-|----⌫----⌫|-⌫|----|
auentu ree tenl eurc ompaignieardantdes ir etbonneesperance	------⌫-|-⌫|-|-⌫--|-⌫--------|-----|---⌫-|-|----|--------|
deuantles t ro ysroynessetrouu erentetparfaictelareuerence	-----|--|-⌫--⌫-|-----|-|-----⌫----|-|--------|-|--------|
deuedecha scuneamoure useprintla parole	---|-|---⌫----|------⌫--|----|-|-----|
etd it ains i	-|-⌫-|----⌫|
ausy y r oynes mes dames	--|-⌫|-⌫----|--|----|
treshonourees	---|--------|
ueésc yles pelerins	----|-⌫|--|-------|
ardan tdesiretsa su erbon ne esperanceq ui sontuen u s	-----⌫|----|-|-|--⌫-|---⌫-|--------|-⌫-|---|---⌫-⌫|
