mesireno bles	-|---|--⌫---|
mesnenfis t mie	--||-|---⌫|--|
sonplais ir	--|-----⌫-|
quilsap a rcutquil leuoltpr andre	-|-||--⌫-⌫---|-|-|-|---|--⌫----|
e ntornane luolt	-⌫|----|-||---|
renartquisetdetantesbu fes	-----|--|--|-|-----|--⌫--|
l i es rachay y	-⌫|--⌫----|-⌫|
desplu me s	--|---⌫--⌫|
bienlecuid a auoir	---|-|----⌫|----|
parsonengin et	--|--|----|-|
ent repris	---⌫-----|
illidi soit qu i l	-|-|--⌫---|-|-⌫|
auo itpla ie	---⌫-|---⌫-|
mesdelui otmalemanaie	--|-|--|-|---|-----|
porroiepas retraire	------|--|-------|
le smausl anui	--⌫|---||---|
nelec ontraire	-|-|-⌫-------|
qu erenart a	--⌫|-----||
feta bru n	--||---⌫|
aysengrinetapluso rs	|-------|-||-----⌫-|
liroisparl aco nmes enez	-|---|----⌫|--⌫--|-⌫---|
etdist seignorsormescoutez	-|---|-------|-||-------|
yseng ri nsest	-----⌫--⌫||--|
amoi cl amez	|--|--⌫---|
de re nartquitantest blasm ez	-|--⌫---|--|---|--|-----⌫-|
qui safame	--|-|---|
lia malmise	-||------|
luiasaforcemise	--||-|----|---|
s iui l m ent e tente l	-⌫|--⌫-⌫-⌫--|-⌫|-|--⌫|
conmeune au tr echamberiere	----|--|--⌫--⌫|----------|
to zsespensersifu forniz	--⌫|--|------||-|-----|
nenat o zsu ihonniz	|-||-⌫-⌫|--⌫|-----|
ilenfuaserement mis	-|-|-||-------|--|
porce que il	--|-|--|-|
lauoit pramis	|----|-----|
par de uantn ostreconnestable	--|--⌫---|-⌫----|----------|
dudeliu rermescefufable	-|-----⌫--|--|-|-|----|
alerausaintu ai re	---|-|------⌫--⌫-|
f ou i s enli rousdep utaire	-⌫--⌫||-|-|---|---⌫-----|
ormec ouientquedroit	-|-|-⌫-----|--|----|
sineuoilq uemagent me hace	-|-|---|-⌫-|-|---|-|---|
qant rooniausliuieus	---|-------|-|----|
qui resetdeplusorsl atins	--|----|-|------|-⌫----|
etquimoul tafier	-|--|----⌫||---|
se s tclamezque queelmesa ge	|-⌫-⌫|-----|--|--|-|----⌫-|
lauoietrami s de mapart	|----|-----⌫|-|-|---|
qu il mef ei stuenirrenart	-|-|-|-⌫--⌫-|----|-----|
dontli fi strenartsigranthonte	---|-|--⌫-|-----|-|----|----|
mesbien aioila	--|---|-|-|-|
dequoi dantrooniausla pel e	-|---|---|-------||-⌫---⌫|
siditq ueparsa	-|--|-⌫-|--|-|
le fistr etenir enp riso n	-|---|-⌫-----|-|-⌫----⌫|
amuserlesot pa rp aro le	-----|-|--|--⌫|-⌫---⌫-|
etli dist dunecoongnole	-|-|---||--|--------|
quezzuilaina uoitten due	--|-|-----|-⌫---|---⌫--|
l ezunehaie	-⌫-|--|---|
desf endu e	----⌫----⌫|
quelagisoit zz saintuaire s	--|-|-----|-|----------⌫|
apelezsaintylaires	-----|----|------|
e t bien entendre	-⌫|---|-------|
qu elaredrece nt licontrait	--⌫|-|-------⌫-|-|-------|
cilnensotp as lauerite	--||-|--|-⌫-|-|-----|
ild eistuerite	-|-⌫---|-----|
tantlifist	---|-|---|
parengin acroire	--|----|------|
cuidasaparole fustuoire	----|-|-----|---|----|
cil quisa ges estresoloit	--|--|--⌫--|----|-----|
nusnestsi sa ges	--||--|-|--⌫--|
lalenfistrenartlemusage	-||-|---|-----|-|-----|
en lenginauoitzzfromage	-||----|----|-|------|
qu ezzui lainmi si auo it	--⌫|-|--⌫---|--⌫||---⌫-|
etrenart moultbienl isauoit	-|-----|----|---|||-----|
a labessieruitlefromage	||-------|--|-|------|
quilifist rendre l epea ge	--|-|---|-----|-⌫|---⌫-|
rooniaus nefistpa s qu esage	-------|-|---|--⌫|--⌫|---|
sai lliauan tpri stle fromage	---⌫--|----⌫|---⌫-|-|------|
ne uoltlessierquei l n	-|---|------|--|-⌫||
auresa chierestraint	-|----⌫----|-------|
qu idesor lecol	--⌫|----|-|--|
paineetangoisse sou fri male	----|-|-------|---⌫--|---|
cilsefandoilleet retorn e	--|-|--------|-|------⌫|
etrenart qu ip oint ne seiorne	-|-----|--⌫|-⌫---|-|------|
m e néconme fo l	-⌫-⌫--|----|--⌫|
lele ssap endant parle col	-|--⌫--|-⌫-----|--|-|--|
r ous quemaufe uarde	-⌫--|--|--|--⌫|---|
lidis tsoiezdes	-|---⌫|----|--|
uingnesgarde	------|----|
bienfu limas tinsdece uz	---|-|-|---⌫---|----⌫-|
f ua pa rceuz	-⌫|-⌫--⌫----|
omacuesetotiniau x	|-----|-||------⌫|
liont tantaunéle sburiaus	-|--|---|----|--⌫|------|
illeconttantlelasbat u	----|--|---|-|--|---⌫|
qa lat errelont	||-|-⌫---||--|
nebr etnec ri e	-|--⌫-|-|-⌫--⌫|
q uil ne pue t	-⌫|-|-|---⌫|
simplement contenirlestuet	---------|-------||-----|
a g rantpainneeschapa uis	|-⌫---|-----|------|--|
si conildi stie	-|--|-|--⌫-|-|
luosp leuis	|--|-⌫----|
ilafaitmala	-||---|--||
m ain tegent	-⌫---⌫-|---|
ie nenpr andraiorneargent	-||-|--⌫-----|-|-|-----|
ldestruieoule pende	|-------|-|-|----|
ouiln esttieusqu il	-|-||--|----|-|-|
sed esfende	-|-⌫------|
fetetuilanie	--|-|------|
tro p ai sofe r tsarenardie	---⌫|-|----⌫-⌫|-|-------|
fu auconcileoen	-|-|------|--|
deua ntlafestesainti ehen	----⌫-|-|----|----|-⌫---|
debrunlorsdetybert lechat	-|---||--|-|-----|-|---|
moiquip arsonba rat	--|--|-⌫-|--|--⌫--|
auoitysengrines coupé	----|-------|--⌫-----|
illiauo it totpardonne ́	-|-|---⌫-|--|--------⌫|
qu antil pristla croizpo r aler	--⌫--|-|----|-|----|--⌫|---|
conme peler inoutremer	----|-----⌫-|-------|
si tostconde	-|---|--|-|
nosdepa rti	--|----⌫--|
dantcoartlelieur easailli	---|----|-|-----⌫|------|
desonbord onq uiest	-|--|----⌫-|-⌫-|--|
lia touz perciezlescostez	-||---|------|--|-----|
auecsoil enuoloitporter	---|--||-|-----|-----|
quantcasenuintamoi	----|-||-|---||--|
porlui prendrecoruiapres	--|--|------|----|----|
etmibarontu it	-|-|----|--⌫-|
i l n otcurede	-⌫||-|---|-|
nostreauel	-----|---|
uerite ie l asis	-----|-||---|
mesonquesne pot es tre	--|-----|-|--|--⌫--|
iusq uealan uit	----⌫-||-|-⌫--|
der ou oisons	-|-⌫--⌫-----|
quebien so t que nosdormions	--|---|--⌫|--|--|-------|
lorsfudeson chaste l	---|-|-|--|------⌫|
u intlessauz menuz	-⌫--|--|---|----|
otceluinefust liez	-|----|-|---|---|
aarbr eou par queueou parpiez	|----⌫|-|--|----|-|--|---|
don t il fis t	---⌫|-|---⌫|
moultq uefe lencriemes	----|-⌫-|--⌫|--------|
don t illianis moi	---⌫|-|--|--|--|
puisenalauersla	---|-|--|---|-|
queueueotgesirsouuine	--|---|-|----|------|
maintenantsorle	---------|--|-|
c ors l imonte	-⌫--|-⌫|----|
presde fere mo ihonte	---|-|---|--⌫|----|
quantdamenoblesescri ot	----|---|----||-----⌫-|
sidurementque	-|-------|--|
baron quinefust esueilliez	----|--|-|---|---------|
deluia idierapareil liez	-|--|-⌫----|-------⌫---|
uersrena rt uolo ientdes tendre	---|----⌫-|----⌫---|---⌫-----|
mesaellesc ouintentendre	--||-|--|-⌫----|-------|
q ueporforceneporpouoir	-⌫-|--|----|-|--|-----|
tantsach ié	---|----⌫--|
queie fuig reuez	--|-|--|-⌫----|
apoi noi laqueuerompue	|--||-|-|----|-----|
qui es toit f ormentestendue	--|--⌫---|-⌫-----|-------|
aus sinos tre st ui testions	---⌫-|--|---⌫--⌫--⌫|------|
quantdan t tar d ifli	----|---⌫|---⌫-⌫-|-|
saillisussal esp eetrete	-----|--||||---⌫-|----|
b esoigne sifaite	-⌫------|-|----|
que ilnos a to uzdesliez	--|-|--||--⌫-|------|
i ln au oit p a se stéliez	-⌫||--⌫--|-⌫-⌫|-⌫---|---|
qu an t renartqui le montconchie	--⌫--⌫|-----|--|-|---|------|
aueucesi torne enfuie	|--|-|-|----|-|---|
n os f um esmis apres	-⌫-|-⌫--⌫-|--|----|
siconil ertde sonhu ispres	-|--|-|--|-|--|--⌫-|---|
uolo itdedenzentrer	----⌫-|-----|-----|
tardi sliuint al encontrer	-----⌫|-|---|||--------|
qui moulter tpr oz agrant merueill e	--|----|--⌫|--⌫-||----|--------⌫|
otsip r i s parmiloreille	-|-|-⌫-⌫-⌫|----||------|
queporsachi e rneportirer	--|--|-----⌫-⌫|-|--|----|
nepotonques au antaler	-|--|-----|--⌫--|---|
il mefu mainten a ntrend uz	-|-|-|-------⌫-⌫-|----⌫-|
s iconmandaiquil fustpenduz	-⌫|--------|-|-|---|-----|
a s for ches lauoi entmene ́	-⌫|---⌫---||----⌫--|----⌫|
qu an tie liaitoutp ardonné	--⌫--⌫|-|-|-|---|-⌫-------|
par la r equest eder meline	--|-|-⌫------⌫||--⌫-----|
estc ortoisemeschine	--|-⌫------|-------|
e t quant fuasforchesm enez	-⌫|----|-|-|------|-⌫---|
nefistilb i enquefor senez	-|---|-|-⌫-⌫-|--|---⌫----|
pelele ratilluecmurtri	---|-|--|-----|-----|
onq uesnulame nel senti	---⌫--|--|--|-||----|
puiss e nfouiuneualee	---||-⌫|---|--|----|
ma gentertto ute a pres a lee	-|---|--|--⌫--|-⌫---|-⌫--|
poteschaper	--|-------|
sorzz che snepris ta mon ter	--|-|---⌫--|----⌫||---⌫--|
yycoin gnies	-|----⌫----|
fisaporter	--|------|
conmandailechesne	--------|-|-----|
acou p e r	|---⌫-⌫-⌫|
l orssapensa	-⌫--||-----|
quil porroitfere	-|-|------|---|
enne fu il biendeputa ire	---|-|-|---|------⌫--|
yypetituers terres aprouc he	-|----|---|----||------⌫-|
u negrantcoche	-⌫-|----|----|
telm ed onnad ele z lorei lle	--|-⌫|-⌫---|-⌫---⌫||----⌫--|
l atesteenoi toute	-⌫|----|-|-|----|
u re m eille	-⌫--⌫-⌫----|
aterreme couint uenir	|----|-|-----|----|
oncnem e soi	--|-|-⌫|--|
s ibient enir	-⌫|---|-⌫---|
quantmiba ro nl or entueu	----|-|--⌫--⌫||--⌫--|--|
tu itsontam oiacoreu	--⌫-|---||-⌫-|-----|
nent endentpas a l u i gaitier	|---⌫-----|--||-⌫-⌫|------|
et re nar tsest	-|--⌫---⌫||--|
mis aufrapier	--|-|------|
etlors fisge mon bancr i er	-|---|--|-|--|--|--⌫-⌫-|
parto u t pleu ireta fi er	--|--⌫-⌫|----⌫-|-|-⌫--⌫-|
quequiconqu es lep orr oitpr andr e	--|--------⌫-|-|-⌫---⌫--|--⌫----⌫|
totmaintenantl efeis tp en dr e	--|---------|-⌫|----⌫|-⌫--⌫--⌫|
toutceueistes	---|-|------|
et se ustes	-|--⌫----|
siregrimbert que uosif ustes	---|-------|--|--||-⌫----|
ainz puisnepotestre tenuz	---|---|-|--|----|----|
mes or e stil	--|-|-⌫-|-|
a c or tuenu z	|-⌫--⌫|----⌫|
trainezert ainzquils en	------|--|-----|-||-|
parleiugement	--|-|-------|
renartto t cemaue z	-----|--⌫|-||---⌫|
qui biauce est yy	--|---|-|--|-|
toutiors n osauez fet moleste	-------|-⌫-|---|--|------|
plaint chascunebe s te	-----|-------|--⌫-⌫-|
ma barbeseie	-|----|-|-|
et ieenm onconse il	-|-|-|-⌫-|-----⌫-|
qant uosde	---|--|-|
moidepartire z	--|---------⌫|
ia mesbe s te	--⌫--|--⌫-⌫-|
natraperez	|--------|
renartfaitiltropeshais	-----|---|-|---|-|---|
ci lqui nestoitpas es b ahis	--⌫|--||-----|--|--⌫-⌫---|
netrop hast isdes aparo le	-|---|----⌫-|-|-⌫|----⌫-|
e stéauoitabo nneescole	-⌫---|----||--⌫--|-----|
uersterreti ntenclinle chief	---|----|--⌫-|-----|-|----|
sifaitsemblantquilliso itgrief	-|---|-------|-|-|-|--⌫-|----|
biensauoittaireetbien	---|-----|----|-|---|
etbien re spondr ee t ospose r	-|---|--⌫------⌫|-⌫|------⌫|
quantile naet	----|-|-⌫||-|
orli couient queil se	-|-|------|--|-|-|
cariluoitl ero i couroucié	--|-|---|-⌫|--⌫|---------|
zzpoi asonchiefred r e cié	-|--||--|----|---⌫-⌫-⌫---|
r ien sque	-⌫---⌫|--|
b iensesot	-⌫--|-|--|
garderd e ntreprandre	-----||-⌫----------|
auroia ditqu illiotroit	-|--||--|-|-|-|-----|
quil puiss erespondrepar droit	-|-|-----⌫|--------|--|----|
droitque dira saco rt	----|--|---||---⌫-|
tan ten fe renenaureto rt	---⌫|-|--⌫-||-|---|--⌫-|
re n artfe tnobl e bie nas	--⌫-⌫--|--⌫|----⌫|---⌫|-|
auracontredit	---|--------|
nostescoute ron	--||-------⌫--|
setudis bi en	-|-|--|--⌫-|
nosnos tairon	--|--|-----|
si rece dist	--⌫-|-|---|
re nartb ien	--⌫---|-⌫--|
qu iauezdit nesuipas	--⌫|---|--|-|--|--|
des alon g e squ eauez	--|----⌫-⌫-⌫|--⌫|---|
au ezdeso rmoitraites	--⌫-|----⌫|--|------|
detybert e t	-|-----|-⌫|
dela mesenge	-|-|------|
mescondi bien	|------|---|
conmentquilpraigne	--------|-|------|
et ducorbeletdecoupee	-|-|-----|-|-|-----|
quepa rm oine fu	--|--⌫|-⌫-|-|-|
nachanteclerne fisoutrage	||---------|-|--|------|
natiecelindesonfromage	||-------|-|--|------|
brunliors s estd e	---|-|--||--|-⌫|
ce rtesatortensu iblas mez	--⌫---||---|-|--⌫|----⌫--|
ainzne perdiparmoi chapel	---|-|----|--|--|-----|
n enefi smalaroo nel	-⌫|-|--⌫|--||---⌫--|
neamoncompere	-||--|------|
at o rt m encusent	|-⌫-⌫-||-------|
la stantma lseruiseai fait	--⌫|---|--⌫|------|-|---|
porbien fetaiiele co l	--|---|--|-|-|-|--⌫|
chascunle setni	------|-|--|||
nepechequi en cort	-|----|--|--⌫---|
madieusdonnee	||----|-----|
mes iteusest made stinee	--|----|--|-|--⌫-----|
sibiennesauraifere	-|---|-|-----|---|
ne menuien gnecontrere	-||-|----⌫--|-------|
certes moultai a teus b ienfai t	-----|----|-||---|-⌫--|---⌫|
quiormontpor c haciécest	--|-||--|---⌫-⌫-----|---|
e nauez o r	-⌫|---|-⌫|
fetsemondre	--|-------|
et ie suitout prest de res pondre	-|-|--|---|----|-|---⌫-----|
au iugementdeuost recort	-|-------|-|----⌫-|---|
a cest mot ys engrinacort	|---|--|--⌫-----|----|
deuantleroient relesautres	-----|-|--|---⌫-|--|-----|
etrooniauslif e l li uia utres	-|-------|-|-⌫-⌫|-|---⌫----|
la mesen gee ttybertlich az	-|-----⌫-|-⌫|-----|-|--⌫-|
degrantporchaz	-|----|------|
dame rousetelagelin e	---|------|-|-----⌫|
etdam epi ntesauoi sine	-|---⌫|--⌫--|-|---⌫---|
pond r elesoes gros	----⌫-⌫|--|--|---|
etsirechanteclerli	-|---|---------|-|
tantfont deuant	---|---|-----|
leroil orp lainte	-|--|-⌫-|-⌫-----|
n ia mestierparole	|||------|-----|
ren art sesaign e	---⌫--|-|-----⌫|
am ain esclenche	|-⌫--|--------|
bienuoi t queniamest i erguench e	---|---⌫|--||||----⌫-⌫-|------⌫|
orl i couient	-|-⌫|------|
gr antr esonr endr e	--⌫--|-⌫---|-⌫----⌫|
grant peo ra qu ennel e p ende	----|---⌫||-|-|-|-⌫|-⌫---|
sornesetrenartde barart	|-|-|--|-----|-|-----|
maracointatyber tlechat	--|------|-----⌫|-|---|
corest chauzenmalesma ins	|-|--|----|-|----|--⌫--|
moult sera bo nrectori eins	----|---|--⌫|-------⌫---|
seilsan zperteseneschape	-|-|---⌫|----||-|------|
sanz tailli er	---|------⌫-|
chaperonou chap e	-------|-|----⌫|
lan ot mestierp arol e fainte	-||-|------|-⌫----⌫|-----|
der ena rt	-|-⌫---⌫-|
fon tauroi com pla inte	---⌫|-|--|---⌫---⌫---|
etdeta ntessot	-|-|--⌫---||-|
qu a painnessepot	-||------|-|--|
cedistno b le s queuos est u is	-|---|--⌫-⌫--⌫|--|--|--|-⌫-|
renartres pont il mest aui s	-----|---⌫---|-||--|---⌫|
connois parraison	------|--|-----|
uers uosnoinule mespraison	---|--||-|---|---------|
ceditrena rt	-|--|----⌫-|
iadieusnenait e n	-|----|--|--|-⌫|
demesfetm e reco rt	-|-----|-⌫|----⌫-|
dontenuers uoseusse	---|-----|--|----|
il dir o ntq uequeilu oudr on t	-|---⌫-⌫-|-⌫-|--|-|-⌫----⌫--⌫|
mesporceri ensn e	--|--|-|--⌫--|-⌫|
metoudront	-|-------|
siluos plestqui	|-|--|----|--|
me s i resestes	-|-⌫-⌫--|----|
iesuis orditdeplusors	-|--|-⌫----|-|------|
ate l a i p ortég ran thono r	|--⌫|-⌫|-⌫----|-⌫---⌫|----⌫|
quiorma fe tgran td esenor	--|-|||--⌫|----⌫|-⌫-----|
iesaiqueli tors	-|--|--|-|---|
nestpasmi ens	|--|--|--⌫--|
touteuoies uaintralibiens	----|----|------|-|----|
onq uesder ien snem	---⌫--|-|-⌫---⌫|-||
deq uoi deusseestreanem is	-|-⌫--|-----|----|----⌫-|
dant ysengri nmonchier co mpere	---|-------⌫|--|----|--⌫----|
l am ela moiemere	|--⌫|-|---|---|
a safame nefis folie	|-|---|-|--|----|
sila moultpor	-|||----|--|
moiasaill ie	--|------⌫-|
suidumo strer sanzf aille	--|-|--⌫----|---|-⌫----|
oupariuiseou par bataille	-|--|----|-|--|-------|
einss iconlene sgardera	-----⌫|--|--|-⌫-------|
e tq u elacort	-⌫|-⌫-⌫|-|---|
ise ngrinest saill izenplace	---⌫----|--|-----⌫-|-|----|
qu iq ue ilpois tn equique	--⌫|-⌫-|-|----⌫|-⌫|--|--|
sa droitur eu oudra prouer	-|-------⌫|-⌫----|-----|
tot s anz men c ongecontr o u er	--|-⌫--|---⌫-⌫---|-----⌫-⌫-⌫-|
n oblec onman deque	-⌫---|-⌫-----⌫-|--|
niac eluiquic ont redie	|||-⌫---|--|-⌫---⌫----|
renartdityseng rin ent ent	-----|--|-----⌫--|---⌫--|
iesui cilq uisondroitatent	-|--|--|-⌫-|--|----|----|
des g ranz	--|-⌫---|
anu izquetuas fez	---⌫-|--|-|-|--|
quenosa uonceanz retrez	--|--|-⌫--|----|-----|
nemesont encor amendé	-|-|---|----|------|
sil auoit le	-||----|-|
roiconmandé	--|--------|
moul tas orfetbestes greuer	----⌫|-|-|--|-----|-----|
ainzquetepois tamener	------|-|----⌫|-----|
e tdesiones etdes	-⌫|--|----|-|--|
enasassez por	-|-|----|--|
foustenu z	---|----⌫|
por ceusqu ide t o icla mor	--|---|--⌫|-|-⌫-⌫|---⌫--|
etquicienpresentsestont	-|--|-|-|------||-----|
parmoiquipar	--|--|--|--|
toisuiho nn iz	--|--|--⌫--⌫-|
uoilque li p lezsoithuifeniz	---|--|-|-⌫--|---|--|----|
p arlaueritem e n irai	-⌫-|-|-----||-⌫|---|
iasedeusplait	-|-|---|----|
n enmentirai	|-|-------|
nen dietoutl euoir	|-|--|---|-⌫|---|
seielepuisap arc e uoir	-|-|-|---|--⌫---⌫-⌫---|
ferealonge	---|-----|
ne deci controuer menconge	-|-|-|--------|-------|
detraisontepro uuerons	-|------|-|---⌫------|
siqueg ara nt e ntro uuero n s	----|-⌫---⌫-|-⌫|---⌫-----⌫-⌫|
etmoster rai toutp arraison	-|------⌫--|---|-⌫-|-----|
etfelonnie ettraison	-|-------|-|------|
saurelachaison dire	----||-------|---|
seten uoloiesescondire	-||-|------|--------|
renartrespontbiendit auez	-----|------|---|--|---|
or ditescon mentlesauez	-|----|---⌫---|-|----|
di stysengrin bienle dirai	--⌫-|-------|---|-|----|
ia u oir neuo s enmentirai	-|-⌫--|-|--⌫|-|-------|
mescompereres estes	--|---------|----|
simauezm e néenbelloi	-||---|-⌫-⌫--|-|-----|
plusdeyyfoiz queienemente	---|-|-|---|--|-|-|----|
mainteb este astuf et dolente	-----|-⌫---|-|-|-⌫-|------|
bie nlont plusorsaparceu	---⌫||--|------|------|
quemainte foizmas	--|-----|---||-|
o rsaibie n seco rtmef aut	-⌫|--|---⌫|-|--⌫-|-|-⌫--|
nos sonmes uenu al asaut	--|-----|---|||----|
m oultaiparto i malendu r ez	-⌫---|-|--|--⌫|--|----⌫-⌫-|
ma i nte foiz tenespari urez	--⌫-⌫--|---||-|-|----⌫---|
demafamem a s maubailli	-|-|---||-⌫|--------|
r enarttuas	-⌫----|-|-|
oncmal atafa menefis	--|--||-|--⌫-|-|--|
ne uers toide riensnemes pr is	-|---|--|-|----|-|---⌫--⌫-|
distysengrincertes renart	---|-------|-----|-----|
ie l mos terrai demoie part	-||---⌫-----|-|---|---|
q ueuosa f orce lasaillis t es	-⌫-|--||-⌫---||--------⌫-⌫-|
autrout rouerpasne fail listes	-|---|-⌫----|--|-|----⌫-----|
uoiantmoiou uosistounon	-----|--|-|-----|-|--|
liba tis tes uosle crep on	-|--⌫---⌫--|--|-|----⌫-|
uiboutere tempai ndre	-|-----|-⌫|-----⌫---|
e td urement	-⌫|-⌫------|
laqueueestraindre	-|----|---------|
ill uec la teni s	---⌫--|-|----⌫|
nes em bloit pa sgieu d e	-|-⌫--⌫----|--⌫|---|-⌫|
c e n e porroiespas	-⌫|-⌫|-------|--|
que neuos ueisse	--|-|--|-----|
de scendre	--⌫------|
et uosb r aiessusremo nter	-|--|-⌫-⌫---|--|----⌫---|
nemes thontederaco nter	-||--⌫|----|-|----⌫---|
messeie celerl epeusse	--|-|-|----|-⌫|-----|
anuluidire ne ldeusse	|----|---|-||-----|
cedistrena rtia dieus	-|---|----⌫-|-|----|
q ueia tantanu liormesface	-⌫-|-|---||--⌫|--|------|
c aie fette ldesc ouenue	|--|--|--⌫|----⌫-----|
quemac o nmereaie f ou tue	--|-|-⌫-⌫----|--|-⌫--⌫--|
pl us bas de	--⌫-|--|-|
lu eils icon	|-⌫--|-⌫|--|
uos dite s	--|----⌫|
donquesseroieherites	------|-----|------|
orpuetonbiendefi sauoir	-|---|-|---|-|-|-----|
qu eu osne sa uez	--⌫|-⌫-|-|--⌫--|
ho nteauoir	--⌫--|----|
queceauezamenteu	--|-|---|------|
dontliautreseso n tteu	---|-|----|-|--⌫-⌫|--|
mesnend eussieztenir	--||-|-⌫------|----|
qu iluos torneatropgranth ont e	-|-|--|----||---|----|-⌫---⌫|
mesbie naue z telch ose a pr ise	--|---⌫|---⌫|--|--⌫--|-⌫--⌫--|
que h onteauez ariere mise	--|-⌫---|---|-----|---|
uergoingneabessie	---------|------|
qui h onizains sitespousee	--|-⌫---|----⌫-||-------|
le bouteret	-|-----|-|
les oufa ch ier	-|-⌫----⌫--⌫--|
fis ge to utpor	--|-|--⌫-|--|
boute r e mpa indre	-----⌫|-⌫---⌫----|
bien saique maliente n distes	---|--|--|--||----⌫-⌫-----|
mesienelfisseporbien	--|-|-||--|-|--|---|
or men rendezm algue rr edo n	-||-|-----|-⌫-|---⌫--⌫---⌫|
bie n etpor fran ch ise	---⌫|-|--|----⌫--⌫--|
mesormenr ende zma lserui s e	--|-||-|-⌫----⌫|--⌫|-----⌫-⌫|
que fousfisquant menentremis	--|---|--|----||-|-------|
orenestesmesanemis	-|-|----|--|-----|
renartdetant	-----|-|---|
te puezuante r	-|---|-----⌫|
bien sezafousm esse	---|--||---|-⌫---|
biencho seconneue	---|---⌫-|------|
que mainte best easdeceue	--|-----|----⌫|-|-----|
tu esd et el au cto rite	-|-|-⌫|-⌫-|--⌫---⌫---|
consei ll as enloreille	------⌫--⌫-|-||------|
entrer me feisen laseille	-----|-|---|-|-|-----|
et aualerelpuisded ens	-|-----|-|---|---⌫--|
lamal egoutea ieses d ens	-|---⌫|----|-⌫--|-|-⌫--|
a tou te rie nsastufaithonte	|---⌫-|---⌫-|-|-|---|----|
nest nusquien sache	|--|--|--|-|----|
tudeisquila porroit estre	-|---|--|-|------|----|
laie n senpar adi sterrestre	----⌫-⌫|-|---⌫---⌫|--------|
ouilauoit gaai ngnerie s	-|-|----|----⌫-------⌫|
et boisetplains	-|---|-|-----|
etprai eries	-|----⌫----|
nusnepooit riensdem ande r	--|-|----|----|---⌫----⌫|
q uenne peustlaie ns trouer	-⌫|-|-|----|----⌫-|-----|
etquiuoloitmengierpoissons	-|--|-----|------|-------|
ou luzoua utresousaumons	-|--|-|-⌫----|-|------|
tantena uo itconliplaisoit	---|-|-⌫--⌫-|--|-|-------|
asauolente	|-|------|
esl isoi t	---⌫----⌫|
d etoz bie ns	-⌫|--|---⌫-|
ertlilieusgarniz	--|-|----|-----|
is s ifuip ar toiescharniz	--⌫-⌫|--|-⌫-|--|--------|
iecuidaiquedei s ses	-|-----|--|---⌫-⌫--|
mes ie nefismie	--|-|-|--|--|
moultmengingnasa ic el eheure	----||--------||--⌫--⌫|----|
elseelentrais a nzdemeure	-|---|-----|-⌫-⌫-|------|
etla c o rdesedesto re il le	-|-|-⌫-⌫--|-|-----⌫--⌫--⌫-|
tu eresiaenla utres eille	-|---|-|-||-⌫---|-⌫----|
iefuipesan zet tul egie rs	-|--|-----⌫|-|-|-⌫----⌫-|
tr aitresesetlosengiers	--⌫-----|-|-|---------|
i eaualai ettu mo ntas	-⌫|-----|-|-|--⌫---|
quanten milepuismencontr as	----|--⌫-|-|---||-------⌫-|
don tfu m escuersir iezettains	---⌫|-|-⌫-|----|--⌫--|-|----|
mo u ltesde feloniep lains	--⌫-⌫-|-|-|------|-⌫----|
i edemandai	-⌫|-------|
que tuqu eroies	--|-|--⌫-----|
tume deistuten	-|-|---|-||-|
cestlacostumequiauient	|--|-|------|--|-----|
quant l izzuaetl autreui ent	----|-⌫|-|-|-||----|--⌫--|
d enfer estoi eseschapez	|----|-----⌫-|-------|
iremesatrapez	|----|------|
il l ecremestute n	--⌫-⌫-|----|-||-⌫|
demoitel traisonfeis	-|--|--|------|---|
illequessoufri gemesaise	-------|-----|-|------|
deboiur eestoiea gran taise	-|-----⌫|-----||----⌫|---|
yyfoizmereclo t	-|---|-|-----⌫|
sorlat es t e	--|-|-⌫--⌫-⌫|
moultiendura i g rantm oleste	----||------⌫|-⌫---|-⌫-----|
li blan cmoineme	-|----⌫|----|-|
tr estre ntfors	--⌫-----⌫-|---|
mebat iren tle	-|---⌫----⌫|-|
depot e n cese td e	-|---⌫-⌫-⌫--|-⌫|-⌫|
q u il mem istrentauentrillons	-⌫|-|-|-⌫------||----------|
me f irentt ela port	-|-⌫----|-⌫-|-⌫---|
illecme lessi erentp ormort	----|-|-----⌫----|-⌫-|---|
enzzfos se	-|-|---⌫-|
qui ertpulens	--|--|-----|
parl aqueueme mistrentens	--|-⌫|----|-|-------|--|
et enpres senf urenttorné	-|-----||-|-⌫----|-----|
en ortleum orentostelé	-|--|--||----|------|
depeorduiestrecreuez	-|---|--|----|-----|
m oul taipartoiestégreuez	-⌫---⌫|-|--|--|----|-----|
mepart iagrant painne	-|----⌫||----|-----|
queneperdi lalainne	--|-|----||------|
e ncormendue lenttuit	-⌫---||-|---⌫---|---|
mou ltsui dolenzquantilm	---⌫-|--|-----|----|-||
e n memb re	-⌫|----⌫-|
alerpesch i er	---|-----⌫-⌫-|
etenleue ta ntacrochier	-|-||--|--⌫-|--------|
totela que ueioigelee	---|-|---⌫-||-|----|
etalaglaces aielee	-||-|----|-⌫-----|
en peussedepa r tir	-|-----|----⌫-⌫--|
sanz laqueueperdreaupartir	---|-|----|-----|-|-----|
iseng ri n disle t uacertes	-----⌫--⌫|--|-|-⌫||-----|
qaiespa rmoieues	|---|--⌫|--|---|
parolesa force	------||----|
talecherietenfistforce	-|-------||-|---|----|
