#META# TextURIDancusM	-----|------|------|
#META#DEAF http/ /ww w.dea f-pa ge. de/bib l/bib99d.php #DancusM	-----|---|-----⌫---⌫-----⌫----⌫---⌫------⌫------------⌫-------|
#META #FEW	-----⌫|--|
#META#ARLIMAhttp s//www.arlima.net/qt/roi_dancus_liure_du.htm l	-----|-----|----⌫--------------------------------------------⌫|
#META #Author	-----⌫|-----|
#M ETA#AuthorBorn	--⌫---|---------|
#META#AuthorBornAmb	-----|------------|
#META#AuthorDi ed	-----|--------⌫-|
#META# Author DiedAmb	-----|------⌫------|
#META#Au thorFl1	-----|--⌫------|
# META#AuthorFl2	-⌫----|--------|
#META#TextTitleLiureduroiDan cus	-----|--------|----|-|--|---⌫--|
#META#TextSubtitle	-----|-----------|
#META#Textuols	-----|-------|
#MET A #T extSubi	----⌫-⌫|-⌫------|
#META#TextDom	-----|------|
#ME TA#Tra nslationtrue	---⌫--|---⌫-------|---|
#ME TA#Co ll e ctionCab inetdeuénerie	---⌫--|--⌫--⌫-⌫----|---⌫---|-|-------|
#META# Col lectionNo6	-----|---⌫--------||
#META#T extDe scA RL	-----|-⌫-----⌫---⌫-|
#META#TextD e s cuers	-----|-----⌫-⌫-⌫----|
#META # TextDateARLXII Iesiècle	-----⌫|----------|---⌫-|------|
#META#Tex tDateAd i13	-----|---⌫-------⌫|-|
#META# TextD ateMin	-----|-----⌫-----|
#M ETA#TextDateMax	--⌫---|----------|
#M ETA# EdE ditor Marti n-Dairuault	--⌫---|---⌫----|-----⌫----------|
#MET A# EdPla ceParis	----⌫-|-----⌫-|----|
#META#E dPu bli she rLi brairiede s Bibliophiles	-----|-⌫---⌫---⌫---⌫|--⌫------|--⌫|-----------|
#META #Ed u ol	-----⌫|--⌫-⌫-|
#META#EdYear1883	-----|-----|---|
#META# EdPage s1 -29	-----|------⌫|-⌫--|
#ME TA#MsBaseP ar is BnFfr 12581	---⌫--|-----|-⌫--⌫-|--|-|----|
#META#MsNum 2	-----|----||
#ME TA#MsDateAR L	---⌫--|--------⌫|
#MET A# M sDat eAdi	----⌫-|-⌫----⌫---|
#META# Formp	-----|---||
#ME TA#Complet etrue	---⌫--|-------⌫|---|
#META#N oWo rds	-----|-⌫---⌫--|
#ME T A #NoLi nes	---⌫-⌫-⌫|----⌫--|
#META # Di alAuth	-----⌫|--⌫-----|
#META#DialScribe	-----|---------|
#MET A#ScanURLhtt ps//archiue .org/details/le liureduro idan00al be go og	----⌫-|------|---⌫-----------⌫---------------⌫---------⌫--------⌫--⌫--⌫-|
#META# ScanURIO the r	-----|--------⌫---⌫|
#META#ArkIDa rk /1396 0/t8w9 58d55	-----|----|-⌫--⌫-----⌫------⌫----|
#META#LccnID	-----|-----|
#ME TA#OclcID	---⌫--|-----|
#MET A#WebAuthorDauid IosephWrisley	----⌫-|--------|----|-----|------|
#META#ORCIDWebAuthororcid. org/0000-000 2-035 5-1487	-----|-------------|------⌫------------⌫-----⌫-----|
#META#WebRe uiewer	-----|-----⌫-----|
#MET A# ORCIDReuiewer	----⌫-|------------|
#META#MiscInfo	-----|-------|
#META#CCLice nseC CBY-NC-SA4.0	-----|------⌫--|-⌫|-------|--|
Inte rnati onal	----⌫-----⌫---|
Pageu0 1P0 12	------⌫---⌫-|
piez pe tiz et maigre s sach esqueilest	---|--⌫--|-|------⌫|----⌫-|--|-|--|
gentis.I ceest	------|-⌫-|--|
laboneco n oissance	-|---|--⌫-⌫-------|
faucons.Toute uoie	-------|----|---|
sontbonmai nt	---|--|---⌫-|
Quan ttuuo iz lesfaucon s	----⌫|-|--⌫-|--|------⌫|
laniers est re	------|---⌫-|
bonstu p orra splus o isel erauecaus	---|-|-⌫----⌫|---|-⌫----⌫-|---|--|
auecles g e nt iset	---|--|-⌫-⌫--⌫-|-|
doiz gardersespennes	---|-----|--|-----|
ne soien tbrisiées auec l	-|-----⌫|--------|---||
chaudeet ledoi z mou ltmediciner et li	-----|-|-|---⌫|---⌫-|--------|-|-|
doizd onner àmangier	---|-⌫----|-|------|
aue ca loede III	---⌫|-⌫--|-|--|
io rsen III	--⌫-|-|--|
i l nesiée	-⌫|-|----|
sorfust m ai smet leso ruiuepierre.	--|---|-⌫--⌫|--|-|--⌫|---|------|
Gardetouzfauc ons et	----|---|----⌫--|-|
oistorse te sp riui ers	------|-⌫|-⌫--⌫----⌫--|
natouchent nen	|--------|-||
aprochentcalc inam.	--------|----⌫----|
Quan ttuuoiz	----⌫|-|---|
q uiont lespi eza nflezet	-⌫-|--|--|--⌫-|-⌫----|-|
l esiexsac hesqueilont	-⌫-|--|---⌫--|--|-|--|
podagra m.La	-------⌫-|-|
medic inee sttelepranuneoncede	-----⌫--|-⌫-|---|---|--|---|-|
uneonce d u ile do liueetunedragme de	--|---||-⌫--||-⌫---|-|--|-----|-|
aloeet me sletotans amb leet oi[ n]gsespiez	---|-|--⌫--|--|---⌫---⌫-|-|---⌫--|--|---|
le ioriuqueauti ersior etle	-|--|----|-|--⌫--|--|-|-|
soloiletli done à mangier ch ardechat	-----|-|-|---|-|------|--⌫-|-|---|
sera sains .Quant tu uo izle sfauco ns qui	---|-----⌫|----|-|--⌫-|--⌫|-----⌫-|--|
ettra ientaelslespenne d e	-|---⌫---||--|--|----|-⌫|
Pageu01 P 013	-------⌫-⌫--|
lo rélese tde lor coes	--⌫|----|-⌫|-|--|---|
s achi ezqueil	-⌫----⌫-|--|-|
ontgruffumum.	--|---------|
L a medic ineest teleque	-⌫|-----⌫--|--|---|--|
t upraignessa fianteetlafiantede	-⌫|-------|-|-----|-|-|-----|-|
etaloeetfortuin	-|---|-|---|--|
ai gre igaumentdetouz	--⌫--|-------|-|---|
et met tou ten Ibacind	-|--|---⌫|-||----||
areinetmesle	----|-|----|
ansam b leetleme t auserein	-----⌫-⌫-|-|-|--⌫|-|-----|
par III io rs	--|--|--⌫-|
etpuisbaignetonf a ucon etli done	-|---|-----|--|-⌫-⌫---|-|-|---|
ma ngierchar decolombauecmiel etpoiure	--⌫----|---|-|-----|---|---|-|-----|
et lemeteno ccur téetf aiausisp a r	-|-|--|-|-⌫----⌫--|-|-⌫-|----|-⌫-⌫|
iors etquant	---|-|----|
tuliuerras bo nes pennes	-|-|-----|--⌫--|-----|
uenirdel acoepraniaue rose	----|-|-⌫|--|---|---|---|
et lenl aue	-||-|-⌫--|
etein sis serasains.	-|---⌫--|---|-----|
Quan ta ucuns	----⌫|-⌫----|
uu etnorrir petitfaucon	--⌫-|-----|----|-----|
sa nz uiceil le doit	--⌫-|---|-|-|---|
norrire ntelmeniere	-----|-⌫|--|------|
donelim angercarnemursinamet pecorinam	---|-|-⌫----|-----|------|-|--------|
e t seil man iu ea u tre char ilper drala	-⌫|-|-|---⌫--⌫|-⌫-⌫--|---|-|---⌫--|-|
cuisseou autreme mbre. Douprem ier	-----|-|----|--⌫----|--|----⌫--|
oiselqui lpren tdo neli	----|-|-⌫|----⌫|--⌫-|-|
àmangier tant	-|------|---|
commeil uorra iuque a u	----|-|----|----|-⌫|
tiersoisel.	----|-----|
Quanttuuuesqu il	----|-|---|-|-|
pra ignea utresi le	---⌫---|-⌫---|-|-|
con traig au si comm enos	---⌫----|--⌫-|----⌫|--|
auonsd itdeuan t.	----|-⌫-|-----⌫-|
Quan dtuasfaucon nauré pran	----⌫|-|-|-----|-----|---|
Pageu0 1 P 014	------⌫-⌫-⌫--|
uefet oile	--|-|---|
doli ueet mesleansam ble	|---⌫-|-|----|-----⌫--|
e t oig laoùil estnaurez et le	-⌫|--|-|--|-|--|-----|-|-|
gardedaigu e	----||----⌫|
itouc heiqui.	|----⌫-|----|
Quanttuleuiaus muersi	----|-|-|----|---|-|
leleuedeuin	-|---|-|--|
c hautiuqueil aitles cros.Se	-⌫---|----|-|--|--|----|-|
iliato uchesi im eslede laloe. Et	-||---⌫---|-||-⌫---|-||----|-|
estn aurezsou z l ele	--|-⌫----|---⌫||--|
ousouz lepizou es	-|---|-|--|-|-|
costeoues la	----|-|-|-|
cuisse mitteibi	-----|----|--|
stu pam crossam	---⌫--|------|
et trit ambene cum cu ltello	-|----⌫-|---|--|--⌫-----|
do nec inala	--⌫--|-|--|
cum cultello cor rodat ur.	--|-------|---⌫-----⌫--|
Apréspranensens	-----|---|-----|
et cireigaumen te tse pumet	-|---|-------⌫|-⌫|--⌫--|-|
raxame tde stran pez	----|-⌫|--⌫-----⌫--|
toutescesc h oses	-----|--|-⌫-⌫---|
a u feue t coule et	-⌫|--|-⌫|----|-|
tr ait. Et quanttu lenuiaus	--⌫---|-|----|-||-|----|
fait le chautet	---|-|----|-|
oigaunepenneiuq ue	--||--|----|---⌫-|
f ait crossamet se tui	-⌫--|------|-|-|-||
uoizdem auuais e	---|-|-⌫------⌫|
est deliurez	--|-------|
pra n uerde r ame	---⌫|----|-⌫--|
metiqui iuquelamauuaisechar soit	--|---|----|-|-------|---|---|
arregi ée.Apré s pra nloignementblancet	------⌫---|-----⌫|---⌫||--------|----|-|
met iquiendroit	--|---|------|
et i lser ag a riz.	-|-⌫|---⌫|-⌫-⌫---|
Quanttuuuesiceluitostmueren	----|-|---|-----|---|---|-|
mo itiédefeurie r	--⌫----|-|------⌫|
metleenmueetlidone	--|-|-|--|-|-|---|
àman g ier t outescharsiuque	-|---⌫-⌫--|-⌫----|----|----|
emmi mars.	---|----|
Aprésmetdeuantlu i une	-----|--|-----|--⌫|--|
conche plainne	-----|------|
Pageu01 P015	-------⌫---|
dia ueetlidone ma ngier	|--⌫-|-|-|---|--⌫----|
poulezets etu	-----|-|-⌫|-|
uoiz queilne s t muez	---|--|-||-⌫-⌫|---|
pran lerecuitdou	---|-|-----|--|
lait auecmie l	---|---|---⌫|
etoiglac haretl i done se	-|--|-|-⌫--|-|-⌫|---|-|
ilnest muezporce pran la raigne	-||--|---|--|-|---|-|-----|
fai poudre etm et sor	--|-----|-|-⌫-|--|
la charetl idoneet	-|---|-|-⌫|---|-|
einsismue raet gardequetun e	-----|---⌫-|-|----|--|-|-⌫|
se spennessoient a c complies.	--⌫|-----|-----|-⌫-⌫--------|
Etqu a nttulostesdel a muegarde que	-|--⌫-⌫-|-||----|-|-⌫|--|----|--|
tuneleteignesàlacha lor ap résle	-|-|-|------|-|-|---⌫--|--⌫---|-|
dechar de gelinela ue ́eeniaueet	-|---|-|-----|--⌫--⌫-|-|---|-|
moul tsortamain etne uaoiseler	----⌫|--|-|---|-|-|-|------|
xxiors.Apré ssetup uez	-|----|-----⌫|-|-|-⌫--|
li pan reIoisel ettu	-|---⌫-||----|-|-|
quieniesle	--|-|--|-|
maistresselonc ta uolanté	-------|-----|-|-------|
le muequeil	-|--|--|-|
pu ete strem auuaissece nestparta col pe.	--⌫-|-⌫---|-⌫-----|-|-||--|--|-|---⌫--|
uoizq uete sfau co ns pran t bien	---|-⌫-|--⌫|---⌫--⌫-|----⌫|---|
lesoisiaus siletienadesen	--|------|-|-|---|---|-|
celegr aisseet	---|--⌫----|-|
lefaisente l manieretuseras	-|---|-|--⌫|------|-|----|
mauuaisma istres et porceprannent tuit	------|--⌫-----|-|--|-|-------|---|
faucon m a uuaisuice.	-----|-⌫-⌫----|----|
Li roiD anc uspensa etcon nutcommant	-|--|-⌫---⌫-|----|-|---⌫--|------|
ilp ois tcuireses fauconsque lagoute	-|-⌫---⌫|----|--|------|--|-|----|
nelespreist .Ilfist	-|--|------⌫|-|---|
lapremierecuiço n	-|-------|------⌫|
Pag eu01 P016	---⌫----⌫---|
sou z loillarmeusetpr ofite àla	---⌫||--|------|-|--⌫----|-|-|
Lau trecuiçonous ometdou	|--⌫--|------|-|-⌫---|--|
c hie f p orla	-⌫---⌫|-⌫-|-|
dolor do uchief.Lautre cuiçon	----|--⌫|-----||----|------|
no del eleporlagoutel	-|-||--|--|-|----||
porla goute .Lautre cuiçon	--|-|-----⌫||----|------|
plantedoupiéporla gou teettou te s	-----|--|---|--|-|---⌫-|-|---⌫--⌫|
cuic ̧onssontbonesà	----⌫---|---|----|-|
Quanttu uoizmarciam c orrantparle s	----|-|---|------|-⌫-----|--|--⌫|
narillesetne puetma ngiersachesqueil	-------|-|-|---|--⌫----|-----|--|-|
alafertele. Lam edicin eestte le	|-|-------|-|-⌫------⌫|--|--⌫-|
l echiefdarri eretli oi[n]g degra isseoude	-⌫|----|-----⌫-|-|-|-----|-|---⌫---|-|-|
bu rreetapré squierla u ain ne	--⌫--|-|-----⌫|----|-|-⌫---⌫-|
ie x etlitrancheet pranu ne aguilleet	--⌫|-|-|------|-|---|-⌫-|------|-|
boutees na rillesqueele issedel aut r e	----|-|--⌫-----|--|--|---|-||---⌫-⌫|
partet pran le burreetl anoi gchascu n	---|-|---|-|----|-||-|--⌫|------⌫|
ioretleme te nchaut leuiusque	--|-|-|--⌫|-⌫|----|--|-----|
iors e t einsis	---|-⌫|-----|
seraseins.Quanttuuoizle	---|-----|----|-|---|-|
fa uconperdrel ongl e dou	--⌫---|-----||----⌫|--|
lamedicine	-|-------|
entelmenie r epranl acar tu le	-|--|-----⌫-⌫|---|-⌫|---⌫--⌫-|
et lamprana ̀ la chandoi l ee t licui sledoi	-|------|-⌫|-|-------⌫-⌫|-⌫|-|---⌫|-|--|
ans on doulionglesc hiet. Aprés	---⌫-|--|-|-----|-⌫----|-----|
mielet lan	---|-||-|
oi[n]getlelieaueclacarte	-----|-|-|--|---|-|----|
Pageu01P017	----------|
coton etlelaisseparuIIIiors etil	----|-|-|-----|--|---|---|-|-|
Qua nttubaign es f aucon	---⌫-|-|-----⌫-|-⌫----|
gardequetu	----|--|-|
ne lemetessorfustmoisteque il	-|-|----|--|---|-----|--|-|
uenimde serpent uelde tarantaue lde	----|-|------|--|-|------|--⌫|-|
rospo etsei laueno itqueceschos esmo r diss e nt	----|-|-|-⌫|-----⌫-|--|--|----⌫-|--⌫-⌫----⌫-⌫-|
le faucon faien tel menierelamedicine	-|-----|--|-|--|------|-|-------|
pra ntyriacam ettriagrana	---⌫|-------|-|---|----|
iu niper i	--⌫-----⌫|
et lidonecumpetraasmina	-|-|---|--|----|-----|
iusqu àuIIIior setprant laraigne e t	----|-|---|---⌫|-|----|-|-----|-⌫|
l arenI pot de	|-|-||--|-|
enfaipourreet	-|--|-----|-|
puisenpor rela	---|-|---⌫-|-|
char de chatetlidone	---|-|---|-|-|---|
e t ilserase ins.	-⌫|-|---|--⌫---|
Etse au cune bes temortton	-|-|--⌫---|---⌫-|---|--|
poil e-leoùlamorsu re est etseele	----⌫---|--|-|-----⌫-|--|-|-|--|
estpet ite	--|---⌫--|
silafai gran t à	-|-|--|----⌫|-|
I rasoir e tpr an	|-----|-⌫|--⌫-|
burrechaut etl	----|----|-||
oi[n]giquiendr oitetpuis	-----|---|----⌫--|-|---|
fai ent ra itdee ncense traxae tceraet	--|---⌫--⌫-|-|-⌫----|-⌫|---|-⌫|---|-|
etl a noi[n]g	-||-⌫|-----|
i luecetilserasai ns.	-⌫---|-|-|---|---⌫--|
Quant te sfauconsestbaigniezetil se	----|--⌫|------|--|-------|-|-|-|
poi n tmalechoseestato uc h ier c aril	---⌫-⌫|---|----|--|---⌫--⌫-⌫--|-⌫-|-|
uenimezetanflezles piezporq uoise	------|-|-----|--|---|--|-⌫--|-|
tuleuiaus porte rsiaiesbongantcar	-|-|----|-----⌫|-|---|--|---|--|
P ageu01P018	-⌫---------|
i l tepierce l amainil	-⌫|-|-----|-⌫|---|-|
t e fer agrant	-⌫|---⌫|----|
Q uantilest b a igniezet	-⌫---|-|--|-⌫-⌫-----|-|
tu uiastostoiseler	-|---|---|------|
arrouse-lediauee tu aoi s el erceest	---------||---|-⌫|-⌫|--⌫-⌫--⌫-|-|--|
parfaitecu redes	-------|--⌫-|--|
Aa utre fau con	|-⌫---|---⌫--|
qui sonapelé fauc on	--|--|-----|----⌫-|
mutartsontde gra nthar dem entetsont	-----|---|-|---⌫-|---⌫---⌫--|-|---|
moultpe ruers.Nus honsne	----|--⌫-----|--|---|-|
set i ces fau cons	--|-⌫--|---⌫---|
gard er ausis commea ut resfaucons	----⌫-|----|----|-⌫--⌫--|------|
se ilnelesga rdeen	-|-|-|--|--⌫--|-|
telmenierec omme	--|------|-⌫---|
cis t liur esdist . Icis tfa uconneprennent	---⌫|----⌫-|----⌫|----⌫|--⌫---|-|-------|
miepetizoisiausmaisgranzet les couient	--|----|------|---|----|-|--|------|
plusfaireue illierqueautre sfaucons.	---|----|--⌫-----|--|-----⌫|-------|
n ele s doiz fai ren etrop	-⌫|--⌫|---|---⌫-|-⌫|---|
maigresnetrop	------|-|---|
gras.Etseilsontmalad es ilescur e	----|-|-|-|---|-----⌫|-⌫|--|---⌫|
telme ni ere commeil estde ssusdit	--|--⌫--⌫--|----|-|--|--⌫---|--|
lap asseauecpipion etap résempli I	-|-⌫---|---|-----|-|--⌫---|----||
nuefdiauee tmet a u	---||---|-⌫|--|-⌫|
fe uetlacuismo ult	--⌫|-|-|---|--⌫--|
etaprésla metenconchederainset	-|-----|-|--|-|-----||-----|-|
metdeu ant etseil	--|---⌫--|-|-|-|
boitilsera	---|-|---|
gariz et se	----|-|-|
il ne boit silem edic inedesdesusdites	-|-|---|-|-|-⌫----⌫--|--|---------|
med e cine s et einsis les p orrasau o ir	---⌫-⌫----⌫|-|-----|--|-⌫----|--⌫-⌫-|
Etsachesbien	-|-----|---|
queils o nt limeillor	--|-|-⌫-⌫-|-|------|
quis oient elmonde.	--|-⌫----|-|-----|
Pageu01P 019	--------⌫--|
Qua ndt ules	---⌫-|-⌫|--|
uiauscont rai ndre si	----|----⌫---⌫---|-|
co ntrai[ n] ge ntelma nieree scorchelagel ine	--⌫------⌫--⌫--⌫|--|--⌫----|-⌫------|-|---⌫--|
faitriapurg atoriaetlordon e.Et	--|---|----⌫-----|-|--|---⌫-|-|
se tu les ui au sbiensainssi oi[n]g le	-|-|--|--⌫--⌫|---|----|-|-----|-|
cummuscatoet i lserontsain.Et	--|------|-|-⌫|-----|----|-|
laiss epas	-----⌫|--|
esterfueras	----|---|-|
chans.Et quanttu	-----|-|----|-|
gite ras o is ia usgiete-leanço is	----⌫|-|-⌫--⌫--⌫-|-------|-----⌫-|
quelesa utresfaucons.Et s eilf autque	--|--|-⌫----|-------|-|-⌫|-|-⌫--|--|
n e prant nedoutepascar ilre paire r a	-⌫|----|-|----|--|--|-|--⌫-----⌫-⌫|
àta herber ge.Ic ilmaist res	-|-|------⌫--|--⌫-|-----⌫--|
mençongiersmaisuoi r di san sices medici nes	-----------|---|---⌫|--⌫---⌫|---|------⌫--|
son t bones et parfaitesetbienespro uée s.	---⌫|----|-|--------|-|---|-----⌫----⌫-|
G uillaumesl ifauconnier s qui futnorriz	-⌫--------|-⌫|----------⌫|--|--|-----|
enlacourtle	-|-|----|-|
roiR ogierq ui puis	--|-⌫----|-⌫-|---|
moult au ecsonfil	----|--⌫-|--|--|
et ot Imaistre	-|-||------|
qui futbienanse ignie zet sages	--|--|---|----⌫-----⌫|-|----|
d esfauconset cist Guillaumessot	-⌫-|------|-|---|---------|--|
ch osesque	--⌫---|--|
cilsauoit et tantplusqueiluost	--|-----|-|---|---|--|-|---|
liuretdecestart etl ic omm enc eme nz	-----|-|---|--|-|-⌫|-⌫---⌫---⌫---⌫-|
Ne doutezpas	-|-----|--|
ma is sachiez	--⌫-|------|
cer ta i nem entquenus	---⌫--⌫-⌫---⌫--|--|--|
tiexne stelmonde.	---||-⌫-|-|-----|
Pageu0 1P0 2 0	------⌫---⌫-⌫|
u oizque ila surcinu m mu mi am	-⌫--|--|-||-------⌫|--⌫--⌫-|
done licha rdeporcelet	---|-|---⌫|-|-----|-|
donechar de	---|---|-|
l etien iusqueil	-⌫|---|-----|-|
einsisdeliurez.	-----|--------|
Quant il a malum	----|-||----|
agrumsi pranune	----|-|---|--|
a gu illedacie retlacha uf ea u fe uet	-⌫--⌫---||----⌫|-|-|---⌫--⌫|-⌫|--⌫|-|
oillar meus etdarrierle	--|---⌫---|-|------|-|
aprésl oi[n]gdesa inde	-----||-----|-|--⌫-|-|
chatet li done la	---|-|-|---|-|
charde chat	---|-|---|
auec encens	---|-----|
iuque àIXiors	----|-|-|---|
et i lsera sains.	-|-⌫|---|-----|
Quant ilamalumprisicumac cipemuscatum	----|-||----|-------|--⌫---|-------|
eta ut antde grainsdefrome ntet	-|-⌫--⌫--|-|-----|-|-----⌫-|-|
bat en mortierde p ierre	--|-|------|-|-⌫----|
e t li met	-⌫|-|--|
oroi l lese tm et	----⌫-⌫--|-⌫|-⌫-|
au e cuin aigre	--⌫-⌫|--|----|
carnemcaprinam ab lutam en medici neet	-----|-------|--⌫----|-|------⌫-|-|
il serasa n ez.	-|---|--⌫-⌫--|
Quantil agoutear c eti qu esilecui enso n	----|-||----|--⌫-⌫---⌫--⌫|-|-|--|----⌫|
le chief etle cui	-|----|-|-|--|
enlaio i nt uredou	-|-|--⌫-⌫--⌫--|--|
acieretlidone à	----|-|-|---|-|
mangi erarondellecu m	-----⌫-|--------|--⌫|
ci minotritoiu sq ue	--⌫---|----|--⌫--⌫-|
autiers ioret ilse ra	-|----|--|-|-|--⌫-|
Qu antil alagouteenlago rge pran	--⌫--|-||-|----|-|-|--⌫--|---|
l a co stedouporce lsalésanzchar et	-⌫|--⌫--|--|-----⌫|----|---|---|-|
Page u01P021	----⌫------|
miel b ou l i et li done	---|-⌫--⌫-⌫|-|-|---|
etlautreior	-||----|--|
donel i coulonduretilserasanez.	---|-⌫|-----|--|-|-|---|-----|
Quant ilalagoutemortel esr ains	----|-||-|----|-----|-|-⌫---|
pr anmumiametuicti coracemet	--⌫-|-----|-|----|------|-|
man g ie r etl autre i ordone	---⌫-⌫--⌫|-||----|-⌫-|---|
li grassegeline	-|-----|-----|
serasanez.	---|-----|
silerampranherbarstr cllum	------|---|---------⌫----|
etlareten fai poudre e ten poudre	-||-|-|-|--|-----|-⌫|-|-----|
charlacer tiet	---|-----⌫-|-|
li done iu queà tiersior et	-|---|--⌫--|-|----|--|-|
donecha rdoursiuqueil soitgras	---|---⌫||---|----|-|---|---|
et lorssera sanez.	-|---|---|-----|
Quantilalagoute gr anffe silicui	----|-||-|----|--⌫----|-|-|--|
pl antedo u	--⌫---|--⌫|
ar ai net il	--⌫--⌫|-|-|
Quantilafie ur esipra nmuscatu m	----|-||---⌫--⌫|-|---⌫|-------⌫|
mesleauecg r aiss edegeline	----|---|-⌫-⌫----⌫|-|-----|
et lienoi[n]g	-|-|-|-----|
lespiez e t ilgarra.	--|---|-⌫|-|-----|
Quantilala	----|-||-|
pierreinmagonepran la	-----|-|-----|---|-|
p asseetloi [n ]gdemielet lidoneà	-⌫---|-||--⌫--⌫-|-|---|-|-|---|-|
etil garra .	-|-|-----⌫|
Quanti lalapi err eo u	----|-⌫||-|--⌫---⌫|-⌫|
fo n dement	--⌫-⌫-----|
pranlacor naille etli g ieteaspiez	---|-|---⌫-----|-|-|-⌫---|-|---|
laissemangierpa r	-----|------|--⌫|
III iorset ilsera s ains .	--|---|-|-|---|-⌫----⌫|
Pageu01P022	----------|
Quantil alum brico sbatlam ant e	----|-||---⌫-----⌫|--|-|-⌫---⌫|
pranleiu s	---|-|--⌫|
etle m eslea uecuinaigre	-|-|-⌫---|-⌫--|--|----|
metla chardep oule en celemede cine et	--|-|---|-|-⌫---|-|---|----⌫---|-|
lidone mangieretilga rra.	-|---|------|-|-|--⌫---|
Quant il a lat ine pi erce	----|-||-|-⌫--|--⌫---|
lecuiroùla	-|---|--|-|
tin eest à une aguill e	---⌫|--|-|--|------⌫|
et tu tr ouerassoie	-|-|--⌫-----|---|
samblablede	--------|-|
cheualetlatr ai horset	-----|-|-|--⌫-|---|-|
g ar dequell e	-⌫--⌫-|-|---⌫|
nesoitr o mpuee t pu is	-|---|-⌫-⌫---|-⌫|--⌫-|
oingiquiend ro itdealoe e tgard e quil	---|---|---⌫--⌫-|-|---|-⌫|----⌫|-|-|
n i atouche d es on	||------|-⌫|-⌫-|
b ec etleleueda i gue	-⌫-|-|-|---||-⌫-⌫--|
r osetoutsetu puezet	-⌫--|---|-|-|---|-|
setunepuez se	-|-|-|---|-|
l i l auelemalet ils an era.	-⌫|-⌫--|-|--|-|-|-⌫--⌫---|
Qua ntil aanfondeure p ran u inchaut	---⌫-|-||---------|-⌫--|-⌫-|----|
auec poiure broiée t limet enlagorge	---|-----|-----|-⌫|-|--|-|-|----|
etlifai tenir donecd i geritetilsanera.	-|-|--|----|----|-⌫-⌫----|-|-|------|
Q u ant il a	-⌫-⌫--|-||
poda gres ilecui en l a p lante	----⌫--|-⌫|-|--|-|-⌫|-⌫----|
doupiédec arted e	--|---|-|-⌫---|-⌫|
cotonetleme tsor	----|-|-|--⌫|--|
oi[n]glapierc ̧e	-----|-|-----⌫-|
etli donesu cre etilgarr a.	-|-|---|--⌫--|-|-|----⌫-|
Qua ntila griffump r an	---⌫-|-||------|-⌫-⌫-|
lafiantedela	-|-----|-|-|
so rizet l	--⌫--|-||
es corce d ela racine	--⌫----|-⌫|-|-----|
dormeet la	|---|-|-|
faibou lireniaueiusq uel iauesoi t rouge	--|---⌫--|-|---|----⌫-||---|---⌫|----|
etdestrampe le	-|--------|-|
fie nsdelas oriz decele	---⌫-|-|-|-⌫---|-|---|
P age u01 P023	-⌫---⌫---⌫---|
anleue parI IIio rsap rés	-|---|--|-⌫-|--⌫-|--⌫---|
uin bl ancetsainetlanl eue	--|--⌫--|-|---|-||-|-⌫--|
p ar IIIiors	-⌫-|--|---|
et ilgarra .	-|-|-----⌫|
Qua n ttuleuiausfairehardi	---⌫-⌫|-|-|----|----|----|
n e le porte	-⌫|-|----|
p as parlesruesnepar lacitéainçois	-⌫-|--|--|---|-|--|-|----|-------|
tienen leusecr e ́e tuersle	---|-|--|----⌫-⌫|-⌫|---|-|
soirle porte	---|-|----|
posortamain e t eins issera	-|--|-|---|-⌫|----⌫-|---|
har dizetne	---⌫--|-|-|
lidone mie espurgemen t deoiem a isde	-|---|--|----------⌫|-|--|-⌫-⌫-|-|
grueue lstardouelachirone.	---|--⌫|-----|--|--------|
DecesIIIli	-|--|--|-|
doneladiéte	---|-|-----|
laquele tufaisd ecoton e t	-|----|-|---|-⌫|----|-⌫|
neli donemiechascun ioruinaigre mais	-|-|---|--|------|--|--|----|---|
queporlorgoil	--|--||-----|
quiartle polmon et	--|--|-|-----|-|
foie.S e il	----|-⌫|-|
aorgoi ltuli end onras	|-----⌫|-|-|-|-⌫----|
iuquei lsoit humiliez etcest	----|-⌫|---|-------|-||--|
bonediéte	---|-----|
de toutesna turesdefa uconsquenos auons	-|-----|--⌫----|-|--⌫----|--|--|----|
desus di t.	----|--⌫-|
Sauc u n smaistres	|---⌫-⌫-⌫|-------|
ditqueil neprennen t	--|--|-|-|-------⌫|
oisiausilmentetditfause tne	------|-|---|-|--|---|-⌫|-|
ditet saucuns	--|-||-----|
uuetqueilp rei gnen t	---|--|-|-⌫---⌫----⌫|
faceladiéte	---|-|-----|
qui est desus diteeti l	--|--|----|---|-|-⌫|
pranrontbie netser ontbon	-------|---⌫|-|---⌫--|--|
etparfait.Del	-|-------|--|
norrissem entest boncequenos auonsdit	---------⌫--|--|--|-|--|--|----|--|
tou teuoie tuli puezdoner	---⌫-----|-|-|---|----|
cha rdecolon s	---⌫|-|-----⌫|
Pageu01P024	----------|
etdasne etc estbons	-||---|-||--|---|
norrissemenz.	------------|
Q uanttuleuues tostmuezch asque ior	-⌫---|-|-|---|---|---|--⌫----|--|
met li deuant luiiau e	--|-|-----|--|---⌫|
et einsiss era tost	-|-----|-⌫--|---|
muez.Etlidone soriz et	----|-|-|---|----|-|
einsis sera	-----|---|
mue z .Et si ne le	---⌫-⌫|-|-|-|-|
baignepasmaisque	-----|--|---|--|
