s uidedire teu z	-⌫-|-|---|---⌫|
un toilleal aut resonnon	-|-----|||---⌫-|--|--|
ets il aue n o itqu efortun e	-||-|---⌫-⌫-⌫-|--⌫|------⌫|
q uicontrerai son met rancune	-⌫-|-----|---⌫--|--|------|
unsch eualiers	--|--⌫-------|
quec heualiersetme ne streus	--|-⌫--------|-|--⌫--⌫-----|
orens oitor	-|-|-⌫--|-|
au dir e uo ir	-|---⌫|--⌫-|
quelescudeuroitilauoir	---|---|------|-|----|
que lescucestlegieradire	---⌫|---||--|-----||---|
linonsmenapr ent lamatire	-|---||-|---⌫--|-|-----|
d eluietdelescucon m en t	-⌫|--|-|-||---|---⌫-⌫--⌫|
q ui au tornoiement	-⌫-|-|----------|
escu aun ondiuers	---|-|-⌫-|-----|
cestliescuzaudeu senuer s	|--|-|----|-|---⌫|-----⌫|
quiest p ortraitdelecherie	--|--|-⌫------|-|-------|
aun blasmedeu ile nie	|-|-----|-|-⌫---⌫--|
que les cu	--||--⌫-|
so rprent etsorm onte	--⌫-----|-|----⌫---|
lescu aumireordehonte	|---|-|-----|-|----|
li onpaintdemena ces	--⌫-|----|-|----⌫--|
iteles cu en totesp l aces	---|--⌫-|-|----|-⌫-⌫---|
pentate lco l gene n di plus	---||--⌫|--⌫|-||-⌫|-|---|
maisgenecuitqu i l	---|-|-|---|-|-⌫|
ensoi tnus	-|---⌫|--|
q uitelescu do ie p orter	-⌫-|--|---|--⌫-|-⌫----|
b ien do itchascunsonc u eroster	-⌫--|--⌫-|------|--|-⌫-⌫-|----|
aso n co ltele scu nepende	|--⌫|--⌫|--|-⌫--|-|----|
dont d ie us	---|-⌫--⌫-|
tozch eualie rsd esfende	--|--⌫------⌫-|-⌫------|
la sesmepe nne n oblipas	-|----|--⌫--||---|--|
queleestel edetel c onpas	----|--|--⌫|-|--|-⌫----|
qua t ozcortois pa r la maistrie	-||-⌫-|------|--⌫|-|-------|
aprentquiuelt de	-----|--|---|-|
par deuantaus pas sele c ors	--|-----|--|---⌫-|-|-⌫--|
quisetd am is et qui	-||--||--⌫-|-|--|
au trem ent	--⌫----⌫--|
nel feroitpascortoisement	-||-----|--|-----------|
cheua lier squiamis e c l aime	-----⌫----⌫|--|--|-⌫|-⌫-⌫---|
quantilled i tetlicue rs na ime	----|-|-|-⌫-⌫|-|-|---⌫-||-⌫--|
direnule chose	---|---|----|
es tauiscon	--⌫|---|--|
e tn eporquan t ge	-⌫|-⌫--------⌫|-|
quiestamiset a amie	--|--|---|-||---|
quisouent d amors ne	--|-----||----|-|
paineettrauail	----|-|------|
maisqueq uau igne	---|----⌫|--⌫---|
quien amormet sasci ence	--|-|---|--|-|---⌫---|
paramorsdoite np ascience	--|----|---|-⌫|-⌫-------|
totprenreen	--|-----|-|
g reet to tigal	-⌫-|-|--⌫|---|
etioieetdu el etbien et ma l	-|---|-|--⌫-|-|---|-|--⌫|
que nuleri ensne	--|---|--⌫--|-|
li griet point	-|----|----|
porquamo r en untotse ul poi n t	--|-|---⌫|-|-|--|--⌫-|---⌫-⌫|
lipu et re ndre parsabonte	-|--⌫-|--⌫---|--|-|----|
q uetotso nmal deuient san te	-⌫-|--|--⌫|--|------|---⌫-|
tel estamortelsapoissance	--|--|---|--|-|--------|
troischoses sanble sanz doutance	----|-----|-----|---|-------|
a morsqui faitl agen t amer	-⌫---|--|---|-⌫|---⌫|---|
quis a nbleroseet	--|-⌫-⌫---|---|-|
por qu oilensetuerai emen t	--|--⌫-|--|--|-----⌫----⌫|
quienmientreoutreement	--|---|----|---------|
de uenirauport	-|----|-|---|
ouiluelt quesa	-|-|---|--|-|
n efleport	-⌫-|-|---|
etenl a mer	-|-|-⌫|--|
souent auient	-----|-----|
torme nte i uient	-----⌫--||----|
qui to tde spiece	--|--⌫|--⌫-----|
et tot desuoie	-|--|------|
ettraitl anef a	-|----|-⌫|--||
mal euo i e	---⌫|--⌫-⌫|
que il pertt otsouent	--|-|---|-⌫-|-----|
que unbonuentsouu entliuient	--|-|--|---|----⌫--|-|----|
quisanzgrantpaine lalema ine	--|---|----|----|-|-|--⌫--|
ouilu eltque lanefl e maine	-|-|-⌫--|--|-|--|-⌫|----|
a insienmi liuenzdesert	-⌫---|---|-|---|-----|
cil i gaaign ecil ipert	--||------⌫|--||---|
aidittrestot sanzpainne	-|--|------|---|-----|
d es deus e le sla deer r eine	-⌫-|---|-⌫--⌫|-|----⌫-⌫---|
sene uuei l quepl us m e ntremete	-|-|----⌫|--|--⌫-||-⌫-------|
saurai liquelnonge limete	-----|-|---|--|-|-|---|
a cezromanzparfoige	|--|-----|--|--|-|
des elesait non	--|---|--|--|
