enl enornostre	-||---|-----|
eyt ro p esaus	---⌫--⌫-⌫-|--|
apostr esob sestres	------⌫-|-|--|---|
conp ai gnonspuissen	----⌫--⌫----|---||-|
obse s tres conpaignonseomon	-|--⌫|---|----------|||--|
sai nt denisemissires	---⌫-|----||--|----|
sainzpeirescoman dali qu ilalast	----|-----|-----⌫-|-|-|-|----|
preeche raellaposella lo nom	-------⌫||----------|-|--|
nostraseignore menas	-----|------||----|
tres conp aignonsea mo n	---|----⌫------|||--⌫|
saintdeni scomandaquilal ast a	----|----⌫|------|-|-|--⌫--||
parisepartire ntsei	----||-------⌫-|--|
conpaignon aaucoireequ a ntsa inz	---------||------||--⌫-⌫-|--⌫--|
eytrop esuintaelle posellesi	------⌫-|---||----⌫------|-|
predicalonom	------|-|--|
nostreseignoreo ncni	-----|------||-⌫-|-|
pueccouertirfors	---|-------|---|
eut ellela fi lieaurei unaut	---⌫---|-|--⌫--|-|--|----|
sainzesperiz sefumis en	----|------|-|-|--|-|
cestadonne siama	----|----|-|--|
moltsain zeytrop es	---|----⌫|------⌫-|
leuomno stra	-|--|--⌫---|
seignorequant	------||----|
sa inz ey tropes parlotd enostra	--⌫--|--⌫-----|-----|-⌫|-----|
seignor il eret	------|-|---|
b atu zelaidize	-⌫---⌫||-----||
dameaaeutellelegarisseit een	---|-|------|-|--------||-|
apre slimandasainz marcaus	----⌫|-|----|----|------|
alastparle ralu i a bord eau	----|-----⌫||--⌫||----⌫--|
alaequi seguit	--|---|-----|
sainzeytrop e s	----|------⌫-⌫|
q ue sain z pier ese	-⌫-|----⌫|----⌫-||
sai n z esteines	---⌫-⌫|-------|
eriantmo rtequ e	-----|--⌫-||--⌫|
desfazei t	--|-----⌫|
m oltgranz miracles	-⌫--|----|-------|
pareau sd equiala	--|---⌫||---|--|
sainz ey tropesa romae tr oba	----|--⌫-----||---||--⌫--|
saintclimens eu i tlesmiracles	----|------||-⌫-⌫|--|-------|
d esfa zeit	-⌫-|--⌫---|
parmon seignorsa int	--|--|------|--⌫--|
par l aobmonsei gnor sai n t	---⌫-⌫|-|--|---⌫---|---⌫-⌫|
climensede manda	------||--⌫----|
siressainzclimensqu eau eit f aita	----|----|------|--⌫|--⌫--|-⌫--||
elleposellee il distque r ien	----------||-|---|--|-⌫--|
niaueit fait fors eutellel a	||----|---|---|------|-⌫|
rei una ut quelesgenz	--|---⌫-|--|--|---|
erian tmoltmales	-----⌫|---|----|
de mandal i q ueuilaesteit eilli	--⌫----|-⌫|-⌫-|---|-----||-|-|
d ist quemolter et bel ee ric he	-⌫--|--|---|--⌫-|---⌫||---⌫-|
edai gueede ri ueiree	||--⌫--||-|--⌫----||
foresesainzcli menz licomandaqu	----||----|---⌫---|-|------|-|
se ntornarta rriera	|-⌫|------|-⌫-----|
predich astlonom	-------⌫--|-|--|
nos treseignor	---⌫--|------|
aute mentelesmiraclesqu i laueit	----⌫---||--|-------|-|-⌫|----|
ueu quedes fazeit par mo nseignor	--|--|--|-----|--|--⌫|------|
saintpi erre e i lsifite	----|--⌫---||-⌫|-|--||
croized equi	----|||---|
predichotautementlo poble e a	--------|-------|-|----|||
ces teu e ngue coue rtitmolt dau	---⌫-|-⌫-⌫---|----⌫---|---|--|
molt leuo loentescotereoir	---|-|--⌫----|------||--|
lesmeretrizdela	--|-------|-|-|
uilesealerent	---|-|------|
clame raureiunau t	-----⌫|-|--|----⌫|
e distrent li	|-------|-|
quetotasag en t auet	--|---|-|-⌫--⌫|---|
perdue que	-----|--|
tuit erianen eytr opeeequi	---|----|-|----⌫--||---|
me i m e itram i st yyde ses	--⌫-⌫-⌫||----⌫-⌫-|-|-|--|
forestier sdesa maiso	---------⌫|-|-|----|
ocesissa nt e quant il lesuit uenir	--------⌫-||----|-|--|--|----|
lesseigna e tuit	--|-----||---|
c reguiren t en deeilles	-⌫--------⌫|-|-||-|--|
una u s lorfita toz	---⌫-⌫|--|--||--|
les te s tes egit erenun poiz	--|--⌫-⌫--||---⌫-|-|-|---|
tramistau tres uint e	------|--⌫---|---||
autretau e	-------||
unau slesf it os ci re	----⌫|--|-⌫-|--⌫--⌫-|
en sementapreshitramist son	--⌫-----|----|-|------|--|
esesualez desachambre	|--|----|-|-|------|
conuertit e nsement cum les	--------|-⌫------|--|--|
p remi er s	-⌫----⌫--⌫|
unausfumoltirez edo lenzdeson	----|-|---|---||--⌫---|-|--|
fa it ociree alas enclam e raus	--⌫-|----||--||-|----⌫-⌫|--|
brutiersequeilleli tuessant	-------||--|-|-|-|-------|
eilsifirent	|-|-|-----|
quan tsain ze ytropes l es	----⌫|----⌫|-⌫------|-⌫-|
uituenirsi	--|----|-|
fum olt d o len s deceau s	-|-⌫--|-⌫-⌫---⌫|-|----⌫|
qui e rentm orte	--|-⌫---|-⌫--||
estoien t gité en	-------⌫|----|-|
poiseleualac hera con trelo	---||---|-|-⌫---|---⌫--|-|
celele soilzelesmainze fi tuna	--||--⌫|---||--|----||--⌫|--|
nostras ei gnor	-----|-⌫--⌫---|
sira bea usxm c ris aiesde	---|---⌫-|-|-⌫--|---|-|
ceausme rci quipar tei	----|--⌫--|--|--|--|
sonmartirizéqu	--|---------|-|
ilnesian t	-|-|----⌫|
condanne ́auceissiantenton	--------⌫|-----|----|-|--|
regneecilqui que rrem euend ront e	----||--|--|---⌫--|-⌫|----⌫---||
parto nnommepreer ont	--|--⌫|--|-|-----⌫--|
ob tei si anten	-|--|--⌫--|-|
e equi mei sme qui l	|---|---⌫--|-|-⌫|
futmor zliangr e	--|---⌫|-|----⌫|
pridrentlocors	-------|-|---|
e silosebelirentaunayglise q ui l	|-|-|---------||--|-----|-⌫|-⌫|
aueitfaiteenl	----|----|-||
sauueore sainzfremiz mo rite ni ceau	------||----|-----|--⌫--|-⌫|-⌫---|
ior elendemainlesgenz de	--|||-------|--|---|-|
laterraq ui neueia nt pren i a nt	-|----|-⌫-|-|----⌫-|----⌫-⌫-⌫-|
s anc eytrope etochoental oroil z	-⌫--|------||-------||-⌫-|---⌫|
e ueiant e	|-----||
meimesun ausetui tl i	-----|--⌫--||---⌫|-⌫|
s ons en couert i rent	-⌫-||-|------⌫-⌫---|
anostrase ignorelipizonq ue unaus	|-----|--⌫----||-|----|-⌫-|----|
aueitensa prisonen	----|-|-|-----|-|
nuitque sainzeytropes	---|--|----|-------|
fumarti rizez	-|-----⌫----|
sesc hap erent eportarent	|---⌫---⌫----||--------|
lesferse lesfus laior	--|---||--|--|--|-|
e yt ropesieseit dontse meru eilla	-⌫--⌫----|-----|---|-|----⌫----|
mundesdau ferse daus	-----|--|---||---|
illes auo i entportéeadoncse	-|--|---⌫-⌫--|-----||----|-|
couertittozlip oblesq ui	-------|--|-|-⌫----|-⌫-|
apar teneiteadonc	----⌫-----||----|
liempereiresquehomfist desore	-|---------|--|--|---|-----|
abaiedeyy chenoinesen	----|-|-|--------|-|
s aint udu soir e qu i	-⌫---|---⌫----⌫|--⌫|
fueuesquese	-|-------||
confessorseanceisqueces tmiracl e	---------||--------|---⌫|------⌫|
fuss antsogu moritsain z	----⌫--|---|----|----⌫|
ypoli t es a	-----⌫-⌫-||
unlocquianom munmai raus	-|--|--||--|------⌫---|
pres del achar anteedesfit	---|-|-⌫|----⌫---||--|--|
miracle parluie	------|--|--||
sain z trill e s	----⌫|-----⌫-⌫|
moriten ol eirone u n	----|-|--⌫----||-⌫|
nomaua llia edes fitma int	--|---⌫---||--|--|--⌫--|
mi rac le p arl ui elibonsreisquant	--⌫---⌫-|-⌫-|-⌫-||-|---|---|----|
oit lesmiraclesq ue des	--|--|-------|-⌫-|--|
gl o rios mar tyrs ordena e uesque	--⌫-⌫---|---⌫---|-----|-⌫-----|
e nlauilee	-⌫|-|---||
c oma ndaa unau t	-⌫---⌫--||----⌫|
fustlei auscr estiens	---|---⌫--|--⌫------|
dequien a uant	|---|-|-⌫---|
ap alealacit ezxainctes	--⌫---|-|---⌫-|-------|
t or n ali bon sreis lai	-⌫--⌫-⌫|-|---⌫|---|--|
ast esdaulances ausbar ons florirent	---⌫-|--|-----|--|---⌫--|--------|
elia ngr elesorentseueli	|-|-⌫---⌫|--|----|-----|
equifit lo r un achampele	---|--|--⌫|--⌫|-------|
saintsa o rnin	----|--⌫-⌫---|
emi st hi liempereires	|--⌫-|-|-|---------|
che no in es ed onahiyy mir eonc esd	---⌫--⌫--⌫-||-⌫--|-|-|---⌫|---⌫-||
ea utretant darg e nt	|-⌫-------||---⌫-⌫-|
laasaint eytropeparamord ausb arons	-||----|------|--|---|-⌫--|-⌫----|
qui geze entequ iapr es	--|----⌫--|---⌫|---⌫-|
aiguolansob grantnauia parcharante e	--------|-|----|----|--|-------||
a mena mo lt g rantgent	-⌫---|--⌫-|-⌫---|---|
earribaauportde	|-----|-|---|-|
lapierreequise	-|-----|---|-|
co nbat etkarlesob	--⌫----⌫-|-----|-|
oc istliyymir esa rrazinsli	--⌫--|-|-|---⌫|--⌫------|-|
franceisquimorirent en ic ela	-------|--|-------|-|--⌫--|
batallieyy m ireenfurent porté li	-------|-|-⌫--|-|-----|-----|-|
unasainte ytrope	-||----|-⌫-----|
a ureli ansde	-⌫-----⌫--|-|
romefure ntseueliauna	---|----⌫-|-----||--|
yglised e saintsisttre s	-----|-⌫|----|---|---⌫|
liglisedesa i nteytrope e	|-----|-|--⌫-⌫-|------||
aureliansfuseueliz en liglises aint	--------|-|------|-||-----|-⌫---|
eytropeeli autrefure nt	------||-|----|----⌫-|
seu eli ae	---⌫--|||
liaut re aup ig nieor	-|---⌫-|-|-⌫--⌫--|-|
h amaintesuertuze a pres	-⌫|------|-----||-⌫---|
p assakarleslauostonae	-⌫---|-----|-|------||
monr rompniesor la fontaine oriest	----⌫------|--|-|-------|-|---|
aal ez in e	-|-⌫--⌫--⌫|
e equitrouali	|---|----|-|
lessarra zins esi lesen	--|-----⌫---||-|--|-|
c hauca iusq u	-⌫----|----⌫|
eequitro uaun	|---|---⌫-|-|
auet nomg uolias	---|--|-⌫-----|
esischiuau sbaucans	|--|------⌫|------|
eicestpa s	|----|--⌫|
gardotobyymire sar r azinsque	-----|-|-|---|---⌫-⌫----|--|
aiguolanslia ue it	--------|-|-⌫--⌫-|
bal iécharles	---⌫--|------|
comanda a ocgierl e danes qu il	------||-----|-⌫|----|-|-|
intrastpremiers	------|-------|
crestiense guoliasferit	--------||------|----|
premiers ocgierlod an ese	-------|-----|-|-⌫--⌫-||
lodesonchiuauapresuinc	-|-|--|-----|----|---|
lidu xn aimessifer it losar razind	-|--⌫|-⌫----|-|---⌫-|-|---⌫----||
un glaiueesi	-|-----||-|
l ocistapr es	|----|---⌫-|
fit monter ocgi erlo danesocgiers si	--|-----|----⌫-|-|----|------|-|
feritlof ilal amiraut	----|-|-⌫-|||------|
depersee si	-|----||-|
locist adoncsen	|----|----||-|
torn e rent enfuie l i	----⌫-⌫---|-|---|-⌫|
s arrazindreit	-⌫------|----|
alan auieaforraze liautra	|-|-⌫---||-----||-|----|
chastelalion etot enfuie nt	-----------||--|-|----⌫-|
entra senobeaussicum des	----||-|-|---|-|--|--|
plaits espee en sama in traite	----||----|-|-|--⌫-|-----|
eoci st toz les	|---⌫-|--|--|
sarrazinsde lauile	--------|-|-|---|
qui ne creiantnos tr eseignor	--|-|------|---⌫--⌫|------|
s icomanda	-⌫|------|
talliafer deleon	--------|-|---|
quieretco mp s d	--|---|--⌫--⌫||
quillagard a ste totala	-|-|-|----⌫-⌫-||---|-|
t erraiusqu	-⌫---|----|
aaama r ie del a porte dequi	|-|--⌫-⌫-|-|-⌫|----|-|--|
seureapres	----|----|
sento rna li	|-|--⌫--|-|
reis lai or	---|--|-|
la ba taille fut	-|--⌫-----|--|
eequif it une ygl ise de	|---|-⌫-|--|---⌫--|-|
s aintgirmain	-⌫---|------|
qu apelet loma	-|-----|--||
girmaindeleschalie r parun aes chalede	------|--|--------⌫|--|--⌫|--⌫----|-|
sarra zin squifur ent	-----⌫---⌫|--|---⌫--|
mor teequifit seuelirtoz ses	---⌫||---|--|------|--|--|
crestiens apresenfitoutre de	--------|----|-|--|----|-|
saint lorensor fut seuel iz licomps	----|-----|-|--|-----⌫-|-|----|
degi roneapres	-|--⌫---|----|
ocgierslida nes pa ssala	------|-|--⌫--|--⌫--|-|
charanta ob	-------|-|
ses alem anzapr es sen	--|----⌫--|---⌫-||-|
fo ntainedeba coneaiguolanz	--⌫-----|-|--⌫--||--------|
qu antos ocsi se	--⌫--||-⌫-|-|-|
mistap r e sob	---|--⌫-⌫-⌫|-|
yymires arrazinse	-|---|-⌫-------||
conba tetsei	-----⌫--|--|
esiferit gautier d alemaig nede s	|-|----|------||-------⌫-|-||
espeeparloc hiepquemort	----|--|-|-⌫---|--|---|
quant a iguolanzso cq ue	----|-⌫-------|--⌫|-⌫-|
uene tsise nfui	----⌫|-||-⌫|--|
amonr ro mpnie	|----⌫--⌫----|
k a rlesq uantuincen	-⌫-⌫---|-⌫---|---|-|
bataille euit ses baro ns	-------||--|--|----⌫-|
morzsioc tmoltgrantduel si fit	---|-|--⌫|---|----|---|-|--|
tre s chapeleso rlesseuel it	---⌫|-------|-⌫|--|-----⌫-|
lapremeirefutsaintpierraeq ui	-|-------|--|----|-----|--⌫-|
f u tmi ss elatest aal	-⌫-⌫|--⌫--⌫|-|----⌫|||
ar ceuesque	--⌫-------|
a rue en unboialque ocgiersi mistl	-⌫--|-|-|----|--|------||---||
autre y glisefut	----|-⌫----|--|
saorninorgies gaul t iersd	------|-|---|----⌫-⌫---||
alemagni ee	--------⌫||
si conpa ingnon	-|-----⌫-----|
asaintemariedauport giesentl i	|-----|----|--|---|------|-⌫|
autreconpai gnon	----|------⌫---|
enl iglise	-||-----|
apressegue tkarl	----|-----⌫|---|
a iguolanten	-⌫-------|-|
marepn i e equant il	------⌫-⌫||----|-|
sif umolt n uiz equi fi tkarles	-|-⌫|---|-⌫--|---|--⌫|-----|
or ei zona nostres eignor	--⌫--⌫--||-----|-⌫-----|
eillialo n gialeiorep lus	|-|-|---⌫-⌫--|-|--||-⌫--|
lonczquetre i autre equi	----|--|---⌫|----|---|
feritch arl paraiguolante par	----|--⌫--|--|--------||--|
gentsiocist desar r azinsyy mire	---|-|----|-|---⌫-⌫----|-|---|
ef uit sen aigolanzenholeiron	|-⌫--||-|-------|-|-------|
obsesgenzeequi o rla	-|--|---||---|-⌫|-|
ba ta liefu	--⌫--⌫--|-|
ap elet lomaluzac e	--⌫---|--|-----||
qu an tla m erss	--⌫--⌫|-|-⌫--||
charls eguetapreseaiguolanzquant	----|-⌫----|----||--------|----|
hosoct elison	-|---||-|--|
s i s emist rentenlornauie	-⌫|-⌫|----⌫---|-|--|----|
aanse une charlse rch a	|----⌫--|----|--⌫---⌫|
to toleiron eturpins t r oua	--⌫|------||------|-⌫-⌫--|
chapeleeuh ole ironsi	------|-|-⌫---⌫---|-|
oguitmolt grant	----|---|----|
ioiparcoqueeret	--|--|-|--|---|
de nost ra dameaamarie or	-|----⌫-|---|-|----|-|
ies tleuesquesd autiochetresl	---⌫||-------||-------|---||
outerechassire e	----||-------||
f illiesdaureieequesta	-⌫-----|--|--||------|
peritcum fits odom ee	----|--|--|-⌫----⌫||
guomorreenice sta chapelehamolt	-------|-|---⌫--|------|-|---|
sai n t uaireefitlafaire	---⌫-⌫-⌫----||--|-|----|
c harlesp ar lamonesta men tturp inap r es	-⌫-----|-⌫-||--------⌫---⌫|----⌫-|--⌫-⌫-|
fitfaira karlautreyglise	--|----|---|----|-----|
desaintdenis apressenei ssit k ar l	-|----|----|----||-|--⌫---|-⌫--⌫|
saintp i erre	----|-⌫-⌫---|
emis thig uiliaumel e	|---⌫|-|-⌫-------|-⌫|
ross e upargardere apressen	----⌫-⌫|--|-----||----||-|
uinc asaugioneprisloe	---||------||---|-||
oc priss ilodon aa	-|---|-⌫|-|---⌫||
talliaffer	---------|
de liona ucompte denguoles m e	-|---|-⌫|-----||--------⌫-⌫|
ui nct karl aanseu ne	--⌫--|---||-----⌫-|
epr i st la	|--⌫-⌫-|-|
s i la d onaaguarinet ota	-⌫|-|-⌫--||-----||-⌫--|
laterr adearuert	-|----⌫|-|-----|
guarins lic omps f it l abaie deuaus	------|-|-⌫---|-⌫-||----|-|---|
e turpins sacra l aut er	|------|----||---⌫-|
d euers la cloitre ormes it	-⌫----|-|------|-|---⌫-|
apresnosen alam es	----|--|-|----⌫-|
aliglise saint saornine	||-----|----|------||
troba meslo	-----⌫--|-|
cors saintualentin	---|----|-------|
enalames adidone	-|-----||-----|
epresi mestot a laterra	|-----⌫--|---⌫|-|----|
efi tkarlunachapeleau che pde	|--⌫|---|--|------|-|---⌫|-|
susac de saintromainapres	----|-|----|-----|----|
uindrentno e les q uelisarrazindaus	-------|--⌫-⌫--|-⌫-|-|-------|---|
chartresauiantcorregu	-------|-----|------|
xainct e s eauoient li	------⌫-⌫||------|-|
moltm o r tdesa	---|-⌫-⌫-⌫|-|-|
g entyy mireen	-⌫--|-|---|-|
libo nsreis quan thoso c	-|--⌫-|---|----⌫|-|--⌫|
a pr es eai guo la ns	-⌫--⌫-||--⌫---⌫--⌫-|
es tetamauretag nie	--⌫--||--------⌫--|
obyymir e sarrazinsemistse	-|-|---⌫|--------||---|-|
deuantcharla amonbas iro n	-----|-----||------⌫---⌫|
e qui fu mol tgranz labatallie de	-⌫--|-|---⌫|----|-|-------|-|
karlae dai guolant	----|||--⌫------|
aiguola ns	-------⌫-|
auschartres orhaueitm olt	--|-------|-|-----|-⌫--|
grantp leinte desa r razins	----|-⌫-----|-|--⌫-⌫-----|
a mo nbasiro nremest	|--⌫-------⌫|-----|
karle s or ilfit	-----⌫|-|-|--|
y ychapelesluna deaamarie	-⌫|-------||--|-|-|----|
qu apelet lomabanelaor	-|-----|--|------|-|
l af i llie	-⌫|-⌫-⌫---|
karlai es tetroba	----|-⌫--⌫||----|
homequiaueitnomle o ns e chantaa	---|--|----|--|--⌫-⌫-||-----||
karlamesse	----|----|
a mei caresme e	|--|------||
d ist epar coa	-⌫--||--|-||
no mlil ocz	--⌫|-|-⌫--|
at eincze equifits ebelirles	--⌫----||---|--|-⌫-----|--|
barons qui e re nt mort enl a batalie	-----|--|-⌫--⌫-|---|-|-⌫|------|
demanda karles p a rque	------|-----|-⌫-⌫|--|
aueitchante ́itaumess eeil	----|------⌫|---|----⌫||-|
par coque de slifa zeit	--|-|--|--⌫|-|--⌫---|
plusgr a ntmiraclesqueat oz les au tres	---|--⌫-⌫-|-------|--||-⌫-|--|--⌫---|
reis quifuss ant	---|--|----⌫--|
mu ndee lireis	--⌫--||-|---|
partit l iso naneld	-----|-⌫|--⌫|---||
o redistli	-⌫||---|-|
quantlomand ereitil ue nguist parler	----|-|----⌫----|-|--⌫-----|-----|
a luiea pr esuinckarles	|--||-⌫--⌫-|---|-----|
lussace equi	-----||---|
perdetkarlyy mire	-----|---|-|---|
c h iual iers eaiguolans	-⌫-⌫----⌫---||--------|
eequifit k arlyy	|---|--|-⌫--|-|
de saintpeirree l a utre	-|----|-----|||-⌫---|
desaint martinde uant l	-|----|-----|--⌫---||
igli sesaint	----⌫-|----|
s euel iz gileberz	-⌫----⌫-|-------|
liseneschau sk arle	-|---------⌫|-⌫---|
iglise sa in t	-----|--⌫--⌫|
martinunseues queseuns	-----|--|----⌫---||--|
arceu e squ esliu nsa destraeli	-----⌫-⌫---⌫-|-|-⌫-||-----||-|
autres a senestr e	-----||-------⌫|
iotal auter apre ssena lali	---||----|----⌫||-|-⌫-|-|
reis ala fon tane de	---||-|---⌫---|-|
o r aueit tr esmotesdesa rr azins que	-⌫|----|--⌫-|----|-|--⌫--⌫----|--|
il p rist l en dema in	-|-⌫---||--⌫----⌫-|
uindrentensecorsyy d uc de f rance	-------|-|-----|-|-⌫-|-|-⌫----|
l iu nsaueitn omrainaumes	-⌫|-⌫-|----|-⌫-|--------|
d uxratiers deflandre se	-⌫-|------|-|-------⌫||
ri c hersdu xde	--⌫-⌫---|--⌫|-|
n ormandie	-⌫-------|
chapdainesqui eretdux	---------|--|---|--|
denamborcquiamenarent	-|------|--|--------|
yymir echi ualieurs molt bons conbateor s	-|---⌫|---⌫-------|---|---|---------⌫|
iquistseconbaterentob	-----|-|----------|-|
aigu ola nt ousch artreseperdethi	----⌫---⌫-|--|--⌫-----||-----|-|
a iguolansyy	-⌫-------|-|
mir e sarrazi ns	---⌫|-------⌫-|
e futhimo rsl ireisda rabieeli	|--|-|--⌫-|-⌫|---||-⌫----||-|
reisde b ugielibonsr eis	---|-|-⌫---|-|---|-⌫--|
a rbe rgi a les eraus	-⌫---⌫---⌫|-|-⌫-|--|
chartr eseses	------⌫-||--|
gens apre sfitli	---|----⌫|--|-|
auschart reszz	--|-----⌫--|-|
ig lise desain t	--⌫---|-|----⌫|
e autreen fitde	|----|-|--|-|
saintgieudas qu i estsorel ai gu e	----|------|--⌫|--|---||--⌫--⌫|
e apres en	|----|-|
autres o r l asoi ngnie de	----|-⌫-⌫|-⌫|---⌫----|-|
marie eq ui seuelit karlles	----|--⌫-|------|---|--|
euesq uese lesabez	-----⌫--||--|---|
quifurentm orten	--|-----|-⌫--|-|
icelebatalieeenz	----|------|---|
autresenf i t port erasaint	-----|-|-⌫-⌫|----⌫-||----|
eyt ro peaxain ct es efurent	---⌫--⌫-||----⌫--⌫-||-----|
seue li oncimenti r eque liangre	----⌫-|-|-------⌫-⌫|--|-|----|
sacrar enttres	------⌫--|---|
l iglise sa int	|-----|--⌫--|
eytropekarle slaisaa ma dameaa	------|-----⌫|----||-|---|-|
marielacroizqueilportot	----|-|----|--|-|-----|
a soncol en icelacroizha dau	|--|--|-|----|----|-|--|
sancnostreseign o rederoba	---|-----|-----⌫-⌫||-|---|
nostr a dama e	-----⌫|---||
dau speusedau	---⌫|---||--|
mon umen te	---⌫----⌫||
enu olopez aumonumentem ainteq u	---⌫-----|-|-------||-⌫----|-⌫|
mistenlaut erequi	---|-||---⌫-|---|
pas sakarlesla s oignee ala	---⌫-|-----|-|-⌫----||--|
la fon td oruile	-|---⌫||-----|
li danesesic onpai g nona	-|----||-|-⌫-----⌫-⌫--||
sa intmartinde quial aocgiers	--⌫--|-----||-⌫--|--⌫|------|
acor disobyymire crestianslors	|---⌫--|-|-|---|--------|---|
eissi t aig uolanzdecordis	-----⌫|---⌫-----|-|-----|
obyymiresarrazinseconb atetsei ob	-|-|---|--------||----⌫---|--|-|
ocierenlauaud e	----|-|-|--|-⌫|
bu cirade e equifum ors lidux	--⌫-----||---|-|-⌫--|-|--|
raina umes eli duxrogierseyy	-----⌫---||-|--|------||-|
mirec resti enr oc gi ersfu	---|-⌫-----⌫-|-⌫--⌫--⌫--|-|
porte za aa	-----⌫||-|
equimist karlla	---|---|---|-|
iotesaintberchom eenl out e r	---|----|-------⌫|-||---⌫-⌫|
innoce ns emaintes	------⌫-||------|
au tres uertuzed ona hi zzlegue e de	--⌫---|-----||-⌫--|-|-|-----⌫|-|
terracontre sole il leuant	----|-----|----⌫-|-----|
iquesteboneyglise	------|---|-----|
donalibons reis	---|-|---|---|
aunonansdesaint	-|-----|-|----|
denguolesme que	|---------|--|
les fissa nt seruirl	--|-----⌫-|-----||
iglisepar amordaus	-----|--|---|---|
m artyrsnostre s eignor	-⌫-----|-----|-⌫-----|
rainaumesfu	--------|-|
seu el izen unch aminapr es ass egia	---⌫--⌫-|-|-|--⌫---|---⌫-|---⌫---|
karlescordis e esta	-----|-----||---|
hi lespaizede	-||------|-|
y ym es apr eshifitzz	-⌫|-⌫-|---⌫-|-|--|-|
yglisedesaint be bian	-----|-|----|--⌫---|
s or lauaude	-⌫-|-|--|-|
buciran deai guolanz es tet	-------⌫-|--⌫------|--⌫--|
delu na partde l aiguedetrena e	-||-⌫-|---|-||----|-|----||
karlesdelautreapresuin drent	-----|-||----|----|---⌫----|
trei d ucdeuerslumbardie eli dux	---|-⌫-|-----|--------||-|--|
rollansob eauscofutarnaus	------|-|---|-|--|-----|
debeauland e	-|--------⌫|
rainiersdelozan ae	-------|-|-----⌫||
sis filze cist amen arentyymi re	--|---||---|----⌫----|-|--⌫-|
chi ualierssiass a lirent	---⌫------|-|---⌫-⌫-----|
cordisdeuer s	-----|-----⌫|
paralliors ne	--|------|-|
loporentassalire	-|-----|------||
pri drent lacite equi	---⌫----|-|---|---|
futmorslidux	--|---|-|--|
duiseu e futseueliz	|----||--|------|
enla chapele saint bebianli	-|-|------|----|-----|-|
emper eires eli sonoc idrent enla	-----⌫----||-|--|--⌫-----|-|-|
yymiresarrazinekarl esdon alacite	-|---|-------||----⌫-|---⌫|-|---|
eleschart rese la	|--|-----⌫--||-|
terretot e	----|---⌫|
q uiafi ert desiquea lafontsaint	-⌫-|---⌫--|------||-|---|----|
eytropeen tra l oneeloseu d re	------|--⌫--|-⌫|-||-|---⌫-⌫-|
cha rr os donalaterr ea	---⌫--⌫-|---|-|----⌫||
so n ne uou lliaum edefo u gie ire s	--⌫|--⌫-|-⌫------⌫|-|--⌫-⌫---⌫---⌫|
edecoseras homa l	|-|-|----|--|||
charrosedetonh omena ge	------||-|--|-⌫-----⌫-|
donerlabesyyliureso yychiuause	----||---|-|-----||-|------||
garderl abe e l es	-----||--||-⌫-|
moinesel eglisedech arros	-----|||-----|-|--⌫----|
corsenla uile dec or dis	---|-|-|---|-|-⌫--⌫--|
aueit zzpa la isee u palais auei t	----|-|--⌫--⌫-||-⌫|-----|----⌫|
clu seauorf umisli	---⌫---|-|-⌫|--|-|
sarra zi nsmain tresque	-----⌫--⌫-|----⌫------|
karlesdemorotou cluseau	-----|------|-|------|
querr a ratiersli comps deflandr es	-----⌫|------|-|----|-|------⌫-|
a la amont guitmarte ocisthi	-⌫-|----|-------||----|-|
yy mire sarrazinse	-|---|--------||
pristbalagui erqui	----|-------⌫-|--|
eretdela u trepartquan t	---|-||-⌫-⌫--|---|----⌫|
aiguolans oitquesa	--------|--|--|-|
gen ser et morte	---⌫|--⌫-|----|
s iuinc de	-⌫|---|-|
mauretagnie	----------|
o b yy m iresarrazi nsec on bat et	-⌫|-|-⌫--|-------⌫-||-⌫--⌫---⌫-|
noz baronseocidrentratier	--|-----||-------|-----|
e gu ibelineantempnele chapelai nkarle	|--⌫-----||-------|-|--------⌫|----|
e yymiredaus autres k arles	|-|---|---|-----|-⌫----|
quantho sogui t si enfu	----|-|-----⌫|-|-|-|
molt do lenz	---|--⌫---|
emoltmarriz	|---|-----|
enuincapreseu itlesmorse	-|---|----||-⌫-|--|---||
alaap resaig u olante	--|--⌫--|---⌫-⌫----||
l aten eyitauiuere	|----⌫---||----||
ocistlaiyymire	----|--|-|---|
sarrazinspu issentorna	--------|--⌫-||-|----|
al abaie debeagniequeaiguolanz	||----|-|------|--|--------|
aueitdest ru i tee equifitseuelir	----|----⌫--⌫-⌫-||---|--|------|
m arceaus l	-⌫------||
edifieeemistautretant	------||---|--------|
der eliquese n l autercumena ueita	-|-⌫------|-⌫||----|--|-|-⌫---||
mad ameaa marieas	-|-⌫--|-|----|-|
solamentda ulait	-------|--⌫|---|
nos tredameehi dona	---⌫--|---||-|---|
yylegueesde	-|------|-|
t errae ntoz	-⌫---|-⌫|--|
se ns puissentorna li bons rei s	--⌫-|---||-|----|-|---|---⌫|
montguimartarr iera orturpins	----------|---⌫---|-|------|
s ebelis s ses baronssaintentempne	-⌫------⌫|--|-----|----|-------|
mostiersai nt giru ais	------|---⌫-|----⌫--|
treslaut e rmoltparfo nt	---||---⌫-⌫|---|-----⌫-|
pierre na iuepar amor d elui	-----|--⌫--|--|---|-⌫|--|
e dau sautresimesirentdaus	|---⌫|-----||-------|---|
innocen sedelapouresain t	-------⌫||-|-|----|----⌫|
