i ci comencelelaydel aunual	-⌫-|------|-|--|-|-⌫-----|
en sembleoduusui entoste lprend r e	--⌫-----|-|--|--⌫--|----⌫|-----⌫-⌫|
il l ur otrieuolent res	-|-⌫-|----|------⌫--|
s iape ladeuscheuali ers	-⌫|---⌫-|---|-------⌫--|
as chambres	-|-------|
l e sam enere nt	-⌫-⌫|--⌫-----⌫-|
acelef ei z	|---|-⌫--⌫|
ne di strent p lus	-|--⌫-----|-⌫--|
lireis demau ndade	-|---|-----⌫--|-|
leiugemente le	-|-------||-|
unt coruce ́	--|------⌫|
de ceke tant lunt d elai é	-|-|-|---||--|-⌫----⌫-|
sire funtilnusdepartimes	---|---|-|--|---------|
purdeusdam eskenus ueimes	--|---|---⌫-|-|--|-----|
neauum uncorees gart	-|---|-----|--⌫---|
or e rec omenceronleplet	--⌫|---⌫--------|-|---|
du n casemblerenttutp ensif	--⌫-⌫|----------|--|-⌫----|
asezio utnoise e est rif	---||-⌫-|----||---⌫--|
t antcomeerentenc elesfrei	-⌫--|---|----|-|-⌫-|-----|
deuspucelesdegrantcunr ei	---|------|-|----|----⌫-|
uestu esd e de us pailles freis	-----⌫-|-⌫|--⌫-|------|----|
c heuauch entmules espaneis	-⌫-------⌫--|----|-------|
ui rentuenir la	--⌫---|----|-|
grantioieenurentliu assal	----|---|-|----|-|-⌫----|
entreusdien t k ore	---|--|----⌫||--|
estguari z	--|-----⌫|
lau nualliproz e l i	---⌫---|-|---||-⌫|
ywa i nses talui	---⌫-⌫-|--⌫||--|
sescump aignonsiadmen ez	--|----⌫------||-|---⌫-|
sirefa it ilreheitezuus	---|--⌫-|-|-------|--|
deu parlezanus	--|-----||--|
ici uenentdeusdamoiseles	--|-----|---|---------|
mul tacemeesemultbeles	---⌫|------||---|----|
ce estuostreamieueireme nt	-|--|-----|---|-------⌫-|
la un ualresponthastiuement	--⌫--⌫--|------|----------|
edi tkepasueu n es	|--⌫|-|--|--|-⌫||
nil ne sco neit nil	|-|-||--⌫---||-|
a tantfure n tcelesuenues	-⌫---|----⌫-⌫|----|-----|
deuantlere i	-----|-|--⌫|
suntdescendu es	---|--------⌫-|
multlesloie rentli plusor	---|--|----⌫---|-|-----|
decorsde uisede	-|---|-|--||-|
outn ule kemeuzneuau si st	--|-⌫--|-|---|-|---⌫--⌫-|
r einenefist	-⌫---|-|---|
leinzneefu co rteise e sage	|------|-|--⌫-----||---|
auenantme nt distsu nmessage	---------⌫-|---|--⌫|------|
reiscarnusfazchaumbresbailler	---|--|--|--|--------|------|
alhoesmadameherberger	||---|-|---|--------|
e le uientcia	-⌫-|----|-||
i ll es c omandaamene r	-⌫|-⌫-|-⌫-----|-----⌫|
odles autr eski	-|--|----⌫-|-|
einzoes uindrent	------|-------|
unkesdelesplus plai nitindrent	----||---|---|---|||-------|
quant fu delesdeliu erez	----|-||---|-----⌫---|
satu zse sbaronsmandez	||--⌫|--⌫|-----|-----|
keli iugemenzseitte nuz	-|-|-------|---|--⌫--|
tr opaleiu resté tenuz	--⌫-||-|--⌫|----|----|
larein e mult se c urocout	-|----⌫|---|-|-⌫------|
ke t roplunge ment ieunout	-|-⌫--|-----⌫---|------|
iadepartissent	-|-----------|
quantpar lauil eu interra unt	----|--|-|---⌫|-⌫--|----⌫--|
t uta cheual une pucele	-⌫-||-----|--|-----|
en t utlemundnout p lusbele	-|-⌫-|-|---||--|-⌫--|---|
un blancpalefrei cheuau ch e it	-|----|-------|------⌫--⌫-⌫-|
k ibelesueflui porte it	-⌫|--||---|--|-----⌫-|
multoutben fetcol	---|--|--|--|--|
outplusgentebe st e	--|---|----|--⌫--⌫|
ric h eaturout el	---⌫-⌫|---|--|-|
suzcieln ou t cun te ner ei	--|---||--⌫|---⌫-|-|-⌫-|
k it u tlepeus teslige r	-⌫|-⌫-⌫|-|----⌫|------⌫|
s anzterreu endreou gager	-⌫--|----|-⌫----|-|----|
eleertue s tue en	--|--|--⌫-⌫--|-|
de cheinseblaunche edeche mis e	-|------|-------||-|---⌫---⌫|
ket uz les coste zlui	-|-⌫-|--|-----⌫|--|
parz la scezesteient	---|--⌫---|-------|
lecor s out gent	-|---⌫|--|---|
b as selahaunche	-⌫--⌫-|-|------|
lecolplus b lanckeneifsurbranche	-|--|---|-⌫---|-|---|--|------|
leseuzuersebel	--|--|---||--|
belebuchenesbenasis	---|----|--|--|---|
lessurci usbrunsebelle front	--|-----⌫-|----||--|-|----|
lech ief crespeaukes blu nd	-|--⌫--|----||----|---⌫-|
negec tete l luor	-|---⌫-|--⌫|---|
comesescheuolsen cuntrel eior	---|--|------|--⌫-----|-⌫|--|
sun mauntele st deporprebis	--|------|-⌫-|-|-----|--|
lespansenoutentorluimi s	--|---|-|--|----|--|--⌫|
un es peruers u r sunpoingtient	-|--⌫-----|-⌫-⌫|--|----|----|
eunleuer e renpresl uiuient	|-|-----⌫-⌫|-|---|-⌫-|----|
il n oute l borcpetit negran	-||--|-⌫|---|----|-|---|
neliueillard ne lien f au nt	-|-|-------|-|-|--⌫-⌫--⌫-|
ki nelalas sentreguarder	-|-||----⌫---|--------|
s i cumelau ir ent errer	-⌫|---|-|-⌫--⌫--|----|
desabeaute nestmie	-|-|-----||--|--|
ueneitplus ke p as	-----|---|-|-⌫-|
liiug eorkesilaueient	-|---⌫--|-|-|-|-----|
a gr antm erueillele	|--⌫--|-⌫-------|-|
tene ien t	----⌫---⌫|
nioutunsoulkilesguarda st	||--|-|---|-|--|------⌫-|
ded reite ioi ene se reheitast	-|-⌫----|---⌫|-|-|--------|
cilki lecheualer a moient	--|-|-|-------|-⌫-----|
ali uenent silui cuntoient	|-|-----|-|--|--------|
plestkiledeliuere it	----|-|-|--------⌫-|
sirecompa inscienue ntune	---|-----⌫--|-|-|--⌫-|--|
kenees tfauuene	-|-|--⌫|----|-|
la plus be le delmund	-|---|--⌫-|--|---|
de tutes ce leske i sunt	-|----|--⌫--|-||---|
oisun chefdre sca	-|--|---|---⌫--|
b enlacon uit	-⌫-|-|---⌫--|
le sancluiestmunté el ui s	-|---|--|--|-----|-|--⌫|
de parler fuauk es hastis	-|-----|-|---⌫-|-----|
parfeifait	--|--|---|
il ceestmamie	-|-|--||---|
ore ne mes t guereskim	--|-||--⌫|-----|-||
sielene itmerc ideme i	-|--||-⌫-|----⌫|-|--⌫|
karguari sui quan tlauei	--|----|--|----⌫|-|--|
lapu celeentr aelp aleis	-|--⌫---|----⌫|-|-⌫----|
uncsibelenient ra	--|-|---|||---⌫-|
deuantlereiestdesce ndue	-----|-|--|--|-----⌫---|
sike detu z fu	-|-|-|--⌫|-|
sunmaun tel	--|----⌫--|
ad lessécheir	-|-----|----|
k emeuzlapu issehomu eir	-⌫|---|-|--⌫---|--|-⌫--|
li rei skimult	-|---⌫|-|---|
fuen seig nez	-|--⌫----⌫--|
ses t tout	|--⌫|---|
cuntrelu idrescez	-----|--⌫|------|
etut liautre	|--|-|----|
lo nurer ent	|-⌫-----⌫--|
delui seruir mult	-|--|-----|---|
sepenerent	-|-------|
quant tuit l urentben esgardé	----|---||----|--|-------|
e sabeute as ezloié	|-|----|--⌫-|----|
elepar laen telm esure	--|---⌫-|-|--|-⌫----|
kar ded emorer	--|-|-⌫-----|
nauei tcure	|----⌫|---|
re isi aiamé	--⌫-||-|---|
ueezlelaceest la unual	---|-|-|-|--|--⌫----|
acheisone ́fuen tacurt	---------⌫|-|-|-|---|
neuoilmie kea	-|---|--|-||
mallui curt	--|--|---|
decekil di st	-|-||-|--⌫-|
c esac hestu	-⌫|---⌫--|-|
ke lar eineadto r teu	-|-|-⌫---|-|--⌫-⌫|-|
unkesnulior nela re quist	----|--|--|-|-|--⌫----|
mesde lau ant auncekil	--|-|-|-⌫---⌫----||-|
meipuet estreaquité	--|---|----|------|
paru os b aronsseitdel i u ré	--|-⌫-|-⌫----|---|---⌫-⌫-⌫--|
eniug erunt pard r eit	-|---⌫----|--|-⌫-⌫--|
lireisot riekesiseit	-|---|--⌫--|-|-|---|
niad unsul	||-|-|--|
kineiti ugé	-||--|-⌫---|
ke la unualadtutdereisne ́	-|--⌫----|-|--|--------⌫|
deliuerezestpa rlur	--------|--|--⌫|--|
ela da mesendepart	|-|--⌫-||-|-----|
nelap out lireis retenir	-|-|-⌫--|-|---|------|
asez ou tgen t por lui	---|--⌫|---⌫|--|--|
d ehors la sale auoient	-⌫----|-|---|------|
un grantperon demarbre bis	-|----|----|-|-----|--|
oulipaisantmuntei ent	-|-|------|------⌫--|
kidelacu r tlere ialoie nt	-|-|-|--⌫-⌫|-|--⌫|-----⌫-|
launuale stmuntéde sus	------|-⌫-|-----|--⌫--|
quantla puceleuint horsa l hus	----|-|-----|---|---|-⌫|--|
sur lepal efr ei derere	--|-|---⌫---⌫-|-----|
d ep leinesleslaunualsailli	-⌫|-⌫---|----|------|-----|
uncpuisnel	--|---|-||
uirentlibar un	-----|-|---⌫-|
atant fin ela c haunc un	----|---⌫|-|-⌫-----⌫-|
ce nusdient li bretu n	-|--|----|-|-----⌫|
kimultest beus	-|---|--|---|
lafura u ilid aunc eus	-|-|--⌫-⌫|-|-⌫----⌫--|
nush o m n	--|-⌫-⌫||
enoipuisparler	-|-|---|-----|
neie ne uussaia uant cunter	-|-|-|--|--|-⌫---|-----|
