formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
c or tfinap artra nsa c t i o nlaquerele que	-⌫--⌫|---|-⌫-|---⌫---⌫-⌫-⌫-⌫-⌫|-|------|--|
eleoutcontretoie tquan t eleo ut receuce	--|--|-----|--|-⌫|----⌫|--|-⌫-|----|-|
auoiesp ramis porfi ner lepletelesaut ore	-----|-⌫----|--|--⌫--|-|---|--|---|--|
a rrieredel a	-⌫-----|-|-⌫|
couenancep orquo i turequierzouque ele	--------|-⌫-|---⌫|-|-------|-|--|--|
te t i eg necou enant ouque elete	-|-⌫-⌫--⌫-|---⌫----|-|--|--|-|
rendecequetu	----|-|--|-|
droitquetudemandescequ etu	----|--|-|-------|-|--⌫|-|
lid onnas seele auoi t passé.	-|-⌫----|-|--|----⌫|-----||
an zquantelefistlecou enant etseilfu	--⌫|----|--|---|-|---⌫----|-|-|-|-|
mis en couena ntque	--|-|------⌫-|--|
seeleal oite ncontre	-|--|--⌫--|-⌫------|
tueussesexceptio n delc o uenantetacti ondedemander	-|-----|--------⌫|--|-⌫-⌫-----|-|----⌫-|-|-------|
c equetulidonoie s.	-⌫|--|-|-|------⌫||
Mess e ilni	--|-⌫|-|||
outriendecetupuetauoirl	--|---|-|-|-|---|----||
exceptiondelco ue nant etnemielactionde	--------|--|--⌫--⌫---|-|-|--||-----|-|
de manderce	--⌫-----|-|
que tuli dona s .	--|-|-|----⌫||
Cilmeis me emp ereeurdi ent	--|----⌫-|---⌫-----|--⌫--|
Ilnest pasdeueéa ̀ feretransla ction	-||--|--|-----|-⌫|---|-------⌫----|
oucouena ntdecrimecapitalf orssanz	-|------⌫-|-|----|------|-⌫--|---|
auoutire .	-------||
Mesi lnelistpasàferetra ns ac ti ondes	--|-⌫|-|---|--|-|---|---⌫--⌫--⌫--⌫-|--|
autres c ommunscrimesqu i nerequ ie r en tpasp aine d e	-----|-⌫-----|-----|--⌫|-|----⌫--⌫-⌫--⌫|--|-⌫---|-⌫|
sancforsdef a us acusem ent.	---|---|-|-⌫-⌫-|------⌫--||
Ci lmeism e empereeur	--⌫|-----⌫|--------|
Lidroit nesueffrent pasque l actionquiest	-|----|-|--------|--|--||-----|--|--|
fineeparbo enefoisoit renouel ee porl	----|--|--⌫--|--|---|-------⌫-|--||
endroitd i nstrume ntquipuis	------||-⌫-------⌫-|--|---|
aitestétrou ez	--|----|----⌫-|
Messe i lest prouéqu e tes	--|-|-⌫|--|-----|--⌫|--|
auersai res aitp orchaciélaf indel p let par	-------⌫--|--|-⌫--------|-|-⌫-|--|-⌫--|--|
e l ete s oztr e stoup arsoit	-⌫-⌫|-|-⌫----⌫-⌫-|-|-⌫-|---|
ou par aut releschoses	-|--|---⌫-|--|-----|
parquo ila ueritépoutestrepr ouee laucti o n	--|---⌫|-|------|---|----|--⌫---||-----⌫-⌫|
ter ema intet	-|-⌫---⌫--|-|
lexcept iondelconuenantliest tolue	|------⌫--|--|--------|-|--|----|
pa rlareplicacionde	--⌫|-|----------|-|
tricherieesetenacti onestia	--------||-|--|----⌫-|--|-|
periededenzl etensqui	----|-----|-⌫|---|--|
estestabliz	--|-------|
tupuez plediertant seulement d elatri cherie.	-|---|------|---|--------|-⌫|-|---⌫-----||
Cilmeisme emperered ient.	--|-----|-------|-⌫---||
p lest pardroitereson	-⌫---|--|-----|----|
que lactoritédestrans actio ns	--||--------|--|-----⌫-----⌫-|
nesoi tpas	-|---⌫|--|
men dre enterminerlesquerelesque celede schoses iug iees	---⌫--|-|-------|--|-------|--|---|--⌫|-----|---⌫---|
q uernule ch os ene sacordesi	-⌫--|---|--⌫--⌫|-||-----|-|
àhu maine	-|--⌫----|
foico me gar de rles choses qui sontcouenancie es.	--|--⌫-|---⌫--⌫|--|-----|--|---|----------⌫-||
Nece nesoffit pas	-|-|-|-----|--|
a ̀depe cier	-⌫|----⌫---|
laco ue nan cequet uproposes	-|--⌫--⌫---⌫-|--|-⌫|-------|
fufete enla sec ondeeurede	-|---|-|-|---⌫---|---|-|
l anuit quern us tens	-⌫|---|---|-⌫-|---|
n eref use	-⌫|---⌫--|
leconsentement de celuiq uiasai ne pensee etes t	-|-----------|-|----|-⌫-||---⌫-|-----|-|--⌫|
deplus de.	-|---|-||
Cil meisme emp ereeurdient.	--|-----|---⌫-----|----||
P orcequeile stesc r itque lescho sesqui	-⌫---|--|-|-⌫-|---⌫-⌫-|--|--|---⌫--|--|
sontdonneesouret enuesp ortransacti o nson tàceluiqui	---|------|-|---⌫----|-⌫-|---------⌫-⌫|---⌫|-|----|--|
le sre çoitau tresico m eseillesachetast	--⌫|--⌫----|--⌫----|--⌫-⌫|-|-|--|-------|
etleschos esqui	-|--|----⌫-|--|
sontfetesp ar	---|----|-⌫-|
faintiseu alentautretant	-------|-⌫----|--------|
elesne fus sent pas feteslondemandeporno ient	---|-|---⌫---|--|----||-|------|--|--⌫---|
lep ris quifupramis f a int ement.	-|-⌫--|--|-|-----|-⌫-⌫---⌫----||
Cilmeismeemper eeur dient.	--|-----|-----⌫---|----||
Setuestoiesena agequantt ufe istrans action	-|-|------|-|-⌫--|----|-⌫|--⌫-|-----⌫-----|
conte stacionde triche rienesofist pasàdespeci erla	-----⌫------|-|------⌫--|-|-----|--|-|-------⌫-|-|
transaction.	----------||
C ilmeisme emperee ur dient.	-⌫-|-----|-------⌫-|----||
Lintenti onà cels à quiArtime dorus	|-------⌫-|-|---|-|--|------⌫----|
deuoitquioutautresoi r s	-----|--|--|-----|--⌫-⌫|
que toin ete	--|--|-⌫|-|
p uetpas tenirsetu nefus	-⌫--|--|----|-|-|-|--|
obligezporl uim es cedutestre	------|--|-⌫-|-⌫-|-|--|----|
tretiétant commelacausefuentier e.	------|---|----|-|----|-|------⌫||
Querporceque tu pro pose s que liplez a	---|----|--|-|---⌫----⌫|--|-|---||
estéfin ez p artran sacti onet	----|---⌫-|-⌫-|----⌫-----⌫-|-|
que tuaspaiezlesdeniers	--|-|-|----|--|------|
q ue tu acoue nanças turequierz	-⌫-|-|-----⌫------|-|-------|
à tortqueilte	-|---|--|-|-|
demande rcequetu aspaiéque tu ne d eu oies	-------⌫|-|--|-|-|----|--|-|-|-⌫--⌫---|
f etque prametre	-⌫-|--|-------|
lesd eniersen la	--|-⌫-----|-|-|
t ran sact ionsine	-⌫---⌫----⌫--|-|-|
t epeus ses tupasde fendredepaier	-⌫|----⌫--|-|--|--⌫-----|-|----|
l espar exce p t ion deceque t u ne	-⌫-|--|----⌫-⌫-⌫--|-|-|--|-⌫|-|
le deuo iesp as .	-|----⌫--|-⌫-||
Cilmeismeempereeur die nt.	--|-----|--------|---⌫-||
Selon nedo it rien	-||-|-|--⌫-|---|
plusd emanderdesceque l	---|-⌫------|--|-|--||
on a receupor	-||----|--|
l endroitdelatransaction leschosesqui son t	|------|-|-|----------|--|-----|--|---⌫|
contenuesenlinstrumenttuuoizque	--------|-||---------|-|---|--|
tenauersaires epuet defe nd reparlai de	--|--------|-⌫|---|----⌫--⌫-|--||--⌫-|
dexception	|--------|
Messe elereconoistsanzfin de	--|-|--|--------|---|--|-|
plet queeler en dra u ne certaine	---|--|--|-⌫--⌫--|-⌫-|-------|
cantité dedeniers	-------|-|------|
et e ledit queele n	-|-⌫-|--|--|--||
plusilnet estpas	---|-|-||--|--|
def enduquetu nedemandes	---⌫---|--|-|-|-------|
e t i celepa r tie	-⌫|-⌫---|--⌫-⌫--|
etleseu rplus de l ad ete	-|-|---⌫----|-|-⌫|-⌫--|
Cilme ismeempereeu rdient.	--|--⌫---|--------⌫|----||
Seuosauiez pl usde.	-|--|----|--⌫-|-||
anzquantuos f eistestransaction ouos treoncle	--|----|--|-⌫-----|----------||---⌫--|----|
etuos li quit astesend o ns	-|--|-|----⌫----|-|-⌫-⌫-|
c ondici onceq uei luosdeuoit	-⌫------⌫-|-|-⌫-|-⌫|--|-----|
la cause n edo itpas	-|----|-⌫|--⌫-|--|
estre re comm encieeencontre	----|--⌫----⌫-----|-------|
autresqu i son tsi oirpor	-----|--⌫|---⌫|-|--|--|
ceseuosp roposezqueu osle feis tes en	-|-|--|-⌫------|--|-⌫-|-|----⌫--|-|
espe rancedauoirsonheritage apr éslui	----⌫----||----|--|-------|---⌫--|--|
C i lmeisme emperee urd ient.	-⌫-⌫|-----|-------⌫-|-⌫---||
droiz deq uoinus n edoitdoter quepor	----|-|-⌫--|--|-⌫|---|----|--|--|
latransaction	-|----------|
qu ela mereface ne	--⌫|-|---|---|-|
doiuentpas si filestr eser f.	------|--|-|--|----⌫|---⌫||
Ci lmeisme em p ereeur dient.	--⌫|-----|--⌫-⌫-----|----||
apertechosequecilquies tsainspar	-----|----|--|--|--|--⌫|----|--|
penseepuet fer etransactionpar droit i asoit	-----|---|---⌫|----------|--|----|-⌫|---|
ceq ueils oit	-|-⌫-|-|-⌫--|
malades par cors ne tun edeussespasreq uerrepar	------|--|---|-|-|-⌫|------|--|---⌫----|--|
engrésdesierrierque tupeusses depeciertes	------|---------|--|-|------|-------|--|
coue nanzporcequetuestoies mal ades	----⌫---|----|--|-|------|---⌫---|
parcorsquant tules feis.	--|---|----|-|--|---||
Cil me ism eempere e urdient.	--|--⌫---⌫|------⌫-⌫-|----||
] C omment qu e tra nsaction soitfeteou	|-⌫-----|--⌫|---⌫-------|---|---|-|
pard euant le	--|-⌫----|-|
gouerne e u r dela contreeouailleurs	-------⌫-⌫-⌫|-|-|------|-|-------|
ouparescritureou	-|--|--------|-|
sanzesc riture ilco uientqueele soit	---|---⌫-----|-|--⌫----|--|--|---|
M es p orcequetu propos esquetufeisune	-⌫-|-⌫---|--|-|------⌫-|--|-|---|--|
couenancepa r quoitu deuoies r eceuoirune	--------|--⌫|---|-|------|-⌫------|--|
certai ne chose	------⌫-|----|
iasoitcequ eescriturenenfu pasf e te	-|---|-|--⌫|--------||-|-|--|-⌫-⌫-|
ne pein enifupasmiseetia	-|----⌫|||-|--|---|-|-|
soitceque auctionsne poutpasnestredelcouenant	---|-|--|-------|-|---|--|-----|--|-------|
nep orquantse tu de mandesle tuenettes auers aire sse	---⌫------|-|-|--⌫-----|-|---|-|--|-----⌫----⌫|-|
ueult d efendrepa r lexceptiond el	----|-⌫------|--⌫||--------|-⌫-|
couena nttuusera sde	------⌫-|-|-----⌫|-|
t elreplication	-⌫-|----------|
queilnapa s paié cequi	--|-|||--⌫|----|-|--|
couenant .	-------||
Et parce le	-|--|-|-|
porrastuc ontraind redacomp lirle couenant	-----|-|-⌫--------⌫-||-----⌫--|-|-------|
Ci lmeism eempereeurdie nt .	--⌫|-----⌫|--------|---⌫-||
Lidroi tdefendentque les ch osesqui	-|----⌫|--------|--|--|--⌫---|--|
sont fineespargeneral transaction	---|-----|--|------|----------|
n e soientpas recommenciees porl	-⌫|-----|--|------------|--||
endroit da ucu nespicialarticlequi pu isso i ttrouez	------||-⌫---⌫|-------|------|--|--⌫-|--⌫-⌫|-----|
Elerr eur delapr opriete ́de lac ho se	||---⌫--|-|-|--⌫-------⌫|-|-|-⌫--⌫-|
qu e autres tientqu ecilquifont la tra nsaction	--⌫|-----|----|--⌫|--|--|---|-|---⌫-------|
el tensq ueilla f on tnepuetriennuir e	-|---|-⌫-|-|-|-⌫--⌫|-|---|---|----⌫|
Cil m eismee mpereeurdien t.	--|-⌫----|-⌫-------|----⌫||
Ilestgriefch oseàto noes	-|--|----|--⌫--|-|--⌫|--|
et pla ine d ecrime	-|---⌫--|-⌫|----|
quele s c hoses	--|--⌫|-⌫----|
q uiso ntter minees	-⌫-|--⌫-|---⌫-----|
par transac tion soientrecomm encieespor cequ etu	--|-------⌫---|-----|------⌫------|---⌫-|--⌫|-|
recon oisquea ̀fere lat r a nsaction	-----⌫--|--|-⌫|---|-|-⌫-⌫-⌫-------|
ottr ich erieplusdepartoique	-|--⌫---⌫---|---|-|--|--|--|
deparceluico ntreq uitunosr e qu ier s	-|--|----|--⌫---|-⌫-|-|--|-⌫-⌫--⌫---⌫|
Ci lmeisme	--⌫|-----|
empereeur dient .	--------|----||
S eelcouenantde latrans ac tionquiestfeteentre	-⌫|-|-------|-|-|-----⌫--⌫---|--|--|---|----|
auc uns daucunecertaine	---⌫--||-----|-------|
contenuquerienplus n en	------|--|---|---||-|
soitdemandé ia soit cequ eil ni	---|-------|-|---|-|--⌫|-|||
aitp asmisqu edecele	--|-⌫-|--|--⌫|-|---|
ch osenesoi t rien	--⌫--|-|---⌫|---|
plusdema ndé neporqua nt l auction des autr esquestionsr emaintentiere	---|----⌫---|--------⌫-||------|--|----⌫-|--------|-⌫-----|------|
Cil meisme	--|-----|
empereeur dient.	--------|----||
Se la sentence qui es tdonnee	-|-|-------|--|--⌫|-----|
apré s ceque lenaoï	-----⌫|-|--||-||--|
lac au s enestsozpendueparapel o uparenterign e	-|-⌫--⌫-⌫||--|--------|--|---|-⌫|--|--------⌫|
restitu cionil estcert ain echose que tran saction	-------⌫---|-|--|----⌫---⌫|----|--|----⌫------|
estpor nient fet e suslach os e	--|--|----|---⌫|--|-|--⌫--⌫|
q uie st iugiee .	-⌫-|-⌫-|-----||
Et porces et unasper iel	-|--|-|-⌫|-⌫||-|---⌫-||
act ionquet u au oiesou	---⌫--|--|-⌫|--⌫---|-|
par miseo u	--|---|-⌫|
e nautremaniereli preu ozdelacontree	-⌫|----|------|-|----⌫-|-|-|------|
sentre met ra si com elacostum e desloisest q ue	|-----⌫---⌫-|-|---⌫|-|------⌫|--|---|--|-⌫-|
à effeutl eschosesquison tpieç a	-|-----|-⌫-|-----|--|---⌫|-----⌫|
Cil meismeempereeurdient .	--|-----|--------|----||
]S etut acordasquepor lefon zque	|-⌫|-||------|--|--|-|---⌫|--|
tudemando ies tefust	-|-------⌫--|-|---|
donneepa rtransaction	-----|--⌫|----------|
au cune c erta ine possessionfra nchement	--⌫---|-⌫----⌫--|---------|---⌫-------|
ne tunauoiespas	-|-||-----|--|
tensm ainsde	---|-⌫---|-|
anziasoitc eque ilfust a présprouéque	--|-|---|-⌫|--|-|---|-⌫----|-----|--|
cel epossession ert obligieea ̀a ucun ou	---⌫|---------|--|-------|-⌫|-⌫---|-|
queaut resiauo itpar tl i	--|---⌫--||---⌫-|---⌫|-⌫|
dr oit d e f endentque li pl ez quiestfin eznesoit	--⌫--|-⌫-⌫-⌫-----|--|-|--⌫-|--|--|---⌫-|-|---|
pas por cerecomenc iez.	--|--|-|--------⌫--||
Messeiliout mispai ne	--|-|-||--|--|---⌫-|
degard er le scouenanz ouse il	-|----⌫-|--⌫|-------|-|-|-|
furentescrittu enpuezpledier pard euant le goue rneeur	-----|-----|-|-|---|------|--|-⌫----|-|----⌫-----|
de lacont ree	-|-|----⌫--|
Ne porquant selisir esdel fonzou	--⌫-------|-|-|---⌫-|--|---|-|
autres chalenge enuerstoileschosesp or quoilafin	-----|-------|-----|--|--|-----|-⌫-|---|-|--|
de lp letaeste ́fe te	--⌫|-⌫--||----⌫|--⌫-|
ta nt commetulestienztu nen puez	--⌫-|----|-|--|----|-||-|---|
riendem ander.	---|---⌫----||
Cil meismeempereeur dient .	--|-----|--------|----||
Porcequeuos pr oposezq ue uo sa u ez à	----|--|--|--⌫-----|-⌫-|--⌫|-⌫-⌫-|-|
uostreescientqu itépar	-----|------|--⌫---|--|
transactionl obl igement	----------||---⌫------|
parquoiuostre s f rerese stoito b li giez àuo spo rce	--|---|------⌫|-⌫----|-⌫----|-⌫-⌫--⌫---|-|--⌫|--⌫--|
queiluosauoiteu engardeettricherie	--|-|--|----|-|-|----|-|--------|
fete à celuiquise consent a ̀ce que	---|-|----|--|-|------|-⌫|-|--|
l enli fet u os	|-|-|--|-⌫-|
pla ign iez por	---⌫---⌫--|--|
noi entdetricher ie nenusn	---⌫--|-|-------⌫-|-|--||
estestrainzparpr a me ssed acompl irlap ra messe	--|-------|--|--⌫-⌫--⌫--||------⌫-|-|-⌫--⌫----|
desonpropreheritag e .	-|--|-----|-------⌫||
Cilmeis meempereeurdient.	--|----⌫-|--------|----||
Quantilestmostréueraiement quela transaction qui	----|-|--|------|---------|--|-|----------|--|
leremuement del	-|--------|--|
siegneur ou pa rl	-------|-|--⌫||
auc tion quiest perief ufete par	---⌫---|--|--|----|-⌫|---|--|
lapr oier edesami sàcelsquil a firent l a	-|--⌫----⌫|--|---⌫|-|---|--|-⌫|-----|-⌫|
p rofe ssion àc eluiquirequ ie rtque	-⌫----⌫----|-|-⌫---|--|----⌫--⌫-|--|
ele soitdepecieeporce que ele fufetepar	--|---|-------|----|--|--|-|---|--|
poorsicommeil	---|-|----|-|
dit descueuresen	--|--------|--|
engresté.	--------||
Cilm eismeempe reeurdient	--|-⌫----|----⌫----|----|
Setuauoie s plusde .	-|-|-----⌫|---|-||
anz quanttu feis la	--|----|-|---|-|
t ransactioniasoitcequeil	-⌫---------|-|---|-|--|-|
pa s proué que cequite fu pramis	--⌫|-----|--|-|--|-|-|-----|
rendu ne ci l	----|-|--⌫|
que tuastrez encausenele t	--|-|-|---|-|----|-|-||
offre ntpa slaloialtéde l excepti onfet	-----⌫-|--⌫|-|-------|-||-------⌫-|--|
que tun epui ss esr ien	--|-|-⌫|---⌫--⌫-|-⌫--|
p lusdema nde rquecequi te fu	-⌫--|----⌫---⌫|--|-|--|-|-|
Ci l meismeempereeurdi ent	--⌫|-----|--------|--⌫--|
Selesch ose s	-|--|--⌫---⌫|
qui fure n tprami ses en l atransac tionne	--|----⌫-⌫|-----⌫--|-|-⌫|-------⌫---|-|
sontacompliesiles tcertainechos eq ue	---|--------|-|--⌫|-------|----⌫|-⌫-|
l on puetdemander lapai nequi	|-|---|-------|-|---⌫-|--|
ifu mis esel en	|-|---⌫|-||-|
uaencontre.	-|-------||
Cilmeis meempereeur	--|----⌫-|--------|
Transactionneuautrienq uiest	----------|-|---|---|-⌫-|--|
fetesanz ri endonner ou	---|---|--⌫-|-----|-|
sa nzri enret enirousanzr ienprame tre	--⌫-|--⌫-|---⌫---|-|---|-⌫--|-----⌫--|
Cil meis meempereeur dient .	--|----⌫-|--------|----||
Ia soitc equecilqui	-|---|-⌫|--|--|--|
a e ncouenanciéau cunechosepartran sactionse	|-⌫-----------|--⌫---|----|--|----⌫------|-|
repentem aintenant nep orquant	------|-⌫--------|---⌫------|
li couenan zn ep uetpasestr e	-|-------⌫|-⌫|-⌫--|--|----⌫|
depeciezn eli	-------|-⌫|-|
plezrecommenciez.	---|-----------||
Eci l quita mo nestaque	|--⌫|--||-⌫--⌫----|--|
il lisoitbienàpartirsoid e	-|-----|---|-|-----|--|-⌫|
la transactionded enz	-|----------|---⌫--|
certainestenste	--------|---|-|
dist faus.	---|---||
Liemp ereeur	-|---⌫-----|
Graciense t	-------|-⌫|
ualentins etTheodoses di ent.	--------|-|--------|--⌫--||
Làoùcouenanc eoutrans action es t escriteet ele	--|--|--------⌫|-|-----⌫-----|--⌫|------|-|--|
est confermeeparpain eoulendoit	--|--------|--|----⌫|-||-|---|
fere ce qui estcoue nanc i éouune	---|-|--|--|----⌫----⌫-⌫-|-|--|
paine doitestre	----|---|----|
eniointe àceliquil atresp asse	-------|-|---|--|-⌫|-----⌫---|
olescho ses qui	|--|---⌫--|--|
li furentdonn eespo r	-|-----|----⌫--|--⌫|
fere lasesesauersaires ueult .	---|-|-|--|---------|----||
Li e mpe r eeur Archemes etHonoiresdient.	-|-⌫---⌫-⌫---|-------|-|-------|----||
]Se aucun s quiait	|-|-----⌫|--|--|
anzueult u enircontre les	--|----|-⌫---|-----|--|
couenanzou contrelestransactio ns queil	-------|-|-----|--|----------⌫-|--|-|
fistparsa propreuolentéetsanznulefor ce ou	---|--|-|-----|-------|-|---|---|---⌫-|-|
p arproierleiuge ou	-⌫-|-----|-|---|-|
par requerre lesp rinces	--|-------|--|-⌫-----|
ouparceque il nacomplistpas ce	-|--|-|--|-||--------|--|-|
queilpramistse i l affermace qu e	--|-|------|-|-⌫|------|-|--⌫|
ilp ram is teln on	-|-⌫---⌫--⌫|-|-⌫-|
deD euleto t puissant il	-|-⌫-|-|--⌫|-------|-|
pa stantseulementdiff ame ́ ainzpe rde s action etrende	--⌫|---|--------|----⌫---⌫|---|--⌫--||-----|-|----|
lapain e quiestcontenue en lac o ue nance et	-|----⌫|--|--|-------|-|-|-⌫-⌫--⌫----|-|
pe r dela propri e té deseschos es e t	--⌫-⌫-|-|------⌫-⌫--|-|--|----⌫-|-⌫|
totlepreuqueila uoit	--|-|---|--|-|-⌫---|
eudec eletransactionoudecel	-|-|-⌫--|----------|-|-|--|
co uenant.	--⌫-----||
Etuitli preu serontassig néàcelsqui	|---|-|---|-----|-----⌫--|-|---|--|
gardero ntlesd roi turesd elcouenant sanzbrui sier .	-------⌫-|--|-⌫---⌫----|-⌫-|-------|---|----⌫---||
Etnoscommando ns que cilsoient dignede	-|--|--------⌫-|--|--|-----|----|-|
soffrir ledamag equiest	------|-|-----⌫|--|--|
establizencest elo iqui nostrenonme tron ten	-------|-|----⌫|--⌫|--|-----|--|--⌫----⌫|-|
lo rcouenances	--⌫|---------|
o almainsl e confermementaspri ncese tpui sen	|-|----|-⌫|-----------|-|---⌫---|-⌫|---⌫|-|
lesuoudront	--|-------|
Liemp ereeur Leons etAnthemesdi ent.	-|---⌫-----|----|-|-------|--⌫--||
Se tr a nsactionoucouenanc es sont fete s p orfa us instrumenzia	-|--⌫-⌫-------|-|--------⌫-|---|----⌫|-⌫-|--⌫-|---------|-|
soitceque sere menz soit fe z	---|-|--|----⌫---|---|--⌫|
deteni rlesnosc o mmandonsque	-|----⌫|--|--|-⌫-⌫-------|--|
el essoien tdep ecie esquantlafau sete ́ sera descoue rte	--⌫-|-----⌫|---⌫----⌫-|----|-|---⌫----⌫|---|-------⌫--|
entelm aniere q uese licoue nan t	-|--|-⌫-----|-⌫-|-|-|----⌫---⌫|
ou lestransactions sontfet es	-|--|-----------|---|---⌫-|
d epluseurscau sesoudeplu se ursart icl esicele	-⌫|-------|---⌫--|-|-|---⌫--⌫--|---⌫---⌫-|----|
icele parti e	----|-----⌫|
soitdepe c ieeta nts e ulementquifu fetepor	---|----⌫-⌫--|--⌫-|-⌫-⌫------|--|-|---|--|
l efaus instrumenz etli autrechapi tre	-⌫|---|---------|-|-|----|-----⌫--|
soientgardé fermemen t se eissi n	-----|-----|--------⌫|-|----||
auenture que lipl ezqu iestte rminez fustcommen ciez	-------|--|-|--⌫-|--⌫|--|--⌫-----|---|------⌫---|
article quiest faus.	------|--|--|---||
Li emp ereeurAnastai sesdit.	-|---⌫-----|-------⌫--|--||
Nos co mman don squelestransac tionsqui ontestéfetes ou	--|--⌫----⌫---⌫|--|--|-------⌫----|--|--|----|----|-|
fetesentot esles causes	----|-|---⌫-|--|-----|
de cond ici on deseru age quisont m euesouqui	-|----⌫---⌫-|-|----⌫--|--|---|-⌫---|-|--|
decienaua ntsero nt m eues	-|-|-|---⌫-|----⌫-|-⌫---|
aie nt forces e iln auientque eles	---⌫-|----|-⌫|-||-----|--|---|
cha nce lent en	---⌫---⌫---|-|
autremaniere.	----|------||
Nenosn e uolons pas	-|--|-⌫|-----|--|
qu e ilape re queelesne doient riens	--⌫|-|---⌫-|--|---|-|-----|----|
ualo ir porceque eless ontf etes	----⌫-|----|--|---|-⌫--|-⌫---|
decondiciond e	-|--------|-⌫|
Ceestune co nstitucion grequed	-|--|--|--⌫---------|-----||
e r reurdeiugement.	-⌫-⌫---|-|-------||
Liemp ereeurDiocli cians	-|---⌫-----|------⌫----|
etMa ximi ansdient .	-|--⌫----⌫--|----||
Il a so uentestéestabli queerreu rd epletdonc	-||--⌫---|----|------|--|-----⌫|-⌫|---|---|
elen esse oudunart i cleoudepluseurs n e	--|-⌫---|-||-|---⌫-⌫--|-|-|-------|-⌫|
fet nu ltort	--|--⌫|---|
àlaue rité.	-|-|--⌫----||
ce ilestapert dro itquelesreson s qui	-|-|--|----|---⌫-|--|--|-----⌫|--|
ont est e ́	--|---⌫-⌫|
conteespueentestre recordees derechief	------|-----|----|--------|-|------|
seles chose snes on ti ugiees	-|--|-----⌫|-|-⌫--⌫|-⌫-----|
ouse transactionnen	-|-|----------||-|
aestéfe te	|----|--⌫-|
Esetu aspramis parerreurdeplet	|-|-|-|-----|--|-----|-|---|
uneso mmede	--|--⌫--|-|
deniers autresico mmesetu ladeusses	------|------|--⌫--|-|-|-|------|
ia soitcequetu	-|---|-|--|-|
ne ladeu oies past u	-|-|---⌫---|--|-⌫|
puez auoir droiteauctiond etoid e l iure r.	---|----|-----|------|-⌫|--|-⌫-⌫-⌫----⌫||
Cist tytresest	---|-----|--|
d emai nte nirautruicauses .	-⌫|---⌫---⌫--|-----|-----||
LiempereresA lixandresdit.	-|--------|-⌫--------|--||
S eliho m me asautr esetli nostre meisme sont	-⌫|-|--⌫-⌫-|-|----⌫-|-|-|-----|-----|---|
sisag eq ue ilpuissent d e fendre	-|---⌫|-⌫-|-|-------|-⌫-⌫-----|
enplez cels qui l euoldront iln e leurest	-|---|---|--|-⌫|-------|-|-⌫|---|--|
pas deue e àferele.	--|----⌫|-|---|-||
LiempereresAnt oines dit.	-|--------|---⌫----|--||
Porceque tun	----|--|-||
apelaspas quantlipreuoz dEgipteted efendique	-----|--|----|-|-----||-----|-|-⌫-----|--|
tune sostenissesiaméscauseobeisàs oncommandem ent.	-|-|----------|-----|----|----|-|-⌫-|---------⌫--||
Liempere resGordian s dit .	-|------⌫--|-------⌫|--||
Setudo nnas ca ption	-|-|--⌫---|--⌫----|
quetu paieroies un e sommed arge nt	--|-|--------|--⌫|----||----⌫-|
so lo ncceq uelenpuet	--⌫--⌫-|-|-⌫-||-|---|
deuo ir àce r taine mesu reà ennor e ́hommeou	----⌫-|-|--⌫-⌫----|----⌫-|-|-----⌫-⌫|----|-|
àau o cazet tu pramei sàrendre laaut re si c omme	-|--⌫-⌫--|-|-|------⌫|-|-----|-|---⌫--⌫-|-⌫---|
le usse senprun teene parlonc	|-⌫----⌫|------⌫--|-|--|---|
tensaprésnetassentis pasa ̀ direcombienc e	---|-----|-||-------|--|-⌫|---|------|-⌫|
seroit tute puez defendr epar lexce pti o n	-----|-|-|---|-------⌫|--||----⌫---⌫-⌫|
deden iersquinesont	-|---⌫---|--|-|---|
pas nombréce estàdire porcequetes auersaires	--|------|-|--|-|---|----|--|--|---------|
ne se i tcombienil tedoitdeman d er.	-|--⌫-⌫|------|-|-|---|-----⌫-⌫-||
Eparcest eca usep uez tusolonc	|--|----⌫|--⌫--|-⌫--|-|-----|
lacos tume deli urerla	-|---⌫---|----⌫---|-|
caucionquetua sdonnee	------|--|-|-⌫|-----|
Li empereeurDioclician s et Maxi m iansdi en t .	-|--------|----------⌫|-|----⌫-⌫---|--⌫--⌫||
Auc uns sesforcepornoient	---⌫--||------|--|-----|
de reuenirasqu estionsq ui	-|------|-|--⌫------|-⌫-|
so nt t erm i neesporcouuerturede	--⌫-|-⌫---⌫-⌫---|--|---------|-|
pa tronsdelaca use n	--⌫----|-|-|--⌫--||
i f u pa s.	|-⌫|--⌫||
Liemperere sCos tentins dit .	-|--------⌫|---⌫------|--||
Se a ucun s d es auocat	-|-⌫----⌫|-⌫-|-----|
sonttrouéquimi el zaiment granz loiers que	---|-----|--|--⌫--⌫|-----|----|-----|--|
boenerenome e e tquiparn o nd	----|------⌫|-⌫|--|--|-⌫-⌫||
auo catiedemandent descausesq ue ilont	---⌫----|--------|--|-----|-⌫-|-|--|
em p ris a ̀defend re certai nepartie	--⌫-⌫--|-⌫|------⌫-|------⌫-|-----|
o gri ef dama ge	|---⌫-|----⌫-|
decel uiq uilacause est et	-|---⌫-|-⌫-|-|----|--|-|
orau ine ilnos plest	|---⌫--|-|--|----|
queci lquima ndront	--|--⌫|--|--⌫-----|
