siqueseuent	-|--|-----|
etunssuensaisneslag arda	-|--|----|-----||--⌫---|
e n soncorageen te ndi bien	-⌫|--|-----|--⌫--⌫--|---|
que tuitliau treaimentlo chien	--|---|-|--⌫--|-----|-|----|
por le signo r quelchariss oit	--|-|-----⌫|--||-------⌫--|
etqui oluisedesdussoi t	-|--||--|-|---------⌫|
sorso n manti allefistmucier	--|--⌫|-----⌫-|-|---|-----|
asautresabaier	-|-----|-----|
orc es t liaisnes	-||--⌫|-|-----|
p orpen sels	-⌫-----⌫---|
qu emu ex d elchi enualt i lassez	--⌫|--⌫-|-⌫-|---⌫-|---|-⌫|----|
muelsuaudroitason signor	----|-------||--|-----|
io erqueli chene spetis	--⌫-|--|-|-----⌫|----|
etmuezseroitoizcescri s	-|---|-----|--|--|---⌫|
etmuexl o udeur oi tconioir	-|---|-⌫-⌫|----⌫--⌫|------|
muexsauroit	---|------|
ild es p iez ferir	-|-⌫-|-⌫--|----|
porfolsetientqualuineue t	--|--|-|----|-||--|-|--⌫|
e tquasau o isnecrie en	-⌫|-||-|-⌫-⌫-|-|---|-|
lichiensaso nsignor	-|-----||--⌫|-----|
enciauint qua z zio r	---|----|-||-⌫|--⌫|
saloitlisir es	|----|-|---⌫-|
olouchene aloit iuant	|--|----|----|----|
liaisnes nepotplussoffr ir	-|-----|-|--|---|-----⌫-|
uer son signorprista	--|--|-----|----||
sorluisegitearechener	--|--|-|---||-------|
quetotloufait	--|--|--|---|
es poen te r	--⌫----⌫--⌫|
de spi ezlo ufiert sor lui	--⌫|--⌫-|--⌫|----|--|--|
siquiaterre lab ati	-|-|||----||--⌫--|
porzzp oiquilnelottué	--|-|-⌫-|-|-|-||-|---|
selisires naustcrié	-|-|----||---|----|
ahibo negensaidie mo i	--|--⌫-|---|----|--⌫|
s ihome corr et a d erroi	-⌫|---|----⌫-||-⌫----|
chascusamacu eou baston	------||----⌫|-|-----|
ferrirenten uiron	--------|--⌫----|
martireietadolor	-------|-||----|
porent aidier alor signor	-----|-----||--|-----|
dec iquel asneont tantbatu	---⌫|--||---|--|---|---|
queilloulasseestendu	--|-|--|----|------|
a poinelon t mis enl	|----||--⌫|--|-||
sauoirpoezparcestefraible	-----|---|--|----|------|
lamani e redemai ntege nt	-|----⌫-⌫-|-|---⌫--|--⌫-|
p oezueoirsoue nt	-⌫--|----|----⌫-|
uoldroie assa ier	-------|----⌫--|
et e n telleuapp erillier	-|-⌫|--|--|---⌫-------|
nauientpasa	|-----|--||
lor corsage	--|------|
ensorqueto talorpa rage	----------⌫||--|--⌫---|
a mainsestenci	|----|--|---|
asne quifubatuz	---|--|-|----|
dun lyon con t equid ormoit	|-|---|---⌫-⌫|--|-⌫-----|
bosc age ou	----⌫--|-|
seuont de dussan t	-|---|--⌫------⌫|
sorispetiset	----|----|-|
l unec o rrut ne	|--|-⌫-⌫---|-|
sor loulyon	--|--|---|
si c eswilla	-||------|
enfucorrecc ez	-|-|-------⌫-|
lasorispr i st	-|----|--⌫-⌫-|
de liuoloitfai reiustice	-|-|-----|---⌫-|------|
el s escondistqu en	-||--------|-|-|
nulleguise	----|----|
aescient faitnel*auoit	|------|---|-|------|
li l yon s a t antlou lessoit	-|-⌫---⌫||-⌫--|--|------|
p e titehonorce ditau roi t	-⌫-⌫---|----|-|--|--⌫---⌫|
s ilo ssioi t	-⌫||-⌫-----⌫|
gairesdetensne demora	-----|-|---|-|-----|
li lyon suitetesgar da	-|----⌫|--|-|-----⌫-|
u n efolceleededens	-⌫-⌫|----|--|-----|
lanui t chaililyonsens	-|---⌫|---|-|----|--|
dedens la fosseformentcri e	-----|-|----|------|---⌫|
l a sorizua aucri totdroit	-⌫|----|-|-|--|--|----|
etne sauo itque ceuesto it	-|-|----⌫-|--|--|----⌫-|
qui elboisl	--|-|---||
a uoitesuelliee	-⌫---|--------|
coneleuit c ec est	--|--|--|-⌫||--|
demand aliqu	------⌫|-|-|
ilestoit q uis	-|-----|-⌫--|
cilrespont	--|------|
q uilestoit	-⌫|-|-----|
ociss eroit a gran tdolo r	---|-⌫----||----⌫|----⌫|
distlasoriznaiez	---|-|----||---|
oruo srend raigueredon	-|--⌫|----⌫--|-------|
dontmefeistesloupard on	---|-|------|--|----⌫-|
quantie despi ez uo s oi merchiei	----|-|--|--⌫-|--⌫|-|-------|
gr at ezla	--⌫--⌫-|-|
terrea uostre	----||-----|
af erm e ruosipuss ie z	--⌫---⌫-⌫|--||----⌫--⌫|
amon t uossachi e z	----⌫|--|-----⌫-⌫|
enc ipor rezamont u enir	---⌫|---⌫--|----|-⌫---|
gens appel le rai	---|-----⌫--⌫--|
censmentir	---|-----|
a utr esso rispo rmoi aid i e r	-⌫---⌫-|--⌫--|--⌫|--|---⌫-⌫-⌫|
asque sisont t ren chier	-|--|-|---|-⌫---⌫----|
et a usron seusque	-|-⌫-|---⌫---|--|
sonttenduz	---|-----|
nesere zmieretenuz	-|----⌫|--|------|
len s egnementa	|--⌫-⌫-------||
l a s oris	-⌫|-⌫---|
lyonssifugaris	----|-|-|----|
de lafossecestachespe z	-|-|----||--|-------⌫|
laliualuthumilitez	-|-|----|--------|
par cestefa ub l euosasomme	--|----|--⌫--⌫-⌫|--|-----|
quassempleiprengnetli	-|-------||-------|-|
quisorlesp oures ontpooir	--|--|--|-⌫----|--|----|
silormesfont	-|--|------|
parnonsauoir	--|--------|
ains quena ientbonemerc i	---|--||-⌫---|---|----⌫|
et au enirpu et autreci	-|--⌫---|--⌫-|------|
quecil li auragrantmestier	--|--|-|---|----|------|
etm iexle sauraconsillier	-|-⌫--|-|----|---------|
e t sonbe soigsilestsorpris	-⌫|--|--⌫---||-|--|------|
conlimeldres d ecesamis	--|-|------|-⌫|--|---|
percestes sempleen	--|---|--⌫-----|-|
escri s truis	-----⌫|----|
quanthonssemaprimeslinuis	----|---|---|-----|-----|
etuoltloupre ude luauoir	-|---|--|---⌫|-|-|----|
larond efu de g ra nts auoir	|-----⌫|-|-|-⌫--⌫-|-⌫----|
siaparc utqueparloulin	-|-----⌫-|--|--|--|--|
seront oisialmisa lorfin	-----|-----|--||--|--|
delipu etlen lacier	-|-|--⌫-|--|-----|
dou lenles p ooit domagier	--|--|--|-⌫---|-------|
toz les oisiaus f istassembler	--|--|------|-⌫--|--------|
silor uoloitcon soi l doner	-|--|-----|---⌫---⌫|----|
quilala ssent lou li nm aingier	-|-|---⌫----|--|--⌫|-⌫------|
siqueiln ep eustfrougier	-|--|-|-⌫|-⌫---|-------|
liplusor ne lou uoldrefair e	-|-----|-|--|-----|----⌫|
auuilain lalerent retrair e	-|-----||------|-------⌫|
a ce consel sontatrou tei	|-|-----|---|-----⌫--|
q ua nt lal on deotescouté	-⌫--⌫-||--⌫--⌫-|-|-------|
con mentqu illorentenc usee	---⌫---|-|-||----|---⌫---|
paren sfist eune	-----⌫|---|---|
oles mellor s	|--|------⌫|
desa li gn ie	-|-|--⌫--⌫-|
si cestau uilain apoiee	-||--|-|-----|-----|
qu ensama isonsoffri so nnis	-|-|-|--⌫---|-----|--⌫|--|
lafurent lioisi alno rris	-|-----|-|----⌫-|--⌫---|
ele dona asonlinpa s	--|---||--|--|--⌫|
linn e perdra mais	--|-⌫|-----|---|
cil fi stdell inengin gplusor	--|--⌫-|--|-⌫-|-----⌫|-----|
don tpristoisiau s grans	---⌫|----|------⌫|----|
nause n t pas delmal eu	|----⌫-⌫|--|--|--|-|
sileustconseil creu	|-|---|------|---|
c e ste f ableest assesu oire	-⌫-⌫--|-⌫---|--|----|-⌫---|
quantfolsneuuetlousagecroire	----|---|-|---|--|---|-----|
cons eilliuuetdoner	----⌫--|-|---|----|
etde son ma u slou uuetgard er	-|-|--|--⌫-⌫|--|---|----⌫-|
damageslendoitbienuenir	------||-|---|---|----|
adoncestta rtaurepenti r	----|--|--⌫-|-|-------⌫|
iadis auintquenu nestan c	----|----|-|-|-⌫|-----⌫|
entrel esrues etlouf anc	----|-⌫-|---|-|--|-⌫--|
o tdereinneslaconpagnie	-⌫|-|------|-|--------|
qui delonc ten sfunorrie	--|-|---|---⌫|-|-----|
la de sd egnerentaester	-|--⌫--⌫-------||----|
alaterre uuell eal er	|-|----|-----⌫|--⌫-|
emmi leaueotz z tro nclong or	---||---|-|-⌫|---⌫-|----⌫-|
d onteles auoientpoo r	-⌫--|---|------|---⌫|
celeq ui pre s deltronc estoit	---|-⌫-|---⌫|--|----|-----|
q uantuitqueilnes e m ouoit	-⌫---|--|--|-|-|-⌫|-⌫----|
sesco n pa gnesa appellees	--|--⌫-⌫--⌫---||--------|
ett otessont	-|-⌫---|---|
illuec alees	-----|----|
etlo u salue	-|--⌫|----|
e t cha scun eli	-⌫|---⌫----⌫|-|
pro metfo i	---⌫--|--⌫|
tote slestienn ent asignor	----⌫|--|-----⌫--||-----|
etlipromett ent	-|-|-------⌫--|
grant honor	----|----|
etq uantlitrons nes eremut	-|-⌫---|-|----|-|-⌫|----|
etel es uirentquen pa sestut	-|--⌫-|-----|-|-|--⌫|----|
l oruil oi gniesorlufirent	-⌫-|---⌫--⌫---|--|-|-----|
le auuelabatirent	|-⌫---||--------|
alo rd estin ee	|--⌫|-⌫-----⌫-|
demandepointnen n ont	------|----||-||--|
maluaisfu celquilordona	------|-|--|-||--|---|
ladestinee i	-|-------||
une colueur e grant et fort	--|-------⌫|----|-|---|
quelesdeuore et trait	--|--|-----|-|----|
trestotesfurenten torment	--------|-----|-|------|
do ntcriere nt	--⌫-|------⌫-|
plusaisprement	---|---------|
a ladestinee me rci	|-|-------|--⌫--|
ostacel e nemi	---|--|-⌫---|
ladest ineeloroffri	-|----⌫---|--|----|
nenilnenil ieuossoff ri	----|----|-|--|----⌫-|
tote s uosuolenteiza f a ire	----⌫|--|--------||-⌫-⌫--|
eu stesdebonaire	--⌫---|-|--|---|
uilaingne mentlouhoneistes	---------⌫---|--|--------|
uos queistes	--|-------|
enciauientenci lou font	---|-----|---|--|---|
desboins signors	--|----|------|
quantill es	----|-|-⌫-|
uelentdefoller	-----|-------|
nel orseuenthonorporter	-|-⌫-|-----|----|-----|
se i lnelestient end estro it	-|-⌫|-|--|----|-|-⌫-----⌫-|
ne font por luine tort	-|---|--|--|-|---|
a teil sepreg nesquels d e str uit	|---|-|----⌫--|----|-⌫-⌫---⌫--|
delorauoirmoi nnetgra nt bruit	-|--|----|---⌫---|---⌫-|----|
dontregretentl orboinsignor	---|--------|-⌫-|---|-----|
quifaisoientlag r anthon or	--|--------|-|-⌫-⌫--|---⌫-|
colondemanden t z z s ignor	----|--------⌫|-⌫|-⌫----|
a uroichois irent zz signor	-⌫|--|-----⌫----|-|-----|
porceque moins mallor	--|-|--|----|--|--|
ainslesg ar daste tmain tenist	---|--|-⌫--⌫---|-⌫|----⌫-----|
etl ih ostorspersonoltraige	-|-⌫|-⌫-----|--|--|-------|
lestienten pieuseten	--|----|-|----|-|-|
n en iotzzsil laprimast	|-||-|-||-||-------|
quinoceist o udeuorast	--||-----|-⌫|-------|
p orceparla z zdes co lons	-⌫-|-|----|-⌫|--|--⌫---|
siapellacesconpa gnons	-|-----|--|-----⌫----|
grantfoliedist	----|----|---|
quenosos tor au roipre ismes	--|--|--⌫--|-|--|---⌫----|
quin osocistde ioren	--|-⌫-|----|-|--|-|
mu exno su e nistil	--⌫-|--⌫|-⌫-⌫---|-|
sens s ignor	---|-⌫----|
fussien s toz iors quaueccestui	-------⌫|--|---|-|---|-----|
n usgar dimes	-⌫-|---⌫----|
ne dotionsp as	-|------|-⌫-|
qu a ntn os eumes sig nor fait	--⌫-⌫-|-⌫-|----|---⌫--|---|
apertement	---------|
se u qu ifa issoitp riueement	--⌫|-||--⌫-----|-⌫--------|
cistes sem plesdita u plusors	---|--⌫---⌫---|--|-⌫|------|
quichosissen t	--|---------⌫|
lesmaussignors	--|---|------|
fol iesentr emet	---⌫-||----⌫---|
q uien suiectionsemet	-⌫-|-|--------|-|--|
aucruel homeetauf elon	-|----|---|-|-|-⌫---|
ia nena urase honte	-||-|-⌫--|-|----|
larroncontequiala	-----|----|--|--|
barbisenbler	-----|-----|
qu iles p ia	-|-|--⌫-⌫-|
dedens l af audea	-----|-⌫|-⌫---||
et au ecluiporta del pain	-|--⌫-|--|----|--|---|
a u chienuoloit son	-⌫|----|-----|--|
pai nbail lier	---⌫|----⌫---|
qui la faudedeuoi tgai t ier	--|-|----|-----⌫|---⌫-⌫--|
amiscedi tli	---|-|--⌫|-|
chiensporco i	-----|--|--⌫|
prendoieie lou paindetoi	-------|-|--|---|-|--|
puisgueredoner	---|---------|
fa iaton oez	--⌫||--|--|
le pai ngard er	-|---⌫|----⌫-|
liler resdit i e ne	-|---⌫--|--|-⌫|-|
quier rien	----|---|
o rloumainiuesil eretien	-⌫|--|------|-|-⌫|-----|
et li chien	-|-|----|
enuuel ni ant	-|---|--⌫--|
iesa itresbiena esciant	-|--⌫|---|---||------|
boucheuuezestoupe r	-----|---|-------⌫|
nepuss emotsoner	-|----⌫|--|----|
siembleroiesno sbarbi s	-|---------|--⌫|-----⌫|
quelibergierses ten dormis	--|-|-------|--⌫|--⌫-----|
tra iauroiemonsig nor	---⌫|-----|--|---⌫--|
quimanorriiusquace	--|||----|----||-|
malement auroitempl aie ́	-------|-----|----⌫---⌫|
q uem anorrietafaitié	-⌫-|||----|-|-------|
bocheauoitp erdu	----|----|-⌫---|
ceupor coima lonctenspeu	--|--|--|||---|---|--|
ettumeismesm eharroies	-|-|------|-⌫|-------|
etportrai torme tendroies	-|--|----⌫--|-|--------|
ne uuelpaspain	-|---|--|---|
issi baillier	---|-------|
l ors leconme nceaabaier	-⌫--|-|-----⌫--||-----|
paressempleuusmostre	--|-------|--|-----|
chascunsprodon fait	-------|-----|---|
uu etdonerloier	--⌫-|----|----|
ne parpromesc elosangi er	-|--|-------⌫|-------⌫-|
quesonsignordoie	--|--|-----|---|
nelodoitmieconsentir	-|-|---|--|--------|
at endredo ittel gueredon	--⌫----|--⌫-|--|-------|
c hiensfistdellarron	-⌫----|---|--|-----|
iadisauintuns lous al a	----|----|--|---|--⌫|
parzz cheminsie n contra	--|-|-----|-|-⌫-⌫-----|
quepr ensestoit	--|--⌫--|-----|
u e rliala ag rant	-⌫-⌫|-|--||-⌫---|
etd ist que p as liuu etdo ner	-|-⌫--|--|-⌫-|-|--⌫-|--⌫--|
mas quelese hast de porcel e r	--|-|--|-|---|-|------⌫-⌫|
por ceausuoloit	---⌫----|-----|
elerespontpargrant au oir	--|------|--|----|--⌫--|
sireconmentmeh asteroie	---|------|-|-⌫-------|
tantcon cipresd emoi uos	---|--|-|---|-⌫|--|--|
ne meporroie deliure r	-|-|------|-------⌫|
telshonteai deuosesgarder	---|----|-|-|--|-------|
n e sauez miequece monte	-⌫|----|--|--|-|----|
que totes femesontgranth onte	--|----|----|--|----|-⌫---|
semainsmadle lesd oittochier	-|----|----|--|-⌫--|------|
atels besoig	|---|-----|
neaprochier	-|--------|
ado nc salali lous mu cier	---⌫-||--|-|---|--⌫---|
quelesporceals uoloitmaingier	--|--|-------|-----|-------|
etlatroies	-|-|----||
en est alee	-|--|---|
quiper en ging cestdeliuree	--|--|--⌫---||--|-------|
cestessemple doiuent	---|-------|------|
toutes femesetretenir	-----|----|-|------|
p or soulement lorcors	-⌫-|--------|--|---|
ne lassentlor	-|------|--|
enfantp erir	-----|-⌫---|
ce ditlilieu re	-|--|-|----⌫-|
sas emblere nt	|--⌫-------⌫-|
a parlemen t sies garderent	|--------⌫|-|--⌫--------|
au treterre	--⌫--|----|
fors de lreinneou ilestont	---|--⌫|-----|-|-|-----|
quetropfurenten	--|---|-----|-|
g rant dolor	-⌫---|----|
domesd echi ensorent paor	|---|-⌫|---⌫--|----|---|
si nel ouuo loientso ffri r	-|-|-⌫-|--⌫-----|--⌫----⌫|
porces en uoloientfo ir	--|-||-|-------|--⌫-|
lisaigelieure lor	-|----|-----|--|
d issoient	-⌫-------|
folteestoitceuqui l	----|-----|--|-|-⌫|
ais sirdelor co noiss ance	|--⌫--|-|--|--⌫-----⌫---|
o uilfurentnorridenfance	-⌫|-|-----|----||------|
lia utrenesuoloi entcroi re	-|-⌫---|-||-----⌫--|----⌫-|
q uiensembl e tiene nt lor oirre	-⌫-|-------⌫|-----⌫-|--|----|
aune marresont uenu	|--|----|---|---|
gard eauants i ontueu	----⌫|----|-⌫|--|--|
reinne sque furentaunee s	------⌫|--|-----|-----⌫|
d epaord elssonteff re es	-⌫|---||--|---|---⌫--⌫-|
d edenslea uueseuo nt	-⌫----||--⌫--|-|--⌫-|
lesuirenta p r o chier	--|-----|-⌫-⌫-⌫-⌫----|
zzlieures les	-|------|--|
signorfaitiloresga rdez	-----|---|-|-|----⌫---|
p arlesreinnes	-⌫-|--|------|
quenosueon s	--|--|----⌫|
quepaorontnosporponsons	--|---|--|--|---------|
que nosalons querantfolie	--|--|----|------|----|
quen ostrecau eauons guerpie	--|-⌫----|---⌫|----|------|
porestre alloressaurez	--|----|----|-------|
iamaiste rre ne	-----|--⌫--|-|
tr ou erez	--⌫--⌫---|
ou len nedoita ucune rien	-|--|-|---|-⌫----|---|
ral onsnousen si	---⌫--|---|-|-|
ferons bi en	-----|--⌫-|
atantli lieureretornerent	----|-|-----|----------|
e nlorcontre esenalerent	-⌫|--|------⌫||-|------|
deceus edouen tpor penser	-|--|-⌫|-----⌫|---⌫-----|
se doi uent remuer	-|---⌫---|-----|
etlorancienleuguerpir	-|--|-----|--|------|
enpuetapresuenir	-|---|----|----|
iamai sterrene	-----⌫|----|-|
t roueront	-⌫-------|
enc o ntre nen	-|-⌫-⌫---||-|
puissen tsens	-------⌫|---|
ousen straualou se nspaor	-|---⌫|-----|-|--⌫-|---|
du nly onditqui assembla	|-⌫|--⌫-|--|--|-------|
t otesles be steset mand a	-⌫---|--|--⌫---|-|----⌫|
quialo ients oryypiez	--|---⌫---|-⌫-|-|---|
et l iaigles a por chaciez	-|-⌫|-----||---⌫------|
tozlesoisiausqui	--|--|------|--|
en l a ru elentam ont	-||-⌫|-⌫----|--⌫--|
batailledeuoientteni r	-------|-------|----⌫|
conen sembledure n t ue nir	--|--⌫-----|----⌫-⌫|--⌫--|
et lachaue soris	-|-|----|----|
qui so nuetpensae tdit	--|--⌫---|----|-⌫|--|
qu eleredout ecestaffai re	-|--|------⌫|---|-----⌫-|
ne seita uquelse doietra i re	-|---|-⌫|---|-|---|---⌫-⌫-|
ocelsuuetes trequi	|---|---|--⌫--|--|
etquilagr egnorfor ceauro nt	-|--|-|--⌫----|---⌫-|----⌫-|
fust estoitmont ee	---|-----|----⌫-|
poresgardercelemellee	--|-------|---|-----|
sel ifu uissonescient	-|-⌫|-|--|--|------|
que lilyonsauoitplusgent	--|-|----|----|---|---|
etsies tdegre gnor iusti ce	-|-|--⌫|-|---⌫---|-----⌫-|
olesaut ressoriscest mise	|--|---⌫--|----||--|---|
amoontuol ez	-----|---⌫-|
o l esoisia usqu	|-⌫-|-----⌫-|-|
iot ma ndez	|-|--⌫---|
tanteniottanten	---|-||-|---|-|
iu indrent	|-⌫------|
que l es beste s poidelu itindrent	--|-⌫-|-----⌫|--|-|--⌫|-------|
quant lachauesoris	----|-|----|----|
l es uoi t	-⌫-|---⌫|
selipoisequoels	-|-|----|-||--|
donccestdes	---||--|--|
be stes departie	--⌫---|-------|
sespi ez muca se	--|--⌫-|---|-|
fis t folie	---⌫|----|
maisquantles	---|----|--|
elesentr ouri	---|----⌫---|
pard euanttozles	--|-⌫----|--|--|
lorsfu safel oig ni e aper te	---|-|-|---⌫---⌫--⌫|----⌫-|
et sa traison desou erte	-|-|------|-----⌫---|
oisiausetbestes	------|-|-----|
lahuere nt	-|-----⌫-|
alor iustices e n alerent	|--|-------|-⌫|------|
delachaue soris se	-|-|----|----|-|
honi sseet lalaidenge	----⌫--|-|-|-------|
etmostr erentsa feloignie	-|-----⌫----|-|--------|
et quee l a	-|--|-⌫||
sa foimen tie	-|--|---⌫--|
l aiusticelorai uré	-⌫|------|--||-⌫---|
quelee nfer aloruole nte	-|--|-⌫|---⌫|--|----⌫--|
tanto st lesuengera	-----⌫-|--|------|
p uizlamaudist	-⌫--|-|------|
que i amais	--|-⌫----|
enl eu neuenist	-|-⌫-|-|-----|
quois ialne	-|---⌫--|-|
besteueist	----|----|
toteclartei li	---|------|-|
iamaispariorneniertu eue	-----|--|--||-|---|-⌫--|
etpui zrouaporlui	-|---⌫|---|--|--|
la plumeo ster	-|----|-⌫---|
por des courir	--|---⌫-----|
autreciest del	------|--|--|
qui me serreuersonsignor	--|--⌫----|--|--|-----|
acuiil doithonorp ort er	|--|-|---|----|-⌫---⌫-|
etloiaul te e thon orer	-|------⌫-|-⌫|---⌫---|
sices sire ad elu	-|--|---||-⌫|-|
et illouoieafobloier	-|-|-|---|--------|
besoig louueltfaillir	-----|--|---|------|
oles autresseuet tenir	|--|-----|-|--|----|
seces u ientaud esus	-|--|-⌫---|-|-⌫---|
si lpue tlassier	|-⌫|---⌫|------|
sonmaluaisu s	--|------|-⌫|
siuoldroitalu iretorn er	-|-------||--⌫|------⌫-|
detout espars uuetmeserrer	-|----⌫-|---|---|-------|
et pert ot e s taudoi	-|--|-⌫-|-⌫-⌫|-|--|
et auilliezetue ergondez	-|-------|-|--⌫-------|
s o nore npertetson au oir	|-⌫--|-⌫|---|-|--|--⌫--|
etreprouier en	-|--------|-|
en totes corsenest h onis	-|----|---|-|--|-⌫---|
s iconfulachauesoris	-⌫|--|-|-|----|----|
qu inedoitmaispar	--⌫|-|---|---|--|
ior uol oir	--|---⌫--|
nedoitenchamp entrer	-|---|-|----|-----|
en cia uintzzc er sbeuoit	--⌫-|-⌫---|-|-⌫--⌫|-----|
a uneeaueq uesoif auoit	|--|---|-⌫-|---|----|
garda de densc es c orn es	----|--⌫---|-⌫-|-⌫---⌫-|
a soimeis mes lauoit	|--|----⌫--||----|
quenule bestenelual oit	--|---|----|-||---⌫--|
nesibe les cornes nauoit	-|-|--⌫--|-----||----|
tantentendiasoi	---|------||--|
et a cescorne ses garder	-||--|-----⌫|--⌫-----|
que iluituenir chien serra nt	--|-|--|----|-----⌫|----⌫-|
et lorsi gnor apres corrant	-|--|--⌫---|----|------|
apresluuiennet ces	----|-|------|-||
queroi ent	------⌫--|
porcequeprendre louuoloient	--|-|--|------|--|-------|
en fuittot	-|---|--|
perlescorne se s t	--|--|-----⌫|-⌫-⌫|
buis sone st ret en uz	----⌫--|-⌫-|---⌫--⌫-|
ez uosle s chiensaluuenuz	-|--|--⌫|-----||-|----|
conilles uits iaprochier	--|-|--|--|-⌫|--------|
sisec onmenceader aisnier	-|-|-⌫------||---⌫------|
uor sest fait i lc e quelen dit	---⌫|--|---|-⌫|-⌫|--|--|--|
qu e sorcudiez ausplus ors	--⌫|--------|--|----⌫--|
li plusoruuelentcelo er	-|-----|------|-|--⌫-|
quesou uentdeuroientbla sm er	--|---⌫---|--------|---⌫--⌫-|
eticelassent	-|--|------|
so u entloer se il sau o ient	--⌫-⌫--|---|-|-|---⌫-⌫---|
d unhom e c onteli	|-|---⌫|-⌫---|-|
quiestoit m orsetenfois	--|-----|-⌫--|-|-----|
safemmedemenoitdolor	-|----|-------|----|
desuz la tombesonsignor	----|-|----|--|-----|
pres dilue ca uoit	---||----⌫|-⌫---|
quifutpenduzporm espriso n	--|--|-----|--|-⌫-------⌫|
p er lacontreefu	-⌫-|-|------|-|
quiloularronauroitosté	--|--|-----|-----|----|
lou i ugement mei sme auroit	--|-⌫------|---⌫--|-----|
s il i ertat enspen duz seroit	|-|-⌫--|--⌫--|---⌫--|-----|
unscheuali ers	--|-------⌫--|
loudes pendi	--|---⌫----|
se spa r ens	--⌫|--⌫-⌫--|
iertsilenfoi	---|-||----|
adoncnesot	----|-|--|
consel trouer	-----|-----|
conm entpoistconsel	----⌫--|----|-----|
qu esau iertde m ai nte gent	--⌫|--|---|-|-⌫--⌫--|---|
louten oita	--|---⌫--||
auc emitirealatotdroit	-|-⌫------|--|--|----|
laoula prodefemm eestoit	-|-|-|----|----⌫|-----|
quisonsig n ora	--|--|---⌫-⌫-||
t antploré	-⌫--|-----|
conteme ntaa lui parlé	-------⌫-|||--|-----|
ditli queleseconfortas t	--|-|-|--|-|---------⌫|
mol tse roit	---⌫|--⌫---|
liezcele lama st	---||--||---⌫-|
l aprodefemelesgarda	-⌫|----|---||------|
grantioi e en ot	----|---⌫|-|-|
quel e f eroitlauol ente	-|--⌫|-⌫----|-|---⌫---|
licheualierliacontee	-|--------|-||-----|
conment lie stmesaue nuz	------|-|-⌫-|------⌫--|
doularro nquilot	--|-----⌫|-|-|-|
sene le n se it conseldone	-|-||-⌫|--⌫-|-----|---|
fordelpais lestuetaler	--|--|---||-----|---|
la pro defeme res pondi	-|---⌫-|---|---⌫----|
deffuons monbarondeci	-------|--|----|-|-|
et lou pendonsla ouc il fu	-|--|------|-|-|-⌫-|-|
sin i ertiamais	-||-⌫--|-----|
deliurerdoitonparlou	-------|---|-|--|--|
louui fdon len	--|--⌫|--||-|
atantconfo rt	----|-----⌫-|
p ariceste soiefiance	-⌫-|-----|---|-----|
poo ns entendrequelfiance	---⌫-|-------|---|-----|
doientlimort auoiras uis	-----|-|---|----|-|--|
folset iolis	---|-|----|
unslou setuns chienssenco ntrerent	--|---⌫|-|--|-----||----⌫-------|
parmizz boi soui lallerent	----|-|---⌫|-|-⌫|-------|
li lou satlouc hi enr esgardé	-|---⌫|-|--|-⌫--⌫-|-⌫-------|
aaluiparlé	||--|-----|
frerefaitilmo ltestesbiaus	----|---|-|--⌫-|----|----|
es tlussansuostre	--⌫|------|-----|
e tlic hienz dist cest ueriteiz	-⌫|-|-⌫----|---||--|-------|
ie mainiubien	-|-----|---|
et s o efgisquant plue t	-|-⌫-⌫-|--|----|----⌫|
pardeuantle s piez mons ignor	--|-----|--⌫|---|--|-⌫----|
i or ronge les o s	-⌫-|----|--|-⌫|
d ont ie mefas etgrantetgros	-⌫--|-|-|--|-|----|-|---|
se uos uolezo moi ue ni r	-|--|----||--|--⌫--⌫|
etuos lou u ole zobeir	-|--|--|-⌫---⌫|----|
iefaiz a ss ez aurois	-|---|-⌫--⌫-|-----|
pl uiz u iandequene uolrez	--⌫--|-⌫----|--|-|-----|
siferai uoirli lous respo nt	-|----|---|-|---|-----⌫-|
lorss aconpagnesisen uont	---||--------|-||-|---|
ainsquauile fuis sentuenu	---|-||---|----⌫---|---|
loussi aueu	---|-||--|
conli c hiens port as on cole	--|-|-⌫----|----⌫|-⌫-|---|
sachea inneuittrainer	-|----⌫---|--|------|
i lmerue illeuoi	-⌫|-----⌫---|--|
e ntorton col	-⌫---|--|--|
dontaieffroi	---|-|-----|
lichiensres pon tcestla	-|-----|---⌫---⌫||--|-|
dontonmel ie sorsemainne	---|-|-|-⌫-|--|-------|
quemolt sou ent lagentmordroie	--|---|---⌫--|-|---|-------|
ausplusorsou nemef feroie	--|------|-|-|---⌫-----|
quemessireuuetgar enti r	--|--|---|---|---⌫----⌫|
porcemefaitliertenir	--|-|-|---|---|----|
la nuituois entor la	-|---|---|----|-|
quen iapr ochen tlilarron	--|||---⌫-----⌫|-|-----|
quoifa i tlilo usest ilenci	---|--⌫-⌫|-|--⌫-|--|-|---|
qualernepu e zf orspar	-|---|-|--⌫-⌫|-⌫--|--|
tut en uasie	-||-|--|-|
lach eainneiane prendrai	-|--⌫-----|-|-|-------|
muex uu el es trepou re	---|--⌫-|--⌫--|---⌫-|
ad e liure	|-⌫-⌫----|
quench eainnérichementuiure	-|----⌫------|--------|----|
quant encore p ui z estrea choiz	----|-----|-⌫--⌫|----||----|
ua ala ui le etieaubois	-||-|--⌫-|-|-|-|---|
p orlache aineestdepartie	-⌫-|-|---⌫---|--|-------|
