orentendez	-|-------|
icidoitiestre	--|---|-----|
ansoizprimesonnee	-----|----|-----|
selaestoitu o	-|-|-----|-⌫|
pro esce monstree	---⌫---|-------|
lies enseroit c harles li	---|-|-----|-⌫-----|-|
fr ansois loire nt tout mainte na n tsarm erent	--⌫-----||----⌫-|---|------⌫--⌫-⌫||---⌫----|
ue stenthaube rs et	--⌫----|-----⌫-|-|
les elme sfermerent	--|----⌫|--------|
hardr esles guie li traitres lilerre	-----⌫-|--|---|-|-------|-|----|
cuilicors d eumaudie	--|-|---|-⌫-|-----|
li che ua lier sontdelauilleissu	-|---⌫--⌫---|---|-|-|----|---|
ontlesblanshaub e r suest us	--|--|----|----⌫-⌫-⌫|----⌫-|
eten l orchies	-|-|-⌫-|----|
lesuers elmesaguz	--|---|----|---|
ius qu al agaitnisontarr esteu	---⌫-|||----|||---|---⌫----|
ha rdres lesgu ie litra itrespa riurs	--⌫----|--|--⌫-|-|---⌫----|--⌫----|
ih esuc r islemaudie	--⌫--|-⌫-⌫-|-|-----|
lagaitenuon tl i	|----|-|---⌫|-⌫|
cheu alier	----⌫----|
pr em ierementles ass aillentderrier	--⌫--⌫-------|--|---⌫------|------|
e tenap r ezl ors aill entber ruier	-⌫|-|--⌫-⌫-|-⌫-|-⌫----⌫--|---⌫----|
laueissiez	-|-------|
unest orconmen cier	-|---⌫-|------⌫---|
tantescufraindretantelancebrisier	---|---|-------|----|----|------|
lun mortsor lautreuerser ettreb uchier	|-|---|--||----|-----|-|----⌫-----|
bienli ontfait andui li	---|||--|---|----|-|
c ompaingchier	-⌫------|----|
do uz contesprinrentqu imoul tf onta	--⌫-|-----|-------|--⌫|----⌫|-⌫--||
silesontfait a parisenuoier	-|--|--|---||----|------|
lie senfucharlesquifranceaabailli er	---⌫|-|-|------|--|-----|||------⌫-|
enzenso nc ueren fu	--|-|--⌫|-⌫--|-|-|
ioiansetlies	-----|-|---|
etlid uicontese uoldr entrepai rier	-|-|-⌫-|----|-|-----⌫--|-----⌫---|
lie s torsfuetmo ult	-|-⌫-⌫---|-|-|--⌫--|
pezans etfi ers	-----|-|--⌫--|
enla batai lleesthard rez repairiez	-|-|-----⌫--|--|----⌫--|--------|
deuant luigarde	-----|--|----|
desoz un oliuier	----|-|------|
et uoitiesir douzbarons	-|---|----|---|-----|
ch eualier s	--⌫-------⌫|
mors eto c is	---|-|-⌫-⌫-|
asespees daciers	-|-----||-----|
c ellepartuin t	-⌫---|---|---⌫|
si lorcopales chies	-|--|---|--|----|
silespa ndia son	-|--|--⌫--||--|
arson derrier	----|------|
qua nt ilser a	---⌫-|-|---⌫|
ar riere r epairi ez	--⌫----|-⌫------⌫-|
sise uant r a	-|-|----⌫-⌫|
aubarnaige proisié	-|-------|-------|
moultplussenfraet	----|---||-|--|-|
orgoillozetfier s	--------|-|----⌫|
iadeune plac e q ueuiueunm o is	-|--|-|----⌫|-⌫-|---|-|-⌫-⌫-|
iluintasainnesiest	-|---||-----|-|--|
outre naigiez	----|------|
liglouzparlui	-|----|--|--|
moult a pr i sier	----||--⌫-⌫---|
etl uiet sonlyng naige	-|-⌫-|-|--|----⌫----|
li felhardrez	-|--|------|
a merueil l espansees	|-------⌫-⌫-|------|
quidesmorsh omesa les test es	--|--|---|-⌫---||--|----⌫-|
pan di asa sell edoree	---⌫-||-|----⌫|----|
pa ri s asa uoie tornee	--⌫--⌫||-|---|-----|
il escriala gentenmilapree	-|-----|-|---|---|-|---|
sisescriaa	-||-----||
sa uo is quilotclere	-|--⌫-|-|-|-|----|
que dite z uoz	--|----⌫|--|
siredroisempereres	---|----|--------|
uo s tr ea n em i ont w i diélacontree	--⌫-⌫--⌫|-⌫-⌫--⌫|--|-⌫-⌫---|-|------|
fuian ts en uo ntioincherres	-----⌫||-|--⌫-|----------|
o ntpa s see	-⌫-|--⌫-⌫--|
lisoud oier	-|----⌫---|
mar uirentlameslee	--|-----|-|-----|
sonte lfon sd un neualee	---|-⌫|---⌫||--⌫-|----|
lir oisl entent	-|-⌫--||-----|
sala c oulormue e	||-|-⌫----|---⌫|
e tb elyssans e stcheue pasmee	-⌫|-⌫-------|-⌫-|----|-----|
quanthardreenten dirent	----|-----|-----⌫-----|
la fillecharlereuint depasmison	-|----|-----|-----|-|-------|
dexcomregret eamilele baro n	--|--|------⌫|----|-|----⌫|
uozestiezpreudon	--|-----|------|
ia da mmeldexbonnearmeneme donst	-|--⌫------|----|---|-|-|----|
i fustezmené partra ison	|-----|----|--|---⌫---|
m escroidanth ardrele	-⌫-----|---|-⌫----|-|
por mo npere destruire	--|--⌫|---|--------|
n ost reempereres	-⌫---⌫-|--------|
les a oi tanci er	--||-|-----⌫-|
uint nes iuolta targier	---|-|||---|-⌫------|
mabellefill ecarlais siezletencier	-|----|----⌫|--|----⌫---|-|------|
en uershardrequ iestb o nscheuali ers	--⌫---|-----|--⌫|--|-⌫-⌫-|-------⌫--|
en labataille	-|-|-------|
mo u ltbienaidi ez	--⌫-⌫-|---|----⌫-|
iliamors douzuaillans c he ualiers	-|||---|---|-------|-⌫--⌫------|
et disthardre zo r oiplaitq ui	-|---|------⌫|-⌫|-|----|-⌫-|
ce meresam ble amorset amistiez	-|-|-----⌫--|----|-|-------|
l ic uens amisie r t moul t b ons cheualiers	-⌫|-⌫---|---|--⌫-⌫|----⌫|-⌫--|---------|
etdansamiles uostreconfan onniers	-|---|-----|-----|------⌫------|
cepo ise moi quantsipoi ontreg nié	-|--⌫--|--|----|-|--|--|---⌫---|
sil uozp l aist s i re d o nnezmoi lemestier	|-|--|-⌫-⌫---|-⌫-⌫-|-⌫-⌫---|--|-|------|
quecilduiconteauoie ntauantier	--|--|--|----|-----⌫-|----|--|
e td ist li	-⌫|-⌫--|-|
rois de grez e t uolentiers	---|-|---|-⌫|---------|
car ameill ornele puis	--||-----⌫-|-|-|---|
iebaillier	-|-------|
por quoi leprinst licuiuers	--|---|-|-----|-|------|
losengiers	---------|
pui sfuuns iors quilenperdi le	---⌫|-|--|---|-|-|-|----|-|
ca r li duicont ere pairie re ntarrier	--⌫|-|--|----⌫|--⌫------⌫--⌫-|-----|
sont amené	|--|-----|
douzbonsch e uaxcorsie rs	---|---|--⌫-⌫--|------⌫-|
et douz f ransco nte squ ilontpr ins et	-|---|-⌫---|--⌫---⌫|-|-|--|--⌫--|-|
pa rlor cheualeries	--⌫|--|----------|
ch arleuit lescon tesueni r	--⌫---|--|--|---⌫--|----⌫|
i snel lement encont relor	-⌫----⌫-----|------⌫-|--|
seignordistelle preu iestezet	------|---|---|---|-----|-|
ha rdre amez	--⌫---|---|
le cuiuertd e putlin	-|------|-⌫|--|--|
et iluoz hetp arfoileuozpleuis	-|-|--|--|-⌫-|--|-|--|-----|
iluo zhetmoult c e saichiezuoz de	-|--⌫|--|----|-⌫|-------|--|-|
enpoidetermeserezsiannemi	-|--|-|----|----|-|-----|
dientliconte noz lesau ons de fi	----|-|----|--|-|---⌫--|-|-|
et por uoir	-|--|---|
ledisomm ez	-|------⌫-|
nostre empereres quantuoit uenirlescontes	-----|--------|----|---|----|--|-----|
ligentiz r oistel ioie ne n	-|-----|-⌫--|--|---|--⌫|
uinta hard reparire larraisonne	---||----⌫-|--|--||---------|
cuiuersd is t ilmarle pansastez onques	------|-⌫--⌫|-|--|-|--------|-----|
glout ons trait respor quoipa nsaztelhonte	-----⌫--|-----⌫--|--|---|--⌫---|--|----|
quidesiiezquemo rt	--|------|--|--⌫-|
ier en tlicon te	---⌫--⌫|-|---⌫-|
detrais onuold raiton cor ssemondre	-|-----⌫-|----⌫--|--|---⌫|-------|
sih autem entque	-|-⌫-----⌫--|--|
lorr onttui t mi home	|---⌫--|---⌫|-|---|
tu itcild ef r ancel icheualierpre udomme	--⌫-|--|-⌫|-⌫-⌫---|-⌫|--------|---⌫-----|
a milesl oitdeparler	-⌫----||--|-|-----|
s ab ando nne	|--⌫----⌫--|
drois empereresnele mescreez	----|--------|-|-|-------|
ieu ihardre	-|-⌫|-----|
l a gr antpressedesromp re	-⌫|--⌫--|-----|-------⌫-|
brisiersa lance	------|-|----|
sesann emi scon f on dre	--|---⌫---⌫|---⌫-⌫--⌫--|
hardrez loide parlerne seiorne	------||-|-|-----|-|------|
isnellementsetraistdeue rslescontes	----------|-|-----|----⌫-|--|-----|
seigno rdistil co rcelez ma grant h onte	------⌫|---|-|--⌫|----|-|----|-⌫---|
ie uoz donrai d e monauoir	-|--|-----|-⌫|--|----|
et lub ias lac orto iselablonde	-|---⌫--|-|-⌫----⌫--|-|-----|
lun deuozfe rairi che	|-|-|--|--⌫--|--⌫--|
cedi sthar drezsiredro isempereres	-|--⌫-|---⌫---|---|---⌫-|--------|
d o nnezamil e	-⌫-⌫---|----⌫|
unesriches	---|-----|
cestlubiaslafilledemonfrere	|--|-----|-|----|-|--|----|
qui pl usblancheest que sera inne nefe e	--|--⌫-|------|--|--|----⌫---|-|--⌫|
e tdist liroisbuer f ustelle onquesnee	-⌫|---|-|---|---|-⌫--|---|-----|--|
prennez l a	------|-⌫|
sireri cheshomfu sespere	---|--⌫---|--|-|--|---|
etdistamiles siredroi semp ere res	-|---|-----|---|----⌫|---⌫---⌫--|
me scompai ns l aitqui plusestconquerere s	--⌫|------⌫-||--|--|---|--|----------⌫|
etsifi ertmieus	-|-|--⌫--|----|
doutr anchan tdelespee	--|--⌫------⌫|-||----|
etdistam is p ar l ar me	-|---|--⌫-|-⌫-||--⌫-|
demon pere	-|--|---|
ielapanrai puisquelle	-|-|-----|-----|---|
mest donnee	|--|-----|
iade moncorsn e sera	-|-|--|---|-⌫|---|
liparent loient gran tioie en ont menee	-|-----||----|----⌫|---|-|--|----|
de lauilleissentpar	-|-|----|-----|--|
laport ef er ree	-|----⌫|-⌫--⌫--|
passentlesterresetlesamplescontrees	------|--|-----|-|--|-----|-------|
desci a blaiu ies ni ont	----||-----⌫--|||--|
res nestyrees	---⌫--|-----|
lu biastr euue ntsozlepinenlapree	--⌫---|--⌫----⌫-|--|-|--|-|-|---|
isne lleme nt lontau	----⌫-----⌫-||--|-|
monstiermenee	-------|----|
li gentiz homlailue c	-|-----|--|||----⌫|
gransnocesfirent lifilas franchesmeres	----|----|-----|-|--|-|-------|----|
cuens amisprinstladam me	----|---|-----|-|---⌫-|
licuensamisaprinse lubias	-|----|---||-----|-----|
gransnoces f irent iaplu s gr an s neuerra z	----|----|-⌫----|-|---⌫|--⌫--⌫|-|-----⌫|
cellelah iertet se mont	----||--⌫---|-|--⌫---|
selleonquespuetelle cunchiera	|---|-----|---|-|-|--------|
le samist ies	--⌫|-----⌫--|
maisda mmeldexseignorlengardera	---|--⌫------|------||-|------|
ca rmoultestsaige s contes	--⌫|----|--|-----⌫|-----|
seiutliduslezsa	-|--|-|--|--|-|
qu antga béore ntetassez de litié	--⌫--|--⌫--|---⌫-|-|----|--⌫-----|
lamalefamele n	-|---|---||-⌫|
prin st aarraisnier	----⌫-||---------|
si re distellemoultmen	--⌫-|---|---|----||-|
puism er uei llier	---|-⌫--⌫---⌫----|
dou c onte amileuost recompaingnonch ier	--|-⌫---|----|----⌫-|----------|--⌫--|
mou ltserepantquant n emota	---⌫-|-|-----|----|-⌫||-||
i lm e n a	-⌫||-⌫||
ciquatre mes enuoié	-|-----|--|------|
q u il mam eroit degr ez etuolentier s	-⌫|-||--⌫----|-|--⌫-|-|---------⌫|
damme disti l malditezetpechie	----|---|-⌫|--|----|-|-----|
d oumeill or home q ui onquesfustsoz c i e l	-⌫-|-----⌫-|---|-⌫-|-----|---|--|-⌫-⌫-⌫|
parcelapostrec o na	--|--|------||-⌫||
romm e requie rt	----⌫|------⌫-|
ienelaroi e	-|-|-----⌫|
porl es membrestranchier	--|-⌫-|------|--------|
a il le quant iliertescla irié	-⌫--⌫-|----|-|---|-----⌫----|
enmaco mpaingnequatrecenzcheualier	-|-|--⌫-------|-----|---|--------|
qui montlorfois pleuies	--||--|--|---|------|
cefue nmayquechant elacal endr e	-|-|-⌫|--|--|-----⌫|-|---⌫----⌫|
lisolauslui stetlioi sei llo nchantent	-|-----|---⌫-|-|-|--⌫---⌫---⌫|-------|
amismonta et milhomes alan ces	---|----|-|--|----||---⌫--|
a inznefinades ciquilui nten fran ce	-⌫--|-|---|---⌫-|-|-|--⌫-|-|----⌫-|
ilue ctrouu aamilelech atainne	----⌫|-----⌫|----|-|--⌫------|
amisle baiseet amilesdemand e	---|-|----|-|-----|------⌫|
sir ecompainsetque	---⌫|-------|-|--|
faituostre fame	---|-----|---|
etdist amis	-|---|---|
uozlorrezaparmainn e s	--||----|---------⌫-⌫|
unfilenaii ln as ibel	-|--|-|-|-⌫|||-⌫|--|
en fr ance	-|--⌫---|
seruirauozaescu	------|--||---|
u oztornea besoingn e	-⌫-|----||--------⌫|
li compaingno nenfra n cerassamblere nt	-|----------⌫|-|---⌫-⌫-|-----------⌫-|
l o rssedessoiurentle s amil e	-⌫-⌫-|-|----------|--⌫|----⌫|
moul t lesama cha rle snostreemperer es	----⌫|--|--|---⌫---⌫|-----|-------⌫-|
a mi leeust	-⌫--⌫-|---|
bel echos edo nnee	---⌫|----⌫|--⌫---|
ma is il atentl	--⌫-|-|----||
a nnordeuals ecree	-⌫---|-|----⌫----|
ou go defr oisotsagent aunee	-|--⌫----⌫--|-|-|---|----|
unefille ot charlesnostreemperere	--|----|-|------|-----|-------|
cestbe lyssan s labe lelann oree	|--|--⌫------⌫|-|--⌫-||---⌫---|
auconte amileasesamorsdonnees	-|----|----||--|----|------|
puisl i donnacharles liempereres	---|-⌫|----|------|-|--------|
sachiezdeuoir	------|-|---|
cestcequiliagree	|--|-|--|-|----|
seiluo ls istia fu st la ch o se	-|-|--⌫--⌫--|-|--⌫-|-|--⌫-⌫-|
cefuapa s quesqu e	-|-||--⌫-⌫---|--⌫|
on distenau ril	-|---|-|--⌫--|
que lioise lch antent cler	--|-|----⌫|--⌫-----|---|
enunuerg ierentral ic ue n s a mis	-|-|----⌫--|----|-⌫|-⌫--⌫-⌫|-⌫--|
oi lan oisedes oisiausetles	-|-|-⌫---|--|------|-|--|
lo rs l iramembreauquesdeson pais	--⌫-|-⌫|-------|-----|-|--|---|
etdesaf ame et	-|-|-|-⌫--|-|
des on petitfil	-|-⌫-|----|--|
tenrement pl oreq ua nt sesc ompains iuint	--------|--⌫--|-⌫--⌫-|--|-⌫------||---|
ouuoit le c onte	-|---|-|-⌫---|
sila araisonmis	-||||-----|--|
que auezuozsire c omp a ins g entiz	--|---|--|---|-⌫---⌫-⌫--|-⌫----|
sirec omp ainsie lu oz au raii adit	---|-⌫---⌫---|-||-⌫-|--⌫--|-⌫|--|
bien aset anspasseze tacom pl is	---||--|--|-----|-⌫|----⌫--⌫-|
que iene uimamoillierne mon fi l	--|-|-|-|-|-------|-|--|--⌫|
seielosaissenedir ene	-|-||------|-|---⌫|-|
u e oirlalaisseuolenti ersce	-⌫-⌫--||------|-------⌫--|-|
lemati np arsomla ube	-|----⌫|-⌫-|--||-⌫--|
sirecom painsdistamilesli ber	---|---⌫----|---|-----|-|--|
ilestb ien dro is p ar	-|--|-⌫--|---⌫-|-⌫-|
sain techarite	----⌫-|------|
ques aillis siez ueoiretes garder	-|-|------⌫---|----|-|--⌫-----|
carsamoi l lierd oiton bienhonorer	--|-|---⌫-⌫---|-⌫--|-|---|------|
mais une chos euoz	---|--|----⌫|--|
uoil dire et conter	---|---|-|-----|
sire compainsqueuoz nemoubli ez	---|-------|--|--|-||-----⌫-|
etdis tlicu enspor	-|---⌫|-|--⌫--|--|
noient enparlez	-----|-|-----|
ieuozp leuisles m oie s	-|--|-⌫----|--|-⌫---⌫|
l oi autez	-⌫--⌫----|
lanostreaidetout mon uiuantau rez	-|-----|---|---|--|-----|--⌫--|
maisune choseuozu oil iebienmonst rer	---|--|----|--|-⌫--|-|---|-----⌫--|
pre ingniezcompaing niea har dr e	---⌫------|--------⌫--||---⌫--⌫|
tostuoz auroitsoudui tet e nc hanté	---|--|-----|------⌫|-|-⌫--⌫-----|
hontaig eettelblas mealeué	-------⌫|-|--|----⌫-|-----|
que ne seroit anulioramendé	--|-|-----||--|--|------|
laf il le charl en e uozchaut	-|-⌫--⌫-|-----⌫|-⌫|--|----|
neembraciersesflans ne sescost ez	-|--------|--|----|-|--|----⌫-|
carpuisquefamefa ithomeacuuerter	--|------|---|--⌫-|---|--------|
etpere e tme rel i f ait	-|---|-⌫|--⌫-|-⌫|-⌫--|
e ntrou blier	-⌫--|--⌫----|
co uzins etfre reset	--⌫----|-|---⌫--|-|
s es amischarnez	-⌫-|---|------|
gourpilleuoz	--------|--|
doit bienr ame mb rer	---|---|-⌫---⌫--⌫--|
qui s ietsozl aubree tweultam o nthape r	--|-⌫--|--||----|-⌫|----|--⌫-⌫-|----⌫|
uoitlescelisesetl e fruit	---|--|------|-|-⌫|----|
goustequelle nipuetm ont er	-----|-|---|||---|-⌫---⌫-|
etdist licuenssicom	-|---|-|----|-|--|
uozconmandez	--|--------|
maisenc orproipordeudemaiestez	---|---⌫-|---|--|--|-|-------|
s irecom pains queuo zne m	-⌫--|---⌫----|--|--⌫|-||
t a ntentendirentlidu iconteauparl er	-⌫-⌫-|----------|-|--⌫|----|-|----⌫-|
uespresaprocheli solausdut	------|------|-|-----|--|
iluontauroi porcongiedemander	-|---|-|--|--|-----|-------|
nostre empere res lora	-----|------⌫--|--||
moult tost don né	----|---|---⌫--|
m ontentes sell es	-⌫-----|-|----⌫-|
de sdes triers	--⌫|---⌫-----|
p armil aporteisse nt d e	-⌫---|-⌫|----|----⌫-|-⌫|
licuensami l esle s	-|----|---⌫-⌫-|--⌫|
con u o iaassez	---⌫-⌫-⌫-|----|
unegr a ntli eue	--|--⌫-⌫-|--⌫--|
p ui ssenest ret ornez	-⌫--⌫||-|--|---⌫----|
ma isainzse	--⌫-|---|-|
fur entbaisi éetacol é	---⌫--|-----⌫-|-|----⌫-|
ploran t sedepart i rent	------⌫|-|------⌫-⌫---|
enamisli cortoisetli	-|---|-|------|-|-|
amileses ta parisrepairiez	-----|--⌫||----|--------|
p uis senentra	-⌫--||-|----|
enu nue r gie r	-|-⌫|--⌫-⌫---⌫|
au doslesieulthardrezlilosengie r s	-|--|-|-----|------|-|--------⌫-⌫|
ahiami le c ouzinbon scheua liers	--|---⌫-|-⌫----|---⌫|-----⌫----|
aimmecharle si e suises	----|------⌫|-⌫|--|--|
conseill i ers	--------⌫-⌫--|
etsidepar zl auo ir	-|-|-----⌫||---⌫-|
assoudoiers	-|--------|
uoilemporte bon l oier	---|------|--|-⌫---|
comp ai ngseronssire sel	----⌫--⌫-|-----|---|-||
etdistlicuensde folie pla i d i ez	-|---|-|----|-|----|---⌫-⌫-⌫-⌫-|
moncompaingnon lepl eui gelautrier	--|----------|-|--⌫--|-||------|
quacomp aingnienaura iho mesoz cie l	-||----⌫------||----⌫|--⌫-|--|---⌫|
lors liradithardre z l il ose ngiers	---|-|-|--|------⌫|-⌫|-⌫---⌫-----|
si r edeuo zmeuoldro i ea cointier	--⌫-⌫|-|--⌫|-|------⌫-⌫|-⌫-------|
etl epaise tlaterreens eing nier	-|-⌫|---|-⌫|-|----|---⌫----⌫---|
et distli cuensielot roipar	-|---|-|----|-||--⌫--|--|
ilfistfolieiane	-|---|----|-|-|
l uozquiernoier	|--|----|----|
p uisfutele horequ	-⌫--|-|---|---|-|
andutperdre le	-|--|-----|-|
parpez anta uenture	--|---⌫--|-⌫------|
licuensamilesfu	-|----|-----|-|
mou ltgentiz etber	---⌫-|-----|-|--|
silse poist dehardred eliurer	|-|-|----|-|-----|-⌫------|
lafille c harlebe lyssanta u	-|----|-⌫----|--⌫------|-⌫|
t outenploran t uint a u conte	-⌫--|-|------⌫|---|-⌫|----|
be le ment l arraisonne	--⌫--⌫---||---------|
bi aus sire amiledistlafranchem eschinne	--⌫--|---|----|---|-|------|-⌫-------|
ieuoz offri la utreiormon	-|--|----||-⌫---|--|--|
dedensmachambreen purema	-----|-|------|-|---|-|
b ien uozseustezde	-⌫--|--|------|-|
mamores condire	|---|--⌫------|
enuershardrene	-----|-----|-|
l feistez u ozmie	|------|-⌫-|--|
quitantestfeletcrueuls ett raitres	--|---|--|--|-|------|-|-⌫------|
acopd espeeainques	|--||----|------|
n e fistmal ice	-⌫|---|---⌫--|
plus demi lhomesatolueslesuies	---|-|--⌫|----||-----|--|---|
cedistlicuensne	-|---|-|----|-|
uozpoi st douceamie	--|---⌫-|----|---|
simai tdexau cuer	-||--⌫|--|-|---|
en aigrant	-|-|----|
n enpui splus	|-|---⌫|---|
licuensam ilesauale le	-|----|--⌫---|----|-|
deuant luiuintlafill eauroi charlon	-----|--|---|-|----⌫|-|--|------|
bienfu uestue dun h ermin	---|-|-----||-|-⌫----|
et pardesore d un uermoil syglaton	-|--|-----||-|------|-------|
lecontes i l a m isaraison	-|----|-⌫|||-⌫-||-----|
si redistell eie	--⌫-|---|---⌫|-|
n aimme s euoz non	|----|-⌫|--|--|
litunenui t mese moing	--|--|---⌫|-|--⌫----|
trestoutmoncorsuozmetrai	-------|--|---|--|-----|
distlicuensdammeciagrant	---|-|----|----|-||----|
mespris on	-------⌫-|
ia uozdemande li fors	-|--|------|-|---|
etdespolicegirars	-||-------|-----|
l ifiulsothon	-⌫|----|----|
quimainneanost plusde milcompai ng nons	--|-----|-|--|---|-|--|------⌫--⌫---|
nelespan riezp ortoutl orde	-|--|---⌫---|-⌫-|---||-|-|
etmoiuolez	-|--|----|
quinai unespor on	--||-|-|-----⌫-|
nebor cneuille	-|---⌫|-|----|
nechast elne do nion	-|-----⌫-|-|--⌫---|
ui mon feune	-|--|--|-|
m a maison	-⌫|-----|
fer o iepo rtoutlor d ece stmont	---⌫-⌫-|--⌫|---||-|-⌫|--⌫-|---|
maisies erai	---|-|-⌫---|
m adammeli	-⌫|----|-|
uos trehom	---⌫--|--|
seruiraiuoz a for ceet abandon	-------|--||---⌫-|-||-----|
car cedoiiebie nfaire	--|-|--|-|---⌫|----|
licuensam iles etlafille	-|----|--⌫---|-|-|----|
auroicha rle	-|--|---⌫--|
parmautalent diluec	--|--------||----|
endr o itdeparte nt	----⌫-⌫-|-------⌫-|
montarentt oz les degrezd ema ubre	--------|-⌫-|--|-----|-⌫|--⌫---|
licuens amile s	-|----|-----⌫|
iutl anuit en lasa l e	--|-⌫|---|-|-|--⌫-⌫|
enungrantlit acrist aleta	-|-|----|--||-----⌫-|-||
deuant le conteart	-----|-|----|--|
unsgranschandelabre s	--|----|-----------⌫|
etla pucell edes ac hambre l	-|-|------⌫|-|-⌫|-⌫-----||
he dexdistelle	-|--|---|---|
b iaus pereesperita ble s	-⌫---|---|--------⌫---⌫|
quiuitainz h omede	--|--|---|-⌫--|-|
si fie ruasse laige	-|---⌫|-----⌫----|
det elproesce	-|-⌫-|------|
ne det elbaro nnaige	-|-|-⌫-|----⌫-----|
quinemed eing eam ernenem	--|-|-|-⌫----⌫|--⌫-|-|-||
maispar ih es u lepere	---|--|--⌫--⌫|-|---|
esp erita ble	---⌫-----⌫--|
ornelairaice	-|-|-----|-|
que ieuoilne face	--|-|---|-|---|
ainz nullefamene	---|----|---|-|
fu onquessi asp re	-|-----|-|---⌫-|
quea n que nuitan	--|-⌫-⌫---⌫---|-|
son l i tnem	--|-⌫-⌫|-||
coucheraimoidesozlespiaulsdemartre	--------|--|----|--|-----|-|-----|
iln emenchaut seli siecle sm	-|-⌫||-|----|-|-|------⌫||
enfait chascun iorbat re	-|---|------|--|---⌫-|
c ar trop iabelhome	-⌫-|---|||--|---|
orfu lad amme durement corroucie	-|-|-|-⌫---|-------|--------|
doucon t eamile q uisi la	--|---⌫-⌫|----|-⌫-|-|-|
ami enuittoute seule	|--⌫----|----|----|
o nquesniq uist garce	-⌫----|||-⌫---|----|
necham beriere	-|----⌫------|
un chierman telosterinsor li giete	-|----|---⌫--|------|--|-|----|
puiss e leuasiestaintlalumiere	---|-⌫|---|-|------|-|------|
orfu lachambre t outenoi re et	-|-|-|------|-⌫---|---⌫-|-|
aulit le con tes	-|--|-|---⌫-||
ie sttost approchie	|-⌫-|---|--------|
et sozle uale spi auls	-|-----⌫-|--⌫|--⌫---|
de m artrechieres	-|-⌫----|------|
et elle sestlezleco n tecouchie	-|---||--|--|-|--⌫-⌫-|------|
moultsouauetse stdele zluiglacie	----|------||-⌫-|----⌫|--|-----|
licuenss esu eille toute	-|----||---⌫----|----|
muela c hiere	--|-|-⌫----|
etdistl icuensquiiez tu enuoisie	-|---|-⌫|----|--|--|-|-------|
q u ia tele horeiezdele z moi	-⌫-⌫||---|---|--|----⌫|--|
setuiezfam ees p eus e nosoie	-|-|--|---⌫|--⌫-⌫---⌫|-----|
oufillecharle qui franc e	-|----|-----|--|-----⌫|
aen baillie	|-|------|
ieteconiur	-|-|-----|
lefil marie	-|--|----|
madouce amier etorne	-|----|---|-⌫-----|
tan arriere	|-|------|
etsetuiez beasse	-|-|-|--|-----|
ouchamberiere	-|----------|
de basparaige	-|--|------|
mou lttiez bienauanc ie	---⌫-||--|---|-----⌫-|
re mainhui maisomoiabelechiere	--⌫---|--|---||--||---|-----|
demainaurascentsolsen t a umosniere	-----|----|---|---|-||-⌫--------|
de cequelle oitfu elleforment	-|-|-|---|--|-|---|------|
e nuers lecontees t plus	-⌫----|-|----|--⌫|---|
prezapproc hie	---|------⌫--|
et nedistmot ainzest bien a coisie	-|-|---|--|---|--|---|-⌫-----|
licu ens lasentgraisleteetdeloie	-|--⌫--|-|---|--------|-|-----|
ainzne semut que	---|-|-|--|--|
samormoult	|---|----|
lesmamel ettes delezlepiz	--|-----⌫----|----|-|--|
par unpetit	--|-|----|
neson t dur escompierr es	-|---⌫|---⌫-|--|-----⌫-|
sienchai tli	-|------⌫|-|
be runefoie	--⌫|--|---|
ainzqui leust lautrerenconmencie	-----|-⌫|---||----|-----------|
lesoithar drezd e lachambreou iliere	--|--|---⌫---|-⌫|-|------|-|-|---|
he dextant mar i uinrent	-|--|---|--||------|
lagenti z da mmealeconte ap pelle ́	-|-----⌫|--⌫--||-|----|--⌫-----⌫|
sire distelle un	---|---|---|-|
petit m entendez	----||-------|
corsrefusé	---|------|
p arbelengienguozai pr insetmat é	-⌫-|--|------|--|-|--⌫--|-|---⌫-|
aua nt siluoz plaistsi	---⌫-||-|--|-----|-|
drus etmespriuez	---|-|--|-----|
fu moult ire z	-|----|---⌫|
dammed i stilbien m aue z	----|-⌫-⌫-|-|---||---⌫|
etmon seruice	-|--|------|
do nsre cope z	--⌫-|--⌫----⌫|
selseitli roisiaura i	-||---|-|---||----⌫|
lechief copé	-|----|----|
hardrez loit de sa chambreouil	------||--|-|-|------|-|-|
uoishauteconm ensaac rier	---|----|----⌫---||-⌫---|
amiles tropuoz i estezhast ez	-----|---|--|-⌫----|----⌫-|
bi en que uoz	--⌫-|--|--|
po ezuanter	--⌫-|-----|
riche ssoudees dela	-----⌫|------|-|-|
corte mportez	---|-⌫------|
qua ntoma dammeiestez reprins prouue z	---⌫-||-|----|-----|------|------⌫|
ma isseui f t a ntq ue il	--⌫-|-|--⌫|-⌫-⌫---⌫-|-|
soitaiorné	---|------|
lorsl irai ie	---||---|-|
le m pereorcont er	|-⌫-⌫-----|----⌫-|
s iuozfer a	-⌫|--|---⌫|
celle t este coper	----|-⌫---|----|
entrela dammee tleconte au	----|-|----|-⌫|-|----|-|
a nduideproi e nt letraitorhardre	-⌫---|------⌫-⌫-|-|------|-----|
mais ilnitreuuen t ne	---|-|||-------⌫|-|
foineloiaute	--|-|------|
u oit lel i	-⌫--|-|-⌫|
cuensmoutsen estairez	----|---||-|--|----|
lafill echarlelenp rinst	-|----⌫|-----||-|-⌫----|
a ap eller	|--⌫----|
