quipetitseime petit quiau t	--|----|----|----|-----⌫|
decu i r de cerfclosenuir on	-|--⌫-⌫|-|---|---|-----⌫-|
m eres en torna	-⌫--||-|----|
yyiorzsen zpluslos e iorn a	-|---|---⌫|---|-|-⌫-⌫----⌫|
queplu sniotmestierlos ang e	--|---⌫|||-|------|---⌫---⌫|
lor sfistla meredoel estrange	---⌫|---|-|---|---|-------|
s o baiseetacoleen ploran t	||----|-|----|-|------⌫|
etditor aiie	-|--|-|-|-|
doelmoutgrant	---|---|----|
biauxfil zquantaleruos enuoi	----|---⌫|----|---|--|-|--|
uo siroizalacortlo	--⌫|----||-|---|-|
sili dir oiz armes	-|-|---⌫--|----|
decontreditniaura	-|--------|||---|
quilles uosdon rabienlosa i	-|-|--|--|---⌫-|---|-|--⌫|
m aisqua ntuos	-⌫--|---⌫-|--|
uanroizaessai	------||----|
por tercomm antertdonques	---⌫--|----⌫--|--|------|
ceque uos nefei stes	-|--|--|-|---⌫---|
n autrui nelo	|-----|-|-|
ueistesfaire	------|----|
commantensauroiza chieftrair e	------|-|------||----|-----⌫|
malueiseme ntfa irece	----------⌫-|--⌫--|-|
m alseroiz af aitiezdoto t	-⌫-|-----|--⌫-----|-|--⌫|
niln etmerueillece	|-||-|--------|-|
s a nnes et ce qu an a apris	|-⌫|-|-⌫-|-|-|-||----|
mais meru eilleest	---|----⌫----|--|
quel anaprant	--|-⌫-|-----|
lan o tet uoitsouant	--|-⌫|-|---|-----|
b iauxfi l zzzsanuosuoilapanre	-⌫---|--⌫-⌫|-|--|--|---|-----|
ciluosestm outbons a	--|--|--|-⌫--|---||
e ntand re	-⌫-----⌫-|
se iluos plai staret enir	-|-|--|----⌫-||---⌫---|
gra nz biens uose nporroitue nir	---⌫-|----|--|-⌫|------|--⌫--|
cheuali ers seroiziusquap o	-------⌫--|-----|----||-⌫|
sedeuplaist e tielo uos	-|--|-----|-⌫|-|-|--|
se uostro u ez	-|--|---⌫-⌫-|
nep resne lo ig	-|-⌫--|-|--⌫-|
damequi d aieaitb esoig	---|--||--|--|-⌫----|
ne puceledesconseilliee	-|-----|-------------|
l auostrea ide	-⌫|-----|-⌫--|
apa reilliee	---⌫-------|
lorso it se lesu os enreq uierent	--|--⌫-||-⌫--|-⌫-|-|---⌫------|
carto t ese norsi afi erent	--|--⌫-⌫-|-⌫---||---⌫----|
quiaus dame seno rn eporte	--|--|----⌫|---⌫|-⌫|----|
la s oea nor doit est re mor te	-|-⌫-|-⌫--|---|---⌫-|---⌫-|
damesetpucelesserue z	----|-|------|-----⌫|
siseroizp ar	-|-----|-⌫-|
t ote norez	-⌫-|-⌫----|
e tseuosaucuneenauez	-⌫|-|--|-----|-|---|
aameeoutreses grez	----|----|--|---|
nerien qui	-|---|--|
lidesplaiss e	-|---------⌫|
depucele amou tquila	-|-----||---⌫|--|-|
se lobaisieruosen	-|-|------|--|-|
lo soreplusuos en desfant	-|-------|--|-|------|
se laisier lo	-|------|-|
uolez por moi	----|--|--|
eleaagnelenson	--||----|-|--|
oc einture ouaumoni ere	|-⌫------|-|------⌫--|
sepa ram oroupa r proiere	-|--⌫|--⌫-|-|--⌫|------|
la uos donemoutan	-|--|---|---|-|
se uos enportezsonagnel	-|--|-------|--|----|
del aumonier euo s doiggie	-||--------⌫|--⌫|---|--|
et delanelpa nrec ongie	-|-||---|--⌫--|-⌫----|
bia u xfilzen coruosd iraiel	---⌫-⌫|---|--⌫--|--|-⌫---|-|
ia en cheminne	-|-|-----|-|
l ongu emantc o mpaignon	-⌫----⌫----|-⌫-⌫-------|
qu e sinedema ndez s o n	--⌫|-|-|----⌫---|-⌫-⌫|
et los ornonalaparsome	-|-|-⌫----||-|------|
par los ornonconoiste nlome	--|-|-⌫----|------|-⌫||--|
biau xfilz a uprod omes parlez	----⌫|---|-⌫|----⌫---|-----|
et compaignielor tenez	-|---------|--|----|
prod omneforconsoillemie	----⌫-|-|-----------|--|
c esquitienentsa conpaign ie	-⌫-|--|------|-|--------⌫-|
sortoteri en s	--|---|--⌫--⌫|
uosuo ilproier	--|--⌫-|-----|
q anegliseete nmoutier	|-|-----|-|-⌫|------|
aill i ezproi er nostreseignor	----⌫-⌫-|----⌫-|-----|------|
siegleuos dointenor	-----|--|----|---|
et si uosi dointcontenir	-|-|--||----|-------|
fin pui seuen ir	--|---⌫-|---⌫-|
m ere faitil	-⌫--|---|-|
queesteglise	--|--|-----|
ouenf aitlo seruise	-|-|-⌫--|-|------|
celuiqui ciel	----|--|---|
et bestesimist	-|-----||---|
es mo stiersque il	-|--⌫-----|--|-|
fistm eisme	---|-⌫----|
unem ai son beleet sa intime	--|-⌫--⌫--|---|-|--⌫-----|
et de cor s sainze tdetressors	-|-|---⌫|----|-⌫|-|-------|
sisacrefie len	||-------|--|
ihesu cr it la	----|--⌫-|-|
profet e sainte	------⌫|-----|
cu i iui f	--⌫|---⌫|
firenthontemainte	-----|----|-----|
traizfu et i ugieza	----|-|-|-⌫----||
engoi sse de	-----⌫--|-|
po rleshomes etporl esf ames	--⌫|--|----|-|--|-⌫-|-⌫---|
qan enferaloientles ame s	|-|----|------|--|---⌫|
issoientdo cors	-------|-|---|
cilfu alestaic he liez	--|-|||------⌫-|---|
et pui s a pres crucefiez	-|---⌫|-⌫---|--------|
etpor ta queronedespines	-|---⌫-|------||------|
poroirmess ese tmat ines	--|--|----⌫-|-⌫|---⌫---|
et porcelseignor aorer	-|--|--|------|----|
u os loie aumosti e ral er	-⌫-|-|-|-|-----⌫-⌫|--⌫-|
doncirai iem outuola nt iers	---|---|-|-⌫--|----⌫--⌫---|
eseglisesetesmostiers	-|------|-|-|-------|
fait liuallez d orenauan t	---|-|-----||-|-|----⌫|
uosmet en couant	--|--|-|-----|
iot p lusdedemore	|-|-⌫--|-|-----|
co ng iepra n tetla	--⌫--⌫-|---⌫-⌫|-|-|
mer eplore	---⌫|----|
et sa sele lifuiamise	-|-|---|-|-|-|---|
a lameniere etala guis e	|-|------|-||-|----⌫|
degualoisfu apareilliez	-|------|-|----------|
zzreuelinsotanses pi ez	-|-------|-|-|--|--⌫-|
etpar totlaou il al oi t	-|--|--|-|-|-|--⌫--⌫|
yyiauelozosoiportoi t	-|------||--|------⌫|
sesiaueloz enuostpor ter	--|------|-|---|---⌫--|
samere oster	-|---|----|
po rceque tr opsambloitgaloi s	--⌫|-|--|--⌫-|-------|-----⌫|
si austelefai t tozyy	-|---|--|---⌫|--|-|
moutuolantiers s ilpoist	---|---------||-|----|
unereort e ens amainde stre	--|-----⌫|-|-⌫|---|--⌫---|
por tepor son	---⌫-|--|--|
cheua lferir	-----⌫|----|
p loran t loba isea u	-⌫-----⌫|-|--⌫--|-⌫|
quimoutchierl	--|---|----||
et priedeuque illauoit	-|---|--|--|-||----|
fi lzfaiteledexuos ramaint	--⌫-|---|--|--|--|------|
ioi epl usquil neme re maint	---⌫|--⌫-|-|-|-|-|--⌫----|
uosdointil ou que	--|----|-|-|--|
uos ailliez	--|------|
esloigniez	---------|
logietdunepierremen ue	-|---||--|-----|---⌫-|
si se retor ne et	-|-|-----⌫-|-|
uoit chaue	---|----|
s amereau chi efdopont arriere	-⌫|---|-|---⌫-|-|---|------|
etg ist pasmeeaut el men iere	-|-⌫--|-----|---⌫-|---⌫---|
con c e l fust chaoit eetmorte	--||-⌫|---|------⌫|-|----|
etsil sill e des areort e	-|--|----⌫|-|-⌫|-----⌫|
sonchaceor parmilacrope	--|------|----|-|----|
en ua quipasn e	-|-|--|--|-⌫|
ainzlenportegrantaleure	---||------|----|-----|
parmi la gran tforest oscure	----|-|----⌫|-----|-----|
etcheuauchede sl o matin	-|--------|--⌫|-⌫|----|
tantqueli ior z uint adeli n	------|-|---⌫|---||----⌫|
enla fo ret cele n uitiut	-|-|--⌫--|---|-⌫--|--|
tantque li	------|-|
clerz iorz aparut	----|---|-----|
chant d es oiselez	----|-⌫-|------|
seleua etmonteliualle z	-|---|-|----|-|-----⌫|
saauch euauchie r ent andu	||-|--⌫--------⌫|---⌫---|
tantq ueil uit zztrefta ndu	-----⌫-|-|--|-|---|--⌫--|
e nunep raari ebele	-⌫|--|-⌫-----⌫|---|
lezlosort d un e fontenele	--|-|---||--⌫|--------|
litrezfugenz	-|---|-|---|
agrant merueill e	|----|--------⌫|
l unepartie	|--|-----|
fu uermoille	-|--------|
etlautre fudorfindoree	-||----|-||-|--|----|
desus ot zz aigle doree	----|-|-|----|----|
enlai gle feroitli solaus	-||--⌫--|-----|-|-----|
qui moutest o itclezetuer maus	--|---|---⌫-⌫-|---|-|---⌫---|
et re lui soient tuit lipre	-|--⌫---⌫-----|---|-|--|
delanluminentdou tre	-||---------|--|--|
e ntorlotr eal areond e	-⌫---|-|--⌫||-⌫|-----⌫|
lip lus biaus domo nde	-|-⌫--|----|-|--⌫--|
auoitraincesetfoilliees	----|------|-|--------|
etloigesgaliechesdreciees	-|-----|--------|-------|
liualle z uers lotrefala	-|-----⌫|---|-|---|--|
etditainz qu ilparuenist	-|--|----⌫-|-|--------|
dex or uoiie uos tre	--|-|--|-|---⌫--|
iede sraison	-|--⌫------|
seaorerne u osaloie	-|----|-|-⌫-|----|
uoirditma meretoteuoi e	---|--|-|---|---|---⌫|
qui l m edistque	--||-⌫|---|--|
ian etrouasse	-|-⌫|-------|
moutierou aorernalasse	------|-|----||-----|
locri atora ncui	-|---⌫---|-⌫|--|
etie lir aiproierparfo i	-|-||--⌫-|-----|--|--⌫|
doint an cu i a	----|--⌫--⌫||
auroiegrant	-----|----|
autref sotroueouert	-|---|||----|----|
amilotrefzzlit	--|-|---|-|--|
dune coutede pailleet uoit	|--|----|-|-----|-|---|
zzdamegissoit	-|---|------|
qu iestoitiqui	--⌫|-----|---|
m a is l oigestoit sacompaignie	-⌫-⌫-|-⌫--|-----|-|---------|
quale es erent lespuceles	-|---⌫-|----|--|------|
por coillirfloretesnoueles	--|------|-------|------|
tref ionc hier uo loient	---|----⌫---|--⌫-----|
ens incommefaire soloient	---⌫-|----|----|-------|
u ergierdiluec	-⌫-----||----|
siaporteren tmou tgr ant	-|---------⌫|---⌫|--⌫--|
qantli ua llez	---|-|--⌫---|
eltreentra	-|--|----|
sescheuaussi	--|------|-|
fortsacopa	---||----|
q ueladamoisele l oi	-⌫-|-|--------||-|
sitressa illi etes peri	-|------⌫---|-|--⌫---|
etli u allez	-|-|-⌫----|
qui nicesfu	--|----|-|
ditpucele ie uossalu	--|-----|-|--|---|
sico mmame relo maprist	-|--⌫|-|--⌫-|-||-----|
ensa ignaet	----⌫---|-|
que lespuce lessaluasse	--|--|----⌫--|-------|
en quel que leuquei	-|----⌫--|--|--||
estrouass e	-|-------⌫|
d epaortra nble	-⌫|---|---⌫---|
porloualle t quifollisa nble	--|-|-----⌫|--|--|-|--⌫---|
s i s etient po rfole	-⌫|-⌫|----|--⌫|---|
d ecequillasoele t rouee	-⌫|-|-|-|||----|-⌫----|
ualletfai te le tienta uoie	-----|---⌫|-⌫-|---|-|---|
fuiquemesamisnet e	--|--|--|---|-|-⌫|
qainzuosba is eraipar	|---|--|--⌫--⌫---|--|
fait liuallezcuiquesoit grief	---|-|-----|--|--|---|----|
quemamere lome nsaignai	--|-|---|-||-⌫-------|
ie uo irn euosba iseraii a	-|--⌫-|-⌫|--|--⌫-----|-⌫|
fait lapuc elequeie	---|-|---⌫--|--|-|
amisnetetruise	---|-|-|-----|
t roeue tuiesm orz	-⌫----|-|--|-⌫--|
li uallez auoitlesbra z	-|-----|----|--|---⌫|
si le nbrac amout	-||-⌫-----⌫|---|
sotf airea u tremant	--|-⌫---|-⌫-⌫------|
sorlelitestandue	--|-|--|-------|
et celesetbiendesfa ndue	-|---||-|---|-----⌫---|
etgrandrillaquantqu e lepot	-|---------|------|-⌫-|--|
maisdesfancem estierni ot	---|-------|-⌫-----|||-|
uallez tot derand on	-----|--|-|----⌫-|
labaissaua usisteleonon	-|-----|--⌫----|--||--|
uin tfoizsiconlicon tesdit	---⌫|---|-|--|-|---⌫--|--|
ta ntcunanelensondoi uit	--⌫--|-|---|-|--|--|--|
e t une aumonieremout	-⌫|--|--------|---|
ansin faitil medit mamere	----|---|-|-|--|-|---|
qauuostre doilan elpreisse	|-|-----|--||--⌫-|------|
ma isqu erienplus neuosfe isse	--⌫----⌫|---|---|-|--|--⌫---|
aneli o u o ilauoir	---|-⌫|-⌫-⌫-|----|
monanelna urastuiauoir	--|---||-⌫---|-|-|---|
parlopoigla p rant	--|-|---|-|-⌫---|
aforcelodoiliestant	|----|-|--|-|-----|
lanelens on doipris	|---|-|-⌫-|--|---|
e tausiendoimeismesmi s	-⌫|-|---|--|------|--⌫|
s id it pucele bien aiez	-⌫|-⌫-|-----|---|---|
cormanirei ebienpa iez	|-||-|--|-⌫|---|--⌫--|
mei llor ba isier uos fait	---⌫---|--⌫----|--|---|
quechanb eriereque ilait	--|-----⌫-----|--|-|--|
entot ela maiso n	-|---⌫|-|-----⌫|
pas l abo cheamer e	--|-⌫|--⌫--|----⌫|
etcelep lore et ditu allet	-|---|-⌫---|-|--|-⌫----|
nen portezpas	|--⌫-----|--|
m on agnelet	-⌫-|------|
quei enseroie ma lbaillie	--||-|-----|--⌫-------|
enperdroiesla	-|--------|-|
quequltardast	----||------|
iote pr ome t	-|-|--⌫---⌫|
l i ualleza	-⌫|-----||
soncuernemet	--|---|-|--|
riennulede ceq ue ilot	---|---|-|-|-⌫-|-|-|
c equegeuné ot	-⌫|--|-----|-|
moroitdef aina	-----|-|-⌫--||
zzbocel troue plaindeuin	-|----|----|----|-|--|
etzzenapdargentselonc	-|-|---||-----|-----|
etuoit sor zztrosselde	-|---|--|-|------|-|
unetoail le bla ncheetnoe ue	--|-----⌫-|---⌫---|-|---⌫-|
i l laso ul ieueet sitroeue	-⌫|-|--⌫--⌫---|-|-|-----|
trois bons pa stezdunchreuol	----|---|--⌫---||-|------|
n elianuiapas c ist	-⌫|-|----|--|-⌫--|
porl afainq uif o rme ntl angoise	--|-⌫|---|-⌫-|-⌫-⌫---⌫-||------|
zzdespas tezdeuan t lui fr o isse	-|--|---⌫--|-----⌫|--|--⌫-⌫---|
siman iuepargrant ta lan t	-|---⌫--|--|----|--⌫---⌫|
etuer seanlacop ed	-|---⌫-|-|-|---⌫||
douinquinestoitmieleiz	-|--|--||-----|--|---|
boitsouent	---|-----|
etgra nztraiz	-|---⌫-|----|
etditpu celecil	-|--|--⌫---|--|
hu ipar moigasté	--⌫|--|--|-----|
uenez mang ier	----|----⌫--|
quilsont moutbon	-|-|---|---|--|
chac unsauraassez	----⌫--|---|----|
etenremanrazzentiers	-|-|------|-|------|
et celeplorean dem antiers	-|---|----|--⌫---⌫------|
quequeil laprieet semont	-----|-|-|---|-|-----|
et celezzmo tne lir espont	-|---|-|--⌫|-|-|-⌫-----|
l adamoisele ain zp lore fo rt	-⌫|--------|---⌫|-⌫---|--⌫-|
moutd uremant se spoi nz	---|-⌫------|--⌫|---⌫-|
etcil maniatantco m li	-|--|----|---|--⌫|-|
uin tantcomli po t	--|---|--|-|--⌫|
et priscongie t o t	-|---|-----|-⌫-⌫|
maint ene nt	-----⌫---⌫-|
sire cou rilo	-|--⌫---⌫-|-|
e tcomman daadeuceli	-⌫|------⌫-||--|---|
cuisessaluzpointn	--|--|----|----||
dexuoss a u tfaitilbele	--|--|-⌫-⌫-⌫|---|-|---|
mais pordeu	---|--|--|
deuostreenel	-|-----|---|
enc oisqu eiemui re de	---⌫-----⌫|-|---⌫-|-|
iou osguerredoneraibien	-|-⌫-|------------|---|
iem enuoissin	-||-|---|-||
en portplus	-|---|---|
couenr aporlui	------⌫|--|--|
sosfirtanthonteetan ui	-----|---|----|-|--⌫-|
queian enotnule chatiue	--|-||-|-|---|------|
neiatantcomele soit uiue	-|-|---|--|--|---|---|
auresec o r sn ehaie	---|---⌫-⌫-⌫|-⌫|---|
orsa iiebien quil	-|--⌫|-|---|-|-|
ensin reme st cel ep lorant	----|----⌫-|---⌫|-⌫-----|
pu isn alaguairesdemorant	--⌫-||--|------|-------|
q ue s esamis dobo is	-⌫-|-⌫-|---|-|--⌫-|
doual letquisa	-|---⌫--|--|-|
uoitlesesclossi	---|--|-----|-|
etsami e p loranttro ua	-||---⌫|-⌫-----|---⌫-|
dam eda me	---⌫|--⌫-|
faitilie croi	---|-|-|---|
aces ensa ignesqueie	|--|----⌫----|--|-|
qu echeualieraa u c i	--⌫|--------||-⌫|-⌫|
non asir e io	--||---⌫|-|
mai szz ualletgualoisi ot	---⌫|-|-----|------||-|
enie usetu ileinetso t	----⌫-|-|-⌫----|-|--⌫|
quide uostreuina	--|-|-----|--||
tan tcoml i plo t etbo n	---⌫|--|-⌫|---⌫|-|--⌫|
e tma niadeuo syy pastez	-⌫|--⌫--|-|--⌫|-|-----|
beles iplorez	---|-⌫|-----|
sil au st beu etmangié	|-|--⌫-|--|-|------|
trestou tsilo	-------⌫|-|-|
uos isegie	---⌫--|--|
iliap l ussirefa it ele	-|||-⌫-⌫-|---|--⌫-|--|
mesa gnesestenlaquerele	--|-⌫---|--|-|-|------|
l enp orte	|---⌫---|
mi elzuosiss eoreses tre	--⌫--|------⌫|---|--⌫--|
quilenaustensinporté	-|-|-|---|----|-----|
ezuos celuides conforté	-|--|----|---⌫--------|
et engoiseus enson corai g e	-|--------|-|--|-----⌫-⌫|
parfoi fait il ci otoltraige	--|--|---|-|-|-|-------|
seplusi ot no celezia	-|---||-|||----|-|
si re il me baisa	--⌫-|-|-|----|
baisa uoire io uos d ibien	----|----|-|--|-⌫|---|
maisce f umaleoitgremien	---|-|-⌫|------|--|---|
anco isuossistetsiuosplot	----⌫-|--|---|-|-|--|---|
contreditn i o t	--------|||-⌫|
fai t cilcu iialosiee n go is e	---⌫|--|--⌫|------|-⌫-⌫--⌫--⌫|
cuidiezfaitilne uos	------|---|-|-|--|
c ertesbienuosc onois	-⌫----|---|--|-⌫----|
sibor gnesnesi lois	-|---⌫---|-|-|---|
queuostrefauset ene u oie	--|-----|------⌫|-|-⌫--|
ent reeestesen maleuoie	---⌫--|----|-|---|---|
antreeestes en malepaine	-----|----|-|---|----|
neianemangeroiz	-|-|-|--------|
uostr echeu au sneniertferrez	-----⌫|----⌫--⌫|-||---|-----|
tantquecilest eratuez	------|--|---⌫--|---|
oildesf errera	|-|----⌫-----|
iam ais de sferrez ne se ra	---⌫--|--⌫------|-|--⌫-|
simuert u osmes uiroizapi e	||----|-⌫-|-|-⌫-----||--⌫|
neiamaisneseront c han gié	-|-----|-|-----|-⌫---⌫---|
lid rap queuos	-|-⌫--|--|--|
ariezue stu e	----|--⌫---⌫|
ainz m esuirezapie etnue	---|-⌫|-----||--|-|--|
t antquelatesteen	-⌫-----|-|----|-|
auraipris e	----|----⌫|
ian enferaiautreiostise	-||-|----|----|------|
atantsas istet simenia	----||--⌫--|-|-|----|
et li ualleztan tcheu auc ha	-|-|-----|---⌫|----⌫---⌫-|
quiu itzz charboni er uena nt	-||-⌫-|-|--------⌫-|----⌫-|
deuantlui zz asne uenant	-----|--|-|---|-----|
uilain sfaitilensaignemoi	------⌫|---|-|-------|--|
q ui l asne me inede uant toi	-⌫-||---|--⌫--|--⌫---|--|
droiteuoie acardoeil	-----|---||-------|
lirois a rtus que ueoi r uoil	-|---|-⌫---|--|----⌫|---|
i faitch eua lie rsceditlen	|---|--⌫---⌫---⌫-|-|--|--|
u allezfaitil	-⌫----|---|-|
auncha stelsormer	|-|---⌫---|--|--|
lieetioient biaus dosam is	--|-|-----|----|--|--⌫-|
lor oi artuitroueras	-|-⌫-|---||-------|
lie eti oie ntsetuiuas	--|-|-⌫---⌫-|-|-||--|
rediras tumonuoel	------|-|--|---|
decoiliroisaioieet doel	-|--|-|---||---|-|---|
io tedir aifaitilmoutto st	||-|---⌫-|---|-|---|--⌫-|
li roisartus	-|---|----|
otote s ost	|---||--|
sestau roirionconb atuz	|--|-|--|---|----⌫---|
li roisdesi lles e stuaincuz	-|---|--|-⌫---|-⌫-|------|
lir oisartus	-|-⌫--|----|
etde sesb aronscor reciez	-|-|--|-⌫----|---⌫-----|
quiaschastes	--|-|------|
sed epa rtire nt	-|-⌫---⌫-----⌫-|
lorm eil lors eignor uirent	--|-⌫---⌫--|-⌫-----|-----|
ne s etcommant illorua	-|-⌫-|------|-|--|-|
de c estlidiaux quelirois	-||--|-|----|--|-|---|
li uallez ne prissezzdenier	-|-----|-|-----|-|-----|
l esnouelesaucharbonier	-⌫-|------|-|---------|
f orstantque en	-⌫--|------|-|
ce lepartoilli	--⌫-|---||-|-|
tantque sorm eruit zzchastel	------|--|-⌫-|--|-|------|
mou t b iense ant etfortet be l	---⌫|-⌫--|--⌫--|-|---|-|--⌫|
etuitis si rparmilaporte	-|--|--⌫--⌫|----|-|----|
zzcheualier quiarmeporte	-|--------|--|---|----|
orens amain	-|-|-⌫|---|
salanceteno it	-|----|----⌫-|
etsonfrain	-|--|----|
etsone scu alase nestre	-|--|-⌫--||-|--⌫-----|
etlac ou pe	-|-|-⌫--⌫-|
doreenla destre	|--|-|-|-----|
etsesarmes bienliseoient	-|--|----|---|-|------|
quitotesuermoilles estoient	--|----|---------|-------|
uit les armesbeles	--|--|----|----|
f rei cheset	-⌫---⌫---|-|
s iliplorent	-⌫|-|------|
etditp a rfoi	-|--|-⌫-⌫|--|
ces demanderai ie loroi	--|---------|-|-|--|
sillesme donebel	|-|--|-|---|--|
et daa zaitquiautresq ui e rt	-|---⌫|--|--|-----|-⌫--⌫-⌫-|
atan tuerslo	----⌫|---|-|
chaste lsentor ne	------⌫||-|---⌫-|
que mestier niadedemore	--|------||||-|-----|
tan tquepresdo cheualieruint	---⌫---|---|-|--------|---|
etli che ualiersloretin t	-|-|---⌫------|-|-----⌫|
zzpetitsili	-|----|-|-|
o ui rastudiuadiua	-⌫|-⌫--|-|---|---|
i euoil faiti lac ortale r	-⌫|---|---|-⌫||-⌫--|---⌫|
au roi lesarmesdemander	-|--|--|----|-------|
uallezf aitiltuferasbien	-----|-⌫--|-|-|----|---|
orua sdon to ste t sireuien	-|--⌫|--|--⌫-|-⌫|-|-----|
et ta n t dir as	-|--⌫-⌫|---⌫-|
au maluei s roi	-|------⌫|--|
il neuiaut	-|-|----|
tenirdemoi	----|-|--|
sater requ ei l l a	-|---⌫-|--⌫|-⌫|-⌫|
o il en uoit	|-|--⌫---|
qui ladesfand e	--|-|-------⌫|
uersmoiqui di qu eeleestmoie	---|--|--|-|--⌫|--|--|---|
e tacesensaignes t e nc roie	-⌫||--|--------||-⌫|-⌫---|
quedeuentlui priso rendro it	--|-----|--|---|-⌫------⌫-|
i l beuo it	-⌫|----⌫-|
cetecope que	---|---|--|
i e enp ort	-⌫|---⌫--|
orquier autre qui	-|----|----|--|
quecil nia mot	--|--||||--|
etlicheualier	-|-|--------|
esto ien tas sisaumangi er	----⌫---⌫|--⌫--|-|-----⌫-|
a terre aual	|----|---|
et liuallez entrea cheual	-|-|-----|----||-----|
sal equi fupauee	---⌫|--|-|----|
et autantlongue comme lee	-|-----|-----|----|--|
etl i rois artusest assis	-|-⌫|---|----|--|----|
auchiefdunetablepansis	-|----||--|----|-----|
ettuitlicheualier	-|---|-|--------|
etl izzasautres disoient	-|-⌫|-|-|-----|-------|
qualiroisqu est pe ns i s etmuz	-||-|---|-|--|--⌫--⌫-⌫|-|--|
l iuallezes t atant	-⌫|-----|--⌫|----|
nene set loquel i l s alut	-|-|--|-|---|-⌫|-⌫---|
mieneconut	--|-|----|
tantque iuonezco ntreluiuint	------|-----|--⌫---|--|---|
qu izzcost elensa	--⌫|-|----⌫-|-|-|
ua ll ezfaitil tuq ui c a ui ens	--⌫--⌫-|---|-|-|-⌫-|-⌫|--⌫--|
qui locos telenta	--|-|---⌫--|-|-|
mai ntiens	---⌫|----|
most remoili quesest lirois	----⌫-|--|-|---|--|-|---|
iuonez q uimout	-----|-⌫-|---|
l idi stamisu eezlo	-⌫|--⌫-|---|-⌫--|-|
t antostuer s lui ala	-⌫-----|---⌫|--|--|
sosalue s icomilsot	||----|-⌫|--|-|--|
li roispens a quilne ditmot	-|---|----⌫|-|-|-|--|--|
autr e foiz laraisone	----⌫|---||-------|
l irois pa nsa	-⌫|---|--⌫--|
etm otnesone	-|-⌫-|-|---|
parfoi faitli	--|--|---|-|
ua llez ad onques	--⌫---|--⌫-----|
cistroisne f ist che ualiers on qu es	---|---|-|-⌫--|---⌫------|--⌫--⌫-|
qant onparole nen	---|-|-----||-|
puet tr aire	---|--⌫---|
commant p orroitch eualierfa i re	------|-⌫-----|--⌫------|--⌫-⌫-|
tantost d e retorn ersatorn e	------|-⌫|------⌫-||-----⌫|
louchiefdesonchaceorto r ne	--|----|-|--|------|--⌫-⌫-|
m ais sipresdoroilamené	-⌫--|-|---|-|--|||----|
aguisedome ma lsené	|----||--|--⌫|----|
qued euantlui sanznu le fable	--|-⌫----|--|---|--⌫-|----|
li abatidesorlatable	-|----|----|-|----|
douchi ef zzchapelde bone t	--|---⌫-|-|-----|-|----⌫|
liroistorne uers loual let	-|---|----|---|-|---⌫--|
lo c hief queil t enoit	-|-⌫---|--|-|-⌫----|
si at ots on pa nserlaisié	-||-⌫-|-⌫-|--⌫---|------|
e t dit biauxf r ere bienuaigniez	-⌫|--|----|-⌫-⌫--|---|-------|
priuosqueen	--|--|--|-|
mal netaigniez	--|-|-------|
cequau ostresalu me	-|-||-⌫----|---|-|
que mot respondreneuosp oi	--|--|--------|-|--|-⌫-|
q ue lipl usmausguer iersq ue	-⌫-|-|--⌫-|---|----⌫---|-⌫-|
qui plusme hetet	--|---|-|--|-|
pl usmesmaie	--⌫-||-----|
materrecontredite	-|----|---------|
ettantestfo x que	-|---|--|--⌫|--|
totequi te	---|---⌫-|
queditquelaura	--|--|--||---|
uoi lle onon	---⌫--||--|
li uermauscheualiers	-|------|---------|
foretde guigu eroi	----|-|-----⌫---|
etla r a ine deuantmoi	-|-|-⌫-⌫--|-----|--|
uenu eseoir	----⌫|----|
por conforte retpor u eoir	--|--------⌫|-|--|-⌫---|
cescheualiersquisontbl e cié	--|---------|--|---|--⌫-⌫---|
ne maust guairescorrecié	-||---|------|--------|
li cheual iersd e quantqui l dit	-|------⌫---|-⌫|------|-⌫|--|
m ais deuantmoi ma copeprist	-⌫--|-----|--|-|---|----|
etsifoleman t lenl e ua	-|-|-------⌫||---⌫-⌫-|
que sorla raine	--|--|-|----|
totlo uin de coie sto i t p lai ne	--|-|--|-|--|-⌫---⌫-⌫|-⌫---⌫-|
ci ot oeurelaideetuilaine	-|-|----|----|-|------|
quelaraine	--|-|----|
enes t entree	-|--⌫|-----|
ded oletd ire	-|-⌫-|-||--|
enfl ame e	----⌫---⌫|
ensachambre ou ele socit	-|-|------|-|--||---|
nen ecuitpasque dexm ait	-|-⌫|---|--|--|--||--|
q u eiaen puise eschaper uiue	-⌫-⌫|-|-|----|-------|---|
liualleznep riseune ciu e	-|-----|-|-⌫---|--|---⌫|
rois lid itet conte	---|-|-⌫-|-|----|
nede sondoel ne de	-|-|--|---|-|-|
larai nene lich aut il	-|---⌫-|-|-|--⌫--|-|
faitesmoicheualier	-----|--|--------|
si rerois c araler menu oil	--⌫-|---|-⌫-|---||-|-⌫--|
cleretrientfur entsioil	---|-|----|---⌫--|-|--|
anlatesteau uallet	-|-|----|-|-----|
nulsn elot ne lotaignea saige	---|-⌫||-|-|-|-----||----|
cilqu iloregardoient	--|--⌫|-|----------|
porbeletpor	--|--|-|--|
amisfa it lirois	---|--⌫-|-|---|
etuostrechaceo rrandez	-|-----|------⌫|-----|
aceual letsougard era	|-|---⌫--||-|----⌫--|
etuos tre uolantez	-|---⌫--|-------|
faite sadame deu loueu	-----⌫||----⌫--|-|--|
e nm an oreta	-⌫||--⌫-|-||
