COUS T UMES	----⌫-⌫---|
semelledoff ice dauocatqui lsachesouf ri r	-|----||---⌫--||-----|-|-⌫|----|----⌫--⌫|
etescoutersan s courouscar l	-|-------|---⌫|------|--||
hons cou rouciés	---|---⌫-------|
pertleg ier ementson propos.	---|---⌫---⌫----|--|-----||
S iestmestiersqu ilsoit	-⌫|--|-------|-|-|---|
soufranssanscouroucier	-------|---|---------|
etbienescoutanscequi estdit	-|---|--------|-|--|--|--|
pourmieus e ntendreetreteni r .	---|----|-⌫------|-|------⌫||
Beaus maies tiresestace luiq ui	----|-----⌫----|--||--⌫--|-⌫-|
estau ocas	--|--⌫---|
e tato utes	-⌫||--⌫---|
manier es de	------⌫-|-|
onta ple d ierpourausou	--||---⌫-⌫--|---|--|-|
pourautruiq uantil	---|-----|-⌫---|-|
contentleur	------|---|
faitquilcomprengnentt outleurfet	---|-|-|-----------|-⌫--|---|--|
a umeins de paroles q u i lpourrontmes q ue la	-⌫|----|-|------|-⌫|-⌫|-------|--|-⌫-|-|
querelesoit bientoutecom pr isees	------|---|---|----|---⌫--⌫--|-|
Car memoiredhomme	--|------||----|
retient plus legierementp eu de par oles	------|---|----------|-⌫-|-|---⌫---|
qu e mo ut etplus a greablessontas	--⌫|--⌫-|-|---|-⌫-------|---|-|
iu gesqui les reçoiuent	--⌫--|--|--|---------|
e tgran s empeech emen s estas bailliset asiugeeurs	-⌫|----⌫|-------⌫----⌫|--|-|------|-|-|-------|
d oï r lon guesparol es qui nefontriensen	|---⌫|---⌫---|-----⌫-|--|-|---|----|-|
laq uere lecar quantel ess ontditessi	-|-⌫----⌫-|--|----|--⌫-|-⌫--|----|-|
conuie nti lqueli bailliso uli i uges qui les	------⌫-|-⌫|--|-|------|-⌫|-|-⌫---|--|--|
r eceuoir prengne seulement	-⌫------|------|--------|
l esparole squi	-⌫-|------⌫|--|
ontmestiera	--|------||
laquerele et	-|------|-|
les autresnes ont	--|-----|-|-⌫--|
conteesqu e p o uroiseus es.	------|--⌫|-⌫-⌫-|------⌫-||
L auo cas se puet bien l ouerpo urla	|---⌫--|-|---|---|-⌫---|--⌫-|-|
quer eleaunhommenepou rq uantilne le ra	----⌫--||-|----|-----⌫--⌫---|-|-|--⌫-|
pa spource	--⌫|---|-|
sil neli plestaestreencontr e li d	|-|-|-|----||----|-------⌫|-||
u neaut r equerel ecar il n est pas	-⌫-|---⌫-⌫|------⌫|--|-||--|--|
tenus s iln e	----||-|-⌫|
liplestaliaidierfors	-|----||-|-----|---|
delaquereled el aquel e ill iconue nan ças	-|-|------|-⌫|-⌫-----⌫|-|-⌫|-----⌫---⌫--||
Etse liauocasc uidaaucommencementque	-|-|-|-----|-⌫---|-|-----------|--|
la qu erelefustbonneetil la	-|--⌫----|---|----|-|-|-|
sentist puisamauuesesi q u	------|---||------|-|-⌫|
il lifailli stdaidepoursauue r leserem en tqu	-|-|------⌫-||---|---|-----⌫|-|-----⌫--⌫|-|
ilfistqu iln esousten roit mauuese que r el epuis	-|---|-|-|-⌫|-------⌫---|------|---⌫-⌫--⌫|---|
quillaconn o istroit pource	-|-|-|----⌫-⌫------|---|-|
n edoi tilpasalera	-⌫|---⌫|-|--|---||
lautre p arti econt recel i lequel	|----|-⌫----⌫|----⌫-|---⌫|-----|
ilcommençaaaidierd ic ele meismequerele	-|--------||-----||--⌫--|-----|------|
ainc ̧ois ne s en doit entremetr enedune	----⌫---|-||-|---|---------⌫|-||--|
Etpourc equelauocaspourroitcu idier laque rele	-|---|-⌫|--||-----|-------|--⌫----|-|---⌫---|
a mauueselaq uel es eroitbonnepuis q ue	|------|---⌫---⌫|-⌫----|----|---|-⌫-|
sacons ciencel e	-|----⌫-----|-⌫|
reprentp artirsen	------|-⌫----||-|
doi t m es cedoitestre courtoiseme ntet en tel	---⌫|-⌫-|-|---|----|-----------⌫-|-|-|--|
pointque cil qui s atendoit	----|--|--|--||-------|
a l uipuist r ecouure r	|-⌫-|----|-⌫-------⌫|
aut reauocat.	---⌫-|-----||
Or esta ssauoirse lauoc as le fet encest e	-|--|-⌫------|-||----⌫-|-|--|-|----⌫|
manieresil	------||-|
aura lo uie rdeceluiaquii l co nuenançaaaidier	---|--⌫---⌫|-|----||--|-⌫|--⌫--------||-----|
la querele pui squ i l	-|------|---⌫|-|-⌫|
le lesseains	-|----|---|
la fi n delaque r ele .	-|--⌫|-|-|---⌫-⌫--||
No usdisons queoïl	--⌫-|-----|--|---|
mesquiliurtseur	--|-|-|---|---|
lessaa luiaidier pourc equ	----||--|-----|---|-⌫|-|
i lconn ut la quere le	-⌫|----⌫-|-|-----⌫-|
amauu esepour so nserement	|----⌫--|---|--⌫|-------|
sauueretleserement	-----|-|-|-------|
fetildoit estre paiésse lonccequ	--|-|---|----|-----|--⌫---|-|-|
ilauoit pené au ant q uilc onneustlaque rele	-|----|----|--⌫--|-⌫|-|-⌫------|-|---⌫---|
amauuese etselonc le louier qui ldeuoitauoir	|------|-|-----|-|-----|-|-⌫|-----|----|
la querele par lestimacion	-|------|--||---------|
desiugeeurs.	--|-------||
Tui tcil qu ipu ee ntestre deboutép ouruilain	---⌫|--|--⌫|--⌫--⌫-|----|-------|-⌫--|-----|
crimedete smoignageporterpueentetdoiuent	----|-|--⌫--------|-----|-----|-|------|
estre debou tédauocacionmes desautre s	----|-----⌫--||--------|--|--|-----⌫|
ca squedecri me pueentbien est r eteusdeboutéen	--⌫|--|-|---⌫-|-----|---|---⌫-⌫|---|-------|-|
temoign age quine pueentpasestredeboutéen	-------⌫--|--|-|-----|--|----|-------|-|
auocacion s icommechascu nspuet estre	--------|-⌫|----|------⌫-|---|----|
au o ca sen	--⌫-⌫--⌫|-|
saque releet il ni estpa s	-|---⌫---|-|-|||--|--⌫|
rec eu sente s moignageou	---⌫--⌫|-|--⌫-⌫-------|-|
cilqui sontde ma mesnie	--|--|---|-|-|-----|
oumi s e rf ou	-|-|-⌫-⌫-|-|
mibast ar tpueent estremi auocat etsi	-|----⌫--⌫|-----|----|-|-----|-|-|
pourroie ntestredeb outé d e	--------⌫-|----|---⌫----|-⌫|
t esmoignierenmaquerele .	-⌫---------|-|-|------||
Cil quinepuet estreiusticiés parlesiugesde	--|--|-|---|----|---------|--|--|----|-|
lacourt la ouilueutestreauocasnest	-|----|-|-|-|---|----|-----||--|
pasareceuoir en	--||-------|-|
auo cacionseliiugesneli fe tgracesi	---⌫-----|-|-|----|-|-|--⌫|----|-|
commeclersencourt	----|----|-|----|
lai e cars ilmesfesoitous	---⌫|--||-|--------|-||
i l n estoitauoué sd e	-⌫||-----|------⌫|-⌫|
s a parol ene pourroitil	-⌫|-----⌫|-|-------|-|
estre iusti ciéspo url a menden e	----|-----⌫----|--⌫-||-⌫----|-⌫|
mes fetqu i lnefu s trend us as ono rdinaire.	---⌫--|-|-⌫|-|--⌫-⌫|----⌫-||-⌫-|-⌫-------||
N epourquantpartie ne lepu etdebatreseli	-⌫---------|-----|-|-|--⌫-|------|-|-|
iug esleueut soufriretse	---⌫-|-|---|------|-|-|
l i iugesneleue ut fe renepourquantil	-⌫|----|-|-|--⌫-|--⌫-|----------|-|
puetferereq uestes oupledierpour liou pour	---|---|---⌫-----|-|------|---|-|-|---|
seglis e oupou rsonlign age ou pou rle	|-----⌫|-|---⌫|--|----⌫--|-|---⌫|-|
co mmun pourfit o upourpou re personepo u r	--⌫---|------|-⌫|---|---⌫-|------|--⌫-⌫|
Dieumesquilface se rem entq uil n e n	---|--|-|-|---|--⌫---⌫--|-⌫|-||-⌫|
aitnullo uiernen atent	--|--|--⌫---|-||----|
L ibaillis desono f ficepuet	-⌫|------|-|--|-⌫-⌫---|---|
biendeb outer lauocat quil nesoit	---|---⌫----||-----|-|-|-|---|
oïsenauocacion de u antli	---|-|--------|--⌫-⌫--|-|
liqueusestcoustumiersdedire	------|--|----------|-|---|
uile niesaubaillifo uas	----⌫---|-|------|-⌫|-|
iu geeursou	--⌫-----|-|
ala parti eaquiil aa	|-|-----⌫||--|-|||
malechoseser o its etel	---|----|---⌫-⌫-|-⌫|--|
maniere de ge ns	------|-|--⌫-|
n epo uoientestre	-⌫|--⌫-----|----|
debouté dauocac ion .	-------||------⌫--||
Ilne lo itpasas fame	-|-|--⌫-|--|-|---|
enofficedau oca tpou r	-|-----||--⌫---⌫|---⌫|
aut ruipou rlouiermessans louier p uetele	---⌫--|---⌫|-----|--|---|-----|-⌫--|--|
parler poursoi	-----|---|--|
ses enf ans ou pouraucun	--|---⌫--|-|---|----|
de son lignage mesque	-|--|------|--|--|
autorité de sonbaronsele a	--------|-|--|----||--||
Cil quiest esc ommeni e ́ se trenfor ciéspuet estre deboutésd	--|--|--|---⌫------⌫-⌫-⌫|-⌫|------⌫----|---|----|--------||
offi ceda uocatde partieou	----⌫-||-⌫----|-|-----|-|
deiug ed usques atant quil	-|---⌫|-⌫-----||---|-|-|
est assouspou r cequet ui tcil qui al i	--|-----|---⌫|-|--|-⌫--⌫|--|--||-⌫|
parolent etseue nt sonescomme n iement son t escom meniée t il	-------|-|----⌫-|--|-------⌫-⌫-----|---⌫|-----⌫-----|-⌫|-|
conuientr e spondre	-------|-⌫-⌫------|
e t parl eras auo cas.	-⌫|----⌫-|-|---⌫--||
Honsdereligionne d oitpasestre receusenoffice	---|-|-------|-|-⌫--|--|----|-----|-|-----|
dauocat enc ourt la ie	|-----|-|-⌫---|--⌫-|
secenest pou r	-|-||--|---⌫|
labesoigne	-|-------|
dese glise	-||-⌫----|
et de l au to ritédesonsouuerain	-|-||--⌫--⌫----|-|--|--------|
quiespec iau ment lait	--|-----⌫---⌫---||--|
a cee stabli .	|-|-⌫-----||
Ilapartientaubaillif quil	-|--------|-|------|-|-|
gardequel auocatacoustum enta	----|---|-----|--------⌫--||
pledi erp ardeu antliet	-----⌫-|-⌫-|---⌫--|-|-|
s iillesp uet	-⌫|-|--|-⌫--|
ne lesuoitso ufisanssicomm e	-|--|---|--⌫------|-|----⌫|
ilest dit en	-|--|--|-|
c ech apitre m eism eet aus sisil s ont des ob eïssanta	-⌫|--⌫-----|-⌫----⌫|-|---⌫-||-|-⌫--|---⌫--⌫-------||
soncommandementes choses e squeles	--|-----------|-|-----|-⌫|-----|
ildoiuent obeïr alilesqu eus choses	-|------|-----||-|-----⌫--|-----|
son tte les quesei	---⌫|--⌫--|--|-||
ai un ebes oigne c omm encieede	-|--⌫|---⌫----|-⌫---⌫-----|-|
l aqueleil	-⌫-----|-|
nesedoitmellere til	-|-|---|-----|-⌫|-|
corron tetfe t l anieusp our	------⌫|-|--⌫||-----|-⌫--|
une sieue besoigneet ie licommant	--|----|-------|-|-|-|------|
qu ilsetese et ilneseue ut	-|-|-|---|-|-|-|-|--⌫-|
tere ie lipuis	---|-|-|---|
ost erlof ficed	---⌫-||--⌫---||
au oca c ionde deuan t	--⌫---⌫-⌫--|-|-----⌫|
moie taussi	--|-⌫|----|
separtiemerequiertqueie li	-|-----|-|-------|--|-|-|
bail le co nseilp arlesiencommecil	----⌫-|--⌫----|-⌫-|-|---|----|--|
quinenpuetp oint auoirpourdoutede	--||-|---|-⌫---|----|---|----|-|
ce luiaquiilpledeo u pour dou te	--⌫--||--|-|----|-⌫|---|---⌫-|
de stre mauu esementpaiéseti e comma nt	|-⌫---|----⌫------|-----|-|-⌫|-----⌫-|
auocat qu il uoist	-----|-|-|----|
aso nco nsei l il doitobei ̈ r	|--⌫|--⌫----⌫|-|---|----⌫-⌫|
au commandemente n tel manierequ ilsoitseur	-|-----------|-⌫|--|------|-|-|---|---|
delap artiedauo irsonsalaireseloncc e	-|-|-⌫----||---⌫-|--|------|-----|-⌫|
quela iourneedesire .	--|-|------|-----||
Nepourqua nt p our aucune s res n ablesc auses	---------⌫-|-⌫--|------⌫|---⌫-⌫----|-⌫----|
sepue tescuser liauocas qu	-|---⌫|------|-|-----|-|
doitpasaler	---|--|---|
a ucons ei l	-⌫|----⌫--⌫|
au ocasacelu id onti la co mmandem ent-	--⌫---||----⌫|-⌫--|-⌫||--⌫-------⌫--||
sicommes il	-|----||-|
est con ue nanciésa	--|---⌫--⌫-------||
lautrepartieo us ilestsesamis	|----|-----|-⌫||-|--|--|---|
d ech arou s il a grant	-⌫|--⌫-|-||-||----|
affi nitéda m ouralaue ueet	----⌫----||-⌫-⌫--||-|--⌫-|-|
commu n ou	-----⌫|-|
aaucunealiancea liouaucunecomp aignieou	|-----|------||-|-|-----|----⌫-----|-|
silahaine uersla partieou	|-||----|---|-|-----|-|
libaillislic ommandeaaler ou uers aucun de	-|------|-|-⌫------||---|-|---|----|-|
sesprochiens p arens pour d ro ite caused ehaineous	--|--------|-⌫----|---|-⌫--⌫--|----|-⌫|----|-||
autrefois et ilne	----|---|-|-|-|
l i paia pas	-⌫|---|--|
son salairene enc o re	--|------|-|---⌫-⌫-|
neli u eu tpai erou s ela quere lelitouche	-|-|-⌫--⌫|---⌫-|-|-⌫|-|-----⌫-|-|-----|
ensaperson eoua	-|-|------⌫|-||
aucun d eses	----|-⌫|--|
parensouaaucunsdeceusa	-----|-||-----|-|---||
quiils estaliés ous iliure	--|-||--|-----|-||-|---|
quilcroitla quer ele a	-|-|----|-|----⌫--||
mauue separquoiil neueutpasestre	-----⌫-|--|---|-|-|---|--|----|
ses auocas-partoutes ces causesse	--|-----||--|-----|--|-----|-|
defendreetrequerreaub aillif q u ilr apeaut s on	-------|-|-------|-|-⌫-----|-⌫|-|-⌫-----|-⌫-|
comm andemen t etli	----⌫-------⌫|-|-|
baillisledo itfere sili	------|-|--⌫-|---||-||
uoita ucune descausesdes s usdi tes.Sauc uns	---|-⌫----|--|-----|---⌫-⌫-|--⌫--|||---⌫--|
uienta c our tpour p ledieretne puetauoir	----||-⌫---⌫|---|-⌫-----|-|-|---|----|
conseilparce que tu itliauocats	------|----|--|--⌫-|-|-----||
escusen t parresnablecause qu il	-------⌫|--|-------|----|-|-|
nesoientauecli li pl es	-|-----|---|-|-|--⌫-|
n edoitmi epo urcedemourernealongi erpa r	-⌫|---|--⌫|--⌫-|-|-------|-|------⌫-|--⌫|
la coustumede lacourtlaie.	-|-------|-|-|----|---||
Ai nçoisdoitla partie estre	--⌫-----|---|-|-----|----|
contrain teaa l e rauantetpou r cesedoitchascuns	--------⌫-||-⌫-⌫-⌫|----|-|---⌫|-|-|---|-------|
pourueoirc ommentil uientgarnisde conseila	--------|-⌫-----|-|----|-----|-|------||
son plet e ts	--|---|-⌫||
ilneueuta ler auantildoit	-|-|---|-⌫--|----|-|---|
es tre misen de faute aussicomme sil	--⌫--|--|-|--⌫----|----|----||-|
nefust pasuenusa	-|---|--|----||
Li auocatet	-|-----|-|
l iconseill eurpueentp rendres alaires et	-⌫|--------⌫--|-----|-⌫-----|-⌫------|-|
seruicespourleurconsei loupour	-------|---|---|------⌫|-|---|
leurauoc acion	---|----⌫----|
m es cenepueentpasferelesiusticesne	-⌫-|-|-|-----|--|---|--|-------|-|
liiugeeurcarseruices e tconsauspueen tbie nestre	-|------|--|-------|-⌫|------|-----⌫|---⌫|----|
ue nd umes c enepueent pasne	--⌫--⌫|--|-⌫|-|-----|--|-|
ned oi uentestreliiu gement.	-|-⌫--⌫---|----|-|--⌫-----||
Icifinelich apitres	--|---|-|--⌫------|
de sauocas.	--⌫|-----||
Ici co mmence lisizismes chap i tres de	--|--⌫-----|-|-------|----⌫-⌫---|-|
c estliure quiparoledes d emandes	-⌫--|----|--|-----|--|-⌫------|
L iclercont une m anieredeparler	-⌫|----|--|--|-⌫-----|-|-----|
moutbeleselonc lelatinmesli	---|---|-----|-|----|--|-|
laiqui onta	--|--|--||
pled ier contr e	----⌫--|-----⌫|
ausen court laienent endent	--|-|----|---||---⌫-----|
pa s bi enlesm osm eismes quildi ent enfra nçois	--⌫|--⌫-|--|-⌫-|-⌫-----|-|-|--⌫--|-|---⌫-----|
tout s oi entil	---|-⌫--⌫--|-|
beletconuenableauplet.	--|-|---------|-|---||
Et pour ced ec equ iplus	-|---|-|-⌫|-⌫|--⌫|---|
souuentestdi ten lacourtlaie et	------|--|--⌫|-|-|----|---|-|
gransmesti e r sestnoustraiterons en	----|-----⌫-⌫-⌫|--|---|---------|-|
c estc h apitr eent elmanierequel i	-⌫--|-⌫-⌫-----⌫|-|-⌫-|------|--|-⌫|
laile puissen t entend re	--|-|-------⌫|------⌫-|
. Cest assauoirdesdemandesquisontfete s	||--|-------|--|-------|--|---|----⌫|
etquel en p uetetdoit	-|--||-|-⌫--|-|---|
fere enc ourtlaiele squeusdema ndes lic lerc	---|-|-⌫---|---|--⌫-----|----⌫---|-|-⌫---|
apelentlibelles eta utant uaut demandecommeli belle .	------|-------|-|-⌫----|---|------|----|--⌫----||
Etapr èsnoustrai t ero nsdesdefensesqueli	-|---⌫--|---|----⌫-⌫---⌫-|--|-------|--|-|
defenderes doitmetre	---------|---|----|
auantco ntreceli qui dem ande	----|--⌫---|---|--|---⌫---|
lesqueusdefenses li clerc	-------|-------|-|----|
apelentexcepc ions.	------|------⌫---||
Et ap rèsnoustraite ron s des defens es queci l	-|--⌫---|---|------⌫---⌫|--|------⌫-|--|--⌫|
qui deman de metauant	--|-----⌫-|--|----|
pour dest ruire	---|----⌫----|
lesdefensesqu eli	--|-------|--⌫|-|
de fenderesm et co ntre	--⌫-------|-⌫-|--⌫---|
s ademandelesq ueus	-⌫|------|----⌫---|
defenses liclercapele n treplicacionset de	-------|-|----|-----⌫-⌫|-----------|-|-|
direenauantque	---|-|----|--|
dusques a s r eplicaci onsilnestpas	------|-⌫|-⌫--------⌫--|-||--|--|
mestiersencourt laiepourceque l	-------|-|----|---|---|-|--||
en nebarr oiequune f oi sch as cune	-|-|----⌫--|-|--|-⌫--⌫|--⌫--⌫---|
Et nousap elonsbar roier les	-|---|--⌫----|---⌫----|--|
r esonsquel idefen dere smetcontrecequi	-⌫----|--|-⌫|-----⌫----⌫|--|-----|-|--|
liestde mandé et lesresonsq ue	-|--|--⌫-----|-|--|-----|-⌫-|
l idemand eresmet	-⌫|------⌫---|--|
con t relesdefensesau de f ende urmesa la	---⌫-⌫-|--|-------|-|--⌫-⌫----⌫-|--||-|
courtdecr estienté barro i entilpar tansde	----|-|--⌫--------|-----⌫-⌫--|-|--|---|-|
f oiscomme ilfont r e tenue	-⌫--|----|-|---|-⌫-⌫----|
quilapele ntp rot es taci on e tcommeilpu eent	-|-|-----⌫-|-⌫---⌫--⌫----⌫-|-⌫|----|-|--⌫---|
trouu er resonlunepart ie contre lautreetpour	-----⌫-|----||--|----⌫-|-----||----|-|---|
ce baillentiltrip licac ionaudefendeur	-|-------|-|----⌫-----⌫--|-|--------|
contre les rep licacionsau demandeuret	-----|--|---⌫--------|-|--------|-|
après il baill entquadr uplica ci onsa u demand eur contre	-----|-|-----⌫--|-----⌫------⌫--⌫--|-⌫|------⌫--|-----|
lestriplicacionsaudefendeur	--|------------|-|--------|
Mes deto utce	--|-|--⌫-|-|
nestil mes tiersencour tlaie fors	|--|-|---⌫----|-|----⌫|---|---|
q ue sanspl usd esde f ens es que li def enderesme tcontre	-⌫-|---|--⌫-|-⌫-|--⌫-⌫---⌫-|--|-|---⌫------|--⌫|-----|
liestdemande ́	-|--|-------⌫|
etd es resonsque	-|-⌫-|-----|--|
li deman deres	-|-----⌫----|
met contreicelesdefense s.	--|-----|-----|-------⌫||
Sit raiteronsde	-|-⌫--------|-|
II I.cho s es tant se ule m en tcest assauoiren c est	--⌫-|---⌫-⌫-|---|--⌫---⌫-⌫--⌫||--|-------|-|-⌫--|
chapitre ci d esdemandesqu e	-------|-|-⌫-|-------|--⌫|
lidemanderes	-|---------|
do itf ereetou	--⌫-|-⌫--|-|-|
chapitrequiuenraaprès	-------|--|----|-----|
cestuid es defense sau	-----|-⌫-|-------⌫|-|
defend euretdesres onsque li demanderesmetcontre les	------⌫--|-|--|---⌫--|--|-|---------|--|-----|--|
defenseset premie r ement	-------|-|------⌫-⌫----|
nou sdironsd esdema n des pource quec	---⌫|-----|-⌫-|----⌫-⌫--|---|-|--||
estlic omme nce m e nsduplet .	--|-|-⌫----⌫---⌫-⌫-⌫-|-|---||
Pluseu rdemand essont fetesles unes de muebl esetde	------⌫|------⌫-|---|----|--|---|-|-----⌫-|-|-|
chateuslesautresde saisinederi tagelesautresd e	------|--|-----|-|------||---⌫---|--|-----|-⌫|
proprietéd erita ge lesautres dec onuenance s	---------||-----⌫-|--|-----|-|-⌫---------⌫|
lesautresd edouaire	--|-----|-⌫|------|
lesautresde	--|-----|-|
bailoude gardequi	---|-|-|----|--|
puee ntauenirparreso n	----⌫-|-----|--|----⌫|
sousaagié s lesautresdefor c eles autres	----------⌫|--|-----|-|---⌫-⌫|--|-----|
d e nouuele dess a isi n ele sautresdestretour blés	-⌫|------|----⌫-⌫---⌫-⌫|--⌫|-----||----|----⌫----|
ensa saisine	-|-|------|
lesau tresde cas decrimequito uche nt	--|--⌫---|-|--|-|----|--|--⌫----⌫-|
lespersone s	--|-------⌫|
siestb onquenou sdisonsbriementcom m ent	-|--|-⌫-|--|---⌫|-----|-------|---⌫-⌫--|
dema nde doitestrefete pardeuant	----⌫--|---|----|---|--|-----|
iusticed e chascune	------|-⌫|-------|
decesch oses .	-|--|--⌫---||
Qui ueutdema nde r muebleset chateusildoi tdire	--|---|----⌫---⌫|------|-|------|-|---⌫|---|
e nceste maniere	-⌫|----|------|
Sir eiedema n ta	---⌫|-|----⌫-⌫||
Iehanquila estteus	----|--|-|--|---|
mu ebles et teu schateusetles	--⌫----|-|---⌫|------|-|--|
do itno mme rse ce	--⌫-|--⌫---⌫|-|-|
sontgross e s c hoses	---|-----⌫-⌫|-⌫----|
et par peude parties .	-|--|--|-|------||
telma nierepo urro ientele sestr e	--|--⌫----|--⌫----⌫---|---⌫|----⌫|
qu ilsoufiroi tsil fe soit sa	-|-|--------⌫||-|--⌫---|-|
deman deen gener al si co mmes ildemando itc hoses	-----⌫-|-|-----⌫-|-|--⌫--||-|-------⌫-|-⌫----|
enferm eesquilnauroitpasueues oupluseur s	------⌫--|-|-||-----|--|----|-|-------⌫|
des pueilles ouilnauroitpasest éauleuer	---⌫-------|-|-||-----|--|---⌫-|-|----|
oupa rtieent ous les	-|--⌫---|-|-⌫--|--|
muebl esdun os telcar en	-----⌫-||-|--⌫--|--|-|
teusc hosesnepourroit	---|-⌫----|-|-------|
il sauoirt out nommer	-|-----|-⌫--|-----|
soufiroitila dire	--------|-||---|
toutesleschoses quilasont enfer mees- oupartie	-----|--|-----|--|-|---|-----⌫---||-|-----|
nedemande letout- o ules mueble s	-|------|-|---||-⌫|--|------⌫|
detelostel	-|--|----|
q u ifu rentceli-oulesdes pueill e s de	-⌫-⌫|--⌫---|---||-|--|---⌫------⌫-⌫|-|
te leritagequifurent	--⌫|------|--|-----|
nedemandeforspartie il doitdire	-|------|---|-----|-|---|---|
laparti equel	-|-----⌫|---|
oumoitiéoutiers ou qu artou	-|------|-|----|-|--⌫--|-|
meinssemei ns	----|-|---⌫-|
id emande.	|-⌫-----||
doit dire reson pour quoiille doita uoirsi	---|---|----|---|---|-|-|---|-⌫---|-|
comme selidroisli	----|-|-|----|-|
estdes cendusou e scheusde costéoupa racha tou	--|---⌫-----|-|-⌫-----|-|-----|-|--⌫|----⌫|-|
ou parautrec aus eresnable	-|--|----|-⌫---⌫|-------|
c ardemandequi	-⌫-|------|--|
estfet eetlen nedit re sonpour	--|---⌫|-||-|-|--|--⌫--|---|
ledoit auoir	-|---|----|
n euau triens neniest pasl idefende r es	-⌫|---⌫|----|-|||--|--|-⌫|-------⌫-⌫-|
tenusaresp ondre carnien t est a	----||----⌫----|--|----⌫|--||
I ehansm edoit	-⌫----|-⌫|---|
.X. lb.fe t es le s moipaierseienedi	--|--|--⌫-⌫-|--⌫|--|----|-|-|-|-|
pour qu oi	---|--⌫-|
q uoiillesme do it.	-⌫--|-|--|-|--⌫-||
Aucunsi a quiontmes tie rdeformer	-----|||--|--|---⌫---⌫|-|-----|
leu r dem a n deseur saisin e	---⌫|---⌫-⌫-⌫-|---|------⌫|
deritaget antseu lemen ten te l mani e re	|------|-⌫--|---⌫-----⌫|-|--⌫|----⌫-⌫-|
qu il netouchent	-|-|-|-------|
deri ensen leur	-|--⌫--|-|---|
demande lap ropri eté pou rce quesil touchoien t la	------|-|-⌫-----⌫---|---⌫|-|--||-|---------⌫|-|
propr ietéenleur demandelipl es	-----⌫----|-|---|------|-|--⌫-|
seroit demenésseloncl apropr ietési	-----|-------|-----|-⌫|-----⌫----|-|
ens eroit liples	-|-⌫----|-|---|
etp lusperilleu s caraprèscequ esais ineest	-|-⌫--|--------⌫|--|-----|-|--⌫|----⌫--|--|
gaa ignieeoup erdue pu et	---⌫-----|-|-⌫----|--⌫-|
len commencierpletseurlapro prieté.	|-|---------|---|---|-|---⌫------||
Donquesdoit estrefeteladem ande	------|---|----|---|-|---⌫---|
proprement seur la saisine	---------|---|-|------|
e nlamaniere	-⌫|-|------|
Sireie dem ant aauoirlas aisine	---|-|---⌫--||----|-|-⌫-----|
deteleritage qu i sieten	-|--|------|--⌫|---|-|
tellieu e tquif ua	--|---|-⌫|--|-⌫||
telpersone	--|------|
et diqu am oiapartientla saisi ne	-|-|-||-⌫-|--------|-|-----⌫-|
par tel reson	--|--|----|
E tdoitl a reso ndire	-⌫|---|-⌫|----⌫|---|
sicommeseleliest des cendue o uescheu e	-|----||--|-|--|---⌫-----|-⌫|------⌫|
ou illadema ndecommeexecuteur spourlare son	-|-|-|----⌫--|----|---------⌫|---|-|--⌫--|
detest ament	-|----⌫----|
c arenteus	-⌫-|-|---|
cas ui enent saisinesde ritage.	--|--⌫----|-------||-⌫-----||
Etsaucunsn e liemp eechelasaisine il	-||-----|-⌫|-|---⌫----|-|------|-|
n est pasmestier squ	|--|--|-------⌫|-|
facedeman de	---|-----⌫-|
caril puete ntrerenla c hosedo ntdrois ou	--|-|---|-⌫----|-|-|-⌫---|--⌫-|----|-|
co ust u melidone la sa isinesans	--⌫---⌫-⌫-|-|---|-|--⌫----|---|
p arlerau seigne u rsauf cequesecest	-⌫----|-|------⌫-⌫|---|-|--|-||--|
fiés ildo it	----|-|--⌫-|
homageduseigneur dedensles.	-----|-|-------|-----|--||
XL. iours quiles t entre ́senla	--|----|-|-|--⌫|-----⌫-|-|-|
Autremen tconuientform ersademande q ui ueu tp l edier seu rproprieté	--------⌫|-------|----⌫-|-|------|-⌫-|---⌫|-⌫-⌫----|---⌫|---------|
deritagecarildoitdire	|------|--|-|---|---|
Sireie d em ant tel eritage	---|-|-⌫--⌫--|--|------|
Iehans mempeeche-ouqu ei euoi t enir	-----||-------||-|--⌫|-⌫|--|-⌫---|
Iehan-liqueus erita gessiet	----||------|-----⌫--|---|
ent el lieu	-|-⌫-|---|
etqu i fu atelpers one et amoi	-|--⌫|-||--|----⌫--|-||--|
apartient lidro isdel	--------|-|---⌫-|-||
eritagepartel reson.	------|--|--|----||
Etdoit metrelareson a uant et offrirla	-|---|----|-|----|-⌫---|-|-----|-|
reso naprouuers	----⌫||------||
e le l iestniee	-⌫-|-⌫|--|---|
Etaussien toutesdem andesq uelesqueles soie ntl	-|----|-|-----|---⌫----|-⌫----|-|---|----⌫-||
en doitoffriraprouuerla	-|---|-----||------|-|
r esonqu e	-⌫---|--⌫|
l e nmetauants eleestn iee	|-⌫|--|----||--|--|-⌫--|
delauerseparti e	-||-----|-----⌫|
carriens neuaurroitresons	--|----|-|-------|-----|
que le nmeistensadema nde	--||-⌫|----|-|-|----⌫--|
s ele estoitnieeetl en	|--|-----|---|-||-|
nelaprouuoit .	-|-|-------||
f ormersademande	-⌫----|-|------|
seurconuenanceil	---|---------|-|
en c est e	-|-⌫---⌫|
Sire uesla	---|--|-|
