misireno ble sle leons	-|---|--⌫---⌫|-|----|
biensa iquem alientendistes	---|--⌫|--|-⌫-||----------|
mes iene l fis	--|-|-||--|
seporbiennon	-|--|---|--|
ormenrendés m al guerredon	-||-|------|-⌫-|--------|
ielfisporbien	-||--|--|---|
m esorai perdumo n	-⌫-|-|-|----|--⌫|
en entre mis	-|-----⌫--|
este smes ene mis	----⌫|--|---⌫--|
r e nartdetant teposuan ter	-⌫-⌫---|-|---|-|--|---⌫--|
biense safol messec ha nter	---|--⌫||--|----|-⌫--⌫---|
ceestbie nchose coneue	-|--|---⌫|----|-----|
mein te honte ai aperceue	----⌫-|----|-|-------|
tues de te l autorite	-|-|-|--⌫|-------|
q uentoinapointdeuer ite	-⌫|-|--|||----|-|---⌫--|
tantme co nseillasenloreille	---|-|--⌫-------|-||------|
quent rer m efeis en l ase lle	-|---⌫--|-⌫|---|-|-⌫|--⌫--|
elpuisde denz	-|---|--⌫---|
lamalegoteaiesesdenz	-|---|---|---|-|---|
rien astufait honte	---|-|-|---|----|
ne st nusq ueensacheleconte	|-⌫-|--|-⌫-|-|----|-|----|
qu eroiporr oieestre	--⌫|--|----⌫--|----|
laiens en paraisterrestr e	-----|-|-----|--------⌫|
oila uo itgaigneri es	|-|-⌫--⌫-|--------⌫-|
et pl einet boiset praeries	-|--⌫--|-|---|-|-------|
nestouoitcelerienr ouer	|-------|---|---|-⌫---|
quennepo ustil octrouer	-|-|-|--⌫--|--⌫-|-----|
etqu iuol oit mangierpoissons	-|--⌫|---⌫--|------|-------|
troit es ousaumo ns	-----⌫-|-|-----⌫-|
ta nt en a uoit conl i	--⌫-|-|-⌫---|--|-⌫|
asontalantleseslisoit	|--|-----|--|-------|
detoz biens e rt	-|--|----|-⌫-|
li lius garnis	-|---|-----|
einsifuipartoi	----|--|--|--|
iequidoiequedeiss es uoir	-|------|--|-----⌫-|---|
mesie ne fismie	--|-|-|--|--|
moltmengignas a	---||-------||
el seel entraisans	-|---|-----|---|
et la cordesidestortei lle	-|-|----|||---------⌫--|
tu eresia enl autre	-|---|-|-||----|
traitre seset	-------⌫|-|-|
losengiers	---------|
tu li giers	-|--⌫----|
ieaualaiet tumour as	-|-----|-|-|----⌫-|
quant e n mi le puism en contras	----|-⌫-⌫-|-|---||--⌫------|
doncfumes cuersiriés ettein s	---|-|--|----|-----|-|----⌫|
molt esdefelonie pleins	---|-|-|------|-----|
ie deman doiquetu quer oies	-|-----⌫--|--|-|----⌫---|
tu mede is q u	-|-|--⌫-|-⌫|
en m ontiroies	-|-⌫--|-----|
ces tcustu me	|--⌫|-----⌫-|
quechascunstient	--|-------|----|
quantliunsuetliautresu ie nt	----|-|--|--|-|-----|-⌫--⌫-|
denferestieésesc hapés	|----|-------|---⌫-----|
or r eseroieia	-|-⌫------|-|
atra pe ́ s	----⌫--⌫-⌫|
i luecrem eis	-⌫---|---⌫--|
to ttensri nsis	--⌫|---|--⌫---|
tel tra isond emoi f eis	--|---⌫---|-⌫|--|-⌫--|
enleuesoffr i	-||--|-----⌫|
grantmol es te	----|---⌫--⌫-|
troisfoizme reclost sor la t este	----|---|-|------|--|-|-⌫---|
molti en d urai gra nt	---||--⌫-⌫---|---⌫-|
deboiureestoieasesaese	-|-----|-----|---||--|
liblancmoinemetraitrentfors	-|----|----|-|--------|---|
mesta ntme i	--|--⌫-|--⌫|
batirentlecors	-------|-|---|
opotencese to bastons	|-------|-⌫||------|
quilmemistren ta	-|-|-|-------⌫||
depeus me fi rent telapo rt	-|---|-|--⌫---|--|---⌫-|
q ui l ocmelasserent	-⌫|-⌫-⌫-|-|--------|
enunfosse que	-|-|----|--|
f up usl ent	-⌫|-⌫---⌫--|
p arla coemetraitrentens	-⌫-|-|--|-|--------|--|
etap ressensont	-|--⌫--||-|---|
enortleum orent os te lé	-|--|--||----|--⌫--⌫--|
d epoordui	-⌫|---|--|
estrec reu ez	----|-⌫---⌫-|
moltaiestépar	---|-|----|--|
toigr euez	--|--⌫---|
d i lo cme	|-⌫--⌫|-|
parti agr antpeine	----||--⌫--|----|
genepooie auoi r mal e ine	-|-|----|----⌫||--⌫-⌫--|
enco rmendolent	----⌫||-|-----|
tuitmimenbre	---|-|-----|
moltsuidolan squan moi e n m en b re	---|--|-----⌫|---|--|-⌫|-⌫--⌫-⌫-|
etenleuetantac rocier	-|-||--|---|--⌫-----|
coe oieng elee	--|-|---⌫---|
e tenlaglaceseelee	-⌫|-|-|----|-----|
senlacoeperd reaupartir	--|-|--|----⌫-|-|-----|
ne menpooie iepa rtir	-||-|----|-|--⌫---|
yse n g rind i letuace rte s	---⌫-⌫-⌫--|-⌫|-|-||--⌫---⌫|
quetu ous par	--|-|--|--|
moi ces pertes	--|--|-----|
p arfoi tup aroles a	-⌫-|--|-|-⌫-----||
tefist force	-|---|----|
o tre me surefuscostos	-⌫--|--⌫---|--|-----|
etdepoissonstrop couoitos	-|-|-------|---|-------|
ian en cuidoiesprouauoir	-||-|-------|---|----|
u oi rditlileures	-⌫--⌫|--|-|-----|
d e sauoir	-⌫|-----|
qui tot couoitetrestotpert	--|--|------|------|---|
bi endireenape rt	--⌫-|---|-|---⌫-|
teusquideauoir totasa	---|----|----|--||-|
qui deltotsen	--|--|--||-|
d e soiureet part	-⌫-⌫-----|-|---|
molte sthon isquitantcouoit e	---|-⌫-|---⌫-|--|---|------⌫|
q ueson gai gpertetle ie te	-⌫-|--|---⌫|---|-|-|--⌫-|
desquetulespoissonssentis	-----|-|--|-------|-----|
d i moipo rqoitutalen ti s	-⌫|--|--⌫|--|-||----⌫--⌫|
odousoutroist en	|---|-|----||-|
reuens ises	------⌫---|
m esporescar ni	-⌫-|--|-----⌫-|
teteni ss es	-|----⌫--⌫-|
enf us sest oz car gi és	-|-⌫--⌫--|-⌫-|---⌫--⌫--|
porf olifustan tatargiés	--|-⌫-||--|---⌫|--------|
quantdelu enirt alaisomon dre	----|--|-⌫---||---|-----⌫--|
lors co me nca s	---|--⌫--⌫---⌫|
zz poiagroindre	-|--||-------|
qu a n t ie fu ianuious	--⌫-⌫-⌫|-|--⌫|------|
d atendr e	|------⌫|
sitelaissoias	-|-|------|-|
pois sonsp r e nd re	----⌫---|-⌫-⌫-⌫--⌫-|
t en uintporqoime nblames	|-|---|--|--||-⌫|-----|
unquesde spoisso nsn	-----|--⌫|------⌫-||
enmeniames	-|-------|
r ena rtbien te	-⌫---⌫-|---|-|
ses escu se r	--|----⌫--⌫|
etge ntpa rparole esmuser	-|--⌫-|--⌫|-----|------|
ne porroie	-|------|
les ma usquetumasdizet	--|--⌫-|--|-||-|--|-|
to ztensmas	--⌫|---||-|
t enuporbricon	-⌫--|--|-----|
que ma n ga idunba con	--|--⌫-⌫--⌫||-|--⌫--|
g ra nt talantauoiede	-⌫--⌫-|-----|----|-|
sousmolt b iendecoiure	---|---|-⌫--|-------|
tumedeisquedun	-|-|---|--||-|
ten au oitonfet celerer	|-|--⌫--|-|--|------|
ent agardee st oientliuin	-|-⌫|----|-⌫--⌫----|-|--|
toztens ausoi r	--|---|-|---⌫|
etaumati n	-|-|----⌫|
lam e menasbienaenue rs	-|-⌫|----|---||----⌫-|
tumasch antéde meint	-||-|--⌫----|-|----|
faus uer s	---|---⌫|
renart oras	-----|-|-|
decesaibiene n monrecort	-|-|--|---|-⌫|--|-----|
quetantbousque	--|---|---|--|
si t euantasquetotsans	-|-⌫|-----|--|--|---|
chant eroies bien un conduit	-----⌫-----|---|-|------|
puiscom enc asasigrant	---|---⌫---⌫-||-|----|
que tui tcilde lauileuindrent	--|---⌫|--|-|-|---|-------|
qui agran t merueille	--||----⌫|--------|
leti ndrent	-|--⌫-----|
qu anti oilan oiseuenir	--⌫--||-|-|-⌫---|----|
nusnel medoita mal tenir	--|-||-|---||--|----|
seme m i s aleslideor	-|-|-⌫-⌫|||-------|
car demoriroi	--|-|----|-|
gra nt poor	---⌫-|---|
retenuzi fui pa rzzpoi	------||--|--⌫|-|--|
mesie menuinc au m elz	--|-||-|---|-|-⌫--|
auoirmedurent enpris	----|-|-----|-----|
carmolt uosauoientsospri s	--|---|--|------|------⌫|
sifusbatusamoiqu	||--|----||--|-|
qui m alchace mal li aui ent	--|-⌫-|----|--|-|---⌫--|
renartfetilmolt	-----|--|-|---|
se zdeb ole	--⌫|-|-⌫--|
tu ties iet e zdemeint efol e	-||--|---⌫-⌫|-|-----⌫|---⌫|
renartmoltest demalepa rt	-----|---|--|-|---|--⌫-|
lamete nist upormusart	-|-|--⌫--|-⌫|--|-----|
ou t um efeislacor one	-|-⌫|-⌫|---|-|---⌫--|
de uecaud eco me a pe r sone	|-⌫-|----⌫|--⌫-||--⌫-⌫---|
sigra ntet si ampleet	-|---⌫-|-|-|----|-|
qu etoteoi l at este pelee	--⌫|---|-|-⌫|-⌫---|----|
ne mere meist	-|-|--⌫----|
poi s sus les	---⌫|--|--|
enalasfesant tesmoes	-|---|-----|--|---|
demo i deuoiesmoi nefere	-|--⌫|------|---⌫-|---|
certesmolt	-----|---|
esd e male a fer e	-|-⌫|---|-⌫---⌫|
estma charafe blie	--|-|---|---⌫---|
aillorstec ruisifis	------|-|-⌫--|-|--|
untronconmedo nasdanguil le	-|------|-|--⌫--||------⌫-|
q eusconquis e parta guille	|--|-------⌫|--|-|-----|
por moi esprend reet alecher	--|--|-------⌫-|-|------|
enmeintleum as	-|----|--||-|
fet treb ucher	--|----⌫----|
iedemandai oula t rouas	-|-------|-|-|-⌫----|
por moidecoiurecont ro uas	--|--|-------|----⌫--⌫--|
quecharetirtant en	--|-------|---|-|
abienpetitquil nes	|---|----|-|-||-|
porfo lauoietanttarg ie ́	--|--⌫|----|---|----⌫--⌫|
qa utrem esureere ntc hergié	|-⌫---|-⌫----|---⌫-|-⌫------|
souentsaloientarestan t	-----||------|-------⌫|
de s anguilles	--⌫|--------|
i auoittant	|----|---|
iedemandai	-|-------|
parquelsenblanc e	--|---|--------⌫|
en pousser e nplir ma p a nce	-|-----|-⌫-⌫----|-|-⌫-⌫--|
tumed e isqui lteieterent	-|-|-⌫-⌫-|-|-⌫|-|-------|
elcharetilquant te	-|-------|----|-|
tantmenalas amonestant	---||-|---|---------|
uingt ot audeu a nt	---|-⌫-|-|---⌫-⌫-|
sifissenb lanc ed	-|--|----⌫----⌫||
lors r efui	---|-⌫---|
iebatus si	-|----|-|
etde leu ie rsetd e	-|-|---⌫--⌫-|-|-⌫|
men delt totxx x	|-|---|--|--⌫|
ne st m erueilleseioiennui	|-⌫-|-⌫-------|-||-|----|
qu ant de toi ne mesui	--⌫--|-|--|-|-|--|
enundes pl uslonsiorsd	-|-|--|--⌫-|---|---||
nauroie ie	|-----|-|
pas reconté	--|-------|
le smalsles	--⌫|---|--|
anuis que mas fe t	----|--||-|--⌫|
mes oreesttant menél ip let	--|--|--|---|----|-⌫|-⌫--|
quea corten	--||---|-|
some s uenu	----⌫|---|
sepa rdroiten somestenu	-|--⌫|----|-|----|---|
det oiaurai encoreuenian ce	-|-⌫-|----|-----|------⌫-|
biene na i en	---|-⌫|-⌫|-|
de u mafiance	--⌫|-|-----|
ieteimeneeloiaute	-||-|----|------|
moideloie lte	--|------⌫--|
quant mestordrasqueque	----||--------|--|--|
petitualdr aterenardie	----|-----⌫|-|-------|
renartrespont p arbonconfort	-----|------|-⌫-|--|------|
si re yse ngrinuos auez tort	--⌫-|---⌫----|--|---|---|
uos meblamés	--|-|------|
nesaid eqoi	-|--|-⌫|--|
cil autrebaronsonttuitqoi	--|----|----|---|---|--|
quiuosoent nem ot	--|--|---|-|-⌫-|
t elsiau o sti enentporsot	-⌫--|||-⌫-⌫|--⌫----|--|--|
uostrerai sones tdescouerte	-----|---⌫--|--⌫|---------|
quauezditemen conge ap ert e	-|---|---|---⌫----|--⌫---⌫|
carquitropments	--|--|---|---||
armeen pe rt	---|-|--⌫-|
ahi renart	--|-----|
tongrant ennuito ng rantdesroi	--|----|----|--⌫|-⌫---|-----|
mes seienoi congiedel	--|-||-|-|-----|--|
iaauras labataille	-|----|-|-------|
renartrespont rien ta nt	-----|------|---|--⌫-|
deb ataill esongagetent	-|-⌫------⌫|--|---|---|
ys engrinet l irois lesprent	--⌫-----|-|-⌫|---|--|----|
rena rta pres lesuentendi	----⌫-|-⌫---|-|---|----|
roisbienlentendi	---|---||------|
bie nseuent li baronsan zdote	---⌫|-----|-|----|---⌫|---|
que lab ataillei fiert ote	--|-|-⌫------||---|-⌫--|
neset rena rte sc remir	-|--|----⌫-|-⌫--⌫----|
maruitla bataille arammir	--|--|-|-------|------|
liroisdemanda sesostages	-|---|------|--|------|
quimolt estoi tcortois etsages	--|---|-----⌫|------|-|----|
delsn esapardonés	|--||-||--------|
ysengr inalessuens	------⌫-||--|----|
porlui afetbrunlo rsentrer	--|--||--|---||-⌫-|-----|
tiebertlechatet chantecl er	------|-|---|-|--------⌫-|
coa rtleleureetespin art	---⌫-|-|----|-|-----⌫--|
cels metysengrindesapart	---|--|-------|-|-|---|
renarten rotdes melsbanez	-----|-|--|--|---|----|
queilotasa	--|-|-||-|
part tornez	---|-----|
grinber zetbaucentlesen gler	-------⌫|-|------|-|---⌫---|
quilotfeto s oiasenbler	-|-|-|--||-⌫-|-------|
e tespinartleh ericon	-⌫|-------|-|-⌫-----|
etsegn orbeli nlemoton	-|----⌫-|----⌫|-|----|
cil firen tarenart secors	--|-----⌫||-----|-----|
pesadanbrun	---|--|---|
la ba tailleo ntat ermi n ee	-|--⌫-----|-⌫-|--⌫----⌫-⌫-|
ayyiors s ans	|-|---|-⌫--|
grinbert li aacra ntébien	-------|-||----⌫---|---|
nelifaud ra por nuler ien	-|-|----⌫-|--|---|-⌫--|
querenart ne	--|-----|-|
facec onbat r e	---|-⌫-----⌫-⌫|
porlor go ilysengr in abatre	--||--⌫--⌫-|------⌫-|-----|
li roisadi ttene z uospes	-|---||--⌫|----⌫|--|--|
auosos tels alez im e s	|--|--⌫---|---|--⌫-⌫|
libaron sontuit depar t i	-|----|--|---|-----⌫-⌫|
malementont lech anpparti	-------|--|-|--⌫--|----|
dentrerenartet	|----|-----|-|
renart nie r tp asdetel puissance	-----||--⌫-⌫|-⌫-|-|--|--------|
comeyse ngri nmes safianc e	---|---⌫----⌫|--|-|-----⌫|
auoit renarten e scrimie	----|-----|-|-⌫------|
por c outla	--||--|-|
ba tail le aramie	--⌫----⌫-|-----|
en g igneu zertetcil	--⌫-⌫-----⌫|--|-|--|
s unse nzualoit zzgranzesforz	-⌫-|--⌫-|-----|-|----|-----|
delentredousse	-||--------|-|
setcouri r	--|-----⌫|
etbie nta per por de scourir	-|---⌫|--⌫--|--|--⌫------|
sonconpaigno nquantiluoitese	--|---------⌫|----|-|---|--|
de f er e chosequiliplese	-|-⌫--⌫|----|--|-|----|
ta ntsestentremis delaprendre	--⌫-||--|-------|-||-------|
nelenporroi t	-||-|------⌫|
nusentreprendr e	--|-----------⌫|
tant sotrenart dengins	---|--|-----||-----|
d eluite deia nbe tde tors	-⌫|----|-|--⌫---⌫|-|---|
a insque yse ngrinbail lier	-⌫-----|---⌫----|----⌫---|
le p ui sse	-|-⌫--⌫--|
libruisera oubras	-|-------|-|---|
ysengrine ntentmoltael	-------|-⌫----|---||-|
en pezsegist a sonostel	-|--|-|---||--|----|
c arel droitquilatantsefie	-⌫-|-|----|-|-||---|-|--|
qu e renarten son	--⌫|-----|-|--|
cuer desfi e	---|-----⌫|
seil le potasp oinzb aillier	-|-|-|--|-|-⌫---|-⌫------|
formentle cuidetra uel lier	------|-|----|---⌫---⌫---|
moltdes ireq ueli iorzuiegne	---|---⌫--|-⌫-|-|---|-----|
queen sabatailleletieng ne	--|-|-|-------|-|-----⌫-|
moltlidespl est ens onc orage	---|-|-----⌫--|-|-⌫-|-⌫----|
batai l le tant li targe	-----⌫-⌫-|---|-|----|
ianeq uide mesueoir	-|-|-⌫---|--|----|
qu e elesoittroplidemore	--⌫|--|---|---|-|-----|
renar t refuenmolt grant	-----⌫|---|-|---|----|
darm esc onq uerre	|---⌫-|-⌫---⌫----|
lasem ein e	-|---⌫---⌫|
etysengrin totensement	-|-------|--|-------|
reporch ascearmesbelement	-------⌫---|----|-------|
engrant p orc haz estde lui	-|----|-⌫---⌫--|--|-|--|
e tenpo inede l aprester	-⌫|-|--⌫--|-||-------|
son e scues au trea rmeur e	--|-⌫--|||--⌫--|-⌫-----⌫|
quisee t afoutr eur e	----|-⌫|------⌫---⌫|
chaus ces ianbelsotbienfet es	-----⌫--|------|-|---|---⌫-|
queil aen se zianbes traites	--|-||-|--⌫|-----|------|
sonescu esuermeulstrestoz	--|---|-|-------|------|
etlacoteroge desoz	-|-|---|---|----|
basto ndepereretbienfet	-----⌫|-|----|-|---|--|
arme ́s auior	----⌫-|-|--|
r enar tquime i ntaescarnis	-⌫----⌫|--|--⌫-⌫-||-------|
nerestoitm iepizgarniz	-|------|-⌫-|--|-----|
ases auoitdebue ns amis	---|----|-|---⌫-|---|
se sonten tr emis	-|---|--⌫--⌫---|
es curoont a	--⌫-|----||
s amane re	-⌫|----⌫-|
etco mandequelen li	-|--⌫----|--|--|-|
u nlen ont	-⌫|--|--|
quisquifutotganes	---|--|-|--|----|
ensaco ten otpasyy	-|-|--⌫-||-|--|-|
moltf ubienfeteet aiese	---|-⌫|---|---|-|----|
noutch auce noutganboise	|--|--⌫---||--|-------|
unbasto n otdun aubespine	-|-----⌫|-||-|--------|
quim o l test oitbonsen	--|-⌫-⌫-⌫|---⌫--|---|-|
enl ui fu moltb ien	-|-⌫-|-|---|-⌫--|
decoroiezfubien liez	-|------|-|---|---|
deche f en autre et iusquelfor fet	-|---⌫|-|----|-|----|-|---⌫--|
einsia rmésa	----|-⌫----||
lacor t uet	-|---⌫|--|
ysen grin seniert iatornés	----⌫---||-|---|-|------|
quimoltestoit bi enat orn és	--|---|-----|--⌫-|--⌫---⌫--|
enla c ortest	-|-|-⌫--|--|
uenurenart	---|-----|
etyse n grindela utrepart	-|---⌫-⌫---|-||-⌫---|---|
furent ensenbl e	-----|-------⌫|
cha sc unsadit	---⌫--⌫--||--|
cequelisenble	-|--|-|-----|
ren artnef upas	---⌫--|-|-⌫|--|
hautfuro ingniés etbientondus	---|-|--⌫-------|-|---|-----|
etcoletb arbese	-|--|-|-⌫---|-|
despitdesonconpere	-----|-|--|------|
ysengrin lotengrant despit	-------||-|-|----|-----|
et sa fo rche pr oisoitpetit	-|-|--⌫---|--⌫-----|----|
on cni deig naost e r	--⌫|||----⌫-|---⌫-⌫|
ia fuss entensenble siuo il	-|----⌫--|-------|-|--⌫-|
moltdesi re qa smains le	---|----⌫-||-⌫|----|-|
ia nequi de	-|-|---⌫-|
q atansi uieng ne	||---||-----⌫-|
meseinzqueletiegneas	--|------|-|-----|-|
seraplusmaladesques ei ns	---|---|------|--|-⌫--⌫-|
he rmelinefu	--⌫------|-|
pord an ren art et enferor	--|-⌫-|---⌫--|-|-|----|
et perchehaie et malebra nce	-|---------|-|-------⌫--|
moltpar estoit lada mefrance	---|--|-----|-|--⌫-|-----|
en crois sestenten sat esner e	-|----||-----|-|-|-⌫-----⌫|
porren artf et	--|---⌫--|-⌫-|
dignepro iere	----|---⌫---|
a damledeprie et aore	|------|---|-|---|
querenart gar de	--|-----|---⌫-|
etdemalengi nlescremiss e	-|-|--|----⌫||---------⌫|
bataillene	-------|-|
sidoi filplorent en	-|--|--|------|-|
chascun sdouzfesoitsorison	-------⌫||--|-----||-----|
por lorpere quet antl es	--|--|---|--|-⌫--|-⌫-|
quantilles	----|-|--|
uoitbausfilzles	---|---|---|--|
hersent priepor son segnor	------|---|--|--|-----|
que deusl enfacetelonor	--|---||-|---|--|---|
queiadebat ai llenise	--|-|-|---⌫--⌫--||--|
etque renartueintrel epuisse	-|--|-----|------|-⌫|-----|
fistla chose	---|-|----|
ternere ouertenclose	------|-|--|------|
iaparluin esen fu	-|--|--|-⌫||-|-|
conpleinte	---------|
mesys engrin qui afetme in te	--|--⌫-----|--||--|--⌫--⌫-|
l enfistconpleind re	|-|---|---------⌫-|
cel i poise	-|-⌫|----|
mol tae nluifra ncheborgoise	---⌫||-⌫|--|---⌫---|-------|
tuitsontacort et	---|---||---|-|
po u reetriche	--⌫-⌫-|-|----|
yseng rin metraen la briche	-----⌫--|----|-|-|-----|
renartsil pot	-----||-|--|
p arsab ataille	-⌫-|-|-⌫------|
ualdrasi s	-----|--⌫|
enginsmaaille	-----|------|
quant noblesuitsag en t ue nu e	----|-----|--|-|-⌫--⌫|--⌫--⌫|
p arquilabataille erttenue	-⌫-|--|-|-------|--|----|
b richemerfetauantuenir	-⌫-------|--|----|----|
po rrecorderetretenir	--⌫|-------|-|------|
leiugem ent delabataille	-|-----⌫--|-|-|-------|
etprieque parl e drot	-|---|--|--|-⌫|---|
bri chemerest uenus auant	---⌫-----|--|----|----|
etdit qu ilfera sonc omant	-|--|-|-|---|--|-⌫----|
as eiatret troisdesbar ons	|-⌫-|----|----|--|---⌫--|
quim oltes toientde	--|-⌫--|--⌫-----|-|
gra nsno ns	---⌫-|--⌫-|
liparzestoi tlipremiers	-----|-----⌫|-|-------|
q uemolt est oitestoz et	-⌫-|---|---⌫--|----|-|
etba ucent q u iagentlecors	-|--⌫----|-⌫-⌫||---|-|---|
et me sireb ruianzl itors	-|-|---|-⌫-----|-⌫|---|
sontauant uen u	---|----|---⌫|
por les plussa gessontte nu	--|--|---|--⌫--|---|--⌫-|
quiceliorfu ssent enla p la ce	--|--|--|--⌫----|-|-|-⌫--⌫-|
celsd ous que	---||--|--|
por un g rantiugement	--|-|-⌫---|-------|
etporzzgrantfes s oste ni r	-|--|-|----|--|-⌫----⌫--⌫|
cilquatreuont a unconseil	--|-----|---||-|------|
distbrichemersie memeruei l	---|---------|-|-|------⌫|
qu e rena rtossast ce penser	--⌫|----⌫-|-----|-|-----|
loimesencuser	|----|------|
ar ooneletatiebe rt	|-⌫----|-||-----⌫-|
l o rs quemoltnos	|-⌫-|--|---|--|
d esautresclam ors i atantes	-⌫-|-----|----⌫--|||-----|
queiene soiadirequant es	--|-|-|--||---|-----⌫-|
pinte seplei ntett iecelins	----|-|----⌫-|-|-⌫-------|
tot cepristsorsoi ys engr ins	--|-|----|--|--|--⌫----⌫--|
po rtotc o ulsa done ́	--⌫|--|-⌫-⌫--||----⌫|
etsi enadoné	-|-|-||----|
queilconoistre	--|-|--------|
zzior li face	-|--|-|---|
seillenie enn u le place	-|-|-|--|-|-⌫-⌫-|----|
segn or squipoustapesier	----⌫--⌫|--|----|------|
le mal osteret	-|--|----|-|
abe ssi er	---⌫---⌫-|
cef u stgranssen sce mes tauis	-|-⌫-⌫-|----|---⌫|-||--⌫|---|
eiie bien dit queuosest	-|-|---|--|--|--|--|
baucentrespontbienaués dit	------|------|---|----|--|
tuitl otro ient sanz contredi t	---||----⌫---|---|--------⌫|
tuitq uatres ontuenuauroi	---|-⌫----|-⌫--|---|-|--|
si li dienttoten	-|-|----|--|-|
sir euostre b aronloassent	---⌫|-----|-⌫---|-------|
que c ild uib ar on sacor dasse nt	--|-⌫-|-⌫-|-⌫--⌫-||----⌫-----⌫-|
sauuet anorett aquerele	----||---|-|-⌫|------|
molt tenisson la pes abele	---|-------|-|--||---|
molt plesta uroi c equilont dit	---|----|-⌫|--|-⌫|-|-|--|--|
iaparluine	-|--|--|-|
serontdesdit	-----|-----|
seignor f etilorenpa rlez	------|-⌫-|-|-|-|--⌫---|
ysen grinpremierapel ez	----⌫---|------|----⌫-|
detotlaquereleen	-|--|-|------|-|
enapartient	-|--------|
forss olem entdedroittenir	---|-⌫----⌫--|-|----|----|
dels orplus uose nles	--|-⌫-----|--|-⌫|--|
m oinepoise	-⌫-|-|----|
seils acordent	-|-||-------|
ne uoilqueparmoi sed ecor dent	-|---|--|--|--|-|-⌫----⌫---|
melseinzlapes d ou lz	---|---|-|--||--⌫-|
quelaquerre	--|-|-----|
se l a poe ́sentre	-|-⌫|---⌫-|----|
elsconquer r e	--|-------⌫-⌫|
quantbrich e mer la entendu	----|-----⌫-⌫--|||------|
tornezsen est colestendu	-----||-|--|--|------|
aysengri ndisten loreil le	|-------⌫|---|-||-----⌫-|
rois formentsemerueille	---|------|-|--------|
d ouzpezmetre	-⌫--|--|----|
donernepor	----|-|--|
fac e lebienpreg n edroi ture	---⌫|-|---|----⌫-⌫|----⌫---|
d eren artpor	-⌫|---⌫--|--|
la forfetur e	-|--------⌫|
etpo rce quesorelui	-|--⌫|-|--|---|--|
quea sa feme forcefist	--||-|---|----|---|
dist ysengrin n en p arléspas	---|-------||-|-⌫-----|--|
qu en mardeenestlepas	-|-||---|---------|
queie alui prendr ea cor de	--|-||--|------⌫|-⌫---⌫-|
ne uoilqautre	-|---||----|
foissi amor de	---|||----⌫-|
honte a s onconpere	----||-⌫-|------|
nea p el gesi rsa comere	-||-⌫--⌫----⌫|-|-----|
ieuerrai bienq ui m efetdr oit	-|-----|---|-⌫-|-⌫|--|--⌫--|
brichemersdist	---------|---|
que il uoudroit	--|-|-------|
quelach ose	--|-|--⌫--|
si dedu ite ets iatornee	-|----⌫--|-|-⌫|------|
queentr e lsdouz fusentami s	--|---|-⌫-|---|-----|---⌫|
letest qu ilsoientxxx	--|--|-|-|-----|--|
siq u echascun	---⌫-⌫|------|
sondroitoust	--|----|---|
torné nelifu st	-----|-|-|--⌫-|
distysengrin iadeu	---|-------|-|--|
pesn eacordeface	--|-⌫|-----|---|
de siqu enuoieleplusf ort	--⌫---|-|---|-|---|-⌫--|
etsacheliqueusenatort	-|----|-|----|-||---|
porraten i r poriure	----|---⌫-⌫|--|---|
s eielenlespartirdel iu re	-⌫|-||-|--|-----|---⌫--⌫-|
distes loroietson bar nage	-----|-|--|-|--|---⌫---|
que ce sachésetfol et	--|-|------|-|--|-|
q uep o rnoientlapes	-⌫-|-⌫-⌫|-----|-|--|
la desielchamp	-|---|-|----|
fetemi ert	---||-⌫--|
chascu nsd iracequ il uoudra	------⌫-|-⌫--|-|-|-|-----|
ueronsquimeusuo ud ra	-----|--|---|--⌫--⌫-|
dit esauro i qued roitmetie gne	---⌫-|-|--⌫|--|-⌫---|-|---⌫--|
lab atailleai m	-|-⌫------|--⌫|
co mentquil uegne	--⌫-----|-|----|
quantbr unotenla fin	----|--⌫-|-|-|-|--|
aurapesuer sisengrin	---|--|---⌫|-------|
auroiadite celmerueille	-|--||---|--|--------|
sire li reno uele	|--|-|----⌫---|
sire fait il	---|---|-|
amoi ente nt	|--|----⌫-|
ysengrin sabata ille atent	-------|-|----⌫---|----|
quinata lantd eferepes	--|||--⌫---|-⌫|---|--|
honis soit quienfe ra mes	----|---|--|-|--⌫-|--|
nule acorde se	---|-----|-|
lecham pnon	-|----⌫|--|
lene ntendralunabricon	--|-⌫|-----||-||-----|
or es tli plet moltenpi riés	-|--⌫|-|---|---|----⌫----|
carb richem ersest moltirie ́s	--|-⌫------⌫--|--|---|----⌫-|
delor goil que isengrinl i dist	-||--⌫---|--|-------|-⌫|---|
qu antde pesferelescondist	--⌫--|-|--|---||--------|
d ist briche merseuos uolé s	-⌫--|------⌫--|-|--|-----⌫|
droitf eresi c on	----|-⌫--|-|-⌫-|
u os solés	-⌫-|-----|
tenésladr oiteuoi e	-----|-|--⌫---|---⌫|
ceest leme uzqueie i uoie	-|--|-|--⌫-|--|-||---|
qu amedouslesme ton slafor s	-|------|--|--⌫---⌫|-|---⌫|
p en stchasc undeg arder	-⌫--⌫-|-----⌫-|-|-⌫----|
qua n tilserontenm i	---⌫-⌫|-|-----|---⌫|
quimeuzfereporr asiface	--|---|---|----⌫|-|---|
cedistli rois parseintricher	-|---|-|---|--|----|-----|
poruer teuososaficher	--|---⌫-|--|-|------|
nenpren droipa st otl	|-|----⌫---|--⌫|-⌫-||
