mesuidediret euz	-|--|-|---|-⌫--|
blasmed euilanie	-----|-⌫|------|
a quatrer anpon es ram panz	|-----|-⌫-----⌫-|---⌫---|
a unelangue a cinq trenchanz	|--|-----||---|--------|
quil escu porprent	--||---|-------|
e tsormo nte	-⌫|-----⌫--|
lesc uau mi r eordehonte	|---⌫|-|--⌫-⌫--|-|----|
aulionpo rtre td e manaces	-|---|--⌫----⌫|-⌫|------|
ite usescuzentotesplaces	---⌫-|----|-|----|-----|
tel colgen	--|--|-||
endi plu s	-|-|---⌫|
negenecuitpa s	-|-|-|---|--⌫|
quil en soitnus	-|-|-|---|--|
qui tel escudoieporter	--|--|---|---|-----|
bien doitchascuns oncuer	---|---|------|-⌫-|---|
quasoncoltele scunepende	-||--|--|--|-⌫--|-|----|
d oudeustozcheualier sdesfe nde	|-|---|--|---------⌫|-----⌫--|
sep me n obligepas	---⌫-||---|-|--|
quareleestdetelconpas	---|--|--|-|--|-----|
q uatoz cortoi sparsamestrie	-⌫||--|------⌫|--|-|------|
