misir e noblelilyons	-|---⌫|----|-|----|
detybe rt etde	-|----⌫-|-|-|
l amesen g e	-⌫|-----⌫-⌫|
m e scondibien	|-⌫-----|---|
commen tquilprenge	------⌫--|-|-----|
et ducorbel etdecoup ee	-|-|-----|-|-|----⌫-|
que parmoi nefu escoupee	--|--|--|-|-|-------|
neat ybert	-||-⌫----|
n efis damage	-⌫|--|-----|
neau corbeldeson	-|-|-----|-|--|
brun lioursquise	---|-|---|--|-|
res tcla mez	---⌫|---⌫--|
certes atort ens ui ensui	-----||---|-|-⌫-|-|--|
perdiparmoisa pel	----|--|--|-|--|
nenefis malaroenel	-|-|--|--||-----|
moncompereysengrin	--|------|-------|
las mau seruiceai	--|--|------|-|
touzioursfa i t	---|----|--⌫-⌫|
pourbien faire	---|---|----|
alen lecol frait	|--|-|--|----|
chascunles aitnia	------|-|-⌫--||||
quetelnepechequiencourt	--|--|-|----|--|------|
malegr acem adie us donne e	---|--⌫--|||---⌫-|-----⌫|
estma destinee	--|-|-------|
que ia sibiennesauraifaire	--|-|-|---|-|-----|----|
a co ntrai re	|--⌫-----⌫-|
certesm o ltai aceu lsbien	-----|-⌫-⌫-|-||---⌫-|---|
quiormo ntpo urchacié ceplait	--|-||-⌫-|--⌫--------|-|----|
uousmaui ez	---||---⌫-|
huifait s e mondre	--|---|-⌫-⌫-----|
touz pres derespondre	---|---|-|--------|
auiugementd euostr ecourt	-|-------|-⌫|-----⌫|----|
acem ot ysengrinacourt	|-|-⌫-|-------|-----|
deuantleroi e ntrel esautres	-----|-|--|-⌫---|-⌫-|-----|
etroen ellifeu suia utres	-|----⌫-|-|---⌫|---⌫----|
lamesengetybers	-|------|-----|
etbrunquiestde grantpourchaz	-|---|--|--|-|----|-------|
dameroussetela geline	---|-------|-|-----|
et dame pinte sauoisine	-|---|----|-|------|
deu a ntle r o ileur pla inte	---⌫-⌫-|-|-⌫-⌫|---|---⌫---|
niamestierparolexx x	|||------|-----|--⌫|
renartsesei gne	-----|-|---⌫--|
a mai nesclenche	|---⌫|--------|
bienuoiqu e ni ame stier planche	---|--|--⌫||||--⌫----|------|
orliconu ient gra n t re s onrendr e	-|-|----⌫---|---⌫-⌫|--⌫-⌫-|-----⌫|
siapaorcon nel e p ende	-||---||-|-|-⌫|-⌫---|
ore strenartenmausliens	-|-⌫-|-----|-|---|----|
moltsera bonsre ct orie ns	---|---|---|--⌫--⌫----⌫-|
sanz pertesen eschape	---|----||-|------|
sanzchaper on sanztailli erchape	---|------⌫-|---|------⌫-|----|
deto utesparssot encuser	-|--⌫---|---||-|------|
qu apainesepuetesc user	-||----|-|---|---⌫---|
cedit noblesqu euous est uis	-|--|-----|--⌫|---|--|--|
renartrespont	-----|------|
ieuouspleuis	-|---|-----|
queenmeffait nemerecor t	--|-|------|-|-|-----⌫|
queen uer seulz eusse	--|--⌫---⌫|---|----|
ildiront cequei l uoudront	-|-----|-|--|-⌫|-------|
ia pource riennemetoud ront	-|---|-|---|-|-|----⌫---|
s i luo usplaistquim essiresestes	|-⌫|--⌫-|-----|--|-⌫-|----|----|
mo lts ui surditdepluseurs best es	--⌫-|-⌫-|-----|-|-------|----⌫-|
ai portégrant honor	-|-----|----|----|
ma fai tgra ntdeshonor	||---⌫|---⌫-|-------|
ie s aiquelit orsnest pas	-|-⌫-|--|-|-⌫--||--|--|
toutesuoies uaintralibiens	-----|----|------|-|----|
nonquesd erienn ementremis	|-----|-⌫|---|-⌫||-------|
pou r quoi	---⌫|---|
iedeusseestreane mi s	-|-----|----|---⌫--⌫|
dantyseng rinmonchiercompere	---|-----⌫--|--|----|------|
parl amede	--||--|-|
asafammen equisfol ie	|-|----|-⌫|---|---⌫-|
molta ssaillie	---|-⌫-------|
tout ensui ie presdudeffendre	---|-|--|-|---|-|--------|
se u o u s m enuoulezentrepre ndre	-|-⌫-⌫-⌫||-|-----|--------⌫---|
siu ous dibien	-|-⌫--|-|---|
sanzaut re	---|---⌫-|
ou parioiseo u p arbataille	-|--|----|-⌫|-⌫-|-------|
ysengrinestsailliz enplace	-------|--|------|-|----|
prie leroiq uil	---|-|--|-⌫|-|
neldesplace	-||-------|
sesadroit ureueultpr ou uer	-|-|-----⌫--|----|--⌫--⌫--|
touts an zmencongecontrouue r	---|-⌫--⌫|-------|---------⌫|
nobl esc omman d equeildie	----⌫-|-⌫-----⌫-⌫|--|-|--|
celuiq uiledesd ie	----|-⌫-|-|----⌫-|
renartdi stysen grinentent	-----|--⌫-|----⌫---|-----|
ie suic ilzq uison	-|--|-⌫--|-⌫-|--|
droitatent	----|----|
d es granzanuizquetu ma s faiz	-⌫-|----|----|--|-||-⌫|---|
quenous auon sceensretraiz	--|---|----⌫|----|------|
n emesont encoreamendé	-⌫|-|---|-----|------|
sil auoitli	-||----|-|
roisco m mandé	---|--⌫-⌫-----|
m oltauezfaitbestespener	-⌫--|---|---|-----|----|
quacourt teu ouloit	-||----|-|-⌫-----|
et desionese tdes	-|--|----|-⌫|--|
enassez pourfol tenuz	-|----|---|--|----|
poure ul s qui detoi cla mour font	---|-⌫--⌫|--|-|--|---⌫---|---|
et qui ciap re stoi sestont	-|--|-|--⌫--⌫|--||-----|
pour moiq u etuas	---|--|-⌫-⌫|-|-|
si h onn iz	-|-⌫---⌫-|
ueilquecilzplaissoithuifeni z	---|--|---|----|---|--|----⌫|
parlauer ite men	--|-|---⌫--||-|
ia derienneuous mentirai	-|-|---|-|---|-------|
en dietoutle uoir	-|--|---|-|---|
seielepui sapp er ceuoir	-|-|-|---⌫|---⌫--⌫-----|
ienai mestie rdetrair ealonge	-||-|------⌫|-|-----⌫|-----|
nedeco n trouuer c imenconge	-|-|--⌫-⌫------|-⌫|-------|
si quegarans t en trouuerons	--⌫--|-----||-|---------|
de traisonteprouu erons	-|------|-|-----⌫----|
etmou sterrai	-|---⌫------|
tou tpar rais o n	---⌫|--|----⌫-⌫|
quefelonieettra ison	--|------|-|---⌫---|
entoiests e n uoie l	-|--|--||-⌫|----⌫|
raisondir e	-----|---⌫|
en uouloies	-|-------|
renartrespontbien dis tauez	-----|------|---|---⌫|---|
or ditescomuo uslesau ez	-|----|--|--⌫-|-|---⌫-|
distyse ngri n ie l uousdirai	---|---⌫----⌫|-||---|----|
mesc omp eresestesen	--|-⌫---⌫---|----|-|
plu sdecentfoisq ueie	---⌫|-|---|---|-⌫-|-|
mainteb esteauez faitdolente	-----|-⌫---|---|---|------|
bienton pluseursapperc eus	---||-|-------|------⌫--|
qu e maintefoism a deceus	--⌫|-----|---|||-----|
courtnefaut	----|-|---|
uousenestesuenusausa ut	---|-|----|----|-|--⌫-|
paruousmalen durez	--|---|--|--⌫----|
maintefoist enes pariur ez	-----|---||-|-|------⌫-|
dem afammem	-|-⌫|----||
asmalb ailliz	-|----⌫-----|
c e distr enarttua sfailli	-⌫|---|-⌫----|-|-⌫|-----|
onquesa tadamenefis	-----||-|---|-|--|
ri enn emespri s	--⌫-|-⌫|------⌫|
distysengrinc ertesrenart	---|-------|-⌫----|-----|
iel mousterrai	-||---------|
demoiepar t	-|---|---⌫|
forc e lasaill istes	----⌫||------⌫----|
autroutrouuerpasne	-|---|------|--|-|
faillist es	--------⌫-|
uoiant moiouuousisse ouno n	-----|--|-|-------|-|--⌫|
libatistesuousle	-|-------|---|-|
moltuousuibouterete mpaindre	---|---|-|-----|-|-⌫-------|
etdurement laqueue es tra indre	-|-------|-|----|--⌫---⌫----|
ile c la t en is tes pour sote	---⌫|-|-⌫--⌫--⌫--|---|---|
ne sembloitpas	-|-------|--|
gieudepel ote	---|-|---⌫--|
deceneuouspoezdeffend re	-|-|-|---|---|-------⌫-|
queneuousenueisse	--|-|---|-|-----|
descendr e	--------⌫|
et uosbr aies su s	-|--|--⌫---|--⌫|
hont edu co nter	----⌫|-|--⌫---|
maisseiece lerle	---|-|-|--⌫--|-|
anulluidire	|-----|---|
cedist renartiadieusneplace	-|---|-----|-|----|-|----|
l ecreatourq ue tantme	-⌫|-------|-⌫-|---|-|
quelachosesoits icourue	--|-|----|---|-⌫|-----|
quema co mmer eaiecroissu e	--|-|--⌫----⌫|--|-------⌫|
plusbas quelueilsicomuous dite s	---|--|--||---|-|--|---|----⌫|
d ontser oie pireque rit es	-⌫--|---⌫--|---|-|-⌫---⌫-|
orpuisiebien defisauoi r	-|---|-|---|-|-|-----⌫|
que uou sn e sauezhont eauoi r	--|---⌫|-⌫|----|----⌫|----⌫|
aue zam enteu	---⌫|--⌫----|
dontli a utresse sontte u	---|-|-⌫----|-|---|--⌫|
a rien nen de ussieztenir conte	|---||-|--⌫-----|----|----|
quealui ne tournast a	--||--|-|-------||
maisbiena ueztel cho se aprise	---|---|-⌫--|--|---⌫-|-----|
bienauez honte arieremise	---|---|----|-----|---|
bienauezuergoigneadossee	---|---|--------|------|
quihoni ssiezuostree spo usee	--|----⌫----|-----|-⌫---⌫---|
le monteretlesouffaschier	-|-----|-|-|-----------|
luih o r ssa chier	--|-⌫-⌫-⌫|--⌫----|
empaindreetsachiermeu eiste s	--------|-|------|-|-⌫-----⌫|
bien saiqu emaly ente n diste s	---|--|--⌫|--||----⌫-⌫-----⌫|
nel fis se pourbie nnon	-||--|-|---|---⌫|--|
ormenrendezm algue rredon	-||-|-----|-⌫-|---⌫-----|
i e l fispourbienetpourfranchis e	-⌫||--|---|---|-|---|--------⌫|
oren ai perdu	-|-|-|----|
monseruise	--|------|
quefoulx fu iquantmen	--|----|--⌫|----||-|
ore nestes	-|-⌫|----|
mesanem is	--|----⌫-|
renart detanttepue s uanter	-----|-|---|-|---⌫|-----|
bien scezaus	---|---|--|
f oux me sse	-⌫--|--⌫--|
ceestbienchoseco n gneue	-|--|---|----|--⌫-⌫----|
maintehont easapperceue	-----|----⌫|-|--------|
tues de t eleaucto rite	-|-|-|-⌫--|-----⌫---|
a poin t deu erite	|----⌫|-|-⌫----|
tantme c onse illa s enl oreille	---|-|-⌫----⌫----⌫|-||------|
quentrerme	-|-----|-|
f eisenl aseille	-⌫--|-|-⌫|-----|
etaualerou	-|-----|-|
puisdedens	---|-----|
la malegouteaieze s	-|---|----|---|-⌫|
a ta ntebesteau ez faithonte	|--⌫--|----|--⌫-|---|----|
nestnulzquien	|--|---|--|-|
sache leconte	----|-|----|
pou rroie estre	---⌫----|----|
leens enparadister restre	----|-|------|---⌫-----|
etquiliauoitgaigneries	-|-|-||----|---------|
etpla inse tb oisetpraieri es	-|---⌫--|-⌫|-⌫--|-|-------⌫-|
ne pour roitcel le	-|----⌫---|---⌫-|
rien rouuer	---|-----|
connepeust illectrou uer	|-|-|----|----|----⌫--|
etquiu o udroit men gier	-|--|-⌫-⌫-----|---⌫---|
outroitesousaumons	-|------|-|------|
tanten aroitcom	---|-|----|--|
l ipla iroi t	-⌫|---⌫----⌫|
talentleselliroit	-----|--|-------|
de touz iertlilieusg arni z	-|---|---|-|----|-⌫----⌫|
a insi f uparto iescharniz	-⌫---|-⌫|--|--⌫|--------|
iecudoiequede i ssesuoir	-|-----|--|--⌫-⌫---|---|
m ais i e nefismiesauoir	-⌫--|-⌫|-|--|--|-----|
mol tmeng ingnas	---⌫||---⌫-----|
ouse elentr aisa nzdem eure	-|--⌫-|----⌫-|--⌫-|---⌫---|
etlacorde s i	-|-|----|||
desto rtaille	-----⌫------|
tuieres ia enlautreseille	-|----|-|-||----|-----|
t r a itrescuuer t losengier	-⌫-⌫-⌫----|-----⌫|--------|
i erepesan s et tulegiers	|--|-----⌫|-|-|------|
quant enm ile	----|---⌫|-|
puizmencontras	---||--------|
i aualoi eettum on t as	|------⌫|-|-|-⌫--⌫-⌫-|
d ontfumes cuersiriezettai ns	-⌫--|-|--|----|----|-|---⌫-|
moltesd e felonnieplains	---|-|-⌫|-------|-----|
ied emandai ou tualoies	-|-⌫------|-|-|-----|
tumed e istuen issoies	-|-|-⌫-⌫-|-|-|------|
c est la coustumequeonitient	|--|-|-------|--|-||----|
quant liunsua	----|-|--|-|
lia utreu ie nt	-|-⌫---|-⌫--⌫-|
d enf er estoiesesch apez	|---⌫-|------|----⌫---|
o rreserez ia	-⌫|------|-|
illecrem ainst ut	----|---⌫---|-⌫||
tel tr aisonde mo ifeis	--|--⌫----|-|--⌫|---|
enleuerefui gr a ntmoleste	-||--|----|--⌫-⌫-|------|
trois f oisme	----|-⌫--|-|
reclotsuslateste	-----|--|-|----|
mo lt iendurai grant mesais e	--⌫-||------|----|------⌫|
deb oi ur eestoieauquesaise	-|-⌫--⌫--⌫|-----|-----|---|
li blanc mo inemetraistrenthors	-|----|--⌫--|-|---------|---|
mais tantm e	---|---|-⌫|
bat irentledos	---⌫----|-|--|
apotences et abaston s	|-------|-||------⌫|
quil memistrent auentrillon s	-|-|-|-------||----------⌫|
de p ieusmefi ren ttel	-|-⌫---|-|--⌫---⌫|--|
que i lmelesserent	--|-⌫|-|--------|
pou rmo r t	---⌫|--⌫-⌫|
enune fosse memistrent ens	-|--|----|-|-------|--|
quidurementestoit	--|-------|-----|
etapr essensont retourné	-|---⌫-||-|---|--------|
en or t lieumo renthostel é	-|--⌫|---||-⌫---|------⌫-|
depueu r doi est r e	-|----⌫|--|---⌫-⌫|
m oltaiesté par	-⌫--|-|----|--|
toi greuez	--|-----|
d ilec me pa rtia	|---|-|--⌫--||
grant paine	----|----|
ienepooi e auo irmala in e	-|-|----⌫|---⌫-||---⌫--⌫|
e ncorem e nd uelenttui tl imembre	-⌫----||-⌫|-⌫-----|---⌫|-⌫|-----|
mo ltsui d olentquant moi en membre	--⌫-|--|-⌫----|----|--|-|-----|
tumefeis ale rpesc hier	-|-|---|---⌫|----⌫---|
l euetant acrochier	|--|---|--------|
to u te maqueueoiengelee	--⌫-⌫-|-|----|-|------|
ete nlaglace	-|-⌫|-|----|
sanslaqueuep erdr eaupartir	---|-|----|-⌫----⌫|-|-----|
n emepooi e	-⌫|-|----⌫|
ysengr indisl etu acer tes	------⌫-|--|-⌫|-||---⌫--|
que tu euspar mo i tel zpertes	--|-|--|--|--⌫|---⌫|-----|
parfoit uparolesaforce	--|--|-⌫|------||----|
talecher ietefistforce	-|------⌫-|-|---|----|
outre raison fusenui ous	----|-----|--|----⌫--|
etdes poissonst ropcon uoitous	-|--|-------|-⌫--|---⌫------|
ian e n cudoies preuauoir	-||-⌫|------|---|----|
uoir distli uilains etsau oir	---|---|-|------|-|---⌫--|
q uequitoutconuoitetout	-⌫-|--|---|-------|---|
ce t o s ie bien	-||-⌫|-|---|
direenappert	---|-|-----|
tu cu doies tretout auoir	-|--⌫----|------|----|
tout te seura s pour	---|-|-----⌫|---|
m oltest ho nnizqui	-⌫--|--|--⌫---|--|
toutconuoi te	---|------⌫-|
qui songaaing	--|--|-----|
pert etaoite	---|-|----|
tules poissons sentis	-|--|-------|-----|
d i moipourquo ituta lenti s	-⌫|--|---|---⌫|-||-⌫-----⌫|
oyyo u oyytenuen isses	|-|-⌫||-||-|---⌫----|
mais pourescharn iztentenisses	---|---|-------⌫-||-|-------|
n en fussesto uzchar giez	|-|-----|--⌫-|----⌫---|
quantdeuenirtalai semo nd re	----|-|----||---|----⌫--⌫-|
lorsco mmenc aszzpoi a g ron dre	---|--⌫-----⌫-|-|--||-⌫---⌫--|
quant i efuianuiezd atendre	----|-⌫|--|-----||------|
sitelaissaiauspoissonspren dre	-|-|------|--|-------|----⌫--|
uintpo ur quoim enblasmes	---|--⌫-|---||-|------|
onquesdespoissons nemenia smes	-----|--|-------|-|-----⌫---|
renar tbientescez	-----⌫|---|-|---|
etgentpar paroleamu ser	-|---|--|-----|---⌫--|
nepourraiehuiauoirretra it	-|-------|--|----|-----⌫-|
lesmausque	--|---|--|
tu m asdize tfait	-||-|--|-⌫|---|
tou z temps m	---⌫|----||
aten u pour	|---⌫|---|
zziou rquemeniaid unbacon	-|---⌫|--|-----||-|----|
grant t alent auroiede boi ure	----|-⌫----|-----|-|---⌫--|
deustubiendesoiure	---|-|---|-------|
tume deisque d un	-|-|---|--||-|
te na uoit	|-⌫|-⌫---|
on fait ce lerier	-|---|--⌫-----|
en tagardee stoit	-|-|----|-⌫----|
touztem ps	---|---⌫-|
a us oirset	-⌫|-⌫---|-|
aus mat ins	--|---⌫--|
la me menasdant	-|-|----|---|
serscuuers	---|-----|
tumaschantédemain t faus	-||-|------|-|----⌫|---|
ceditrenartorastutort	-|--|-----|-|-|-|---|
dece suibien en	-|-|--|---|-|
mon re co rt	--|--⌫--⌫-|
qu e tan tbeus q ue touzfus yures	--⌫|---⌫|---|-⌫-|---|--|----|
tuteuantasquetoutsanzliures	-|-|-----|--|---|---|-----|
chanteroiesbienzzcondu it	----------|---|-|-----⌫-|
puiscommencas asigrant bruit	---|--------||-|----|----|
quetuitcil	--|---|--|
dela ui lleuindrent	-|-|--⌫--|-------|
qu iag rant merueilleletindrent	--⌫||-⌫---|--------|-|-------|
quantie ui la	----|-|-|-|
no iseuen ir	--⌫--|---⌫-|
en doitpou rf ol tenir	-|---|---⌫|-⌫-|----|
simemis aleslideour	-|-|--|||--------|
que demouriroigran t	--|-|-----|-|----⌫|
retenu zyfui par zz	------⌫||--|--|-|
maisiem en	---|-||-|
uingau mieusquepoi	---|-|----|--|--|
auoir n ousduren t entr epris	----|-⌫--|-----⌫|----⌫----|
quemoltnousauo ien t sur pris	--|---|---|---⌫---⌫|---⌫---|
batusamoiqu e	----||--|--⌫|
quimaupourchaceetmal liuient	--|--|--------|-|--|-|----|
renartf ait il molt sez de boule	-----|-⌫--|-|---|--|-|----|
tutesgetéde mainte	-||-|----|-|-----|
renartfaitil	-----|---|-|
de putepart	-|---|---|
tenistup our m usart	----|-|-⌫--|-⌫----|
ou tumefeisla	-|-|-|---|-|
dia ue cha udecommeape rsonne	|--⌫-|---⌫--|----||--⌫-----|
si grantsiampleetsi	-|----|-|----|-|-|
la teste enoit outepe le e	-|----|-|-|-⌫---|--⌫--⌫|
nemeremaintcu ir	-|-|------|--⌫-|
suslesioes	--|--|---|
tuten alasfaisan ttes m oes	-||-|---|------⌫|--|-⌫--|
demoid eu oies	-|--|-⌫--⌫---|
mo i nefair e	--⌫-⌫-|----⌫|
ce rte smo ltes	--⌫---⌫|--⌫-|-|
demalafaire	-|--|-----|
estmacha rafeblie	--|-|---⌫|------|
ain sit ecruisifis	---⌫-|-⌫|---|-|--|
du n tr onconmedo nn as	|-⌫|--⌫----|-|--⌫--⌫-|
que tuconq ui sisp arta	--|-|----⌫--⌫--|-⌫-|-|
po ur moiamordre etalec hier	--⌫-|--|------|-|----⌫---|
enmaintlieum asfait	-|----|---||-|---|
tre b uchier	---⌫-⌫-----|
ie demandaiou latr ouuas	-|-------|-|-|--⌫----|
pourmoi deceuoirco ntrouu as	---|--|-------|--⌫------⌫-|
qu echarret iert enaportoient	--⌫|-------⌫--||-|---------|
a par zzpou que nes	|--|-|--|--||-|
co m folauoient	--⌫|--|------|
tr opchar gié	--⌫-|----⌫---|
qu au tre ment furent enchargié	-|--⌫---⌫---|-----|---------|
souuentaloient	------|------|
ar rest ant	--⌫----⌫--|
desanguilesiauoitta nt	--|-------||----|--⌫-|
iedeman dai par	-|-----⌫--|--|
q uelse mb la nce	-⌫--|--⌫--⌫--⌫--|
i epo isseemplirma pance	-⌫|--⌫---|-----|-|----|
tu medeisqu i l te	-|-|---|-|-⌫|-|
oucharretilquanttet rouuerent	-|--------|----|-|-⌫--------|
tan tmenalas amonnesta nt	---⌫||-|---|---------⌫-|
queie m en ala i au d euant	--|-||-|---⌫|-|-⌫----|
fi saussicomme mort	--⌫|----|----|---|
la refusie batusifort	-|----|-|---|-|---|
leuiezet de bastons	-----|-|-|------|
t o uzlicrepons	-⌫-⌫-|-|------|
nestme rueillese	|--|--⌫------|-|
t oiuengiénemesui	-⌫-|------|-|-|--|
enzz des plus	-|-|--|---|
lons ioursd	---|----||
nauroie mie	|-----|--|
les m aus les	--|-⌫--|--|
anuizque m	----|--||
est tantmeusleplait	--|---|---|-|----|
que a courtensomme suenu	--||----|-|-----⌫|---|
droitensommes tenu	----|-|-----|---|
detoiaurai e ncor	-|--|----|-⌫---|
bienenaiendieuma	---|-|-|-|---|-|
ieta i menee	-||-⌫|----|
ettuam oi desloiaute	-|-||-⌫-|---------|
estor dras qu eque	-----⌫---|--⌫|--|
petit s ar asderenardie	----|-⌫--⌫-|-|-------|
renartrespontpar bon confort	-----|------|--|--|------|
si r eysengrinuousaueztort	--⌫-⌫|-------|---|---|---|
uo usmeblasm eznesai dequoi	--⌫-|-|-----⌫-|-|--|-|---|
baro n so nt toutquoi	----⌫|--⌫-|---|---|
qu i uous oi en tne	--⌫|---|--⌫--⌫|-|
ti eus iauoustiennent	--⌫--|||---|-------|
uostreraisonestde scouuerte	-----|-----|--|--⌫--------|
quauezditemencong eaperte	-|---|---|-------⌫|-----|
carq uitropmentsame em	--|-⌫-|---|---||--|-|
ahirenarttrop	--|-----|---|
aisouffert	-|-------|
ton g rantan uiet tonderroi	--|-⌫---|--⌫-|-|--|-----|
maissei enai congieduroi	---|-||-|-|-----|-|--|
bataillealueil	-------|||---|
rena rtrespo ntr ien plus new eil	----⌫-|-----⌫-|-⌫--|---|-|-⌫--|
debataillesongagete nt	-|-------|--|---|--⌫-|
ysengrin et l i r o isle	-------|-|-⌫|-⌫-⌫-|-|
et renartlesienret endi	-|-----|-|---|---⌫---|
siqueliroisbie nl	----|-|---|---⌫||
biensceuentlibaronsanzdo ute	---|------|-|----|---|--⌫--|
q uelabataill eiaffiert toute	-⌫-|-|-------⌫||------|----|
sorne scetrenart descremie	|-|-|---|-----||-------|
bata ille arramie	----⌫---|------|
li r oisdema ndase shostages	-|-⌫--|----⌫--|--⌫|-------|
quimol testoit	--|---⌫|-----|
c ourtoisetsa g es	-⌫------|-|--⌫-⌫-|
deulzne sa pa rdon nez	|---||-⌫||--⌫----⌫--|
ysengrin ales s iens liu rez	-------||--|-⌫---|---⌫--|
poura fai t	---||---⌫|
brunl oursester	---||---|----|
tybersli chaz et c hant ecler	-----|-|---|-|-⌫----⌫----|
coa rtle lieuree t	---⌫-|-|-----|-⌫|
ceuls o t y sengr inasapa rt	----|-⌫|-⌫-----⌫-||-|--⌫-|
rena r t enot	----⌫-⌫|-|-|
d esmieusuan ez	-⌫-|----|---⌫-|
que il aasaparttourne z	--|-|||-|---|------⌫|
grimberte tbaucent li	-------|-⌫|------|-|
q uilotfait asoias sembler	-⌫|-|-|---||--|--⌫------|
ete spinartle heri con	-|-⌫------|-|----⌫--|
etsirebelin le	-|---|----|-|
ci lfir ent arena r t secours	--⌫|---⌫--||----⌫-⌫|------|
molt empes aa b run	---|-|---⌫||-⌫--|
la batailleont a terminee	-|-------|--|-⌫-------|
ayyiourssa nz	|-|----|--⌫-|
et gr imb ertlecreanta bien	-|--⌫---⌫--|-|------|---|
faud ro itpo urn u lle	----⌫--⌫-|--⌫-|-⌫-⌫--|
queren ar t nefacecombatre	--|---⌫--⌫|-|---|-------|
orgueilysengrinabatre	------|-------|-----|
li rois ad it estez	-|---||-⌫-|----|
ralezenuos	----|-|--|
maisonshui mes	------|--|--|
li baron s	-|----||
ensontdeparti	-|---|------|
maintenant ontlech ampp art i	---------|--|-|--⌫--|-⌫---⌫|
dentrerenart etysengrin	|----|-----|-|-------|
qu e molt estoientma l uoisin	--⌫|---|-------|--⌫|-----|
re n artnestpasde	--⌫-⌫--||--|--|-|
telpoissance	--|--------|
commeysengrinmaissafiance	----|-------|---|-|-----|
auoitrenartenescremie	----|-----|-|-------|
pour ce otlab atai llearramie	---|-|-|-|-⌫----⌫--|------|
en ging neuses t etc ilzestfors	--⌫----⌫---|--⌫|-|-⌫--|--|---|
s on sensualoit zzgrantconfors	-⌫-|---|-----|-|----|------|
etb ientaper	-|-⌫--|----|
pourdescouurir	---|---------|
so ncompaigno nq uan t i l uoit aese	--⌫|---------⌫|-⌫---⌫|-⌫|---|---|
defaire cho s equiliplaise	-|----|---⌫-⌫|--|-|-----|
tants est entremis	---||--|-------|
delaprendre	-||-------|
sauoitdeffendre	-----|--------|
tantsc etrenartd enging s plusors	---|--⌫-|-----||------⌫|------|
del uitesde iamb es	-|-⌫----|-|----⌫-|
ainzqueysengrin bailli er lep uisse	------|-------|------⌫-|-|-⌫----|
libriseraoubras oucuisse	-|------|-|---|-|-----|
yseng ri nententm oltael	-----⌫--⌫|-----|-⌫--||-|
enpa issen	-|--⌫-||-|
uaenson ho stel	-|-|--|--⌫---|
caroudroitqu ilatantsefie	--|-|----|-|-||---|-|--|
cuerdeffie	---|-----|
seil lepuetauspoins	-|-|-|---|--|----|
f o rmentl ecude trau a illi er	-⌫-⌫----|-⌫|---|----⌫-⌫----⌫-|
moltdesirequeli	---|-----|--|-|
io ursuien gn e	--⌫--|----⌫--⌫|
queensa bailliele t iengne	--|-|-|------|-|-⌫-----|
mo ltlidesp laist ensonco urage	--⌫-|-|----⌫----|-|--|--⌫----|
qu el a b ata ille	--⌫|-⌫|-⌫---⌫---|
tantlitarge	---|-|----|
ianecudemais	-|-|---|---|
ue oirl eure	--⌫--||---|
queelle soittantl i demeure	--|---|---|---|-⌫|------|
renartfusien	-----|-|-|-|
m oltgrant poine	-⌫--|----|----|
c onquerrela sem ai ne	-⌫-------|-|---⌫--⌫-|
etysengrin molt dure ment	-|-------|---|----⌫---|
pourchacearmesensement	--------|----|-------|
engr antpourchases t d ehaster	-|--⌫--|-------|--⌫|-⌫|-----|
etsep ai nedelaprester	-|-|-⌫--⌫-|-||-------|
coteaq uiseet	---||-⌫---|-|
af eutre ure	--⌫-----⌫--|
et sonescue tarmeur e	-|--|---|-⌫|------⌫|
chauces d eferqui er ent bienf a ites	------|-⌫|--|--|--⌫--|---|-⌫-⌫---|
entoursesiambes	-----|--|-----|
estu ermeus tretouz	--|-⌫-----|------|
etlacoterougedess ous	-|-|---|----|----⌫--|
bastondenefflie re t bien fait	-----|-|-------⌫|-⌫|---|---|
bi enfu armezai ourde plait	--⌫-|-|----||-⌫--|-|----|
renartqu imainsa	-----|--⌫|----||
e sc harniz	-⌫--⌫-----|
nerestoit mi edesgarniz	-|------|--⌫|--------|
asse z auo it de bon s amis	----⌫|---⌫-|-|---⌫|---|
quidelui sesont entremis	--|-|--|-|---|-------|
escur oont	---|-⌫---|
asamaniere	|-|------|
etcommande quelen li quiere	-|-------|--|--|-|-----|
zzen ont quisqui futouz iaunes	-|-|--|---|--|-|---|-----|
cote not pasyy a unes	---||-|--|-|-⌫---|
moltfubonneet	---|-|----|-|
not chauce nefust	|-|-----|-|---|
zzbasto not duneaubeespine	-|-----⌫|-||--|---|-----|
quimoltestoit bon en pleuine	--|---|-----|--|-|------|
mo ltbi en	--⌫-|--⌫-|
de ferfumolt tres	-|--|-|---|---|
d echiefe nch iefquenefustfrait	-⌫|----|-⌫|--⌫--|--|-|---|----|
ain siarméa	---⌫-|----||
courtsenuai t	----||-|---⌫|
ys engriny	--⌫-----||
uatouziriez	-|---|----|
qui molt estoit bien	--|---|-----|---|
enlaco ur testueuzrenar t	-|-|--⌫--⌫|--|---|-----⌫|
et ysengri nde	-|-------⌫|-|
lautrep art	|----|-⌫--|
e tlibar onsicom mois emble	-⌫|-|---⌫-|-|--|--|-⌫----|
enontditce queleurem semble	-|--|--|-|--|---|-|-----|
r enartnefupase s perdus	-⌫----|-|-|--|-⌫-⌫-----|
hautfurooig ni ezetto ndu s	---|-|-----⌫--⌫-|-|--⌫---⌫|
et coletbarb e	-|--|-|----⌫|
refist rere	-----|---|
p a rledes pitde soncompere	-⌫-⌫|-|---⌫--|-|--|------|
y sengrin loten grant	-⌫------||-|-|----|
prisepet it	----|---⌫-|
daignaostercheueil	-----|----|------|
i afussentassemblé sonuoeil	-⌫|------|--------|--|----|
molt d esire quaus	---|-⌫----|-|--|
