lesse ignorsanciainsquiontbatailleor	--|--⌫-----|-------|--|--|---------|
q ueapie alerne n i porroit	-⌫-||--|---||-⌫||------|
si montasu szzchar	-|----|--⌫|-|---|
qui prestezli	--|------|-|
une aiguelicoueintpasserdedanz	--|----|-|------|-----|-----|
ororroiz dou diableq ue l be rat	-|-----|--|-----|-⌫--⌫|--⌫--|
une roedech a r enlaigue liemblet	--|--|-|--⌫-⌫|-||----|-|-----|
logloriousco rs seint iss inoiercuidet	-|-------|--⌫-|----|---⌫|----|-----|
bienlo cuidai qui noier seil poist	---|-|----|-⌫--|----|-|-|----|
m asmoutli ualutpo o nqu esriensn	-⌫-|---|-|----|-|-⌫---⌫-|----||
i conquist	|-------|
carausicommep lumelig erefo rs salist	--|---|----|-⌫---|---⌫--|--⌫-|-----|
senz roetozessuizonques nes	---|--|--|-----|-----|-||
ceste grace et autresih es usen tibautfit	----|----|-|-----|--⌫--⌫|--|-----|--|
aconterses trauauzet sestentacions	|-----|--|------|-|--|---------|
tantquecibo nchimin etdroit	------|-|--⌫|-----|-|----|
tenuauon s	---|----⌫|
ar econter	|-⌫------|
leschoseshone ste mentaluns	--|-----|----⌫---⌫---|----|
qui sont plein esde	--|---|-----⌫-|-|
ioiea cen osescorcons	---||-|-⌫-|--------|
liang iledouc ielsouent	-|---⌫--|--|-⌫--|-----|
louisetoient	-|---------|
sicomesiseriantportermoinafermoie nt	-|---|-|------|--|------|--------⌫-|
ensamblantde colu mbe aucunefoi suenoie nt	-|-------|-|----⌫--|-----|---⌫|------⌫-|
et en samb lance dome aut refois se	-|-|----⌫----||--|---⌫-|---|-|
mos troie nt	---⌫-----⌫-|
il e stoitdignes autre schos esdisoi ent	-|-⌫----|-----|-----⌫|----⌫-|-----⌫--|
depardeso n	-|--|-|--⌫|
seignorsouent lo	------|-----|-|
confort oie nt	-------⌫---⌫-|
ilsoffroitissilialiioient	-|-------|---|-|--------|
azz ior que ses	|-|--|--|--|
pechies ploroi t	------|------⌫|
et e nsam ble loplor du remen tsospiroit	-|-⌫----⌫--|-|---|--⌫-----⌫|--------|
lorsoitune uoi z queliditqueuol oit	---|--|--|---⌫|--|-|--|--|---⌫--|
quedetozs es pech iesihesuqui tiél	--|-|--|-⌫-|----⌫--|----|---⌫---||
et seinzhermagorasausise nf ortunez	-|----|---------|---|--⌫|-⌫------|
encuisesorat oireshono restoit fundez	-|--|--|----⌫----|----⌫|-----|-----|
aparurent a	--------||
luietpor tint g ra nz	--|-|---⌫---|-⌫--⌫-|
qui telcho seli	--|--|---⌫-|-|
di stre ntcom ia d ire morre z	--⌫----⌫-|--|-|-⌫--||----⌫|
graces beneicon d edeomni potent	-----|-------|-⌫|-|----⌫-----|
a ie s tu quartu	-⌫--⌫|-|---|-|
siers sient end uement	----|-|---⌫---⌫-----|
ciennostre memoirequisomesenpresent	-|-|-----|------|--|----|-|------|
guiardon enauras	-------|-|----|
natendraspas	|-------|--|
grantm en t	------⌫--⌫|
il auoitzzseriantqueodon apeloit	-|----|-|------|--|---|------|
qui tantestoi t c assezde	--|---|-----⌫|-⌫----|-|
feure quilau oit	----|-|-|--⌫--|
tantasprement lo	---|--------|-|
ior etlanuitlout enoit	--|-|-|---|--|-⌫----|
aparp oqu eli	|--|-⌫|--⌫|-|
corsne lipartoit	---|-|-|------|
queilpr iastp a rluisein	--|-|--⌫---|-⌫-⌫|--|---|
t ibautmoutp riet	-⌫----|---|-⌫---|
pa rluipremerem en t apr o ierrefuset	--⌫|--|--------⌫--⌫||--⌫-⌫--|------|
alsimplesconcolumbe g air esne	-|------|--|------|-⌫---⌫-|-|
tote ncestemeniere aodonrespond et	--|-⌫|----|------||---|-------⌫-|
ieredotedale rco ntre la	-|-----||---⌫|--⌫---|-|
dedepar cui	-|-|--|--|
gu inier tu aslenfe rmete	--⌫----|-|-||----⌫----|
iesace quela feure taitforment	-|-|-|--|-|----||--|------|
torme nté	-----⌫---|
des doneequant lui pl airasa nte	--|----|----|--|--⌫---|--⌫--|
quant u it sonbonseriant	----|-⌫-|--|--|------|
q ui d ou tot enp iroit	-⌫-|-⌫-|--|---⌫----|
la maladiede l a m ort pres estoit	-|------|-|-⌫|-⌫--|---|-----|
d ola nzdes a pre sences iissilouperdoit	-⌫---⌫-|-|-⌫|---⌫----|-⌫|---|--|------|
lorsdi s ttostaligl isemaintenantpo rtés	---|--⌫-⌫|---|||---⌫--|---------|--⌫----|
se intibauzluipresen t lamesse celebret	--⌫-|-----|--|------⌫|-|----|-------|
et ensesoroiso ns douu aslet	-|-|--|------⌫-|--|-⌫----|
lime mbret	-|--⌫----|
ihesu par sa	----|--|-|
prieresa ni t elidonet	-----|--⌫--⌫-⌫|-|----|
itelquese nz a ie	---|--|--⌫-|-⌫-|
piess entornet	---||-|-----|
li peresetlim ereq u i	-|----|-|-|-⌫--|-⌫-⌫|
oi re ntla renomee	--⌫--⌫-|-|------|
delor beneoi t	-|--|------⌫|
fi lzbr u iantpar lacontree	--⌫-|--⌫-⌫---|--|-|------|
cel e pa rt	---⌫|--⌫-|
sontuenuenduiag rant	---|---|----||-⌫---|
mere sachoizmoutp arfulee	---|------|---|-⌫-|-|--|
queele cui doi tauoirperdus enz r ecouree	--|--|---⌫---⌫|----|----|-⌫--|-⌫------|
bi enpu etsauoirquiaen	--⌫-|--⌫-|-----|--||-|
ih esu cr i st	--⌫--|--⌫-⌫-|
q ue nef upas larmes	-⌫-|-|-⌫|--|-----|
celedocea sa mb lee	---|---|-⌫--⌫--⌫--|
entresospirsetpl o rs enpanseeestoit	----|------|-|--⌫-⌫-|-|-----|-----|
lamere deyychoseslaqu elele	-|---|-|-|-----|-|--⌫-|--|
son paissonmar i	--|---|--|---⌫|
sesenfanz ne	--|-----|-|
g u erpirni	-⌫-⌫----|-|
sonch ierfil delai ssier	--|--⌫--|--|-----⌫----|
li amorsdofil	-|----|-|--|
mascele deihesucrist iue nquit	--|---|-|----|-----⌫|--⌫----|
parlamordesonfiltot	--||---|-|--|--|--|
toz lesliains quiloient dessirete t rum pit	--|--|-----|--|-----|-------|-⌫|---⌫--|
cuiele auiau s onfil	--|--|----|-⌫-|--|
pasf o leau c ho isirlo miaus p rist	--|-⌫-⌫-|-|-⌫--⌫---|-|----|-⌫---|
m out fusareman ance	-⌫--|-|-|-----⌫---|
seintibautg ranzconfors	---|-----|-⌫---|------|
moutenfuplusaaise et decuer	---|-|-|---||---|-|-|---|
e t decors	-⌫|-|---|
ditsalemonzmoutparesta mo r s	--|-------|---|--|--|-⌫--⌫-⌫|
in est riensqui sipre ignefor ssolement	||--|----|--|||---⌫---|---⌫|-------|
par l amordofil	--||---|-|--|
ueinta la d e c harite	----||-|-⌫|-⌫-----|
alequia uoit	--|--|-⌫---|
t oziors largite	-⌫-|---|------|
dal eusetd e richeces et	|--⌫--|-|-⌫|-------|-|
detozbiensp la nte	-|--|----|-⌫--⌫--|
s etientora	-⌫|----|-||
paie ́degrantestrecete	----⌫|-|----|--------|
hiquiremestlidame	----|-----|-|---|
agrant humilite	|----|-------|
par seruirl ograntroiquimainten	--|-----|-⌫|----|--|--|----|-|
i nenesthonz c e	||-|--|---|-⌫|
croiquirec ont er poist	---|--|---⌫---⌫-|----|
tant docementli fiz a lamere obeist	---|-------|-|--||-|---|-----|
n iparfroit	-⌫|--|----|
n i pa r chaut	-⌫|--⌫|----|
queilonques	--|-|-----|
netrouetenluifauted erien qu a leuossist	-|-----|-|--|----|-⌫|---|-|-⌫-|------|
yya nz auoit est éciz s e i nzbien	-|-⌫-|----|---⌫-|--|-⌫-⌫-⌫-|---|
deuantqu eilfenisse ceest	-----|--⌫|-|------|-|--|
quede nig undiable n	--|-|---⌫-|-----||
auoit e sté tentez	----|-⌫---|-----|
n idepollution charnel	-⌫|-|--------|------|
contaminez	---------|
ceditil as esfrere sissico	-|--|-||-⌫-|-----⌫|---|-|
ladolorlome saisequeila donsoffroit	-|----|-|--⌫----|--|-|-⌫--|-------|
lesplaiesdun sescorsan uironez estoit	--|-----|--|--|---|--⌫------|-----|
nu lshonzmoutgrant pa nseconterne	--⌫-|---|---|----|--⌫--|-----|-|
uos p or roi t	--|-⌫--⌫---⌫|
proudespies	---|--|---|
sesost enoit	-|----⌫----|
ne samain a saboiche	-|-|---||-|-----|
c onduire ne pooit	-⌫------|-|----|
li per es souerainsouilsoncuera uoi t	-|---⌫-|--------|-|-|--|---|-⌫---⌫|
toten c estemenierelisi resouoloit	--|-|-⌫---|------|-|--⌫--||-----|
partribul ation ssonseintcorsespur io it	--|------⌫-----⌫|--|----|---|-----⌫--⌫-|
quei lfust s enzr uillela	--|-⌫|---|-⌫--|-⌫----|-|
ou il lome troit	-|-|-|--⌫----|
amontenparadisouilh a biteroit	----|-|------|-|-|-⌫-⌫-------|
su stote sau tres chosesse doi tlonme rueillier	--⌫|----⌫|--⌫---|-----|-|---⌫|--|--⌫--------|
d une rienquede	|--|---|--|-|
luimorrois ici	--||-----|--|
on questantma ladie	--⌫---|---|--⌫----|
nelo pu tio stisi er	-|-|--⌫|--⌫-----⌫-|
q uel i l loieuneruo ssi st entr elaissier	-⌫--|-⌫|-|-----|--⌫---⌫-|----⌫--------|
bi enconu tliseinzhonz que	--⌫-|----⌫|-|----|---|--|
gaire sneuiuroit	-----⌫|-|------|
a co que mala dietantfortsus li corroit	|-|--|----⌫--|---|---|--|-|------|
dela grace	-|-|----|
dedeu siraumplis estoit	-|--|-|-------|-----|
queil n e u oloitriensfors c e	--|-|-⌫|-⌫----|----|---|-⌫|
quedesuol oi t	--|--|---⌫--⌫|
lan d ouzeinquep a rtisd e	|-|-⌫-----|--|-⌫-⌫---|-⌫|
so npaise stoit	--⌫|---|-⌫----|
conuitbienquela	-----|---|--|-|
forcedeson corslou laissoit	----|-|--|---|--|-------|
quiotnon pierres apele rconman doit	--|-|--|------|-----⌫|------⌫---|
qu iiainzsus tozles autresa luidamor	--⌫|----|--|--|--|-----||--||---|
cel anestoitd elu i en icellue	--|-|-----|-⌫|--⌫|-|---|--|
li seinz ord re sde sm oignes	-|----|---⌫--⌫|--⌫|-⌫-----|
estta ntamés	--|--⌫-|----|
aguarder li command e	|------|-|-------⌫|
ceestlau erites	-|--|-|-⌫-----|
ensa mble sesfiz e sperit e s	----⌫---|--|--|-⌫------⌫-⌫|
troi s iorsdeuant	----⌫|---|-----|
etsontre sp asse ment	-|--|---⌫--⌫----⌫---|
foisliterre	---|-|----|
moutmeruelleusem e nt	---|------------⌫-⌫-|
cil dela celleo	--|-|-|----||
sorentuoirsfu	-----|----|-|
communement	----------|
deca usde fo rsa ucuncetr ou ons noslisent	-|--⌫-|-|--⌫-|-⌫---|-|--⌫--⌫--|--|-----|
au soures i hesucristq ui bien	--⌫|----|-⌫---|----|-⌫-|---|
uod roitpanser	---⌫---|-----|
ilneu odroitgemaisdelui	-|-|-⌫-----|-----|-|--|
icefitla presence decelui senz d oter	--|--|-|-------|-|----|---|-⌫---|
qui regarde laterreet	--|------|-|----|-|
faittr embler	---|--⌫-----|
sicomcilq ui	-|--|--|-⌫-|
hi furentem portent garantie	-|-----|-|------|-------|
mou tfu dela r m edure etdocors la	---⌫|-|-||-⌫-⌫-⌫|---|-|-|---|-|
a celui saherio itquipar nostre	|----||------⌫-|--|--|-----|
lala nce lo grant uendr e sfichie ́	-|--⌫--|-|----|-----⌫-⌫|------⌫|
demandresqueloncten s	-----------|---|---⌫|
en e ngoinesuet	-|-⌫-----|---|
zzserianzde laian zc ui i hesuaspiret	-|------|-|-----⌫|-⌫-|-⌫---|------|
que ilsesaillessant	--|-|-|----------|
t oz etto t espriet	-⌫-|-|--⌫-⌫-|----|
et ilsesontissu	-|-|-|---|---|
si comil c o mm andet	-|--|-|-⌫-⌫--⌫----|
quant furenttu itettotes	----|-----|--⌫-|-|----|
de lacellesailli	-|-|----|-----|
son sau ue orrecut ce	--|---⌫--⌫-|----|-|
sa ch oisuo sde fi	--⌫--⌫--|--⌫|-|-|
meintes fois c ommanca d ozdes aiesmerci	------|---|-⌫------|-⌫-|--|---|----|
detonp upleatantade larme	-|--|-⌫---|----||-||---|
orsunt lisien e m	-|---|-|---|-⌫|
p lo r tris te	-⌫--⌫|----⌫-|
liangeliarchangealiegre	-|---|-|-------|------|
lipupl esnostesmoigne qui	-|----⌫-|--|--------|--|
presdocorsestoit	---|-|---|-----|
queli arme do seinz	--|-|---|-|----|
des empartoit	-||--------|
quelsquefusse lo	----|--|----|-|
blo iss o it	---⌫---⌫-⌫-|
m ascomme sil f ustuis sesuis	-⌫-|----||-|-⌫--|--|--|--|
resp lendis s oit	----⌫------⌫-⌫--|
nusho nzsi gnemortelou	--|--⌫-|--⌫--|-----|-|
uisnap erceuoit	--||--⌫-------|
liiorseinz lacalande deiuillet lorsestoit	-|---|---|-|------|-|------|---|-----|
liquarte inditions qu ibien	-|-----|--------|--⌫|---|
s en aperc oit	|-|-----⌫--|
et adonqueshen ris li fi z he nr i regn oi t	-|-------|---⌫--|-|--⌫|--⌫--⌫|----⌫--⌫|
quilagrant	--|-|----|
seign o riedo roiaume teno it	-----⌫-⌫--|-|------|----⌫-|
quant les genz	----|--|---|
de uincenceoientsonfi neme nt	-|-------|----|--|--⌫----⌫-|
c ele partsont	-⌫--|---|---|
astiuement	---------|
c ler cch iuali erborio isetfammes et enfant	-⌫---⌫|--⌫-----⌫-|-----⌫-|-|-----|-|-----|
armé et desa rméueil etiour e aus sement	----|-|----⌫---|---|-|----⌫|---⌫-----|
pasde uincenc etant solementuenu	--|-|-------⌫|---|-------|---|
cil desueisinschat a ushiu ontgrantet	--|--|------|----⌫-⌫-|-|-⌫--|----|-|
tuitui nent	---|--⌫---|
a u seintc ors eti ene etch an u	-⌫|----|-⌫--|-|-⌫--|-|--⌫--⌫|
pare ntrerenlacelleontlou	--|-⌫----|-|-|----|--|--|
murco rrumpu	--|--⌫-----|
liautres qu iremesauin ce nceestoien t	-|-----|--⌫|----||---⌫--⌫--|-------⌫|
fammesui lles	-----|--⌫---|
enfant quialernepooient	-----|--|---|-|------|
ce le partuersloucorsd e	--⌫-|---|---|--|---|-⌫|
proiant saprucho ient	------||-------⌫---|
yyliuesforslauile	-|----|---|-|---|
alenco ntr eueno ient	||----⌫---⌫|----⌫---|
delal eru ersloucorstantf ormentse haterent	-||--⌫-|-⌫--|--|---|---|-⌫-----|-|-------|
qui lo porto ienta corchi n lo	--|-|-----⌫---||------⌫|-|
troue rent	-----⌫---|
ou il serepo so ient	-|-|-|----⌫--⌫---|
se repose ren t	-|------⌫---⌫|
grant reuerence enapresl em p orterent	----|--------|-|----||-|-⌫-------|
delui porter	-|--|-----|
esto itch acun s ameneuis	----⌫-|--⌫----⌫|-------|
a grant gentagrant	|----|---||----|
ioief ulico r sseuelis	---|-⌫|-|--⌫-⌫|------|
louti ers iordeiuillet fuitil en ter re m is	--|--⌫--|--|-|------|---|-|-|---⌫-|-⌫-|
o u mostiern ostredame si	-⌫|------|-⌫----|---|-|
com ieuosdeuis	--|-|--|----|
a cuititrefu prestes c iz cors s einzdeuamis	|--|----|-|------|-⌫-|---|-⌫---|--|---|
quantilfus euelisalo norde clerg ie	----|-|-|-⌫-----|||-⌫--|-|-----⌫-|
plu til a ihesuc ristet a	---⌫|-||----|-⌫---|-||
l aui rge marie	-⌫|--⌫--|----|
etasseinzq ui auoi ent	-|-|----|-⌫-|----⌫--|
es témarti riie ́	--⌫--|-----⌫----⌫|
le untin c arpunforteen cuin em dotezm ie	--⌫----|-⌫---------|-|--||-|----|-⌫-|
igliseilreposeque fust larenom ee	-----|-|-----|--|---|-|-----⌫-|
de luiades seuepartotela contree	-|--|---|---|--|---|-|------|
paruertus pa rmiracles	--|-----|--⌫|-------|
uiaus t quefust	-----⌫|--|---|
liuies eint i bau tetsa	-|--|-⌫--|-⌫-⌫---⌫|-|-|
fins an oncee	---|--⌫----|
ayymilesd iquidr oit z z chatelauoit	|-|----||---|--⌫--|-⌫|-----|----|
queli uesine te sauteuile clamoit	--|-|------⌫--⌫|-------|------|
u nefamme noueianz d emoroit	-⌫-|----|-|-----|-⌫------|
h om em ortelgar isonnen	-⌫--⌫|-⌫----|---⌫---||-|
ta nttos t condecestseint	--⌫-----⌫|--|-|---|----|
ano u el es eue	|--⌫-⌫--⌫|-⌫--|
d unbastu mapuiant escelepart uenu e	|-|-----⌫|------|-|---|---|----⌫|
suslatumbe aces tseintou auoit s	--|-|----||---⌫|----|-|----||
parla gra cedede urecuitclere	--|-|---⌫-|-|--⌫|-----|----|
droi tences teci te	----⌫|-|---⌫-|--⌫-|
d euince nce auo it	-⌫|-----⌫--|---⌫-|
ausiune aut re	---|--|---⌫-|
re nnen iue oi t	--⌫|--||--⌫--⌫|
ele q uist c onsoildeuou el e	--|-⌫---|-⌫-----|--|-|--⌫|
etau seinz	-|-|----|
et tantostue ue arriererecoit	-|------|--⌫-|------|-----|
zzautre leusapresestconeus assez	-|----|---|----|--|-----|----|
quie s tchati au sdrixius	--|-⌫-⌫|-----⌫--⌫|------|
porsonnon a p elez	--|--|--|-⌫-⌫---|
une famme iauoitqui iarecou rez	--|----||----|--|||-----⌫--|
l es iauz de quois es chies	-⌫-|---|-|---|-⌫-|----|
esto ittozauugl ez	----⌫-|--|-----⌫-|
aprescestesyy	----|-----|-|
famme s iestzzc los	-----⌫||--|-|-⌫--|
contr a iz estoitdes piesetdesmains	-----⌫-⌫-|-----|--|---|-|--|----|
am or doseint cor shifitde ustels	--⌫-|-|----|---⌫|-|--|--⌫-|---|
queil senes talez	--|-||-|--⌫|---|
desespiessainset drus	-|--|---|----|-|---|
zzautres ausementamalais e est oit	-|-----|-------||------⌫|---⌫--|
la uigo rdesesmenbresdotost	-|----⌫|-|--|------|-|---|
perdueauoit	-----|----|
nidema i n sni	-|-|--⌫-⌫-⌫|-|
a dierne sepooi t	-⌫---|-|-|----⌫|
sainetesu slafos se rec oure et rec oit	------|--⌫|-|---⌫-|---⌫---|-|---⌫--|
licitesdeuenice qui tant par	-|----|-|-----|--|---|--|
amoutbienlauertu decestsein z	|---|---|-|----|-|---|----⌫|
espr ou ee	----⌫--⌫-|
unefammeiauoit	--|----||----|
qui estoi t aornee	--|-----⌫|-----|
come religiose preuze stoitet	---|--------|----|-⌫----|-|
a pre s sicosoffrit	-⌫---⌫|-|-|------|
li peressouera ins	-|----|------⌫--|
aue intquesoichesotdo	---⌫--|--|------|-|-|
totlesdoe smai ns	--|--|---⌫|---⌫-|
celepart est uen ue	---|---|--|---⌫-|
mout estoit	---|-----|
sescuersuains	--|----|----|
sanite irecou rec ha scuns en so it	-----||-----⌫-|-⌫--⌫----|-|--⌫-|
bien pertque ihe su	---|---|--|---⌫-|
crisseintibaut m outam et	---|---|-----|-⌫--|--⌫-|
entre ra ui ncen ceensei g nesenmostret	-----⌫||--⌫----⌫-|-----⌫-⌫--|-|------|
car pa ramor	--|--⌫|---|
del uisesmiraclesdoblet	-|-⌫-|--|-------|-----|
a zzuasletet u net o se	|-|-----|-|-⌫-|-⌫-⌫-|
laueue rend et	-|---|----⌫-|
m il homes iauoitqua nt des is sioure t	-⌫-|----||----|---⌫-|--|--⌫-|----⌫|
alentr ee do corsdoq ueldeus larme	||----⌫-|-|---|-|-⌫--|---||---|
comencac esteant ene licle rgi eet	------|-⌫---|---⌫--|-|---⌫---⌫|-|
d euanttoz	-⌫----|--|
sesdecip lesihes um einz seignes f ist	--|-----⌫--|----⌫|-⌫---|------|-⌫--|
ne suntpastuitencestliure	-|---|--|---|-|---|----|
e sscri st	-⌫-----⌫-|
ueneri ainszzenfesde uile nuue	------⌫---|-|----|-|---|---|
dezzpieparalitiques et d	-|-|--|-----------|-||
unemain gisoit	--|---|-----|
tir ier ni lun nilautre enuer	---⌫--|-||-|-||----|----|
soinepooit	--|-|----|
granzestoit liangoisseet	----|-----|-|-------|-|
lmaus quilsoffroit	|---|-|-|-------|
luitaneio rdepaquesfu ause inzamenez	|-----|--⌫|-|-----|-|-|--⌫--|-----|
oulico uenzdesfizdeestoitt oz	-|-|--⌫---|--|--|-|-----|-⌫-|
etdemainetde	-|-|---|-|-|
pielireuient sani tez	--|-|------|----⌫--|
siq ue sains	---⌫-|----|
e ta leg ress	-⌫|-⌫---⌫--||
enest arriers tornez	-|--|------|-----|
uoir s estq uenlumbardieun e dame	----⌫|--|-⌫|-|--------|--⌫|---|
q uien son	-⌫-|-|--|
bra izzz cerclede	---⌫-|-|-----|-|
f ermout gra nt p ortoit	-⌫-|---|---⌫-|-⌫-----|
n onpar nigunmesfait mas qua re leuol o it	-⌫-|--|----|------|--|---⌫|-⌫-|---⌫-⌫-|
orsenuient ausepulcre oucil	-||-|----|-|-------|-|--|
c or sseinz gisoit	-⌫--⌫|----|-----|
or o iezquelm ira c leihesucrispar liefit	-|-⌫--|---|-⌫---⌫-⌫-|----|---|--|--|--|
licha ndoilearoanzdouchande liercheist	-|---⌫-----|-----|--|------⌫---|-----|
pardre cier la ch and oilelo braiz li estendist	--|---⌫---|-|--⌫---⌫---|-|----|-|--------|
etl icercl esuaitfreindreetdobraiz	-|-⌫|-----⌫-|---|-------|-|-|----|
loi n sailist	---⌫|------|
zz quiotnonmartinsetq ui	-|--|-|--|------|-|-⌫-|
fu de corsnez	-|-|---|--|
deli oiresdeferot	-|--⌫----|-|--|-|
l es yyb raizli ez	-⌫-|-|-⌫---|--⌫-|
les luesdep lusor ss ei nz auo it e nuironez	--|---|-|-⌫-----⌫|-⌫--⌫-|---⌫-|-⌫-------|
enquor uiuoitciz s einzdunuos	-----|-----|--|-⌫---|--|--|
parl er moi ez	----⌫-||--⌫-|
q uant i l	-⌫---|-⌫|
ui tque trouer nulc onsoil	--⌫|--|-----|--|-⌫-----|
toz cesse inz ouilesté auoit	--|--|--⌫--|-|-|----|----|
au barunsein	-|----|---|
ti bauts enestalez tot	--⌫---||-|--|---|--|
enzzl e usolita i reouqu el ild emoroit	-|-|-⌫-⌫|------⌫-⌫-|-|--⌫-|-|-⌫------|
c on fessionliquistet il le c onfesset	-⌫--⌫------|-|----|-|-|-|-⌫-------|
p orquo iportoitlesfersesbrai z tot	-⌫-|---⌫|------|--|---|-|----⌫|--|
en ploranzreioit q uesonfrere tuet	-|------|-----|-⌫-|--|----|---|
bie n fuconfes adroitonquesrie n ni	---⌫|-|-----||----|-----|---⌫|||
il auoitproposéqu ilal as t	-|----|-------|-|-|--⌫--⌫|
o ut r e mer	-⌫--⌫-⌫|--|
ausepulcreoudeu s las sasun	-|-------|-|---⌫|---⌫-|--|
corsp oser	---|-⌫---|
etseinttibautlidist	-|----|-----|-|---|
qu epensastdelaler	--⌫|------|-||---|
etsoncorstraualassesil se u o loit	-|--|---|---------||-|-|-⌫-⌫---|
uatotditseintib aut	-|--|--|---|---⌫--|
ne fairedemo r ance	-|----|----⌫-⌫---|
ihesuc ris	----|-⌫--|
delumbra iz deslei ance	-||-|---⌫-|------⌫---|
par ad essetu	--|--⌫-|-|-|
as enlui fermecreance	-|-|--|----|------|
to ziors done	--⌫|---|---|
delors maus al iance	-|---|---|--⌫----|
a icesteparoles enestmartinsalez	|-----|-----||-|--|------|---|
auprecieu s sepulcre laiou	-|-------⌫|-------|--|-|
deusfuposez	---|-|----|
quant fudesf a us	----|-|--|-⌫-⌫-|
iu is ses corscrucifiez	--⌫-|--|---|--------|
estlizz des y ybraizde sliez	--|-|-|--|-⌫|----|--⌫----|
alifitsor oisonet puissen est	-||--||--⌫----|-|---||-|--|
i lenialat ristesorsentorne liez	-⌫|-||--|-⌫-----|-||-|----|---|
m asfumouttost cha ngié s en	-⌫-|-|---|---|---⌫-----⌫|-|
t ristorsescon fors	-⌫-----|--|---⌫---|
parcequil oitdire quesein	--|-|-|-|--|---|--|---|
tibautfumors	-----|-|---|
enp lo ranz	-|-⌫--⌫---|
encriantalquiotlocuer g ros	-|-----|-|--|-|-|---|-⌫--|
lafo ssela	-|--⌫--|-|
ougisoitlic ors	-|-----|-|-⌫--|
iquisenblantquesein tib aut	---|-------|--|---|---⌫--|
ne seten i s s e quede s iauzne	-|-|---⌫-⌫-⌫-⌫|--|--⌫|---|-|
tu me commandassirefait il	-|-|--------|---|---|-|
que iei a las se	--|-||-⌫---⌫-|
outremeret qu epuis enue rto i	----|--|-|--⌫|---|----⌫|--⌫|
reto rnasse	----⌫-----|
iai e sté	|-|-⌫---|
et orsuisreuenus	-|-|---|------|
pa rqu oi n	--⌫|--⌫-||
estes uossi re amis	----|--|--⌫-|---|
deusainsetdrus	--|----|-|---|
deuostremortdolanz etiras cus	-|-----|---|-----|-|----⌫--|
doz s irefaienmoi	--|-⌫--|--|-|--|
miracl e s et uertus	------⌫-⌫|-|-----|
seinzdeaiesdem oi etmerciet	----|-|---|-|-⌫-|-|----|-|
de ce stliain de fer moi c olpable	-|--⌫-|----|-|--|--|-⌫------|
tun pele rinconfort eamisd e deetguie	--|----⌫--|-------⌫|---|-⌫|-|-|---|
quiai partonconse il	--|-|--|--|-----⌫-|
tant e terr etracie	----⌫|----⌫|-----|
aiceste parol edestel	|-----|-----⌫|--|--|
miraclef it	------|-⌫-|
parlam ordocorss eintqueli	--||--⌫-|-|---|-⌫---|--|-|
cerclesrumpit	------|-----|
de feretau derompremoutloin do	-|--|-|-|-------|---|---|-|
braizsaillit	----|------|
doutoz ceau s qu iestoientde	|-|--|----⌫|--⌫|-------|-|
ioieraumplit	---|-------|
sai cho is quicilmei m es i ce	---⌫---⌫-|--|--|---⌫-⌫-|-⌫-|
nosrecontet	--|-------|
cuideces yy liainsihesucrist desliet	--|-|--|-|-----|----|----|------|
qu ant delasainte t erredotr emerretornet	--⌫--|-|-|-----|-⌫---||---⌫---|-------|
doco rs seinzihes uiss i	-|--⌫-|----|----⌫|---⌫|
yyauuglestrouons	-|------|------|
ge neralmen t	--⌫--------⌫|
quei l i recour erent delo rsiauz uoi em ent	--|-⌫||------⌫----|-|--⌫-|---|---⌫--⌫--|
dela citenouai re f ul iz z	-|-|---|-----⌫-|-⌫|-⌫|-⌫|
et liaut ressenzfaille fune z	-|-|---⌫--|---|-----|-|--⌫|
deualeuen t	-|-------⌫|
litiersfusenz dotancedeconte de	-|----|-|---|------|-|----|-|
unepucele quifucesotl un	--|-----|--|-|-|--|-⌫-|
uenuedezz c hatelqueonapel ecolmin	----|-|-|-⌫----|--|-|----⌫|-----|
cist qu atrequant il uind ren tneu ei nt	---|--⌫---|----|-|----⌫---⌫|-|-⌫--⌫-|
l enfa nt deualeu ent ui austdes qu il	|----⌫-|-|-----⌫--|--⌫---|--|-|-|
re co urasse	--⌫--⌫-----|
les iauzsu s	--|---|--⌫|
einzquen lig lise entrass e	-----|-||--⌫---|-------⌫|
eteinzquelosepulcre	-|------|-|-------|
dosein tcorssein zt ochasse	-|----⌫|---|----⌫|-⌫------|
ce ne doi tnunsdoter que desnen i o ura sse	-|-|---⌫|---|----|--|--|--||-⌫---⌫--|
litauriains meime squantlesi auzotc ourés	-|--------|-----⌫|----|--|-⌫--|-|-⌫-----|
t ozso uzettota	-⌫-|--⌫-|-|--||
pies en estad es al e z	--||-|--|--⌫-|--⌫-⌫|
a usepulc reseinmarcouilsestoi tu oiez	-⌫|------⌫-|---|---|-|-||-----⌫|-⌫---|
issiest e n	---|--|-⌫|
sestoireescritcomuosoiez	|------|-----|--|--|---|
ihesucrist	----|----|
autresfoi z ce le broit	-----|---⌫|--⌫--⌫----|
lasaintea scensionou mou t	-|-----|-⌫-------|-|---⌫|
degentauoit	-|---|----|
q uidela sainte feste lesuegiles ga rdoit	-⌫-|-|-|-----|----|--|------|--⌫----|
zzenfe squiau ugle samenés iestoit	-|----⌫|--|--⌫----⌫|------||-----|
gra cededelaue ue re coit	---⌫-|-|-|-|--⌫-|--⌫---|
