li tunconseilmatme intmestir	-|--|------||-|--⌫--|-----|
par lent recopodl e bon	--||---⌫----|-|-⌫|--|
b r antaceré	-⌫-⌫--|-----|
quelipend ial senestre	--|-|----⌫|-|-------|
par ir e lattant d e feo rre	--|--⌫||-|---|-⌫|---⌫--|
d em i pelee lipacele brandire	-⌫--⌫|----|-|---|-|-------|
quefustsensufolie	--|---|---||----|
iaenfustKarleparmi le chif	-|-|---|----|--|-|-|---|
q uantNaimesod ses brazacolee	-⌫---|-----|-|--|---|-----|
tint epurdemus uré	---||--|-----⌫---|
e t el s.lx.ensunt	|-⌫--⌫||-||-|---|
oluii u ré	|--|-⌫-⌫--|
queiausentle sicl ed eliuré	--|-|----|-|----⌫|-⌫------|
qu emessage die	--⌫|------|--|
tutsunpe nsé	--|--|--⌫---|
plusfaireneluilaiss ez s un	---|----|-|--|-----⌫-|-⌫-|
karsur quida nce	--|---⌫-----⌫--|
laura ttot	|----⌫|--|
quanthogerlotpur poin estfo rsené	----|----||-|--|--||--|--⌫-----|
colurluimue lisancli	----|--|--|-|---|-|
esttroublé	--|-------|
p len dir e s est uersle	-⌫--||--⌫||--|---|-|
re it urn é	--⌫|-⌫---⌫-|
ataresu né.	-|-----⌫--||
oger paro le kig refiresusprent	---|----⌫-|-|-⌫--|--|-------|
dreizenperirerfaitil	----|--------|---|-|
ameent ent .	|-|---⌫--||
par icelde uaquilimunta pent	--|---|--⌫||--|-|---|-⌫---|
k i enlauirgin e ui nt paranuncement	-⌫|-|-|------⌫|--⌫-|--|---------|
sea cestef ie	-||----|-⌫-|
pas sezmu n talent	---⌫--|--⌫|-----|
decestglutunki ciueien present	-|---|-----|-|-|--|-|------|
ke or e endreitneprenge uengeme nt .	-|--⌫|------|-|-----|-------⌫-||
