d ireuous ueulc hi	-⌫--|---|---|-⌫-|
qu an txmoutparlé issi	--⌫--⌫|-|--|-----|---|
iosephregarde deuantlui	-----|------|-----|--|
lesmon sdegypteaauis és	--|---⌫||-----||----⌫--|
moutsenmer ueilleen	---||-|---⌫-----|-|
ca r ilauo itbi enoi dire	--⌫|-|---⌫-|--⌫-|-|---|
male g entaenceleempire	---|-⌫--||-|---|-----|
car deables	--|------|
ilconuer so it	-|------⌫--⌫-|
quichascun	--|------|
i ou r lesdecheuoit	-⌫--⌫|--|--------|
encel eterreuroiement	-|---⌫|----|--------|
f urent plus desetans	-⌫----|---|-|--|--|
defaxmahonsdef axymages	-|--|-----|-|-⌫-|-----|
quilorfaisoientgrans	--|--|--------|----|
tuitaor oientlesdeable z	---|---⌫----|--|------⌫|
et frondiseestoitlo r	-|-------|-----|--⌫|
de s sydoines s iresclam é	--⌫|-------|-⌫---|----⌫-|
chascun iorsilesaouroie nt	------|--|-|--|-------⌫-|
ennulautredieu nec reoient	-|--|----|---|-|-⌫------|
quantioseph eneg ypteentra	----|-----|-|--⌫---|----|
le smescrean s mout	--⌫|--------⌫|---|
fix sa inte	--|--⌫---|
senuinta la m ahonmerie	|-|---||-|-⌫--------|
qui sidecheuoittou tesgens	--|-|--------|---⌫--|---|
parsesmau u esenchantemens	--|--|---⌫-⌫-|-----------|
xm cr ist ce l ep art	-|--⌫--|--⌫-⌫|-⌫--|
l esfaxy mages regar da	-⌫-|--|-⌫----|-----⌫-|
siconl esiuis aoro i ent	-|--|-⌫-|---|----⌫-⌫--|
les deablezqu iles estoient	--|------|--⌫|--|-------|
mesquantx mifu entrés	--|----|-⌫||-|------|
chair enttre tous les	-----⌫--|---⌫---|--|
frond iseet	-----⌫--|-|
toutesage nt	----|-|--⌫-|
d ecel fet furentmoutdolent	-⌫|--|--|-----|---|-----|
fr ondise moutdolentestoit	--⌫-----|---|-----|-----|
pour sesydresquechair uoit	---|--|----|--|----|---|
mesilsoutbi encertainne m ent	--|-|---|--⌫-|---------⌫-⌫--|
xmloutfet aescient	-||--|--||------|
pourdestruire ses a nemis	---|--------|--|-⌫----|
bien uoitqu ilest di eu posteis	---|---|-|-|--|--⌫-|------|
liprophet equii ad is furen t	-|-------⌫|--|-⌫--⌫-|-----⌫|
lerac ont ere nt c onme	-|---⌫---⌫---⌫-|-⌫---|
ild uren t	-|-⌫----⌫|
cunhon mesourterre nestr oit	|-|---⌫-|---|----|-----⌫--|
qui tr esto usl o rdiex	--|--⌫----⌫-|-⌫-⌫|---|
dieu sapa rutap haraon	---||---⌫--||-⌫-----|
li roi s quimoutf upuissanshons	-|---⌫|--|---|-⌫|-------|---|
quitou te la	--|---⌫-|-|
terretenoit	----|-----|
degy pt elaou i l manoit	|---⌫--⌫|-|-|-⌫|-----|
me silneuout onqu esiorcroirre	--⌫|-|-|---|----⌫-|--|------|
qu eicestechose fust uoire	--⌫|-----|----|---|----|
fustnésdeu ie rgeenter re	---|---|-|-⌫--⌫--|-|---⌫-|
nonquesmer c i	|-----|---⌫-⌫|
n en uou trequerre	|-|---⌫|-------|
tant es toitplainde mescreance	---|--⌫---|----|-|---------|
liuenoit de	-|-----|-|
sen fanc e	|--⌫----⌫|
sigrant o rguelo soi mena	-|----|-⌫----||--|---|
que en lafins en m aru oia	--|-|-|--||-|-⌫---⌫--|
enenfer en	-|----|-|
seratous iors	---|---|---|
e npainnezetengrans	-⌫|------|-|-|----|
frondisesioutgrant paor	-------|-|--|----|---|
uenusesta nost reseignor	----|--||----⌫-|------|
axmc ristledous	|-|-⌫---|-|---|
de sespechiez merci	-|--|------|----|
et por son puepl emerc icrie	-|--|--|-----⌫|----⌫|---|
a x mcristle	|-⌫|----|-|
fi x marie	--⌫|----|
etxm grant pitieenot	-|-|----|----|-|-|
si l ipa rdon naa usitost	-|-⌫|--⌫----⌫-|-⌫--|---|
tr etoutesse s	--⌫------|--⌫|
ini qu ites	---⌫--⌫---|
etasgensdetou tson	-|-|---|-|---⌫|--|
mo utestxmcr istm erci ablez	--⌫-|--|-|--⌫--|-⌫----⌫----|
etatoutesgens am iables	-||-----|---|--⌫-----|
carilpar d o nnesescou ro us	--|-|---⌫-⌫-⌫--|--|---⌫--⌫-|
uolentiersa tous peche our s	---------||---|-----⌫---⌫|
q uidelor pech ie zmercicrien t	-⌫-|-|--|----⌫--⌫|----|-----⌫|
aluis umeli ent	|--||-----⌫--|
ilfetmout bon a	-|--|---|--||
dieu serui r	---|-----⌫|
ets abonneamourd eseruir	-|-⌫|----|----|-⌫------|
caruolenti ersoeuresagloire	--|-------⌫--|----|-|-----|
chexqui lont	---|--||--|
uchi mquim ean que	|---⌫-----⌫|-|--|
unefoizf uioueralé	--|---|-⌫|----|---|
o lese nffansdune	|--|-⌫-----||--|
sicom ens emblesen	-|--|---⌫----||-|
mout tresgran tioiedemenere nt	---|---|----⌫|---|--------⌫-|
etdemainteschoses	-|-|------|-----|
parloi ent	------⌫--|
sour la riuiere o u il aloient	---|-|------|-⌫|-|------|
x msorlari uiereuint	-⌫|--|-|--⌫----|---|
o ul eue mout	-⌫||--|---|
cleredeuint	----|-----|
mesxmcrist	--|-|----|
a saman iere	|-|---⌫---|
fi st leuetoutetraire ariere	--⌫-||--|----|-----|-----|
quantxmcristo uttouteos tee	----|-|----|-⌫-|----|--⌫--|
cele riuiere et horsb outee	---|------|-|---|-⌫----|
il comp assoit	-|----⌫-----|
e t leuededensmise	-⌫||--|-----|---|
mesuniuif ledestorba	--|-|---|-|-------|
quitous ses lays lidep echa	--|---|--|---|-|---⌫---|
xmlid istisnellepa s	-|-|-⌫--|---------⌫|
ha c haitiffixd e	-|-⌫-----|--|-⌫|
pour quoim as tu meslais	---|---||-|-|--|---|
tuenserasm ortcon fondus	-|-|----|-⌫--|---⌫-----|
tant ost mourust sans	----⌫--|------|---|
nulrespi t	--|-----⌫|
liiuisquioutdepecié	-|---|--|--|-------|
leslaysxm etco uroucié	--|---|-|-|--⌫-------|
xm arierer et orna	-|-----|-⌫--⌫---|
asamere quimo utlama	|-|---|--|--⌫-||--|
dumo rtsesbahir en t	-|--⌫-||-------⌫--⌫|
petitetgrantxmsuirent	----|-|----|-|------|
liiuitelne demo rerent	-|-----|-|----⌫-----|
alorp aren s sen ret or nerent	|--|-⌫----⌫||-|---⌫--⌫-----|
etsilorfirent entendant	-|-|--|-----|--------|
q uexmo uttuél enfant	-⌫-|-|-⌫-|---||-----|
l orsuindrentaiosephtout dro it	-⌫--|-------||-----|---|---⌫-|
l o rpleinte	-⌫-⌫|------|
feirea grant esploit	----||----|------|
delourenfantqu auoit ocis	-|---|-----|-|----|---|
xmdontmout sont	-|---|---|---|
iosephp ris tre ntam anecier	-----|-⌫---⌫---⌫-||-⌫------|
eta ho rsdupais	-||--⌫-|-|---|
pou rxm qu il re c hetoit	---⌫|-|-|-|--⌫-⌫-----|
dontioseph grant	---|-----|----|
amarieest iose ph uen us	|----|--|----⌫-|---⌫-|
mou td olentet mou tirascus	---⌫|-⌫----|-|---⌫|------|
et liadit m a	-|-||--|-⌫|
pechiefeite s et uilani e	-----|-----⌫|-|------⌫|
ne chas tiezxm	-|----⌫---|-|
c armenaciésuisansraiso n	-⌫-|-------|--|---|-----⌫|
pourunenfan tqu	---|-|-----⌫|-|
moutn ousenhee ntles	---|-⌫--|-|---⌫-|--|
enper ilsonmez	-|---⌫-|-----|
nenous meitent	-|---|------|
q uant mar ieiosephentent	-⌫---|---⌫-|-----|-----|
enfantui nt	-----|--⌫-|
douc emen t	----⌫----⌫|
a moustré	|-------|
t outle fet	-⌫--|-|--|
si con iosephliou t retr eit	-|--|-----|-|--⌫|----⌫--|
ditmon enfant dous	--|--|-----|---|
quoineuouschessiez uous	---|-|---|-------|---|
t antdauer site	-⌫--||----⌫---|
asenf fansdece s te	-|---⌫---|-|--⌫-⌫-|
dontmena ciez	---|----⌫---|
i eet uospere	-⌫|-|--|---|
sonmez chascuniou r a desfere	-----|------|---⌫||------|
enffantquaués tué	------|-|----|---|
uospere sma conté	--|----⌫|||-----|
xmlidistdouceamie	-|-|---|----|---|
sachi e z neuousm en tiroimie	-----⌫-⌫|-|---|-⌫--⌫----|--|
quanti ef aisoiea maman iere	----|-⌫|-⌫-----||-|---⌫---|
unp etit l euet raireariere	-|-⌫---||--|-⌫----|-----|
ungarcon felonnet	-|-----|-------|
tantostsonbasto n	------|--|-----⌫|
dedensmeit	-----|---|
car tous mesl ai s	--|---|--|-⌫--⌫|
doucemeremoutm en	----|---|---||-|
ne mepoitenird umaldire	-|-|--|----|-⌫|------|
cartropen oia u cuergrantire	--|---|-|-|-⌫|---|----|--|
est li f elonmort	--|-|-⌫---|---|
mes ila ura	--|-|-⌫--|
ore r eso rt	--|-⌫---⌫-|
merepouruostr e	---|---|-----⌫|
gr a ntamor	--⌫-⌫-|---|
qu eiamezn	--⌫|----||
auroisanul io r	-----||--|--⌫|
blasme dontuo uspuisseretraire	-----|---|--⌫-|-----|-------|
d euezplaire	-⌫---|-----|
xmp orl amor desamere	-|-⌫-||---|-|-|---|
etpo rl apitie	-|--⌫|-⌫|----|
desonper e	-|--|---⌫|
est m aintenantleueze n peis	--|-⌫--------|----|-⌫|---|
uersle iu if s est ad rechiez	---|-|--⌫-||--|--⌫------|
a de sonpie hurt é	|-|--|--|----⌫-|
leiuif errants	-|---|-----||
e st leué	-⌫-|----|
uenirlefistdemor taui e	----|-|---|-|---⌫||--⌫|
am oursamere	--⌫--|-|---|
qua ntl eiuif	---⌫-|-⌫|---|
r es us cita	-⌫--⌫--⌫---|
on qu esx mnen	--⌫--⌫-|-⌫||-|
iuif resucitez	---|--------|
fux mne sestar estés	-|-⌫|-||--|--⌫-----|
ain suintase slaysmain tenant	---⌫|---||--⌫|---|----⌫-----|
enso ncuer g rantioiefaisant	-|--⌫|---|-⌫---|---|------|
du tayquei lec questrouua	-|--|--|-⌫---⌫---|-----|
dou zemois niax en	---⌫-|----⌫---|-|
ausam edilesfistuoler	-|---⌫--|--|---|----|
et deuant les	-|-----|--|
iuis ale r	---|---⌫|
d ec efurentmoutesba hi	-⌫|-⌫|-----|---|----⌫-|
li iui f qu iso n tentorlui	-|---⌫|--⌫|--⌫-⌫|----|--|
aios ephl epere xx x	|---⌫--|-⌫|---|--⌫|
esttantost un i u if uenus	--|------|-|-⌫-⌫-|----|
etenafet plaintemo utgr ant	-|-||--|------|--⌫-|--⌫--|
etl e reprentdes on enffant	-|-⌫|------|-|-⌫-|------|
queausabath lesuefre ouurer	--|-|-----|-|-----|-----|
mout souuentlen	---|------||-|
fetilouure r desfent	--|-|-----⌫|------|
iour desabatatout egent	---|-|----||----⌫|---|
iosephde mandea	-----|--⌫----||
a sabathpo ur quoilaue ́ sfet	|-----|--⌫-|---||---⌫-⌫|--|
xmnesen fis tlors	-|-||-|---⌫|---|
deuant iosephapri s adire	-----|-----||---⌫||---|
u ole ́smo isniaxetpuissi rist	-⌫---⌫-|--⌫-----|-|---|-|---|
enbatant s esmainsxmcrist	-|-----|-⌫-|----|-|----|
lor suolerent sans	---⌫|-------|---|
parla uil e et par	--|-|---⌫|-|--|
aucuns qui furent enpresent	-----|--|-----|-|------|
loerentdieu omnipot e nt	------|---|-------⌫-⌫-|
l e siuisplainsdefelonn ie	-⌫-⌫|---|-----|-|------⌫-|
axmp orterent enuie	|-|-⌫-------|----|
decequex m cristout	-|-|--|-⌫|----|--|
firentl es iu isungran t	-----|-⌫-|--⌫-|-|----⌫|
pui sti nd rentnotmie grantment	---⌫|--⌫--⌫---||-|--|--------|
lesiu is ungrant	--|--⌫-|-|----|
parl ement	----⌫----|
etdisoienttuitli	-|-------|---|-|
quil auoittre spas sez lorlais	-|-|----|---⌫----⌫--|--|---|
xmdeuant eus tousal oit	-|-----|--|---|--⌫--|
mes uni uif fel iauoit	--|-|-⌫--|--||----|
plaines toitd	----|--⌫---||
ire etdeco u rous	--|-|-|--⌫-⌫---|
fer irala xm led ous	---⌫-|--|-|-|-⌫--|
parmout gra nt ireuncoup mou t	--|---|---⌫-|--|-|---|---⌫|
quala terref utrebuch an t	-||-|----|-⌫|-------⌫--⌫|
ioseph le uit mout	-----|-|--|---|
m espasreuengie r nelosa	-⌫-|--|--------⌫|-||--|
sitostconm eoutxmfer u	-|---|----⌫|--|-|---⌫|
fua laterre mort	-||-|----|---|
iuifdemort	---|-|---|
re chut lamerite	--⌫---|-|-----|
lorz ioutgrantcrietgrantnois e	---||--|----|--|-|----|----⌫|
aup rodon iosephmoutem po ise	-|-⌫----|-----|---|-|--⌫--|
q u elifeliuif mortestoit	-⌫-⌫|-|--|---|---|-----|
mesmout biendes erui	--|---|---|---⌫---|
carf eruauoitpourno ie nt	--|-⌫--|----|---|--⌫--⌫-|
xmcr istason escient	-|--⌫--||--|------|
ta ntostapresceleauentu re	--⌫----|----|---|------⌫-|
terre g rantmurmure	----|-⌫---|------|
desiuisquigrant	--|---|--|----|
d e uletfort	-⌫-⌫-|-|---|
f ont pourlei uif	-⌫--|---|-|-⌫--|
qui est mort	--|--|---|
amariesenuo nt pla ingnant	|----||-|--⌫-|---⌫------|
tuitlipetitet tuitl igrant	---|-|----|-|---|-⌫|----|
etchascunmout	-|------|---|
for mentle mp rie	---⌫---||-⌫|-⌫--|
quee lle son enfantcha st ie	--|-⌫--|--|-----|---⌫--⌫-|
marieetioseph ens ement	----|-|-----|---⌫----|
si pristrent xm	-|--------|-|
lor en fant	--|--⌫---|
et moutdeboncu erliprierent	-|---|-|--|--⌫-|-|-------|
etdoucemen tlamonesterent	-|--------⌫||-----------|
deuant tous	-----|---|
ce x quila	--⌫|--|-|
s icon cex qui	-⌫|--|--|--|
dec uer la mo i ent	-|-⌫--||-⌫--⌫-⌫--|
g ard ast deferemal	-⌫---⌫--|-|---|--|
enpes alas tet chaetla	-|--|----⌫|-|--|-|-|
lime stred eus tousaraisonne	-|--⌫---||--|---|--------|
sire i o seph le bonprodonme	---|-⌫-⌫---|-|--|-------|
et liaditdeuanteustous	-|-||--|-----|--|---|
s ireiosephque	-⌫--|-----|--|
feites uo us	-----|--⌫-|
ie lo qu ecreésmonconseil	-|-|--⌫|-----|--|------|
dune chosequedireue ul	|--|----|--|---|--⌫-|
uo strefi x uo u snous baillés	--⌫---|--⌫|--⌫-⌫|---|-------|
s i lesseratous se sforfe s	-⌫|------|---|--⌫|-----⌫|
n ousliaprendr ons de clergi e	-⌫--|-|-------⌫--|-|------⌫|
sonme stresera	--|--⌫---|---|
oie anostre	--||-----|
loisouu ent	--|----⌫--|
lors ad ist iosephense ment	---||-⌫--|-----|----⌫---|
a xm que oeusalast	|-|--||--|----|
ne ca nulma lnelorparlast	-|||--|--⌫|-|--|------|
biaxfixenco rt e	---|--|----⌫|-⌫|
quetegardesd eus couroucier	--|-|-----||--|---------|
ainssiconmeioseph	-----|----|-----|
a sondou s fix quetantamoit	|--|---⌫|--|--|---|----|
l on tlii uifaraisonné	|--⌫|-|-⌫--|---------|
etl iontasprementmoustr e ́	-|-⌫|--|--------|------⌫-⌫|
ioseph iose ph	-----|----⌫-|
fontliiuis	---|-|---|
m out estoutrageusuostrefix	-⌫--|--|--------|-----|--|
ila pl usfez degransoutrages	-||--⌫-|--|-|----|-------|
quene fist honsdeu osli ngnages	--|-|---|---|-|-⌫-|--⌫------|
undenosiuisa ocis	-|-|--|---||---|
quimoutpares toitdegrantpr is	--|---|--|--⌫---|-|----|--⌫-|
legred e nos	-|--|-⌫|--|
amisfachi és	---|-----⌫--|
outosthorsdu pais aillie z	-|---|---|-|---|------⌫|
cara utr emente nce s t eterre	--|-⌫---⌫----|-⌫|--⌫-⌫-⌫|----|
nep oésdemor er	-|-⌫---|-----⌫-|
s ansguerre	-⌫--|-----|
c ar i l nest	-⌫-|-⌫||--|
pasdupuepl eam és	--|-|-----⌫|--⌫--|
sedemoreren	-|------|-|
pesuoulé s	--|------⌫|
bones tque lenlireque si s t	--|--⌫|--||-|-|-----⌫--⌫-⌫|
q uelemortre uiu refei st	-⌫-|-|---|--⌫---⌫-|---⌫-|
puisque il	------|-|
en alepou oir	-||-|---⌫--|
seuoulésempes remanoi r	-|------|-|--|-------⌫|
quant iosep hoilesnouu eles	----|-----⌫|-|--|----⌫---|
sa chiez qu aucuerlifurent bel ez	--⌫----|-|-|---|-|-----|---⌫-|
erraume nts	-------⌫-||
en uinta ma rie	-|---||--⌫--|
etmout doucement	-|---|--------|
li d eprie	-|-⌫----|
queelleasonfixpriast	--|---||--|--|-----|
iuifresuscitast	---|----------|
qui estoitm ortdemort	--|-----|-⌫--|-|---|
s i demorronenpesetquite	-⌫|-------|-|--|-|----|
elle distiose p hamischiers	---|---|----⌫-⌫|---|-----|
si fe r oigem out uolentiers	-|--⌫-⌫-|-|-⌫--|---------|
marieaxm lorsse n	----||-|---||-⌫|
doucementpa r lam ainletint	--------|--⌫|-|-⌫--|-|---|
etli depri equ eilfache	-|-|-----⌫|--⌫|-|----|
leiuif reuiure en laplac e	-|---|------|-|-|----⌫|
xmr espontm adouce m er e	-|-⌫-----|-⌫|----|-⌫--⌫|
u ostreuouloir	-⌫----|------|
do igebi en fere	--⌫|-|--⌫-|---|
tantost xmalato ut dr oi t	------|-|--|--⌫-|--⌫--⌫|
laou leiuifmortestoit	-|-|-|---|---|-----|
pr is tparloreil le	--⌫--⌫|--||-----⌫-|
lieueto idistilettesuei l le	----|--⌫|---|-|-||-----⌫-⌫-|
liiuif sau tq ue	-|---|---⌫|-⌫-|
plusnatent	---||----|
deuant le siui senpresent	-----|--⌫|---⌫|-|------|
et xmd ilec	-|-||---|
issi lemortre suscita	---|-|---|--⌫------|
touslesiuisqu i	---|--|---|--⌫|
i lecerent	-⌫--|----|
de cefor ment s e merueillerent	-|-|---⌫---|-⌫|------------|
marieetiosephe ns ontlies	----|-|-----|-⌫|-⌫--|---|
carmout estoientmane chiez	--|---|-------|----⌫----|
desge ns detoute	--|--⌫-|-|----|
seleiu if resu scit é	-|-|--⌫-|----⌫----⌫-|
nef ustilcouuenist sansfaille	-|-⌫--|-|--------|---|-----|
que ileusse nt	--|-|-----⌫-|
laba ta ille	-|--⌫--⌫---|
a siuisqui ne c onn o issoient	-⌫|---|--|-|-⌫---⌫-⌫-------|
xmdontaweuglés esto ient	-|---|--------|----⌫---|
uniu ifmes trezachari e	-|--⌫-|---⌫--|-------⌫|
quitant s auoitdelacl ergie	--|---|-⌫----|-|-|--⌫----|
dexmgrantenu ie	-|-|----|---⌫-|
aiosephfolie endisoit	|-----|----|-|-----|
iose p h que	----⌫-⌫|--|
ne feitesapren dre	-|-----|-----⌫--|
uos trefixetleit resentendre	---⌫--|--|-|----⌫--|-------|
len uo u sen d euroitpar raison	--|--⌫-⌫|-|-⌫-----|--|-----|
c h acierhor s	-⌫-⌫----|---⌫|
entoutes aison	-|----|-⌫----|
iosephaditque leprenés	-----||--|--|-|------|
etauequesuouslamenés	-|------|---||------|
carblasmémen	--|------||-|
aués a tor t	----||---⌫|
prenezle carbien	-----|-|--|---|
atantzacharie leprent	----|-------|-|----|
auecluilamai nneerra ument	---|--||----⌫--|----⌫----|
xm gueres nedemora	-|-----|-|-----|
qu eas onmestreoposa	--⌫||-⌫-|-----|----|
etli atantostdemandé	-|-||------|-------|
or me dit esnesoitce lé	-|-|---⌫-|-|---|--⌫--|
uousregardezenuostreloy	---|-------|-|-----|--|
mouttressouuentcarbi e nl es oi	---|---|------|--|--⌫-⌫|-⌫|-⌫-|
mesauriezu ous ore a	-|------|-⌫--|--||
aqu oiiepensebi a usd ous	|--⌫-|-|----|--⌫-⌫-|-⌫--|
car plus qu idiezsauoir	--|---|--⌫----|-----|
qu etretous	--⌫|------|
cexdecest reignez	--|-|---|------|
deto u tesg ensa ué s le	-|--⌫-⌫--|-⌫--|-⌫---⌫|-|
pourdie uuoustiennent uosamis	---|---⌫|---|-------|--|---|
biausire orn e meramp orn é s	---|---|-|-⌫|-|----⌫---⌫--⌫|
sa uésuous quant uo usfustez	--⌫---|---|----|--⌫-|-----|
ce rtes uousnelesaués mie	--⌫---|---|-|-|-----|--|
mes ieensai toutel a	--|-|-|--|----|-⌫|
etp or quoi donq uesbla smez uous	-|-⌫-|---|----⌫--|---⌫---|---|
iosep hq ui estmon pere dous	-----⌫|-⌫-|--|--|---|---|
mestreentende ́schaun	-----|-------⌫-|--|-|
mou sterroiuo us q ueditl	---⌫------|--⌫-|-⌫-|--||
u ndieuen t errenésera	-⌫|---|-|-⌫---|--|---|
qu i tou tes chosez	--⌫|---⌫--|-----|
orestcelui	-|--|----|
ent errené s	-|-⌫---|---⌫|
et uouss ouuentueu l	-|---|-⌫-----|--||
etquant auec uouslauiez	-|----|---|---||----|
pou rquoi neleconnoissiés	---⌫|---|-|-|-----------|
etqu ant zacha rieentent	-|--⌫--|-----⌫--|-----|
lesbo nsmosquedisoitl enfant	--|--⌫-|--|--|-----||-----|
esbahi setintethon n i	-----|-|---|-|---⌫-⌫|
ettui t liautr emestre aussi	-|---⌫|-|----⌫|-----|----|
etconm entfet il puetcee stre	-|----⌫--|--|-|---|-|-⌫---|
quete lenfant pout	--|--⌫|-----|---|
on quesn estre	--⌫---|-⌫----|
auis n ous est a sa	---|-⌫--|--||-|
set plusque mestre descole	--|---|--|-----||-----|
x mlordisto rentendés	-⌫|--|---|-⌫|--------|
entreuoustre tousbiensaués	----|---|---⌫---|---|-----|
quedonés uousfu abrah am	--|-----|---|-|-----⌫-|
atous p orperechascu nan	|---|-⌫-|---|------⌫|-|
etsilfe isoient	-|-||--⌫------|
uosan c estre se tenchant oient	--|--⌫-⌫-----⌫|-⌫|-|-----⌫----|
boncuer tretuitlamerent	--|---|------||------|
etplusque nu ldie ul ed outerent	-|---|--|--⌫|---⌫|-⌫|-⌫-------|
parluitindr ent lor	--|--|-----⌫--|--|
chascunlam a mo utendroit	------||--⌫|--⌫-|------|
cil abra hamqueieuousdi	--|----⌫--|--|-|---|-|
tr etou apertementleui	--⌫---|---------|-|-|
etpa rl aialuimoutsouuent	-|--⌫--⌫-||--|---|------|
i ch esac hie z	-⌫--⌫|---⌫---⌫|
c ertainement	-⌫----------|
tantost lirespo nt uniuif	------|-|-----⌫-|-|---|
enco r eestesasespetit	----⌫-⌫|----|---|----|
ment i r sa uroisas s es souue nt	----⌫-⌫|--⌫----|--⌫-⌫-|-----⌫-|
quant uousserez unpoi	----|---|----|-|--|
plus grant	---|----|
m en t ezencortoutpar lois ir	-⌫--⌫-⌫-|----|---|--|----⌫-|
etnouspe nseronsdeloir	-|---|--⌫------|-||--|
xmaparlerreconmence	-||-----|---------|
mestreleu ichanusbarb és	-----|---⌫|-----|----⌫--|
mal em en tconneu m aués	---⌫--⌫--⌫|-----||----|
auant queabrahamiefu i	-----⌫--|------|-|--⌫|
etsimaueziadesm enti	-|-||---|-|----⌫---|
bien est esaweug lestretou s	---|---⌫-|-----⌫--|------⌫|
car i aiestésouuento uous	--||-|----|------||---|
et uous ai toutmon	-|---|-|---|--|
sens moustr é	---|------⌫-|
e tuou s mauezbien escouté	-⌫|---⌫||---|---|-------|
et si nesaués	-|-|-|-----|
lorssetintpour con c lusleui	---|-|---|---|---⌫-⌫--|---|
etde smestreztretout	-|--⌫|------|------|
uoutdemorernus	---|------|--|
apres un petitetdetens	----|-|------|-|---|
s al ere ntiouer	|--⌫---⌫-|----|
le s enf an s	--⌫|---⌫--⌫|
et xmau ec eus ala	-|-|--⌫-|--|--|
mons ouilp a ssa	---|-|-|-⌫-⌫--|
es co utésquel ienfa nt	--⌫--⌫----|--|-⌫|----⌫-|
demontenau trehaute t grant	-|---|-|--⌫--|---|-⌫|----|
sai llidieu	---⌫--|---|
et puis lienf fant	-|---|-|---⌫---|
mez nul iuif le saut	--|--|---|-|---|
que brasou	--|---|-|
oucol ouespauleoubras	-|--|-|------|-|---|
desai llirfurent mou t tost	-|---⌫---|-----|---⌫|---|
bien doiu ent	---|----⌫--|
malementmorir	-------|----|
qua nt die u fo ntd enuiesaillir	---⌫-|---⌫|--⌫-||----|------|
d e male eureaprisauoi e nt	-⌫|---|---|----|----⌫-⌫-|
asaillirq u anti l ne sauoient	|------|-⌫-⌫--|-⌫|-|-------|
mes unenfant	--|-|-----|
s aillirneuout	-⌫-----|-|---|
p our nulerien sq ue ilne	-⌫--|---|----⌫|-⌫-|-|-|
que xm amoit	--|-|----|
partretous l esl iex le s iuoit	--|------|-⌫-|-⌫--|-|-⌫----|
xmaceluiregardé	-||----|-------|
aaluiparlé	||--|-----|
etsi li distdemeure	-|-|-|---|------|
nasq ue quer re	|-|-⌫-|----⌫-|
liiuif quifir entle saut	-|---|--|---⌫--|-|---|
saillidetrop	-----|-|---|
tousfurent m orsi s nellepas	---|-----|-⌫--|-⌫-⌫-------|
fors celuiqune	---|----|-|-|
ides fendi	|---⌫----|
issicon u ousauez oi	---|--|-⌫--|---|-|
leuien fistparol legrant	---|-|---|-----⌫-|----|
t retousuont	-⌫-----|---|
xmmanechant	-|--------|
iose p hp o uruo irni	----⌫-⌫|-⌫-⌫-|--⌫-|||
es toitmie	--⌫---|--|
ne madamesa int emarie	-|-|---|--⌫---⌫|----|
liiuifparmou tg rant	-|---|--|---⌫|-⌫---|
dientquama le decepline	----|-||--⌫-|--------|
ies uetferonttuitmori r	---⌫--|-----|---|----⌫|
seaspoins lepueent	-|-|----|-|-----|
po urcefistmarieproier e	--⌫-|-|---|----|------⌫|
a iesuet sa mere chiere	|-----|-|---|-----|
queileust decex piti e	--|-|---|-|--|----⌫|
quigisentmortetafolé	--|-----|---|-|-----|
iso ient resurrexit	|--⌫---|---------|
uouspri ge b iausdousf i x	---|--|-|-⌫---|---|-⌫-⌫|
xmsameremou t	-|-|---|---⌫|
e t porce que ta nt liprioit	-⌫|--|-|--|--⌫-|-|-----|
sen est alé aumo nt	|-|--|---|-|--⌫-|
ets if istbelmiracl e et	-|-⌫|-⌫--|--|------⌫|-|
iui fs mors	---⌫-|---|
etparsonnonchascuncla ma	-|--|--|--|------|---⌫-|
etsilor distto stsus	-|-|--|---|--⌫-|--|
etm e dites	-|-⌫|----|
doncuousuenez	---|---|----|
chascu ndi stce	------⌫|--⌫-|-|
queiluouloit	--|-|------|
amainnetoutdroit	------|---|----|
deuan t samere	-----⌫|-|---|
quiauc u er enoutioiegran t	--|-|-⌫-⌫-|-|--|---|----⌫|
nostredamee npez d emora	-----|---|-⌫|--|-⌫----|
etdant ioseph	-|---|-----|
que mout ama	--|---|--|
nefure nt maneci e z	-|----⌫-|------⌫-⌫|
de siuis do nt moutfurent liez	--⌫|---|--⌫-|---|-----|---|
nostre da mesaintemarie	-----|--⌫-|-----|----|
uni oraiesuetdeprie	-|-⌫-||-----|-----|
queilalastdeleuequerre	--|-|----|-||--|-----|
e tlenfant ialagra nt	-⌫||-----||--|---⌫-|
aun eclerefontenele	|--⌫|----|--------|
q uimout estoitetbeleetc lere	-⌫-|---|-----|-|---|-|-⌫---|
main teh erbe	----⌫-|-⌫---|
iout etbo nneetchiere	|--|-|--⌫--|-|-----|
qui furentdemaintemaniere	--|-----|-|-----|------|
xmui ntla unpo tte nant	-|--⌫-|-|-|--⌫|--⌫---|
etaue cluimantautree nfant	-|---⌫|--|---|----|-⌫----|
deuant tousuoutpuch ier	-----|---|---|----⌫--|
li dousenfezmesilne	-|---|----|--|-|-|
car liiuitel neuouloient	--|-|-----|-|--------|
qui contrelui	--|-----|--|
fo r test riuoient	--⌫-⌫|---⌫-------|
liiuitelpramisliont	-|-----|-----|-|--|
potlidep echeron t	--|-|---⌫-------⌫|
si firentillilarroncel	-|-----|-|-|--------|
donta xmne fupas bel	---||-|-|-|--|--|
s onpot pucha	-⌫-|--|----|
uniuifson pot	-|---|--|--|
