LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
hautecon me nsaacrierParDe u	----|---⌫--⌫--||----|--|--⌫|
traïtres aua nte stl iauté zEncor	--------|---⌫-|-⌫-|-⌫|-----⌫|----|
conuientuostreoff rande	-------|-----|---⌫----|
porter.Hardrézlante nt l esens	------|-------||----⌫-|-⌫|---|
cuida de suerPuis	----|--⌫---|---|
remon tael dest rierse iornéSenes tuenusdes oz	-----⌫-|-|----⌫---|--⌫-----||-|--⌫|----|---⌫-|
Paris e nz	----|-⌫-|
présOugransiertla bataill e.Orsont li	----|-|----|---|-|-------⌫-|-|---|-|
cont eenz ens	----⌫|--|--|
présuerdoia nsDambesdouz	----|-------⌫-||--------|
parslor fiston ra ns moultgran s.	---|--|---|-|--⌫-|----|----⌫-|
Nostreemperere s anfait crier so nbanQueil	-----|--------⌫|-|---|----|--⌫|--|--|-|
cheualier ne seria nt	--------|-|-----⌫-|
Quidi emotsorlesmembres perdan sT ant	--|--⌫|--|--|--|------|------⌫|-⌫--|
queliunsen	--|-|--|-|
sera recreans.Les	---|--------|--|
de st riers hurtentdeses perons	--⌫--⌫----|------|--|--⌫-----|
trancha ns	-------⌫-|
Granscopssedonnent sorlesescusdeuantLes	----|---|-|------|--|--|----|-----|--|
lan cesbri sent	---⌫--|---⌫---|
lia rsonuont r omp a nt Quilsentraba tent	-|-⌫---|---|-⌫---⌫-⌫-|-|-||---|---⌫---|
ambeduien zel	------|--⌫|-|
cham p.O r so ntanduiparterre. Or so nt lic onte	----⌫-|-⌫|--⌫-|----|--|-----|-|--⌫-|-|-⌫---|
cheu ̈enue rs Amis trebuche lifel Hardrézapréz.	----⌫|----⌫-|---|-------|-|--|-------|------|
r elieuee tAmis	-⌫-----|-⌫|---|
sautenpié s. Hardrézatra i t l espee dont	---|-|----⌫-|-------||---⌫-⌫||----|---|
br unsont li coutel uersAmi	--⌫-|---|-|-----|---|--|
gra nssaus conmecers	---⌫-|---|----|---|
S ilefe rides grans copsen	-⌫|-|--⌫-|--|----|---|-|
trauers.Seissantema ill es	-------|--------|--⌫---⌫-|
li r ompidou hau bercPuisli a	-|-⌫---|--|---⌫---|---|-||
dit D antAmile	--|-⌫--|----|
Monencient	--|------|
feru depr éz.M ari feïstez B elissantle	---|-|--⌫---|-⌫-||-------|-⌫-------|-|
ce mb el Pard e sozlac h em i se.Li cuensAmisa	--⌫--⌫-|--|-⌫-⌫--|-|-⌫-⌫--⌫-⌫--|-|----|---||
membreeMautale nto t	------|-------⌫-|-⌫|
dou l aitcopet	--|-⌫--|--|-|
douler r e.Ilt rait	--|---⌫-⌫-|-|-⌫---|
or enheudee EtfiertHa rdré	-|-------|-|----|--⌫----|
s orlac ercl e	-⌫-|-|-⌫----⌫|
dor e e.La destreoreille	---⌫-⌫-|-|-----|------|
liadou chief	-||--|----|
s e ureeIusala	-⌫-⌫---|--||-|
t erre lia touteportee Puisli	-⌫---|-||----|-----|---|-|
aditp aroleramponee	|--|-⌫----|-------|
P arDe uHardré ce stea uéz	-⌫-|--⌫|------|--⌫--|-⌫---|
mal gardee	--|-----|
Abonne pieceni ere	|----|----||-⌫--|
ma i s res anee.Lafill e Charlemarlaueï stez	--⌫-⌫|---⌫----|-|----⌫|-----|--|-|----⌫---|
d eff anz autranchant delespeeQainzu ne nuit	-⌫---⌫--|-|--------|-||----||---|-⌫-|---|
moipri ueeParquoi mauuaisedeüst	--|---⌫--|--|---|-------|-----|
iestreclamme eLabel e	-----|------⌫|-|---⌫|
filleCharle.	----|------|
Qu ant u aitHardrézquelore ille aperdue	--⌫--|-⌫--|-------|--||---⌫---||-----|
Dema uta le nt	-|--⌫---⌫--⌫-|
touzlicorslitressu e.Iltrai tle spee	---|-|---|-|------⌫-|-|----⌫||-⌫---|
doufuerre tou te	--|-----|---⌫-|
nueuer sAmicortp utem entle	--|---⌫|--|---|-⌫----⌫--|-|
salueQuedel espee	----|--|-||----|
qui fud e uan taigueLefie rt deuantdou	--|-|-⌫-⌫---⌫|----|-|---⌫-|-----|--|
b outen la	-⌫--|-|-|
L i cuen ss abaisse	-⌫|----⌫||------|
acuiDexfist aiu eParl esoreillesest	|--|--|---|---⌫|--|-⌫-|-------|--|
le spe ecorrueEntrelacoiffeetlat es tepelue	|-⌫---⌫|-----|----|-|-----|-|-|-⌫--⌫-|----|
derrieree st lespeecorru e.	-------|-⌫-||----|-----⌫-|
Etd an s Hardréz fie rements	-|-⌫--⌫|-------|---⌫-----||
e suert ueAluila	-⌫-----⌫-||--|-|
s aich e mais	-⌫----⌫|---|
nel apaseüe.	-|||--|----|
enpasse n ifa itarresteüe. G ran tpaor ont	-|----|||--⌫-|----------|-⌫---⌫|---|--|
tuitc il quil	---|-⌫-|--||
ontueüe Quilcuidentb ie n q uanchief l i	--|----|-|-|------|-⌫--⌫|-⌫|-|----|-⌫|
soi t ferue.	---⌫|-----|
A Belissanttrestouzli sansre m ue.	|--------|-------|-|---|--⌫-⌫--|
L as se di st ellemar	-⌫--⌫-|--⌫-|---|--|
fuio nq uesueüeQu antpor moiest	--|-⌫--⌫--|----|--⌫--|--|--|--|
texba tailler an due.	--|--⌫-----|-⌫--⌫---|
Miexfus tpar	---|---⌫|--|
Deuqueiefuisse fondueArse e nun	--|--|-|-----|-----|---|-⌫|-|
c outia usfand ue. HécuensAmilesDexu ozf acehui	-⌫-----⌫-|----⌫--|--|----|-----|--|-⌫-|-⌫--|--|
uostre proescequestel le de uenue	-----|------|-|--|--⌫-|--⌫----|
T an tsoloitiestreet	-⌫--⌫|-----|-----|-|
dout eeetcremue.Setu le uainztouziors	----⌫-|-|------|-|-|-|----|---|---|
sera i tadru e.	----⌫|-|---⌫-|
Onquesnefu	-----|-|-|
s i m e screu ̈e.	-⌫|-⌫-⌫-----⌫--|
Aicestmot estpasmee cheüe	|----|--|--|-----|-----|
Tant fortse pasmep or mo rtelont	---|---|-|----|-⌫-|--⌫--||--|
tenue.P lorentlesg ens	-----|-⌫-----|--|-⌫--|
lesgranse t	--|----|-⌫|
le smenuesTo ut	--⌫|-----|--⌫-|
po r l afille	--⌫|-⌫|----|
Charle.Li cu ens	------|-|--⌫--|
Amisalanouue ll e	---||-|-----⌫--⌫|
oïeDeBeli ssantqui	---|-|----⌫----|--|
por li braitet	--|-|----|-|
Degrantpitiéli	-|----|-----|-|
cuersli atanrie	----|-|------|
I l tint l espee dontli	-⌫|---||----|---|-|
aciersbrunnie E tfiertH ardre ́	-----|------|-⌫|----|-⌫-----⌫|
dou po mmelle ́zl oïeSiruisteco ptouz	--|--⌫---|--⌫-||---|-|-----|--⌫|---|
lipoinslif remie	-|----|-|-⌫----|
Etquelesp ee	-|--||---⌫-|
l ies td oupoi ngsaillie.A terrechiet	-⌫|--⌫|-⌫-|---⌫-|-------||----|----|
Hardréz lasaisie.	-------|||------|
Quant illati ntmou ltforment sen	----|-|-|--⌫-|---⌫-|------||-|
escrie ParDeu	-----|--|--|
Amilesnen portere ́zlauie.Mar	-----||-|-------⌫-|-|---|--|
aco intast ezBe lissantuostreamieChieruoz uendrail asoi e	---⌫------⌫-|--⌫------|-----|---|----|--|------|-⌫|---⌫|
druerie.Ilti nt lesp eequala	-------|-|--⌫-||---⌫-|-||-|
terreotsaisieEt	----|-|-----|-|
fiertle contesorl iaume	----|-|----|--||----|
de PauieSi ruistecopque	-|----|-|-----|--|--|
esparg ne mieEtqu e	------⌫-|--|-|--⌫|
lespe e qui elhi aume estoitmise	|----⌫|--|-|--⌫---|-----|---|
Porle gra n tc opest	--|-|---⌫-⌫|-⌫-|--|
douhi a ume saillie.Ainzquelle	--|--⌫-⌫--|-------|---|-|---|
l aterr eabaissie	-⌫|----⌫|-------|
L auoi tli	|----⌫|-|
cuensetprinse etempoi ngnie.	----|-|-----|-|-----⌫-----|
Ne fus t siliésq uilidonnastPauie Ne	-|---⌫|-|----|-⌫-|-|------|----|-|
toutu erziausne	---|-⌫------|-|
t res t oute Yu orie. Ou	-⌫---⌫-⌫---|--⌫----|-|
uoitHardréfierementliescrie	---|------|--------|-|-----|
Siretraïtres	---|--------|
seD ex mebeneïeLauostreespeea la	-|-⌫-|-|------|-|-----|----||-|
changie.Marlapo rtastez encestepraerieM ienan c iant	-------|--||---⌫------|-|----|------|-⌫--|--⌫-⌫---|
porteréz lauieAinzaueroiz	--------|-|--|---|------|
cel letes tetran chie	---⌫-|---⌫-|----⌫---|
Toutpor la	---|--|-|
fille Ch arle.LicuensAmist intl	----|--⌫----|-|----|---|-⌫--||
t ranchantSifier tHardré sor sonelmeluisa ntQu e flors	-⌫-------|-|----⌫|------|--|--|---|-----⌫-|--⌫|----|
e tpierrescont reu al endescentFausse la	-⌫|------|----⌫---⌫-|-|------|-----|-|
coi ffedel auberc	---⌫--|-||-----|
iazerant Sorleuisaige	-------|--|-|------|
l iruiste scopsdescentQ u el e	-⌫|------⌫|---|------|-⌫-⌫|-⌫|
d e streoil liab atit	-⌫-⌫---|--|-|--⌫---|
anchampSorl a	-|----|--|-⌫|
poitrined o u bl anc	-------|-⌫-⌫|--⌫--|
h aubercl i pant.	-⌫-----|-⌫|----|
uoitlelicuen s si le ua	---|-|-|----⌫|-|-|-|
rampo na nt ParDe u	-----⌫--⌫-|--|--⌫|
traïtresoruozuamal ementQue	--------|-|--|-|---⌫----|--|
d un ne part uoz	|--⌫-|---|--|
nonuoiant.u ozm ar u eï stezlabeleBe li ssantLa	---------|-⌫-|-⌫-|-⌫---⌫---|-|---|--⌫--⌫----|-|
Char lele ric heroipuissant . uozenper drézlat este.	----⌫-|-|---⌫-|--|--------⌫|--|-|---⌫----|-|-⌫----|
Or fuHardrézdurementesmarris	-|-|-------|-------|-------|
Qua nt uns i en	---⌫-|-|-⌫-⌫-|
oil uitcheoir	--|--|-----|
son pis. Iltin t l espee qui	--|---|-|---⌫||----|--|
fuau con teAmisSifiert	-|-|---⌫-|---|-|----|
leconte deu ant enmile	-|----|---⌫--|---|-|
un pe titque	-|--⌫--|--|
ilnelabat it.	-|-||----⌫--|
Ne fustl aube rs qu iie rtfors et	-|---||----⌫-|--⌫|--⌫-|---|-|
treslisT o ut le üstmort	------|-⌫-⌫-||-⌫---|---|
licuiue rsmaleïs.	-|-----⌫-|-------|
Or secom batentc omm ortel	-|-|---⌫-----|-⌫-|-⌫----|
Qu antliu espresaproche.Or	--⌫--|-|-⌫-----|-------|-|
sontl iconteambeduienzel	---|-⌫|----|------|--|-|
O n quesl unslautrene potle	-⌫-⌫---||--||----|-|--|-|
iormater. La fl orsde	--|-----|-|--⌫--|-|
a pel lé.Sire	-⌫---⌫---|---|
font il a nozenen t endézUne	---|-||--|-|--⌫-⌫-----|--|
paroleuozuolummezconter.Annuit ma isfaitez	-----|--|-------|------|-----|--⌫-|-----|
desarme r Iusquademainq u eliiorsp arra clers	-------⌫|----||-----|-⌫-⌫|-|---|-⌫---|----|
e l ch amp	-⌫|--⌫--|
lesremet ré z.EtdistliroisS icom	--|-----⌫---⌫-|-|---|-|---|-⌫|--|
uoz conmandéz.Isnellement les fa it	--|----------|----------|--|--⌫-|
Ii roisseurerEt	-|---|-----|-|
departiret lorarmes oster.Ain z	-------|-|--|----|-----|---⌫|
nesla issierentennull eu	--|--⌫--------|-|--|-⌫-|
arr esterTan tqueiluindre nt	---⌫----|---⌫|--|-|------⌫-|
aParis lacité.Isne ll eme nt	|----|-|-----|----⌫--⌫---⌫-|
lesaondesarme ́zDes chiés	--||-|-------⌫-|--|-----|
lorostentlesu er selm e s	--|-----|--|-⌫--⌫|---⌫-⌫|
remontentel palaisprincip el.	--------|-|-----|-------⌫--|
A u neta bl es ontassis por souperMoult	|-⌫-|--⌫--⌫|-⌫--|----|--|-----|----|
be l mengierlor	--⌫|------|--|
aona preste ́.	|-|-⌫------⌫-|
Li cue nsAm isse contientconmebe rAs sé z	-|---⌫-|--⌫-|-|-------|----|--⌫|--⌫---⌫|
menia queleior otiuné.E t	----|--|-|--|-|-----|-⌫|
Hardrézfuli trai ̈tres anf léz	-------|-|-|----⌫----|---⌫---|
Il nemeniastporlesmembrescoper.Enu ne	-|-|------|--|--|------|-----|-|-⌫-|
chambres enest	------||-|--|
liglozen tréz	-|---|--⌫----|
Un si enf illuel a deuantlu imandéEtcil	-|--⌫-|-⌫-----||-----|--⌫|-----|-|--|
iu intq uantill ot	|-⌫--|-⌫---|-||-|
co nm a ndé.Quant ille uoit si	--⌫--⌫-⌫----|----|-|-|---|-|
apelléFilleusdist i li eu ozaimoul t a mé Mais	------|------|---|-⌫|-⌫|-⌫-|-|----⌫|-⌫--|---|
u nnechos ea i	-⌫--|----⌫|-⌫|
faitgran t lascheté Defi l lolaige neuo zai	---|----⌫|--------|-|--⌫-⌫------|-|--⌫|-|
pointdonné.Orle uozuoil b el	----|------|-|-|--|---|-⌫-|
etgent presenterMais	-|---|--------|---|
unech os e	--|--⌫--⌫|
uozdiieparuertéTantcom	--|-|-|--|-----|---|--|
ie po itraïr et	-|--⌫|-----|-|
encus er SimamaCharl eset si	-----⌫-|-||--|-----⌫-|-|-|
fuisespriuéz.Oruoz	--|--|-------|-|--|
p riieque fa ciézautretel .M auuaisement filleus m	-⌫-|-|--|--⌫----|--------⌫|-⌫----------|------||
encontré Tout	--------|---|
leuisaigeaiiedes figuré.A bon ne	-|------|-|-|---⌫-------||---⌫-|
nieremaisresan éz	|---|---|-----⌫--|
Maispa r l apostrecuiDex donnabon	---|--⌫||------|--|--|----|--|
gré MorsestAmilesse gelpuis	---|---|--|-----|-|--|---|
e n contrerDemain en la	-⌫-⌫------|-----|-|-|
bataille.Ie te chastoi	--------|-|-|------|
bia us fi lleus	---⌫-|--⌫----|
AuloriQue n	-----|--||
aiezcuredeDamme ldeu seruir Ne deuoi r	---|---|-|-----⌫---|-----|-|-|---⌫|
dire se necuides	---|-|-|-----|
uois preu dommepans e	---|----⌫----|----⌫|
deles charnir	-||--⌫------|
parolesetup uez	-----|-|-|-⌫--|
lehonni s.A rde ́ zles u illes lesborse t	-|-----⌫-|-⌫---⌫-⌫|--|-⌫----|--|---|-⌫|
lesmaisni ls.Metéz parterreautexetcruce fiz .Parce	--|------⌫--|-----|--|----|----|-|-----⌫---⌫|--|-|
seréz hon or ézetseru is.	-----|---⌫--⌫--|-|----⌫--|
-Ne t esma ierp a rrinsdist Auloris.Bien	--||----⌫--|-⌫-⌫----|---|-------|---|
a passe ́tro is	|-----⌫|---⌫-|
anstouzacomplis	--|---|-------|
Quede bi enfairenefuiuol enteïsMais	--|-|--⌫-|----|-|--|---⌫------|---|
demal querr esuito u zaman euis.MorsestAmiles	-|--|-----⌫|--|--⌫-⌫|----⌫----|---|--|-----|
esmaiézsi.ParDeu	-------|--|--|--|
bienlemesam ble .Lifel H ardréz	---|-|-|---⌫---⌫|-|--|-⌫------|
iutlanu it	--|-|--⌫-|
entr istorIusquaumati n que	-|--⌫----|----|-|----⌫|--|
cl erspar utl iiors.	--⌫--|---⌫-|-⌫|----|
Li cuens Amissedr essacontrem ontEnsondosuest	-|----|---|-|--⌫---|-------⌫--|-|--|--|---|
p elison ui entau	-⌫-----|--⌫--|-|
mon stiers	---⌫----||
afaites ori so nUn	|----||---⌫--⌫|-|
do ria off ert	|-⌫|||---⌫--|
leior Pui ssen repairea	-|--|---⌫||-|------||
sonostelel	--|----|-|
bo rc.Il uest	--⌫--|-|---|
lauberclace l elmer eontCeintea l	|-----|---||---|-⌫---|-----|||
espee ausenes tre giron Mont e	----|-|-----⌫--|----|----⌫|
en lase lledoud estrier	-|-|--⌫--|--|-⌫------|
arragon Asoncol	------||--|--|
pantunescu	---|-|---|
a lyonN otnulle	|---||-|----|
que bri sies l esont . Sainnetrespas sedesozParis au pont.	--|---⌫---|-⌫-|---⌫|-----|-------⌫-|----|----|-|----|
Liroisi uaetli	-|---||-|-|-|
autre baronEtlaroïnne	----|----|-|-|------|
sor unmurl	--|-|---|
arr a gon.Fransoisarmerentletraïto rfelonDeblan c	---⌫-⌫---|-------|-------|-|-------⌫|----|-|----⌫|
ha ubercetd iaum e p ointa flor. Ceintea	--⌫----|-||----⌫|-⌫---||----|-----||
Monteenla seledou bon	----|-|-|---|--|--|
dest rie rgasconA	----⌫---⌫|-----||
pantunescualyonDis t	---|-|---||---|---⌫|
telparo l equilegreu ale	--|----⌫-⌫|--|-|----⌫|-|
iorIerf izbata illeelnon d ou	--|--|-⌫-|----⌫---|-|--|-⌫-|
C riatorHuilaferai el	-⌫-----|--|-|----|-|
ce lseignor Qui enuersDeu n enotonque s	--⌫|------|--|-----|--|-⌫-|-|-----⌫|
diabl escomancuiseraz prouz.S armeet	-----⌫-|--|----|----|-----||---|-|
conmande ́ato uz.	--------⌫||--⌫--|
Sainne tr espasseHardr e ́z litr a ïtorsuoitleli c uens	-----|--⌫------|-----⌫-⌫-|-|--⌫-⌫-----|---|-|-|-⌫---|
en p r inst granspaors. D exdis t	-|-⌫-⌫---|----|-----|-⌫-|---⌫|
i lPeresqui for mas	-⌫|----|--|---⌫--|
tou tlemon tMeïs	---⌫|-|---⌫|----|
saint Pierreelchi ef	----|-----|-|---⌫-|
dePréNoironE t	-|---|-----|-⌫|
conuertizs aintP olsoncom paingno nEtD aniel garis	--------|-⌫---|-⌫-|--|---⌫-------⌫|-|-⌫----|----|
e n la fosse	-⌫|-|----|
au lyonSicomcest	-|---|-|--||--|
uoir se tnozbienle	----⌫|-⌫|--|---|-|
cr eons Me	--⌫---|-|
doing niéz u oz ocir r e celglou to nQu	-----⌫----|-⌫-|----⌫-⌫|--|----⌫--⌫|-|
en c orre uoie lemi en	--⌫-⌫-|--⌫---|-|--⌫-|
chiercompaingnon Quiest aBlaiuies enma	----|----------|--|--||-------|-|-|
m eillorma i son.	-⌫-----|--⌫-⌫---|
Ainsizledis tquene lenten dionP ui s trait	-----|-|---⌫|--|-||-----⌫-|-|-⌫--⌫|----|
lespeedonta	|----|---||
or e stlipons Le destrie rbrochedest ranc hansesperons	-|-⌫-|-|---|-|-------⌫|-----|--|-⌫----⌫---|-------|
Etfiert H a rdr é un grant cop abandon	-|----|-⌫-⌫---⌫-|-|----|--||-----|
Entrel auberc etl	----||-----|-||
iaumepoint a f ior.	----|----||-⌫---|
Aunseul cop l i	|-|---|--|-⌫|
tran chale chieft out	----⌫--|-|----|-⌫--|
I usa l aterreestt re b uchi éz liglouz.	-⌫-||-⌫|----|--|-⌫--⌫-⌫----⌫--|-|-----|
Lirois leuoi t etli	-|---|-|---⌫|-|-|
autre baron.u assax distil	----|-----|-⌫----|---|-|
s auen e ́ ziusqu	-⌫|---⌫-⌫-⌫|----|
uozdonrai mafill e.	--|-----|-|----⌫-|
LicuensAmi s	-|----|---⌫|
genti z etbe r	-----⌫|-|--⌫|
Onquesleroinedeingnaesgarde rNeses	-----|-|--|-|------|-------⌫|-|--|
pa roles ne uoltai nz	--⌫----|-|---|--⌫-|
e sco ut erAinzuinta	-⌫---⌫--⌫-|---|---||
Sainnesiest outre	-----|-|--|----|
pas sézDe	---⌫---|-|
au tre partestdescendu s enzpr és.Oste sa sele	--⌫--|---|--|--------⌫|--|--⌫---|---|-|---|
sesc heuax est	--|-⌫----|--|
witréz Puis	------|---|
lare mi se	||--⌫--⌫-|
etsiestremontéz Sis	-|-|--|--------|-||
asesars ons	|--|---⌫--|
doréz.As a u oiscl erese	------||-⌫|-⌫--|--⌫--|-|
prinstae scrier	-----||-⌫-----|
Ieuoz de ffi droisemp ereres	-|--|--⌫--|----|---⌫-----|
ber. Malguerred onm e uoliie ́z	---|--|-------⌫-|-⌫|------⌫-|
donner P o r lamensonge dou	-----|-⌫-⌫|-|-------|--|
trai ̈torHardré.	----⌫---|-------|
B la i uiesretorn erAuc ompaingnon	-⌫--⌫-⌫---|------⌫-|-|-⌫---------|
l e puistro uu er	-⌫|---|---⌫--⌫-|
E n cestpa ïsn ozuerréz	-⌫|---|--⌫--|-⌫-|------|
retorner. Ne uoz	--------|-|--|
laironsne chast el necitéNe borcne	------|-|-----⌫-|-|----|-|---|-|
uillene nullefermeté.	----|-|----|--------|
Quant lib aron	----|-|-⌫---|
loientainsiz	|----|-----|
parlerLi c heualier onta	-----|-|-⌫-------|--||
Charl onp arléDroisemp ere ressel	-----⌫-|-⌫----|----|---⌫---⌫--|-||
enlaiss iézaler	-|-----⌫---|---|
Au compa ingnonse il	-|-----⌫-----|-|-|
lepuettrouuer En cesteterreles	-|---|------|-|----|----|--|
uerroi zret orne r.Neuoz	------⌫|---⌫----⌫-|-|--|
lairont donionn efermetéNeborc	------|-----|-⌫|-------|-|---|
n eui ll enechaste ln ecité.Seil uozplaist	-⌫|--⌫--⌫|-|------⌫|-⌫|-----|-|-|--|-----|
r etornerEtuost re filleBelissant lidonnézEt ta n tdou	-⌫------|-|----⌫-|----|--------|-|------|-|--⌫-⌫|--|
uostre qui lu ozensaiche gréz .Ma lguerredo nli	-----|-|-⌫|-⌫-|-|-----|-----⌫|--⌫|--------⌫|-|
donnerPorl esmenson ges au	-----|--|-⌫-|------⌫--|-|
traï torH ard re ́ Dontlarme	-----⌫--|-⌫---⌫--⌫|---||---|
soitm audite.Quantliroiso it etles fais	---|-⌫------|----|-|---|-⌫-|-|--|---|
Quel iba ronl idisoie ntainsiz Isnellementauboncheua l	--|-⌫|--⌫--|-⌫|------⌫-|-----|----------|-|--|-----⌫|
estprins Fie rt	--|----|---⌫-|
soienle ue quegue ́z ne	--|-||-⌫-|--|---⌫-|-|
fonsniquist	---|||----|
contesenui en ttouzademis.Li gentizcu ens	----||-|--⌫--⌫|---|------|-|-----|--⌫--|
atent enz elc hemin u oit le	----|--|-|-⌫----|-⌫--|-|
li roisparlaresne leprinst.	-|---|--|-|----|-|------|
uassaldist iln euozmouuroizdeciA inzen	-----|---|-|-⌫|--|-------|-|-|-⌫--|-|
ue nre ́za uec	--⌫---⌫-|-⌫--|
moia Paris. Berpranmafilleparla	--||-----|--|---|-|----|--|-|
toi emer ci Frere	---⌫|---⌫-|----|
seroizuozetBueues	-----|--|-|-----|
mes fiz.-Non	--|---|---|
fer ai certez ce li respont	---⌫-|-----|-|-|------|
Amis Cardans Hard rézfubiende cestpaïsAsséz	---|--|---|----⌫---|-|---|-|---|----|-----|
parenset co uzins	-----|-|--⌫----|
Entraïsonma uroient	-|-------||-⌫------|
tostocis.Et	---|----|-|
distlir ois	---|-|-⌫--|
pardonla uézdit. Contreundessie ns	-----||-⌫---|---|-----|-|--|---⌫-|
eniades mi ensmil.	-|||--|--⌫--|---|
Ancu iue rréz comli	----⌫|--⌫----|--|-|
c ors i ert ho nnisEt traïn ézneuozen	-⌫--|-⌫--|--⌫---|-|------⌫--|-|--|-|
quierme ntir.Ilsen	----|--⌫----|-||-|
repairentalacortaP arisEt	--------||-|---||-⌫---|-|
descendirent au perron sozle	-----------|-|-----|--|-|
pin Puisenmontarente l	--|---|-|--------|-⌫|
mau beri n.IsnellementdesarmerentAmiDou	---⌫----⌫-|----------|----------|--|--|
chi efliostent	---⌫-|-|-----|
elmeburn i	---|----⌫|
Se li descein gnentle	-|-|-------⌫----|-|
brantdac ierforbi	----||--⌫--|----|
D ou doslitraientle	-⌫-|--|-|------|-|
b on hauberct reslisSaingl e s remest	-⌫-|------|-⌫-----|------⌫-⌫|-----|
bliautdesamis.Gra nt ioiemainn entanpalaism au berin	-----|-|-----|---⌫-|---|-----⌫--|-|-----|-⌫--⌫----|
Trestui ten samble	-------⌫|--⌫-----|
licheu alier	-|----⌫----|
gentil.Dex com mainnent grant	------|--|--|-------|----|
i oie Liroisap el le Rauinnel	-⌫--|-|---|--⌫--⌫-|-------|
d eMont Nuble Un	-⌫|---|----|-|
e sc uier de	-⌫--⌫---|-|
mo ult male natu re.	--⌫--|---|----⌫--|
Pi re ie rtdesaut res onque sni otmesure.	--⌫-|--⌫-|--|---⌫--|-----⌫|||-|------|
compaingno ns ethuche	----------⌫-|-|----|
Nenla is siernul	|-|--⌫--⌫---|--|
en chemin ne	-|-----|-|
La charHardré	-|---|------|
uo zc onuienta	--⌫|-⌫------||
Traïnézsoit	--------|---|
parchamp etpar coutureTantquil	--|----|-|--|------|---|-|-|
maisrobeneueste üre.Desorunpelsoit	---|---|-|-----⌫----|----|-|--|---|
s at esteferue	-⌫|-⌫---|----|
Tantlilaissiéz qu escou ffle	---|||--------|-|-----⌫---|
lamenius sent.	-|------⌫----|
Belissantbele	--------|---|
Dexuozafaitaiue Serue ́zAmilec omsa	--|--||---|---|-----⌫-|----|-⌫-|-|
fa meets adr ue.	--⌫-|-|-⌫|--⌫--|
Riuiersli d oi nssildeuan tmoi uo zi ure	------|-|-⌫--⌫-||-|-----⌫|--|--⌫|-⌫--|
Mag rantcité	-|-⌫---|----|
deso rleu e	----⌫||--⌫|
deDunne Dont dis mille home me seruent	-|----|---|--|----|---|-|------|
adroi ture	|----⌫---|
Quantmoiuient	----|--|----|
ab esoi ngne.	|-⌫----⌫----|
Li cuensentent etle dit	-|----|-----|-|-|--|
e tledon.Dexdi st il	-⌫|-|---|--|--⌫-|-|
PerespartonsaintismenonSaintPi errem is	----|--|--|--------|--|----|--⌫---|-⌫-|
elchi ef de Pr é	-|---⌫-|-|--⌫-|
NoironIonassauuase luentr edoupoissonEt	-----|----|-----|-⌫|-----⌫|--|------|-|
la foss eau	-|----⌫|-|
lyo nSainteSusaneg arisdou	---⌫|-----|-----|-⌫---|--|
faus te smoing	---|--⌫-----|
Sicomce stuoirsetnoz bienle c reons	-|--||-⌫-|----|-|--|---|-|-⌫----|
Con s eilliéz m oi	---⌫-⌫-------|-⌫-|
Pere s de tout	----⌫|-|---|
l emont.Ia prins iefameau	-⌫|----|-|----|-|---|-|
losdemesbarons	--|-|--|-----|
Quena sibel e	--|||-|---⌫|
cheualiersences t mont.Se	---------|-|---⌫|----|-|
D exde m oiquiert	-⌫-|-|-⌫-|-|---|
il don tOriurrer aiennonmon	-|---⌫|-|------⌫-|-|--|--|
compaingnonLapenitanceen feraiiusquan	----------|-|--------|-|----|----|-|
saura mafame.N ostr eemper eres	----|-|----|-⌫----⌫|-----⌫---|
fumoult fi ers e tn obiles	-|----|--⌫--|-⌫|-⌫-----|
Isnelle mentf aituenir	-------⌫---|-⌫--|----|
lesr el iquesSorune tabl e	--|-⌫--⌫----|--|--|----⌫|
chasces aintDenise	-----|-⌫---|-----|
DesInnocens i otbien	--|-------||-|---|
iusq ua quinz e.	----⌫||-----⌫-|
Ou uoitleconteseliconmen cea	-|---|-|----|-|-|------⌫-||
direSire uassaxuenéz	---|---|-----|-----|
iurerma fille.Etdist l icuensuolentiers bi ausdouz	----|-|-----|-|---|-⌫|----|---------|--⌫--|---|
uenusde Blaiuiesp rime sDou	----|-|-------|-⌫----⌫|--|
co mpaing n on cu ii aim afoi	--⌫------⌫-⌫-|--⌫||-|-⌫|--|
pleuieParte lcouuentque uoz	-----|--|--⌫|------|--|--|
orroizia dire Quereue nraidedenz	-----|-|---|--|----⌫---|-----|
ior quarantisme.Lo rs	--|-----------|--⌫-|
fe raic equil uo zplaira	--⌫--|-⌫|-|-|--⌫|-----|
biaxsire.Etdist	---|----|-|---|
Ainsizne dii emie.	-----|-|-|-⌫|---|
L a issié z Amiuosniréz	-⌫-⌫------⌫|--|--||----|
Q u il estpreudom	-⌫|-|--|------|
et cheualier s	-|---------⌫|
nobileSis era biende uoz	-----|-|-⌫--|---|-|--|
compaingn ie. E tdistlicuens Don t	---------⌫--|-⌫|---|-|----|---⌫|
iur rai ie folie.	---⌫--|-|-----|
Puisquelu oléz oriurraiuos trefille.	---|---|-⌫----|-|-----|---⌫--|-----|
Si maïtD ex et	-||---|-⌫-|-|
cessaintesre l iques Quisor cel paile	--|------|--⌫-⌫----|--|--|--|----|
