lauentured unautre	|-------||-|----|
oumadam eueille desc end r e	-|-|---⌫|-----|----⌫---⌫-⌫|
ensembleou osuelto stel	-------||-⌫-|---|-⌫---|
il lorotroie	-|--|-----|
uole ntiers	----⌫-----|
ilapelede uscheualiers	-|----|--⌫-|---------|
as chambresles	-|-------|--|
m enerent sus	-⌫------|--|
a cele f oi z nedistrent plus	|---|-⌫--⌫|-|-------|---|
l iro isdemande ases	-⌫|--⌫-|------||--|
le iugementetlesr espon s	-|-------|-|--|-⌫-----⌫|
etd istque moltl	-|-⌫--|--|---||
ontc orr oucié	--|-⌫---⌫-----|
deceque tant l ontd e loie ́	-|-|--|---||--|-⌫-⌫----⌫|
sirefo ntilnosdepa rtismes	---|--⌫-|-|--|----⌫------|
porles damesque nosueismes	--|--|----|--|--|------|
nosn iauon	--|||---|
e sgart nul fet	-⌫----|--|--|
orreconmencerons le plet	-|-------------|-|---|
dontassemblerenttu i t pe nsif	---|-----------|--⌫-⌫|--⌫---|
assezio tnoi seetestrif	----||-⌫|---⌫-|-|-----|
qu a nt il erentenceesfro i	--⌫-⌫-|-|----|-|-|-----⌫|
puceles de g entconroi	------|-|-⌫--|-----|
uire ntuen ir larueaua l	----⌫-|---⌫-|-|--|---⌫|
gra nt i oieenorent l iuass al	---⌫-|-⌫--|-|----|-⌫|----⌫-|
en tr eusdientor es tgariz	--⌫-|--|----|-|--⌫|----|
lanuallipr euz	-----|-|--⌫--|
etlihard iz	-|-|----⌫-|
gauuain en es t aluialez	------|-|--⌫||--|---|
sescompa ingnonsiam enez	--|-----⌫------|||-⌫---|
ilrehet iez	-|-----⌫--|
pora mord e u	--|-⌫--|-⌫-⌫|
iciu ienentdamoiseles	--|-⌫-----|---------|
en t otlesie clen a	-|-⌫-|-|---⌫--|||
tant bel es	---|---⌫-|
c estuostreamieuoirement	|--|-----|---|--------|
lanual responthastiue ment	-----|------|-------⌫---|
etdis t queilpas neueoit	-|---⌫|--|-|--|-|----|
conn oistnilnes	----⌫---||-|-||
at a ntfuren t cele suenues	--⌫-⌫-|-----⌫|----⌫|-----|
deuant leroisont	-----|-|--|---|
descen dues	------⌫---|
mo ltl es loerent	--⌫-|-⌫-|------|
decors deuisetde color	-|---|-|--|-|-|----|
ni otcele m iex	||-|---|-⌫--|
n eua usist	-⌫|--⌫----|
quelaroine	--|-|----|
onquesnefist	-----|-|---|
lainneefucorto is eetsage	|-----|-|-----⌫--⌫|-|---|
auen ammentditsonmes age	----⌫-----|--|--|---⌫--|
r oiscar nosfezchambre	-⌫--|--|--|--|------|
e tfer eb ien encortinner	-⌫|---⌫|-⌫--|----------|
madameherbergier	-|---|---------|
nosfetesrois chamb rebaillier	--|----|---|-----⌫-|-------|
e leuientci auosparler	-⌫-|----|-||--|-----|
commandaa mener	-------||----|
oles autresqu ia i nco is uin drent	|--|-----|--⌫|-⌫-⌫---⌫-|---⌫----|
onques celesnulpletnetindren t	-----|----|--|---|-|-------⌫|
a ss ez quig ardeem	-⌫--⌫-|--|-⌫---|-|
et quiesestablesle s mist	-|--|-|-------|--⌫|---|
quantilf u de les	----|-|-⌫|-|--|
pui sa tot	---⌫||--|
sesbarons mandez	--|-----|-----|
queleiugement soit rend uz	--|-|-------|---|----⌫-|
estéle iortenuz	----|-|--|----|
encorrou coit	-|------⌫---|
quetroplongue mentieunoit	--|---|------⌫---|------|
iade partis se ntaitant	-|--⌫------⌫--⌫-||----|
qu antpar lau ileuinte rrant	--⌫--|--|-|-⌫--|---|-⌫----|
t otac heu alune puce le	-⌫-||-⌫---⌫-|--|----⌫-|
entot le sie cle notsi	-|--|-|---⌫--||-|-|
b lanc parlefroicheuauchoit	-⌫---|--------|----------|
etsoef laportoit	-|---|-|------|
moltotbienfe tetcol	---|-|---|--⌫|-|--|
sozc ie ln auoitplusgent ebeste	--|-⌫--⌫||----|---|----⌫|----|
richeatorotelpalefroi	----|---|-|-|-------|
nenaneq uens neroi	|-||-|-⌫---|-|--|
quitoutl e	--|---|-⌫|
p eustesligier	-⌫---|-------|
sanz terre uendreou	---|----|-----|-|
ele ert uestueenitel guise	--|--|-----|-|---|----|
dech ai nsil	-|--⌫--⌫---|
blanc etd echemis e	----|-|-⌫|------⌫|
bassel ahanch e	----|-⌫|-----⌫|
lecolp l usb la ncquenoif	-|--|-⌫-⌫-|-⌫--⌫-|--|---|
sor branche	--|------|
les eulzotuairsetblancleuis	--|---|-|----|-|----|-|--|
belebouche	---|-----|
nes bien assis	--|---|----|
brun setbel lefront	----⌫|-|--|-|----|
il n asibel efame elmont	-|||-|---⌫|---|-|---|
negiete tel	-|----|--|
c omsi cheue lfont contr e io r	-⌫-|-|-----⌫|---|-----⌫|--⌫|
sonman telfudun	--|---⌫--|-||-|
porp re bis	----⌫-|--|
les pansenotentorluimis	--|---|-|-|----|--|--|
espreuierens onpoing	--------|-|-⌫-|----|
etleu rier	-|---⌫---|
apres li ui nt	----|-|--⌫-|
ge ntdamoise lladresoit	--⌫-|-------⌫||-------|
c or diuoire olip ortoit	-⌫-||-----||-|-⌫-----|
molt uindrentb el parmilaru e	---|-------|-⌫-|----|-|--⌫|
tantgrantbiaute	---|----|-----|
enu enusq uiestoit roine	-|-⌫---|-⌫-|-----|----|
ne endidon eenl auine	-|-|---|-⌫|-|-⌫----|
il note lb orcpetitne grant	-||-|-⌫|-⌫--|----|-|----|
neliuiellart n ilie nfant	-|-|-------|-⌫|-|-⌫----|
alasse nt esgarder	------⌫-|-------|
sic onme illa uir ent	-|-⌫---|-|-|---⌫--|
desab iauten	-|-|-⌫----||
estm iegas	--|-⌫-|--|
eleuenoitlepetit	--|-----|-|----|
li iugeorq ui la ue oient	-|-----|-⌫-|-|--⌫----|
a gr antmerueilleletenoient	|--⌫--|--------|-|-------|
l esgardast	|--------|
nio ttantuielhomeenlacort	||-⌫|---|---|---|-|-|---|
queuo lent ierss on oilnito rt	--|--⌫----⌫---|-⌫-|--|-|--⌫-|
et uolent ier s ne	-|------⌫---⌫|-|
porcequesoufri r leu ousist	--|-|--|------⌫|-|-⌫-----|
cil qui le	--|--|-|
che uali eram o ient	---⌫----⌫-|--⌫-⌫---|
a lui uienent si li	|--|------|-|-|
contoi ent	------⌫--|
dela pucele	-|-|-----|
se deu pletquel	-|--|---|-|-|
deliureroit	----------|
sire con pains	---|---⌫----|
meselnestpas	--|-||--|--|
cestla plusbele	|--|-|---|---|
d e cestmont	-⌫|---|---|
celesquiis ont	----|--||-⌫--|
lanuall oi son chiefdre ca	-----||-|--|----|---⌫-|
bienl aconnut s i soupira	---|-⌫|-----|-⌫|------|
es tmotezeluis	--⌫|----|-|--|
deparlerfu auquesh astis	-|-----|-|-----|-⌫----|
fetilce est m ami e	--|-|-|--||---⌫|
guere s qui mocie	-----⌫|--||---|
mercidemoi	----|-|--|
carg arizsui quant iela uoi	--|-⌫---|--|----|-|-|--|
lapucel een traelpa lais	-|-----⌫|--⌫--|-|--⌫---|
onquessi be leni uint mais	-----|-|--⌫-|||---|---|
de uantleroi est	--⌫---|-|--|--|
desce ndue	-----⌫---|
siquedetozest	-|--|-|--|--|
son mante l alessié cheoir	--|-----⌫||------|-----|
qu e tu i tla puissen t miex	--⌫|--⌫-⌫|-|-------⌫|---|
l i roisquim oltfuensa in gniez	-⌫|---|--|-⌫--|-|----⌫--⌫----|
ses t tostencontrel id reciez	|--⌫|---|-------|-⌫|-⌫-----|
et tuitli autre lenno rer ent	-|---|-|----||----⌫---⌫--|
deliser uirmoltse	-|-|---⌫--|---|-|
quant illorent	----|-||----|
bienesgardee	---|-------|
etsa biaute	-|-|-----|
assez loee	----|---|
e le parla	-⌫-|----|
entel mesure	-|--|-----|
ca re len otde	--⌫|-⌫-||-|-|
artur fe t	----|--⌫|
eleententa m oi	--|-----||-⌫-|
etcesbarons	-|--|-----|
quei e ciuoi	--|-⌫|-|--|
ieaiamét ienuassal	-|-|---|-⌫--|-----|
ueezleciceestlanual	---|-|-|-|--|-----|
achoisonnezest e nta cort	----------|--|-⌫|-|---|
n e uo i l	-⌫|--⌫-⌫|
mie quamal	--|-||--|
de ce quilditce	-|-|-|-|--|-|
q ue la r oineatort eu	-⌫-|-|-⌫---||---|-|
onquesnulior	-----|--|--|
nelarequist	-|-|------|
de l auan tanc e	-|-⌫|---⌫----⌫|
queil fist	--|-|---|
sep armoi puet estre aquitez	-|-⌫-|--|---|----|------|
p ar uosbarons	-⌫-|--|-----|
soit deliurez	---|-------|
eniuger ont p ar	-|-----⌫--|-⌫-|
liroisotroie quesisoit	-|---|-----|--|-|---|
quinaitiugié	--||--|-----|
quelealanualto t	----||-----|--⌫|
desres n ié	------⌫-⌫--|
del i ur ez estparlor esgart	---⌫-⌫--⌫-|--|--|--|-----|
etlapuc elesendepart	-|-|---⌫--||-|-----|
nel a potliroisde tenir	-|-⌫|--|-|---|--⌫----|
assezot gent ali	----|-|---||-|
forsdelasaleauoi t	---|-|-|---|----⌫|
gra ntperrondemar b r ebis	---⌫-|-----|-|---⌫-⌫-⌫|--|
oulipesantho mmemontoie nt	-|-|-----|--⌫--|-------⌫-|
quant de laco rtleroi	----|-|-|--⌫-|-|--|
lanua lestoit m onte z	-----⌫|-----|-⌫----⌫|
puc eleissidelus	---⌫--|---|-||-|
s orlepalefroi detriers li	-⌫-|-|-------|-------|-|
d epla inesles lanualsailli	-⌫|---⌫-|----|-----|-----|
sen uaite n au alon	|-|---|-⌫|--⌫---|
cenos reco nte ntli breton	-|--|----⌫---⌫-|-|-----|
enun eille quiesttant biaus	-|--⌫|---|--|--|---|----|
rauizl id amoisia u s	----|-⌫|-⌫-------⌫-⌫|
puisplu spa rler	---|---⌫|--⌫---|
ne ienens aiauant cont er	-|-||-|-⌫-|----|----⌫-|
