cuers esu eille	----|---⌫----|
etde telsdizlifay pre sent	-|-|---|--|-|--|---⌫---|
t ueres pr esent	-⌫|---|--⌫----|
entretants il	--------||-|
puetauenir	---|-----|
queseulelapuisses tenir	--|----|-|------|----|
soitenchanbre soitencortin e	---|-|------|---|-|------⌫|
setupeus ton desiraffine	-|-|---|--|----|-----|
horsesb atrese uient	---|---⌫---|-|----|
que le fet	--|-|--|
a restetoylaensenl ore	-⌫----|--|-|--|-||--|
illec doiz	----|---|
tufere dem ore	-|---|---⌫--|
aquelgieuqueluou dr a	|---|---|-|-|---⌫--⌫|
tufere etloe r	-|---|-|---⌫|
ta nt comm eillecserapresente	--⌫-|----⌫|----|---|-------|
met a songretoute	--||--|--|----|
tan tcommeel	---⌫|----|-|
s eu oudraester	-⌫|-⌫----|----|
enestanttedoizarrester	-|-----|-|---|-------|
selle s asie ttu taserras	|---||----⌫|-||------|
amoraquerras	---|-------|
regardebi en sac ontenanche	------|--⌫-|-|-⌫---------|
comcilquienlie	--|--|--|-|--|
lors porrabienap erche uoir	---|----|---|--⌫-----⌫---|
que tulaimes	--|-||----|
seaucun seui entla	-|----|-|--⌫--|-|
pourlesg enzdeduireetesbatre	---|--|-⌫--|------|-|------|
d o nner lido iza u cunecho se	-⌫-⌫---|-|--⌫-|-⌫-⌫---|---⌫-|
poidecho se nuist etalose	--|-|---⌫-|----|-|----|
tudoiz faireen	-|---|----|-|
totemaniere	---|------|
plaistat amie	-----|||---|
quantqu eleuoudra	------|--|-----|
departtoyqu ant	-----|--|--⌫--|
quante llesense ra alee	----|-⌫--||-|--⌫-|---|
si e ntre r aengr a ntpens ee	-|-⌫----⌫-⌫|-|--⌫-⌫-|----⌫-|
lorsliple irabie n estr e	---|-|---⌫--|---⌫|----⌫|
quanttauolent eest	----|-|------⌫|--|
sele se ue utouq uesoittrere	|--|-|--⌫-|-|-⌫-|---|----|
tu lepuesf ere	-|-|---|-⌫--|
fame ai memon tlacomp aignie	---|--⌫-|---⌫|-|----⌫-----|
decilqui la tient pour amie	-|--|--|-|----|---|---|
prenenalantbele	---|-|----|---|
primesdeuan tprimes derriere	-----|-----⌫|-----|-------|
pr imesirash astiue m ent	--⌫---|---|-⌫------⌫-⌫--|
achiefdef oiztout	|----|-|-⌫--|---|
nai ezho nte da lersorcoste	|--⌫-|--⌫--||-⌫--|-------|
souspechonn	---------||
entelzfes nentele	-|---|--||-|---|
ilsemble quecest	-|-----|--||--|
soi ezcourtoiz e t	---⌫-|-------|-⌫|
s etu tesiezo	-⌫|-|-|---||
e ten que llieuque e llesoi t	-⌫|-|---⌫|---|--|-⌫--|---⌫|
grantc ho seest	----|-⌫--⌫-|--|
issiporrassa g raceauoir	---|-----|-|-⌫---|----|
sil a e nto it antd e sa uoir	|-||-⌫|--⌫|-⌫--|-⌫|--⌫---|
quersaches	---|-----|
belecontenanche	---|----------|
granment les	-------|--|
a mourousauanche	-⌫------|------|
dir e mont de chos es	---⌫|---|-|----⌫-|
qui se rontcou uertes et	--|--⌫---|---⌫-----|-|
si porrae lleaperceuoir	-|----|-⌫--|---------|
quepour liele dirasde uoir	--|---|--|-|----|-|---|
esc rirepues entelmaniere	---⌫---|---|-|--|------|
susp ainou sus autremat iere	--|-⌫--|-|--|----|---⌫---|
quellepo rraalatable	-|---|--⌫--||-|----|
q ue taurayedameestsanz fa bl e	-⌫-|-|----|---|--|---|--⌫--⌫|
seseuxsi doucem ent regarde	--|--|-|------⌫--|------|
qu il perg e	-|-|----⌫|
bienquetoncuerarde	---|--|--|---|---|
uoutteisant maintefoiz parole	---|------|-----|---|-----|
sanz signe faire etsanzparo le	---|----|----|-|---|----⌫-|
quantladamoiselebera	----|-|--------|---|
reg ardeparoucesera	---⌫---|--|-|-|---|
paricellieup ropr e doizboire	--|---|---|-⌫----⌫|---|----|
cestdemoustrance d amoruoire	|--|-----------||---|----|
quelleuian deq u elletouch e	-----|----⌫-|-⌫|---|-----⌫|
celledoizporter	----|---|-----|
atabou che	|-|---⌫--|
enprenant se tuezamai n	-|------|-|-|-||---⌫|
porrasbie ntouche rasa main	-----|---⌫|------⌫||-|---|
seboireueu z	-|----|---⌫|
tulidoiztendre	-|-|---|-----|
que prem ierele	--|----⌫---|-|
u oille prendre	-⌫----|------|
soitperatoiouplus	---|--||--|-|---|
toutes choses	-----|-----|
prengepremiere	-----|-------|
tonch iefabiauchapel	--|--⌫--||---|-----|
tan tost li	---⌫---|-|
donn esanz	----⌫|---|
t outesytelz chose sdoizfere	-⌫----|----|-----⌫|---|---|
finquelipuissesple re	--|--|-|------|---⌫-|
touttoncuer m e t	---|--|---|-⌫-⌫|
sanzdemorer	---|------|
aliese r uire t heno rer	|--|--⌫-⌫--|-⌫|----⌫--|
sit enara plus ag gre a ble	-||-|--|---|--⌫---⌫-⌫--|
et plusdouzetplusamiable	-|---|---|-|---|------|
lors li puez req uerreet	---|-|---|---⌫----|-|
quisamorte uoilleotrier	--||---|-|-----|-----|
portesma ulzrefr aindr eet tesires	--|--|--⌫--|----⌫-----⌫|-|--|---|
quer iln estriensq uetantdesires	---|-||--|----|-⌫-|---|------|
me s en te l guisela	--⌫|-|--⌫|----|-|
qu e nul amen el aperc hoiue	--⌫|--|--|-⌫||-----⌫----|
quantlesautre suerras	----|--|-----⌫|-----|
e ntendr e	-⌫------⌫|
a i llorslorslipeustelz	-⌫-⌫----|---|-|---|---|
mosren dr e	--|---⌫--⌫|
se lorsneueutquenenl aprie	-|---|-|---|--|--|-⌫|---|
n arguenenecontra lie	|----|-|-|------⌫--|
uers lietantostaro iezgu erre	---|--|------|---⌫--|--⌫---|
cen estpas bo nquetrop enquerre	-||--|--|--⌫|--|---|-------|
atable boif	|----|---|
entelmaniere	-|--|------|
que nenmue ssem blant ne c hiere	--||-|---⌫|---⌫----|-|-⌫----|
et quetespiesettapens ee	-|--|--|---|-|-|----⌫-|
naient lorofficeou bl iee	|----|--|-----|--⌫--⌫--|
gar toide tou zpoinzdetench ier	--|--|-|---⌫|----|-|-----⌫--|
et de mellees	-|-|------|
commenchier	----------|
ianiertparhommedeualue	-||---|--|----|-|----|
n oise nemeslee esmeu e	-⌫---|-|-----|-----⌫|
iln a partient forsa	-||-⌫-------|---||
merd aille	----⌫----|
afai r etenchonsne bataille	|---⌫-⌫|-------|-|-------|
pour cen uoil ge nquetut e gardes	---|--|---|--⌫|--|-|-⌫|-----|
defairech o sessi	-|----|--⌫-⌫--|-|
mont d echo ses puesf aire	---|-⌫|---⌫--|---|-⌫---|
tout sanzmesfere	---|---|------|
et s anz mesdire	-|-⌫--|------|
tu peus ch antersele sezfere	-|---|--⌫----|-|-|--|---|
oudebelesbo rdes	-|-|----|--⌫---|
q u ant le b a cin etleauoueques	-⌫-⌫--|-|-⌫-⌫--|-||--|------|
serontp o urlau erm is illecques	-----|-⌫-⌫-|---⌫-|-⌫-|--------|
lamainta damechie re	-|---|-|---|----⌫-|
p our prendrel euela premi e re	-⌫--|------||--|-|-----⌫-⌫-|
en touchantpeus fer e sembl an t	-|-------|---|---⌫|-----⌫--⌫|
quetout le	--|---|-|
uatremblant	-|--------|
porlardouret	--||-----|-|
ledesir er	-|-----⌫-|
cors queseusremirer	---|--|---|------|
or ententbien ceste l echon	-|-----|---|----|-⌫----|
lanailp ointdeso upechon	-|||-|-⌫---|-|--⌫------|
m ainte foisai iss i	-⌫----|---|-|---⌫|
quipuism a	--|---|||
este ́dese rui	----⌫|----⌫--|
nesoie z ia tro pdelictable	-|----⌫|-|---⌫|---------|
demarchiersonpiesouzlatable	-|-------|--|--|---|-|----|
gran tpe ril	----⌫|--⌫--|
en porroituenir	-|------|----|
ue ndroitmi e xte ni r	--⌫-----|--⌫-⌫|--⌫--⌫|
tuporroieztelpiem archier	-|-------|--|--|-⌫------|
quil as euoudro itenarchi er	--|-⌫|-⌫|------⌫-|-------⌫-|
porsau oirtauolente toute	--|---⌫--|-|------|----|
cenquelenneuoitesten	--|--|--|-|---|--|-|
iene di p as sen telmaniere	-|-|-|-⌫-||-|--|------|
estoie zleiztadame	------⌫|---|-|---|
quautr ipie nipeust tr ere	-|----⌫|--|||----|--⌫--|
que lorsnelepeusse zfair e	--|---|-|-|------⌫|----⌫|
quantles ta blesseront ostees	----|--|--⌫---|-----|-----|
et lesda messero ntl e ue es	-|--|--⌫--|----⌫-|-⌫-⌫--⌫-|
l o rste dorra	-⌫-⌫-|-|----|
accesetlieu	----|-|---|
la pr essesico mme	-|--⌫---|-|--⌫--|
bienprezd ete dam etacost e	---|---|-⌫|-|---⌫||-----⌫|
m archeson pie	-⌫----|--|--|
touc hesacoste	----⌫-|-|----|
lorssaraelle bi e nde uoir	---|---|---|--⌫-⌫|-|---|
quetuf es damerton	--|-|-⌫-||---|--|
seta damelo rsteueutdire	-|-|---|--⌫-|-|---|---|
traiez uousarriere biausire	-----|---|------|---|---|
prenpoour si	---|----|-|
feras qu esage	----|--⌫|---|
obeisa toutson coura ge	----||---|--|-----⌫-|
senecrem eessaparole	-|-|----⌫--|-|-----|
t a pensee s er o ittropfo le	-⌫|-----|-⌫--⌫-⌫-|---|--⌫-|
ta ntost ser oit	--⌫----|---⌫--|
querlaniert un eamorsanz crai n te	---|-||---|--⌫|---|---|----⌫-⌫-|
quant elleuerra quetu	----|---|----|--|-|
s esfa izet ses paroles toutes	-⌫-|--⌫-|-|--|------|-----|
lorssaper cheura clere men t	---||----⌫-----|-----⌫---⌫|
quetul aimesparfaitement	--|-||----|-----------|
fai ngachie f def oizunpoil	---⌫-||----⌫|-|-⌫--|-|--||
set u croismonartet monliure	-|-⌫|----|--|--|-|--|----|
pou rco uur ir	---⌫|--⌫---⌫-|
tes faizette sdiz	--|---|-|--⌫|--|
setumesfaiz	-|-|------|
nenemesdiz	-|-|-----|
setufaiz rien dontnen	-|-|---|---|---|--|
leuine nportera leblasm e	-|--|-⌫|------|-|-----⌫|
issisera stu escusé	---|----⌫|-|------|
unpoymesusé	-|--|------|
nefaiia d omme	-|--|-||---|
ton message	--|------|
dame setu essa ge	---|-|-|-|--⌫-|
itelsmessag esmontn eu	----|------⌫-||--|-⌫-|
iem e nsui bien	-||-⌫|--|---|
p uistr op bon nescauses	-⌫--|--⌫-|---⌫--|-----|
separ uiuer esonte caus e s	-|--|---|-⌫---|-|----⌫-⌫|
iasitostne d i roitta dame	-|-|---|-|-⌫-⌫---|-|---|
songre a hommecomme a	--|--||----|----||
fa mea autredit soncorage	--⌫-||----|--|--|-----|
qu i ue r sles hommes	--⌫|--⌫-⌫|--|-----|
est sa uuag e	--|--⌫----⌫|
donc es t ta uoiepl u s	---|--⌫|-|---|--⌫-⌫|
sefamefaiz ta	-|---|---|-|
messagie re	--------⌫-|
fames puent	----|----|
par ler ensem ble	---⌫--|-----⌫--|
touteslesfoisquebonl or	-----|--|---|--|--|-⌫-|
h ommenepuetissi faire	-⌫---|-|---|---|----|
mes pourdout el esteutretraire	--|---|----⌫||-----|-------|
pl ushommepe utparler desoi	--⌫-|----|--⌫-|-----|-|--|
lafamenonquerbienle	-|---|--|---|---|-|
lorsse fetchief dont ilest coue	---|-|--|----|---|-|--|---|
etde t acau sefet la s oue	-|-|-⌫|---⌫-|--|-|-⌫--|
deab les aient tel s m essages	----⌫--|----|---⌫|-⌫------|
quer il ne so ntcortois nesages	---|-|-|--⌫-|------|-|----|
qu iuontentre	--⌫|---|----|
qua ntil ueent quenen	---⌫-|-|----|--|--|
etquantil nepuentpiezfere	-|----|-|-|----|---|---|
siseulentilblasmer etrere	-|------|-|-----|-⌫-----|
a celle fin quela meslee	|----|--|--|-|-----|
s o it e ntrel amantetlamee	-⌫-⌫-|-⌫---||----|-||---|
fa mesmei smessontmeues	--⌫--|---⌫---|---|----|
dam er le s	|--⌫-|--⌫|
personne s ueues	--------⌫|----|
p ourcened oiz tu	-⌫--|-|-|-⌫--|-|
domme fere	|---|---|
tonmessageseme ueuz crere	--|------|-|-|---|----|
telme ssagedo izespier	--|--⌫----|--⌫-|-----|
en quitu te	-|--|-|-|
puis sez fier	----⌫--|---|
i lfet mal telseriantten ir	-⌫|--|--|--|------|---⌫-|
dontblasmeet ennuypeu tuen ir	---|-----|-|----|---⌫|---⌫-|
quant a tada me parleras	----||-|--⌫-|-------|
en lie uoucenfe r eoseras	-|---⌫|-|--|--⌫-⌫|-----|
l oe s onbiauc hiefpr opr eetgent	-⌫-|-⌫-|---|-⌫---|--⌫---⌫|-|---|
dignealoer	----||---|
de tout egent	-|----⌫|---|
loesaface etson	--|-|---|-|--|
cl e r uis	--⌫-⌫|--|
po urquitu	--⌫-|--|-|
ne peuzdureruis	-|---|----|--|
mestest uetperdrecontena nche	--||---⌫--|-----|-------⌫---|
setufaus aton	-|-|---||--|
esperanche	---------|
l oeseseuxxxx	-⌫-|--|--|--|
sonneizassiz t respr opremen t	--|---|----|-⌫--|--⌫-------⌫|
sa bouchep etiteetbienfete	-|-----|-⌫----|-|---|---|
bouche rian tetuerm eillete	-----|----⌫|-|----⌫------|
entelmanier equeel loe	-|--|------⌫|--|-||-|
son biaumenton et s esdenz loe	--|---|-----|-|-⌫-|---|--|
c oldepropr e	-⌫-|-|-----⌫|
parquitu ezpris aula chon	--|--|-|-|---|-|--⌫---|
loerdoi ztoute sasembla n c e	---|---⌫|----|-|------⌫-⌫-⌫|
sonco rs s esb ra s et samain	--|--⌫-|-⌫-|-⌫--⌫|-|-|---|
etsesdois rondes ettret is	-|--|---|-----|-|----⌫-|
etses piez pr opres	-|--|---|--⌫----|
loe son senssacortoisie	--|--|---|-|--------|
e t sa ualournele s semie	-⌫|-|-----|-|--⌫-⌫-|--|
ettotce n quedexyamis	-|--|--⌫|--|--|||--|
lorsserastenupour amis	---|----|---|---|---|
parbienloerse ronmenten te	--|---|---|--⌫--||-----⌫-|
aras g r e	---|-⌫-⌫|
d e tadameg e nte	-⌫|-|---|-⌫-⌫--|
ilne striensqu itant	-||-⌫-|----|--⌫|---|
comme quibie n la	----|--|---⌫|-|
loeetprise	--|-|----|
mei smesune	---⌫---|--|
famechaste	---|-----|
quibien p ar	--|---|-⌫-|
loeng e latast e	-----⌫|-|----⌫|
s idelieteparfete ment	||------|-------⌫---|
e te nfetgran tric heement	-⌫|-⌫|--|----⌫|---⌫------|
estdam e ne d amoisele	--|---⌫|-|-⌫-------|
qui n ait grant talentdestrebele	--||--|----|-----||----|---|
e tquis a beaute	-⌫|--|-⌫|-----|
tantostuerslisoncue rse tret	------|---|-|--|---⌫|-|---|
meism eslesledesp uceles	-----⌫-|--|----|-⌫-----|
quant nenlordi t qu	----|--|--|--⌫|-|
eles sontbeles	---|---|----|
soi ezcertainquei llecreent	---⌫-|------|--|-⌫|-|-----|
et tr es durementseng o gueent	-|--⌫-|-------||-|-⌫-⌫-----|
pour cendoiz t ucorto i sement	---|--|---|-⌫|-----⌫-⌫-----|
quergrantprou	---|----|---|
ip ourrasauoi r	|-⌫-----|----⌫|
cen tefaizien bien	--|-|---|--|---|
seaucune pramesseasfete	-|-----|-------|-|---|
nasencor parfete	|-|----|------|
afferme qu etu ladorras	------|--⌫|-|-|-----|
lep lusbrementquetu	-|-⌫--|------|--|-|
pariurer tad ameasseure	--|----|-|-⌫--|------|
netechau t se tues pariu re	-|-|----⌫|-|-|-|-----⌫-|
me squetulaie se ntremains	--⌫---|-||---⌫|-⌫---|----|
duserem en tne plus	-|-----⌫--⌫|-|---|
iupiter le dieusou uerain	------|-|---|---⌫-----|
qui est oi tentem psp r emerain	--|---⌫--⌫|-|---⌫-|-⌫-⌫------|
rioitdesamansquirompeen t	----|--|----|--|-------⌫|
l esseremensquefes a ueent	-⌫-|-------|--|--|-⌫----|
telser ementquequeil	--|---⌫----|-----|-|
aramen teuo ire nnulc onte	|-----⌫----⌫-|-⌫|--|-⌫---|
querle sout ens	---|-|---|--|
en loure l oste	-||---||---|
ilestf olqui foi y aiouste	-|--|-⌫-|--|--||------|
dilec uientce nquelen seut dire	|---|----|--⌫|--|--|---|---|
communementsan z	----------|---⌫|
co ntred ir e	--⌫-----⌫--⌫|
n ule amenedoit	-⌫--|--|-|---|
r ibautcrer e	-⌫----|----⌫|
p our serementque sache fe r e	-⌫--|-------|--|----|--⌫-⌫|
famesmeism essepariurent	----|-----⌫-|-|--------|
t antdefois p res come	-⌫--|-|---|-⌫--|---|
elles i urent	----|-⌫----|
doncdois troquierde teleesteu r se	---|---|-------|-|---|-----⌫-⌫-|
cele squi ont	----⌫|--|--|
te lehart teurse	--⌫-|---|-----|
cil q uide glai ueseutferi r	--|-⌫-|-|----⌫-|---|----⌫|
doit pa rdr o ita gleue perir	---|--⌫|--⌫-⌫-||----|----|
aussidoit serem entmuable	----|---|-----⌫--|-----|
estre uengié par sonsemblable	----|------|--|--|--------|
foine d oit est rea	--|-|-⌫--|---⌫-||
ci l tenu e	--⌫|----⌫|
quilasouefoyarompue	--|-|---|--||-----|
porcen dilen	--|--|-|--|
orlaprendras	-||--------|
te l lidorrastelyprendras	--⌫|-|-----|--||-------|
por cendoiz tu	--|--|---|-|
tacuremet re	-|---|---⌫-|
a bieniurer et ap rametre	|---|----|-||-⌫------|
e t soutilli erenmain teg u ise	-⌫|--------⌫-|-|----⌫-|-⌫-⌫--|
tantque tad am e aiez conquise	------|-|-⌫--⌫|---|-------|
lesdecheuan sdoizdecheu oir	--|--------⌫|---|------⌫--|
e t asur itables dire uoir	-⌫|-|--⌫------|---|---|
quirienz nefetqueautri uoill e	--|----|-|--|--|----|-----⌫|
d eson propr eessamplese d uille	-⌫|--|-----⌫|-------|-|-⌫----|
les ler me smeismesp rofete nt	--|---⌫--⌫|------|-⌫------⌫-|
sagem entlesgetent	-----⌫--|--|-----|
doncdoiztutelfoizestplorer	---|---|-|--|---|--|-----|
pours a gracemie xim plorer	---|-⌫|----|---⌫|--⌫-----|
le rmesauisera	--⌫---|------|
le cuerliattendriera	-|---|-|----------|
querilne st	---|-||-⌫-|
riensi d eboneire	---|-|-⌫-------|
commefame aq u ili	----|---||-⌫-⌫|-|
s oi tple re	-⌫--⌫|---⌫-|
pren d rade toipitie	----⌫-⌫-|-|--|----|
qu i siteserasaqu itié	--⌫|-|-|----|---⌫----|
lors penseraenson	---|------|-|--|
derestorer t oitondamage	-|-------|-⌫-|--|-----|
ets etu nepues	-|-⌫|-|-|---|
auoirlermes	----|-----|
empoinzde uisez	-|----|--⌫----|
etenterme s	-|-|-----⌫|
tuporrasunoignontenir	-|-----|-|-----|----|
q uitantost lesfera s ue nir	-⌫-|------|--|----⌫|--⌫--|
ou tuporras seronmentente	-|-|-----|----||------|
alafinquel oign on	|-|--|--||----⌫-|
mo il lier tesex	--⌫--⌫---|--|-|
issisera tadam eprise	---|---|-|---⌫|----|
setul a peussoulet rou uer	-|-|-⌫|---|----|-⌫---⌫--|
doizproprementmouuer	---|---------|-----|
afer equ anquelidoit	|---⌫|--⌫----|-|---|
etatoutton	-||---|--|
desirparfere	----|------|
en disant li bele sparoles	-|-----|-|----⌫|------|
l ab esese tlacoles	-⌫|-⌫---|-⌫||-----|
setes besi e rs ne u eutatendre	-|--|----⌫-⌫-|-|-⌫--|------|
toutesuoiesles doiztu pren dre	-----|----|--|---|-|----⌫--|
detant tegarde	-|---|-|----|
s oulement	-⌫-------|
que nebesestropduremen t	--|-|----|---|-------⌫|
e tq ue le sle ures	-⌫|-⌫-|--⌫|--⌫---|
nel i cuisent	-|-⌫|------|
de cen que	-|--|--|
tesb esi e rs lorn uisen t	--|-⌫---⌫-⌫-|--|-⌫-----⌫|
a qu i l e	|--⌫|-⌫|
besier estdonné	-----|--|-----|
doitle corses tre	---|-|---|--⌫--|
aba ndonné	---⌫------|
b esieres tdu lignage	-⌫----|--⌫|-|------|
a l outrepl usets onmessage	||-------⌫-|-|-⌫-|------|
parlebesier estot ree	--|-|-----|--|--⌫--|
par deuantdenee	--|-----|----|
et l a penseedescouuerte	-|-⌫|-----|----------|
q ui l onctempsaestécouue rte	-⌫-|-⌫--|----||----|-----⌫--|
c ilquile besierar apr is	-⌫-|--|-|-----|--⌫|--⌫-|
ni che s eraet mal apris	--⌫--|-⌫--|-|--|----|
etplain d e touteuilanie	-|----|-⌫|----|------|
seilne parf ait	-|-|-|----⌫--|
l a cour toisi e	-⌫|----⌫-----⌫|
se doituersamorst rere	-|---|---|----|-⌫---|
seilnosesondesir	-|-||--|--|----|
d igneestdeperdr etoutdedui t	-⌫---|--|-|-----⌫|---|-----⌫|
quie n tel	--|-⌫|--|
guiset ededui t	----|-⌫|-----⌫|
en lo utre pluspar auenture	-||-⌫----⌫---|--|-------|
sera pars emb lantfiereetdu re	---|--|-⌫---⌫---|----|-|--⌫-|
siu eu tel equelenla	-|-⌫--⌫|--⌫|--|--|-|
etquell e soit uainc ueaf orche	-|-|---⌫|---|-----⌫-||-⌫----|
etcombienqueforche	-|---------|-----|
telforche pl estaspuc el es	--|-----|--⌫--|-|---⌫--⌫-|
n e lesse m i ep orlor	-⌫|----|-⌫-⌫|-⌫-|--|
aferecen q uibien lor fet	|---|--|-⌫-|---|--|--|
i amesfame n esareit di re	-⌫---|---|-⌫|-----|--⌫-|
debou checen	-|---⌫--|--|
quetantdesire	--|---|-----|
mesmont li ples tquenenlapr enge	--|---|-|----⌫|--|--|-|--⌫---|
m al gre soe ncomme nt	-⌫--⌫--|---⌫|-----⌫-|
quilauienge	-|-|------|
pucele soudementraui e	-----|--------|----⌫|
agrant ioiequequ eld ie	|----|---|----|-|-⌫-|
quertel mau uestie sanzdoutance	---|--|---⌫-----|---|-------|
dedonetsemb lance	-|--|-|----⌫----|
etsenen l alesse escha per	-|-|--|-⌫|----|-----⌫--|
au pointque	-|----|--|
nenlapuethaper	--|-|---|----|
sa chesquel le	--⌫---|-|--⌫-|
enest montcorchiee	-|--|---|-------|
co mbienque lle	--⌫----|-|-⌫--|
en faigneest relie	-|-----|---⌫-|--|
tensi ssi semaintiennent	---|-⌫--|-|-----------|
asautres laprenn ent	-|-----||------⌫--|
quelsnesoi ent	-|--|-|---⌫--|
prisesprouuees	-----|-------|
conq uessifussent accordees	|---⌫--|||------|--------|
o r donquesne	-⌫|------|-|
tacoua rdi s	|-----⌫---⌫|
me sso iesape rtethardis	--⌫|--⌫--|---⌫-|-|-----|
de donnere nt e ns e te nhore	-|-----|-⌫|-⌫-⌫-|-⌫|-⌫|---|
ledondam ors qui tantde more	-|--||--⌫--|--|---|--⌫---|
selommeen sabiaute sef ie	-||---|-|-|-----|-|-⌫-|
tantq uilatent quenen	-----⌫|-|----|--|--|
amoursnelidoitn ulb ien fere	-----|-|-|---|-⌫-|-⌫--|---|
queri lli fet	---|-⌫|-|--|
tou t sonco n t rere	---⌫|--|--⌫-⌫-⌫---|
l omme sedoi tp remierement	|---|-|---⌫|-⌫----------|
preerbelet	----|--|-|
cortois ement	-------⌫----|
d a mequetan t d esire	-⌫-⌫-|--|---⌫|-⌫----|
le doitmolementescondire	-|---|-------|--------|
seill e fe t en	-|-|-⌫|--⌫|-|
autreguis e	----|----⌫|
il ne st p asdrois que	-||-⌫-|-⌫-|----|--|
nenleprise	--|-|----|
qu erhomme	--⌫-|----|
ne uaut unbouton	-|---|-|-----|
aquin enrequiertlemouton	|--|-⌫-|-------|-|-----|
pr emie remen tpri et amie	--⌫----⌫-----⌫|---⌫||---|
elnatent forsquenenlaprie	-||----|------|--|-|---|
donnecausedet on desir	----|----|-|-⌫-|----|
ueusfe res on	---|--⌫-|-⌫-|
setadamedel iciouse	-|-|---|---⌫------|
estaupremiertroporgueil louse	--|-|------|---|-------⌫----|
enen ch auchant t outbelemen t	-|--⌫--⌫------|-⌫--|-------⌫|
doiz quer re son acointement	---|----⌫-|--|----------|
por lye henorere t	--|--|------|-⌫|
porras b iensam ordeseruir	-----|-⌫--||--⌫-|-------|
pu cele sauuage a	--⌫---|------||
deuientbienamie	------|---|---|
soiesprest detout songr efere	----|----|-|---|--|--⌫|---|
porra sbi en atrere	-----⌫|--⌫-|-----|
combienquetu no se s ouurir	------|--|-||-⌫--⌫|-----|
tauolenten e desco uurir	-|------|-⌫|-----⌫----|
por demo ustrert ondesir er	--|----⌫-----|-⌫-|-----⌫-|
p ue z sanz	-⌫--⌫|---|
lorsn oteraen sapensee	---|-⌫----|-|-|-----|
que elle estbien	--|---|--|---|
d e toiamee	-⌫|--|---|
l aman tnedoit pas	|----⌫|-|---|--|
nerequerrecenqu i ldesire	-|-------|--|-|-⌫|-----|
mesdo itentrer amor	--|--⌫-|-----|---|
sus ombr ed amistieaperte	--|----⌫||------|-----|
to nd esirataindre	--⌫|-⌫---|-------|
t edoitme gresceleuis	-⌫|---|--⌫-----|-|--|
quec hescundie quetuaimes	--|-⌫-----|--|--|-|----|
combienq ua nuluynetenclaim es	--------⌫||----|-||-|-----⌫-|
aton compaignon ne	|--|---------|-|
direloengede t amie	---|-----|-||---|
il porr oit	-|----⌫--|
taloenge crere	-|-----|----|
etsoypener	-|--|----|
delie atrere	-|--|-----|
nulhommeestrang e nedoizcraindre	--|----|-------⌫|-|---|-------|
qu iluoille	-|-|-----|
tesamor sen fraindre	--|----⌫|--⌫-------|
detesfeaus	-|--|----|
amist egarde	---|-⌫|----|
tuna ras garde	-||-⌫--|----|
quisoncuerenamorz	--|--|---|-|----|
pasnel edie	--|-|-⌫|--|
asesa mi s	|--|-⌫--⌫|
q uer sachesqueilli	-⌫--|-----|--|-|-|
plus to stquel ne	---|--⌫-|-|-|-|
liai dere ent	-|--⌫----⌫--|
unco mpaignonp uetbienauoir	-|--⌫-------|-⌫--|---|----|
qui s onsegreporrasauoir	--|-⌫-|----|----|-----|
meslenonnelidoitpasdi re	--|-|--|-|-|---|--|--⌫-|
desa dam equetantdesir e	-|-|---⌫|--|---|-----⌫|
celile porrac onforte r	---|-|----|-⌫-------⌫|
desgriesm al s	--|----|-⌫--⌫|
mex uautun bonamiauoir	--|---|-|--|--|----|
quen efaitneor neauoir	--|-⌫|---|-|-|-|----|
enfam esamontde corages	-|---⌫-||---|-|------|
et mo ntde guisese tdeusages	-|--⌫-|-|-----|-⌫|-|-----|
doncdoiz en pluso rsguise sten dre	---|---|-|-----⌫-|-----⌫|---⌫--|
ala finqueles puissesprendre	|-|--|--|--|------|------|
luneueutpardonzestreprise	|--|---|--|---|----|----|
l autre par preer escon quise	|----|--|-----⌫-|---⌫----|
ueutabandonner	---|---------|
t out sanzprier etsa nz don ner	-⌫--|---|----|-|--⌫-|---⌫--|
siles tauis afa mesage	|-|--⌫|---||--⌫-|---|
quetuaiez legier courage	--|-|---|-----|------|
ta ntos ttenlera	--⌫----⌫||-|---|
aler quite	---|----|
tropmiexameroit	---|---|------|
etseilest auisa	-|-|-|--|---||
q ueso ies sagetant ost c ude	-⌫-|--⌫--|---|----⌫--|-⌫--|
quec ennes oitquemoquerie	--|-⌫-|-|-⌫--|--|-------|
porce nneueu testr e t	--|--⌫|-|---⌫|----⌫||
detels famesse utau enir	-|---|----|--⌫-|--⌫---|
nen pu eta chiefuenir	|-|--⌫-||----|----|
quera unuaillanth ommefuient	---||-|-------|-⌫---|-----|
eta unebrichesalient	-||--|-----||-----|
quiueutatelsfamesataindre	--|---||---|----|-------|
son estatdoitcele retf aindre	--|----|---|----⌫|-|-⌫-----|
que ulzne puissenta perceuoir	-|-⌫--|-|-------|-⌫--------|
quenen l es	--|--|-⌫-|
u oi l ledeceuoir	-⌫--⌫-⌫-|-------|
enun tenpsface l	-|-|----|---||
que ilperge estreunsainthermite	--|-|----|----|-|----|------|
e n autre tenssoit	-⌫|----|---|---|
enuna utre labore or	-|-|-⌫---|------⌫-|
setuu euzqueamo r teu aille	-|-|-⌫--|--|---⌫|-|-⌫----|
issi l e fayetne	---|-⌫|--|-|-|
