silzliuresquestcien	---|-----|-|--|-|-|
ne lidon e	-|-|---⌫|
quarcommunementmale mprant	---|----------|--|-⌫|----|
l ifa izsoi meismerepra nt	-⌫|--⌫-|--|-----|-----⌫-|
cilzqu inec o noitsonafaire	---|--⌫|-|-⌫-⌫---|--|-----|
enc e desplai tqui lcuideplaire	-|-⌫|-------⌫|-|-⌫|----|-----|
uns merchanz	--|-------|
uaienm ercha ndise	--|-|-⌫-----⌫----|
dou guainl atrait la	--|----||-----|-|
couoit ise	------⌫--|
unasne q uil trouaia uandre	-|---|-⌫|-|-----||-----|
porcertain prisd ergentuaipr andre	--|------|---||-----|--|--⌫----|
chargelimest	-----|-|---|
sus luisi sote	--|--|-|---|
quel eschinelem ploie tou te	--||------||-|----|---⌫-|
dou baston lefiertet lo	--|-----|-|----|-|-|
uiur e l ofaiten	----⌫|-⌫|---|-|
grantde stresce	----|--⌫------|
sof fretelmeschance	---⌫--|--|--------|
de sa uie estend esperance	-|-|--|--|-|-⌫--------|
lanuit quant	-|---|----|
d e sch ar g ié repose	-⌫-⌫---⌫--⌫-⌫--|-----|
ad onc seplaintetsedelose	--⌫--|-|-----|-|-|-----|
doufais quideiourlapre ssey	--|---|--|-|---|||---⌫---|
et descosqu essez	-|--|--|--⌫----|
loi ourtrauailleet trait gra ntpoin ne	-|-⌫--|--------|-|----|---⌫-|----⌫-|
lanuitl idonentpo uda uoinne	-|---|-⌫|-----|--⌫||-⌫-----|
plus g rantest	---|-⌫---|--|
sa male au enture	-|---|--⌫-----|
quarsapoinnea pres	---|-|-----|-⌫---|
samortdure	-|---|---|
pordancieretporieusatra ire	--|------|-|--|---|----⌫--|
fit lime r chanzde la	--|-|--⌫-⌫----|-|-|
pe l faire	--⌫|----|
cimbalesouclo c hatespandent	-------|-|---⌫-⌫----|------|
do uzsons randent	--⌫-|---|------|
etg ranttabou rsquelonsuet ba tre	-|-⌫---|-----⌫-|--|--|---|--⌫--|
quantlone ssambleporcombatre	----|--|-⌫------|--|-------|
ens inc delasnemorte et u iue	---⌫--|-||---|----|-|-⌫--|
futenpoinnel ape l chaitiu e	--|-|-----|-⌫|--⌫|-------⌫|
liasnesquest sanzconoissan ce	-|----|-|--|---|---------⌫-|
ceest armesanzconscience	-|--|---|---|---------|
limerchea nz c e st li deables	-|-------⌫-||-⌫-|-|------|
que st soudu an zetdeceuables	-|-⌫-|-----⌫--⌫|-|---------|
etc ilzmo ndesce estlafoire	-|-⌫--|--⌫---|-|--|-|----|
trouep o udef oiu oire	----|-⌫-⌫|-|-⌫-|-⌫---|
ces tefoir esonp aiemant	---⌫-|----⌫|--|-⌫------|
auraau iourdou	---|-|---|--|
lesma uaispunira	--|--⌫---|-----|
et lesb onsr eguierdon era	-|--|-⌫--|-⌫---------⌫--|
li deable slarmemerchande	-|------⌫||---|--------|
quisortout cestui gain	--|--|---|-----|---|
dema n d e	----⌫-⌫-⌫|
auuecsoi uu et que soit dampnee	----|--|--⌫-|--|---|------|
celecuidexairachetee	---|--|--|-|-------|
achaitisco rs honou rsautesces	|------|--⌫-|-----⌫-|-------|
prometetdelitet riche sces	-----|-|----|-|-----⌫---|
certesciai fause mo noie	-----|-|-|----|--⌫---|
quecilzmercha nza cors pres ante	--|---|------⌫-||---|----⌫---|
legieremantacesoutro ie	----------||-||-----⌫-|
donrent larmedo lante	--|---||---|--⌫----|
quarraisoncontre segramoie	---|-----|-----|-|------|
reposlitostet pais etioie	----|-|---|-|---|-|---|
i lla u oint ou sillatem pte	-⌫|-|-⌫---|-||-|-|---⌫--|
eleesttormantee	--|--|--------|
sillauoin tamo rt estliuree	|-|-|----⌫||--⌫-|--|-----|
ens inct out iour larmetormante	---⌫--|-⌫--|---||---|-------|
d ete lmerchielirantte l uant e	-⌫|--⌫|------|-|---|--⌫|----⌫|
de li gr eu ernes e	-|-|--⌫--⌫-|-|-⌫|
touziourzdarzdemortalitrait	---|----|---|-|---||-|----|
e n grantpoinne uit	-⌫|----|-----|--|
la pens ee	-|----⌫-|
questporp echiedesordonee	-|--|--|-⌫----|---------|
quarlifausdelitqu ipou	---|-|---|----|--⌫|--|
armelaisse tel pointure	---|-----|--|-------|
quitoutiourenuiuantl amort	--|---|---|-|-----|-⌫|---|
sen zfinloc istapresla mor t	---⌫|--||--⌫--|----|-|---⌫|
ensincneen mortne	-----|-|-|---|-|
na imauaise arm e garantie	|-⌫|------|---⌫|-------|
aui ugemant s erapaie	-|-⌫------|-⌫--|---|
la charq u e	-|---|-⌫-⌫|
larmeaien gignie	|---|-|--⌫-----|
auueccele sera perdue	----|---|---|-----|
cuielehafausema nt	--|--|-|-------⌫-|
fause monoieenhar e cue	----|-----|-|-|-⌫-⌫--|
sadessert el	-|-------⌫||
e niertrendue	-⌫|---|-----|
iertad ampn emant	---||-⌫----⌫----|
e scripturenemant	-⌫--------|-|---|
orpensoit chescunsdubienfai re	-|------|-------|-|---|---⌫-|
mau le ui er etraire	---⌫-|--⌫|-⌫------|
bienfairecestmonoi e bone	---|----||--|-----⌫|---|
qui sou erainneioie don e	--|---⌫------|---|---⌫|
por cedonebone donree	--|-|---|---|-----|
quarceest monoieespr ouee	---|-|--|-----|----⌫---|
quise ntde pechie	--|--⌫-|-|-----|
laq uessure	-|-⌫------|
tan tco n i l	---⌫|--⌫|-⌫|
ui ti mat ecure	--⌫||---⌫|---|
apr es lam ort n iair es sort	---⌫-|-|-⌫--|||-|-⌫--⌫---|
c e estde t out li	-⌫|--|-|-⌫--|-|
communsso rt	------|--⌫-|
q uarapresla mort ch escu nstrueu e	-⌫--|----|-|---|--⌫----⌫-|-----⌫|
teldessert econses faitprueue	--|-------⌫|--|--|---|-----|
sa uie gartcuielenuit	-|--|---|--|--|---|
amandoit e tiouretnuit	-------|-⌫|---|-|---|
l armenest p ais	|---||--|-⌫--|
depoinne quite	-|-----|----|
pe rl amortmes	--⌫|-⌫|---|--|
perbonmerite	--|--|-----|
arepousdegloireuen ir	|-----|-|-----|---⌫-|
faitb oneu iemant enir	---|-⌫--|-⌫-|----⌫---|
boisplaisantpo u rdeduire	---|-------|--⌫-⌫|------|
dort lilionssuslauerd ure	---|-|----|--|-|----⌫--|
de nu ir on lui enlerbefresch e	|-⌫--⌫--⌫-|--|-||---|------⌫|
lesrate s de m oinnentlourt resche	--|----⌫|--⌫-⌫------|---|-⌫-----|
lano ise lo lionesuoille	-|--⌫--|-|---|-------|
lo dor mirlaissesiso moil le	-|---⌫--|-----|-|--⌫----⌫-|
si co nliamoinne fortune	-|--⌫|-|------|------|
decesr at eshapri selune	-|--|-⌫--⌫-|-|---⌫-||--|
celepe rdess uslic orroit	---|--⌫|----⌫-|-|-⌫-----|
tient la p ense sillo ci r roit	----|-|-⌫---||-||-⌫--⌫-⌫---|
larate d oucemantliprie	-|---|-⌫-------|-|---|
deuli per dointsa uie	--|-|---⌫----|-|--|
lilyons ait emprees ire	-|----|-|-⌫-----||--|
danz soncuercomance a	---|--|---|------||
lyonsqu el	----|--⌫-|
g loire auras	-⌫----|----|
setua sune rate	-|-|-⌫|--|---|
nestpaslos apu issant mes honte	|--|--|--||--⌫-----|--|----|
po udechoses ore monte	--⌫|-|----|-⌫---⌫----|
lyonso ccirre do i gne	----|-⌫-----|--⌫-⌫--|
lar ate celiest	-|-⌫--|-|-|--|
uergoign e	--------⌫|
t o uzioursi ertl arate honoree	-⌫-⌫-|----|-⌫--|-⌫|---|------|
sig rant ma inest	-|-⌫---|--⌫-|--|
s elisoue rains hauictoire	-⌫|-|----⌫----|-|-------|
depetit pou	-|----|--|
conq u ie rtde gloire	----⌫-⌫--⌫-|-|-----|
pooir uoincr em	----|------⌫||
es t coue nables	--⌫|----⌫-----|
maisuoincrene m	---|------|-||
esthonorables	--|---------|
s ono u ri haitant est moins	|---⌫-⌫||--|---|--|----|
conpluschaitiueest	--|---|-------|--|
laperson e	-|------⌫|
defoibleenemimatre aterre	-|-----|----|----||----|
forzgrantpris	---|----|---|
uictoire doit es tr eloee	-------|---|--⌫--⌫|---|
seloncce qu	-----|-|-|
eleest c on quest ee	--|--|-⌫--⌫-----⌫-|
tant estcil zquiuointhonorez	---|--|---⌫|--|----|------|
co n liuoincuzfutuigorez	--⌫|-|------|--|------|
ensinc aililionslaissie	-----|-|-|----|------|
laratecele lenmercie	-|---|---||-|-----|
aulyonayd epromi t	-|---|---⌫|-----⌫|
unsous iours entre misemit	-|---|----|-----⌫-|-|--|
landemainfut cilpri s	|-------|--|--|---⌫|
ilpuetenquiessezmus er	-|---|----|----|---⌫-|
def o rce neliuautuser	-|-⌫-⌫--|-|-|---|---|
co iema ntseua i depl aignan t	--⌫----⌫-|-|--⌫|----⌫------⌫|
tandi s uoi t	-----⌫|---⌫|
lara teue nant	-|--⌫-|--⌫---|
quiliuu etrandrelemeri te	--|-|--⌫-|-----|-|----⌫-|
decouq ua lessai al erquite	-|--|-⌫-|-----|--⌫-|----|
asa d antsoutiue decoupe	|-|-⌫--|------|------|
leslazs on sei gn ordesuolo pe	--|--|-⌫-|---⌫--⌫-|-------⌫-|
e n sinc estl autre se schapez	-⌫-⌫---|--||-----⌫|-⌫------|
quimout est oitbi en estrapez	--|---|---⌫--|--⌫-|-------|
l ara teguierdone	-⌫|--⌫-|--------|
audepertirali sedo ne	-|-------||-|-|--⌫-|
quetoutiour sera ses amis	--|---|---|---|--|---|
p uissan c ees e sleuez	-⌫------⌫-⌫|-|-⌫-----|
aide uel ontie rsesgreuez	---|---⌫-----⌫-|-|-----|
cetedit doulyonl estoi re	-|-|--|--|---||-----⌫-|
au chait i	-|-----⌫|
faireaidoire	----|------|
carmai nt e fo izpuet d espaichier	--|---⌫--⌫|--⌫-|---|-⌫---------|
tel quine porro item paichier	--|--|-|-----⌫-|--⌫-------|
l arundele se uoit	|-------|-|---|
aproudom e	|-------⌫|
sestacordee	|--|------|
enchanter eten	-|------|-|-|
belseruise	--|------|
t antfa itque samouraiconquise	-⌫--|--⌫-|--||----|-|-------|
en samai sono	-|-|---⌫--||
lui h abite	--|-⌫----|
sanzperi l	---|----⌫|
tout efra ncheetquite	----⌫|---⌫---|-|----|
legieremantpuetsa meschance	----------|---|-|--------|
eschi u er quiaiporuea nce	-----⌫-⌫-|--|-|------⌫--|
e tsilne lapuet dou to ut	-⌫||-|-|-|---|--|--⌫-|
a moins ne	|----|-|
liestpaiss iduire	-|--|---|-⌫|----|
quaramo insdegrieu e recoit	---||--⌫--|-|-----⌫|-----|
lescopsquideuantsan poruoit	--|---|--|-----||-|------|
dou linco udreu ientlasaison	--|--|--⌫---|-⌫---|-|-----|
lihons lan port eensamaison	-|---||-|----⌫|-|-|-----|
roiset filer sporoi s easprandre	---|-|-----⌫|--|--⌫-⌫--|------|
e nfaitpuislesfites champstendre	-⌫|---|---|--|--|-|-----|-----|
enqui s ont folema n tuenu z	----|-⌫--|------⌫-⌫|----⌫|
mainsoiseas si so ntre ten uz	----|-----|-|--⌫-|--⌫---⌫-|
orreconoi ssentlourfolie	-|-------⌫----|---|----|
quan tenperiluoien tlour	----⌫|-|----|-----⌫|---|
quin epran tloconsoildou saige	--|-⌫|----⌫|-|------|--|----|
l of olcroitsi len uient	-⌫|-⌫-|----|-||-|----|
malauen ture	--|----⌫---|
qui sa uietropessegure	--|-|--|---|-------|
paourtemprefoleliesce	----|-----|---|-----|
etsi retientfol e erdi es ce	-|-|------|---⌫|----⌫--⌫-|
paourde maintema l del iure	----|-|-----|--⌫|---⌫---|
quarporuuemantfa ita yure	---|---------|--⌫-||---|
lafab le demoralitey	-|---⌫-|-|--------|
porteen soisentdeuerite y	----|-|--|---|-|------⌫|
example donedebi enfaire	------|---|-|--⌫-|----|
etdesmaus ensoigne	-|--|---|-------|
une gentenune	--|---|-|--|
d egre ce ot moutfu	-⌫|---⌫-|-|---|-|
cele gentapele ona ntique	---|---|----|-|-⌫-----|
decouperlent	-|--|------|
po ulesc r onique s	--⌫|--|-⌫-⌫------⌫|
mes lafableensa fictio n	--|-|----|-|-|------⌫|
lo met per	-|--|--|
autr eenten cion	----⌫|-----⌫---|
celegentfran chemen tui uoit	---|---|----⌫------⌫|--⌫---|
sus lourpoint deroine	--|---|----|-|--|-|
l oineauoit me sque dro iture	-⌫-|-|----|--⌫|--|---⌫----|
e nsoignoi tnature	-⌫--------⌫|-----|
ensi nc sanz loi	----⌫-|---|--|
tantqueau derrier se	---|--|-|------|-|
quarnauoi t enses regions	---||----⌫|-|--|------|
roicomeesa utres nac ions	--|---|-|-⌫----|---⌫---|
por roifairee nsambl eu e nirent	--|--|----|-⌫------⌫|-⌫-⌫-----|
tog usotnoncilqu	---⌫-|-|--|--|-|
ilesli r ent	-|----⌫-⌫--|
orsestensubiecti on mise	-||--|-|--------⌫-|---|
l agentqui u iuoitenfranchise	-⌫|---|--|-⌫----|-|--------|
nou aleslois louraid onees	---⌫---|---|---|-|-⌫----|
liro isci lzl esont b i en gard ees	-|--⌫-|--⌫-|-⌫-|--|-⌫-⌫-|----⌫--|
la poinne dela lo i	-|-----|-|-|--⌫|
entrelour aregart delonte	----|---||-----|-||---|
fossamblequi chosenouele	--|-----|--|----|-----|
qu il ai faitmai ntenant	-|-|-|---|---⌫------|
en bonfaitnedoit consent ir	-|--|---|-|---|-------⌫-|
nunsho nsportanto stre p enti r	---|--⌫-|--|-----⌫-|--⌫-⌫----⌫|
porce miezaucomance mant	--|-|---|-|-------⌫---|
g ardent lourestablissemant	-⌫-----|---|-------------|
chescunsse fforceporsono ur	-------||-⌫-----|--||---⌫-|
de m iez honorersonseig nour	-|-⌫--|------|--|----⌫---|
loro i f ir e ntacoroner	-|--⌫|-⌫--⌫-⌫-||------|
uiemie zordoner	--|---⌫|------|
siontlouruolu ntey muable	-|--|---|----⌫---|-----|
sobmise aio u deloiestaubl e	------||--⌫|-|--|-------⌫|
es com andemanzs o blige r ent	-|---⌫-------||-⌫-----⌫-⌫--|
q uipuisa hennuitlourt ornarent	-⌫-|---||------|---|-⌫-------|
l iroislesbonsamercomanc e	-⌫|---|--|---|---|------⌫|
lesmauaisp unitper sentence	--|-----|-⌫---|--|-------|
legi ereschoseseslegi e r	----⌫---|-----|------⌫-⌫|
pristetles g rez plusacharg ier	----|-|--|-⌫--|---||-----⌫--|
loissusloislourcomancefaire	---|--|---|---|------|----|
escitiai nsp ristades pla ire	-|------⌫-|-⌫---||---⌫---⌫--|
ils etieg nentporbaratey	-|-⌫|----⌫---|--|------|
deueoirtan tnoueletey	-|----|---⌫|--------|
lou rso ntorespesanz	---⌫|--⌫-|---|-----|
qui premiers lour fu rentplesanz	--|-------|---|--⌫---|------|
esopezlasu biection	-----|-|--⌫-------|
to icheencest e narracio n	--⌫---|-|----⌫|--------⌫|
des citiainsqu isecomp l aignent	--|-------|--⌫|-|----⌫-⌫------|
d ecesquitropfort sus	-⌫|--|--|---|---|--|
lour raignent	---|-------|
segures erent les	------|----|--|
re noilles	--⌫------|
iohant saloie ntper lourgoille s	-----|------⌫-|--|---|------⌫|
mo utme noien t	--⌫-|--⌫-----⌫|
paisibleu ie	-------|-⌫-|
lour facoituilo nie	---|-----|----⌫--|
orrequieren tpe rgrant	-|---------⌫|--⌫|----|
quillourdo introi	-|-|---|--⌫--|--|
iupiterest dextoz	------|--|--|--|
cuilimo nzes tobeissanz	--|-|--⌫-|--⌫|--------|
des reno ille sse pristarire	--|----⌫----⌫|-|----||---|
celesderechief li u ontdire	----|--------|-|-⌫--|---|
et p rierque percortoisie	-|-⌫---|--|--|--------|
lou rdoint	---⌫|----|
deroilaseignorie	-|--|-|--------|
dex douciellourenu oie	--|--|---|---|---⌫--|
aigue sone	----|---|
depaourfur ent esperdues	-|----|---⌫--|--------|
enlaig uese	-||---⌫-|-|
sontescondues	---|--------|
tantlesfistaespaont er	---|--|---||-------⌫-|
quelesp erd ire nt l ourchanter	-|---|-⌫---⌫---⌫-|-⌫--|------|
quantele s furenta paisies	----|---⌫|-----|-⌫------|
dessusl aigu esont repairies	-----||----⌫|---|--------|
lotreuoientsise	-|--|-----|-|-|
mer uoil le nt	---⌫----⌫--⌫-|
qu e coupuet estre et s anconsoillent	--⌫|--|---|----|-||-|----------|
loinzse tiegn entmou tlodotoient	----|-|-----⌫--|---⌫|-|-------|
quarencor n e locono issoient	---|----|-⌫|-|----⌫-------|
quantcelesquine semu t uirent	----|----|-||-|-|--⌫|-----|
uer sl uisanuo nt	---⌫|-⌫-||-|--⌫-|
sus luis e ssirent	--|--||-⌫------|
aud euf ont lesti erc es prieres	-|-⌫-|-⌫--|--|--⌫---⌫-|------|
roi lo urdointento tesmenieres	--|--⌫-|----|-|--⌫--|-------|
iupiter fust	------|---|
mout corrocié	---|--------|
decouquetant	-|--|--|---|
lontenchaucié	|--|---------|
orauroizroidist ilsanzfaille	-|-----|--|---|-|---|-----|
lacyoigneporroilourbaille	-|------|--|--|---|-----|
hydrelil iur es cylap elle	----|-|-⌫---⌫-|-||--⌫---|
ce s taigue en grizoiche	|-⌫-⌫|----|-|--------|
hydreestporce	----|--|--|-|
l i nonsde maitre	-⌫|---|-|-----|
quesus lesaiguesse suet paistre	--|--|--|-----|-|---|------|
ou p orcequelaseignorie	-|-⌫-|-|--|-|--------|
sus lesr aigne s	--|--|-⌫-----⌫|
l iest bai lli e	-⌫|--|---⌫---⌫|
hydre f utunss erpe ntengrece	----|-⌫-|--|-⌫----⌫-|-|----|
qu ocis therculesiai gr antpiece	-|----⌫|-------|--|--⌫--|----|
decestuine	-|-----|-|
doi zpa isente ndre	---⌫|--⌫-|----⌫---|
ceai ditport o i miezaprendre	-|-|--|--|-⌫-⌫|---|-------|
e nt end oncc eque ie tenso i gne	-⌫--⌫-|-⌫--|-⌫|--|-||----⌫-⌫--|
cy en d roitesthydre	-|--⌫-⌫---|--|----|
h ydr ec e	-⌫---⌫|-⌫|
distlaut repertie	---||---⌫-|-----|
ests erpe nt enaiguesn orrie	--|-⌫----⌫-|-|-----|-⌫----|
que dexquiaidetoutlacure	--|--|--|-|-|---|-|---|
done es rai nnesp orl ourdestruire	---|-|---⌫---|-⌫-|-⌫--|--------|
ousoit serpentouso itcyo igne	-|---|------|-|--⌫-|---⌫---|
desr ainnesuai mal	--|-⌫-----|--|--|
la beso igne	-|----⌫---|
laigu ea tantostenuiron ee	|----⌫||------|-------⌫-|
li rois ai l agoule	-|---|-|-⌫|----|
gouleconfeuesbainnes	----|--|----|------|
seuelitcopa copcesrainnes	------|--||--|--|------|
celes qu i perra isonsesmaient	----|--⌫|--|--⌫---||-------|
en gemis santc ri en tetbraient	-|-----⌫---|-⌫--⌫--⌫|-|------|
mer ciiupiterbeau ldo u z sire	---⌫-|------|----⌫|--⌫-⌫|---|
liur eessumes amertire	----⌫--|----||------|
decesttira ntquarnosdel i ure	-|---|----⌫-|---|--|---⌫-⌫--|
autremantnepoons nos u iur e	--------|-|----|--|-⌫---⌫|
iupiterrespo nt per	------|-----⌫-|--|
uosauez pergrant oroison	--|---|--|----|------|
a che te ycest r o iuostresoit	-⌫---⌫--⌫|---|-⌫-⌫|-----|---|
uost resier tcu i c onquesanpoi t	----⌫--|---⌫|--⌫||-----|-|---⌫|
tantuosauuglela grantai se	---|--|-----|-|----|--⌫-|
ne trouezch ose qu i	-|-----|--⌫--|--⌫|
orsoit uostreui e	-|---|-----|--⌫|
q uisoloit es tres anz dot ance	-⌫-|-----|--⌫--|-⌫--|---⌫---|
decoupr ierenemoffriz	-|--|--⌫---|-||-----|
toziors mai s	--|---|---⌫|
ce soffriz	-|------|
uostreuel onteyuou saifaite	-----|---⌫----|---⌫|-|----|
ia po rmoines erai retraite	-|--⌫|--|-|-⌫---|-------|
deschose sne	--|-----⌫|-|
setlabontey	--|-|-----|
quilesai a saue lontey	--|--|-||-|--⌫-----|
apresc hose amere gostee	----|-⌫---|----|-----|
sambleestrelab on eso cree	-----|----|-|-⌫--⌫|--⌫---|
maingi er ainc oisce quest amer	------⌫-|----⌫--|-|-|--|---|
faitpuisladoucour miezamer	---|---|-|------|---|---|
en grant ioi em antient	-|----|---⌫|-⌫------|
q uiacouqu	-⌫-||--|-|
a luiapertie nt	|--|-------⌫-|
qui uuetes trangechose querre	--|---|--⌫-----|----|-----|
s o nrepo suuet muerenguerr e	-⌫-⌫|----⌫|---|---|-|-----⌫|
estre d efranc coraige	----|-⌫|----|------|
ne sobligoitamal seruai ge	-||-------||--|------⌫-|
lescolumbesau oient guer re	--|-------|--⌫----|----⌫-|
a ni bleoru ontaydequer re	|--⌫--|-|-⌫--|---|----⌫-|
enalan tl oitourencontrare nt	-|----⌫||-----|----------⌫-|
aroisorl ourlo	|--|--|-⌫--|-|
coro narent	----⌫-----|
porce quillesuoille deffe ndre	--|-|-|-|--|-----|-----⌫---|
ci lzdi t quen ce uuetmoute ntend re	--⌫-|--⌫|-|-|-|---|---|-⌫-----⌫-|
maisliglozaut rechosepen se	---|-|---|---⌫-|----|---⌫-|
e nrobertorn e sa deffens e	-⌫|----|----⌫|-|-------⌫|
des plusbeaxc olumbazprannoit	--|---|---|-⌫------|-------|
pormaingier	--|-------|
pla ignoit	---⌫-----|
il d isoituos donezmauez	-|-⌫----|--|----||---|
et uosetquanqu eu os auez	-|--|-|------⌫|-⌫-|---|
neuos dauezdo ngr euser	-|--|----|--⌫|--⌫----|
se ieuoilde smoill ou rsu ser	-|-|---|--⌫|-----⌫--⌫-|-⌫--|
lonie ble trouent	-|---⌫--|------|
deb onai re	---⌫----⌫-|
a r egartdouroidep uta ire	|-⌫----|--|--|---⌫---⌫--|
delourseignourse	-|---|-------|-|
u ontplaignant	-⌫--|--------|
que sim allesu a i demenant	--|-|-⌫-|--|-⌫-⌫|-------|
mueznousua utcedie ntmorir	---|---|--⌫-|-|---⌫-|----|
enba tai llelo s conquerir	-|--⌫---⌫--|--⌫|--------|
qua uo i rseignourq uitantnospresse	-|-⌫--⌫-⌫|-------|-⌫-|---|--|-----|
qui deiouretd en uit ne c e sse	--|-|---|-|-⌫|-⌫--|-|-⌫-⌫--|
a nie blegue rro ientloitour	|---⌫--|---⌫---⌫---||-----|
r en oientcomet raitour	-⌫--⌫----|---|-⌫------|
tesfaizlaf i nregarde	--|---|-|-⌫-⌫|------|
t ostme sc hie tquinesepr ant ga rde	-⌫--|--⌫--⌫---⌫|--|-|-|--⌫--|--⌫--|
miezuautsoffr ir pouen tirant	---|---|-----⌫-|--|-|-----|
enmaindeti rant	-|---|-|--⌫---|
mais onouritlapo rte	----⌫-|----|-|--⌫--|
uns lerresdo upainque il	--|-----|--⌫|---|--|-|
a idoney auchienunepiece	-⌫|----|-|----|--|----|
lo chiennetrueuefol	-|----|-|-----|--|
mesli ditpornoiant	--|-|--|--|-----|
pra ntlotienssoit tozq uites	---⌫-|-|----|---|--|-⌫----|
tunou medonespaispor m	-||-|-|----|---|--||
mais so up or	---|--⌫|-⌫-|
ceque ieme taise	-|--|-|-|----|
ambletoutmainnem ain	----|---|-------⌫--|
que main ger ai	--|----⌫---⌫-|
ie dondema in	-|--|----⌫-|
ieneuoil poi ntd epai nde	-|-|---|---⌫-|-⌫|---⌫|-|
ainde io ur	--|-|--⌫-|
quarnemenuit	---|-|-|---|
iai nmu ez loupou que tou t ior	|--⌫|--⌫-|--|--|--|---⌫|--|
cunpouquimeuientd auentur e	|-|--|--|-|----||-------⌫|
tespainse stauchepor moiprandre	--|----|-⌫-|----|--|--|------|
aut repartte couient	---⌫-|---|-|------|
nesui poissonsp or	-|--|-------|-⌫-|
siferasgrants auoir	-|----|----|-⌫----|
se ne tanuas iabaer ai	-|-||-|--||-----⌫-|
e ns in ctonfait	-⌫--⌫--⌫|--|---|
tantesteconlichienssequoise	---|---|--|-|-----|-|-----|
qua n tceu oitli chienssifait	---⌫-⌫|-|-⌫--|-|-----|-|---|
enes baiantlo larron iape	-|--⌫-----|-|-----|---|
li l erresfuitensinceschape	-|-⌫----|---|-----|------|
s etudones ous	-⌫|-|----|-||
gard e quela	----⌫|--|-|
causesoitbone	----|---|---|
ensorquetoutta	-|---------|-|
gorgedon te	----|---⌫-|
s eschiu e ruuezdomaigeetonte	|------⌫-⌫|---|------|-|---|
unetruedanz soiportoit	--|---|---|--|------|
porceaxlilouslaconfortoit	------|-|---|-|---------|
etlidisoitdamea co uchiez	-|-|-----|---|-⌫--⌫-----|
etie douce mant	-|-|-----⌫---|
cesaic h iez	-|----⌫-⌫--|
dem onpouoiruosaiderai	-|-⌫-|-----|--|------|
uosp o rc elazbi ennor ra i	--|-⌫-⌫--⌫---|--⌫-|---⌫--⌫|
cel editglozploins de mali ce	---⌫|--|---|-----|-|----⌫-|
naiquefaire	|-|--|----|
de to noffice	-|--⌫|-----|
uai loinde	--|---|-|
ciet tientauoi e	-|-|---|-|---⌫|
si q uesuremanten fantoie	-|-⌫-|-------|--⌫------|
set ufaire	-|-⌫|----|
meuuezseru ise	-|---|----⌫--|
uat enbienconois	-||-|---|-----|
tafo intise	-|--⌫-----|
ala truea uoirfitna ture	|-|---|-⌫---|--|--⌫---|
de garderse sporceasgra ntcure	-|-----|--⌫|------|---⌫-|---|
li lo u ssan parte t ti ent s a	-|--⌫-⌫||-|---|-⌫|--⌫--|-⌫|
la true anfante sali gnie	-|---|------|-|--⌫---|
garde lou tense tlap ersone	----|--|---|-⌫|-|-⌫-----|
encono istr epar o lebon e	-|----⌫----⌫|---⌫-⌫-|---⌫|
quartraitourlotens esgai tent	---|-------|-|---|-----⌫---|
oulo urmanc onges	-|--⌫-|----⌫----|
miezeffaitent	---|--------|
bienm ostresafol e meni ere	---|-⌫----|-|---⌫|----⌫--|
qui tostcroitparo l e	--|---|----|----⌫-⌫|
laterresenfla	-|----||----|
grosseman t	---------⌫|
etdona grant	-|---|----|
ge missemant	--⌫--------|
confammeq uidoitan fa nter	--|----|-⌫-|---|--⌫--⌫---|
lagents enpr ist a gaimanter	-|---||-|--⌫--||--------|
fairedoit cesamble me ruoille	----|---|-|-----|--⌫------|
lat errequ ensinc sauantro ille	-|-⌫---|-|-----||-------⌫---|
bien cuidece	---|----|-|
soitdemonstran ce	---|----------⌫-|
ounouelesenefian c e	-|-----|--------⌫-⌫|
ch escuns tremble fu itetfremi t	--⌫-----|------|--⌫-|-|-----⌫|
quant uoitlate rrequ igemit	----|---|-|--⌫--|--⌫|----|
enristornecestedotance	-|--|----|----|------|
qua rquantlaterreour esapance	---⌫|----|-|----|---⌫|-|----|
ele enfante unegross e rate	--|------|--|-----⌫|---|
ch escunsritdeceste barate	--⌫-----|--|-|----|-----|
quien moutperlers e t rauaillen t	--|-|---|-----|-⌫|-⌫---------⌫|
ceson tcilzquien fait	-|---⌫|---|--|-|---|
m oinsuai llent	-⌫---|---⌫----|
porun ecausemoutpetite	--|--⌫|----|---|-----|
est tostfolegen td esconfite	--|---|---|---⌫|-⌫--------|
tostfaitsa litier eensestable	---|---|-|------⌫|-||------|
paou rencuer qu e sttropmuable	----⌫|-|---|-|-⌫-|---|-----|
lilo us uiten unprey	-|--⌫-|--|-|-|---|
ioantauboc berb u	----|-|--|----⌫|
li fammeabo uc s on	-|----||--⌫-|-⌫-|
don o itsucieralaig n e lat	---⌫-⌫-|-----|||---⌫-⌫-⌫--|
al aignealdit	||------|--|
per trich er ie	--|-----⌫--⌫-|
lilou s moidespl aitta folie	-|---⌫|--|-----⌫--|-|----|
q u etu laisses	-⌫-⌫|-|------|
tamerebele	-|---|---|
et uasauuec cete chiurel e	-|--|----|---|-------⌫|
tuuoiz quele	-|---|-|--|
est toutepuant	--|----|----|
ettout iouruasa liihouant	-|---|---|--||-|------|
ta mereciprestede mande	-|---|-|---|-|--⌫----|
quitegard ebone uiande	--|-|----⌫|---|-----|
atoigardesasuet oute	|--|----|-|--|-⌫---|
