mi sirenoble lilio ns	-|---|----|-|---⌫-|
pa r sonengi n get entrepr is	--⌫|--|----⌫-⌫|-|-------⌫-|
disoitquilauoitpla ie	-----|-|-|----|---⌫-|
o tmale mo nnoie	-⌫|---|--⌫----|
ne uos porroiepasretrere	-|--|------|--|------|
lesmau x l	--|---⌫||
en nuine lecontrer e	--⌫--|-|-|-------⌫|
q uere nar tafetab ru nlours	-⌫-|--⌫---⌫||--||-⌫--⌫||---|
et aplusour s	-||-------⌫|
liroisparlacomme senez	-|---|----|----|----|
e tdist se ign oror mesc outez	-⌫|---|--⌫---⌫-|-||---⌫----|
ysengrinse stamoiclamez	-------||-⌫-||--|-----|
d erenartquitant est blasmez	-⌫|-----|--|---|--|------|
fameli a maumise	---|-||------|
a s aforc e mise	|-⌫|----⌫|---|
siuilmentet	-|------|-|
entelmanie re	-|--|-----⌫-|
com auneaut re chamberiere	--||--|---⌫-|----------|
touz se spensers ifuforni z	---|--⌫|------||-|-----⌫|
se droitnenaitoz	-|----||-|-|--|
ilenfuaserementmis	-|-|-||-------|--|
porcequeill auoit	--|-|--|-||----|
par deuantnostreconn estable	--|-----|-----|----⌫------|
doudeliurer mescefufable	--|-------|--|-|-|----|
quantdut a lerausain tuaire	----|--|-⌫--|-|----⌫-----|
foi s en liro uxdeputaire	--||-|-|--⌫-|--------|
ormeco nuient quedr oit en	-|-|--⌫-----|--|--⌫--|-|
que m agent mehace	--|-⌫|---|-|---|
q uantrooniauxl iuieus mast ins	-⌫---|-------|-⌫|----|----⌫--|
de plusorslatins	-|------|-----|
etqui mout a fierle co rage	-|--|---||---|-|--⌫---|
s estclamezquequeelmesage	|--|-----|-----|-|-----|
l a uoietram isdemapar t	|-⌫---|----⌫-|-|-|---⌫|
quilmefeist ueni r renart	-|-|-|----|----⌫|-----|
dontlifi st	---|-|--⌫-|
r e na rtsigranthonte	-⌫-⌫--⌫-|-|----|----|
qu e i en en	--⌫|-⌫||-|
sai tenirl eco nte	--|----|-⌫|--⌫--|
aioila nouele	-|-|-|-----|
dequoidantroone l	-|---|---|-----⌫|
si distque par satraison	-|---|--|--|-|------|
le f istretenirem prison	-|-⌫--|------|-|-----|
amuserles otparparole	-----|-|-⌫-|--|-----|
distdune co gnogole	---||--|--⌫------|
quezz u i lainauoittend ue	--|-|-⌫-⌫---|----|----⌫-|
lez uneuoiedef fendue	--|--|---|---⌫-----|
quel a gisoitzz	--|-⌫|-----|-|
saintuaires	----------|
q uiertape lezsa in tylaires	-⌫-|--|---⌫--|--⌫--⌫|------|
et bienentendrel iaf et	-|---|-------|-⌫||-⌫-|
qu el aredrecen tli contret	--⌫|-⌫|--------⌫|-|------|
ciln e ns ot	--||-⌫|-⌫-|
paslaue rite	--|-|--⌫---|
pensa q uildeist ueri te	----|-⌫|-|----|----⌫-|
tant lifist par	---|-|---|--|
eng ingacroir e	---⌫--|------⌫|
pa role fustuoire	--⌫---|---|----|
cil quisagesest re soloit	--|--|----|---⌫-|-----|
sisa gesn e foloit	-|--⌫--|-⌫|-----|
lal e n fistrenart le	-||-⌫|---|-----|-|
enlenginauoit	-||----|----|
zz fromage	-|------|
quezzuilain	--|-|-----|
mis ia uoit	--||-⌫---|
mout bienl	---|---||
a labessier uitlefromage	||-------|--|-|------|
qui lifistrendr e	--|-|---|-----⌫|
rooniaux ne fistp asque sag e	-------|-|---|-⌫-|--|---⌫|
sailliauantpristl efromage	-----|----|----|-⌫|------|
ne uolt lessier q u eiln	-|---|------|-⌫-⌫|-||
auresachieres t raintlacor de	-|--------|--⌫-⌫----|-|---⌫-|
quidesorlecollideuale	--|----|-|--|-|-----|
pain eetangoisses o u frimale	----⌫|-|-------|-⌫-⌫-⌫--|---|
cilse faudoille e tretorne	--|-|--------|-⌫|------|
etr enartquipointneseio rne	-|-⌫----|--|----|-|----⌫--|
et q uilot	-|-⌫-||-|
menécomme fol	----|----|--|
lelessap e ndantpar	-|----|-⌫-⌫----|--|
renart lirouxque	-----|-|---|--|
malfeu a rd e	--|--|-⌫--⌫|
li distdesuignessoiezgarde	-|---|--|-----|----|----|
bienfulimastinsdeceuz	---|-|-|------|-----|
d es gardesfuaper ce uz	-⌫-|-----|-|----⌫--⌫-|
omacuesetotin iaux	|-----|-||---⌫---|
liont tantaunéle sburiaux	-|--|---|----|--⌫|------|
ille conttantlelas batu	----⌫|--|---|-|--|---|
qualaterr el	-||-|----⌫||
onta ba tu	--|-⌫--⌫-|
nebre tnecri e qu	-|---⌫|-|---⌫|-|
simplement contenirl estuet	---------|-------||-----|
a gran tpaine en	|----⌫|----|-|
eschapa uis	------|--|
sicom ildist geluos pleuis	-|--|-|---|-||--|-----|
il a fetmal amain tegent	-||--|--||----⌫-|---|
pr endroieornear gent	--⌫------|-|-|--⌫---|
quene l destruieou	--|-||-------|-|
nele pende	-|-|----|
ouilnesttelsqu	-|-||--|---|-|
ilsedeffende	-|-|-------|
h onte mafete tu il a nie	-⌫---|||--|-⌫|-⌫--⌫-⌫--|
tropaiso fertsarenardie	---|-|--⌫---|-|-------|
fu au conc il eoan	-|-|----⌫--⌫|--|
festesaintioha n	----|----|----⌫|
debr un lorsdety bertlechat	-|--⌫-||--|-|--⌫---|-|---|
etde moiquiparsonbarat	-|-|--|--|--|--|----|
a uoity sengrin escoupé	-⌫---|-⌫------|-------|
tot par done ́	--|---⌫----⌫|
q u ant ilpris tla	-⌫-⌫--|-|----⌫|-|
comm e pelerin	----⌫|------|
s i tostcomde	-⌫|---|--|-|
nosdeparti	--|------|
dantcoartlelieure assa illi	---|----|-|-----|----⌫---|
deson bordonqu iertfe rrez	-|--|-----|--⌫|--|--⌫---|
liatozper c iezlescost ez	-||--|---⌫-⌫--|--|----⌫-|
au ec s oi	--⌫-|-⌫-|
le nuoloi tport er	|-⌫|-----⌫|----⌫-|
quantca sen	----|-||-|
uint a m oi parler	---||-⌫-|-----|
porl iprendrecorutapres	--|-⌫|------|----|----|
etmibaront ota esles	-|-|----|-⌫-||----|
il not c ure	-||-|-⌫--|
de nostreauel	-|-----|---|
ainzs e feri en	---|-⌫|---|-|
son chastel	--|------|
cef u u eriteiel as is	-|-⌫|-⌫----|-||--⌫-|
mesonquesne potestre pris	--|-----|-|--|----|---|
iusquala nuit	----||-|---|
de rouoisons	-|--------|
que bien sotq uen os	--|---|--|-⌫-|-⌫-|
lorsfudeson chastel	---|-|-|--|------|
uintless auzme nu z	---|--|-⌫--|--⌫--⌫|
niotceluine fustlié	||-|----|-|---|---|
aar br e oup arkeueouparpi e	|--⌫--⌫|-|-⌫-|---|-|--|--⌫|
do ntil fist mout	--⌫-|-|---|---|
q uefelenc ri mes	-⌫-|--|---⌫--⌫--|
queillianesm oimeismes	--|-|--|--|-⌫-|------|
puisen al auers la roin e	---|-|--⌫|---|-|----⌫|
queueuea gesirs ouu ine	--|---||----|-⌫---⌫--|
main ten an tso rlecor slimonte	----⌫---⌫--⌫|--⌫|-|---⌫|-|----|
tostfu pr e z de moifere honte	---|-|--⌫-⌫|-|--|---|----|
quantd a m e nobles esc riot	----|-⌫-⌫-⌫|----||---⌫---|
sidurement queilniot	-|-------|--|-|||-|
baro nqui nefustesue illiez	----⌫|--|-|---|----⌫-----|
de lui aidierapareilliez	-|--|-----|----------|
uers renart uoloient de scendre	---|-----|-------|--⌫------|
elles co uintentendre	-|--|--⌫---|-------|
forceneporp ooir	----|-|--|-⌫---|
di lecneseporent	|-⌫--|-|-|-----|
iemeismes mefuileuez	-|------|-|--|----|
t a nt sachi e quem	-⌫-⌫-|-----⌫|--||
enfuigreuez	-|--|-----|
apoin oiqu eu e rompue	|--||-|--⌫--⌫|-----|
forment est endue	------|---⌫----|
ai nsinostrestuit estions	--⌫--|--|-------|------|
qu ant danttardis	--⌫--|---|-----|
lilim ac ons	-|---⌫--⌫--|
saillisussot l espeetrete	-----|--||-||----|----|
sia labeso ign esifete	-||-|----⌫---⌫|-|---|
queiln os ottoz de sliez	--|-|-⌫-|-|--|--⌫----|
ilnauoit pas	-||----|--|
quantrenartq uilemontconchie	----|-----|-⌫-|-|---|------|
aueucesi torneenfuie	|--|-|-|----|-|---|
etnos n os fu mes misap res	-|--|-⌫-|--⌫--|--|--⌫--|
ilertde son huispres	-|--|-|--|---|---|
quei luo loit deden z en trer	--|-⌫|--⌫---|-----⌫|--⌫---|
ta rdis li uintal	--⌫---|-|---|||
quimou tertpreuz agrant me ru eille	--|---⌫|--|----||----|--⌫--⌫----|
sil ots ipris	-||-|-⌫|---|
par mi l orei lle	---⌫-||----⌫--|
quep or sachier ne portirer	--|-⌫-|------|-|--|----|
neuoltonq ues	-|---|---⌫--|
i lmefu m a in ten an t	-⌫|-|-|-⌫-⌫--⌫---⌫--⌫|
s i commandaiq u i l f ustpenduz	-⌫|--------|-⌫|-⌫|-⌫--|-----|
asforcheslauo ientmené	-|------||---⌫---|----|
quantielio i totpardo né	----|-|-|-⌫|--|-----⌫--|
por larequested ermeline	--|-|-------||-------|
quimoute rtcortois emes chine	--|---|-⌫-|-------⌫|---⌫----|
fuasf orch esmenez	-|-|-⌫----⌫-|----|
nefistil bien queforsenez	-|---|-|---|--|-------|
pele le rat	---|-|--|
illecmurtr i	----|-----⌫|
o nquesnul	-⌫----|--|
ame ne lsenti	--|-||----|
puiss enfoiuneualee	---||-|--|--|----|
magenterttote apresalee	-|---|--|---|----|---|
quantuitqu ilnepot	----|--|-|-|-|--|
ch esne pristamonter	--⌫---|----||-----|
yycoignieesfisaporter	-|--------|--|------|
comman dai lech esne ac ou per	------⌫--|-|--⌫---||-⌫--⌫--|
lorss apensaqu	---||-----|-|
ilporroi t f aire	-|------⌫|-⌫---|
et ne fu ilbi en dep utaire	-|-|-|-|--⌫-|---⌫-----|
zzpetitu ers	-|----|-⌫--|
terresapro che	----||----⌫--|
main tint une grant	---|---|--|----|
telm e donadelez loreille	--|-⌫|---|----||------|
la te steen	-|--⌫--|-|
oitouteu ermeille	-|----|-⌫-------|
aterreme conui nt uen i r	|----|-|-----⌫-|---⌫-⌫|
onc nem esoi	--|-|-⌫|--|
sibien tenir	-|---|----|
qu antmi bar onl o re ntueu	--⌫--|-|---⌫-||-⌫--⌫-|--|
tu it sont	--⌫-|---|
amoiacor eu	|--|----⌫-|
n entendent pas aluigai tier	|--------|--||--|---⌫---|
et renarts emistau	-|-----|-⌫|---|-|
etlorsfisgemo n ban	-|---|--|-|--⌫|--|
par tot ple uiretaffier	--|--|---⌫--|-|-----|
quequiconq uesle p orroit	--|-------⌫--|-|-⌫-----|
totmai ntenant l eferoi t	--|---⌫------|-⌫|-----⌫|
tot ce ueistes	--|-|------|
et seu s tes	-|---⌫-⌫--|
sire grinbertqueu os	---|-------|--|-⌫-|
ainzp uisnepotestretenuz	---|-⌫--|-|--|----|----|
mesorestila cortuenuz	--|-|--|-||---|----|
traineziertainzquilse ntort	------|---|-----|-||-⌫|---|
pa r leiugement de	--⌫|-|-------|-|
r enarttotcem auezuosfait	-⌫----|--|-||---|--|---|
qui bel ce	--|--|-|
estyy dahez ait	--|-|----|--|
to riorznos au ez fetmoleste	--⌫----|--|--⌫-|--|------|
chascune beste	-------|----|
mes parmabarbeseg epuis	--|--|-|----|-|-⌫|---|
c onsei l letruis	-⌫-----⌫|-|----|
quantu o sde	----|-⌫-⌫|-|
moidepa rtirez	--|----⌫-----|
iame sbesten atrapere z	----⌫|----||--------⌫|
renart fet iltropieshaiz	-----|--|-|---|--|---|
cilqui ne stoitpasesbahiz	--|--||-⌫----|--|------|
n e trophastizen saparole	-⌫|---|-----|-|-|-----|
esté auoi tab one es col e	----|----⌫||-⌫--|--⌫---⌫|
uer sterre ti ntenc linle	---⌫|----|--⌫-|---⌫--|-|
si fet s enblant quilli	-|--|-⌫------|-|-|-|
biensauoittaireet	---|-----|----|-|
bienparle r	---|-----⌫|
e tbienrespondre etoposer	-⌫|---|--------|-|-----|
quan til en	----⌫|-|-|
a etl ieu et aise	|-|-⌫--|-|---|
couientqu eil setaise	------|--⌫|-|-|----|
queiluoitle	--|-|---|-|
roicorroucié	--|---------|
zzpouasonc hi efadrecié	-|--||--|-⌫--⌫-|-------|
ilnot enl uiriensqu e aprendre	-||-|-|-⌫-|----|--⌫|-------|
bien sesotgarder	---|-|--|-----|
den treprendre	|--⌫---------|
au ro ia dit quill i	-|--⌫||--|-|-|-⌫|
qui lpui ss e r espondrepar	-|-⌫|---⌫--⌫|-⌫-------|--|
et audroitq u il d ira s acort	-|-|----|-⌫|-|-⌫--||----|
tantenferai nenauraito rt	---|-|----||-|----|--⌫-|
ren artfetnobl e	---⌫--|--|----⌫|
bienas dit	---|-|--|
iaence nauras contred it	-|-|-||----|-------⌫-|
etnostescouterons	-|--||----------|
setu disbien n osnos t airons	-|-|--|---|-⌫-|--|-⌫-----|
sirecedit r enartbiendi tes	---|-|--|-⌫----|---|--⌫--|
quiauezditn e	--|---|--|-⌫|
suipas quit es	--|--|----⌫-|
desaloign esqueauezf ai t es	--|------⌫-|--|---|-⌫--⌫-⌫-|
queuosa uez	--|--|-⌫--|
desourmo i traites	-----|--⌫|------|
dety ber t	-|--⌫---⌫|
etde lamesange	-|-|-|------|
mesc o ndi biencommentq u	|---⌫-⌫--|---|--------⌫|
etdel corbe letde	-|--|-----⌫|-|-|
queparmoinefuesclopee	--|--|--|-|-|-------|
n acha ntec lerne fisout ra ge	||---⌫----⌫--|-|--|---⌫--⌫-|
tiecelindesonfromage	-------|-|--|------|
brunsliourssest	----|-|---||--|
de moic lamez	-|--|-⌫----|
tortensuibla smez	---|-|--|---⌫---|
qainzneperdi	|---|-|----|
p armoi s a pel	-⌫-|--|-⌫|--|
mal aroonel	--||-----|
n eamon co mpereysengrin	-⌫||--|--⌫----|-------|
encusentmiuoisin	-------|-|-----|
las tant mal	--|---|--|
seruisei aifet	------||-|--|
parbienfere ai	--|---|---|-|
chascuns le s etnias i fort	-------|-|-⌫-||||-⌫|---|
queteln ipechequiencort	--|--|||----|--|-----|
malegrace madieusdonee	---|----|||----|----|
mesite ls estma desti n e e	--|---⌫-|--|-|-----⌫-⌫-⌫|
q ueiasibien nesaura ifai r e	-⌫-|-|-|---|-|-----⌫|---⌫-⌫|
queilne me uiegneacon traire	--|-|-|-|-----||---⌫-----|
certesmout ai acel sbienfet	-----|---|-||---⌫|---|--|
quiormo n tp orchacié cestplet	--|-||-⌫-⌫|-⌫--------|---|---|
aue zorfetsemondre	---⌫|-|--|-------|
et ie suitozpre zde	-|-|--|--|---⌫|-|
re spondre	--⌫------|
a uiugeme nt deuostre	-⌫|------⌫-|-|-----|
a cemotysengr inacort	|-|--|------⌫-|----|
deuant lero ient re	-----|-|--⌫|---⌫-|
lesaut res	--|---⌫--|
etr ooniauxlife us	-|-⌫------|-|--⌫-|
liu i autr es	-|-⌫-⌫----⌫-|
lamesa n ge	-|----⌫-⌫-|
e ttybert l i chaz	-⌫|-----|-⌫|---|
etbrunq uiestde grantporc haz	-|---|-⌫-|--|-|----|----⌫--|
damerosetela geline	---|-----|-|-----|
etdamepintesauoisine	-|---|----|-|------|
qui soloitpondreleso esgros	--|-----|-----|--|-⌫-|---|
chante cler li	------⌫---|-|
tantfo ntdeua nt	---|--⌫-|----⌫-|
leroi lorplainte	-|--|--|------|
n iame stierparolefa inte	|||--⌫----|-----|--⌫---|
renartse s eigneamainesclanche	-----|-|-⌫----||---|--------|
bienuoitqueniamestier	---|---|--||||------|
or li conuientgrantres onren d re	-|-|-------|----|---⌫-|---⌫-⌫-|
grantpooraqu enne le pen de	----|---||-|-|-|-|---⌫-|
s ornesetrenart debarat	|-|-|--|-----|-|----|
mar acointat ybertle	--|------|-⌫----|-|
estcheuzenmalez meins	--|----|-|----|----|
mout se ra bo ns retor iens	---|--⌫-|--⌫-|-----⌫---|
seilsanzperte s en escha pe	-|-|---|----||-|-----⌫-|
sanztaillierchaperono u chape	---|-------|-------|-⌫|----|
lan otmesti er	-||-|-----⌫-|
paro l ef ainte	----⌫-⌫|-⌫----|
d er enart font au roi	-⌫|-⌫----|---|-|--|
complainte	---------|
et detantess	-|-|-----||
ot enc user	-|---⌫---|
qua poine s se	-||-----⌫|-|
pot escuser	--|------|
c e dist nob leque	-⌫|---|---⌫-|--|
uos est uis	--|--|--|
renart respontc e mesta uis	-----|------|-⌫||--|-⌫--|
connoisparres on	------|--|---⌫-|
u ersuosnai nulemesprison	-⌫--|--||-|---|--------|
sir esire cedist	---⌫|---|-|---|
iadieus nen	-|----|--|
ai tenmamepart	--⌫|-||--|---|
sege d e mes fetme	-|-|-⌫|---⌫--|-|
donte nu ersu os euss e tort	---|-⌫--⌫--|-⌫-|----⌫|---|
ia diron t cequeiluo u dront	-|-----⌫|-|--|-|--⌫-⌫----|
mespor ceriensneme	--|--|-|----|-|-|
siluosple stqu imes	|-|--|---⌫-|--⌫|--|
siresestes	----|----|
iesuisordizdep l uso rs	-|--|-----|-|-⌫-⌫---⌫-|
atel aipor té	|--|-|---⌫--|
grant hon or	----|---⌫-|
qui or m afet	--|-|||--|
gra nt desonor	---⌫-|------|
ies aiqueli torz nest pas	-|-⌫-|--|-|---||--|--|
to ute suoie s	--⌫---⌫|----⌫|
u aintralibiens	-⌫-----|-|----|
on ques deriensnem entremis	--⌫---|-|----|-||-------|
de quo i deusse estrea nem is	-|---⌫|-----|----|-⌫---⌫-|
dant y sengrin monchiercompere	---|-⌫------|--|----|------|
mes parlame lamoie me re	--|--||--|-|---|--⌫-|
a safamene fisfo lie	|-|---|-|--|--⌫--|
mo u tpormoiassaillie	--⌫-⌫|--|--|--------|
etprezsuidu	-|---|--|-|
mos trersanzfaille	---⌫---|---|-----|
o uparioiseo u	-⌫|--|----|-⌫|
par ba taill e	--|--⌫-----⌫|
ainsinc com len esgardera	------|--|--|--------|
etquelacortleiugera	-|--|-|---|-|-----|
iseng rinestsailliz en place	-----⌫--|--|------|-|----|
cuiqueilpois t nequiilplace	-----|-|----⌫|-|--|-|----|
sa droitureuoudra prouer	-|-------|-----|-----|
totsanz menc ong econ trou er	--|---|----⌫---⌫|---⌫----⌫-|
noble commande que ildie	----|-------|--|-|--|
q uelc ontredie	-⌫-||-⌫-------|
renartdistysen gri nentent	-----|---|----⌫---⌫|-----|
iesuici lqu i sondroitatent	-|--|--⌫|--⌫|--|----|----|
desgranzannu isquetuas	--|----|----⌫-|--|-|-|
quenosauons	--|--|----|
ceenzretrez	----|-----|
ne mes ontencor amendé	-|-|-⌫--|----|------|
s ilauo itle	-⌫||---⌫-|-|
ro ico mmandé	--⌫|--⌫------|
mo ut asorfetbestegreuer	--⌫-|-|-|--|----|-----|
ainzquetep oistamener	------|-|-⌫---|-----|
et desioenes et de s chan uz	-|--|-----|-|--⌫|----⌫-|
en as assezpor	-|-|----|--|
fo ux tenuz	--⌫-|----|
p orcelsq ui de toi c lamor font	-⌫-|---|-⌫-|-|--|-⌫----|---|
etqu i cien	-|--⌫|-|-|
p resentsestont	-⌫-----||-----|
parmoiquip ar toisuihonniz	--|--|--|-⌫-|--|--|-----|
uu ei l q ueli ple zsoit	--⌫--⌫|-⌫-|-|---⌫|---|
ueritemenirai	-----||-|---|
ia se dieusple st n en	-|-|----|---⌫-||-|
queienedie totle uo ir	--|-|-|--|--|-|--⌫-|
s e gel epui saperc euoir	-⌫|-|-⌫|---⌫|-----⌫----|
ienaime sti e r de	-||-|--⌫---⌫-⌫|-|
fe realonge	--⌫-|-----|
nedeci contr ouer menconge	-|-|-|-----⌫---|-------|
detraisonteprouerons	-|------|-|--------|
si que gar anzentrouerons	--⌫--|---⌫--|-|--------|
etm osterraitotparraiso n	-|-⌫-------|--|--|-----⌫|
et felonn ieet traison	-|------⌫-|-|------|
bie n ensaurai lachoisondire	---⌫|-|-----||-------|---|
se te nuoloiesesc ondire	-||-⌫|------|---⌫-----|
renartre spontbiendita uez	-----|--⌫----|---|--|-⌫--|
commentle sauez	------|-|----|
distysengri n bienle dirai	---|-------⌫|---|-|----|
iauoi rne u o senmentira i	-|---⌫|-|-⌫-⌫|-|-------⌫|
mescomperes est es	--|-------|---⌫-|
si mau ezm ené en	-||--⌫-|-⌫---|-|
plusd ey yfoiz	---|-⌫|-⌫|---|
queien em ente	--|-|-⌫|-⌫---|
meinte best e as	-----|----⌫|-|
tu fet dolente	-|--|------|
bien lontplusor ap erceu	---||--|-----|--⌫----|
quemain tesfoiz m	--|----⌫--|---||
orsai biense cortnemefaut	-|--|---|-|---|-|-|---|
nossomesuenualasaut	--|----|---|||----|
moutaipar toi	---|-|--|--|
mauxendurez	---|------|
m einte sfoiztenes pariurez	-⌫-----⌫|---||-|-|-------|
fame m a smalb ailli	---||-⌫|----⌫----|
ced istr e nar t tuas menti	-|-⌫--|-⌫-⌫---⌫|-|-|----|
oncmal a tafamenefis	--|--||-|---|-|--|
neuers to ide riens neme spri s	-|---|--⌫|-|----|-|--⌫----⌫|
disty sengrincer tes renart	---|-⌫------|---⌫--|-----|
ielmousterroide	-||---------|-|
que uo s afor ce lasaillistes	--|--⌫||---⌫-||----------|
au trotrouer pasnefaillistes	-|--|-----|--|-|---------|
uoian tmonuou sist ou	-----⌫|--|---⌫---|-|
libatist es uos	-|------⌫-|--|
moutuos uibouteretempa indre	---|--|-|-----|-|----⌫----|
etdurem entl a keue es traindre	-|-----⌫--|-⌫|---|--⌫-------|
i leclatenis tupor sote	-⌫--|-|----|-|--|---|
nesenbloitpas gie udepelote	-|-------|--|---⌫|-|-----|
cenepo r riezpasdeffendre	-|-|--⌫-⌫---|--|--------|
queneuosueissedesce n dre	--|-|--|-----|-----⌫-⌫--|
etuo z br aiessusremonter	-|--⌫|--⌫---|--|-------|
neme sthontedu	-||-⌫-|----|-|
rac on ter	---⌫--⌫--|
messeie celerlepeusse	--|-|-|----|-|-----|
an ul uidire ne lseusse	|-⌫--⌫-|---|-||-----|
cedistrenarti a dieusne	-|---|-----|-⌫|----|-|
quei a tanta nul	--|-⌫|---||--|
iormefface	--|------|
qaiefetteldesco u enue	|--|--|--|-----⌫-⌫---|
que macommer e aief outue	--|-|------⌫|--|-⌫----|
plusbasdel ueil	---|--|-||---|
sicom uosdites	-|--|--|----|
don quesseroie ge erites	---⌫---|-----|-|-----|
orpu et on bien defisa uoir	-|--⌫-|-|---|-|-|--⌫---|
qu euos nesauezhonte auo ir	--⌫|--|-|----|----|---⌫-|
quece auez	--|-|---|
dont liautres e sontteu	---|-|----|-⌫|---|--|
endeussiezten irc ont e	-|-------|---⌫-|-⌫---⌫|
qui l uostor nea tropgrant	-|-⌫|--|---⌫-||---|----|
mesbienau e ztel	--|---|--⌫-⌫|--|
chosea prise	----|-⌫----|
que honte aue z	--|----|---⌫|
arrieremise	------|---|
bienaue z uergo igneabessiee	---|---⌫|-----⌫---|-------|
quihonni zai n sit e spose e	--|-----⌫|--⌫-⌫-||-⌫-----⌫|
et le souf achier	-|-|----⌫-----|
fisgetotpor	--|-|--|--|
lu iaidier	--⌫|-----|
bout ere mpaindremeu ei stes	----⌫-|-⌫-------|-|-⌫--⌫---|
biensa iqu em a lient endistes	---|--⌫|--⌫|-⌫-⌫||---⌫-------|
me s iene l	--⌫|-|-||
or men re ndez mal guerredon	-||-|--⌫---|--|--------|
ielfisporbie n etp orfranchise	-||--|--|---⌫|-|-⌫-|--------|
mesormenrendezmals eruise	--|-||-|-----|--|-⌫-----|
quefouxfisquantm	--|---|--|----||
enentremis	-|-------|
o re nestesmesanemis	-⌫|-⌫|----|--|-----|
rena rtd et anttepuezua nter	----⌫-|-⌫|-⌫--|-|---|--⌫---|
af ouzmess echanter	|-⌫--|----⌫|------|
c eestbie nchose	-⌫|--|---⌫|----|
quemaintebest easdeceu e	--|-----|----⌫|-|-----⌫|
tuesdetelau torite	-|-|-|--|--⌫-----|
na poin tdeuerite	||----⌫|-|-----|
tantmeconseilla senloreil le	---|-|---------⌫|-||-----⌫-|
qentrer me feisen laseil le	|-----|-|---|-|-|----⌫-|
et a ua ler oupuis	-|-⌫--⌫--|-|---|
lameleg outeaieses	-|---|-⌫---|---|-|
a to ter iensa stu fethonte	|--⌫-|-⌫---|-⌫|-|--|----|
nus nest quien	--||--|--|-|
sachelecont e	----|-|----⌫|
tude is qui	-|--⌫-|--|
la p or r oit e stre	-|-⌫--⌫-⌫--|-⌫---|
paradis ter re stre	------|---⌫--⌫---|
ou ilauo itgaaigneries	-|-|---⌫-|----------|
e tboisetplainset	-⌫|---|-|-----|-|
pooi t rie nsdemander	----⌫|---⌫-|-------|
quennepeust	-|-|-|----|
laienztrouer	-----|-----|
e tqui uolo i tmen gierp oissons	-⌫|--|----⌫-⌫|---⌫---|-⌫------|
outroitesousaumons	-|------|-|------|
tan t enauoitcom li	---⌫|-|----|--|-|
asauolente	|-|------|
deto uz b iensertlileus garniz	-|--⌫-|-⌫---|--|-|---|-----|
ainsi fuipar	----|--|--|
toi escharniz	--|--------|
q u edeissesuoir	-⌫-⌫|------|---|
nef ismiesauoi r	-|-⌫-|--|-----⌫|
moutmengignasaiceleeure	---||-------||----|---|
el se elentresanz d emeure	-|--⌫-|----|---|-⌫-----|
etlacorde se des tortei lle	-|-|----|-|---⌫------⌫--|
tuier esia	-|---⌫-|-|
iefuipesan z et	-|--|-----⌫|-|
tu legiers	-|------|
traitre se s	-------⌫|-⌫|
etlosengi ers	-|-------⌫--|
ie au al aiettu montas	-|--⌫--⌫-|-|-|-----|
quantenmilepui sm	----|---|-|---⌫||
dontfu mescu ersiriezet	---|-|--|--⌫--|----|-|
mout ies defelonnie p lains	---|--|-|-------|-⌫----|
iede manda iquetuqueroies	-|--⌫-----⌫|--|-|-------|
t umedeistuten aloies	-⌫|-|---|-||-|-----|
lacoustume quia uien t	-|-------|--|-⌫----⌫|
quant liuns ualiautre suient	----|-|--|-|-|-----⌫|----|
de nfer estoieseschape z	|-⌫---|------|-------⌫|
etieiremesatrap ez	-|-||----|-----⌫-|
ilecremestut enissis	---|----|-||-|----|
traison f eis	------|-⌫--|
illequessoufrige	-------|-----|-|
de bo iu r eestoieagrant aise	-|--⌫--⌫-⌫|-----||----|---|
mere closts orla	-|--⌫----|-⌫-|-|
mout ienduraigrantmoleste	---||------|----|------|
liblanc moine me trestrent f ors	-|----|----|-|--------|-⌫--|
mesta ntme batiren tlecors	--|--⌫-|-|-------⌫|-|---|
de potencesetde	-|-------|-|-|
quilmemistrentaue ntreillons	-|-|-|-------||--⌫---------|
decouxme firent tel	-|---|-|-----|--|
quilecme lessierentpor mort	-|---|-|---------|--|---|
enzzfoss equ iertpull anz	-|-|----⌫|--⌫|--|----⌫--|
par l a k eu eme mistrentenz	--|-⌫|-⌫--⌫|-|-------|--|
etempressenfurent to rné	-|-----||-|-----|--⌫---|
morentostelé	|----|------|
depuordui estrecreuez	-|---|--|----|-----|
mout aiesté	---|-|----|
parto igreu ez	--|--⌫|----⌫-|
dilec mepartiagrantpoine	|---|-|----||----|----|
encormendu el ent tuitlimenbre	----||-|--⌫--⌫--|---|-|-----|
dolent quant me n remenbre	-----|----||-⌫|-------|
feis alerpes chie r	---|---|---⌫----⌫|
eten leuetantacrachier	-|-||--|---|--------|
keue i oi gelee	---||-|----|
glacesee llee	----|---⌫---|
nem e n pooiedepart ir	-||-⌫|----|------⌫-|
sanzlakeue perdre a upar tir	---|-|---|-----|-⌫|---⌫--|
isengrin diz letu acertes	-------|--|-|-||-----|
qaies par moieu espertes	|---|--|--|--⌫-|-----|
parfoituparolesaforce	--|--|-|------||----|
ta lecherietenfistforc e	-|-------||-|---|----⌫|
tuestoiessibeso ign eus	-|------|-|----⌫---⌫--|
etde poisson sicouoit eus	-|-|------|-|------⌫--|
tu nenquidoiespreuauoi r	-||-|-------|---|----⌫|
bienditliuila inset	---|--|-|----⌫--|-|
