di reledoit	--⌫-|-|---|
estuocousin uoeil ie	--|-|-----|----|-|
et malapert	-|-------|
sonfil pa rfo i	--|--|--⌫|--⌫|
armesleurdonra iet	----|---|-----⌫|-|
destri e rs	------⌫-⌫-|
oluichascunyyes cuier	|--|------|-|--⌫----|
aitpreushar diset ep roué s	--|----|---⌫--|-|--⌫-----⌫|
aléstostet	----|---|-|
si mamenés	-||------|
cheu aliersetlese scuiers	----⌫-----|-|--|-⌫------|
ren ar sres pondiu olen tiers	---⌫--⌫|---⌫----|-⌫----⌫----|
renars ascheualiersen uint	-----|-|---------|-|---|
aausparl atouslesdetint	|--|----⌫|---|--|-----|
auoecorg ueilet es cuiers	----|---⌫---|-|--⌫-----|
quatreachascun h ardis etf iers	-----||------|-⌫----|-|-⌫---|
lescheualierscaichinon més	--|---------||-|--|---⌫---|
en aaorgueil	-|||------|
et lesescuier s e nse ment	-|--|-------⌫|-⌫---⌫---|
o rgieuslesret intliement	-⌫-----|--|---⌫--|------|
puislesmena	---|--|---|
en uneca mbre	-|--|--⌫---|
dont lipau ementsont de	---|-|---⌫----|---|-|
aconseilet sile ur	|------|-|-|--⌫-|
sauolente nusni renonche	-|------|--|||-------|
que seli filysengrinuont	--|-|-|--|-------|---|
a uto urnoi il les	-⌫|--⌫----|-|--|
oc h iron t	--⌫-⌫----⌫|
pourles gransdons qu illeurpreme t	---|--|----|---|-|-|---|-----⌫|
cha scunsasonos telsemet	---⌫----||--|--⌫--|-|--|
pou ruoient bienleurco rs	---⌫------|---|---|--⌫-|
etde destriersisniausetfors	-|-|--------|------|-|---|
de toutfinere nar spour	-|---|---|--⌫---⌫|---|
quiert maistr es	--|--|------⌫-|
etsenes caus	-|-----⌫---|
delos telorgu eilfi l	-||--⌫--|----⌫--|--⌫|
chascunssepouruoitendroitsoi	-------|-|-------|------|--|
de cheu s quidoiuent	-|----⌫|--|------|
to urn oier	--⌫---⌫---|
siquil affiertatelmestier	-|-|-|------||--|------|
au i ourd utournoiaumastin	-|-⌫--|-⌫|------|-|-----|
peussié sueoirg rant hustin	--------⌫|----|-⌫---|-----|
de hiraus quicrient enhaut	-|-----|--|-----|-|---|
l achiéslach iésliiour	-⌫------|----⌫---|-|---|
nate ndés mieduscaunu it	|---⌫----|--|---|-|--⌫-|
li corles trompes fonttelbruit	-|--|--|------|---|--|----|
queliterree ntombist	--|-|----|-⌫|------|
est ascans etse route	--|-|---|-|-|----|
armé seur lesd estriers	----|---|--|-⌫-------|
son ne lifersetliach ie rs	---⌫-|-|---|-|-|---⌫--⌫-|
liro isestoitarmésmout	-|--⌫-|-----|-----|---|
d esinopled or	-⌫|------||-|
erentse sa rme s	----|--⌫|-⌫---⌫|
qui fustlaseil n oist dur	--|---|-|-|-||---|--|
le s banierespeust	--⌫|-------|----|
u ente lerle chielresplendir	-⌫----⌫--|-|----|---------|
couuint l e s armesleroinobl e	------|-⌫-⌫|----|-|--|----⌫|
e tdesecomp ai gn ie	-⌫|-|-|----⌫--⌫--⌫-|
apr eslero iissi	---⌫-|-|--⌫|---|
lilupars q uiniertaprentis	-|-----|-⌫-||---|-------|
mi edeses armesp orter	--⌫|-|--|----|-⌫----|
sa g ent faitlaterrec roler	-|-⌫--|---|-|----|-⌫----|
etleurarmes resclarchi rl	-|---|----|----------⌫||
lostrissesdesdai gneusouua i r	|--------|------⌫----|-|--⌫-⌫|
s esi etque on otauhanir	-⌫|--⌫-|--|-|-|-|----|
unelie uedete rre	--|---⌫-|-|--⌫--|
de cuirboulior enttestier es	-|---|----|--⌫--|-------⌫-|
leur cheualconmebest es	---|-----|----|----⌫-|
etconmer adeetfort destrier	-|----|-⌫--|-|---|-------|
lunicornep as	|-------|-⌫-|
ai nssemi st ascans	--⌫-|-|--⌫-|-|---|
ses armes eren tmoutparans	--|----|----⌫|---|-----|
gentotolu i	---|-||--⌫|
hardiset fors	-----|-|---|
ap resluiissias can s h ors	--⌫--|--|---|-|---⌫|-⌫--|
f o rtinsliolifa ns	-⌫-⌫----|-|-----⌫-|
c hiex auoit	-⌫---|----|
ge ntdiuerse	--⌫-|------|
qui d ontorg ueil	--|-⌫--|---⌫---|
issir ueist	----|----|
liairs et li terre	-|---|-|-|----|
entomb ist	-|----⌫--|
etdeses cheua us	-|-|--|-----⌫-|
ia iertde tie rchelis olaus	-|---|-|---⌫---|-|-⌫----|
departi setseurmi edi	-------⌫|-|---|--⌫--|
aloit renars olu iis si	----|-----||--⌫|--⌫-|
seur zz grantcheualespai gnot	---|-|----|-----|-----⌫---|
renarsason col pendu	-----||--|--|----|
demali sseetdetrecheri e	-|----⌫--|-|-|--------⌫|
escuetparsesignourie	---|-|--|-|--------|
a uoientsifiltesescus	-⌫-----|-|--|--|----|
f orsquedeboidiedesu s	-⌫-----|-|-----|----⌫|
otlab liaus pou rdesconnissanc he	-|---⌫----|---⌫|-------------⌫-|
chascunsdesge ns	-------|--|--⌫-|
or gueilotlanche	--⌫----|-|-----|
oudesarmes	-|--|----|
orgueila uoit	------|-⌫---|
pignonquibien iauenoit	-----|--|---||------|
org ieu s lemanchepr os erpine	---⌫---⌫|-|-----|--⌫--⌫-----|
senbrac c ard amour fine	--|---|-⌫-||----|---|
lamoit ets ot	|----|-||-|
son couu rechief	--|----⌫------|
seur lehiaum e desusson chief	---|-|-----⌫|----|--|----|
pou rplus donnerdehardement	---⌫|---|-----|-|--------|
orgieuscheuauchoitcoin tement	------|----------|----⌫-----|
se seleet a seslorains	-|---|-||--|------|
c loque t es aumains	-⌫-----⌫-⌫-|-|----|
quidemenoientg rant tintin	--|---------|-⌫---|-----|
con l im aisniehellekin	--|-⌫|-⌫-----|-------|
au u ent fis t sem a is tre	-|-⌫--|---⌫|-|-⌫-⌫--⌫--|
desploierqui	--------|--|
deg r ant maniere	-|-⌫-⌫--|------|
ertfaiteetde diuers ou u rage	--|----|-|-|-----|--⌫-⌫---|
ele ertl oseng uie	--|--|-⌫-----⌫--|
con tre fi ertemaisc unquartier	---⌫--|--⌫---|----|-|-------|
iotsansplusd outrecu id ier	|-|---|---||-------⌫--⌫--|
renartl aleiourconmandee	-----|||-|---|--------|
yyco r sonnentala m ene e	-|--⌫|------||-|-⌫---⌫|
ettout pour orgue ilesbaudir	-|---|---|-----⌫-|-------|
dont p rist ysen gri n sais sir	---|-⌫---|----⌫---⌫-⌫||--⌫--|
a preso rgueiltostet uias	-⌫---|-⌫-----|---|-|---|
iletsegent	-|-|-|---|
petitetp as	------|-⌫-|
est roitserr éen	---⌫---|----⌫-|-|
un tr opel	-|--⌫---|
ysen grins lescu enca ntel	----⌫----||---|-|--⌫---|
tenoitmo utfer mpar	-----|--⌫-|---⌫|--|
lesenarmes	--|------|
ses escusestoit	--|----|-----|
etsesarmes	-|--|----|
de larrechin	-|--------|
areuberi e	|-------⌫|
destri e r desur ie	------⌫-⌫|-|---⌫-|
otyseng rinf or t et	-|-----⌫--|-⌫--⌫|-|
poiss a nt	-----⌫-⌫-|
e taussieurentsi	-⌫|----|-----|-|
e t tesarm esenleu rescu s	-⌫|--|---⌫-|-|---⌫|----⌫|
qu ysengrinsot	-|--------|-|
mais qu edesus	----⌫--⌫|----|
de m urdrei a uoit z zlab lel	-|-⌫----||-⌫---|-⌫|---⌫--|
toutp o urfi léde piaus	---|-⌫-⌫----⌫--|-|----|
apres lig rif ons malegrape	----|-|-⌫---⌫--|--------|
iss iundestrierde	---⌫|-|-------|-|
otdesousluifo rt	-|-----|--|--⌫-|
armes bonneso tdorburni	----|-----|-⌫||-|----|
ouotmainteriche esmeraude	-|-|-----|----|--------|
s e gen siertda ssanlermou t caud e	-⌫|---⌫|---||-⌫------|---⌫|----⌫|
apreslui qu im iexmiexissi rent	----|--|--⌫|-⌫--|---|----⌫---|
lia u treet leur	-|-⌫-⌫--|-|---|
tournoipartirent	------|--------|
ingau mentpuis	-----⌫---|---|
firen tsonner	-----⌫|-----|
yyco rs d arainalassanler	-|--⌫-||----|||-------|
yygrail les etauta n tbuis ine s	-|-----⌫--|-|----⌫-⌫|----⌫---⌫|
e smu ren tparaatines	-⌫---⌫---⌫|--|------|
lin ouuielcheual ier	-|-⌫-----|------⌫--|
orguielle ussistseurunbauchant	---------⌫-|---|---|-|-------|
gratefort etmort	----|---|-|---|
outou rno ig onfa nondestort	-|---⌫---⌫|-⌫----⌫--|------|
fi ert renarssifil ens emen t	--⌫--|-----|-|--|---⌫----⌫|
chesanloit foudre squidesch ent	--|------|------⌫|--|-----⌫--|
touslitourn ois sefier tensa nle	---|-|-----⌫--|-|----⌫|----⌫--|
que chiex etairset terre	--|----|-|---|-|----|
conmunemententreferir	----------|---------|
ma intelanche croissir	--⌫---|-----|-------|
ioissiésa lassanler	|-------|||-------|
et maintcheualier reuer s er	-|----|--------|-----⌫-⌫-|
e speesdonner m aint c o p	-⌫----|-----|-⌫---|-⌫-⌫|
etespau ler etfa ireclop	-|-----⌫--|-|--⌫--|---|
maintche uale tmaint c heuali er	----|---⌫--|-⌫|----|-⌫------⌫-|
prisonuoeille	-----|------|
oun o nfianchier	-|-⌫-⌫|--------|
etmaint beldestrierauharna s	-|----|--|-------|-|-----⌫|
menerl i roislor s fi ertoutas	----|-⌫|---|---⌫|--⌫--|-|--|
l espeeoupoingle h i aumeouc hief	|----|-|----|-|-⌫-⌫---|-|-⌫---|
iaf ustl i roisagrant meschief	-|-⌫--|-⌫|---||----|-------|
nefu st tardieuslilimechons	-|--⌫-|-------|-|--------|
qui au ferird esesper ons	--|-|----|-⌫-|-----⌫--|
e taidie retsecourre	-⌫|-----⌫|-|-------|
quidontueistnobletacc ourre	--|---|----|-----|---⌫----|
e tlionn elbienpeustdire	-⌫|-----⌫-|---|----|---|
quechascuns	--|-------|
dign edun empire	----⌫||-|-----|
estoit dur uis tementcap ler	-----|-|-⌫---⌫-----|---⌫--|
fontdel achierlefuuole r	---|-||-----|-|-|----⌫|
luni c orne rimocher on	|---⌫-⌫---|--------⌫-|
uoeilleouno nfiancherpr ison	------|-|--⌫|-------|--⌫---|
puis h ardi lelu pa rt	---|-⌫---|-|--⌫--⌫-|
qui dontueistl esfi ex	--|---|----|-⌫-|--⌫-|
seur lesfiexysengr in	---|--|---|------⌫-|
direpeustquebacheler	---|----|--|-------|
son t de grant cuer fort	---⌫|-|----|---|---|
etpo issan t	-|--⌫-----⌫|
orgieusetrenarsu ont cerquant	------|-|-----|-⌫--|-------|
lesrens enleuruoi e enco ntrerent	--|---|-|---|---⌫|----⌫-------|
ysen grinetiusleporterent	----⌫---|-|--|-|--------|
parde so usle c our antdes trier	--|--⌫--⌫-|-|-⌫---⌫--|---⌫----|
enleurre pair ier	-|---|--⌫----⌫--|
trueuen tlostri sse	-------⌫||-----⌫--|
desdaigneu s	----------⌫|
aterreleportent honte us	|----|-|------|-----⌫-|
fo ntmet reauh arnas	--⌫-|---⌫-|-|-⌫----|
parl eca mppoi ntpe le sliras	--|-⌫|--⌫-|---⌫-|--⌫--⌫|-|--|
en sonuenir gri mbertle c a t	-|--|----|---⌫----|-|-⌫-⌫|
p orta a leterretoutplat	-⌫---||-|----|---|---|
m aissidoi	-⌫--|-|--|
f i llerem onterent	-⌫-⌫|-|---⌫-------|
mitouset raousquiiu re rent	-----|-|----|--|--⌫--⌫---|
sepelepueent	-|---|-----|
qu il life ront ch ier	-|-|-|--⌫---|--⌫--|
par letou rno ies	--|-|---⌫---⌫|-|
uouspoig nan t	---|----⌫---⌫|
depersef ortinl	-|----|-⌫----||
l espee oupo inglescu au col	|----|-|--⌫--||---|-|--|
ougrigno urtasf ie rt ap lainuol	-|------⌫-|--|-⌫--⌫-||-⌫---|--|
et ma legrape l igrifo ns	-|--⌫------|-⌫|-----⌫-|
e tespinars lihirecho ns	-⌫|-------|-|-------⌫-|
etl i fil time rlarchepres t re	-|-⌫|--|----⌫||---------⌫-⌫-|
chilisontuig u ereusetpr estre	---||---|---⌫-⌫----|-|--⌫----|
tubesetduin slicou l ons	----|-|----⌫|-|---⌫-⌫--|
etda ns frobierslicrikello ns	-|--⌫-|-------|-|--------⌫-|
canteclerlicos et hubers	--------|-|--|-|-----|
liescoufle squi moutapers	-|--------⌫|--|---|----|
estoitetwa utiers lioisons	-----|-|--⌫-----|-|-----|
chascuns i fi ertdes esper ons	-------||--⌫--|--|-----⌫--|
thiess eli nslicor biaus	------⌫---⌫-|-|---⌫----|
quiestoit preu set	--|-----|----⌫|-|
assebia u s	---|---⌫-⌫|
sefiertou tournoietsenpan	-|----|-|------|-|--|--|
isoustint bienparsainti ehan	|-------|---|--|----|-⌫---|
bel ins limouton s etsi fil	---⌫--|-|------⌫|-|-|--|
fiere nt ou tournoi con me chil	-----⌫-|-|------|---⌫-|---|
qui desirre ntconda usparaut	--|-------⌫-||-||-⌫-|-----|
yse ngri ntrouuerentmoutu aut	---⌫----⌫|---------|---|-⌫--|
ferirl e uon t deplaineslais	----|-⌫|---⌫|-|----|-----|
quede sescusfende nt les ais	--|--⌫|----|-----⌫-|--|--|
ys engrinbelinf eri s i	--⌫-----|----|-⌫--|-⌫|
quealeterrelabati	--||-|----||----|
fistprisonfianchier	---|-----|--------|
mais nelirent	---|-|-|---|
poi ntsondestrier	---⌫-|--|-------|
uistement lenuoie	--------||-----|
en sonretour enmi seuoie	-|--|-----|---|-|---|
encontr erenartetorgu eil	-------⌫|-----|-|----⌫--|
esg ardedeputoei l	---⌫---|-|--|---⌫|
mout sotb ie n	---|--|-⌫--⌫|
nen porroitp artir	|-|------|-⌫----|
s ansauoirgrantmentaso uffrir	-⌫--|----|--------||--⌫-----|
cautrefois hui lesencontra	|----|---|--|--|-------|
d ontaleterre setrouua	-⌫--||-|----|-|-----|
crientysengr ins etdou te	-----|------⌫--|-|---⌫-|
ne pou rquantau oi tense	--⌫---⌫-----|--⌫--⌫|-|-|
sesyy fiex etmain tbache ler	--|-|---|-|----⌫|-----⌫--|
preu et hard ientrecontrer	---|-|----⌫|-----------|
re narse tysengrins	--⌫---|-⌫|--------|
d eus reconme nchelihustin s	|--|-------⌫---|-|------⌫|
forset pesansdes	---|-|-----|--|
bransd achier	----||-----|
lunsn a uoit	|--||-⌫---|
l autregaires chier	|----|-----|----|
quant nepueent fe riracop	----|-|-----|--⌫--||--|
silanchen t etfi erentdes t oc	-|-------⌫|-|--⌫----||--⌫-⌫-|
detelforche etde	-|--|-----|-|-|
quedesmailli étetdesromp u	--|---------⌫--|-|-------⌫|
sontleur escuet	---|---|---|-|
l eurclaua in	-⌫--|-----⌫-|
ysengrin f iertrenartdepl ain	-------|-⌫---|-----|-|--⌫--|
seurler mequilefi stplongier	---||--⌫-|-||-|--⌫-|-------|
pa r desus lecold udestrie r	--⌫|----|-|--|-⌫|-------⌫|
r e narsest oitpres delo utrer	-⌫-⌫---|---⌫--|---|-||-⌫----|
quilmais ni	-|-|---|||
pooit con trester	----|---⌫------|
a ysengrinnetantnequ ant	|-------|-|---|-|--⌫--|
ius leustmis del aufferrant	--||---|--|-||---------|
y sengr insso rgieusen s eroute	-⌫-----⌫--||-⌫-----|-|-⌫|----|
nefustq ui l	-|---|-⌫-||
yse ngrind esroute	---⌫----|-⌫------|
lespl useurset ontmisa piet	--|--⌫-----|-|--|--||---|
e npe udeureaho memeschiet	-⌫|--⌫||---||--⌫-|-------|
renarsquant	-----|----|
s esuertue	|-------|
peuseprisesorene tue	--|-|----||--|-|--|
ysengrinquidemortelgue rre	-------|-||-|-----|---⌫--|
het lorsa sachiéthorsdu fu erre	--|---||-------|---|-|--⌫---|
une trenchantmisericorde	--|--------|----------|
n arami serico rde	|--|--⌫------⌫--|
ys engrincar renars	--⌫-----|--|-----|
corsdesiaumanch e	---|---|-|-----⌫|
toutoutreparmi	---|----|----|
queduch eual labati iu s	--|-|--⌫---||----|--⌫|
auoirle cuide mor t	----|-|----|---⌫|
or gieusasfiex	--⌫----|-|---|
ysengr infort	------⌫-|---|
se comba t renars	-|-----⌫|-----|
sique primauta t e rre a bat	-|--|------||-⌫-⌫--|-⌫--|
etau cai r que primausfist	-|-|---⌫|--|------|---|
traisonlochist	------||-----|
si soutieumen tquenus q uiui ue	-|----------⌫|--|--|-⌫-|--⌫-|
nesen pristw arde	-||-|----|-⌫---|
amoutchi erys engrinuendue	|---|---⌫-|--⌫-----|-----|
nauré a mort la e t	-----||---|||-⌫|
filprima utleuie	--|-----⌫-|-|--|
ent raison	-|-⌫-----|
par felonnie	--|-------|
c onencrieme sfeldesloiaus	-⌫-|--------⌫|--|--------|
quipoin tn est d es	--|----⌫||--|-⌫-|
is e ngrins iu tpasmésa ter re	--⌫-⌫-----|--⌫|------||---⌫-|
ilclotl es	-|---|-⌫-|
ie xe tl es dens se rr e	--⌫|-⌫|-⌫-|---|--⌫--⌫|
sage nt deschende ntgrantduelfont	-|--⌫-|---------⌫-|----|---|---|
hors de l apre sse po rtélont	---|-|-⌫|---⌫--|--⌫---||--|
cardeficuident qu ilsoit	--|-|-|------|-|-|---|
parde lesys engrin le cors	--|--⌫--|--⌫-----|-|---|
deprimaut cou cerent sa ns ame	-|------|---⌫-----|--⌫-|--|
chas cunsquim iexmiex le	----⌫---|--|-⌫--|---|-|
etysengrintoutensem ent	-|-------|---|-----⌫--|
ainc m aistel	---|-⌫--|--|
duelnefirentgent	---|-|-----|---|
c arprima u tuoient morttoutfroi t	-⌫-|-----⌫-⌫|-----|---|---|----⌫|
et disengr i n	-||------⌫-⌫|
chas c unscui do i t	----⌫-⌫--|---⌫--⌫-⌫|
quilsoitmors	-|-|---|---|
eta fin alés	-||--|----|
no nestm aisilestoit pasmés	--⌫|--|-⌫--|-|-----|------|
etquan til ot ieu	-|----⌫|-|-|--|
lesiex et le	--|--|-|-|
bouchec ot clo se	-----||-|---⌫-|
ouur ietacheus de ntours oi	----⌫|-||----||-⌫----|-⌫-|
distfai tes	---|---⌫--|
c hauenir leroi	-⌫-|----|-|--|
amoiparlerchili	|--|-----|---||
leroi trueuentsil	-|--|-------|-||
aysengr intantost	|------⌫-|------|
ias orentt out et haut et	-|-⌫----|-⌫--|-|---|-|
que pa rmile	--|--⌫--|-|
cors ertnaurés	---|--|------|
ys engrins etse sf iextués	--⌫------|-|--⌫|-⌫--|----|
maisnes eurent qui	---|-|-⌫-----|--|
ot che fai t	-|--|---⌫|
siendemainentmou t grant p lait	-|-|--------|---⌫|----|-⌫---|
grantduel grantnois egra nt m ur mur e	----|---|----|----⌫|---⌫-|-⌫--⌫---⌫|
enaudien c he iure	-|------⌫-⌫-|---|
quec hiex qui	--|-⌫---|--|
ch afaitertdesfais	-||---|--|------|
caincmaisnefufa is si	|---|---|-|-|--⌫-|-|
si lais murdresne siuilains	-|---|------|-|-|------|
es toi ts esfreresg ermains	--⌫---⌫|-⌫-|-----|-⌫------|
ousesfiexchiexqu	-|--|---|----|-|
illemiexaime	-|-|---|---|
sencoupésd oeu re si uilaine	|--------||---⌫-|-|------|
est o ita droitquilenfero it	---⌫-⌫-||----|-|-|-|----⌫-|
iusticheetquillependeroit	-------|-|-|-|-|--------|
parlege uleenha u t	--|-|--⌫--|-|--⌫-⌫|
co nmourdreur	--⌫|--------|
li roi ses toit engran terreu r	-|---⌫|--⌫---|-|----⌫|-----⌫|
desauoirqui	-|-----|--|
otchefai tfai t	-|--|---⌫|---⌫|
ensoncuerle tintam outl ait	-|--|---|-|---||-⌫--|-⌫--|
enco st eys en grinest assis	----⌫--⌫|--⌫--⌫---|--|----|
t outsouauetlia	-⌫--|------|-||
ysengri n parlaet	-------⌫|----|-|
que re n artases	--|--⌫-⌫--||--|
mains lef ist	----|-|-⌫--|
liroystousfo rsenés plainsdi re	-|---|---|--⌫------|-----||-⌫-|
sedrecheetdist	-|-----|-|---|
orpuis biendire	-|---|---|---|
c onnese puetde	|-|-|-|---|-|
warderor tostapresba ron	-----|-|---|----|--⌫--|
sim anenéstantost r enart	-|-⌫------|------|-⌫----|
si ert pendus aune ha rt	-|--|-----||--|--⌫-|
touts esmue uentquerre leuont	---||-----⌫---|-----|-|---|
a tout les au aletamont	|---|--|--⌫-|-|----|
to ur noiet sus eti us	--⌫--⌫--|-|--|-|-⌫-|
maisc estpournientilert	---||--|---|----|-|--|
deltournoibienli eueet d e mi e	--|------|---|--⌫--|-|-⌫-⌫--⌫|
oluis e sfie xetsemaisnie	|--|-⌫-⌫|---⌫|-|-|------|
uasa ns congieprend re	-|--⌫-|-----|-----⌫-|
cari lredoutemout le	--|-⌫|------|---|-|
e nuoieua parmile bo s	-⌫|---|-|----|-|--⌫|
iletsesgenstousles	-|-|--|---|---|--|
iaiertesconsé slisola us	-|---|--------⌫|-|----⌫-|
s ien estoit l i iour s ma inscau s	-⌫|-|-----|-⌫|----⌫|--⌫--|---⌫|
rena rsd esrerestoitlassés	----⌫-||----|-----|------|
mout uole n tiers	---|----⌫-⌫----|
fustreposés	---|-------|
sil osas tletrot	|-|----⌫|-|---|
pristbeso insfa ituielletrot er	----|----⌫--|--⌫-|-----|----⌫-|
s eurdest reg ardeen unessart	-⌫--|----⌫-|-⌫---|-|-|-----|
castelet ledongon	-----|-|-|-----|
grimbert sencousin le taisson	-------|--|-----|-|------|
chel e parttourneil	----⌫|---|-----|-|
et sesgens	-|--|---|
parleportsont e n tré ens	--|-|---|---|-⌫-⌫---|--|
apresauslo nt	----|--||-⌫-|
fa itef remer	--⌫--|-⌫----|
coulicea deualer	------|-⌫------|
etas chain e s fontlepont	-|-|-----⌫-⌫|---|-|---|
leueretfremerpu is	----|-|-----|--⌫-|
de sarmerorsont asseu r	--⌫-----|-|---|-----⌫|
caril sont	--|-|---|
enclos defort	-----|-|---|
etde fosse s parfons	-|-|-----⌫|------|
etd erade yauepresquer ez	-|-⌫|---|---|------|-⌫-|
renarsmonteoucast el mou thaut	-----|----|-|----⌫-|---⌫|---|
et on le quiertmaislui	-|-|-|-----|---|--|
et quantnel ep ueent	-|----|-|-⌫|-⌫----|
c h ilqui l equierentlues co nter	-⌫-⌫-|--|-⌫|-------|---|--⌫---|
leuon t lericheroin oblon	-|---⌫|-|----|--|-⌫----|
qu antillententtel doeiln otho m	--⌫--|-||-----|--|----||-|--⌫|
dontsede smenteetdist	---|-|--⌫-----|-|---|
helas dola nsc estto utpar	-|--|----⌫-||--|--⌫-|--|
quechismes chi esest	--|---|---⌫---⌫-|--|
carp u isunefo i sdeueus	--|-⌫-⌫-|--|--⌫-⌫|-----|
fuc hiexrenarsd etra ison	-|-⌫---|-----|-⌫|---⌫---|
puisne ldeusseenmemais on	---|-||-----|-|-|----⌫-|
auoirsouff ert enm ecourt bes te	----|-----⌫--|-|-⌫|----|---⌫-|
na cuiil n a itf aitmo leste	||--|-||-⌫-|-⌫--|--⌫----|
pa rtraisons ontde c heu	--⌫|------|-⌫--|--⌫-⌫--|
ma int pr eudome et	--⌫--|--⌫-----|-|
ilayy ans queilmur dri	-||-|--|--|-|---⌫--|
coupe e etyse ngrin	-----⌫|-|---⌫----|
desefemeet	-|-|---|-|
or eaochis	--⌫||----|
sen fil en	--|--|-|
traisonetmis	------|-|--|
luimeismes enperil demo rt	--|------|-|----|-|--⌫-|
lor sa conmandé conaport	---⌫||--------||-|----|
ysen gr inen u nelitiere	----⌫--⌫-|-|-⌫-|------|
et primaut	-|------|
qui morsertenbiere	--|---|--|-|----|
uoisentq uimiexmiex	------|-⌫-|---|---|
enu on twisr emest	-|-⌫--⌫|--|-⌫----|
liroisa faitmiresmander	-|---||---|----|-----|
etafait leplai etenter	-||---|-|----⌫|-----|
d ysengrinlimire	|-------|-|---|
li i ure nt	-|-⌫---⌫-|
wardechequi du rent	----|--|-||--⌫---|
fise ntpuisl o nttoutnu coukiét	----⌫-|---||-⌫-|---|-|-------|
etb ienaais iét	-|-⌫--|----⌫---|
etd ientq uededen szzmois	-|-⌫---|-⌫-|-----⌫|-|---|
porrabie nport er sonharnois	----|---⌫|----⌫-|--|------|
lend e mainfistli roisp orter	|---⌫-⌫---|---|-|---|-⌫----|
lecorsaumoustierente rer	-|---|-|-------|----⌫--|
d eprimautl ef il	-⌫|------|-⌫|-⌫-|
enzzsarclu demarbre fi n	-|-|-----|-|-----|--⌫|
desusmetre une	----|----|--|
p ourchequ il souuenistde	-⌫--|--|-|-|--------|-|
et c one nfeist o ri son	-||-|-⌫|----|-⌫--⌫--|
arenart reuenron	|-----|-------|
au matin mut uersmaupetruis	-|----|--|---|---------|
uenus iestsent re enspar l	----||--||---⌫-|--|--||
sitrouuafiexfemeet mai sni e	-|-----|---|---|-|---⌫---⌫|
m a upetrui sde gra ntsignou rie	-⌫-⌫-------⌫|-|---⌫-|------⌫--|
estoitdeyyp aire d emurs	-----|-|-|-⌫---|-⌫|---|
mout bie n enclosforsetse urs	---|---⌫|-----|---|-|--⌫--|
etd efossescuirié s tousplains	-|-⌫|-----|-------⌫|---|-----|
dya ue rad e cestoit du ma in s	|--⌫-|---⌫||-----|-|--⌫--⌫|
si io tpor tescouleiches	-||-⌫|---⌫--|---------|
ettours seuresetmassiches	-|----|-----|-|--------|
etponsle uisetfortcastel	-|---|--⌫--|-|---|-----|
mangonn el	-------⌫-|
ned eper rierene	-|-⌫|---⌫----|-|
carseu run e ro c hesiethaut	--|---⌫|--⌫|--⌫-⌫-|---|---|
ouc astelotfouretmuelin	-|-⌫----|-|---|-|-----|
p ain b elferine chare tuin	-⌫--|-⌫-|-----|---|-⌫|--|
fontaines poi ssons asfam é	--------|---⌫----|-----⌫-|
nese roient enleur	-|--⌫-----|-|---|
ou castel arichetresor	-|-----||----|-----|
si que pierres arg entetor	-|--|------|---⌫--|-|-|
oumurducastelagarite s	-|--|-|-----||------⌫|
seures gran desetpetite s	-----|----⌫--|-|------⌫|
espringales et ma n go nniaus	----------|-|--⌫-⌫--⌫-----|
pourgeterl a forsgrantquarriaus	---|----|-⌫|---|----|--------|
se ilontcuer dausbien d esfendre	-|-|--|---||--|---|-⌫-------|
n est hom oumontquilepuis t prendre	|--|--|-|---|--|-|----⌫|------|
estoitpartraison	-----|--|------|
s iotu n e te le	||-|-⌫-⌫|--⌫-|
si soutil nelmes croi enus	-|-----|-||---⌫----⌫|--|
conques limais onsdedalus	|-----|-|----⌫--|------|
nefute le ne si soutieus	-|-|--⌫-|-|-|-------|
cartantestdi uersequechiex	--|---|--|--⌫----|--|----|
quii entr enen s e tissir	--||----⌫||-|-⌫-⌫|----|
ains liestu ete nfinmorir	---|-|----⌫-|-⌫|--|----|
cest lil ieusd eperdit ion	|--|-|-⌫---|-⌫|------⌫--|
chiex entre ens q ui faitt raison	----|----|--|-⌫-|---|-⌫-----|
se ur l autr ui a	--⌫-||----⌫-||
q uibloi se nefa it tr echerie	-⌫-|----⌫-|-|--⌫-|--⌫------|
chiexentrededenslamais on	----|----|-----|-|----⌫-|
etqu ihetlege nt sansraison	-|--⌫|--|-|--⌫-|---|-----|
s estdele maisnierenar t	|--|-|-|------|-----⌫|
iepria dieu	-|--||---|
quilnousenga rt	-|-|---|-|--⌫-|
renarsa el	-----||-|
mont moutdes	---|---|--|
qu e ila chaint dese sliens	--⌫|-||-----|-|--⌫|----|
qui lne stquiensachele	-|-⌫||-⌫-|--|-|----|-|
p resquetoutli roiet	-⌫--|--|---|-|--|-|
ensont etaussilic lergie s	-|---|-|----|-|-⌫------⌫|
parrenartdont cest	--|-----|---||--|
gr an smeschies	--⌫--⌫|-------|
toutiouent	---|-----|
delef auue anesse	-|-|-⌫---|-----|
etd egi llain	-|-⌫|--⌫----|
secompaigne sse	-|---------⌫--|
ren a r setseg ent	---⌫-⌫-⌫|-|-|-⌫--|
bienleurlieu	---|---|---|
ontwarnisi	--|----|-|
conmefaitdieu	----|---|---|
crie m ent destreasseg ié	----⌫-⌫--||----|-----⌫--|
biensontla iens	----|--|--⌫---|
