des criteau ons la	---⌫----|--⌫--|-|
uo ud rasanzmentir	--⌫--⌫-|---|-----|
quanqainzlu adonnémer ir	----|---|-||-----|---⌫-|
a queiu os tend roielonctens	|---|-⌫-|----⌫---|---|---|
maistantpareroitentoz	---|---|--|----|-|--|
gre go ire esp irezdeuertuz	---⌫--⌫--|---⌫---|-|-----|
demiracles	-|-------|
seinzreqen uz	----|-----⌫-|
enp reslauis itation	---⌫--|-|---⌫------|
del a ngledomfazme ntion	-||-⌫---|--|--|--⌫----|
qetut cil q ui	-|--|--|-⌫-|
odluiuiuoient	-|--|-------|
totautritant	--|--------|
luredo utoient	-|----⌫------|
comsilfustper	--||-|---|--|
aseintandre	|----|----|
q u ides egliseert a uoué	-⌫-⌫|-||-----|--|-⌫----|
enic eltens uindr ent arome	-|--⌫-|---|-----⌫--||---|
comonqo rors	--|----⌫---|
fo ntp arcostome	--⌫-|-⌫-|------|
gens marcheanzodd iuers mers	---|--------|-|-⌫----|---|
samenoien t	|--------⌫|
pr ison sesers	--⌫----⌫||---|
entre au tres merz pluso rs	----|--⌫---|---|-----⌫-|
quantunior	----|-|--|
estes uos desc en dre	----|--|----⌫--⌫--|
grego ire lud itd eu	-----⌫--|-|-⌫-|-⌫-|
par celefeireentres passant	--|---|----|-|----⌫------|
esitresuitcomade uplot	|-|------|--||--⌫|---|
qui a cel h o r e	--||--|-⌫-⌫-⌫|
nesaq uanzioeunes	-|-|-⌫---|------|
iouen caus	-----⌫---|
decors ge nsa cesmezebeaus	-|---|--⌫-|-⌫-----||----|
donesteuultde douzuiaire	|-----|---|-|---|-----|
odcheue lure	-|-----⌫---|
crespe euaire	-----||----|
uenausentreaut resmerz p l usors	-----|----|---⌫--|---|-⌫-⌫----|
marcheanzseingnors	--------|--------|
dites meueir ne lmecele z	----|-|---|-||-|----⌫|
i cil serf domsont	-⌫--|---|--|---|
de q uelliu edequel p ais	-|-⌫--|--||-|---|-⌫--|
deulupoestis	--|-|------|
quinos idon st bon egaa ing ne	--|--||---⌫-|---⌫|---⌫---⌫-|
issontdeli sle de bretaingne	-|---|-||-⌫--|-|---------|
esache z teles chere s ont	|-----⌫|----|-----⌫|--|
tu tc il quide lat e rre sont	--⌫|-⌫-|--|-|-|-⌫-⌫--|---|
corespon dent	-|------⌫---|
li marcheant	-|--------|
i cele gentcreant	-⌫---|---|-----|
distse in te crestiens	---|--⌫--⌫||--------|
ouissontonqororspaien s	-|-|---|-------|-----⌫|
crestiens font s ilsir eis	--------|---||-|---⌫|-|
ainzcreiento nqoreen mah on	---|------|-⌫----|-|---⌫-|
neseiuent q estcrestiente	-|------||--|---------|
mai sb eaussont e degrant	---⌫|-⌫---|---||-|----|
couosos omb e nafermer	-|--|--⌫-|-⌫-⌫|------|
lumontne fus t lorpe r	-|---|-|---⌫|--|--⌫|
s isfussentfors depaienis me	|-|------|---|-|-------⌫-|
ec reuss ent e ndeu	|-⌫-----⌫--|-⌫|--|
l aut is me	|---⌫--⌫-|
e enihesuquiestli	|-|----|--|--|-|
acest m ot deparfontsospire	|---|-⌫-|-|------|------|
e ithalashalas	|-|-|--|-|--|
qe li a uersier sathanas	-|-|-⌫------|-------|
regneentresib elege nt	----|----|-|-⌫--|--⌫-|
mo ltparest grantdoel	--⌫-|--|--|----|---|
siren enprentcure	---||-|----|---|
degentdesi	-|---|-|-|
be lefi g ure	--⌫-|--⌫-⌫--|
lorsregierslescommen ceenquerre	---|------|--|------⌫-|-------|
l agentfaitsil	-⌫|---|---||-|
dicele t er re	|----|-⌫--⌫-|
que lno m ontcomm ent sont cla mez	---⌫|--⌫|--|----⌫--|---|---⌫--|
engleisfont	------|---|
s il sontape le z	|-|---|---⌫--⌫|
par icest nomsontrequenuz	--|----|--|---|-------|
tantcoml imont	---|--|-⌫|---|
sestestenduz	|--|-------|
at antrespontlideus	|-⌫--|------|-|---|
b enestsi de u	-⌫-|--|-|--⌫|
mesautasis	-|---|---|
it ale face	--⌫--|---|
por qu edeusim eist sagrace	--|--⌫|---||-⌫---|-|----|
angl essemblent	----⌫-|-------|
uoltd an gles ont	---||--⌫---|--|
portanten gleis ben no mezs ont	------|--⌫----|--|--⌫--|-⌫--|
benparroientangeliens	--|--------|--------|
porq i sfu sse ntbons crestiens	--||-⌫|--⌫---⌫-|---|--------|
moltau endreit a ngl espor u eir	---|--⌫------|-⌫---⌫-|--|-⌫--|
engleis a co mpa ingnonsaueir	------||--⌫---⌫------|----|
equel nom ont	|---|--|--|
lipa i s anz	-|--⌫-⌫-⌫--|
son ttan tbeausen fanz	---⌫|---⌫|----|--⌫---|
n o mezsontfontsil de ir i	-⌫-⌫--|---|---||-|--⌫--⌫|
b ensont nome zade l afi	-⌫-|---|----⌫||-||--|
respon t liamide	------⌫|-|--|-|
greg oi re	----⌫--⌫-|
carparladegraceagr antgloire	--|--|-|-|----||--⌫--|-----|
delired eser ontattr e it	-||--|-⌫|---⌫--|----⌫-⌫-|
portant e stcistnonsasez	------|-⌫-|---|---|---|
cardeiri uoeltitant	--|----|----|----|
qt reitse ront dela	|-⌫---|--⌫---|-|-|
e coment estnomélirois	|-----|--|----|-|---|
quiregne sor lesd izengl ois	--|----|--|--|-⌫-|----⌫--|
clamezes tfontsil	-----|--⌫|---||-|
e cest res tb onssi	|---|---⌫|-⌫--|-|
respontg reg oirequis	------|-⌫---⌫---|--||
porpoiqilnanom	--|--||-|||--|
bendeitloerso ncreatour	--|---|---|--⌫|-------|
g entqu i si cleimeso nseignour	-⌫--|--⌫|-|-----|--⌫|-------|
ca r a elle ditdeu	--⌫|-⌫---|--|--|
toteinsisi pris ta ioer	--|----|-|----⌫||---|
gr egoireodlesd izmarcheanz	--⌫-----|-|--|-⌫-|--------|
por le suenauzengleizen fanz	--|--⌫|-----|------|--⌫---|
esachez ben ueraiement	|-----|--|---------|
qe m oltfute ngrantpe ns ement	-|-⌫--|--|-⌫|----|--⌫--⌫----|
commen tadeule sgaaing nast	------⌫||--|--⌫|------⌫---|
ia sei t co q einsisenueisast	-|---⌫|-||----||--------|
to t erraument mostra	--⌫|--------|-----|
c ar tantostal apape ala	-⌫-|------||-⌫|---|--|
quido nqesfut beneitparnom	--|--⌫---|--|-----|--|--|
edicolu mis t araison	||--|-|---⌫||-----|
si lu pristnisadeproier	-|-|----|--||-------|
p o r de q	-⌫-⌫|-||
il deingna sten uoier	-|-------⌫-|--⌫----|
despreech ors enengleterre	--|------⌫--|-|---------|
en gl eisa la d efei conquerre	--⌫--⌫--||-|-⌫|--|--------|
s ifistasezp lusqene i dit	-⌫|---|---|-⌫--|-||-⌫|--|
carerr au mentdesq uantil	--|---⌫--⌫---|--|-⌫---|-|
qenul descle rsalerniuot	-|--|--|---⌫-|---|||--|
hardiementc om	---------|-⌫-|
oemd euo t	--|-⌫---⌫|
po r off ritsapropre pers one	--⌫-⌫---⌫--|-|-----|----⌫--|
edi st beaup ere carme d one	|--⌫-|---|-⌫--|--|-|-⌫--|
c ongie defaire icestme ssage	-⌫----|-|----|----|--⌫----|
l ipapesert	-⌫|----|--|
d is cre tet sage	-⌫--⌫---⌫|-|---|
cariaseitq e	--|-|---|-⌫|
lalaie ge nt	-|---|--⌫-|
etrestotli cler z	|------|-|----⌫|
reclamassenttoz encontrai re	-----------|--|-|-------⌫-|
d is anzqe ne ldut	-⌫--⌫--|-|-||--|
sanz eus faire	---|--|----|
neporq ua nt porqe i	------⌫--⌫-|--|--⌫|
tant uolent r ifsedebon gre	---|------⌫-⌫--||-|--|--|
al mess agealerdesira	-|----⌫--|---|-----|
lucongie tanto s tlidona	-|-----|-----⌫-⌫|-|---|
si requistdeu dent ente pu re	-|------|--||---⌫---|--⌫-|
luidonas tboneauenture	--|-----⌫|---|-------|
lorsquantotl ucongie	---|----|-|-⌫|-----|
tantost se mis tioious e	------|-|---⌫|-----||
uersengle te rreenzelchemin	---|-----⌫--⌫--|--|-|-----|
mais ueirementala pa rfin	---|--------||-|--⌫---|
quantliromeinicosauoie nt	----|-|-----|--|------⌫-|
estrang e mentsen corrucoient	-------⌫-⌫---||-|----------|
qe del auile ert esmeu	-|-|-⌫|---|--|----|
sa nzlo r co nseilelorse u	--⌫-|--⌫|--⌫----||--|--⌫|
parconsei l co mmun	--|------⌫|--⌫---|
trestozuindren ten sembleen un	------|-------⌫|--⌫-----|-|-|
s aue i rc oml upeusse nt faire	-⌫---⌫-⌫|-⌫-|-⌫|------⌫-|----|
siqislufeissent retraire	-||-|-|-------|-------|
delche min	--|---⌫--|
q il aueitenpr is	|-|----|----⌫-|
treisparz ontasis	----|---|--|---|
lucheminpar o nttre sp asso t	-|-----|--|-⌫-|---⌫--⌫----⌫|
li papesquil u ienuoiot	-|----|--|-⌫-⌫|------|
de uersseint pierreasameis on	-|---|----|-----||-|----⌫-|
miseinsia rais on	--|----||----⌫-|
offenduasfo ntsil seintpi erre	------|-|--⌫-||-|----|--⌫---|
rom edestruite emiseariere	---⌫|--------||---|-----|
asforstreit	-|--------|
quisoulnostre	--|---|-----|
solazereit	----|----|
saches mo lt	-----|--⌫-|
ensumesiriez	-|----|----|
ac estmotmolts	|-⌫--|--|---||
estesmaiez	--|------|
lipapesquifutsi mp lesom	-|----|--|--|--⌫--⌫--|-|
poour ensemble emarrisson	----|-------||--------|
l on ttants osprisestrangement	|--⌫|---|-⌫-----|-----------|
qesan zco nseilsoud eeme n t	-|---⌫|--⌫----|----⌫----⌫-⌫|
sesm essage s fist	--|-⌫------⌫|---|
g regoire arieres	-⌫------|------|
uiazs anzn egune	---|-⌫--|-⌫----|
eneporqu a nt	|-------⌫-⌫-|
auan tcele houre	----⌫|---|----|
bens ottot e	--|-⌫-|---⌫|
i celeauen tur e	-⌫---|----⌫---⌫|
g reg oire enconscience	-⌫---⌫---|-|---------|
cara s es c o mpainz ladiseit	--||-⌫-|-⌫-⌫-----|-|-----|
tot ein si	--|---⌫-|
aue nd r eit	---⌫--⌫-⌫--|
ore or r ez commenticofut	--|--⌫-⌫-|------|--|--|
errez er t iapuesqilses mut	----|--⌫|-|----|-||--⌫--|
derometre i s bonesiornees	-|---|---⌫-⌫|----|------|
sau i nteins ipar rep osees	|--⌫-⌫-|----⌫|--|---⌫----|
qe nunepleineertd escendu	|-⌫|--|-----|--|-⌫------|
e s icompainzoueqeslu	|-⌫|-------|-----|-|
qu iiaderrer	--⌫|-||----|
lassezeroient	-----|------|
ma istantcom tozserepo soien t	--⌫-|---|--|--|-|----⌫-----⌫|
egrego i real reposs e tint	|-----⌫-⌫-|-|----|-⌫|---|
qu ipluslupl ot	--⌫|---|-|--⌫-|
liureq ilteneit	----||-|-----|
unese in tel esconliseit	--|--⌫--⌫-|-⌫----|-----|
quantes uos unesauter ole	----|-|--|--|------⌫--|
qu i souuent	--⌫|------|
faittenir a	---|----||
lagentparcesche mins	-|---|--|--|---⌫---|
carensai lla ntch an tee	--|-|---⌫---⌫-|--⌫--⌫-||
unemeruei llou sechanson	--|------⌫----⌫-|------|
pa rqueis ouuentfeitlubrico n	--⌫|---|-⌫-----|---|-|-----⌫|
enmisoncheminares ter	---|--|-----|----⌫--|
eentendreason ueinchante r	|-------||--|---|------⌫|
dom li romeinlat i negen t	--|-|-----|---⌫-⌫-|---⌫|
lacleim ent asezpr oprement	-|-----⌫--|---|--⌫-------|
car s egonque	--|-⌫---|--|
sa nature esment	-|-----|-----|
proprement la cl eiment	---------|-|--⌫-----|
dom c i st	--|-⌫-⌫-|
nom di ttant	--|--⌫|---|
coms ild eist	--||-|-⌫---|
altr espa ss ant	-|--⌫----⌫--⌫--|
do m ui ens ouu aisauantn	--⌫|--⌫--|-|-⌫--|----||
ententei caci resteras	----|--|-|-|-------|
ou uai s ent entei ca	-|---⌫|---⌫-|--|-|
n irra sauant ci aresta	|----⌫|----|-|-----|
eslorsdes q uant l auit gr e goire	-----|--|-⌫---|-⌫|--|--⌫-⌫----|
e rraumentluuinte n memoire	-⌫-------|-|---|-⌫|------|
co qesengnefi e	-|-|--------⌫|
c arlorsdista sescompeingnons	-⌫-|---|---||--|-----------|
seingnor sfists i lerrons	--------⌫|---||-⌫|-----|
tropsumesumes reposé	---|----|---|------|
iaserons reusezariers	-|-----|-----|-----|
ousei te nuiz ouuolenti ers	-|---⌫|-⌫---|-|-------⌫--|
tostnemouons	---|-|-----|
plusloin gnironsco uos afi	---|----⌫||----|-|--|--|
iaplus loingd ici nen	-|---|----||--||-|
si pl us tostdicin emou ons	-|--⌫-|---||--|-⌫|---⌫--|
not dit fors	|-|--|---|
i ta n tsoule ment	-⌫--⌫-⌫|-----⌫---|
quant eisuenir sou deement	----|--|----|---⌫------|
messagesd e partlapostoille	-------|-⌫|---||---------|
portan zle ttresprie ntes	------⌫|--⌫----|----⌫---|
oue ccoman dement espres	---⌫|-----⌫-----|-----|
qisretourn assentaesles	|-|-------⌫-----||----|
aromeariersmeisme	|---|-----|-----|
uiazsanznegu nedemoure	---|---|----⌫-|------|
nen a lassentpleinpiép lus	|-|-⌫------|----|---|-⌫--|
car moltereitgrant	--|---|----|----|
furent contremand ez	-----|----------⌫-|
a tantarierssontretornez	-⌫---|-----|---|-------|
enuizescommeuz e ni r e	----|--------|-⌫|-⌫-⌫|
maisneporentpa s contredire	---|-|-----|--⌫|---------|
a lprecep t apostolial	-⌫|------⌫|---------|
lor s embla stbien	--|-⌫-----⌫-|---|
obbedien cecouintfaire	--------⌫-|-----|----|
ia s e itqe l or fus t	-|-⌫-⌫-|-|-⌫-|---⌫|
acontraire	|--------|
e in sireu int liamide	-⌫--⌫-|---⌫--|-|--|-|
constre int trestot	-------⌫--|------|
estre song re	----|--|-⌫-|
ala cu re desa	|-|--⌫-|-|-|
si futc ele	-|--|-⌫--|
expedition	---------|
ben longes en respit	--|-----|-|-----|
maisueirementlipape ainz d i t	---|--------|-|---|---|-⌫-⌫|
ne l usofrit p asseiorn er	-|-⌫|-----|-⌫-|------⌫-|
carporcoqil lu uit	--|--|-||-|-|--|
en u ertuzet en sapience	-|-⌫----|-|-|-------|
tot a force e a uiolence	--||----|||-------|
de sabbeieluitreist	-||-----|--|-----|
s ilordenot	-⌫||------|
erraument lors	--------|---|
setmedeiacre c hardenal	----|------|-⌫-------|
silumistnisen	-|-|---|--|-|
son esta l	--|----⌫|
soste n irodse i sonof fice	-----⌫-⌫-|-|--⌫|--|--⌫---|
gre g oiren e rt	---⌫-⌫---||-⌫-|
carlorsquantdeac ree rtsacré	--|---|----|----⌫-|-⌫-|-----|
ta n t creis se itenhumil it e	--⌫-⌫|-----⌫--⌫-|-|-----⌫--⌫|
mours en diciplin e	----|-|--------⌫|
ensci en ce enseintedoctrine	-|---⌫--⌫-|-|-----|-------|
qeue ir em entuis	-|--⌫--⌫--⌫--|--|
uossere it	--|----⌫-|
qe pernons oulement	-|--|--|-⌫-------|
asangles enbelescolours	-|-----|-|----|------|
da bit ca rdeuiee d e mours	|-⌫--|--⌫|-|--||-⌫|----|
lesre se mblot p arfitement	--|--⌫--⌫----|-⌫---------|
tantpar e reitentrinem ent	---|--|-⌫---|--------⌫--|
moriger a z disc rezesaiue s	-------⌫-⌫|----⌫--||-----⌫|
en icel tenss oru indre nt glaiues	-|---|---|-⌫---⌫-----⌫-|------|
tantdurstantmortaustant greious	---|---|---|------|---|------|
pa r toteromanieestrous	--⌫|---|------|------|
qenis e nromel a cite	-|--|-⌫|---|-⌫|---|
delagentuneinfinite	-|-|---|--|-------|
mourirentdela pestilen ce	--------|-|-|--------⌫-|
u naiement du nesentence	-⌫-------||-⌫-|-------|
ferit amortlimals m ortaus	----||---|-|---|-⌫-----|
omesebestes eoi sau s	---||-----||--⌫---⌫|
sanz fin san z	---|--|---⌫|
n om bre sanz mesure	-⌫--⌫--|---|-----|
tant ertlap estilencedure	---|--|-|-⌫--------|---|
s iuosdirrei dom e lea uint	-⌫|--|-----|--|-⌫-|-⌫---|
puesqe greg oires enreuint	-----|----⌫---||-|-----|
de l eire ainzdittost	-||---|---|--|---|
tan tpar sorondo t agrant fes	---⌫|--|-------⌫||----|--|
lifluuestant	-|-----|---|
donotabeiur e	----||-----⌫|
q asromeinstantdono tabe iure	|-|------|---|----⌫||--⌫---|
som les mursderome	--|--|---|-|---|
qe enmeisonne	-|-|-----|-|
nebestene nule renuiue	-|----|-|---|--|---|
pardedenzunegrosseliu e	--|-----|--|-----|---⌫|
le s haute stours u eissez	--⌫|-----⌫|----|-⌫-----|
e les uiel le s meisonsnoe r	|--|----⌫--⌫|------|---⌫|
nis as ecclesiausgernie rs	--|-|---------|------⌫-|
perissoien t pluso rsmil liers	----------⌫|-----⌫-|---⌫----|
plusbeauforment delmonde	---|---|------|--|----|
quisegerm otflotant suslonde	--|-|----⌫-|------|--||---|
dautre p arteni cel	|----|-⌫--|-|-⌫--|
c hana uxdelei nzditfluue	-⌫----⌫-|-||--⌫-|--|----|
de scendi tenl amer	--⌫------⌫|-|-⌫|--|
undragonssanz mesuregrant	-|------|---|-----|----|
odserpenzsanznombreets anz f in	-|------|---|-----|-|-⌫--|-⌫-|
quiquantdelfluue tyberi n	--|----|--|----|------⌫|
enzenlam erentrezeroien t	--|-|-|-⌫-|-----|------⌫|
sause tantenbeuoien t	----|---|-|-------⌫|
qen b ref tensfurentestranglez	|-|-⌫--|---|-----|---------|
emorza t erre	|---||-⌫---|
siq elorsqu ant lamortekine	-|-⌫|---|--⌫--|-|--------|
delauenimouse uermine	-|-|--------|------|
prista corr umpre eapo urrir	----||----⌫----|||--⌫----|
e stes uos lagen ta mou rir	-⌫---|--|-|---⌫||---⌫--|
parlacorrup tiond eleir	--|-|------⌫---|-⌫||--|
quinel aissotmesci neaueir	--|-|-⌫-----|-----⌫-|----|
rich es ne as po estis	----⌫-|-|-|--⌫----|
no nplus qaspl us poures mend is	--⌫|---||-|--⌫-|-----|----⌫-|
ainceisereittant generale	------|----|---|-------|
lapestilence e tantmo rtale	-|---------||---|--⌫----|
qequelq is fus se ntfouso u	-|----|-|---⌫--⌫-|---|-⌫|
as genitaireseas nages	-|---------||-|----|
soudementlespri st	--------|--|---⌫-|
sanz demou rermourir	---|-----⌫--|-----|
e n celtens ni s	-⌫|--|---|--⌫|
furen tueues	-----⌫|----|
amontparmi cesnues	----|----|--|---|
com fussentsoietes ardantes	--|------|------|-------|
corporaument iusdesce ndantes	-----------|--|-----⌫------|
quisoudement	--|--------|
esanzresort	|---|-----|
sagent f ero ientalamort	-|---|-⌫---⌫---||-|---|
unauant autres e nglement	-|----|----|-⌫-⌫-------|
mouroienttantespessement	--------|---|----------|
qemn estsoz ciel	--||--|--|---|
peust de u e ir	----|-|-⌫-⌫-|
lunombrede s occissaueir	-|-----|--⌫|----|-----|
mais itantuosdisanzdoutance	---|----|--|-|---|-------|
q ic o futap erteueniance	|--⌫|--|--⌫---|-------|
de nozpeccheztantcreminaus	-|--|------|---|--------|
quita ntp ar	--|--⌫-|-⌫-|
su mes ueinse faus	--⌫--|----||---|
car sicomli p rophete d it	--|-|--|-|-⌫------|-⌫-|
ezechi e len son	------⌫-⌫|-|--|
ou d esangles fait	-|-⌫-|-----|---|
qui f irentlagr an t occi son	--|-⌫----|-|--⌫--⌫|----⌫--|
q alseintuairecommenco ie nt	|-|---------|--------⌫--⌫-|
eprime sle sclers	|-----⌫|--⌫|----|
dec a refutto t ensement	-|-⌫|----|--⌫|-------|
cartrestot au	--|------|-|
commencement	-----------|
ruo t mortl upape	---⌫|---|-⌫|---|
e pu esdesreiottant arag e	|--⌫-|-------|---||---⌫|
elpoepl e lamouri neainz dit e	-|-----⌫|-|-----⌫-|---|---⌫|
qa p eine enremistn us	||-⌫---|-|-----|-⌫-|
oemq uitte	--|-⌫----|
citeromeine	---|------|
quinefer ist la di tepeine	--|-|---⌫--|-|--⌫-|----|
carlesmaisonstantde s poilla	--|--|------|---|--⌫-⌫-----|
q omme nefemm e ni laissa	|---|-|----⌫|||-----|
enis entrinement lesrues	|--|----------|--|---|
en plusorsleusfi st totesnues	-|------|---|--⌫-|----|---|
desertessanz abi teour	-------|---|---⌫----|
ma isporc oq en	--⌫-|--|-⌫||-|
cele dolour	---|-----|
seint ei glisequi ert ueduee	-----⌫|-⌫----|--|--|-----|
de sonpere	-|--|---|
ed esconseillee	|-⌫-----------|
pasnepo t estrelongem ent	--|-|--⌫|----|------⌫--|
sanz pastural	---|-------|
gouernement	----------|
lisen atoureliclergein	-|---⌫----||-|-------|
ouectot lupoepleromein	---|--|-|-----|-----|
c onco rdaume nten	-⌫----⌫------⌫-|-|
unuenoient	-|-------|
egregoire apape	|-------||---|
eslisoient	---------|
com c eluiquifut deseinte	--|-⌫---|--|--|-|-----|
sanz perproué	---|--|-----|
mais ueirement molts	---|--------|---||
e ra isonaper temoust rot	|--⌫---|----⌫-|-----⌫--|
qilnertpasdi gnea telenor	|-||--|--|--⌫--||--|---|
ne forta sitres	-|---||-|---|
gr an tlabor	--⌫--⌫|----|
sicom icilquimoltcremei t	-|--|---|--|---|------⌫|
lu mo ndequi despitaue it	-|--⌫--|--|-----|---⌫-|
qe derecheflu sortrei si st	-|-------|-|-------⌫--⌫-|
por q eidel uis	--|-⌫-|-|-⌫-||
entreme ist	-------⌫--|
parfausepompeougloireueine	--|----|----|-|-----|----|
m ai spornoi entimetteit peine	-⌫--⌫|--|---⌫--||------|----|
car tant com	--|---|--|
plussenescon di t	---||-|-----⌫--⌫|
plusitroua durcontredit	---||----|--|--------|
par codesquantsaueitdeueir	--|-|--|----|-----|-|---|
qa nul fue r	||--|---⌫|
nepot esch iueir	-|--|----⌫----|
icoqu elageneraute	--|--⌫|-|--------|
communau mentotesg ard e ́	--------⌫---|-|---⌫---⌫-⌫|
a laparfin	|-|-----|
tantertco nst rein t	---|--|--⌫---⌫----⌫|
pr amistias e it	--⌫----|-|-⌫-⌫-|
lor esgartassentir eit	--|-----|--------⌫--|
maisueirementicof eseit	---|--------|--|-⌫----|
por t a ntq iluotsiil	---⌫-⌫-⌫-||-|--|-|-|
dest ornerseicommentqe fust	----⌫----|--|------|-|---|
enp reisttant grant office	---⌫----|---|----|-----|
ca ra lem pereo u r moric e	--⌫|||--⌫-----⌫-⌫|-----⌫|
luquifizdes sei ntfonzl eua	-|--|--|--|---⌫-|---|-⌫--|
endementreun mesen ueia	---------|-|--|--⌫---|
p ortantu nes lettres priuees	-⌫-----|-⌫--|------|------|
de sonsa iel	-|--|--⌫--|
e nsa ielee s	-⌫---⌫-----⌫|
d es quelestaleert late nor	-⌫-|-----|---|--|-|--⌫--|
asonse in gnor lempereor	|--|--⌫--⌫---||-------|
moricegregoiresa lu	-----|-------|--⌫-|
ioto i priporla m ori hesu	-|--⌫|--|--||-⌫-⌫-|-⌫---|
qep or nulisug ges tion	-|-⌫-|---|---⌫---⌫---|
nass engesaleslection	|---⌫----|||--------|
qui faiteestenmoi des romeins	--|----|--|-|--|--|------|
uaugesen deu sauuement seins	-----|-|--|--------|----|
tot ensiso iquidotguenchir	--|---|--⌫|-----|-------|
gregoire de l f eintassentir	-------|--⌫|-⌫---|-------|
quantli prefect delacite	----|-|------|-|-|---|
quif utpar nomgermeinclamé	--|-⌫-|--|--|------|-----|
apercutcomadeuplot	------|--||--|---|
tan tquel u mes sa geentercot	---⌫---|-⌫|---⌫--⌫-|-------|
sesletre spesceier	--|-----⌫|-------|
epueserrant sanz	|---|-----|---|
des to urbier	---⌫--⌫-----|
rem and ota lempereour	---⌫---⌫-|||--------|
pa rseslettres	--⌫|--|------|
co ma seing nour	--⌫||-----⌫---|
de gregoire ludeb onair e	-|-------|-|---⌫-----⌫|
t ot icelafai re	-⌫-|---|----⌫-|
comtozl igrant	--|--|-⌫|----|
a pape l orentesleu	|---||----|----|
una i ementsanzcontred it	---⌫-⌫----|---|-------⌫-|
ligran te l i	-|----⌫||-⌫|
communaumentsia cord oient	-----------|||-⌫----⌫----|
eni strestoz ludeproi eient	|--⌫|------|-|------⌫----|
confermast leslection	---------||--------|
deusesha uc iéseit tis seint nom	---|----⌫--⌫--|---|--|----|--|
di ceste tantd ouce nouele	|-⌫----|---|-⌫---|-----|
quitantmestdesirou see be le	--|---||--|-------⌫-||--⌫-|
emperereq uantloit	-------|-⌫---||--|
carueirement molt s	--|--------|---||
q ilpotcelui ta nt eshaucer	|-|--|----|--⌫-|-------|
lu queldesirotenor er	-|---|------|----⌫-|
sicoman da lors san z	-|-----⌫-|---|---⌫|
qil fus tsacre z m eismelour e	|-|---⌫|-----⌫|-⌫----||---⌫|
carbiensotsanznegunessoin e	--|---|--|---|----|------⌫|
officeer eitid oine	-----|--⌫--|--⌫---|
delquer ert dingneedelcors	--|---|--|-----||--|---|
porgouernertrestot	--|-------|------|
sachari t esafei nonfeinte	-|-----⌫-⌫|-|--|--|-----|
ensement od	-------|-|
sauies einte	-|--|-⌫----|
luiporentpar raiso n	--|-----|--|-----⌫|
confe rmercele	-----⌫---|---|
enitelgu isee rt	-|---|--⌫--|-⌫-|
p ar l emperereconfermé	-⌫-||-------|--------|
mai s ueirement	---⌫|--------|
n ertpastan tdis	|--|--|---⌫|--|
chou mantne	----⌫---|-|
perrecousnoisdis	--------||-----|
care nt re tantco m aten doient	--|-⌫--⌫--⌫---|--⌫|----⌫-----|
li rom ainqui molt desiroient	-|---⌫--|--|---|---------|
lasse ntement	|----⌫------|
delemperere	-||-------|
el ape stilence regiere	|-⌫|--⌫-------|------|
lupoepleocisted e guasto t	-|-----|----||-⌫-⌫------⌫|
gre goireliserfde udeuo t	---⌫----|-|---|--⌫|----⌫|
trestozle sfe seit assemb l e r	------|--⌫|--⌫---|------⌫-⌫-⌫|
esilor pris t	|-|--|----⌫|
dite pe stilence	---|--⌫-------|
feissentquelqepe nite nce	-------|-----|--⌫----⌫--|
seng lementchasqunendreit	----⌫-----|------|------|
edis tchiers	|---⌫|-----|
f rerescreiezmei	-⌫----|-----|--|
granzestlibesoingueir ement	----|--|-|------|----⌫----|
qe ueausnonlufleiaupre se nt	-|----|--|-|-----|---⌫--⌫-|
batuz e to rmentez	----||--⌫------|
crieng ons	------⌫--|
luquelredouter deusso ns	-|---|-------|------⌫-|
a inceis qilparfust	-⌫-----||-|--|---|
se itueaus nonredoutez s entu	--⌫-|----|--|-------|-⌫---|
qui no nsen tudespit	--|--⌫|---⌫-|-----|
ueaus non esproué cremuseit	----|--|-------|----|---|
lim aus quit ant creist	-|-⌫--|--|-⌫--|-----|
dem a l enp isdei oren ior	-|-⌫-⌫|-|-⌫-|-|-⌫-|-|--|
seingnorsporlade passion	--------|--|-|-|------|
satisfacti on	----------⌫-|
lidoels n o sface repentir	-|----|-⌫-⌫|---|-------|
do lorfacedolor sentir	--⌫--|---|----|-----|
angois seango isse mortla	------⌫-|----⌫---|---|-|
einsi queparlude	-----⌫--|--|-|-|
e cestemortalesentence	|----|------|-------|
f aicom ueraiep en itence	-⌫----|-----|-⌫--⌫-----|
denosquers la duresceenf rei ngne	-|--|----|-|------|---⌫---⌫---|
tantqenos amenderestreingne	-----|--|------|---------|
l apeineiasofferte	-⌫|----|-|-------|
c arueirement tot es ta p erte	-⌫-|--------|--|--⌫|-⌫-⌫---|
la pro phetie de l espee	-|---⌫-----|-||----|
domla chait iu ealmeest	--|-|-----⌫--⌫|---|--|
deire m ani feste	-|--|-⌫---⌫----|
quipornule armene sareste	--|--|---|---|-||-----|
ainztre ncheparf orce eporf ent	---|---⌫---|--|-⌫---||----⌫--|
qua nqe leencontreentrineme nt	---⌫-|-⌫-|-------|---------⌫-|
sest iatan tparfont desce n due	|--|-|---⌫|------|-----⌫-⌫--|
qe iesq alalme es tparue nue	-|---|||---|--⌫|-----⌫--|
u oiez m onsi c o nes ttotueir	-⌫---|-⌫-|-|-⌫||--⌫|--|---|
