SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
ne san lo ast .	-||-|--⌫--||
Mau galiees tausest res la	---⌫----|--⌫|--|---⌫--|-|
f ile lamiraur	-⌫--||------|
Auequesl eFlorote filele	------|-⌫|------|---|-|
roi d Au sai.	--||--⌫--||
Maugaliefut	-------|--|
fie requipremierep arlai	---⌫-|--|-------|-⌫----|
C arplaütà	-⌫-|-----|-|
Maon quilesegle estora	---|--|-|----|-----|
Cesoudoiiers	-|---------|
deFran ceq uiprousest etloi aus	-|----⌫-|-⌫-|----|--|-|---⌫--|
Quiméustprisseà	-|||----|-----|-|
fammea ̀moil ierpr incipel.	----|-⌫|----⌫--|--⌫------||
Sime tenist	-|-|-----|
mes p e resl i	--|-⌫-⌫--|-⌫|
richesa miraus	-----|-⌫-----|
Plus me donroit	---|-|------|
de te rre Rom enie	-|--⌫--|---⌫---|
-Da me ce ditFl o reteuosaueztrop	|--⌫-|-|--|--⌫-⌫---|--|---|---|
grant cha ut.	----|---⌫-||
Ilestdroiz	-|--|----|
à pa i en	-|--⌫-⌫-|
f anme prise	-⌫---|----|
Quei l la ten e tan tqueeleanprene r ai	--|-⌫|-|---⌫|---⌫|--|--|-------⌫-⌫-|
Puisanpanraii l	---|-|-----|-⌫|
. III .ai nçois que li	|--||--⌫-----|--|-|
a nzpa r t.	-⌫-|--⌫-⌫||
DaazaitMaonmo zneq uii aile	---|--|------⌫|-|-⌫-|-⌫-|-|
LaloideMaonmot lanostre ne uaudrai .	-|--|-|------|-|-----|-|------||
Quan tlantan t Mauga l ie durement	----⌫||-----⌫|-----⌫-⌫-|-------|
ma fo idamoisellemoult so ntuilains	-|--⌫|---------|----|--⌫-|------|
N aip a s anco r.I.moi s uo s	|-|-⌫-⌫|----⌫||||---⌫|--⌫|
parlates totdaul	-------|--||--|
Ie uos uiàlacourtmonp erel amiraur	-|--|-|-|-|----|--|-⌫--||------|
A.C . et.L .	||||-||||
trestotecommunau l	-------|--------⌫|
Chacuns por.I. denier comme	------|--||||-----|----|
fan meuenaul.	---⌫-|-----||
- Dam eceditFlorote	|---⌫|-|--|------|
uosmeditesg rant	--|-|----|-⌫---|
Por ri ensqu emaiez ditne	--|--⌫--|--⌫||---|--|-|
s arai moinsloiaus.	-⌫---|----|-----||
Se Sarra zinsmepristrentoncn	-|-----⌫---|-|--------|--||
orentanmoipar	----|-|--|--|
tindrent.III . ior s esch ap ailor	-------||--||---⌫|----⌫--⌫-|--|
a uq uart.	-⌫|-⌫---||
Fernaguuostrefrerepor	------|-----|----|--|
Ge leuismort gi terporlou copdun	-|-|--|---|--⌫--|--|--|--||-|
uo stredruc	--⌫---|---|
uisocireEscorfan d eBaudas	--|----|-------|-⌫|-----|
Oruolé sceluipanrequiocis lesuosai	-|-----⌫|----|----|--|---|--|--|-|
Siferïés uos .XXX sifustqui uos dona st	-|-------|--||--|-|---|--|--|----⌫-|
Dahezaitquiuos croit	----|--|--|--|----|
nequ i iai	-|--⌫|--|
uo s crorai .	--⌫|-----||
Forma ntsecontralienta	-----⌫-|-|----------||
deçai etdelai	-----|-|----|
Iai uen i sent	--|---⌫-⌫---|
ans a n blequ an lonlesdesserurai.	---⌫-⌫-⌫--|--⌫-||-|--|---------||
FloredAusa iFloouant apelai	----||----⌫|-------|-----|
Gardezmoicechateltanqueie	-----|--|-|-----|--|--|-|
Puis uosdonraimafil e queiaine	---|--|-----|-|---⌫|--|--|-|
Flo ouan s i sicomuosplairai.	---⌫----⌫|-⌫-|--|--|------||
Orsa nuai lirois	-||-⌫|--|-|---|
Flores sone s ch ac anmenai	-----|--|-⌫-⌫--⌫-|------|
Etsa file la	-|-|---|-|
belleetsesfizles	----|-|--|--|--|
bo isaiz .	--⌫----||
Damedexles confu nd e	------|--|-----⌫--⌫|
q u i loumonde e stora i	-⌫-⌫|--|----|-⌫-----⌫|
Puismurent àF louant teldoelet	---|-----|-|-⌫-----|--|---|-|
sigrantmal	-|----|--|
sel achançonnef aut	-|-⌫|-------|-|-⌫--|
MAUDARANSet Mau dair ess ont gloton setmauais	--------|-|---⌫----⌫-|-⌫--|------⌫|-|-----|
Bra zetbrazseso ntp ris àunepar	---⌫|-|---|-|--⌫-|-⌫--|-|--|--|
sonttraiz.	---|----||
Frere d itMaudaranzune	----|-⌫-|--------|--|
rienstedirai	----|-|----|
cesoudoiermas	-|-------|--|
t ogor leer rai.	-⌫---|-|--⌫--||
Largesest de	-----|--|-|
d one r et uarsal	-⌫---⌫|-|-----|
et cortois	-|------|
Tuit no streh omeleseruentlibonset	---|--⌫---|-⌫--|-|------|-|---|-|
Sil p rantnos tre	|-|-⌫---|---⌫--|
s erourchaüzsume s àfais .	-⌫----|-----|----⌫|-|---||
Aulonsàl amiraur batison l itel	-----|-||------|------|-⌫|--|
Quansa chart re le	-|-|-|-----⌫-|-|
gietpu isna nnitr aiiemais.	---|--⌫-||-⌫-|---⌫-|-----||
- Fr e re cedi t Ma udo ire ian euosan	|--⌫-⌫-|-|--⌫|--⌫---⌫--|-|-⌫|--|-|
Se puisma serourpandre	-|---|-|-----|-----|
anzen . I.	--|-||||
feulardrai	--||-----|
EtRichier e tUr b am auua in ancroerai.	-|------|-⌫|--⌫-⌫-|-|--⌫-|--------||
Seignororesc ou tez fai tes	------|-|---⌫--⌫--|---⌫--|
Sifaite t rai ̈som ne fut	-|----|-⌫---⌫---|-|--|
neiemaisniert	-|-----||---|
Nem asforsdeIudas quiannotson	-|-⌫-|---|-|----|--|--|-|--|
Qui Damedeu uandi	--|------|----|
porsonma ula ncon brie r .	--|--|--⌫-|-⌫----⌫----⌫||
Mauderanz etMaudoiressontcuuerslosoigie r	--------|-|--------|---|-----|--------⌫|
Au serain dela	-|-----|-|-|
lune pr i strentau cheuachie r	---|--⌫-⌫-----|-|---------⌫|
A uecausnanm enerentforsque	-⌫--|--||---⌫------|---|--|
.II.e scuiers	|-||-⌫------|
E tsont uen uzàB asme ainzqueli	-⌫|---|---⌫-|-|-⌫---|---|--|-|
so rozliet .	--⌫--|---||
Laitrouai lamiralGalie nzleuisfier	--|-----||-----|-----⌫-|-|--|---|
Où f ai t sostasanbler	--|-⌫--⌫||--|-------|
de laiant la uersier	-|-|---||-⌫------|
Nuns na nsait	---||-⌫|---|
aconte rlesça nz	------⌫|--|---⌫-|
nelesmilier s.	-|--|------⌫||
Maud e ranzet	----⌫-⌫---|-|
sesfrere s li	--|-----⌫|-|
sontuenuzàpiez	---|----|-|---|
Lesouler et	-|-----|-|
lac ha ucel iaest r oit	-|-⌫--⌫--|-⌫||---⌫-⌫--|
Lamir au x lor	|----⌫--⌫|--|
deman deQui e stescheualier	-----⌫-|--|-⌫---|--------|
-Sire ditMaudaranzne	|---|--|--------|-|
qui ernoi er	---⌫-|---⌫-|
Fi ssu m esleroiFlore quise	--⌫|--⌫-⌫-|-|--|----|--|-|
f itba tisier	-⌫-|--⌫-----|
N ostreperesest déaubles nepouonsauoier	-⌫----|----|--|--------|-|-----|-----|
A inzaimandé	-⌫--|-|-----|
anFrance .I I.no uais	-|-----||-⌫||--⌫---|
soudoiers .	--------||
.I.cuuert qui	|||-----|--|
se faitfie r s	-|---|---⌫-⌫|
Fernagu u ostrefiz	------|-⌫----|--|
u os oci tauantier	-⌫-|---⌫|----|--|
Sa i co nquiseta	|-⌫|--⌫-----|-|
fileMaugali e auuis fier.	---|-------⌫|-|--|---||
Ilneladoinea panre àpresne	-|-|-|-----|----|-|---|-|
Ainzsoisla uotdonerà	-------|-|--|----|-|
.I.sonescuier.	|||--|------||
Nanuosi mes le plaitgrae r	|-|----⌫--|-|----|----⌫|
neo utroiier	-|-⌫-------|
AMoomnos t redeu	|---|---⌫-⌫-|--|
nos uenosauoier.	--|----|-----||
- Baronsditlamirausmou lt	|-----|--||------|---⌫-|
faitesàprisier	-----|-|------|
Ne perdrasdeuoterres uailesant.I	-|------|-|-|-----|--------|||
Aizaurezdela	--|----|-|-|
m oie .Xu. chatai sanf ier.	-⌫--||-||------⌫|-|-⌫--||
Lamiraux en apal ePinarledesfaé	|------|-|----⌫|----|-|------|
Faitemoi Maonmotd euantmoi aporter.	----|--|------|-⌫----|--|------||
Et cillires pondirentSicomuos	-|--|-|---⌫--------|-|--|--|
commandez .	--------||
II II. colomesle	--⌫-||------|-|
fi rent amen er .	--⌫---|----⌫-||
Liu ilainsfut moultgroset	-|-⌫-----|--|----|---|-|
parfonsetc aire ́	------|-|-⌫----⌫|
Deplusfin ord Esr abefutforgiez	-|---|--|-||---⌫--|--|------|
Commedamea ngecine	----|---|-⌫|-----|
futbien ancortinez	--|---|---------|
Au si li lutlates te c om mecierge ambrasez.	--⌫-|-|--|-|---⌫-|-⌫--⌫-|-----|-------||
M auda ranzet Maudoir es lis ontà piezaule z	-⌫----⌫---|-|-------⌫-|-|-⌫--|-|---|----⌫|
AïMaonm otsireia est esuossiber	--|-----⌫-|---|-|---⌫-|--|-|--|
Iaine poraiia gresilierneu anter	--|-|----|-|--------|-|-⌫----|
No snepouonsgarir	--⌫|-|-----|----|
uo stre bonté.	--⌫---|-----||
DouroiFl ore n o	--|--|--⌫--|-⌫|
per eu enonsà	---⌫|-⌫----|-|
Doubarnaiged eFran ce	--|-------|-⌫|----⌫-|
uenonsàuosparler.	-----|-|--|-----||
.grant batonàor liai	|----|----|-|-|-|-|
oup oiboté.	-|-⌫-|----||
.M.S arazins	|||-⌫------|
s anlieuentq uituitliontcrié	|-|------|-⌫-|---|-|--|----|
Aï Maonmo tsir ecedroitlorreceuez	--|------⌫|---⌫|-|----|--|------|
E nuost remercisontquantp andrele	-⌫|----⌫-|----|---|----|-⌫----|-|
La iot.I.Sarazinqui ot	--⌫|-||||------|--|-|
nonIa cobé	--|--⌫----|
Totua z ettotchenucar.C	--|--⌫|-|--|----|--|||
.anzotpassez.	|--|-|-----||
Del aloi Maonmont futsi ar gumantez	-|-⌫|--|-------|--|-|--⌫-------|
Etsisout desestoileset dou	-|-|---|--|-------|-|--|
coursdelame r	----|-|-|--⌫|
Si lortraitl essarmonsà gr anzfestes annez	-|--|----|-⌫-|------|-|--⌫--|-----|----|
De l alo i Maonmotetd	-|-⌫|--⌫|------|-||
Ap ol i nl or	--⌫--⌫-⌫|-⌫-|
Sicomiluintan t er re porloupouplesauu er	-|--|-|---|-|-⌫--⌫-|--|--|-----|----⌫-|
Baronsditlicu uersàmoi	-----|--|-|--⌫---|-|--|
ann antandez	--|-------|
Maon moznostres ire es t	----⌫--|-----|-⌫--|--⌫|
mul tgantizetbers	---⌫|-----|-|---|
Cedroitque uos li faites	-|----|--|--|-|-----|
anrespit li	-|-----|-|
D e ci que.I II. mois que il	-⌫|-|--||-⌫-||---|--|-|
soitporpansez	---|--------|
Sep ouezbienserui r	-|-⌫---|---|-----⌫|
iai nier tdoudroitpar l er.	--||---⌫|--|----|---⌫-⌫-||
Il uosmanraian Fraceporsiruste	-|--|-----|-|----|--|-|----|
Sozlepontd e	--|-|---|-⌫|
Mo nmartre u osferaipanr eos tel	--⌫------|-⌫-|----|----⌫|--⌫--|
M au daranzsera i roiset f ors rois co ronez	-⌫--⌫-----|----⌫|---|-|-⌫--|---|--⌫----|
Etrespo nt li cu ̈ersDe	-|-----⌫-|-|--⌫---|-|
folie p arlez	----|-⌫----|
Semes siremebaile.IIIIc .	-|--|---|-|----||----||
Iane s era ainç oisdemenlisoirs	-|-|-⌫--|-----⌫--|----|-|----|
Qu ouCh atelAuenantliferaipare ostel	-|-|--⌫---|------|-|----|----⌫----|
LesFrançoi slirandrai	--|--------⌫|-|------|
quimoinen ttelf ierté.	--|------⌫|--|-⌫-----||
- Barons ditlamiraus	|-----|--||------|
auré a sez .	----|-⌫--||
ORescoutezseignoursoezdeMauderam	-|-------|-------||--|-|-------|
DeMaudoi resonfrere e tfiz	-|------⌫-|--|----|-⌫|--|
leroiFlora m	-|--|-----⌫|
Lamirauslor b ailai.IIII	|------|--|-⌫----||---|
. milePers a mz	|---|----⌫-⌫-|
Tote nuitonterréàla lun e	---|---|--|----|-|-|---⌫|
Et uindrentauchatelainzsoislaubeap arant	-|-------|-|-----|-------||---|--⌫----|
Etiuindrent	-||-------|
en .I.petitpandant	-||||----|------|
Mauda ranze tMa u doire se nsontaulezauant	-----⌫---|-⌫|--⌫-⌫----||-⌫|---|----|----|
E tdientau portier.I III.mozanrom	-⌫|----|-|------||-⌫--||--|-|--|
Portiers ouure laport e lai nosantre rléan z .	-------|----|-|----⌫|--|--|-----⌫|-----⌫||
Liportier s	-|-------⌫|
siuitlanboic hemant	-|--||------⌫-----|
Desa uberzetdes elmes etdes	--|-⌫----|-|--|----|-|--|
cheu auscora n z.	----⌫--|----⌫-⌫||
Li po rti erslorrespont quinestoit pa sanf ant	-|--⌫---⌫--|--|------|--||-----|--⌫|---⌫--|
Glot o nse stezarieres n iantrero zn oian t	----⌫-⌫-|-⌫---|------|||-------⌫|-⌫----⌫|
Quantlen t e ndiMaudoireàpo ne	----||--⌫-⌫-⌫--|-------|-|-|-|
Ourecuuersl a porteia	---|-----|-⌫|----|-|
Etmes freres	-|--|-----|
Maudoi res etfiz l er oiFloram	------⌫--|-|--|-⌫|-⌫-|-----|
A usoudoiersde	-⌫|--------|-|
Franceuolo nsparlerléanz.	-----|----⌫-|-----|-----||
Dèshu imatin	---|--⌫|----|
auonsesploiti étant	----|--------⌫-|---|
Demain i ronsàBasme m ouoi rtornoiemant	-----|-⌫---|-|----|-⌫----⌫|----------|
S e paienssan	-⌫|-----||-|
isoientmoutlor	------|---|--|
n os sanbler oitgant.	-⌫-|-------⌫--|---||
Liportiersfit que fousq uile s laise	-|-------|--|--|---|-⌫-|--⌫|----|
Iliperdi lates te n i outde mort	-||----|-|---⌫-|||--|-|---|
Mau dar anzli copaiàlespée trai nchan t	---⌫---⌫--|-|----|-||-----|----⌫-----⌫|
Latestean fit uolersorle	-|----|-|--|----|--|-|
pon t m etenant.	---⌫|-⌫------||
LIport iersfitque	-|----⌫---|--|--|
lorourilaporte	--|---|-|----|
I lip erdila testeen zquelle fut	-⌫||-⌫---|-|----|--⌫|-|---|--|
E ntrezsuntanzp or forceantre	-⌫----|---|--|-⌫-|----|----|
luietMa udoire	--|-|--⌫-----|
Del osteFloouanet àRichie rqui	-||---|------|-|-|------⌫|--|
ont pr isi esles	--|--⌫---⌫-|--|
So re lorsunt	--⌫-|--|---|
coruza ̀meruoi louse force	----|-⌫|------⌫----|----|
Et pris tren t	-|----⌫----⌫|
Floou ant q uinelorpoutesto rdr e	-----⌫--|-⌫-|-|--|---|----⌫---⌫|
L e spoin zliont	-⌫-⌫|----⌫|-|--|
liez es troitàunecord e .	---|--⌫----|-|--|----⌫||
DE l osteFloouant ontlesportes prisiez	-||---|-------|--|--|-----|------|
sontcoru zpluxde.IIII.milie rs	---|----⌫|---|-||---||-----⌫-|
Floouantontsa isi coroçous eti rez	-------|--|--⌫--|--------|-|-⌫--|
A fors cordes li	|---|-----|-|
poize stroitliez.	---|-⌫-----|---||
Richiers iutd	-------|--||
autre p arten .I.li t antailié	----|-⌫--|-||||--⌫|--------|
Q uantu itsonseignorpanre mout anfutcorociez	-⌫---|-⌫-|--|------|----|---|-|--|-------|
pris unelance quig isoità	---|--|----|--|-⌫----|-|
Firt. I .ro i	---||||--⌫|
s arazinq ui	-⌫-----|-⌫-|
li estapruchiez	-|--|--------|
Quetot laip orfand uentreciq u elbraier	--|--||-|-⌫------⌫|------|-⌫|-|-----|
Puisanocit.I	---|-|---|||
quimult fu fozetfiers.	--|---|-|--|-|----||
Rich i ers uitla grant pres sedescu uers renoi e z	----⌫-⌫--|--|-|----|----⌫-|--|--⌫---|-----⌫-⌫|
Ioo usequiestoit à s onchief	---⌫--|--|-----|-|-⌫-|----|
L ors estuenuz au murssi	-⌫--|--|----|-|---|-|
s estau alglaciez	|--|--⌫-|------|
Celenuit san bo ichai àl aluneetauci e l	---|---||--⌫--⌫----|-|-⌫|---|-|-|--⌫-⌫|
RICHIERsest anboichiés en	------||--|----------|-|
. I.bruletfoilu.	|||-----|----||
Maudaranz e t Maudoires	--------|-⌫|--------|
et li rois Mauqueruz	-|-|---|--------|
L e f izleroi de France	-⌫|-⌫-|-|--|-|-----|
leuer e ntsur. I. mul	-----⌫-⌫-|--||||--|
Lespiezliontliez et	--|---|-|--|---|-|
l es mainspordesuis	-⌫-|----|--|-----|
Quanti lont Maugalie onctel	----|-⌫|--|-------|--|--|
ioienefut .	---|-|--||
Orcheu auchentpaiens àqui iai	-|----⌫------|-----|-|--|--|
Sa nmoinentF lo ouan tdo lant	|-⌫-------|-⌫--⌫----⌫|--⌫---|
etirascu .	-|-----||
Deslarmesde	--|-----|-|
ses iauzl e rminequot	--|---||-⌫----|-|-|
Anesttres tozmoil iez	-|--|----⌫--|----⌫--|
etli b l iausdesuis	-|-|-⌫-⌫---|-----|
Tandremant u aiplor ant	---------|-⌫-|----⌫--|
e t sopirem enu	-⌫|-----|-⌫--|
ParDeu bau ssir ep erestoran a uezéu	--|--|---⌫|---⌫|-⌫---|--|-|-⌫--|--|
Ie mai sn emeuaur a sseDex ne	--⌫---⌫|-⌫|-|----⌫-⌫|-|--|-|
faituertuz .	---|-----||
E R ichie rsiantisbersfizI oceram le duc	|-⌫-----⌫-|-----|---|--|-⌫-----|-|--|
Iemais por	-----|--|
uostrecorsnesaira secoruz.	-----|---|-|----|------||
Tant cheua uche ntpaiensquàBa me	---|-----⌫----⌫-|-----|-|-|--⌫-|
sunt uenuz .	---|----||
e rbequifut uerz so nt à	-⌫--|--|--|---|--⌫-|-|
pié desc ̧anduz	---|----⌫-----|
E t tindrent Floouantpor	-⌫|-------|-------|--|
l erm inquot	|---⌫-|-|-|
Porlesde grezdemab re	--|--|--⌫---|-|---⌫-|
sontou palais u enuz.	---|-|-----|-⌫---||
MAUDARANZet Maudoir es licu uer s los oingie rs	--------|-|-------⌫-|-|--⌫---⌫|---⌫------⌫-|
Por lesdegr ez demabremonterent ouplainchié.	--|--|----⌫-|-|----|--------|-|---------||
Et troue ntdePersielamiraulGaliien	-|-----⌫-|-|-----||------|------|
Amiraus dePersieors oies	------|-|-----|-|-⌫---|
ba us e t liez	--⌫-|-⌫|---|
LeFrançois	-|--------|
terandonsqu	-|------|-|
estan tout requdiez .	-----⌫|---⌫-------||
anfait iotisesili copele	-|---|-----|-|-|---|-|
amira uslentan tonquesne futsi liez	-----⌫-||-----⌫|-----|-|--|-|---|
S esmainsan	-⌫-|----|-|
ata ndu escontra m ontuers leciel	|--⌫---⌫-|------⌫-⌫--|---|-|---|
Ahi Maonmotsir emou t	--|------|---⌫|---⌫|
pari estesprisiez .	--|-⌫----|------||
Deses homes a p ale	-|--|----|-⌫-⌫--|
licüer srenoiez	-|-----⌫|------|
Faitesmo iunesforchesdesorce puid r ecier	-----|--⌫|---|------|----|-|--|-⌫-⌫----|
Sipandro nsc eFrançoisquant nosaronsmengié.	-|------⌫-|-⌫|--------|----|--|----|------||
Quant la ntant	----||-⌫----|
Maugal iesilanp ristgrant pit ié	------⌫-|-||-|-⌫---|----|---⌫--|
AuChat el Auenantlio tiliamestier	-|----⌫-|------|-|-⌫|-|-|------|
Am irau sdePe rsie	--⌫----⌫|-|--⌫---|
cartel a iscon sel ie r	--|-|-⌫-⌫-|---⌫---⌫--⌫|
.diz.I .respi l ordonez	|--||||----|-⌫-|----|
Qu a urezmandezuoshomes uostre	-|-⌫---|-----|--|----|-----|
ari ere ba n fier	---⌫--|--⌫|---|
Puisan fero iziotiseuoian t.M.ch e ual ier.	---|-|----⌫-|-----|-----⌫||||--⌫-⌫---⌫--||
-Fi leditl amirausmout fai tes	|--⌫-|--||------|---|---⌫--|
àprisi er	-|-----⌫-|
Toutceqne uosmeditesd oiieb ien	---|-|--|--|-|----|-⌫-|-|-⌫--|
Anz oufonz	--|-|---|
de lachartrelailefa itt rabuch ier	-|-|------|--|-|--⌫-|-⌫------⌫--|
Bo zi aietcalou res donest mout	--⌫||-|-|-----⌫--|--|--|---|
Sor e l iso ntcoruzcomme c hiens anrai giez	---⌫|-⌫|--⌫-|----|----|-⌫----|-----⌫---|
Il n ereman sit m i equeil	-|-⌫|-----⌫--|-⌫-⌫|--|-|
nefu t mengiez	-|--⌫|------|
Maslibers sidesfantà. I.	--|-|---|||------|-||||
pic ond acie r	---⌫-||----⌫|
Que Sarazin si orentoblié	--|-------⌫||----|-----|
et lai sié.	-|---⌫---||
Laisons deFloouantquin	------|-|-------|--||
cors l ié	---|-⌫--|
Sidironsde Ri chiercommantaiesploit ié	-|-----|-|--⌫----|------|-|-------⌫--|
Tot enuitaiéuen	---⌫|---||---|-|
.I . brulotfoili é	|||-----|-----⌫-|
andemain que il dutescl arier	-------|--|-|--|----⌫----|
Q u eli bers	-⌫-⌫|-|---|
seredr oceq uilecour	-|----⌫--|-⌫-|-|---|
D ecequ eMaudaranz	-⌫|-|--⌫|--------|
si anginez	-|------|
DeFloouant son ma itre	-|-------|--|--⌫---|
qui àmort estiugiez .	--|-|---|--|-----||
Pr esuai quine s oci tde	--⌫-|--|-||-||---⌫|-|
doeletde pitié	---|-|-|-----|
Ses poinz uai de tordanzlig antiz	--|----|--|--⌫------|-|-⌫----|
cheua lier.	-----⌫---||
TOTEnuitiustRichie rsenz o ub oisuer déant	---|---|---|------⌫-|--|-⌫|-⌫--|---⌫-----|
uitl e c hatelardoiret	--|-⌫|-⌫----|-----|-|
lepalaisplusgr ant	-|-----|---|--⌫--|
Unsetunsreuers a tozles morz	--|-|--|------⌫|--|--|---|
porl es chans	--|-⌫-|----|
S auo irse ilt r ouat	-⌫---⌫-|-|-|-⌫-⌫---|
sons eignourFlooua nt.	--|-⌫------|------⌫-||
Qua ntilnepouttrouermoult	---⌫-|-|-|---|-----|----|
p oranfut dol anz.	-⌫-|-|--|---⌫--||
aut restroued anUrbanlAulemant	---⌫--|----|-⌫-|----||-------|
Naurépormi le corsde.	-----|----|-|---|-||
II .espiez troichant.	-||-----|--------||
Qu an tRichiers	--⌫--⌫|-------|
laiu éumoultporan fud ola nz	|-|-⌫--|----|--|-|-|-⌫---⌫-|
Demand eli	------⌫|-|
nouell esde lanfantFloouant.	------⌫-|-||-----|-------||
Pai enslan	---⌫--||-|
ontmenéceliaidit	--|----|-|-|-|--|
est anduzl	---⌫----||
arme s an partatant.	---||-|---|----||
ADamedeu dou ciel louro i om nipota nt	|------|--|---|--|--⌫|--⌫------⌫-|
Aicommandéela rme	-|---------||-⌫--|
Richiersqui moul tesfrans	-------|--|----⌫|-|----|
Puisanuint	---|-|---|
à Biaufortain çois	-|-------|---⌫----|
tierce sonant.	-----|-----||
Li ro is estoi tmontez so r.I	-|--⌫-|-----⌫|-----|--⌫|||
. mul eta nblant	|---⌫-|-⌫-----|
Si auloitoïrmesseaumoustiersainuinçant	-|-----|---|----|-|-------|---|-------|
Lors sestoit	---||-----|
regardeztotcontrauaul	-------|--|---------|
EtuituenirRichi e r co roçous et dolant	-|--|----|-----⌫-⌫|--⌫------|-|-----|
Ench emiseetanbraiessespée	-|--⌫----|-|-|-----||-----|
paumoi a nt.	------⌫-⌫-||
rois lai ué uancontreuaierrant	---||-|---⌫|-------|--|-----|
aid emandécom	-|-⌫------|--|
li estcou enant.	-|--|---⌫----||
Sirec e di t	---|-⌫|--⌫|
Richierscertesmauuais ement	-------|-----|-------⌫----|
Tufilnosont traïliglot onssoduanz	-|--|--|--|----|-|----⌫--|------|
Quion tarst o n	--|--⌫|--|-⌫-⌫|
cha telet ociseta ngant .	---⌫--|-|----|--⌫|---||
EtSarazinsanmo inent mon	-|-------|----⌫----|--|
se ig norFloouant .	--⌫--⌫--|-------||
Q uantl entandirois à	-⌫---||------|---|-|
.III I.foiz s epaumai desuslemul	|---⌫||---|-⌫|-----|----|-|--|
Ia futchéuzà	-|--|-----|-|
terres enefuse sagan t	----|-⌫|-|---|-|---⌫|
QUANTen t an dili	----|--⌫-⌫--⌫-|-|
roisd e sesfiz les	---|-⌫|--|--|--|
Quiont ars sonchat e letocissonba rna ige	--|--|--|--|----⌫-⌫|-|---|--|--⌫---⌫--|
Ahi cuuersfait ilporcoioncle	--|-----|---|-|--|--|--|-|
ADamedeu manplain et	|------||-|----|-|
aubaronSaintIaque	-|----|----|----|
Età tozless ainzD euq uiio t ise m	-|-|--|--|-⌫---|-⌫-|-⌫-|--⌫-⌫--||
Onqu esma is nedit	----⌫-|--⌫-|-|--|
chosequipluxfutue ritauble	----|--|---|--|--⌫-------|
Carpuis lo rsa nn	--|---|--⌫-|-⌫-|
auint uneho ntesimaule	----|--|--⌫--|-|----|
Commeuos morezdirese	----|--||---|---|-|
l achançon d ure au ques	-⌫|-------|-⌫--|--⌫---|
LIdiausfutanlaui lem irabileset	-|----|--|-|-|--⌫-|-⌫-------|-|
Masdesortouzlesautres	--|----|---|--|-----|
lemoinen tl apuc elle.	-|------⌫|-⌫|---⌫---||
Oùq ueel uitRichi er	--|-⌫-|-|--|-----⌫-|
d oucemantl ana pale	-⌫-------||-|-⌫---|
Com mantuosestfaitellecheual ierdebona i res	---⌫---|--|--|---|---|------⌫--|------⌫-⌫--|
E st donsprisFloouansàlacol or n ouelle	-⌫-|---|---|-------|-|-|---⌫-|-⌫-----|
Le mo ilourcheualier	-|--⌫----|--------|
quioncmontastansalle	--|--|------|-|----|
ditRichiersilnepoust	--|-------|-|-|----|
oraulestre.	-|--|----||
Cenosont faituosfreresliglot ons	-|--|--|---|--|-----|-|----⌫--|
deputa ires	------⌫---|
ont ua nduz	--|--⌫---|
à l a miraulde	-||-⌫-----|-|
M aspor icelapostre quepel erinsrequierent	-⌫-|--|---|------|--|---⌫----|---------|
Entr eci à	----⌫--|-|
. I. moisan cui pandrelest estes .	|||---|-|--|-----|--|-⌫----||
-Richiers di t lap ucelle ausint	|-------|--⌫|-|-⌫-----|-----|
enpuisilestre.	-|---|-|----||
Au ec luil anmenai en . I. celierso r	--⌫-|--||------|-||||-----|--⌫|
Etpuis l ai	-|---||-|
re ues tud un pailede Bisterne.	--⌫---⌫-||-|----|-|-------||
La pu celeli done.I.aube rtet .	-|--⌫---|-|---||||----⌫-|-||
I . aielme	||-----|
Et.I . escu moutb ondomàor	-||||---|---|-⌫-|--|-|-|
EtI oieuse sespée	-|-⌫-----||-----|
unenouelle aberge	--|------|-----|
.I .c heuaullidona ietune	|||-⌫-----|-|----⌫|-|--|
Richiers enmerciaila	-------|-|------|-|
cortoise pucelle	-------|------|
Quantilfu t adobezlorsuo sitilbien	----|-|--⌫|-----|---|--⌫--|-|---|
LaioùFloo uan s	--|--|----⌫---⌫|
ertàlacolo urno uale.	--|-|-|----⌫-|--⌫---||
LI roisfutan l a	-|---|--|-|-⌫|
uilequi m oult esto itirez.	---|--|-⌫---|----⌫-|---||
Etcesquimains anfun t l orentplus tot	-|--|--|----|-|---⌫||----|---|--|
Il on tlauélo rmains	-|--⌫|----|--⌫|----|
asisso nt aumain gie r	---|--⌫-|-|----⌫---⌫|
Mas liroisne	--|-|---|-|
mengastp orles manbrestrenchie r	------|-⌫-|--|------|--------⌫|
Ne Ri chiersligantis	-|--⌫-----|-|-----|
ni uoto ncq ues	||--|-⌫---⌫--|
Ainz fitfairesont	---|--|----|---|
s aulezcouchier.	|----|-------||
Masi ln idormit m iepo rlesmanbres	--|-⌫|||-----|-⌫-|--⌫|--|------|
trainchier	---------|
Ainçois plo re etreg ratesonseigno urdro i t uri er	-------|---⌫-|-|---⌫---|--|------⌫-|---⌫-⌫-⌫---⌫-|
Ahitantmari f utes nobiles c heualie r	--|---|--||-⌫---|------|-⌫-------⌫|
Orannirai anFrance	-|--|---|-|-----|
coro çous et iriez	----⌫----|-|----|
