a nnaschayfasetsimyneetdadannietgamaliel	-⌫---|------|-|-----|-|------|-|-------|
f emeskidegalilee	-⌫---|-|-|------|
estoien tu enuesapre sl ui	-------⌫|-⌫----|----⌫|-⌫-|
k ies gardoientcommentla	-⌫|--⌫--------|------|-|
co sealoit.	--⌫-|----||
la uintunspreudom et	-|---|--|------|-|
lo iauxiosephdar imachieune citeeniudee .	--⌫---|-----||--⌫------|--|---|-|----||
cil a tendoit auoecl e s	--|-⌫------|----|-⌫-⌫|
siuint apylatesi dema ndale cors	-|---||-----|-|----⌫--|-|---|
ci l lostadela cro is et	--⌫||---|-|-|---⌫-|-|
cil len uolepa	--||--⌫-----|
enunnetsydoineet sile mistenzz	-|-|--|------|-|-|-|---|-|-|
mon um entk ilau oit tailliéasonoes.	---⌫--⌫--||-|--⌫--|-------||--|--||
onquesnusni	-----|--|||
auoitestémis .	----|----|--||
quant ce sore ntliiui f siquis ent ioseph	----|-|----⌫-|-|---⌫|-|----⌫--|-----|
kiauoienttesmoigni ékiln	-|------|---------⌫-||-||
est oitmie ne z	---⌫--|--|--⌫|
defornicatio netceux kiauoient tesmoignié les bo nes oueures	-|----------⌫|-|---|-|------|----------|--|--⌫--|------|
d e l ui et nicodemus.	-⌫|-⌫-|-|--------||
tuit sefurentrepostforsnicodemuscarilestoitpri nces	---|-|-----|-----|---|--------|--|-|-----|---⌫---|
desiuissilo rdist	--|---|-|--⌫|---|
commentiestesu ousentréenlasynagogequ an t	------|-----|-⌫--|-----|-|-|-------|--⌫--⌫|
uos est i éscons en tablede celuiki l aestmo rs	--|---⌫-⌫--|----⌫--⌫----|-|----|-|-⌫|--|--⌫-|
-auoec l ui aiésuo us part firentliiuif	|----|-⌫-|----|--⌫-|---|-----|-|---|
distnicodemus amen	---|--------|---|
ensement ios ephsemoustraaeuxsilor	-------|---⌫--|-|------||--|-|--|
coiiestesuouscorecie ́ a	--|-----|---|-------⌫||
moidec e ke	--|-|-⌫|-|
ierequisapyl ate leco rs ihesu	-|-----||---⌫--|-|--⌫-|----|
monumen ttout nuef etsil enseuel ienu n	-------⌫|---|---|-|-||-------⌫|-|-⌫|
sydoinee t si misaluisdela foss e	------|-⌫|-|--|||--|-|-|----⌫|
u ne piere.	-⌫-|----||
uosnauésmieesploit ié	--||----|--|-------⌫--|
bien enuers le	---|-----|-|
quantceoirentliiugeor	----|-|-----|-|-----|
loisiprisent iosephsilegarderentbie ndusqu a	--|-|------|-----|-|-|--------|---⌫|----||
las emaine.	-|-⌫-----||
lisab asesto it pres si	-|---⌫-|----⌫-|---|-|
neliuo loientno ient f ai reains di sentios ephs eli	-|-|--⌫-----|--⌫---|-⌫--⌫-|---|--⌫---|---⌫--|-⌫|-|
s a basnefust s ipres nosn osuengi ssons	-⌫-⌫--|-|---|-⌫|---|--|-⌫-|-----⌫----|
detoierrant	-|--|-----|
tuiesdignesketun a i es	-|--|-----|-|-||-⌫-⌫-|
sepultur eai ns l iuerralentachara mangieras	--------⌫|--⌫-|-⌫-----|--|-|---||------|-|
oisiaux etas	------|-|-|
iosephlor respo nd imolt p arlés	-----|--|-----⌫--⌫|---|-⌫-----|
orgelleusement .	-------------||
ennedistde xparleboucedouprophetedauid	---|---|--⌫|--|-|----|--|-------|----|
iemeismesmegarderai ma	-|------|-|-------|-|
uenian ceiusquesaune eu re.	------⌫-|------||--|--⌫-||
quantp ylateuitlemautal e nten tre ux seigno r di stil	----|-⌫----|--|-|------⌫-⌫-|--⌫-|-⌫-|------⌫|--⌫-|-|
en cestafa irenaiie coup esmais	-|---|---⌫--||-|-|----⌫-|---|
ie criem kedexne uengesoruouset	-|----|-|--|-|----|--|---|-|
sor uos enf anscek e	--|--|---⌫--|-|-⌫|
uous auésfait .	---|----|---||
quantliiuifoi re nt	----|-|---|--⌫--⌫-|
ces pa rolessi sec orecierentetprisentiosephsi	--|--⌫----|-|-|-⌫---------|-|------|-----|-|
l enclosente nunecambreu il n	|--------|-⌫|--|-----||-||
auoitnul efe nestre.	----|---⌫|--⌫-----||
etl uisfremalen alaclef	-||--|----|--||-|---|
prince annasetka yfas imisent ga rdes.	-----|----|-|--⌫---||-----|--⌫---||
apresassamblerentlorconcille dequelemorti l	----|-----------|--|-------|-|----|---|-⌫|
feroient iosep hmori r apresle s aba t .	-------|-----⌫|----⌫|----|-|-⌫---⌫||
apres lafestesass amblerent	----|-|----||---⌫--------|
liprinceannas et kayfassicomman derentk onamenast	-|-----|----|-|-----|-|------⌫-----||-|------|
ondesfe rmalui ssine troualen	-|-----⌫--||--⌫|-|-|----|--|
mied eioseph.	--|-⌫|-----||
quantce u irent	----|-|-⌫----|
liiuifkiltro uer entluis	-|---||-|---⌫---⌫--||--|
fer métetlesenseignesteles comille s iorent	---⌫---|-|--|--------|----|--|-|--⌫||----|
misessisenesmer uel lierent	----|-||-|-----⌫---⌫------|
acelafairesi uintuns desc heualierski	|--|-----|-|---|--|--|-⌫--------|-|
auoitaid iélesepu c reagarderui hesus	----|---⌫--|-|----⌫-⌫-||-----||-⌫----|
auoitestémissiloraportano ueleske	----|----|--|-|--|-----|--⌫----|-|
quan t ilgar doient le s ep ucre	----⌫|-|---⌫-----|-|-⌫--⌫---|
sifu terremo rteetuirentl angelede uc ommentil	-|-|-------⌫--|-|-----||-----|--⌫|-⌫-----|-|
roela lapie rrede	----|-|---⌫--|-|
ar ri e re.	--⌫--⌫-⌫-||
etil sasist sus	-|-||----|--|
etl iangelesensi faitemen tregar doit	-|-⌫|------|---|--------⌫|-----⌫---|
com unefoudre.	--|--|-----||
etce kilauoitue stu esto it a usiblancco mme	-|-||-|----|--⌫--|----⌫-|-⌫--|----|--⌫--|
porlabiau tede luiet	--|-|----⌫-|-|--|-|
porlapaorfume snous enseme nt	--|-|---|----⌫|---|------⌫-|
commemort.	----|---||
et launo s f um es pa smé	-|-||--⌫|-⌫--⌫-|--⌫---|
oimesnouslangelekiparla asfem e ski	----|---||-----|-|----|-|---⌫-⌫|-|
la estoien t uenuesquerr eihesu m.	-|-------⌫|-----|-----⌫|-----⌫||
etlesfemesorentpaormais	-|--|----|----|---|---|
liangeles lesconfortaet dis t femes	-|------|--|-------|-|---⌫|----|
naiés m i e p ao r	|----|-⌫-⌫|-⌫--⌫|
ih esuskifu cru cefi iésil uos	--⌫---|-|-|---⌫----⌫---|-|--|
dit k il res us citero it	--||-|---⌫--⌫------⌫-|
resuscitezest	---------|--|
n estmieci.	|--|--|-||
ués cil eleuu ilfumis.	---|-|-⌫|--||-|-|--||
ma isaleztostases d esciplessi d ites	--⌫-|---|---||--|-⌫-------|-|-⌫---|
kile stresuscitéset	|-|-⌫-|----------|-|
k ilsen uait deuantengalilee	|-||-|---|-----|-|------|
et laletrouer ontil.	-|-|-|------⌫--|-||
dontap ielalen	---|--⌫---|--|
lescompaignons celui si lordemand alenquelesfemes	--|----------|----|-|--|------⌫|--|-----|----|
cefurentkila uindre nt .	-|-----|-|-|------⌫-||
porcoinespreis tes	--|--||-|-----⌫--|
liche ualier re spondir ent nos nesauons quesf emesce	-|---⌫-----|--⌫-------⌫--|--|-|-----|---|-⌫---|-|
furentcarnosfumes	-----|--|--|----|
ausicomm emortporlapaordelangel e	---|----⌫|---|--|-|---|-||-----⌫|
ne nepeumespre ndreles	-|-|-----|---⌫---|--|
-certesdisentlicheualierneuousen poons croire	|-----|-----|-|--------|-|---|-|----|-----|
etlicheua lier disentcommentnos	-|-|-----⌫---|-----|------|--|
enuo usquantuousneuausis te s	-|--⌫-|----|---|-|------⌫--⌫|
croirei h esum kiso u entfaisoitmiraclesgrans enterre	-----|-⌫-⌫---|-|--⌫-⌫--|------|-------|----|-|----|
entre no us	----|--⌫-|
certes cilest	-----|--|--|
resuscite ́skeuos	---------⌫-|-|--|
cr u cefiastes	--⌫-⌫--------|
et cees tdex	-|-|--⌫|--|
nosauonsoidir e	--|----|-|---⌫|
keuousenclosistesio s ephe n	-|---|----------|--⌫-⌫--|-⌫|
unec ambresil enfremastesabo nesc les .	--|-⌫----|-||----------||--⌫--|-⌫--||
quant uou souristes l	----|---⌫|-------||
uis sine l trouastesm ie.	--|-|-||--------|-⌫-||
ornosr endés	-|--|-⌫-----|
nos uousren deronsihesu	--|---|---⌫-----|----|
gar dames.	---⌫----||
disentliiu i f iosephest en	-----|-|--⌫-⌫|-----|--|-|
saci ted arimachie.	-|--⌫-||--------||
licheualierrespo ndir entetihesus est	-|--------|-----⌫----⌫--|-|-----|--|
engalileesicomme asfemes	-|------|-|----|-|----|
oimes dire quant ce uirentliiuifsi orent	----|---|----|-|-----|-|---|-|----|
gr antpaor entreux	--⌫--|---|---|--|
etd isentceste	-|-⌫----|----|
p a rolenes t	-⌫-⌫---||--⌫|
gensl orrontsicr ero nttuit en lui .	---||-----|-|--⌫---⌫-|---|-|--||
doncdonerentilauoir as c heualiers	---|-------|-|----|-|-⌫--------|
kil diroient k e l idiscip leihesu	|-|-------|-⌫|-⌫|------⌫-|----|
estoientuenupar	-------|---|--|
nuitsieussent	---|-|------|
embléle cor s ihesu.	-----|-|---⌫|----||
etqua nt liprouoslorroi til feroit	-|---⌫-|-|-----||-----⌫|-|-----|
lorplait et respondroitpor eu x	--|----|-|----------|--|--⌫|
licheualier prisent	-|--------|------|
lauo i ret	|---⌫-⌫|-|
disentsicom	-----|-|--|
l orau oit	-⌫-|--⌫--|
comma ndé .	-----⌫---||
u nsprestreskifineesauoitnonetaddaset	-⌫-|-------|-|-----|----|--|-|----|-|
u ns command e re sdela loiki a u oit non	-⌫-|-------⌫-⌫--⌫|-|-|--|-|-⌫-⌫--|--|
egeascil troiuinrent degalilee en	----|--|---|------|-|------|-|
i erusalem etdisent	-⌫-------|-|-----|
asprinces delaloi	-|------|-|-|--|
et a tous cel sdelasinagogheno usauonsue u	-||---|---⌫|-|-|--------|--⌫-|----|--⌫|
dis entilih esum keuous	---⌫--|-|--⌫---|-|---|
cr ucefiastesau oe sses yydiscipl e setseant e ntreuxe l	--⌫---------|--⌫--⌫|--|-|-------⌫-⌫|-|----|-⌫--|--|-⌫|
montoliu etet s ilor	---|----⌫-|-|-⌫|--|
diso it aléspartout	----⌫-|----|--|---|
lemonde etpr eeciést outesles	-|----|-|--⌫------|-⌫----|--|
gens lesmosdeleua ngil eetbapt isiés	---|--|--|-||---⌫----⌫|-|----⌫-----|
toutesl es genselnondou	-----|-⌫-|---|-|--|--|
pe r ee t d oufilet dou	--⌫-⌫|-⌫|-⌫-|--|-|--|
saintespe rit.	----|----⌫--||
kic e kerraetbaptisiésseratous	-|-⌫|----|-|---------|---|---|
sau ssera.	---⌫|---||
et quantil otensi	-|----|-|-|---|
fa itemen t pa rle ́nousueimeski l mont ael	--⌫------⌫|--⌫---⌫|---|-----||-⌫|----⌫|-|
et quan tc e oirentl i pr ince e t li	-|----⌫|-⌫|-----|-⌫|--⌫---|-⌫|-|
pr e str eetlisigneur d elaloie t li	--⌫-⌫---⌫|-|-|------|-⌫|-|--|-⌫|-|
diacres id i sentacesyyhomesloez et g l orefiiez	-----|-⌫|-⌫-⌫---||--|-|----|---|-|-⌫-⌫-------|
deiherusal em se ce est uoirskeuos dites	-|--------⌫-|-|-|--|----|-|--|----|
keu ous ueiste s et oistes.	-|-⌫--|------⌫|-|-----||
dontres pondirentli	---|---⌫--------|-|
i uifprestrenosuosdisonsuo irno sl oimes parler	-⌫--|------|--|--|-----|--⌫-|--⌫||----|-----|
ases disipl ezetleu eimesmonterelciel	|--|------⌫-|-|-|-⌫----|-----|-|---|
etsenosn os tai s ionsde ceste cose nosferions	-|-|--|-⌫-|---⌫-⌫---|-|----|---|--|------|
donsseleuerentli princed e	---|-|-------|-|-----|-⌫|
lat erreet	-|-⌫---|-|
ci lkilaloi gardoient etsi lesco ni urer ent	--⌫|-|-|--|--------|-|-|--|--⌫--⌫----⌫--|
kemaisnedeissent cestepar ole	-|---|-|-------|----|---⌫--|
donr oien tauo ira sse s.	----⌫----⌫|---⌫-|-⌫---⌫||
cil prisen tlau oir si	--|------⌫||--⌫--|-|
s enale rent.	|-|---⌫---||
etliprinc e enuoier ent y y	-|-|-----⌫|-------⌫--|-⌫|
homes auoec eux k i	----|----|--|-⌫|
le sm enaissenten ierusalem.	--⌫|-⌫--------|-|--------||
dontsa sa mblere ntlii uif si	---||-⌫--⌫------⌫-|-|-⌫--|-|
fi rentun me rueilleusduelet	--⌫---|-|--⌫--------|---|-|
dementoientpor co i ce lorestoitauenu	----------|--|--⌫|-|--|-----|----|
kayfaslesconforteren t et	-----|--|-----------⌫|-|
dis entcon	---⌫--||-|
nedeuo itmiecroireestran ges gens	-|----⌫-|--|-----|------⌫--|---|
il prenoienta uoir	-|--------|-⌫---|
et ildisoientce	-|-|-------|-|
conlorrouoitdire .	|-|--|-----|---||
dont s eleua s usn icodemus silordist uous	---|-⌫|---|-⌫-|-⌫-------|-|--|---|---|
filisrael parlés adroit .	--|-----|------||----||
auésuousois lesyyhomes	----|---|--|--|-|----|
commentilontpar lékiloiren t	------|-|--|---⌫--||-|-----⌫|
ihesumparlerasesdisciplesetk	-----|-----||--|--------|-||
auoien tueu monterelciel .	------⌫|--|-----|-|---||
tesmoigneelizeus etnos enseigne lescriturekeelyasen	--------|------|-|--|-------||--------|-|----|-|
fu portésel	-|------|-|
ci eletcetesmoigne elyzeus.	--⌫-|-|-|--------|------||
orc reezconsei l	-|-⌫---|------⌫|
dist nicod emus sienuoi ésen c esm ontai gne squerre et sauoir	---|-----⌫---|-|-----⌫--|-|-⌫-|-⌫-----⌫---⌫|-----|-|-----|
m onsenousletrouerion s .	-⌫-|-|---|-|---------⌫||
et se nosletr ouons	-|-|--|-|--⌫----|
no s d i r ons	--⌫|-⌫-⌫-⌫--|
kes ainsesperisle	-|-⌫---|------|-|
cistconsausf utenus.	---|------|-⌫|----||
len enuoiaes	--|-----|-|
montaig n esforshomes etdeliures por querre	-------⌫-⌫-|---|----|-|-------|--|-----|
i hesumetses disciples	-⌫----|-|--|--------|
cil alerentpar toutnen trouerent mie	--|------|--|---||-|--------|--|
sire tor nerentetd i s ent kil par tou t	-|--⌫---⌫-----|-|-⌫-⌫-⌫--||-|--|---⌫|
alétqu errei hesummaisneleui r entmie	----|--⌫---|-⌫----|---|-|-|--⌫-⌫--|--|
m aisiosephdarimacieu irentil.	-⌫--|-----||-------|-⌫----|-||
do ntfurentlielii uif dece	--⌫-|-----|--|-|-⌫--|-|-|
k ilauoi enttroué	|-|----⌫--|-----|
iosephk ilauoientenclosel mur	-----||-|------|-----|-|--|
ad ontsasamblerentil	--⌫--||----------|-|
p orque rrecon seilcomm entporoientparler	-⌫-|---⌫--|---⌫---|----⌫--|-------|-----|
donque sfirenti lunesletressilienuoieren t.	------⌫|-----|-⌫|---|-----|-|-|---------⌫||
en cesletres ot	-|--|-----|-|
escrit iosephen	-----|-----|-|
l apaisdeusoiestu	-⌫|---|--|----|-|
kia uoectoisont.	-|-⌫---|--|---||
nou snesauons ke	---⌫|-|-----|-|
nos auons mesf a it enuer sdeu etenuers	--|----|----⌫-⌫-|-----⌫|--|-|-----|
nost e prionsketudeignes uenir	--|-⌫|-----|-|-|------|----|
atespereski	|--|----|-|
sesmeruel len tc omme nt tu	|--------⌫---⌫|-⌫----⌫-|-|
ie sesc hapés.	--⌫|---⌫-----||
nos sauon s b ienkenosc reimesmaluaisconsei l e nuers	--|-----⌫|-⌫--|-|--|-⌫-----|------|------⌫|-⌫----|
terecutetdeliura	-|----|-|------|
delmalua isconcille .	--|-----⌫-|-------||
paiss oi ta toiioseph	---|-⌫--⌫||--|-----|
c artuiesentretoutelagent.	-⌫-|-|--|----|----|-|---||
letre sfurentescrites	-----⌫|-----|-------|
siesga rd a	-|----⌫--⌫|
l enyyhomes	-⌫-|-|----|
am isioseph si lo rcarialen lesletr essilor	--⌫-|-----|-|--⌫|----|--|--|----⌫-|-|--|
rauaonsaluer	---|-|-----|
ios ephetdonercesletresen	---⌫--|-|----|--|-----|-|
cilsenalerent	--||-|------|
aiosephetlidonere n tces	|-----|-|-|------⌫-⌫|--|
q uant iosep h le s o t le ues	-⌫---|-----⌫|--⌫|-⌫|--⌫--|
sidistbeneoissoitihesu crist	-|---|------|---|----|----|
kimedeliurade lor mains	-|-|------|-|--|----|
me tueren t.	-|------⌫||
adontba isato us ce us	----|--⌫--|--⌫-|--⌫-|
kil aestoientuenuet	-|-⌫|-------|---|-|
si les recut	-|--|----|
al au tre ior	||--⌫--|--|
m ontasorson	-⌫---|--|--|
as ne sis enal aauo eceux eniherusalem.	--⌫-|-||-|--⌫|---⌫-|--|-|---------||
quan tl iiuif oir ent	----⌫|-⌫|---|---⌫--|
direkiluenoit	---||-|-----|
s icorurent	-⌫|-------|
encontrelui e tdisoientios ephiosephpais	-------|--|-⌫|-------|---⌫--|-----|---|
nous soi te n	---|---⌫|-⌫|
etiosephr e spondilap aisdoi nst dex	-|-----|-⌫-⌫-----|-|-⌫--|---⌫--|--|
a toutson pueple.	|---|--|-----||
dont lebaisierenttuitetnicodemuslemena a son	---|-|---------|---|-|--------|-|---||--|
l autreiorapresannasetk ayfasd i sent	|----|--|----|----|-|-⌫----|-⌫-⌫---|
a i o seph ioseph	|-⌫-⌫---|-----|
reconois uoirporde udec ekenoustedemanderons	-------|---|--|--⌫|-|-⌫|-|---|-|----------|
com meu sortoiporc eketu enseuelizihesusi	---⌫--|--|--|--|-⌫|-|-|--------|----|-|
ten closimesen un murapressi	|--⌫-------|-|-|--|----|-|
ne tet roua mes mi e quan tnous	-|-|-⌫----⌫--|--⌫|----⌫|---|
tiq uesimessiene umes	||-⌫------|-|-|-⌫---|
grantpaor.	----|---||
ornos dic ommen ttu	-|--|-|-⌫-----⌫|-|
esch apasetque leme rchi dextefist	----⌫---|-|---⌫-|--⌫---|--|-|---|
e tioseph lord istquant uous	-⌫|-----|--|-⌫--|----|---|
menc losistesel mure ten fremastes	|---⌫-------|-|--|-⌫|--⌫--------|
auuespreiefuienoriso ns eten priieres	-|-----|-|--|-|-----⌫-|-|-|-------|
uersl eior delsabatamienuitpendi toutel a	---|-⌫|--|--|----||------|----|----|-⌫|
maisonsayya ngel ese tieuiihesuma us i espris	------||-|-⌫----⌫-|-⌫|-|-|-----|-⌫--⌫|-----|
commefo u dre.	----|--⌫-⌫--||
et de la paorke	-|-|-|---|-|
ienoi cheipasm és	|-|-|---|----⌫--|
e tilmepr ist pa rla	-⌫|-|-|--⌫--|--⌫|-|
leua deterresi marousa	---|-|----|-||-----|
dune rousee.	|--|-----||
dontmeter st ilmafacesi	---|-|---⌫-|-|-|---|-|
e stu couelyas	-⌫|-|--|----|
-nen i ldistil ien esuimieelyas	|---⌫-⌫|---|-|-|-⌫|--|--|----|
ains suii hesus cuitu ense ue l is.	---|--|-⌫----|--|-|----⌫--⌫-⌫-||
-m oustrés	|-⌫-------|
moidisiel e	--|--|-|-⌫|
monumentuie tenseu eli.	-------||-||-----⌫--||
d ontme prist ilpar la	-⌫--|-|----|-|--|-|
simamen a la uiel	-||----⌫|-||-||
enseuelisi m emoustra le	-------|-|-⌫|------|-|
drapetlesydo inedon ti e	---|-|-|----⌫--|---⌫|-⌫|
lie nuolepai sonchief.	-|-⌫-------|--|----||
do ntconnu c i eke ceestoiti hesussi l aorai	--⌫-|-----⌫|-⌫|-|-|-----|-⌫----|-||----|
etdisbeneoissoiestuk i	-|--|------|----|-|-⌫|
uenis elno n dedame deu.	----|-|--⌫|-|----⌫--||
ill uecmepristilsi menme na	---⌫--|-|----|-|-||-|--⌫-|
enarimachieenmama isonsi me dist	-|--------|-|-|--⌫---|-|-|---|
pais soit a toiioseph	---|---||--|-----|
iusquayy i ors neteremue d eta	----||-|-⌫--|-|-|----|-⌫|-|
quantc eoirentliprinceetli	----|-⌫|-----|-|-----|-|-|
prest reet	-----⌫-|-|
lidiacredela loilamerue lleke iosephauo i t	-|-----|-|-|--|-|-----⌫--|-|-----|---⌫-⌫|
contee sif urenttuitesbahi et disoienten tr euxquele	-----|-|-⌫----|---|-----|-|-------|--⌫-|--|----|
meruelleest auenue	-------|--|-----|
quele enseigne	----|-------|
nosa dexfaite	--||--|----|
iaconnoissons bien lepereet la mer e	-|----------|---|-|---|-|-|---⌫|
d o ntsele uasus unsdiacre	-⌫-⌫-|-|--⌫-|--|--|-----|
ie connois bien distilsonlin ageetbien	-|------|---|---|-|--|---⌫--|-|---|
sa i kesiparent aimentdeu	--⌫|-|-|-----|-----|--|
etcriement	-|-------|
etsou ent son taltempleet son t enorisonset	-|---⌫--|---⌫|-|-----|-|---⌫|-|------|-|
f ontsacrefice adeu	-⌫--|--------||--|
quantliuielzprestressym eonloffri s or	----|-|----|-------|---⌫--||----|-⌫-|
lireuintlau euesi	-|-----|-|-⌫--|-|
escri aet dis tsireor l aiss e	-----⌫|-|---⌫|---|-|-⌫----⌫|
tonserf empaiscarmi oelontueut on	--|---|-|---|--|-|--|--|--|-⌫-|
filkies tnostre	--|-|--⌫|-----|
sa lueresketu a saparellié etenuoiédeuant	--⌫-----|-|-|-⌫|---------|-|------|-----|
toutelagent.	----|-|---||
ce estlalumiere	-|--|-|------|
decoitouteg ent	-|--|----|-⌫--|
etce er tdoupuepleisrael .	-|-|--⌫|--|-----|-----||
ce dists ymeondeihes u.	-|---|-⌫----|-|----⌫||
encoredist	-----|---|
il seret ornaasamerem ariec istenfes	-|-|---⌫---||-|---|-⌫---|-⌫--|----|
dist ilest uenusporles mauuais	---|-|--|----|--|--|------|
fairetrebuchieret porlesbonsfaire	----|---------|-|--|--|---|----|
et siporteraune	-|-|------|--|
enseig ne contre diteceest lac roiske toutesle sgens	------⌫-|------⌫---|-|--|-|-⌫---|-|-----|--⌫|---|
hao ient tant.	---⌫---|---||
et t uen auras sigrantd u el	-|-⌫|-|----|-|----|-⌫-⌫-|
kesonte fe roit	-||-|-|--⌫---|
dunegla iue parmi le corsnaurois tumie	|--|---⌫--|----|-|---||-----|-|--|
gr eg nor .	--⌫--⌫--||
quant lidiac res otceditd ont	----|-|----⌫--|-|-|--|-⌫--|
disentli iuif ore enu oionsa ces trois	-----|-|---|--|---⌫----||--|----|
k i dis ent k il	-⌫|---⌫--||-|
le u irentsuselmo ntol iuetparlera	-|-⌫----|--|-|--⌫-|--⌫---|-----||
sesd is cip les	--|-⌫--⌫---⌫--|
c iliuinrent.	-⌫-||------||
lenlordemanda	--|--|------|
de ih esu .	-|--⌫--||
ildisenttuitd une bouc e	-|-----|---||--|----⌫|
killauoien tueu parlera ses	|-||------⌫|--|-----||--|
discip lesetsi leui rentm ontere l	------⌫--|-|-|-|--⌫---|-⌫----|-⌫|
liprincefirent d ont	-|-----|-----|-⌫--|
prendrecelscascunpar	------|---|-----|--|
luisilo rdemanda ondeihesu.	--|-|--⌫|------|-|-|----||
unsendist.	--|-|---||
siendistli	-|-|---|-|
dont distann aset kayfasce	---|---|---⌫-|-|-----|-|
otroidientcedoit	|---|----|-|---|
estre es table.	----|--⌫----||
ce trouons nous	-|------|---|
diro nsnous	----⌫-|---|
nous s auonsbienke	---|-⌫----|---|-|
iosephfubi endedeus ike ilen f u	-----|-|--⌫-|-|--|-⌫|-|-|-|-⌫|
portésouciel	------|-|---|
nousnoimesdire um oysesf u e nf ouis	---||----|---||-⌫----|-⌫|-⌫--⌫---|
deh elyesleprop het enosn esauons noient	-|-⌫----|-|----⌫---⌫|--|-⌫|-----|-----|
de s amort	-|-⌫|---|
noussauonsbie nkei hesus	---|-----|---⌫|-|-⌫----|
fuliu rés apylate.	-|---⌫---||-----||
il f ubatusetescop iz etco ronés	-|-⌫|----|-|-----⌫-|-|--⌫-----|
etcr ucefiiezetfe rusdelalanceet	-|--⌫-------|-|--⌫--|-|-|----|-|
mise lsepulcre.	--|-⌫|-------||
etiosephdistkille uitpuis	-|-----|---||-|-|--|---|
et tro ihome	-|---⌫|---|
apres temoigni erent	----|--------⌫----|
uiren tparlerases disciple set	-----⌫|-----||--|--------⌫|-|
monter e lciel	-----|-⌫|---|
uoire distioseph moltuouspoezesmerue l l ierd	----|---|-----|---|---|---|-------⌫-⌫-⌫--||
autrecos ecar il	----|---⌫|--|-|
nestmie seuzresuscitésmaismolte n	|--|--|---|----------|---|---|-⌫|
i a des re leuezapresl ui kisont tout	||--|--⌫----|----|-⌫-|-|---|---|
uife tsilesa len	--|-⌫|-|--||--|
ueuzalerenie rusa le m.	---|---|-|--⌫----⌫--⌫||
etbie nsauonskesyme onk ideu	-|---⌫|-----|-|----⌫-|-⌫|--|
p resentaeltempleilauoityyfr eres	-⌫------|-|-----|-|----|-|--⌫---|
germainse tm ortestoient.	-------|-⌫|-⌫--|-------||
etbiensa uon su il	-|---|--⌫---⌫||-|
fure ntenfouis .	----⌫-|------||
alés etsiueéslorsepulture s	----|-|-|----|--|---------⌫|
etlorfosses car ouertes	-|--|-----|--|------|
ci lsontre leuéetsi	--⌫|---|--⌫----|-|-|
main ent enla citedarimachietuit	----⌫--|-|-|---||--------|---|
uiuantettoust ans sonten	-----|-|---|-⌫--|---|-|
maisil nep ar olentanuluiainssonttoutmuz	---|-|-|-⌫--⌫----||----|---|---|---|--|
uenés et si	-----|-|-|
eu sagra nthonorancesi l es a menr ons	--⌫||---⌫-|--------|-|-⌫-|-⌫----⌫--|
a sm aistressi lesconiurron sde	-⌫|-⌫------|-|--|---------⌫|-|
deuomnip otent	--|-----⌫----|
etilparleront anousetdiront	-|-|--------||---|-|-----|
c omment il	-⌫-----|-|
sont resu sc ité .	---|----⌫--⌫---||
quantce oirent annasetkayfaset	----|-|-----|----|-|-----|-|
nic odemusetgamaliel	---⌫-----|-|-------|
sial e rent	-|--⌫-⌫---|
sepult uressiles trouerentouu erte s.	------⌫---|-|--|--------|---⌫----⌫||
ado ntaler entenla cite	---⌫-|----⌫--|-|-|---|
d arimac hie .	|------⌫--||
lal est rouere nt eno risonsanuz genous	-|-⌫-|-⌫------⌫-|-|-⌫-----||--|-----|
aterr ee tlaterre baisoient et	|----⌫|-⌫|-|----|--------|-|
pluscrem oien tdeu o reke de uantl aresurrectio n.	---|----⌫----⌫|--|-⌫-|-|--⌫---|-⌫|-----------⌫||
dontlespr isentlimaistred ela lo ikila	---|--|--⌫----|-|------|-⌫|-|--⌫|-|-|
es toientuenusilesmen erent enla synagogheenierusalem	--⌫-----|---|-|--|---⌫----|-|-|--------|-|--------|
etsi clostonles po rtes silormis t	-|-|----|-|--|--⌫---|-|--|---⌫|
onle liure	-|-|----|
delal oientrelormain s s ilesc oni uraon	-|-|-⌫-|----|--|----⌫|-⌫|--|-⌫---⌫--|-|
deparceluideukic ele loi auoit doneek	-|--|----|--|-|-⌫--|--|----|----||
ilten oientetki	-|---⌫----|-|-|
parl a loietpar les prophete s	--|-⌫|--|-|--|--|--------⌫|
enarrierealorancissorsparléseilcreoient	-|------||--|--------|-----|-|-|-------|
ence luiki lesauoit	-|--⌫--|-|--|----|
re suscitésdemo rtet k eildesiscentcomment	--⌫--------|-|--⌫-|-|-⌫|-|--------|------|
ilestoientresuscitéet qu elcose ilcreoient	-|-------|---------|-|--⌫-|---|-|-------|
dour esusc i tement .	--|-⌫-----⌫-⌫-----||
quantkary nuset leuiciuslid ui	----|----⌫--|-|-------|-|-⌫-|
frereuir entk ilfurentsidurement c oniure ́ toute	----|---⌫--||-|-----|-|-------|-⌫------⌫|----|
lacharlo rfren istetco m me ncierent a tranble r e ta	-|---|--⌫|----⌫--|-|--⌫-⌫--⌫-------||-------⌫|-⌫||
sou s pirer	---⌫-⌫----|
mo lt fur enttorble ́en	--⌫-|---⌫--|------⌫|-|
euxme i s mes.	--|--⌫-⌫-⌫--||
ilr egarderentuerslecieletfirentlesigned e	-|-⌫---------|---|-|---|-|-----|-|----|-⌫|
