Monsieurl arc euesquede	-------||---⌫------|-|
auecqu e slecontede	------⌫-⌫|-|----|-|
Cha rroloys	---⌫------|
effectauuingtsep t iesmeiour de	-----|-|----|---⌫-⌫----|---|-|
iuilletl anmilquatrecens	------||-|--|-----|---|
soixanteetcinqcesteauantgar de	-------|-|---|----|--------⌫-|
se u in tt rouuer	-|-⌫--⌫|-⌫-----|
M ontleheryoùle conte de	-⌫--------|--|-|----|-|
Pol estoit	--|-----|
Le dictconte	--⌫---|----|
Pol à to utedilligencesignifiaceste uenue	--|-|--⌫--|---------|-------|----|----|
Ch ar roloy squiestoità troislie uesprèsetau	--⌫--⌫-----⌫|--|-----|-|----|---⌫--|----|-|-|
lieuqui auoitesté ordonnépourla bataille	---|--|----|----|-------|---|-|-------|
lu y req uerantqu	--⌫|---⌫-----|-|
ille uint s ecourir	-|-|---|-⌫------|
à toutedillig encecariases toye ntmysà	-|----|------⌫---|--|-||--⌫----⌫-|--|-|
piedhomm es	---|----⌫-|
da rmeset archiersetclosdes on charr oyet	|-⌫---|-|-------|-|---|-|-⌫-|-----⌫-|-|
quedeseti reràluy comme	--|-|-|--⌫--|-|--|----|
i lluyauoitesté ordonnéneluy e stoit pos si ble	-⌫|--|----|----|-------|-|--|-⌫----|---⌫--⌫--|
carsilsemect oit àchemin	--||-|-|----⌫--|-|-----|
queces embler oit fuyttequi ser o itgrand dangerpour	--|-|-⌫------⌫--|-----|--|---⌫-⌫-|----|-----|---|
t out e laco m p aig nie	-⌫---⌫|-|--⌫-⌫-⌫---⌫--|
Ledictcontede	-----|----|-|
Cha rroloysenuoya ioindreauecques	---⌫------|-----|------|-------|
luylebastardde	--|-|------|-|
Bourgognequi s enommo it	--------|--|-⌫|-----⌫-|
Anthoinea uec quesgrantnombre	-------|-⌫---⌫---|----|-----|
de gensquilauoit soub zsa	-|---|-|-|----|----⌫|-|
charge etàgrant dil ige n ceet s e	-----|-|-|----|---⌫---⌫-⌫-|-|-⌫|
deba to itàsoy mesmess il yroit ounon	----⌫--⌫-|-|--|-----||-|----|-|--|
Et àlafinmar cha	-|-|-|--|---⌫--|
aprèsles autres et y arryua enuyron septheur es	-----|--|-----|-||-----|------|---|----⌫-|
dumatin etdesi a y auoi tcinqou six	-|----|-|----⌫||----⌫|---|-|--|
enseigne sduroyquiesto yentarriuée sau	--------⌫|-|--|--|----⌫---|--------⌫|-|
lo ng d ungrantfosséquiestoitentre les	--⌫-||-|----|-----|--|-----|----|--|
deux bandes	---|-----|
Enco resestoit enl	----⌫--|-----|-||
ost ducontede	--|-|----|-|
Charroloysleuicha nc ellierde	---------|-|-----⌫--⌫-----|-|
Bretaigne a p pellé	--------|-⌫-⌫-----|
Rouuilleet unguie i l hommed armes	-------|-|--|---⌫-⌫|----||----|
M adréquiauoit bai llélepon t	-⌫----|--|----|---⌫---|-|---⌫|
Maxence eteurentpeur	------|-|-----|---|
pour lemurm urequ iestoitcontreeulxuoyant	---|-|----⌫--|--⌫|-----|-----|---|-----|
que onest oi tàlabatailleetque	--|-|---⌫--⌫|-|-|-------|-|--|
les g en s dequoyilz s	--|-⌫--⌫|-|---|--||
estoi e ntfa ictz fortz	-----⌫-⌫-|--⌫---|----|
nyestoyentioinctz etse m isdrentles dessu sd itz	||-------|------|-|-|-⌫------|--|-----⌫--⌫--|
auantq uel oncombattist	----|-⌫-||-|---------|
lecheminou ̀ ilpens oie n ttrouuer	-|-----|--⌫|-|----⌫---⌫-⌫|------|
Ledictconte	-----|----|
Charroloys trouualecontede	---------|-----|-|----|-|
Pol àpiedet tous l esautresseme ctoientà	--|-|---|-|---|-⌫-|-----|-|--⌫------|-|
lafillecommeilz	-|----|----|--|
u e noyentettrouuasmes	-⌫-⌫-----|-|---------|
tous l esarch ie r sdeshouzéz chascu nung pauplanté	---|-⌫-|----⌫--⌫-⌫|---------|------⌫|--|--|------|
deuan t eulxetyauo itplu sie urspippes deu in	-----⌫|---|-||---⌫-|---⌫---⌫--|-----|-|-⌫-|
deffoncéesp ourlefaireboyre	----------|-⌫--|-|----|----|
quei ay ue unenuiziamaisqu ieussent	--||-|--⌫||-|--|-----|--⌫|------|
meilleur uoulloir dec ombattrequ imes emble ung	-------|-------|-|-⌫-------|--⌫|-|-⌫----|--|
bienbonsigneet g rant re sconfort	---|--|----|-|-⌫---|--⌫-------|
De primefacefutaduisé quet outsemectroit	-|----|---|--|------|--|-⌫--|-|-------|
à piedetsansnul e xcepter	-|---|-|---|--|-⌫------|
etdepuis muèrentp ropoz c arpresq u e	-|-----|-------|-⌫----|-⌫-|-----⌫-⌫|
tousleshom mes d	---|--|---⌫--||
armesm ontè rent àcheualplusieurs	----|-⌫-----⌫---|-|-----|--------|
bonsche ualliersetescuyersf urent	---|---⌫-------|-|-------|-⌫----|
ordon nézà d emoure ra ̀pied dontm o ns r	-----⌫---|-|-⌫------⌫|-⌫|---|---|-⌫-⌫--⌫|
Co rdesetson fr èree stoientdu nombre	--⌫---|-|--|--⌫---|-⌫------|-|-----|
Philippesde	--------|-|
Lalains estoit mysa ̀piedcarentreles	-----||-----|--|-⌫|---|--|----|--|
B ourguygnonslorssestoyen tl esplushonnorézqueceulx	-⌫----------|---||-------⌫|-⌫-|---|--------|--|----|
quidescendoyent auecqueslesa rchierset tous	--|-----------|-------|--|-⌫------|-|---|
i oursse yen	-⌫---|-||-|
mectoitgrant	------|----|
quantite ́degensde	--------⌫|-|---|-|
bienaf f in quelepeup le	---|--⌫-⌫-|--|-|----⌫-|
enfustplusasseuréetc ombattremye ulxet	-|---|---|-------|-|-⌫-------|---⌫--|-|
tenoien tcelades	-------⌫|---|--|
Angl o ysauecq uesl esquelzle	----⌫-⌫-|-----⌫--|-⌫------|-|
Philippesauo itfait la guerre e n	--------|---⌫-|---|-|-----|-⌫|
Franc edurantsaieunes s e	-----⌫|-----|-|------⌫-⌫|
quiauo it durétren tedeuxa nss anstrèuesma is	--|---⌫-|----|----⌫-|---|-⌫-|-⌫--|------|--⌫-|
le princip alfaiz portoient	-|-------⌫-|---|--------|
Angloy squi estoient richeset puissans et	------⌫|--|-------|-----|-|-------|-|
auoyentsaig e royle roy	------|----⌫|--|-|--|
He nryb el et trèsuail lant qu iauoit saige s	--⌫--|-⌫-|-|----|----⌫---|--⌫|----|-----⌫|
hommes et uaillansetdetrès	-----|-|-------|-|-|----|
g ra n scapitainescom me leconte de	-⌫--⌫-⌫|---------|---⌫-|-|----|-|
Talbo t et	-----⌫|-|
a utresdontieme	-⌫----|---|-|-|
tais car ce nest pointde	---|--|-||--|----|-|
mon tem pscombienquei enayue u des	--|---⌫-|------|--||-|-|--⌫|--|
reliq uescar quant	-----⌫--|--|----|
Dieufutlasdeleurbi enfa i re c e sai ge	---|--|--|-|---|--⌫-|--⌫-⌫-|-⌫|---⌫-|
roy mourut a u bo isde	--|-----|-⌫|--⌫-|-|
uincenn es	-------⌫-|
Sonfilzin se nsé fut	--|---|--⌫--⌫---|--|
couronnér oy	--------|-⌫-|
Franceet d	-----|-||
Angleterreà	---------|-|
Ainsimuèrentlesa u tresde gréz d	----|-------|--|-⌫-⌫---|--⌫----||
Angl eterreetdiuis i onsemist	----⌫-----|-|-----⌫-⌫-|-|---|
entreeulxquiaduréiusqu esauio urduyou	----|---|--||----|-----⌫-|----⌫----|-|
peuse n faulten usur pa ntceulx d ela	--||-⌫|----|-|----⌫--⌫-|----|-⌫|-|
Iort ceroyaulmeoul eurent	---|-|-------|-||-----|
a ̀bontiltreienescaylequelc a rde	-⌫|--|-----|-|-|---|-----|-⌫-⌫|-|
t el leschos e s lepartaigesen faictauci el	-⌫--⌫--|----⌫-⌫|-|-------||-|----|-|--⌫-|
En retournan tàmamatière de	-|---------⌫|-|-|-------|-|
Bourguygnonssestoyentmysàpied	-----------||-------|--|-|---|
et puisremonté zàc heual leur	-|---|--------⌫|-|-⌫----|---|
portagran tpe rtede	----|----⌫|--⌫--|-|
te mpsetdo mma ige	--⌫--|-|--⌫---⌫--|
Etymou rutc e	-||---⌫--|-⌫|
uailla ntetieune c heual iermessire	------⌫-|-|----|-⌫-----⌫--|------|
Phi lip p esde	---⌫---⌫-⌫-|-|
L alainp our e str emala rmé	-⌫----|-⌫--|-⌫---⌫|--|-⌫---|
Le sgensduroyuenoyenta ̀lafille	--⌫|---|-|--|-------|-⌫|-|----|
parla forest	--|-|-----|
T ourfouetnes toientpointqu atrecenshommesdarmes	-⌫-----|-||--⌫-----|----|--⌫---|---|-----||----|
quantnousuin smeset q ui	----|---|---⌫---|-|-⌫-|
eustmarche ́ incon ti nent semble àbe aucoup	---|------⌫|-----⌫--⌫---|-----|-|--⌫-----|
quilneust poincttrouuéde	-|-||---|-----|------|-|
resistanc e c ar c eulx dederriè reny	---------⌫|-⌫-|-⌫---|-|-------⌫-|||
pouoientuenirqueàlafillecomme	-------|----|--|-|-|----|----|
toutesfoistousiourscroissoyent	---------|--------|----------|
uoyantcecy uint cesaige	-----|---|---|-|----|
ch eualie rmonsrde	--⌫------⌫|----|-|
Contaydireàs onma istre monsr de	-----|---|-|-⌫-|--⌫----|----|-|
Charroloys que s i l uouloitgaignerceste	---------|--||-⌫|------|------|----|
bata ill e ilestoittempsqu	----⌫---⌫|-|-----|----|-|
ilmarcha stdis an tl es	-|------⌫-|---⌫--⌫|-⌫-|
r aisons pourquoye tquesi	-⌫-----|---|---|-⌫|--|-|
pl u s tostleus tf aitq ueiases ennemys	--⌫-⌫|---||---⌫|-⌫--|-⌫-|-|--|------|
fussentdesconfitzc a r	------|---------|-⌫-⌫|
il lesauo i ttrouué z enpetitnombre lequelcr oy ssoit	-|--|---⌫-⌫|-------⌫|-|----|-----|-----|--⌫--⌫----|
à ueuedoeil etlauérité	-|---||---|-|-|-------|
e stoit telle	-⌫----|----|
Etalors se changeatoutordre et tou t conseilcar	-|----|-|------|---|----|-|---⌫|------|--|
chascunsemectoit à	------|-|------|-|
en di resonaduis	-|--⌫-|--|----|
etiaest oitcommencée unegr osse	-|-|---⌫--|---------|--|--⌫---|
etfor te es car mouche aub o utduuil la ige de	-|---⌫-|--⌫---⌫-----|-|-⌫-⌫-|-|---⌫--⌫--|-|
Montleherytout ed archiersd	---------|----⌫||-------||
uncosté et dautre	-|-----|-||----|
Ceulxdelapartduroyles	----|-|-|---|-|--|--|
conduyso it	--------⌫-|
R iuière ete stoienttousarchier sdordon nance	-⌫------|-|-⌫------|---|-------⌫||-----⌫----|
or fauerisézet b ie nempoint	--⌫---------|-|-⌫--⌫|------|
Ceulxducosté	----|-|-----|
B ourguygn onsestoientsan s or dreet sanscommandement	-⌫--------⌫--|-------|---⌫|--⌫--|-|---|-----------|
comme uoulentierssecommen cent lesescar mouch esetestoit	----|----------|-|------⌫---|--|-----⌫-----⌫-|-|-----|
à piedaueceu lx monsr	-|---|---|--⌫-|----|
Ph i lippesde	--⌫-⌫-----|-|
Iacq uesdu	----⌫--|-|
Max hom me	--|---⌫-|
bienreno mmépui sgrant	---|----⌫---|---⌫|----|
e scuyerduduc	-⌫-----|-|--|
Bourgo ngne	------⌫---|
Le nombre d es	-|-----|-⌫-|
Bourg uygn onsest o itle plusgran t etgaingnèr ent	-----⌫----⌫--|---⌫-⌫-|-|---|----⌫|-|---------⌫--|
une maison etprindrentd e uxoutroishuys et s	--|-----|-|--------|-⌫-⌫-|-|----|---|-||
e n s eruire ntde	-⌫|-⌫------⌫-|-|
pauoys etcommencèren t	-----|-|------------⌫|
à entre renla ruee tmis trent	-|-----⌫|-|-|--|-⌫|---⌫----|
lefeuenunemaison	-|--|-|--|-----|
L euentlesse ruoitquiboutoit	-⌫|---|--|--⌫----|--|------|
lefeuc ontrec e ulxdu	-|--|-⌫----|-⌫-⌫--|-|
roy lesquelz commencèrentà desempareretà monter àch eual	--|-------|------------|-|---------|-|-|-----|-|--⌫---|
Et s urce bruytetcrycommançaà	-|-⌫-|-|----|-|--|--------|-|
mar cherle	---⌫---|-|
C harrolo y s laissa ntcommeiay	-⌫-------⌫-⌫|------⌫-|----||-|
dittoute o rdre	--|----|-⌫---|
pa rauantdeuis ée	--⌫-----|-----⌫--|
Ilauoitestéditqueonmarcheroi tà	-|----|----|--|--|-|---------⌫|-|
trois foispource queladi stan ce	----|---|---|-|--|-|--⌫----⌫-|
des de uxb a taille s	--|--⌫-|-⌫-⌫------⌫|
e stoitlong ue	-⌫----|----⌫-|
Ceulxdu roy estoi en tuersle chasteaude	----|-|--|-----⌫--⌫|---|-|-------|-|
Montlehery etauoye n tunegranthaye et ungfossé	---------|-|-----⌫-⌫|--|----|---|-|--|-----|
audeuantdeulxoultreestoie nt	-|-----||---|-----|------⌫-|
les champs	--|-----|
pla insdebledze tdefebues	---⌫--|-|----|-⌫|-|-----|
etautre s grainstrèsfortscar	-|-----⌫|-----|----|----|--|
l e t errit oi re	-⌫|-⌫-----⌫--⌫-|
Tou s les archiers d udict co n temarche oient à pied	---⌫|--|-------|-⌫----|--⌫-⌫-|------⌫----|-|---|
de uantluy enmau uaisordre	--⌫---|--|-|---⌫---|----|
c ombienque mo n aduis estque la	-⌫-----|--|--⌫|----|--|--|-|
souuerainechosedumondepourles	---------|----|-|----|---|--|
b ataillessontle s a rchiersmais quilzsoyentparmilliers	-⌫-------|---|--⌫|-⌫------|---|-|--|-----|--|-------|
petit nombre n e uallentriensetque	----|-----|-⌫|------|----|-|--|
ce soyentgensmal	-|-----|---|--|
montézq uinayentpoint deregret	------|-⌫-||----|----|-|-----|
àperdre leursch euaulxou que detous	-|-----|----|--⌫-----|-|--|-|---|
p ointzn en ayent	-⌫----||-|----|
Etuallent myeulxp o ur ungiourencest	-|------|-----|-⌫-⌫-|--|---|-|---|
officeceulx	-----|----|
quiiama isneueirentriensquelesbi enexcercitézet	--|----⌫-|-|------|----|--|--|--⌫-|----------|-|
auss itelleoppin i ontiennentles	----⌫|----|-----⌫-⌫-|-------|--|
Angloysq uisont la	------|-⌫-|---|-|
fleurdesarchersdu mo nde	----|--|------|-|--⌫--|
Ilauoitest e ́dit	-|----|---⌫-⌫|--|
que lon repose roit deuxfoi za u	--||-|------⌫---|---|---⌫|-⌫|
c h emynpo urdonner	-⌫-⌫---|--⌫-|-----|
al laineauxgens	--⌫----|--|---|
depiedpourceque	-|---|---|-|--|
le chemynes toi tlongetles	-|-----|--⌫---⌫|---|-|--|
fr uictzde la terrel o ng s et	--⌫----|-|-|----|-⌫-⌫--⌫|-|
forsqui le s em peschoitàal le rtoutes foiztoutle	---|--|--⌫|--⌫-------|-|--⌫--⌫|------⌫---|---|-|
contrairesef ist	--------|-|-⌫--|
eustuouluperdreàson	---|----|-----|-|--|
Et ence lamonst ra	-|-|--⌫-|-----⌫-|
D ieu quelesbataillessontensama in e tdispo se	-⌫--|--|--|--------|---|-|-|--⌫-|-⌫|-----⌫-|
de lauict oireàsonpl aisir	-|-|----⌫---|-|--|--⌫----|
pasaduisquele sensdunhommesceus t porter	--|----|--|-|---||-|----|-----⌫|-----|
nedonnerordre àungsi	-|-----|----|-|--|-|
grantnombrede	----|-----|-|
q ueleschos estinssentau xchamps	-⌫-|--|----⌫-|-------|--⌫|-----|
comme ellesso ntordonnées encham breetque	----|----|--⌫-|---------|-|----⌫--|-|--|
ce luyqui se stim e roit	--⌫--|--||-⌫----⌫-⌫---|
iusqueslàm e sprendroitenuers	------|--|-⌫-⌫---------|-----|
Dieusilestoit	---||-|-----|
homme quieustraisonnatu re llecombien	----|--|---|-----|----⌫--⌫--|------|
q ueungchas cuny	-⌫-|--|----⌫--||
d oit faire	-⌫--|----|
cequilpeul tet	-|-|-|----⌫|-|
c eàquoy ilest	-⌫|-|---|-|--|
tenuet cong noistre quecest	---|-|----⌫------|--||--|
ungdesaccomp lissemens des oeuur es que	--|--|------⌫--------|--|-----⌫-|--|
Dieuacommancé aucunesfois parpetites o ccasionset	---||--------|------|---|--|------|-⌫-------|-|
mouettes e ten	-------|-⌫|-|
donnantla uictoireau cunes foisàl	------|-|-------|--⌫----|---|-||
un aucunes f ois à	-|------|-⌫--|-|
Et est ce mystèresi	-|--|-|-------|-|
grandque lesroyaulm esetgrans seign eurie s e n	----|--|--|-------⌫-|-|----|-----⌫-----⌫|-⌫|
pre nnentaucunes	---⌫----|------|
foisfin etdes olationetles	---|--|-|---⌫------|-|--|
autresaccrois sementetco mmanc ementderegne r	-----|-------⌫-----|-|--⌫-----⌫----|-|-----⌫|
Pourreueniràladeclaratio nde cestarticl eledict	---|------|-|-|----------⌫|-|---|------⌫|-----|
co ntemarchatoutduneboutée s ansdonne r	--⌫--|-----|---||--|------|-⌫--|-----⌫|
allaine àsesarchiers	------|-|--|-------|
etgensdepied	-|---|-|---|
Ceulxdu roy passèrent cesteha ye par d eux bo utz	----|-|--|---------|----|--⌫-|--|-⌫--|--⌫--|
toushom mesd armeset commeilzfuren tsi	---|---⌫--||----|-|----|--|-----⌫|-|
prèsquegecter les lances enl	----|--|-----|--|-----|-||
arrestleshommes darme sbourg uygnon sro mpir ent	-----|--|-----||----⌫|-----⌫------⌫|--⌫----⌫--|
les a rch iersetpassèrentpardessussansleur	--|-⌫---⌫---|-|---------|--|-----|---|---|
donnerloys i rdetirerung coup	-----|----⌫-⌫|-|----|--|---|
de fle schequi es toitla	-|---⌫---|--|--⌫---|-|
fleur etespe rancede leurarmée cariene	----|-|----⌫----|-|---|-----|--|-|-|
croy pasq uede douz e censhomme s	---|--|-⌫-|-|----⌫|---|-----⌫|
darmes ouenuy ron qu ilzestoientqu	|----|-|----⌫--|-|--|-------|-|
i l eny eus tcinq u an tequi	-⌫|-||---⌫|----⌫-⌫--⌫-|--|
eu ssent sceucoucherunelanceenl arrest	--⌫----|---|------|--|----|-||-----|
Il nye nauoitpas quat re	-|||-⌫|----|--|----⌫-|
cens a rmézde	---|-⌫----|-|
cuy rasses etsy	---⌫-----|-|-|
nauo yent pasungseulseruite ur arméàcause	|---⌫---|--|--|---|-------⌫-|----|-|----|
longuepai x	-----|---⌫|
etq ueencest em aison	-|-⌫-|-|----⌫|-⌫----|
nete noitnullesgensdesoulde	-|--⌫---|-----|---|-|-----|
p our soullagerlepeupledetai lles	-⌫--|--------|-|-----|-|---⌫---|
Etonc quespuisce	-|---⌫---|---|-|
iou r cequar tierneut repoz ius ques	---⌫|-|----⌫---||--|----|---⌫---|
àcesteheurequiestpisqu eiamais	-|----|----|--|--|--|--⌫|-----|
Ainsy rompirenteulx mesmes	----|--------|---|-----|
lafleurdeleure sperance	-|----|-|---|-⌫-------|
Toutesfoiz	---------|
Dieuquiord o nn e de telmys t èreuo ulut que	---|--|---⌫-⌫--⌫|-|--|---⌫-⌫---|--⌫---|--|
lecosté où setrouualedict	-|-----|--|-|-----|-----|
contequiestoità	----|--|-----|-|
la ma indroicteuers	-|--⌫-|------|---|
l e ch asteauuai nquists anstro uuer nulled effenc e	-⌫|--⌫-----|---⌫-----|-⌫--|---⌫---|----|-⌫------⌫|
etmetrouuay	-|-|------|
tousiours ceiour a u ecquesluy	--------|-|---|-⌫-⌫-----|--|
ayan tmo ins dec rainc te	----⌫|--⌫--|-|-⌫-----⌫-|
que ie neuzia maisenl ie u où	--|-||--|--⌫---|-|-⌫--⌫|--|
t rouu assedepuis	-⌫----⌫---|-----|
pourlaieunesse en	---|-|-------|-|
quoy i estoyee t	---||-----|-⌫|
que nauo yen ullecongnoissan ce du	--||---⌫-|-⌫---|-----------⌫-|-|
pe rilmais estoyee sbahicommenulseosoitdeffendrecont re	--⌫--|---|-----|-⌫----|----|--|-|----|--------|----⌫-|
ce princeàquiiestoyeen estim antque	-|-----|-|--||-----|-|-----⌫--|--|
ce fust leplus	-|---|-|---|
grant d etous lesautres	----|-⌫|---|--|-----|
Ain sisontgensquinont point	---⌫-|---|---|--||--|----|
dexperiencedo ntu ientq u ilz so ustiennent	|---------|--⌫-|-⌫---|-⌫|--|--⌫---------|
arguzmalf on d e ́zetàpeu derais onp arquoy	----|--|-⌫--⌫-⌫-⌫-|-|-|--|-|----⌫-|-⌫-|---|
userdel opp in ionde c eluy qui dit	---|-||---⌫--⌫--|-|-⌫---|--|--|
o nnes e repentia maispou rparler	-⌫|-|-⌫|-----|--⌫---|---⌫|-----|
pe umaisbiens ouuentd etrop parler	--⌫|---|---|-⌫-----|-⌫|---|-----|
Ala main sene streestoitleseigneurde	|-|---|----⌫---|-----|-|-------|-|
Rauastin etmessire	-------|-|------|
I acques de	-⌫-----|-|
Poletplusieursautresàqui il	--|-|--------|-----|-|--|-|
sem bloit quil z nauoientpas as sezd hommes	---⌫----|-|--⌫||------|--|--⌫--||-----|
darmespour	|----|---|
sousteni r cequilza uo yentdeuanteulxmais	--------⌫|-|-|--|-⌫--⌫---|-----|---|---|
dès lorsestoye nt	---|---|------⌫-|
siapprochézquiln e fa illoit	-|---------|-|-|-⌫|--⌫-----|
plus parler	---|-----|
dordreno uuelle	|----|--⌫-----|
Eneffetc eulxl àfuren tromp u s à	-|----|-⌫---|-⌫-|-----⌫|----⌫-⌫|-|
plattecoustureetcha sséziusques au	-----|-------|-|---⌫----|------|-|
charroyet lapluspart fuyrentius quesenla	------|-|-|-------|------|---⌫---|-|-|
forest qu i estoit p r ès dede mye	-----|--⌫|-----|-⌫-⌫--|-|--⌫--|
Aucharro yseral l ière ntquelquesgen s d e	-|------⌫|-|---⌫-⌫-----⌫-|-------|---⌫|-⌫|
piedbourgu ygnons	---|------⌫-----|
Lesprincipaulx	--|----------|
de cestecha sseestoientcesnoblesde	-|----|---⌫--|-------|--|-----|-|
Daulphinéet	---------|-|
Sauoys iens et	------⌫---|-|
be auco updegensd	--⌫----⌫-|-|---||
arm esaussiet	---⌫-|----|-|
s eat tendoyentdauoirgaingn é labataille	-⌫|--⌫--------||----|------⌫-|-|-------|
costéy eutune	-----||--|--|
grantfuyttedu costédes	----|-----|-|-----|--|
Bour gu y gnonsetde	----⌫--⌫-⌫----|-|-|
gr ansperson nagesetfuy oient lapluspart	--⌫--|------⌫----|-|---⌫----|-|-------|
pourg a ignerlepont	---|-⌫-⌫----|-|---|
Maxen c eq ui	-----⌫-⌫|-⌫-|
c uydoientqu ilt intencorespoure ulx	-⌫-------|-|-|-⌫--|------|---|-⌫--|
forest y en demourabeaucoupet	-----||-|------|-------|-|
entreautresse	----|-----|-|
yesto itretyrémonsr le connestable qui e stoitas sez	|----⌫-|------|----|-|----------|--|-⌫----|--⌫--|
bienaccompaigne ́	---|-----------⌫|
Lecharroyestoitassezprè s deladicte for est	-|------|-----|----|----⌫|-|------|---⌫--|
Etmonstrab ien depuisquil	-|------|-⌫--|-----|-|-|
e ncores paslachosepourperdue	-⌫-----|--|-|----|---|-----|
Findelabataillede	--|-|-|-------|-|
Mon tlhéry	---⌫------|
L econte de	-⌫|----|-|
C harro loyschassadeson costédemyel ieue	-⌫-----⌫---|-----|-|--|-----|----|-⌫---|
Mo ntleher yetàbienpeu decompaignie	--⌫-------⌫|-|-|---|--|-|---------|
T outesfoisnulne sedefend oite t	-⌫--------|--|-|-|------⌫--|-⌫|
tr ouuoitg ens à gra ndequ antitéetia cu ydoit	--⌫-----|-⌫--|-|---⌫--|--⌫------|-|-|--⌫----|
auoir lauictoire	----|-|-------|
Ung uieilge ntilhommede	--|----|--⌫--------|-|
Luxemb ourg appe llé	------⌫---|----⌫---|
Anthoine le	-------|-|
Bre ton leuint	---⌫--|-|---|
q ueri ret luyd istqueles	-⌫----⌫|-|--|-⌫--|--|--|
Françoissestoy en trallyézsurle	--------||-----⌫--⌫|-------|--|-|
champetques	----|-|--||
ilchassoitplusgu ères il se perdroit	-|-------|---|--⌫----|-|-|-------|
Ilnesearres tap ointpourluynonobstantqu	-|-|-|-----⌫-|-⌫---|---|--|---------|-|
ill uydist	-|-⌫-|---|
I ncontine nt arriuamo nsrde	-⌫--------⌫-|-----|--⌫--|-|
Contay dontcydessu s ayparlé	-----|---|-|-----⌫|-|-----|
dists emblabl es	---|-⌫-------⌫-|
par olles commeluyauoitfaictle	---⌫----|----|--|----|----|-|
ui eil gentilhommede	--⌫--|----------|-|
Luxembourgetsi audacieusementqu ile stimasa	---------|-|-|-------------|-|-|-⌫----|-|
parolle et s onsens	------|-|-⌫-|---|
etretournatoutcourtet	-|-------|---|----|-|
c r oy qu es	-⌫-⌫-|--⌫||
ileustpasséoultred eux traictz d arcquil	-|---|-----|-----|-⌫--|------||--|-|-|
eustestéprinsc omme	---|----|----|-⌫---|
aucunsautresquichassoient	-----|-----|--|---------|
d e uan t luy	-⌫-⌫---⌫|--|
Etpassantparleuillaige	-|------|--|-|-------|
trouuaunefl ottede g en sà piedqui	-----|--|--⌫---|-|-⌫--⌫|-|---|--|
chassaets i	-----|-|-⌫|
n auoitpas cent cheuaux entout	|----|--|---|------|-|---|
Ilnesetournaqueung hom meàpied	-|-|-|-----|--|--|---⌫-|-|---|
donnadunuoulgepa rmyles tom ac	----||-|-----|--⌫--||--⌫---⌫-|
et ausoir s enueitle nsei gn e	-|-|---||-|---||-⌫----⌫--⌫|
Laplus p artdesaut ressesauluèrentpar lesiardinsmais	-|----⌫-⌫--|--|---⌫--|-|----------|--|--|------|---|
celuylàfut	----|--|--|
Commeilpas soitrasibusdu	----|-|---⌫---|------|-|
chaste l ueismes le s	------⌫|------|--⌫|
archiersdel agard eduroydeu ant	-------|-|-⌫|----⌫|-|--|---⌫--|
la porte qui nebougeoient	-|----|--|-|---------|
Ilen fu tf ortesbahy car	-|-|--⌫|-⌫--|-----|--|
il ne cuydoitpoint quil y	-|-|------|----|-|-||
eu st plus ame ded effence	--⌫-|---|--|-|-⌫------|
ettour na àcostépour gaingner lechampoùl uy	-|----⌫-|-|-----|---|-------|-|----|--|-⌫-|
uindre ntcourresu squin zeouseiz ehommesd	------⌫-|-----|--⌫|----⌫-|-|----⌫|-----||
armesouenui ronunepartye	----|-|----⌫--|--|-----|
des siens se s toient	--|----||-⌫-⌫-----|
iaseparézdeluy etde ntréetuère ntson	-|-------|-|--|-||-⌫-----|------⌫-|--|
escuye rtra nchantqu iportoitung guydon	------⌫|---⌫-----|--⌫|------|--|-----|
des esarme sleq uel	-|-⌫-|----⌫|---⌫--|
sappelloit	|--------|
Philippesd	--------||
Etledictcontef utentrès	-|-----|----|-⌫-|-|----|
grantdang ier et eut	----|----⌫--|-|--|
plusi eursc oupsetent re l esautres	-----⌫---|-⌫---|-|---⌫-|-⌫-|-----|
un ga ̀la gorg e d uneesp ée	--⌫|-⌫|-|----⌫||--|---⌫--|
do ntlens eigneluy	--⌫-||---⌫----|--|
e st dem ou rée tout esa	-⌫-|---⌫--⌫---|----⌫|-|
uiepardeff aultde	--|--|----⌫---|-|
sa b auyèrequiluyestoit cheutteet	-|-⌫------|--|--|-----|------|-|
a uoitest é	-⌫---|---⌫-|
malatt a chée dès	--|---⌫-⌫----|---|
l ematin etluya u oye ueucheoiret	-⌫|----|-|--|-⌫-⌫--|--|-----|-|
luyfurentmisles	--|-----|--|--|
mainsdes susdisant	----|---⌫--|-----|
Monsrrende zuous	----|-----⌫|---|
Ieuousc ongnois bien	-|---|-⌫------|---|
neuousf aict es point	-|---|-⌫----⌫-|----|
Tousioursse deffendoitets urce	--------|-|---------|-|-⌫-|-|
deb atl e filz dungmedec inde	---⌫-|-⌫|---||--|-----⌫-|-|
Paris appellé	----|-------|
Cadetquiestoit à luy grosetlo urdeto rt	----|--|-----|-|--|---|-|--⌫--|-|-⌫-|
mont ésurung c heu al	----⌫-|--|--|-⌫---⌫-|
de cestepropre taille donnaautrau ersetles	-|----|-----|-----|----|-|----⌫--|-|--|
Tousceulx du royse retyrèrentsurlebor t	---|----|-|--|-|----------|--|-|---⌫|
dufosséoùil z auoyent este ́lematinca rilz	-|-----|--|--⌫|------|----⌫|-|----|--⌫|--|
