enl ennordelatrinite	-||----|-|-|------|
enflan dre miseet	-|----⌫--|---|-|
furen tlesfrancoisa	-----⌫|--|-------||
burge smors de nuizetm isa deluges	-----⌫|---|-|---|-|-⌫-||------|
dedenzleurslissanz deffiance.	-----|----|--|---|--------||
cefiren til auroyd e	-|-----⌫|-|-|--|-⌫|
francesa n zdesfi ertouzlesocirent .	-----|--⌫-⌫|-----⌫-|---|--|------||
ain sintdeflandressen	---⌫---|-|-------||-|
issirentcelz quieschaperuisen purent	-------|---|--|-------|--|-|-----|
aut re sgenznele s	---⌫--⌫|---|-|--⌫|
sec oururent .	---⌫-------||
sifu e n unioret un main	-|-|-⌫|-|--|-|-|---|
t outeflandremisen lamainde s flamens	-⌫---|------|--|-|-|---|--⌫|------|
siniot leroy	-|||-|-|--|
neiusti cededensflandre s ne	-|-----⌫-|-----|-------⌫|-|
seingnorie.	---------||
etsif ubi e ncloseet ga rniesienf ur ent	-|-|-⌫|--⌫-⌫|----|-|--⌫---|-|-|-⌫--⌫--|
flamenc seingnorle petit	------|-------|-|----|
co m melegreingnorpa r lusag edelombardieeinsise	--⌫-⌫-|-|--------|--⌫||----⌫|-|--------|----|-|
torna lamest rie.	----|-|----⌫--||
celeanneedesus	---|----|----|
nommeeauoitde	-----|----|-|
grant g ent as sem bleedeuant lacitede	----|-⌫--|--⌫---⌫---|-----|-|---|-|
charlescef ist enpeu determe et par	------|-|-⌫--|-|--|-|----|-|--|
arme si atendiqualuil a cite s e	----⌫||-----|-||--|-⌫|---|-⌫|
rendietsonfetainsin t e ntrepristqueautres plusi eurs ch astiax	----|-|--|--|------⌫|-⌫--------|--|-----|-----⌫---|--⌫-----|
mes toriorsne potainsint	--|------|-|--|------|
fere carue nuzli est uncontraire	---|--|--⌫--|-|--|-|--------|
dunechaleu rquelpais uintfo ntain nes tairir	|--|------⌫|-|-|---|---|--⌫-----⌫--|-----|
encouuint do uces euestroubl esu eniretgross esmouche s	-|------|--⌫---|---|------⌫-|-⌫---|-|-----⌫-|------⌫|
auenirplainnesdeueninet d ordure	-----|-------|-|----|-||-----|
qui poin ses toitdel eur pointure illesc ouuenoit	--|----⌫|--⌫---|-|-⌫--|-------|-|--|-⌫-------|
a mourirqueriens n e	|-----|--|----|-⌫|
pouoitga rir.	-----|--⌫--||
ainsiquesuint cestetem pes tequi ne	--------|---|----|---⌫---⌫-|--|-|
lessoitcheuex	------|-----|
entestenedes trier	-|----|-|---⌫----|
nulquinefustmort	--|--|-|---|---|
sien fuc hallesm oltmains	-|-|-|-⌫-----|-⌫--|----|
fo rtacel meschieffuamené	--⌫-||--|-------|-|-----|
ostnotdontest rené f u st de	--||-|---|---⌫----|-⌫-⌫-|-|
destrierqui	-------|--|
fustdepris.	---|-|---||
sii f uadon t entreprisqueilnesotque	-||-⌫|----⌫|--------|--|-|-|--|--|
fered oie .	---|-⌫--||
etado ncfedri zlienuoie unmesagequi li a	-|---⌫-|-----⌫|-|-----|-|-----|--|-||
dist que ilwidast	---|--|-|-----|
sanzco ntredista i nzquil soit pres t sanz d emouree	---|--⌫-------|-⌫-⌫---|-|---|----⌫|---|-⌫------|
dauoi rbataill e ordenee .	|----⌫|-------⌫|------||
q uant charlesouilanouueleq ui	-⌫---|------|--|-|------|-⌫-|
fumie molt belesioth onted erefuseret	-|--|---|---|-|-|-⌫---|-⌫|------|-|
graingno r ho nte	--------⌫|--⌫--|
du ruse r si sepo rpense q ueil	-|----⌫|-|-|--⌫-----|-⌫-|-|
facema ntque	---|--⌫-|--|
fedrice n un eplacetrouuer pouistetluiensembl e	-----|-⌫|--⌫|----|------|-----|-|--|-------⌫|
celim andasicommoisemble	-|-|-⌫---|-|--|--|-----|
q uependantic eleiorne e quede uoitestrel asemblee	-⌫-|------|--⌫--|-----⌫|--|--⌫---|----||-------|
lagentden tr euzpor	-|---||--⌫-|--|--|
bataillerquensembl epo uissentparler .	--------|-|-------⌫|--⌫------|-----||
conseilque	------|--|
etain sicomme il le requist	-|---⌫-|----|-|-|------|
fedrizlen o tetotroia.	-----||-|-⌫|-|-----||
nusd eusconseil	--||--|------|
nienuoiamesa pod egen t assembler ent end ui	||-----|--||-|-⌫|---⌫|---------⌫--|---⌫-|
lesprinc eset p arlerent.	--|-----⌫-|-|-⌫-------||
d istfedrizet	-⌫--|-----|-|
conté acharlesle bi e nlabonte dupa pe	-----||------|-|--⌫-⌫|-|----|-|--⌫-|
quenuersluiauoit	-|-----|--|----|
etqua nt mesirecharlesuoitlentencion	-|---⌫-|-|---|------|---||--------|
quenue rsluiot esbahi fuet nedist	-|----⌫-|--|-|-----|-|-|-|---|
fedr izacharle s r euelémoustré e scritet	----⌫-||------⌫|-⌫-----|-------|-⌫----|-|
s eelécommentlepapelas oloitet	-⌫----|------|-|---||--⌫----|-|
commentlesfrancoi suouloit	------|--|-------⌫|------|
metreamo rt	----||--⌫-|
ao ccisionet toutaceste ent encionenpuil le	|-⌫------|-|---||----|---⌫-----|-|----⌫-|
lesau oitfe t traire	--|--⌫--|--⌫|-----|
nenp uist retraire	|-|-⌫---|-------|
desonpoo irde	-|--|---⌫-|-|
et o cis d es	-|-⌫--|-⌫-|
sycilie ns feussent trestou zsanz	-------⌫-|-------|-------⌫|---|
requeu ure.	------⌫--||
lamo retla	|---⌫|-|-|
boneeuureporquo ysireueniruous	---|----|--|---⌫|---|----|---|
tu itifu ssi ezdesconfi stquanque	--⌫-||--⌫---⌫-|--------⌫-|------|
uous estesroutearoute.	---|----|----||----||
et u ouses tes au	-|-⌫--|--⌫--|-|
po i nt sanz doutes	--⌫-⌫-|---|----||
aubes oing	-|---⌫---|
neuous prenez gardeniln estchose	-|---|-----|----||-||--|----|
au ezcheual	--⌫-|-----|
enestablelairne	-|------||--|-|
uousestpas	---|--|--|
couuenablenauoir ne	---------||----|-|
po ez uos se coursuous nepoe z	--⌫-|--|--⌫----|---|-|---⌫|
fouirlecours .	----|-|----||
noussauons les	---|-----|--|
passagessidem orrezporlesostages	-------|-|---⌫----|--|--|------|
au uous al e papepris	-|---||-⌫|---|---|
adontfucha r lesentrepriscar le xcommun i cationuit	----|-|---⌫-⌫--|--------|--||-⌫-------⌫-⌫-----|--|
l assolutiondu pa pequ afedrizfeso it	|---------|-|--⌫-|-||-----|----⌫-|
co mmees bahizs i se taisoit .	--⌫--|--⌫----|-⌫|-|------||
en apertlescom menioitet	-|----||-----⌫------|-|
puis empreslienuoioit sasolutionseelee .	---|-----|-|-------||--------|-----||
cesteuoiea uoit	----|---|-⌫---|
con trouuee et otporfranc ois metre	---⌫------|-|-|--|-----⌫--|----|
maconscienceme remortcadist	-|---------|-|-----|-|---|
fedriz ie m endeli ure.	-----|-||-|----⌫--||
e t pu is li iurasus	-⌫|--⌫-|-|---|--|
leliuredes	-|----|--|
eua nge lesq u ainsiier esi	---⌫---⌫--|-⌫|----|---⌫|-|
e s tfet encesteman iere deuous	-⌫-⌫|--|-|----|---⌫---|-|---|
metreamortlema rc hie.	----||---|-|--⌫--⌫--||
ch ar l esa meschi ecarc e auoit	--⌫--⌫-⌫-||------⌫|--|-⌫|----|
mandéet escrit lapos toileparsonx x xsi	-----|-|-----||----⌫----|--|--|-⌫-⌫|-|
cou i ntfor nir etplegier l apai sq ue	---⌫-⌫-|---⌫--|-|------|-⌫|---⌫|-⌫-|
karles fist ogieraufrere auro y	-----|---|----|-|----|-|--⌫|
desaint denyse.	-|----|-----||
pluspresmestchar que nestchemise	---|---||--|---|--||--|------|
cadistfedrismonseingnor	||---|-----|--|-------|
charleless onsester bata ille	-----|----⌫--|----|----⌫---|
etsi re tornonsaacortendroit de	-|-|--⌫------||----|------|-|
moiiemiacort	--|-|||----|
b iauc ousin por	-⌫--|-⌫----|--|
lauostream or.	-|-----|--⌫-||
et sel epape	-|-|-⌫|---|
en fe tclamo rle ssons son	-|--⌫|-----⌫|--⌫----|--|
crieretso nbraire	----|-|--⌫|-----|
iaporluine leronsabrairenostrepr oufistcommentqu	-|--|--|-|-----||-----|-----|--⌫-----|--------|
i lniert ia tel	-⌫||---|-|--|
qui lno us ass aille .	-|-⌫|--⌫-|---⌫----||
si suisire p restd	-|--|---|-⌫---||
sicomuous uou drezrecorderietend ra ila	-|--|---|---⌫---|-------|-|----⌫--⌫|-|
uostre ord ena ncepourauoir	-----|---⌫---⌫--|---|----|
pais aceul zdefranc esique de grantet	---||----⌫|-|-----⌫|-|--|-|----|-|
de meno r aiésces tuiior	-|----⌫|----|---⌫--|--|
q uant karl esu it l umilite d efedriz et	-⌫---|----⌫-|-⌫-||------|-⌫|-----|-|
laueriteet la grantloyaut ede	-|-----|-|-|----|------⌫|-|
luisis estiointlors plu spresde	--|-||--|----|---|---⌫|---|-|
sebaisieren t enlabouche	-|---------⌫|-|-|-----|
ainsintlu n	------||-⌫|
alautresetouche etiurent	||----|-|-----|-|-----|
queleurspaisferontneplu senguerr enes eront	--|----|---|-----|-|---⌫|-|-----⌫|-|-⌫----|
siont acordéquen	-|--|------|-|-|
ce zi llef edriz nau rac hasti aun e uille	--⌫--⌫--|-⌫----||--⌫-|-⌫-----⌫-|-⌫|----|
mesquepar man ierede	-----|--|---⌫---|-|
etainsint lecons e ilregardequed ant fedrizc el e	-|------|-|----⌫-⌫-|------|--|-⌫--|-----|-⌫--⌫|
te nd ra iusquata ntquelenl irendrauneautreterre en	--⌫--⌫-|----|---⌫----|--|-⌫|-----|--|----|----|-|
her ita ge .	---⌫---⌫-||
cedeuoi till omage fe reau roy	-|-----⌫|-||----|--⌫-|-|--|
etsessuc cesseursetduroyaume	-|--|---⌫-------|-|-|------|
leshonneurs etl e n onde roydelessoit	--|-------|-|-⌫|-⌫-|-|--|--------|
et seingnorconnoisso it l i roy kar lesatouziors	-|-------|---------⌫-|-⌫|--|---⌫--||---|---|
alercontrelui	---|-----|--|
fort erece schastiax ci tezafedriz	----⌫-----⌫|-------|--⌫--||-----|
t ouzauroy	-⌫--|-|--|
riensnidust	----|||---|
auoir que sonuiure.	----|--|--|----||
ainsidurent	----|-----|
e stre deliure et a cechascun d	-⌫---|------|-||-|------||
eulz sencline.	---||------||
sien otfedric	-|-|-|-----|
lasai sine porgarde etlaprosperi teauroy	-|---⌫---|--|----|-|-|--------⌫-|-|--|
sisonten amistetornéquifur ent	-|---|-|-----|-----|--|---⌫--|
anemi riensnestq ui uaillebona m i	----|----||--|-⌫-|-----|--|-⌫-⌫|
etporce quece fustplusferme	-|--|-|--|-|---|---|----|
faireen dur ent un po ide termem ariage les	----|-|---⌫--|-|--⌫|-|----|-⌫-----|--|
deuzparties	---|------|
sonteinsi part ies.	---|----|----⌫--||
etlepapeceste	-|-|---|----|
espro uuémesfere nosaaut rechose necontredire.	-----⌫---|--|---||--|---⌫-|----|-|---------||
sisetenoitil bi ende	-|-|-----|-|--⌫-|-|
rire quantil ot fa il li a	---|----|-|-|--⌫--⌫-||
de grantduelesttourn éenp esmequan tn e	-|----|---|--|-----⌫-|-|-⌫---|----⌫|-⌫|
fufetesapensee	-|---|-|-----|
maucuer au oitpenseedela noblecheualerie.	--|---|--⌫--|-----|-|-|----|---------||
mesacelz cui die xdonneaiene	--||---|--|---⌫|----|--|-|
derreniernulnu ireetlendistque cil	--------|--|--⌫--|-|--|---|--|--|
nepue tf uirequi l est alonsa breulez.	-|---⌫|-⌫---|--|-⌫-|-⌫----||------||
etmai nte s g enzs ont reculezdacomplirleur	-|---⌫---⌫|-⌫--|-⌫--|------||-------|---|
mauuez penser	-----|-----|
por ce quele	--|-|--|-|
contrepenserleurpen see quiests enestrene leurdelesse	-----------|---|---⌫--|--|--|-⌫------|-|---|------|
afi n metre .	|--⌫|----||
cine pot lepapeparfereceq u	-|-|--|-|---|------|-|-⌫|
ilcuidoitdesfrancoisfere .	-|------|--|-------|---||
charlesneuolt	------|-|---|
pl us seiornerancoi spensadu	--⌫-|-------|-----⌫|----|-|
retorn er.	------⌫-||
quelm erueille	---|-⌫-------|
a cha scunoisiau est toriorsson ni leplus	|---⌫---|-----|--|------|--|-|-|---|
mesautorner d edant	--|-|-----|-⌫|---|
fedriz perdi	-----|----|
char les l	----⌫--||
emp ererizieha nauec dehar ecourt quimestres	---⌫-----|----⌫|---|-|---⌫-----|--|------|
estoitde sa	-----|-|-|
courtetmaint	----|-|----|
au tresdemaladi e quisaralesnons	--⌫---|-|------⌫|--|---|--|---|
silesdi e.	-|--|--⌫||
ainsien francesen	----|-|-----||-|
r euin tc ou rroucié	-⌫----⌫|-⌫--⌫-------|
ferel e couuint .	---|-⌫|------||
de safamequeperdueot	-|-|---|--|-----|-|
se confortalemiex	-|-------|-|---|
cel andeyyetz z	--|-|-|-|-|-⌫|
sassemblere nttuitlicommun des uillesdeflandre set	|----------⌫-|---|-|-----|--|-----|-|-------⌫|-|
fi ren t a ncois disiemes cont refirentenflandresun roy	--⌫---⌫|-⌫----|--|-|--|----⌫-------|-|-------|-|--|
denouelpa r orgueilboba nce et re uel.	-|----|--⌫|------|----⌫--|-|--⌫--||
onques meste l for senerienefudete le	-----|--|--⌫|---⌫------|-|-|-|--⌫-|
gentoiequilorpropre seingnor lessi eren t	---|--|--|--|-----|-------|-----⌫----⌫|
uil ainroyesleueren t	---⌫--|--|---------⌫|
et tournere n tunecont ede f e t s an zdroiten royaute	-|--------⌫-⌫|--|----⌫|-|-⌫-⌫|-⌫--⌫|----|-|------|
si orentroymesraatiaucariln	-|----|--|--|------|--|-||
o tcitenechastiau	-⌫|---|-|-------|
porcefumaufondésuspierre	--|-|-|--|-----|--|-----|
lor royquil	--|--|-|-|
firentotnon	-----|-|--|
pierre ungras	-----|-|---|
uila infelonetgra ntetotseurn on	----⌫-|----|-|---⌫-|-|-|-----⌫-|
detisserant.	-|--------||
cour toisestoitlarges	----⌫---|-----|-----|
iolis porcefuila roy	----|--|-|-|-||--|
meslesio lisn e f ontp as toutil	--|--|--⌫--|-⌫|-⌫--|-⌫-|---|-|
semetentplustost au boutpor	-|-----|---|---|-|---|--|
fuir eq uemm ipourcomb at re .	----⌫|-⌫|---⌫|---|----⌫--⌫-||
furen tflamensfolz	-----⌫|------|---|
etnatre qui d un c hetifet dun	-|----|--||-|-⌫----|-||-|
ui lain firen tlor	--⌫---|-----⌫|--|
seingnorsou uerai net foybaillie re nt etfiance de lui	-------|---⌫-----⌫|-|--|-------⌫--⌫-|-|-----|-|--|
f ere obedianceetdaueclui	-⌫--|--------|-||---|--|
mourir e tuiure .	-----|-⌫|----||
s ienfurentbien de	-⌫|-|-----|---|-|
sens yure quant il li	---|---|----|-|-|
firentteloffe rtedamage i	-----|--|----⌫--|-----||
onteu et perte .	--|-|-|----||
etli royplai n	-|-|--|----⌫|
sauoir leurpramistaussicefu uoirquil	-----|---|------|----|-|-|---|-|-|
lesgarde r oitsanzmeschief.	--|-----⌫-⌫--|---|-------||
mesilleurment ipar monchief	--|-|---|----⌫|--|--|----|
nesipotestandre	-|-|--|-------|
sinepotcequil	-|-|--|-|-|-|
pramistrendre.	------|-----||
bi eni parustamo nsempeureoufla menz fuir ent	--⌫-||-----||--⌫-|-|----|-|---⌫---|----⌫--|
com lie uree t lorr o y deuanttoutlecour s	--|---⌫--|-⌫|--|-⌫-⌫|-----|---|-|----⌫|
q uine lorpotfe resecoursquiainsiprametet	-⌫-|-|--|--|--⌫-|------|--|----|-----|-|
n esoltlecuerdesonam ise	-⌫|---|-|---|-|--|--⌫|-|
ch ascu n tost ordene	--⌫----⌫|---|-----|
etdeuisemesauparfai reestla mestrise	-|-----|--|-|------⌫-|--|-|-------|
lorpota fi nmetrepo r	--|--||--⌫|----|--⌫|
ce fu i l f oldepr ame tre.	-|-|-⌫|-⌫-|-|--⌫---⌫--||
encel te mps	-|--|--⌫--|
d incar nation ore ntentreuz	|-----⌫-----|---⌫-|---|--|
con t entioncordelie rs	---⌫-⌫-----|--------⌫-|
car li unsuo u loient	--|-|--|--⌫-⌫-----|
pro preauoircar i lsedouloi e nt por ce	---⌫--|----|--|-⌫|-|------⌫-⌫-|--|-|
q ue p oilenleurfe soitd echarite	-⌫-|-⌫-|--|---|--⌫---|-⌫|------|
dis oit des cor delierslagrantpartiequa	---⌫--|--|---⌫------|-|----|-----|-||
cen acorder oientmiequi l	-||-------⌫----|--|-|-⌫|
e uss entprosperiteme s	-⌫---⌫--|---------|--⌫|
uouloien tenpourete uiuresi c om	--------⌫|-|------|----|-|-⌫-|
o rdonn e.	-⌫-----⌫||
pap elo rordonnee tleur adist par	---⌫|--⌫|------|-⌫|---||---|--|
telmaniere uousalezauantet	--|------|---|---|----|-|
arrier eno ncan tde ihesu cristla	------⌫|--⌫----⌫|-|----|----|-|
loyetporcroist re lanostrefoy	--|-|--|------⌫-|-|-----|--|
qui es tou	--|--⌫|-|
mond e refroidiecar l ennequ iert	----⌫|--------|--|-⌫-|-|--⌫---|
huiqueboisdie .	--|--|------||
lennacure depreesche u rs mes	--|||---|-|--------⌫-⌫-|--|
losengiers etlobeeursontlorcheuance ausi ecle	---------|-|-------|--|--|-------|-|--⌫---|
lesreligionslendeboutee tp uis que	--|--------|--|------|-⌫|-⌫---⌫--|
let empssedesuoie i l	-|-⌫---|-|------|-⌫|
couuient q uelen lesporuoie	-------|-⌫-|--|--|------|
s el onc ceque le	-⌫--⌫--|-|--|-|
tempssec hange .	----|-|-⌫----||
uousaleznusp iezet enlange s entre	---|---|--|-⌫--|-|-|-----⌫|----|
cesprel az estes moltt raueil l e z et	--|----⌫-|----|---|-⌫------⌫-⌫-⌫|-|
ce que doiu ent feref aites ne d e ulz	-|--|----⌫--|---|-⌫----|-||-⌫--|
merciezuous nenestes .	------|---||-|----||
il nefontque boiure etmengier	-|-|---|--|-----|-|------|
uiureuousestuetadangier	----|---|-----||------|
ouizne stes neescoutezmes escharnis	---||-⌫---|-|-------|--|--------|
etdeboutez il ont la c hare t	-|-------|-|--|-|-⌫--|-⌫|
la toison a	-|-----||
uousdefaut il	---|-----|-|
laf o ison.	-|-⌫-⌫---||
plusgran z	---|----⌫|
curesmetent	----|-----|
nefont esarmes d esgr an zr obesdesg ra nzatours	-|---|-|----|-⌫-|--⌫--⌫|-⌫---|--|-⌫--⌫-|-----|
mercenniersontnon pas pastours car il ne quieren t	---------|---|--|--|-------|--|-|-|-------⌫|
quelalainne l e	--|-|-----|-⌫|
proufistont etuo us	-------|--|-|--⌫-|
lapain n e.	-|----⌫-⌫||
pastourssontmes	-------|---|--|
c est pourelzpes tre	|--|---|--|---⌫--|
dontmaints on t qu ine	---|----|-⌫--⌫|--⌫|-|
seuent le stre	-----||-⌫---|
etuo usesteslor chapelain mes au paieruoussont	-|--⌫-|----|--|--------|--|-|----|---|---|
et nat urecou uient	-|---⌫--|---⌫----|
p orce uou s	-⌫-|-|---⌫|
couui ent adeliurequen emesoit de uous nié	-----⌫--||------|--|-⌫|-|---|-|---|---|
uous a iez	---|-⌫--|
e sp arnie ́	-⌫--⌫-----⌫|
etenpresa ntle	-|-|-----⌫-|-|
maportezetde	|------|-|-|
lem ploiernedoutezcaruostre	|--⌫-----|-|-----|--|-----|
proufistenferaietmonhon nor i garderai	-------|-|----|-|--|---⌫--||-------|
lechantlefai zport ezdu ior .	-|----|-|---⌫|----⌫-|-|--||
et cesmoin nes ontl e	-|--|----⌫--|--|-⌫|
se iorgroz et	--⌫--|---|-|
etbienrenteze t u oient queuou s demente zde uostre	-|---|-----|-⌫|-⌫----|--|---⌫|-------⌫|-|-----|
u i ure et	-⌫-⌫--|-|
ne uous oient.	-|---|----||
ilcouuient que uisitezsoient et	-|-------|--|------|-----|-|
leurgranthabondancel en uo usface aucune pitanc e.	---|----|---------|-⌫-|--⌫-|---|-----|------⌫||
di sm e s ontet	--⌫--⌫-⌫|--|-|
mala derie s sis o nt	----⌫-----⌫|-|-⌫-⌫-|
plainneslorabeie set	-------|--|-----⌫|-|
ont gr an gesetpriorez oud iex est	--|--⌫--⌫--|-|------|-|-⌫--|--|
sico uient	-|--⌫----|
que lenlesretranch epor	--|--|--|--------⌫|--|
cequ il ontuersuo usma inclanche .	-|-|-|--|---|--⌫-|--⌫-|------||
quantcestenouele ontoui	----|----|-----|--|--|
lifrer e enfurent esio ui	-|----⌫|-|-----|----⌫-|
quelque semblan tquechascunface .	------|-------⌫|--|------|---||
trop b iencuide ntqu ebonifac e lorueillea umosne	---|-⌫--|-----⌫-|--⌫|-------⌫|--|-----|-⌫-----|
m es il ne pense	-⌫-|-|-|----|
qu aluit r airetoute l	-||--|-⌫-⌫---|----||
espargneetmoiss on.	-------|-|-----⌫-||
aussi prest	----|----|
com l ieureen boisson	--|-⌫----|-|------|
aparailliéfusdeulzaidie r.	----------|--||---|-----⌫||
sif u rent prisen lor cuidier.	-|-⌫-⌫---|---|-|--|------||
seingno rsca ce l auoirmolt	-------⌫-|-|--⌫|----|---|
bie nuousrenterai d eu oir.	---⌫|---|-------|-⌫|-⌫--||
e t ce lztantostliaporteren ttantd	-⌫|--⌫-|------|-|---------⌫|---||
argent q ues bahis enierentceulz	-----|-⌫|--⌫----|-|-----|----|
quilaf ur entli rich e	--|-|-⌫--⌫--|-|----⌫|
hom me etde lauoir et	---⌫-|-|-||----|-|
quantlargent uis t ettintle pape	----||-----|---⌫|-|---|-|---|
apa s poour quilliescha pe	|--⌫|----|-|-|-|-----⌫-|
sile ura dis tparsa intgermain	-|--⌫-||---⌫|--|--⌫--|------|
uousna urezne huinedemain c estargent	---||-⌫---|-|--|-|-----|-⌫--|-----|
porchaciezdelautr eet retornezenuostrepia ut re	---------|-||----⌫|-|-------|-|-----|---⌫--⌫-|
ou a uezuous	-|-⌫--|---|
pri stantdargent	---⌫|---||-----|
pasne uoustienga bon ege n t	--|-|---|----||---⌫|--⌫-⌫|
cestargent cesttresor auezpar	---|-----|---|-----|---|--|
lesg enz queuo usdeceuez	--|-⌫--|--|--⌫-|------|
de pri nces	-|---⌫---|
declers etdelai sprenez uos testamen z	-|----|-|-|---⌫|-----|--|--------⌫|
et l ais dontuousauez la grant pec cune.	-|-⌫--|---|---|---|-|----|---⌫---||
bonneuille n ai lnaisuneou nesoiez	----|----|||-⌫|---|--|-|-|----|
misetplantezen	--|-|------|-|
c restie ntezpor auoire xec utio ns.	-⌫------⌫---|--|----|-⌫---⌫----⌫-||
toute sa utres relig ions	-----⌫|-⌫----|-----⌫---|
ausiauezcom en	---|---|--|-|
cil quisa foymentet	--|--|-|--|---|-|
guerpitn edo itnulpreudommeloue r	------|-⌫|--⌫-|--|--------|----⌫|
nauezuoustozuoulu uo er	|---|---|--|----|--⌫-|
po ure tee tobedianceaihe sucrist et	--⌫---⌫-|-⌫|--------||---⌫-|----|-|
contena nce	-------⌫--|
uous uou suoulez	---|---⌫|-----|
malatorner quant	--|------|----|
ausiecleuou lez	-|-----|---⌫--|
lesc ripture uousenarguepar celui	|---⌫------|---|-|----|--|----|
q ui tient	-⌫-|----|
lacharrue e t puisderriere	-|------|-⌫|---|-------|
soiregard e .	--|------⌫||
ietienguostregentamusarde	-|----|-----|---||------|
escr ipturee tdroit uousreprent ausi	----⌫-----|-⌫|----|---|------|---|
comlechie n quir e p rent ce	--|-|----⌫|--|-⌫-⌫-⌫---|-|
quila getéd esoncors.	-|-||----|-⌫|--|---||
deceenzale z	-|----|---⌫|
horsetuo str e ordr e	---|-|--⌫---⌫|----⌫|
bien maintenezace qu	---|--------||-|-|
auez siuous xx x	---|-|---|--⌫|
soiezap oureteamiscar	----||-⌫-----|---|--|
ai n sintlauezuous	--⌫-⌫---||---|---|
po rtrentesolzporuint pordispram e tezaus	--⌫|-----|---|--|---|--|--|----⌫-⌫--|--|
g en z paradismesque aese	-⌫--⌫|------|-----||--|
soientlif rere	-----|-|-⌫---|
l espiezau a ntl a	-⌫-|---|--⌫-⌫-|-⌫|
testearrereen paradisles metez	----|-----|-|------|--|----|
sainsquiso nt demauuestieztou zpla ins .	----|--|--⌫-|-|---------|---⌫|---⌫--||
lescommeniuousabsolez	|--------|---|------|
ain sinttoutlemondeafole z partruff es etpar	---⌫---|---|-|----|-----⌫|--|-----⌫-|-|--|
burelu res .	------⌫--||
auezchi ezuousles	---|---⌫-|---|--|
sepulturesdont pouressontprestres	---------|---|-----|---|-------|
curezsileursbrebisauez curéetceulz	----|-|----|-----|---|----|-|----|
quisont deuostr e siteq uiainsi	--|---|-|-----⌫|---|-⌫-|----|
ir ont q uit e .	--⌫--|-⌫---⌫||
trestout esordres mendiensestiuia x so lersaliens	--------⌫-|-----|-------|-------⌫|--⌫---||----|
uisi terai co mm entqu	----⌫----|--⌫--⌫----|
ilaille etdugrain ost eraila	-|----|-|-|----|---⌫---|-|
pai lle etquipramete t	---⌫--|-|--|-----|-⌫|
soltlecuerdesonamisetolt	---|-|---|-|--|--|-|---|
estdeuolen temes s oldrec est	--|-|-----⌫-|--|-⌫----||--|
necessite.	--------||
ainsintper di rentlo r auoir .	------|---⌫--⌫---|--⌫|----||
sitiengtouzcelz anonsauoir	-|----|---|---||--|-----|
quimoustrentleleu r	--|--------|-|---⌫|
enc esc or deliersbien apert	-|-⌫-|-⌫--⌫------|---|----|
lortresor perdirentcar a	--|-----|--------|--||
l apostoilele direntde tozapaiz	|--------|-|-----|-|--||---|
cilquise tait etquires pon tsi	--|--|-|---|-|--|---⌫---⌫|-|
alepla it.	|-|---⌫-||
c elea nneefulombardie	-⌫--|-⌫---|-|--------|
derich e cesmoltapourieporceque n uln	-|----⌫-⌫--|---|------|--|-|--|-⌫-||
aloitaromme	----||----|
c iprelasmi st le	-⌫|-----|--⌫-|-|
roylorbomme	--|--|----|
sinoserent p asser les	-||------|-⌫----|--|
lorscommancierentleurssermonsafere cheualiers	---|------------|----|------||---|---------|
sip e rdirent	-|-⌫-⌫------|
leur a udianceclerssifuren tmisauant	---|-⌫------|----|-|-----⌫|--|----|
laisetsusdiuin ite	---|-|--|-----⌫--|
l eslaisles	-⌫-|---|--|
buez derrieres la charru e .	---|--------|-|------⌫||
c estarguementsisarguetout	-⌫--|--------|-||----|---|
droit xx xdon tle	----|--⌫|---⌫|-|
clergie est auillé et tornédeuerslamain	------|--|------|-|-----|-----|-|---|
et ce fu deparpierre	-|-|-|-|--|-----|
flotequ idedenzpariscommencaa ser monner	----|--⌫|-----|----|-------||---⌫-----|
anco is ten ca ca rson sermon t enconsem bla.	----⌫-|---⌫-|--⌫|--|-----|-⌫----|---⌫--||
ie ne sai ou	-|-|--|-|
son tie uste emblacar	--|---⌫---|----|--|
enbiblene fu	-|----|-|-|
ettoutesuoiesassezap risau oitd esenset d	-|-----|----|----|--⌫--|--⌫--|-⌫|---|-||
escriptureet	---------|-|
bonse nsa uoitdenat ure	--|--⌫-|-⌫---|-|---⌫--|
meslordre de cheuale rien er equiertpa spree scheri e	--||----|-|-------⌫--|-⌫|-⌫------|--⌫|----⌫------⌫|
meslemondesise bestorne qu ilcou uie ntque	--|-|----|-|-|-------|-|-|---⌫---⌫-|--|
clergi ese tornedutout a fairelef etd	------⌫|-|----|-|---||----|-|-⌫-||
nul niaqui pensedesarmes les bestes	--||||--|----|--|----|--|-----|
sisontsanz	-|---|---|
pensequabel	----|-||--|
atoretbiau aparoi par dehorsetlamelessent	---|-|---|-----|--|-----|-||--|------|
porlecors.	--|-|---||
etpor cecouientiletfaut	-|--|-|------|-|-|---|
queuiegnen t duto utendeffautlesm embrespuisqueles	--|-------⌫|-|--⌫-|-|------|--|-⌫-----|-----|---|
de finenfindechi efenchie fie n	-|--|-|--|-|---⌫-|-|----⌫|-||
ior duiyglisequi	--||-|-----|--|
ce st e fi n mise quipru m ie r n aitp ai édizies me double	--⌫--⌫|--⌫|---|--|---⌫-⌫--⌫||--|-⌫--⌫-|------⌫-|-----|
