ce stlel ay	|-⌫-|-|-⌫-|
unetombet roue rentgrant	--|----|-⌫----⌫---|----|
couer ted un	-----⌫-||-|
p ai ll eroé	-⌫--⌫--⌫|---|
du nc h ieforfroisparmibandé	|-⌫|-⌫-⌫--|------|----|-----|
el chie faspiezetascostez	-|----⌫|-|---|-|-|-----|
auoitc iergesenbr asez	----|-⌫-----|----⌫---|
dorfinierentlichan delier	|-|--|-----|-|----⌫-----|
et dargenttuitliencensier	-||-----|---|-|--------|
do ntil encensoien tleior	--⌫-|-|----------⌫|-|--|
celetombepargrant h onor	---|----|--|----|-⌫---|
il ont demandé	-|--|-------|
aceus quierentdupais	|---|--|----|-|---|
dela to mbe quiele estoit	-|-|--⌫--|--|--|-----|
siconmencen taplor er	-|---------⌫||----⌫-|
etemplora nt aregret er	-|-|-----⌫-||------⌫-|
que c i er t lemieudrecheualier	--|-⌫|--⌫|-|------|--------|
etle p lusforte t leplu sfier	-|-|-⌫--|---|-⌫|-|---⌫|---|
liplu sbiax etli pl usam ez	-|---⌫|---|-|-|--⌫-|--⌫-|
quiiames s oit el	--|-|--|-⌫--|-|
si eclenez	--⌫---|--|
decel eterre	-|---⌫|----|
ain znefuhomesicortois	---⌫|-|-|---|-|------|
a caruentfuiaentrepris	|------|-|-|--------|
por amordunedameoc is	--|---||--|---|--⌫-|
onque spuis neusme sseignor	-----⌫|---||-----⌫|------|
pui s auon sa tendumain tior	---⌫|----⌫|-⌫----|----⌫|--|
en l adame	-|-⌫|---|
siconm eildite tconm an da	-|----⌫|-|--|-⌫|----⌫--⌫-|
quantlada me oi	----|-|--⌫-|-|
ahaut e uoiz sonfiz apele	|----⌫|---|--|--|----|
bi aus f ilz	--⌫--|-⌫--|
fe tele aue zo i	--⌫|--|---⌫|-⌫|
com diexnos a amenez	--|---|--||-----|
c estu ostre	|--|-⌫----|
perequi ci	---|--|-|
quece stuiellarta	--|--⌫-|-------||
oruoscon mente rent sespee	-|--|---⌫---||---||----|
ielaiass e zlonc te nsga rdee	-||-|---⌫-⌫|---|--⌫-|--⌫---|
oiantto uzli	----|--⌫-|-|
engendr aetsonfilzfu	-------⌫|-|--|---|-|
conm eilsouloit ueniral i	----⌫|-|------|----||-⌫|
etcoms onsi reletrai	-|--|-⌫-|--⌫-|-|---|
lauent ureli	|-----⌫--|-|
sorlatom b e	--|-|---⌫-⌫|
chaipa smee	---|--⌫---|
p asmoison d euia	-⌫-------|-⌫---|
ainzpuisa homme ne parla	---|---||----|-|----|
quant s es filzu oit q ue morte	----|-⌫-|---|-⌫--|-⌫-|----|
sonparastre	--|-------|
ale chiefto lu	|-|----|--⌫-|
dele spe equi fusomper e	-||-⌫---⌫|--|-|--|---⌫|
a bienuengié luiet samere	|---|------|--|-|-|---|
puisquesifudonc auen u	---|--|-|-|---|----⌫|
lacit ef useu	-|---⌫|-⌫|--|
a granth onor ladam eont prise	|----|-⌫---|-|---⌫|--|----|
e n sarqueuposeeetmi se	-⌫|------|----|-|--⌫-|
lorseig noront fetdyonec	--|----⌫--|--|--||----|
ainzqu ils em partissentd	---|-|-||-|---------||
cilqu icesteauenture	--|--⌫|----|-------|
lon ctensap reslai enfire nt	---⌫|---|--⌫--|--|-|----⌫-|
de l apaine	-|-⌫|----|
etdeladolor	-|-|-|----|
quecilsouf rirentparamor	--|--|----⌫-----|--|---|
