#META#TextURIIugAm D	-----|------|-----⌫|
#META# DEAFhttp//www.deaf-p age.de/bi bl/bib99i.php#IugAmD	-----|---|----------------⌫---------⌫-------------------|
#ME TA#ARLIMA	---⌫--|-----|
Quantarméfurenta	----|----|-----||
Liroisu nesale	-|---|-⌫-|---|
A flors paintesans	|----|-----|---|
nule faille	---|-----|
Pageu01P140	----------|
Lao u ilf eront la bata ille.	-|-⌫|-|-⌫----|-|----⌫----|
Quan telchampfuren tliuassal	----⌫|-|----|-----⌫|-|-----|
De fiertéfurent pa r ingal	-|------|-----|--⌫-⌫----|
Ilor entles	-|--⌫--|--|
coragesfi ers	------|--⌫--|
Lirousingnols	-|----------|
parlap r emiers	----|-⌫-⌫-----|
Dan spape gaus	---⌫|----⌫---|
ieuousdeff	-|---|---|
Etsi uousditre s	-|-|---|-|---⌫|
Ieuos don rai uncop depres	-|--|---⌫--|-|--|-|---|
Etseuosnestesbiencouuers	-|-|--||----|---|------|
Ie uostoudrai	-|--|------|
ducors lauie.	-|---|-|---|
Lo rsasespeeforssa chie	--⌫-|||----|---|--⌫---|
Sor elicortderandonee	---⌫|-|---|-|-------|
Assiseliatel	-----|-||--|
Sorle hiaumequetoutlestone	--|-|-----|--|---||-----|
Etciluntel copli redon e	-|--|-|--|--|-|-----⌫|
amontquedu nepart	----|--||-⌫-|---|
Lidesront lecercleet depart	-|------|-|-----|-|-----|
Etbienuo us	-|---|--⌫-|
di quemort leüst	-|--|---||----|
so ustenuneleü st	--⌫-----|-||---⌫-|
M e sli rousingnolspar	-⌫-⌫|-|----------|--|
L empai ntet boute	|-----⌫-|-|----|
etsacheettire	-|----|-|---|
Siqu a terrelabat	-|-||----||---|
P ageu01P141	-⌫---------|
Li papega us souzlui	-|------⌫-|---|--|
Maisnepu ettantquese	---|-|--⌫-|---|--|-|
Lorsuoitbien que se s torsle	---|---|---|--|--⌫|---|-|
Quantplus combatrene	----|---|-------|-|
bienquerendrel	---|--|-----||
tenezm e spee	----||-⌫---|
Labataille auez afinee	-|-------|---|-----|
Ie u os cre ant et reconnois	-|-⌫-|---⌫--|-|--------|
Quec lercsontuaillantetcortois	--|-⌫---|---|-------|-|------|
Etque t oz	-|--|-⌫-|
biense n ausab onde	----|-⌫|--|--⌫---|
toute slesgens	-----⌫|--|---|
Atantlesfet	|---|--|--|
liro isleuer.	-|--⌫-|-----|
Qui ueist Florencepl orer	--|----|-------|--⌫---|
Sescheue xro ntsespoin sdetort	--|-----⌫|--⌫-|--|----⌫|-----|
Dieusdistelelamortlamort	----|---|--|-|---|-|---|
Adon quess est trois foispasm ee	----⌫---||--|----|---|----⌫-|
Et alaq u arte	-||-|-⌫-⌫---|
estdeuiee.	--|------|
La sa ssemblentli	-||-⌫--------|-|
oise ltuit	----⌫|---|
enfuee ntagr antded u it	------⌫-||--⌫--|---⌫-⌫-|
richesarculont mise	----|----||--|---|
Pageu01P142	----------|
floretbelad euise	---|-|--||-⌫----|
Etune pierre dessusm istrent	-|--|-----|-----|-⌫------|
Etcesdeusuers	-|--|---|---|
d esusescristre n t	-⌫---|---------⌫-⌫|
Ic i estFl orenceenfouie	--⌫|--|--⌫-----|------|
ch eual ierfu amie.	--⌫----⌫--|-|----|
E xplicit leiuge mentdamors .	-⌫------|-|----⌫---||-----⌫|
