kicest secletrop	-|---|----|---|
kantsa camb reliot e tson	---|-|----⌫-|-|-|-⌫|--|
beallitmostreit	---|--|-------|
par foit faitilbeazestet bie nl	--|---|---|-|---|--|-|---⌫||
aueizpareit	----|-----|
maissilestrepoo itge	---||-|----|---⌫-|-|
uoldr oi pluspr iu é	-----⌫-|---|--⌫--⌫-|
neuo ldroi por centsalzcumm	-|--⌫----|--|---|---||-||
ieusttrouét	|---|------|
eledistc ipoeizsegurementseoir	--|---|-⌫|----|---------|----|
uos e stuet nule po urauoir	--|-⌫----|---|--⌫-|----|
nereciureizdam age nede co rs	-|--------|---⌫--|-|-|--⌫-|
se deusnon delassus	-|---|--|-|-----|
uosp uetueoi r	--|-⌫--|----⌫|
uoi re dist lisainz hom s a u eiz uos	---⌫-|---|-|----|--|-⌫-⌫-⌫--|--|
saue izu o ske deuss oitkilnosn os	----⌫-|-⌫-⌫|-|---|-⌫--||-|--|-⌫-|
puistesg arder	----|---⌫----|
e le sireien aioit parleir	-⌫-|---||-|-|--|------|
bien s aike	---|-⌫-|-|
de uantdeunese puetnuzceleir	--⌫---|--|-|-|---|--|-----|
biensaicil	---|--|--|
quideusser ue ntke	--|---|---⌫--⌫-|-|
m u t ioie aueront	-⌫-⌫|---|------|
il auro ntt antdebienke	-|----⌫-|-⌫--|-|---|-|
etli mal euros qu itot ades malfunt	-|-|---⌫----|--⌫|--|---|--|---|
nu lz neporoi t adirel esmalzqu ilsoffront	--⌫-|-|-----⌫|----|-⌫-|---|-|-|-------|
bele filhefait	---|----|---|
iltre squ euoscesau eiz	-|---⌫|--⌫|--|-|---⌫--|
mut gra ntmeruelhe m aiketei l uie menez	--|---⌫-|-------||-|-|---⌫|--|----|
meru elle est keli	----⌫---|--|-|-|
cuers uose stsi endu rei z	----|--|-⌫-|-|----⌫---⌫|
keuossiafianceuos	-|--|-||-----|--|
et al t ruiperdeiz	-|--⌫-⌫--|------|
celenatu reestmutmalua ise	---|----⌫-|--|--|-----⌫--|
et demal eaire	-|-|---⌫|---|
k omdesireagesir ade seltai	|-|-----||----|---⌫|-|--|
quiflairee	--|------|
s eciluont en	-⌫|--|---|-|
enferquibienneuulentf aire	----|--|---|-|-----|-⌫---|
uirontquidelmal ne	|----|--|--|--|-|
ret ra ire	---⌫--⌫--|
sicum li liure s di stchasc unsso nfais	-|--|-|-----⌫|--⌫-|-----⌫--|--⌫|---|
secasc unsparsaculpe grantpaine	-|----⌫--|--|-|----|----|----|
quisoip ertetaltruich aitiske deuenra	--|--|-⌫--|-|-----|--⌫----|-|------|
i l est plu sdu rskepierre	-⌫|--|---⌫|--⌫-|-|-----|
quide cepour	--|-|-|---|
s e lionsom uoi t l a utr echaoir ettre b uchier	-⌫|-|--|-|---⌫||-⌫---⌫|-----|-|---⌫-⌫-----|
et pietiezne lenp rentneneli uult	-|------|-||-|-⌫---|-|-|-|---|
lescrit uretesm oniet	|------⌫--|----⌫----|
comp arr achier	----⌫---⌫|----|
karilp ot neneuol ts o nproismeradrecier	--|-|-⌫-|-|-|---⌫|-⌫-⌫|------|--------|
ki son prois me n aiwe s enf ers celui	-|--|-----⌫-||---||---⌫--|----|
i lestlimiensco nselz	-⌫|--|-|----|--⌫----|
kepartenssoirepen t e	-|--|---|--|-----⌫-⌫|
ki aperditi ondesaltr esmets entente	-||-------⌫-|--|----⌫-|--||------|
iadeus senzamendisemori r nelic onsente	-|---|---|-------|----⌫|-|-|-⌫------|
las comment	--|------|
res pondratnefra t droi t paraltr ui	---⌫------|-|---⌫|----⌫|--|----⌫-|
quineporat respondre ne droit	--|-|----|--------|-|----|
faire par lui	----|--|--|
doncd iratmai s atartcumma lbailiz ie	---|-⌫---|---⌫||---|--|--⌫|-----|-|
orme reu i ent	-|-|---⌫-⌫--|
deuant k e	-----|-⌫|
iesima luais f u i	-|-|--⌫----|-⌫-⌫|
cagra nt pai nnepo ratcascu ns sonfais porter	||---⌫-|---⌫--|--⌫--|-----⌫-|--|---|-----|
ki altrui f aisportratcum e ntporat	-|-----|-⌫--|------|---⌫-⌫-|----|
maleuroscelu i ki	-------|----⌫|-|
pis cel uiqui	--|---⌫-|--|
altrui fa i t dampner	-----|--⌫-⌫|------|
mainzhomfust	----|--|---|
bien d eliures et e scapezdemort	---|-⌫------|-|-⌫-----|-|---|
se nzperilfustue nuz eta	--⌫-|----|---|--⌫--|-||
riueeta port	---|-||---|
senefustmalze nsemples	-|-|---|---|-⌫-------|
e tparm aluaisconfort	-⌫|--|-⌫-----|------|
se deus enprent ueni ance	-|---|-|----|----⌫---|
quidi ez quil face	-----⌫-|-|-|---|
sachi ezk e	-----⌫-|-⌫|
seratpr iseu eniance	----|--⌫--|-⌫------|
mai skek el ihomfac ets	---⌫|---⌫|-⌫|--|---⌫-||
il uien ta	-|----⌫||
repentan c e	--------⌫-⌫|
en lamerci tdedeud oitauoi rgr antfi an ce	-|-|-----⌫|-|--|-⌫--|----⌫|--⌫--|--⌫--⌫-|
il laitmutdeson droitparur aiepenitan ce	-|---|--|-|--|----|--|--⌫--|-------⌫-|
distu nmot cumpuet bienredo ter	---|-⌫|--||-|---|---|----⌫--|
ap oinessoiporr at lii ustes	|-⌫----|--|----⌫-|-|-⌫----|
homs alue ir	--|-⌫----⌫-|
kefra tdonclipechiere suseporat	-|---⌫|---|-|--------⌫||-|----|
certe sn atpoint de sensqui	-----⌫||-|----|-|---|--|
cine uultpenser	-|-|---|-----|
ki tres bienuult	-|---|---|---|
pensei ra tot cequil a tfa it	------⌫||--|-|-|-|-⌫|--⌫-|
etkedeuspasnoblienesl o	-|-|---|--||----|--|-⌫|
petit mefait	----|-----|
n eslespetites p ensess enz	-⌫-|--|------|-⌫----|-⌫--|
ueni a nce nelait	----⌫-⌫--|-|---|
gra nt meruell eest se donkesdel m al	---⌫-|-------⌫|--|-|-----|--|-⌫-|
ne sere tr ait	-|-|--⌫--⌫--|
k i altrui et lu imime s	-⌫|-----|-|--⌫|----⌫|
trait enperd itio n	----|-|----⌫----⌫|
quise nio ist	--||-⌫---⌫--|
de ce quil	-|-|-|-|
n ef aitsemalnon	-⌫|-⌫--|-|--|--|
kidetoteudero bea t	-|-|---||-|--⌫-|-⌫|
pl ainesamais on	--⌫---|-|----⌫-|
dal t resmenuz forfaiz commentr en dratraison	|--⌫-⌫--|----|------|------|-⌫--⌫---|-----|
certeskeke nuzdiet raisonen st ourat rendre	-----|---|--|---|-----|-|--⌫----|-----|
sedeusmerci t n en	-|---|-----⌫||-|
atse tot sondroituut	-|-|--|--|----|--|
neangelene	-|-----|-|
archangelenenosporontde fendre	---------|-|--|-----|--⌫-----|
chaitifke sumesdur quiniuolonse ntendre	------|-|----|--|--|||-----|-⌫------|
deusnos tre sires est si	---|---⌫--|----|--|-|
be a zsi delitabl es	--⌫-⌫|-|--------⌫-|
sortotescreatures sigenzs idesi r ab les	--|----|--------|-|---|-⌫|----⌫-⌫--⌫--|
de sif ine bont eit	-|-|-⌫--|----⌫--|
si piussime rciables	-|---|-|--⌫-------|
ensespromessesur aisensesdonesdurables	-|--|--------|--⌫--|-|--|----|-------|
anem isestsi laizsi po urous	----⌫-|--|-|---|-|--⌫----|
sortotescreaturesor r iblese thisdou s	--|----|--------|--⌫-⌫----|-⌫|------⌫|
tr opplainsdefe lonie	--⌫-|-----|-|--⌫----|
culuersenu idiu s	------|---⌫----⌫|
enginieressenzfoige s plai nsdorguilme ncinnios	---------|---------⌫|----⌫-||-----|--⌫-------|
grant dol or etgrantmale auenture	----|---⌫-|-|----|---|-------|
c u m nos sumeschaitife t	-⌫-⌫|--|----|------|-⌫|
de m alenature	-|-⌫--|-----|
ketotces auonsbien etsi n en	-|--|-|-⌫----|---|-|-||-|
auons cure	----|---|
maiscesachiez ke deus e nprendratsadroiture	---|-|------|-|---|-⌫|-------|-|-------|
kas cunemuebeste	---⌫---|--|----|
co noistson	--⌫----|--|
en combrier	--⌫-------|
lima l lars fuitlo stoirlal oel	-|--⌫-⌫---|---||-⌫----||--⌫-||
es peruier	--⌫------|
ianeuerré sberbis	-|-|------⌫|-----|
uerlolou apro c hier	--|-|--|----⌫-⌫---|
u i onkeslieurecon ioirloleuri er	-⌫|----|-----|---⌫---|-|-----⌫-|
maissolementlihomcuide u s siuoltformeir	---|-------|-|--|--|--⌫-⌫|-|---|------|
quil seust et	-|-|----|-|
p oust bien etma l	-⌫---|---|-|--⌫|
totade ssiutlo mal etlob i en lait	--|---⌫|---|-|--|-|-|-⌫-⌫-|---|
plusso itiental diablequi pl uslouu lt	---|--⌫|----|-|-----|--|--⌫-|-|--⌫-|
de nestcegrant meruel l e	--⌫|--|-|----|------⌫-⌫|
de lhommeet	-||----|-|
grantfoli e	----|----⌫|
b ien s eit	-⌫--|-⌫--|
kelidiable sestplains	-|-|------⌫|--|-----|
det richerie	-|-⌫-------|
soi art ets oiengienuunt	--|--|-|-⌫-|-----|---|
totpa r boiser ie	--|--⌫|------⌫-|
totce se it bienlihom	--|-|--⌫-|---|-|--|
ne ne senga rde mie	-|-||-|--⌫--|--|
et tres que deuslouoitd esimaluaiscorag e	-|----⌫--|---|-|---|-⌫|-|------|-----⌫|
qu il ades hei t son	-|-|---|---⌫|--|
prot etaimetsondamage	---|-|----|--|-----|
kil nefaitonkesbienen t restotson	|-|-|---|----|---|-|-⌫-----|--|
denest cegrantmeruel lequildeluengier	--|--|-|----|------⌫-|-|-|--|------|
saueizp or keil ne pren t	-----|-⌫-|-|-|-|----⌫|
main amain sau eniance	---||---|-|-⌫------|
ce faitil parmer cit	-|---|-|--|---⌫--|
mutgrantso f france	--|----|--⌫-⌫-----|
iluultke l ipechieres	-|---|-|-⌫|--------|
uiengniet a rec onissanc e	--------||---⌫--------⌫|
par cedoneti l	--|-|----|-⌫|
respitetm ettoten	-----|-|-⌫-|--|-|
soff rance	----⌫----|
sain te escr itured isttotpleni erement	----⌫-|----⌫----|-⌫--|--|-----⌫------|
kec ilsofferratplusdep ainee tdetorm ent	-|-⌫-|--------|---|-|-⌫---|-⌫|-|----⌫--|
c u i deuslonc respit done etpasnes e	-⌫-⌫|---|---|-----|---|-|--|-|-⌫|
lam ort delp echeor ne desiret	-|-⌫--|--|-⌫-----|-|------|
lo mal e t amendet sauie	-|--|-⌫|------|-|--|
tot ade satsa mainuer l ui	--|---⌫|-|-|---|--|-⌫-|
apparilhie	---------|
etseluult reciuoirmaisqui llaist	-|-||---|-------|---|-|-⌫|----|
deusnos appele	---|--|-----|
adesnos niuolonaleir	---|--|||----|----|
e tcantkauo ns forfaitnos	-⌫|----|---⌫-|------|--|
pardo neir	-----⌫---|
i atantn ie rt	-⌫|---||--⌫-|
corr e cie zneseuulheta corder	----⌫-⌫---⌫|-|-|-----|-⌫-----|
mais nos n	---|--||
enau onscurenen i	-|--⌫--|---|-|||
uolonspens er	-----|----⌫-|
ki porr oitraco nteirteil	-|----⌫--|----⌫----|---|
bonteit teilduzor	------|---|----|
commentporiens ia	------|------|-|
auoir mellorsanior	----|-----|-----|
iatant naurontmef f aitue rs lili	-|---||-----|---⌫-⌫--|--⌫-|-|-|
tot mai ntena nt quiluulentrontsa graceet s	--|---⌫-----⌫-|-|-|-----|---|-|----|-||
ian ie rt nulzsipechieres i anaurattant	-||--⌫-|---|-|--------|-⌫||----|---|
prent albien et delma lsoi	----|-|---|-|--|--⌫|--|
adeuestac ordeiztresquil lo	|--|--|--⌫-----|-----|-|-|
pec hietlait	---⌫---|---|
apres lape nita n cenen orat iama is	----|-|--⌫----⌫-⌫-||-|---|-|--⌫-|
kantladamm eoi tsi losain thomme	---|-|----⌫|--⌫|-|-|----⌫|----|
tozlicue rsl i	--|-|---⌫-|-⌫|
fromistetcomme nce aploreir	------|-|-----⌫--||------|
et angoisseet pourslifait	-|-------|-|----|-|---|
c olur mueir	-⌫---|----|
poro i gedonc fait	----⌫|-|---|---|
elean c ormer cit	--|--⌫-⌫-|---⌫--|
ienefi son kes chos e q uideu	-|-|--⌫|--⌫--|----⌫|-⌫-|--|
ue n istengret	--⌫-⌫--|-|---|
las seiaimon	---⌫-||-|--|
eagesimale ment useit	---|-|----⌫---|----|
kedeu sm auoitp ar l iseruir	-|---⌫||----|-⌫-|-⌫|-----|
totlai en malesoures	--||-|-|----|----|
pe rdut et	--⌫---|-|
ensicu muosmaueizdoctrineieet aprise	---|--⌫|--||----|---------|-|-----|
sede us at	-|--⌫-|-|
s i se n t en t eso rnozpechiez	-⌫||-⌫-⌫-⌫--⌫-⌫|--⌫|--|------|
kede ch ascu n	-|-|--⌫----⌫|
forfa ituultauoir	-----⌫-|---|----|
amen di se	----⌫--⌫-|
gecu itnuzne po ratgar irenn uleg uise	-|--⌫-|--|-|--⌫--|---⌫-|-|-⌫--|-⌫---|
li p echiet f untlesanrm esdel regne deupartir	-|-⌫-----|-⌫--|--|----⌫-|--|----|--|-----|
esfunte n enfersenznulefi n	-|---|-⌫|----|---|---|--⌫|
laenzseront toziorsn enporont maisis si r	----|-----|--|---||-|-----|---|--⌫--⌫|
et commentporatdonkeslachaitiue garir	-|------|----|-----|-|-------|----|
uo s di tes	--⌫|--⌫--|
ke pechiezfaitladampnation	-|------|---|-|---------|
etfaitestre	-|---|----|
en enfer e nlalaidemais on	-|----|-⌫|-|----|----⌫-|
unat nulemer citn ule r edemptio n	||-|---|---⌫--|-⌫--|-⌫--------⌫|
sece est uoir scomment faitde usdespechiz	-|-|--|----⌫|------|---|--⌫-|--|-----|
bele fi lhe neuosaipas	---|--⌫--|-|--|-|--|
cifait deus ses pardons	-|---|---|--|------|
sicumieuos	-|--|-|--|
kilaltresecle atentbienlo sachiez def i	-||----|----|----|---|-|------|-|-⌫|
iam ar en p r oirani troueratmer ci	-|-⌫-|-|-⌫-⌫---|||-------|---⌫-|
kiestdegranz	-|--|-|----|
pechiezcrim i neiz encomb rez	------|----⌫-⌫---|------⌫--|
ets ilest senzconfes secant	-||-|--|---|------⌫-|---|
il murtenz	-|---|--|
cilserattropparfon t elpuiz denferieteiz	--|----|---|------⌫|-|---||----|-----|
n enfa cet homma ispr oiereian eniert	|-|--⌫--|--|--⌫-|--⌫----|-||-|---|
r a cat ez	-⌫-⌫---⌫-|
nesoidoi t nuzdamendeirastargier	-|--|---⌫|--||-------|--------|
doitlomb ienfairee t mal	---||-|-⌫--|----|-⌫|--|
laltresecl e sille uult	|----|----⌫||-|-|---|
r espi tier	-⌫----⌫---|
donc esttart	---|--|---|
d ame ndise dontnelip uet	|---⌫----|---|-|-|-⌫--|
maisencest secl e	---|-|---|----⌫|
est ilsilu ulttostaco rdeiz	--|-||-|-⌫--|---|---⌫----|
mercit ian iertar r i erbut eiz	-----|-||---|--⌫-⌫-⌫-|---⌫--|
anz se rat tant p lustost	--|--⌫--|---|-⌫--|---|
enue r d eu a cordeiz	----⌫|-⌫-|-⌫------|
cantilpotloma lfairesiles t	---|-|--|-|--⌫|----||-|--⌫|
albient urneiz	-|---|-⌫-----|
lad ammeli respon tsi maueizchastiie	-|-⌫---|-|------⌫|-||----|-------|
k edeu os tre conseilsuitoteaparilh i e	-⌫|-|-⌫--⌫--|------|--|---|-------⌫-⌫|
n emoico mandreiz	-⌫|--|--⌫-------|
chose que ieiac ontredie	----|--|-|-|-⌫-------|
m ais kacordeirmoi pui ss e	-⌫--||-------|--|---⌫--⌫|
alfi lsaintemarie	-|--⌫|-----|----|
bien saike parma	---|--|-|--|-|
culp e aisa graceper d ue	----⌫|-|-|----|---⌫-⌫-|
separu ostreconseilmoipuete stre	-|--|-⌫----|------|--|---|-⌫---|
keiead e rransnesoie dempn eeet	-|-||-⌫-⌫----|-|---|-----⌫-|-|
confun due	------⌫--|
b uer ent rast es	-⌫--|---⌫----⌫-|
zae nzburuiuostr e uenu e	---⌫-|--|-|-----⌫|----⌫|
tropm a tlian emis meneieet entreprise	---||-⌫|-|--⌫---|-----|-|---------|
soiart etsoiengien	--|--|-|--|-----|
m auoientsiconquise	|------|-|-------|
keie as t oiesu biete tot ea	-|-|--⌫-⌫--|--⌫----|---⌫||
sa c om mandise	-|-⌫--⌫------|
maismercit deu ies uiorenmelhorpoi nt	---|-----|--|-|-⌫-|-|-|-----|---⌫-|
siait otementen teenuers ihesu as s ise	-|-|-⌫--||-----⌫-|-----|----|--⌫-⌫--|
orenau antuulh estreenson seru ise	-|-|--⌫--|---|----|-|--|----⌫--|
ge moidepartde	-|--|-----|-|
luien nuleguis e	--|-|---|----⌫|
droitenprendettotso lo ncsai ust ise	----|-|------|--|--⌫--⌫-|-|-⌫---⌫--|
mais anko ruul keuo sunpetitmenseniez	---|----⌫|--|-|--⌫|-|----||-------|
de ceke iene saiuulkeuos	-|-|-|-|-|--|--|-|--|
puetestre pa rdoneiz	---|----|--⌫------|
senzco nfessep echiez	---|--⌫-----|-⌫-----|
lisainzhom	-|----|--|
l i res pontbelefilhe	-⌫|---⌫---|---|----|
faitadulterieumusdre u	---|--------||-----||
ualtre lai tp e chiet q ui crimine izatnon	|----|---⌫|-⌫-⌫----|-⌫-|-------⌫-|-|--|
s ilenpu et nene uult faireconf ession	|-|-|--⌫-|-|-|---|----|----⌫-----|
biensach iez k eia deus	---|----⌫--|-⌫|-|---|
lihomqui uu ltmercitenuersde u	-|--|--|--⌫-|-----|-----|--⌫|
reco ureir	----⌫----|
il ne doit nesunsoldeses	-|-|---|--|-|--|-|--|
f o rfa izc el eir	-⌫-⌫---⌫-|-⌫--⌫--|
ilneuolra t	-|-|-----⌫|
cekeluinuis t	-|-|--|----⌫|
nepor a tme rci tia	-|---⌫-⌫|--⌫---⌫|-|
nemecine troueir	-|-----|------|
l a plaie laistue o ir ianesoitsi	-⌫|----|----|--⌫-⌫-|-|-|---|-|
car cu mplusest	--|--⌫|---|--|
flairanzcu m plus	-------|--⌫|---|
este nuiecie	--|-⌫------|
mellormesti erdesocurs e t demie	-----|-----⌫-|-|-----|-⌫|-|--|
keiz puor squ	---|----⌫|-|
ilenei s s eouertementla die	-|-|--⌫-⌫-⌫|---------|-|--|
a td it qui l es t	-⌫|-⌫-|-|-⌫|--⌫|
etnafreizet feruz	-|------|-|----|
apr eslicou i entdirecomm entil futuencu z	---⌫-|-|---⌫-⌫--|---|----⌫--|-|--|-----⌫|
en quelliu enquel	-|---|--|-|---|
tense tpar cuiabat uz	---|-⌫|--|--|----⌫-|
s ils efut floiblementuform ent combatuz	|-|-⌫|--|----------||----⌫--|-------|
dietpormala faire se mutse	---|--|--||----|-|--|-|
trau ilhat	----⌫----|
silal at lomalque r reu	|-|--⌫-|-|--|---⌫-⌫-||
cu mlongemen tteil ueurede menat	--⌫|--------⌫|---|----|--⌫----|
ete nquant es man ier essoncors	-|-⌫|-----⌫-|---⌫---⌫-|--|---|
i delita t	|------⌫|
tot cedoi tregehir	--|-|---⌫|------|
silse uult deliurer	|-|-|---|-------|
sede quantqu ilatfait soiuult biendeliurer	-|-|------|-|-|---|--|---|---|-------|
parmes s age	--|---⌫-⌫--|
nel doitnepar	-||---|-|--|
escrit mos trer	-----|---⌫---|
ma istrestotboche aboche li	--⌫-|------|----||----|-|
cou ientdeuis er	---⌫---|-----⌫-|
deusaidiezd ist l ad a mmenese roitdontasse z	---|-----|-⌫--|-⌫|-⌫-⌫--|-|--⌫---|---|----⌫|
mai sketotsimpl ementfust lipe chiez nomme z	---⌫|-|--|-----⌫----|---|-|--⌫----|-----⌫|
kis iuienieaconfesse	-|-⌫|-----||-------|
ufutonke strouez	|--|----⌫|-----|
p ou en estdist lis iressuer ma is	-⌫-|-|--|---|-|-⌫---|---|--⌫-|
orescol teiz	-|-----⌫---|
soit a ltruiloia l	---|-⌫----|----⌫|
femmepromiseuespos eie	----|------||-----⌫--|
s oitmoi nes soi t	-⌫--|---⌫--|---⌫|
conuersu soi t nonnesa cree	------||---⌫|----|--⌫---|
esthalt ementlaperso ne ordinee	--|----⌫----|-|-----⌫-|------|
tantfuntilplusdem alet plus de	---|---|-|---|-|-⌫-|-|---|-|
res onei e	---⌫----⌫|
se iors estdabstine nce u	-|---|--||-------⌫--||
fes tecommandeie	---⌫-|---------|
estb eneoizulaglisesac reie	--|-⌫-----||-|----|---⌫---|
cefaitlopechiet cr eis treet plus	-|---|-|------|--⌫---⌫--|-|---|
seratd ampnee	----|-⌫-----|
l amaleurose an rmequinesenest gardeie	-⌫|--------|--⌫--|--|-||-|--|------|
an cor est u ne	--⌫--|--|-⌫-|
ch osedont	--⌫--|---|
mut cre ist	--|---⌫--|
li pe chiz	-|--⌫---|
carcumpluse stliomde	--|--|---|-⌫-|-|-|-|
maleoureliez	---|---|---|
et c ump luslade si r etcum	-|-⌫-|-⌫--|-|--⌫--⌫-⌫-|--|
plu siestfich iez	---⌫||--|----⌫--|
tantest ilplusd edeu	---|--|-|---|-⌫|--|
quiceh eiteslongiez	--|-|-⌫--|--------|
porce quegries choseestde teil	--|-|--|----|----|--|-|---|
c hose most rer	-⌫---|----⌫--|
et angoisseetgranz hont es de totce deuiser	-|-------|-|----|----⌫-|-|--|-|------|
porpuetliura is confes plustostmerci ttrou er	--|---|-|---⌫-|-----|---|---|-----⌫|----⌫-|
rienneuult deses forfaiz	---|-|---|-|--|------|
ca ntliho mdist lo m al etcom men t il	--⌫-|-|--⌫|---|-|-⌫-|-|---⌫---⌫|-|
ils offret grantango iss ecan ilteil chose	-|-⌫-----|----|----⌫---⌫|--|-|---|----|
etmutliestgranzhontes cant	-|--|-|--|----|-----|---|
totceregehis t	--|-|-------⌫|
ostelo pechietet	---|-|------|-|
k iacon f ession uult p ure men t	-⌫||---⌫-⌫-----|---|-⌫---⌫---⌫|
lespechie zqu	--|------⌫|-|
ila tfaiznedo it	-|-⌫|---|-|--⌫-|
lunepartie	|--|-----|
zaz a l altre regehir	-|-⌫||----|------|
to tdoitdireaun homen en	--⌫|---|---||-|---||-|
doitrienr etenir	---|---|-⌫-----|
teil ze st cantil uult dire l esmaz desa	----⌫|-⌫-|---|-|---|---|-⌫-|--|-|-|
est quiltotaun sol	--|-|-|--||-|--|
unepart len distil unealtre	--|---||-|---|-|--|----|
un ep artie	--⌫|-⌫----|
nefai tpro ut q ui c e faitnesenzor guiln	-|---⌫|---⌫-|-⌫-|-⌫|---|-|---|--⌫---||
senzorguilnest il	---|-----||--|-|
mietant ke	--|---|-|
enteil corage	-|---|-----|
et uraiehumilitetnat miekite iz est	-|----|--------||-|--|-|--⌫-|--|
ne uultmiequ	-|---|--|-|
ilpaire si malua iscumilest	-|----|-|-----⌫-|--|-|--|
p lus soi faiti ustestantpluspechieresest	-⌫--|--|---|-⌫----|---|---|--------|--|
deu raiepenitance	-|-⌫---|--------|
poroit ho mas seizdire	-----|--⌫|--⌫---|---|
liuredeurai e confession	----|-|----⌫|---------|
comman deesles at pargr a nt bienn ostre si re	------⌫---|--|-|--|--⌫-⌫-|---|-⌫----|--⌫-|
ka r biensetke lihom	--⌫|---|--|-|-|--|
tostchietet	---|----|-|
tostempire	---|-----|
p a r sa flo ibleteit	-⌫-⌫|-|---⌫-------|
puet lihomtost trebuchie r	---|-|--|---|---------⌫|
mais pa r confession	---|--⌫|---------|
tost se puetredrecier	---|-|---|--------|
orengardeiz	-|--------|
delhommese d eusne latmut c hier	-||----|-|-⌫--|-||-|--|-⌫---|
kisi gent iz	-|-|----⌫-|
me cine lidenia te n senier	--⌫---|-|-----⌫|-⌫-⌫-----|
sine se ra t ianuz	-|-|--⌫--⌫|-|--|
d epechiet e ncombreiz	-⌫|------|-⌫--------|
ke p ar cestemez inene nsoitto st de liureiz	-|-⌫-|----|---⌫--||-⌫|---|--⌫-|--⌫------|
nu zneu it senz p echietnu znestsenzpechie t	--⌫|-|-⌫-|---|-⌫-----|--⌫||--|---|------⌫|
seconfe ssionsneret nulzneseroitsalueiz	-|-----⌫-----||---|---|-|-----|------|
laconfessi on	-|--------⌫-|
ests igranzdon s donne iz	--|-⌫|----|---⌫|-----⌫-|
sezauientke l ipres tresne puist	-||-----|-|-⌫|----⌫---|-|----|
estretr oueiz	----|--⌫----|
etlom est a son	-||-|--||--|
proisme qui	------|--|
kesoit conf esseiz	-|---|----⌫-----|
sedeurai cuer l	-|-|---|---||
atfaitnenpu ete stre	-|---||-|--⌫-|-⌫---|
don t lirespont la d amme mut bienaprise sui	---⌫|-|------|-|-⌫---|--|---|-----|--|
maisd ites m oiqui n atne	---|-⌫---|-⌫-|--||-|-|
pr estrene altrui	--⌫----|-|-----|
silmurtdesconfesseiz quezroiz irtdece lui	|-|---|------------|---|---|--|-|--⌫--|
celi d istli	-|-|-⌫--|-|
mer citauratcecui	---⌫--|----|-|--|
sile s tsolz nen epuet faireconfessi on	|-|-⌫-⌫|---|-|-⌫|---|----|--------⌫-|
il soipuet	-|--|---|
re pentir parteilcont ricion	--⌫-----|--|---|----⌫-----|
teildolorpuet auo ir etteilconpunction	---|----|---|---⌫-|-|---|----------|
gecuitqu edeuslifait	-|---|--⌫|---|-|---|
de sespechiez pardon	-|--|------|-----|
mais ne d oit	---|-|-⌫--|
pasatendrenuzhom silo ngem ent	--|------|--|--|-|--⌫----⌫--|
c ar engran peril m uertq uis itar t s e	-⌫-|-|---|----|-⌫---|-⌫-|-⌫|---⌫|-⌫|
etquidel r epentirloderra in io rat ent	-|--|--|-⌫------|-|-----⌫-|--⌫|--⌫--|
q ui ldoncbiense	-⌫|-⌫|---|---|-|
repentet nauient mie so uent	-------||-----|--|--⌫---|
car quie n male soures	--|--|-⌫|----⌫|----|
atses iorsdes penduz	-|--|---|---⌫-----|
etl esd eliz	-|-⌫-|-⌫---|
delsecleto ta des parseu z	--|----|--⌫|-⌫--|------⌫|
q uant ilmuertet	-⌫---|-|----|-|
derrainior uenu z	------|--|----⌫|
del repentir nes t dignes ca r	--|-------||--⌫|-----|--⌫|
mal sestcontenuz	--||--|-------|
etq uitotade sestdemal	-|-⌫-|--|---⌫|--|-|--|
aconstumei z	----------⌫|
a derrainsdeuie ntsi de spers et	|-------|-----⌫-|-|--⌫----|-|
nesquantilu oitk	--|----|-|-⌫--||
ilestal afinam enez	-|--||-⌫|--|--⌫---|
n ats oi ng loq uel	|-|-⌫--⌫-|-|-⌫--|
uperduzu dampne z	|-----||------⌫|
por ce iat mut	--|-||-|--|
deceazquinule	-|---|--|---|
curen o nt	---||-⌫-|
d e confessionfai reteiz i atqu i lafunt	-⌫|---------|---⌫-|---||-|--⌫|-|---|
delabo che par olentmaispaslo cuer	-|-|--⌫--|---⌫----|---|--|-|---|
tot zauientke delbien	--||-----|-|--|---|
ac on stumé tnesunt	--⌫--⌫------⌫|-|---|
cantli useriersgi st	---|-|-------|--⌫-|
etil quidet mori r	-|-|-----|----⌫|
deuant li fait	-----|-|---|
et lesenfanzue nir	-|--|-----|--⌫--|
sonauoi r liensengnie	--|----⌫|-|--------|
maisnesenuultpartir	---|-||-|---|-----|
etquid iez quilait dontcure	-|----⌫--|-|-|--|---|---|
derep entir	-|---⌫----|
teilze stquiauoira t quil latpar	----|-⌫-|--|----|-⌫|-|-||-|--|
tri cherie	---⌫-----|
derobeirla tconquis detor tde	-|-----||-⌫|------|-|---⌫|-|
aderrains cantil	|-------|---|-|
uoitkeplus nestdesau i e	---|-|---||--|-|-|-⌫-⌫|
natuolenteitdel rendre c arn eserepentmie	|-|--------|--|-----|-⌫-|-⌫|-|-----|--|
telzestasasoniant si fortementaloiez	---|--||-|------|-|--------|-----|
nes ka nti l uoit qu	--|--⌫-|-⌫|---|-|
ilest tozalamor tiugi ez	-|--|--||-|---⌫|----⌫-|
enuultd epartirs ipar	-|---|-⌫------|-⌫|--|
estdesuoie z	--|-------⌫|
kicefuntnese	-|-|---|-|-|
duelent gairesdelurpechiez	------|-----|-|--|------|
