Qiuoetoyrchaunzondamur	-|---|--|-------||---|
Mes alacom	--|--|--|
Ne finaunkesoir ne	-|---|---|---|-|
Poymangea ema ins	--|-----||--⌫--|
S i nedormist nulenust.	-⌫|-|------|---|----|
Touzlesno itz issicheua ucha	---|--|--⌫--|---|-----⌫---|
Q eo n ked e	-⌫|-⌫-⌫-|-⌫|
nuytnesere posa	---|-|-|--⌫---|
Tantqe uersune ues p r é	---|-|---|--|---⌫-⌫-⌫-|
En un grantboys	-|-|----|---|
lycouynt dormi r	-|-----|-----⌫|
fustqu ildeustmorir.	---|-|-|----|-----|
D eso uz un	-⌫---⌫-|-|
arbrese cocha	----|-|----|
Esonchiual au neraym	|--|-----||-⌫-|---|
Dormistcarmultfutrau aillé	------|--|---|-|----⌫-----|
E sonchiualfuist	|--|-----|----|
mesaysé .	--------⌫|
Amyll i ounensonli t g iseit[f.71ub]	-----⌫-⌫--|-|--|--⌫|-⌫------------|
Deleezsa femme secocheit	-----|-|----|-|------|
Sisaui nt en	-||---⌫-|-|
Kesir Am yssoncompaignoun	-|--|--⌫-|--|----------|
Dunleonfustassaill i	|-|---|---|-------⌫|
Qelifuistmortel enemy.	-|-|----|-----|-----|
Delso unge fut moulteffraé	--|--⌫---|--|----|------|
Etostsus sa illicomhom edesuee.	|---|--|--⌫---|--|---⌫|------|
Tost appelases cheualers	---|-----|--|--------|
Sesg ar sou nse	--|-⌫--⌫---⌫-||
s e s e squiers.	-⌫-⌫|-⌫-------|
Touzlo u rfist mettr elou rse eles	---|--⌫-⌫|---|-----⌫|---⌫|--⌫---|
Unkenel our di stautre nouele s	---|-|-⌫--|--⌫-|----|------⌫|
Mesdist qil uoleituis iter	--|---||-|-----|---⌫---|
Sonf rere qetantpout ame r.	--|-⌫---|-|---|---|---⌫-|
Trussers enuounte n m ynuyt	------||-|----|-⌫|-⌫----|
Asautres ne	-|-----|-|
fuistpasdedu it.	----|--|----⌫--|
En celen uytta nt errerent	-|---|-⌫--|--⌫-|-------|
Qe parmylebo ys	-|----|-|--⌫-|
Ou sire Amis	-|---|---|
SireAm illio unpri mes leueit	---|--⌫-----⌫-|---⌫--|-|---|
Tostestc ele	---|--|-⌫--|
parttorné	---|-----|
Tendrementl adesueillé.	---------||-|---------|
Esa gentpasse rentauant	|-|---|-----⌫---|----|
Eil entendine purqant	|-|------|--⌫------|
Deso n e s tresaueruoleit.	-|--⌫|-⌫-⌫--|----|------|
Si liretintsi li	-|-|-----|-|-|
fulapit é	-|-|---⌫-|
Quantlun od laut re es t	----||-|-||---⌫-|--⌫|
Donke lidit sirAmillioun	----|-|--|--|--------|
Parolesde mult grantre soun	------|-|---|----|--⌫---|
Beau frere qu an t	---|----|--⌫--⌫|
auezfor fait	---|---⌫---|
E lese rme ntauez f et	|-|--⌫---⌫-|---|-⌫-|
Ieome douteqepu rpecché	--|-|----|-|--⌫|------|
Del serment serrezencombré.	--|------|-----|---------|
Pur uous labataille	--|---|-|-------|
Elesermentlealm entiuray	|-|------|-----⌫--|----|
Q eieounkene li	-⌫|--|---|-|-|
Equiderountq e ieos oyeAmys.	|---------|-⌫|--|-⌫--|----|
Ieoespoir parlagra cede	--|-----|--|-|---⌫-|-|
Qedelfelounserrom uenge ́	-|--|-----|-----|-----⌫|
Qeuusquideit auerhon y.	-|--|------|---|---⌫-|
Mes chiualersqe sunt icy	--|--------|-|---|--|
Od uousd esore mésdemorront	-|---|-⌫-----⌫---|--------|
A macourt od uo usirrount. [f.72ra]	|-|----|-|--⌫-|--------⌫-------|
Equantno usa ueromsrobes chaungé	|----|--⌫-|-⌫-----|----|-------|
Don qequiderontdeuer ité	---⌫-|--------|-|---⌫---|
Qeuous seiez lour seignur.	-|---|----|---|-------|
Siuousrequerpar am ur	-|---|-----|--|--⌫-|
Qe demafemme	-|-|-|----|
face z atant	----⌫|----|
ensemblant	-|-------|
Co meieome me s iceofuisse	--⌫-|--|--⌫--⌫|---|-----|
Q eeleench eson	-⌫|--|----⌫---|
Qe illok ees tautrede	-|-----⌫|--⌫|----|-|
Carieouousdyenbone	--|--|---|-|-|---|
Q eele est mo utap arceu ante	-⌫|--|--|--⌫-|--⌫-----⌫---|
Esir eAmisttres tutlegraunte.	|---⌫|----|----⌫--|-|-------|
ountt re stotc h au ng e ́	---|-⌫--⌫---|-⌫-⌫--⌫--⌫-⌫|
EAmyllioun se n estalé	|--------||-⌫|--|---|
Tutsouluasaunz	--|---|-|----|
compai nie.	------⌫---|
Ore D euslisoiten aye	--|-⌫--|-|---|-|--|
Edoigneqilpui sse bienfere	|-----||-|---⌫--|---|---|
Grantchose enprent	----|----|------|
pur son f rere	--|--|-⌫---|
Amysremaint	---|------|
odlameisn e ́	-|-|-----⌫-⌫|
Cumlis ireeenuoyé	--|-|-⌫--||------|
E quiderounttr estouzpuruoir	|---------|--⌫-----|--|---|
Qe ceofuit	-|--|---|
lourdreits eignur.	---|----|-⌫------|
Ela d amequant	|-|-⌫--|----|
liueuau eit.	-|--|--⌫---|
QeAmilli o unfu itbi enquideit.	-|------⌫-⌫-|--⌫-|--⌫-|-------|
Lesd euzfurentissid unsenblant	--|-⌫--|-----|---||-|-------|
Necrerreithomeiasi parceuant	-|-------|---|-|-|--------|
un dela utresoutdeuiser	-|-||-⌫---|---|------|
nounlesoistno mer	---|--|---|--⌫--|
Ne par cors ne	-|--|---|-|
parfasçon	--|------|
Parrienssipar la robenoun.	--|----|-|--|-|---|----|
Amisquan t	---|----⌫|
Lee zlad ame secoucha	---⌫|-|-⌫--|-|-----|
Saespeienueentreeusposa.	-|-----|--|----|--|----|
Ladamedeceosenmerueilla.	-|---|-|--||-----------|
Alada meneuol eitparler	|-|--⌫-|-|---⌫--|-----|
D esqe sa l ma t in	-⌫----⌫|-⌫|--⌫-⌫-|
Chescu nenuyti ssi	------⌫-|---|-⌫--|
sec ontint	-|-⌫-----|
Desques Am ylli oun ame sonu ynt.	------|--⌫----⌫--||--⌫--|-⌫---|
Ore lerro m deAmis	--|-----⌫|-|---|
Desir A mi llio un u o loms parler.	-|--|-⌫--⌫----⌫-|-⌫-⌫---|------|
L e iou ruintqefuistassis	-⌫|---⌫|---|-|----|----|
Entre leseneschaleAmys.	----|-|--------||----|
[ f.72rb ] Le s eneschalsefista rmer	-⌫------⌫-⌫-|-⌫-------|-|---|-⌫---|
Pu isde mau nda	--⌫-|--⌫---⌫--|
lebo ti ler	-|--⌫--⌫--|
E quantilnepout estr etroué	|----|-|-|---|----⌫|-----|
Ladame fui t	-|---|---⌫|
prise dur e mentlié	---||---⌫-⌫---|---|
Grantpitéauoient lag ent	----|----|------|-|-⌫--|
P lurente pleignentlourb eauté.	-⌫-----||--------|---|-⌫------|
Liquensqu emoutfuit irré	-|----|--⌫|---|---|----|
Alahas tauntlour iuggemen t	--|---⌫----|---|--------⌫|
Esiiuragrantsereme nt	|-|---|----|------⌫-|
Q eilmemeslesuerreit	-⌫|-|----|--|------|
Ataun tuirentuener	-----⌫|-----|----|
unch euale r	-|--⌫-----⌫|
Qeuerseuxfistg rant a le ure	-|---|--|---|-⌫---|-⌫--⌫--|
Poigna ntplusqeamblur e	------⌫-|---|-|------⌫|
q iluist f utgran tmenteff raé	|-|---|-⌫-|----⌫----|---⌫---|
E de les dames	|-|--|----|
eu s tgrant	--⌫-⌫|----|
Sireditil ieosuy u enu	---|--|-|--|--|-⌫--|
Dou ntu ous	---⌫-|-⌫--|
serttotceofu	---|--|--|-|
Q e pu r les	-⌫|--⌫|--|
damesfait esteit	----|---|-----|
Tropuil aine ro s teserreit	---|---⌫---|--⌫-⌫-|------|
Armesmef etes to stbaill er	----|-|-⌫---|--⌫-|-----⌫-|
Pur cestes	--|-----|
dam es d eliuerer	---⌫-|-⌫-------|
Ieodeffendraynostredreit.	--|---------|-----|-----|
Le quensqu a ntlecheualerueit	-|----|--⌫-⌫-|-|-------|---|
Bienquideitqeceofu itAmys	---|------|-|--|--⌫-|---|
De corsr esemblas tede u is.	-|---|-⌫--------⌫||-|-⌫--|
Bons ar mesdemaun da	---|--⌫--|------⌫-|
Eli memesle chiualer	|-|----|-|-------|
E nsoncoragefust	-⌫|--|-----|---|
Quantadl echiualersi bienarmé.	----|-|-⌫|-------|-|---|-----|
Puislidist suefen	---|-|---|---|-|
sonoraille	--|------|
Qesilpout d effendrela bata i lle	-||-|---|-⌫-------|-|----⌫-⌫--|
Sa f i lleafemmelyd orre yt	-|-⌫-⌫--||----|-|-⌫----⌫-|
E detote saterreheirlifreit.	|-|---|-|----|---|-|-----|
Estuenuzlasemblé	--|----||-------|
Ore mes sourdra	--|--|------|
Leunlautre desaf fi ent	-|-||----|-----⌫--⌫--|
Qeentreeus nul	-|----|--|--|
amu rne eyent.	---⌫|-|-----|
enuountleschi ual er s	-|----|--|---⌫---⌫--⌫|
Qi multsunt orguillo usefier s.	-|---|---|--------⌫-||----⌫-|
Ne au erame sterdeacord	-|--⌫--|--⌫---|-|----|
Lunhietlautre desqala mort.[f .72ua ]	|-|---||----|---||-|-------⌫-----⌫|
Nulde igne a autr eaffier	--|--⌫---||----⌫|-----|
prentaferir .	----||-----⌫|
Amilliounfiertle senesc hal	--------|----|-|------⌫--|
D ungrantlaunce	|-|----|-----|
Parmilesc upeint de asu r	----||---⌫|----|-|---⌫|
Mes lehaub ercfuistforte	--|-|----⌫--|----|---||
ma l ladgarri.	--⌫||-|-----|
Lesenesch al lireferri	-|-------⌫-|-|------|
Lour launc es ountas coupsbrusé	---|-----⌫-|---|-|----|-----|
Esisu ntoutrepassé.	|-|--⌫-|-----------|
Acelencoun treta nt	|--|------⌫--|--⌫-|
firentbie n	-----|---⌫|
Qe l un nel	-||-|-||
autrene perditren.	----|-|-----|---|
Amilliounuint parcorucer	--------|---|--|------|
Pa r iret retlebrankda sser	--⌫|--|-⌫--|-|----||-⌫---|
Leseneschal ferirala	-|--------|----|--|
En le healmegrantcoupsdona.	-|-|-----|----|----|----|
Me sleheal metan tfortfu	--⌫|-|----⌫-|---⌫|---|-|
Qede lamortladdeffen du	-|-|-|---||-|------⌫-|
Qel e coupal a	-|-⌫|---|--⌫|
desce n dan t	-----⌫-⌫---⌫|
surl arsounde uan t	--||-----|--⌫---⌫|
Tres tutt rench aquirefust	----⌫--|-⌫-----⌫|---||---|
Comsi rasourtren ché leeust.	--|-|-----|----⌫---|-|----|
Parmy lespaudledel chiual	----||-------|--|-----|
C olalebraun ke enterre	-⌫--|-|-----⌫-|-|----|
Pl usqeplein pé edem y	--⌫-|-|----|--||---⌫|
Lesenescha la t erre c hay.	-|--------⌫||-⌫---|-⌫---|
Qe poutqu antsoncheu alli ment	-|---|--⌫--|--|----⌫-|-|---|
Del copp arl ent durement	--|--|-⌫---⌫--|-------|
D istlunal autr e qelec hi ualer	-⌫--||-|||----⌫|-|-|-⌫--⌫----|
Ses ar m essout tropbien p orter	--|--⌫-⌫-|---|---|---|-⌫----|
Mes son coupesttroppes ant.	--|--|---|--|---|---⌫---|
Le se nescha lse leu eataunt	-|--⌫------⌫|-|---⌫|-----|
Qedolen t este corucé	-|-----⌫|--||------|
Q uantcombat redeit	-⌫---|------⌫-|---|
Ap lustostqilpo utseuengereit	|-⌫--|---||-|--⌫-|-|--------|
EAmy lliounapie ́se	|---⌫-----||---⌫|-|
Mesilap arceut tostlamanere	--|-|--⌫-----|---|-|-----|
Siceoretrettost arere.	-|--|-----|---|-----|
To stdescendideson d e str e r	--⌫-|-------|-|--|-⌫-⌫---⌫-⌫|
Combatreu ole i t pera per	-------|-⌫---⌫-⌫|--||--|
desoncheua l enuie.	-|--|-----⌫|-----|
Tan t f istil parsa	---⌫|-⌫--|-|--|-|
Meuz apiélestut ferir[f.72ub]	---||---||----|------------|
Quelessirsonch iualmorir.	--|-----|--|--⌫---|-----|
Le se nesc hal qenelpo ut amer	-|--⌫----⌫--|-|--|--⌫-|---|
Un gran tcou p	-|----⌫|---⌫|
li ui nt don er	-|--⌫-|---⌫-|
Amountelheaulmepeint deflurs	-----|-|------|----|-|----|
Qeto st abati les colu rs.	-|--⌫-|----|--|----⌫--|
senestrelecou p descent	-------|-|---⌫|------|
Maille strenchent	------⌫|--------|
plusdecent.	---|-|----|
Bienpre s passalecoste ́	---|---⌫|----|-|-----⌫|
Mes la charn a dp as	--|-|---||-⌫|-⌫-|
A myllioun qetantfu de	-⌫-------|-|---|-|-|
Mei ntcoupli dona	---⌫-|---|-|---|
ceoio u r.	--|--⌫-⌫-|
L a bataille adb ienduré	-⌫|-------|-|-⌫--|----|
Desque noune fust p a ssé .	-----|----|---|-⌫-⌫----⌫|
Lyseneschalfistmoultbie n	-|--------|---|----|---⌫|
Amil lioun ned ot a derien .	----⌫----|-|-⌫--⌫|-|----⌫|
Ne s a uoit	-|-⌫-⌫---|
nul del cha ump	--|--|---⌫--|
Leque lfuit me illour	-----⌫|---|--⌫-----|
c heualer.	-⌫-------|
Amillioun fustb ien an uié	--------|---|-⌫--|--⌫---|
Qelabataillead tantduré	-|-|-------|-|---|----|
uoudraiad oner	-----|-|-⌫---|
deit par dreitgreuer.	---|--|----|------|
Mesles eneschal	--|-|-⌫-------|
pr i mesliferist	--⌫-⌫--|-|-----|
Qe soncouptres bien apparist	-|--|---|---|---|-------|
Lahea lmedelcoupenbarra	-|---⌫--|--|---|------|
QeAmilliounf orteston a.	-|--------|-⌫--|-----⌫-|
Orepoettropattendre	--|---|---|-------|
Silne sache le	|-|-|----|-|
coup rendre	---|-----|
se n irragabb ant.	|-⌫|---|----⌫---|
Esire A m illioun atant	|---|-⌫-⌫------|----|
Ferirliuint par	----|-|---|--|
Qe lefeufisttresai ll er	-|-|--|---|------⌫--⌫-|
Qe lehealmefusttotpur fendan t.	-|-|-----|---|--|---⌫------⌫-|
En laceruele	-|-|------|
cola le br a n k	---|-|--⌫-⌫-⌫|
El orai l le odtot elaface	||----⌫-⌫-|-|---⌫|-|---|
uoler fistenmila place.	----|---|---|-|-----|
lebranktr ench a	-|----|--⌫----⌫|
Desqueenl a	-----|-|-⌫|
h au n c he lebranccola .	-⌫--⌫-⌫-⌫-|-|----|----⌫|
Encelchampfuben	-|--|----|-|--|
Par l i mes nie r t encusé.	--|-⌫|--||--⌫-⌫|-------|
Silchaist nestpasmeruail le.	|-|-----||--|--|-------⌫--|
Orefinistlabatail le.	--|-----|-|------⌫--|
Les unschaun terentles	--|--|-----⌫-----|--|
autresploreren t.	-----|--------⌫-|
Lescheual ers ia corerent[f.73ra]	--|------⌫--|-|---------------|
Me sle cou nte	--⌫|-|---⌫--|
uien t premer	----⌫|-----|
Atantsefistdesarmer.	----|-|---|--------|
Sileustp laie li de maunda	|-|---|-⌫---|-|--⌫-----|
quemal n en a	--|--||-||
s ainqepesson demer.	-⌫--|-|-----|-|---|
Atantliuou n ttou zbeiser	----|-|---⌫-⌫|---⌫|-----|
fist ladameioie	---|-|---|---|
pucele t oteuoie	-----|-⌫------|
Se mblantli fisttantco m	--⌫-----|-|---|---|--⌫|
C arso nperemoult	-⌫-|--⌫|---|----|
Le counteatantl adappelé	-|-----|----||-|------|
Dymoyfai t ilfille	-|--|---⌫|-|----|
uo usadc ombatu	--⌫-|-|-⌫-----|
Son e n em i adco nfundu	--|-⌫-⌫--⌫|-|--⌫-----|
Lyeuous a daquite ́	-||---|-⌫|------⌫|
Delfaitdountfuistes	--|---|----|------|
Sil uousu elt	|-|---|-⌫--|
Liporriezde quer amer	-|------|-|---|---|
Ee lere spountmoultsimplement	|-⌫-|--⌫-----|----|---------|
Totsoitauostretalent	--|---||-----|-----|
meuo lezmarier	-|--⌫--|-----|
Ieo ne medeuero y pas	--|-|-|------⌫|--|
Dountfutcomaundéalbaron a ge	----|--|--------|-|-----⌫-⌫-|
Qe eu s fe ussent al mariage.	-|--⌫|--⌫-----|-|-------|
Lendemai naterce s onant	|-------⌫||----|-⌫----|
Touzifurent petitegrant	---||-----|----||----|
Lesbaron s elescheual e rs	--|-----⌫||--|------⌫-⌫-|
Borg éss ergeans	----⌫--|-⌫------|
e esq uier s .	|---⌫----⌫-⌫|
Quanttouzfu rent assemblé	----|---|--⌫---|--------|
Lapucelef ut ame né	-|-----|-⌫-|---⌫--|
A lhui sd e moster.	||---⌫|-⌫|------|
QuantAmillioundeust sonnoun	----|--------|----|--|---|
Sisepu rpe nsamoult	-|-|--⌫---⌫--|----|
Oystuneuoizquelidisoit–	---|--|---|--|-|-----||
Qenulneoistf orsl i	-|--|-|---|-⌫--|-⌫|
Lessezlessezsi reAmilli oun	-----|-----|--⌫-|------⌫--|
Ieouousdic erteinenouele	--|---|-|-⌫------|-----|
Siuousesposezlad amoisele	-|---|------|-|-⌫-------|
Ein zqes oi nt .iii.anzpassez	---⌫|-|-⌫--⌫-|----|--|-----|
cestelepr ouzserrez.	----|----⌫--|------|
Au a nt mesunkesila idnef ust	--⌫-⌫-|--|---|-|--⌫-|-|-⌫--|
Homecomdir ebien l epoet.	---|--|---⌫|---|-⌫|----|
Amill i ounladbien	-----⌫-⌫--||-|---|
E lapri stsicom sond reu[f.73rb]	|-|---⌫-|----|--|-⌫----------|
Mes purc eo neuoutlesser	--|--|-⌫-|-|---|-----|
Me slares ceit comes am ullier.	--⌫|-|---⌫---|---|-⌫|-⌫------|
qeeusfuren ta parceu	-|--|-----⌫|-⌫-----|
C omen ts onfrereeus t	-⌫----⌫|-⌫-|----|---⌫|
Ladamois el efu itbenpaé	-|------⌫--⌫|--⌫-|--|---|
Quant adbaroun auolunté.	----|-|-----||--------|
Le counte t ynt	-|-----|-⌫--|
festeplenere	----|------|
Unesy maine	--|--⌫----|
toten tere	--|--⌫---|
Mout ifurentdes	---||-----|--|
rob es donez	---⌫-|----|
menestrauzfurent	---------|-----|
Lecou ntedona ases	-|---⌫--|---||--|
Les chiualselesdest rers.	--|------||--|----⌫----|
O reuusdei	-⌫-|--|--|
ieo biencount er	--|---|-----⌫-|
Comentilfi rentacoucher	-----|-|--⌫---||------|
Ladamead sondreuacolé	-|---|-|--|---|-----|
amour souentb aisé	----|-----|-⌫----|
Eenquidoitqeceof uAmys.	|-|------|-|--|-⌫|----|
MesA m illi ounqefu pensifs	--|-⌫-⌫----⌫--|-|-|------|
Bienentendienson	---|------|-|--|
Fereneliuelthounta ge	---|-|-|---|------⌫-|
D esonco mpaignoun trahir.	-⌫|--|--⌫--------|------|
Moult parf oundget t aun so spir	----|----⌫---|---⌫-⌫|-|--⌫---|
E el s uspir geintforment.	|-|-⌫----|----|-------|
Ladamelacolat endreme nt	-|---||----|-⌫-------⌫-|
Sili d emaundaquoi	-|-|-⌫------|---|
Epurqueitels suspirsgett eit.	|------|---|------|----⌫---|
D onkedits irAmillioun–	-⌫---|--|-⌫-|--------||
Neuodraceler so nno un–	-|----|----|--⌫|--⌫-||
Ieones uypascel iqeu ousquidez	--|-|-⌫-|--|---⌫|-|-⌫--|-----|
Deuostreespoi r fail liauez.	-|-----|-----⌫|----⌫-|----|
peusbiencounter	---|---|------|
Carbienledeuer ezceler.	--|---|-|-----⌫-|-----|
estreluyadco unté	----|--|-|--⌫----|
qil pre ndra c ong é .	|-|---⌫---|-⌫---⌫--⌫|
Quant ileust lecongé	----|-|---|-|-----|
E sei gnu rs	|---⌫---⌫-|
ouelydesqe	--|-|----|
Ensonpaissenestalé.	-|--|---||-|--|----|
AA mys adtrestotcounté	|-⌫--|-|------|------|
Comente ust finélabataille	-----|-⌫--|----|-|-------|
E comente us t fait laspo saille.	|-----|-⌫--⌫|---|-|---⌫------|
Enunec ham brepuisent rerent	-|--|-⌫---⌫--|---|---⌫-----|
Elourrobeschaunger e nt	|---|----|--------⌫-⌫-|
Donquenefuit	-----|-|---|
aparceu ant	-------⌫--|
estre tant nequant.	----|---|-|-----|
Aplustost qeAmyspoeit [f. 73ua]	|---|---|-|---|-----⌫---⌫----|
Congéadprissisen	-----|-|---|-||-|
Ensonpa y suer s	-|--|--⌫-⌫|---⌫|
Qetant am acomesauie.	-|---|--⌫|---|-|---|
Oreestmouten	--|--|---|-|
Car c ruli est parmariage	--|-⌫-|-|--|--|------|
Grant se ignur iee gra nthonur	----|--⌫-----⌫-||---⌫-|----|
t erresestil seignur	-⌫----|--|-|------|
De.ii i. coun t eze demy	-|---⌫-|----⌫-⌫-||---|
come liquens estfini.	---|-|----|--|----|
Oreest amée	--|--|---||
Nestoetmese streb o til er.	|-----|--|-⌫---|-⌫-⌫---⌫--|
Consail lerfut fa itesire	-------⌫--|--|--⌫-||---|
Qu antqil uol eitpor reit dire	--⌫---|-|---⌫--|---⌫---|---|
Te n ufu t pa rtotelaterre	--⌫-⌫|--⌫|--⌫|---|-|----|
Tantdemein tg rant affere.	---|------⌫|-⌫---|------|
Sa f emmelyaim e	-|-⌫---|-|---⌫|
t endrement	-⌫--------|
Sifi st totson	-|--⌫-|--|--|
commaundement	------------|
T antqel ecounteenmaladi.	-⌫--|-|-⌫|-----|--------|
lon gt emps out	---⌫--⌫---|--|
Moruste aD euren dists al me	-----|||-⌫-|---⌫---||--⌫-|
E tostaprès morus tla	|---|-----|-----⌫|-|
Quant mortz f ure ntpereemere	----|----|-⌫---⌫-|---||---|
Iln eeust soernefr ere	-|-⌫|---|---|-|--⌫--|
Forsoull adameqeAmisaueit	--|---|-⌫|---|-|---|----|
Purce o lesterre s receu oit.	--|--⌫|--|-----⌫|-----⌫---|
Or euodrom de Am is	--⌫|-----|-|--⌫-|
Qe as sez add ount	-|--⌫--|-|-⌫---|
uusdirrai desireAmillioun	--|-----|-|---|--------|
estoitlealcomp aignon.	-----|---|----⌫------|
Sa bele dameali	-|---|---||-|
Mediezparamou rdem oy–	-|---|--|----⌫|-|-⌫-||
aime enbonefey –	---|-|---|--||
Tae speenue meistes entrenous	-|-⌫---|--|------|----|---|
Sire purqueilefeistes	---|------|-|------|
Damei eoneledirrai me s	---|-⌫-|-|-|-----|--⌫|
Aceofui ieoco nfe ́s.	|--|--|--|--⌫---⌫--|
ParceosauoitsirAmilli oun	--|--|-----|--|------⌫--|
Qe Amisestoit	-|---|-----|
lealcompaignon.[f. 73ub]	---|--------------⌫----|
Ouesafeme tantdemo rr a	--|-|---|---|----⌫--⌫|
Qetotson p elly arracha.	-|--|--|-⌫-|-|-------|
Sima ladeesi laid deuint	-|--⌫---||-|---|-----|
Qeche cunpurm e sell i t int .	-|---⌫--|--|-⌫-⌫--|-⌫|-⌫---⌫|
Lada melitintt rop endespit	-|--⌫-|-|---|-⌫--|-|-----|
Neuole it entrer	-|----⌫-|-----|
en s on lit	-|-⌫-|--|
Neuo leit auxi odluiparler	-|--⌫---|---|-|--|-----|
l ibe i ur e	-⌫|--⌫-⌫--⌫|
M euz ceo diteleueut mori r	-⌫--|--|--|--|---|----⌫|
Qea liuousist	-||-|------|
Cilsoffriencel an	--|-----|-|--|-|
Grantdolure granthan.	----|----||----|---|
Sesc h e ual erstouzdepartoient	--|-⌫-⌫-⌫---⌫--|---|----------|
Sesgarsonstouzliguerpeient	--|------|---|-|---------|
Net rouaseriantn eesquier	-|-⌫---|------|-⌫|------|
Qe ewefroidel i uodr a	-|--|-----|-⌫|----⌫|
Tre stouz liountdeguer pi	---⌫----|-|---|------⌫-|
E s tre u nenfant q il out norri.	-⌫-⌫--|-⌫|-----||-|--|-----|
uncoun te son parent	-|----⌫-|--|-----|
O dlitintfermement	-⌫|-|---|--------|
Ed itque lineuel t	|-⌫-|--|-|-|---⌫|
Ne puru iurene purmorir .	-|--|-⌫---|-|--|-----⌫|
Ladame quemoutestennuyé	-|---|--|---|--|------|
Am b edeus sesthors	--⌫-⌫----||--|---|
Ele seign ur el eseria nt	|-|-----⌫-||-⌫|-----⌫-|
Si reAm yll oun	--⌫-|--⌫---⌫--|
la uile aunbord el	-|---||-|----⌫-|
Illoclour fistaue rho stel .	----|---|---|---⌫|--⌫----⌫|
O mis iresAmyllioun	|---⌫---|--------|
Miseste sa	--|----⌫||
poure garisoun	----|-------|
Iadisfusiree	----|-|---||
Nestpasmerueilesil	|--|--|-------||-|
La m ortd esirepl usqe	-|-⌫--|-⌫----|--⌫-|-|
Nulsolasad	--|----|-|
necompaig ni e	-|-------⌫--⌫|
aq ui parler	|-⌫-|-----|
Ne aqui po et	-||--|--⌫-|
s on do lurmoustrer	-⌫-|--⌫--|-------|
Fo rs alenfantquelyser ue i t.	--⌫-|||-----|--|-|---⌫--⌫-⌫-|
Amilliouncomplus uiueit	--------|--|---|-----|
Tantp luslei ddeuen eit.	---|-⌫--|---⌫|-----⌫---|
L a da me partantdefendi[f.7 4ra]	-⌫|--⌫-|--|---|-----------⌫---|
futsihardi	--|-|----|
Qederie nl i regardast	-|-|---⌫|-⌫|--------|
Ne quema ngerlidonast.	-|--|--⌫---|-|------|
L enfantquantoy celcomaund	|-----|----|-|--|------|
ou querelouruiureaua nt.	-|----|---|----|---⌫--|
Tan tostcountaason	---⌫---|-----||--|
Ei l d it Cest m al d olur	|-⌫|-⌫-||--|-⌫-|-⌫---|
Quantn auomabo iure ne amange r	----||---||--⌫---|-||-----⌫|
N epoums icyplusdemorer.	-⌫|----|--|---|-------|
IhesulefizseinteMarie	----|-|--|-----|----|
Comlong esme d urrac este u ie	--|----⌫-|-|-⌫---|-⌫---|-⌫-|
Ieosole iauergra nttre s our	--|----⌫|---|---⌫-|---⌫-⌫--|
E st reseruid	-⌫--⌫-|----||
argent edor	-----|||-|
tantdemené	---|------|
maui e estgrant	-|--⌫|--|----|
defeimmorirdeueray	-|---|----|------|
Dem eim emesforcene fr ay.	-|-⌫-|-⌫---|----|-|--⌫--|
Lenfantasoidon queappelast	|-----||--|---⌫--|-------|
liconi urast	-|----⌫----|
Qeilloec morirlelessast	-|-----|----|-|------|
E yl enson pai s	|-|-|--|---⌫|
Lenfant respoundi par gr a ntdouçur	|-----|--------|--|--⌫-⌫-|------|
Mer ciD eu	---⌫-|-⌫-|
mo n seignur	--⌫|------|
Meu z uoilod uo us	---⌫|---|-|--⌫-|
suffrir dolur	------|----|
Qe sanzuous estre	-|---|---|----|
Quan tl un	----⌫||-|
lautreadr egard e	|----|-|-⌫-----⌫|
Mou testentreeu x	---⌫|--|----|--⌫|
grantpité	----|----|
Plurente decirentl ourdraps	------||-------|-⌫--|----|
Souentseclaiment ch eitife	-----|-|-------|--⌫----||
Plein en tdegrant chiualrie	-----⌫--⌫|-|----|--------|
Lehonur ela seignu rie	-|----||-|------⌫--|
Qes ireAmilliounauo iteu	-|-⌫--|--------|---⌫-|-|
Qeoreestdeu encu .	-|--|--|---⌫----⌫|
Len ou nuousdirrayde lenfant	-|-⌫--⌫|---|-----|-||-----|
La gen tl appe lentAmorant	-|---⌫||----⌫---|------|
Me sUweinfuit	--⌫|----|---|
sondreit n ou n.	--|----|-⌫--⌫-|
Donq uelidistsireAmyllioun	----⌫-|-|---|---|--------|
Oweynala dam e	----||-|---⌫|
Nostrec ongé deli	-----|-⌫----|-|-|
prendre z.	-------⌫-|
Hors d eceopaisirroms	---|-⌫|--|---|-----|
to stque nous pooms .	--⌫-|--|---|-----⌫|
Mesie onepuis al er apié[ f.74rb]	--|--⌫|-|---|--⌫-||-----⌫------|
Prie zalui parcharité	----⌫||--|--|-------|
Qeieopuisse	-|--|-----|
c hi u acher.	-⌫--⌫-⌫-----|
ladame ala	-|---|--|
Son messagelicounta.	--|------|-|------|
Eleli f i stuna sneauer	--|-|-⌫-⌫-|-|-⌫--|---|
lessei ntziu rer	--|---⌫--|--⌫--|
en lepaisne uendreit	-|-|---|-|-------|
Delhu req eissiserreit.	-||--⌫-|-⌫|---|-------|
Horsdel pa is senuo nt	---|--|--⌫-||-|--⌫-|
Iam ésqu ide n t qereue n droun t.	---⌫--|--⌫---⌫-⌫|-|----⌫-⌫-----⌫-|
