CO N STANTIN OPLE	--⌫-⌫-------⌫---|
se femm eetsepourpensaq uille uoloit	-|----⌫|-|-|--------|-⌫|-|-|-----|
marier auplu shautementquil	-----|-|---⌫|--------|-|-|
p orroitetparl econseil	-⌫-----|-|--|-⌫|------|
Fr a nc hoisq uientor	--⌫-⌫--⌫---|-⌫-|----|
luie st oientsimanda a	--|-⌫--⌫----|-|----||
Phelipp omle roide	-------⌫-|-|--|-|
Franchequilli	------|-|-|-|
donn astse s ereurauec senfil	----⌫--|-|-⌫----|---|--|--|
Si enuoiali	-|-----|-|
emperer essesmessage sen	-------⌫-|--|-------⌫|-|
Fran chequimo ltestoient	----⌫--|--|--⌫-|-------|
hau thommeet	---⌫|----|-|
moltyalerentri kement ne onque sne uiton	---||------|--⌫-----|-|-----⌫|-|--|-|
gens plusrikement neplusnobleme nt aler	---|---|-------|-|---|-------⌫-|---|
quechilfisentsique li	--|---|-----|-|--|-|
Franceetsegent se merueillierent d ele	-----|-|-|---|-|-------------|-⌫|-|
grantno blec hequelimessageme noient	----|--⌫----⌫-|--|-|------|--⌫-----|
m essage uinrre ntau	-⌫-----|------⌫-|-|
lidisentc houquel i	-|-----|-⌫--|--|-⌫|
empereresli ma ndoit	--------|-|--⌫----|
Et liroi sdit qui ls en conseillero i tet	-|-|---⌫|--|-|-⌫||-|-----------⌫-⌫|-|
quant lir oisse fuconseillie ́s sili loerents i	----|-|-⌫--|-|-|----------⌫-|-|-|------|-⌫|
baron quilenuo ias t sesereura si	----|-|-|----⌫---⌫|-|-----||-|
hauthommeet	---|----|-|
asirikehommecomme	|-|---|----|----|
li emp e reresestoit	-|---⌫-⌫----|-----|
Dontsirespo ndiliroisas messa ge squ i l	---|-|-----⌫--|-|---|-|-----⌫--⌫|-|-⌫|
enuo ieroit uolentiers	----⌫-----|---------|
ses ereuralemp ereur	-|-⌫----|||---⌫----|
A d ontsiat or nali	-⌫-⌫--|-|--⌫--⌫-|-|
roismout rik emen t	---|---|---⌫----⌫|
se se reursilenuoia auecle smessages en	-|--⌫---|-||-----|---|--⌫|-------|-|
Constantinobleet as sésd e segentaueclui etcheua uchi erent	-------------|-|--⌫---|-⌫|-|---|---|--|-|-----⌫----⌫----|
ta nt et e rrerent	--⌫-|-|-⌫------|
q u ilne cesserent	-⌫|-|-|--------|
siui nrenten	-|--⌫----|-|
Cous tantinoble	----⌫---------|
Qua ntil furent u en usie nfi stliempe reresmolt	---⌫-|-|-----|-⌫--⌫|-|-⌫|--⌫-|-|----⌫----|---|
gr ant feste de ledamoiseleetg rantgoie	--⌫--|----|-|-|--------|-|-⌫---|---|
Ent rem entiers que liemperer e seuten uoi épourcheled amoisele	---⌫---⌫------|--|-|-------⌫-⌫|--|--⌫---⌫-|---|----|-⌫-------|
si renuoiad autre par to utr emerunsi en	-|------||----|---⌫|-⌫---⌫|--|-|--⌫-|
paren t q uil moltamoit	-----⌫|-⌫|-|---|----|
Andromesauo i tanon p ourl e roine	-------|---⌫-⌫||--|-⌫--|-⌫|----|
Teu dore de	---⌫---|-|
Iher usalemq uise suerses toit qu	----⌫-----|-⌫-|-|----|--⌫---|-|
a u courou n ement	-⌫|------⌫-⌫----|
sen filetasefes te	--|--|-||-|---⌫-|
Andromeaueniren	------||----|-|
Constantinoble	-------------|
Quant ilfurentbienalé	----|-|-----|---|---|
au anten le	--⌫--|-|-|
nefaitm aisel	-|---|-⌫--|-|
Andromes s i aamaleroinequi se	-------|-⌫|---|-|----|--|-|
cousi nee stoit e tiutalu ia forche	-----⌫-|-⌫----|-⌫|--||--⌫||-----|
Etquant il eut	-|----|-|--|
chefaitsinosare u enir	--|---|-||--|--⌫-⌫---|
ar rie reen	--⌫---⌫-|-|
Cousta ntinobl ea inspristle roine	------⌫-------⌫|-⌫--|----|-|----|
si le nm ena	-||-⌫|-⌫--|
Illue quessi demoura	-----⌫---|-|------|
Quan t li empereres	----⌫|-|--------|
Manuaus seutl es nou ueles que	------|---|-⌫-|---⌫----|--|
A ndromeseutsifa it ement le	-⌫------|--|-|--⌫--⌫----|-|
roinese seureurmen ee sienfu t	----|-|------|---⌫-|-|-|--⌫|
molt do lensetpo ur chene lass a	---|--⌫---|-|--⌫-|--|-|----⌫|
ilmiequ ilnefesist	-|--|-|-|-|-----|
g ra ntfestee tquil necoron astsenf ilet	-⌫--⌫-|----|-⌫|-|-|-|-----⌫--|--|-⌫-|-|
leda moi selene	-|--⌫---⌫---|-|
d emoramie g raumen taprés	-⌫----|--|-⌫------⌫|-----|
que li emp ereresmorut	--|-|---⌫-----|----|
Andromes litra ï tre soïdireque	-------|-|---⌫--⌫---⌫|--|---|--|
li emp er eres	-|---⌫--⌫---|
Mannuaus fumors si enuoia a s enfilqui	-------|-|---|-|-----||-⌫-|--|--|
empereres est oitet seli	--------|---⌫--|-|-|-|
fist r equerre pour	---|-⌫------|---|
li pardonnastsen mautalent etsi lifis t acroireque	-|---------|--|--------|-|-|-|---⌫|------|--|
c henefu s emen choingnenon	-⌫-|-|-|-⌫|---⌫-------|--|
queon liauoi t missustantq ue li	--|-|-|----⌫|--|--|---|-⌫-|-|
emper ere squienfes estoit	-----⌫---⌫|--|----|-----|
li pardonnasenmauta lent silimanda t a ntque	-|-------|--|-----⌫---|-|-|----|-⌫-⌫-|--|
A ndro mesreuintarriereet	-⌫----⌫--|-----|------|-|
fuentorl enfant tantque	-|----||-----|---|--|
l ienfeslefistbailliude tote	-⌫|----|-|---|------|-|---|
seterr ee tqu	-|----⌫|-⌫|-|
ilf uorguell e xquetropde l e balliiequ	-|-⌫|-------⌫-⌫|--|---|-|-⌫|------|-|
Ne demoramie	-|-----|--|
graumentaprésquil prist par	-------|-----|-|-|----|--|
nuitlempereursilemourdrietsemere	---||-------|-|-|------|-|-|---|
Q uantileutc hefai tsipristdeus	-⌫---|-|--|-⌫-|---⌫|-|----|---|
grandesmespierr essile urfistlier	---------|-----⌫-|-|--⌫-|---|---|
etpuissilesfist	-|---|-|--|---|
geter en l emer	----|-|-⌫|--|
sefistc o ronertot aforceaemp ereur	-|---|-⌫-⌫----|--||----||---⌫----|
Quant ilf u coronéssi	----|-|-⌫|-------|-|
prendretrestou s	------|-------⌫|
chiaxqueil	----|--|-|
seutqueilenpes oit qu	---|--|-|-|---⌫--|-|
emper eressileur faitilcreuer	-----⌫---|-|---|---|-|-----|
les ie xetde struire etdemalemortmorir	--|--⌫|-|--⌫------|-|-|---|---|----|
Etprenoit tou tes lesbelesfem mesque i lt ro uo it	-|------|---⌫--|--|----|---⌫--|--|-⌫|-⌫--⌫--⌫-|
s ig esoit	-⌫|-⌫----|
a eles a fo rcheetpristlempeerrisa	|---||--⌫---|-|----||--------||
femme qui estoit	----|--|-----|
suersle roi de	----|-|--|-|
Franch eetfisttant de	------⌫|-|---|---|-|
sigrans desloiautésqueonques nu s tr ai ̈tres ne nusmourdrissierres	-|----|-----------|--|-----|--⌫|--⌫--⌫----|-|--|--------------|
tantne n fistco mmeilfi st	---||-⌫|---|--⌫--|-|--⌫-|
Q uantileutfaites	-⌫---|-|--|-----|
touteschesdesloiautésapr éssidem anda aun	-----|---|-----------|---⌫--|-|---⌫---||-|
sienmaistreballiuquili aidoitafai reto utesches	---|------|-----|--|-|-----||---⌫-|--⌫---|---|
malau entures seilyauo it	-----⌫------|-|-||---⌫-|
m aisde ch i axqu ile n p esast	-⌫--|-|--⌫-⌫-|-|-|-⌫|-⌫----|
qu i l est oitempereres	-|-⌫|---⌫--|--------|
Et chi slire spon di qu i ln	-|---⌫|-|--⌫----⌫-|-|-⌫||
ens auoitmaisnu lforsqueon	-|-⌫----|---|--⌫|---|--|-|
d iso itquil auoittroi s ioules	-⌫---⌫-|-|-|----|----⌫|-----|
uas le ́senle uile qui	---⌫--⌫-|-|-|---|--|
estoien t dunlignage	-------⌫||-|------|
q ueonapeloitle li gnag ed	-⌫-|-|------|-|--⌫----⌫||
Angleetestoie nthauth ommemaisil nestoi ent mie	----|-|------⌫-|---|-⌫---|---|-||-----⌫--|--|
rikeainsestoie ntp o urene	---|---|------⌫-|-⌫-⌫--|-|
nes toie nt mie d e	|--⌫----⌫-|--|-⌫|
grantpooir	----|----|
Quan tli e mperere s	----⌫|-|-⌫-------⌫|
Andromes oï	-------|--|
que sifaitementestoientchiltroiuaslet	--|-|--------|-------|---|---|-----|
de ch ulignagesikemandaac he lui	-|--⌫|------|-|------||-⌫--⌫--|
senballiuqui moltestoitmal ua ish onsettraïtr esaus i	--|-----|--|---|-----|---⌫--⌫-|-⌫--|-|-------⌫-|---⌫|
comme ilestoitqu illes	----|-|-----|-|-|--|
alastpre nd reetquill es	----|---⌫--⌫-|-|-|-|-⌫-|
pendi st ouquilles fesistde male	-----⌫-|-|-|-|--|-----|-|---|
mort mor i r	---|---⌫-⌫|
Liba lli ussenalapour	-|--⌫---⌫-||-|--|---|
prendreche stroi sfreresmai siln	------|---⌫|----⌫|-----|---⌫|-||
enpri stqueun	-|---⌫-|--|-|
et li do iesc aperent	-|-|--⌫|---⌫------|
Chelui qui	-----|--|
fupri sonli	-|---⌫|-|-|
fistc reuer l es iexaprés il serendi	---|-⌫----|-⌫-|--|-----|-|-|----|
Lidoiautre se n fuirent sisen ala	-|--|----||-⌫|------|-||-|--|
liu ns enu neterequeonapele	-|-⌫-|-|-⌫-|---|--|-|----|
Blakiechi sau oitnon	-----|---⌫|--⌫--|--|
Kyrsac etliautress	-----|-|-|-----||
Anthiocheetfuprisde s	--------|-|-|---|--⌫|
Sa rrasi ns pa rune cheuauchie quelic re stienfi sent	--⌫-----⌫-|--⌫|--|---------|--|-|-⌫--⌫----|--⌫---|
Chis quien	---|--|-|
Blakie estoitfuiss iy fu sipouresqu	-----|-----|---|-⌫||-|-|-----|-|
se pooit warirtantquil	-|----|----|---|-|-|
sen reuin t	|-|-----⌫|
arriere en	------|-|
Constantino blepar	-----------⌫--|--|
fine pouretési	---|-------|-|
s e muchaenlemaisona uneueue	-⌫|----|-|-|-----||--|---|
dameenleuile	---|-|-|---|
Ornauoitilnulcatelusiecleforsune	-||----|-|--|----||-----|---|--|
mu leetunuasletsi waaingnoit chusuallésa	--⌫-|-|-|-----|-|---------|---|------||
enuinsque le portoite naut r escoses chou	-|---|-|-⌫-|------|-⌫|---⌫-⌫-|----|---|
Kyrsaacssessireset iluiuoienttan tquelesnouueles	-------|--|----|-|-|-------|---⌫|--|--|-------|
alempereuruinren t	||-------|------⌫|
A ndr ome le trai ̈teurqu ech is	-⌫---⌫--|-|----⌫----|--⌫|--⌫-|
estoitsif aitementreue nusen le	-----|-|-⌫-------|----⌫--|-|-|
Adont si keman da asenbal liuqui	----|-|-----⌫-||--|---⌫--|--|
moltest oithaïsdeto tegentpour	---|---⌫--|----|-|--⌫-|---|---|
lesmaxquilfaisoitcascun iour qu	--|--|-|-|------|-----|---|-|
ilalastpre ndre	-|----|---⌫---|
Kyrsac etqu	-----|-|-|
illependisttant	-|-|------|---|
quec hismonta uniour seurs en cheu al	--|-⌫--|----|-|---|---|-⌫-|----⌫-|
e tpristass ésg entaue c lui si	-⌫|----|---⌫--|-⌫--|---⌫|--|-|
s e n alaale	|-⌫|--||-|
mai sonle b oine	---⌫--|-|-⌫---|
K yrsaacsesto it	-⌫------|----⌫-|
Quant il uintl asifistap elera	----|-|---|-⌫|-|---|--⌫---||
boin e femmeuintaua ntsisemeruella	----⌫|----|---|---⌫-|-|-|-------|
uolo it tant	----⌫-|---|
quili kemandaqu	-||-|------|-|
elefesi stuenir auan tchel iqu ie stoitmuchiés ens e	--|----⌫-|----|----⌫|----⌫|--⌫|-⌫----|-------|-|-⌫|
Leboinefemme respon di si dist	-|----|----|------⌫-|-|---|
Ha sirepour	-|---|---|
Dieum erchiiln anulhommechaiensmuchié	---|-⌫----|-|||--|----|------|------|
Etilkemandaau trefois	-|-|------|--⌫--|---|
quelelefesis t u enirauanto u	-|--|-|-----⌫|-⌫---|----|-⌫|
s el enelfaisoituenir quilefe r oit	|--⌫|--|------|----|-||-|--⌫-⌫--|
prend r el	-----⌫-⌫||
un etl autre	-|-||----|
Quantlebo ine fe m meoïchousieutgrant peur	----|-|--⌫--|--⌫-⌫-|--|---|-|--|----|---|
de chud iab leq uitantauoitfait	-|--|-⌫---⌫-|-⌫-|---|----|---|
dema lsi senentra	-|--⌫|-||-|----|
e nsemaison siuintauuaslets e lidist	-⌫|-|-----|-|---|-|-----|-⌫|-|---|
Ha biau s ire	-|---|-⌫--|
Kyrsa cuo usestesmors ueschile	-----⌫|--⌫-|----|---|-----|-|
balliulempereuretmoltde	-----||-------|-|---|-|
gent auecliqui uousso nt uenuquerrepo ur	---|---|-|--|---|--⌫-|---|-----|--⌫-|
uou s destruireet pouruoustuer	---⌫|--------|-|---|---|---|
Liua slés fumoltesmarisquan il oï ches	-|--⌫----|-|---|------|---|-|--|---|
nou uelesettant qu il uint a uan t	---⌫----|-|---|-|-|---|-⌫---⌫|
quilne se peut	-|-|-|-|---|
esto rdr eanul	----⌫---⌫||--|
fuerq uil na las tho rs	---|-⌫|-||-⌫---⌫|--⌫-|
achu balliu	|--|-----|
ilmais elsi	-|---|-|-|
prent ilsespee	----|-||----|
s ileme til souss en surcot	-⌫|-|--⌫|-|---|-⌫-|-----|
se sen ist il	-||-|--|-|
h o rsde lemaison	-⌫-⌫-|-|-|-----|
siuient il	-|----|-|
deuantl eballiusel i dist	-----|-⌫|-----|-|-⌫|---|
Sirequepla is tuous	---|--|---⌫--⌫|---|
Etchisli respondi molt fenelesseme nt se	-|---|-|-------|---|-----------⌫-|-|
Ribaus puansonuouspe nde ra	-----|----|-|---|--⌫---⌫-|
Kyrsaacsuitquili couuenoitalerauec aus maugr é	-------|--|-||-|--------|---|---|--|-----⌫-|
sien etmolt	---|-|---|
uolo ntier ss	----⌫-----⌫||
enueniastdauc u ndau ssese traitil	-|------||---⌫-⌫||--⌫|-|-|----|-|
pl uspresquilpeustde chuballiu	--⌫-|---|-|-|----|-|--|-----|
sitraistilsesp eesifi er tilchu	-|-----|-||---⌫-|-|--⌫--⌫|-|--|
balliu p armile test esiqu il lepourf endi	-----|-⌫-|-|-|----⌫|-|-|-|-|-----⌫---|
trestoutdusques esdens	-------|------|-|---|
Quant liseriantet le	----|-|------|-|-|
estoient auec	-------|---|
leballiuuirrentqueli	-|-----|------|--|-|
uasl ésauoitsipo urfendu le balliusi s	----⌫--|----|-|--⌫------|-|-----|-||
enf uirent	-|-⌫-----|
Quant li ua slésu itqu il	----|-|--⌫----|-⌫-|-|-|
fui oients iprent ille c heua lleb alliuqu	---⌫----|-⌫|----|-|-|-⌫----⌫|-|-⌫----|-|
i lauoit ochissimo nt eilsus et tint s	-⌫|----|----|-|--⌫--⌫|-|--|-|---||
es peequitote e rtsanente	--⌫--|--|---|-⌫-|------|
mais e l sisemetal e uoie a aler	---|-⌫|-|-|--||-⌫|---||---|
u er slemoustie r	-⌫--⌫|-|-------⌫|
Si comm e ilsen alo itsicrioit merchi	-|----⌫|-||-|---⌫-|-|-----|-----|
asgensqui estoient	-|---|--|-------|
a ual l e sruesquitotestoientesmaride	-⌫--|-⌫-⌫|---|--|--|-------|-----|-|
leno i sequ	-|--⌫-⌫-|-|
ilauoient o ïesil e urd isoitli	-|------|-⌫--|-|-⌫-⌫-|-⌫----|-|
Seignor pour	------|---|
D ieu me rchine metuésmie	-⌫--|--⌫---|-|-|----|--|
car ieaiochis	--|-|-|----|
le diable et	-|-----|-|
lemordrisse eu rqui toutes	-|---------⌫--⌫|--|-----|
les hontesa faites	--|-----||-----|
achiausde chesteuile e t	|-----|-|-----|---|-⌫|
uint au moustier	---|-|-------|
Souphies i mon t a seurlautel	------|-⌫|---⌫-⌫|---||----|
e nbracha lecrois p ourche	-⌫------|-|----|-⌫--|--|
quiluoloitsauu er	-|-|-----|----⌫-|
Aprés licris	-----|-|---|
etlenoisefu molt grans	-|-|----|-|---|----|
en leuiletantalaamont	-|-|---|---|--|----|
etaual licrisqueonleseutpartou te	-|---|-|---|--|-|-|---|--|---⌫-|
leuilecomment	-|---|------|
Kyr saceut chu mauféetch u mo rdrisseeurochis	---⌫--|--|--|-----|-|--⌫|--⌫---------|----|
Quant ch ilde	----|--⌫-|-|
leu ile le seu rent sienfure ntmo ltlié	-|-⌫--|-|---⌫---|-|-|----⌫-|--⌫-|---|
sik eurentilqui m iexmiex	-|-⌫-----|-|--|-⌫--|---|
a umoustier	-⌫|-------|
Souphiepour ueirchu uasletqui chuhardement	------|---|---|--|-----|--|--|--------|
auoitfa it	----|--⌫-|
Si comme il fur entla tou tasanlé	-|----|-|---⌫--|-|---⌫|------|
sicommenchiere ntadire	-|------------⌫-||---|
Chis testuaillansethard isquan t sigrant har dement	----⌫|--|-------|-|----⌫-|----⌫|-|----|---⌫-----|
e ntre pr istafaire	-⌫----⌫--⌫--||----|
Griudisententrau s	---|-----|---|--⌫|
Faisonslebi enfaisons dechest uasletemper eur	------|-|--⌫-|------|-|----|-----|-----⌫--|
Ta n t quil s iacorderenttout	--⌫-⌫|-|-|||---------|---|
Sienuoient ilpou rle patriarch e	-|-------|-|---⌫|-|---------⌫|
quiamee smed ilu ecestoi tensenpalaisq u	--||---⌫--||---⌫-|-----⌫|-|--|-----|-⌫|
ilueni st c oron erun	-|----⌫-|-⌫----⌫-|-|
nouuelempereeurq uila uoienteslut	-----|--------|-⌫|-|-⌫-----|----|
Quan tlipat ri a rchesoïchousidi stqu	----⌫|-|---⌫--⌫-⌫----|--|---|-|--⌫-|-|
il nenfero itnient	-||-|----⌫-|----|
etcommenchaadire	-|--------||---|
Seig neur mal	----⌫---|--|
Soiés enpais	-----|-|---|
u ousnefaites miebi en	-⌫--|-|-----|--|--⌫-|
qui auéstele coseentreprise	--|----|---|---|---------|
Seioulecorounel i	-|--|-|------|-⌫|
Andromes metueroite t	-------|-|------|-⌫|
decoper oittout en pieches	-------⌫--|---|-|------|
G rieulirespondirentq uesilnelecorouno itqu	-⌫---|-|-----------|-⌫-||-|-|-|-------⌫-|-|
illicouperoientletestetan t	-|-|----------|-|----|---⌫|
que li patriar ch es quepar f orc hequ e	--|-|-------⌫--⌫-|--|--|-⌫---⌫-|--⌫|
parpeurque ileut	--|---|--|-|--|
d escendidesen palaissisen ui n taumous ti er	-⌫------|-|--|-----|-||-|--⌫-⌫|-|----⌫--⌫-|
Kyrsacsestoit enm oltpou r er obe	------|-----|-|-⌫--|---⌫-⌫|-⌫--|
et enmol t pou re	-|-|---⌫|---⌫-|
uesteur e queleiourmeesme auoitliem pereres	-------⌫|--|-|---|-----|----|-|--⌫------|
Andromesenu oiésenballiuet	-------|---⌫---|--|-----|-|
ses gen spourluip rendreet	--|---⌫|---|--|-⌫-----|-|
destr uiretantquelipatriarkessereue sti si le	-----⌫---|---|--|-|---------|-|----⌫--|-|-|
coronaluésesraum entuausist ou ne dengnast	-----|----|------⌫--|------|-|-|-------|
K yrsacsfucoroné ssienale rentle s	-⌫-----|-|-------⌫|-|-|---⌫---|--⌫|
nouuele stant amontet au alque	-------⌫|---|----|-|--⌫-|--|
And ro mesleseut etqu il	---⌫--⌫--|-|---|-|-|-|
auoitsenb alliuochisne ne	----|--|-⌫----|----|-|-|
onquescroiredeu antlaqueil	-----|-----|---⌫--|-|--|-|
yenuoiases	|-----|--|
E tquantsime s sageuinrrentla siuirr entbien que	-⌫|----|-|--⌫-⌫---|-------|-|-|----⌫--|---|--|
chefu uoirs sisenreuienenttantost a rrierea	--|-|----|-||-|--------|------|-⌫-----||
lempe reur	|----⌫---|
S irech est	-⌫--|-|--|
toutu oi rs	---|-⌫--⌫-|
Q uantli empereresseut que chefu uoirs si s e	-⌫---|-|--------|---|--|--|-|----|-|-⌫|
l eua si pristmoltdesegent aueclu isi	-⌫--|-|----|---|-|-|---|---|--⌫|-|
d usq ues au mo us tier	-⌫---⌫--|-|--⌫--⌫---|
S ouphieparunsalooirsqui alooien t de	-⌫-----|--|--|------|--|-------⌫|-|
senpa lais d usquesaum oustier	--|--⌫---|-⌫-----|-|-⌫------|
Quantilui nta u moustiersifisttant	----|-|--⌫-|-⌫|-------|-|---|---|
quilfus e urle s	-|-|-|-⌫-⌫-|--⌫|
u au tes dumoustiersiu itc heluiquiestoitcoronnés	-⌫--⌫--|-|-------|-|-⌫-|-⌫----|--|-----|--------|
Q uantil leui tsienfumolt	-⌫---|-|-|--⌫|-|-|-|---|
dolensetdemanda	-----|-|------|
ily auoitc helui quieust	-||----|-⌫----|--|---|
nula rctan tqueo nenaportaun	--|-⌫-|---⌫|--|-⌫|-|-----|-|
etune s aiete	-|--|-⌫----|
A ndromes pr entchel arcsi en toise sicui defe ri r	-⌫------|--⌫--|---|--|-|--⌫----|-|---⌫-|--⌫--⌫|
Kyrsacquicorounésestoi tparmil eco rs	-----|--|--------|-----⌫|--|-|-⌫|--⌫-|
Si commeile ntesas irumpilecor de et	-|----|-|-⌫----|-⌫|----|-|---⌫-|-|
ilenfumolt es maris	-|-|-|---|--⌫----|
etmolt e sperdus s isenreu intarriere	-|---|-⌫------|-⌫||-|---⌫--|------|
tant quil d ist as egent quilalaissent	---|-|-|-⌫--||-⌫|---|-|-|--------|
freme rlespor tesdu pa laise t	-----⌫|--|---⌫--|-|--⌫---|-⌫|
quilsarmaiss entetq u il deffendis sentl epala is	-|-||-------⌫--|-|-⌫|-|---------⌫---|-⌫|----⌫-|
etilsifisent	-|-|-|-----|
Et ilse niss i e nt reme ntiers	-|-||-⌫|---⌫|-⌫--⌫----⌫-----|
dupalaissi sen ui nta une fause	-|-----|-||-|--⌫-||--|----|
posternesi s	-------|-||
en istil de	-|--|-|-|
e ntra e n unegalie etde sesgens	-⌫---|-⌫|--|----|-|-|--|---|
aueclui sisemistenle mer	---|--|-|-|---|-|-|--|
pourchequ i l	---|--|-|-⌫|
neuoloitmieque l egen t	-|-----|--|--|-⌫|---⌫|
deleuile lepre sissent	-|-|---|-|---⌫------|
Apre ́sleg ent de	----⌫-|-|-⌫--|-|
leuilealerent upalais e tm enerentlenouuelempereeur	-|---|------||-----|-⌫|-⌫------|-|-----|--------|
Si prisen t	-|------⌫|
lepalaisaforche s i y meneren t lemperee ur	-|-----||-----|-⌫||-------⌫||-------⌫-|
apréss ilassisentenla caiere	-----|-⌫||-------|-|-|-----|
Coustentin etpuisquil	---------|-|---|-|-|
fuas sisenlaca iere	-|--⌫--|-|-|--⌫---|
Co us tentinsilaou rerenttot comme	--⌫--⌫-----|-||---⌫-----|--|----|
sai ntempereeur	---⌫-|--------|
Liem perer esfut moltl iésde legrant houneur	-|--⌫-----⌫-|--|---|-⌫---|-|-|----|------|
Diex l i auoit e nteli our	---|-⌫|----|-⌫|--|-⌫--|
donnee si dist as gen s	-----|-|---|-|---⌫|
Sei gneurorueésle grantmeruelledele	---⌫----|-|----|-|----|-------|-|-|
grandhounourque	----|------|--|
donnée queen cheliourmees mequeon	------|--|-|---|---|----⌫-|--|-|
med eu oitprendr e et	-|-⌫--⌫--|------⌫|-|
essillie r ench elior	--------⌫|-|--⌫-|--|
m eesmesuicorrounés a empere eur	-⌫----|--|---------||------⌫--|
Etpur legrant hounour	-|--|-|----|------|
queuousm auésfait e uou sdoi nsiou	--|---||----|----⌫|---⌫|---⌫-|--|
trestot l e	------|-⌫|
tresorqu i estenchestpal aisetu pa la is	-----|--⌫|--|-|----|---⌫--|-||--⌫--⌫-|
Quantlesgensoïrentchousi e nfurenttout	----|--|---|------|---|-|-⌫|-----|---|
liédu g rant	---|-|-⌫---|
d onquel iempereres le ureutdonné si	-⌫-|--|-⌫|--------|--⌫-|--|-----|-|
alerent sies fondrerent	------|-|--⌫---------|
le tresor s iy trouerent	-|-----|-⌫||--------|
tant d oretd argentc ommeu nefine	---||-|-||-----|-⌫---|-⌫-|---|
meruellesi le	-------|-|-|
d ep artirententrau s	-⌫--⌫-------|---|--⌫|
Le nuit m e esmeque	-|---|-⌫-⌫---|--|
Andromessen fuioitleuaunesi	-------||-|-----|---|--|-|
granttor menteen lemer etunesi	----|---⌫----|-|-|--|-|--|-|
g ranttempesteque deuentquedetou noi rre que	-⌫---|-------|--|-|---|--|-|---⌫---⌫--|--|
desclistreque	|--------|--|
iln e segent n eseurentquelpar til	-|-⌫|-|---|-⌫|------|---|---⌫|-|
aloienttan tqueliora ges etletormente	------|---⌫|--|-|---⌫--|-|-|-------|
lesra cacha a rriere	--|--⌫----|-⌫-----|
Cous tantinoblequilnen	----⌫---------|-|-||-|
seu rentmot	---⌫---|--|
Quantilui r rentq u ilfu ren tater eet	----|-|--⌫-⌫---|-⌫|-|--⌫---⌫||---⌫|-|
quilnepeuren tauantalersi	-|-|-|------⌫|----|---|-|
Andro mes asegent	-----⌫--||-|---|
Seigneuresgardésou nouss ommes	-------|--------|-|---|-⌫----|
Il esgarderentet	-|----------|-|
uirrent bie nqu	------|---⌫|-|
ilest oient reuenu en	-|---⌫----|-----|-|
Constanti nobletantquildi sent a	---------⌫----|---|-|-|--⌫---||
Siren oussommesmort	---|-⌫--|-----|---|
car nous sommesr euenuarriere	--|---|-----|-⌫----|------|
Coustantinoble	-------------|
A ndromesoïchousifus iesmaris quil	-⌫------|--|---|-|-|-⌫|------|-|-|
qu efairesidist	--⌫|----|-|---|
a se g ent	|-|-⌫--|
Seigne urpour	------⌫-|---|
Dieumenésnou s ailleu rsde	---|-----|---⌫|------⌫-|-|
Et i lrespondi rentqui lne p ooient	-|-⌫|--------⌫---|-|-⌫|-|-⌫-----|
auant alerquil e urcouperoit leste stes	----|---|--|-⌫-⌫-|--------|--|--⌫---|
Q uan t i l uir rent quil nepeur entauant ale ra	-⌫---⌫|-⌫|---⌫---|-|-|-|----⌫--|----|---⌫||
nulfue r siprisen t	--|---⌫|-|------⌫|
empereeurs il enm enerentenune	--------|-⌫||-|-⌫------|-|--|
t auernesilemuchierent de rriere lestouniaus	-⌫-----|-|-|---------|--⌫-----|--|-------|
Litauerniersetse	-|---------|-|-|
femm e e sgard ere nt molt	----⌫|-⌫-----⌫---⌫-|---|
b ien auis quech	-⌫--|---|--|-|
estoitdel egentlempereeur	-----|-|-⌫|---||--------|
Andrometa ntque lef emmeau tau er ni er	------|--⌫-|--|-|-⌫---|-|---⌫--⌫--⌫-|
alapara u enturee ntor sestouniaus ueirqu	--|--|-⌫-⌫-----|-⌫---|--|-------|---|-|
il fu issentbie n	-|--⌫-----|---⌫|
serésiesgardaam ontetaualsiuoit	----|-|------|--⌫--|-|---|-|---|
Andromeseirderriere	------|---|-------|
lestouniausatou s se sdra s	--|-------||---⌫|--⌫|---⌫|
emp eriaus si le recon nut moutb ien	---⌫-----|-|-|-----⌫--|---|-⌫--|
r euintel ea rr iere asenbaro nsilid iste le	-⌫----|--⌫|-⌫--⌫---||--|----⌫|-|-|-⌫--|-⌫-|
An dromeslie mpe reresestmu ch iéschaiens	--⌫-----|-|-⌫---⌫----|--|--⌫--⌫---|------|
Qu antlitauerniersloï	--⌫--|-|---------||--|
sienuoiaun message	-|-----|-|------|
po urunh authommequimanoitpres d iluec	--⌫-|-|-⌫--|----|--|-----|---||----|
enungrandpalai s cui	-|-|----|-----⌫|--|
perea chelui	---||-----|
Andromesa uo itdestruitet s i auoit	-------|-⌫--⌫-|-------|-|-⌫|----|
chuhauthomme	--|---|----|
Quant li mes sagesuintla	----|-|---⌫----|---|-|
sidistachu	-|---||--|
hauth ommeque	---|-⌫---|--|
Androme s estoi t	-------⌫|-----⌫|
alemais onchutauernie r	|-|----⌫-|--|--------⌫|
haushonsoï que	---|---|--|--|
Androme sestoita lemaiso n chu tauerniersienfu	-------⌫|-----||-|-----⌫|--|--------|-|-|-|
moltliéssiprentil	---|----|-|----|-|
de se gentaue cluisiua	-|-|---|---⌫|--|-|-|
