nepuetue nirtroptart aoeure	-|---|--⌫--|---|---||----|
endieupriantl esmainsioingnoit	-|---|-----|-⌫-|----|--------|
cest e regleat ant maintenue	----⌫|----||-⌫--|--------|
quaranteanz ala	-------|--|--|
deusp etizpa ins nongueres	---|-⌫---|--⌫--|--|-----|
d ece l suesquiparp lusors	-⌫|--⌫-⌫|-----|--|-⌫-----|
lepremieran deuindren t dur	-|------|-|---------⌫|--|
comsefussentpierr esde	--|-|------|-----⌫-|-|
chascunior enmen iam arie	------|--|-|---⌫-|-⌫---|
petite partie	-----|-----|
sipain s ontfa illi etme ngié	-|---|-⌫--|--⌫---|-|--⌫----|
pa s estran gie ́	--⌫|------⌫---⌫|
le b ois p o r faute deuiande	-|-⌫--|-⌫-⌫|----|-|-----|
autresdelicesnedemande	-----|------|-|------|
fors quele rbedupre	---|--||-⌫--|-|--|
sicommeuneautrebeste mue	-|----|--|----|----|--|
deleuebeuoitau	-||--|-----|-|
quelenauoitpointdeu ess el	-|--||----|----|-|-⌫---⌫-|
nefetapl ain dre	-|--||--⌫---⌫--|
li pechiez	-|------|
p u isquel icors sestatac h iez	-⌫-⌫----|-⌫|---||--|----⌫-⌫--|
afer e sifortpenitance	|---⌫|-|---|--------|
derbe s estoitsasous tenance	|----⌫|-----|-|----⌫------|
deables tempterla	------|------|-|
etlesfezl i rament euoit	-|--|--|-⌫|------⌫----|
quele auoit fet	-|--|----|--|
ensaiouent e	-|-|------⌫|
liunsapre s l autre la tempte	-|--|----⌫||----|-|-----|
marie questu d euenue	----|-|-|-|-⌫-----|
ces t bois es toutenue	---⌫|---|-|----|--|
lesse leboisetsiten	----|-|---|-|-||-|
folefuquanttu	---|-|----|-|
t enirledoita g rantfoli e	-⌫---|-|---||-⌫---|----⌫|
cilquiuoit tame l ancolie	--|--|---|-|--⌫-⌫------|
ladam een tent b i en led eable	-|---⌫|--⌫---|-⌫-⌫-|-|-⌫----|
biense tque cest	---|--⌫|--||--|
mencongeetfa bl e	-------|-|--⌫--⌫|
tantaap r islonest eui e	---||--⌫-⌫-||-----⌫|--⌫|
qu e toute	--⌫|----|
lamauueseo ublie	-|------|-⌫----|
nelen souie nt	-||-|-----⌫-|
nenelenchau t	-|-||-|----⌫|
det emptacionnedeassa ut	-|-⌫--------|-|-|----⌫-|
quar tanta	---|---||
le boscageapr is	-|------|---⌫-|
ettan tde repas ia	-|---⌫|-|----|||
ple gesqui bienla	---⌫--|--|---|-|
et lauisi teetlaregar de	-|-|----⌫-|-|-|-----⌫-|
quele na gardequ	-|--|||----|-|
e leenchi ee	-⌫-|-----⌫-|
neq uedesormeslimeschiee	-|-⌫-|-------|-|-------|
tozlesdiset setanz pr em iers	--|--|--|-|--|--|--⌫--⌫---|
fu li dea blescoustumiers	-|-|---⌫---|----------|
de lit empter enit el guise	-|-|-⌫-----|-|--⌫-|----|
mesquantiluoitquepetitprise	--|----|-|---|--|----|----|
sonditsonamoneste ment	--|--|--|--------⌫---|
songeu et sonesbatem ent	--|--|-|--|-------⌫--|
silalessap lusne li n uit	-|-|----|-⌫--|-|-|-⌫--|
nelens ouint ne	-||-|-⌫----|-|
or uousl er ai est er	-|---|-⌫--⌫-|---⌫-|
quilecors per tporgarder l	--|-|---|---⌫|--|-----||
siu ousdirai dune	-|-⌫--|----||--|
gent sainte	---|-----|
quifesoitpenitanc emainte	--|-----|--------⌫|-----|
e nle glis edepa les tine	-⌫||-⌫----⌫|-|--⌫---⌫---|
estoitla gentde	-----|-|---|-|
b one or ine	-⌫--|--⌫--|
e ntrec es genzot unpreudomme	-⌫---|-⌫-|---|-|-|--------|
quezozimaslesto irenomme	--|------||----⌫--|----|
preudomfuetde sainteuie	------|-|-|-|-----|--|
nauoitdes ric heces en uie	|----|--|---⌫----|--⌫--|
f ors do nesteui e	-⌫--||-⌫----|--⌫|
etbieni s auoit a ssener	-|---||-⌫----|-⌫-----|
quardeslebercuelcomme nca	---|--|-|------|-----⌫--|
des lebercuelet puisenca	--|-|------|-|---|---|
iusquenla findesone age	----|-|-|--|-|--|-⌫--|
ius quesmorsen pristlepaage	---⌫---|---|-|----|-|----|
unsautreszozim asesto it	--|-----|-----⌫-|----⌫-|
qu igue res namoit	--⌫|---⌫--||----|
neihesu cristnesacreance	-|----|----|-|-|------|
ainz est oitplainsde	---|---⌫--|-----|-|
mescreance	---------|
porceconne doit menteuoir	--|-||-|-|---|--------|
i lnap oint	-⌫|||-⌫---|
nede l eautenedefoi	-|-|-⌫----|-|-|--|
por cel elaiseties i	--|-|-⌫|---|-|-|-⌫|
cilzozimaslibiencrean z	--|------|-|---|-----⌫|
ne fur ecreanz	-|-|-⌫------|
dedie useruir enti rement	-|---⌫|-----|----⌫-----|
tou tpr e mi erement	---⌫|--⌫-⌫--⌫------|
tou telordr e	---⌫-||----⌫|
q ue deriensn enfistaremordre	-⌫-|-|----||-|---||-------|
la conue rsacion	-|-----⌫------|
des fre res	--|---⌫--|
procuroitcommeabes	--------|----|---|
etparparole	-|--|-----|
e tparouura ingn e	-⌫|--|-----⌫----⌫|
sique lag ent depar	-|--|-|-⌫--|-|--|
uenoienttuit a	-------|---||
sado ctrine	-|--⌫-----|
enlegl is e de pales t ine	-||---⌫--⌫|-|-----⌫-⌫--|
poraprendreachastementuiure	--|-------||---------|----|
pa r les enseignemenz	--⌫|--|-----------|
cinquantetroisanz d emora	--------|----|--|-⌫----|
e n legliseetlabora	-⌫||-----|-|-----|
tellab orcommoineslabeure	--|---⌫-|--|-----|------|
dieup roier achascune eure	---|-⌫----||-------|---|
unioreng r ant	-|--|-|-⌫-⌫--|
decuerensarelegion	-|---|-|-|-------|
chei etdist	---|-|---|
entel ma ni ere	-|--|--⌫--⌫--|
i enesai auantnearri ere	-⌫|-|--|----|-|----⌫--|
qu ide mordre mepuist reprendre	--⌫|-||----|-|----|--------|
nequi noientm	-|--|-----||
enpuis tapre ndr e	-|----⌫|----⌫---⌫|
philosoph enautrehomme sage	---------⌫||----|----|---|
tantaie ntapr is moniage	---|---⌫-|---⌫-|------|
nailesdeser s quim euaille	||-|-|-----⌫|--|-⌫|-----|
gra insil sontlapaill e	---⌫--|-|---|-|-----⌫|
zozimasaai nsiparlé	------||--⌫--|-----|
luiloéparlonc	--|---|--|---|
sico mtem p tezdeuaineg loire	-|--⌫|---⌫-⌫--|-|----|-⌫----|
ihesucrizleprist enmemoir e	----|---|-|----|-|------⌫|
un saintesperitli enuoi e	-|----|------|-|-----⌫|
en hautli distsiqueill	-|---|-|---|-|--|-||
zozim as moultas	-----⌫-|----|-|
etmoultaston	-|----|-|--|
cu erforsriué	--⌫-|---|----|
quand tudisquetu es p arfe z	----|-|--|--|-|-|-⌫----⌫|
et par p aroles et	-|--|-⌫-----|-|
uoirs estta	----|--|-|
regle amoul t ualu	----||----⌫|---|
mes autreuoi ee stdesalu	--|----|---⌫|-⌫-|-|---|
au treuoieueusquerre	--⌫--|---|---|-----|
laistameson isd etaterre	---|-|----|-|-⌫|-|----|
l ais lelacionde	-⌫--||------|-|
e s t preus quageterp uer	-⌫-⌫|----|-||----|-⌫--|
faiausicom fistabraham	--|---|--|---|------|
qu ipordi eusoufrimain tahan	--⌫|--|--⌫-|-----|----⌫|---|
qui senfu ie nun	--||----⌫|-⌫|-|
porap rendrel e dieu	--|--⌫-----|-⌫|---|
de ioustele	--⌫-----|-|
flunio rdai ndroit	---|--⌫----⌫|----|
ettufaiissioren droit	-|-|--|---|----⌫----|
bia ussirediex	---⌫-|---|---|
distzozimas	---|------|
glor i experetu quimas	----⌫-⌫-|---|-|--||-|
pa rto nesperituisité	--⌫|--⌫|------|------|
feretauolente	---|-|------|
adoncissidesame s on	----|---|-|-|--⌫-⌫-|
conque sn iot autrereson	|-----⌫|||-|----|----|
lelieules t outant	-|---|---⌫|-|---|
e tpa r yueret	-⌫|--⌫|---|-|
auflunior dain tantost en	-|---|---⌫---|------|-|
q uar le command eme n tretint	-⌫--|-|-------⌫---⌫-⌫|-----|
quedie xliauo itcomm an dé	--|---⌫|-|---⌫-|----⌫--⌫--|
droit alegl isequidede	----|||---⌫--|--|-|-|
estoit iluec fete et	-----|----|---|-|
lemenacils a nzdemoree	-|---|--|-⌫-⌫-|------|
uenuzsenest droita la porte	----||-|--|----||-|----|
sicomsainzesperi zle porte	-|--|----|------⌫|-|----|
lepor tier apele il res p ont	-|---⌫---|----|-|---⌫-⌫--|
que de noientnesere pont	--|-|-----|-|-|--⌫---|
ainzala querr eson abe	---|--|-----⌫|--|--|
ne laes charninegabé	-|||--⌫-----|-|----|
liabesuientce luiregarde	-|---|----|--⌫--|------|
de sonabit sestbienprisga rde	-|--|---||--|---|---|--⌫--|
puis s iest	---|||--|
misaoroison	--||------|
apresore rdi st sareson	----|---⌫|--⌫-|-|----|
distlab es	---||--⌫-|
dontest esuo u sfrere	---|---⌫-|--⌫-⌫|----|
d epalestineb iausdouzpere	-⌫|--------|-⌫---|---|---|
porlamede moi miexualoir	--||--|-|--|---|-----|
ai mis mon	-|--|--|
nonchal oir	--|----⌫--|
porplusdedifi ca tion	--|---||-----⌫--⌫---|
uiengenuo str er eligion	----|-|--⌫---⌫|-⌫------|
li abesbia usamis	-|---|---⌫-|---|
enpourel ieu u ou sestesmis	-|----|-⌫--|-⌫--⌫|----|--|
s ire ieuiparplusorssignes	-⌫--|-|-|--|------|-----|
quecistlieusest du mien plus di gnes	--|---|----|--|-|---|---|--⌫---|
distlabes parhumilite	---||---|--|-------|
d ie xsetnostre	-⌫--⌫|--|-----|
etil sinou sensaint a fer e	-|-|-|---⌫|------||---⌫|
telchosequi	--|----|--|
quarieuouspuisbien afi er	---|-|---|---|---|---⌫-|
puet autreedefie r	---|----|------⌫|
me ismes a	--⌫----||
luinaprent	--||-----|
les biense tiln eserepr ent	--|----|-⌫|-|-⌫|-|----⌫--|
desma u sde qoi ilest	--|--⌫-⌫|-|--|-|--|
quart elssontle sdieu	---|-⌫--|---|--⌫|---|
uolen t ez	-----⌫-⌫-|
etpuisque lagr ace deuine	-|------|-|--⌫--|-----|
uousamain e	---|-----⌫|
ano stredoctrine	|--⌫---|-------|
pre ne z autelco mnous a uons	---⌫--⌫|----|--⌫|---|-⌫---|
quemiexdiren euous	--|---|---|-⌫|---|
puisq uediexnousamisensamble	-----⌫-|---|---||--|-------|
pen sserac eme sambl e	---⌫----|-⌫|-|-----⌫|
e tno uslen	-⌫|--⌫-||-|
lesson cou uenir	-----|---⌫----|
quarbien set lessienssousteni r	---|---|--|--|----|--------⌫|
zozimaslepreudommeent ent	------|-|--------|---⌫--|
q uin ese ua mieuantant	-⌫-|-⌫|-|-|--|------|
lesfreresuit demoultsain t e stre	--|-----|--|-|----|----⌫|-⌫---|
bien serua nz dieuleroi	---|-----⌫-|---|-|--|
en geun esenpenitan ces	-|----⌫-|-|-------⌫--|
eten autres gr an zabs tinances	-|-|-----|--⌫--⌫|---⌫-------|
en uigilese n saumoier	-|------|-⌫|-------|
nesi sauoi enta moier	-|||-----⌫--|-⌫----|
nauoien tpas rentesa u iu re	|------⌫|--|-----||-⌫--⌫-|
ch ascune decentaineliure	--⌫-----|-|-------|----|
neuendoientpasblea ter me	-|--------|--|--||---⌫-|
il finaissent	-|---------|
mi exdunelerme	--⌫-||--|----|
que d unem ineo u dun	--||--|-⌫--|-⌫||-|
deforment sill or	-|------||-|-⌫-|
fustmestier	---|------|
qua nt zozimas uit cest egent	---⌫-|------|--|----⌫|---|
quadi eusont	-||--⌫-|---|
sisaint e tsi ge nt	-|----|-⌫|-|--⌫-|
etqu e deladeuinegrace	-|--⌫|-|-|-----|----|
r e splend is soittoutelorfa ce	-⌫-⌫------⌫--⌫---|----|--|--⌫-|
etil uitqu	-|-|--|-|
au o ientcure	--⌫-⌫---|---|
daua ricenedeluxure	|---⌫---|-|-|-----|
ainzerentenleusolitaire	---|----|-|--|--------|
porplusdepenitancefair e	--|---|-|--------|----⌫|
moult li fistgrant	----|-|---|----|
bie ncesachiez	---⌫|-|------|
quarmoulte nfu	---|----|-⌫|-|
plusata chiez	---|---⌫----|
adieuseru irde boncorage	|---|----⌫-|-|--|-----|
etbiensepensse quilsont sage	-|---|-|-----|-|-|---|---|
des s ecreza leurcreator	--|-⌫----||---|------|
deuan tpasques fontlor ator	-----⌫|------|---|--|---|
delapurificacion	-|-|-----------|
etprenentabsol ucion	-|------|-----⌫----|
delorabesi commoisamble	-|--|--|-|--|--|-----|
senissenttuitensamble	|-|-----|---|-------|
por souffri rettrauaile t	--|-------⌫|-|------|-⌫|
par l esdeserslaquarantaine	--|-⌫-|-----|-|----------|
liunport entpa inou leun	-|-|----⌫--|--⌫-|-|---|
lia utr esenuont tuitgeun	-|-⌫---⌫||-|---|---|---|
sedeuientilnont	-|------|-||--|
tantd auo ir	---||---⌫-|
quilenp uis sentdupain auoir	-|-|-|-⌫---⌫---|-|---|----|
potage etde pai n	-----|-|-|---⌫|
par l eplain	--|-⌫|----|
etdesracine squeil trueuent	-|--|------⌫|--|-|-------|
ainsinc enquaresm e s espr ueuen t	------|-|-------⌫||----⌫-----⌫|
gracesr endentetsi saumo ient	-----|-⌫-----|-|-|-----⌫---|
l i un le sautresuoient	-⌫|-|--⌫|-----|-----|
sanz a resnieretsanz motdi re	---|-⌫------|-|---|--|--⌫-|
senpassent outret outa	|-|------|----|-⌫--||
e t a lissirde	-⌫|||----|-|
l ormoustier	-⌫-|-------|
dientcestesia umedusautier	----|----|---⌫--|-|------|
sir e m es enluminem en z	---⌫|-⌫-|---------⌫--⌫|
messaluzet mes	--|----|-|--|
sauu eme n z	----⌫---⌫-⌫|
etle sa u tresuer sdece	-|--⌫|-⌫-⌫---|---⌫|-|-|
iss i uonttoutelaquaresme	---⌫|---|----|-|-------|
nulefoiznueurenti lla	---|---||------|-⌫|-|
senest iss i	-||--|---⌫|
comdiexaporte	--|---|-----|
aucunmoineparaue n ture	----|----|--|---⌫-⌫---|
a desmesure	|--------|
sisauuages sisolitaires	-|-------|-|---------|
q uet respassanzni passe g ai res	-⌫-|-⌫---------|||----|-⌫--⌫--|
porce im enadi ex son preudomme	--|-||-⌫--|--⌫-|--|--------|
etbien lepe rc ut cestlasomme	-|---|-|--⌫--⌫-||--|-|----|
queporceliamena die x	--|--|-|||----|---⌫|
que moul t estoit h umbles	--|----⌫|-----|-⌫-----|
quan til partoien t	----⌫|-|--------⌫|
de leglise	-||-----|
quelne rem ainsistsanzser ui s e	-|-|-|---⌫------|---|---⌫--⌫-⌫|
un frereou deusili lessoi ent	-|----|-|---|-||------⌫--|
ettou t ainsinquessen issoient	-|---⌫|---------||-|-------|
etlors restoien tclos	-|---|--------⌫|---|
queianefussentouuer tpui s	--|-|-|------|-----⌫|---⌫|
de uan t a	--⌫---⌫||
la pas queflorie	-|---⌫--|-----|
qu ar riers	-|--⌫----|
enlor h erbregerie	-|--|-⌫---------|
repero ient de	------⌫---|-|
c elbosc age	-⌫-|----⌫--|
etraportoitensonc orage	-|--------|-|--|-⌫----|
sonfruitsanzlunal autre	--|----|---||-|||----|
quarbienp eussent	---|---|-⌫------|
desconfire	---------|
lorpe nssee parg loire uaine	--|--⌫----|--|-⌫----|----|
sechascuns deis tsoncouuaine	-|-------|----⌫|--|-------|
alazozim as	--|-----⌫-|
d ieuseruirnefulas	-⌫--|-----|-|-|--|
i cilpo rsoncorssous tenir	-⌫--|--⌫|--|---|----⌫----|
po r la ler etporle uenir	--⌫||-⌫--|-|--|-|----|
porta aucuneg a rison	----|-----|-⌫-⌫----|
ici notpoint	--||-|----|
deme sprison	-|--⌫------|
unior aloitparm i	-|--|----|----⌫|
netrouapa s uoieasonchois	-|----|--⌫|---||--|----|
nequedents i fistgrantior nee	--------|-⌫|---|----|---⌫--|
et alatantsanzdemoree	-|--|---|---|------|
que u inte ntrenonneenmidi	--|-⌫--|-⌫---|----|-|---|
lo rsa cr iéadieumerci	--⌫-||--⌫--||---|----|
seseuresdistde chiefenchief	--|----|---|-|----|-|----|
qu ebiene nsotuenirachief	--⌫|---|-⌫|--|----||----|
pui ssereprentach em iner	---⌫|-|------||--⌫--⌫---|
etbienuousdisanz	-|---|---|-|---|
quil icui doi ttrouerherm it es	-|-||---⌫---⌫|-----|----⌫--⌫-|
poramender parlor	--|------|--|--|
issic heminalesdeusi o rs	---|-⌫-----|--|---|-⌫-⌫-|
que petizli	--|----|-|
fulis eiors	-|-|-⌫----|
nen trouanu ssised emeu re	|-|----|--⌫|-|-|-⌫----⌫-|
ami edi commenc a	|--⌫--|-------⌫|
quantil ots oroi son fenie	----|-|-||----⌫--|----|
sise torna dautrep art ie	-|-|----||----|-⌫---⌫-|
etregardauerso rie nt	-|------|---|-⌫---⌫-|
uneom b reuitson	--|--⌫-⌫-|--|--|
uneo mb reuit dommeou defam e	--|-⌫--⌫-|--||---|-|-|---⌫|
estoit delabonedame	-----|-|-|---|---|
au oitiluec amene e	--⌫--|----|-----⌫|
neuoloit q ueplusfustcel ee	-|-----|-⌫-|---|---|---⌫-|
d esc ouurirli u outletresor	-⌫---⌫-----|-|-⌫--|-|-----|
etb ienestoit r esondes	-|-⌫--|-----|-⌫---|--|
quant lipreudomuitla figure	----|-|------|--|-|-----|
u erslisenua g rant a leure	-⌫--|-||-|-|-⌫---|-⌫----|
moultfu celedeioieplain e	----|-|---|-|---|-----⌫|
quanteleotueu	----|--|-|--|
formehumaine	----|------|
nequedentele fuhonteuse	--------|--|-|-------|
de fuir nefupereceuse	-|---|-|-|--------|
fuiisne lement	--|----⌫-----|
etcilla suitapertement	-|--|-|---|---------|
cuin aparoit pointde u iellece	--||------|----|-|-⌫------|
defaint ise	-|-----⌫--|
c eluicoroittant	-⌫---|-----|---|
etsin estoit	-|-||-----|
il gueresfors	-|-----|---|
soue ntlapele e tdistamie	----⌫-||----|-⌫|---|---|
pordieuquarne me	--|---|---|-|-|
fe te smie	--⌫--⌫|--|
cor reapres	---⌫-|----|
uousnemoilas ser	---|-|--|---⌫--|
quar foiblessui ne pui spasser	---|------|--|-|---⌫|-----|
ieteconiur	-|-|-----|
queentoncorsmetes aro i	--|-|--|---|----|---⌫|
b rief m ent teconiurparcelu i	-⌫----⌫-⌫--|-|-----|--|----⌫|
qui refuserne set	--|------|-|--|
parquilitiens cors	--|--|-|----|---|
estd eser s	--|-⌫----⌫|
bru llezparces desers	---⌫---|--|--|-----|
tulepar d on	-|-|---⌫-⌫-|
mescouteetsi mentens	|------|-|-||-----|
quantm arieot parlerde dieu	----|-⌫---|-|-----|-|---|
porqui eleu int	--|--|--|-⌫--|
en cellieu	-|--|---|
enplorantuers lec ieltendi	-|------|---|-|-⌫--|----|
ses main setceluiatendi	--|----⌫|-|----|-----|
mesunruissel par m aintesf oiz	--|-|------|--|-⌫-----|-⌫--|
auoitcoru p arle sdestroiz	----|---|-⌫-|--⌫|-------|
d ep a r ti l undelautre	-⌫--⌫-⌫-⌫-||-|-||----|
cele quinot lange	---|--||-|----|
nefa u tre	-|--⌫-⌫--|
nelingenautre	-|----||----|
co uuert ure	--⌫-----⌫--|
n osapas monstrers afigure	|--|--|-------|-⌫|-----|
ainzlidist perezozimas	---|-|---|---|------|
porqoitanten c hacie mas	--|--|---|--⌫-⌫----||-|
sui toute nue	--|----|--|
moultgrant	----|----|
desconuenue	----------|
ge tem oiauc ungarnement	--⌫-|-⌫-|---⌫-|--------|
si me uerras ape rtement	-|-|-----|---⌫------|
etlorsmorrasa toiparler	-|---||----||--|-----|
u ueila toi	-⌫---||--|
quant z ozimas no mm ers oi	----|-⌫-----|--⌫--⌫-||-|
moultduremen ts en esb ahi	----|-------⌫||-|---⌫--|
nequedentbien setetent ent	--------|---|--|-|---⌫--|
quecestdedieu	--||--|-|---|
omnipotent	---------|
sesgarn emenz li	--|----⌫----|-|
etpuisapreslen aresone	-|---|----||-|------|
etquantmariefucouuerte	-|----|----|-|-------|
siaparle ́ ab oucheouuerte	-||-----⌫||-⌫----|------|
siref etelebiausa mis	---|-⌫-|--|----|-⌫--|
ieuoibien q ue	-|--|---|-⌫-|
diexuousamis	---|---||--|
ciiluecporparlerensamble	-|----|--|-----|-------|
ienesaiquedemoites amble	-|-|--|--|-|--|-|-⌫----|
me siesuiunepecherresse	--⌫|-|--|--|----------|
etdem ame murtr isse r resse	-|-||--|-----⌫----⌫-⌫----|
por mesp ec hiez po r mesmesfez	--|--|-⌫--⌫---|--⌫|--|-----|
et porles gra nzmausqueiai fe z	-|--|--|---⌫-|---|--||-|--⌫|
f eremapenita nce	-⌫--|-|------⌫--|
