#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
Conqu ispa rforce.ua	-----⌫-|--⌫|-----|-|
c ouientam oiioster.	-⌫-----||-⌫-|------|
Auo idit Laq uisnon	---⌫|--|---⌫--|--|
Iemer ent pr i s et uosme nrai	-|-|-⌫--|--⌫-⌫|-|--|--⌫---|
Apréslui. - Ia ne	-----|---||-|-|
m i menras	||-----|
Neuoi en eminomeras	-|---⌫|-⌫|||------|
D euantque	-⌫----|--|
ie sachesan zfaille	-|----|---⌫|-----|
Liqueusest plusforzen ba tai lle	-|----|--|---|---|-|--⌫---⌫--|
D en ossi tedira i	-⌫|-⌫-|-|-|----⌫|
Quesetuesplusforzdemoi	--|-|-|-|---|---|-|--|
Ne saipo r quoi	-|--|--⌫|---|
ialass equerre	|-----⌫|-----|
Plusfortse ietepuis	---|---|-|-|-|---|
Netefaingpa s	-|-|----|--⌫|
it anttemenbre	--⌫--|-|-----|
Cestsanzmerci tuper d ras	|--|---|----|-|---⌫-⌫--|
Laquis respontIedesf endrai	-----|------|-|----⌫-----|
Mesme nbrestantcom	--|--⌫----|---|--|
ie porrai .	-|------⌫|
Quendiro ie Cestla parclose	-|-|----⌫-||--|-|-------|
Cesteb ataill eestnule	----|-⌫------⌫|--|---|
Q uenpetitdore fuuain cue.	-⌫|-|----||--|-|----⌫---|
L Outredotez	|---------|
quitoz lestu e	--|--|--|--⌫|
Leuaint par	-|----|--|
forceetlaco nquis.	----|-|||--⌫-----|
Etles.II.dame spor	-|--|---|----⌫|--|
Crïentmerci mes cest n oien z	------|----|--||--|-⌫----⌫|
Quonques mer cinentr a laienz .-	-|-----|---⌫-||----⌫|------⌫-|
Ou- En soncuerqu e	-||-|--|---|--⌫|
Deusm audie	---|-⌫----|
ueut queLaqui sdie	---|--|-----⌫|--|
De Meraug isquil ena	-|------⌫-|-|-|-||
Lefiert et	-|----|-|
ditQuelpart senuet	--|---|---||-|--|
Nomelauoie-Si re ad estre.	---|-|---||--⌫-||-⌫-----|
Etilleprentdeuerssenestre	-|-|-|----|-----|-------|
.I. des ieuzuoler	--|--|---|----|
pora ssener	--|-⌫-----|
A la uoiequil	|-|---|-|-|
Moutlableciéaprésli	---|||------|-----|-|
Laqu isiaplusnetefera i	----⌫-|-|---|-|-|----⌫|
Mal deu a ntla lors tocirrai	--|---⌫-⌫-|-|---||------|
Meraugisuai ncu.	-------|---⌫---|
Eti auroiemou tbeluescu	-||-----|---⌫|--|----|
auoied e uos.II.	----|-⌫|--|---|
La batai lle.Iam e s	-|-----⌫---|-|-⌫-⌫|
Qu e iaiel	--⌫||-|-|
Deuant quecele hore uendra	-----|--|---|---|-----|
Qu emeso iedelui uengié.	--⌫|-|--⌫-|-|--|-------|
Deuantquelaiedetrenchié	-----|--||--|----------|
foli o110b	----⌫----|
N as tu gardemet talauoie	|-|-|----|--|||-|---|
en uet.Einsi leconuoie	-|---|----|-|------|
Laquis qui l	-----|---⌫|
maineapréssonmest re.	----|-----|--|----⌫--|
Lesdamesqui neuoudren te stre	--|----|--|-|-------⌫|-⌫---|
Elpaueillonpl uslonguement	-|--------|--⌫-|---------|
uontet plorenttendremen t	---|-|------|---------⌫|
PorLaquis.	--|------|
Orsen uontei nsi	-||-|---|--⌫--|
Ce l esqui ontoïle cri.	--⌫-⌫-|--|--|--|-|---|
Laquis mainelOutredo té	-----|----||-------⌫--|
Grant oirre etmoutsesont	----|----|-|---|-|---|
Porlecheualier aco nsiure .	--|-|--------|---⌫------⌫|
Einsisehast entdelui siure	----|-|----⌫--|-|--|----|
Et Meraugis qui fudeuant	-|-------|--|-|-----|
Senuetlepaset	|-|--|-|--|-|
oir retant	---⌫-|---|
Par milafor e st tote suoies	--|-|-|---⌫-⌫-|----⌫|----|
Qu auquarreforde.IIII.uoies	-|-|--------|-|-----|----|
Esta rriuez.Q uantiluin tla	--|-⌫------|-⌫---|-|---⌫|-|
Sau oie esgar d asipensa	-|-⌫--|-----⌫-⌫|-|----|
AL aquisquil	|-⌫----|-|-|
otenuoii é	-|------⌫-|
Autrefe t tant a dela iié	-|---|-⌫|---||----⌫---|
Q ueli term esest	-⌫-|-|----⌫-|--|
trespassez	---------|
Doumard i qui lifuno mez	--|----⌫|--|-|-|--⌫--|
Sio utrequ e	-|-⌫---|--⌫|
iuesdise st oi t	------|-⌫--⌫--⌫|
Etditporcequ il neuenoit	-|--|--|-|-|-|-|-----|
Quebienpooit	--|---|----|
sanzluimesfere	---|--|------|
Lauoiequi liporro i tpl ere	-|---|--|-|-----⌫-⌫|--⌫--|
Aler.Apré sditnonfera	----|-----⌫|--|--|---|
Mespormieuzf eresitendr a	--|--|----|-⌫--|||-----⌫|
il nelletporbesoing.	-|--|--|--|-------|
A t ant s en uetnefupasloing	|-⌫--||-|--|-|-|--|----|
Quan tdoubo isliistautrauers	----⌫|--|--⌫-|-|--|-|------|
Li n a inscamusligozdespers.	-|-⌫-⌫--|----|-|--|-------|
Motneliditai nz	--|-|-|--|--⌫-|
U nbastondontiladoné	-⌫|-----|---|-||----|
d estrie rd e sus lateste	-⌫------⌫|-⌫-⌫--|-|----|
Hauceetrefiertetcil sarreste	----|-|------|-|--||------|
Q ui licrie Na insfuideci	-⌫-|-|---|--⌫--|--|-|-|
e nfautque ienet	-⌫|---|--|-|-||
Tum oci rroies	-||---⌫-----|
fetli nains	--|-|----|
Dangoi ssetrembleet	|-----⌫--|------|-|
tentl esmains	---|-⌫-|----|
Sesio intetditPre nleme i l lor	--|--⌫--|-|--|---⌫|-|--⌫-⌫-⌫--|
uezc ila hon teet cilon or	--|-⌫|-|---⌫-|-|-||--⌫-|
Queietedoi por le changier.	--|-|-|--|--|-|--------|
C estla promesse dauant h ie r	|--|-|-------||----|-⌫--⌫|
Q u e ie tefi s.Quella	-⌫-⌫|-|-|--⌫-|---|-|
Fuinai nsiane mi	--|---⌫-|-|-|||
changer as	-------⌫-|
Noientneriensnetedemant .	-----|-|----|-|-|------⌫|
uaas d ëableste	-|-|-⌫------|-|
Queue us - Ieuueil queturetornes.	--|--⌫-||-|----|--|-|--------|
Setuuaslaoutut	-|-|--|-|-|-||
Aaler tui au rashonte.	|---|-||--⌫--|-----|
Come nt -Ie ter endraibiencont e.	----⌫-||-|-|-⌫-----|---|----⌫-|
Re torn earriere ene slepas	--⌫----⌫|------|---⌫-----|
Que s etu uas auant.I.	--|-⌫|-|--|----|--|
T uesh oniz.Porsol	-⌫|-|-⌫----|--|--|
Q uet uesuenuz s i auant	-⌫-|-⌫|-|----|-⌫|----|
Te melleiala	-|----|-|-|
ho nteasi euz.	--⌫--|-|-⌫---|
Licheuali ers qui a imemieuz	-|-------⌫--|--|-⌫--|----|
H o nor que honte s il	-⌫-⌫--|--|----||-|
S arrestee t ditqueil i roit	|------|-⌫|--|--|-|-⌫---|
Laou li n ainsuoloit aler	-|-|-|-⌫---|-----|---|
Dina insoume ueustumener	-|--⌫--|-|-|---|-|----|
Ouestlonor- Ieti menrai.	-|--||---||-|||------|
doncsilauerrai.	---|-|-|------|
u olen tiers s ire.	-⌫----⌫----|-⌫---|
tant s enu ont	---||-|-⌫--|
Arr i e reau quarr eforetsont	---⌫-⌫-⌫-|-|-----⌫---|-|---|
autreu oietorné.	----|-⌫--|------|
D euscom li	-⌫--|--|-|
nainsl aretorné	----|||-------|
Degranthon te - C oment-Silfust	-|----|---⌫-||-⌫----|||-|---|
Auant alezlanuitgeüst	----|---|-|---|-----|
Sa nzreto r nerd e denzl	--⌫-|----⌫-⌫--|-⌫-⌫---||
Oulihardi sontplus c oart	-|-|----|---|---|-⌫---|
Que lieure et	--|-----|-|
licoartha rdi	-|----|--⌫--|
Plus quelion.Bienest einsi	---|--|----|---|--|----|
autr echemin.	----⌫|------|
M outon t erré et enlafin	-⌫--|--⌫|----|-|-|-|--|
Quantil fur entdouboisissu	----|-|---⌫--|--|---|---|
S iont de l	-⌫|--|-||
autrepart ueü	----|---|---|
Unc hastel ioste	-|-⌫-----|----|
un eriuie re	--⌫|-----⌫-|
Tropha utnesaid equ elmanier e	---|--⌫-|-|--|-⌫|--⌫-|------⌫|
I l f uassiss orune roche	-⌫|-⌫|----|-⌫-|--|----|
Mesata ntentail liezla broche	--||--⌫-|-|----⌫---|-|-----|
Cestli plusbe aus dou	|--|-|---|--⌫--|--|
monta ch ois.	---||--⌫---|
c hastelet lebois	-⌫-----|-|-|---|
uirent enmila pr aerie	-----|-|-|-|--⌫----|
Laplusbe le cheualeri e	-|---|--⌫-|---------⌫|
Qui onquesme sfu stassemblee.	--|-----|--⌫|--⌫-|---------|
gent iotma ndee	---||-|--⌫---|
LiroisAmango n squi tenoi t	-|---|------⌫-⌫|--|-----⌫|
Cort sirich e comildeuoi t	---|-|----⌫|--|-|-----⌫|
Tenira u premier iordelan.	----|-⌫|------|--|-||--|
Aus icomi lfirentantan	---⌫|--|-⌫|-----|----|
fo lio110d	--⌫------|
Estoientlapo rbo horder	-------|-|--⌫|--⌫-----|
uenu. Lirois ifistporter	----|-|---||---|-----|
S ontrefdeuant le trefauo it	-⌫-|---|-----|-|---|---⌫-|
Unequi ntain e.La e stoit	--|---⌫-----⌫-|-|-⌫----|
Totela ioie et totceuit	---|-|---|-|--|-|--|
Meraugi squiaunain adit	-------⌫|--|-|---||--|
Qu eus gentsontce -Si re p ar fo i	--⌫--|---|---|-||--⌫-|-⌫-|--⌫|
l onor queie uosdoi	|---|--|-|--|--|
Changier porhon te.Ia	-------|--|---⌫--|-|
Sigrantquetoziorzen se rez	-|----|--|--|---|-|--⌫--|
Honor ez.Ordouc h euauchi er	-----⌫--|-|--|-⌫-⌫-------⌫-|
E insise nuontal aprochier.	-⌫---||-⌫|---|||---------|
Deuant letref o ntconeu ̈	-----|-|---|-⌫-|-----⌫|
Le ro i et lar ei ̈ne ifu	-|--⌫|-|-|-⌫--⌫--||-|
Iostele ro isor .I.per ron.	----|-|--⌫|--|--|---⌫---|
Lafure nt tuit li	-|----⌫-|---|-|
Assembléseni	--------||-||
Bi en.XXX. atan t les aesmez	--⌫-|----||---⌫|--||----|
Lic he ual i er sne mie a mains.	-|-⌫--⌫---⌫-⌫--⌫|-|--||-----|
Apie ́lesespees	|---⌫|--|-----|
Sestontli.XXX.cheua lier.	|-----|-|----|-----⌫----|
Uneniot s or.I.	-|-||-|-⌫-|--|
Armé uoiresiaporfil	----|----|-||-----|
Detotesar mescom ecil	-|----|--⌫--|---⌫|--|
Ouri e nsne fa ut	-|--⌫-⌫-|-|--⌫-|
ain zfet semb lant	---⌫|--|----⌫---|
Quede iosteraitbontalant.	--|-|-----|--|--|------|
aprochent.QuantMeraugis	---------|----|-------|
Fu presdouroi linai ns lapris	-|---|--|--|-|---⌫-|||---|
Par laresne se l	--|-|----|--⌫|
maineau ant	----|--⌫--|
Deuant leroilors dititant	-----|-|--|---|--|----|
Q uetuitlo i ̈rent li baron	-⌫-|---||-⌫-⌫----|-|----|
champïon.	---------|
dr oit-Nains uolentiers.	--⌫--||----|----------|
Dentrele s .XXX.che ual iers	|----|--⌫|----|---⌫---⌫---|
Acezparoles estissu z	|--|------|--|----⌫|
Cilacheual et	--||-----|-|
Deuan t leroi bienfuarmez.	-----⌫|-|--|---|-|-----|
Nains fetlirois ci s t e stm ontez	----|--|-|---|--⌫-⌫|-⌫-|-⌫----|
comedesoidesf en dre.	---|-|--|----⌫--⌫---|
Queueus - Ia nenquierconseil	--|---||-||-|----|------|
Fet l i nains mete z les ensem ble	--|-⌫|----|----⌫|--|-----⌫--|
Car mes cham pi ̈onscemesemble	--|--|----⌫--⌫---|-|-|-----|
N enferoitc oncorde	|-|-----|-⌫------|
CeditliroisPuisque insiuet	-|--|-|---|---|-|-⌫---|--|
Que tuess anz	--|-|-|-⌫--|
miseri co rde	------⌫--⌫--|
Necilneueutp esneco ncorde	-|--|-|---|-⌫-|-|--⌫-----|
fol io1 11 a	---⌫---⌫--⌫|
Aillentensemble ilniaplu s.	------|-------|-||||---⌫-|
A cez parolesse trestsus	|--|------|-|----|--|
Licheual iersquip oriost e r	-|------⌫---|--|-⌫-|----⌫-⌫|
Ap r i sles cu. Delencontrer	|-⌫-⌫-⌫||--⌫--|-||--------|
Quant Meraugisuoit	----|-------|---|
forceli coueno i t	----|-|------⌫-⌫|
La b ataille deduire as c o us	-|-⌫------|------|-|-⌫-⌫-|
Sipensee tdit Orsui ie f ous	-|----|-⌫|--|-|--|-|-⌫--|
u oire li nains m i	-⌫---|-|----|||
tientsanz fa ille	----|---|--⌫---|
Quantil poruaintresa	----|-|--|------|-|
M a presentédeuantcestroi.	||--------|-----|---|---|
Sinesai acui neporquoi	-|-|--||--|-|--|---|
Nonmesitantsaiieporuoir	--|--|----|--|-|--|---|
Se ieneuu ei lpl ushonteauoir	-|-|-|--⌫--⌫|--⌫-|----|----|
Qu on orc om batre mecouie n t.	-|--⌫-|-⌫--⌫----|-|-----⌫-⌫-|
Lo rsditaun ainqui uersl ui	--⌫-|--|-|-⌫--|--|---|-⌫-|
Estceceq u etuma s	--|-|-|-⌫-⌫|-||-⌫|
LinainsrespontS or uoslai	-|----|------|-⌫-|--||-|
N ai iez doteian e n	|--⌫--|---|-||-⌫|
Pes ne c oncordeseienai	--|-|-⌫------|-|-||-|
Ma querele etuostre h onor quite .	-|------|-|-----|-⌫---|-----⌫|
Oëzqueltraïsonadite	---|---|-------||---|
Li nains qu equantonlioppose	-|----|--⌫|----|-|-|-----|
Dunilrespontduneaut rechos e	|-|-|------||--|---⌫-|----⌫|
Ett oz iorzdit Mescham pïons	-|-⌫-|---|--|--|----⌫-----|
plushardizquuns li ̈o ns	---|-----|-|--|--⌫--⌫-|
ditqueiapes	--|--|-|--|
n enfer a.	|-|---⌫-|
Meraugislot qui pas	-------||-|--|--|
DireTu menzS i l desdeïst	---|-|---||-⌫|--------|
Sonm estreassezfustq ui deïst	--|-⌫----|----|---|-⌫-|-----|
Cistest uaincuztot e n es tant	---|--|------|--|-⌫|--⌫---|
Porcesetest mes	--|-|-|---|--|
ilestt ant	-|--|-⌫--|
uer sluii ri ezqueplus	---⌫|--|-⌫--⌫-|--|---|
Grantchose a en	----|----||-|
ferelestuet.	---||------|
fe r e licoui ent	--⌫-⌫|-|----⌫--|
Meraugis p ointetcilli uient	-------|-⌫---|-|--|-|----|
Porencontrer.Esteslesu os	--|---------|----|--|-⌫-|
Ensemble sique li retros	-------|-|--|-|-----|
Deslance suolent ue r slesnues.	--|-----⌫|-----|--⌫-⌫|--|----|
Auchapledes	-|-----|--|
espees nues	-----|---|
S entreuienent sanzmenacier	|-----------|---|-------|
Si qu ilfontl eshea umesdacier	-|-|-|---|-⌫-|---⌫---||----|
Fendreetpar force	-----|-|--|----|
este nceler.	----⌫------|
sepuetce ler.	-|---|--⌫---|
[Selicheualier serth ardiz	--|-|---------⌫|--|-⌫----|
A.C. doblesler t Me r augis.]	|--|-----||--⌫|--⌫-⌫------|
Moutsemerueillen tlibaron	---|-|----------⌫|-|----|
Oulinainsp ristte l champïon.	-|-|----|-⌫---|--⌫|---------|
Enlafin quendiroie	-|-|--|-|-|-----|
Li champï on sau nain cam us	-|-------⌫--⌫|-|---|---⌫-|
Apar forc elautreuaincu	|--|----⌫||----|-----|
Contreterreso rson escu	-----|----|--⌫|--|---|
lat es tecoupe r.	-|-⌫--⌫-|-----⌫-|
Sireelesso nta mari ̈e r	---|---|--⌫-||----⌫--⌫|
Fetc ilqu iplusnese desfent .	--|-⌫-|--⌫|---|-|-|-------⌫|
E tMeraugis qui	-⌫|-------|--|
Qu ilueutdire	-|-|---|---|
ialoceïst	-||------|
Sanzrespitquantl iroisli dist	---|-----|----|-⌫|---|-|---|
Lessiezassez e nauezfet	------|----|-⌫|---|--|
L onorestuos tre il la uos let	|---|--|---⌫--|-|-|--|--|
for ce l auezconq uis.	---⌫-||---|----⌫---|
T enez mongan t	-⌫---|--|---⌫|
ieuossesis	-|--|----|
Delonor etdesdam ois el es.	-||---|-|--|---⌫---⌫--⌫--|
.C.enia etplu s debeles	--|-|||-|---⌫|-|----|
a uo s amar ïer.	|--⌫||---⌫----|
Meraugisot leroi parler	-------|-|-|--|-----|
Sis e m eruei lleet ditauroi	-|-⌫|-⌫-----⌫--|-|--|-|--|
donez si n e saiquoi	----|-|-⌫|--|---|
Ne saise ce st	-|--|-||-⌫-|
M esq ue ii	-⌫-|-⌫-|||
ententmariages	-----|-------|
Deda mesdontienesairien.	-|--⌫--|---|-|-|--|----|
Ced itliroi suo ssauezbi en	-|-⌫-|-|---⌫|--⌫|----|--⌫-|
Comentla fest e estestablie.	-----|-|----⌫|--|--------|
DitMeraugis Ienelsaimie	--|-------|-|--|--|--|
Mes siluosple st iel	--||-|--|---⌫-|--|
uuei l s auoir.	----⌫|-⌫-----|
Li roisrespont	-|---|------|
S an zd eceuoir	-⌫--⌫|-⌫------|
uos en dirai	--|-|----|
la uerité	-|------|
Ilatozior zcostumeest é	-||--|---⌫|------|---⌫-|
Encestroiaumequa ce stior	-|---|------|-||--⌫-|--|
Couientquetuitmiuau assor	------|--|---|-|---⌫----|
Etmibaro nou	-|-|----⌫|-|
qu eilso ient	--⌫|-|--⌫---|
ontfil lesquillesenuo ient	--|---⌫--|-|-|--|----⌫---|
Ace stefestechascun an .	|--⌫--|----|------|--⌫|
Ein si comeles sontoan	---⌫-|--|---|---|--|
C ouendraquancoani soien t	-⌫------|-|-----||-----⌫|
lesienuoien t	--||-------⌫|
Lorp erec hascu n an	--|-⌫--|-⌫-----⌫|-|
Porcequequante lessont	--|-|--|----|-⌫--|---|
Ettuitlicheualierison t	-|---|-|--------||---⌫|
Ass embl éd	---⌫----⌫-||
aualetd amont	---|-||----|
Sicomuosueeza uozieuz	-|--|--|---||--|---|
Cilquel e n u o itqui	--|--||-⌫|-⌫-⌫-|--|
ioste mieuz	----|----|
Et quipuet s ortozdesresnier	-|--|---|-⌫-|--|---------|
ait meillorcheual ie r	--|------|------⌫--⌫|
S iconquiert sigrantdigneté	-⌫|--------|-|----|-------|
Que doutota sa	--|--|--||-|
A lesd a mesamarïer	|--|-⌫-⌫--||------|
Qu a sonuoloirles p ue t	-||--|-----|--|-⌫--⌫|
A sche ualiers etd epa rtir.	-⌫|---⌫------|-|-⌫---⌫----|
ueutparr esonpa rtir	---|--|-⌫---|--⌫---|
Quilne lit orta	-|-|-|-|-⌫--||
Audonernelico uientmie	-|----|-|-|--⌫----|--|
Qu il lesabest ne	-|-|--|----|-|
desp arage.	----⌫-----|
S ein siles de p art	|---⌫-|--|--⌫-⌫--|
sa nz o u trage	--⌫-|-⌫-⌫----|
Le nliatorneacortois ie	|-⌫|-|-----||-------⌫-|
Et seins iest quil	-||----⌫|--|-|-|
Ilchois istceleque	-|-----⌫--|---|--|
fazeinsileseut	--|----|-|---|
Mes perefere	--|---|---|
comde ui s.	--|--⌫--⌫-|
Cestlonor dontie uossesis	|--||---|---|-|--|----|
Deuanttoz carreson	-----|--|--|----|
encontre u osse mue ue	-------|-⌫-|-|---⌫-|
Nu sche ualiersqueie	--⌫|---⌫------|--|-|
Con trec estuipor n ule ang oisse	---⌫--|-⌫----|--|-⌫--|---⌫----|
S e uos n efussiez çaue nuz	-⌫|--|-⌫|------|--|--⌫--|
enf ustcheua lier smeüz	-|-⌫--|-----⌫----⌫|----|
Quip oriostersosast es lire.	--|-⌫-|-----||----|--⌫----|
ilsan zcontredi re	-|---⌫|--------⌫-|
L on or qu	|--⌫-|-|
onquesco up n i	-----|--⌫-|||
Einsi auint.Orest einsi	----|-----|-|--|----|
Queuosauezlonor	--|--|---||---|
Meraugisquialonorprise	-------|--|||---|----|
Etreceüepar	-|------|--|
Me rcieleroimes itant	--⌫---|-|--|--|----|
Sireianelerai	---|-|-|----|
Lecheualier	-|--------|
ainzlocirr ai	---||-----⌫-|
Se lina insnaq u anqu il	-|-|--⌫--|||-⌫-⌫-|-|-|
Que que cesoit liro iscomande	--|--|-|---|-|--⌫-|------|
[Queilaitsauolontétote	---|-|--|-|-------|---|
Se cenestchos etropestote.]	-|-||--|----⌫|---|-------|
Iluientet ditsanz	-|----|-|--|---|
Sir e auoses t demoi	---⌫||--|--⌫|-|--|
M aio ie. I ai totmonc reant	-⌫|--⌫--||-|--|--|-⌫----|
De celui queuoirecreant	-|----|--|--|-------|
Quiestoitsiresa unmot	--|-----|----||-|--|
Sortoze ttan tsesorcuidot	--|--|-⌫|---⌫|-|--------|
Parsaforce qu ilprometoit	--|-|----|-|-|--------|
De uantlafe steet departoit	--⌫---|-|--⌫--|-|--------|
f olio111d	-⌫-------|
Le sdame sa	--⌫|----⌫||
sa uol enté.	-|---⌫-----|
A l a Pentecoste en esté	|-⌫|---------|-|----|
Tintcistroi s c ort et	---|---|---⌫|-⌫--|-|
Ap résmangier	--⌫---|------|
en p romist .XX.	-|-⌫-----|---|
belestotes	----|----|
Etie q ui enmai nt bo nlieu	-|-|-⌫-|-|---⌫-|--⌫|---|
uin gdeuan tluitot asseür .	---⌫|-----⌫|--|--|-------⌫|
Il ue quespa rson	--⌫--⌫---|--⌫|--|
Lidemandaiune pucele	-|-------|--|-----|
Mesc ertl a	--||--|-⌫|
so le dam ois ele	--⌫-|---⌫---⌫--|
Q uencestroiaumena	-⌫|-|---|------|||
Nu snelauousistdemander	--⌫|-|-|------|-------|
For smoisiuosdi raipor	---⌫|--|-|--|--⌫--|--|
Ele estpluscamuse	--|--|---|-----|
Etplus co rtesiestboçue.	-|---|--⌫--|-|--|------|
Ausicomef ouset maçue	---|---|-⌫--|-|-----|
Doiuenttoziorzaler ensem ble	------|--|---|---|-----⌫--|
Deuonnosnos.I I.c emesemb le	----|--|--|--⌫-|-⌫|-|----⌫-|
Pardroi tlunsl autre chale ngier.	--|----⌫||--||----|-----⌫-----|
Ie dem andaiau ch eualie r	-|---⌫----|-|--⌫------⌫|
donast et il medist	-----|-|-|-|---|
Fui gozde ciQu	--|--|-|-|-|
ilmesc ondist	-||---⌫-----|
Mecorro çai	-|-----⌫---|
en esle pas	--⌫----⌫--|
Respond iquencor n estoit pas	-------⌫|-|----||-----|--|
Lidonsalu i	-|---||--⌫|
siquitement	-|--------|
Etqu i lfesoitliezde	-|-|-⌫|-----|---|-|
Ceus acu iil l espro meto it.	---||--⌫|-|-⌫-|---⌫----⌫--|
orgueilleusestoit	----------|-----|
Se corroçaetui nt uers moi	-|-------|-|--⌫-|---|--|
lessa porleroi	----|--|-|--|
Ainzmeferie nplainecort	---|-|---|-⌫|-----|---|
D un de sesdoi zsor mon	|-|-|--|---⌫|--|--|
pesaque pardespi t	---|--|--|-----⌫|
Le fist il ue ques sanz respi t	-|---|--⌫--⌫---|---|-----⌫|
Disetoffriadesresnier	--|-|----||---------|
Qu o nquespar mainde cheualier	-|-⌫----|--|---|-|--------|
Nefuif eruz	-|--|-⌫---|
ainzdise i nsi	---|--|-⌫-⌫--|
Quilenauoit	-|-|-|----|
sonprishoni	--|---|---|
Siledementqu il e n	-|-------|-|-|-⌫|
E insihonizquilnedeuoit	-⌫---|----|-|-|-|-----|
Damedonerdecele	---|----|-|---|
Ettantquauroial endemain	-|---|-|-|--|||-------|
Dona imong agedetroue r	----⌫|--|-⌫--|-|-----⌫|
Un cheu alierporlui pr oue r	-|----⌫----|--|--|--⌫---⌫|
En sac ortquilne deuoit	-|-|-⌫--|-|-|-|-----|
Dro iz cheualiersdesam aindestre.	---⌫-|---------|-|-|-⌫--|------|
folio 11 2 a	-----⌫--⌫-⌫|
Oresteinsi	-|--|----|
doucheualier	--|--------|
Queuosl auez fetesclenchier	--|--||---|--|----------|
queuosconquislau ez	--|--|------||--⌫-|
Enuosest qu eu os	-|--|--|--⌫|-⌫-|
Do nerla riens queie	--⌫--|-|----|--|-|
plu suueil.	---⌫|-----|
Cested emande estsanzorgueil	----|-⌫-----|--|---|------|
Queseleest gen tizdelignage.	--||--|--|---⌫--|-|-------|
Iesui ass ez deha utparage	-|--|---⌫-|-|--⌫-|-----|
Mesperef uparenzl e roi.	--|---|-⌫|-----|-⌫|---|
Nainsienaipasho ntedet o i	----|-||-|--|--⌫--|-|-⌫-⌫|
roisquisensozrit	---|--||-|-----|
N ainsil estbienuoirsque l	-⌫---|-|--|---|----|--||
Nestsihauz boisqui nai t brocille.	|--|-|---|---|--||--⌫|--------|
Sirecarlidon ezla	---|--|-|---⌫-|-|
La riensel	-|----|-|
mo nt q uiplus	--⌫-|-⌫-|---|
lisem bl e.	-|---⌫--⌫-|
Nesais il furentné ensem ble	-|--||-|-----|--|-----⌫--|
Chascunses tsicamu s naïs	-------|--⌫|-|----⌫|----|
Quil sentre semblen tdelaïs.	-|-||-----⌫-------⌫|-|-----|
Meraugis respont er raument	-------|------|--⌫------|
S i reauostrecomandement	-⌫-⌫-||-----|----------|
Me p le st quilsoitetsi	-|-⌫--⌫-|-|-|---|-|-|
Desaut resla uos trem erci.	--|---⌫--|-|---⌫--|-⌫----|
Marïez lesacestefoiz	------|--||----|---|
Etancoandefi sachoiz	-|-----|-|-|------|
suiuisiereu end rai	--|--|-|---⌫---⌫--|
A cest ioretseiornerai	|---|--|-|---------|
S auientquelonor	|-----|--||---|
me remai gne.	-|-----⌫---|
Paruostre losquen i mesp reigne	--|-----|--|--|||----⌫-----|
Lesdonra i	--|-----⌫|
totesdema m ain	----|-|-|-⌫--|
Ca r enc es tpoint	--⌫|-|-⌫--⌫|----|
i usqua demain	-⌫---||-----|
Ne re maind r oieporproiiere.	-|--⌫-----⌫-⌫--|--|--------|
Puisqueuos	---|--|--|
ennuleman ier e	-|---|---⌫---⌫|
F etlirois neremaind rïez	-⌫-|-|---|-|-------⌫----|
Etqueuospl usn	-|--|--|--⌫-||
Ornosaprenez uostrenon	-|--|------|-----|--|
acreant ledon	------|-|--|
Que iesdonraiacestefoi z	--|--|-----||----|---⌫|
Poruo sme sque uoscreantoiz	--|--⌫|--⌫|--|--|--------|
Lereuenircertaine ment.	-|------|--------⌫----|
Dec epa rl ez uos	-|-⌫|--⌫--⌫-|--|
por noient	--|-----|
Sire Iai anonMe raug i s	---||-||--|--⌫----⌫-⌫|
De Po rtlesguez.Seie suiuis	-|--⌫---------|-|-|--|--|
Du ien .I.	|-⌫|-|--|
aniese raici.	-|-|--⌫--|--|
li roi sle	-|---⌫|-|
Desamie pu ispre ntcongié	-||---|--⌫-|---⌫-|------|
Meraugislors	-------|---|
l ontconuoii é	|--|-------⌫-|
Li cheual ier agrantdeduit.	-|------⌫--||----|------|
O nquesteli oienetelb ruit	-⌫----|--|-⌫--|-|--|-⌫---|
Neueïstesanul e fes te	-|-------||---⌫|---⌫-|
Comaprésluitantq uil sarre ste	--|-----|--|---|-⌫|-||----⌫--|
Al e n tr eed une	||-⌫-⌫--⌫-||--|
Etditauroi	-|--|-|--|
queseliple st	--|-|-|---⌫-|
senr et ort e til	|-|-⌫--⌫--|-⌫|-|
EtMeraugi sson	-|-------⌫|--|
chemin prist .	-----|-----⌫|
LiOutredotez et Laquis	-|---------|-|-----|
Meraugisquis	-------|---|
Onttanterréquilsontuenu	--|---|----|-|-|---|---|
As.IIII.uoie s laou fu	-|-----|----⌫|-|-|-|
Meraugisque linainst roua	-------|--|-|----|-⌫---|
E t tant li d istqu	-⌫|---|-|-⌫--|-|
Einsi co muoslauezo ï.	----|--⌫|--||---|-⌫--|
