kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
oue ceusalé	---⌫|--|---|
entredouseweslont m enéespr ez	----|---|---||--|-⌫---|-|--⌫-|
a haltesfenes tresestlireisalez	|-----|-----⌫---|--|-|---|---|
persat a se iap elez	---|-||--⌫|--⌫---|
sei ngn ur sfaitilodmeiuusuene z	---⌫---⌫--⌫|---|-|-|--|--|----⌫|
fai tes fra nceistuz eissirdes	---⌫--|---⌫----|--|-----|--|
aeus dous l es ont aba ndune z .	|--|---|-⌫-|--|---⌫-----⌫||
ch arle escrie desoreuuscumbatez	--⌫---|-----|--|--|--|-------|
distotinelio suitut apre stez.	---|-----|-|--|--|----⌫---||
rodlant a dit alpaen mescreant	------||--|-|---|--------|
iotedefidesci en auant	-|-|---|----|-|----|
iotei ens ement.	-|--|---⌫----||
bienuus gua rd ezkar io ne t aim ni ̈ent	---|--|---⌫--⌫-|--|-|-||--|--⌫---|
la mortmununclefernaguu us demant.	-|---|--|----|------|-⌫-|-----||
ro llantla it	--⌫----|--⌫-|
curre le bon destrerb ruiant	----|-|--|------|-⌫-----|
otinelmigrad o sle biencu rant	-----|------⌫-⌫|-|---|--⌫---|
des esperuns	--|-------|
le s destrei n entform ent	--⌫|-------⌫-⌫--|----⌫--|
entre le bru itel	----|-|---⌫-|||
eforteleuent	----||-|---|
encroule e la	-|-----||-|
terreensem ent.	----|-----⌫--||
l eshantesbran diente	-⌫-|-----|----⌫----||
beissent f orment	-------|-⌫-----|
ligun fan unu ent elent	-|---⌫---⌫-|-⌫---⌫----|
uersleuent	---|-|---|
granzcolps sedon ent e n lure scuz deuan t	----|----|-|---⌫--|-⌫|--|-⌫---|-----⌫|
trenchent le sfuz eles quirsensement	--------|--⌫|--||--|----|-------|
m eislih alberc	-⌫--|-|-⌫-----|
sun tserré e tenant	---⌫|-----||-----|
maillenifalseneclau eln	-----|||----|-|----⌫-||
id este nt.	|-⌫----⌫-||
pe itr inesplientlifertre nchant	--⌫---⌫---|-----|-|--|---⌫-----|
les h anstesbrisentamduicommun em en t	--|-⌫-----|------|----|------⌫--⌫--⌫|
u ltresenp assent liche ualer uallant	-⌫---||-|-⌫-----|-|---⌫----|------|
quelun nel	--||-|-||
a ltren ipertnïent .	-⌫---|||---|-----||
r eisor ue i merueille	-⌫--|-|--⌫|--------|
qua ntcistpaiensestte n uuersrodlant.	---⌫-|---|----||--|--⌫-⌫|---|------||
ditbeli se ntbon suntmi ga rnement	--|----⌫--⌫-|--|---|-|--⌫------|
ecilkisporten estpas	|--|--|----||--|--|
c uardnelent.	-⌫---|-|---||
rodlan tatreit durendalletrenchant	------⌫||----|-------|-|--------|
fiert otinel	----|-----|
s urlehealmeluisa nt	-⌫-|-|-----|-----⌫-|
qu eflurs e	--⌫|----||
p ierescheentaualant	-⌫----|-----|------|
e sunnasellui atoleit	|--|----|--||-----|
a laltrecol p fiertledes trercurra nt	||----|---⌫|----|-|---⌫---|-----⌫-|
lechief li	-|----|-|
trenchedel coltutru ndement	------|--|--|--|--⌫------|
li paen quants un ch eualli me nt	-|---|----|-⌫-|--⌫---|-|--⌫-|
distdousmozpa r	---|---|--|--⌫|
mahumetrollant	------|------|
uusau ezfeituilai nie m ult	--|--⌫-|---|-----⌫--|-⌫--|
quemun destriermauez	--|--|-------||---|
mo rtpurni ̈ent.	--⌫-|--|--⌫---||
quedemandiez	--|--------|
amunbo nauferant	|--|--⌫|-------|
mes ia leuostren e seni rra gabant	--|-|-|-----|-⌫||-|-⌫--|-----|
delfuerr e sa ckec ureçu se la	--|-----⌫|--⌫--|-⌫------⌫-|-|
le sc uenbrace efeitun s a l t au ant	|-⌫--⌫|------||---|-|-⌫-⌫-⌫|--⌫--|
si fi ertrol lants ur l ehealmeluis ant	-|--⌫--|---⌫---|-⌫-|-⌫|-----|----⌫--|
keli naselseu aittutaualan t.	-|-|----|-|-⌫--|--|------⌫||
licolp g laceies ur larçunde uant	-|---|-⌫-----|-⌫-||-----|--⌫---|
trenc helefust	-----⌫-|-|---|
el e fe utre en sement	|-⌫|--⌫---|--⌫-----|
parlesesp au lesatre nchéle	--|--|---⌫--⌫--||---⌫----|-|
desken la ter re feit culer	---|-|-|---⌫-|---|----|
escrieço nest p as	-----|--||--|-⌫-|
deu dist lireiscumçocolpfupesant	--|---|-|---|--|--|---|-|-----|
saintemarieguard ezmeirollant	-----|----|-----⌫-|--|------|
quonschie tnem	----|----⌫|-||
esm eruei lni ̈ent	---⌫-----⌫|--⌫---|
il tientlespee siestre intdu rem ent	-|----||----|-|-----⌫--|--⌫---⌫--|
fiertle paensurle healme que	----|-|---|--|-|-----|--|
kunq uar tierencuntreual descent	|-|-⌫---⌫---|----------|------|
tren che les maillesdelhalberc iacerant	----⌫--|--|------|--|------|-------|
edeloreille u nepartieenpr ent	|-||------|-⌫-|-----|-|--⌫--|
sunbon esc udesk enlabucle	--|--|---⌫|---|-|-|----|
lal eüstmortuenc uurecreant	-||----|---|----⌫||-------|
m es otinel at hardeme ntmultgrant	-⌫-|-----|-|-------⌫-|---|----|
decureçuse lac uilt dureme n t	-|--------||--⌫---|------⌫-⌫|
e r odla ntluiod	|-⌫----⌫-|--|-|
trenc hant	-----⌫---|
de durendall e	-|-------|-⌫|
fier tmenuement.	----⌫|--------||
granzc olpssentredone nt	----|-⌫---||---------⌫-|
u erslesesp eesne ualtleha lbe rc	-⌫--|--|---⌫--|-|---|-|--⌫---⌫-|
desmailles	--|------|
luisttutlipre ́ eresplent.	----|--|-|---⌫||-------||
di stbelis ent orefie r entgentement .	--⌫-|-----⌫--|--|---⌫-⌫--|--------||
cestebataille ne dura miel ungement	----|-------|-|---|--|-⌫-------|
uassalsunt de	-----|---|-|
grant hardement.	----|--------||
multt renchebiendurend allarodlant	---|-⌫-----|---|------⌫-|-|------|
meiscu re çus enelide itni ̈ ent .	---|--⌫--⌫----⌫|-|-|--⌫-|--⌫-⌫--||
deusdist lireis cum	---|---|-|---|--|
lecuer me ment	-|---|-|---|
seie t tead eu	-|--⌫-⌫-||-⌫-|
uerso rïent	---|-⌫-----|
uneprei ere	--|----⌫--|
at fe it mult gentement	-|--⌫-|---|--------|
deuskiessire e	---|-|-|---||
rei surtute gent	--|--|---|---|
tum e garis	-|-⌫|----|
m un chierneuu r od lant	-⌫-|----|---|-⌫--⌫---|
e cunuertissezo tinelletirant	|-----------|-⌫----|-|-----|
qu es ur sonchief prengebaptizem e nt	--⌫|-⌫-|--|----|-----|--------⌫-⌫-|
baiselat e rr e si	----|-|-⌫-⌫--⌫|-|
seleue atant	-|---||---|
alaf enestre atmiss un chiefau ant	|-|-⌫------|-|--|-⌫-|----|--⌫--|
ueit sesbaruns cumba tregentement	---|--|-----|-----⌫--|--------|
deslurescusnou ren t mietant	--|--|----||--⌫---⌫|--|---|
duntilcuuer irpe ü ss ent l urpu inzdeu an t.	---|-|-----⌫-|--⌫--⌫--⌫--|-⌫-|--⌫--|---⌫--⌫||
rollantditalpaen	------|--|-|---|
kargu erp issezmahun	--|--⌫---⌫----|----|
e creiendeu k isuf fripassïun	|---|-|--|-⌫|---⌫--|-------|
faisireceuezge nt dun	--|-|------|--⌫-|--|
çoes tbelisen tlafi ll ealrei charlun	--|--⌫|-------⌫|-|--⌫--⌫|-|--|------|
m acu si ne	-⌫|--⌫--⌫-|
e s t eiotefazled un	-⌫-⌫||-|-|--|-|-⌫-|
e ioe tuserrumtutdisme s com pai ngnun	|-||-|-----|--|--|--⌫|---⌫---⌫----|
e oliue ran usaiusteru n	|-----⌫||-⌫-|--------⌫|
sicunqu errumchasteledunchun	-|-----⌫----|------||------|
citénemar chene bon c hastelgasc un .	----|-|---⌫--|-|--|-⌫-----|----⌫-||
iaplus de teinequier un esperun	-|---|-|--|-|----|-|------|
distotineloreo iparlerbricun	---|-----|--|-⌫|-----|-----|
malde hez eitkitefist cleriu n	--|--⌫--|--|-|-|---|------⌫|
meisio s ui maistresi te lirrailesç un	---|-|-⌫-|------|-|-|-----|-----⌫-|
menescïe ntainzque departirun .	--|------⌫-|---|--|---------||
t eltedurrai	-⌫-|-|-----|
sur le healmebrun	--|-|-----|---|
ken epurras di reöec nenun.	-|-⌫|-----|--⌫-|---|-|--||
el neuucharle nout	-|---|-----||--|
quecurecer	--|------|
maltalentamerueillu sef ier.	--------||---------⌫||-⌫--||
ti ntd u rendalu lepuntfu dormier	--⌫-|-⌫-⌫-----||-|---|-||-|---|
s urlehealme fiertotinel le guerreer	-⌫-|-|-----|----|-----|-|-------|
kefuensalt de lfere	-|-|-|---|--⌫|--||
d elascier.	-⌫-|-----||
ci lluiguench istquibien	--⌫|--|------⌫--|--|---|
deliezl espauleenfaitl e colpbeis ser	-|---||------|-|---|-⌫|---|----⌫--|
t renchelesmaellesdeliace rantdubler	-⌫-----|--|------|--|----⌫---|-----|
tu t led escouer etresk al	--⌫|-|-⌫-------⌫|----|-|
nudelbraier	-|--|-----|
meis a lac har	---||-|-⌫--|
nepoeit mietucher.	-|----|--|-----||
grantle uassalf etpleer	----|-|-----|-⌫-|----|
puru npetitnel	--|-⌫|----|--|
f aitagenuiller.	-⌫--|---------||
franc eis sescrient q uel	-----⌫--||-------|-⌫--|
co lpdecheua ler	--⌫-|-|-----⌫--|
l ip lusurd ient	-⌫|-⌫----|-⌫---|
del curteis messag ier	--|------|------⌫--|
keuencu zestnesepotmeis aider	-|-----⌫|--|-|-|--|---|----|
meis po iconuissentot inelle	---|--⌫|---------|--⌫---|-|
lerei galïen al uis	-|--|------|-|--|
ilfait unsalt siuolt le colpuenger	-|---|-|---|-|---|-|---|-----|
sore ne sesace	|--|-|-|---|
linié sle reiguait er	-|----⌫|-|--|-----⌫-|
ianeferram eiscolpsur cheualer .	-|-|----|-⌫--|---|--|-------||
l isarazin ala culur muee	-⌫|------||-|----|---|
l esoilzruïl lecumbestedeuee	-⌫-|---|-----⌫-|--|----|----|
ti entcureçuse	--⌫--|--------|
silat amunt leuee	-||-|----|----|
alneuu char lelafraia priue e	-|---|----⌫-|-|--|-|-----⌫|
surle healmedorl i at	--|-|-----||-|-⌫|-|
iapr esen tee	-|--⌫----⌫--|
uncolpli do nep ar si	-|---|-|--⌫-|-⌫-|-|
grant ra ndunee.	----|--⌫-----||
i afust lateste rollantdel co r sseueré	-⌫|---|-|----|------|--|--⌫-⌫|------|
q u an tcureçuseli est el p uinturnee	-⌫-⌫--⌫|--------|-|--|-|-⌫--|-----|
u n altrecolpli	-⌫|----|---|-|
iet ea celee	---⌫||----|
entre lecorsel esc u uint l espee	----|-|---|||---⌫|---||----|
en armes a	--⌫----||
la t argeco lp ee	-|-⌫---|--⌫--⌫-|
k a ss espiez	|-⌫|-⌫-|---|
labat enmilapre e	|---|-|-|-|---⌫|
hal b er ccu nsiutlagerune e	---⌫-⌫--⌫|--⌫----|-|------⌫|
desk enlaterre fe t	---|-|-|----|--⌫|
cul e rlespee.	---⌫-⌫||----||
a lresacherotin els estes crié	-⌫|-------|----⌫-||--|--⌫----|
parmahumet m ulttre nchebienmespee	--|------|-⌫--|---⌫---|---||----|
licheu al er regu ardent f ierement	-|----⌫--⌫-|----⌫-----|-⌫-------|
formentredutentlescolps	------|-------|--|----|
quisunt pesant .	--|---|-----||
leshalbercsde trenchentede rereedeuant	--|-------|--⌫--------||--⌫---||-----|
e desmai l ésuntmu ltmen uement.	|------⌫-⌫-|---|--⌫-|---⌫-----||
d elurescuzn	-⌫|--|----||
enou rentmie tant	-|--⌫---|--|---|
duntil pussentcouerirlur puinzdeuant.	---|-|------|------|--|----|-----||
franceisseietenttuit cuntreorïent	-------|-|-----|---|-----|------|
grant poürontdelur	----|----|--|-|--|
sein gnur rod lant	----⌫---|---⌫---|
i l prientdeuke boncu nseillur	-⌫|-----|--|-|--|--⌫----|--|
u pe isutriue s u	|--⌫-||-----⌫||
bondeseureme nt.	--|---------⌫-||
aicesparol es uien t	|---|-----⌫-|----⌫|
u ncolumbuo l ant	-⌫|-----|--⌫-⌫--|
sikecharles le	-|-|------|-|
uitetute sage nt.	--||---|-|--⌫-||
sainzespiriz sur ot ineld escent	----|------|--|--⌫---|-⌫-----|
dou smoz a	---⌫|--||
dittreiteien	--|---|--|-|
sus r ollant	--|-⌫-----|
choseme uait	----|-|---|
deuantuolant	-----|-----|
kima t c hangéle	-||-⌫|-⌫-----|-|
sense letalent .	---||-|-----||
cestebataille re mai nieaitant.	----|-------|--⌫---⌫--||----||
purtueamu rprendr aibaptizement .	--|--|---⌫|------⌫-|----------||
saint emarie traii omesagarant	-----⌫|----|---|-⌫|--||-----|
r ol lantlententsiliditenrïant	-⌫--⌫---||-----|-|-|--|-|-----|
gentil hoems ireas letuen t al ant	-----|---|-⌫--|-|-|-|-|-⌫--⌫--|
faitotin elioluus	---|----⌫-|--|--|
d i ueir ement.	-⌫|----⌫----||
ioguerpici mahune t er u a gan t	-|----|--|----||-⌫--⌫-⌫-⌫---⌫|
e apolineioui nlepuant.	|-----||----⌫|-|----||
lesbranziie tent surl erbe	--|----||--⌫---|--||---|
amdui senb racent liche ualeruaill a nt.	----||---⌫-----|-|---⌫----|-----⌫-⌫-||
deu s ditlireis	---⌫|--|-|---|
cum ciuertuzestgrant	--|-|-----|--|----|
iam estauisk	-||--|---||
ilfun t couena nt.	-|---⌫|------⌫-||
karialezfrancc heual e rua illant	--||---|----|-⌫-----⌫-⌫|--⌫-----|
eil sifuntqui plus	|-|-|---|--|---|
to stpoet curra nt	--⌫-|---|-----⌫-|
maismeslire isiuait espurunant	------|-|--⌫-||---|---------|
bealsnie ́sfaitcumuus est couenant	----|---⌫-|---|--|--|--|-------|
sir efaitilmultmestagentement	---⌫|---|-|---||---|--------|
ka rtutsuisein nen ai	--⌫|--|--|---|--|-|
mescumbatu	--|------|
suialmeillur cumbatant	--|-|------|--------|
kunques fe üst e nla	|-----|--⌫---|-⌫|-|
paene gent .	----|---||
meis mercinusau um faititant	---|----|--|--⌫-|---|----|
ke c ristïenté uo lt ebaptizement.	-|-⌫----------|--⌫-||----------||
receuez le	------|-|
beals sire a lezauant	----|---|-⌫--|----|
si lidonezhonurasuntala n t	-|-|----|----||--|----⌫-⌫|
ensurket utt afiliebelesent	--------⌫-|-⌫|----|-------|
d eusditlirei s	-⌫--|--|-|---⌫|
oreaue zfait muntalent.	--|---⌫|---|--|-----||
cestlapree re keialouedeprian t.	|--|-|----⌫-|-||----|-------⌫||
ilsedesarment	-|-|--------|
lic heualeruaillant.	-|-⌫------|-------||
rollant mu ntesurun	------|--⌫--|--|-|
des tri ercurrant	---⌫---⌫-|------|
eotinelsu r	|-----|--⌫|
unm ulamblant	-|-⌫-|------|
uers l a cité seuontesperunant.	---|-⌫|----|-|---|---------||
oresenirrunt	--||-|-----|
albaptize ment	-|-------⌫---|
almustie rlontmen e ́ sainte marie	-|------⌫||--|---⌫-⌫|-----|----|
turpinde r eins al estoleseisie	-----|-|-⌫---|||-----|-----|
lesalterouere si	-|-----|----|-|
distla l etanie	---|-|-⌫-----|
puisuiental funzsilseini ee	---|----|-|---|--|-----⌫||
grantes t lapressedelach eualerie	----|--⌫|-|-----|-|-|--⌫-------|
l epruz kisebaptie.	-⌫|---|-|-|-----||
charlele tient odla barbe	-----|-|----|-|-|----|
eote lipruzgir ard denorm endie.	|--|-|---|---⌫--|-|----⌫----||
lileiss entnel r emuent mie.	-|-----⌫--|--|-⌫-----|--||
bap tizéestsiatsale ig ue rp ie.	---⌫----|--|-|-|-|--⌫|-⌫--⌫--⌫-||
a tant es uus	|---|-|--|
bele sent les cheuie	----⌫---||--⌫-----|
ke pluses t beleque l aroseflurie.	-|---|--⌫|---|--|-⌫|---|-----||
danzbele b arb e uer sch arleslaguie	---|----⌫-⌫---⌫|---⌫|--⌫----|-|---|
li reislaprentp arl am ance	-|---|-|----|-⌫-|-⌫|-⌫---|
filli efaitil mu lt	-----⌫|---|-|--⌫-|
estesculu rie.	----|----⌫--||
k i unenu ituusau er aen	-⌫|--|--⌫-|--|--⌫--⌫|-|
nelid eitpu isremem brer decuar die	-|-|-⌫--|--⌫-|-----⌫---|-|----⌫--|
pruz hummede itestredesacheualer ie	---|----|--⌫-|----|-|-|--------⌫-|
siserrailsideu lidoneuie	-|----|-|-|--|-|---|--|
de q ueifranceisontli plusur en uie	-|-⌫--|-------|--|-|-----|--⌫--|
fillolfaitilorastale icumplie.	-----|---|-|-|-|-|--⌫|------||
bap tizées si	---⌫----|-|-|
astaleiguerpie.	-|-|--|------||
pern ezma fillie bele s ent a amie	----⌫-|-|-----|----⌫-⌫--||---|
p ur luite	-⌫-|--|-|
doins uercels emorie	----|------||----|
austeeple sen ce	----||---⌫---⌫-|
m elanepauie .	-⌫---||----||
sireserrasdetutelumbardie.	---|-----|-|---|--------||
otinellotuerslaterreseplie	-----||-|---|-|----|-|---|
li baiseform e nts	-|----|----⌫-⌫-||
sir e faiti lçonerefu is iomie	---⌫|---|-⌫|--|-|----⌫-|-|--|
si l a pu celelecomant	-|-⌫|--⌫---|-|-----|
dit belise nt	--|------⌫-|
io metiencpurgarri e	-|-|----|--|-----⌫|
deb on ma ri	-|-⌫-|--⌫-|
ne medeitp es er mie .	-|-|---|-⌫--⌫-|--||
l a meieamur	-⌫|---|---|
niert i a uersuus guenchie	|---|-⌫|---|--|-------|
distotinel qu ant uuse stesmamie	---|-----|--⌫--|--|-⌫---||---|
pur uos tre amur frai ch eualerie	--|---⌫--|---|---|--⌫-------|
deuantatille de	-----|-----|-|
m ort sunt	-⌫--|---|
paienquantaiprisba ptist eri e .	----|----|-|---|--⌫-----⌫---⌫||
dre izemperere auuscoment m a mie	---⌫-|-------||--|-----||-⌫--|
treskeuendrunsaspl einsd e lumbardie.	-----|-------|-|--⌫---|-⌫|--------||
lesnoeceserent es	--|-----|----|-|
prezde s uz h atilie	---|-|-⌫-|-⌫-----|
quantauera i mo rtl	----|-----⌫|--⌫-||
e mperurgarsie .	-⌫-----|-----||
en sunpaleises tli	-|--|-----|--⌫|-|
reismuntez	---|-----|
barna geestapreslui alé	-----⌫-|--|----|--|---|
li ma ngier estiapresteconreez	-|--⌫----|--|-|----||------|
cil lemanger enta kiilfudon ez .	--|-|------⌫--||-|-|-|---⌫-||
aprés supe rs est liui nsaport ez	-----|----⌫-|--|-|--⌫-|-----⌫-|
enz en l a chambreulireisesten trez	--|-|-⌫|------||-|---|--|--⌫---|
d or mirsen uontsion t	-⌫--⌫--||-|---|-|--⌫|
lesuisfe rme z	--|--|--⌫---⌫|
desk aldemain que	---|-|-----|--|
lis ol e il e stleuez	-|-⌫--⌫-⌫-|-⌫-|----|
l ireisseleue sesbarunsatmandé.	-⌫|---|-|---|--|-----|-|-----||
s urune table	-⌫-|--|----|
de sauineest muntez	-|-----|--|-----|
tientun bast untuta	----|-|----⌫-|--||
or ueele z	-|-----⌫|
se ingnursditch arleunpet it m enten dez .	--⌫------|--|--⌫---|-|---⌫-||-----⌫--||
conseilezmei	--------|--|
kar f aire le deuez	--|-⌫---|-|----|
delreigarsiedun tuusoïau ez	--|--|-----|---⌫|--|--|--⌫-|
kipa rs aforceestenmaterree ntrez.	-|--⌫|-⌫|----|--|-|-|----|-⌫----||
mescha s tels	--|---⌫-⌫---|
artebris e mescitez	--||----⌫|--|----|
ia ert destr uit e sa in t ecris ti ̈entez.	-|--|-----⌫---⌫|--⌫--⌫-⌫|----⌫--⌫-----||
i r rumnus iainzqueuien ge estez	-⌫-⌫--|--||---|--|----⌫-|----|
uatendrumtres keyuerseit passez	|-------|----⌫-|---|---|-----|
dient franceisdemerueilleparlez	----|-------|-|--------|-----|
apres tez .	-----⌫--||
mariauera altreterm e	--||----|----|----⌫|
siert fa itcharlepuis	-|--|--⌫-|-----|---|
quetuitle uolez	--|---|-|----|
alentré d auerilquantma rz	-|-----||-----|----|--⌫-|
ie rtpassez	--⌫-|-----|
purm eie amur	--|-⌫--|---|
lore suusapres t ez.	----⌫|--|-----⌫-⌫-||
dient francei ssicum u uscomandez.	----|-------⌫|-|--|-⌫-|-------||
nostreemper ere	-----|-----⌫--|
fa itescriuereses bre fs	--⌫-|--------|--|---⌫-|
parsunempire	--|--|-----|
tr ametsesmessagers	--⌫---|--|--------|
keneremanieneïsunscheualers	-|-|------|----|--|--------|
pie ́nese rgant	---⌫|-|--⌫----|
nar blaster	|--⌫------|
a sei ntdenise rend equ a tredeners.	|---⌫-------|----⌫|--⌫-⌫--|-----||
orua decembre	-|-|-------|
sies tpass éieneu ers	-|--⌫|----⌫-|-----⌫--|
feue r ier em arz euient litenslege rs	----⌫-⌫--||-⌫--||----|-|---|----⌫-|
aparisest nostre empereref ier s	|----|--|-----|-------|-⌫---⌫|
pierrolla nte o l iuers	---|-----⌫-||-⌫-⌫----|
eans e ls gira rd	|---⌫-⌫-|----⌫-|
eenge liers	|----⌫----|
estu ltdelengrese turpins	----⌫-|-|------||------|
berto lo ilib iereotin elli	-----⌫--⌫|-|-⌫--||----⌫-|-|
g uerreer s	-⌫-------⌫|
naimlesliducelidan eisogi ers .	------|-|--||-|---⌫--|---⌫--||
as granzfenestresen ont	-|----|--------|-|--|
mishorsles	--|---|--|
uirentuenir alemansebeiuers	-----|----|------||------|
eloerenes c eus asc oragesfie rs	|-------|-⌫--|-|-⌫-----|---⌫-|
epeiteui ns	|-------⌫-|
prouencelsléguer riers	---------|--|----⌫----|
e burguiuns	|--------|
fram en e se puie rs	----⌫--⌫-⌫||----⌫-|
de normend iela flur d escheu alers.	-|-------⌫-|-|---|-⌫-|----⌫----||
ui enentas	--⌫----|-|
esc uzdequarti ers	---⌫-|-|------⌫--|
endestreme ine n tles auferanz	-|-----|--⌫---⌫-⌫|--|-------|
quatr ees qu iers	-----⌫|--⌫--⌫---|
s emestier sont dunt	-⌫|-------⌫|--|---|
ilfruntcheua lers.	-|----|-----⌫---||
d esuz munmartresaünen tamilliers.	-⌫---|--------||------⌫||-------||
pr imiord a ueri lquant l aubeest escla rzie	--⌫-|--||-⌫----⌫|----||---|--|-----⌫---|
muntelireischarle	----|-|---|-----|
ou esac heualerie.	--⌫|-|-⌫--------||
depariseissent siuon t asaintdenise	-|----|------|-|---⌫||----------|
lecungéprennentluruei eont	-|-----|-------|--|---⌫|--|
acull i e.	-----⌫-⌫||
plurent ces	------|--|
da me s s i maldientgarsie.	--⌫--⌫|-⌫|-------|-----||
sonent ces corn se cildestriers h enissent.	-----|--|----⌫||--|--------|-⌫-------||
orese n irralireisd eske n	--||-⌫|---|-|---|-⌫--|-⌫|
lurbar die.	------⌫--||
liducrollan tal	-|--|------⌫|-|
p rim er chieflesguie	-⌫---⌫-|----|--|---|
deriere est n aimesodl a	------|--|-⌫----|-|-⌫|
bar beflorie.	---⌫-|-----||
maisotinelne uo ltleis sers amie	---|-----|-|--⌫-|----⌫--||---|
beli sentmun t esur	----⌫---|---⌫-⌫|--|
unmu ldeh ungrie	-|--⌫|-|-⌫-----|
queplus to stueit lambleüreserrie	--|---|--⌫-|---||--------|-----|
l amer ne ueitn efne	-⌫|--|-|---|-⌫-|-|
baruns atensamainbur nie	-----|-|-|-|-------⌫--|
tuiti oefne ge nt degrant	---|-⌫----|--⌫-|-|----|
cheualer ie .	--------⌫-||
eissen t d e	------⌫|-⌫|
france b urgonie on t guerpie	-----|-⌫------|--⌫|------|
passent mungiulafiere c ompaingnie .	------|-----|-|----|-⌫---------||
eissent des	------|--|
m unz uienent a morie	-⌫--|------||----|
desuzu erge lsp asserenta nauie	----|-⌫----⌫-|-⌫-------||----|
mun tferantmu ntentsiueienth ateli e	---⌫------|--⌫----|-|-----|-⌫-----⌫|
laforteci téu est la ge nthaï e.	-|----|--⌫--||--|-|--⌫-|----⌫||
suz mu npoü n	--|--⌫-----⌫|
prennetherberg er i e	------|-------⌫--⌫-⌫|
lezl e uedelto nenlapraerie.	--||-⌫-|--|--⌫|-|-|------||
nostr ee m pererefait francei s ar estier	-----⌫|-⌫-⌫-----|---|-------⌫|--⌫-----|
sur leuede lton	--||--|--⌫|--|
osteilier.	--------||
uinti orsplenierslesif eit d emurer	---|-⌫--|-------|--||-⌫--|-⌫-----|
lur cheualsf unts ein erer eposer	--|------|-⌫--|-⌫---⌫-||-⌫-----|
maladesgua riremesciner .	------|---⌫--||-------||
le fizpepi nne se	-|--|----⌫|-|-|
uoltublïe r	---|------⌫|
tantd ementiersafeitun	---|-⌫--------||---|-|
paru ntfranceisde iuen t ultre	--|-⌫-|-------|--⌫----⌫|----|
sur lepuntestn ostre	--|-|---|--|-⌫----|
empererebe r	-------|--⌫|
ufetses hai es	|--|--|---⌫-|
as uliue s fermer	|-⌫-----⌫|-----|
a mai lzd efercumf ire	|---⌫-|-⌫|--|----⌫--|
fait e stlipunz bienipothu mpasser.	---|-⌫-|-|---|---||--|--⌫|-----||
franceisse uon t	-------|-|---⌫|
asherbergesmanger	-|--------|-----|
mesrollant sestcuru	--|------||--|---|
du nc ad ub er	--⌫-|--⌫--⌫-|
ke nulne l so rent nenis li	-|--|--⌫|--⌫---|-|--|-|
nemesoliuer	-|--|-----|
eli daneisogier.	|-|-----|----||
tuttre is s adub ent suzlum bred	--|---⌫-||----⌫--|--||--⌫--||
a sdestrés m untentsi uont le puntpasser	-⌫|-------|-⌫-----|-|---|-|---|-----|
ue r slacite ́comencent	--⌫-⌫|-|----⌫|--------|
meisainzqu euieng ent	---|---|--⌫|-----⌫--|
ciltre ialr eturner	--|---⌫|-|-⌫------|
liplush ardiau eratant a	-|---|-⌫---|--⌫--|---||
niuoldreitestre	||-------|----|
uenuzp ur unmuidor cl er.	----|-⌫-|-|--||-|--⌫-||
deforshat illie	-----|---⌫----|
auneliue grant	|--|---|----|
out quatrereisdela	--|-----|---|-|-|
leim escreant	--|-⌫-------|
issusesunt sise uontdepo rt ant	---|-|---|-|-|---|----⌫--⌫--|
biensunt armé chascunasun	---|---|----|------||--|
cessuntlurnunssi	--|---|--|---|-|
lachançunne	-|-------|-|
lunbalsamili reis de niniuent	|-|------|-|---|-|-------|
laltrecurab leunrei depu tegent	|----|-----⌫-|-|--|-|--⌫-|---|
unques nout fei uersnul	-----||--|--|---|--|
humeuiuent	---|-----|
l it ierza nunaskanartl itir ant	-⌫|-⌫---||--|-------|-⌫|---⌫--|
forz estefiersehardem ent	---|--||----||------⌫--|
mort amilhummes	---||--|-----|
desespeetrenchant.	-||----|--------||
li quart clar el alachiere	-|----|----⌫-||-|-----|
natantbelhummetantcunsole ilresp lent	||---|--|----|---|--|----⌫-|----⌫---|
netreuenul quiiustel idemant	-|----|--|--|----|-⌫|-----|
si h a rdisia colpliatent	-|-⌫-⌫--|-||---|-|----|
que neloc cieuabate sa nglent.	--|--|--⌫--||----|--⌫-----||
p arlec hampuontdestri ersaleissan t	-⌫-|-|-⌫---|---|------⌫--|--------⌫|
form entmanacentoliuere rollant	----⌫--|-------|-----||------|
eiu ren td e us il poent	|--⌫---⌫|-⌫-⌫||-|----|
u iueretan t	-⌫----|---⌫|
k end uc efrancepeussent	|-|-⌫--⌫|-----|-------|
mener lurgent	----|--|---|
iacha rle maine nauerauers eus gua rant	-|---⌫---⌫----||----|---|--|---⌫---|
desduzepi ersfrunt trestutlur	--|---|--⌫--|----|------|--|
ç o dit clarelalachie re	--⌫|--|-----||-|----⌫-|
enmanac erneguainel umnïent .	-|-----⌫-|-|-----||-|-----||
i ai oïgrantm entpreiserrollant	|-|--|------⌫--|------|------|
nat plus produ mme deci k	|-|---|-----⌫--|---||
enue rss espeen	----⌫-||----||
a thumm eguarant.	-⌫|----⌫|------||
m eismesdeuspri mahun	-⌫--|--|---|--|----|
eteru agant	|----⌫----|
k u ncor eeiede lia ssaiement	|-⌫----⌫|--|-|-|-⌫--------|
kuncolpli duinsed em	|-|---|-|-----|-⌫||
