liuila insdist	-|----⌫--|---|
fu st descenduz	--⌫-|--------|
u int unsnains parmi	-⌫--|--|----|----|
to z abriuez	--⌫|------|
silidi stgauuains	-|-|--⌫-|-------|
bienueignant	---|-------|
etgau ua insner est mie lant	-|---⌫--⌫--|-|-⌫--|--|---|
sili rent mo ut tostsonsalu	-|-|---|--⌫-|---|--|---|
etli aditnain s quie s tu	-|-||--|----⌫|--|-⌫|-|
quiest tad ameetquites	--|--|-|-⌫--|-|--|--|
mesonq uesne l iuostplus	--|---⌫--|-|-⌫|---|---|
ainzsen reuatot	---||-|---|--|
gauuainsmesco nnutcequi luoit	-------|-----⌫---|-|-|-⌫|---|
etse merue lleq uestrepuet	-|-|-----⌫--|-⌫|----|---|
et linain s respondre	-|-|----⌫|--------|
etse s ilda ignast aliprendre	-|-||-|--⌫-----||-|------|
il li conu enist	-|-|----⌫----|
r a isonrendre	-⌫-⌫---|-----|
me suolentiersal er	--⌫|---------|--⌫-|
len les se	|-|---⌫-|
maintenantuersterre seslesse	---------|---|----||------|
pa rmiunearche	--⌫--|--|----|
a regardee	|-------|
uneca ueparfondeetlee	--|--⌫-|-------|-|--|
quimoutestoitbassesozterre	--|---|-----|----|--|----|
mais i ld itqu il	---|-⌫|-⌫-|-|-|
uoudraen quer re	-----|--⌫----⌫-|
tozlesreduiz ainzqui lsen ail le	--|--|-----|-----|-⌫||-|---⌫-|
n ese pr isoitunemaaille	-⌫|-|--⌫----|--|------|
se trestotlestre ne sauoit	-|------||----|-|-----|
atantez uosqu eissiruoit	----|-|--|--⌫|----|---|
delacaueam ontun degre	-|-|---|--⌫--|-|----|
unuilaintrestotherupé	-|-----|------|------|
b iendeistqui l e ust ueu	-⌫--|----|--||-⌫--|--|
q uileustsonoirre perdu	-⌫|-|---|--|----|----|
moutsanble	---|-----|
estreliuila insf el	----|-|----⌫--|-⌫-|
plu sestoi tgr anzquesaint ma rcel	---⌫|-----⌫|--⌫--|--|----|--⌫---|
etsor soncola	-|--|--|--||
u neiusarme grantetlee	-⌫-|------|----|-|--|
mesmouts emerue l lega uuain	--|---|-⌫|-----⌫-⌫-|--⌫----|
decequeiluit lo	-|-|--|-|--|-|
m orresa nbledemoretaign e	-⌫-|----⌫---|-|---------⌫|
oud e cesuilainsdec hampaigne	-|-⌫|--|------|-|-⌫--------|
queli solaus	--|-|-----|
atoz tanez	|--|----|
deuant gauuainses t ar est ez	-----|------||--⌫|--⌫---⌫-|
s ilama intenant salué	-⌫|||--⌫-------|-----|
etgauuainsa	-|-------||
mout reg ardé	---|---⌫----|
sa co ntenan ceet safigure	-|--⌫------⌫-|-|-|-----|
ettuai esbon eauen ture	-|-|--⌫-|---⌫|----⌫---|
fet gauuai ns sepo r bienlo	--|------⌫-|-|--⌫|---|-|
oilcertes mes ahardi	--|-----|--||----|
te tiengquant caie ns iesuenuz	-|----|----|----⌫-|--|----|
mouta sorbiente sp asperduz	---|-⌫|-|---|--⌫|-⌫-|-----|
q u i l n epuetestr een	-⌫|-⌫|-⌫|---|----⌫|-|
lifrains quetuiesuen uzquerre	-|-----|--|-|--|---⌫-|-----|
que bo ne s	--|--⌫--⌫|
gardesa entor	-----||----|
moutt estuet rendreg rantestor	---||-----|-----|-⌫---|----|
si m aitdieus ainzque tu	-||--|----|------|-|
de no ient	-|--⌫---|
f e t gauu ains	-⌫-⌫|----⌫---|
que certes assezenren drai	--|-----|----|-|---⌫---|
si maitdi eusainz	-||--|--⌫--|---|
fra in c naie	---⌫--⌫||--|
t o tqui te	-⌫-⌫|---⌫-|
et cilonq ues plusnerespite	-|--|---⌫--|---|-|------|
mes porce quilu oitas erir	--|--|-|-|-|-⌫--|--⌫---|
cil sent r emetdelui	--||---⌫-⌫---|-|--|
ettotdroit al ostellomoinne	-|--|----|||----|-|-----|
deluiaseoirmo uts e painne	-|--|-----|--⌫-|-⌫|-----|
rabienostelee	-|---|------|
un e bla nche to aillelee	--⌫|---⌫---|--⌫----|--|
adeus ba cinsp r entli uila i n s	|---|--⌫---|-⌫-⌫--|-|----⌫-⌫-⌫|
donealauers esmains	---||----|-⌫-|----|
q uelaienz n a	-⌫-|-----|||
mai snie e	---⌫----⌫|
ia esto itla table dreciee	-|----⌫-|-|----|------|
ogauuains assistaumengier	|-------|-----|-|------|
simeniaquile not	-|----|-|-|-⌫|-|
et cillen do neagrant pl ent e	-|--||-|--⌫-||----|--⌫---⌫|
silosertasa	-|-|---||-|
tot maintenant quem engié a	--|---------|--|-⌫-----||
e t liuilains lata ble osta	-⌫|-|------|-|--⌫--|---|
etsi li al eueaportee	-|-|-|||--|------|
unegrantcoche haut eet	--|----|----|----⌫|-|
liafe t eporlu icochier	-||--⌫-⌫|--|--⌫|------|
c armoutlo	-⌫-|---|-|
uialt bien	----|---|
co nat elche uali ercouient	--⌫||-⌫-|---⌫----⌫-|------|
maintenantde lezl uireuie nt	---------|--⌫--|-⌫-|-----⌫-|
gau uainsfetilenz ences tl it	---⌫----|--|-|--|-|---⌫|-⌫-|
sanzchalongeetsanzcontredit	---|-------|-|---|--------|
to zseusan uitmes	--⌫|---|--⌫--|--|
icete deman t	--|-|-----⌫|
tot enpe s	--|-|--⌫|
ancoisquetutaillesco chier	--------|-||-----|--⌫----|
porce que taioip risier	--|-|--||-|-|-⌫-----|
te partisorendroitie u	-|-----|--------|--⌫|
etporceque	-|--|-|--|
si p rentotata uolente	-|-⌫--|--||-|------|
et g auu a i nslia creanté	-|-⌫---⌫-⌫-⌫-|-||-------|
quilenpren dralo	-|-|-|----⌫--|-|
quel quesoit	---|--|---|
difetgauuainsqueorendroit	-|--|-------|--|--------|
sim ait de uslunenprendre	-||--|--⌫-||-|-|------|
nedemotn et ementire	-|-|--|-⌫|-⌫|------|
tetiengamonb on	-|----||--|-⌫-|
anuit fait il	----|---|-|
la testem oste	-|----||---|
acesteiusarmetre nchant	|----|------|---⌫-----|
silam ostepar telco nuant	-|-||---|--|--|--⌫----|
toe tetrench erai	--|-|------⌫---|
loumatinquant iereuenrai	--|----|----|-|-------|
orpren fet il sanz c ontre d it	-|---|--|-|---|-⌫-----⌫-⌫-|
moutsaur efaitgauuains p etit	---|----⌫|---|-------|-⌫---|
seiene sailouque liepre i gne	-|-|-|--|--|---⌫|-|---⌫-⌫--|
ie prendre	-|------|
conmen tquilauiegne	------⌫--|-|------|
anuitlatoe trenche ra i	----|-|--|-------⌫--⌫|
etloumati nterend erai	-|--|----⌫|-|----⌫---|
l amoieseuiau s	-⌫|---|-|----⌫|
aitquimi aus	--|--|--⌫--|
fe tliuilainsoren uien	--⌫|-|------|-|-|---|
lorsl oumoinn edeso runt ron c	---|-⌫-|-----⌫|----⌫|-|-⌫---⌫|
liuil a inslo col li	-|---⌫-⌫--|-|--|-|
mainten antlaiusarme pre nt	-------⌫--|-|------|---⌫-|
gauu a inssi licoupe lateste	----⌫-⌫--|-|-|----|-|----|
a unc opqueplusniareste	|-|-⌫-|--|---|||-----|
liuilainsresalt	-|------|-----|
so rsespiez etsateste pr ent	--⌫|--|---|-|-|----|--⌫--|
dedenzla caueenest	-----|-|---|-|--|
et gauuains	-|-------|
sen est retornez	|-|--|-------|
estcouchiez	--|-------|
isnelement	---------|
ius q uauior dortseurement	---⌫-⌫|-|--|---|--------|
lendemai n desquil a iorna	|-------⌫|----|-|-⌫----|
gauuains selieueetatorna	-------|-|----|-|-----|
atantez uos qu e li uilain s	----|-|--|--⌫|-|------⌫|
reuinttozhaitiezet	-----|--|------|-|
t ozsai ns	-⌫-|---⌫-|
etsai u sarmesor son	-|-|-⌫-⌫----|--|--|
orse p uetbien	-|-|-⌫--|---|
t enir por fol	-⌫---|--|--|
gauuains q uant	-------|-⌫---|
ilot regardee	-|-|-------|
la test equeilotc oup ee	-|----⌫|--|-|-|-⌫---⌫-|
mesn elou redo ta n oiant	--|-⌫|--|----⌫-|-⌫----|
uilains parrole	------|------|
q uin estoitde rienesp erd uz	-⌫-||-----|-|---|---⌫---⌫-|
gauuainsf etilies uiuenuz	-------|-⌫-|-|-|-⌫-|----|
te r apel d e	-|-⌫---|-⌫|
lcontredidenoient	|-------|-|-----|
quebi en u oi	--|--⌫-|-⌫-|
quefere lestuet	--|---||-----|
n e conbatrepas ne se	-⌫|-------|--|-|-|
etsil oude ustilbi en	-|-|-⌫-|--⌫--|-|--⌫-|
mes desloiaute ne uiautfere	--|---------|-|----|---|
distqueuo l entiersli t en d roi t	---|--|--⌫-⌫------|-|-⌫--⌫-⌫---⌫|
o ruie ndonc	-⌫|---⌫|---|
fetliuilain s	--|-|------⌫|
forsdelaienz s enis tgauuains	---|-|-----||-|--⌫|-------|
loucol l i	--|--|-⌫|
estentsor l o tr onc	-----|--|-⌫|--⌫--|
etliuilain sli dist adonc	-|-|------⌫|-|---|----|
less ec ol uen ir	----⌫|-⌫-|---⌫-|
ienen aiplusfet	-||-|-|---|--|
mesfieriseferir iuiaus	--|---||-|----||----|
c e seroitdoma cheetdiaus	-⌫|-----|----⌫--|-|----|
d ie ussiliferoit	-⌫--⌫-||-||-----|
sa iusarme	-|------|
haucetotdroit	----|--|----|
quilo fe t porluiesmaie r	--|-|--⌫|--|--|------⌫|
m es natalant d eluitochier	-⌫-|||-----|-⌫|--|------|
que m out lo ia us	--|-⌫--|--⌫--⌫-|
etq uebientenuli auoit	-|-⌫-|---|---|-|----|
c equill iauoitc r ea n té	-⌫|-|-|-⌫|----|-⌫-⌫--⌫-⌫--|
e tgauuainsli ad emandé	-⌫|-------|-||-⌫------|
conmentlou	------|--|
fraincporraauoir	-----|----|----|
bienloupor ras	---|--|---⌫--|
f ait il sauo ir	-⌫--|-|----⌫-|
mais ainzquemid i s soit passez	---|------|---⌫-⌫|---|-----|
a urast u deb atail le asse z	-⌫---|-⌫|-|-⌫-----⌫-|----⌫|
quecon batretecon uendra	--|---⌫----|-|---⌫-----|
adeuslio nsenc haen e z	|---|---⌫-|---⌫----⌫-⌫|
ne s t mietrop aband onez	|-⌫-⌫|--|---|-----⌫---|
lifrains ainzi am alegard e	-|-----|---|||-⌫--|----⌫|
etmalefl a m em arde	-|---|--⌫-⌫-⌫||---|
s ili auoitdischeualiers	|-||----|--|---------|
t an t sa i lesde us lionsafiers	-⌫--⌫|--⌫|--|--⌫-|----||----|
queianusnen	--|-|--||-|
eschaper oit	--------⌫--|
quiconbat r eleslesseroit	--|------⌫-⌫|--|--------|
mesqueget iauremestier	--|--|-|||---|------|
ainzun poimengi e r	---|-|--|-----⌫-⌫|
quetu uoi se sa labataille	--|-|---⌫--⌫||-|-------|
porceq ue li cuers	--|-|-⌫-|-|----|
n etefaille	-⌫|-|-----|
plus pesanz	---|-----|
de m engierse roiti l	-|-⌫-----|--⌫---|-⌫|
fetg auuainsen	--|-⌫------|-|
nulemaniere	---|------|
mes porchaceunearmeu re	--|-------|--|-----⌫-|
d ont iem epuiss e a pa rrellier	-⌫--|-|-⌫|-----⌫|-⌫--⌫-------|
caienzafet ilbon destrier	-----||--|-|--|-------|
quenusnech euauchades mo is	--|--|-|--⌫------|--|--⌫-|
siaa ssezautreharnois	-||-⌫---|----|------|
queuolentierstepres terai	--|---------|-|----⌫----|
mestotanco is temostrerai	--|--|----⌫-|-|--------|
lesbestesq u et uarmez	--|-----|-⌫-⌫|-⌫|----|
sauoirsetute recrer oies	-----|-|-|-|------⌫---|
deconb atre aueclion s	-|----⌫---|---|----⌫|
si maitsainz p antelions	-||--|----|-⌫--------|
faitgau uainsianeles u errai	---|---⌫----|-|-|--|-⌫----|
iu sque aausmeconb atrai	--⌫---||--|-|----⌫----|
mesarmezmoideliurement	--|----|--|----------|
et cillarm e	-|--||---⌫|
toterranm ent	--|------⌫--|
darmesbonesdechiefen chief	|----|----|-|----|-|----|
quibienen sot	--|---|-|--|
uenira chief	----||----|
ets iliamainneundestrier	-|-⌫|-|------|-|-------|
gauuainsimonta	-------||----|
parle strier	--||-⌫-----|
queilnestde rien	--|-||--|-|---|
si liap or tes etescuz	-|-|--⌫--⌫-|-⌫-|----|
quilia u rontmoutgrantmestier	--|-|-⌫-⌫---|---|----|------|
et li uilainsuet	-|-|------|--|
unde slions sil iamoinne	-|--⌫|----|-|||------|
etlilions telorgoilm ainne	-|-|----|--|-----|-⌫----|
s i g rant	-⌫|-⌫---|
forsen e tsi g rantrage	-----|-⌫|-|-⌫---|---|
queos es pi ez	--||-⌫-|--⌫-|
la terre arrac h e	-|----|-----⌫-⌫|
etsachaen nerung e asdenz	-|-|-----⌫-|----⌫|-|---|
quanti l par fufo rs d e laienz	----|-⌫|--|-|--⌫-|-⌫|-----|
etilchoisilocheualier	-|-|-----|-|--------|
lo rsseconmencea hericier	--⌫-|-|-------||-------|
saqueues e deb at	-|----|-⌫|---⌫-|
certesquiol uise	-----|--||-⌫-|-|
descremirli conuientsauoir	|-------|-|-------|-----|
nen eli conuient mie auoir	-|-⌫|-|-------|--|----|
chi eurenedelimace	---⌫---|-|-|-----|
une onieplace	--|---|----|
lo ule sseli uilainsaler	--⌫|--⌫--|-|------|---|
g a uuai ns nou daigne refuser	-⌫-⌫----⌫-||-|-----|------|
ainzli pass etrete s	---|-|----⌫|----||
etcilas ah u rel euee	-|--||-⌫|-⌫-⌫-|-⌫---|
silou fiertetci l refiertlui	-|--|----|-|--⌫|------|--|
biens entref ierenta me dui	---||------⌫-----|-⌫--⌫--|
au pr emierco pl a si	-|--⌫----|--⌫|||-|
al escut olu	||---|-⌫--|
lilion set	-|----⌫|-|
a luisachié	|--|------|
cilli aautr e	--|-||----⌫|
apar elli é	----⌫----⌫-|
li uilains	-|------|
etgauuains lo u prent	-|-------|--⌫|----|
lou lionfier tparmautalent	--|---|----⌫|--|--------|
parm iles chine de lespe e	----⌫||--⌫----|-||----⌫|
me sla piaus	--⌫|-|----|
estdur e etserree	--|---⌫|-|-----|
sidure qu e nepuet	-|---|--⌫|-|---|
tr ench ier	--⌫----⌫--|
q uec orr ec ier	-⌫-|-⌫---⌫--⌫--|
sili reuie nt conmetenp este	-|-|-----⌫-|----|----⌫---|
siloure fi ertpa rmilat es te	-|--|--⌫--⌫--|--⌫--|-|-⌫--⌫-|
desa c oeet li	-|-|-⌫-|-|-|
lou secontet	--|-----|-|
lotierz es cu	-|----|--⌫-|
siquedoq uart ne nail mes	-|--|-|-⌫---|--⌫||-|--|
tu tropatendrem es	-|---|------|-⌫-|
p arma barbefait li uilains	-⌫-|-|----|---|-|------|
fiertmessire gauuains	----|--|---|-------|
aestrou s que	|------⌫|--|
totesespee	---||----|
lienb a tiusqu enlaco ree	-|---⌫-⌫|----|-|-|--⌫--|
queloulionestue tmorir	--|--|---|-----⌫|----|
orm e lai ssiezlautre	-|-⌫|---⌫----||----|
faitil et liuilainslo	---|-|-|-|------|-|
moutf etgran tduel etsi	---|-⌫-|----⌫|---|-|-|
s engresse	|-------|
de sonconpa ignonquem ortuoit	-|--|-----⌫----|--|-⌫--|---|
uerslou cheualieruienttotdro it	---|--|--------|----|--|---⌫-|
silourequi ertde	-|--|-----⌫--|-|
pr emiercoplia t olu	--⌫----|--|-||-⌫--|
etl i uilains autre aparelle	-|-⌫|------|----|-------|
etdequa nquilp uetleconselle	-|-|---⌫--|-|-⌫--|-|-------|
etlilionsliuientcorant	-|-|----|-|----|-----|
qui moutlenc ha uc e pard euant	--|---||---⌫--⌫--⌫|--|-⌫----|
as ong les i usq a lauentail le	-|---⌫--|-⌫--||-|-------⌫-|
lideron pitot elamai lle	-|-----⌫-|---⌫|-|---⌫--|
etsili retoutso ne scu	-|-|-|-----|--⌫|-⌫--|
et cilliaautr e rendu	-|--|-||----⌫|----|
mesorset bienetaparcoit	--|-|--|---|-|-------|
gauuains queseil litolo it	-------|--|-|-|-|----⌫-|
c est uiquece seroit m oles te	-⌫---⌫-|--|-|-----|-⌫----⌫-|
parmila greue dela	----|-|----|-|-|
lo fiertd elespe e	-|----|-⌫||----⌫|
tr e nchant	--⌫-⌫-----|
queiusquesd enzto tlo	--|----|-|-⌫--|--⌫|-|
et lilions chiet alaterre	-|-|----|----||-|----|
dec e stuiestfinél aguerre	-|-⌫-⌫---|--|----|-⌫|-----|
fet gauu a ins et fete	--|----⌫-⌫--|-|---|
ormerentfet ildesormes	-|-|---|--|-|-------|
lo ufr ai ncfoique tudoiz	--⌫|--⌫--⌫-|--|--|-|---|
niramieissipar saint pere	|--|--|---|--|----|---|
faitcil niau ramestierganche	---|--|||--⌫-|------|-----|
ieuerreainztotetamanche	-|----|---|---|-|-----|
detonh auberc desanc	-|--|-⌫-----|-|---|
setu uiauscroire	-|-|----|-----|
m on consel	-⌫-|-----|
de sar metoiets i	--⌫---⌫-|--|-|-⌫|
tant queforcetesoituenue	----⌫--|----|-|---|----|
mesil n euia ltporn ul epein e	--|-|-⌫|---⌫-|--|-⌫--⌫|----⌫|
etli ui lain s tot	-|-|--⌫----⌫|--|
droitlom ainne	----|-|-⌫----|
pa rmichanbresetpa rmihui s	--⌫--|-------|-|--⌫--|---⌫|
que bie nsauo ittozlesr eduis	--|---⌫|----⌫-|--|--|-⌫----|
t antquenla chanbre uient tout	-⌫----|-|-|------|----|---|
cheualie rssegis oit	--------⌫-|-|---⌫--|
q uiparmi l ouc orsert	-⌫-|----|-⌫-|-⌫--|--|
gauuainsbi e nsoieztu uenuz	-------|--⌫-⌫|----|-|----|
faitiltantostco n ueula	---|-|------|--⌫|--|||
f ortune ta enuoi e ́ca	-⌫-----|||-----⌫-⌫|-|
porceque ie suiia gariz	--|-|--|-|--|-|----|
assez h ardiz	----|-⌫----|
mesc onbat reo moi	--|-⌫-----⌫-||--|
desqua utrement estr enep u e t	----|-⌫-------|----⌫|-|-⌫-⌫-⌫|
iaceditno contr edira	-|-|--|||-----⌫----|
et cilmaintenantseleua	-|--|---------|-|---|
quisarmetot asonuo loir	--||---|--||--|--⌫---|
mestr espasséuosduia uoir	--|--⌫-------|--|--|-⌫---|
cequen edoi pastrespas ser	-|--|-⌫|--|--|-------⌫--|
ainzfait mout bien areconter	---|---|---|---||-------|
por ce quenaurezseleuo it	--|-|--|-----|-|----⌫-|
uneco stumeteleauoit	--|--⌫----|---|----|
quantun cheualier daut re	----|-|--------||---⌫-|
por lapuce leuen oitquerre	--|-|----⌫-|---⌫--|-----|
lo frain cquila	-|-----⌫|--|-|
deden ze stoit	-----⌫|-⌫----|
aluic onbatre se deuoit	|--|-⌫------|-|-----|
estoi tpar	-----⌫|--|
lui uaincuz	--|------|
iaesch anges nenfust renduz	-|----⌫----||-|---|-----|
sedelatest enontrenchier	-|-|-|----⌫|--|--------|
et puis enu n despie zfich i er	-|---|-|-⌫|--|---⌫|----⌫-⌫-|
lichast iauscloses t oit	-|-----⌫---|---|--⌫-⌫--|
etseautrement auenoit	-|-|--------|------|
quecilrefustparluiuainc u z	--|--|-----|--|--|-----⌫-⌫|
unsautrespieus	--|-----|----|
se roitfe ruz	--⌫---|--⌫--|
tantq autres cheualiersuenist	----|-----|---------|-----|
que cilparbatai l le uainqu ist	--|--|--|-----⌫-⌫-|------⌫--|
ensison t c ilanduiarmé	---|---⌫|-⌫-|----|----|
etliuilains aamené	-|-|------||-----|
acha scund aus	|---⌫---||--|
u nbon destrier	-⌫|--|-------|
et i lisa il lentsanz estrier	-|-⌫||--⌫--⌫---|---|------|
etlesescuzpendentascous	-|--|----|------|-|---|
desorme se norroizlescous	-------⌫|-⌫|-----|--|---|
maintenantq uilfurent monté	---------|-⌫|-|-----|-----|
lorsali uilainsapres t é	---||-|------|-----⌫-⌫-|
deus lancesgroses silo rbaille	---|-----|-----|-|--⌫|-----|
porc onme nci ercele	--|-⌫----⌫---⌫-|---|
lorss esloingnentli un	---||----------|-|-|
del a utre	-||-⌫---|
puisse nt reuienenttot sanz	---||-⌫--⌫--------|--|---|
paruertu tieus	--|----|----|
coussentredonent	---||----------|
apou quilnese desa rc onent	|--|-|-|-|-|----⌫--⌫----|
le slanc e s br isent	--⌫|----⌫-⌫|--⌫----|
ete slois sent	-|-⌫-----⌫---|
et li arconderrierefr ois sen t	-|-|----|-------|--⌫---⌫---⌫|
etderonpirentlie st rier	-|----------|-|-⌫--⌫---|
remestcorroieat renchie r	-----|------||-⌫-------⌫|
q u ene puentloufessoffri r	-⌫-⌫|-|----|--|--|------⌫|
aterrelesestuetuenir	|----|--|-----|----|
tout maintenant em	---|---------|-|
piez reuienent	---|--------|
etlesescuzenbraci ez	-|--|----|-------⌫-|
durementaferirsessaien t	-------||----||-------⌫|
escuztieusco us sepaient	----|----|--⌫-|-|-----|
que les esta n celesenuolen t	--|--|----⌫-⌫----|-|-----⌫|
asesp eeslese scuz	-|---⌫--|--|-⌫---|
s iqueles piecesenabatent	-⌫|--|--|-----|-|------|
deus liueess entre co nbatent	---|-----||-----⌫--⌫------|
que seulementplainp iedeterre	--|--------|----|-⌫-|-|----|
nepuetlunssorl	-|---||--|--||
autreconque r re	----|------⌫-⌫-|
si amoutgauuain a nuié	-||---|------|-⌫----|
decequil atantdetr ié	-|-|-|-||---|----⌫--|
silou requi ertdetel uertu	-|--|-----⌫--|-|--|----|
quetre s to tli a	--|---⌫-⌫--⌫|-||
liaum e et locercle coupé	|----⌫|-|-|-----|-----|
etsil alorssi es toné	-|-|||---|-|--⌫----|
queile stenbrunchiezue rsterre	--|-|-⌫-|----------|--⌫-|----|
et louassalaluilo u	-|-|-----||--|--⌫|
gauu ains lousachepargrantire	----⌫---|--|----|--|----|--|
et faitsanbla ntdeluioc irre	-|---|------⌫-|-|--|--⌫---|
etcilmaintenant	-|--|---------|
gauuai nsne mocirretumie	------⌫-|-||-----|-|--|
fou s fu iquant	---⌫|--⌫|----|
atoi meprenoie	|--|-|------|
mese ncorhuimatin	--|-⌫---|--|----|
queso zciel neu st cheualier	--|--⌫|---||--⌫-|--------|
mois osast	--||----|
ettuma sa force conquis	-|-||-⌫||----|------|
et sit emonteora gra ntpr is	-|-|-⌫|----|-||---⌫-|--⌫-|
et iete quidoie tre nchi er	-|-|-|------|---⌫----⌫-|
latesteence pel fichier	-|----|-|-|--|------|
en a nulesfichiees	-||----|-------|
siai to tesce le strenchiees	-|-|--⌫--|--⌫--⌫|---------|
quit ot entor cep aliz	--|-⌫-|----|-|-⌫---|
acheualiersquicaienz	|---------|--|-----|
uenu p or autrete lafere	---|-⌫-|-------⌫|----|
ausiq uidoie	---|-⌫-----|
ie toifaire	-|--|----|
cie ltelcheualierna	---⌫|--|--------|||
gau uainslole t eti l sen	---⌫----|-|--⌫|-|-⌫||-|
en lachan bres estdesarmez	-|-|----⌫--||--|-------|
uilain s fetgauuains or	------⌫|--|-------|-|
conmentporr ailo fra inc auo ir	------|----⌫-|-|---⌫--|---⌫-|
gauuainsf ait iluiaustusauoir	-------|-⌫--|-|----|-|-----|
que tuasaferepr emiers	--|-|-||---|--⌫-----|
a deusserp ens felons et	|---|----⌫--|-----|-|
quisancgietentde	--|---|------|-|
leusenleus	---|-|---|
etparlabochelo r	-|--|-|----|--⌫|
conbatre teconuienta ncois	-------|-|-------|-⌫----|
mesbie n sachesque	--|---⌫|-----|--|
ci l h arnois	--⌫|-⌫-----|
netaura iauers	-||---|-|---|
ausmestier	--|------|
u na utr eue	-⌫|-⌫---⌫|-|
tap arellier	|--⌫-------|
ertforzet plus te nanz	--|---|-|---|--⌫---|
ilabiencaiensquatrecenz	-||---|-----|-----|---|
hauberztresliz forzetentiers	------|------|---|-|------|
quifu rent a ces c he ua liers	--|--⌫---||--|-⌫--⌫--⌫----|
dontt uuoislestestescoupees	---|-⌫|---|--|-----|------|
atosta porte es	|---|-⌫-----⌫-|
liuilainsdep luso rsmanieres	-|------|-|-⌫----⌫-|-------|
unesarmes for s	---|----|---⌫|
etentieres	-|-------|
libaille porsoiator n er	-|-----|--|--|----⌫-⌫-|
lorsdistgauuai ns	---|---|------⌫-|
lesdiablesquetudis oies	--|------|--|-|---⌫---|
fet cil me s	--|--|--⌫|
ainzquesoi tpa ssez	------|---⌫|--⌫---|
m idisa u r asa fereassez	-⌫---|-⌫-⌫-⌫-||---|----|
asozcielhomes i	|--|---|---|-⌫|
quilesost apri mier	--|--|--|----⌫---|
nequi le sostneisueoir	-|--|--⌫|--|---|----|
gauuains li	-------|-|
dist ne techal oir	---|-|-|----⌫--|
lorsu a deslier les	---|-⌫|------|--|
par sont etfiers	--|---|-|----|
liuilainset ama inne a m ont	-|------|-|---⌫---|-⌫-⌫--|
quimoutsa uuag es	--|---|--⌫----⌫-|
bestes sont	-----|---|
siquepa rtot deleuenleu	-|--|--⌫---|-|--|-|--|
ests es escuze nprisdefeu	--|-⌫-|----|-⌫----|-|--|
paruertugauuains l oure quier t	--|----|-------|-⌫-|--⌫-----⌫|
tel co pdelespeelo	--|--⌫|-||----|-|
sicon lescri ture tes moi ngne	-|--||-----⌫---|---⌫---⌫---|
si q uelateste	-|-⌫-|-|----|
lireoingne	-|-------|
silatuéisnelemen t	-|||---|---------⌫|
nes ai que	-|-⌫-|--|
ialasse acontan t	|-----|-------⌫|
mes ai n zq uemidisf ustpassez	--|--⌫-⌫--⌫-|----|-⌫--|-----|
lesaand e ussiconreez	--||---⌫-⌫-|-|------|
quetuit sont mortet	--|---|---|---|-|
de trenchié	--⌫--------|
auques alouise ntochié	-----||-|--|-⌫-------|
dos ancetd e	-|-⌫--|-|-⌫|
laporreture	-|--------|
liuilainsrepre ntl armeure	-|------|-----⌫-||------|
d e coiilconbatuzestoi t	-⌫|--|-|-------|-----⌫|
m es ancoizqu ildesa rm ezsoit	-⌫-|-------|-|----⌫--⌫-|---|
linai nsp etizliuint de uant	-|---⌫-|-⌫---|-|---|--⌫---|
quipr ime spar desozla uuant	--|--⌫---⌫|--|----||-⌫----|
u in talui	-⌫--⌫||--|
silousalu a	-|--|----⌫|
neplusdir ene li daigna	-|---|---⌫|-|-|-----|
a inzsenala	-⌫--||-|--|
si fier eme nt	-|----⌫---⌫-|
g auuains f etili euos present	-⌫------|-⌫-|-|-⌫|--|------|
deparmadamelo seruise	-|--|-|---|-|------|
mesqu eils oit	--|--⌫|-|-⌫--|
part e ldeuise	--|-⌫-⌫|-----|
queau ecquesli m engeras	--|--⌫-----|-|-⌫------|
et a tonuoloirenferas	-||--|-----|-|----|
contr edit etsanz gu e rre	-----⌫---|-|---|--⌫-⌫--|
do fra in quetuies	-|---⌫-|--|-|--|
uenuzque rre	----|---⌫--|
gauuainsqu	-------|-|
s eli uilainsloco n duisoit	-⌫|-|------|-|--⌫-⌫------|
carmout biens e	--|---|---|-⌫|
fioit enl ui	----|-|-⌫-|
mainamains en uont am edui	---||---||-|---|--⌫---|
moutl abienl iuilains mené	---|||---|-⌫|------|----|
tantont de	---|--|-|
chanbre en	------|-|
chanbrealé	------|---|
quenlach anbreuienenttot	-|-|-|--⌫----|------|--|
ola dameen un lit	|-|---|-|-|--|
qui au oiten uoié	--|--⌫--|--⌫----|
porq uerre	--|-⌫----|
mons aignorgau u ain	--|-⌫-----|---⌫-⌫--|
maintenantque uenulo	---------|--|---|-|
contreluiuasili adit	-----|--|-|-|-||--|
gauuainsbiensoiezuosuen u	-------|---|----|--|---⌫|
si m estilpar	-||--|-|--|
moutgranzanuizet	---|----|----|-|
gra nzdomages	---⌫-|------|
que to tes	--|--⌫--|
mesbestessauuages	--|-----|-------|
auezmortes e n	---|-----|-⌫|
si uos coui ent il	-|--|----⌫--|-|
a ue cmoi o rendroitm e n gier	-⌫--⌫|--|-⌫-------|-⌫-⌫-⌫---|
onquesuo ir	-----|--⌫-|
mellorcheualier	-----|--------|
nepluspreudeuos	-|---|---|-|--|
ellits a si enta medui	-|--||-⌫--⌫--|-⌫----|
miec emesanb le	--|-⌫|-|----⌫-|
li liznede	-|--|-|-|
sau znedetranb le	---⌫|-|-|-----⌫-|
