quiweultoirsarm on	--|----|--|----⌫-|
s a i biencertainnement	-⌫-⌫|---|------------|
kec e estc ist nen d outn oient	-|-⌫|--|-⌫--||-|-⌫--|-⌫----|
quipar le ce rf a uos	--|--|-|--⌫-||--|
e tieramoi se	-⌫|--||--|-|
be axchiersireisne lemen t	--⌫-|----|---|----⌫-----⌫|
f aiso n toutsonc ommandement	-⌫----⌫|---|--|-⌫----------|
a lonen la	-⌫--|-|-|
au seint prouuerre	-|----|--------|
pora pprend requedeuoncrerre	--|-⌫------⌫-|--|----|-----|
etporluihumbl em entproier	-|--|--|-----⌫--⌫--|-----|
ke ilnosuoillebap tissier	-|-|--|-----|---⌫------|
querparla grase delbapt esme	---|--|-|----|--|----⌫---|
etpa r lenuncion del cre sme	-|--⌫||-------|--|---⌫--|
sontsiamietsipriué	---|-|--|-|-|-----|
chil quilc restien	---|---|-⌫------|
sontnommé	---|-----|
placidusdistienendout	-------|---|-||-|---|
menseignamont	|-------|---|
tantquauezditbien memostra	-----|---|--|---|-|-----|
lecerfo moi	-|---||--|
a l onsanzdemoranch e	-⌫-⌫-|---|---------⌫|
enlui s oitmes n ostr efianche	-|--|-⌫--|--|-⌫----⌫|------|
ata ntamduis ensont	---⌫-|----||-|---|
erreon tapresté	---|--⌫|-------|
touzsouz iu ont ne me sditant	---|---||-⌫--|-|--⌫||----|
koue c eu lzu ontlorduie nfant	|---⌫|--⌫-|-⌫--|--|--|-⌫----|
toutbel ementsen sontissu	---|---⌫----||-|---|---|
kerneweu lle nt qu ilsoitseu	--|-|---⌫---⌫-|-|-|---|--|
ne quil ensorde re nonmee	-|-|-|-|----|--⌫-----|
nepar ole parla c o ntree	-|---⌫--|--|-|-⌫-⌫----|
nislorsserians n en sore nt rien	--|---|------||-|----⌫-|---|
anchoislalorceler ent	------|-|--|-----⌫--|
al enuesqueenson tuenu	||-------|-|---⌫|---|
onttout reconneu	--|---|-------|
conmentihesuslorap parut	------|-----|--|--⌫----|
etconmentcas cunleco nnut	-|------|---⌫--|-|--⌫---|
etem quelfor mesemonstr a	-|-|---|---⌫-|-|------⌫|
q u antquil	-⌫-⌫----|-|
lordistetconmanda	--|---|-|-------|
chieflauerite	----|-|-----|
auseint enuesqueo nt totcon té	-|----|-------|-⌫-|--|---⌫--|
p uisli dientque	-⌫--|-|----|--|
lor creanche	--|-------|
onten l ui missesanz	--|-|-⌫-|----|---|
etquilc roi ent certainne ment	-|-|-|-⌫---⌫--|---------⌫---|
keil est dieuom mipot ent	-|-|--|---|--⌫-----⌫--|
puis requerrentparcharite	---|---------|--|------|
ke ilsoient r eg en eré	-|-|-----|-⌫--⌫--⌫---|
leseint enuesq uequantoit	-|----|------⌫-|----|--|
la uisionqueuzliontdit	-|-----|-|--|-|--|--|
etqueuz r equerrenthumb lement	-|-|--|-⌫--------|----⌫-----|
delbaptesmelesacrement	--|-------|-|--------|
poiezsauoirgrant ioieennot	----|-----|----|---|--|-|
etque nsoncuer	-|-|-⌫|--|---|
de maintenantlesprincheigna	-|---------|--|----------|
etenn apre sl or enseigna	-|--|----⌫|-⌫-|-------|
descre sti e nstoutelaloi	--|---⌫---⌫-⌫-|----|-|--|
toutela cre anche etlafoi	----|-|---⌫----|-|-|--|
kant ilfure ntbienenseig nié	---|-|----⌫-|---|------⌫---|
delasainteeue	-|-|-----|--|
sont moillié	---|-------|
troisf o isparl inuocation	----|-⌫-⌫-|--||---------|
deihesu cr is tet	-|-----⌫--⌫--⌫|-|
elnondeseintetrinite	-|--|-|-----|------|
sont ba ptissiéetconferm e ́	---|--⌫-------|-|-------⌫-⌫|
li enue squequiesbap tiz a	-|----⌫---|--|-|---⌫---⌫|
sonnonremua	--|--|----|
placi dum porsa grantbonte	-----⌫--|--|-|----|----|
eust ase ailape lé	----⌫--||-|---⌫--|
etsafame parnonest dit e	-|-|---|--|--|--|---⌫|
por sa saint eet heospite	--|-|-----⌫-|-⌫-------|
loraisnezfixa ga pit us	--|-----|--|-⌫--⌫---⌫-|
etlipuis nétheo spi tus	-|-|---|--|----⌫---⌫--|
apresquil furentbapt iz ié	------|-|-----|----⌫--⌫--|
etquadieufure ntalié	-|-||---|----⌫-|----|
delsaintc or sdie ulesacre ment	--|----|-⌫--⌫|---⌫|-|-----⌫---|
ontrecheu montsa intemen t	--|-----|---|--⌫-------⌫|
apresl enuesq ue lor s armonne	----||------⌫-|--|-⌫------|
etsaintementl es ar aisonne	-|---------|-⌫-|--⌫------|
et distseignorsbien sui	-|---|-------|---|--|
ke dex uosap ris	-|--|--||-⌫--|
en sa main	-|-|---|
deluiauezfetu ostre es cu	-|--|---|--|-⌫----|--⌫-|
etde ablea uezcon uencu	-|--⌫---|-⌫--|---⌫----|
enuosne prendram esostal	-|--|-|------|-⌫-|----|
nauosa mesnefer a	||--|-⌫--|-|---⌫|
se ignorsdist	--⌫-----|---|
il ieuosrequier	-|-|--|------|
keuoswoi llez	-|--|---⌫---|
por moiproier	--|--|-----|
ihesum crist nostr ecr iator	------⌫----|-----⌫|--⌫----|
doi nsta uoir	---⌫--|-⌫---|
kantillout feniso nsa rmon	---|--|--|---|--⌫|--⌫---|
sillord onnabeneichon	--|--|-⌫---|--------|
et i l ensontioieulz et	-|-⌫|-|---|------|-|
aloroste ld roitrepairié	|--|----⌫|-⌫---|--------|
toutbe l e mentetem priué	---|--⌫-⌫-⌫---|-|-|-----|
enlorost el en sontentré	-|--|---⌫-|-|---|-----|
l e ndemainquant le i or	|-⌫------|----|-|-⌫-|
eusta chef ait encoupler	-----⌫--|-⌫--|--------|
seschiens touzpor ale r cachi e r	--|-----|---|--|---⌫|-----⌫-⌫|
tou tautresiconme	---⌫|------|----|
ilfist ier	-|---|--|
d escheualiersunepart ie	-⌫-|---------|--|----⌫-|
menao soiparcompaignie	---||--|--|---------|
kantil furentenl a forest	---|-|-----|-|-⌫|-----|
b ien emparf o nt les undeser t	-⌫--|-|----⌫-⌫-|--|-|-----⌫|
leschien sontf aittouz arester	--|-----⌫|--|-⌫--|---|------|
aul ianmier ont mis c oler	-|-⌫------|--|--|-⌫---|
et l alongepor m ielz	-||-----|--|-⌫---|
laou doiuent aler uiser	-|-|------|---|----|
seig nors celord is teustache	----⌫---|-|--|-⌫--⌫|-------|
cascunsensonordresestache	------|-|--|----||------|
et enceste	-|-|----|
land eateigniez	----⌫|--------|
bersermembré soie z	-----|------|----⌫|
ke li c erfuiennentpor	-|-|-⌫--|-------|--|
encestelan dea la froidure	-|----|---⌫-||-|-------|
etgeiraiend euersdestre	-|-|---|---⌫----|-----|
pore nterchier	--|-⌫--------|
ou est lor estre	-|--|--|----|
at anttout souls or soncheual	--⌫--|---|---|-⌫-|--|-----|
sen torne par delezu nwal	|-|----|--|----|-⌫|--|
touts anz effroiparl a ga udine	---|-⌫--|-----|--|-⌫|--⌫----|
cheu a uche lao uuit lesigne	----⌫-⌫---|-|-⌫|--|-|----|
d e ihesucrist	-⌫|---------|
nostreseigno r	-----|------⌫|
emqu i ilamisse	-|--⌫|-||----|
etquantilfup res	-|----|-|-|-⌫--|
de l roc hier	--⌫|---⌫---|
trestotense mentcommeier	------|----⌫---|----|--|
olacroisli	|-|----|-|
etlymage q uidesus iert	-||----|-⌫-|----|---|
etquantilla aper cheu	-|----|-|||----⌫---|
de sonceualest	-|--|----|--|
d esce ndu	-⌫----⌫--|
iusquaterre s est enclin né	----||----||--|------⌫--|
et partrois foi zl aaoré	-|--|----|---⌫|||----|
il ohau t e	-||---⌫-⌫|
quipornosfustesmis	--|--|--|-----|--|
b ie ncroi quetu	-⌫--⌫|---|--|-|
etpartamortsommessauué	-|--|-|---|-----|-----|
mesorteprimonthumblement	--|-|-|--|---|---------|
keme dieztoutem present	-|-|---|---|-|------|
ke doiten i r	-|--|---⌫-⌫|
et q uoi la issie r	-|-⌫--|--⌫-----⌫|
iss i co m uosdeiste z ie r	---⌫|--⌫|--|------⌫|--⌫|
p arlecer f ihes us li respont	-⌫-|-|---⌫|----⌫-|-|------|
quie stoitdedesu sle mont	--|-⌫----|-|----⌫|-|---|
b eneiz espor	-⌫----|-|--|
le baptesme queietedis	-|-------|--|-|-|--|
orr as s ormontéledeabl e	--|-|-⌫-------|-|-----⌫|
sone nch antementetsa fab le	--|-⌫---⌫-------|-|-|---⌫-|
despoill ié a s ho nmemort al	--------⌫--|-⌫|--⌫--|----⌫-|
l es perital	|--⌫------|
dessormestestuetessai er	--------||-----|-----⌫-|
seras monche ualier	----|--|---⌫-----|
ke lide ableconmoura	-|-|--⌫---|-------|
enc ontretoiqua mquil porra	---⌫----|--|---⌫--|-|----|
detoutesparssa	-|-----|---|-|
grantenuie	----|----|
porcenqueassa loi guerpie	--|--|--|-|-|--|------|
main techosetestuetsouffrir	----⌫-|----||-----|-------|
por ce nq uepuiss iezparu enir	--|--⌫|-⌫-|-----⌫--|----⌫---|
alaioiedep aradis	|-|---|-|-⌫-----|
laouseronttouzmesa mi s	-|-|-----|---|--|-⌫--⌫|
engrantrichessche e sle ué	-|----|---------|-⌫---⌫--|
or souffer r as	-|-------⌫-⌫-|
g rantpouurete	-⌫---|-------|
apr es uen drasa grantr ich esce	---⌫-|---⌫---||----|-⌫---⌫---|
et enna sezgreignornobleche	-|--|-⌫--|-------|-------|
gardene perdezta uertu	----|-|-----|-|----|
alaricesc equ	|-|------⌫|-|
netechai l leiar egarder	-|-|----⌫-⌫-|-|-⌫------|
nene t enu o ill enismembrer	-|-||-|-⌫-⌫---⌫|--|------|
mestot issicontu wolloiez	--|--|---|--|-|-------|
porles bata ille sque faissoiez	--|--|----⌫----⌫|--|--------|
a uoirlelos	-⌫---|-|--|
lem pere or	|--⌫----⌫-|
quiestoittonmortel seign or	--|-----|--|-----|-----⌫-|
tou tensementcontresathan	---⌫|-------|-----|-----|
q uil nete ngi en n e par engan	-⌫|-|-||-⌫---⌫--⌫-⌫|--|----|
porauo irmamortetendr as	--|---⌫-||---|-|-----⌫-|
etcontreluitecomba t ras	-|-----|--|-|-----⌫-⌫--|
sicomme iob seraste nté	-|----|--|----|--⌫---|
mani ereesprouue ́	----⌫--|--------⌫|
etmons te rrasp arg rant	-|----⌫--⌫---|-⌫-|-⌫---|
que deable auras conue ncu	--|-----|----|-----⌫--|
gardet oide des e spera nc e	----|-⌫-|-|---⌫-⌫-----⌫--⌫|
touz ior saiez fermecrea nch e	---|---⌫|---|----|----⌫---⌫|
kantbienserashumili é	---|---|----|------⌫-|
etparplusorsfoiz essai é	-|--|------|---|-----⌫-|
idontdetoi maprismerai	----|-|--||---------|
richechet e dorra i	-------|-⌫|-----⌫|
apres quill outissiparlé	-----⌫-|--|--|---|-----|
toutdroitau ciel sen est	---|----|-|---||-|--|
nemesqu etantque illid ist	-|--|--⌫|------|-|-|-⌫--|
anchoisqu e i lsen	---------⌫|-⌫||-|
depa rtist	----⌫----|
woulloits oste nir	-------|-⌫----⌫--|
latempt a ti onet sof frir	-|-----⌫-⌫--⌫-|-|---⌫---|
et lapainnedomestcert ains	-|-|-----|--|--|----⌫---|
e spremiers iors ques derraains	-⌫|-------|---|-|-|--------|
eu stass e lidist	--⌫-----⌫|-|---|
sire quant tuweu lzqueiel die	---|----|-|---⌫-|--|-||--|
ora upremi er lesmedorras	-|-⌫|-----⌫-|--|-|-----|
la fin mespairnera s	-|--||----------⌫|
uoirsdieutu soiez monescu	----|---|-|----|--|---|
et me donne forceetuertu	-|-|----|----|-|----|
desormontermemauersaire	-|--------|--|--------|
nemefach econtraire	-|-|----⌫|--------|
demaintena ntdescielz	----------⌫-|--|----|
lauois qui distseure ment	-|---|--|---|-----⌫---|
receiuelatemptation	------|-|---------|
ker ne len wendrase	--|-||-|-----|-|
quer la dieu grace	---|-|---|----|
ol u isera	|-⌫-⌫|---|
qui entouzlieusle	--|-|---|----|-|
e ustacetout cenre ti en t	-⌫-----|---|--|--⌫--⌫--⌫|
etason os tels enreuient	-||--|--⌫--||-|------|
as afem mea	|-⌫|---⌫-||
toutraconté	---|-------|
iche mquedex liamostré	----⌫|--|--|-||------|
emduiensontaterrealé	----|-|---||----|---|
ethumbl ementd eprie ntde	-|-----⌫----|-⌫-----⌫-|-|
fachesauolente	----|-|------|
dequamqueillor	-|------|-|--|
ne demora mielo ncterme	-|-----|--|--⌫-|----|
keuneemfermetem ont pes me	-|--|--------|-⌫--|---⌫-|
aochistresto uzses ser ians	|----|------⌫-|--|---⌫---|
de s a maisonpetit	-|-⌫|-----|----|
e tg ran z	-⌫|-⌫---⌫|
eusta cega r nizestoit	-----⌫-|--⌫-⌫--|-----|
kembrieft ermetente ́se roit	|-|----|-⌫---|-----⌫|--⌫---|
bien r echutcele pestille nche	---|-⌫----|---|--------⌫---|
porsespe ch i ez empeni tanche	--|--|--⌫--⌫-⌫-|-|----⌫-----|
asafemme di tet sarmonne	|-|----|--⌫|-|-------|
quelatribulation est bone	--|-|----------|--|---|
as a mesf aire	-|-⌫--|-⌫---|
esclarchir	---------|
die ue t resplendir	---⌫|-⌫|---------|
emquiesttout esa pienche	-|--|--|----⌫|--⌫------|
s illesouffronen	-⌫-|-|-------|-|
pa cienche	--⌫------|
aprescestemortal ite	----|----|------⌫--|
reuintun eautr ee mfermete	-----|--⌫|----⌫|-⌫-------|
ochist tou zsesche uax	-----|---⌫|--|---⌫--|
ettou zses	-|---⌫|--|
chiens e t se s oisseax	-----|-⌫|--⌫|------|
nelorrem aint n i sune	-|--|---⌫---|-⌫-⌫|--|
kenoc ieceste tempeste	-||--⌫-|----|-------|
paci en ceeusta che	----⌫--⌫-|-----⌫--|
re cei stapresicestdamage	--⌫---⌫-|----|----|-----|
puis ce step e r secut ion	---|--⌫--|-⌫-⌫-⌫-----⌫--|
nedemora semont	-|-----|-|---|
keils ensont parn uitembl e ́	-|-||-|---|--|-⌫--|----⌫-⌫|
tou tbelementd e lach ite	---⌫|-------|-⌫|-|--⌫--|
meslarronson tapercheu	--|------|--⌫|-------|
kedel a chiteson tissu	-|-|-⌫|----|---⌫|---|
quiloremblent	--|--|------|
oret a rge nt	-|-|-⌫---⌫-|
den iers et drasu imetforment	---⌫---|-|---|-⌫-|-|------|
tout elorsu sta nche ontemblee	----⌫|--|--⌫---⌫---|--|-----|
remaint une d esree	------|--|-⌫----|
nemes le s	-|--|--⌫|
dras do nt uestusont	---|--⌫-|----|---|
tant s olement	---|-⌫------|
queplu sniont	--|---⌫|||--|
l iemperere lende ma in	-⌫|-------||----⌫--⌫-|
ensemble olui tuitl iroma in	-------||--|---|-⌫|----⌫-|
unegr antfest e	--|--⌫--|----⌫|
cele broient	----⌫------|
tuit sasembloient	---||----------|
fa isoient enmemoire	--⌫------|-|------|
de cenqueore ntla	-|--|--|---⌫-|-|
deceuzdepe rsequ iueinqui e rent	-|---|-|--⌫--|-||-------⌫-⌫---|
kanten c o nt reeuz secombatiren t	---|--⌫-⌫-⌫--⌫-|--|-|----------⌫|
liempere requantil	-|------⌫-|----|-|
k e placiduspasniestoit	-⌫|-------|--|||-----|
querr e enson ostal	-----⌫|-|--|----|
k eri lier tmestr e	-⌫-|-⌫|---⌫|-----⌫|
etl empereor	-||-------|
deuoitser uir seloncles lois	-----|---⌫--|-----|--|---|
limesa ge a l ostel trouué	-|----⌫-|||----|------|
trestozsoutis et	------|-----|-|
ni at rouue ́s erfneancele	|||-⌫-----⌫|-⌫--|-|-----|
sa chedire	--⌫--|---|
ne nulhonme	-|--|----|
en lachi te	-|-|---⌫-|
quisach edire ou	--|----⌫|---|-|
li e mpererequa ntlo i	-|-⌫------|---⌫-||-⌫|
de la merueilleses bahi	-|-|--------||--⌫---|
ke en sipetit temp oral	-|-|-|----|----⌫---|
asiperdu son senechal	|-|----|--|-------|
etsafame etseseffan z	-|-|---|-|--|-----⌫|
sese scuiersetsesserianz	--|-⌫------|-|--|------|
e mpuetunsou trouuer	-⌫|---|-|--|------|
qu esilfussentnoieeen mer	--⌫||-|------|----|-|--|
m ont enf u co rc hiez etdo l ent	-⌫--|-|-⌫|--⌫--⌫---|-|--⌫-⌫--|
et tuitlibaron ensement	-|---|-|----|-------|
eust acesen	----⌫--||-|
si conu osdis delachite	-|--|-⌫-|--|-|-|----|
nul hernois o soi	--|------||--|
forssesdeuzq u il	---|--|---|-⌫|-|
em portoit	-|------|
et safame tantsolement	-|-|---|---|-------|
o soi nu leaut regen t	|--|--⌫-|---⌫-|---⌫|
sire theospitelidit	---|--------|-|--|
ke rorroiez unsoulpe tit	--⌫|--|---|-|---|--⌫--|
uos sauezbien que	--|----|---|--|
detouzauoir s sonmesich i	-|---|-----⌫|-----|---⌫|
ke n o s nauo n unsoul	-|-⌫-⌫||---⌫|-|---|
dontnospu is onprendre un meingi er	---|--|--⌫--⌫-|------|-|------⌫-|
ce nsachi ezuosceler nelqu ier	--⌫|-----⌫-|--|----|-||--⌫--|
kemontme st mal	-|---||-⌫-|--|
encesten o strequenoissanch e	-|----|-⌫-⌫---|------------⌫|
k e ne soionenrepro uanche	-⌫|-|----|-|-----⌫-----|
aceuzqui ont	|---|--|--|
nostrepoesce	-----|-----|
weuee et nostre g ran t ric hesce	----|-|-----|-⌫---⌫|---⌫----|
p orcen seuosm e	-⌫-|--|-|--|-⌫|
wolez croire	----|-----|
uersegipte t endrons nostreerre	---|-----|-⌫------|-----|---|
k ern i fusmes	-⌫-|||-----|
si niseron	-|||----|
ia co nneu	-|--⌫---|
e ustacheo il econseil	-⌫------|-⌫|-⌫|------|
s il lisembla assezfeeil	-⌫-|-|-----|----|----|
la nuitainzquechanta st legal	-|---|------|------⌫-|-|--|
tr est outapie sanzn ul	--⌫---⌫--||--|---|-⌫-|
t ornédroitalamer	-⌫----|----||-|--|
on cni wold rent	--⌫|||----⌫---|
p lusdemorer	-⌫--|------|
touz souzsanznulecomp aignie	---|---|---|---|----⌫-----|
onttrespasseelombardie	--|---------|--------|
au segontio rui n dr ent a port	-|-----|--⌫|--⌫-⌫--⌫--||---|
entrent par i tel sort	------|--|-⌫--|---|
keainzquil	-|-----|-|
uieg nentme saterre	----⌫---|--⌫||----|
lorsordraunesigrantgue rre	--|-----|--|-|----|---⌫--|
dontcascunsdeuzsera dolent	---|------||--|---|-----|
se da ml edi eu corroin em pre n t	-|--⌫--⌫---⌫-|-----||-|---⌫-⌫|
auportontunenef	-|---|--|--|--|
sicon uosdist outaprestee	-|--|--|--|-⌫--|-------|
delsiglerdroi t acelriuage	--|-----|----⌫||--|-----|
ouwoulloitalereus tache	-|-------|---|---⌫----|
de maint enant	-|-----⌫----|
q ueu z ientrerent	-⌫|--⌫||--------|
l inoto nnierdess aancrerent	-⌫|----⌫----|----⌫---------|
o lo ngue sperchessedes riuent	|--⌫----⌫|------|-|---⌫-----|
traiente tcordestirr ent	------|-⌫|-----|----⌫--|
olesco r desde	|--|--⌫-⌫--|-|
l aueil leont co ntre m ontleuee	-⌫|----⌫-|--|--⌫----⌫-⌫--|----|
desque si fie rtdeluentl aleinne	-----|||---⌫-|--|---||------|
to stsedepart en tde	--⌫-|-|------⌫--⌫|-|
lar ain n e	|--⌫---⌫-⌫|
pluscoren t to st pa rmilamer	---|-----⌫|--⌫-|--⌫--|-|--|
q uene puetunf a uconuoler	-⌫-|-|---|-|-⌫-⌫---|----|
mestresdes notonniers	------|--|---------|
quimonte stoitcruex et	--|---|-⌫----|----|-|
kant aperch oitlafenmeeustace	---|------⌫--|-|----|------|
m on t lacouu oitee nsonc orag e	-⌫--⌫|-|----⌫---|-⌫|--|-⌫----⌫|
ker montauoitbe le fac hon	--|---|----|--⌫-|---⌫--|
otblancetle me nton	-|----|-|-|--⌫---|
lafacetendre c oloree	-|---|-----|-⌫-----|
commerosees t en matinnee	----|---|--⌫|-|-------|
droitgreillessorc illes	----|-------|----⌫----|
orei llesre o ndespetites	----⌫---|--⌫-⌫---|------|
etleseulzuai rs	-|--|---|---⌫-|
ch ier etraitice	--⌫---⌫|-------|
bl ancelach arsozlapelice	--⌫---|-|--⌫-|--|-|-----|
etlescheue uxi aune zetlons	-|--|-----⌫-|-⌫----⌫|-|---|
lec olbie n fait blansetroons	-|-⌫-|---⌫|---|----|-|----|
les bras ot lons	--|---|-|---|
etbeles m a ins	-|----|-⌫-⌫--|
lesd eizgreill ezet lon s e tpla ins	--|-⌫--|------⌫-|-|---⌫|-⌫|---⌫--|
et pa rles flan siert	-|--⌫|--|----⌫|---|
paaincouu o itie	----|----⌫-⌫---|
t antontcorr uparhaut emer	-⌫--|--|----⌫|--|----⌫|--|
keiluindre nta lariuer	-|-|------⌫-|||-----|
l i p aains uintaeu s tache	-⌫|-⌫----|---||--⌫-⌫----|
sillidemandes o m	--|-|------|-⌫-⌫|
cil lirespont mont h u mblement	--|-|------|---|-⌫-⌫-------|
quilnadenier	-|-|||-----|
orn earge nt	-|-⌫|----⌫-|
neautreauoirprisdumde nier	-|----|----|---||-|--⌫---|
etdistsirepor di euuos quier	-|---|---|--|--⌫-|--|----|
dongieztermed	------|----||
quelgaaign epar	--||------⌫|--|
illi res p ont riensnen	-|-|---⌫-⌫--|----||-|
mes uost re femme retendrai	--|----⌫-|----|--------|
etuo sailliez quer rel argent	-|--⌫|------|----⌫-||-----|
nedistplusmestanto st la	-|---|---|--|-----⌫-|-|
e ustachenelpotsoffrir	-⌫------|-||--|------|
sillali uoutcontrete nir	--|-|-|---|--------⌫--|
crueldemalepart	----|-|---|---|
a seshommesafait regart	|--|-----||---|-----|
signelorfait	----|--|---|
p orluigeter	-⌫-|--|----|
bortdedenzla	---|-----|-|
eustacesena perc hu t	------||-|-⌫----⌫--⌫|
l aforchep assouee nefu st	-⌫|-----|-⌫-|----|-|--⌫-|
enzui t qu il	--|--⌫|-|-|
nelap out deff endre	-|-|-⌫--|----⌫----|
u enoientpor lui prendre	-⌫------|--|--|------|
etquille wo lloient	-|-|-|-|--⌫------|
sil la liest utdelaissier	--|-|-|---⌫-|---------|
os esdeuzfix senist a pa inne	|-⌫-|---|--||-|--||--⌫---|
et lip aain ssa fame enmeinne	-|-|-⌫----⌫|-|---|-|-----|
kequ ide zque safamedie	-|--⌫---⌫|--|-|---|--|
kantlipaienl en outrauie	---|-|----||-|--|----|
mont cuitqu	---|---|-|
elefaissoit	--|-------|
g rantduel	-⌫---|---|
etquefustmortele	-|--|---|----|-|
suenweuell	---|-----|
etqu elploremont t endrement	-|-|-|----|---|-⌫--------|
deme nted urement	----⌫--|-⌫------|
et distu eirsdiexquimefeis	-|---|-⌫---|---|--|-|---|
orsuiiehors	-|--|-|---|
mes amisdeseuree	--|---|-------|
e t uo ir nel sai	-⌫|--⌫-|-||--|
partie suide m onsei gnor	-----|--|-|-⌫-|---⌫---|
quime tenoit	--|-|-----|
agranthono r	|----|----⌫|
a unautrehonmesuiliuree	|-|----|----|--|-----|
qui t antne quantne m agree	--|-⌫--|-|----|-||----|
as sezwouldroi e	--⌫--|--------⌫|
mielzmorir	----|----|
ke iaiewoille conse ntir	-|-|-|-----|-----⌫---|
acest maluaishonmesau uage	|---|------|----|---⌫---|
de moncorsfaire nul damage	-|--|---|----|--|-----|
ha eustac hebelamis	-|------⌫-|--|---|
uesraimescest m estuis	-----|--|---||--|--|
nenepor rai	-|-|---⌫--|
ouos p a rler	|--|-⌫-⌫---|
aicestm otlestuetpasme r	|----|-⌫-||-----|-----⌫|
chaueeestoitsor l e planci er	-----|-----|--|-⌫|------⌫-|
kantlen drec entlino to nnier	---||-|----⌫--|-|--⌫--⌫----|
kantelfu en	---|-|-|-|
sei r eu e nue	--|-⌫--⌫-⌫--|
adamledieurequiertauee	|--------|-------|---|
keilla w oilledeliurer	-|-|-|-⌫----|-------|
malueshonmegarde r	-----|----|-----⌫|
eustacesic on	------|-|-⌫-|
ie rta lari ueoses	--⌫-||-|--⌫-||--|
etenuitsafenmemene r	-|-|--|-|----|----⌫|
asnotonniersparmi lamer	-|---------|----|-|--|
ie rtireznem	--⌫-|---|-||
enmeru eil	-|----⌫--|
kerm o ntperdid esonconse il	--|-⌫-⌫-|----|-⌫|--|-----⌫-|
oses deuzfixsenuait deport	|--|---|--||-|---|-|---|
delduelquil fait	--|---|-|-|---|
n a quelcon fort	||---|---⌫---|
des eulzplore s esmainsdetort	--|---|----|-⌫-|----|-----|
ha l asfait ilcommeagrant	-|-⌫-|---|-|----||----|
pert huimonconse ilet m aie	---|--|--|-----⌫-|-||--|
theo spite ma	----⌫----|-|
h a de xtant estlo nguema	-⌫|--⌫|---|--|--⌫---|-|
po isequ el ne st	--⌫--|-|-||-⌫-|
com mentpo rraitant	---⌫---|--⌫---|---|
malso ffrir	--|--⌫----|
merueille estquenepuismorir	--------|--|--|-|---|----|
damequan tuosenu oirauir	---|----⌫|--|-|-⌫-|----|
c ru e l paa instenir	-⌫--⌫-⌫|---⌫--|----|
bienmed eustlecu er partir	---|-|-⌫---|-|--⌫-|-----|
fizperdue au ezuostre	--|-----|--⌫-|-----|
ker toll eiteest a uostre pe re	--|----⌫---|--||-----|--⌫-|
p a rtraisonetpa r enuie	-⌫-⌫|------|-|--⌫|----|
len ont li notonnierrau ie	|-|--|-|--------|---⌫-|
tel tristor	--|------|
e ntel peinneeten t e ld olor	-⌫|--|-----|-|-|-⌫-⌫|-⌫---|
wintaunfleuegrantet le	---||-|----|----|-|-|
niaplanchenepon t troué	|||------|-|---⌫|-----|
ne entr estoutela riuie re	-|-|--⌫------|-|-----⌫-|
challantne	-------|-|
etquantilloutueulegue	-|----|--|--|--|-|--|
susl ariuesest	--|-⌫|---||--|
sonaisné f ilaterre	--|--|--|-⌫-||----|
etle pu isnéensesbrasprist	-|-|--⌫-|--|-|--|---|----|
ou tre legueala	--⌫--|-|--|--|
suslautre riue	--||----|---|
ka ntillou t	--⌫-|--|--⌫|
pass élemenor	----⌫-|-|----|
siluient apres por legre ignor	--|----|----|--|-|---⌫----|
ain zquilse fus t	---⌫--|-|-|---⌫|
un gr antlyones tla	-|--⌫--|---|--⌫|-|
oul e nfant	-||-⌫----|
etpuiss e n est o tou tpar ti	-|---||-⌫|--||---⌫|---⌫-|
etqu antci luit q uille	-|--⌫--|--⌫|--|-⌫|-|-|
et qu el passieurre	-|--⌫-|--|------|
nelp orroit	-||-⌫-----|
retor nesoid ela utrepart	-----⌫-|--|-⌫||-⌫---|---|
fuen son e sg art	-|-|--|-⌫--⌫--|
quiia auoitprislautre enfa nt	--|-|----|---||----|----⌫-|
et s enest oit al é fuiant	-||-|---⌫--|--⌫-|-----|
sei gno rs que l	---⌫---⌫-|---⌫|
puetdontf aire	---|---|-⌫---|
c ommentquidezque il	-⌫-----|-----|--|-|
ensonsen ne en sonm emoire	-|--|--|-|-|--|-⌫-----|
kanton ne u it en	---|-|-|-⌫-|-|
nulee stoire	---|-⌫-----|
quenul homme	--|--|----|
en tantdetans	-|---|-|---|
f ustsitenté nee n	-⌫--|-|-----|-|-⌫|
el flueueoueust ace estoi t	-|-----|-|----⌫--|-----⌫|
por le grant duel que ilauo i t	--|-|----|---|--|-|---⌫-⌫|
osesdeuzmainss escheu exront	|--|---|----|-⌫-|----⌫-|---|
l euelicort des	|--|-|---|--|
eulzdamo nt	---||---⌫-|
desuslespieza peinneestoit	----|--|---||-----|-----|
a p oiq ue	|-⌫-|-⌫-|
n oiernes elait	-⌫---|-|-⌫|---|
mes damledieu	--|--------|
pasne l con s ent	--|-||---⌫-⌫--|
q uilliestoittouz dispres ent	-⌫|-|-|-----|---|--|----⌫--|
lelionquipor toitlenf fant	-|---|--|---⌫---||---⌫---|
ne li f istmal netantne	-|-|-⌫--|--|-|---|-|
d exle gardoite t	-⌫-|-|------|-⌫|
qui b i enauo ittout porueu	--|-⌫-⌫-|---⌫-|---|-----|
kes ainz et sauf l e	-|-⌫---|-|---|-⌫|
gardero it	-------⌫-|
