enla m arche de	-|-|-⌫----|-|
abienportantet f aitmener aunsuengarcon	|---|------|-|-⌫--|----||-|---|-----|
ap ieunsuencheua l qu imoutest oitdegrant	|-⌫-|-|---|-----⌫|--⌫|---|---⌫--|-|----|
et siporte	-|-|----|
lie scuiers	-|-⌫------|
s on escu e tlig a rc onsqui seoit sorlo	-⌫-|---|-⌫|-|-⌫-⌫--⌫--|--|----|--|-|
c h eual me noi tdeuantlui u n	-⌫-⌫---|--⌫---⌫|-----|--|-⌫|
s omier etporte	-⌫----|-|----|
logla iueloroi.	-|---⌫--|-|--||
lisomie rsestoi tmout bi en chargiezde ioiauset	-|-----⌫-|-----⌫|---|--⌫-|-------|-|-----|-|
de uaisselement eetde deniers.	-|------------⌫|-|-|------||
li rois cheuauchee n	-|---|--------|-⌫|
c hauces d efer etanso naubercet	-⌫-----|-⌫|--|-|-|--⌫|-----|-|
sesp eeceintes a	|---⌫-|-----|-⌫|
p luieafuble eetuaen lar ot etoz	-⌫---|------⌫|-|-|-|-|-⌫--⌫|--|
a cheuachiéqu il uint	|---------|-|-|---|
hor sdesmaroi s etantreenuneforest.	---⌫|--|-----⌫|-|----|-|--|-----||
etqa n t il	-|--⌫-⌫|-|
otcheuau c h iédel afores t	-|------⌫-⌫-⌫--|-|-⌫|-----⌫|
en tordemieloee	--⌫--|----|---|
s ia n tr eenunem ou t b elelande	-⌫|-⌫-⌫--⌫|-|--|-⌫--⌫|-⌫--|----|
estém aintefoiee.	----|-⌫----|----||
tantaalé li r ois et	---||---|-|-⌫--|-|
saconpanie queiluin t sor	-|-------|--|-|---⌫|--|
delande estoitauch iefd	-|----|-----|-|--⌫--||
unmouthautter tre dontla npo oitsorueoir	-|---|---|---⌫--|---|--⌫|--⌫--|-------|
etl orsestoitaio rné .	-|-⌫--|-----|---⌫---||
roisditqu eil nese	---|--|--⌫|-|-|-|
mouradi lu ec	----||-⌫--⌫-|
d e ua n tce	-⌫-⌫--⌫-⌫|-|
qu ilsoit unpoiesc lar c isi desce nt caril	-|-|---|-|--|---⌫---⌫-⌫|-|-----⌫-|--|-|
atal a ntdemo nterel	|---⌫-⌫-|-|--⌫---|-|
tertreanhau tp or	-----|-|---⌫|-⌫-|
s on chast elesgard erqu e	-⌫-|-----⌫-|------⌫-|--⌫|
ilamoits ortoz l esc hastia x	-|----|-⌫-|--|-⌫-|-⌫------⌫|
tan t atantlirois que	---⌫|----|-|---|--|
il f uauque s es clarciet ilmonteansoncheual	-|-⌫|-----⌫|--⌫-----|-|-|----|-|--|-----|
silais se lareineet sac onpaignieaual sor	-|----⌫-|-|----|-|-|-⌫--------|---|--|
lolacqui mout	-|--|--|---|
estoitg ranz.	-----|-⌫---||
li lais e stoit a pelez	-|---|-⌫----|-⌫----|
de slo tensas	--⌫|-|---|-|
paie ns li lais	----⌫-|-|---|
reinede sezile e tregnaauta ns uirgilelou	----|-|-----|-⌫|----|-|--⌫-|------|--|
bo naut orsilat enoi entla	--⌫|---⌫-|-|-|-⌫----⌫--|-|
fo le genz mescre anzq uilorses toi ent	--⌫-|---|------⌫--|-⌫-|---|--⌫---⌫--|
por deesse.	--|-----||
etcestoit l adamedelmonde qu i	-||-----|-⌫|---|--|----|--⌫|
p lusamoit de duitde boiset tote	-⌫--|----|--⌫---|-|---|-|---|
ior aloitch aci er	--|----|--⌫---⌫-|
etpor cel apeloien t	-|--|-||--------⌫|
limescr eant l adeessedel bois.	-|-----⌫---|-⌫|-----|--|---||
celef orezou lila is es toit	---|-⌫---|-|-|--⌫-|--⌫---|
passoit to tes les	------|--⌫--|--|
forelzdegaule	-----|-|----|
lapetitebretai gne si com edefo re lz	-|-----|------⌫--|-|---⌫|-|--⌫--⌫-|
pet itescar elenauoitquedisliues	---⌫---|--|--||----|--|--|----|
en glesches de loncet setousis	--⌫-------|-|---|-|--|-|--|
de leetsau oit nonboi senual.	-|-|-||--⌫--|--|---⌫|-|--||
li roisap uieletert recarmout	-|---|--⌫--|-|----⌫-|--|---|
uiautlochastel	----|-|------|
ueoi r qu e	----⌫|--⌫|
tantamoi t	---|----⌫|
maisor laisselicontesunpoaparlerde	---|-|-----|-|-----|-|-||-----|-|
luietparoledeson.	--|-|-----|-|--||
ceditli contes queqa ntlirois	-|--|-|-----|--|--⌫-|-|---|
banssifupartiz del	---|-|-|-----|--|
cha stelde tre bee tliseneschausquinot	---⌫---|-|---⌫-|-⌫|-|---------|--||-|
paso bli eesles	--|-⌫---⌫--|--|
fia nces deluietd eclaudas	---⌫---|-|--|-|-⌫|------|
issi for sdela uil eetuintacla ud as	---|---⌫|-|-|---⌫|-|---||---⌫--⌫-|
silidi st sire	-|-|--⌫-|---|
geuos aport boenesnouel esneonquessi bien n	-|--|----|-----|-----⌫-|-|-----|-|---||
auint aho mecoma	----||--⌫-|--||
uosseuosm euoleztenirm escouenancescar	--|-|--|-⌫|----|----|-⌫-|---------|--|
uo spoe zprandreorendroitcestchast el	--⌫|---⌫|------|--------|---|-----⌫-|
desf ense.	----⌫---||
faitclaudas	---|------|
ouestdons lirois	-|--|---|-|---|
ce rtesfaitc i l i l	--⌫---|---|-⌫-⌫|-⌫|
la gue rpiet	||---⌫--|-|
uon te nt reluiet mad am e larei neet un	---⌫|-⌫--⌫-|--|-|-|-⌫--⌫|-|---⌫-|-|-|
s uenescuier	-⌫--|------|
sa nzplusdege nt.	--⌫-|---|-|--⌫-||
orme randez	-|-|-----|
do ntfai tclaudaslou chast e l etgeuos	--⌫-|---⌫|------|--|-----⌫-⌫|-|-|--|
randrai loc hastelet totela terreapres etan	------|-|-⌫-----|-|---|-|----|----|-|-|
deuendroizdi emencheapresla	---------|--⌫------|----|-|
messe meshom quil sera	----|--|--|-|-|---|
liiorzdelami	-|---|-|-|-|
aoustetue ian ttozm es barons	----|-|--⌫---⌫|--|-⌫-|-----|
deceste chosee stmoutliezlisenes chaussi	-|----|----|-⌫-|---|---|-|-----⌫----|-|
liditsiregemenir aietuoslaisser ai	-|--|---|-||-|--⌫-|-|--|-------⌫-|
lesportesdesfer mees.	--|-----|------⌫---||
etlo rdiraiq uenosauonsbo ene striues	-|--⌫|----|-⌫-|--|----|--⌫---⌫|-----|
si s ereposerontu olen tier sca r assezo ntmesai se.	-|-⌫|---------|-⌫----⌫----⌫|--⌫|----|-⌫-|-----⌫-||
e t qa nt uoset	-⌫|--⌫-|--|-|
u ozgen z s e roiz dedanzsi	-⌫-|---⌫|-⌫-⌫---|-----|-|
uosteneztuitquoiiusq au	--|----|---|---|---|-|
maist rechast e l etansinspo rro iz t ot	-----⌫-|-----⌫-⌫|-|-----|--⌫---⌫-|-⌫-|
prendresanzarest.	------|---|----||
ensinsparolel itraitres aclaudaset puis	-----|-----|-⌫|-------||------|-|---|
sen reuael chastel.	|-|---|-|------||
etqantilfudedanz si	-|---|-|-|-----|-|
ancon treuncheualier fillue llo roibanqu im ou t	-----⌫--|-|--------|------⌫|-|--|--|--⌫|-⌫--⌫|
estoitdegran tproe sce.	-----|-|----⌫|----⌫--||
cilgaitoittote sles n uiz ar mezde	--|------|----⌫|--|-⌫--|--⌫--|-|
totes armes	----|----|
etqa n tiluit uenirlosenechalde la	-|--⌫-⌫|-|--|----|-|-------|-|-|
horssi lidemand adont il uenoiteta	---|-|-|------⌫|---|-|-----|-||
qelbesoigni lestoita	--|------|-⌫|-----||
fo r sissuz.	--⌫-⌫|----||
g euaignfait li	-⌫|----|---|-|
traitresdeclaud asla	-------|-|-----⌫-|-|
deforsd eprendretriuesqu ilauoitotroieesa	-----|-⌫|------|-----|-|-|----|-------||
mon seignor	--|------|
loroietlouostr e .	-|--|-|-|-----⌫||
qant cillan tantsi	---|--||--⌫---|-|
lifremisttoz licuersc armo utauoitgrantpaor	-|------|--|-|----|-⌫-|--⌫-|----|----|---|
det raisonsilidit	-|-⌫-----|-|-|--|
certessen eschax	-----|---⌫-----|
atelor e neui enton	|--|--⌫|-|--⌫--|-|
mies deprendre	---|-|------|
tri uesaumortel ane mis onseignor	---⌫--|-|-----|---⌫-|-⌫-|------|
quileiaumentenuiautourer.	--|--------|-|----|----||
tenezuos me	----|--|-|
por desleial	--|-------|
dexuosen des fande fait	--|--|-|---⌫----|---|
licheua l iersqu i a uoitnonb a nins	-|-----⌫-⌫---|--⌫|-⌫---|--|-⌫-⌫---|
queuosnanaiezfaite des l e iautene nef acoiz	--|--||-|---|----|---⌫-⌫-⌫----|-|-|-⌫----|
itanten dist et plusen	----|-|---|-|---|-|
eustparlé s e	---|-----|-⌫|
il osastmaisl i senesch axauoi tl afor cesilo	-|----|---|-⌫|-------⌫-|----⌫|-⌫|---⌫-|-|-|
feist tostocir resi	----|---|----⌫-|-|
anlaissala parole	-|-----|-|-----|
etli senescha xditacelsquiueilloientque	-|-|--------⌫|--||---|--|---------|--|
boenestriuesdeu	-----|-----|--|
le s fai tto z a lercouchier	--⌫|---⌫|--⌫|-⌫--|-------|
etilserepo sentmoutuolentiers	-|-|-|----⌫---|---|---------|
car il estoientmout trauaillié.	--|-|-------|---|----------||
mais ba n ynsna	---|--⌫-⌫--|||
pastalantdalerdormiranc oisse	--|-----||---|-----|---⌫--|-|
me tan agai t si	--⌫|-|----⌫|-|
es t montezenune	--⌫|-----|-|--|
tornelepor sauoirq uecil de h ors	------|--|-----|-⌫-|--|--⌫-⌫--|
feroientet	-------|-|
se cilded anzloriroien tla porte o urir.	-|--|---⌫--|--|------⌫|-|----|-⌫---||
m aisd ece	-⌫--|-⌫|-|
estildeceu z	--|-|-----⌫|
queles po rtessont desfermee s .	--|--|--⌫---|---|---------⌫||
etqan t ilse regarde	-|---⌫|-|-|------|
siuo it uenir iu sq au int cheualierstoz les	-|--⌫-|----|--⌫-||-⌫--|---------|--|--|
hiaumeslaciezeta presenuie nentuint	------|-----|-|-⌫---|-|---⌫---|---|
etens in sen	-|---⌫--⌫|-|
uienentuintetuintiusqu adeuscenz.	------|---|-|---|----||---|---||
loress oupeceilbienque	----|-⌫-----|-|---|--|
l auileseratraie et il deualeles	-⌫|---|---|----|-|-|-----|--|
degre zde smurs contrauals icrie ah aute	-----⌫|--⌫|---|--------|-⌫|---||-⌫---|
parmilochast el .	----|-|-----⌫-||
neancorn ec uidoit il p as	-|----|-⌫|-⌫-----|-|-⌫-|
quelesport esfu ssient	--|--|----⌫-|--⌫-----|
deffe rmees .	-----⌫----||
licriz e stleuezp armilouchastel et	-|---|-⌫-|----|-⌫---|--|------|-|
cilco rrentalor	--|--⌫----||--|
ar mesquies toie nt	--⌫--|--|--⌫----⌫-|
mais tantostsemistrentlicheualier claudasd edanz lapr emi ere	---|------|-|-------|-|--------|------|-⌫----|-|--⌫---⌫--|
banins l esuoitsi ateldue lqu eparun	-----|-⌫-|---|-||--|---⌫|--⌫|--|-|
poqu ilne forsan n e.	-|-|-|-|------⌫-⌫||
ad rece totapi eetfiertsi	--⌫---|--||--⌫|-|----|-|
dure mentlopr emie rparmi l	----⌫---|-|--⌫----⌫|----||
parmi lo haubercqueparmilocors li me tlo	----|-|------|--|----|-|---|-|--⌫|-|
glaiued outreenoutre silorui e	-----||----|-|----|-|-|---⌫|
etli a utre laissent	-|-|-⌫---|-------|
tuitcorr eap ieetacheual.	---|----⌫||-⌫-|-||-----||
etil uoitqueseilfuita um a istr e	-|-|---|--|-|-|---|-⌫|-⌫-⌫----⌫|
chastel ancois que il	------|------⌫--|-|
isoi tuenuzl aurontil	|---⌫|----||-----|-|
abat udeus foiz	----⌫|---|---|
outroiscarilsontmo ntéetilesta	-|----|--|-|---|--⌫---|-|-|--||
lo rsser efiertsorlesmursparles degrez	--⌫-|-|-⌫-----|--|--|---|--|--|-----|
etuaittozlesa leors	-|---|--|--|-⌫----|
tantqueil estuenuzalui sde lagrant	------|-|--|----|||--⌫|-|-|----|
et maintenantlieuea presluiun	-|---------|----|-⌫---|--|-|
ponttorneizsitrueue	---|------|-|-----|
dedanzserg enzquila torga rdoient do ntli	-----|----⌫--|--|-|--|--⌫------|--⌫-|-|
uns lialuis	--|-|||--|
ouertet liautreest oientt uit	----|-|-|----|---⌫----|-⌫--|
elb aill e aualpor	-|-⌫----⌫|---|--|
do rmircaraseurcuidoientestretuit	--⌫---|--|----|--------|----|---|
pa rti e descheualie rs cl aud asqui uenoi entapreslui toz l es	--⌫---⌫|--|--------⌫-|--⌫---⌫-|--|-----⌫--|----|--|--|-⌫-|
murscar illouoloientprandre .	---|--|-|-|-------|------||
etqantiluoient quilont a lui	-|---|-|-----|-|-|--||--|
f ailli s is	-⌫----|-⌫||
en retornent.	-|--------||
etl iautreorentpor p rislopet itchastelancoisque les	-|-⌫|----|----|---⌫-⌫--|-|---⌫-|------|--------|--|
gen zs epoissent estre	---⌫|-⌫|-------|----|
au nélaia nz.	--⌫--|----⌫-||
estoitsig ranzque lannioist	-----|-|-⌫---|--|--|||---|
deutonan t.	--|-----⌫||
a ce lscriz etacels	|--⌫-|---|-||---|
noise s s aillihorsliseneschaxetfistsanbla ntde	-----⌫|-⌫----|---|-|--------|-|---|------⌫-|-|
soidesfandre autr esinscomese il ne seust	--|--------|----⌫----|---|-|-|-|----|
ri en del a ue nture	--⌫-|-||-⌫--⌫----|
sie n comance	-|-⌫|------|
son seig norare gre ter .	--|----⌫--||--⌫---⌫--||
et bany ns qui delator	-|----⌫-|--|-|-|--|
enhaut s efu saisizli ah u chier	-|---|-⌫|-|-----|-||-⌫-⌫----|
fiz aputain	--||-----|
t ot ce nosa u ezuos por chac ie ́si	-⌫-|-|--|-⌫-⌫-|--|---⌫----⌫--⌫|-|
aueztrai uostrel igeseign orqui	---|---|-----|-⌫--|-----⌫-|--|
de neiant uosa	-|-----|--||
misagr ant ha utesce sil iaueztolueto tel	--||--⌫--|--⌫-----|-|-⌫|---|----|--⌫-||
espe rance qu ilauoitdesaterrer e courer	----⌫----|-|-|----|-|-|----|-⌫-⌫-----|
autresinboen greempu issiezuo s	-------|---|--|-|--⌫-----|--⌫|
uenir enla	----|-|-|
f i n com fistiudasquitrai c e lui	-⌫-⌫|--|---|----|--|---|-⌫-⌫--|
terreestoit uenuzp orsauuer luietle sautres	----|-----|----|-⌫-|-----|--|-|--⌫|-----|
pecheo rsseanlui	------⌫-|-|-|--|
neremansi stcar bie nauez faiteslesouresiudas	-|-------⌫-|--|---⌫|---|-----|--|----|----|
ensinparlo it ban y ns delatorautraitor.	----|-----⌫-|---⌫-⌫-|-|-|--|-|------||
ettot maintenantfuprisl i petiz ch astiau set	-|--|---------|-|---|-⌫|----|--⌫------⌫|-|
totes lesautresforte r e scesforsl ator.	----|--|-----|-----⌫-⌫-⌫---|---|-⌫|--||
chosefuclaudas moutcorrociezquenesaili	----|-|------|---|--------|--|-|--|-|
qexd eses homesmistanla	--|-⌫|--|----|---|-|-|
u ilelo f eu si	-⌫--|-|-⌫-|-|
fulari c hesce desb eles	-|-|--⌫-⌫----|--|-⌫---|
maison sars e e t	------⌫|---⌫|-⌫|
apr esce se tindrent mou te t se	---⌫-|-|-|-------|---⌫|-⌫|-|
d esfandir en tcildelatorsi n	-⌫--------⌫--⌫|--|-|-|--|-||
e stoien tilquequatreseulementdont	-⌫------⌫|-|--|-----|--------|---|
litroiestoi en tserian tetbanyns es toit	-|---|-----⌫--⌫|------⌫|-|-----|--⌫---|
s ituerent des genz loroi	-⌫|------|--|---|-|--|
claud as agr a ntplante an	-----⌫-||--⌫-⌫-|-----|-|
lordesfen se.	--|------⌫-||
io rfistclaud as uneperriere asseoirdeuant	--⌫|---|-----⌫-|--|-------|------|-----|
lator neplusnanipo tseoir	-|--|-|---||-||--⌫|----|
par laper rier ene	--|-|---⌫----⌫|-|
fussientprissen e fust	-------|---|-|-⌫|---|
queil nauoien t q ue ma n gier	--|-||------⌫|-⌫-|--⌫-⌫---|
etneporq uantmoutsedesfan dire nt durement.	-|------⌫---|---|-|------⌫----⌫-|-------||
maissor trestoz les	---|--|------|--|
autressedesfan do it	-----|-|------⌫--⌫-|
banyns etmout ocistdesgenz claudasa pe x aguz	-----|-|---|----|--|---|------||--⌫|---|
pierresco rnues	------|--⌫----|
que illor lancoit.	--|-|--|------||
sidurementsedes fandoitbanyns	-|-------|-|---⌫------|-----|
et tant s offriquetrops enmerue illie rent	-|---|-⌫----|--|---||-|-----⌫-----⌫---|
etdistclaudasqan t	-|---|------|---⌫|
ill oinomeret	-||-|----|-|
ilot oiesses granzproec esqueseilau oit	-|-|---|--|----|-----⌫-|--|-|-|--⌫--|
unsipreudecheua lieretsi	-|-|-----|-----⌫---|-|-|
leialuers lui	----|---|--|
illotan roi t	-|-|---⌫---⌫|
pluschierqu esoi meismes.	---|----|--⌫|--|------||
puisqueto teraisnableuiandelorfuf a i llies e	------|--⌫-|--------|-----|--|-|-⌫-⌫-⌫---|-⌫|
tindren tcil delato rtroisiorzantier s	-------⌫|--|-|-|--⌫|----|---|------⌫|
etlorsfure nttr opaqui sd an goisse	-|---|----⌫-|--⌫-|----⌫||--⌫-----|
si lorauintla tie rcen uit	-|--|----|-|---⌫--|-⌫--|
quilpristr en tenuncrues	-|-|------⌫--⌫|-|-|----|
d elator un	-⌫|-|--|-|
chauan ca rd autreso i sia xni	-----|--⌫||-----|-⌫-⌫---⌫|||
auoi tnulporle s coxde la	----⌫|--|--|--⌫|--|-|-|
perrierequile sanauoit chaci ez .	-------|--|--⌫|-|----|-----⌫-||
de cesteaua ntu resesbaudirent mout	-|----|---⌫---⌫-||----------|---|
etsile s auoit laperrieresie st outoiezet les	-|-|--⌫|----|-|-------|-|-⌫--⌫------|-|--|
m urspeco iez etestonez	-⌫--|----⌫--|-|------|
et c la udasapelauniorbanynsi	-|-⌫--⌫---|----|-|--|----|-|
l idist ba nyncarteranz carautrementnete	-⌫|---|--⌫--|--|-|---|--|--------|-|-|
pue z tu mielongueme ntte nir.	---⌫|-|--|--------⌫-|--⌫--||
etgetedonraias sez cheuaxe t armes et despense	-|-|-|-----|--⌫--|-----|-⌫|----|-|-------|
iusque la outu	-----|-|-|-|
uouras al er.	-----|--⌫-||
et setuamoiuoloie sreman oir	-|-|-||--|------⌫|-----⌫--|
sedex maistetli sai n t	-|--||---|-|-|---⌫-⌫|
eglisesitant sa mainuersunechapeleget	-----|-|---|-|---|---|--|------|-||
ameroieplus queche uali er	------|---|--|---⌫----⌫-|
q ue geeusseonquespor lagrantproesce et	-⌫-|-|----|-----|--|-|----|------|-|
porlagra ntleiautequi	--|-|---⌫-|------|--|
es tantoi .	--⌫|-|--||
ensinsle npriaclaudas maintesfoiz.	-----||-⌫|---|------|------|---||
et cillidistun io rensinconmecilq ui	-|--|-|---|-|--⌫|----|----|--|-⌫-|
moutestoit dolanzetentreprissir eclaudassireclaudas	---|-----|-----|-|--------|---⌫|------|---|------|
bi ensachiezqantgemerandrai	--⌫-|------|---|-|-|------|
i aurai telessoigneapa rissantqueian usnem	|----|--|-------|---⌫------|--|-|-⌫-|-||
en blasmera	-|-------|
et qantgeme r a ndraia	-|---|-|-|-⌫-⌫----||
geneme randraipas com metra itr es.	-|-|-|------|--|---⌫-|---⌫---⌫-||
qantsetintl aianzban yns	---|-|---|-⌫----|---⌫--|
qe moutafeblidefainet i l etsiconpa ignon	-|---|-----|-|---|-|-⌫|-|-|-----⌫----|
etc hascuniorlipria clau das	-|-⌫-----|--|-|---|----⌫--|
de rendrecartroplodessirro it aauoir	-|-----|--|---|-|--------⌫-||----|
car trop loprisoitporl agrantproesceque il	--|---|-|------|--|-⌫|----|------|--|-|
auoitan lui	----|-|--|
qant banynsuo it quete nir	---|-----|--⌫-|--|--⌫--|
neseporroitetque ill o couendroita	-|-|------|-|--|-|-⌫|---------||
re ndre porlodefa utdela	--⌫---|--|-|----⌫-|-|-|
uiandee tpar	-----|-⌫|--|
la per rie re	-|---⌫---⌫-|
quitroplesauoitestou toi e zsicommencaduela	--|---|--|----|-----⌫---⌫-⌫|-|-------|---||
faire tropgra nt .	----|---|---⌫-||
etsicompaignon qui plus ne pooi e nt	-|-|---------|--|---|-|----⌫-⌫-|
la fain soffrirlidis trentqu	-|---|------|-|---⌫----|-|
ilse randroientcardelplu stenir n	-|-|---------|--|--|---⌫|----||
estoitilriens.	-----|-|----||
etillordist or	-|-|--|---|-|
neuos e s maiezcargerendr ailatoretsera	-|--|-⌫-⌫----|--|-|-----⌫-|-|--|-|---|
faitatel honor	---||--|----|
queianenseronsblas mé .	--|-||-|-----|----⌫--||
negenesu ipasma in sl assez nema insfameilleu s	-|-|-|--⌫|--|--⌫--⌫|-⌫----|-|--⌫--|---------⌫|
du n de uos	|-⌫|-|--|
grantangoi ssemai neh ome et ildo itfairemes c hieftotes	----|-----⌫--|---⌫-|-⌫--|-|-|--⌫-|----|---⌫-⌫---|----|
uoiesdoit ils	----|---|-||
onorg arder.	---|-⌫----||
celu iio rreparlaclaudasalu iet	----⌫|--⌫|------|------||--⌫|-|
lidemandaqu ilauoit en tala nt	-|------|-|-|----|-|----⌫-|
affa ireoudelrendre ou	----⌫--|-|--|-----|-|
del tenir .	--|----||
sirefa i tilg eme suiconseillieza mes	---|--⌫-⌫|-|-⌫|-|--|----------||--|
conpaignons sime loentque	----------|-|-|----|--|
nos t eigniens cestetorcar no s nau ons	--|-⌫-------|----|--|--|--⌫||--⌫--|
agrantpiecegardede	|----|----|----|-|
perrie rene d autreeng in.	------⌫-|-||----|---⌫-||
neu oilpl us prend resor moilofais qu e	-|-⌫--|--⌫-|-----⌫-|--|--|-|---|--⌫|
pluspro dome etplus	---|---⌫---|-|---|
richedemoilontla issiéaler.	----|-|--||--|--⌫-----|---||
orsmesu iconseilliezqueg euosrend raila	--|-|--⌫|----------|--|-⌫|--|----⌫--|-|
toretme s compaignonse tmoicaril	--|-|--⌫|----------|-⌫|--|--|-|
mes tauisquegenelaporroie	|--⌫|---|--|-|-|-|------|
pluspreudomeetsinosretanroizouos.	---|-------|-|-|--|--------||--||
maisauan tnos feroiz	---|----⌫|--|-----|
seursqu euos	----|--⌫|--|
nosgardero i ze nuerst ozhom esetno standroiz adroit	--|-------⌫-⌫|-⌫----|-⌫-|---⌫-|-|--⌫|-------||----|
en uostremaisone nu ers to tes genz en	-|-----|-----|-⌫--⌫--|--⌫--|---|-|
telman iere qu es enus nossetq uedemanderpar	--|---⌫---|--⌫|-⌫|--|--|--|-⌫-|-------|--|
uosferons droit	--|-----|----|
e t se nossauonsahomede uostrep ooirrien	-⌫|-|--|-----||---|-|-----|-⌫---|---|
quedemander droitnose n	--|-------|----|--|-⌫|
cestecouenanc elor otria claudas	----|--------⌫|--|----|------|
ateniretfistaporte rlessainzsi	|----|-|---|------⌫|--|----|-|
lo r iuraaupi e del ator.	--⌫|---|-|--⌫|-|-⌫|--||
e tlorsissirent horsde	-⌫|---|-------|---|-|
lator sim istclaudassagarnisondedanz	-|--|-|-⌫--|------|-|-------|-----|
etmouthonorabanynetmou tfu amezde son	-|---|-----|----|-|---⌫|-|---|-|--|
cu er porce	--⌫-|--|-|
gra ntpro escelauoitueu.	---⌫-|---⌫---||----|--||
dedan z lotierz	-----⌫|-|----|
iorauin tquelisene schaxdemandases couenances	--|----⌫|--|-|----⌫----|------|--|---------|
etildistque	-|-|---|--|
moutuolen ti er s	---|-----⌫--⌫--⌫|
leslirandr oit etsicomancaa	--|-|-----⌫--|-|-|------||
querre al oignes.	-----|--⌫-----||
ettantalerentlesparol esq u e banin sen so tu ne	-|---|------|--|-----⌫-|-⌫-⌫|-----⌫|-|--⌫|-⌫-|
lorsuien taclaudaslaou il	---|----⌫||------|-|-|-|
est oi tentreses baron ssili	---⌫--⌫|----|--|-----⌫|-|-|
distsire ge uoi lbienq uetuitcist	---|---|-|---⌫|---|-⌫-|---|---|
b aro nsache nt	-⌫---⌫|-----⌫-|
qu egemerendia uos p or	--⌫|-|-|----||--|-⌫-|
ce queuosmegarantiss ie zdeuan ttozhomeset	-|--|--|-|---------⌫--⌫|-----⌫|--|----|-|
e nuersels adroit	-⌫----|--||----|
etenuer s t ozcels qui rien meuoudroien tn es auroie nt	-|-----⌫|-⌫-|---|--|---|-|---------⌫|-⌫|-⌫------⌫-|
qed emanderet to z	-|-⌫------|-|--⌫|
cels cuiges auro ie rienquedemander en uostre po oir	---|--|-|-⌫----⌫-|---|--|-------|-|-----|--⌫--|
mefeis sie zdroiteiu sti se.	-|----⌫---⌫|-----|--⌫---⌫-||
etclaudasloliconoist bien.	-|------|-|-|------|---||
siref ai tilor	---|-⌫--⌫|-|-|
uospr ige doncetrequiertque	--|--⌫|-|---|-|-------|--|
uostei gn iezdel seneschaldroiture quiciestcom m ede	--|---⌫--⌫--|--|--------|-------|--|-|--|---⌫-⌫|-|
c eluiquies t traitr eset pariursenue rs deuetenuers	-⌫---|--|--⌫|------⌫-|-|------|----⌫-|--|-|-----|
son seignorter rien.	--|------|---⌫---||
et se ilceuoseneie rq ue ilne	-|-|-|--|--|----⌫|-⌫-|-|-|
soituer s deuet	---|---⌫|--|-|
se ignorli getraitresetpariurs g esui prelz que	--⌫----|--⌫-|-------|-|------|-⌫|--|----|--|
g elomostreuersso n cor sor a ndroit	-⌫|-|-----|---|--⌫|---⌫|--⌫-⌫-----|
i tel i orcommeuos uoudroiz .	-⌫--|-⌫-|----|--|-------||
oiezseneschal	---|--------|
fai tc laudasque	---⌫|-⌫-----|--|
cist ch e ualiersa di tsoruos.	---|--⌫-⌫------||--⌫|--|--||
ensins seroiiege mout engign iezqant geuosa meroi eet	-----|------|-|---|------⌫--|---|-|--|-⌫-----⌫|-|
essauce r oieamon	-------⌫-⌫--||--|
pooiretuos seriezuersmoit raitres.	----|-|--|-----|---|--|-⌫------||
si re faitcilil na	--⌫-|---|--|-|||
s ibonc heualier souciel ne	-⌫|--|-⌫-------|--|---|-|
siprisié s il	-|------||-|
uo loitmos t rerquegeeus sefaite enuersuos	--⌫---|---⌫-⌫--|--|-|---⌫-|----|-----|--|
tra i sonqege	---⌫-⌫--|-|-|
nemendeffendisse.	-||-|----------||
gaige fa itbanynsdemo st rercontre	----|--⌫-|-----|-|--⌫--⌫--|-----|
son corsque	--|---|--|
ge ai oi eet	-|-|--⌫|-|
ueuelatraisonquei la faiteenuersson	---|-|------|--|-⌫||----|-----|--|
seignorligetra itr e.	------|---|---⌫---⌫||
oro tc laudas te lchose quili siet	-|-⌫|-⌫-----|--⌫|----|--|-|---|
etplaistcar	-|-----|--|
il meismes	-|------|
l oh a oit tr oppor la	-⌫|-⌫-⌫--|--⌫-|--|-|
tra ison qu e il auoitfaite si	---⌫---|--⌫|-|----|----|-|
estm outliez qantil	--|-⌫--|---|---|-|
trueueachoison raisnable	-----|-------|--------|
par quoi ilpuiss e perdre lano r	--|---|-|-----⌫|-----||---⌫|
queillia u oit promise.	--|-|-|-⌫-⌫--|------||
silidemandequ e ilen fera.	-|-|------|--⌫|-|-|---||
sire faitliseneschaxconseil li ezmoi	---|---|-|--------|-------⌫--⌫-|--|
uos meis mescarcist	--|----⌫--|--|---|
me hetdemort por	-|--|-|---|--|
uosnepor autrechose nem	--|-|--|----|----|-||
3desicif ait claudas uosenconseillerai .	---|--|-⌫--|------|--|-|-----------||
seuo sen iestessaus	-|--⌫|-|-----|---|
endesfandez	-|--------|
seurement caruos niestes pasmains	--------|--|--||-----|--|----|
for znemai nscor suzdelui	---⌫|-|---⌫-|---⌫--|-|--|
ne ma ins prisiezdarmes	-|--⌫--|------||----|
ni estes uos mie.	|-⌫----|--|--||
iestessaus si	-----|---|-|
uosen deffandezseurement.	--|-|--------|--------||
carse ilmana peloitautr esi nscomme il	--|-|-||-|-⌫-----|----⌫---⌫-|----|-|
faituosdont	---|--|---|
seroie geho nizse ge ne m	-----|-|--⌫--|-|-|-||
endeffan doie .	-|------⌫---||
