#META#TextUR IAlexisPQ	-----|------⌫|-------|
#M ETA#DEAFhttp//www.deaf-page.de /fr/bi bl/bib99a.php#AlexisP	--⌫---|---|----------------------⌫------⌫--------------------|
#META# FEW	-----|--|
#META#ARLIMAhttps/ /www.arli ma.net /no/114	-----|-----|------⌫---------⌫------⌫------|
# META#Au tho r	-⌫----|--⌫---⌫|
#META#Auth orB orn	-----|----⌫---⌫--|
#META#AuthorB ornAmb	-----|-------⌫-----|
# META# Au t horDied	-⌫----|--⌫-⌫------|
#META# AuthorDiedAm b	-----|------------⌫|
#META#Aut h orF l1	-----|---⌫-⌫---⌫-|
#META #A u thorFl2	-----⌫|-⌫-⌫------|
# M ETA#TextTitleLa uie	-⌫-⌫---|--------|-|--|
saintA lexi s	----|-⌫----⌫|
Sitostcomm eA lexis	-|---|----⌫|-⌫----|
ent en dilanouuele	---⌫--⌫-|-|------|
Onqueznesaresta	-----|-||-----|
siuin tala cha pele.	-|---⌫||-|---⌫----|
il perchut l image decuer lasalua.	-|------||----|-|---|-|-----|
fo rm equelisa intc ors	--⌫--⌫|--|-|--⌫--|-⌫--|
Quei amezde la	--|-⌫---|-|-|
uil lequil p uitn epartira.	---⌫-|-|-|-⌫--|-⌫|-------|
Lorsdon na	---|---⌫-|
toutlauo i r	---||---⌫-⌫|
que deRom m eap orta	--|-|---⌫-⌫|--⌫---|
Ilnenretintriens née	-||-|-----|----|---|
san sp lusque	---⌫|-⌫--|--|
D el ane l qu ilcoupa	-⌫||---⌫|-|-|----|
espéefourb ie	-----|-----⌫-|
P uisreio i ntpar miracle.Or commenche l a	-⌫--|----⌫-⌫-|--|-------|-|--------|-⌫|
De zpainezAl exis quitant	--⌫|-----|--⌫---|--|---|
outdehachie.	--|-|------|
Quantle bona my Dieu eutdonnéson auoir	----|-|--|-⌫-|---|--|-----|--|----|
Entrele spouresge nss ala errant	----|--⌫|-----|--⌫-||--|-----|
uoulentiersprint laumonequanti lla poutauoir	----------|----||-----|----|-⌫|-|---|----|
A Ihesu Cr istseruirmistgr antpainepour	|----|--⌫--|-----|---|--⌫--|----|---|
Moutsoufri	---|-----|
Ale xisd e durepou reté	---⌫--|-⌫|---|---⌫----|
Neu o utpasa	-|-⌫-⌫-|--||
s on cors f eresauolenté.	-⌫-|---|-⌫--|-|--------|
Tantieuna li sainshons si fu	---|----|-|----|---|-|-|
des coulouré	---⌫--------|
Quil semb lo i tquonl	-|-|----⌫--⌫-⌫|-|-||
eüst hors de terreieté.	----|---|-|----|-----|
Pageu01P 360	--------⌫--|
I l n auoitcharnesancsemout	-⌫||----|---|-|---|-|---|
petit et non	-----⌫-|--|
PourDieusou fri asez depersecucion	---|---|---⌫--|---|-|----------|
O nlidonnoitsouuentde z	-⌫|-|------|------|--⌫|
aumonezf oi sson	------|-⌫--⌫---|
Mais ilnep ensoitpas	---|-|-|-⌫-----|--|
a fere garnison	|---|-------|
Carilnenreten oit	--|-||-|-----⌫--|
quepourlisoutenir	--|---|-|-------|
Leremenant a loitasautrez	-|-------|-⌫---|-|-----|
Dusoirpourlematin	-|---|---|-|----|
ri enreteni r.	--⌫-|------⌫-|
—Son pérelefai soitpar	|--|----|-|---⌫---|--|
maint pa ï s	----|--⌫--⌫|
Le zmesagiersau	--⌫|--------|-|
comte pa rplus ieursliexalérent	----|--⌫|----⌫----|---|-------|
P lu sdecinqu anteestoientquiforment se penére nt	-⌫--⌫|-|-----⌫---|-------|--|------|-|-------⌫-|
De trouue rAlex is t antque	-|------⌫|----⌫-|-⌫--|--|
deussen entre ́ren t	---||-|-----⌫----⌫|
EnAlphislacit é tout partoutre gardérent.	-|-----|-|---⌫-|---|--|---|--⌫----------|
SaintAlexis trouére nt a	----|-----|--------⌫-||
logestezseant	-------|----|
Entr e lesautrezpo u r ezual	----⌫|--|-----|--⌫-⌫-⌫-|-||
aumone a t endant	-----|-⌫-⌫-----|
Iamezne l r a uisasenteutelpoint	----|-||-⌫-⌫-------|-|--|----|
liseri ant	-|----⌫--|
Carnuses toitet	--|--|--⌫---|-|
pourepa lisant.	----|--⌫------|
Lysains honsles	-|----|---|--|
connut ta ntostcomme	-----|--⌫----|----|
i llesu it	-⌫|--|-⌫-|
Doucemen t reclamale trezdous IhesuCrist	--------⌫|------|-|---|---|----|----|
Queconnoistrenelpuissent.Or entende ́squ	--|---------|-||--------|-|-------⌫-|-|
Aux mesagierzson péreleur	--|--------|--|----|---|
aumonerequit.	-----|------|
Pageu01P361	----------|
Pa snelie scon dirent licourto ismesaigier	--⌫|-|-|-⌫----⌫-----|-|------⌫-|--------|
Ils erch iérentpartoutes ruezaumo ust ier	-|-⌫----⌫------|------|-|---|-|--⌫---⌫--|
SaintAlexislez suitmezne l iest mestier	----|-----|--|---|--|-|-⌫|--|------|
neleur uenistcu idier	-|---|-----|--⌫----|
leurseignieur fustsi	---|--------|---|-|
fais deuenus.	---|-------|
E n leurostelse sont pourdiner	-⌫|---|----|-|---|---|----|
Lisains honsala porte	-|----|---||-|----|
es tuen us.	--⌫|---⌫--|
Sabien lesmes a igiersouisetentendus.	||---|--|---⌫-⌫-----|---|-|--------|
Quimout dou lensalostede	--|---|---⌫---|||---|-|
leu rostelconto ient	---⌫|----|-----⌫---|
Commentlefisaucomte E uphemien	------|-|--|-|----|-⌫-------|
Etdiso ient	-|----⌫---|
pouuoien t	--------⌫|
L egrantduel	-⌫|----|---|
quele péreetla	--|-|----|-|-|
m e ́re fe ssoient	-⌫-⌫--|--⌫------|
Et lag entilpuc elec	-|-|-⌫----|---⌫--||
on lifis t espouser	-|-|---⌫|-------|
Maintiou rlauom esquismez ne	----|---⌫||----⌫-|---|--|-|
lpouonst rouuer.	|-----|-⌫------|
Arg entnous faut pa rf or cenous	---⌫--|---|---|--⌫|-⌫--⌫-|---|
co nuie nt r etourner.	--⌫----⌫-|-⌫--------|
Q uan til ourent	-⌫---⌫|-|-----|
diné en leure uo nt monter.	----|-||---|--⌫-|------|
Lisainsho nsoutgr an tio ie	-|----|--⌫-|--|--⌫--⌫|--⌫-|
quantlesuiteslongnie ́s	----|--|--|---------⌫-|
Bien pense quil	---|----|-|-|
nesoitiamezquisn ecerch iés.	-|---|----|---|-⌫|-----⌫----|
Pageu01P362	----------|
Couran tuintaumous tier l imagec hiet	------⌫|---|-|----⌫---||----|-⌫---|
Ia orezbia u	-|---|---⌫|
miracleetplain degrant pitiés.	------|-|----|-|----|-------|
Q uantl esmesagezfurent au pe ́ re	-⌫---|-⌫-|------|-----|-|--⌫-⌫-|
Ilne sourent	-|-|------|
qu ilestoitdeuen us.	-|-|-----|-----⌫--|
Adoncquez fu	--------|-|
li du eldez a mismainten us	-|--⌫-|--|-⌫--|-------⌫-|
PourlenfantAlex isqui	---||-----|----⌫-|--|
fuaDieurendus.	-||---|------|
Il estoit en Al phis	-|-----|-|--⌫---|
deuantle saintimage	-----|-|----|----|
En Dieuseru irauoitsibienmi sson	-|---|----⌫-|----|-|---|--⌫|--|
orgu el dece	----⌫-|-|-|
monde ne prisoitun	----|-|------|-|
Mez puisrechu tilmort	--|---|-----⌫|-|---|
ensonpr oprehe ritage.	-|--|--⌫---|--⌫------|
EnAlphislaci téfubiend is	-|-----|-|--⌫--|-|---|-⌫-|
Nus po ureset desch aus souuentgisoit	--|--⌫---|-|-----⌫--|------|-----|
Etdesous les es taus o l espourez	-|-----|--|--⌫---||-⌫-|-----|
Et s inestoitil pasparnat uretruan s.	-|-⌫||-----|-|--|--|---⌫--|-----⌫-|
Pa r les d is et	--⌫|--|-⌫-|-|
ilfuenlacon tr ée	-|-|-|-|---⌫--⌫--|
Ne fis tsifortiuer	-|---⌫|-|---|---|
Q ueulituo usitgezirsa	-⌫|-|--|--⌫---|----|-|
c harfu s i usée	-⌫--|-|-⌫|----|
Miex sem b loit mortque uifcarch acuneu esprée	---|---⌫-⌫---|---|--|--|--|--⌫----|-⌫------|
Pa geu0 1P363	--⌫----⌫----|
ueloitduquez atant	-----|-----||---|
quematiness onnoient	--|------|-⌫-------|
Lespretrez ala port edu moutierletrou uoient	--|------||-|----⌫|-|------|-|----⌫-----|
Souuent f au s papel art	------|-⌫--⌫|-----⌫--|
et la rro nle clamo ien t	-|--⌫---⌫|-|-----⌫---⌫|
Ilne leu rd isoit riensforsqu e	-|-|---⌫|-⌫----|----|---|--⌫|
pechiéfessoient .	------|---------⌫|
M out souuentfudezp o urezledengie z	-⌫--|------|-|--|-⌫-⌫---|--------⌫|
M eztout coisse	-⌫-|---|---|-|
tessoit commes il fu s ttout m us	------|----||-|--⌫-⌫|---|-⌫-|
Ilnese fezoitpa senparlez ne ag us	-|-|-|-----|--⌫|-------|-|--⌫-|
Nulmau uez motnep outd esaboucheestrei sus.	--|---⌫--|--|-|-⌫--|-⌫|-|-----|----|-⌫---|
lau ierge Marie	-|-⌫----|----|
Deuants onsaintimag ee stoitiusqu e a conp lie	-----|-⌫-|----|----⌫|-⌫----|-----⌫||----⌫--|
Co n fermoit lemoutierlors	|-⌫|------|-|------|---|
pourcach o it sa uie.	--------⌫-⌫-|-|---|
Tan t que uint	---⌫|--|---|
unefoi sauneaubees clesrie	--|---⌫||--|---|--⌫------|
U ngeuneclercpasoit deuantlesaint imaige	-⌫|----|----|-----|-----|-|----|-----|
Pouralumerlez	---|-----|--|
l ampezcarillauoitd usaige	-⌫----|--|-||----||-----|
Notre Dameli distAm isfai	----|---|-|---|--⌫-|--|
monmesaige	--|------|
Ch iensrepair eunhommec o ndoittenirpoursaige	--⌫---|------⌫|-|----||-⌫|---|----|---|----|
Il a dis etsetansen cesteuil le	-||--|-|--|--|-|----|---⌫-|
m oys ouffertmaintegrantpoureté.	-⌫-|-⌫------|-----|----|--------|
Pageu01P3 64	---------⌫-|
ua tantos tsilequier tant	-|------⌫|-|-|----|---|
Ieueul c on leconnoi se	-|---||-|-|------⌫-|
e t sa tres grant bont é.	-⌫|-|---|----|----⌫--|
Le clercoutmou tgr anti o ie quant	-|----|--|---⌫|--⌫--|-⌫-⌫-|----|
cesmosent endy	--|--|---⌫---|
Ine lemen tet tost de lachapeleiss y	---⌫-----⌫|-|---|-|-|------|---⌫|
Alexisencontra	-----|-------|
trois f oispar deuant	----|-⌫--|--|-----|
Me ziamez necu idast pou ruoirq ue fust cel uy	--⌫|----|-|--⌫----|---⌫|---|-⌫-|---|---⌫-|
Quelauierge Marie li	--|-|-----|----|-|
enuoioit cherquier	-------|--------|
Car pluse urs foisl auoit bou téhorsd u mo ustier	--|-----⌫--|---||----|---⌫--|---|-⌫|--⌫-----|
Etc lamépapelartet rib autp autonnie r.	-|-⌫----|-------|-|---⌫--|-⌫--------⌫-|
Leclerc a usaint ym aige s en	-|----|-⌫|----|--⌫---||-|
retourn aarie r	-------⌫|----⌫|
Enplourantlidi st Dame par	-|-------|-|--⌫-|---|--|
Dieule toutpuissant	---|-|---|-------|
Ie n epuis nultrouuer qui	-|-⌫|---|--|------|--|
Uneuois lia ditTrouuer le	--|---|-||--|------|-|
peus sea nt	---|---⌫-|
Laderi ereceluissesse t	-|----⌫--|--|--|--|--⌫|
seaum esdisa nt.	-----⌫-|----⌫--|
Lecl e rcpour	-|--⌫-⌫-|---|
sifezmosfuforment	-|--|--|-|------|
D erier el ui sala s itrouua	-⌫-----⌫||--⌫|--|-⌫|-----|
De uantlis	--⌫---|-||
agenouleet lidist D ou s	-------|-|-|---|-⌫--⌫|
uouseste zunsain shons dec esui ie	---|----⌫|-|----⌫|---|-|-⌫|--|-|
tou sfi s .	---⌫|--⌫-⌫|
Pageu01P365	----------|
uo stre bo n té	--⌫---|--⌫-⌫--|
nousalong tenses téc el ée.	---||---|---|--⌫--|-⌫--⌫---|
Quan tAlexis loui	----⌫|-----||--|
salacoule urmuée	||-|-----⌫-|----|
Bien s en cuid afuir	---||-|----⌫|---|
mezle clercahapé e	--|-|----||-----⌫|
noir eetmesgreet	----⌫|-|-----|-|
tréshalée.	----|------|
Par deuantle schanoines	--|-----|--⌫|--------|
lalatantostmener	|--|------|----|
Lorsle ur dist comme Di eufis t	---|--⌫-|---|----|--⌫-|---⌫|
lymageparl er	|----|----⌫-|
Pourfaire l a bontédu sainthommemontrer.	---|----|-⌫|-----|-|----|----|-------|
Illeuourenteuesqu eben eiret sacrer.	-|-|------|------⌫|---⌫--|-|------|
Mez le bon ami Dieunele uout consentir	--|-|--|--|---|-|-|---|--------|
quepourl ezbi ens dece	--|---|-⌫-|--⌫--|-|-|
siecle teni r	-----|----⌫|
Peutonatropgrantpain een par adis	---|-||---|----|----⌫|-|---⌫---|
saintAlexiscele	----|-----|---|
n uitbi en serui r	-⌫--|--⌫-|-----⌫|
I lfutmoutb ien couchié maisilne il	-⌫|--|---|-⌫--|-------|---|-|-|-|
Car endro itm ienuitquegent	--|-----⌫-|-⌫-----|--|---|
fuendormie	-|-------|
e nfuy.Not curedemileco mpagnie.	-⌫----||-|---|-|---|--⌫-------|
Co urant uinta lamerprestefula	--⌫----|---||-|--|-----|-|-|
Aueucc eussen ent raquiuouloientp aser.	----|-⌫--||-|---⌫-|--|--------|-⌫----|
Droita u port	----|-⌫|---|
deCours ant c uidiéren t ariuer	-|-----⌫--|-⌫---------⌫|-----|
Pageu01P 366	--------⌫--|
Mezledo usIhe suCri stfistlabarquetourner	--|-|--⌫-|---⌫-|---⌫-|---|-|-----|------|
Asetlieuezde Romme	|--|-----|-|----|
cesachiezsans	-|------|---|
Quant lebonami DieuuitRo melama gour	----|-|--|--|---|--|--⌫-|-|--⌫---|
Ou desonhaut lignage	-|-|--|---|------|
estoi ttoute l af lour	-----⌫|----|-⌫|-⌫---|
Doucementre clam aletrésdous	--------|--⌫----⌫|-|----|---|
cre at ou r	---⌫--⌫--⌫|
Qu illegardast d	-|-|-|------||
enbatreenter rienonnour	------|-|---⌫---|-----|
Puis dist Doul xIhesu	---|---|----⌫|----|
Crist ieneuousise	----|-|-|------|
Se uo streplezie rfust q uecestene f uertie	-|--⌫---|------⌫|---|-⌫-|----|--⌫|-----|
Fust enceste	---|-|----|
contré ecar ceu sdema lignie	-------⌫|--|---⌫|-|-|-----|
I e c uistme	-⌫|-⌫---|-|
r enba tro nteuceste mor telui e .	-⌫----⌫---⌫-|-|----|---⌫--|--⌫-⌫|
ura iDieuconduisiezmoypariteledeu ise	---⌫|---|---------|--|--|----|---⌫--|
Commede monlignagecharnelneme	----|-|--|------|------|-|-|
Sel aumone	-||-----|
monpére iep o uoi e auoirprise	--|----|-|-⌫-⌫---⌫|----|----|
Iamezie negerroieseur coute	----|-|-|------|---|----|
nenchemise.	|-|-------|
AdoncsaintAlexis isi horsdu ue s sel	----|----|-----|--|---|-|--⌫-⌫--|
Mezpournaientse doute	--|---|-----|-|----|
domme cha rnel	|---|---⌫---|
P ageu01P367	-⌫---------|
Ne sera conneütrop acangié	-|---|------|---||------|
Ilfumeg rezetlaz.	-|-|---⌫--|-|---|
Mez biendistqualost el	--|---|---|-|||---⌫-|
De sonpé re uen d rarequerir aucundon	-|--|---⌫-|---⌫-⌫-|-------|----|--|
E nRommes e n en tr aapoiantd	-⌫|----||-⌫|--⌫--⌫|------||
un bourdon.	-|-------|
Ilencontrasonpe ́requiestoit	-|-------|--|--⌫--|--|-----|
moutproudon.	---|-------|
Iao rezcornlefi s mistle pé r e a	-|-⌫--|---|-|--⌫|---|-|---⌫-⌫||
Illiadit Chier sireueulli ez	-|-||--|----|---|------⌫-|
mo yhe r bergier	--⌫|--⌫-⌫------|
QueDieu q ui	--|---|-⌫-|
enlacroissele ssaclouflchier	-|-|----|-|--⌫--|----------|
Et lez piez et	-|--|---|-|
lez ma inse tson c osté	--|--⌫--|-⌫|--|-⌫----|
uousramain tuostre fis	---|------⌫|-----|--|
queuousauez t a ntchier.	--|---|---|-⌫-⌫-|-----|
Quan tlepéreentendilereclainAlexis	----⌫|-|----|------|-|------|-----|
Moutt endr ementplouradezbiaus iexdeson	---|-⌫----⌫----|-----|--|----|--|-|--|
Pui sli di stdoucementPele r inbiausamis	---⌫|-|--⌫-|--------|----⌫-⌫-|----|---|
uousarezbon	---|---|--|
ostelp u isquel au ezr equis	----|-⌫-⌫----||--⌫-|-⌫----|
Ou no nde mon	-|--⌫|-|--|
chier fisque deboncueramoie.	----|--|--|-|--|---|-----|
Depuisquil melessa	-----|-|-|-|----|
ie nouparfaicte	-||-|--------|
Toui oursq uantm ensouui ent dedeulmou rir	----⌫---|-⌫---||-|-----⌫--|-|---|---⌫--|
Leroy de paradis	-|--|-|------|
qui touslezbiensenuoie	--|---|--|----|-----|
ue ulleceus confort erquili	--⌫---|---|-------⌫-|--|-|
f o n tcourt oisie.	-⌫-⌫-⌫|-----⌫-----|
Pageu01P3 68	---------⌫-|
Moutfu en s a geunessesachar	---|-|-|-⌫|-------|-|---|
souef nourie.	----|------|
Orne s aige uoirDieu sil estmort	-|-|-⌫-|-|---|---||-|--|---|
Il adisetsetansque sonordrea	-||--|-|--|--|--|--|----||
Bien croyqu apuissoufertmainte forteiou rn ée	---|---|-||---|------|-----|----|---⌫--⌫--|
Carpou re ge ntestr angeesttropmal	--|---⌫-|--⌫-|----⌫---|--|---|--|
Et leurdist o nsouuent	-|---|---|-⌫|------|
mainteledegoulé e .	-----|---|------⌫-⌫|
Ainsicom ilsp arloientsouruint	----|--|--|-⌫-------|-------|
sa ns demou r ée	--⌫-|-----⌫-⌫--|
L i unsdespersdeRo mm econnom moit	-⌫|--|--|---|-|--⌫--⌫||-|---⌫---|
Quidistuen ez	--|---|---⌫-|
ch iez moipourDieu fra ncpelerin	--⌫--|--|---|---|---⌫-|------|
Iamezneu ousf aud ra n epainne charne	----|-|-⌫--|-⌫---⌫-|-⌫|---|-|---|-|
Q uantAlexisloy sit intle ch i e fen clin	-⌫---|-----||-|-|-⌫--|-|--⌫-⌫-⌫|--⌫---|
EtlidistBiau doussire ieferoiepechié	-|-|---|---|---|---|-|-----|------|
Quan t ceualantprodomsma	----⌫|-|-----|------|||
premierherbergié	------|---------|
Sepour uous	-|---|---|
le lessoiece sero i tmauu estié .	-|------|-|----⌫-⌫|----⌫------⌫|
re nde lez biens quemauez	--⌫--|--|----|--||---|
Qua ntla m é reAlexisui t	---⌫-|-|-⌫--⌫-|-----|--⌫|
quonlui uout tollir	-|-|--|---|-----|
A so nseig neuraditPa r	|--⌫|----⌫---||--|--⌫|
Dieu i ai grant dezir	---||-|----|----|
Deherbergier	-|---------|
cep ou r e q ue	-|-⌫--⌫-⌫|-⌫-|
Dieuparsonple zir	---|--|--|---⌫--|
Dointam onfiexcou r age	----||-⌫-|---|---⌫-⌫--|
quil puisse reu e nir.	-|-|-----|---⌫-⌫---|
P ageu01P369	-⌫---------|
Lors ad istAlexi s ason	---||-⌫--|-----⌫||--|
pére brem e nt	----|----⌫-⌫-|
uostre ostelm o troiate zsirepremi erem ent	-----|----||-⌫-------⌫|---|-----⌫----⌫--|
Deso usuostr e	----⌫-|-----⌫|
d e gr équi d upalez descen t	-⌫-⌫--⌫-|--|-⌫|----|------⌫|
Fran shons m e ueul	----⌫|---|-⌫|---|
couchier siuousuien ta tal ent	-------|-|---|----⌫||---⌫--|
Cariesuismout ma lad ezet	--|-|---|---|--⌫---⌫-|-|
plaindenfer meté .	----||-----⌫-----⌫|
Du reliefm edonrezq uant onaradigné	-|-----|-⌫|-----|-⌫---|-|--|-----|
Etieprier ai	-|-|-----⌫-|
Dieuparbonneuolente ́	---|--|----|-------⌫|
Queuostre fiex uousre nde c	--|-----|---|---|--⌫--||
aueztantd eziré.	---|---|-⌫------|
—Bon shonscedistlepére	|---⌫|---|-|---|-|----|
nete faut e sma ier	-|-|---|-⌫---⌫--|
fe raias e t et	--⌫--|--⌫-⌫|-|
p ainetuinbaillier	-⌫--|-|--|-------|
Eten ma mestre chambre fe raito ncors couch ier.	-|-|-|-----|------|--⌫--|--⌫|---|-----⌫---|
Que Dieuueullemon f iexAl exish erb ergier	--|---|-----|--|-⌫--|--⌫---|-⌫---⌫-----|
A leureque lame ́reouy	||---|--|-|--⌫--|--|
nomm er len fan t	----⌫-||--⌫---⌫|
en goiseq u elau asezpoins detord ant	--⌫----|-⌫|-||-⌫|--|----|------⌫--|
S onfie x enout piti émez n enfist	-⌫-|---⌫|-|--|----⌫-|--||-|---|
nulsemblant	--|-------|
Car i lsedoutoit mou ̂t qu	--|-⌫|-|------|---⌫-|-|
onl alas t rauissa nt	-||----⌫|-------⌫-|
uraiDieu distilem b as quiessouuerainpére	---|---|---|-|-|-⌫-|--|-|--------|----|
Commecestgrantamour	----||--|----|----|
q ue d enfant etdemére	-⌫-||-----|-|-|----|
S ilmereconnoisoie nti	|-|-|------------⌫-||
entre roie en	-----⌫---|-|
granthére.	----|-----|
Adonque zdistle c onteasa uoi squil	-------⌫|---|-|-⌫---||-|---⌫|-|-|
outc lé r e	--|-⌫---⌫-⌫|
Pageu 01P370	-----⌫-----|
Ilme faut un	-|-|---|-|
sergant quimegart	------|--|-|---|
cepaumier.	-|-------|
Bi enuoyqu il est malades derepos a me stier.	--⌫-|--|-|-|--|------|-|----||--⌫-----|
Quile megardera ilarabon	--|-|-|------|-|--|--|
Pourt an t queillifacetrestoutson dezirier.	---|-⌫--⌫|--|-|-|---|-------|--|--------|
Un des escuiersdist Ie menmet enpr e sen t.	-|--|-------|---|-||-|--|-|--⌫-⌫---⌫-|
Ie le garderaibiennon	-|-|-------|---|--|
paspou ruostreargent	--|---⌫|-----|-----|
Mezpour uostre chier fisq ueiamoieforment	--|---|-----|----|--|-⌫-||----|------|
Feraya ubonpaumi er	----|-⌫|--|-----⌫-|
dutoutasontal e nt.	-|---||--|---⌫-⌫--|
Acesmosestlecomte en	|--|--|--|-|----|-|
Son fiexet leseriant	--|---|-|-|------|
sont enl acourtentrés.	---|-|-⌫|----|-------|
Alexisluidist Sirequa ntg ard erme deués	-----|--|---|---|---⌫-|-⌫---⌫-|-|-----|
Ieuo uspri queies oiecouchiésous	-|--⌫-|--|--|-|-⌫--|-------|---|
le s degrés.	--⌫|-------|
Le se r iantAlexissous lesde grezmena	-|--⌫-⌫---|-----|---|--|--⌫---|---|
Lezpie z en iauechaude d oucementlila ua	--|---⌫|-|---|-----|-⌫-------|-|--⌫-|
Puis lidist Dous	---|-|---|---|
amiss oiezu ous un poycha	---|-⌫---|-⌫--|-|--|--|
Couteetblansdrasuoisquere ou on uous	----|-|----|---|---|----|-|-|---|
co uch era.	--⌫---⌫---|
Alex isliadis tBiau s	----⌫-|-||---⌫|----⌫|
amisnonferez	---|--|----|
Ca riamezioursusco ute negierrontmescotez	--⌫|----|---|--|--⌫--|-|-------|--|----|
Me zunepoingnant nate siluous	--⌫|--|--------|---||-|---|
plai tmaportez.	----⌫||-------|
— uolentier sbiau d ous sire	|---------⌫|---|-⌫--|---|
distil quantleuoulez.	---|-|----|-|------|
Page u01P3 71	----⌫-----⌫-|
Les eri a nt quis tlanate et la	-|-⌫---⌫-⌫-|----⌫|-|---|-|||
p ortaenleure	-⌫---|-||---|
Alexis l ouaD ieupuis	-----|-⌫--|-⌫--|---|
secouchades eure.	-|-----|---⌫----|
li fezoit son plezirsans	-|-----|--|-----|---|
Cellequi les pousa	----|-|-⌫|--⌫----|
amour souuent	----|------|
Alexi s a lonctenssousles degrésgeü	-----⌫||-------|---|--|------|---|
Sonchier p éreetsa	--|----|-⌫---|-|-|
mére lontmaintes	----||--|------|
Ausifistlapucel e quitantlot aten du.	---|---|-|-----⌫|--|---||-|----⌫--|
Mezonquez nep o ut estrepa r	--|-----|-|-⌫-⌫-|----|--⌫|
nu ld eus coneü.	--⌫||--|------|
Bonnesgensmoutfess oi tc e	-----|---|---|----⌫--⌫|-⌫|
s aintcor p s aprizier	-⌫---|---⌫-⌫||------|
Quiauoit sigrantter resous	--|----|-|----|---⌫-|---|
l ia i ustisier	-⌫||-⌫-------|
E tsi uouloitpourDieu soussondegré	-⌫|-|------|---|---|---|--|-----|
couchi e r.	------⌫-⌫-|
Touioursquant le seriantl i donnoit	-------|----|-|------|-⌫|------|
a meng ie r	|----⌫--⌫|
Lereliefquiuenoitdugrantpalaishautain	-|-----|--|-----|-|----|-----|------|
Lesa int ho ns nen usoitdece	-|--⌫--|--⌫-||-|----|-|-|
soiezcert ain	----|----⌫--|
Forslemain s q u ilp ouoi t pourestancie rsa fai m	---|-|----⌫|-⌫|-|-⌫----⌫|---|--------⌫|-|---⌫|
L autrefezoitdonner.	|----|-----|------|
Toutesto i tson reclain	---|----⌫-⌫|--|------|
EnIhesuCristseru ir	-|----|----|----⌫-|
e t du cueraourer	-⌫|-|---|-----|
Ilnauoitson de duitquen	-||----|--|--⌫---|-|-|
sautierrecorder.	------|--------|
Souuent uitson	------|--|--|
chierpéreet	----|----|-|
samé repaser	-|---⌫-|----|
Etlafran cepucelec onli fist es pouse r	-|-|----⌫-|-----||-|-|---|--⌫-----⌫|
Pageu01P372	----------|
Mez ilnauoittal en t	--|-||----|---⌫--⌫|
d e conterson affaire .	-⌫|-----|--|-------⌫|
Lapucele qui fucou r toiseetdebonnaire	-|-----|--|-|---⌫-⌫----|-|---------|
Le uis i toit s ouuentmez	-|---⌫-⌫---|-⌫-----|--|
sachiezsans retra ire	------|---|-----⌫--|
Seb ienl e conneüst tropmiexliuousitfa ire.	-|-⌫--|-⌫|--------|---|---|-|-----|--⌫---|
Sa u oit ellede li	|-⌫-⌫--|---|-|-|
enso ncuer	-|--⌫|---|
gra nt p ité	---⌫-|-⌫---|
Alexis qui se nestoit alé .	-----|--||-⌫|-----|----⌫|
L ezseriansde	-⌫-|------|-|
l ost elontlesai ntc ors	|---⌫-|--|-|---⌫-|-⌫--|
M outsouuentli fezoientasez de cruauté.	-⌫--|------|-|-------|---|-|--------|
Pa pelartl e clamoient et	--⌫-----|-⌫|--------|-|
truantetbricon	-----|-|-----|
Mout souu entliietoientau nezetau menton	---|----⌫--|-|-------|-|--|-|-|-----|
Laueureze tor durezm ez tante s toit preudon	-------|-⌫|--⌫----|-⌫-|---|-⌫-⌫---|------|
QueI hesuCristprioit	--|-⌫---|----|-----|
feïs tpard on	-----⌫|----⌫-|
Etparsasainte gracelezgardastdemesprend re.	-|--|-|-----|----|--|------|-|--------⌫--|
S il se uousitnommeril l ez	|-|-|-----|-----|-|-⌫-|
feïstto uspendr e .	-----|--⌫-|-----⌫-⌫|
Unio urdeRouuesonsuoutson pé redescendre	-|--⌫-|-|--------|---|--|---⌫-|--------|
Dupalaisaudegré s enuint sansplus	-|-----|-|-----||-|---|---|---|
Lepéreuitsonfiex	-|----|--|--|---|
elpouregrabaton	-|----|-------|
Ils apro chade li etle mist	-||----⌫--|-|-|-|-|---|
Et dist Crestien frère	-|---|-------|-----|
nes ainommertonn on	-|-⌫-|-----|--|-⌫-|
Dimoy sil t efa utr i ensq uisoi t en	-|--||-|-⌫|--⌫-|-⌫-⌫--|-⌫-|---⌫|-|
Lisai ns hons li	-|---⌫-|---|-|
aditBien nommermesauez	|--|---|-----|-|----|
Pageu01P373	----------|
suis cres tienenbaute sme nommez.	---|----⌫---|-|-----⌫--|------|
Dieuuous rend e	---|---|----⌫|
uo s biens certezienaiasez.	--⌫|----|-----||-|-|----|
Etu ousramaintl enfan tquetantuous	-|-⌫--|------||-----⌫|--|---|---|
—Bons homscedis t son	|---|---|-|---⌫|--|
pére pourDieude	----|---|---|-|
pa r adi s	--⌫-⌫---⌫|
Pou rcoyram entoi stu monenfa nt Alexi s	---⌫---|---⌫-----⌫|-|--|----⌫-|-----⌫|
Quantilnestreto urne ́certezi ln	----|-||--|----⌫----⌫|-----|-⌫||
est pas uis.	--|--|---|
quantm ensouuient. Ple urants enestpartis.	----||-|--------|---⌫----||-|--|------|
Ata ntesuous	---⌫-|-|---|
