seulementde son eage etsil	--------|-|--|---|-|-||
mise tparlesaintsanc q ui	--|-⌫|--|-|----|---|-⌫-|
fu espan dusq uetuuiegnes	-|-----⌫--|-⌫-|-|------|
a gaze et ketu m erenge	|---|-|-|-|-⌫|----|
fieus si ke pa r cou soit	----|-|-|--⌫|--|---|
l i nonsn ostresign or	-⌫|---|-⌫----|----⌫-|
i hes ucris le	-⌫---⌫|---|-|
sauueourdetoutle	-------|-|---|-|
mondeetenla cit edes	----|-|-|-|---⌫|--|
paienset lor	-----|-|--|
loisenso it tenue uieu x abatue	---|-|--⌫-|----|----⌫|-----|
etsainsylairesrespondiala	-|----|------|-------||-|
iln e stoitencore	-||-⌫----|-----|
issusdesa cele puisquil	----|-|-|---|-----|-|
ent réspremieremente sneore	---⌫---|-------------⌫|-|--|
nenuoloitmie	|-|-----|--|
uol oit m ieauoi ra coustume	---⌫--|-⌫-|----⌫||-------|
qu e il a lastore aschitesne	--⌫|-|-⌫---|--|-|-----|-|
meismem ent pourtelcosse	-------⌫--|---|--|----|
quantlada meoic ouelese	----|-|--⌫-|-|-⌫-|--|-|
laissachaoirassesp ies	-----|-----|-|--|-⌫--|
siconmen chamolt	-|------⌫--|---|
hautementa	--------||
ploureretacrier eta	------|-||----|-||
ylaire sers nostresignourihesu	-----|---|-----|------|----|
crist rent moimes enf a n s	----|---|--|--|---⌫-⌫-⌫|
et ens emen tcommeilo nt	-|---⌫----⌫|----|-|-⌫-|
gardéeneg ipte par	-----|-|--⌫---|--|
anstoineou il	-------|-|-|
o n tdem ouréauoec	-⌫-⌫|---⌫----|----|
l uiensementsoient	-⌫-|-------|-----|
il ga r départ o i	-|--⌫-⌫--|--|-⌫-⌫|
e n later edesire	-⌫|-|---⌫|-|---|
ou ilhabit enttuitci l	-|-|-----⌫--|---|--⌫|
qu ila e stoientou ladame	--⌫|-|-⌫------|-|-|---|
plouroitplouroienta usi sains	-------|---------|-⌫--|----|
ylaires pl ouroit pour la pitie	------|--⌫-----|---|-|----|
siuie nauant	-|---⌫|----|
cilconmenca a	--|-------||
trambl erdepao ur	------⌫-|-|---⌫-|
sitost con miloi la	-|---|---⌫|-|-|-|
paroled e lsaintho m enen elossa	-----|-⌫-⌫|----|--⌫-⌫|-|-⌫||---|
regarde rain s selaissacaoir	-------⌫|---⌫|-|-----|----|
assespiesetli	-|--|---|-|-|
conme n ca alecier	-----⌫-⌫-||-----|
asal anguesansd eruerie	|-|-⌫----|---|-⌫------|
li sainshonslefistr el euer a uoec	-|----|---|-|---|-⌫--⌫---|-⌫---|
lui fuy yiorsetad ont	--|-|-⌫|---|-|--⌫--|
li issi li diableshorsd el cors	-|---|-|------|---|-⌫-|---|
qu i moutlauoit	--⌫|---||----|
trauil liéset b iensa ciés que	------⌫----|-|-⌫--|--⌫----|--|
puis c e liourquiluint	---|-⌫-⌫|---|-|-|---|
deuant lesaint h o menot	-----|-|----|-⌫-⌫-||-|
fesist anulecr ea ture	-----||---|--⌫--⌫---|
anuinegreuanceen sicon uou s	---|-|-------|--⌫-|--|---⌫|
direetconterfu	---|-|-----|-|
garis liiouenenciaus parsaint yla ire	----|-|-----------|--|----|---⌫--|
po ur quinostre sires	--⌫-|--|-----|----|
fis t maintb el	---⌫|----|-⌫-|
miracle si conuous	------|-|--|---|
poiés oirs il	-----|--||-|
u ousplaistet ilest qu iluous	-⌫--|-----|-|-|--|-|-|---|
ci parolecommentilestoitzz	-|-----|------|-|-----|-|
grans sires	----|----|
quiunelegion	--|--|-----|
d ediablesau oitoucorss i	-⌫|------|--⌫--|-|---|-⌫|
contientyy etyy	-------|-|-|-|
etpui s lamenaonasa in t	-|---⌫||----|-||--⌫--⌫|
tantostkiluitsaintylaire	-------|-|--|----|-----|
courut susetle mbraca	-----|--|-||-⌫-----|
cometosesragié squ il	---|--|--------⌫|-|-|
orne uousdo ige	-|-|---|--⌫|-|
mieta ire conme nt	--|--⌫--|-----⌫-|
crion quitresriceshons	----|--|---|----|---|
es t oitet prima sc es tprem iers	--⌫-⌫--|-|-----⌫||--⌫|----⌫---|
de seguried euan t	-|------|-⌫----⌫|
cite d ehaill equipres	---|-⌫|-----⌫|--|---|
larougemer	-|----|--|
amenésdeuant saintylaire	------|-----|----|-----|
il auoit oucorsune	-|----|-|---|--|
leg ionune l elegions si	---⌫--|--|-⌫|------|-|
co nt i entyy mileyycentyy	--⌫--⌫-⌫--|-|---|-|---|-|
celricehome ki tanta uoit de	--|---|---|-|---|-⌫---|-|
dia bles oucorsloie r ent si ami	---⌫---|-|---|----⌫-⌫--|-|--|
d ecainesde ferp arl ecolet par	-⌫|-----|-|--|-⌫-|-⌫|--|-|--|
mainsetp a rlesp ies	----|-|-⌫-⌫|--|-⌫--|
costes sil	-----|-||
enamenerent	-|--------|
a saintylaireet	|----|-----|-|
bie nsamb loit quill	---⌫|----⌫---|-|-||
en mil eciere laou ill	--⌫-|-⌫|----|-|-|-||
amenoi en tquilfustplans	------⌫--⌫|-|-|---|----|
de grantfou rs e neriesi	-|----|---⌫--⌫-⌫----|-|
ilestoitettantalerent	-|-----|-|---|------|
uinrentou sainsylai re s	------|-|----|----⌫--⌫|
habitoit ens amb l e	-------|---⌫---⌫-⌫|
ses freres	--|-----|
lisain shonsestoita donkesissus	-|----⌫|---|-----|-⌫-----|----|
e n somlabour si comie	-⌫|--|-----|-|--|-|
moisambleet	--|-----|-|
moustroitassesf rerespar o lesde	--------|-|--|-⌫----|---⌫-⌫--|-|
diue rsesm anieres qui toutes	----⌫---|-⌫------|--|-----|
estoientestrait esdesdiuines	-------|-------⌫-|--|------|
escr it ures li de ru és	----⌫--⌫---|-|--⌫--⌫--|
dontieuous	---|-|---|
aiditesca p ades	-|--|----⌫-⌫|--|
mainsa ceus qui le tenoien t	----||---|--|-|-------⌫|
etsi cou rut a	-|-|---⌫--||
saint ylaire	----|-----|
embracapar derieremout	------|--|------|---|
le giereme nt	--⌫-------⌫-|
ci lqui laestoien t	--⌫|--|-|-------⌫|
conmencierentacrierdetoutes	------------||----|-|-----|
cari l cremoient quecilneli	--|-⌫|--------|--|--|-|-|
c onbrisasttousles	-⌫--------|---|--|
m embre s delsainthome quimout	-⌫-----⌫|--|----|---|--|---|
estoitfables etagreués	-----|-----|-|-------|
pourl esl ongesg eunes	---|-⌫-|-⌫----|-⌫----|
lisains h om conm enca arireetsi	-|----|-⌫-|----⌫---||---|-|-|
lo rdis t tai ssiésuous	--⌫|---⌫|---⌫-----|---|
etnulepaourn aiers imelaiss iés	-|---|----||---|-⌫|-|-----⌫---|
entrem oi etl uicoue nir	----|-⌫-|-|-⌫-|----⌫--|
e tm aintenantqueilotcou	-⌫|-⌫-----------|-|-|--|
mai npard e seurese s	---⌫|--|-⌫-⌫----|--⌫|
espauleset toucacel uisourla	-------|-|----|---⌫-|---|-|
test edontlaiss a li derués	----⌫|---|-----⌫|-|------|
etlisains homlepri st	-|-|----|--|-|---⌫-|
caueuxsile	-----|-|-|
mis tas s e s	---⌫|-|-⌫-⌫|
piesetdontliconmencalesyy	---|-|---|-|-------|--|-|
mains aestraindr e desamain	----||---------⌫|-|-|---|
etdes om p iet	-|-|-⌫-|-⌫--|
pies ahur ter	---||---⌫--|
eta batreetdistbiaus	-||----|-|---|----|
ihesucr ist quisour	----|--⌫--|--|---|
toutescossesa	-----|-----||
poi sa nc esdeliurececaitifd esa	---⌫--⌫--⌫-|------|-|-----|-⌫|-|
malauentu re	---------⌫-|
telmeruellec	--|-------||
onquesmais	-----|---|
c ard ela bouce celuioistongra n s	-⌫-|-⌫|-|----|----|---|-|---⌫-⌫|
cris dediuersesuois	---|-|-------|---|
etpluisoursmanieresetli	-|--------|-------|-|-|
issirentlidiabl edou co rset	-------|-|-----⌫|--|--⌫-|-|
d emourer n ios er ent ensifu	-⌫------|||--⌫--⌫--|---|-|
del iur és	---⌫---⌫--|
delagr antderue r ie	-|-|--⌫--|-----⌫-⌫-|
queli diab leen	--|-|----⌫-|-|
l ui demenoi ent sis	-⌫-|-------⌫--|-||
repairaariereensa cont ree	------|-----|-|-|----⌫--|
ciparol econmentliriceshom	-|-----⌫|------|-|----|--|
uintarierea	---|-----||
s aintyl aire	-⌫---|--⌫---|
pourrendr egrassesal uide	---|-----⌫|------||-⌫-|-|
l auoit garisi li	|----|---|-|-|
aportoienten trelu ietsefem e	---------|--⌫--|--⌫|-|-|---⌫|
grantmassedor etd	----|----||-|-||
etsainsylai res	-|----|----⌫--|
lid istqul e	-|-⌫--|-|-⌫|
departesi stas	---------⌫-|-|
parlescites	--|--|----|
aprescoune	----|--|-|
m iegrantansreuintila	-⌫-|---|---|-----|-||
toutesafemea l a beie	----|-|---|||-⌫---|
sain tylaire	----⌫|-----|
ausi conmepourgr asse r endreanos tr e	---|----|---|--⌫---|-⌫----||---⌫--⌫|
si gnou retausaint	--⌫----⌫|-|-|----|
home desade l iu rance	---|-|-|--⌫-⌫--⌫----|
ensamblelui	-------|--|
e targe nt	-⌫|----⌫-|
quilu oloitdo ne r	-|-|-⌫----|--⌫--⌫|
pierespresie us esmaislisainshom n	-----|------⌫--⌫-|---|-|----|--||
enuautonques rien s	-|---|-----|----⌫|
prendre nerecoiur e	------|-|-------⌫|
quant couuit	----|--|--|
creonil li dist tout	----|-|-|---|---|
emplourantqu ilreceustl esdons	-|-------|-|-|------|-⌫-|---|
qu illi a uoitaportés si	-|-|-|-⌫---|-------|-|
departi stetdonas tas	-------⌫-|-|-----⌫|-|
sainsylai r eslirespondi	----|----⌫-⌫-|-|-------|
k lepooitmi euxdepartir as	|-|----|--⌫--|-------|-|
pourcequ il	---|-|-|-|
aloitparlescites	----|--|--|----|
uil lesets iconissoit	---⌫--|-|-⌫|--------|
l espoures	-⌫-|-----|
nef aissoit	-|-⌫------|
en sisem partiet	--⌫-||-|----|-|
arierecaincsainsylaires	-----||---|----|------|
neua utdelsienrete nir ne	-|--⌫-|--|---|----⌫--|-|
rec oiure ca r enla finlidist	---⌫----|--⌫|-|-|--|-|---|
que sil enretenoitnule riens	--||-|-|-------|---|----|
nost resiressen coureceroit	----⌫-|----||-|----------|
ettout elale giondesdiables	-|----⌫|-|--⌫---|--|------|
repaieroitaluis iseroite nsi	---------||--|-⌫|-----|-⌫--|
conmilauoitdeuante st é	---|-|----|-----|-⌫--⌫-|
dolour etem paine	-----|-|-|----|
orn estmiedro isque	-||--|--|---⌫-|--|
trespass eadireconment	--------⌫||---|------|
sananus f uentre pris degrant	------|-⌫|-----⌫---|-|----|
emfremeteetaus itos tgaris	--------|-|---⌫----⌫|----|
pa r les proiere sdelsainthom e	--⌫|--|-------⌫|--|----|---⌫|
san an usest oit	---⌫--⌫-|---⌫--|
maconssoucieux	-----|-------|
deceleoeure fair eencelt empoiresen	-|---|----|----⌫|-|--|-⌫------||-|
le riua ge de	-|----⌫-|-|
a unegrant rocepourtrenc i e r	|--|----|---|---|-----⌫-⌫-⌫|
pieresetaparellier	-----|-|---------|
auoecun mu r fairede	----|-|--⌫|----|-|
l e maisondune	-⌫|-----||--|
abeiesaintylaire	----|----|-----|
ilauint si	-|----|-|
connostr e	--|-----⌫|
uaut quepalasinfericelui	---|--|------|---|----|
partoutses m embres e t les otsi	--|---|--|-⌫-----|-⌫|--|-|-|
perdu s empoideure quil	-----⌫|-|--||---|-|-|
s empautaidier	|-|---|-----|
nientplussil	----|---||-|
fuissen tmor t et si	-------⌫|---⌫|-|-|
estoientilsi compaign onle	-------|-|-|--------⌫-|-|
prissentetlempo rterent	-------|-||----⌫------|
asaintylaire laouilestoit	|----|-----|-|-|-|-----|
a uo ecsesfreresetli	-⌫--⌫-|--|-----|-|-|
c ontere nt	-⌫------⌫-|
conmentcel iest oita uenu	------|-|-⌫|---⌫--|-⌫---|
soudainementce le	-----------|--⌫-|
em fermet e s li esto itprisseli	--⌫------⌫-⌫|-|----⌫-|-----|-|
le regardae tpuissi	-|------|-⌫|---|-|
le sinedel a	-|---|-|-⌫|
mainte nantfu cieux	------⌫---|-|----|
gari sets ane ́s	----⌫|-|-⌫---⌫-|
auoecses compaign onsquia porté	----|--|--------⌫--|--|-⌫-----|
ariere a lo eure amolt	-----|||-⌫---||---|
grant ioie	----|---|
ciparolec onmentz zcrestiens	-|-----|-⌫-----|-⌫|--------|
auo it empris zz	---⌫-|-----|-|
dekeua us enuersunpaien etl i	-|----⌫-|-----|-|----|-|-⌫|
crestie nsuintasaint ylairesi	-------⌫-|---||----|-----|-|
lipriaquilidonast	-|---|-|-||-----|
uito re du	----⌫-|-|
keuausetsains	-----|-|----|
ylaire s li donnazz ha napet	------⌫|-|----|-|--⌫--|-|
i aueetarousa	-⌫--|-|-----|
s esk euaut et	-⌫-|-⌫----|-|
lecaretensikil	-|--|-|----|-|
couroientli ca rsau	--------|-|--⌫-|-|
paie nconmencaardoir etli	----⌫|-------|-----|-|-|
cr estienswaagn a l e cours	--⌫------|-----⌫|-⌫|----|
ap rescouauin tq ueu ns	--⌫--|--|----⌫|-⌫-|-⌫-|
ylariiensesto itapellés	--------|----⌫-|-------|
parnon au oit pris	--|--|--⌫--|---|
uncour sde	-|----⌫|-|
keuaus uers zzsarrasin	-----|---|-|-------|
ces k euausauoientil a faitié	--|-⌫----|------|-|-⌫------|
pourcou re	---|---⌫-|
a carouate lé	|--|-|---⌫--|
estoi entsi commil estoit	-----⌫--|-|---|-|-----|
ariere a coustumecil	-----||-------|--|
q uimieuscouroitauoituictore	-⌫-|----|------|----|------|
etloengelipa ienss i	-|-----|-|--⌫---|-⌫|
s etraioitasses ydleset	-⌫|------|-|--|----|-|
s ai que l carnin	-⌫-|---⌫|-----|
ainsq uillesaourastqu il	-----⌫|-|--|------|-|-|
aidai ssent celcour s auaincre	-----⌫----|--|----⌫||------|
etl iautresquic restiiens	-|-⌫|-----|--|-⌫--------|
esto i tu int a saintylaire	----⌫-⌫|-⌫--||----|-----|
s iliproia kilfesi stseso r is ons	-⌫|-|----||-|----⌫-|--|-⌫-⌫--⌫--|
anostre signorsi k	|-----|-----|-||
desf e ndresikil	----⌫-⌫---|-||-|
eusthonteneblasme	---|----|-|-----|
sisamlaa sainty lai reoisouse	-|----||----|-⌫---⌫-|------|
de faireori sonpourtel	-|----|---⌫--|---|--|
u anite do ntconmenc aasourireet	-⌫----|--⌫-|-------⌫||------|-|
regarda celuietconmenca	------|----|-|-------|
a sousriree tregar dac el uisili	|-------|-⌫|-----⌫-|-⌫--⌫-|-|-|
dist pourcoinas	---|---|--||-|
tu u endute sceuause t departi	-|-⌫---|--⌫|-----|-⌫|------|
as poure s	-|-----⌫|
ancoisquetuces	--------|-|--|
coursentrepres isses	----|---------⌫----|
cil lire spon diquecou	--|-|--⌫----⌫-|--|--|
ertunekemun ecoustume	--|--|-----⌫|-------|
laisamietant	----|--|---|
uol ente com par	---⌫---|--|--|
c ont rai gneme ntet bien	-⌫---⌫---⌫-----⌫-|-|---|
sauoitcertainementkeli	-----|-----------|-|-|
autr esquipaiens e stoit i	----⌫-|--|-----|-⌫----||
ouuroitd artencanteresseet	------||--|-----------|-|
cenos soit il	-||--⌫---|-|
mieaucres t i en	--|-|----⌫-⌫-⌫-|
fairepourcouest oit il	----|---|--|---⌫--|-|
reuenusrequerreaieau	------|-------|--|-|
serfnostre	---|-----|
signourestoientauersaire	------|-------|--------|
etan emi quantc ou oisains	-|--⌫--|----|-⌫-|-|----|
y lairessisete utet	-⌫-----|-|-|--⌫-|-|
lip roie rentquilfesist	-|-⌫----⌫---|-|-|-----|
cilliprioitcarbien	--|-|-----|--|---|
lour sambl oitquileu stra ison	---|-----⌫--|-|-|--⌫-|--⌫---|
et dr oiture dontconmanda	-|--⌫-----|---|-------|
sainsy l airesconliaportas t	----|-⌫-⌫----||-|-|-------⌫|
son hanast de coiilbuu oit	--|-----|-|--|-|---⌫--|
et pu issil e mplisistond aigue si	-|--⌫-|-||-⌫-------|-||----|-|
ba illast on c elui	--⌫-----|-|-⌫---|
quirequ er roitaie	--|----⌫--⌫---|--|
italicusl e	-------|-⌫|
pristet sen repaira	----|-||-|------|
asamaisonar iereetde	|-|-----|--⌫---|-|-|
celeai gue qu	---|--⌫--|-|
ilauoitap ortee	-|----|--⌫----|
arous as t lestableet	-----⌫--⌫||------|-|
les cheuaus	--|------|
etlecharatoutesles	-|-|---||-----|--|
co ssesq uii	--⌫---|-⌫-||
apartenoient	-----------|
dont furent at ourn é pourcoure si	---|-----|--⌫----⌫-|---|----|-|
conmil deu oientgrants	---|-|---⌫----|-----|
fulipuleskila	-|-|----|-|-|
ass amblésporueiret pour	---⌫------|--|---|-|---|
esgarder cele cosselip aiens	-------|---|----|-|-⌫----|
e ncont r elec restiienestoit	-⌫-----⌫-⌫|-|-⌫-------|-----|
le degab oitde cou	-|-----⌫--|-|--|
ylaireslia uoit	------|-|-⌫---|
r ou ué faire	-⌫--⌫--|----|
ensau oit la nouuele	-|---⌫--|-|------|
cilquedeuers lecres tie n	--|--|-----|-|----⌫---⌫|
estoientdis oientquil fust	-------|---⌫----|-|-|---|
tous segurs	---|-----|
qu il uainc eroit	-|-|-----⌫----|
neneuauroitnulecos seses	-|-|------|---|---⌫-|--|
encantemensetlors furent	----------|-|---|-----|
uenuaul iudo ntil	---|-|-⌫-|--⌫-|-|
m ouuoiretquanton	-⌫-----|-|----|-|
lor do nna	--|--⌫--|
signes d a lercilferir ent	-----||-⌫--|--|-----⌫--|
esperonskisou rles	-------|-|---⌫|--|
ceua u sesto ie ntetc o nmencier ent	----⌫-⌫|----⌫--⌫-|-|-⌫-⌫--------⌫--|
sii snel emen tke	-|-⌫----⌫----⌫|-|
aueoirtropgrantme ruelleli	|----|---|----|--⌫-----|-|
ceualcouroi entsit ost	----|------⌫--|-|-⌫--|
kec ert unegrantmer uelle etsi	-||--|--|----|---⌫----|-|-|
sambleren tquil uolai ssent	---------⌫|-|-|-----⌫----|
etsiconmil couroient si	-|-|---|-|--------|-|
rueesd u charaupaien	----|-⌫|---|-|----|
conmencier enta	----------⌫--||
esprendreetli	--------|-|-|
cre st iens	---⌫--⌫---|
sitostcapaine le	-|---|||----|-|
pooiton u eoir	----|-|-⌫---|
cilquile sgardoient	--|--||-⌫---------|
dontco nmenc aale uergran s	---|--⌫-----⌫||--⌫--|----⌫|
grant noisse	----|-----|
dou pu le qui i estoitet ensifu li	--|--⌫-|--||-----|-|---|-|-|
p aiensuencus	-⌫----|-----|
sign our ihesu cr istet	----⌫--|----|--⌫--|-|
par saint ylaire	--|----|-----|
son serfetbien	--|---|-|---|
sa ciés queplui sourpaien	--⌫----|--|----⌫---|----|
sorentetuir e nt	-----|-|---⌫-⌫-|
s e natou rnerenta	|-⌫|----⌫------||
foie tacreance	--|-⌫||------|
kiuencusest oit	-|-----|---⌫--|
et si c omp aignon disoientque	-|-|-⌫---⌫-----|-------|--|
sainsyla ires estoitencanteres	----|---⌫---|-----|---------|
etmau uais	-|---⌫---|
hom porceleu oloien t	--|--|-|-|-⌫------⌫|
il ocireet destruiremais	-|----|-|--------|---|
n ostresire sn e	-⌫----|----⌫|-⌫|
lesousfristm i equi	-|--------|-⌫-⌫|--|
les siens pouruoit	--|----|-------|
detous bien spar sagra nt	-|---|----⌫|--|-|---⌫-|
dou cour e t	---⌫---|-⌫|
parsag rant	--|-|-⌫---|
m iseric orde	-⌫------⌫---|
enceleci temeismes auoitadonkes	-|---|--⌫-|------|----|------|
zzio uenencelmanantq uis i	-|--⌫-------|-----|-⌫-|-⌫|
amoitp aramourune	----|-⌫-|----|--|
pucelequien	-----|--|-|
di ucres toitsiestoit	--⌫|----⌫---|-|-----|
sauoisi ne	-|-----⌫-|
etnesa uoi tqu	-|-|--⌫---⌫|-|
peustfair ecar	----|----⌫|--|
presaloi t	---|----⌫|
quil ne moroitpourlamo ret	-|-|-|-----|---||---⌫|-|
peri soi tcele neseuoloit	----⌫---⌫|---|-|-|-----|
aband on er a l	-----⌫--⌫-|||
amourde l bacelernea sa	----|--⌫|------|-||-|
uolentequant c iluit qunel	------|----|-⌫-|--|-|-||
poroitc onquerrene par	-----|-⌫-------|-|--|
pa r olesne	--⌫-⌫---|-|
p arautresengi ens	-⌫-|-----|----⌫--|
kisu elent	-|--⌫----|
am o ursat raire ilse n al a azz	--⌫-⌫--|--⌫----|-||-⌫|--⌫||-|
desesdiusp o ur	-|--|---|-⌫-⌫-|
que rrequ ilferoittanta la	---⌫--|-|-|-----|---|-⌫-|
ensiet tantquist	---|-|---|----|
que deden s lan	--|-----⌫||-|
ot aprisparles engiens	-|----|--|--|------|
de ldia blene	--⌫|---⌫--|-|
saiquels carnin s	--|----|------⌫|
qu ilferoitdesous le suel de	-|-|-----|-----|-|---|-|
mais on ala puc eleetauoec	----⌫-||-|---⌫--|-|----|
e n foifiguresen platinesdarai n	-⌫-⌫--|------|-|-------||----⌫|
entailliesetfaites	---------|-|-----|
ci paroleconmentzzi ouenenc iaus	-|-----|------|-|-⌫-------⌫---|
s ar rasinsamoitune	-⌫--⌫-----|----|--|
p uce le cres ti ene si tres fo rtkiln e	-⌫---⌫-|----⌫--⌫--|-|---|--⌫-||-|-⌫|
sauoit ke fa ire	-----|-|--⌫--|
tant d encantemenspar ses	---||----------|--|--|
yd lesqu il	--⌫--|-|-|
enca rnala pucel e	----⌫--|-|-----⌫|
et fuausi quetotederuee sile	-|-|---|--|---|-----|-|-|
mena onasainty lai re	---|-||----|-⌫---⌫-|
pour li de	---|-|-|
celencantement	--|----------|
qua ntilotcoufa itla pucele	---⌫-|-|-|--|--⌫-|-|-----|
conmencaaderue r et tanto st	-------||-----⌫|-|-----⌫-|
sa guimpleen tourso nciefetfu	-|------|--⌫---|--⌫|---|-|-|
to uteescau eleeet	--⌫--|-----⌫---|-|
l esdensaestraindre etahuchie r	-⌫-|---||---------|-||------⌫|
n o nd eliouenencelaha ute	-⌫-⌫|-⌫-|---------||--⌫--|
uoispleni er e ment ore esto i tl	---|-----⌫--⌫-⌫---|--|----⌫-⌫||
amour stournee en deruerie	-----⌫|------|-|-------|
pucel ee stoit si forse neequ	-----⌫|-⌫----|-|-----⌫--|-|
ille conuenoitlo ier	-|-|--------|--⌫--|
ette ni ra forcesesperes	-|--⌫--⌫||----|--|----|
qu igrantd olou r	--⌫|----|-⌫----⌫|
de men oient l enme neren tas ai nt	--⌫---⌫----||----⌫-----⌫||-⌫--⌫-|
la bei e etmain ten antk	|-⌫---⌫|-|----⌫---⌫---|
eleuintdeu antlesain thom eli	--|---|---⌫--|-|----⌫|---⌫|-|
diables pristauu rler etacrier	------|----||--⌫---|-||----|
a h auteuoiset a dire	|-⌫---|---|-||---|
maugre mien	-----|-|-|
su iiou ciamenésiousolo ie	--⌫|--|-|------|--|----⌫-|
bienleshomesescarnir	---|--|----|-------|
e t decoiureetormestuet	-⌫|-------|-|-||-----|
g rantdolou rset	-⌫---|-----⌫-|-|
tormens sainshom tum e destrain s	------|----|--|-|-⌫|--------⌫|
isse deceste	---|-|----|
pucele maisiesui	-----|---|-|--|
desouslel in stel del uis que	-----|-|-⌫--⌫---|-||--|--|
mem puisiss iretbi en	|-|---|---⌫-|-|--⌫-|
saciésqueiene	------|--|-|-|
i steraimieseliiouenenciauski	-⌫-----|--|-|-|-----------|-|
metien tn emelaisse	-|----⌫|-⌫|-|-----|
etl isainshonslidist mout	-|-⌫|----|---|-|---|---|
estpoureta f orce	--|----|-|-⌫---|
quanttenus es par u ne p l atine	----|----|-|--|-⌫-|-⌫-⌫----|
ke tune tem	-|-|-||-|
pues m ouuoiror	---|-⌫-----|-|
medipourcoi	-|-|---|--|
ossatuemtrerenceste	---|-|-----|-|----|
pucele qui adiu	-----|--||--|
ses t oit donneeli	|--⌫-⌫--|-----|-|
po ur coinient raiss e io il i	--⌫-|--|||---⌫-----⌫|-|-||
au oitmon compaignonle	--⌫--|--|---------|-|
diaule damour sdonts e teut	-----||-----⌫|---|-⌫|---|
sainshomnene uaut	----|--|-|-|---|
miefairequerreleiouenen celnele s	--|----|-----|-|-------⌫--|-|--⌫|
encante m ensiusca t ant qu	-------⌫-⌫--|---|-⌫-⌫---⌫-|
il ot auantla pucele garieet	-|-|----|-|-----|----|-|
del diablepource	--|-----|---|-|
que cilquil la estoi ent	--|--|---|-|-----⌫--|
assamblé ned es is se nt	--------|-|-⌫--⌫--⌫--⌫-|
quelefustgari e pourcou	-|--|---|----⌫|---|--|
enc an t emans f uissent	---⌫--⌫-⌫----|-⌫------|
d esfait etdesloiéetnepourkant li	-⌫-----|-|-------|-|---------|-|
sai nshomqua nt la	---⌫-|--|---⌫-|-|
fu sa nee etgariefistoster	-|--⌫--|-|----|---|----|
enencantementkidesous	------------|-|-----|
estoientetp u isdistque li	-------|-|-⌫-⌫-|---|--|-|
diab l e s onttoustan s de ceua ble	----⌫-⌫|-⌫--|---|---⌫|--⌫----⌫--|
e tsepainentadesd em aumetre	-⌫|-|------|---|-⌫|-⌫------|
les homes et lesfemes	--|----|-|--|----|
i l ouruoellenttolirles	|-⌫--|-------|----|--|
quant ilot	----|-|-|
blamamo ut	----|--⌫-|
lapuc elede	-|---⌫--|-|
auo itfai te oeuresparco ili	---⌫-|---⌫-|-----|--|--⌫|-|
diables estoitentrés enli	------|-----|------|-|-|
et e nsisen re paira ladamoise le	-|-⌫--||-|--⌫----|-|-------⌫-|
garieet saneeetdel iuree	----|-|----|-|---⌫----|
deldiab l ee t	--|----⌫-⌫|-⌫|
delamour au	-||----|-|
iouenencel	---------|
pa rcoiele a u oites té	--⌫|--|--|-⌫-⌫--|--⌫--|
biensacie ́ suous	---|-----⌫-⌫|---|
k io éslauie	-⌫|-⌫--|-|--|
d el s a i nt	-⌫-|-⌫-⌫-⌫-|
homequ il nestoit	---|-|-||-----|
mie conneust an tseulementparc e s	--|------|-⌫--⌫|--------|--|-⌫-⌫|
miraclesen latere de palestine	-------|-|-|---|-|--------|
escitesdesiredegipte	-|----|-|---||-----|
estrangescontr eesestoi t	--------|-----⌫--|-----⌫|
a u siespandue etseu e	-⌫-⌫-|-------|-|---⌫|
bonereno me ede luiet deses oeur es	---|----⌫--⌫|-|--|-|-|--|----⌫-|
cascunior au enoit	-----|--|--⌫----|
que lisa inshonsaloit	--|-|--⌫--|---|----|
touteslesce l e sdes moines	-----|--|--⌫-⌫-⌫|--|-----|
quiensire estoientes	--|-|---|-------|-|
i oursqui a	-⌫---|--||
cefairee stoientassis	-|----|-⌫------|----|
etdeuiséquan t	-|------|----⌫|
lifreresorent	-|----|-----|
etconnurentc este c ou s tu me	-|--------|-⌫---|-⌫--⌫-⌫--⌫-|
il uin ren td etou tes parties	-|---⌫---⌫|-⌫|---⌫--|------|
et ale re n tauo ec lui	-|---⌫--⌫-⌫|---⌫-|--|
touteslesabeies siportoient	-----|--|-----|-|--------|
euslo ruiand es	--|--⌫|-----⌫-|
conm illauoient ac o ustumeescar il	---|-||------|--⌫-⌫-------|--|-|
enaloie nemsamb le te le	-|-----⌫|------⌫-|--⌫-|
eureestoi t	---|-----⌫|
bienyymi l e	---|-|--⌫-⌫|
maisapres q uan t litansenm ieudra	---|----|-⌫---⌫|-|---|---⌫-----|
et laloinost resi gnour	-|-|--|----⌫-|--⌫----|
crutetefforc a cascune des	---|-|------⌫|------|--|
uill esquipres	----⌫-|--|---|
deliauoi t	-|-|----⌫|
moine habitant q uantsains	----|-------|-⌫---|----|
ylaires iueno it etsacompaignie	------||----⌫-|-|-|---------|
lou raportoituiandes	---⌫|-------|------|
ioieet amolt gr antleece	---|-||---|--⌫--|----|
li sai nsho ms netre spassoit	-|---⌫-|--⌫-|-|---⌫-------|
o nqu es freresquil eust	-⌫---⌫-|-----|-|-|---|
kiuieso litairem en astk	-|--|--⌫------|-⌫--⌫--||
