enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
adeserqu i iamais	-----|--⌫|-----|
p uistd e sa erdresique	-⌫---|-⌫-⌫--⌫----|-|--|
uenras uersle s bues	-----|---|--⌫|---|
u oisesaua ntgrant ale u re	-⌫----|---⌫-|----|---⌫-⌫-|
lorespanzes	--|-----|-|
es bochessi	-|-----|-|
c onquisneia puis fe u n	-⌫-----|-|-|---|--⌫||
istradelorcorsquetu	----|-|--|---|--|-|
cefait.apres	-|---||----|
areryyroi esmes gar de sque	---|-|---⌫-|--|---⌫--⌫|--|
aies teseulz	---|--|---|
closetp uistenuastout	---|-|-⌫--||-|--|---|
seurement c ombatreau	--------|-⌫------|-|
se rpentetn	--⌫----|-||
a iesd o u tanceque il	-⌫--|-⌫-⌫-⌫----|--|-|
aitia pooirde	--|-|----|-|
t oi nulmalfai r ea inzl e	-⌫-|--|--|---⌫-⌫|-⌫--|-⌫|
conquerras etquant t u	---------|-|----|-⌫|
c onquissi l itrezlesdenz etpuis	-⌫-----|-|-⌫|---|--|---|-|---|
les seme s es	--|----⌫|-|
yyroiesquelibuefaurontarees	-|----|--|-|---|-----|----|
etsitostcon	-|-|---|--|
tul es a urassemees tue n	-|-⌫-|-⌫---|-----|-|-⌫|
deteseulz istrecheu al ie rs	-|--|---|----|----⌫--⌫--⌫-|
toza rm e zde lo r armesqui	--|-⌫--⌫-⌫|-|--⌫|----|--|
combatron te tsentrocirro nt .	---------⌫|-⌫||----------⌫-||
etceconui ent	-|-|-----⌫--|
ae strequecest	|-⌫---|--||--|
chosedesti nee	----|-----⌫--|
etlorsauras tauenture	-|---|----||-------|
apres cerenz	----|-|---|
d exet lor faizyy	-⌫-|-|--|---|-|
afflictionsde la	----------|-|-|
uictoirequ i lt auro nt	-------|-|-⌫||----⌫-|
donee.puis	----||---|
uastou ts eurement	--|---⌫|-⌫-------|
e tprenz la	-⌫|----|-|
toizon dou	-----|--|
lesses esterett	-----|----|-||
tan tost sa nzfaire	---⌫---|--⌫-|----|
pointded emoranc e .et	----|-|-⌫-------⌫||-|
b ientegar des	-⌫--|-|---⌫--|
quetunobl ies	--|-||---⌫--|
atout ceque	|---|-|--|
get a idit et	-||-⌫|--|-|
enseigniéquar	---------|---|
en oblioiesquelquechoseilt	-|-------|------|----|-||
e nporroi tbi en	-⌫|------⌫|--⌫-|
mesaue nir.lorsla	------⌫--||---|-|
prinsti asone ntre	-----|-⌫---|-⌫---|
sesbraz etla	--|---|-|-|
beza moltdoucement etprinst	---|---|--------|-|-----|
congiedel uiquaril	-----|-|-⌫-|---|-|
estoit iahautehore deior n e ne	-----|-|----|---|-|--|-⌫|-|
poaien tplu sdemore r	------⌫|---⌫|------⌫|
ilece nsemblepor	---|-⌫------|--|
s enaperc eust.	|-|-----⌫---||
etelepriamolt	-|--|---|---|
aude x q ue il	-|--⌫|-⌫-|-|
desf endissent demalet	----⌫--------|-|--|-|
d e periletl eco nduissent et	-⌫|----|-|-⌫|--⌫--------|-|
ra menas sentsain et hestié	--⌫-----⌫---|---|-|------|
ainsisedepartirentetils	----|-|----------|-|-||
uintensachambr eet	---|-|-|------⌫|-|
sapare illapor aleracheuersa	|-----⌫---|--|---|------|-|
qu este. quantliroys	--⌫---||----|-|---|
oest es u itqueias on	----⌫-|-⌫-|--|---⌫-|
l i distmolt m epoi ze	-⌫|---|---|-⌫|---⌫-|
a leze ntel ueage	-⌫--|-⌫|--|----|
car o nquesnul nialaquien	--|-⌫----|--|||--|--|-|
re uenist etiazo n	--⌫-----|-|----⌫|
dist sires oit	---|---|-⌫--|
amo r t ouauie	|--⌫-⌫|-||--|
porriensn e	--|----|-⌫|
leroieque genialasse.	-----|--|-|||-----||
entra enunbatel tout	----|-|-|----|---|
seulet passaunpetit braz de	---|-|----|-|----|---|-|
meretarr iua	--|-|---⌫--|
lille decolc o x .	|---|-|----⌫-⌫||
quant iason fua rriuezen lillede	----|----|-|-⌫-----|-||---|-|
colcoxi lr ega rda	-----|-⌫|-⌫---⌫--|
etuit les buesle	-|--|--|---|-|
serp en tetle	----⌫--⌫|-|-|
mo stond orqui molt	--⌫---||-|--|---|
re splendis soient.si	--⌫--------⌫-----||-|
commenc aa	-------⌫||
sacr efiersi com medea	----⌫----|-|--|----|
otditet atachasorson	-|--|-|-----|--|--|
f ig ure qu eleli ot	-⌫--⌫--|-|--|-|-|
baillieeetsenoint deloignemen t	-------|-||-----|-||--------⌫|
quilotetlutyy	-|-|-|-|--|-|
foi zl escrit qu elelibailla.	---⌫||-----|-|--|-|-----||
puis s enaladroit	---||-|--|----|
aubuesetdoufeuquiiss oitde	-|---|-|--|--|--|---⌫--|-|
boch es etdelor	----⌫-|-|-|--|
narilles se sescuzfu tozarzet	-------|--⌫|----|-|--|--|-|
git alagluz	---⌫|-|---|
esbochesetesnarillese to n quespuis	-|-----|-|-|-------|-⌫|-⌫-⌫---|---|
feune flambe	--|-|-----|
negiterentsiles	-|-------|-|--|
pr instetles	--⌫---|-|--|
clostseseulz	----|--|---|
sicom medeali ot	-|--|----|-|-|
e nsei gnié.e tpuis ala	-⌫----⌫----||-⌫|---|--|
requerre lese rpent	-------|-|--⌫----|
moltuigrosementqui	---|----------|--|
tant es toi tfier	---|--⌫---⌫|---|
etdeputafairequa r il siff loit	-|-|--|-----|---⌫|-|----⌫---|
b rao itet ardoit	-⌫---⌫-|-|-----|
t otelaterreento rlui e t seiason n e	-⌫--|-|----|----⌫|--|-⌫|-|----|-⌫|
feustsi biengarniz	----|-|---|-----|
commeilesto it	----|-|----⌫-|
de sc hoses que	--⌫|-⌫----|--|
medea l i auoit bai ll i ees	----|-⌫|----|---⌫--⌫-⌫--|
ilneust iaeudureeauser pent	-||---|-|-|----|-|---⌫---|
me s a la parfinleconqui st	--⌫||-|-----|-|------⌫-|
ilet litranchalateste et	-|-|-|------|-|----|-|
trestles denzet	----|--|---|-|
q ueila u oit	-⌫-|-|-⌫-⌫--|
are essico mmedea l iot	---⌫-|-|--⌫|----|-⌫|-|
ditet tanto st c h e ua lie ren	--|-|-----⌫-|-⌫-⌫-⌫--⌫---⌫|-|
i ssirenttuit armé q ui	-⌫------|---|----|-⌫-|
s entrecom bati rentet	|--------⌫----⌫---|-|
entroci st rent. q uant iason uit	-------⌫--⌫---||-⌫---|----|--|
celemerueille s iren digrace sau	---|--------|-⌫|---⌫-|-----⌫|-|
dex dela uictoire	--|-|-|-------|
q u iloteuepuissenala au	-⌫|-|-|--|---||-|--|-|
mostonetenprin st la	-----|-|-|----⌫-|-|
toizonetle l es sa et	-----|-|-|-⌫--⌫-|-|
erranmentsen	--------||-|
uintasonb atel	---||--|-⌫---|
e tsem ist	-⌫|-|-⌫--|
a urepaire	-⌫|------|
auplus t ost	-|---|-⌫--|
quanth ercu les etsi compai gnone tle	----|-⌫----⌫--|-|-|------⌫---|-⌫|-|
royoe stesl e	--|--⌫---|-⌫|
enfurent moltlie	-|-----|---|--|
etlifir entmoltgrant	-|-|---⌫--|---|----|
io iee t amerueillesr egarderent la	--⌫-|-⌫||---------|-⌫---------|-|
t oizon e tdist rent	-⌫----|-⌫|----⌫---|
que li dieu	--|-|---|
la uoientf aé .puis	|-⌫-----|-⌫--||---|
lemenerentou palai s	-|-------|-|-----⌫|
de la cite etmedealiuintal	-|-|---|-|----|-|---|||
encontreet	-------|-|
disttoutbasqu ilala st	---|---|--|-|-|---⌫-|
nui tp arleralui	---⌫|-⌫----||--|
distmoltuole ntiers. lorsle	---|---|----⌫-----||---|-|
desarmerent	----------|
etlede spoillierentetpuisle	-|-|--⌫-----------|-|---|-|
ba igni er entporsoi	--⌫----⌫--⌫--|--|--|
des douloir carlib ainses to it	---⌫------|--|-|-⌫---|--⌫--⌫-|
t ouzappareilli ez	-⌫--|----------⌫-|
et quantilfubien lauezet	-|----|-|-|---|----|-|
sileuestirentde	-|-|--------|-|
moltri ches uestemenzetapr es	---|--⌫---|--------|-|---⌫-|
alerent mengieret furent	------|------|-|-----|
moltno blement seru i etpuisalerent	---|--⌫------|----⌫|-|---|------|
couchi erquan ttans	------⌫-|----⌫|---|
en fu . sinoblia mie	-|-||-||----|--|
iasonceque	----|-|--|
me deal i otdit	--⌫--|-⌫|-|--|
quantele liuin tal encontreo u	----|--|-|---⌫|||-------|-⌫|
palais. moltfurent	-----||---|-----|
aesié etfestoiéiason	-----|-|-------|----|
herc u lese ttozle s	----⌫-⌫--|-⌫|--|--⌫|
com paignonstoutela quin z aine	---⌫-------|----|-|----⌫-⌫---|
bonloisirdefairelor	--|-----|-|----|--|
uo lente. tant	--⌫----||---|
amamede a iaso n	--|----⌫|----⌫|
fumerueillesetbieniparutque	-|---------|-|---||----|--|
q u a n ti l	-⌫-⌫-⌫-⌫|-⌫|
el eles saporlui	--⌫|---⌫-|--|--|
sonp ereet	--|-⌫--|-|
terr e ettotson	----⌫|-|--|--|
parenteetsen	------|-||-|
ala auecqueslui	--|-------|--|
dontel efi st molt	---|--⌫|--⌫-|---|
grantfoli e.c ari llimentisa foi	----|----⌫||-⌫-|-⌫|-|----|-|--|
etneli tinstpa s	-|-|-|----|--⌫|
ueritedeceque illi ot	-----|-|-|--|-|-|-|
e n conuen t	-⌫|------⌫|
ainzl aless a et	---|-⌫|----⌫|-|
fistpuisgrant	---|---|----|
honteceq ueil neli	----|-|-⌫-|-|-|-|
d eust miepor	-⌫---|--|--|
sel onc lac ortoisi eetla	---⌫--|-|-⌫-------⌫|-|-|
ele li auoit	--|-|----|
fetdontli dieu	--|---|-|---|
secorrocerent	-|----------|
pui sa l ui	---⌫||-⌫-|
et s enuengiere nt	-||-|--------⌫-|
mol t aspr eme nt sicomme nos	---⌫|----⌫---⌫-|-|----|--|
entendons.mes	--------||--|
par lerons	---⌫-----|
orendroit dece s t e matire	--------|-|--⌫-⌫-⌫|-----|
aconter ainz parle ronsdeiasonet	|-----|---|-----⌫---|-|----|-|
herculesetde	-------|-|-|
lorcompaignie .	--|---------||
quantiasonmedeahercu lesettuit	----|----|----|-----⌫--|-|---|
lorautrec ompaignon	--|----|-⌫--------|
separtirentde iacon iteil	-|--------|-|-----⌫--|-|
pristrentcongie auroy oestes	--------|-----|-|--|-----|
quisires estoitde toutela	--|----|-----|-|----|-|
con tr e epuiss	---⌫--⌫-⌫|---||
enuind rent	-|----⌫---|
aupo rtetentrerente n mer	-|--⌫-|-|--------|-⌫|--|
nagierente tsig lerent	--------|-⌫|---⌫-----|
agrante sforttantquilsont uenu	|----|-⌫----|-----|-|---|---|
enleurpais	-|---|---|
ouil fure ntrec euamoltgran t	-|-|----⌫-|---⌫-||---|----⌫|
etmolt furec euz	-|---|-|---⌫--|
iasonagrant honor	----||----|----|
deto utesg enzet	-|--⌫---|-⌫--|-|
meesmem entdouro y son	-------⌫--|--|--⌫|--|
o n cl e quionquesnefis t semb lant	-⌫-⌫--⌫|--|-----|-|---⌫|----⌫---|
illi pesastd e	-|-|-----|-⌫|
.mesatant lesserons	|--|----|--------|
aparler de iason etde	|-----|-|----|-|-|
delor re uenue etpa rle r ons	-|--|--⌫----|-|--⌫---⌫-⌫--|
comme hercul esse	----|------⌫-|-|
complaint ausgriz o is	--------|--|----⌫-⌫-|
que li r oys	--|-|-⌫--|
troyens le urf irent qu ant i l	------|--⌫-|-⌫----|--⌫--|-⌫|
fure nta rriué	----⌫-|-⌫-----|
au port detroy eou il n auoient	-|---|-|----⌫|-|-||------|
tala ntneuolen te	----⌫-|-|-----⌫-|
d e maufai reetquan t illor ottout	-⌫|------⌫-|-|----⌫|-|--|-|---|
ditetco nté	--|-|--⌫---|
sienfurentmo ltcorrocie ́et	-|-|-----|--⌫-|--------⌫|-|
bieniparut	---||----|
pu is ap res	--⌫-|--⌫--|
cars i c ommedit li	--|-⌫|-⌫---|--|-|
escriz t outpar	-----|-⌫--|--|
s o nporc hats	-⌫-⌫|----⌫--||
esmur entl esgrizois	-----⌫--|-⌫-|------|
contrelestroyens	-----|--|------|
alahercules en parte	--|-------|-|----|
et trouuacastor	-|-----|-----|
etpolusquifreree stoientet	-|----|--|----|-⌫------|-|
ambedui richeroy	------|----|--|
et puissan t	-|-------⌫|
etlo rcontala	-|--⌫|----|-|
ho nteet l a uilenieq ue	--⌫--|-|-⌫|------|-⌫-|
l itroyenl i	-⌫|-----|-⌫|
auoient faitettants	------|---|-|---||
en complaint	-|--------|
on tostroiéaal er	--⌫|-------||--⌫-|
l uicontreaux atout	-⌫-|-----|--||---|
lorpo oiretillesen mercia molt	--|--⌫--|-|-|--|-|-----|---|
p uis separti dauxet	-⌫--|-|----||--|-|
sena la droit	|-|-⌫-|----|
en saleminel a	-|-------|-⌫|
trouuailleroy	-----|-|-|--|
thalam on quimolt estoit ric hes	------⌫-|--|---|-----|---⌫--|
hom set p uis sanz	---⌫|-|-⌫---⌫---|
et liaconté cequeil	-|-||-----|-|--|-|
queroitettoutsonafaire	------|-|---|--|-----|
etq uanttha lam onlo t	-|-⌫---|---⌫---⌫-||-⌫|
qu ilirauolentiersporl	-|-|--|---------|--||
luisor le s troyens	--|--|--⌫|------|
eti men rag rantpartie de son	-||---⌫-|-⌫---|-----|-|--|
pooirdont hercules lemercia	----|---|-------|-|-----|
molt .etpuissemista	---||-|---|-|---||
lauoieet s	-|---|-||
es treuen uzarrie rs	--⌫|-----⌫-|-----⌫-|
en s yce auroypeleus	-|-⌫--|-|--|-----|
ettan tlia	-|---⌫|-||
d itetproié	-⌫-|-|-----|
queilliaostroié a fairet oute	--|-|-||-------||----|-⌫---|
sauo lente .	-|--⌫----||
dile cs enal a auroynestoret	|---⌫||-|--⌫|-|--|-----|-|
contace que litroyen	----|-|--|-|-----|
li f irentdontilfu	-|-⌫----|---|-|-|
molt corrocie z	---|--------⌫|
etliostroia	-|-|------|
quepre stetappareilliez	--|---⌫-|-|-----------|
esto itd aler	----⌫-||---|
porl amordeluisor	--||---|-|--|--|
les troi e ns toutes	--|----⌫-⌫-|-----|
f oizqueil	-⌫--|--|-|
uoldraetherculesdist sire	-----|-|-------|---|---|
mo ltde mercizplusde	--⌫-|-|-----|---|-|
milfoi zetp ensa en	--|---⌫|-|-⌫---|-|
son cuerque	--|---|--|
uengiez d ou	------|-⌫-|
royla omedon etdestroy ens	--|--⌫-----|-|--|----⌫--|
sifist faireyy nesetles fis tmo lt	-|---|----|-|--|-|--|---⌫|--⌫-|
bieng arnir	---|-⌫----|
qu ancquemest iere stoit por	--⌫-----|----⌫--|-⌫----|--|
lo nguem ent ost maintenir	--⌫-----⌫--|--|--------|
etbien fou rnir .	-|---|---⌫---||
quantuinta u tansno uue ls i	----|---|-⌫|---|--⌫---⌫|-⌫|
montere ntesnes en m er	-------⌫-|-|--|-|-⌫-|
touz celsquehercules auoit	---|---|--|-------|----|
requisquiluen issent	-----|-|-|---⌫-----|
co ntre lestroyens.	--⌫---|--|------||
etna gieren t	-|--⌫------⌫|
etsigleren ttantqu	-|--------⌫|-----|
il uindr ent	-|-----⌫--|
au portdetr o iequiauques pres	-|---|-|--⌫-⌫-|--|-----|---|
estoitdela	-----|-|-|
c iteetquant	-⌫--|-|----|
ilfurentarriu ési	-|-----|-----⌫-|-|
roy spele us	---⌫|----⌫-|
premiers et dist	-------|-|---|
seigneurs ciest tou tel a	--------|-|--|---⌫-|-⌫|
cheualeri eet	---------⌫|-|
baroniedegrecesiauons mol t fet	------|-|----|-|----|---⌫|--|
enplusorslie us	-|------|---⌫-|
geuosp ri que n ousfa cio ns	-|--|-⌫-|--|-⌫--|--⌫---⌫-|
ore nd roittantquenostr elox	---⌫--⌫---|---|--|-----⌫|--|
nabessemieiciainzmetons	|-----|--|--|---|-----|
po inedacrois trele	--⌫--||------⌫--|-|
siuosdirequ e nosferons	-|--|---|--⌫|--|-----|
f aisons yy pa r tiesdenoz	-⌫-----|-|--⌫-⌫---|-|--|
genzlunede sparties demorra	---||--|--⌫|------|------|
aunesgard er lautr epartie	-|--|----⌫-||----⌫|-----|
s enbuchera	|--------|
esiardi nspres	-|-----⌫-|---|
dela cite l ati e rce partie	-|-|---|-⌫|--⌫-⌫--|-----|
cheuaucherauers la	----------|---|-|
citeconfanons	---|--------|
et banieres despliees	-|-------|--------|
a trompesa tabo urs a	|------||----⌫--||
ch alemia uxet a	--⌫------⌫-|-||
au t rese strumenz	--⌫-⌫--|-⌫-------|
menestereuxetd estr uientet	----------|-|-⌫----⌫----|-|
m estentenfeu etenflam be	-⌫-----|-|--|-|-|----⌫-|
q uancq u ilatei ndront	-⌫-----⌫|-|----⌫-----|
au ant aux	--⌫--|--|
liroyslaomedon	-|---|-------|
etlitroyennos ue rront a armes	-|-|-----|--|--⌫----||----|
etar doiretgaster	-|--⌫---|-|-----|
lorter reetlor paisqu ei ls en	--|---⌫-|-|--|---|--⌫|-⌫||-|
istrontd ela citequi ainzai nz	------|-⌫|-|---|--|---|--⌫-|
etse uenr ont combatre an os.et	-|-|----⌫--|-------||-⌫-||-|
quant ilseronttuit	----|-|-----|---|
horsiss u zsisaudron tcels	---|---⌫-⌫|-|-------⌫|---|
e nb uchemententreaux	-⌫--⌫-------|----|--|
citeet s ez iront lespo r tes	---|-|-⌫--⌫----|--|--⌫-⌫--|
ime trontbones	|--⌫----|----|
gar d esquenus nenpu isse	---⌫-⌫-|--|--||-|--⌫---|
nee ntrer p uisbrocheront	-|-⌫----|-⌫--|---------|
apresauxquancque	----|--|-------|
uoientque m estie r	-----|--|-⌫-----⌫|
a insiserontenclos	-⌫---|-----|-----|
entr enoset	----⌫|--|-|
lesassaudr ons	--|-------⌫--|
etde uantetderriersetneporront	-|--⌫---|-|-------|-|-|------|
auoir anosduree .et qu antnos	----||--|----||-|--⌫--|--|
le s auronsdesconfiz si	--⌫|-----|--------|-|
bo uteronslefeuenlaciteet	--⌫------|-|--|-|-|---|-|
penronsl oret l argentetto ute s	------||-|-||-----|-|--⌫---⌫|
lesautresrichece s	--|-----|-------⌫|
quid edenzsont	--|-⌫----|---|
etai nsiaurons	-|--⌫--|-----|
uengiélaledur e	------|-|-----⌫|
fire nta noz genz. lor s d it	----⌫-||--|---||---⌫|-⌫-|
he rcules roysp e leusce	--⌫-----|---|-⌫-⌫---|-|
con seil est bienbons	---⌫---|--|---|---|
leal. geet	---||-|-|
liduxt halamonir onsal	-|--|-⌫------|--⌫--|||
enbuchement atoutd is mile	----------|----|-⌫-|---|
homes combata nz que	----|-------⌫-|--|
nosauonsen	--|----|-|
nos trecompai gnie et	---⌫--|------⌫---|-|
molttresbience q ue uo s auez dit	---|---|---|-|-⌫-|--⌫|---|--|
et liroy s nestor e t	-|-|---⌫|-----|-⌫|
liroys castorsostenrontlefes	-|---|-----|---------|-|--|
delabatailleato ut lor	-|-|-------|---⌫-|--|
gentetliroyspolusremai n d ra	---|-|-|---|----|-----⌫-⌫-⌫-|
a tou tesagent au nesgarder.	|---⌫-|-|---|-|--|-----||
sif uai nsi	-|-⌫|--⌫--|
acorde ́ett outela	------⌫|-|-⌫---|-|
demorere ntencepoint	--------⌫-|-|-|----|
andemainbienmatinle	-------|---|----|-|
deu isé etor dené. quant uint	---⌫---|-|--⌫----||----|---|
matinetliroyslaomedon	----|-|-|---|-------|
e tli troyenuirent sigrant os t	-⌫|-|-----|-----|-|----|--⌫|
deua ntlac itesi	----⌫-|-|-⌫--|-|
furent molt	-----|---|
esp oant éetmoltfu	---⌫----⌫-|-|---|-|
dolenz lao me dondesa	-----|---⌫--⌫--|-|-|
terrequeil degastoie nt e t	----|--|-|---------⌫-|-⌫|
essill oient en	------⌫----|-|
tel e m anier e	---⌫|-⌫-----⌫|
etd istortos t	-|-⌫--|-|---⌫|
ausarmes seign eu r	--|----|-----⌫--⌫|
baroneti s s ons	----|-|-⌫-⌫-⌫--|
horsquemorz somesseb ien	---|--|---|----|-|-⌫--|
hastiuementnenos	----------|-|--|
desfendons. lorss armerent au	---------||---||-------|-|
plust ostquil po rent	---|-⌫--|-|-|--⌫---|
et mont e rente sdestrierset	-|----⌫-⌫---|-⌫|--------|-|
i s s irent horstouz	-⌫-⌫-⌫----|---|---|
rengiezetap pareilliezporcomba tre	------|-|--⌫---------|--|-----⌫--|
s e nuinrentqui	|-⌫|------|--|
mielzmielzac e lsqueilui rent	----|----||-⌫-⌫-|--|-|--⌫---|
p ortetlaci te.	-⌫--|-|-|--⌫-||
si encontre ren tl e roy nestor	-|--------⌫---⌫|-⌫|--|-----|
lorscommencaliestors	---|-------|-|-----|
bataillemer ueilleuseme nt	-------|---⌫-----------⌫-|
gr antet fortetas premes	--⌫--|-|---|-|--⌫--|--|
longuement n e poist	---------|-⌫|----|
auoirdure ́	----|----⌫|
ne stornecels q uio	--⌫---|-|---|-⌫-||
luiestoient qua nt l i roys	--|-------|---⌫-|-⌫|---|
polusl iuintasecorsqu imoltbien	----|-⌫|---||-----|--⌫|---|---|
li ayd a .	-|---⌫||
lorsueissiés	---|--------|
granta bat eis	----|-⌫---⌫--|
etdome setd eche uaux	-||---⌫|-|-⌫|---⌫---|
e tmerueillosegrantocision	-⌫|----------|----|------|
dunepa rt et d	|--|--⌫-|-||
a utr elaabati	-⌫---⌫|-|----|
siguradesleroyn estor	--------|-|--|-⌫----|
etmoltfurentlesgri zois	-|---|-----|--|---⌫---|
car il f urentreculé	--|-|-⌫----|------|
duqu es pres delor n es.mes	----⌫-|---|-|--|-⌫-||--|
cild e lenbucheme nt	--|-⌫||---------⌫-|
ui r entc esisaill irentsus	--⌫-⌫--|-⌫|-|-----⌫----|--|
brochieren t ch euaux desesperonsa	----------⌫|--⌫----|--|-------||
grant esfort et seferirent sorle	----|-----|-|-|-------|--|-|
roylaomedonet	--|-------|-|
etoc ioientquancque il	-|--⌫-----|-------|-|
ateignoientcar il esto ient	----------|--|-|----⌫---|
frese ttuit	---|-⌫|---|
bon cheua liera us	--|-----⌫---|-⌫-|
armes . i lecoci st liro ys	----||-⌫--|---⌫-|-|--⌫-|
castorsygurades	-----|--------|
et ilmeisme if u	-|-|-----||-⌫|
moltnaurez	---|-----|
etliroyspolus i	-|-|---|----||
ocist elyachin qui	----|-------|--|
nies estoit leroy	---|-----|-|--|
laomedon.que uosiroiege	-------||--|--|----|-|
longu ement	-----⌫----|
contantdes uns	------|--|--|
etde s autres	-|--⌫|-----|
mes que la bataille	---⌫--|-|-------|
fum olt gran t	-|-⌫--|----⌫|
etdoloreuseetq ue molt	-|--------|-|-⌫-|---|
mo r talitedo mes	--⌫-⌫-----||-⌫--|
cheuauxdongr ant anui	------|--|--⌫--|---|
seroitdet outraconter.	-----|-|-⌫--|-------||
me sala parfinfur ent	--⌫||-|-----|---⌫--|
d e sconfite tlor	-⌫-⌫------|-⌫|--|
gasteeetes si lliee.etsortouzcels	-----|-|--⌫--⌫----||-|--|---|---|
le f esoit bie n hercules car il	-|-⌫----|---⌫|-------|--|-|
ocioitetabatoit	-----|-|------|
quan qu i lateignoitauantlui	----⌫-|-⌫|--------|----|--|
tant auintqueil	---|----|--|-|
encontrale roylaomedonqui	-------|-|--|-------|--|
e stoitesbahizd essiens	-⌫----|------|-⌫-|----|
queilueoitains itornera	--|-|----|----⌫|-----||
de sconfitur esi	--⌫---------⌫|-|
telcopdele speeque mortl aba ti	--|--|-||-⌫---|--|---||---⌫-|
eta insi fumorz li	-|-⌫---|-|---|-|
ro ys laomedonet to uzles troy e ns	--⌫-|-------|-|--⌫-|--|----⌫-⌫-|
f ure ntdesconfiz.	-⌫---⌫-|--------||
quantla bataille fufinees is	----|-|-------|-|----|-⌫||
entrerentlesg r izois	--------|--|-⌫-⌫----|
enlacitesanz	-|-|---|---|
co ntreditouil	--⌫------|-|-|
auoitgra ntcrietgran z	----|---⌫-|--|-|----⌫|
brezdefamesq uifuioien ttotes	---|-|----|-⌫-|-------⌫|----|
f orse n e espar l esr ues	-⌫----⌫-⌫-⌫-|--|-⌫-|-⌫--|
lor e nfanz enlorbraz	--|-⌫----|-|--|---|
e t li grizo is	-⌫|-|-----⌫-|
firentde sf ame s	-----|--⌫|-⌫---⌫|
lo ruolo irse tpristre nttozles	--⌫|----⌫--|-⌫|-------⌫-|--|--|
auoirsdelacite . si	-----|-|-|---||-|
her culesaud ucthalam onesyonal a	---⌫----|-|-⌫-|------⌫-|-----|-⌫|
royla omedon	--|--⌫-----|
moltestoitde tres	---|-----|-|---|
grantbiaute et	----|-----|-|
porcelifu eled onee	--|-|-|-|--|-⌫---|
que ce fuli	--|-|-|-|
prem iersqui enla	----⌫---|--|-|-|
ci t eentrast.	--⌫-⌫|------||
et p uisabatirent l aciteett otes	-|-⌫--|--------|-⌫|---|-|-⌫---|
l e sfortresceset mistrent	-⌫-⌫|---------|-|-------|
toute nfeuet enflambe. et	---|-⌫|--|-|-|-----||-|
ren direntgraceset	---⌫-----|-----|-|
firentoblatio n s ausdexde la	-----|-------⌫-⌫|--|--|-|-|
uictoire quil	-------|-|-|
eu e deleur ane mi set puis s en	--⌫|-|---|---⌫--⌫|-|---||-|
uindrentalor nes e t	-------||--|--|-⌫|
monterenten meretsi glerentet	--------|-|--|-|--⌫------|-|
nagierenttantqu il	--------|-----|-|
uindrent enlorpaisa	-------|-|--|---||
grant ioie	----|---|
douroy laom edon demora un	--|--|----⌫---|-----|-|
auoitnonprian z	----|--|-----⌫|
qu in estoitpasou paisquan t	--⌫||-----|--|-|---|----⌫|
troiefu d estruite	----|-|-⌫-------|
ainz auoit a ssegi éunchastelqui	---|----|-⌫-----⌫-|-|------|--|
auneiornee d etroi e . quisestoit	|--|-----|-⌫|----⌫||--||-----|
reuelez contreleroylaomedon	------|-----|-|--|-------|
sonper e.icelui	--|---⌫||-----|
prianz auoit yy	-----|----|-|
enfanzdesafameespousee	-----|-|-|---|-------|
yyfilzetyy filles	-|---|-|-|-----|
q u eilmo lt	-⌫-⌫|-|--⌫-|
am oi tetesto ient	--⌫--⌫|-|----⌫---|
ecubasa fameaussi .siaui nt	----|-|---|----||-|---⌫-|
un iorqueil lifu	-|--|--|-|-|-|
ditet co ntéles	--|-|--⌫---|--|
dolero sesnouuele s	------⌫--|-------⌫|
quetroieestoit	--|----|-----|
destruiteet que sesperesetsa mere	--------|-|--|--|----|-|-|---|
estoientm o rtet	-------|-⌫-⌫-|-|
ocispa r lesgrizoiset ensementtoute	---|--⌫|--|------|-|-------|----|
lacheu aleriedetr oie	-|----⌫-----|-|--⌫--|
lifuditetnoncié quei len	-|-|--|-|------|--|-⌫|-|
a u oientmené esyonasa suer	-⌫-⌫----|----|-----|-|---|
enseru age eten	-|----⌫--|-|-|
putage .et quant	-----||-|----|
oyc esifu molt	-|-⌫|-|-|---|
doloreusementcorreciezet molt	------------|--------|-|---|
regret ason pereet samere	------⌫|--|---|-|-|---|
etsasu er etdist ha bon echeualerie	-|-|--⌫-|-|---|-|---⌫|---------|
etseig nor	-|----⌫--|
b o n ba ron comme nt estes	-⌫-⌫|--⌫--|-----⌫-|----|
ensipo idetans	-|-|--⌫|-|---|
ha nobilegent de troiedon tne	-|-----|---|-|----|---⌫|-|
p artig e deuos	-⌫---|-⌫|-|--|
grantioieetilu os esta insi	----|---|-|-|-⌫-|--|-⌫---|
malementauenu	-------|----|
halasdolenzcommentpuet	-|--|-----|------|---|
mescuerstant du rer	--|----|---|--⌫--|
partetcreue aoyr	---|-|----||--|
crioses noueles	------|------|
geproiausdexpuissa nz que il	-|---|--|--|------⌫-|--|-|
doingnentenco re	--------|----⌫-|
t antui urequege	-⌫--|--⌫--|--|-|
lorpu issen uire	--|--⌫---|-⌫---|
et gr euer et	-|--⌫---|-|
troie.lo rsne fi stp lusde demoree	----||--⌫-|-|--⌫-|-⌫--|-|------|
ainzse partidilec et	---|-|----||---|-|
ecu basafame etsesyy	---⌫-|-|---|-|--|-|
