equanttelhomem	|----|--|---||
ki par aguaiteparengin	-|--|-----||--|----|
mescunseill esun	-----------⌫|--|
bonuei sin	--|---⌫--|
telech oselico nseilleafai re	---|--⌫--|-|--⌫------||---⌫-|
duntcilnep ue t	---|--|-|-⌫--⌫|
a nul chieftrair e	|--|----|-----⌫|
equant il un kes ensemble	|----|-|--⌫--|-------|
p ar trai sunli tolt	-⌫-|----⌫--|-|---|
lauei r quec il	|----⌫|--|-⌫-|
a dp u rchasc i é	-⌫|-⌫-⌫------⌫-⌫-|
par granttrauail guainn ie ́	--|----|------|------⌫--⌫|
ke pardeuantune	-|--|-----|--|
fen es tre	---⌫--⌫--|
kienune d espensefu	-|-|--|-⌫------|-|
uolauncorpsi adueu	---|-|---|-|-|--|
formagesqui	-------|--|
dedenzesteient	-----|-------|
es urunecl eieg iseien t	|-⌫-|--|--⌫--|-⌫------⌫|
lu n ena pr is	|-⌫|-||--⌫-|
odt utsenua	-|-⌫-||-|-|
uns gupilzuintquil encontra	--|-----|---|--||-------|
de lf o rmage	--⌫|-⌫-⌫----|
otgr antdesir er	-|--⌫--|-----⌫-|
ki l en peust sapartmang er	|-⌫|-|----|-|---|----⌫-|
paren ginuo ldra essaie r	--|--⌫--|--⌫---|------⌫|
se lecor ppurraenginnier	-|-|---⌫|----|--------|
fait ligupliz	---|-|-----|
tant parestcis toiselz	---|--|--|---⌫|-----|
elmundenad si	-|----||-|-|
b el oisel	-⌫-|----|
u ncd eme soilzneuisibel	-⌫-|-⌫|--⌫|---|-|-|-|--|
fust telsisc hanz c umestsiscor s	---|--|--|-⌫---|-⌫-|--|--|---⌫|
il ua ldreat mi elzquefins	-|--⌫-----|--⌫--|--|---|
leco r p se oi sibienloer	-|--⌫-⌫|-|-|-|---|---|
k entut le	|-|--|-|
mundenoutsun per	----||--|--|--|
purpensez kilchan ter a	--------||-|----⌫---⌫|
ia pur chant losneperdra	-|--|----|--|-|-----|
lebecourisic omenca	-|--|---|-|-⌫-----|
liformage sliesc hapa	-|-------⌫|-|---⌫---|
t e rrelestutchair	-⌫-⌫--||----|----|
eligupilzle uai t saisir	|-|-----|-|---⌫|-----|
puis n ot ilcure desu nchant	---||-|-|---|-|--⌫|----|
q uede l formageot suntalant	-⌫-|--⌫|------|-|--|-----|
co estessa m pledesorgoillus	-|--|----⌫-⌫--|--|--------|
kidegran tpris suntdesirus	-|-|----⌫|---|---|------|
parlose nger	--|----⌫---|
e parmentir	|--|-----|
l espuethumbienagreseruir	-⌫-|---|--|---||--|-----|
lel ur despe ndent folement	-|-⌫-|-----⌫----|-------|
purfalsloengede	--|---|-----|-|
leuncun teliesc riz	---|---⌫-|-|---⌫--|
de f reize enu eiliz	--⌫-⌫---||---⌫----|
malades futmult lungement	------|--|---|--------|
delr eleuern iotna e nt	--|-⌫-----|||-|--⌫-⌫-|
t utesles bestessasemblere nt	-⌫---|--|-----||---------⌫-|
ueeracurt alerent	---||---|------|
suntpurlui dolent	---|--|--|-----|
easquan znenchalt	|------⌫||-|----|
etelsi u untia pur	|---||-⌫--|-|--|
ala deuise del leun	|-|-----|--|---|
esaueir u o lent	|-----|-⌫-⌫---|
s enlui admes	|-|--|-|--|
pointdere tur	----|-|--⌫--|
libuesdeses corn esle bu te	-|---|-|--|----⌫-|-|--⌫-|
eli asnesquinient ne	|-|----|--|----|-|
odl epi elefi ert	-|-⌫|--⌫|-|--⌫--|
de lautre p artuientlig upil z	-||----|-⌫--|----|-|-⌫----⌫|
as denzlemort parlesor eilles	-|---|-|---|--|--|--⌫-----|
d it lileunsio uei merueilles	-⌫-|-|----|-|--|---------|
bienmesouientk en mun ee	---|-|------||-|--|-|
kant iofnes fuie	---|-----|--||
beste sme dotouent	-----⌫|-|-------|
comeseignur	---|------|
ehonu rouent	|----⌫-----|
k antioereiriezmult se	-⌫--|-|--|----|---|-|
cremeien t	--------⌫|
kantereliezhal tie ́esteient	---|--|---|---⌫---⌫|-------|
orme ueientaf ebli e ́	-|-|-----|--⌫----⌫-⌫|
d efulémunteauilé	-⌫-----||--||-----|
semb legreinuruilte	----⌫-|------|----|
de celskifurentm i priue	-|---|-|-----|-⌫|----|
akiiofishonure bien	|-|-|--|----||---|
m enbre n tnule rien	-⌫-----⌫-⌫|---|---|
kedes altr es queio mesfis	-|--|----⌫-|--|-|-----|
lin unpuissant	-|-⌫---------|
adpoia mi s	-|--|-⌫--⌫|
parmeismecesterais un	--|-----|----|----⌫-|
per nume ssampledel leu n	---⌫--|-⌫------|--|---⌫|
kikunkeschi esceen	-||----|---⌫---|-|
s ipertsaforceusunaueir	-⌫|---|-|----||--|----|
multletie nent en	---|-|---⌫---|-|
grantuilte	----|----|
neisp l usurkiluntamé	---|-⌫-⌫---|-||--|---|
d eun richehomet rouumescrit	-⌫|-|----|---|-⌫----|-----|
un chenetpetit	-|-----|----|
souent esfeiz	------⌫-|---|
so u esane slesg arda	--⌫-⌫-|---⌫||---⌫---|
ensuncor ag eent end ibien	-|--|---⌫--⌫|---⌫---⌫|---|
altreaimentle c hien	----|-----|-|-⌫---|
pu rle seignur ki	--⌫|-|------|-|
lcheriseit	|--------|
luisede dueit	--|-|--⌫----|
suzsun m ant ell e fistmu sc ier	--|--|-⌫---⌫-|-⌫|---|--⌫--⌫--|
silfistles a utresabaie r	-||---|--|-⌫----|-----⌫|
multsest l iasnespurpe ns ez	---||--|-⌫|----|-----⌫--⌫-|
kemielzdelc hi e nualt	-|----|--|-⌫--⌫-⌫|---|
ed ebelteedegrandur	|-⌫|----||-|------|
mielzsaurei tila sun	----|------⌫|-||--|
iuerke lic henetpeti z	---|-|-|-⌫----|----⌫|
emielzse rreitoises	|----|--⌫----|-|--|
mielzsaureit	----|------|
ilsurli saili r	-|--|-|-----⌫|
emielzle saureit de s p iez	|----|-|------|--⌫|-⌫--|
p u rfol letientkaluine uait	-⌫-⌫|--|-|----|||--|-|---|
sa uo izne crie ebrait	-|--⌫-|-|---||----|
cumfaitl i	--|---|-⌫|
chiens sursun	-----|--|--|
issi auintquepar	---|----|--|--|
lisirededuiant	-|---|-------|
n e pot li	-⌫|--|-|
a snesplussuffrir	-⌫---|---|------|
uersles eignurpristauenir	---|-|-⌫-----|----||----|
s ur luic om ence	-⌫-|--|-⌫--⌫---|
ki l lef aitespoenter	|-⌫|-|-⌫--|--------|
despiezle fiert surluisai lli	--|---|-|----|--|--|---⌫--|
a later e lea bati	|-|---⌫|-|-⌫---|
purunpe titnelad creué	--|-|--⌫--|-||-|-----|
si lisire neustcrié	-|-|---||---|----|
harouh arouaidezmei	----|-⌫---|----|--|
sihumesai ll entadesrei	-|---|---⌫--⌫--||-----|
chas cu n ti ntmac eu bastun	----⌫--⌫|--⌫-|---⌫||-----|
l asne fierenttut enuir un	|---|------|--|-----⌫-|
a grantm ar tiree	|----|-⌫--⌫---||
p or entr escure	-⌫--⌫--|-⌫-----|
lur seignur	--|------|
deciquelasne unt tant batu	---|--||---|--|---|---|
k illel aiss ent	|-|-|-⌫----⌫--|
tut e stendu	--|-⌫-----|
agrantpe ineuintasa s table	|----|--⌫--|---||-|-⌫----|
saue rdeu umpar	----⌫|---⌫-|--|
ces t efable	---⌫-⌫|----|
l amanieredemeinte g e nt	-⌫|------|-|-----|-⌫-⌫-|
multpuet homu eersuue nt	---|---|--|-⌫--|----⌫-|
kita ntseuol ent eshalci er	-|--⌫-|-|---⌫--|-------⌫-|
e ente lliu	|-|--⌫|--|
aparag e r	------⌫-⌫|
kin auien tanulc orage	-||-----⌫||--|-⌫----|
ensurketut alurpara ge	---------||--|----⌫-|
ameint enest siauenu	|----|-|--|-|----|
dunleunditquis	|-|---|--|--||
en d ormeit	-|-⌫-----|
enunboschage u ilesteit	-|-|-------||-|-----|
e nt urluiseuunt	-⌫--⌫-|--|-|---|
suriz petiteseiuiant	----|------||-----|
lu ne curut nesengarda	|-⌫-|----|-||-|----|
sur leleunsilesue ila	--|-|---|-||----⌫--|
lileunsf ud mu ltcuruci ez	-|----|-⌫-|--⌫-|------⌫-|
lasurizpristt an t	-|----|----|-⌫--⌫|
deliuoleitfaireius tise	-|-|-----|----|---⌫---|
ele escu nditkennuleguise	--|----⌫---||-|---|----|
aescientnel aueit fait	|------|-||----|---|
elileunsata ntla lait	|-|----||--⌫-|-|---|
pe titdonurc o d itaureit	--⌫--||---|-⌫|-⌫-|-----|
gueresdetensne	-----|-|---|-|
k uns h ome co di t aparailla	|--|-⌫--|-|--⌫|--------|
une fo s se crosse dedenz	--|--⌫-⌫-|-----|-----|
l anuitfud p ris	-⌫|---|--|-⌫--|
lili unseinz	-|--⌫--|---|
grantpoura dqueh om nelosci e	----|---|-⌫|--|-⌫-|-||----⌫|
de denzla fosseb rai te crie	--⌫---|-|----|-⌫---⌫||---|
lasuri z uaital	-|----⌫|---|-|
cri t utdreit	--|-⌫-|----|
mesnesaueit	--|-|-----|
que coest eit	--|-|---⌫--|
kielboisl aueit esu eillé	-|-|---||----|---⌫-----|
k a nt e leleuitsiense ignié	-⌫-⌫-|-⌫-|-|--|-|----⌫-----|
demand elik	------⌫|-||
eil resp untkilesteit p ris	|-|----⌫--||-|-----|-⌫--|
oscissereitagra ntdolur	----|-----||---⌫-|----|
d it lasuriz n ai ez	-⌫-|-|----||--⌫-|
ren dr ailegueredun	---⌫--⌫-|-|-------|
ke a meifeisteslepardun	-||--|------|-|-----|
kantod mespiezuus oimarchié	---|-|--|---|--|-|-------|
gratezla terre od uostr epie	-----|-|----|-|-----⌫|--|
tantqu efermeruusi puissiez	---|-|------|--||-------|
e puisamunt b ienle sachi e z	|---||---|-⌫--|-|-----⌫-⌫|
ke sipurrascahorseisse r	-|-|-----|-|---|-----⌫|
eiofraiod meiu eni r	|-|---|-|--|-⌫---⌫|
autressurizpurmeiaider	-----|----|--|--|----|
ascordesquecisun ttrenchier	-|-----|--|-|---⌫|--------|
eas reis alskisu nttenduz	|-|----⌫--|-|--⌫-|-----|
neserezmie	-|----|--|
lenseinementalas uriz	|----------||-|-⌫---|
fistkilileu nsfuguariz	---|-|-|---⌫-|-|-----|
delafosseestbi eneschapie z	-|-|----|--|--⌫-|--------⌫|
lali ualuthumi li tez	-|-|----|----⌫--⌫--|
pa rceste fablenu s a sume	--⌫|----|----|--⌫|-⌫---|
keessamplepr engentlir i che home	-|-------|--⌫-----|-|-⌫-⌫--|---|
kisurl espo uresuntpo eir	-|--|-⌫-|--⌫---|--|--⌫--|
sil lurmesfunt parn uns au eir	|-|--|------|--|-⌫---⌫--⌫--|
enaien tbone merci	-|----⌫|---|----|
auenirp ottut	-----|-⌫-|--|
kecilliaur agrant	-|--|-|---⌫|----|
emi el zlesaura conseill ier	|--⌫--⌫|-|----|--------⌫--|
bosoin silestpris	-----||-|--|---|
kelemieldre desesamis	-|-|------|-|--|---|
p arui elessample e n e scrit trois	-⌫-|--⌫-|-------|-⌫|-⌫----|----|
sema primeslinois	---|-----|-----|
euoltdeli leprouaue r	|---|-|-|-|---|---⌫|
l arundefude	|-----|-|-|
g r ant sa ueir	-⌫-⌫--|--⌫---|
b ie nseaparc utquep ar le lin	-⌫--⌫|-|-----⌫-|--|-⌫-|-|--|
serruntoisel smisalurfin	------|-----⌫|--||--|--|
de llinpuethomela	--⌫|--|---|---|-|
reilac ier	--|---⌫--|
dun thom lespuettuzdamagier	---⌫|--|--|---|--|-------|
oisels fistasembler	-----|---|-------|
si lurconse iluoleit	-|--|-----⌫-|-----|
ki lalase ntlelin	|-⌫|-----⌫-|-|--|
kilnepeu stfructif ier	|-|-|---⌫-|-------⌫--|
lipl usurne l uolentfaire	-|--⌫---|-||-----|----|
al seignuralerentret r ai re	-|------|------|---⌫-⌫--⌫-|
lec onseil	-|-⌫-----|
kel e lur otd on é	|--⌫|--|-|-⌫--⌫-|
kantlarund e ote scuté	---||-----⌫|-|-⌫-----|
a ueientencu see	-⌫-----|----⌫--|
dese parenzfis t	-|-|-----|---⌫|
meillursde salignie	-------|-|-|-----|
sis es t al uilainapaie	-||--⌫|-|-----|----|
ensa me isun suffrisun ni	-|-|--⌫---|-----|--|-|
l afu rentsioiselnurri	-⌫|--⌫---|-|----|----|
ele donaas unlin pais	--|---||-⌫-|--|---|
elsnenperdramais	--||-|-----|---|
cil fistdellin en gin zplusurs	--|---|--|--|--⌫---⌫|------|
oisels granz emenurs	-----|----||-----|
n eussentcel malpas eu	|------|--|--|--|-|
s il eussentconseil cr eu	|-|------|------|--⌫-|
ceste semblance es t asezu e ire	----|--------|--⌫|---|-⌫-⌫--|
k ant fo ls neu oltl e sagec re ire	-⌫--|--⌫-|-|-⌫--|-⌫|---|-⌫--⌫--|
k i bon conseil lisetdon er	-⌫|--|------|-|--|---⌫-|
edesunmalle	|-|--|--|-|
uoltga rder	---|--⌫---|
sedamageslendei tuenir	-|------||-|---⌫|----|
dun c esttropt a rtdel repentir	---⌫|--|---|-⌫-⌫-|--|-------|
iadisauint kenunest a nc	----|----||-|-|---⌫-⌫-|
enturlesriu es eel fanc	----|--|---⌫-||-|---|
reinesgra n zco mpainies	-----|---⌫-⌫|--⌫-------|
lunctensi sunt nurries	---|---||---|------|
laes merentarester	-|--⌫-----||-----|
ala tere uolentarester	|-|---|-----|------|
alurde s tineecrierent	|--|--⌫-⌫----|-------|
suuentesfeiz	-------|---|
li de manderent	-|--⌫--------|
k ereil ur duisten ueier	-⌫|--|-⌫-|----|--⌫----|
kar daltre rien	--||----|---|
nor entmestier	|--⌫--|------|
kantmeintefeizorent	---|-----|---|----|
ladestin eeadenueié	-|------⌫-|-|------|
enmicel pr euntronc	---|--|--⌫|-|----|
duntelesorent gran tpour	---|---|----|----⌫|---|
celequi pres deltruncest ut	---|--|---|--|----|---⌫-|
kantele uit kil nes e mut	---|--|--||-|-|-⌫|--|
se scompeagnes adapeles	--⌫|---------|-|-----|
si s u n t al t ru ncensembl ealee s	-|-⌫-⌫-⌫|-|-⌫--⌫-|-------⌫|----⌫|
puisle s al uen tcomere i	---|-|-⌫--⌫---⌫|---|--⌫|
echascune lapra metfei	|-------|-|---⌫--|--|
tutes l es tienentpu rseignur	----|-⌫-|------|--⌫|------|
siliportentgrant honu r	-|-|------|----|----⌫|
mesquant l i truncs ne	--|----|-⌫|-----|-|
eel esuir ent	|--⌫-|---⌫--|
keilestuit	-|-|-----|
enmicel g uetut en	---|--|-⌫-|--|-|
munterent aun	--------||-|
luru ilani es urlifirent	--|-⌫-----⌫|-⌫-|-|-----|
esfunz de l ew e lenbatir ent	-|---|--⌫|--⌫||-------⌫--|
ala de stineereuunt	|-|--⌫-----|-----|
reidemandentkarnuln	--|--------|--|--||
malueisfu dcilquelurdu na	------|--⌫|--|--|--|--⌫-|
lades ti nee ienu eia	-|---⌫--⌫--||---⌫--|
unecoleureg rante	--|------|-⌫---||
ke lesdeuoreetraitamort	-|--|-----||----||---|
tutesfure nten gra nttu rment	----|----⌫-|-|---⌫-|--⌫----|
dunkescrierentp lus egr ement	-----|-------|-⌫--|---⌫----|
ala desti ne	|-|-----⌫-|
kelurostastcel enemi	-|--|-----|--|----|
ladestineerespund i	-|-------|-------⌫|
nenilneniliouussuffri	----|----|-|--|-----|
tutes uozuoluntezafaire	----|--|-------||----|
seignur e u stesde	------|-⌫-⌫---|-|
uil m entle hunesi s tes	---⌫-⌫--|-|------⌫-⌫--|
telcumuusque istis	--|--|--|---⌫----|
eissiauient kepl usursl e funt	----|-----|-|--⌫----|-⌫|---|
de bo nsseignurs	-|--⌫-|-------|
quan t ill esunt	----⌫|-|-⌫-|--|
lesuolentd efoler	--|-----|-⌫-----|
nel i seue nt	-|-⌫|----⌫-|
honur garder	----|-----|
tientalk es en destreit	----|---⌫-|-|-------|
purluinetortnedreit	--|--|-|---|-|----|
at el se pernentkis	|-⌫-|-|------|-||
a uei rmeimesu nbruit	-⌫---⌫|----|--⌫|----|
lores regretentlur	----|--------|--|
b onseignur	-⌫-|------|
k ilfi rentladeshonur	|-|--⌫---|-|-------|
c ulumsdema nderent seig nu r	-⌫----|----⌫------|----⌫--⌫|
areich oiserent unostur	|--|--⌫-------|-|----|
pu rc oqueme insmallurf eist	--⌫|-⌫|--|--⌫--|--|--|-⌫---|
euersaut reslesguarante ist	|---|---⌫--|--|--------⌫--|
mesqu an ti l otlaseign urie	--|--⌫--⌫|-⌫|-|-|-----⌫---|
e tu zfurent e nsabaill ie	|--⌫|-----|-⌫|-|-----⌫-|
laprismast	|--------|
kilnos ceist edeuorast	|-||--⌫----||-------|
p u rco par laundes colums	-⌫-⌫|-|---⌫-|-|--|-----|
si apelases compai gnuns	-|----|--|------⌫----|
gr ant folie fait ilfaimes	--⌫--|----|---|-|-----|
quant lostu rarei choisimes	----||----⌫||--|--------|
ke nusoscit	-|--|----|
deiu ren iur	-|--⌫|-|--|
mi elznus uenistquese nzs eignur	--⌫--|--|-----|--|--⌫-|-⌫-----|
fussum tu t tensqueauer cestu i	-----|--⌫|---|--|---|-----⌫|
ein zn usguardu ms de	---⌫|-⌫-|------⌫-|-|
n ed utum forssunaguait	-⌫|-⌫---|---|--|-----|
puisque nusluimes sur nusatrait	---|--|--||----|--|--|-----|
ei lfaittutaperte ment	|-⌫|---|--|------⌫---|
co kilfisteinz	-||-|---|---|
c es tessampl e dita plusurs	-⌫--⌫|-------⌫|--||------|
ki choisisse nt	-|---------⌫-|
lesmals s e ignurs	--|---|-⌫-⌫-----|
deg rantfolies	-|-⌫---|----||
ki e n subiectium se met	-|-⌫|---------|-|--|
acruel humeea	|----|---|||
i anaur a simalnun	-⌫||---⌫|-|--|--|
dunlaruncun teki	|-|----|---⌫-|-|
berbi zemble rkil espia	-----⌫|-----⌫||-|----|
deden z lafaudea un uilain	-----⌫|-|----||-|-----|
ense mbleod lui	----⌫---|-|--|
portatun pain	-----|-|---|
alchienuolei t lepaindoner	-|----|-----⌫|-|---|----|
kil afaudedeueit garder	-|-⌫|----|-----|-----|
lic h ie n sli dist amis purquei	-|-⌫-⌫--⌫-⌫|-|---|---|--|---|
p renderai io cel detei	-⌫-------|-|--|-|--|
io neltepuis	-|-||-|---|
guerendo ner	--------⌫--|
tuno esl e paingarder	--|-⌫-|-⌫|---|-----|
l ileresditionenq uierrien	-⌫|----|--|-||-|-⌫---|---|
li chiensres puntn e	-|-----|---⌫---|-⌫|
uoi lnient	---⌫|----|
io s aitr es bien e	-|-⌫-|--⌫-|---||
ke mabuche uol sestuper	-|-|----|---⌫|------|
nepuissemotsuner	-|-----|--|----|
siemble rieznozberbiz	-|-----⌫---|--|-----|
ka r liberchiers esten dormiz	--⌫|-|--------|--|--⌫-----|
traiaureiemu ns eignu r	---|-----|--⌫|-⌫-----⌫|
ad nurrideska cest iur	-|----|---||---|--|
malementaureitespleitié	-------|-----|---------|
kilm adnu r rieafait ie ́	|-||-|--⌫-⌫-||-----⌫--⌫|
siparma gardeaueit	-|--|-|----|----|
c od untilm ad l ungtenspe u	-⌫|-⌫--|-||-|-⌫--|---|--⌫|
et tu meismes m enhareies	-|-|------||-|------|
e purtraitremetendreies	|--|------|-|--------|
n e u oil tunpain s iguaignier	-⌫|-⌫--|--|---|-⌫|--------|
dunccomen caab aier	---|-----⌫-|--⌫---|
pa rcest e ssample	--⌫|---|-⌫------|
nusmustreci	--|-----|-|
chas cunfranc ho mdei t fai reissi	----⌫--|----|--⌫|---⌫|---⌫-|---|
s inul slenuoltd o nerlo uier	-⌫|---⌫||-|---|-⌫-⌫--|--⌫---|
neparpramessel osenger	-|--|-------|-⌫------|
kesun sei gnurdeiuetrai r	-|--|---⌫---|----|----⌫|
neuoillemie	-|-----|--|
aten dreend eit	----⌫--|-|-⌫--|
telgueredun	--|-------|
cumlichie nsfis tdell arrun	--|-|----⌫-|---⌫|--|-⌫----|
iadi s a uint ke	----⌫|-⌫---|-|
unlu err a	-|-|---⌫|
parunchem ineencuntra	--|-|----⌫-||-------|
unetruiek iprein zesteit	--|----|-⌫|-----⌫|-----|
ue rsli ala tagrantesple it	--⌫-|-|---⌫||----|-----⌫-|
e ditkepais liuoltdon er	|--|-|---|-|---|---⌫-|
orsehastde purceler	-|-|---|-|-------|
carses purc elsuo le it aueir	--|--|----⌫--|--⌫--⌫-|----|
e lerespunt pargrant saueir	-⌫-|------|--|----|-----|
sirecomentmehasti reie	---|-----|-|-----⌫---|
tant cumsi presdem eiuus	---|--|-|---|-|-⌫-|--|
ne mepuisiopas d eliuer er	-|-|---|-|--|-⌫------⌫-|
t elehunteaideuusesgarder	-⌫--|----|-|-|--|-------|
mi e que co munte	--⌫|--|-|----|
tutesfemeleshuntgrant h unte	----|------|---|----|-⌫---|
simeinsm adle lesdei t	-|----|-⌫---|--|---⌫|
a telboso in ne asprismer	|--|----⌫-|-|--------|
ua l ilu smuscier	-|-⌫|--⌫|------|
ki lespur celsuo le itm angier	-|--|---⌫---|--⌫--⌫-|-⌫-----|
elatru ies enes t	|-|---⌫-||-|--⌫|
ki pare n ginsestdeliuree	-|--|-⌫-⌫--||--|-------|
ces t essam pledeiuent oir	---⌫|-----⌫--|------|--|
tute sf emmeseretenir	----⌫|-⌫----||------|
pur sulementlecorsguar ir	--|-------|-|---|----⌫-|
nelaissent lu r	-|-------|--⌫|
enfanzp erir	-----|-⌫---|
kelieu ressasemble rent	-|----⌫--||-------⌫---|
apar l ement siesgarderent	|---⌫-⌫----|-|----------|
autr et ere s enirreient	----⌫|-⌫--||-|-------|
horsde la graue uile stei ent	---|-|-|----||-|-⌫----⌫--|
kar tropf uren ten grant dolu r	--|---|-⌫----⌫|-|----|----⌫|
dehum esdechiensore ntpour	-|---⌫-|-|-----|---⌫-|---|
luol en tmessuff rir	|---⌫--⌫|--|----⌫--|
p urco senu olent	-⌫-|-||-|-⌫----|
fo r seis s ir	--⌫-⌫|---⌫-⌫-|
lisagelie urelurdiseient	-|---|---⌫--|--|-------|
kefolieertkeil quereient	-|----|--|-|-|--------|
con ni ssance	---⌫--⌫-----|
u ilfurentnurrid	|-|-----|----||
li a utrene lu olent	-|-⌫---|-||-⌫----|
tuze nsembletindr entlurei re	--|-⌫------|-----⌫--|--|--⌫-|
aunemaresuntuenu	|--|---|---|---|
gardent elt aisiun tueu	------|-|-⌫-|-|--⌫|--|
urai neser entasemblees	|---⌫--|--⌫--|--------|
depourdels sunteffrees	-|---||--|---|------|
dedenzleweseuont plunge r	-----||--|-|---|------⌫|
illesuirentaprismer	-|--|-----|-------|
unslieures lesad apelez	--|------|--|-|-----|
seignursfait ilkaresgardez	-------|---|-|--|-------|
p a r les raines	-⌫-⌫|--|-----|
k en usue ums	-⌫|-⌫-|--⌫--|
ke pour untnuspurpensums	-|---|--|--|---------|
kenus alumque rantfolie	-|--|---|---⌫---|----|
kenostre graueauumgu erpie	-|-----|----|---|--⌫----|
purest reaillursaseurez	--|---⌫-|------|------|
iammeste renetrouerez	-----|--⌫-|-|-------|
umne dutealcune rien	-|-|---|-----|---|
ralumnus ensi feru ns bien	----|--|-|-|----⌫-|---|
atantli lieurereturn erent	|---|-|-----|------⌫----|
en lurcuntree sen	-|--|------||-|
d ecodeiu ent	-⌫|-|----⌫--|
se purpenser	-|--------|
cilki s euol en tre muer	--|-|-⌫|---⌫--⌫|--⌫---|
elurancienliugue rpir	|--|-----|--|---⌫---|
kelurenp uetapres	-|--|-|-⌫--|----|
iam mesr egnenet r ouerunt	---⌫--|-⌫---|-|-⌫-⌫------|
n enc el etere ne uend run t	|-|-⌫--⌫|---|-|----⌫---⌫|
is eient se n zpour	|-⌫----|--⌫-⌫|---|
usanztrauai lusenz	|---|------⌫||---|
leu n c ontek	---⌫|-⌫---||
il asembla	-|------|
tuteslesbestes emanda	----|--|-----||----|
kialouent su rquatrepie z	-|------|--⌫|-----|---⌫|
eli a igleza d pu rchascie z	|-|-⌫----|-⌫|--⌫--------⌫|
tuzlesoiselski el es	--|--|-----|-|--⌫-|
eki uolenten la ira munt	|-|-----|-||-⌫-||---|
batai lledeue ientte nir	-----⌫--|----⌫---|--⌫--|
kantensembledurentuenir	---|-------|-----|----|
ch aluesurizles uit	--⌫---|----|--|--|
ensunquerad pensé edit	-|--|---|-|-----||--|
ke multredotout celaf aire	-|---|-------|--|--⌫---|
nesou t asquelssedeusttrair e	-|---⌫|-|----|-|----|-----⌫|
odcelsuoltestrekiuein trunt	-|---|---|----|-|----⌫----|
gr eindreforcea ue run t	--⌫-----|----|-⌫--⌫---⌫|
surunhalt fus ts enest mu ntee	--|-|---|---⌫||-|--|--⌫---|
puresgarder celease m blee	--|-------|---|---⌫-⌫---|
co lifuuis sunescie nt	-|-|-|--|--|-----⌫-|
keli leuns aueitplusdegent	-|-|----|----|---|-|---|
e k ileirtde greinuri ustise	||-|---|-|------|-⌫-----|
odlesoiselsk ilout mande z	-|--|-----||-|--|-----⌫|
tant en iottant en	---|-||-|---|-|
iui ndrent	|--⌫-----|
kelesbestespoide liutindrent	-|--|-----|--|-|--|-------|
kantlachalue	---|-|-----|
su rizlesueit	--⌫--|--|---|
multli pesa queodelsneste it	---|-|---|--|-|--||----⌫-|
desbestesse	--|-----|-|
restdepart ie	---|------⌫-|
muscasi fistfo lie	----|-|---|--⌫--|
mesquantles ele sen treouri	--|----|--|---⌫|--⌫------|
pardeuanttuzlesdescouri	--|-----|--|--|-------|
duncfudl a felu nieeaperte	---|--|-⌫|----⌫---|-----|
esa trai sundescouerte	|-|----⌫--|---------|
oiselsebeste s la hueren t	-----||-----⌫|-|------⌫|
sep andese cl amerent	---⌫---|-|--⌫------|
de lac halu esur izseplaign ent	-|-|-⌫----⌫|---⌫-|-|------⌫--|
multlahunissente blastengent	---|-|--------||----------|
emustrent lisafe lu niee	|-------|-|-|--⌫--⌫---|
ele estf ei men tie	--|--|-⌫-|---⌫--|
la sepa nde	-|----⌫--|
lurad iuree	--|-|----|
keleenfral uruol u nte	|--|-|--|-⌫-|---⌫-⌫--|
equemu ltt ostles uengera	|--|--⌫-|-⌫--|--|------|
puislamaldistesi ur a	---|-|------||-|--⌫|
keiameisen liun euen ist	-|-----|-|--|-⌫|---⌫--|
keoiselnebestela ueis t	-|----|-|----|-|----⌫|
tuteclarteli adtol u e	---|-----|-|-|---⌫-⌫|
i ame isne n	-⌫---⌫-|-||
iertpariurueue	---|--|--|---|
apr es roua purluihu nir	---⌫-|---|--|--|--⌫--|
saplumeo sterpur l idescourir	-|----|-⌫---|--|-⌫|--------|
a ltresiestdeltraitur	-⌫-----|--|--|------|
k imeseir redesunseig nu r	-⌫|------⌫-|-|--|----⌫--⌫|
ak iildeithonurpor ter	|-⌫|-|---|----|---⌫--|
e leautee fei guard er	|-----||--|-----⌫-|
sises siresa d de li mestier	-|--|----|-⌫|-|-|------|
eil leueieafebleier	|-|-|---|--------|
a sunboso in liuoltfaill ir	|--|----⌫-|-|---|-----⌫-|
a utresseuolt tenir	-⌫----|-|---|----|
si s essiresuienteld esus	-|-⌫-|----|----|-|-⌫---|
nepotlasser sunmalueisus	-|--|-----|--|------|-|
donc uol dreita l uir eturner	---|---⌫----||-⌫-|-⌫------|
pa rz uolt meserrer	--⌫-|---|-------|
partut en est aldei mustrez	--|--|-|--|-|--|------|
e auilez euergun dez	|-----||------⌫--|
sonur en p ertes unaueir	|---|-|-⌫--||-⌫-|----|
ereprouerenunt	|-------|-|--|
atuziurs en est sih uniz	|--|---|-|--|-|-⌫---|
cumfudlachaluesuriz	--|--|-|-----|----|
qui ne de it	--|-|--⌫-|
m eisparior	-⌫--|--|--|
ne ilnedeitencurtparler	-|-|-|---|-|---|-----|
i ssi auintkeu ns ce rf	-⌫--|----|-|-⌫-|--⌫-|
ewekars ei	--|--|-⌫-|
gurdadedenzse sco rnes uit	----|-----|--⌫|--⌫---|--|
meism eslaueitdit	-----⌫-||----|--|
kenulebestene	-|---|----|-|
