cilquiseuent	--|--|-----|
unau trefoisot lilions	-|--⌫--|---|-|-|----|
elbo iseup luscon paingnons	-|--⌫-|-|-⌫--|---⌫--------|
la chieureetlaberbis i	-|------|-|-|-----||
uncerf ontpriset	-|---|--|---|-|
enquatre pa rslefuntpartir	-|-----|--⌫-|-|---|-----|
lilions distqu	-|----|---|-|
iluu etsaisi r	-|--⌫-|-----⌫|
lagrigno r	-|------⌫|
pa rtdoit estremoie	--⌫-|---|----|---|
carie suiroischascuns lotroie	--|-|--|---|-------||-----|
le sorplusasideui see	-|------||-|----⌫--|
nus ne lauera s ensmelle e	--|-||----|-⌫--|-----⌫|
licon pa i ngno n quant ill	-|---⌫--⌫-⌫----⌫|----|-||
tou tlel aisentsisenfuiirent	---⌫|-|-⌫-----|-||-|-------|
autres i es tne dout ez mie	------⌫|--⌫|-|----⌫-|--|
se pouresh onsprentconpaingnie	-|-----|-⌫--|----|----------|
aplu sforth omequ il ne	|---⌫|---|-⌫--|-|-|-|
ia delga aingn	-|--|--⌫---||
auraesploit	---|------|
li rich esu u eta uoir	-|----⌫-|-⌫-⌫-|-⌫---|
o ulipour esperdras	-⌫|-|----⌫-|-----||
et segaainguientalpartir	-|-|-----|----|-|-----|
li riches uuettotret enir	-|-----|---|--|---⌫---|
chidist quns	--|---||--|
aig lesuint uolant	---⌫--|---|-----|
io ste l a merpoison querrant	--⌫--|-⌫|--|-----|-------|
un ewelketrouaentiere	--⌫|----|----|------|
mai silne s outen quelmanier e	---⌫|-|-|-⌫--|-|---|------⌫|
po ustle s c a ilhe depechier	--⌫--||-⌫-⌫-⌫-⌫---|--------|
sonnit dut r epairier	--|--|--|-⌫-------|
unecorn eilhe encontra	--|----⌫----|-------|
d is t l ique bien	-⌫--⌫|-⌫|--|---|
l ensengnera	|---------|
coment pora l escailheourir	-----|---||-------|----|
sellealp oisonpeus tpartir	|---|-|-⌫----|----⌫|-----|
puislirouaamontuoler	---|-|---||---|----|
tan thautcum	---⌫|---|--|
ilpo ustm onter	-|--⌫--|-⌫----|
seramontezla sus	---|-----|-|--|
sil aistla	-|-⌫---|-|
wel kecheoi r iu s	---⌫-|-----⌫|--⌫|
sur d ureter r eou soir r ochier	--|-⌫--|---⌫-⌫|-|---|-⌫-----|
bien depechier	---|--------|
liai gles eutgrant	-|--⌫---|--|----|
d elawelkequiltin tman g ier	-⌫|-|----|-|-|---⌫|---⌫-⌫--|
haut la portacheoir lalait	---|-|----|-----|-|---|
la c o rneilhefu enagait	-|-⌫-⌫------|-|-|----|
aualala delbecferri	---|--|--|--|----|
sique l escailheunpoi	-|--||-------|-|--|
le pesson nede densma nga	-|------⌫-|--⌫---|--⌫--|
l e scailhe	|-⌫------|
la itsis enala	--⌫-|-||-|--|
a in squeli	-⌫--⌫|--|-|
aiglesfuist	-----|----|
nequ ilsoi fuist aparcheus	-|-|-|--|----|--------|
lepertuisetotfait petit	-|--------|-|---|----|
si q ue liaiglespasne l uit	-|-⌫-|-|-----|--|-||--|
par cestexe mple del poison	--|---|---⌫---|--|-----|
no smostre exemp ledel	--⌫|-----|-----⌫-|--|
quiparagaite tpa rengin	--|--|----|-⌫|--⌫|----|
mesco n seilheso nb oenu oisin	-----⌫-⌫-----|--⌫|-⌫--|-⌫----|
teilchoseliconseilhe afaire	---|----|-|--------||----|
dun til nepueta nulcieft r aire	---⌫|-|-|---||--|---|-⌫-⌫---|
quan til on quessunt miex	----⌫|-|--⌫---|---|---|
par t raiso nlit out	--|-⌫-----⌫|-|-⌫--|
lau oir q u ecilzatporchachiét	|--⌫--|-⌫-⌫|---|-|-----------|
parg rant t rauailetgaaingniet	--|-⌫---|-⌫-----|-|---------|
issiaui ntetbienpo utes tre	---|---⌫-|-|---|--⌫-|--⌫--|
qu epardeuant un efenest re	--⌫|--|-----|--⌫|------⌫-|
qui e nune	--|-⌫|--|
despen s ef u	------⌫-⌫|-⌫|
uolau n corbsi	---|-⌫|---|-|
fromages quiillu cestoi ent	-------|--|----⌫|-----⌫--|
et sus unecleiie	-|--|--|-----|
prisod toutsenua	---|-|---||-|-|
uintsi lencontr a	---|-||-------⌫|
delfro mageotgrantdesirier	--|---⌫---|-|----|-------|
quil en poustsaparmangier	-|-|-|----|-|--|------|
parenging uo draessaier	--|-----|--⌫--|------|
selecorbpor oite ngignie r	-|-|---|---⌫--|-⌫-------⌫|
faitligoupil	---|-|-----|
com parestciz oiselge ntil	--|--|--|--|----|--⌫---|
elmonden asibel oisel	-|----|||-|--|----|
a insdemesyoz	-⌫--|-|--|--|
ne uisibel	-|-|-|--|
fuisttezses chanscum e stsesco rs	----|--|--|----|--|-⌫-|--|--⌫-|
ilua droit plusque nustresors	-|--⌫----|---|--|--|------|
lic orbsoy	-|-⌫--||-|
sibienloue r	-|---|----⌫|
qu entot le mo nden otson	-|-|--|-|--⌫--||-|--|
porp ensas oi quil chantera	----⌫---|-⌫-|-|-|-------|
i aporchanterlozneperdra	-⌫|--|------|--|-|-----|
ouri etsichanta	---|-|-|-----|
lifro mage s	-|---⌫----⌫|
al aterrel e lai tche ir	|-⌫|----|-⌫|---⌫|---⌫-|
et ligoupilleuasaisir	-|-|-----|-|-|-----|
puis no utilcuredeson	---||-⌫-|-|---|-|--|
delfromage fist sontalant	--|------|---|--|-----|
c estex empledesorguilhous	|--|--⌫----|--|---------|
quidegrantpr i sso ntdesi rous	--|-|----|--⌫-⌫|--⌫-|----⌫---|
parl osen gi er etparme ntir	--|-⌫----⌫--⌫-|-|--|--⌫---|
a grei seruir	|---|-----|
despendentfolement	---------|-------|
por fauselos engede gent	--|----|---⌫---|-|---|
d un lion co nt eli	|-|---|--⌫--⌫|-|
quifu defrais	--|-|------|
et auielhis	-|-------|
malades gistmolt longhe ment	------|---|---|------⌫---|
del releuern io t	--|------|||-⌫|
toteslesbes te s sas e mblerent	----|--|---⌫--⌫||--⌫-⌫-------|
porlui ueoira cortalerent	--|--|----||---|------|
l ipluisorsuntporluid olent	-⌫|------|---|--|--|-⌫----|
etazaquansnenc hautnient	-|-|-----||-|-⌫---|----|
et teiz i aqui	-|---|||--|
uontp or don	---|-⌫-|--|
de uise dellion	--⌫---|--|---|
etsau oir uuel ent li pluisor	-|---⌫--|----⌫--|-|------|
at mais pointde	-|---|----|-|
libuesdesescornesleboute	-|---|-|--|-----|-|----|
etlia sne squi p asnel d oute	-|-|-⌫---⌫|--|-⌫-|-||-⌫---|
odlepietle fiert sor	-|-|---|-|----|--|
de lautrepartui ent	-||----|---|--⌫--|
amortparlesorei lhes	----|--|--|----⌫---|
lion sor uoimeruei lhes	----⌫|-|--|------⌫---|
bienme souie ntenmon	---|-|-----⌫-|-|--|
quantiouene fuiet en	----|-----|--|-|-|
t ou teslesb estesmedotterent	-⌫--⌫--|--|-⌫----|-|--------|
et cu mlu rsignorhonorerent	-|--⌫|--⌫|-----|---------|
quan tiee rr eliesh aitiésestoient	----⌫|-|-⌫--⌫|---|-⌫------|-------|
etquantireiz molts e c remoient	-|----|----|---|-⌫|-⌫-------|
ormeuo ientafieblié	-|-|--⌫---|--------|
defulémont etauilé	------||--|-|-----|
moltmesemblegrignoruitei	---|-|-----|------|----|
de ceusquifur entm ipri uei	-|---|--|---⌫--|-⌫|---⌫--|
aquiiefishonor etbie n	|--|-|--|----|-|---⌫|
quinesr amenbrenuller ien	--|-||-⌫------|----|-⌫--|
que desautresqu eiemeffis	--|--|-----|--⌫|-|-----|
li nonpuissans atpo i amis	-|--|-------|-|--⌫|---|
parmeisme cesteraiso n	--|-----|----|-----⌫|
prenons exe mple	------|---⌫---|
d e l lion	-⌫-⌫|---|
quiquonques chiet enno n	--|-|-----|----|-|--⌫|
sipe rt saf orceet	-|--⌫-|-|-⌫---|-|
so nsauoir	--⌫|-----|
moltle tienentengrant	---|-|------|-|----|
nezlespluisors quil ont amei	--|--|-------|--||--|---|
dun r ichehome	|-|-⌫---|---|
trouons escri t	------|-----⌫|
quiauo itunch ie nn et	--|---⌫-|-|--⌫--⌫--⌫-|
souentes fois alui iua	-------|---||--|--|
etun ssiensa snes lesgard a	-|--⌫|----|-⌫---||------⌫|
quetuitlia utre ainmen tlechien	--|---|-|-⌫---|------⌫|-|----|
ensoncorag eente n dibien	-|--|-----⌫|----⌫-⌫-|---|
porlesig nor q uelcherisoit	--|-|---⌫--|-⌫-||--------|
etqui od lui se desduisoit	-|--|-|--|-|---------|
suzsonmantel	--|--|-----|
lefist muich i er	-|---|-----⌫-⌫-|
sel fist surhomesabai er	-||---|--|----|----⌫-|
molt sestliasnesporpensez	---||--|-|----|--------|
quemiexdelcien ualuas sez	--|---|--|---|---|--⌫--|
etde biateietdegrandor	-|-|-----|-|-|------|
miex saroitpla irea	---|-----|---⌫--||
son signor	--|-----|
etiue rqui lichienspetis	-|---⌫|--|-|-----|----|
et miexseroitois ses cris	-|---|-----|--|--|---|
et iexs a roitsurlui salhir	-|--|-⌫-⌫---|--|--|-----|
miex lesaroitdespies ferrir	---|-|-----|--|---|-----|
porf o lsetientqu alui	--|-⌫-⌫|-|----|-||--|
etq u o sauoisnecrieetbrai t	-|-⌫||-|---|-|---|-|----⌫|
cumfait lichi enssu r sonsign or	--|---|-|---⌫--|--⌫|--|----⌫-|
i ssi au intque	-⌫--|--⌫--|--|
par un ior	--|-|--|
sa loitli siresdesduisa nt	|-⌫---|-|----|--------⌫-|
etodl echiennetaloitiuant	-|-|-⌫|-------|----|----|
nepoutli asne splussoffrir	-|---|-|----⌫|---|------|
uerlesigno rpr entaue nir	--|-|-----⌫|--⌫--||--⌫--|
sorluicomenche	--|--|-------|
quetoutle fait	--|---|-|---|
espoue nter	------⌫---|
des p ie sle fiertsu r li	--|-⌫--⌫|-|----|--⌫|-|
siqu alaterelabat i	-|-||-|---||----⌫|
por unpetit ne l acreuei	--|-|----|-|||-----|
selisiren eustcrié	-|-|---||---|----|
ha rroharroaidiesamoi	--⌫--|----|-----||--|
sesh o messailhent	--|-⌫-⌫--|-------|
ch ascuns tint machue ou ba sto n	--⌫-----|---|-----|-|--⌫---⌫|
l a sn efierenttotenuiron	|-⌫--⌫|------|--|------|
agrant marti reet a	|----|-----⌫-|-||
peurentr escore lur signor	------|-⌫-----|--|-----|
de sique lasneont	--⌫----||---|--|
qu illelaisent toutesten du	-|-|-|------|---|-----⌫-|
agrantpa inneuin ta s	|----|--⌫---|---⌫|||
sauo irpoez	----⌫-|---|
parcestefable	--|----|----|
lamanieredemainte	-|------|-|-----|
moltlepoo mueoirso uen t	---|-|---⌫|----|--⌫---⌫|
quetant seuue lent enhauc hier	--|---|-|---⌫---|------⌫---|
ete n tellieu apara gier	-|-⌫|--|---|-----⌫---|
quenauient pa s alur corsage	--||-----|--⌫||--|------|
etsur qu etouta	-|---⌫--⌫----||
lur parag e	--|-----⌫|
a main tenests iau e nu	|----⌫|-|--|-⌫|--⌫-⌫-|
cuma lasne	--|||---|
qui fubatu	--|-|---|
dunliondistquisedormoit	|-|---|---|--|-|------|
enun boscage	-|-|------|
ouilestoi t	-|-|-----⌫|
se uon t desduisant	-|---⌫|---------|
s oris petites etiua nt	-⌫---|------|-|---⌫-|
unecorunesegarda	--|---|-|-|----|
s urle lion silenuoilh a	-⌫-|-|---|-||-------⌫|
lilionsfu moltcorochiés	-|----|-|---|---------|
lasorispr enttan t fu iriés	-|----|--⌫--|---⌫|-|-----|
de luiuoloit	-|--|-----|
faire iustice	----|------|
es condistquen nulle	--⌫------|-|-|----|
aessient ne lauoit foit	|------|-||----|---|
et lilions	-|-|----|
atantlalait	|---|-|---|
petitdornur ce d istauroit	----||----|-|-⌫--|-----|
deliseil loccioit	-|-|-|-||------|
gaires detens nede mora	-----|-|---|-|--⌫---|
qunshons ce	|--|---|-|
distaparilha	---|-------|
unefosse chauededens	--|----|----|-----|
lanui tf uprislil ion s	-|---⌫|-⌫|---|-|-⌫---⌫|
grantp oora quil ne lo cie	----|-⌫--||-|-|-||-⌫--|
dedens lafossebra i te t cr ie	-----|-|----|---⌫-⌫|-⌫|--⌫-|
la sorisui nt	-|----|--⌫-|
alcri tout droit	-|--|---|----|
mais ne sa uoi t q uece	---|-|--⌫---⌫|-⌫-|-|
qui alboisl auoit e nuoilh iét	--|-|---||----|-⌫------⌫---|
quantellele u oit	----|---|-|-⌫--|
si engigniét	-|---------|
de mandaliqu il ala quis	--⌫----|-|-|-||-|---|
eti llidis t	-|-⌫|-|---⌫|
qu il estoitpris	-|-|-----|---|
ocisseroita	---|-----||
gran tdolo r	----⌫|----⌫|
lasorisdist n	-|----|---||
o ruosrendrailegerredon	-⌫|--|------|-|-------|
quemoi feistesiapard on	--|--|------|-|----⌫-|
quantamespies uos oima rchiét	----||--|---|--|-|--⌫------|
g ratesl at er rea uostre	-⌫----|-⌫|-⌫--⌫-||-----|
ta ntque fermeruos i	--⌫-|--|-----|--||
etpuisamontbienle sachies	-|---|----|---|-|------|
quesiporez chahorsissir	--|-|----|--|---|----|
eti eferaiod	-|-⌫|----|-|
aut ressoris p or moiaidier	---⌫--|----|-⌫-|--|-----|
a cordesque	|-----|--|
fer ons trenc hier	---⌫--|-----⌫---|
eta rois elzq ui	-||----⌫--|-⌫-|
sunttendus	---|-----|
nesereizpaschir ete nu s	-|-----|--|--|-⌫---⌫--⌫|
l ensengnement a l a	|-----------||-⌫|
fistlilionssifuga ris	---|-|----|-|-|--⌫--|
delafosseest	-|-|----|--|
bieneschapeiz	---|--------|
la liualu humeliteiz	-|-|---|---------|
parceste fable nosassumme	--|----|----|--|------|
quensempleprengneli richehomme	-|-------|------|-|----|----|
quisurlespoures ont	--|--|--|-----|--|
li mesprentparn onsauoir	-|-------|--|-⌫-|-----|
quilenaientbonemerci	-|-|-|----|---|----|
auenir puettoutautresi	-----|---|---|------|
que ci lz liaur agrantmest ier	--|--⌫-|-|---⌫|----|----⌫--|
etmiex lisaura consilhier	-|---|-|----|---------|
a sonbesoings	|--|------||
il est so upris	-|--|--⌫----|
queli mi edresde sesamis	--|-|--⌫----|-|--|---|
par uielexemple enesc rit truis	--|---|------|-|---⌫--|----|
quant hom s ema	----|--|-⌫--|
primes linnuis	-----|------|
et uoutdeliprisauoir	-|---|-|-|---|----|
lorond e fudegr ant sauoir	|-----⌫|-|-|--⌫--|-----|
bien s aparchutquepar le l in	---||-------|--|--|-|-⌫-|
serunt oisi asmisalurfin	-----|----⌫-|--||--|--|
del linpuetomlar ois lacier	--|--|---|-|-|-⌫--|-----|
dontomlesp uettostd amagier	---|-|--|-⌫--|---|-⌫------|
oisi asfis tasemble r	----⌫-|---⌫|-------⌫|
siluruoloit conseldonner	-|--|-----|-----|-----|
qu i lalaise ntlelin	-|-⌫|------⌫-|-|--|
quiil ne poist fructefi ie r	--|-|-|----|--------⌫--⌫|
lipluisorne l uoloient faire	-|------|-||-------|----|
alsignor lalerent re traire	-|-----||------|--⌫-----|
lecon sel q uillurotdonn ei	-|---⌫--|-⌫|-|--|-|----⌫-|
qu ant larondellotesc out e i	--⌫--||------||-|---⌫---⌫-⌫|
cumillauo ientencu see	--|-||---⌫---|----⌫--|
deses parensfista ssemblee	-|--|-----|---|-⌫-------|
odlesmilh orsde sa ligni e	-|--|----⌫--|-|-|-----⌫|
sis estaluil ainapaié	-||--|-|---⌫--|-----|
ensama is on soffris onni	-|-|--⌫--⌫-|-----|-⌫-|-|
la furentsi oiselnou rri	-|-----|-|----|---⌫--|
el le donnaa sonlinpais	--⌫-|----||--|--|---|
ia par n uld eus nel	-|--|-⌫-||--|-||
perdramais	-----|---|
il fist del lin enginsp l uisors	-|---|--|--|-----|-⌫-⌫-----|
dontpristoisias granset	---|----|-----|----|-|
neusse ntpa s cel	|-----⌫-|--⌫|--|
s ileusse ntc onselcreu	|-|-----⌫-|-⌫----|---|
ces tesemblanc e	---⌫-|--------⌫|
est assezuoi re	--|----|---⌫-|
quant folneuuetle sage	----|--|-|---|-|---|
quibon consell iseitdonner	--|--|-----|-⌫|---|-----|
sonmalleseitoster	--|--|-|---|----|
s e damagesendoi tueni r	-⌫|------|-|---⌫|----⌫|
doncesttroptar t de rep entir	---|--|---|---⌫|-|---⌫----|
ia disauintq uen	--⌫--|----|-⌫|-|
entou rles	-----⌫|--|
riuese tel fanc	----|-⌫|-|---|
outdeg ruw esgra ns conpaingnie	--|-|-⌫---⌫-|---⌫-|----------|
etde lonc tensi sunt nouries	-|-|---|---||---|------|
lade sda ingnerent arester	-|--⌫---⌫--------|------|
alaterreuuelent aler	|-|----|------|---|
alurdes tineecr ier ent	|--|---⌫----|--⌫---⌫--|
souentesfoislide ma ndere nt	-------|---|-|--⌫--⌫-----⌫-|
qu eroilurdeust	--⌫|--|--|----|
carda utrerien norent mestie r	--||-⌫---|---||----|------⌫|
qu antmaintesfoislore nt pri ie ́	--⌫--|------|---||---⌫-|---⌫--⌫|
la destineeat enuoié	-|-------|-|------|
enmicelle ei we	---|----|--⌫-|
dont e lles	---|-⌫---|
eurentgrantpeur	-----|----|---|
cel lequipres	---⌫-|--|---|
deltr oncestut	--|--⌫--|----|
quantelleuit	----|---|--|
qui l n e semut	-|-⌫|-⌫|-|--|
se scompain gnesaapell ees	--⌫|-------⌫---||-----⌫--|
sisunt en sembleal tr ocalee s	-|---|--⌫-----|-|--⌫-|----⌫|
primeslesalu entcumroi	-----|-|----⌫--|--|--|
e tchascunelipro metfoi	-⌫|-------|-|---⌫--|--|
tiennentpo r signo r	-------|--⌫|-----⌫|
si liportent	-|-|------|
m olt gra nthonor	-⌫--|---⌫-|----|
ma is quant li	--⌫-|----|-|
etellesui rent	-|----|--⌫---|
qu en pais stut	-|-|---|---|
enmi cel le eiweiutenpais	---|---⌫-|---|--|-|---|
sur li monterent aunfai s	--|-|--------||-|---⌫|
luruilenie surlifirent	--|------|--|-|-----|
enmicelleeiwelab atirent	---|----|---||--⌫------|
ala de st ine ereu ont	|-|--⌫--⌫---⌫|---⌫--|
roidema n dentcar	--|----⌫-⌫---|--|
nuln en ont	--||-|--|
ma uaisf u cil q uel lur donna	--⌫---|-⌫|--|-⌫|-|--|----|
ladestineeienuoa	-|-------||----|
unecolueure grantetfort	--|-------|----|-|---|
deueuree t trait a mort	------|-⌫|----||---|
tou t esfurentengrant to rmen t	---⌫-⌫-|-----|-|----|--⌫----⌫|
donccrierent plus	---|-------|---|
al adestinee me rc i	|-⌫|-------|--⌫--⌫|
quellurostas tcelenne m i	-|-|--|-----⌫|--|----⌫-⌫|
ladestinee r espondi	-|-------|-⌫------|
nenilnenil	----|----|
ie uous souff ri	-|---|-----⌫-|
toutesuo zuolenteza	-----|--⌫|-------||
s ignoreu stesdebona ire	-⌫----|--⌫---|------⌫--|
uilainnementlehonesistes	-----------|-|---------|
orlaiie ste lcumuousquesistes	-||----⌫|--⌫|--|---|--------|
issiauientquepluisorf unt	---|-----|--|------|-⌫--|
de lurboens ignorquantil lont	-|--|---|-⌫----|----|-||--|
tout le uuelent de foler	---|-|------|--⌫----|
seuenthonor garder	-----|----|-----|
silnestienta quesendestroi t	|-|-||----|-⌫---|-|-------⌫|
neferontpor	-|-----|--|
luitortne droit	--|---|-|----|
a te lsoipr ennentqu es destruit	|--⌫|--|--⌫-----|--⌫||-------|
de lur au oirmainne so nb ruit	-|--|--⌫--|-----|--⌫|-⌫---|
lorregrettent lu rbons ignor	--|---------|--⌫|--|-⌫----|
qui il firent lades hon o r	--|-|-----|-|---⌫---⌫-⌫|
c olonsdemanderen t signor	-⌫----|----------⌫|-----|
aro i choisirent	|--⌫|---------|
porce quemains mallur	--|-|--|----|--|--|
etuerautreslesgarandesist	-|--|-----|--|----------|
maisquantil out lasi gnorie	---|----|-|--|-|--⌫-----|
ettout furentensa	-|---|-----|-|-|
niotuns eulquil	||-|-|-⌫--|--||
na primast	|-⌫------|
et ocesist etdeuorast	-|------|-|-------|
parla unsdes col ons	----|--|--|---⌫--|
siapellas esconpaingnons	-|-----|-⌫-|-----------|
gra n tfoliefaitilfei mes	---⌫-⌫|----|---|-|---⌫--|
qua nt l ostor aroich oisisime s	---⌫-||----||--|--⌫--------⌫|
q uinosocistde ior enior	-⌫-|--|----|-|--|-|--|
miex no su enistque	---|--⌫|-⌫----|--|
senssignor	---|-----|
fuisonst os te nsqueodcestui	------|-⌫-|--⌫-|--|-|-----|
guardiunbiendel ui	-------|---|-|-⌫-|
nedottium for son agait	-|------|--|--|----|
puisq ueleume s sor nosatrait	---|-⌫-||----⌫|--|--|-----|
ail faittoutap e rt emen t	|-|---|---|--⌫-⌫--⌫----⌫|
chouqui lfist ainscelleement	---|-|-⌫|---|---|---------|
cestexemple dis t	---|------|---⌫|
qui choisisentmauais	--|---------|-----|
degrantfolie sentre met	-|----|----||-----⌫--|
quiensubiestion semet	--|-|---------|-|--|
acruelhomeet	|----|---|-|
ian en arasehonte non	-||-|--|-|----|--|
d unlaronconte	|-|----|----|
berbisembler	-----|-----|
q u ilespia	-⌫|-|----|
ded ens lafaude a	---⌫--|-|----||
un u ilain	-|-⌫----|
ensemble odluipor tau npain	-------|-|--|---⌫-|-⌫|---|
alchienu oloit	-|----|-⌫----|
lepa ind o nn er	-|--⌫-|-⌫-⌫--⌫-|
q uil a faudedeuoitgarder	-⌫-|-⌫|----|-----|-----|
li chie nsli dista mispo rquoi	-|----⌫-|-|---|-⌫--|--⌫|---|
prendroie iecestpain detoi	--------|-|---|---|-|--|
ger red oner	---⌫---⌫---|
toneuslepain	--|--|-|---|
lileresdistie	-|----|---|-|
q u e r rien	-⌫-⌫-⌫|---|
m ang uelep ain et seldetien	-⌫---⌫-|-|-⌫--|-|-||-----|
li chi e ns	-|---⌫-⌫-|
respon tn e luuel nient	------⌫|-⌫||---|----|
iesatr esbiena escient	-|-|--⌫-|---||------|
que mabuicheuuese stoper	--|-|-----|---|-⌫-----|
queie nepuisse	--|-|-|-----|
mo tsonn er	--⌫|----⌫-|
siembl er iies nosberbi s	-|----⌫--⌫---|--|-----⌫|
quantliber giersi ertendormis	----|-|---⌫----|-⌫--|-------|
tray aroie monsignor	---|----|--|-----|
qui m anou riiesque	--|||---⌫-|-----|
male ment aroite s ploit iét	----⌫---|----|-⌫-⌫-----⌫---|
quilmust nourietaf aitiét	-|-||--|----|-|--⌫------|
se p a rmagarde a uoitperdu	-|-⌫-⌫|-|----|-⌫---|----|
cedonti lm a lunc tenspeu	-|---|-⌫|||---|---|--|
meismesmenhar r oie s	------||-|---⌫-⌫---⌫|
trait ormetenroies	-----⌫-|-|-------|
neu ueltonpainsigaaingneir	-|-⌫--|--|---|-|---------|
lorcomenchaa a ba iier	--|-------||-⌫--⌫---|
parcestexemple nos mos tre ichi	--|---|------|--|---⌫--|---|
cha scunsfrans honsface autresi	---⌫----|----|---|---|------|
liuuet donner louier	-|---|-----|-----|
oupa r promesse	-|--⌫|-------|
que sonsi gn ordoietrair	--|--|--⌫--⌫-|---|----|
uuel hemiesconse ntir	----⌫-|---|-----⌫---|
atendredoittelgerredon	------|---|--|-------|
commeli chiensfist del	----|-|-----|---|--|
iadisa uintc uns leuserra	----|-⌫---||--|---|---|
ch eminsie ncontr a	--⌫---|-|-⌫------⌫|
unetruiequi p rainz	--|----|--|-⌫----|
ala a grantesp loit	--||----|---⌫---|
etdistquepa is	-|---|--|--⌫-|
liuue tdonner	-|---⌫|-----|
orseha stastdeporceler	-|-|--⌫----|-|-------|
carsesporchiasuolo it	--|--|-------|----⌫-|
elle respondipar gran tsa uoir	---|-------|--|----⌫|--⌫---|
s irecomen tm ehasteroie	-⌫--|-----⌫|-⌫|--------|
sipresdemoiuosuoie	-|---|-|--|--|---|
pu ispasdeliurer	--⌫-|--|-------|
telhont ea ideuosesgarder	--|----⌫|-⌫|-|--|-------|
ne sauezpasqu echou	-|----|--|--⌫|---|
tout es femelle s	----⌫-|-------⌫|
ontgran thonte	--|----⌫|----|
doi ttouchier	---⌫|-------|
ne atelbe soing ne apro chier	-||--|--⌫----|-|----⌫----|
adont s enualileusmuic hier	----||-|-|-|---|----⌫---|
qu i lesporchia suol oi tma ngier	--⌫|--|-------⌫|---⌫--⌫|--⌫----|
et latrui esen est alee	-|-|----⌫||-|--|---|
qui parengin gsestdeliuree	--|--|-----⌫||--|-------|
c esteexe mpledoientoir	-⌫---|---⌫---|-----|--|
t o utesfemell eset	-⌫-⌫---|------⌫-|-|
qui totporseulementmentir	--|--|--|--------|-----|
ne laisent	-|------|
lur enfans perrir	--|-----|-----|
chi dist que lie ures s asenblere nt	--|---|--|---⌫---||---------⌫-|
a pa rl e mentsie sg a rder e n t	|--⌫--⌫-⌫---|-|-⌫--⌫-⌫----⌫-⌫-⌫|
autreterre sen iroient	----|----||-|------|
fors de cel lieuouilestoient	---|-|--|---|-|-|-------|
furent engr ant d olor	-----|-|--⌫--|-⌫---|
dechiensoren t poor	-|-----|----⌫|---|
sineleuuelentmaisso ffr i r	-|-|-|------|---|--⌫---⌫-⌫|
porc es enuuele ntho rs issir	--|-⌫||-|-----⌫-|--⌫-|----|
l isag e l ieur elurdisoient	-⌫|---⌫|-⌫----⌫|--|-------|
folieestchouq ueil	----|--|---|-⌫-|-|
quero ient	-----⌫---|
lur con isan ce	--|---⌫----⌫-|
o u furentnouri d ez enfance	-⌫|-----|----|-⌫-|------|
liautrene se nuodrentcroi re	-|----|-||-⌫|------|----⌫-|
tout ensembletindr en t	---|-------|-----⌫--⌫|
a unemaresuntu en u	|--|---|---|-⌫--⌫|
gar de ntdedenssi	---⌫--⌫-|-----|-|
ourainnes erent a semblees	-|------|----|-⌫-------|
d epoo rdelssunteffreee s	-⌫|---⌫||--|---|-------⌫|
dedensleiwe seuont plo ngier	-----||---|-|---|---⌫----|
d es que le su ire n t aprochier	-⌫-|--|--⌫|-⌫---⌫-⌫|--------|
uns l ieuresle sarapellez	--|-⌫-----|--⌫||-------|
signorfaitil	-----|---|-|
c aresgardez	-⌫-|-------|
par les rainn esque nosueons	--|--|-----⌫-|--|--|----|
quipoor o ntnosp orpensons	--|---|-⌫-|--|-⌫--------|
quenos alonsquerra nt folie	--|--|----|------⌫-|----|
quantnost regraueauonsge rpie	----|----⌫-|----|----|--⌫---|
pore streailhors aseurez	--|-⌫---|------|------|
iamaister rene trouerez	-----|---⌫-|-|-------|
omne douteacune	-|-|----|----|
ra lonnos ent si feronsbien	--⌫--|--|--|-|-----|---|
lieure retor neren t	-----|-----⌫-----⌫|
contreessenalerent	-------||-|------|
porcesed eussentpor p enser	--|-|-|-⌫------|---⌫-⌫----|
cilquidesirent remuer	--|--|-------|-----|
etluran c h ienus gerpir	-|--|--⌫-⌫-⌫--|-|-----|
enpu eta presuenir	-|--⌫-|-⌫---|----|
iamai srengnene trouerant	-----⌫|-----|-|--------|
n e ncelleterr ene uendr ont	|-⌫|----|----⌫|-|-----⌫--|
queto ztensso ientsenspoor	--|--⌫|---|--⌫---|---|---|
ous enstra uailo u sens	-|-⌫--|---⌫---|-⌫|---|
dun liuncontequ a sembla	|-|---|----|-|-⌫-----|
touteslesbe steset ma nda	-----|--|--⌫---|-|--⌫--|
qui aloie ntsur	--|-----⌫-|--|
quatrepies	-----|---|
etliaigles	-|-|-----|
rat porchach ié s	--|--------⌫---⌫|
to zlesoi sias qui elesont	--⌫|--|--⌫---|--|---|--|
etqui uolen t en lair	-|--|-----⌫|-||--|
bat ailhedoiuento d l uite nir	---⌫----|------|-⌫|-⌫-|--⌫--|
qua ntensemble durent	---⌫-|-------|-----|
soris quantc eu it	----|----|-⌫|-⌫-|
c uerp ensaetdist	-⌫--|-⌫---|-|---|
que moltredotoitcesta faire	--|---|-------|---|-⌫----|
ne sout asquesse poist traire	-|---|-|---|-|----|-----|
odceusuuetestre	-|---|---|----|
quiuent ront	--|----⌫---|
