sul felunad	--|----|-|
nei urne nui t	-|-⌫-|-|---⌫|
ordereuleored e	-|-|----|--|-⌫|
flestritt achar	-------|-⌫|---|
sechissenttes os	---------|--|-|
ne end ormant	-|-|-⌫-----|
nasturepos	|-|-|----|
nas mesbeu fiz	|-|--|--|--|
ensuuautre ess empl ere	--|-|----|---⌫----⌫--|
sadestremaincelea tantprent	-|-----|---|---||---|----|
et purtreit aperement	-|-------|--------|
treisce rclesdunt chescun enclo st	----|--⌫----|---|------|-----⌫-|
dela trinitel untmost	-|-|------||--|---|
unes teitescrit	-|--⌫---|-----|
keedmundbienesgardeetlist	-|-----|---|------|-|---|
et enle secund	-|-|-|-----|
kebienen te ndet listed mund	-|---|--⌫--⌫-|-|---|--⌫---|
ete ntierz	-|-⌫|----|
ceolis tedmundne	--|---⌫|-----|-|
enceodis tla	-|--|---⌫|-|
ke tubi en ente nsetliz	-|-|--⌫-|----⌫-|-|--|
seittun pe nser desoreen	---|--|--⌫---|--|--|-|
daut re chosene tant nequant	|---⌫-|----|-|---|-|----|
ceste chose ay	----|----|-|
alalmeuusp lusprofi t e	||---|--|-⌫--|-----⌫-⌫|
parces te auis iune dmu nd	--|---⌫-|----⌫--|-⌫---⌫-|
mut ge rpig loire	--|--⌫--|-⌫----|
de quadriuiela uanite	-|--------|-|-----|
etpensade latrinite	-|----|-|-|------|
cu mperefize t	--⌫|---|--|-⌫|
seintespirit	----|------|
unde usuntcume d ist l	-|--⌫|---|---|-⌫--||
etcum est d e grantdigne	-|--|--|-⌫|----|----|
lasai ntediuine	-|---⌫--|-----|
kelecors etlal meguie	-|-|---|-||--⌫-|---|
enp ardurableuie	-|-⌫--------|--|
lors changeedmundsasentence	---|-----|-----|-|-------|
etdelestudier	-|-||-------|
kes aturn e	-||-----⌫|
e t senc line	-⌫||---⌫---|
a art ke estdesalmes	|--|-|--|--|----|
cumape nd i al cre atur	--|---⌫--⌫|-|---⌫---|
keilmeimesf u sauueur	-|-|-----|-⌫|------|
eustia deuzseignur s	---|-|---|-------⌫|
ke duncsereit faus	-|---|-----|---|
guer pirdeli tet ded u it	----⌫--|----⌫|-|---⌫-⌫-|
dedesputer la	-|-------|-|
noiseet bruit	----|-|----|
fet achateretfetesc riuer e	--|------|-|--|---⌫-----⌫|
dauto rie uolumet liue re	|----⌫--|----|-|----⌫-|
nuueltes tament	----|---⌫-----|
delaglosekei apent	-|-|----|-||----|
g uerpi teuclidetol omeu	-⌫-----⌫|------|---⌫---|
purio hanl uce tmatheu	--|--⌫--|-⌫-|-⌫|-----|
de platunlest laueinegloire	-|-----|---|-|----|-----|
puraugustin etpurgregoire	--|-------|-|--|-------|
ettutelaphilosophie	-|---|-|----------|
pure uuangeletpro phecie	--|-⌫------|-|---⌫-----|
tantenpens et an tenout	---|-|----⌫|-⌫--⌫|-|--|
que desclo st	--|------⌫-|
endesputant	-|--------|
n auoit sun	|----|--|
mestre deu in ne	-----|---⌫-|-|
plus enunsuli uril aprent	---|-|-|--|-⌫-|-|-----|
keunau tre s eisante u cen t	-|-|--⌫--|-⌫------||---⌫|
kar dele ctr ureoutf undement	--|-|--⌫---⌫--|--|-⌫-------|
et dusenfuke tutpurprent	-|-|--|-|-|--|-------|
out keneprise	--|-|-|----|
requis es t mutke il en lise	-----|--⌫|--|-|-|-|---|
et ilprim eremen ten	-|-|----⌫------⌫|-|
e n lut as escolerespl usurs	-⌫|--|-|--------|--⌫----|
qan t illutcommuna ument	---⌫|-|--|-------⌫----|
suiu rnailprimere ment	----⌫--|-|-------⌫---|
aunechanone rie	|--|-------⌫--|
ke delondres loins nestmie	-|-|------|----||--|--|
mertunepurauerpes	------|--|---|--|
kestudieril poutades	|-------|-|---|---|
karlilius estesper ita ls	--|-|---|--|-----⌫---⌫-|
ric he descr i t originals	---⌫-||----⌫-⌫|--------|
g entordineeunt alalmaire	-⌫--|------|--|||------|
estorede grantlibrai re	-----|-|----|------⌫-|
l orsestedmund asundesir	-⌫--|--|-----||--|----|
liuere s et	------⌫|-|
paes ad a pleisir	---|-||------|
sustenuf udesesmi ses	------|-⌫|-|--|--⌫--|
eestreicofetgrantfranchi ses	|----|--|--|----|-------⌫--|
kestoréfu	|------|-|
etde g ranz	-|-|-⌫---|
unani fu et	-|-||-|-|
mestr ee d mund dehabindune	-----⌫|-⌫-⌫---|-|--------|
atuzdebienessample	|--|-|---|-------|
en clois tr e	-|-----⌫--⌫|
mestref u etlistre	-----|-⌫|-|-----|
e tprecheur	-⌫|-------|
e nlurchap istre	-⌫|--|----⌫----|
ne lifautsilehabit	-|-|---|-|-|----|
ke iln estdereligiun	-|-||--|-|-------|
n iestchanoine kil name n de	||--|-------||-||---⌫-⌫-|
kenela imeet gr erende	-|-||-⌫--|-|--⌫|----|
cumpa ignie mut grantlu r port e	-----⌫----|--|----|--⌫|----⌫|
et les d esconfortez comforte	-|--|-⌫----------|-------|
enseignielesn unsachans	--------|--|-⌫-|------|
etrapelel esforueans	-|-----|-⌫-|-------|
c istkeoient sa gra ntsci ence	-⌫--|-|----|-|---⌫-|---⌫---|
keparce iuentsaabstinenc e	-|-----⌫----|-|---------⌫|
espiritableeseinz	----------||----|
laschese tenent etfeinz	-----|-|-----|-|----|
untlesue rtuze t les graces	--|--|--⌫---|-⌫|--|-----|
suiuere nepoe ntse s trac es	------|-|---⌫-|--⌫|----⌫-|
kil habitde	-||----|-|
po rte ntetfontp rofess iun	--⌫---⌫-|-|---|-⌫------⌫--|
e n regard de celis u ntn ice s	-⌫|-----|-|---|-⌫-⌫-|-⌫---⌫|
chargezde peche	------|-|----|
e t deuices	-⌫|-|----|
k artan t iuneau reetueillie	-⌫-|---⌫|---|--⌫-|-|------|
ni est nuls ke ne	||--|---|-|-|
se meru eillie	-|----⌫-----|
mestreedmundduntuusrecord	-----|-----|---|--|-----|
ualir eaoxeneford	-|---⌫||--------|
requisententi uem ent	-----|-------⌫---⌫--|
desescolers etdes autresgent	--|-------|-|--|-----|---|
iceofistil coso uenttuit	---|---|-|-|--⌫---|---|
umu tf istgrantprofitet	|--⌫|-⌫--|----|-----|-|
aclers li s ante tdesputant	|----|--⌫-⌫--|-⌫|--------|
ea meins lettre sp reechant	||----|------⌫|-⌫-------|
diablesenout en uie	------|-|--|--⌫--|
kedmun dtantcrese etfructefie	|-----⌫|---|----|-|--------|
mutcumsacustume	--|--|-|------|
de n uireestchescunprudume	-|-⌫---|--|------|------|
auin tparau e nture	----⌫|--|--⌫-⌫----|
demestreedmund	-|-----|-----|
e tetecure	|--||---|
a purueer seslescu nsmis t	|------|--|-----⌫-|---⌫|
en sumeilalauil si s t	--⌫------|-||-|--⌫-⌫|
cumc il ke mut	--|-⌫-|-|--|
trauailliéere	----------|--|
etlassét en m e i ntemanere	-|------|-|-⌫-⌫-⌫--|-----|
dyabl e kiertenaueyt	-----⌫|-|--|-|----|
a nguseet ennuili feyt	-⌫----|-|----|-|---|
ky liapertui sab lememe nt	-|-|----|--⌫---⌫------⌫-|
mestreed mundkibienlentent	-----|--⌫---|-|---||-----|
desadestre	-|-|-----|
s untfrunt e n	-⌫--|----|-⌫|
deusig negarn irdelacro iz	--|---⌫-|----⌫-|-|-|---⌫-|
uout et ferecel escu	---|-|---|--|---|
limaufe enfuir as ceu	-|----|-|-|--⌫--⌫--|
lid esturbe etsamainpren t	-|-⌫------|-|-|---|----⌫|
etl estreintanguis ement	-||-------|------⌫----|
par queii lfistsigrant contrai re	--|---|-⌫|---|-|----|-------⌫-|
poeitlesignefere	----|-|----|---|
est reinantsi forment l e g reue	---⌫------|-|------|-⌫|-⌫---|
lem est re	-|-⌫---⌫-|
la senestremainleue	-|-------|---|---|
kede cele mainse	-|-|---|---|-|
etc elescu cuntrel uipreingne	-|-⌫-|---|-----|-⌫-|-------|
enemisengr es	-----|----⌫-|
uncorenel e lesseenpes	-----|-|-⌫|----|-|--|
sicumil adprisladestr e	-|--|-|-|---|-|-----⌫|
prent etdestreintlasenestre	----|-|--------|-|-------|
ki l seiseignantneface ta nt	|-⌫|--|-------|-|---|--⌫-|
ke ileitparla cr oi z garaun t	-|-|--|--|-|--⌫--⌫|------⌫|
mestr eedmundkemut	-----⌫|-----|-|--|
ensespusesainte marie	-||-----|-----|----|
ke n s onfiz	|-⌫|-⌫-|--|
k ie strei s degloire	-⌫|-⌫-|---⌫|-|-----|
en recordmetet e n memoire	-|-----|--|-|-⌫|------|
c um ihe su morten c roiz s u ffri	-⌫-|---⌫-|---|-|-⌫---|-⌫-⌫---|
etsunsanc purnusespandi	-|--|---|--|--|------|
lemaufedescunfit	-|----|--------|
e tpusagr ant airl e prist	-⌫|--||--⌫--|--|-⌫|----|
aterre labatuleflat i	|----||----|-|----⌫|
ke ta rtl i	-|--⌫-|-⌫|
fuk e se nepa rti	-|-⌫|-|-|--⌫--|
et s epercutdunc mes treedmund	-|-⌫|-----|---|---⌫--|-----|
estchose en	--|----|-|
tutcest mund	--|---|---|
ke diableplusredute	-|-----|---|-----|
sa memo iretute	-|----⌫--|---|
enpeinesque de usuffri	-|-----|--|--⌫|-----|
croiz purnuspendi	----|--|--|----|
uneautreauent u re auint	--|----|-----⌫-⌫-|----|
tantcumlimestre	---|--|-|-----|
escole ti nt	-----|--⌫-|
iloutun senescoler	-|--|-|--|------|
ke prud umfu	-|----⌫-|-|
purcolout che r	--|-||--|---⌫|
au ndesbraz	|-⌫|--|---|
ke rancle etemfleout conf undu	-|-----|-|----|--|----⌫---|
au der ereinilferifestre	-|---⌫----|-|---|-----|
dangu ise mortdeuste s t re	|----⌫--|---|----|-⌫-⌫-⌫-|
keenfermetet antlest re int	-|--------|-⌫--||---⌫--⌫--|
mout lip lei nt	---|-|-⌫---⌫-|
pit e ad de l angui sek ilmeine	---⌫|-|-||-----⌫-||-|----|
mort liseitpr oc heine	---|-|---|--⌫--⌫----|
meru eillieest	----⌫-----|--|
kemor ttantt arde	-|---⌫|---|-⌫---|
me streedmundditfizneez ga rde	--⌫---|-----|--|--||--|--⌫--|
ore pr i lui	--|--⌫|--|
ki sult utpo ut	-|--|-⌫-|--⌫-|
f ereka nt k	-⌫--|--⌫-||
kilta maladie pur mei	|-|-|------|--|--|
translateet garisse tei	--------|-|------|--|
uu sliescoler	--⌫|-|------|
son brasadsei nbe l	--|---|-|---⌫|--⌫|
sanz dol ur etsanzblemure	---|---⌫-|-|---|------|
n eparu tnes su rsaneure	-⌫|----⌫|--|--⌫-------|
cuntrecustume	-----|------|
kantpar tizestsifet u n	---|---⌫--|--|-|--|-⌫|
neou tmespeines	-|--⌫|--|-----|
kilanguio uti a quinz eiurs	-|-----|-⌫-|-⌫|-----⌫|---|
etkiseidesperei tdesauie	-|-|--|--------⌫|-|-|--|
seinz esttutnedoutmie	----|--|--|-|---|--|
su lum sa priere	--⌫--|-|-----|
c u m l iautr eauantm aladeere	-⌫-⌫|-⌫|----⌫|----|-⌫----|--|
chariteq ue ilfist	------|-⌫-|-|---|
sanzgrantdemure legari st	---|----|-----|-|----⌫-|
mestreedmund out granttenslu	-----|-----|--|----|---|-|
diuinitebienuis li	-------|---|--|-|
kanthemdequeikeseitdespute	---|--|-|---|-|---|------|
peine metnemiedute	----|--|-|--|---|
soncompaignonensamatir e	--|---------|-|-|-----⌫|
materconclure e t descumfire	----|-------|-⌫|---------|
deschapersepeine	|-------|-|----|
u ne gloir e uei n ne	-⌫-|-----⌫|---⌫-⌫-|
kar en desputantadu ic toire	--|-|--------|-|-⌫--⌫----|
delitensurtet uei nne gloire	----|-|---|-|---⌫--|-----|
etceodhu militenui tto u t	-|--||--⌫-----|---⌫|--⌫-⌫|
edmundpasneplou t	-----|--|-|----⌫|
purceodel ire une	--|--|-|-⌫--|--|
gr antpos e	--⌫--|---⌫|
cessesuiurneetse rep ose	----|------|-|-|---⌫--|
d eromeadcu mandeme nt	-⌫|---|-|--⌫-------⌫-|
depreche r delacroiz	-|------⌫|-|-|----|
peine et mutla bure	----|-|--|--⌫---|
de uicesetp echez	-|----|-|-⌫----|
n estnul ki loutkenes ament	|--|--|-||--|-|-||----|
ne nu lsi durk en	-|--⌫|-|--|-⌫||
unemerueillieaui nt suuent	--|---------|---⌫-|-----|
ka ntas emblei outde g en t	--⌫-|--⌫----||--|-|-⌫--⌫|
asapredication	|-|----------|
keb eutensfudehors mesun	-|-⌫-|---|-|-----|----|
auintkeenuer tistliei rs	----|-|-----⌫---|-|--⌫-|
deb eutensfudu ntdesespeirs	-|-⌫-|---|-|--⌫-|---------|
si come ncaiadepluuer	-|----⌫--|-|-|-----|
kasermunuint adestur ber	||-----|---||------⌫--|
kantpa rtiruoleientl agent	---|--⌫---|-------|-⌫|---|
m eslimestreskecoenten t	-⌫-|-|------|-|-|-----⌫|
aureagrant deuotiun	---||----|-------|
k epartantne se itle	-⌫|--|---|-|--⌫-|-|
desturbét pa rque i	---------|--⌫|---⌫|
d iables kea lmessu pplan te	-⌫-----|-|-⌫---|--⌫-----⌫-|
atantde uintletens se ri	|---|--⌫---|-|---|--⌫-|
p assa la nueetsenparti	-⌫---|-|--|-||-|----|
pa rq ue i	--⌫|-⌫--⌫|
litens pas ne	-|---|--|-|
lasembleedeceleturbe	|-------|-|---|----|
keprophet eh elyesembla	-|-------⌫|-⌫---|-----|
akid euspoerotria	|-|-⌫--|---|----|
a nuesde cumander	|---|-|-------|
pleisiretasonuo ler	------|-||--|--⌫--|
de pluuieru	-|------||
se npart ir	|-⌫|----⌫-|
kene pur esforsobeir	-|-|---⌫-|---|----|
de mest reedmundde h abindune	-|----⌫-|-----|-|-⌫-------|
tutseiabandune	--|--|-------|
ett ant estdeseinteuie	-|-⌫--|--|-|-----|--|
etsiest oréd e	-|-|---⌫---|-⌫|
humblese t	------|-⌫|
fransetd ebonair e	----|-|-⌫-------⌫|
prest daut ruiprucumes en	----||---⌫--|--|---|-⌫-|
nenepout la	-|-|---|-|
uietatapir	--||-----|
e i nzeiscomenceaes panir	-⌫-⌫----|------||--⌫----|
pa rtrestutelacuntree	--⌫|-------|-|------|
cumf e trosee	--|-⌫-⌫|----|
neputat apiren muntasise	-|--|--⌫---|-|---|----|
e ne nep ut sa franchise	|-|-|-⌫-|-|--------|
humqui est	--|--|--|
sienteché	-|-------|
par t ut le regneestalosé	--|-⌫-|-|----|--|-----|
meint homkeunc	----|--|-|--|
dignedegrant honur	----|-|----|----|
l ec leime	-⌫|-⌫----|
uisesta chescunkelout	--|--||------|-||--|
deso nse rm unk e	-|--⌫|--⌫--⌫-|-⌫|
chescunmot	------|--|
portedepechemedecine	----|-|----|-------|
keen lo urquerbie nsaracine	-|-|--⌫-|---|---⌫||------|
parsaclerg ie etsesuertuz	--|-|-----⌫-|-|--|-----|
desalib ireesteluz	-|-----⌫--|--|---|
chanoine dedigne m est er	-------|-|----|-⌫---⌫-|
kele eglise hauttresorer	-|-|-----|---|-------|
leuuspui s	-|--|---⌫|
te nsesteitdeliue re	--⌫-|-----|------⌫-|
le haut se de	-|---|-|-|
cante rb ire	-----⌫--⌫--|
couinta l c ouentae llire	-----|-⌫|-⌫----||-⌫----|
acu npasture spiritable	---⌫|-----|-⌫---------|
eta l eglisec ouenable	-|||-----|-⌫-------|
telulir eisnetrou ast	--||-|-⌫--|-|----⌫--|
techepurquei lerefusast	----|------|-|-------|
esteitmut traualiez	-----|--|--------|
l i cuuen testmu tdamagi ez	-⌫|-----⌫|--|--⌫|------⌫-|
keauanturenttrei se liz	-|----|----|----⌫|-⌫--|
cassé set despiz	------⌫|-|-----|
mutu r ent tresordespend uz	--|-⌫-⌫--|-----|-------⌫-|
et t enset	-|-⌫--|-|
trau ail perduz	----⌫--|-----|
e t labone gent	-⌫|-|---|---|
etuergunde e etdes cumfit e	-|--------⌫|-|---⌫------⌫|
et plus le greueetplu slequit	-|---|-|----|-|---⌫|-|---|
kau oittreisdespit	|--⌫--|----|-----|
s enfu li coue ntdolent	|-|-|-|----⌫-|-----|
kar huntageet	--|------|-|
meis niesthomke	---|||--|--|-|
sanz ma lice	---|--⌫---|
etsanz men tir ketro uat uice	-|---|---⌫--|-|---⌫--|---|
e mmestreedmundde h abindune	-⌫|-----|-----|-|-⌫-------|
keen c el tune	-|-|-⌫-|---|
de bonei r ee tsanz querele	--⌫-----⌫-⌫|-⌫|---|------|
dekin outnul smale	-|-||--|---⌫|---|
de deu e tdegentestamez	-|--|-⌫|-|---|--|---|
d reitestk ilseitmut	-⌫---|--||-|---|--|
sei n tl e ttréet	---⌫-⌫|-⌫-⌫----|-|
licouentestarreté	-|-----|--|------|
deleglise decanterbire	-||-----|-|---------|
pasturprof itab leel ire	-----|----⌫----⌫-|--⌫--|
grantte nsd esp endu	----|--⌫-|-⌫---⌫---|
surm estr eedmund suntd escend u	--|-⌫----⌫|-----|---|-⌫------⌫|
lapapek o utoisafame	-|---||-⌫-|-|-|---|
kef u en teretsanzblam e	-|-⌫|--⌫--|-|---|----⌫|
luradgrantéli bone ment	--|-|------|-|----⌫---|
sisipro hembien c onsent	-|-|---⌫--|---|-⌫-----|
araisununtleprohem	|-----|--|-|-----|
cistlurrespontcertes	---|--|------|-----|
mutestesde	--|----|-|
prohemenquis	-----|-----|
kantchoisim eiau étet	---|-----|-⌫-|--⌫--|-|
haute d ign ite	----|-⌫---⌫--|
la prengpas ag re	-|----|--||-⌫-|
asetsuf isant	---|---⌫----|
neleserai amun u i uan t	-|-|----||--|-⌫-⌫---⌫|
autre enquerét	----|--------|
respunentcitag rantefrai	--------|--||-⌫---|----|
lames undecanterbire	-|---⌫-|-|---------|
purqueiuo lez de sc um fire	--|---|--⌫--|--⌫--⌫--⌫---|
tantensumest rauailliez	---|-|----|-⌫---------|
huniz despizet rebutez	----|-----|-|------|
gasdient kecunusentnuls	--|----|-|-------|---|
debon eirese set pitus	-----⌫----|-⌫|-|----|
neso efrentia uosgranz franchises	-|--⌫-----|-|--|----|---------|
ke pe rdum tanttraualsetmis es	-|--⌫---|---|------|-|---⌫-|
eluz est esnun s ui purquei	---|---⌫-|--|-⌫-|--|---|
i e o n ai	-⌫-⌫||-|
pas lotrei	--||----|
uousl es erez sachez ne	---|-⌫|-⌫---|-----|-|
duralatraue rseetle toil	---|-|-----⌫--|-|-|---|
plus urs iursenter stantke	----⌫--|---|-----⌫|---|-|
kelim es tres bonamitint	-|-|-⌫--⌫---|--|--|---|
distilli dir aiuus	---|-|-|---⌫-|--|
bien mestr e	---|-----⌫|
aforce couentle	|----|-----|-|
karsi nununaliens	--|-|--|-|-----|
dor guil etueinegl oirepleins	|--⌫---|-|----|--⌫---|-----|
butezilocut antuaillant	----|---||-⌫--|-------|
prelaz suntmisena uant	-----|---|--|-|-⌫---|
cuntre lur francheelec t iun	-----|--|------|----⌫-⌫--|
et cuntrel ur uoleir comm un	-|-----|-⌫-|-----|----⌫-|
uabo isdie	||--⌫----|
e n portera la prelat ie	-⌫|------|-|------⌫-|
kesera pastur	-|---|-----|
de clergiede mursmendifs	-|------|-|---|------|
duncsera lilus p astu rs	---|---|-|--|-⌫----⌫-|
etli angneus mi sa	-|-|------|--⌫||
siest allasa h u n temis e	-|--|----||-⌫-⌫-⌫-|---⌫|
engleterre etsaint eegleise	---------|-|-----⌫|------|
puruntelmalkeestsigran t	--|-|--|--|-|--|-|----⌫|
puroitlireis et	-----|-|---|-|
estre m ellez siil	----|-⌫----|-|-|
adeumeimesomni p o tent	|--|-----|----⌫-⌫-⌫---|
uolezuouses t reachesun	----|---|--⌫-⌫-|------|
d une grant confusiun	|--|----|--------|
k ant deui adsi o rd ené	-⌫--|--||-|-|-⌫--⌫---|
ioint es m ainsper nezlagre	-----⌫-|-⌫---|---⌫--||---|
eiezpiet e deces tegent	---|----⌫|-|---⌫-|---|
ketantuntmi s or	-|---|--|--⌫|-|
tant unt tra uailet	---|--|---⌫---|-|
si p aruussun tordeceu	-|-⌫-|--|---⌫|-|----|
lesgules luraueztre nch é	--|----|--|---|---⌫---⌫-|
n enil dist	-⌫---|---|
il neplaceade	-|-|----||-|
asenté tdun c le uoilliezu ous	-------⌫|---⌫|-|-------|-⌫--|
oi l ceoueutdeu de	--⌫|--|---|--|-|
orepite uusdeit sumundre	--|---|--|---|-------|
uoil l iezlere gneconfundre	----⌫-⌫--|-|--⌫--|--------|
p artel esparole ses tatret	-⌫-|---⌫-|------⌫|--⌫|----|
ke luruol unteiafe t	-|--|---⌫---|||--⌫|
s i sasen t etauk esapeine	-⌫||----⌫|-|---⌫-||----|
iust ise s unq uerdeme ine	----⌫--|-⌫-|-⌫--|----⌫--|
li moinessunt uenu zaly	-|-----|---|----⌫||-|
agenulz crianzmercy	|-----|-----|----|
l uiqueluiagre	-⌫-|--|--|---|
pre ndre cele l aerceuesche	---⌫---|---|-⌫|---------|
piteleprentetlurdesi r	---|-|----|-|--|----⌫|
etci s tensunt	-|--⌫-⌫|-|---|
sacré es tacant erbi re	-----|--⌫||----⌫----⌫-|
agredetuzsanzcuntredire	|--|-|--|---|---------|
l euesquedelund res roger	|------|-|----⌫--|----|
de lsacreril	--⌫|-----|-|
fistlemeste r	---|-|-----⌫|
amdeuz seintamdeuz deui n	-----|----|-----|----⌫|
amdeuz estore ́ delat in	-----|------⌫|-|---⌫-|
etd autrecle regie	-||----|---⌫----|
amdeuzdeh aute etseint euie	-----|-|-⌫---|-|-----⌫|--|
delogikeetdeui nite	-|-----|-|----⌫---|
a mdeuzauniuersit e	-⌫----||---------⌫|
esco legranturent tenu	----⌫-|----|----|---|
dedeusciencesamdeuz l u	-|--|-------|-----|-⌫|
amdeuz enengleterre neez	-----|-|---------|---|
gentnatureletmulire ez	---|------|-|------⌫-|
e nmi quar emme qua nteglise	-⌫|-|----⌫---|---⌫-|-----|
seintechantepa rasise	-----|-----|--⌫|----|
el terzdimaingnebien	-|---|--------|---|
see zenfr anceist an t u aut	---⌫|-|--⌫-----|-⌫--⌫|-⌫--|
ie r usalem ioiuseetbaut	--⌫-⌫-----|-----|-|---|
agrantioiesolempnement	|----|---|-----------|
lireish enrizi fu pr es ent	-|---|-⌫----||-|--⌫--⌫--|
eteuesque s treisparcun te	-|-------⌫|----|--|---⌫-|
iesto i ent e t estre eu scunte	|----⌫-⌫--|-⌫|----|--⌫|----|
barunschiualeres	-----|---------|
sacre spluspleners	-----⌫|---|------|
etmettredei bien	-|-----|--|---|
enbala nce	-|----⌫--|
sanzsig nifianc e	---|---⌫-------⌫|
keenquaremmeestoitsacrez	-|-|-------|-----|-----|
acanterbireen se poseez	|---------|-|-|-----|
en iurdeiuneet	-|--|-|---|-|
et cumorez achiefdetur	-|--|---||----|-|--|
en laduen tfu canonise z	-||-----⌫|-|--------⌫|
agreignur honur dease z	|-------|----|-|---⌫|
celdimaine	--|------|
ke saintee glise	-|-----|-⌫----|
io ie meine	--⌫-|----|
kea lamesseseut chanter	-||-|----|---|------|
l untenset la utred absti nence	|-|---|-||-⌫---||-----⌫----|
estab lie stapenitence	-----⌫-|-⌫-||--------|
luntensetlautreesp iritab le	|-|---|-||----|---⌫------⌫-|
e ssam plebienuisabl e	-⌫----⌫--|---|------⌫|
k eencestmundu re	-⌫|-|---|---|-⌫-|
cummestre edmu nddehabin dune	--|-----|----⌫-|-|-----⌫---|
enbo nesmurske bonsiw tse straces	-|--⌫--|---|-|--|---⌫|--⌫|-----|
c unque repurail sesgraces	-⌫-----⌫-|---|-|--|-----|
e n cestmundestrehonu ré	-⌫|---|---|----|----⌫--|
autreestresa uué	----|----|--⌫---|
sifuedmunden miquaremme	-|-|-----|-|-|-------|
keore es t dh onuret	-|--|--⌫||-⌫---|-|
sacr é chantao palliun s	----⌫-|-----||-------⌫|
canonizéfu a	--------|-||
agra nt honu ren mia duent	|---⌫-|----⌫|-|-|-⌫----|
apostoillekarin nocent	---------|--|--⌫-----|
etduble honur fu siparti	-|----|----|-|-|----|
liunalregneu il	-|-|-|----||-|
li aut reen auin t	-|---⌫-|-|----⌫|
ufunuri en sa enfance	|-|---|-|-|------|
neest pasdro iz keneuus	-|--|--|---⌫-|-|-|--|
uneresunkene uu sdie	--|----|-|-|--⌫|--|
b ienpertiakeaucun seit	-⌫--|---|-|-|----|---|
par de udeloindetutpurueit	--|--⌫|-|---|-|--|------|
keparueueetest uee	-|------|-|---⌫--|
lifucelearceuesc hee	-|-|---|--------⌫--|
karpuslamort libo nrichard	--|--|-|---|-|--⌫|------|
kepre latfude bone	-|---⌫--|-|-|---|
dereinde cele prelatie	-----|-|---|-------|
k e murutenlumbardie	-⌫|----|-|--------|
fur ent eluz ett re is	---⌫--|---|-|-⌫--⌫-|
e t quatr e	-⌫|-----⌫|
k e mnespereit	|-⌫||-------|
b ien r esemblerentlesespus	-⌫--|-⌫----------|--|----|
furent confus	-----|-----|
mes edmund resemblatobie	--|-----|-------|----|
kisenioie tutesa uie	-||-|---|---|-|--|
l aprimerskelurplus elire	-⌫|------|-|--|---|----|
p riursdecant erb ire	-⌫----|-|----⌫---⌫--|
li eues k e	-|----⌫-⌫|
p usdec ic estre	-⌫-|-|-⌫--⌫----|
licha n cel ers k eneputest re	-|---⌫-⌫---⌫--|-⌫|-|--|---⌫-|
blunzmestre	----|-----|
ca sséa hun te et	--⌫---||---⌫-|-|
de scend ipuis	--⌫-----⌫|---|
sur mestree d m und de habi ndu ne	--|-----|-⌫-⌫-⌫--|-|----⌫---⌫-|
k i fude uieespi ritab le	-⌫|-|-|--|----⌫-----⌫-|
dedeuelu et cou enable	-|--|--|-|---⌫-----|
kede la postoile etdelrey	-|-||-⌫-------|-|--|--|
a uoitt ut egraceet o trey	-⌫---|-⌫--⌫|----|-|-⌫---|
lapapelie nueioutli pardun	-|---|-|-⌫------|-|-----|
sa nzd emurelep alliun	--⌫-|-⌫----|-|-⌫-----|
tutfustauanten seint estat	--|---|----|-|----|----|
nepu rquantpu s ke	----⌫-----|--⌫|-|
reddur d esa uie	-----|-⌫|-|--|
dublersepeineetest udie	-----|-|----|-|---⌫---|
tu t le bienfe re	--⌫|-|---|--⌫-|
alr egnecharitablement	-|-⌫---|-------------|
et as se n smut profitable	-|-|--⌫-⌫|--|---------|
cuns eilduneetamiable	----⌫--|---|-|------|
m utsemetke	-⌫-|-|--|-|
amur establ e	---|------⌫|
entreeus seitet amiable	----|--|---|-|------|
enuie ten cun et descord	----|---⌫--|-|------|
het li arceuesque de	--|-|---------|-|
nu meemente ntreh auz	--⌫------|-⌫---|-⌫--|
cunust bienlu r	-----|---|--⌫|
cun teu barun	---⌫-||----|
unt entreeus	--|----|--|
gereucontencun	---||--------|
la gr antcommune delu rgent	-|--⌫--|------|-|--⌫|---|
ke aceussugetteape nt	-||---|------|---⌫-|
s u ntagra ntdest ructiun	-⌫-⌫-||---⌫-|----⌫------|
o cise etdeseriteisun	-⌫---|-|-----------|
kant kem espr e ntle b arnage	---|-|-⌫----⌫-⌫-|-|-⌫-----|
u entapouresa	-⌫--||-----||
parcest eachesu nlarceues ke	--|----⌫|------⌫||-------⌫-|
neiurnenuitn e fineiesk e	-|--|-|---|-⌫|---|----⌫|
p esmette entre lesmaiurs	-⌫-|----|----|--|-----|
kedecentsurlesmeinu rs	-|-----|--|--|-----⌫-|
auintpar a uent ure	----|--|-⌫----⌫--|
duntfu da mageadesmesure	---|-|--⌫---||--------|
ri cha rd li	--⌫---⌫-|-|
mareschaus	---------|
eni rlandeen estursmortaus	-|-⌫-----|-|-----|------|
ke fu descoceiekes	-|-||-----|----|
descendufu li	-------|-|-|
de heritage	-|-------|
a frereprocheinparag e	|----|-------|-----⌫|
gill e bert k e out	----⌫-⌫---|-⌫|--|
n un leclerc	-⌫-|-|----|
renté s cience	-----|-⌫-----|
et lem erc	-|-|-⌫--|
liar ceueskecela ma	-|--⌫------|--|-⌫-|
cle imeetapela	---⌫--|-|----|
