Cy com enceun petit	-|---⌫---|-|----|
Damoiselleieuous purr oie bienaymer	---------|-|---|----⌫--|---|----|
Sire uousp laise	---|---|-⌫----|
Sireieleu ous donreyuol entier s	---|-|-|-⌫--|-----|---⌫------⌫|
Damoisellea	---------||
Dieuu o usco mm ande	---|-⌫-⌫-|--⌫--⌫---|
Orpar ler onsen	-|---⌫---⌫--|-|
ault remaniere	----⌫-|------|
D itezportierouest ladame deciens	-⌫---|------|-|--|-|---|-|----|
lasaleo u en lachambre	-|---|-⌫|-|-|------|
Ale zfaitez mon	---⌫|-----|--|
message a elle	------||---|
Sirec oment luydirey	---|-⌫----|--|----|
Ditezl uyqueiesuiscy	----|-⌫-|--|-|---|-|
Ma dameun hommeuouldroit	-|---|-|----|--------|
par ler o uéuous	---⌫--|-⌫--|---|
Sauezuousqueile st	----|---|--|-|-⌫-|
le cognoissez bi en	-|---------|--⌫-|
Ditez l uyque uend reyt antost	----|-⌫-|--|----⌫--|-⌫-----|
Dieuuou s d ointbo n i our	---|---⌫|-⌫---|--⌫|-⌫--|
Sirebon iour	---|--|---|
a u ezuous	-⌫-⌫-|---|
hostielpou r noustroisc ompa i gnons	------|---⌫|---|----|-⌫----⌫-⌫----|
Sirecombien	---|------|
longuement uuillez u ousde moure r	---------|------|-⌫--|--⌫-----⌫|
Dam e nous neuous	---⌫|---|-|---|
s çau onspasdire	-⌫----⌫--|--|---|
Don quesqueuuillez uo usdon ner p ouruost reta bl e	---⌫---|--|------|--⌫-|---⌫--|-⌫--|----⌫-|--⌫--⌫|
D a m equ e uuillezuous	-⌫-⌫-⌫|--⌫|------|---|
prendre pou r	------|---⌫|
chescun denous	------|-|---|
S irerienmains desixd eniers	-⌫--|---|----|-|--|-⌫-----|
Damenousledon rons uolentiers	---|---|-|---⌫---|---------|
Dieuuoussoi e zbien uen u	---|---|---⌫-⌫|---|---⌫|
Donc qu esdame	----⌫--⌫-|---|
nousenuoier ons nozcho ses ça	---|-------⌫--|--|---⌫--|--|
Sires ie suisbien	----|-|---|---|
contentdeuous	------|-|---|
Damefaitezquen ozch osess oie nt	---|-----|--|-⌫-|--⌫---|-⌫---⌫-|
Sireell es serrontmi sezen	---|---⌫-|------|--⌫--|-|
sauuegarde	---------|
Oreda menousirons	--|--⌫-|---|----|
pou rnozbousoigns	---⌫|--|--------|
Sireuousbeurezau a nt queuousuoisiez	---|---|-----|--⌫-⌫-|--|---|------|
Damede part	---|-|---|
Donquefaitez le uenir	-----|-----|-|----|
Dit e zqueellenousap orteaboire	---⌫-⌫|--|---|---|--⌫---||----|
Sireprennezlehanape uouscome ncerez	---|------|-|-----|---|----⌫-----|
ferrey deuant uous	-----|-----|---|
Sireuousfere zurayement	---|---|----⌫|--------|
Ore siregrant bi enuousfaceil	--|---|----|--⌫-|---|---|-|
Di eu uousco ma nde	--⌫-|---|--⌫--⌫--|
Dieusoi ezuouset	---|---⌫-|---|-|
Aultremanierdelanguage po urparlerpour hostiel	-----|-----|-|-------|--⌫-|-----|---|------|
Dieu garde la belle comp aignie	---|----|-|----|----⌫-----|
Ditez ou ail bonhostel	----|-||-|--|-----|
S ireladeuan t uousausigne dusine	-⌫--|-|-----⌫|---|-|----|-|---|
D ieu soitciens	-⌫--|---|----|
Sire ou damehostel pourcha ritée t	---|-|---|-----|---|---⌫----|-⌫|
Sire entrez depart	---|-----|-|---|
Dameauez uou s debonuin	---|---|---⌫|-|--|--|
uo iresi re	--⌫--|--⌫-|
Et blancuine t u erma ilA	-|----|--|-⌫|-⌫----⌫-||
combienAseszea douszea di sa uuy t a	------||----||-----||--⌫||---⌫||
six a qu atrea	--||--⌫---||
Et d efoingetdea uoine	-|-⌫|----|-|-|-⌫----|
etdes aultre scho se sque	-|--|------⌫|---⌫--⌫|--|
n ousapartient	-⌫--|--------|
Orsireu ousa ue rezassés	-|---|-⌫--|-⌫--⌫--|-----|
Dameco mentuendez	---|--⌫---|-----|
uousdela seru o ise	---|-|-|----⌫-⌫--|
Sir elagalonatroismailles	---⌫|-|----||----|------|
Damefaitezatraierla	---|-----|------|-|
Damefa itez	---|--⌫---|
emplerle hanap	-----|-|----|
Etp o rtez nous des ta sses etgobléspour	-|-⌫-⌫---|---|--|--⌫---|-|------|---|
Damefai tez noussoupe r	---|---⌫--|---|-----⌫|
Damefaitez	---|-----|
u eni rdelauiande	-⌫---⌫|-|-|-----|
seig n eursfait ezb onne chere	----⌫-⌫---|----⌫-|-⌫---|----|
Dame faiteznou su enirdu fourma ge	---|-----|---⌫|-⌫---|-|------⌫-|
Damefaite zostre	---|-----⌫|----|
Dame uenezconpter	---|----|------|
Dam e combienest u enu ci ens	---⌫|------|--|-⌫--|--⌫--|
Sirdecerteintaunt	--|-|------|----|
Dameprennezce	---|------|-|
que raisonest	--|-----|--|
ilpour toutp aié	-|---|---|-⌫---|
D amesontnoslis	-⌫--|---|--|--|
Oralonsdorm irdonques	-|----|----⌫-|------|
Dieusoitciens	---|---|----|
uou ssoiezbien uenu	---⌫|----|---|---|
Q uedem ande z	-⌫-|---⌫----⌫|
Dame pour rons nousestre logezc iens	---|----⌫---|---|----|----|-⌫---|
Oysir euou saurez	-|---⌫|---⌫|----|
i c y bonho stel et toutes	-⌫-⌫|--|--⌫---|-|-----|
choses queauous	-----|--||---|
partiennent	----------|
Dit ezcombi e nde scheualx	---⌫-|-----⌫-⌫|--⌫|------|
Dam eno us	---⌫|--⌫-|
auo nssixch eualx	---⌫-|--|--⌫----|
Biensireuousser rezbien	---|---|---|---⌫--|---|
Or moustr ez nousnost rechambre	-|------⌫-|---|----⌫-|------|
ual tonougarson	---⌫--|-|-----|
uaouesqueeulx	-|------|---|
Orcomentuo usplaistil	-|-----|--⌫-|-----|-|
Dame nou ssumez	---|---⌫|----|
bienpai ez	---|---⌫-|
Sireuous nef au ldrez ri en	---|---|-|-⌫--⌫----|--⌫-|
Moustreznousdo n q u es de uostreseruoise	-------|---|--⌫-⌫-⌫-⌫-|-|-----|-------|
Da meco ment uendezuousde cesteicy	--⌫-|--⌫---|-----|---|-|----|--|
Sir e legalon pour troismaille s	---⌫|-|----|---|----|------⌫|
Da mehuchezlecler cdeciens	--⌫-|-----|-|----⌫|-|----|
Meueezcy sire	-|---|-|---|
Es tuclercdeciens m on	-|-|----|-|----|-⌫-|
uoiresire mesq ue	----|---|--|-⌫-|
ilu ousplai s	-|-⌫--|----⌫|
Saconptermon amyetoste	-|------|--|--|-|---|
Combien estue nu	------|--|--⌫-|
Sire ily aen	---|-|||-|
meilleurquatre	-------|-----|
uuyt deniersqu e so n tdousze e ten	---|------|--⌫|--⌫-⌫|-----|-⌫|-|
cuissinseszedenier s que	------|----|------⌫|--|
s ontde uxsoulds etquatredenier se t e n	-⌫--|--⌫-|-----|-|-----|------⌫|-⌫|-⌫|
fruitq uatredeniersqu eson tdeuxso u lds	----|-⌫----|------|--⌫|---⌫|---|--⌫-⌫--|
etuuyt deni ers	-|---|----⌫--|
etenfourmagedeux denierset en b elle	-|-|-------|---|------|-|-|-⌫---|
c h ere quatredeniers quesont troissoul dset	-⌫-⌫--|-----|------|--|---|----|----⌫-|-|
deuxdeniers	---|------|
Et combien ail	-|------||-|
enf oigneeten auoine	-|-⌫----|-|-|-----|
Et qu eauras pourles	-|--⌫|----|---|--|
litzetpou r la lit tiere	---|-|---⌫|-|---⌫----|
Sirerienpo u rles	---|---|--⌫-⌫|--|
litzmaispourlalitierequa tre deni ersquesont	---|---|---|-|------|---⌫--|----⌫--|--|---|
trois souldse ts ixdenier s	----|-----|-⌫|-⌫-|------⌫|
O r clercpr en	-⌫|----|--⌫-|
rais onest	----⌫-|--|
Or il est to ut qui t e maintenant	-|-|--|--⌫-|---⌫-⌫|---------|
uoir sirecomeien ten	---|---|---||--⌫--|
Da mesontnozl itz	--⌫-|---|--|-⌫--|
Oysirei ls sontdessusento ur eulx	-|---|-⌫-|---|-----|----⌫-|---|
Dameueezquenous aions	---|---|--|---|----|
bonslinc ialz	---|----⌫---|
etq ue n oz cheual xsoient	-|-⌫-|-⌫-|------⌫|-----|
bieneise z	---|----⌫|
Cleirdo nnezno usa boire	----|--⌫---|--⌫-||----|
Oralo nsnouscouchier	-|---⌫-|---|-------|
Dieuuous doint bonnenuytetbon re po seet	---|---|----|----|---|-|--|--⌫--⌫-|-|
bel litet couchi ezdeh ors	--|--|-|------⌫-|---⌫--|
A ultr emanier d elanguag epour saluerlesbonsgens	-⌫----⌫|-----|-⌫|-------⌫|---|-----|--|---|---|
Sire uous soiezle	---|---|----|-|
bien uen u	---|---⌫|
Dieuuou sdointbo nnenuyt	---|---⌫|----|--⌫--|---|
Bon nenuytuo us	---⌫-|---|--⌫-|
S ireuoussoie z	-⌫--|---|----⌫|
bien encontre ́	---|--------⌫|
Sir ecoment le faitez uous	---⌫|-----|-|-----|---|
Sir eq uelles nou uellesauez uous	---⌫|-⌫-----|---⌫-----|---|---|
Sirenous neo uysmez	---|---|-|-⌫-----|
Sirequantfus teza le hostel et	---|----|---⌫--||-|-----|-|
fo ntilse nu ozpartiez	--⌫-|--|-⌫|-⌫-|------|
Dieu soitouequeu ous	---|---|-----|-⌫--|
Sire uouss oiezlebienu enu	---|---|-⌫---|-|---|-⌫--|
D ameoue stleseigneurde	-⌫--|-|-⌫-|-|-------|-|
aléhorsde la uillem a isil uendr atantostse	---|---|-|-|----|-⌫-⌫-|-|-----⌫|------|-|
Di te zmoys ir e uost re bousoigne	--⌫--⌫|--|-⌫--⌫|----⌫-|--------|
Dame ieuouldroyeparler a	---|-|--------|-----||
urayement il	--------|-|
Dame uendra	---|-----|
ilpoint tost	-|----|---|
Parmaalm esireie	--|-|---⌫|---|-|
Sir editezmoyuostre m es sag e	---⌫|----|--|-----|-⌫--⌫---⌫|
Nemy d ameiele	---|-⌫--|-|-|
luyuouldr oiediremoy me sm es	--|------⌫--|---|--|--⌫--⌫-|
Sire uous beuerez s il	---|---|------||-|
uous plais t	---|-----⌫|
Nemydamequant a pre sent	---|---|----||---⌫---|
Sire iedireyuost remessa ige	---|-|----|----⌫-|-----⌫--|
Dieu leuous	---|-|---|
Sir editezmoy	---⌫|----|--|
Dame ie suis appelle ́ R	---|-|---|-------⌫||
Etqueestuostre	-|--|--|-----|
Sireenbonneheure	---|-|----|----|
Da mei euo usp ria	--⌫-|-⌫|--⌫-|-⌫-||
dire mon bousoigneauostrem ais tre	---|--|--------||-----|-⌫---⌫--|
Sireielefer r ey uoulentier s	---|-|-|---⌫-⌫-|----------⌫|
S eigneu ruousaitensagarde	-⌫------⌫|---|--|-|-|----|
Dieuuousdointboniour	---|---|----|--|---|
S ir e boniour aiezuousetbonne	-⌫--⌫|--|---|---|---|-|----|
matinuous d oint	----|---|-⌫---|
Sire bonma ti npu issezuousauoir	---|--|--⌫--⌫|--⌫----|---|----|
Seigne ur uousgar d e	------⌫-|---|---⌫-⌫|
Dieuuo usdoi ntbonne	---|--⌫-|---⌫-|----|
Sire uou s soiezlebien	---|---⌫|----|-|---|
Damecomentl e faitez uou s	---|-----|-⌫|-----|---⌫|
Biensirelouésoit	---|---|----|---|
Da me auezuou sbonne	--⌫-|---|---⌫|----|
Oy sir elauo stre	-|---⌫|-|--⌫---|
ade quoy maislo nguementainsi	|-|---|---|--⌫-------|----|
uoust i egne	---|-⌫-⌫---|
S irequelle snouuellesauez uous	-⌫--|------⌫|--------|---|---|
D amemeruailleuses	-⌫--|------------|
S ire ou estlero y	-⌫--|-|--|-|--⌫|
e t l aroignemaintenant	-⌫|-⌫|-----|---------|
D ieu dame	-⌫--|---|
Dieulesçacheie nesçay	---|-|------|-|-|----|
Sire outiendron ti l s	---|-|--------⌫|-⌫-⌫|
urai ementdameal m eneene	----⌫----|---|--⌫-⌫|--|-|
sçait encore	-----|-----|
Si re quant	--⌫-|----|
uenistez d e	-------|-⌫|
Etcome nt f o n ttoutzuozamyset a myes	-|----⌫-|-⌫-⌫-⌫|----|--|---|-|-⌫---|
Sireilssontenbonne	---|--|---|-|----|
Sirequ elm arch e ́ ailde bléla	---|--⌫-|-⌫----⌫-⌫||-|-|---|-|
Damefourmenta	---|-------||
uuyt so uld s	---|--⌫---⌫|
lequarti er	-|------⌫-|
Et orge lemeil leuraquatresoulds	-|---|-|----⌫---||-----|-----|
le quartier ettroisdenie rsetsegleuau lt at ant	-|-------|-|----|-----⌫-|-|----|---⌫-|--⌫--|
B en oitsoi t	-⌫--⌫--|---⌫|
Dieucest bonmarche ́	---||--|--|------⌫|
Et poisetauoineuaulent	-|---|-|-----|------|
Si recombien longuemen td emourerezuou syci	--⌫-|------|---------⌫|-⌫--------|---⌫|--|
Dameiusquesieayeschiue ́mes bousoignes	---|------|-|-|-------⌫|--|---------|
Sir equant	---⌫|----|
ire z uou s	---⌫|---⌫|
uous empri fa itezmonme ssaige	---|----|--⌫---|--|--⌫-----|
Siferreyie dameu raye m ent	-|-----|-|---|-⌫----⌫-⌫--|
Ditezle moy	----|-|--|
Ieuousemp risaluezmo ytout z mes amysettou tes	-|---|---⌫-|-----|--⌫|----⌫|--|---|-|---⌫--|
me samye s	--⌫|----⌫|
Sireuoulezuo us ri en que	---|-----|--⌫-|--⌫-|--|
iep uissefaire	-|-⌫----|----|
Oydame ceest	-|---|-|--|
gr and euff rela	--⌫--|----⌫-|-|
uostremercyp ou rmoy	-----|----|-⌫--⌫|--|
Sireuo usplaistilaboire	---|--⌫-|-----|-||----|
il serroit guaste ́	-|------|------⌫|
Sire iele uous	---|-|-|---|
endoner eyuolen tierset de bon	-|-----⌫-|-----⌫----|-|-|--|
D ameiele sçaybien	-⌫--|-|-|----|---|
D ieu leuousrende	-⌫--|-|---|----|
Oys irepar ma foy	-|-⌫--|--|-|--|
quemi ene stu oustrouuereztoutprest	--|--⌫-|-⌫-|-⌫--|--------|---|----|
Damegrandmercy c eestsanz	---|----|----|-⌫|--|---|
Nemysireuraiement	---|---|--------|
ieuousay trouuédroit na turel	-|---|-|------|----|--⌫----|
Di euxamendelé faultes	--⌫--|-----|--|------|
Dieuuousaiten sagarde	---|---|--|-|-|----|
Aultremanierede	-----|------|-|
languagepou r ach etreetuendre	-------|---⌫|---⌫---|-|-----|
Dite zacombien	----⌫||------|
D ite zcome ntl ea uereyi e	-⌫---⌫|----⌫-|-⌫|-⌫----|-⌫|
Leuuille zuousauoir	-|------⌫|---|----|
uoiresi reditezaunmot	----|--⌫-|----||-|--|
Sireuousmedonrezta ntpour ce	---|---|-|-----|--⌫-|---|-|
Ne mysiresa uue uostregrace ceesttrop	--⌫-|---|--⌫--|-----|----|-|--|---|
Et q ue med onrezuou s d onques	-|-⌫-|-|-⌫----|---⌫|-⌫-----|
Ditez coment	----|-----|
le medon rez uou s a droit	-|-|---⌫--|---⌫||----|
uousleaue rez abonmarche ́	---|-|---⌫--||--|------⌫|
Di tezaunmotet netariez plus	--⌫--||-|--|-|-|-----|---|
Parm onseurementsire uousnele a ue rezrienmain s	--|-⌫-|--------|---|---|-|-|-⌫--⌫--|---|----⌫|
Sire il neuaul t pasleargent	---|-|-|----⌫|--|-|-----|
Sir co mentleuoillezuo us	--|--⌫---|-|------|--⌫-|
Leauereyie pour tantd argentz	-|-----|-|---|---||------|
Nemy si reilmeco uste pl us	---|--⌫-|-|-|--⌫---|--⌫-|
Ditesenbonefoiecoment	----|-|---|---|-----|
S iredir eyie	-⌫--|---⌫-|-|
uoirepou r	----|---⌫|
Ia queuous me	--⌫--|---|-|
d onrezt ant	-⌫----|-⌫--|
Sirea un mot prennez ou	---||-|--|------|-|
ur aiement uousneauerezpl us pou r	--⌫------|---|-|-----|--⌫-|---⌫|
Pre nnez uostreargen tsiuou s uuillez	---⌫---|-----|-----⌫|-|---⌫|------|
Ditez n auez uo uspointde meill e ur	----||---|--⌫-|----|-|-----⌫-⌫-|
Marie sireceesttres bon	----|---|-|--|----⌫--|
Etencoreieuou s trouu ereytresm eilleur et tresbo nne sdenrees	-|-----|-|---⌫|-----⌫---|-----⌫------|-|------⌫---⌫|------|
Et acombi en	-||-----⌫-|
Sireil uaut centz solides	---|-|---|----|------|
Certezil esttropechere	-----|-|--|----|----|
Sireueésia y tr esbonn e	---|----||-⌫|--⌫------⌫|
chosepouruo us	----|---|--⌫-|
Ditezuu ill ez uou s ac he ter ce la	----|--⌫---⌫-|---⌫|--⌫--⌫--|--⌫-|
Oyda me ce	-|--⌫-|-|
est tresbon pour nou s	--|------|---|---⌫|
D it ezcomentleuu illez	-⌫--⌫-|-----|-|--⌫----|
uousdonner	---|-----|
Sir e uousm e don neztantpourcecy	---⌫|---|-⌫|---⌫--|---|---|---|
Ditezque estladerrainmot	----|--|--|-|------|--|
Dameaun motuous n el aue rez mains	---||-|--|---|-⌫||---⌫--|----|
Certes uousleameztrop chieremen tcar	-----|---|-|---|---|---------⌫|--|
tant d argent	---||-----|
Si re ieuoustr ouuereym eil leur	--⌫-|-|---|--⌫------|-⌫---⌫---|
si uou suuillez	-|---⌫|------|
Ormous tr ez moydonques	-|----⌫--⌫-|--|------|
ueés c y bonnechose	----|-⌫|----|----|
Ordequel pri s est cestcy	-|-|---|---⌫|--|---|-|
Sireuuillezuousa unmot	---|------|---||-|--|
uou s medonrezta ntpour	---⌫|-|-----|--⌫-|---|
cest cy seuousl	---|-|-|---||
N emym aisieuousd onre ytantpour	-⌫--|-⌫--|-|---|-⌫----⌫|---|---|
celaet tenezunden ier en	---|-|----|-|---⌫--|-|
neuou sd onreypl us	-|---⌫|-⌫----|--⌫-|
Orleprenn ezdonquesen	-|-|-----⌫-|------|-|
bon estrein	--|------|
foyuous auez m eilleurmarchéquen u l	--|---|---|-⌫------|------|--|-⌫-⌫|
Etp ourcefaitez nousue niraboireqarpa r	-|-⌫--|-|-----|---|--⌫--||----|--|--⌫|
mafo yuouses tez	-|--⌫|---|--⌫--|
digned ele	----|-⌫|-|
D ieuqu euo usg arde	-⌫--|--⌫|--⌫-|-⌫---|
Encoreuna ultremaniere de languag e poursaluer le s	-----|-|-⌫----|------|-|-------⌫|---|-----|--⌫|
bonnesgensdedensou dehorsouenquellieu	-----|---|-----|-|-----|-|-|---|---|
qilssoi ent	|--|---⌫--|
sçachiez aumatinbonioura remonté	--------|-|----|--|---||-------|
bon uesprese tasoir bonnenuyt sicome ils	--|------|-⌫||---|----|---|-----|-||
M on seigneur	-⌫-|-------|
Die uu ousdointb oniour	---⌫|-⌫--|----|-⌫-|---|
bienu enu mon amy	---|-⌫--|--|--|
Do ntuien tumon amy	--⌫-|---|-|--|--|
Donti euien monseigneur	---|-⌫|---|--|-------|
Mar ieieu iende	---⌫-|-|-⌫--|-|
Paris laou	----|-|-|
uousmauez enuoié	---||---|------|
E t quelles nouuelles iete empr i	-⌫|------|--------|-|-|----⌫|
uraiementien ayou y nulles	--------|-||-|--⌫|-----|
qu e bonnes	--⌫|-----|
Leroy comentlefait	-|--|-----|-|---|
Dieu sirela	---|---|-|
Dieutresbien	---|-------|
Etla roigne	-|-|-----|
Ma rie elleestenbonpoint	--⌫--|---|--|-|--|----|
co me i ayouy	--⌫-||-|--|
Etouuas tumaintenan t	-|-|--|-|---------⌫|
D ieumaitsire ie	-⌫--||--|---|-|
uoisa mamaison	---||-|-----|
uuil stualer anuyt	----⌫|-|---|----|
Seieuuilal eranuyt	-|-|---|--⌫-|----|
Ie croyquetu	-|---|--|-|
Iasque sir enon fois sa uue	-----|---⌫|--|---|--⌫--|
uostregrace	-----|----|
Maisqi lne	---||-⌫|-|
uousdes plaisesire	---|---⌫-----|---|
iesong e en uozparolespource queiene	-|----⌫|-|--|------|---|-|--|-|-|
p uispa sbienou yr	-⌫--|--⌫|---|--⌫-|
Faisparsain t	---|--|----⌫|
Iele tepardonne	-|-|-|-------|
Donquesua t e	------|-|-⌫|
Die u te cond u y e	---⌫|-|----⌫-⌫-⌫|
Orpours aluer	-|---|-⌫----|
les bonnesgens	--|-----|---|
D ieuuou s doint boni our m ad ame	-⌫--|---⌫|----|--|-⌫--|-⌫|-⌫--|
Dieuuo usdointbonuespre s sire	---|--⌫-|----|--|------⌫|---|
Dieu uousdointbonne	---|---|----|----|
nuytmadamoiselle	---|-|---------|
uoussoi ezlebien uenusire	---|---⌫-|-|---|---|---|
Da moise lle	--⌫-----⌫--|
D ie u uousdointboniour e t	-⌫--⌫|---|----|--|---|-⌫|
bonne estre ine	----|-----⌫--|
Bon iouraiez u oussiree tbonnesantee	--|---|---|-⌫--|---|-⌫|----|-----|
D ameou estleseigneur	-⌫--|-|--|-|-------|
Parq uoydemandezuoussire	----⌫--|-------|---|---|
Marie ienele demande	----|-|-|-|------|
pourn ul mal	---|-⌫-|--|
maisieparlass euolenter s aluy	---|-|-------⌫|--------⌫||--|
uraie me nt il estaléhorsde la	-----⌫--⌫-|-|--|---|---|-|-|
Par m a almesire o uy	--|-⌫|---|---|-⌫-|
croyqilreuen dra	---||-|-----⌫--|
t an t ost	-⌫--⌫-⌫--|
Ie nesçay po u rcertainmai s iecroyquesi	-|-|----|--⌫-⌫|------|---⌫|-|---|--|-|
uui llezuouschosequ e ie luyen	---⌫---|---|----|--⌫|-|--|-|
puissed i re	-----|-⌫-⌫-|
uraieme ntieparlass euole n ters a	-------⌫-|-|-------⌫|----⌫-⌫---||
uraiementsire	--------|---|
ilneyestpasSçau ez uoussil uendra	-|-||--|--|-----⌫-|---||-|-----|
Nemy si reu raiement	---|--⌫-|-⌫-------|
Ditezmoyuostre	----|--|-----|
messageAquoy	------||---|
le uousdireyie	-|---|----|-|
I lne uouspro f ruitrien	-⌫|-|---|---⌫-⌫---|---|
fault parl er aluydebouche	----|----⌫-||--|-|-----|
uuill ez uous b o iredesonuin	-----⌫-|---|-⌫-⌫--|-|--|--|
Ne myd ame grantmercyquantapres ent	--⌫-|-⌫--|----|----|----||----⌫--|
Ieuouspryequeuousb eu ez d uuin	-|---|---|--|---|-⌫--⌫-|-⌫|--|
uraiement leuostremercyien aypointmest i e r	--------|-|-----|----|-||-|----|----⌫-⌫-⌫|
Par ma foys i reuous le eussieztres uolontiers	--|-|--|-⌫-⌫-|---|-|------|----⌫---------|
Ettoutziour sserrey	-|---------⌫|-----|
auostrecomandement	|-----|----------|
Damela uostretreschiermercyet	---|-|-----|--------|----|-|
ieneletr ouu epasci ensie uous emprique	-|-|-|--⌫---⌫|--|--⌫--|-|---|----|--|
uousluy diez	---|--|---|
mon messa ige	--|-----⌫--|
Sireseferey ie de bo ncue r	---|-|----|-|-|--⌫|---⌫|
Mesnonuousdesp lai seie n euouscognoizpoint	--|--|---|----⌫---⌫-|-|-⌫|---|------|----|
Etpources i lu ousplaistdi tezmoy	-|---|-||-⌫|-⌫--|-----|--⌫--|--|
uost reno m	----⌫-|--⌫|
I aquesdame nonfereyiemais a	-⌫----|---|--|----|-|---||
Di euuou scoma nde	--⌫-|---⌫|----⌫--|
Dieusoiezuouset cætera	---|----|---|-|-----|
Encoreenaultr ema nierea par leraus bonnes gens	-----|-|-----⌫|--⌫----||---⌫--|--|-----|---|
Dieuuousdointbo n	---|---|----|--⌫|
Sirebonuesp res uousdoint	---|--|----⌫--|---|----|
Die uxetbonnei oie	---⌫-|-|----|-⌫--|
Dieuuousdointbonmati n	---|---|----|--|----⌫|
Sir e etauous aussi	---⌫|-||---|----|
Dieu uousdo intbon ne auenture	---|---|--⌫--|---⌫-|-------|
Dieuuo us gar d edemal	---|--⌫-|---⌫-⌫|-|--|
Dameco mentfaitez	---|--⌫---|-----|
Biensire auostr e	---|---||-----⌫|
co mandeme nt	--⌫-------⌫-|
Enbonne foycomentuousest	-|----|--|-----|---|--|
D ieu mer ciebiensi requebienai ez uous	-⌫--|---⌫--|---|--⌫-|--|---|--⌫-|---|
Dameest ez uousen bonpointet bonne	---|---⌫-|---|-|--|----|-|----|
Iaquessireentre deu x	-----|---|----|---⌫|
Dame uuillezuous rien	---|------|---|---|
que iepuisse	--|-|-----|
Ilnade quoy	-|||-|---|
da memaissi l	--⌫-|---||-⌫|
uo us fau ltriendit ezhardim ent	--⌫-|---⌫-|---|---⌫-|------⌫--|
Dameuouss oiezbien	---|---|-⌫---|---|
ur aiementsireuoussoiez bi enencon tré	--⌫------|---|---|----|--⌫-|-----⌫---|
Et quell es nouuellessire	-|-----⌫-|--------|---|
ur aiem entdametresmeruai lleuses	--⌫----⌫--|---|----------⌫------|
Et quellesi eu ousem prie	-|------|-⌫|-⌫--|--⌫---|
Dieu da m e	---|--⌫-⌫|
ouydir e que	--|---⌫|--|
Anglit er re estosté	------⌫--⌫-|--|----|
Quoydesi oie	---|----⌫--|
Parmaa lmeuoir	--|-|-⌫--|---|
Anglois nont ilspointderoy donques	------||--|--|----|-|--|------|
Etqueceluy quef ustducde	-|--|----|--|-⌫--|--|-|
Lancast req ueestne p ueuacelluy que	-------⌫-|-⌫-|--|--⌫-⌫--||-----|--|
est osté uoire	--|----|----|
uoire urai ement	----|----⌫----|
Etl eroygne q ueferaelle	-|-⌫|-----|-⌫-|---|---|
Dieud ameienesçay	---|-⌫--|-|-|----|
Ie naypases té	-||-|--|--⌫--|
enconce ille	-|-----⌫---|
Et le ro yd	-|-|--⌫||
Ang li terreou fustil	---⌫--⌫----|-|---|-|
W estmynstre	-⌫---------|
Fustez uous	-----|---|
la donques	-|------|
I l y auoit ta n tdepre sse	-⌫||----|--⌫-⌫|-|---⌫--|
queparunpo u q ue	--|--|-|--⌫|-⌫-|
n emouruqua rapainei ees chapey a	-⌫|----|---⌫||----|-⌫|--⌫-----||
Et ouserra ila	-|-|----|-||
Par ma foy iene sç aymaisl	--|-|--|-|-|---⌫-|---||
end itqil serraen	-|-⌫-||-|----|-|
Dieula uantdefaire bien	---||-⌫---|-|----|---|
Quantueni stezuous del	----|----⌫---|---|-||
oste lA ilgr and piece q ueuousn efustez	----⌫||-|--⌫--|----|-⌫-|---|-⌫|-----|
Iaques n emyilnaguieres	-----|-⌫--|-|||------|
piecequ eie fu	----|--⌫|-|-|
Ia ques oy	--⌫---|-|
I efu piecea	-⌫|-|-----|
Eten aillabonn es esco les	-|-||-|-|----⌫-|----⌫--|
ParmafoyoyCestunegrandeun i uersité	--|-|--|-||--|--|-----|--⌫-⌫-------|
