en un iorgedepresseizde	-|-|--|-|---------|-|
i l uoltsoid es torn eirdela fe mme maiscant	-⌫|---|--|-⌫--⌫----⌫--|-|-|--⌫--|---|---|
i l nepou t sidot a t	-⌫|-|---⌫|-|---⌫-⌫|
en son co rage.	-|--|--⌫---||
i lpla istesgardeirqueile e tcom grandebata ilhef ut	-⌫|---⌫--|--------|-----|-⌫|--|-----|----⌫---|-⌫-|
el piz decelui.	-|--|-|----||
quarco m batoient entre	---|--⌫-⌫-------|----|
soi lahumili teiz de conuersation etlapie teiz	--|-|------⌫---|-|-----------|-|-|---⌫---|
dela mere.	-|-|---||
cremorsparkeilne pre sumeroit	------|--|-|-|-|---⌫-------|
leschosesnie nt	--|-----|---⌫-|
dolorskei lne	-----|-|-⌫|-|
soccu r roit a	-----⌫-⌫---||
la f e m meueueie.	-|-⌫-⌫-⌫-|-----||
lapl usgrandegloirededeusi uenkitla	-|--⌫-|-----|-----|-|--|-|-----|-|
piete izi cel pizd e uertut .	-----⌫-|-⌫--|--|-⌫|-----||
liqueizpizpor icefu tforz qua r	-|----|--|--|--|--⌫|---|---⌫|
ilfutue ncuz .	-|--|--⌫---||
quarn e fus t	---|-⌫|---⌫|
pas pizdeuert utse pietei z ne	--|--|-|----⌫-|-|------⌫|-|
leust uencut.	|---|-----||
giere s descendi tlesgenoz flecki tles ma i ns al	-----⌫|--------⌫|--|----|------⌫|--|--⌫-⌫-|-|
cie l tenditla chalcette	---⌫|-----|-|--------|
trastfo rsd eson sainsi	----|--⌫-|-⌫|--|---|-|
lamistsorlopiz de lenfantki	-|---|--|-|--|-||-----|-|
astoitestin z.	-----|-----⌫||
etquantilo r atlianr me	-|----|-|-⌫-⌫-|-|---⌫-|
al corsr epairat .	-|---|-⌫------||
lo q u eililpristpar l a mainsilo	-|-⌫-⌫--|-|----|--|-⌫|---|-|-|
renditalamereplorantet	-----||-|---|------|-|
sipar fistlauoiecui ilauo it comenci e	-|---⌫---|-|---|--|-|---⌫-|-------⌫|
ke d isonsnosceestre	-|-⌫----|--|-|----|
lauertutdesigrantmiracl efistl a	-|-----|-|-|----|------⌫|---|-⌫|
limeriteshonore i tu laproieredeli bertin	-|------|------⌫-⌫||-|------|-|--⌫-----|
enlade monstrancedes imeruilhous	-|-|--⌫---------|-|-⌫|---------|
signe auo c	----|---⌫|
la foidde lafem mesoi assemblat	-|---|-|-|---⌫-|--|--------|
laue rt uz delun	-|--⌫--⌫-|-||-|
etde laltr e	-|-||----⌫|
et poruecaesmege kel i b ertinspotc ezchoses	-|-----|----|-|-|-⌫-⌫-⌫-----|--|-⌫-|-----|
carilauoitaprisplu s	--|-|----|----|---⌫|
auoi rfiancedela	----⌫|-----|-|-|
uer tutsonmaistrekede	---⌫--|--|------|-|-|
quar cuichalc etteilmistsorlo pizd el	---|--|-----⌫---|-|---|--|-|--|-⌫-|
co rseletestintse nz merueilheil quidatkelianrme	--⌫-----|-----|--⌫-|--------|-|-----|-|-|----|
deceluiprenderoitcekele pr oieuet .	-|----|---------|-||--|--⌫-----||
carheluseus es s imentportanzlomantelde son	--|-------|--⌫-⌫----|------|-|-----|-|--|
maistreet uenanza liordainferi t une	------|-|-----|-⌫|------|----⌫|--|
n edepartitpasl esa igues.	-⌫|-------|--|-⌫-|-⌫----||
mais cant ilh astiuement	---|---|-|-⌫---------|
dis oituestmeismesorli	---⌫--||--|------|-|-|
deus helyas	---|-----|
loflu etd elm antelsonmaistresi	-|---⌫-|-⌫-|-⌫----|--|------|-|
fis t uo ie e ntre lesaigues	---⌫|--⌫-|-⌫---|--|-----|
perzoistupieres c om bien ualt	------|-|-----|-⌫-|---|---|
lahumiliteizesuertuzkisont afai re	-|---------|-|-----|-|---||---⌫-|
dunkespotil demo st reirlauertut d el	-----|--|-|----⌫--⌫---|-|-----|-⌫-|
ma istr equant	--⌫----⌫|----|
il remenata	-|------||
sa memo irelonomde son	-|----⌫--|-|--|-|--|
qua rpa rtantk e ilrepairata humi liteitdessozson	---⌫|--⌫|---|-⌫|-|-------||----⌫-----|-----|--|
maistre sif istilmeismes ce	------|-|-⌫--|-|------|-|
ke sesmaistre sauoit fait.	-|--|-------⌫|----|---||
cle irech oseest ceke	---⌫--|--⌫--|--|-|-|
mais g e teproi este ncor	---|-⌫|-|---|--|-⌫---|
al cunechos e	--⌫---|----⌫|
c ui t u racontesdeluiano stre	-⌫-|-⌫|-------|-|--||--⌫---|
edificati on	---------⌫-|
estsenzd otancemaiss iestki l ou uilhetsiure	--|---|-⌫-----|---|-⌫|--|-|-⌫|-⌫-----|----|
quar iecroil a uertut d e	---|-|---|-⌫|-----|-⌫|
patienceestreplus grand edes signes etdesmiracles	-------|----|---|-----⌫|--|-----|-|--|-------|
quaren une n u itcilki	---|-|--|-⌫-⌫-|--|-|
apresleissuedelh onorablehonoreit teno it	----||-----|-||-⌫-------|-------|----⌫-|
logouernementde l	-|----------|-||
abie il arst de griefco roce mentencontrecest	---|-|---|-|----|--⌫----⌫---|-------|---|
meismehonorablelibertin ensi keillo f eritd e	-----|--------|-------|---|-|-|-|-⌫---|-⌫|
sesmains .	--|----||
et partant	-|--|---|
keilne tr ouat	-|-|-|--⌫---|
pas l auergedo nt il poist	--|-⌫|----|--⌫-|-|----|
pristunescame l dedessozlespie zse	----|-|------⌫|-|-----|--|---⌫|-|
liferi tso nchief et	-|----⌫|--⌫|----|-|
safaceet siren dittotlo ui aire d e	-|---|-|-|---⌫--|--|-|--⌫---|-⌫|
celuienfleitet sanglent	----|------|-|-------|
liq uei z cantilfutferuzforment a	-|-⌫---⌫|---|-|--|----|------||
son pr oprelit s enralattaisanz	--|--⌫---|--||-|----|------|
maisenlalt reiorastoitporla ut iliteit	---|-||---⌫-|--|-----|--|-|--⌫------|
del mos tier uns	--|---⌫---|--|
pla iz establiz.	---⌫-|-------||
gierescant	-----|---|
paremp lies furentles hymnesmatinei lesdunkes uint	------⌫---|-----|--|-----|-------⌫--|-----|---|
l iber tinsal litde labeit siproi at	-⌫----⌫---|-|--|-||----|-|----⌫-|
o r ison hu mlem ent.	-⌫-⌫---|--⌫----⌫--||
et li abessachanz e ncombien il astoitho n oreiz de	-|-|---|------|-⌫|------|-|-----|--⌫-⌫----|-|
trestozetc ombien ameiz por lo tort cui	------|-|-⌫-----|----|--|-|---|--|
il auoitfaita l uilo quidatuoloir	-|----|---||-⌫-|-|-----|-----|
s oidepa rtirdelmo nstieret sidemandata	-⌫-|----⌫---|--|--⌫-----|-|-|-------||
lui disanz uuues tu aleir	--|-----||---|-|----|
a cuiresponditicilpere li	|--|--------|---|---|-|
l abie es testablie cui ien e	|---|--⌫|-------|--|-|-⌫|
puis pase schiweircar	---|--|-⌫-------|--|
eliordierp romisgemoiui	-|--||--|-⌫----|-|--|-|
ce st i or	--⌫-|-⌫-|
de uoiralei rla uge uuilhaleir.	--⌫---|----⌫|-||-|----|----||
du nke sicildelfunzde so n cuer	--⌫---⌫|---|--|---|-|--⌫|---|
esgardanzsaaspreteit et	--------|-|--------|-|
sad ur teitlahumiliteitetlasuableteit	-|-⌫--⌫---|-|---------|-|-|---------|
de lib ertin sailhitius deso n lit	-|---⌫----|------|--|-|--⌫|--|
lespiezdelibert intintsoiauoir	--|---|-|------⌫-|---|--|----|
pechiétsoiestre	-------|--|----|
culpa bl e tesmon i atkeilasi	-----⌫--⌫|------⌫-⌫-|-|-||-|
a iteil b ar on sicrueile	|----|-⌫--⌫-|-|------|
la iden gefairepresumat .	--⌫----⌫-|----|-------||
maislaencontre	---|-|-------|
libertins soi ius esternanzente rr ee tab aiss ieza	--------|--|--|--------|-|--⌫--⌫|-⌫|--⌫----⌫--||
sespiezd isoitce	--|---|-⌫----|-|
e stredesaculpe	-⌫---|-|-|----|
nienta uoiresteit dela delab eitce ke	----|-⌫---|-----|-|-|-||--⌫--|-|-|
sof fe rt.	---⌫--⌫-||
etensifutfait k elip ei resfut parm en eiz a	-|---|--|---|-⌫|-|-⌫--⌫--|--|----⌫--⌫--||
grandesuableteitetkela humiliteiz deld isciple	-----|---------|-|-|-|---------|--|-⌫------|
futfaitemaistre	--|----|------|
de lmaistre.	--⌫|------||
etq uantilpor lautili teit	-|-⌫---|-|--|-|-----⌫---|
delmonst ier futeissuzale stablissementdelpl aitdunke s	--|-----⌫--|--|-----|||-⌫------------|--|--⌫--|-----⌫|
pluisorbaronconutetnoblekitozten smult	------|----|----|-|----|-|--|---⌫|---|
lonoreuent	|--------|
for ment soimeruilhieu entside man doientso niou se mentke ce	---⌫---|--|----------⌫--|-|--⌫---⌫-----|--⌫----⌫--⌫---|-|-|
astoitkeila uoitlafac esi	-----|-|-|-⌫---|-|---⌫|-|
enf lantet sisanglente .	---⌫---|-|-|--------||
queiz disoit icil hieral soirpo rmes	----|-----|---|---|-|---|--⌫|--|
pechiezki cefaisoient moihortoi a unes camel	------|-|-|--------|--|-----||-|--⌫----|
de de ssozle spiez et	-|--⌫---|--⌫|---|-|
si sof fric estechose.	-|---⌫--|-⌫---|----||
et ensil isainzhomgarda nzenso npiz l	-|---|-⌫|----|--|-----⌫-|-|--⌫|--||
ueriteitet deson m aistre	-------|-|-|--|-⌫-----|
nacusat paslou iscedel	|-----|--|-|-⌫---|--|
sine corrutpas	-|-|-----|--|
enpechietdefalsetei t.	-|------|-|--------⌫||
quidestuicilzh onorabl eslibertins decuituas	-----|-|----|-⌫-------⌫-|--------|-|--|-|-|
raconteit tantplu isor ssignesetm iracles e n	--------|---|---⌫----⌫|-----|-|-⌫------|-⌫|
siamp lecongr ega ti on nelais sat ilenuertuzsesensiw o rs	-|---⌫-|-----⌫---⌫--⌫-|-|----⌫--|-|-|-----|--|-----⌫-⌫-|
fel izki ast oitap eleizcorbeazcuit umeismesbien	---⌫-|-|---⌫--|--⌫----|------|--|-⌫|------|---|
conu skinouelem en tfutprouozdecelemeismea bi e	----⌫|-|-------⌫--⌫|--|-----|-|---|-----|-⌫--⌫|
ilrac ontatamoides freres d ec elmei smemon stier	-|---⌫----||--|--|-----|-⌫|-⌫-|---⌫--|---⌫----|
pluisor s ch os es kimultfont	-------⌫|--⌫--⌫-|-|---|---|
ameruil hier.	|------⌫---||
d es q ue izge taisalc uneschoseskiui nen t anostre	-⌫-|-⌫--⌫-|-|---|---⌫---|-----|-|--⌫---⌫||-----|
memoirecar ge mo ihastea altres.	------|--|-|--⌫|----||-----||
mais unechosedirai la queile	---|--|----|----|-|-----|
raconteie gequidek ennule	--------|-|----||-|---|
maniereladoiu e tlomtrespassei r	------|-|----⌫-⌫|--|----------⌫|
meismea bie astoi tun smoinescortel i ers	-----|-⌫--|-----⌫|--⌫|-----|------⌫-⌫--|
degrande uie.	-|-----|--||
etli ler resauoitaconstumeitue nir etp ar	-|-|---⌫--|----|----------|--⌫--|-|-⌫-|
lasoifmonteiret repunsementl esiotes	-|---|------|-|----------|-⌫-|----|
en uoies porteir	-|----|------|
et quant icil	-|----|---|
p lanteuetmu ltde iotesetmoin sen	-⌫-------|--⌫-|-|----|-|----⌫|-|
trouoitetles altresde fol eiesl es	------|-|--|-----|--⌫---⌫---|-⌫-|
altresr egard euettoluesil	-----|-⌫-----⌫---|-----|-|
ala nz enuirontotl o co rtilt rouat lauoie	---⌫-|------|--|-⌫|--⌫---|-⌫----|-|---|
dontlilerresauoi t a cconstume ituenir.	---|-|-----|----⌫|-⌫---------⌫-|----||
l iqueizala nz	-⌫|----|---⌫-|
parcelme ismecorti ltrouatmeism esun	--|--|--⌫---|-----⌫|-----|-----⌫-|-|
serp en t.	----⌫--⌫||
acuiilc oman datsidistsiumoi	|--|-|-⌫----⌫--|-|---|--|--|
eti l paruenanz	-|-⌫|--------|
ale ntreie	||-⌫-----|
dellar ronc oman datalserpent	--|---⌫--|-⌫----⌫--|-|------|
d isanz gecomande at oi	-⌫----|-|------||-⌫-|
ihesu ke tuga r d esc esteentreieetsi ne soffre	----|-|-|--⌫-⌫-⌫-|-⌫---|------|-|-|-|-----|
paszaentreir lolarron.	--|-|------|-|-----||
en hel ement liserpenz soiestenditen lauoie	--⌫---⌫----|-|------|--|-------|-|-|---|
tote n tr auers	--|-⌫|--⌫----|
etli moines repairata	-|-|-----|-------||
et qua ntaltensde miedi	-|---⌫-|-|---|-|----|
frerereposere nt du nkes	----|--------⌫-|--⌫---|
uint li ler re ssolunc	---|-|---⌫--⌫|-----|
l aconstumecui	-⌫|-------|--|
il soloit simontat	-|-----|-|-----|
mettoit lo piet elcortilsiuitsodainement	------|-|---|-|-----|-|--|----------|
s erpenzt enduzauoitlauoie close.	-⌫-----|-⌫----|----|-|---|----||
e til e s pourizderriere so i	-⌫|-|-⌫-⌫-----|-------|--⌫|
mei sme chait et sespi ezaerst parlochalcement	---⌫--|----|-|--|--⌫-|----|--|-|---------|
e nun est ache d e la soifet	-⌫|--⌫|--⌫---|-⌫|-|---|-|
ensip endit iuslochi e fiuskes	---|-⌫----|--|-|---⌫-⌫|-----|
corteliersrepairat.	---------|-------||
ahore aconstumeieuintli	|---|----------|---|-|
cortel ierssitrou at lolarron	------⌫---|-|----⌫-|-|-----|
soifpendant.	---|------||
etal s erpentdistilge	-|-|-⌫-----|---|-|-|
fai grasc esadeu tuas aemp l itcek e	--|-----⌫-||--|-|-|----⌫-⌫-|-|-⌫|
ietoi c omandai	-|--|-⌫------|
li queizsen alat enellepas .	-|----||-|---|--------||
etilp aruint	-|-|-⌫-----|
al larronsidistke	-|-----|-|---|-|
estc efrere s	--|-⌫|-----⌫|
atdonei t a	-|-----⌫||
por coipresumast ut antes foiz fairelarrecin el	--|--|-------|-⌫|-⌫----|---|----|-------|-|
labordes mo ines	----|--|--⌫---|
et ilcez choses	-|-|--|-----|
d isan zlo pi et	-⌫----⌫|-|--⌫-|
deliuratdel a soifenc uicilaher doi t silo	-------|-|-⌫|---|-|-⌫-|--|----⌫---⌫|-|-|
m istiussenzblezu re .	-⌫--|--|---|-----⌫-||
dunkes dist a	-----|---||
l uisium oi.	-⌫-|--|-⌫-||
soi s iwantmenatalentreie del cort i l et	--|-⌫----|----|||------|--|----⌫-⌫|-|
lesio tescuicildesiro it	--|--⌫--|--|--|------⌫-|
par larrecin e nuoi espo rteir donat	--|-------|-⌫|---⌫-|--⌫----|----|
dulz or dis anz uat	----⌫-|---⌫--|-||
en etciapresnefacesmielarrecin	-|-|-|----|-|----|--|-------|
maiscanttu	---|---|-|
asmestier dunkes ent rezaam oi	-|------|-----|---⌫-|-||-⌫-|
et l esiotescuitutrau ilhoiesapechiettolir	-|-⌫-|----|--|-|----⌫------||------|----|
ge lesdonrai atoideuot eme nt.	-|--|-----||--|-----⌫---⌫-||
alsic omge	---|-⌫-|-|
t roue ioskesaorenpardonsquidieueieen	-⌫---|-----||-|-|------|-------|-|-|
lumbardienientauoir	--------|----|----|
esteitpeires kisignes	-----|-----|-|-----|
g e aiaprispar lo racontementdelhonorableh omme	-⌫|-|----|--|-|----------|--|--------|-⌫---|
fortuneitl ab eitdel	--------||--⌫--|--|
monstierkiestapeleizl i	-------|-|--|------|-⌫|
ba i nsde c iceronetencordal tres honorableshom mesce	--⌫-⌫-|-|-⌫-----|-|----||--⌫---|---------|---⌫--|-|
keie orraco nterai .	-|-|-|----⌫-----||
lisain tismeshomequicesp arno m espar ties de	-|----⌫-----|--|------|-⌫-|--⌫|-|---⌫---|-|
lacontreieualeire parl omeri tedesa	-|-------|------|--|-⌫|----⌫-|-|-|
u ieahie rtre stoz ilokesastoiteuzdegrand am miration	-⌫-|----⌫|---⌫---|-----|-----|--|-|----|--⌫-------|
acuicilzmeis mesfor tunei z futco nuz	|--|---|----⌫--|---⌫-----⌫|--|--⌫--|
pri ueie me nt .	---⌫----⌫--⌫-||
liqueiz equicesnestpasm erueilhe	-|----|------||--|--|-⌫-------|
por la gra nd eced e sa	--|-|---⌫--⌫--|-⌫|-|
sainteitestiut peresd epluisorsab iese ncel e	-------|-----|----|-⌫|-------|--⌫--|-⌫|---⌫|
meismecontreie .	-----|-------||
ce stuiquan teltens	--⌫---|----⌫|-|---|
des aiuuenteparaegre batailh elasseuentlieschalfemen tde	-|-⌫|------|--|----|-------⌫|--------|-|-----------⌫|-|
l a charsilofi sent	-⌫|---|-|-|--⌫---|
lesangoissesdesatemptatio n estreplu sent enti u	--|--------|-|-|---------⌫|----|---⌫|---⌫----⌫|
al e stuide	||-⌫-----|
e t q uant ilenceste	-⌫|-⌫---|-|-|----|
chos e parc ontinuei es	----⌫|--|-⌫--------⌫-|
proi eresqueroit aiue	----⌫---|------|---|
ded e uk iestt otpoissanzpar	-|-⌫-⌫|-⌫|--|-⌫---------|--|
unenuituitils oi es t reca streit	--|---|--|-|-⌫-|--⌫-⌫-|--⌫-----|
dun angel ekies teuetdeuantl ui	|-|-----⌫|-|--⌫----|-----|-⌫-|
etceapparutasauisionkel i	-|-|------||-|-----|-|-⌫|
angeles to t lomouement trenzat iusde ses engenranz	------|--⌫|-|-------|------|--|-|--|--------|
e tdesicel tens estiutil	-⌫|--|---|---|-----|-|
e nsi est rangesde	-⌫--|---⌫-----|-|
tempt ation alsicom iln eust	-----⌫----|---|--|-||---|
pa sdes exnatureenson	--⌫|-|-⌫-|-----|-|--|
queile uertutilestisanz	-----|-----|-|-------|
parla iue del	--||-⌫--|--|
totpoissantdeualsicomil	----------|--|---|--|-|
anzois astoitdessoure les hommesensicomenzatena pres	-----|-----|-------|--|-----|---|-------|-|-⌫---|
alsim ent dess ourele sf emmes.	-----⌫--|----⌫---|--⌫|-⌫----||
etneke dentn eces soitil	-|----⌫---|-⌫|---⌫---|-|
des omunre	-|-⌫-----|
s esdiscipl es keilparson exemple	-⌫-|-------⌫-|-|-|--|--|------|
ne cre issent aso ile gi erementen	-|---⌫-----||--⌫|--⌫--⌫------|-|
cestecho seet ilki deuoie nt chaoirne	----|---⌫-|-|-|-|------⌫-|-----|-|
temptassent lo	----------|-|
doncuiilmiepri s.	--|--|-|--|---⌫||
ic eltensqua ntlienc ha nteor	--⌫-|---|---⌫-|-|---⌫--⌫----|
romainborcfurentdeprisbasil eski	-----|---|-----|-----|-----⌫-|-|
desen chanteorsfutp ro merainsilrequist ual eireenhabitde	--|--⌫--------|--|-⌫--⌫------|-|------|---⌫---|-|----|-|
liqueiz senalanz	-|----||-|----|
redotab lehommecastor ium ki ast oiteueskesde	-------⌫-|----|------⌫--|-|---⌫--|------|-|
la cite itdami ternin e	-|----⌫-||---⌫------⌫|
pro iatlui ke il	---⌫--|--|-|-|
soido nastalabeit e quicesilocomandast	--|--⌫---|||----|-⌫----|-|-|--------|
alabiedeceluipor	||---|-|----|--|
dun kes uin tliueskesal abiesiamena t auoc	---⌫--|---⌫|-|-----|||---|-|-----⌫|---|
mo i ne basile	--⌫-⌫-|-----|
e tsiproiatloseriant	-⌫|-|-----|-|------|
d euequ icekei l	-⌫-|---⌫--|-|-⌫|
cel meism emoine receuer oit en lacongreg ation.	--|-----⌫|----|-------⌫--|-|-|-------⌫----||
lo queilesga rdat	-|----|----⌫---|
maneslisain zhom	----|-|----⌫|--|
et si dist	-|-|---|
cestui cui tu moicomandes	-----|--|-|--|-------|
pereien e uoipasestremoine ma is undi able	---|-|-⌫|--|--|----|----|--⌫-|-|--⌫---|
a cuire spon ditic il tu quiers	|--|--⌫----⌫--|--⌫-|-|-----|
occasion p ark etunedoiues presteira	-------|-⌫-|-⌫|-|-|-----|-------||
moicekeietoiproi .	--|-|-|-|--|---||
a cui manesdistliserianzde	|--|----|---|-|------|-|
deugecertes denuncecelui estreceke	--|-|-----|------|----|----|-|-|
i euoin ekedentp arke	-⌫|--|-⌫------|-⌫-|-|
tu ne quidesmoi	-|-|-----|--|
nientuoloir obeiratoige	----|-----|----||--|-|
tucomandes.	-|-------||
gieres fut ilrec euz e nl	-----|--|-|---⌫--|-⌫||
nient a pres pluisorsi ors cil me ismes	----|-⌫---|-------|-⌫--|--|--⌫----|
s erianzde deu s enalatfors	-⌫-----|-|--||-|---|---|
un poilonzdelacele por	-|--|---|-|-|---|--|
e nhorteir les f eoz az sourai ns	-⌫-------|--|-⌫--|-|------⌫-|
liqu eizca ntilsenfut	-|--⌫--|--⌫-|-||-|--|
ale iz siauintchos e k elmostierde s	---⌫-|-|----|----⌫||-|------|--⌫|
uirgenesen cuilacure	-------|-|--|-|---|
meisme peireueilhieuet une	-----|----|---------|--|
deleski solu nclapur reture	|---|-|----⌫-|-|---⌫-----|
de cestechar sembl eue testreb elecomenzata fieu r ieret	-|----|---|-----⌫---⌫|----|-⌫--|-------||----⌫-⌫--|-|
deue nirformentan goissous e etdegranznie nt	----⌫--|------|--⌫--------⌫|-|-|----|---⌫-|
iadeu oizmais destra indorsa c rieir	-|-|-⌫--|---|-|----⌫-----||-⌫----|
orendroitmorraisebasil es li moines neuientetil	--------|-----|-|-----⌫-|-|-----|-|----|-|-|
par lestude desa guari s on	--||-----|-|-|-----⌫-⌫-|
rendeta moi la salut.	-----||--|-|----||
maisquantli si	---|----|-|-|
granzpei res nefutpaspresenzsinose ue t	----|---⌫--|-|--|--|------|-||---⌫--⌫|
a lcunsdesmoines	-⌫----|--|-----|
ueniren l assemb leiedesuirginesen combien icilki	----|-||------⌫---|--|-------|-|------|---|-|
noueazestoituenuze t cu i	-----|-----|----|-⌫|--⌫|
a ss emb le iedesfrerese ncor neconissoitmie	-⌫--⌫---⌫--⌫-|--|-----|-⌫---|-|--------|--|
dunkes fute nhe lement enuoiétet	-----|--|-⌫---⌫-----|-------|-|
alseria ntde deu eq uice nunciét kecelenon ainsastoit	-|-----⌫-|-|--|--⌫---|-------|-|---|---⌫---|-----|
eschalfeie de	---------|-|
g randesf ieur e sside man doit	-⌫-----|-⌫----⌫-⌫|-|--⌫---⌫---|
a ng oi ssou sementlo uisi t ementdelmoinebasile .	-⌫--⌫--⌫----⌫-----|-|----⌫-⌫----|--|----|-----||
otoitlisainz	-|--|-|----|
ho msiristen des deni antet sidist	--⌫|-|---|-|---⌫----⌫--|-|-|---|
nedisgedunke s	-|--|-|-----⌫|
fustdiableset nientmoines	---|------|-|----|-----|
aleizsi lo boteizforsdelacele	----|-|-|-----|---|-|-|---|
etdelancele deukiest	-|-||-----|--|-|--|
des traintede langoisse desfieuresne	---⌫------|-||-------|--|------|-|
soniouscar de sicestehoren	------|--|--⌫|-----|---||
aurat elepas trauai l desfieures	----|--|--|------⌫|--|------|
etsine querratpas basile .	-|-|-|------|--|-----||
li moinessenr alatet	-|-----||-|-⌫---|-|
horeco nut la uirge nededeu estre	---|--⌫--|-|-----⌫-|-|--|----|
rest ablie asal u t	----⌫----||---⌫-⌫|
encuicele meisme	-|--|---|-----|
sal utdecelel iseria nz deu equitius l adistlon z	---⌫-|-|---|-⌫|-----⌫-|--|-------|-⌫|---|---⌫|
sauoirenlauer tut del	-----|-|-|---⌫--|--|
mira cle tenanzl exe m pledelmaistrekienuie iza lfilh	----⌫--|-----||---⌫-⌫--|--|------|-|-----⌫-|-⌫|---|
del roipar sa souleparole lo rest ablitasalut	--|--|--|-|----|-----|-|----⌫----||----|
keli p eir es	-|-|-⌫---⌫-|
retor nanze ncelemeis mehore	-----⌫---|-⌫|---|----⌫-|---|
con utsonfilh e stre r es toreit au ieen	---⌫-|--|---|-⌫---|-⌫--⌫-----||-⌫-|-|
cuiiloit lauied ecelui	--|-|--|-|--|-⌫|----|
del aboche	-|-⌫|----|
deueriteit.	-|-------||
limoineemplirentlo comantde l urpereetce l	-|----|--------|-|-----|-|-⌫-|---|-|--⌫|
basileboterent fors de	-----|-------|---|-|
lamanand i sedel mo nstier.	-|------⌫-⌫-|--|--⌫-----||
li queizboteizfors delmonstie r dist	-|----|-----|---|--|-------⌫|---|
keils ouentes foizpar ars enc hanteresses auoitla	-|-|-⌫------|---|--|--|---⌫----------|----|-|
celeequice sorleueit enair et	---|-----|--------|-|--|-|
nekedentne	-------|-|
po t ilnuluidelacele	--⌫|-|----|-|-|---|
m almettre.	-⌫-------||
liq ue izbasiles nie nt	-|-⌫--⌫-|------|---⌫-|
tens enicest romain	---|-|----|-----|
b orc fut arsdefouquant lidesiersde lcrestien	-⌫--|--|--|-|--|----|-|------|--⌫|-------|
pople fue sc halfei z .	----|-|-⌫--⌫------⌫||
m aisuneancele	-⌫--|--|-----|
dedeu d ec elmeisme	-|--|-⌫|-⌫-|-----|
mon stierdeu irgenesentratelco rtil.	---⌫----|-|-⌫------|-----|-|--⌫---||
laqueileui tunela ituesi	-|-----|--⌫|--|--⌫---|-|
la co nuoit atetelel	-|--⌫-----⌫-|-|--||
benirsimorstceleic onuoitouseme nt.	----|-|----|----|-⌫------------⌫-||
maiseleporprisedeldiablechait	---|--|-------|--|-----|----|
i s nel emen t.	-⌫-⌫---⌫----⌫||
etquant e leastoi t tormenteied unkes fu tcest echoseisnele ment	-|----|-⌫-|-----⌫|---------|-⌫----|--⌫|----⌫|----|------⌫---|
nuncieace lmeismepere equ ice ke	-----||--⌫|-----|---|---⌫--|-|
iluenist tostseladefendi st en	-|-----|---|-|-|-------⌫-|-|
icilcor ut.	---|---⌫-||
et man eskecilper e sentratla porte d el	-|---⌫---|--|---⌫-⌫|-----|-|----|-⌫-|
monstie r sico menza ti lmeismeslidiableskicelei	-------⌫|-|--⌫-----⌫|-⌫|------|-|------|-|----|
auoitprise pa rm e i	----|----|--⌫--⌫-⌫|
labochedece leialsi	-|----|-|--⌫--|---|
c omasseizfaisanzcrieirdisanzgek e fi s	-⌫-|-----|------|-----|-----|-|-⌫|--⌫|
geme sissorlalai tue	-|-|--|--|-|---⌫--|
etsimemorst.	-|-|-|----||
acui co mandat lihomdeuagrant	|--|--⌫-----|-|--|--||----|
airementk eils	-------|-⌫|-||
enalastetsin e ustliu en l	-|----|-|-||-⌫--|--|-||
an cele dedeuki	--⌫---|-|--|-|
esttotpoissanz.	--|----------||
maisun shom	---|--⌫|--|
feli zpar nomnoble sdelacontreie nursie li pe res	----⌫|--|--|-----⌫|-|-|-------|-----|-|--⌫--|
decestc astoi rekiorens emblenos demoreten cest	-|---|-⌫-----⌫-|-|-|---⌫----|--|------|-|---|
b orcderomm e	-⌫--|-|----⌫|
qu ant iluitce stmeisme honor able homme	--⌫--|-|--|--⌫-|-----|-----⌫---|----|
equic enientauoi r	-----⌫|----|----⌫|
o rde neet parcas c unsl iusd i scurreet	-⌫---⌫-|-|--|---⌫-⌫--|-⌫--|-⌫-⌫-----|-|
stu diousementpreec hi e re nunioralat	---⌫---------|-----⌫--⌫-⌫|-⌫|-|--|---|
aluiporlosement	|--|--||------|
depriuanced i sa nztuqui	-|-------|-⌫-⌫--⌫-|-|--|
na spasordene etk in aspaspr is	|-⌫|--|-----|-|-⌫||-|--|--⌫-|
con gietd epree chementdelromai neues ke desso zcui	---⌫---|-⌫|----⌫------|--|-----⌫|----⌫-|-----⌫|--|
tuu iscomentoses	-|-⌫-|-----|---|
tu pree chier	-|----⌫----|
par la quei ledemandisede	--|-|----⌫-|--------|-|
sain z homde strainzenseniat comen t il	----⌫|--|--⌫------|-------|-----⌫|-|
pr is tlo congi etdeson	--⌫--⌫|-|-----⌫-|-|--|
pre echementdisanz lesch osescui tu parolesa m oige	---⌫-------|-----|--|--⌫---|--|-|------||-⌫-|-|
meismeslespenseauocmoi	------|--|----|---|--|
a ltress i.	-⌫------⌫||
maispar unenuitunsbealziouence azparuision	---|--|--|---|--|----|-------⌫-|--|-----|
estiutdeuantmoi	-----|-----|--|
ets imis t	-|-⌫|---⌫|
enmalengueun ferementde medici ne	-|-|-----|-|-------|-|------⌫-|
ce est unfliem edisanzelle uos	-|--|-|-----⌫|-----|----⌫--|
geaimismesp arolesen ta bocheeisfors	-|-|--|--|-⌫-----|-|-|----|--|---|
por preechier.	--|--------||
