Carleslireisnos tre	-----|-|---|---⌫--|
Ensum un tertrecuntrelecielleuee	-|--|-|-----|-----|-|---|----|
Franc se herbergent	----|-|---------|
partute la	--|---|-|
Paiencheualchentpar c ezgrei gnursu alees	----|----------|--|-⌫-|----⌫----|-⌫----|
Ha lbercs uestuze trés bien	--⌫-----|-----||----|---|
Healmeslacez eceintesl ures pees	------|----||------|-⌫-|--⌫---|
Escuzas cols	----|-|---|
elancesadubees	|-----|------|
Enenunbruill pars umles pu isr emestrent.	-|-|-|-----|--|-⌫-|--|--⌫-|-⌫--------||
II II.C .m ilie atendentlaiurnee	--⌫----⌫|-⌫---|-------||------|
Fran ce is nelseuent	----⌫--⌫-|--|-----|
Tresu aitle	-----⌫--|-|
i urlanoitestase rie	-⌫-|-|---|--|---⌫--|
Ca rl es s e dortliemp erer esriche s	--⌫--⌫-|-⌫|---|-|---⌫----⌫-|-----⌫|
Su ni at quileretal greignurs por zd e	--⌫--⌫-|-|-|---|-|--------|---⌫|-⌫|
Ent re sespoinz	---⌫-|--|----|
ten eitsa ha nstefraisnine	---⌫--|-|--⌫---|--------|
Gueneslique ns ladsur	-----|-|---⌫-||-|--|
P artel a ïrl	-⌫-|--|-⌫--||
ates trus seee	-|--⌫----⌫--||
Q u enu erslecele nuolent	-⌫|---⌫--|-|--|-⌫|-----|
les escicles	--|-------|
Ca rlessedortquilne	--⌫---|-|---|-|-|-|
ses ueilletmie	|--⌫------|--|
Aprési ce stealtreauisiun suniat	-----|-⌫--⌫--|----|------|-----|
Qu il e rte n	-|-|-⌫-|-⌫|
sacapelead	-|-----|-|
Eldestre brazli mor st	-|-----|---|-|---⌫-|
unsuers si m als	--|---|-|-⌫--|
Ardene ui t ueni r un s	-----|--⌫|----⌫|--⌫|
Suncorsdemeniemul tfi e rementasaltD enz	--|---|------|---⌫|--⌫-⌫-----|----||--|
d esale unsueltr es	-⌫|---|--|-----⌫-|
Car leslé galops	---⌫--|--|-----|
eles sa l z	|--|--⌫-⌫|
Ladest reoreillealpremeruer trenchat	-|----⌫-|------|-|-----|--|-------|
I reements ec u mbat	-⌫------|-⌫|-⌫-⌫---|
France is quegran tbataillei	------⌫-|--|----⌫|-------||
seuentliquels dels	-----|------||--|
laueintrat	-|-------|
dort mien esesueillat	---|--|-⌫||--------|
Tre suait lanoiteapertla cl erealbe	---⌫----|-|---||----|-|--⌫--|---|
Par micelhost	--|-|--|---|
Liempereresmu lt fi ereme nt	-|--------|--⌫-|--⌫-----⌫-|
che ual chet	---⌫---⌫---|
Seig nurs barons di stli emperere	----⌫---|-----|--⌫-|-|-------|
ueezles por zelesdestr e iz	---|--|---⌫||--|-----⌫-⌫-|
Karmeiugezkiert enla rereguarde	--|-|----|-|--|-|-|---------|
Gue nesrespunt	---⌫--|------|
R ollantcist miens	-⌫-----|---|----|
f illast reNauezbarondesigrantua ssela ge	-⌫------⌫-||---|----|-|-|----|--⌫-----⌫-|
lireisfie rementlereguardet	-|---|---⌫-----|-|--------|
Sili addit	-|-|-|--|
uo seste suifs dïabl es	--⌫|----⌫|---|------⌫-|
Elcor suosestentr e emortel rageEki	-|---⌫|--|--|----⌫-⌫|-----|---||-|
serat deuan t meienlansgua r d e	----|-----⌫|--|-||------⌫-⌫-⌫|
Guenesrespunt	-----|------|
DenemarcheN	---------||
auezbarunk i	---|----|-⌫|
mielz del uilafacet	----|-|-⌫-|-|----|
Rollantqu antil soït iuger	------|--⌫--|-||---|----|
Duncadparled	---|-|-----|
aleide cheualer	|--|-|-------|
Si re parastre multuo sde i au eir cher	--⌫-|-------|---|--⌫|--⌫|--⌫--|---|
La re reguardeauez	-|--⌫-------|---|
sur mei iugi etN i perdrat	--|--|----⌫-|||------|
Fr ancetient	--⌫---|----|
Men escïentre palefreidn edestrer	--|---------|--------|-⌫|------|
nem ulequede iet cheualcher	-|-⌫--|--|--⌫--|---------|
Neniperdratnerunc inne	-|||------|-|----⌫-|-|
Queases p e es nese it einz	--|-|--⌫-⌫-⌫-|-|--⌫-|---|
esl e giet	---⌫-⌫---|
Guenes respunt	-----|------|
ueir dites iol saibien	---|----|--|--|---|
Roll ant qu il ert enlarere guarde	----⌫--|-|-|--|-|-|----⌫-----|
Ireement p ar lat a	-------|-⌫--⌫--||
sun parastre	--|-------|
A hicul uert ma luaisho m deput air e	-⌫-|---⌫---|--⌫----|--⌫|-|--|---⌫|
Quias le gu antmecaïst	----|-|--⌫--|-|-----|
enl a p lace	-|-⌫|-⌫---|
Cu mefis t	--⌫-|---⌫|
lebastundeuant	-|-----|-----|
Dreiz emper eredist	----|-----⌫--|---|
Rol lantlebarun	---⌫---|-|----|
Dunez meilarc que uostenezelpoign	----|--||--|--|--|----|-|----|
Men e sci ̈ entre	--|-⌫---⌫-⌫----|
nelmereprouerunt	--|-|----------|
chedetc u mfista	-----|-⌫-⌫|---||
Desa main destre quant	-|-|---|-----|----|
rec ̧ utle bastun	---⌫-⌫-|-|-----|
Li empereres en	-|--------|-|
tint sunchefenbrunc	---|--|---|------|
Si duistsabar bee de toerst	-|----|-|---⌫-||--⌫-----|
sunge rn un	--|--⌫--⌫-|
Nep oetmuerque deso ilz	-|-⌫--|---|--|--|-⌫--|
Anprés i c ̧oi est	------|-⌫-⌫-||--|
Neimesu e n ud	-----|-⌫-⌫-⌫-|
Mei llor uassal nouten	---⌫---|-----||--|-|
lacu rt de	-|--⌫-|-|
Rolla ntile stmult	-----⌫-|-|-⌫-|---|
Larer eguar deestiugee surlui Nauez baron	-|---⌫-----⌫-|--|----|--|--||---|----|
kiiam aislaremut	-|---⌫--|-|----|
Dun ezlilarcque	---⌫-|-||--|--|
uosauez t endut	--|---|-⌫----|
Sil itruuezki trés bienli aiut	-|-⌫|-----|-|----|---|-|---|
Rollant larec ̧ ut	------|||---⌫-⌫-|
Li empereres	-|--------|
apeletsesnie ́ s	-----|--|---⌫-⌫|
B el siren iésorsauez ueir em ent	-⌫-|---|-⌫---|-|----|----⌫--⌫--|
Dem imunhos tuos lerrai e n	---⌫|--|---⌫|--|-----|-⌫|
R et enez l es	-⌫--⌫---|-⌫-|
uostr esaluementÇo	-----⌫|--------|--|
dit l iquens	--|-⌫|----|
Ion enf erai nïent	-||-|-⌫---|-----|
De us mecunfundeselageste	--⌫-|-|-------|-|-|----|
end es ment.	-|-⌫--⌫---||
Francs retendrai ben uaillanz	-----|--------|--|-------|
Pass e zlesporz trest ut soüre ment	----⌫-⌫|--|---|-----⌫-|------⌫---|
crendrez nulhume a munuiuan t	-------|--|---||--|-----⌫|
Rollan test mu nteteld estrer	------⌫|--|--⌫---|-|-⌫-----|
Cu ntrelui uientsiscu mpainz	--⌫---|--|----|--|--⌫-----|
Gerinseli prozquen s	-----||-|---|----⌫|
Gerers Euint	-----||---|
Ot es siiuint	--⌫-|-||---|
Bere nge rsEuint i	----⌫---⌫-||---||
Anseïsliue illz	------|-|--⌫---|
Rossillon li f ier s	--------|-|-⌫---⌫|
uenuz iestlirichesdux	----||--|-|-----|--|
arceuesque	---------|
IoiraiparmunchefEio	-|---|--|--|---||-|
od uos ç odist li que ns	-|--|--⌫|---|-|---⌫-|
Rollantioneli	------|-|-|-|
d ei fail lir	-⌫-|----⌫--|
esl isent.	---⌫----||
XX. mil iecheual ers	--|---⌫-|------⌫--|
Hum apelet	--|-----|
Pernezmi l	-----|--⌫|
Fran cenostretere	----⌫-|-----|---|
Si purpernez	-|--------|
les destreizeles tert re s	--|-------||--|----⌫--⌫|
Quelempere re	--||------⌫-|
nisun de s soensn iperdet	--|-|--⌫|----|||-----|
P uru osledei ben faire	-⌫-|-⌫-|-|--|--|----|
Franceisde	-------|-|
Fr ance lalurtere	--⌫---|-|--|---|
Gualter desrengetl esd estr eit eles tertresNen	------|--------|-⌫-|-⌫----⌫--||--|------||-|
descendrat purmaluaisesnuueles	---------|--|--------|------|
Enceis quenseient.	-----|-|-|-----||
uII.C.espees traites	-----|-----|------|
Alm ari sdel	---⌫---⌫|--|
Belf er n e	----⌫--⌫-⌫|
Unebataillelurliuratleiur pesm e	--|-------|--|-----|-|--|----⌫|
Haltsunt li pui eli	---|---|-|--||-|
ua ltenebrus	--⌫|-------|
Les rochesbises les destreizmerueillus	--|-----|----|--|-------|---------|
Leiurpassere nt	-|--|-------⌫-|
Franceisa grantdu lur	-------||----|--⌫--|
Xu.liusenot homlarimur	--|---|-|-|--|-|----|
il uenentala	-|-----||-|
Gu ascuignelatere l ur	--⌫-------|-|---|-⌫-|
D uncl ur rem embret	-⌫--|-⌫-|---⌫-----|
des fi u s edes honursE	--|--⌫-⌫||--|-----||
des p ulcel ee desgentilz	--|-⌫-----⌫||--|------|
Cel neniadkide	--|--||-|-|-|
pitetne plurt	----|-|----|
Sur tuzlesaltresest	--|--|--|-----|--|
Car l e sanguissus	---⌫-⌫-⌫|--------|
Espaigneadlesset sunneuold	-------|-|-----|--|-----|
enprentnepoet muern	-|----|-|---|---||
XII . per sunt	---⌫|--|---|
Espaigne .	-------||
F rancsunt en	-⌫----|--|-|
lurcumpaigne	--|--------|
N en unt poür	-⌫-|--|----|
murir d utance	----|-⌫-----|
Liempe reresen repa i reten	-|----⌫---||-|----⌫-⌫--|-|
Suzsunmantelenfait	--|--|-----|-|---|
lacunten ance	-|------⌫---|
Deiuste l uilidux	------|-⌫-|-|--|
Neimes cheual chetE ditalrei	-----|------⌫---||--|-|--|
auezpesa nce	---|----⌫--|
Carl esre spunt	----⌫-|--⌫----|
Tor tfaitkil me	---⌫|---|--|-|
Sigrantdoelai ne puismuer nel pleigne	-|----|---|-|-|---|---|--|------|
Guenelun se ratdestr uite	-------|--⌫--|-----⌫---|
Enoitmauintun a uisiun dangele	----||----|-|-⌫-----||-----|
Queentremesp uinz me	--|----|--|-⌫---|-|
depec ̧outma hanste	-----⌫---|-|-----|
Chiadiugetmisnés ar er eguarde	--|-|----|--|---||-⌫--⌫------|
Io laile sse tenuneest range marche	-||-|--⌫---⌫|-|--|---⌫----|-----|
ia ne n auraiescan ge	-||-⌫|----|-----⌫-|
Carles limagnes nepo etmuer	-----|-|-----|-|--⌫-|---|
nen plurt .C .milie	|-|----|--⌫|----|
Francs purlui unt gr ant	-----|--|--|--|--⌫--|
tend rur E de	----⌫--||-|
Rollantmerueillu sepou ̈r	------|---------⌫-|---⌫-|
Guenes lifelsen	-----|-|---|-|
ad faittrai ̈sun	-|---|----⌫---|
Delrei paienenad	--|--|----|-|-|
oüdgranzd uns	---|----|-⌫--|
Or eargent	-||-----|
palieseciclatuns	-----||--------|
Muls e cheualseca meilzeleuns	---||------||--⌫----||----|
Marsilie s mande t d	--------⌫|-----⌫||
Espaignelesbaruns	-------|--|-----|
Cunt es uezcu ntes	----⌫-|-----⌫---|
e duxealmaçurs	|--||--------|
Lesa mi r aflese lesfilza s	--|-⌫--⌫-⌫----||--|---|-⌫|
IIII.C.milie	------|----|
en aius teten.	-|----⌫--|-||
Sa rraguce faitsunerses tabu r s	--⌫------|---|----|--|----⌫-⌫|
Mahum etleuentenl a plushalte	-----⌫-|-----|-|-⌫|---|----|
adpaien nel prit enel	-|----|--|---||-||
Puissi cheualchentpar	---|-|----------|--|
multgrantcu ntençun	---|----|--⌫-------|
Certaineeles ua lse les munz	-------||--|--⌫-||--|---|
Franceui rent lesgunfanuns	-----|--⌫---|--|--------|
La reregu ardedes .	-|------⌫---|--||
XII.cumpa i gnun s	---|-----⌫-⌫----⌫|
Ne less eratb at a ille	-|----⌫---|-⌫--⌫-⌫---|
M arsilie ilestue nuz	-⌫------|-|--|--⌫--|
Suru nmuletodunbastuntucha n t	--|-⌫|----|-|-|-----|-----⌫-⌫|
Distasununclebe l ement	---||--|----|--⌫-⌫----|
Bel sir ereisiouosaiseruittant	--|---⌫|---|-|--|-|-----|---|
Sin aioüt ep eines eahans	--|-|---||-⌫----||----|
Fai tes bataillese uen cuesen c hamp	---⌫--|--------||---⌫---|-|-⌫---|
Dunez mu nfeuçoestlecolpde	----||-⌫|--|--|--|-|---|-|
Ioloc iraia	-||--⌫---||
Ma humet meu oelte stre	--⌫----|-|-⌫---|-⌫---|
Espaigneaquiterai le spans	-------|--------|--⌫|---|
Espa ign e entr e squ a	----⌫---⌫|----⌫-⌫--||
Dures tant	-----⌫---|
Car less ir ecrerr u n t si	---⌫--|-⌫|-⌫------⌫-⌫-⌫|-|
Ianaurezmais gue re	-||----|---|---⌫-|
entu tuostre	-|--⌫|-----|
Marsilielenaddu netle gu ant	-------||-|-|--⌫--|-|--⌫--|
Ma rsiliestientle guantensun poign	--⌫------|----|-|----|-|--|----|
Sununcle apeletdemult fiere rai sun	--|----|-----|-|---|----|---⌫--|
Belsir e reisfait m auezungrantdun	--|---⌫|---|---||---|-|----|--|
Eslisez mei.	------|--||
XII.de u oz baruns	---|-|-⌫-|-----|
Si mcumbatrai as .	--⌫|--------|-||
XII. cu mpaignun s	---|--⌫--------⌫|
Tutp rem erei n lenrespunt	--|-⌫---⌫----⌫||-|------|
Icilertfre re alrei	---|--|---⌫-|-|--|
Belsi re niés eioeuo sirum	--|--⌫-|----||-||--⌫|---|
C este ba tail l eueirementla	-⌫---|--⌫----⌫-⌫|--------|-|
La rereg uardede la granthost	-|-----⌫----|-|-|----|---|
Ilestiugetquenus les ocirum	-|--|----|--|--|--|-----|
Corsal isilest de laltrepart	------⌫-|-|--|-||----|---|
Barbarinseste mult demalesa rz	--------|--||---|-|----|-⌫-|
Cil adpar let	--|-|---⌫--|
alei debonua ssal	|--|-|--|--⌫---|
Pur tu tl o r	--|--⌫||-⌫|
Deuneuolt e stre cuard	--|-|---|-⌫---|----|
Asuospoignan t	-|--|-------⌫|
Malprimisde	--------|-|
Pluscurtapiet quen ef ait u ncheual	---|---||---|--|-⌫|-⌫--|-⌫|-----|
Marsi liecil ses crietmu lt	-----⌫--|--||--⌫----|--⌫-|
Iocunduirai	-|--------|
Rencesu als	-------⌫--|
R ollan t n e l errai quenel	-⌫-----⌫|-⌫|-⌫----|--|--|
Unsamurafles i	--|--------||
multgent el e uisfier ecle r	---|---||-⌫|--|---||---⌫|
Puisqueiles t sur s uncheu almunt et	---|--|-|--⌫|--|-⌫-|----⌫-|----⌫-|
Multsefait	---|-|---|
fie rsdeses	---⌫-|-|--|
a rmes por ter	-⌫---|---⌫--|
De uass elagees t	-|----⌫----|--⌫|
ilbenalosez	-|--|-----|
Fu s t chresti ̈ens asez ou ̈s t barnet	--⌫-⌫|-------⌫---|---|--⌫--⌫|-----|
Marsiliecilen estescriet	-------|--|-|--|------|
R encesualsirai muncor s iuer	-⌫--------|---|--|---⌫|---|
Ro lla nt demort	--⌫---⌫-|-|---|
seratfinet E	----|----||
Oliuer e tuzle s.	-----||--|--⌫||
Franceismurrun ta	-------|------⌫||
d o elea uiltie t	-⌫-⌫-|||------⌫|
Carlesli m agnes	-----|-|-⌫----|
uelz esteredotez	---|--||------|
Recrea nzert desaguerre mener	------⌫-|--|-|-|-----|----|
Sinusremein dr at	-|--|------⌫--⌫-|
Espaigne enquitedet	-------|-|-------|
Marsi liemultl e nadmercïet	-----⌫--|---||-⌫|-|-------|
Unsalmaçur siadde	--|--------⌫||-|-|
MorianeNad plusfel unenlatere	------||-|---|---⌫-|-|-|---|
M arsili eadfaite s a	-⌫------⌫|-|----|-⌫|
Rencesuals guieraima	---------|------|-|
cu mpaigne .	--⌫------||
XX. milieadescuz	--|----|-|----|
R ollantdemortlidu ins	-⌫-----|-|---|-|--⌫--|
Iamais nertior	-----||--|--|
sepleignet	-|-------|
a ltrepart est	-⌫---|---|--|
Tur teluse	---⌫-----|
Cil e st unsq uenssies tl a	--|-⌫-|--|-⌫---|-|--⌫|-⌫|
Dechrestïensuoelt	-|----------|----|
f airemale	-⌫---|---|
Marsilieasaltres sisaiustet	-------|-|-----|-||------|
Ç odist a lrei	--⌫|---|-⌫|--|
N euose s maiez unches	-⌫|--|-⌫-⌫----|-----|
M ahum queseint	-⌫---|--|----|
Seluiseruezl onur delc ampe rtnostre	-|--|-----||---|--|-⌫--|-⌫-|-----|
Rencesuals a	---------||
Rollantir a iiuindre	------|--⌫-⌫|------|
Demortnauratguarantisun	-|---||----|----------|
est eboneelungeA	--||---||----||
Dur e ndaliolametr ai encuntre	---⌫-⌫---|-|-|----⌫-|-------|
Asezo rrez laqueleir atdesu re	---|-⌫---|------|--⌫-|----⌫-|
Franceismurrun tsianussabandunent	-------|------⌫|-||--||---------|
uel z aura t edeol e	---⌫|----⌫||---||
Iama isen tereneporterat	----⌫-|-|---|-|-------|
Delaltrepart	-||----|---|
Escr emi z de	----⌫---⌫|-|
Sarrazinses tsiestsue	--------|--⌫|-|--|--|
Marsilie s escriet enlapresse	-------||------|-|-|-----|
Renc es ual sirailorgoill	----⌫--⌫---⌫|---||------|
R ol lant nen porterat l atest e	-⌫--⌫---||-|-------|-⌫|----⌫|
Oliuer kiles altres cadelet	-----|-|--|-----|------|
XII.pertuitsu nt	---|--|---|--⌫-|
Franceismurru nt e	-------|-----⌫-||
Franceen ert desert e	-----|-|--|------⌫|
Deb onsuassalsa urat	-|-⌫--|------|-⌫---|
Carles suffraite	-----|--------|
AO I Daltre part es t un sp aiens	--⌫||----|---|--⌫|--⌫|-⌫----|
Est ramariziestunsoens	---⌫------||--|-|----|
Cilsuntfeluntr aït ur suduiant	--|---|----|--⌫----⌫-|-------|
Se ignursue nezauant	--⌫-----|--⌫--|----|
Rencesualsiraiasporz passant	---------|---|-|---|------|
Siaiderezacunduire magent	-|------||-------|-|---|
Ecilrespundent	|--|---------|
com andement	---⌫-------|
Nusasa ldrum	--|---⌫----|
XII.pe rnaurunt	---|--⌫||-----|
Nozespeessuntb ones etrenchant	--|-----|---|-⌫---||--------|
N usle sferuns uerme ill esde chald sanc	-⌫-|--⌫|-----|-----⌫---⌫-|-|----|---|
Franceismurrunt	-------|------|
Carlesen e rtdolent	-----|-|-⌫-|-----|
metru m enpresent	-----⌫|-|------|
uenezireis	----||---|
sil uerrezueirement Lempereoruosmetrumen present	--|-----|--------||-------|--|-----|-|------|
Cur antiu in t	---⌫--||-⌫--⌫|
Margar izde	------⌫-|-|
Cil tient lat ereentrequas	--|----|-|-⌫--|------|-|
Pu rsabeltetdameslisu ntamies	--⌫|-|-----|----|-|--⌫-|----|
Cele ne lueit uer s	---|--⌫|---|---⌫|
luine sescla rgisset	--|-||-----⌫------|
Quantele le ueit	----|--|-|---|
ne poet muernerietN	-|---|---|-|---||
i a d paien	|-⌫|----|
de telcheual e rie	-|--|------⌫-⌫--|
uint e n lapresse sur	---|-⌫|-|-----|--|
lesal tres s	--|--⌫---||
escrietEdistalrei	------||---|-|--|
Neuosesmaiez	-|--|------|
Ren cesualsirai	---⌫------|---|
Rolla ntoci r e	-----⌫-|---⌫-⌫|
enporterat	-|-------|
X II. per suntremésenmartirie	-⌫--|--|---|-----|-|-------|
uee zmespeekid or	---⌫||----|-||-|
e st enh eldie	-⌫-|---⌫----|
S ilatramistliamiralzde	-⌫|-|------|-|------|-|
Iou os ple uisquen	-|-⌫-|---⌫--|-|-|
ue rme il lsanc ert mise	--⌫---⌫--⌫|---|--|---|
Franceis murrun t e	-------|------⌫||
Franceenerthunie	-----|-|--|----|
Ca rle sliuelz	--⌫---⌫|-|---|
alabarbe flurie	|-|----|-----|
Iam aisn ertiurnqu	---⌫--||--|---|-|
iln en ait	-||-|--|
Iusq uaunan	----⌫||-|-|
Fra nces aisie	---⌫--|-⌫----|
G es irporrumel burc	-⌫--⌫-|-----|-|---|
Lireispaiensparfundement	-|---|-----|-----------|
lencline t	|-------⌫|
Chernublesde	---------|-|
Iosq uala teresi cheuoel libal ient	----⌫||-|---|-|------|-|---⌫---|
Greignorfa isportetpargiuquantilsen uei set	-------|--⌫-|-----|--|--|----|-||--⌫---⌫--|
IIII. muleznefun t quan t	----|----|-|---⌫|----⌫|
ilsumei ent	-|-----⌫--|
Icele tereçodit	----|---|--|--|
dunilesteit	--|-|-----|
Soleillniluis tnebletnipoet	------|||----⌫|-|---|||---|
p as cr eistre	-⌫-|--⌫-----|
Pluienic hetru s eenia deiset	----|||-⌫--|--⌫-⌫-|||-⌫-----|
Piereniadqu etute	----|||-|--⌫|---|
neseitn eir e	-|---|-⌫---⌫|
Die ntalq uanz quedïab lesi m eignent	---⌫-|---⌫---|--|-----⌫--||-⌫------|
Chernuble s	---------⌫|
Mabone espe eaic e inte	-|---|----⌫|-|-⌫-⌫---|
Rencesuals iola	---------|-|-|
tei ndrai uermeille	---⌫----|--------|
Rollan t li p r ozen mi maueie	------⌫|-|-⌫-⌫-|--⌫-|-|---|
Senel asailldunc nef azio	-|-||-----|---|-|-⌫-|-|
que creire	--|-----|
Si cunqu e rrai	-|-----⌫-⌫---|
Durend alodl a	------⌫-|-|-⌫|
Franceismurrunt e	-------|------||
France enert	-----|-|--|
deserteAicezmozli.	------||---|--|-||
Itels .C.milie	----|--|----|
Sarrazi ns odel sme inen t	-------⌫-|-|--⌫|--⌫----⌫|
Kidebataille s	-|-|-------||
arguë ntehasteien t	------⌫-||--------⌫|
uu nts a duberde suzune sapide	--⌫-||-⌫----|--⌫--|--|-----|
Pa iens ad ubentdes osbercs sarazin eis	--⌫--||--⌫----|--|------|-------⌫--|
Tuit li plusur	---|-|-----|
en suntdublezen	-|---|-----|-|
La cen tlor elmesmultbonssar raguz e i s	--⌫---⌫|--|----|---|---|---⌫-----⌫-⌫-⌫|
C eignent espees	-⌫------|-----|
de l aceruianeis	-||---|------|
Escu z unt genzespiezu alentineisEgunfanunsb lancseb lois	----⌫|--|---|-----|-⌫---------||--------|-⌫----||-⌫---|
e uermeilz	|-------|
La issentle smuls	--⌫-----|--⌫|---|
etuz lespal efreiz	|--|--|---⌫-----|
Es destrersmunte ntsi	-|-------|-----⌫-|-|
cheualchentestreiz	----------|------|
Clersfut l i iurzebels	----|--|-⌫|---||---|
fut l isol eil zN untguar nementque	--|-⌫|---⌫---⌫||--|----⌫-----|--|
tutne reflambeit	--|-|---------|
Sunent mi lgrail l esp o rço que	-----|--⌫|-----⌫-⌫-|-⌫-⌫|--|--|
plu s belseit	---⌫|--|---|
Granzestlanoise siloïrent	----|--|-|----|-||------|
Fran ce is	----⌫--⌫-|
Sire cumpainzce	---|-------|-|
Sarrazinspurum batail leaueir	--------|----|------⌫-|----|
Deusla nu sotr eit	---|-|--⌫|---⌫--|
Bendeuunsci estre purnostrerei	--|-----|-|----|--|-----|--|
Pursunseignordeit	--|--|------|---|
homsusfrirdestreiz E endurereg ranz	--|------|-------||------||-⌫---|
chalz eg ranzfreiz	----||-⌫---|----|
S inde i thompe rdree	-⌫-|--⌫-⌫|--|--⌫---||
del quiredel	--|---||--|
Or guartchascunsquegranz colpsi empleit	-|----|-------|--|----|----||------|
Qu e maluaisecan çundenuschantet n eseit	--⌫|-------|---⌫---|-|--|------|-⌫|---|
Paienunttort echrestïen s	----|--|---||----------⌫|
Maluaiseessample	-------|-------|
nense ratiademei	|-|--⌫--|-|-|--|
Oliuer estdesur unpui	-----|--|----|-|--|
Gua rdetsu dest re parmiun ual herbus	---⌫---|-|----⌫-|--|-|-|--|-----|
Si ueitu e nircelegent	-|---|-⌫-⌫--|---|---|
Rollantsuncum paignun	------|--|---⌫------|
Espa igneuei	----⌫---|--|
uenir tel br u u r	----|--|--⌫-⌫-⌫|
Ta nzblancsos bercs	--⌫-|-----|--⌫----|
tanz elme s flambi u s	---|----⌫|------⌫-⌫|
Icist ferunt nos	----|-----|--|
Franceis gr antirur	-------|--⌫--|---|
Gu enes lesoutlifel litraïtur	--⌫---|-|---|-|--|-|-------|
iugatdeuantlempere ür	----|-----||------⌫--|
Oliuerli quens	-----|-|----|
Rollantresp unt	------|----⌫--|
Mis parrastreestn euoeill quemot ensuns	--|--------|--|-⌫|-----|--|--|-|---|
Ol iuer estd esurunpui muntet	--⌫---|--|-⌫---|-|--|-----|
Or uei tilben	-|---⌫|-|--|
Esp aign e l ere gnetE	---⌫----⌫|-⌫|--⌫---||
Sarrazins kitantsun ta semblez	--------|-|---|---⌫|-⌫------|
Luise ntcilel me kiadorsunt	-----⌫-|--|--⌫-|-|-|-|---|
gemmezEcilescuz ecil o sbercssafrez	-----||--|----||--|-⌫-----|-----|
Ecile spiez	|--|-⌫----|
cilgunfa num	--|-----⌫--|
Sul lesesc helesn e po etil	--|--|---⌫----|-⌫|--⌫-|-|
Tan t eni ad	---⌫|-||-|
qu emesurenenset E lui meïsm een	--⌫|-----||-|--||--|------⌫|-|
estmultesguaret	--|---|-------|
Cumileinzpoutde l pu iestaua le t	--|-|---|---|--⌫|--⌫|--|---⌫--⌫|
Franc eistu tlur adacuntet	-----⌫--|--⌫|--|-|------|
Ioai paiensu eüz	-|-|-----|-⌫---|
Unc mais nulshom	--|---|---|--|
nenuitplus	|-|--|---|
Cil deuan t	--|-----⌫|
sunt .C.m ilie ad	---|--|-⌫---|-|
Hel meslaciez eblancs osb ercsuestuz	---⌫--|-----||-----|---⌫---|-----|
Dre it esc ez	---⌫--⌫-|-⌫-|
hanstesluisent cil	------|------|--|
esp iet brun	---⌫--|---|
Bat aill eaurezunchesmais	---⌫----⌫|----|-----|---|
Francei sde	-------⌫|-|
Deuaie zuertut	--|---⌫|-----|
E lcam pestezquene	-⌫|---⌫|----|--|-|
seium uencuz	----|-----|
Deh e taitki	---⌫-⌫|--|-|
Ia purmu rirne	-|--|--⌫--|-|
uus enfaldratuns	--|-|------|--|
Paienun t grant esforz	----|--⌫|----|-----|
Fran ceismi semblet a ue irmul t	----⌫---|||------|-⌫--⌫-|---⌫|
Rollantka rsune zuostreco rn	------|--⌫|----⌫|-----|--⌫-|
Si l orrat	-||----|
C a r lessi returne r atlost	-⌫-⌫-⌫--|-|-------⌫-⌫-||--|
Iofereiequefols	-|-----|--|---|
F ra nceen perdreiemun	-⌫--⌫--|-|-------|--|
Se mpr e s ferraide	--⌫---⌫-⌫|-----|-|
Durendalgranzcolp s	-------|----|----⌫|
Sanglant en	-------|-|
ertlibran z e ntresqu a lor	--|-|----⌫|-⌫------|||-|
Felun pa ie n	----|--⌫--⌫|
ma r i ui ndrentasporz	--⌫||--⌫-----|-|---|
Io uo spl euis tuz sunt iug ezamort	-|--⌫|--⌫---|--|---|---⌫-||---|
C u mpa inz	-⌫-⌫---⌫--|
R ollant l	-⌫-----||
oli fancar	---⌫--|--|
S ilor rat	-⌫||--⌫--|
Car les ferat lost returner	---⌫--|----||--|-------|
S uccurratnoslireisodsu nbarnet	-⌫-------|--|-|---|-|--⌫|-----|
Nep lace t	-|-⌫----⌫|
Que mi parentpur meiseient blasmet	--|-|-----|--|--|-----|------|
Francedulce iachee tenuiltet	-----|----|-|----⌫|-|-----|
Ei nziferraid e	--⌫-||-----|-⌫|
Duren da lase z	-----⌫--⌫|---⌫|
Ma bone espeequeaiceint al	-|---|----|--|-|----|-|
Tutenuerrez	--|-|-----|
lebrante nsanglentet	-|----|-⌫----------|
Felun paienmari su ntasemblez	----|----|--||--⌫-|-------|
Iouospleuistuzsuntamort	-|--|-----|--|---||---|
Rollantsunez	------|----|
uostreolifan	-----|-----|
estasporzp assan t	--|-|---|-⌫-----⌫|
Ie uospleuis	-|--|-----|
ia retur nerunt	-|-----⌫-----|
Queçoseitd itden ul	--|--|---|-⌫-|-|-⌫-|
hume uiuant	---|-----|
Nepur p aie n	-|--|-⌫---⌫|
queiase iecor nant	--|-|--⌫-|---⌫---|
auruntrepr oece	-----|----⌫---|
Quantioserai	----|-|----|
en labataillegrantE	-|-|-------|----||
ioferraiemilc olps	-|-----||--|-⌫---|
Durendal uerrez	-------|-----|
lacersan gle nt	|---|---⌫---⌫-|
Franceissuntbon	-------|---|--|
si ferruntuass alment	-|------|----⌫-----|
