quidiuerscontesuel tt retie r	--|-----|-----|---⌫|-⌫-----⌫|
congiepranent	-----|------|
de l orami s	-|-⌫-|---⌫|
sesenreuont e n lor pais	-||-|-----|-⌫|--|---|
merpas sen th astiu eme n t	--|---⌫---⌫|-⌫-----⌫---⌫-⌫|
bonoreorent et fo rt	--|--|----|-|--⌫-|
siilerrentlorche min	-|-|-----|--|---⌫--|
si encontrerentmeschi n	-|-----------|------⌫|
delam iemilo nuenoit	-||--⌫-|----⌫|-----|
en bret ai ngne pas s eruo loit	-|----⌫--⌫---|---⌫-⌫-|--⌫---|
elleliauoit	---|||----|
ora sontraua ila corcié	-||--|-----⌫-|-⌫------|
ba i lleensee lé	--⌫-⌫--|-----⌫--|
pa r l a pa roleliaconté	--⌫|-⌫|--⌫---|-||-----|
quesenuen istn e demorast	--||-|---⌫--|-⌫|-------|
mortestson	---|--|--|
sire ors e hastast	---|-|-⌫|------|
qu ant milonoi lan ouele	--⌫--|----|-|-|-⌫----|
am erueille lisembla	|-⌫-------|-|-----|
asonfilzla mostréetdit	|--|---|||------|-|--|
esso i nen eres pit	----⌫-⌫-|-⌫|---⌫--|
t anterrerent qu	-⌫--|-------|-|
ilsontu en u	-|---|-⌫--⌫|
auchastelouladame fu	-|------|-|-|---|-|
fuliedesonfiz	-|--|-|--|--|
qu i tante s toi tpreuzet gentiz	--⌫|---|-⌫-⌫---⌫|----|-|-----|
onquesnimanderent parenz	-----|||--------|-----|
sanzconseildet oza utresge nz	---|------|-|-⌫-|-⌫----|--⌫-|
lor fi l zandeusl esasembla	--|--⌫-⌫|-----|-⌫-|------|
la mer e aupereto stdonna	-|---⌫|-|---|--⌫-|----|
engrantbien	-|----|---|
etengrant doucor	-|-|----|-----|
uesq uirent puisagranthonor	----⌫-----|---||----|----|
de lor amor	-|--|---|
etd e lorbien	-|-⌫|--|---|
firentlelaili ancien	-----|-|--|-|-----|
etiequi l a i	-|-|--||-⌫|
misen esc rit	--|-|---⌫--|
elrecontermolt	-|-------|---|
