quibonscountesuoet entendre	--|---|------|---|-------|
enusentretant puruerum	|--|--------|-------|
a lkunaltrebonaches un	-⌫---|----|--|-----⌫-|
l afere dita	-⌫|---|--||
lames chine	-|---⌫----|
troueemauez lamecine	-----||---|-|-----|
eleconfort	|-|------|
d emadolur	-⌫|-|----|
bie npass e rumce stprimer iur	---⌫|----⌫-⌫--|--⌫-|-----|--|
le i urqemis	-|-⌫-|-|--|
futdelrespuns	--|--|------|
n esubl ientpas	-⌫||---⌫---|--|
eusremaneir	--|-------|
bienquide ntlur respunsauer	---|-----⌫-|--|------|---|
siou rentilmespasn aueient	-|--⌫---|-|--|--||------|
ic elrespun scumi luolei ent	--⌫-|------⌫|--|-⌫|-----⌫--|
lib aron uontd e ceo p arler	-|-⌫---|---|-⌫|--|-⌫----|
ecom encent a estriuer	|---⌫-----||-------|
liu nuolentkealreiparo ut	-|-⌫|-----|-|-|--|----⌫-|
ceoqe uo lt	--|-|--⌫-|
lun lautr edesuolt	|-||----⌫|------|
anfi unun quensdelaterre	----⌫-|-|----|-|-|----|
il cuu eita p lus peske	-|---⌫---|-⌫--|--|-|
richeshomfutmesueu lz esteit	-----|--|--|--|---⌫-|-----|
mu t est eitsaiueemu t	--⌫|---⌫--|----||--⌫|
emut reesteit	|--|-------|
pr uz ecurte is	--⌫-||-----⌫-|
muts out desancien eslais	--|-⌫--|--|------⌫-|---|
leplussagehomeert del pa is	-|---|---|---|--|--|--⌫-|
kargr a nt	--|--⌫-⌫-|
pec eadk il outapri s	---⌫|-||-|--|----⌫|
ce st anf io n pa rla pr emer	--⌫-|---⌫--⌫|--⌫--|--⌫---|
ke nostred ame par	-|-----|-⌫--|--|
nus de itme nerate l tribuil	--|--⌫-|--⌫--||--⌫|------|
ensaiustise	-|-|------|
e asezpetittuzn uspr ise	|---|----|--|-⌫-|--⌫--|
admi sassa i	-|--⌫|----⌫|
line c heutmeskaitle de lai	-|-|-⌫---|--||--|-|--⌫--|
sac hezenr espit	---⌫--|-|-⌫----|
le met t ereit	-|---⌫-⌫----|
su ff rirle uodereit	--⌫--⌫--|-|-------|
d i hez aiei eocum culuert	-⌫-⌫--|--|-⌫-|--|------|
de meiep artseilertsuffert	-|---|-⌫--|-|-|--|------|
elemult tostsegnur prendra	--|---|---|-----|------|
u mun seruise	|--|------|
emeiperdera	|--|------|
nepuspe rdrekaiperdu	-|--|--⌫---||-|----|
m esenem is meunt	-⌫-|----⌫-|-|--|
epurqueinepren t ele segnu r	|--|---|-|----⌫|--|-----⌫|
uncore iadencest honu r	-----||-|-|---|----⌫|
en fr an ceenpuilleuen sez ile	-|--⌫--⌫-|-|-----||-|---⌫--|
d ebons cheualerst eu sdismile	-⌫|---|--------|-⌫--⌫|--|---|
dunt uole n ters sensplusa tendre	---|----⌫-⌫---|---|---|-⌫-----|
doustmultbien auk un	----|---|---|---⌫-|
deuspr e nd r e	|--|--⌫-⌫--⌫-⌫|
ildistueirme spasne	-|---|---|--⌫|--|-|
en ce s te rresau kunsaueit	-|--⌫|--⌫---|--⌫---|----|
k ele pr endreit mutuolent ers	|--|--⌫------|--|------⌫--|
niaur ei tia u nsuldangers	||---⌫--⌫|-|-⌫|--|------|
a mfi onparlamut parire	-⌫---⌫-|----|--|--|--|
tantf utirez nepout	---|-⌫-|---|-|---|
d riasesttostleué enpez	-⌫---|--|---|----|-|--|
sir ea mphi onne e sme ruell e z	---⌫|-⌫----⌫-|-|-⌫---⌫-----⌫-⌫|
nad p a suncore trent eanzcoquit	|-|-⌫-⌫|-----|-----⌫|--|-|---|
n e eusez siparle ́ ned it	-⌫|----|-|-----⌫|-|-⌫-|
purtr e stutlordec este terr e	--|--⌫-⌫---||-|-|-⌫---|----⌫|
desoresuus estoit ha irguerre	--|---|--|-----|--⌫-|-----|
delitenezt ant riche fiu s	-|-|----|-⌫--|----|---⌫|
e tantesterrese tanzlius	|-----|-----||---|---|
siunri ch e reiuus	-|-|--⌫--⌫|--|--|
meu stguerr e	---⌫-|-----⌫|
tenir deus sezuostre	----|----⌫--|-----|
euersuos ene misdefendre	|---|--|---⌫--|-------|
mesk eleuousists ibarunprend re	--||--|------|-⌫|----|-----⌫-|
kelir ei s nel seust sis	-|-|-⌫--⌫|-||----|--|
si l deueriez	-||-------|
uus cuntredire	--|---------|
ce rteskieleli lorra	--⌫---|-|--|-|----|
gueresdequerne lamera	-----|-|---|-||----|
messil uol eientli barun	--|-||---⌫----|-|----|
eledemandemu tgrant re isun	--|------|--⌫|----|--⌫---|
e nussi feimes	|--|-|-----|
alr eienueumnosmessages	-|-⌫-|-----|--|-------|
d enoz parz	-⌫|--|---|
edeparl afiere	|-|--|-⌫|----|
io siuusu olez lun	-|-|--|-⌫---||-|
uusamf ion resee z	--|---⌫--|-----⌫|
si sei tnostre	-|---⌫|-----|
c u nseil cumun	-⌫-⌫----|----|
siateignum	-|-------|
tutcest afere	--|---|----|
selefetpurb enu pur	|--|--|--|-⌫-||--|
cont rarie	----⌫----|
amfionmultseaira	-----|---|-|---|
de coqedri assi parla	-|-|-|---⌫-|-|----|
mescilce ofist	--|--|--⌫|---|
kar multfut degra nth a rdement	--|---|--|-|---⌫-|-⌫-⌫------|
no u ten kalabredesam ain	|-⌫-⌫|-|------|-|-|-⌫--|
sibonuass alnes i certain	-|--|----⌫-|-|-⌫|------|
amfionfo rm entirezfu t	-----|--⌫--⌫--|---|--⌫|
e nekedent	|-------|
bien aparcu t	---|------⌫|
ke tui t libaruns et eneient	-|---⌫|-|----|-⌫|-⌫------|
oddri a skar	-|---⌫-⌫|--|
reisunaueient	-----|------|
ensunquerpensas e puisui ure	-|--|---|----|-⌫|---|--⌫--|
elnert passiuncordeliure	-||--|--|-|----|------|
pur colungesnereme indera	--|-|-----|-|----⌫-----|
abr ef termeseignur prend ra	|--⌫-|----|------|-----⌫-|
a pres dita drias	-⌫---|--||----|
orefetezuusde m eiuozgabs	--|----|--|-|-⌫-|--|---|
siieofussed elaiuuent e	-|--|----|-⌫|-|------⌫|
u dequaran te an zu detrente	|-|------⌫-|--⌫||-|-----|
tutfe isse e lmun	--|--⌫---|-⌫|--|
tel uei p arl er mutquointe ment	--|--|-⌫---⌫-|--|-------⌫---|
einz quile issi s t	---|-|-|-⌫----⌫-⌫|
de cesteplace	-|----|----|
lisanc li sau d ereit de	-|---|-|---⌫-⌫----|-|
driasententbencestelanguage	----|-----|--|----|-------|
irez apoines	---||--|-||
oezdecel ueilasote	--|-|--|---|----|
unccel iurne	--|--|--|-|
fut aiurné	--|------|
ke uusf ussezdetel	-|--|-⌫----|-|--|
kereuila sse	-|------⌫--|
u ostre escu	-⌫----|---|
ceo estla custumedesantis	--|--|-|------|--|----|
ueillesce sun tsurp r is	--------|---⌫|----⌫-⌫-|
d untceou oilent ateus	-⌫--|--|-⌫-----||---|
k edeceori en nepotmen b rer	-⌫|-|--|--⌫-|-|--|---⌫-⌫--|
quelieofuiacel tens	---|--|--||--|---|
cume repruz	--|-⌫-|---|
edegra n tsens	|-|---⌫-⌫|---|
cumere deg ranthardement	--|--|-|-⌫---|--------|
cumuencquicel turne me nt	--|------|--|-----⌫--⌫-|
cumpurrunt les	--|------|--|
iofnessauei r	-----|-----⌫|
seilmen tentu	-|-|---⌫---||
sei l dientu eir	-|-⌫|----|-⌫--|
malueisementlemust rezci	-----------|-|----⌫--|-|
keunkesnefussez pruznehardi	-|----|-|-----|---|-|----|
mesk eseez	--|-⌫|---|
degranthee	-|----|--|
sideueriezl a	-|-------|-⌫|
a ueir se elne pussezfaire	-⌫---|-|-|-|-----|----|
me s oreuusest	--⌫|--|--|--|
tut acuntrai re	--||-------⌫-|
esisache z b ena e struz	|-|-----⌫|-⌫-||-⌫----|
unco re senuend raelep aruus	----⌫-||-|----⌫-|--|-⌫-|--|
autr egre s aueirneuus	----⌫|--|-⌫----|-|--|
ke lireislieusttol ei t	-|-|---|-|---|---⌫--⌫|
t erreealezpar	-⌫---||---|--|
for faiture	---⌫------|
tr opau er iu mfetgr ant leidur e	--⌫-|--⌫--⌫--⌫|--|--⌫--|------⌫|
s ideusumsuf ri r	-⌫|-----|---⌫--⌫|
mesceo nau en dramieen	--|--||--⌫--⌫--|--|-|
kend ites seignur barun	|-|-⌫---|------|----|
estuusauisc oseit	--|--|---|-⌫|---|
l ibarun unbien entendu	-⌫|----|-|---|------|
k eco q il dist gra ntreisun fu	-⌫|-||-|---|---⌫-|-----|-|
bie nsieuentqelireis e st	---⌫|------|-|-|---|-⌫-|
si pruz si fiers esi curteis	-|---|-|----||-|------|
tropaue reient uerslui mesfait	---|---⌫-----|---|--|------|
s efeissentsenz lui telpleit	-⌫|-------|---|--|--|----|
to st se rreient desh eitez	--⌫-|--⌫------|----⌫----|
selicuns e ulz	-|-|----⌫-⌫--|
f ustceus donez	-⌫--|---|----|
communemen tunt	----------⌫|--|
leprimesseitalrei	-|-----|---|-|--|
mu s tr e ́	--⌫-⌫--⌫-⌫|
purue ienttostle s queus irrunt	-----⌫---|---|--⌫|----|-----|
e alrei ces brefs por terunt	|-|--|--|----|---⌫-----|
iluntesleubar unstrei s	-|--|----|---⌫--|----⌫|
de splussagesep lus curteis	--⌫|---|----||-⌫--|------|
lunfutdriaslautreamfiun	|-|--|----||----|-----|
e litierzfu t eu ri medun	|-|----|--⌫|--⌫--⌫----|
tostu nt ala fiere	---|-⌫-||-|----|
un t dite deui sé	--⌫|--||----⌫--|
elegranteceo qefaitunt	--|-----|--|-|---|--|
cilpren nentles br efssisenuont	--|----⌫---|--|--⌫--|-||-|---|
l imess ages en suntale z	-⌫|----⌫--||-|---|---⌫|
dehast er s	-|----⌫-||
en suntmutpen ez	-|---|--|---⌫-|
tan t unt erréde	---⌫|--|----|-|
uileenuile	---|-|---|
tutseinssuntu enuz en	--|----|---|-⌫---|-|
lereiunttro uésein t edru	-|--|--|---⌫--|----⌫||--|
su ntmut bienuenu	--⌫-|--|---|---|
m utpa rlur porte	-⌫-|--⌫|--|----|
gran thonur	----⌫|----|
ne uoldrent fer el uncsugur	-|-------|---⌫|-⌫--|----|
mesm ust ré li unt	--|-⌫---⌫--|-|--|
dech ef ench eftut lur mess age	-|--⌫-|-|--⌫-|--|--|----⌫--|
illeses cute bonemen t	-|--|--⌫---|-------⌫|
lesbrefqilapo rt ent	--|---||-|---⌫--⌫--|
bienentent	---|-----|
m ut sa ge me ntl urrespund i	-⌫-|--⌫--⌫--⌫-|-⌫-|-------⌫|
se ignursuus en	--⌫-----|--|-|
irr ezdeci	---⌫-|-|-|
humes parlerai	----|-------|
abre f termeuus	|---⌫|----|--|
resp unde rai	----⌫----⌫--|
li reisenad mut tost	-|---|-|-|--|---|
cap aneus li ad	---⌫----|-|-|
kilaut od euse nceleterre	|-|--|-|--|-⌫|---|----|
e ostlachesun dela	|--||------|-|-|
ceoestmu ttost	--|--|--⌫|---|
cunseillez	---------|
as messagesestrepairés	-|-------|--|--------|
eluraddi tke	|--|-|--⌫|-|
s efacentmuttostaprester	-⌫|-----|--|---|-------|
mandea seshumesnature us	----||--|----|------⌫-|
sislosesiscuns e illee stte us	--|--||--|----⌫-⌫---|-⌫-|--⌫-|
k ilapres eusmultto stir ra	|-|----|--|---|--⌫-|--⌫-|
pais adrescera	---|--------|
comuncunseild eu stuz	----|------||--⌫|--|
t e usertd esuskiestdesuz	-⌫-⌫-|--|-⌫---|-|--|----|
aunmeis lesad tuzasis	|-|---|--|-|--|---|
kenfinlauerent enlur	|-|--||------|-|--|
limessage diloc se nturnent	-|------||---||-⌫|------|
poie zsau eir	----⌫|---⌫--|
p as ne sui urnent	-⌫-|-|---⌫-----|
reuenuz sunteas barun s	------|---||-|-----⌫|
u nt mutbienrendulurresp un s	-⌫-|--|---|----|--|----⌫--⌫|
esilruntmustréala	|-||---|------||-|
queqeselep ensastatm utbele	-----|--|-⌫-------|-⌫-|---|
ffist del reie de ses	----|--|--||-|--|
keuenirdeueiontelpa is	-|----|-------|-|--⌫-|
ioqu ise cest	-|--⌫|-|---|
anni ueneit	-|||-----|
de plusdolensneserreit	-|---|-----|-|------|
ki chautcumentkilseitalé	-|----|-----||-|---|---|
ff emesnuntpa stut ublié	--⌫---||--|--⌫|--|-----|
depurueerlurpointauant	-|------|--|----|----|
iequi kelesepurue rrattant	-|--||--|-|-----⌫---|---|
kelesuff rerat lap udre as oilz	|--|----⌫----|-|-⌫---|-|---|
iofnese asplusu e ulz	-----||-|---|-⌫-⌫--|
ne l feratpas	-||----|--|
del t utendart	--|-⌫-|-----|
kelenauera mutbiensa part	|-|-|----|--|---|-|---|
lun ditsuue ntenreprouer	|-|--|----⌫-|-|-------|
keteusqui deautree ng ingner	-|---|---⌫-|----|-⌫--⌫-----|
est en s ign ezal c hef	--|--⌫-⌫---⌫-|-|-⌫--|
de re n s i suue ntcumd amur	-|--⌫|-⌫|----⌫-|--||---|
meleagercilsr eisantis	-------|---|-⌫--|----|
ne ubliapasle iurasis	-|----|--|-|--|---|
les plussagesd esesbaruns	--|---|----|-⌫|--|-----|
elesanci ens asum uns	|--|----⌫--||---⌫--|
ni uolt n ulmenerdes	||---|-⌫-|----|--|
od grantbruiteissi	-|----|----|----|
odgrant cunreiodgranth ernei s	-|----|-----|-|----|-⌫-----⌫|
mut eire bencumriche reis	--|---|--|--|----|---|
capaneus od luii uait	-------|-|--||---|
guer esde demu re r	----⌫-|-|----⌫--⌫|
nunt fa it	|--|--⌫-|
tutdreitaliurqe nume ́fu	--|----|-|--|-|----⌫|-|
enc alabre estlireis	-|-⌫-----|--|-|---|
lafiereadoilanuuele	-|----|-|-|-|-----|
par se mblantmut lisemblabele	--|--⌫-----|--|-|-----|---|
purquantcomentkefustde li	--|----|-----|-|---|-|-|
lipop le smuts	-|---⌫--⌫|--||
mute stign el e renumee	--|-⌫-|---⌫--⌫|------|
ias auenttutp arlacuntree	-|-⌫----|--|-⌫-|-|------|
ke melea ger e stuen u z	-|-----⌫--|-⌫-|---⌫-⌫|
oreiuientioueuse	--||----|-----||
tutsu ntlibarunasem blé	--|--⌫-|-|----|----⌫---|
acandre l a richecite	|-----|-⌫|----|---|
aceltenssi richeu ile	|--|---|-|----|-⌫--|
nencalabrenen	|-|------||-|
trestutces qedir eloiren t	------|--|-|---⌫||-----⌫|
mutpar cu uei tented esi rent	--|--|--⌫---⌫---||-⌫---⌫---|
oirlerespuns de lafiere	--|-|------|-|-|----|
ki tantade sté ena re re	-|---|-|-⌫---|-|-⌫--⌫-|
deprend reseignurorguilluse	-|-----⌫-|------|---------|
estut eefi ereede deignus e	-----⌫||--⌫--||--⌫-------⌫|
cilqele prendre uodera	--||--|------|-----|
k ita nt debons refuse ́a	-⌫|--⌫-|-|---|------⌫||
lafier eeissi odgrantn oblei	-|----⌫|----|-|----|-⌫----|
horsdecandrescuntrelerei	---|-|------|-----|-|--|
mut seentrefiren t	--|-|----------⌫|
bel semblant	--|-------|
e n la citesen	-⌫|-|---||-|
desqeeinzelchastelsun tu enuz	----|---|-|------|---⌫|-⌫---|
un oblement	|-⌫-------|
suntrecru z	---|-----⌫|
celiuraesesuiu rne rent	--|--|---|----⌫---⌫---|
mesli ba runneseublierent	--|-|--⌫--|-|-|--------|
eldeman quantleiur parutcler	-|----|----|-|--|----|---|
uuntlorbosoig mus trer	---|--|-----|---⌫---|
lireisentraen un uerger	-|---|----|-|-|-----|
meintboncheuale r	----|--|-------⌫|
asissestlez unefunteine	---||--|--|--|-------|
du nt le w e	--⌫-||-⌫-⌫|
esteitcleree	-----|----||
unlore ri outdeune part	-|----⌫||--|-|--|---|
quant tutlep lusescha ufee art	----|--|-|-⌫--|-----⌫--||--|
lisoleuzodsa	-|-----|-|-|
grantchalur	----|-----|
demeins nauer al ew e	-|----||----⌫||--⌫|
la sestme leager asi s	-||--|--⌫-----|---⌫|
emeintnoble	|----|----|
laf ier e est elu ergerentré	-|-⌫---⌫|--|-|-⌫----|-----|
mutparert elbe lee	--|--|--|-|--⌫-||
luitr ente	--|--⌫---|
mult b ien uestues emutbels	---|-⌫--|------||--|---|
cescune r tdeb e autesifine	-----|-⌫-⌫|-|-⌫-⌫---|-|---|
k ep oust e st r ereine	-⌫|-⌫---|-⌫--⌫-⌫|----|
epar beauteepar cor sage	|--|-----||--|---⌫---|
ede bounteedeparage	|-|-----||-|-----|
mes la fiereta ntbel fut	--|-|----|--⌫-|--|--|
d esautresbien damepar ut	-⌫-|-----|---|---|---⌫-|
deuantles autres estuenue	-----|--|-----|--|----|
dunuermailcendal	|-|------|-----|
estues t ue	--|---⌫-⌫-|
limanteaus	-|-------|
futdeu airfurré	--|-|-⌫--|-----|
leger sfutcum el	-----⌫|--|--|-|
tensdes te	---||--⌫-|
auketes futcu rtb ienli	------|--|--⌫-|-⌫--|-|
asesatachessamain tint	|--|------|-|---|---|
siqe lemanteusent re oueri	-|-|-|------|---⌫-|----|
e li beauc orsparutparmi	|-|---|-⌫--|----|----|
n esteitpas	|-----|--|
furréliblianz	-----|-|-----|
ne luoleit pas purlegrant	-||-----|--|--|-|----|
de chefencheflacéesteit	-|---|-|---|----|-----|
s a nuec harparmi p areit	-⌫|--|-⌫--|----|-⌫----|
tutdeslacentureen a munt	--|--|-|------|-|-⌫---|
blanc outle pizblanche	----|--|-|--|------|
p eitri ne	-⌫-----⌫-|
asezpluskeflurdaubespine	---|---|-|---||--------|
entursunc hefout un cerc el	----|--|-⌫--|--|-|----⌫-|
definoroueré bene bel	-|--|-|-----|--||--|
kecescheue usens e m ble	-|--|-----⌫-|---⌫-⌫-⌫--|
estrangementbien liauint	-----------|---|-|----|
lacrineparfutsitr esbloie	-|----|--|--|-|--⌫-|----|
suld e l esgarde rfutgran tioie	--|-⌫||-------⌫|--|----⌫|---|
adeustres ces tr ec eeesteit	|---|----⌫--|--⌫--⌫-|-----|
pluskeoresmer ére lu seit	---|-|-|-----⌫-|--⌫--⌫---|
aunfild orf ut galuné	|-|--||-|-⌫-|------|
cele f emmene fut unkenee	---|-⌫---|-|--|---|--|
oustnesi fi ne	---|-|-|--⌫-|
ple inpeater re	---⌫-|-||---⌫-|
l i traine	-⌫|-----|
ki dun c ueist cel largefrunt	-|---⌫|----|--|----|----|
l agreu e traitice amunt	-⌫|----⌫|-------|----|
lib eausoilz lesre gars	-|-⌫---|---|--|--⌫---|
mutle tenderentsagee pruz	--|-|--------|---||---|
esgardaste nmileu is	--------|-⌫--|-|-⌫-|
amurnefust supris	---|-|---|-----|
cler eface	----⌫|---|
outcumflur de lis	--|--|---|-|--|
belebouc heodsimple ris	---|----⌫-|-|-----|--|
lesleueresun poiespessettes	--|------|-|--|----------|
pu r benbeser	--⌫|--|----|
a ukes gross ette s	-⌫---|-----⌫----⌫|
ionequitmiekenatu re	-|-|---|--|-|----⌫-|
lesoustfetdetelmesure	--|---|--|-|--|-----|
fforss ul purbeser	----|-⌫-|--|----|
mutestmu sartkicest nentent	--|--|--⌫---|-|---||-----|
lesespall es	--|------⌫-|
ou tsibien	--⌫|-|---|
fussent de mainsp urtrettes	------|-|----|-⌫--------|
leshanchesbasses le cors ge nt	--|------|-----|-|---|--⌫-|
nioutareprendrenee nt	||--||--------|---⌫-|
elunges edreizaueitlesb r az	|-----||----|----|--|-⌫-⌫-|
l assés defr eseause	-⌫-----|-|--⌫-----||
ne par ut rienpa r m i	-|---⌫-|---|--⌫-⌫-⌫|
l orf rais	|---⌫---|
ffor lacharblanchecumneifis	---|-|---|------|--|-----|
lesmainsout	--|----|--|
blanc heslung sde iez	-----⌫--|----⌫|--⌫--|
teus milla uirentc ele fei z	---|--|-|-----|-⌫--|---⌫|
d unt ches cuns	-⌫--|----⌫---|
p ur samurfremist	-⌫-||---|------|
dun t el eunkes ga rdeneprist	---⌫|--⌫|----|--⌫--|-|----|
beaus outlesm emb res tuz	----|--|--|-⌫---⌫--|--|
kenditesuusdeceldesuz	|-|----|--|-|--|----|
kenusap elumle	-|--|--⌫---|-|
iequitqe asezfutpetitet	-|---|-|---|--|------|
ue rslereiuaitun poi	--⌫-|-|--|---|-|--|
kie strang ementlaenbeli	-|-⌫------⌫----|-|-----|
tenskadam futfurmez	---||---|--|-----|
primese st orez	-----|-⌫--⌫---|
nesesoutpe n ern ature	-|-|---|--⌫-⌫-|-⌫----|
k elfurmast	|-|------|
te lcre ature	--⌫|---⌫----|
parestudienepar penser	--|------|-|--|-----|
kepusip o us tasener	-|--||-⌫-⌫--⌫|-----|
keunkessibe le	-|----|-|--⌫-|
poustfaire	----|----|
nedeuiaire	-|-|-----|
teustreiscenziout asemblé	---|----|---||--|-------|
kieinzcel iur furentame ́	-|---|--|--|-----|---⌫|
quantsibeleueniruirent	----|-|---|----|-----|
amerentkei l einznefi rent	------|-|-⌫|---|-|--⌫---|
ki uncn e en	-|--|-⌫|-|
pense r ent	-----⌫-⌫--|
grant beau te supris	----|----⌫-|-----|
ne sichanu	-|-|----|
nefustpurlitutes perdu	-|---|--|-|--|--⌫----|
aukee s celeementsuspire	-----⌫|--------|------|
nefust entreeusl e parente	-|---|----|--|-⌫|------|
tropde fin querl oust	---|-|--|---||---|
benuittrop serreitg rant bes l ei	--|--|---|------|-⌫---|---⌫-⌫-|
kar ilertmut lea us ensei	--|-|--|--|---⌫-|-|--|
ueis t ipome don	----⌫|-----⌫--|
il n eauereit gueresdesun bon	-|-⌫|------|-----|-|--|--|
c ilkila ui st	-⌫-|-|-|--⌫-|
e nsaseisine	-⌫|-|------|
tant la ma de bona mur	---||-⌫-|-|--|-⌫--|
aukundesonsest	----|-|---|--|
nifau der a m ieke il ne	||---⌫---⌫|-⌫-|-|-|-|
ki sages e pruz equointesfuz	-|----||---||-------|--|
cilkeodlui	--|-|-|--|
c umeinz uusdis	-⌫-|---|--|--|
ertprimesuenuzelpai s	--|-----|----|-|---⌫|
quant ilni	----|-|||
uindrentforseust re is	-------|---|--|-⌫--⌫-|
cis tgarzfutuaillanzecurteis	---⌫|---|--|-------||------|
bensout les estresdel	--|---|--|-----|--|
sisires laue itlatramis	-|----||---⌫-|-|-----|
nuueleso ir l enuea	------|-⌫-||----|
d elarenkei lpl usama	-⌫|-|--|-|-⌫|--⌫-|--|
ci s tuadle zout n unegeon	--⌫-⌫|-----⌫|--|-⌫-|----|
mutparl amaipomedon	--|--||--|-------|
la fi er e deke	-|--⌫--⌫|---|
li reis sautsusela	-|---|---|--||-|
p us est deiuste	-⌫-|--|------|
cil kil es gar dent enmi	--|-||--⌫---⌫---|---|
asezdientcelee m ent	---|----|-----⌫-⌫--|
esmerueillumneent	-----------|----|
seceste estfereeorgu illuse	-|----|--|---||----⌫-----|
nunseignurprendre desdeignu se	--|------|------|---------⌫-|
am fion conepensatm ie	--⌫---|-|-|-----|-⌫-|
lare ncundria spasne	-|--⌫---|----⌫|--|-|
mutert redn ables eparlers	--|--|----⌫----||------|
enpiezsallitrestutpremers	-|---|----|------|------|
riches re isentendezamei	-----|--⌫-|-------||--|
dirraisic umiocrei	-----|-|-⌫-|-|---|
s irecodientcistbaru n	-⌫--|-|----|---|----⌫|
desoremesserre itbienre isun	--------|-----⌫-|---|--⌫---|
kelafiere preistseignur	-|-|----|-----|------|
tro p e s tgu astee	---⌫|-⌫-⌫|--⌫----|
cestho nur	---|--⌫--|
n iga r raforsseignurprendre	||--⌫-⌫-|---|------|------|
edefendr e	|-------⌫|
respuntb eausdulz amis	------|-⌫---|---|---|
k en dit e suusdecest	|-|---⌫-⌫|--|-|---|
d ekil auezuus purueu	-⌫|-||---|--|-----|
a uez li uusnuleslu	-⌫--|-|--|--|---|
sireele est en choi sdeplu surs	---|--|--|-|----⌫|-|---⌫---|
kit restuzleiment paramurs	-|-⌫-----||-----|--|----|
du ntelen ertpasdespara gee	--⌫-|--||--|--|-------⌫--|
neauile ́neabeissee	-|-----⌫|-|-------|
ue ezle fizle ducd	--⌫-|-|--|-|--||
tenugrantengaagne	---|----|-------|
be a ssire	--⌫-⌫|---|
reiscom est auis	---|-||--|---|
estdegr antpris	--|-|--⌫--|---|
p ruzdesk en sacuntree	-⌫--|---|-|-|------|
la serreit	-|------|
elemut ben dun ee	--|--|--|---⌫-|
ben keseilne la	--|-|-|-|-|||
enus tuzdestrura	|--|--|-------|
d rias outlafaceuermail l e	-⌫---|--|-|---|-------⌫-⌫|
enp i ez sai llie t	-|-⌫-⌫-|---⌫--|-⌫|
ditmeruaille	--|--------|
po ezseignursdeluioir	--⌫-|-------|-|--|--|
cu m ore uusuo lttres tuz	--⌫|--|--|--⌫-|----⌫--|
es trangeparolead o redite	--⌫-----|-----|-|-⌫-|---|
uoltked oinsumalui erite	---|-|-⌫-----||--|----|
alp lus fortke	-|-⌫--|---|-|
sei t enun r egne	---⌫|-|-|-⌫---|
uostredamea femme	-----|---||----|
nert iagranténe suffe rt	|--|-|------|-|-----⌫-|
ki uusadle	-|--|-|-|
po intd escoue rt	--⌫--|-⌫------⌫-|
oresaiben epeca s oi	--|--|--||---|-⌫-|
amfion keuus	-----|-|--|
reioreme sc ute z	--|--||-⌫--⌫---⌫|
seiodi ben orel entendez	-|-|-|--|--||-------|
uu snedeuezuol eirneent	--⌫|-|----|---⌫--|----|
kepurnullui ent icement	-|--|-----|---⌫------|
uost re neceseites pusee	----⌫-|---|---|--⌫----|
u s auuement	|-⌫-------|
ne seit du né	-|---|--⌫--|
iauerrezunsulherite	-|-----|-|--|-----|
ses garcons sedelite	--|------|-|-----|
keiapussepu rnu le ren	-|-|----|--⌫|--⌫-|--|
ffemmeennuerrer ne	-----|--------|-|
mestuz iu rsgroin g l iportera	--|--|--⌫-|-----⌫|-⌫|------|
par testemonieteli a	--|---------|--|||
kie nces tec untree meint	-|-⌫|---⌫-|-⌫-----|----|
safemmeasezde	-|----|---|-|
luisepleint	--|-|-----|
siregentilreisfetdrias	---|-----|---|--|----|
netenez m iec esteng abs	-|----|-⌫-|-⌫--|-|-⌫--|
ceoest un mester k e	--|--|-|-----|-⌫|
fem me het	---⌫-|--|
karquantele l aparceitese t	--|----|--||-------||--⌫|
iamessunbarunn a merat	----|--|----||-⌫----|
uis liestketoleitliad	--|-|--|-|-----|-|-|
trestuzlemeulz	------|-|----|
desundeduit	-|--|-----|
e m erie ne eiur enui t	|-⌫----⌫-||--||---⌫|
sauezuusreiskenus f acez	----|--|---|-|--|-⌫---|
a luimei smeencusell ez	|--|---⌫--|-|------⌫-|
ele es tmutueci eee	--|--⌫|--|----⌫-||
erese t plus de	|----⌫|---|-|
e meulzsetusisquersse	|----|--||--|----|-|
tuziurzalaissie	--|---|--|---||
ke femmeplus sunquerc rera	-|----|---|--|---|-⌫---|
autreuameruod ra	----||---|---⌫-|
multdesdegne ́	---|--------⌫|
dema lta l ent	-|--⌫|--⌫-⌫--|
frunchiste	--------||
oezfet ildanz reis	--|--|-|---|---|
nedeuumnusauer	-|----|--|---|
drias ladtuziu rzmaintenue	----||-|--|--⌫-|--------|
fo lieu s esttenue	--⌫--|||--|----|
pecakeleeustpr is	---||--|---|--⌫-|
nefust driasodsun s ermun	-|---|----|-|--|-⌫----|
ilad tuziurzsi	-|-|--|---|-|
tr opnu sad malement gre ué	--⌫-|--⌫|-|-------|---⌫--|
choutmesketermeeus t	----|--|-|----|---⌫|
dun éne fust	---⌫-|-|---|
n euuspeist amis	-⌫|--|----|---|
fe t lireis	--⌫|-|---|
dit cumcurtei s	--|--|------⌫|
defemmeprendre	-|----|------|
ne stmi e a billett e	|-⌫-|--⌫||-------⌫|
n eu altplusle rep e ntirre n	-⌫|-⌫--|---|-|---⌫-⌫---|--⌫|
lausestpr isset engeben	-|||--|--⌫-|-|-⌫---|--|
ildeitpar uus est reesgardé	-|---|--|--|---⌫-|-------|
eaukesa sauolen te	|----||-|-----⌫-|
es e eledit	|-⌫|--|--|
