formCHCor012	---|-------|
Ferri/ /.P O NfblMO RPH=empty	----||||-⌫-⌫---|--⌫--------|
etde touzmesautresoir s/	-|-|---|--|-----|---⌫||
PONfblMORPH=emp ty	-----|---------⌫-|
etquanque /.OUT OUT M ORPH=empt y	-|------|||--|--|-⌫---------⌫|
à/ .OUTOUT	-|||--|--|
MORPH=em pty	--------⌫--|
Linieuil e /.	--------⌫|||
OUTOUTMORPH= em pty	--|--|------⌫--⌫--|
tou te slesap pe nd ise sde	---⌫--⌫|--|--⌫--⌫--⌫---⌫|-|
L i ni eui le/ /.	-⌫-⌫--⌫---⌫-||||
PONfblMORP H=empty	-----|----⌫------|
/.OUT OUTMOR PH=empty	||--|--|---⌫-------|
et anhomages// .P ONfblMORPH =empt y	-|-|------||||-⌫----|-----⌫-----⌫|
toutesautres chose s//. P ONfblMORPH=empty	-----|-----|-----⌫||||-⌫----|----------|
etle ch astie ldeGileb eruiler//	-|-|--⌫-----⌫|-|-----⌫------|||
.PONfbl MORPH =empty	|-----|-----⌫-----|
et qa nqueiliapent//	-|--⌫---|-||----|||
.PONfb lMOR PH=empty	|-----⌫|---⌫-------|
an fi ez/ .O UT O UT M ORPH=e mpty	-|--⌫-|||-⌫-|-⌫-|-⌫------⌫---|
et anhomages et an tou tes	-|-|------|-|-|---⌫--|
autres choses //PONfblMORPH= empty	-----|-----|||-----|------⌫----|
etlechasti elde Wa llefro icort	-|-|------⌫-|-|--⌫------⌫----|
ausi// .PONfblMOR PH=empty	---||||-----|---⌫-------|
et quanque ili-	-|------|-|||
apent anfiezethomages	----|-|---|-|------|
// .PONfblMORPH=empty	|||-----|----------|
et a ntoutesautr eschoses.	-|-⌫|-----|----⌫-|-----||
..PONfrtMORP H=empty	||-----|----⌫------|
Ien emi oirnepoonsrien s	-|-⌫|-|--|-|----|----⌫|
aqu ester/.OUT OUTMORPH=e mpt y	---⌫----|||--|--|-------⌫---⌫|
leusdeuant	---|-----|
nou mez/ /. PONfblMORPH=em pty	---⌫--||||-----|--------⌫--|
la ouli d roizmonsegnorle	-|-|-|-⌫---|--|-----|-|
du csoit/ OUTOU T	--⌫|---||--|--⌫|
MORPH=empty	----------|
l ui nom// PO Nfb lM ORPH=emp ty	-⌫-|--|||--⌫---⌫|-⌫--------⌫-|
ne nun s des	-|---⌫|--|
homesde cestroisleus	----|-|--|----|---|
ne des append ises/OU T OUT MORPH=empty	-|--|------⌫---||--⌫|--|----------|
deu a ntnoumeeslaou se s droizsoit/	---⌫-⌫-|------|-|-|--⌫|----|---||
OUTOUTMORPH=empty	--|--|----------|
rettenir anmaterre.	-------|-|-|----||
//.PONfrtMORPH =empty	|||-----|-----⌫-----|
EtseHue llons et	-|-|---⌫----|-|
I a kemi ns/.OUTOUT	-⌫-⌫----⌫-|||--|--|
MORPH=e mpty	-------⌫---|
anuoloienta le rana rriersmoi à Peti te	-|-------|-⌫--⌫|-|-⌫-----|--|-|----⌫-|
Pie rededanz	---⌫-|-----|
PON f blM ORPH=empty	---⌫-⌫-|-⌫---------|
ili-porroientanler/.OUT	-|||--------|----|||--|
OUTMORPH=empty	--|----------|
e tuender oie nt/.OUTO UT	-⌫|------⌫---⌫-|||--|-⌫-|
MORPH=empty	----------|
à / .OUTOUTMORPH=empty	-|||--|--|----------|
monsegnorleduc //	--|-----|-|--|||
.PON fbl MORPH=empty	|---⌫--|----------|
quanque ilont a ̀ Linieuile/ .OUT	------|-|--|-⌫|--------|||--|
O U T MORPH=emp ty	-⌫-⌫|---------⌫-|
et an sa pp endisesan touteschoses// .	-|--⌫|-⌫--⌫------|-|-----|-----||||
PON f blMOR PH =empty	---⌫-⌫-|---⌫--⌫-----|
aud itl ec hanceli er	-|-⌫-|-⌫|-⌫-------⌫-|
/.OUTOUTMORPH=empty	||--|--|----------|
etlesegnor	-|-|-----|
Aubert monchapelain/. OUT OUTMORPH=empt y	-----|--|--------|||--|--|----------⌫|
etseilnenaloientdedanz	-|-|-||-|------|-----|
//PONfblMOR PH= empty	||-----|---⌫---⌫----|
ilm e demourroientquit e/	-|-⌫|-----------|----⌫||
OUTOUT MOR P H=empt y	--|--|---⌫-⌫------⌫|
et tenr oi entlor	-|----⌫--⌫--|--|
heritageanpais	-------|-|---|
PONfbl MO RPH=e mpty	-----|--⌫-----⌫---|
an quelque leu	-|------|--|
/ .O UTO UT	||-⌫-|-⌫-|
MO R PH=e mpty	--⌫-⌫----⌫---|
qu i l leussent.	-|-⌫||------||
.PONfrtM ORPH=empty	|-----|-⌫---------|
Aprésestà/.OU T OUTM OR P H=empty	-----|--|-|||--⌫|--|-⌫--⌫-⌫------|
sauoir/ .OUTOU TMORPH=empty	-----|||--|--⌫|----------|
quauoc cesteschanged	-|---|---|-------||
Espicenbercansicumil	----------|---|--|-|
estdeuisé	--|------|
/ /.PONfblMO RPH=e mpty	|||-----|--⌫-----⌫---|
madou nei mes sire s	||---⌫--|--|----⌫|
lidux an amend ementdecequeie li ai	-|--|-|-----⌫----|-|-|--|-|-|-|
eschangié/ / ./	---------|||||
PO NfblMORPH =empty	--⌫---|-----⌫-----|
mil/ ./ PONfbl	--||||-----|
MORP H=emp ty	----⌫-----⌫-|
etcinc/ . /	-|---||||
PONfb lMORPH=em pty	-----⌫|--------⌫--|
ce nz/ ./P ONf blMORP H=em pty	--⌫-||||-⌫---⌫-|----⌫----⌫--|
liures /./ PON fb lMORPH=empty	-----||||---⌫--⌫|----------|
demeceins.	-|------||
//. PO N fr tMORP H=e mpty	|||--⌫-⌫--⌫|----⌫---⌫---|
Et antesmoin aged eueritéiai fait	-|-|-------⌫--|-⌫|------||-|---|
ces l ettres see ler demo nseel //	--|-⌫-----|---⌫--|-|--⌫|---|||
. PONfblMORPH =e mpty	|-----|-----⌫--⌫---|
quelimiliaires	--|-|--------|
couroit par	------|--|
/. OUTO UT	||--|-⌫-|
MORP H=empty	----⌫------|
mil /.OUTOUT	--|||--|--|
MORPH=empty	----------|
etdouscen z/.OUTOUTMORPH=empty	-|---|---⌫|||--|--|----------|
etquarante ettr oisanz// PONfbl	-|-------|-|--⌫--|--|||-----|
MORPH=empt y	----------⌫|
le diemengeprouchien/	-|-------|--------||
OUTOUT MORPH=empty	--|--|----------|
deuantlaDeuision des -apostres.	-----|-|-------|--||-------||
///..PONf rtMORPH=empty	|||||----⌫-|----------|
CH MM032GeMaheusduxd eLoh enrreine	--⌫----|-|-----|--|-⌫|---⌫-------|
etm archisfas c onoi ssant àtousciausqui	-|-⌫-----|--|-⌫----⌫----|-|---|----|--|
ceslettresuerron tetorront	--|------|------⌫|-|-----|
/.OUTOUT MORPH=empty	||--|--|----------|
quecomgee usse bestens àm on	--|--|-|-⌫---|------|-|-⌫-|
coisinThiebautcontedeB arpaisest f aite par	-----|-------|----|-|-⌫-|---|--|-⌫---|--|
louconsoildeprou do mesdemoie t	--|------|-|----⌫--⌫--|-|--|-⌫|
desmi enzent ierem ent etde luietdes s u ensentierement	--|--⌫--|---⌫-----⌫--|-|-|--|-|--|-⌫-⌫--|----------|
PON frtMOR P H=empty	---⌫--|---⌫-⌫------|
En telmanie requ e	-|--|-----⌫-|--⌫|
li c uensparlou bien de lapaisdemoi	-|-⌫---|--|--|---|-|-|---|-|--|
/.P ONfb lM ORPH= empt y	||-⌫----⌫|-⌫-----⌫----⌫|
acqu iteilefiédeNueuilleir	----⌫---|-|---|-|---------|
ettoutcequ i i	-|---|-|--⌫||
en tierement /.OUT OUT MORPH=empt y	--⌫--------|||--|--|----------⌫|
etle fiédeF ontenoyausi	-|-|---|-|-⌫------|---|
//.P ONfblMORPH=em pt y	|||-⌫----|--------⌫--⌫|
etqua-quecantqu e	-|--||--|------⌫|
PROre l NOMB.=s| GENRE=n| CAS=r	-----⌫|--------⌫--------⌫----|
ili- apent entiere ment	-|||----|-------⌫---|
.PONfblMORPH=empt y	|-----|----------⌫|
etde an droitdes bataillesdesg enti s home s/.	-|-|--⌫----|--|--------|--|-⌫----⌫|----⌫|||
OUT OUT MO RPH =empty	--|--|--⌫---⌫-----|
entre Mueseetle Rin/.OUTOUT	----|----|-|-|--|||--|--|
MORPH=empty	----------|
estconcordeiaus i que lles me	--|--------|---⌫|---⌫---|-|
demorettoutes	------|-----|
sensdeciau squimi exso nthom e ligele	---|-|----⌫|--|--⌫-|--⌫-|---⌫|---|-|
conte de Barquautrui/	----|-|--|-|-----||
.OUTOUTMORPH= emp ty	|--|--|------⌫---⌫-|
etcellesli demoret	-|-----|-|------|
//.PONfbl MORPH=empty	|||-----|----------|
et l ab ataille le contede	-|-⌫|-⌫------|-|----|-|
Chisnia usilidemor e/. OUT	-----|-⌫--|-|-----⌫|||--|
OU TMORPH=e mp ty	--⌫|-------⌫--⌫-|
etcesbataillesdeuantdittes doit	-|--|--------|-----|-----|---|
li c uensd eu an tnomeiz	-|-⌫---|-⌫--⌫--⌫|-----|
tenirde moiena cr oissancede sonfié	----|-|--|-|-⌫--⌫-------|-|--|---|
/ /..P O Nf rtMORPH=em pty	||||-⌫-⌫--⌫-|--------⌫--|
-sauoir que	|-----|--|
li cue nsde B a r	-|---⌫-|-|-⌫-⌫|
ne puestaques teirhomenul	-|----|-----⌫---|---|--|
dedanslesbo nnes deuant dites//	-----|--|--⌫---|-----|----|||
| PONfblMORPH=empty	|-----|----------|
n iaie maiustice.	||--|-|------||
P ONfrtMORPH=empty	-⌫----|----------|
E tlabatailleleconte	-⌫|-|-------|-|----|
deW adeimmont	-|-⌫--------|
O UTMORPH=empty	-⌫-|----------|
r espitauditmonsi gnor He nrri d eLu ceborc /	-⌫----|-|--|--|--⌫---|--⌫---|-⌫|--⌫-----||
|OUTOUT MORPH=empty	|--|--|----------|
etceluicuiiliuourr aatraireaw uec lui	-|----|--|-||-----⌫|------|--⌫--|--|
/ / . .P ONfrtMORPH=empty	||||-⌫----|----------|
Etde sbat a illes	-|--⌫|---⌫-⌫----|
de sgenti shomesde u erdenoisqu i	--⌫|-----⌫|----|-|-⌫-------|--⌫|
tienet fiéligemen td e l euesq uede uerdun etqui	-----|---|-------⌫|-⌫||-----⌫-|-|-----|-|--|
uienetensa	-----|-|-|
main /.OUTOUTMORPH=empty	---|||--|--|----------|
ests o rmonsignorHenrride Luceborc/|	--|-⌫-⌫|--|-----|-----|-|-------|||
OUTOUTMORPH=empty	--|--|----------|
sig nor T homasde Coucy / .	---⌫--|-⌫----|-|----|||
OUTOUTMORPH=empty	--|--|----------|
etcequi len	-|-|-|-⌫|-|
raporteront//.P ONfblMORPH=empty	----------||||-⌫----|----------|
OUT OUTMORPH=empty	--|--|----------|
etlicuens d euo nsten ir.	-|-|----|-⌫---⌫-|---⌫-||
//.. PONfrtMORPH=empty	||||-----|----------|
Et gedemorenteilteno r en_uersle	-|-|----|-|---|----⌫|------|-|
co n te de-Bar	--⌫-⌫-|-||--|
comieie re au iorqueces p eires mes	--|-|--⌫-|-|--|--|--|-⌫----|--|
aleruERcigMODE=i nd|TEMPS=psp|PE RS.=3|N O MB.=s	---|-----|------⌫---------------⌫-------⌫-⌫----|
out remeir e tlic uensenuersmoiausi.	---⌫-----|-⌫|-|-⌫---|-----|--|---||
/ /.. PONfrt	||||-----|
MORPH=empty	----------|
Et detous les	-|-|---|--|
bestensquisont e tserontdesorenauant	------|--|---|-⌫|-----|----|-|----|
etdou contedeBaretdesnos/	-|--|----|-|--|-|--|--||
|O UT OUTMORPH=empt y	|-⌫-|--|----------⌫|
estsor m ons ignorIofroi dAma ncedep ar	--|--|-⌫-|-⌫----|-----||---⌫--|-|-⌫-|
moi /.OUT OUT MORPH=e mpty	--|||--|--|-------⌫---|
etsormon sign o rHuonTene uetde par leconte	-|--|--|----⌫-⌫|---|----⌫--|-|--|-|----|
MORPH=emp ty	---------⌫-|
quion t cranteiparlor sair ementq ui l to usles	--|--⌫|------|--|--|----⌫----|-⌫|-⌫|--⌫-|--|
bestensapaiserontp ar	------|---------|-⌫-|
OUTO UT MORPH=em pty	--|-⌫-|--------⌫--|
oupara mor en	-|--|-⌫--|-|
/ /..PONfrt MORP H=emp ty	||||-----|----⌫-----⌫-|
Etseildefaloit demon sign o r	-|-|-|-------|-|--|----⌫-⌫|
Io froigei	--⌫---|-||
mestr oie un	-----⌫--|-|
aut ree n leu	---⌫-|-⌫|--|
//..PONfrtMORPH= e mpt y	||||-----|------⌫-⌫---⌫|
Etseildefaloit de monsign orHuonTeneuet	-|-|-|-------|-|--|----⌫-|---|------|
li cuens ime stroitu n autre enleu	-|----||--⌫-----|-⌫|----|-|--|
// .. PONfrtMOR PH= empty	||||-----|---⌫---⌫----|
Etarreisc eschosesdeuant nome iesestb onepaisde	-|-----|-⌫-|-----|-----|----⌫--|--|-⌫--|---|-|
toutes au tres	-----|--⌫---|
.OUTOU T MORPH=empty	|--|--⌫|----------|
etcescouens	-|--|-----|
aige f iencié à- teni ret	-|-|-⌫------|-||----⌫|-|
licue nsausi.	-|---⌫-|---||
PONfrtMORPH=empty	-----|----------|
Entesmognage de	-|---------|-|
uerite iaigefa i tseelleirceslettres demonseel	------⌫|-|-|--⌫-⌫|-------|--|------|-|--|---|
PONf rt MORPH=empty	----⌫-|----------|
Cesle ttres furet	--|--⌫----|----|
faitesquantli miliaires corroit parmil/.OUT	-----|----|-|--------|------|--|--|||--|
OUTMORPH=empty	--|----------|
dous-cenzetquaran tecincans	---||---|-|------⌫-|---|--|
lo ndemain de l a	--⌫------|-|-⌫|
Mauzelainne .	----------||
CHM M040 GeMaheusduxde Loh enrreineetmarchisfasconoiss an t	---⌫---|-|-----|--|-|---⌫-------|-|------|--|-------⌫--⌫|
àtousci ausquic es l ettresu errontetorr ont	-|---|--⌫--|--|-⌫-|-⌫-----|-⌫-----|-|---⌫--|
/.OUTOUTMORPH=e mpty	||--|--|-------⌫---|
quecomge eussebestensàmon	--|--|-|----|------|-|--|
coi sinThiebautcontede	---⌫--|-------|----|-|
Barpais est faite parlou	--|---|--|----|--|--|
consoil depro udomes d e moi etdesm ienz	------|-|---⌫-----|-⌫|--|-|--|-⌫---|
entierementetde lui	----------|-|-|--|
e t dessuensentierement .	-⌫|--|----|----------||
//..PONfrt MORPH =em pty	||||-----|-----⌫---⌫--|
Entel maniereque licuens par	-|--|------|--|-|----|--|
del a pais d emoiet	-|-⌫|---|-⌫|--|-|
del ui/ /. PONf blMORPH=emp ty	-|-⌫-||||----⌫-|---------⌫-|
maacqu iteilefiédeNue uilleir	||----⌫---|-|---|-|---⌫------|
c equii -ap e nte ntierement / ./	-⌫|--|||--⌫-⌫-|-⌫---------||||
PON fblMORPH=empty	---⌫--|----------|
fie ́ deFontenoyausi	---⌫|-|-------|---|
/ /. PON fbl	|||---⌫--|
MORPH=emp ty	---------⌫-|
etqu a-quecantquePROrelNO MB.=s|GENRE=n| CAS=r	-|--⌫||--|------|-----|--⌫--------------⌫----|
-apent ent ierement//.PONfblMORPH =e mpty	|----|---⌫-------||||-----|-----⌫--⌫---|
etdean dr oit d esb atailles	-|-|--⌫--⌫--|-⌫-|-⌫-------|
desge nt ishome s/. OUTOU TMOR PH=empt y	--|--⌫--⌫-|----⌫|||--|--⌫|---⌫-------⌫|
q uisont entreMuese et le	-⌫-|---|----|----|-|-|
Rin/.OUTOUTMORPH=empty	--|||--|--|----------|
estconcorde iausiquelles medemor et	--|--------⌫|---|------|-|-----⌫-|
toutessensde ciaus qu i	-----|---|-|----|--⌫|
miexsont homeli ge	---|---|---|--⌫-|
le conte deBa rqu	-|----|-|--⌫|-|
autru i / . O UT	-----⌫|||-⌫-|
OUT M ORPH=empty	--|-⌫---------|
etcelleslidemoret	-|-----|-|------|
/ /.PONfbl MORPH=empty	|||-----|----------|
etl abataillel econtedeChisniausili	-|-⌫|-------|-⌫|----|-|-----|---|-|
de mor e/. OUT OUT	--⌫---⌫|||--|--|
MOR PH=empty	---⌫-------|
et cesb at aillesdeuan tdi ttesdoit	-|--|-⌫--⌫-----|-----⌫|--⌫---|---|
li cuens deuan t	-|----|-----⌫|
nomeiztenirdemoi en	-----|----|-|--|-|
acroissancedesonfié .	----------|-|--|---||
/ /.. PONfrt	||||-----|
MORP H=e mpt y	----⌫---⌫---⌫|
Et e stà- s auoir que licuens	-|-⌫-|-||-⌫----|--|-|----|
deBar nepuest	-|--|-|----|
aquesteirhome nul d edanslesb onnes	--------|---|--|-⌫----|--|-⌫----|
deuant d ites//|	-----|-⌫---||||
PONfblMORPH=empt y	-----|----------⌫|
iaiemaiustice .	|--|-|------||
/ /. .PONfrt	||||-----|
MORPH=empty	----------|
Etlaba taillele contedeWad eimmont /.	-|-|--⌫-----|-|----|-|---⌫------|||
OUTOUT MO RP H= empty	--|--|--⌫--⌫--⌫----|
e stenre spitauditmonsi gnorHenrride	-⌫-|-|--⌫---|-|--|--|--⌫---|-----|-|
Lucebor c/|OUT OUTMORPH=empty	-------⌫|||--|--|----------|
cuiiliuourraatraireawuec lui.	--|-||-----|------|----|--||
// .. PONfrtMORPH=empty	||||-----|----------|
bataillesdesg entishom es de	--------|--|-⌫----|---⌫-|-|
uerdenoi s quitien etfiéligement	--------⌫|--|----⌫-|---|-------|
d eleuesquedeuer dun etquiuienetensa	-⌫||------|-|---⌫--|-|--|-----|-|-|
main/. OUTOUTMORPH= emp ty	---|||--|--|------⌫---⌫-|
est sorm onsignor Henr ride Luc eborc/	--|--|-⌫-|-----|----⌫-|-|---⌫----||
|OUT OUTMORPH= empty	|--|--|------⌫----|
et sor monsigno rTho m asd e C o uc y/	-|--|--|-----⌫|---⌫-⌫-|-⌫|-⌫-⌫--⌫||
.OUTOUTMORPH=e mpty	|--|--|-------⌫---|
enraporteront	-|----------|
PONfblMORPH=emp ty	-----|---------⌫-|
ge/|OUTOUTM ORPH= empty	-|||--|--|-⌫-----⌫----|
etlicuensdeuonst enir.	-|-|----|-----|-⌫---||
P ONfrtMORPH=em pty	-⌫----|--------⌫--|
Etge demorenteilte noren_ue rs le	-|-|----|-|---|--⌫--|-----⌫-|-|
contede-Barcom	----|-||--|--|
ie iereauiorqu e	-|---|-|--|--⌫|
c es peires mesonclesà -laou tremeir	-⌫-|-----|--|-----|-||-|--⌫------|
etlicuen senu ers	-|-|----⌫|---⌫--|
//. .PON f rt	||||---⌫-⌫-|
MORPH=em pty	--------⌫--|
Et detouslesbeste n squiso n t	-|-|---|--|-----⌫-⌫|--|--⌫-⌫|
etser ontdesoren auantde	-|---⌫--|----|-|----|-|
moi etdoucontede Baretdesnos	--|-|--|----|-|--|-|--|--|
/|OUTOUTMORP H=empty	||--|--|----⌫------|
estsorm onsigno rIofro id Amancedepa r	--|--|-⌫-|-----⌫|-----⌫||-----|-|--⌫|
moi/ . OU TOU TMORPH =em pty	--|||--⌫|--⌫|-----⌫---⌫--|
e tsorm on signorHuon Teneuetdeparle	-⌫|--|-⌫-|-----|---|------|-|--|-|
conte //.PONf bl MORPH=empty	----||||----⌫-|----------|
quiontcrantei par	--|--|------|--|
lor sairementqu il tous	--|--------|-|-|---|
lesbestens apaiseront par	--|------|---------|--|
dr oit/|OUTOUTMORPH=em pty	--⌫--|||--|--|--------⌫--|
ouparamor enbon efoi.	-|--|---|-|---⌫|--||
..PON fr tMORPH=empt y	||---⌫--⌫|----------⌫|
ildefalo itdemon sig n orIofroige	-|------⌫-|-|--|---⌫-⌫-|-----|-|
i mestroi e un autre	|-------⌫|-|----|
e nleudelui.	-⌫|--|-|--||
/ /..PONfrtMORPH=empty	||||-----|----------|
Etsei ldefaloitdem on sign o rHuon Teneue t li	-|-|-⌫|-------|-|-⌫-|----⌫-⌫|---|------⌫|-|
cue ns imestroitunautreenleudelui.	---⌫-||-------|-|----|-|--|-|--||
. PONfrtMORPH= e m p ty	|-----|------⌫-⌫-⌫-⌫-|
Et arreis ces cho sesde uantnome iesestbonepais de	-|-----|--|---⌫--|--⌫---|----⌫--|--|---|---|-|
tou tesautres choses/.OUT	---⌫--|-----|-----|||--|
OUT MORP H=empty	--|----⌫------|
etcescoue ns	-|--|----⌫-|
a ige fienc ié	-⌫|-|-----⌫--|
à-tenire tli cuensa usi	-||----|-⌫|-|----|-⌫--|
M ORPH=empty	-⌫---------|
Ente smogn agedeueritei	-|--⌫-----⌫--|-|------|
ai gef ait seelleirce slettres	-|-|-⌫--|-------|--⌫|------|
/ /.. PONfrt MO RPH=empty	||||-----|--⌫--------|
Ceslettresfuretfai tesquant	--|------|----|---⌫--|----|
l i mil iair esco rroit parmil/ .	-⌫|---⌫----⌫-|--⌫----|--|--|||
OU TOUTMORPH=empty	--⌫|--|----------|
dous - cenzet	---||---|-|
qu arantecincans	--⌫-----|---|--|
lo ndemaindela	--⌫------|-|-|
Mauzelainne.	----------||
ChM M153Ie OuedesetieSimo nsch eualierfrer ed eHado nchastel	---⌫---|-|-----|-|-|----⌫-|--⌫------|----⌫|-⌫|----⌫-------|
faizonscogno issa n ta ̀tous	------|-----⌫----⌫-⌫|-⌫|---|
summes homme	-----|----|
seign orRober t pa rla grace de Dieu eue sque de	-----⌫-|-----⌫|--⌫|-|----|-|---|---⌫---|-|
uerdun etde	-----|-|-|
l esuesch iei delach azeN ostre	|-------⌫--|-|-|--⌫--|-⌫----|
Dammedeuerdun//	----|-|-----|||
. PO NfblMORPH=empty	|--⌫---|----------|
etauon s a cquiteietotroiei	-|----⌫|-⌫------|-|------|
et acquitonset	-|--------|-|
otroions à	-------|-|
no seignorlesuesque/.	-|------||-------|||
OUTOUTMORPH=empty	--|--|----------|
deuantditet ase sluzeta seues ques qu i	-----|--|-|-|-⌫---|-|-⌫|----⌫---|--⌫|
aprésluiuenr ontà le sueschieid euerdunla motiei	-----|--|----⌫--|-||-⌫--------|-⌫|-----|-|-----|
dou molin etdel	--|----|-|-||
e standeuieiuile // PONf blMORPH=empty	-⌫---|-|-------|||----⌫-|----------|
moitieiauonsn o srepri s	------|----|-⌫-⌫|-----⌫|
etreprei gnonsde luien	-|------⌫----|-|--|-|
fie i etenhommageligementà	---⌫|-|-|------|-------|-|
nose tà noshoirsetquanque	--|-⌫|-|--|----|-|---|--|
cantquePROrel	------|-----|
NOMB.=s|GENRE=n|CAS=r	--------------------|
nos auonsàHadon chastelen ba n eten	--|----|-|-----⌫------|-|--⌫|-|-|
la fin enpreizenboisenchampsen	-|--|-|----|-|---|-|-----|-|
uignes et entou tes autre s ch ozese tquan que cantqu e	-----|-|-|---⌫--|-----⌫|--⌫---|-⌫|---|--|------⌫|
PROrelNOMB.=s|GENRE=n|CAS= r	-----|--------------------⌫|
nosauonsai lorsenlesueschiei	--|----|--⌫---|-||---------|
deuerdunfo rce q ue	-|-----|--⌫|-|-⌫-|
nos te no n sdau tru i	--|--⌫--⌫-⌫||--⌫---⌫|
sorquetouttenronsno sde	--|--|---|------|--⌫|-|
monseignor le s uesque etde lesueschi ei	--|------||-⌫-⌫-----|-|-||--------⌫-|
deuerdunde uantnommeis quan -que	-|-----|--⌫---|------|---||--|
cantquePRO r elNO MB. =s|GE NRE=n| CAS=r	------|---⌫-⌫-|--⌫---⌫-----⌫------⌫----|
nosauronsetacques te rons en	--|-----|-|------⌫--⌫---|-|
quelque mannierequec e soit/O UTOU T MOR PH=empty	------|-------|--|-⌫|---||-⌫-|--⌫|---⌫-------|
enl esueschieide	-||---------|-|
uerdunqu ine	-----|--⌫|-|
mueue dautrui	----||-----|
com seignorau tensqu e	--|------|-|---|--⌫|
noslau e ro nsprimes	--||--⌫-⌫--⌫-|-----|
ouac questerons	-|--⌫---------|
à sau oirquesil failoi triensa u	-|---⌫--|--||-|------⌫|----|-⌫|
mo linet à l	--⌫--|-|-||
estan deuant no mmeisde s orena uant	----|-----|--⌫----|--⌫|-|-|-⌫---|
nos tresiresli euesq u es deuantdisou cilqui	---⌫--|----|-|-----⌫-⌫-|-----|--|-|--|--|
se roiteue sques porle	--⌫---|---⌫----|--|-|
tens idoi tmetre lamoitiei	---||---⌫|----|-|------|
l autreetde uonsmetrepoissonsenl	|----|-|--⌫---|----|-------|-||
la mo it ieietnoslautre.	-|--⌫--⌫--|-|--||----||
au enoitquen o sireslieuesq uesdeuan t	--⌫----|--|-⌫|----|-|-----⌫--|-----⌫|
nosuo ussit pes chier enlestan	--|--⌫----|---⌫----|-||----|
lipoissonsseroitpartisde	-|-------|-----|-----|-|
mei enmei oucilquipescheroitdonroitargentà	--|-|--|-|--|--|---------|------|-----|-|
leswart de preudom mesdelapartieàcelui	|-----|-|-------⌫--|-|-|-----|-|----|
quipeschiei naueroit	--|-------||------|
Etlim olinsdoit estreue nduz	-|-|-⌫----|---|----|--⌫---|
p arcommun	-⌫-|-----|
conseiletparc ommun	------|-|--|-⌫----|
Et à cemolin	-|-|-|----|
doitnosires li euesques deuantdisfairem aurrese s	---|-|----|-|-------|-----|--|----|-⌫----|--⌫|
hommesde Fontainn esetdeBiliet s eiln	-----|-|--------⌫-|-|-|---|-|-⌫|-||
imoloienti ldoi entl	|-------|-⌫|---⌫--||
amende ànoseignorl esues que	-----|-|-|------||-----⌫--|
etsidoientr e n drelamoutureaucommu n.	-|-|-----|-⌫-⌫-⌫--|-|------|-|-----⌫||
Ets ila uenoitqueli molinseut	-||-|-⌫-----|--|-|-----|--|
me s tierdemarrie nporreperechi erondoitpenrele	--⌫-⌫---|-|------⌫|--|---------⌫-|-|---|----|-|
marrienenbois deHa donchas telnoseignor	------|-|---|-|--⌫-------⌫--|-|------|
l esuesq ue.	|------⌫-||
Etpor ce queceso itf ermechoze	-|--|-|--|-|--⌫-|-⌫---|----|
nosauons fa it	--|----|--⌫-|
cesletreslessea us	--|-----|--|---⌫-|
lesabbesdeSai nt Pau l	--|----|-|---⌫-|---⌫|
/.PONfblMORPH=empty	||-----|----------|
ab besdeSaint Paul etnos	--⌫--|-|----|---|-|--|
abbe sdeSaint	----⌫|-|----|
Airiàlareques te lesdeuantdischeual ie rs	---|-|-|------⌫-|--|-----|--|------⌫--⌫-|
auo nsm isnoseausà	---⌫-|-⌫-|-|----|-|
ces letresq u ifurent faites lan	--|-----|-⌫-⌫|-----|-----||-|
quelimiliairescou roit	--|-|--------|---⌫---|
par mil/ . OUTO UTMO RPH =empty	--|--|||--|-⌫-|--⌫---⌫-----|
CC/ . O UTOUT MORPH=empty	-|||-⌫-|--|----------|
et scinq uantenuesa nse nmoide ma i	-|-----⌫----|---|-⌫-|-⌫|--|-|--⌫|
CHMo045IeHanriscoensde Bar/ /	------|-|-----|----|-|--|||
.PONf blMORPH=e mpty	|----⌫-|-------⌫---|
faiz coneissant àtoz/	---|---------|-|--||
MORPH=e mpty	-------⌫---|
kemess ires Pieresde	-|--|-⌫---|-----|-|
Bo rmont uoie zdeNoeroit//.P ONfblMORPH=em pty	--⌫----|----⌫|-|------||||-⌫----|--------⌫--|
mesaminsetmes	--|----|-|--|
PON fblM ORPH=empt y	---⌫--|-⌫---------⌫|
ai t fai tpais àl ab beitetaucouen tde	--⌫|---⌫|---|-||--⌫---|-|-|-----⌫|-|
SaintArnout	----|-----|
de Mez / / .PONfblMORP H=empty	-|--||||-----|----⌫------|
et iletsa fem meet sui oirdouban	-|-|-|-|---⌫-|-|--|--|--|--|
de Noe roit/ .OUT	-|---⌫---|||--|
OUTMORPH=empty	--|----------|
et detotesl e sappendi s es/	-|-|----|-⌫-⌫|-------⌫-⌫-||
/.PONfbl MORP H=empty	||-----|----⌫------|
en- telmani erecom leslettres s egnor	-||--|----⌫--|--|--|------|-⌫----|
dit uoietlotasmognentkeie ai ueueset	--|----|-|---------|-|-|-|----|-|
oïee skisontteles/ /	-----⌫|-|---|----|||
.PON fblMORPH=empt y	|---⌫--|----------⌫|
Ie PieresdeBormontchiuelie rs	-|-----|-|------|--------⌫-|
No eroit/ /.PONf blMORP H=e mpty	--⌫----||||----⌫-|----⌫---⌫---|
